Orthogroup	Euclidium_syriacum	Camelina_sativa
OG0003863	ESY2_g34468_DN3_SP7_c0.t1	XP_010415457.1, XP_010511828.1, XP_010470786.1
OG0003865	ESY9_g44790_DN3_SP1_c0.t1, ESY3_g28805_DN2_SP0_c0.t1, ESY1_g5976_DN2_SP0_c0.t1, ESY2_g36478_DN2_SP0_c0.t1	XP_010505310.1, XP_010509354.1, XP_010516997.1
OG0003866	ESY9_g44614_DN3_SP1_c0.t1, ESY2_g37205_DN3_SP0_c0.t1	XP_010509417.1, XP_010505239.1, XP_010516923.1, XP_010442533.1
OG0003867	ESY8_g59690_DN3_SP8_c0.t1	XP_010417006.1, XP_010429169.1, XP_010472236.1
OG0003868	ESY14_g20905_DN3_SP0_c0.t1, ESY1_g12037_DN3_SP0_c0.t1	XP_010500136.1, XP_010479042.1, XP_010461437.1
OG0003869	ESY14_g20318_DN3_SP0_c0.t1	XP_010478801.1, XP_010501763.1, XP_010501761.1, XP_010501762.1, XP_019098530.1, XP_010499915.1, XP_010461198.1, XP_010478800.1
OG0003870	ESY7_g18685_DN3_SP0_c0.t1	XP_010455402.1, XP_010437626.1, XP_010424478.1
OG0003870	ESY7_g18686_DN3_SP0_c0.t1	XP_019098519.1
OG0003871	ESY8_g59950_DN3_SP0_c0.t1	XP_010473575.1, XP_010418355.1, XP_010430427.1
OG0003872	ESY11_g53077_DN3_SP0_c0.t1, ESY18_g63390_DN3_SP8_c0.t1	XP_010422097.1, XP_010455549.1, XP_010434936.1
OG0003873	ESY11_g54922_DN3_SP0_c0.t1	XP_019099008.1, XP_019092557.1, XP_019096773.1, XP_010505134.1, XP_019101290.1
OG0003874	ESY12_g51606_DN2_SP0_c0.t1	XP_010506703.1, XP_010518374.1, XP_010507960.1
OG0003876	ESY2_g34300_DN3_SP0_c0.t1	XP_010506079.1, XP_010508562.1, XP_010517776.1
OG0003877	ESY12_g51341_DN1_SP0_c0.t1, ESY12_g51353_DN3_SP0_c0.t1, ESY7_g16421_DN2_SP0_c0.t1	XP_010413008.1, XP_010507692.1, XP_019100722.1
OG0003878	ESY12_g51156_DN3_SP8_c0.t1	XP_010508711.1, XP_010505929.1, XP_019082312.1, XP_010507476.1, XP_010412795.1
OG0003879	ESY7_g17250_DN3_SP4_c0.t1	XP_010492605.1, XP_010453849.1, XP_010420382.1, XP_010504178.1, XP_010485628.1, XP_010463734.1
OG0003880	ESY3_g31400_DN3_SP0_c0.t1	XP_010464342.1, XP_010450404.1, XP_010486274.1
OG0003881	ESY3_g30717_DN3_SP6_c0.t1	XP_010464421.1, XP_010457881.1, XP_010486352.1
OG0003882	ESY3_g31248_DN3_SP0_c0.t1, ESY3_g31249_DN3_SP3_c15.t1	XP_010486794.1, XP_010495666.1, XP_010464844.1
OG0003883	ESY11_g53838_DN3_SP0_c0.t1	XP_010516587.1, XP_010489227.1, XP_010467384.1
OG0003884	ESY3_g30619_DN3_SP0_c0.t1	XP_010468193.1, XP_010468191.1, XP_010487405.1, XP_019092589.1, XP_019095739.1, XP_010497211.2
OG0003885	ESY5_g5409_DN3_SP0_c0.t1, ESY5_g5425_DN2_SP0_c0.t1	XP_010457186.1, XP_010480751.1, XP_010474682.1
OG0003886	ESY10_g15884_DN3_SP1_c0.t1	XP_010446043.1, XP_010485065.1, XP_019091131.1, XP_010444156.1
OG0003887	ESY1_g10363_DN3_SP8_c0.t1	XP_010503970.1, XP_010426846.1, XP_010515692.1, XP_010509553.1
OG0003889	ESY5_g4844_DN1_SP0_c0.t1	XP_010475211.1, XP_010457610.1, XP_019095006.1
OG0003890	ESY10_g14773_DN3_SP0_c0.t1	XP_019088200.1, XP_019097853.1, XP_019095922.1
OG0003892	ESY5_g3237_DN2_SP0_c0.t1	XP_019092193.1, XP_010487100.1, XP_010418983.1, XP_010475726.1, XP_010458172.1, XP_010489669.1
OG0003893	ESY5_g3296_DN3_SP0_c26.t1	XP_010498182.2, XP_019095079.1, XP_010475773.1, XP_010458224.1
OG0003894	ESY5_g3319_DN3_SP7_c0.t1	XP_010490127.1, XP_010458243.1
OG0003895	ESY5_g3804_DN2_SP0_c0.t1	XP_010476215.1, XP_010458672.1, XP_010494181.1
OG0003896	ESY5_g4227_DN3_SP0_c0.t1	XP_010497368.1, XP_010459441.1, XP_010498216.1, XP_010477003.1
OG0003897	ESY5_g4161_DN3_SP0_c17.t1, ESY11_g54833_DN3_SP0_c19.t1, ESY11_g54831_DN2_SP0_c26.t1	XP_010477066.1, XP_019091454.1, XP_010498279.1
OG0003898	ESY5_g4135_DN2_SP0_c0.t1	XP_010477101.1, XP_010498304.1, XP_019091386.1, XP_010459551.1, XP_010477100.1
OG0003899	ESY5_g2673_DN3_SP0_c0.t1	XP_010494596.1, XP_010498337.1, XP_010477130.1, XP_010459584.1, XP_010480540.1, XP_010459575.1
OG0003900	ESY20_g13121_DN3_SP0_c0.t1	XP_019089886.1, XP_010428534.1
OG0003901	ESY2_g33653_DN3_SP3_c0.t1	XP_010473484.1, XP_010430321.1, XP_010418257.1
OG0003902	ESY2_g33890_DN3_SP0_c0.t1	XP_019085723.1, XP_010473314.1, XP_019083623.1
OG0003902	ESY2_g33863_DN3_SP0_c0.t1	XP_010473313.2
OG0003903	ESY2_g34128_DN3_SP0_c2.t1	XP_010414783.1
OG0003903	ESY2_g34126_DN3_SP3_c2.t1	XP_010511380.1, XP_010470293.1, XP_010414781.1
OG0003904	ESY8_g61241_DN2_SP0_c0.t1	XP_010419460.1
OG0003905	ESY10_g14758_DN3_SP3_c0.t1	XP_019098088.1, XP_010441428.1, XP_010481290.1, XP_019098451.1
OG0003906	ESY8_g59937_DN3_SP8_c0.t1	XP_010472075.1, XP_010416840.1, XP_010428991.1
OG0003907	ESY1_g8306_DN3_SP0_c0.t1	XP_010503323.1, XP_010515031.1, XP_010426161.1
OG0003908	ESY4_g26251_DN3_SP0_c0.t1	XP_010432167.1, XP_010446779.1, XP_010437334.1
OG0003909	ESY4_g25542_DN3_SP0_c0.t1	XP_010447025.1, XP_010437555.1, XP_010432367.1, XP_010447023.1
OG0003910	ESY4_g25670_DN3_SP5_c0.t1	XP_010447101.1, XP_010432431.1, XP_010437630.1
OG0003911	ESY4_g24824_DN3_SP8_c0.t1	XP_010432902.1, XP_010438079.1, XP_010447616.1
OG0003912	ESY5_g2103_DN3_SP5_c0.t1	XP_010477613.1, XP_010460113.1, XP_010498830.1
OG0003913	ESY6_g47367_DN3_SP4_c0.t1	XP_010482727.1, XP_010445758.1
OG0003913	ESY4_g23825_DN3_SP8_c0.t1	XP_010433296.1, XP_019088539.1, XP_010448067.1
OG0003914	ESY5_g4787_DN3_SP0_c0.t1	XP_010501325.1, XP_010480358.1, XP_010462571.1, XP_010474439.1, XP_010431597.1, XP_019082709.1
OG0003915	ESY146_g32742_DN2_SP0_c0.t1	XP_010440682.1
OG0003917	ESY14_g20717_DN3_SP0_c0.t1	XP_010456803.1, XP_010500029.1, XP_010478934.1, XP_010461310.1
OG0003918	ESY7_g17606_DN2_SP0_c0.t1	XP_019100732.1, XP_010512359.1, XP_010508802.1, XP_019102038.1
OG0003920	ESY8_g59685_DN3_SP0_c0.t1	XP_010463071.1, XP_010429173.1, XP_010417012.1, XP_019093374.1
OG0003922	ESY2_g35110_DN3_SP0_c0.t1	XP_010514663.1, XP_010514662.1, XP_010502976.1, XP_010425750.1
OG0003925	ESY7_g18646_DN2_SP0_c0.t1	XP_010443890.1, XP_010483738.1, XP_010456776.1, XP_010491438.1
OG0003927	ESY7_g17306_DN3_SP0_c0.t1	XP_010437042.1, XP_010437060.1, XP_010497223.1, XP_010420372.1, XP_010453833.1, XP_010492588.1
OG0003929	ESY11_g54787_DN3_SP1_c0.t1	XP_010455289.1, XP_019089901.1, XP_010421788.1, XP_010455290.1, XP_010436317.1
OG0003931	ESY6_g46334_DN2_SP3_c0.t1	XP_010482487.1, XP_010442655.1, XP_010443373.1, XP_010443353.1, XP_010442652.1, XP_010482485.1
OG0003941	ESY7_g17477_DN3_SP5_c0.t1	XP_010492348.1, XP_010420180.1, XP_010453651.1
OG0003942	ESY7_g17636_DN3_SP0_c0.t1	XP_010453543.1, XP_010420055.1, XP_010492226.1
OG0003943	ESY7_g17709_DN3_SP8_c0.t1	XP_010453469.1, XP_010492148.1, XP_010419976.1
OG0003944	ESY7_g18382_DN3_SP0_c0.t1	XP_010419853.1, XP_010453346.1, XP_010492030.1
OG0003945	ESY6_g49907_DN2_SP0_c0.t1	XP_010424335.1, XP_010454953.1, XP_010493862.1
OG0003946	ESY2_g35444_DN3_SP0_c0.t1	XP_019096536.1, XP_010470965.1, XP_010421613.1, XP_010512019.1
OG0003947	ESY7_g18161_DN1_SP0_c0.t1	XP_010447461.1, XP_010432792.1, XP_010447464.1, XP_010432794.1, XP_019088325.1
OG0003948	ESY7_g18158_DN3_SP7_c0.t1	XP_010491847.1, XP_010419684.1, XP_010453171.1
OG0003949	ESY10_g15573_DN3_SP6_c0.t1	XP_010421606.1, XP_010455118.1, XP_010494006.1
OG0003951	ESY6_g50199_DN3_SP7_c0.t1	XP_010454594.1, XP_010493428.1, XP_010421114.1
OG0003952	ESY7_g18648_DN3_SP8_c0.t1	XP_010491440.1, XP_010423128.1, XP_010452793.1
OG0003953	ESY6_g49496_DN3_SP8_c0.t1	XP_010485273.1, XP_010457389.1
OG0003954	ESY10_g14650_DN3_SP0_c11.t1	XP_010438959.1, XP_010433717.1, XP_010448510.1, XP_010485902.1, XP_010464008.1
OG0003955	ESY13_g57032_DN3_SP0_c0.t1, ESY1_g11654_DN2_SP0_c0.t1	XP_010438986.1, XP_010433738.1, XP_010448533.1
OG0003956	ESY8_g59031_DN3_SP0_c0.t1	XP_010417904.1, XP_010510764.1, XP_010473143.1, XP_010497715.1
OG0003957	ESY8_g59021_DN3_SP8_c0.t1	XP_010473146.1, XP_010510761.1, XP_010417907.1
OG0003958	ESY8_g58703_DN3_SP8_c0.t1	XP_010510409.1, XP_019093827.1
OG0003959	ESY20_g12843_DN3_SP8_c0.t1	XP_010413869.1, XP_010469479.1, XP_010509893.1
OG0003960	ESY5_g5049_DN3_SP6_c0.t1, ESY20_g12910_DN3_SP0_c0.t1	XP_010483317.1, XP_010457463.1, XP_010475075.1
OG0003961	ESY13_g56821_DN2_SP8_c0.t1	XP_010448472.1, XP_010433682.1, XP_010451202.1, XP_010438923.1
OG0003962	ESY4_g23253_DN3_SP0_c0.t1	XP_019094260.1, XP_010460734.1, XP_019094261.1, XP_010499472.1, XP_019090873.1
OG0003963	ESY4_g23384_DN3_SP0_c18.t1	XP_019086259.1, XP_010501715.1
OG0003963	ESY23_g205_DN1_SP0_c0.t1	XP_019089118.1, XP_010445291.1, XP_010445156.1, XP_010424630.1, XP_010468832.1
OG0003964	ESY1_g10743_DN3_SP2_c0.t1	XP_010516123.1, XP_010504407.1, XP_010427323.1, XP_010463217.1
OG0003965	ESY2_g34228_DN2_SP5_c0.t1	XP_010511245.1, XP_010480217.1, XP_010414954.1
OG0003966	ESY3_g32094_DN3_SP0_c0.t1	XP_010444510.1, XP_010462023.1, XP_019096078.1
OG0003967	ESY6_g50723_DN3_SP0_c0.t1, ESY6_g50724_DN3_SP0_c0.t1, ESY4_g24959_DN3_SP0_c0.t1	XP_010461417.1, XP_010484182.1, XP_010444341.1
OG0003968	ESY6_g49635_DN2_SP0_c0.t1	XP_010444286.1, XP_010484122.1, XP_010485303.1, XP_010460889.1
OG0003970	ESY6_g49483_DN3_SP3_c0.t1	XP_010457459.1, XP_010443973.1, XP_010483826.1
OG0003972	ESY6_g49547_DN3_SP0_c0.t1	XP_019096103.1
OG0003973	ESY6_g49568_DN3_SP8_c0.t1, ESY1_g11393_DN2_SP0_c0.t1	XP_010443915.1, XP_010483759.1
OG0003973	ESY2_g36427_DN3_SP0_c0.t1	XP_010456891.1
OG0003974	ESY6_g50518_DN3_SP8_c0.t1	XP_010421480.1, XP_019090330.1, XP_010454641.1, XP_010493474.1, XP_010421159.1
OG0003975	ESY1_g9313_DN3_SP8_c0.t1	XP_010515222.1, XP_010503531.1, XP_010426387.1
OG0003976	ESY6_g49937_DN3_SP8_c0.t1	XP_010497284.1, XP_010421428.1, XP_019098412.1, XP_019090716.1, XP_010493828.1, XP_010421427.2, XP_010493827.2
OG0003977	ESY6_g49920_DN3_SP0_c14.t1, ESY6_g49918_DN3_SP0_c10.t1	XP_010493845.1, XP_010421450.1, XP_010454934.1
OG0003978	ESY5_g3705_DN3_SP8_c0.t1	XP_010458575.1, XP_010493161.1, XP_010476102.1
OG0003979	ESY6_g48911_DN2_SP0_c0.t1	XP_010443828.1, XP_010456265.1, XP_010514874.2, XP_010425964.1
OG0003980	ESY11_g54681_DN3_SP0_c0.t1, ESY6_g48899_DN3_SP0_c0.t1	XP_019095497.1, XP_019087911.1, XP_010456177.1
OG0003981	ESY10_g13834_DN3_SP1_c0.t1	XP_010425379.1, XP_019085406.1, XP_010425374.1, XP_010514321.1, XP_010514316.1
OG0003983	ESY6_g50537_DN3_SP0_c0.t1, ESY6_g48642_DN3_SP0_c0.t1	XP_010483484.1, XP_010443630.1, XP_010454263.1
OG0003984	ESY6_g48605_DN3_SP1_c0.t1	XP_010412644.1, XP_010426391.1, XP_010503534.1, XP_010453909.1, XP_010443595.1, XP_010483456.1
OG0003985	ESY6_g48454_DN3_SP0_c0.t1, ESY6_g48446_DN3_SP8_c0.t1	XP_010483276.1, XP_010443440.1, XP_010452188.1, XP_010443439.1, XP_019095741.1, XP_010452207.1
OG0003986	ESY6_g48179_DN3_SP0_c0.t1	XP_019098680.1, XP_010443272.1, XP_010483096.1, XP_010450833.1
OG0003987	ESY1_g9366_DN3_SP0_c0.t1	XP_010503547.1, XP_010426403.1, XP_010515236.1
OG0003988	ESY6_g47843_DN3_SP4_c0.t1	XP_010443012.1, XP_010446805.1, XP_010482842.1
OG0003989	ESY7_g18479_DN2_SP0_c0.t1	XP_010491300.1, XP_010452648.1
OG0003990	ESY4_g25667_DN3_SP0_c0.t1	XP_010482716.1, XP_010442884.1, XP_010445672.2, XP_010482715.2, XP_010442883.1
OG0003991	ESY17_g39835_DN3_SP0_c29.t1, ESY21_g55358_DN3_SP0_c29.t1, ESY1_g10644_DN3_SP0_c29.t1, ESY7_g19070_DN2_SP0_c29.t1	XP_010491059.1
OG0003992	ESY7_g18986_DN3_SP8_c0.t1, ESY7_g17272_DN3_SP0_c0.t1	XP_010491033.1, XP_010424773.2, XP_010452406.1
OG0003993	ESY7_g19069_DN3_SP6_c0.t1	XP_010452360.1, XP_010423559.1, XP_010490975.1
OG0003994	ESY7_g19326_DN3_SP1_c0.t1	XP_010490818.1, XP_010423725.1, XP_010452218.1, XP_010513523.1
OG0003995	ESY7_g19511_DN3_SP0_c0.t1	XP_019084405.1, XP_010452066.1, XP_019097824.1
OG0003996	ESY7_g19512_DN3_SP7_c3.t1	XP_010452061.1, XP_010423878.1, XP_010490647.1
OG0003998	ESY3_g31077_DN3_SP8_c0.t1	XP_010483312.1, XP_010486637.1
OG0004000	ESY2_g34738_DN3_SP3_c0.t1	XP_010471798.1, XP_010428703.1, XP_010416564.1
OG0004001	ESY2_g34752_DN3_SP0_c14.t1	XP_010513032.1, XP_010416547.1, XP_010471783.1, XP_010428688.1
OG0004002	ESY2_g34815_DN3_SP0_c0.t1	XP_010428641.1, XP_010474357.1, XP_019082682.1, XP_019093359.1
OG0004003	ESY7_g16584_DN3_SP6_c0.t1	XP_010494468.1, XP_010481681.1, XP_010441890.1
OG0004004	ESY2_g36411_DN3_SP3_c0.t1	XP_010501033.1, XP_010479950.1, XP_010462280.1
OG0004005	ESY2_g36403_DN3_SP0_c0.t1	XP_019094614.1, XP_019091191.1, XP_019096715.1, XP_019094613.1, XP_010463500.1
OG0004006	ESY2_g36371_DN3_SP0_c0.t1, ESY2_g36370_DN3_SP0_c0.t1, ESY2_g36363_DN3_SP0_c0.t1	XP_010501210.1, XP_010480143.1
OG0004007	ESY2_g38583_DN1_SP0_c0.t1	XP_010501156.1, XP_010462394.1, XP_010480081.1
OG0004009	ESY14_g20918_DN3_SP3_c0.t1	XP_010479037.1, XP_010500132.1
OG0004010	ESY2_g36168_DN3_SP8_c0.t1	XP_010479953.1, XP_010462282.1, XP_010501036.1
OG0004011	ESY2_g33495_DN3_SP5_c0.t1	XP_010505170.1, XP_010516848.1, XP_010509480.1
OG0004012	ESY6_g47190_DN3_SP5_c0.t1	XP_019095991.1, XP_019088498.1
OG0004012	ESY12_g52171_DN3_SP4_c0.t1	XP_019095774.1, XP_019086983.1, XP_019087659.1
OG0004013	ESY22_g40535_DN3_SP0_c0.t1	XP_010440464.1, XP_010435124.1, XP_010450040.1
OG0004014	ESY22_g40757_DN3_SP0_c0.t1	XP_010450006.1, XP_010435082.1, XP_010440406.1, XP_019089702.1, XP_010435080.1
OG0004015	ESY2_g38669_DN3_SP0_c0.t1	XP_010445378.1
OG0004016	ESY2_g35934_DN3_SP7_c0.t1	XP_010416157.1, XP_010474312.1, XP_010428274.1, XP_010428273.1, XP_010416154.1
OG0004017	ESY2_g34954_DN3_SP0_c0.t1	XP_010416279.1, XP_010428410.2, XP_010471514.1, XP_010416281.1, XP_010428411.1, XP_010471517.1
OG0004020	ESY10_g13739_DN3_SP0_c0.t1	XP_010425464.1, XP_010514415.1
OG0004020	ESY8_g60178_DN2_SP0_c0.t1	XP_010450611.1, XP_010441241.1
OG0004021	ESY9_g43600_DN3_SP8_c0.t1	XP_019087793.1, XP_010434140.1
OG0004022	ESY7_g16803_DN2_SP0_c0.t1	XP_010494663.1, XP_010481564.1, XP_010441703.1, XP_010495719.1, XP_010481578.1
OG0004023	ESY3_g29356_DN3_SP8_c0.t1, ESY2_g37489_DN3_SP4_c0.t1	XP_010466145.1, XP_010487933.1
OG0004024	ESY3_g29354_DN3_SP3_c0.t1	XP_010508099.1, XP_010487934.2, XP_019092412.1
OG0004024	ESY2_g37488_DN3_SP1_c0.t1	XP_019091965.1
OG0004025	ESY6_g48873_DN3_SP0_c0.t1	XP_010439873.1, XP_010517556.1, XP_010504988.1, XP_010509681.1, XP_010516665.1
OG0004026	ESY7_g16952_DN3_SP2_c0.t1	XP_010420656.1, XP_010492917.1, XP_010454131.1, XP_010516681.1, XP_010505012.1, XP_010509659.1
OG0004027	ESY10_g15087_DN3_SP0_c0.t1	XP_019087763.1, XP_019095960.1, XP_010494815.1
OG0004028	ESY5_g2993_DN3_SP0_c0.t1	XP_010476696.1, XP_010497534.1, XP_010459129.1, XP_010462736.1
OG0004029	ESY9_g43794_DN3_SP8_c0.t1	XP_010439313.1, XP_010434021.1, XP_010448870.1, XP_010422208.1, XP_010455686.1
OG0004030	ESY4_g24996_DN3_SP0_c0.t1, ESY4_g24994_DN2_SP0_c0.t1, ESY4_g25407_DN3_SP0_c0.t1	XP_019096102.1, XP_010463178.2, XP_010441226.1, XP_010500225.1
OG0004031	ESY2_g33900_DN3_SP0_c0.t1	XP_010482257.1, XP_010442438.1, XP_010440988.1
OG0004032	ESY9_g43233_DN3_SP0_c0.t1	XP_019089089.1, XP_010439622.1, XP_010434329.1, XP_010449257.1
OG0004033	ESY9_g43271_DN3_SP2_c0.t1	XP_010434304.1, XP_019089750.1, XP_010439597.1
OG0004034	ESY9_g42677_DN2_SP0_c9.t1	XP_010449023.1, XP_010439447.1, XP_010434149.1
OG0004035	ESY9_g43581_DN3_SP0_c0.t1, ESY9_g43580_DN3_SP0_c0.t1	XP_010434129.1, XP_010439426.1, XP_010449006.1
OG0004036	ESY3_g29717_DN3_SP0_c0.t1	XP_019087387.1, XP_010506392.1, XP_010465888.1
OG0004037	ESY16_g61472_DN3_SP0_c0.t1	XP_010434824.1, XP_010440155.1, XP_010449792.1
OG0004038	ESY16_g61508_DN3_SP0_c0.t1	XP_010434786.1, XP_010449732.1, XP_010440115.1
OG0004039	ESY3_g32620_DN3_SP3_c0.t1	XP_010489642.1, XP_010439406.1, XP_010482122.1, XP_010442312.1, XP_010463524.1
OG0004040	ESY9_g43413_DN3_SP5_c0.t1, ESY6_g50276_DN3_SP0_c0.t1	XP_010444782.1, XP_010484628.1, XP_010465316.1, XP_010429543.1, XP_010472549.1, XP_010417317.1
OG0004041	ESY1_g12504_DN3_SP8_c0.t1	XP_010413250.1, XP_010468923.2, XP_010512671.1
OG0004042	ESY1_g12372_DN3_SP2_c0.t1	XP_010473799.1, XP_010512564.1, XP_010469031.1, XP_010413337.1
OG0004043	ESY8_g59259_DN3_SP1_c0.t1	XP_010417382.1, XP_010472632.1, XP_010429618.1, XP_010436281.1
OG0004044	ESY1_g12293_DN3_SP8_c0.t1	XP_010467018.1, XP_010512491.1, XP_010413402.1, XP_010469079.1
OG0004045	ESY1_g12283_DN3_SP0_c0.t1	XP_010512485.1, XP_019093541.1, XP_010413411.1, XP_010512482.1, XP_010413415.1
OG0004046	ESY7_g16516_DN3_SP0_c0.t1	XP_010424617.1, XP_010469303.1, XP_019093207.1, XP_010413676.1, XP_010512219.1
OG0004047	ESY1_g11689_DN3_SP2_c0.t1	XP_010504666.1, XP_010427610.1, XP_010516354.1
OG0004048	ESY10_g14644_DN3_SP0_c0.t1	XP_010502099.1, XP_010502104.1, XP_010502096.1, XP_010502102.1, XP_010513845.1, XP_010424870.1
OG0004050	ESY1_g11832_DN3_SP0_c0.t1	XP_010516270.1, XP_010504571.1
OG0004051	ESY1_g10984_DN2_SP0_c0.t1	XP_010427088.1, XP_010504211.1, XP_010504221.1, XP_010515937.1
OG0004052	ESY1_g11089_DN3_SP8_c0.t1	XP_010427009.1, XP_010504127.1, XP_010515856.1
OG0004053	ESY1_g11100_DN3_SP8_c0.t1	XP_010515846.1, XP_010427004.1, XP_010504116.1
OG0004054	ESY11_g54533_DN3_SP0_c21.t1, ESY3_g27598_DN3_SP0_c0.t1	XP_010513757.1, XP_010490124.1, XP_010488592.1, XP_010466914.1
OG0004055	ESY2_g36349_DN3_SP5_c0.t1	XP_010457485.1, XP_010480119.1, XP_010501195.1
OG0004056	ESY2_g35754_DN3_SP0_c0.t1	XP_010428060.1, XP_010471227.1, XP_010415924.1
OG0004057	ESY1_g10249_DN2_SP0_c0.t1, ESY1_g9688_DN1_SP0_c0.t1	XP_010489861.1, XP_010503738.1
OG0004057	ESY8_g58337_DN1_SP0_c0.t1	XP_010412999.1, XP_010507682.1
OG0004058	ESY12_g50908_DN1_SP0_c0.t1	XP_010517476.1, XP_010508855.1, XP_010505786.1
OG0004059	ESY3_g29405_DN1_SP0_c0.t1	XP_010422348.1, XP_019092294.1
OG0004060	ESY8_g59431_DN3_SP0_c0.t1	XP_010472452.1, XP_010429425.1, XP_010417204.1
OG0004061	ESY13_g57135_DN3_SP3_c0.t1	XP_019086023.1, XP_010439010.1, XP_010448547.1
OG0004062	ESY2_g37765_DN3_SP0_c0.t1, ESY2_g37758_DN3_SP0_c0.t1	XP_019091137.1, XP_010481042.1, XP_019096303.1
OG0004063	ESY14_g20156_DN3_SP1_c0.t1	XP_010478812.1, XP_010463114.1, XP_010499932.1
OG0004064	ESY19_g41185_DN3_SP0_c0.t1	XP_010455403.1, XP_010421929.1, XP_010437583.1, XP_010455404.1, XP_010421923.1
OG0004065	ESY18_g63901_DN3_SP8_c0.t1	XP_010455492.1, XP_010435712.1, XP_010422030.1, XP_010433842.1
OG0004066	ESY7_g16868_DN3_SP8_c5.t1	XP_019090650.1, XP_010492989.1, XP_010420732.1
OG0004068	ESY3_g31829_DN3_SP0_c0.t1	XP_010494041.1, XP_010424389.1, XP_010456756.1, XP_010485903.1, XP_010422378.1, XP_010468015.2
OG0004069	ESY12_g52216_DN3_SP0_c0.t1	XP_010507892.1, XP_010506777.1, XP_010497708.1, XP_010518439.1, XP_010413104.1, XP_010413103.1
OG0004070	ESY12_g51689_DN3_SP0_c0.t1	XP_010508012.1, XP_010506656.1, XP_010518321.1
OG0004071	ESY9_g43696_DN3_SP8_c0.t1, ESY33_g12624_DN3_SP0_c0.t1	XP_010518168.1, XP_010467299.1, XP_010488959.1
OG0004072	ESY12_g52061_DN3_SP0_c0.t1	XP_010518056.1, XP_010508280.1, XP_010506384.1
OG0004073	ESY12_g52190_DN3_SP8_c0.t1	XP_010506256.1, XP_010517944.1, XP_010508393.1
OG0004074	ESY5_g4372_DN3_SP0_c0.t1	XP_010459271.1, XP_010476842.1, XP_010498050.1
OG0004076	ESY3_g32377_DN3_SP4_c0.t1, ESY2_g37731_DN1_SP0_c0.t1	XP_010506301.1, XP_010489652.1, XP_010463755.1
OG0004077	ESY3_g32303_DN3_SP0_c0.t1	XP_010463791.1, XP_010485682.1, XP_010510429.1
OG0004078	ESY3_g32153_DN3_SP8_c0.t1	XP_010516945.1, XP_010485768.1, XP_010463866.1
OG0004080	ESY3_g31953_DN3_SP4_c0.t1, ESY3_g29758_DN3_SP0_c0.t1	XP_010485856.1, XP_019093032.1
OG0004080	ESY3_g31954_DN2_SP5_c0.t1	XP_010463959.1, XP_010485855.1
OG0004081	ESY3_g31892_DN3_SP1_c0.t1	XP_010420731.1, XP_010463985.1, XP_010485886.1
OG0004082	ESY3_g31827_DN3_SP1_c0.t1	XP_010485898.1, XP_010421939.1, XP_010464003.1
OG0004083	ESY3_g31793_DN3_SP0_c0.t1	XP_010424752.1, XP_010464041.1, XP_010485953.1
OG0004084	ESY3_g31619_DN3_SP0_c0.t1	XP_010433579.1, XP_010464151.1, XP_010486071.1
OG0004085	ESY3_g31593_DN3_SP6_c0.t1	XP_010464172.1, XP_010435576.1, XP_010486091.1
OG0004086	ESY3_g31399_DN3_SP0_c0.t1	XP_019096982.1, XP_010464349.1, XP_010450963.1
OG0004087	ESY3_g30127_DN3_SP0_c0.t1	XP_010499635.1, XP_019096579.1, XP_019092214.1
OG0004087	ESY3_g30128_DN3_SP0_c0.t1	XP_019092205.1
OG0004088	ESY2_g36294_DN3_SP0_c0.t1, ESY3_g30219_DN3_SP1_c0.t1, ESY2_g36295_DN3_SP0_c0.t1	XP_010465188.1, XP_019101480.1, XP_019096557.1
OG0004089	ESY3_g30367_DN3_SP0_c0.t1	XP_019095354.1, XP_010476980.1, XP_019095396.1, XP_010487221.1, XP_010465313.1, XP_010465312.1
OG0004090	ESY3_g30553_DN3_SP0_c0.t1	XP_010502759.1, XP_010487352.1, XP_010465483.1
OG0004091	ESY3_g30653_DN3_SP0_c0.t1	XP_010487444.1, XP_010503660.1, XP_010465600.1
OG0004092	ESY3_g29841_DN3_SP0_c0.t1	XP_010487584.1, XP_010465741.1, XP_010505038.1
OG0004093	ESY3_g29731_DN3_SP1_c0.t1	XP_010465870.1, XP_010506209.1
OG0004094	ESY3_g29373_DN3_SP8_c0.t1	XP_010466134.1, XP_010487917.1, XP_010507980.1
OG0004095	ESY16_g62116_DN3_SP3_c0.t1	XP_010442353.1, XP_010440006.1, XP_010512518.1, XP_010482187.1
OG0004096	ESY2_g35101_DN3_SP0_c0.t1	XP_010514655.1, XP_010502969.1, XP_019085441.1
OG0004097	ESY8_g60794_DN3_SP0_c0.t1	XP_010450786.1, XP_010435868.1
OG0004098	ESY8_g60045_DN3_SP0_c0.t1	XP_010466706.1, XP_010512630.1, XP_010488433.1, XP_010488431.1
OG0004099	ESY3_g28444_DN3_SP0_c0.t1	XP_010512431.1, XP_010466672.1, XP_010488395.1
OG0004100	ESY3_g28883_DN3_SP8_c0.t1	XP_010511795.1, XP_010490045.2, XP_010466578.1
OG0004101	ESY3_g32120_DN3_SP0_c26.t1, ESY18_g63063_DN3_SP0_c90.t1, ESY18_g63065_DN3_SP0_c90.t1, ESY18_g63064_DN3_SP0_c90.t1	XP_010466577.1, XP_010511764.1, XP_010488320.1
