Orthogroup	Euclidium_syriacum	Brassica_rapa
OG0000859	ESY7_g16481_DN3_SP0_c0.t1	XP_009127122.1
OG0000859	ESY6_g49212_DN3_SP4_c0.t1	XP_009120809.1
OG0000860	ESY11_g54313_DN2_SP0_c0.t1, ESY11_g54312_DN2_SP0_c0.t1, ESY11_g54221_DN1_SP0_c0.t1, ESY11_g54314_DN1_SP0_c0.t1	XP_009120616.2, XP_009102241.2
OG0000861	ESY6_g48958_DN3_SP8_c0.t1	XP_009126582.2, XP_009120613.1
OG0000861	ESY1_g11852_DN3_SP0_c12.t1, ESY1_g7608_DN3_SP6_c0.t1	XP_009150093.1, XP_009149905.2
OG0000861	ESY1_g7587_DN3_SP8_c0.t1	XP_009107824.2, XP_033128496.1
OG0000863	ESY8_g58815_DN3_SP0_c0.t1, ESY2_g36683_DN3_SP8_c0.t1	XP_009106677.1, XP_009128369.1, XP_009104523.2
OG0000864	ESY16_g61555_DN3_SP0_c0.t1, ESY16_g61554_DN3_SP0_c0.t1	XP_033145375.1, XP_009140401.2
OG0000864	ESY16_g61715_DN3_SP0_c0.t1	XP_009136686.1, XP_009147444.1
OG0000864	ESY20_g13288_DN3_SP0_c0.t1, ESY4_g25876_DN3_SP0_c0.t1	XP_033132364.1
OG0000865	ESY1_g11602_DN3_SP0_c11.t1, ESY1_g11601_DN3_SP0_c11.t1	XP_033128494.1
OG0000865	ESY2_g34113_DN3_SP0_c11.t1	XP_018509501.1, XP_009127608.2
OG0000867	ESY10_g14859_DN3_SP0_c0.t1	XP_009114287.2, XP_009101440.1, XP_009128949.1
OG0000867	ESY9_g42454_DN3_SP0_c0.t1	XP_009136852.1, XP_009108330.1, XP_009130695.1
OG0000868	ESY1_g9863_DN3_SP7_c0.t1	XP_009136538.1, XP_009115692.1
OG0000868	ESY1_g12327_DN3_SP0_c0.t1	XP_009136541.1, XP_009128936.1
OG0000869	ESY9_g43368_DN3_SP0_c0.t1	XP_009137238.2
OG0000869	ESY9_g42605_DN3_SP0_c0.t1, ESY9_g42606_DN3_SP0_c0.t1, ESY9_g42597_DN3_SP0_c0.t1	XP_033142483.1, XP_033136714.1, XP_033144993.1
OG0000870	ESY1_g10552_DN3_SP5_c0.t1	XP_009103992.1, XP_009139111.1, XP_009116322.1
OG0000870	ESY7_g19054_DN3_SP3_c0.t1	XP_009130832.1, XP_009125574.1
OG0000870	ESY3_g31123_DN3_SP8_c0.t1	XP_009146823.1
OG0000871	ESY9_g44844_DN3_SP0_c0.t1	XP_009143485.1, XP_009133182.1, XP_009141669.1
OG0000871	ESY1_g11077_DN2_SP0_c0.t1, ESY1_g11075_DN3_SP0_c0.t1	XP_009103879.1, XP_009116062.1
OG0000872	ESY9_g43757_DN3_SP6_c0.t1	XP_009113321.1
OG0000872	ESY12_g52080_DN3_SP3_c0.t1	XP_009143030.1, XP_009142262.2
OG0000874	ESY5_g2653_DN3_SP0_c0.t1, ESY5_g2650_DN3_SP0_c0.t1, ESY5_g2642_DN3_SP0_c0.t1	XP_009117993.1
OG0000874	ESY5_g2646_DN3_SP0_c0.t1, ESY5_g2645_DN3_SP0_c0.t1	XP_009110579.1
OG0000875	ESY14_g19768_DN3_SP8_c0.t1	XP_033133849.1, XP_009123741.1, XP_009123743.1
OG0000876	ESY2_g33866_DN2_SP0_c0.t1, ESY10_g14077_DN3_SP0_c0.t1, ESY13_g56978_DN3_SP0_c0.t1, ESY10_g14087_DN3_SP0_c0.t1	XP_033133841.1, XP_033131949.1
OG0000877	ESY29_g13596_DN3_SP0_c0.t1	XP_009112500.1
OG0000882	ESY5_g3749_DN3_SP0_c0.t1	XP_033128943.1
OG0000882	ESY16_g61934_DN3_SP7_c0.t1	XP_009102663.1
OG0000883	ESY3_g27322_DN3_SP0_c0.t1	XP_009136124.1
OG0000885	ESY22_g40927_DN2_SP0_c0.t1, ESY3_g28912_DN3_SP0_c0.t1	XP_009107813.2, XP_009144714.1, XP_009109081.1, XP_009135784.1, XP_009147953.1, XP_009145415.2
OG0000886	ESY12_g51385_DN3_SP0_c0.t1, ESY4_g23985_DN2_SP0_c0.t1	XP_009117309.1
OG0000886	ESY12_g51411_DN2_SP0_c0.t1	XP_009133800.1
OG0000886	ESY4_g24651_DN2_SP0_c0.t1	XP_009117089.1
OG0000888	ESY9_g42987_DN3_SP0_c22.t1, ESY9_g42985_DN3_SP0_c21.t1	XP_033136818.1
OG0000888	ESY9_g42979_DN3_SP0_c18.t1	XP_009137012.1, XP_009132847.1
OG0000889	ESY9_g43622_DN3_SP0_c0.t1	XP_033134047.1, XP_009108491.1
OG0000889	ESY9_g43620_DN3_SP0_c0.t1	XP_009134988.2
OG0000890	ESY7_g17043_DN3_SP0_c0.t1, ESY3_g32060_DN3_SP0_c0.t1, ESY12_g50825_DN3_SP0_c0.t1	XP_009131657.1, XP_009125004.1, XP_009124006.2, XP_009134755.1, XP_009120979.2
OG0000893	ESY7_g18179_DN3_SP0_c0.t1	XP_009131201.1
OG0000893	ESY11_g53372_DN3_SP0_c0.t1	XP_009121957.1
OG0000894	ESY8_g59610_DN3_SP7_c0.t1	XP_009101566.2
OG0000894	ESY1_g9832_DN3_SP8_c0.t1	XP_009115685.1
OG0000895	ESY17_g39862_DN1_SP0_c0.t1	XP_033139182.1, XP_033136396.1
OG0000896	ESY1_g10690_DN3_SP0_c0.t1	XP_009110847.1, XP_033131696.1
OG0000897	ESY7_g18730_DN3_SP8_c0.t1	XP_009122271.2, XP_009130948.2, XP_009125652.2
OG0000897	ESY3_g31301_DN3_SP8_c4.t1	XP_009146672.2, XP_009135191.1, XP_009121086.2
OG0000898	ESY7_g18926_DN2_SP8_c0.t1	XP_009122147.1
OG0000898	ESY7_g18958_DN3_SP0_c0.t1	XP_009130880.1
OG0000898	ESY3_g31169_DN2_SP6_c0.t1	XP_009122586.1
OG0000899	ESY2_g36134_DN3_SP2_c0.t1, ESY2_g36135_DN3_SP5_c0.t1	XP_009128305.1
OG0000899	ESY2_g38241_DN3_SP0_c0.t1	XP_009106586.1, XP_009106581.1
OG0000900	ESY2_g36201_DN3_SP0_c0.t1	XP_033132034.1, XP_018508416.1, XP_033131049.1, XP_033131859.1
OG0000901	ESY1_g10664_DN3_SP1_c0.t1	XP_009134750.2, XP_009102101.1, XP_033146837.1
OG0000902	ESY12_g51135_DN3_SP0_c0.t1, ESY3_g30625_DN2_SP0_c0.t1	XP_033130553.1, XP_009115627.2
OG0000902	ESY2_g34490_DN3_SP0_c0.t1	XP_009127614.1
OG0000903	ESY1_g11998_DN3_SP0_c0.t1	XP_009128910.1, XP_033144108.1, XP_009109045.1
OG0000903	ESY4_g24311_DN3_SP2_c0.t1	XP_009137842.1, XP_009109046.1
OG0000904	ESY3_g29493_DN3_SP0_c0.t1, ESY9_g42994_DN3_SP0_c19.t1	XP_009112131.1, XP_009135617.1, XP_009145825.1
OG0000904	ESY2_g37648_DN3_SP7_c0.t1	XP_009107272.1, XP_009147873.1, XP_009145104.2
OG0000906	ESY23_g324_DN3_SP0_c0.t1	XP_009137409.1, XP_033143750.1, XP_009137605.1
OG0000907	ESY2_g33437_DN2_SP0_c0.t1	XP_009134576.1, XP_009124050.1, XP_033134893.1, XP_033129641.1, XP_009142253.1
OG0000908	ESY1_g11425_DN3_SP8_c0.t1	XP_009104146.1, XP_009116529.1, XP_009138958.1
OG0000908	ESY12_g51342_DN3_SP8_c0.t1	XP_009142847.1, XP_009142071.1, XP_009133540.2
OG0000909	ESY11_g54131_DN3_SP0_c0.t1, ESY1_g9191_DN2_SP0_c0.t1	XP_033145912.1, XP_009119398.1
OG0000910	ESY12_g51174_DN3_SP0_c0.t1, ESY7_g17703_DN3_SP0_c0.t1	XP_009133323.1
OG0000910	ESY5_g4935_DN3_SP0_c0.t1, ESY5_g4936_DN3_SP0_c0.t1	XP_018511597.1
OG0000911	ESY4_g26775_DN3_SP0_c0.t1	XP_009114168.1
OG0000911	ESY8_g59797_DN3_SP0_c0.t1	XP_033137141.1, XP_033145418.1
OG0000912	ESY3_g31679_DN3_SP8_c0.t1, ESY10_g15462_DN3_SP0_c0.t1	XP_009124870.1, XP_009134833.1, XP_009111741.1, XP_009151179.1
OG0000913	ESY8_g61040_DN3_SP8_c0.t1	XP_009139790.1, XP_009125075.2
OG0000915	ESY5_g5445_DN3_SP0_c0.t1, ESY20_g13080_DN3_SP7_c0.t1	XP_009111386.1, XP_033142124.1, XP_009118792.1, XP_009111207.1, XP_009119670.1
OG0000917	ESY9_g43733_DN3_SP0_c0.t1	XP_009135576.1, XP_009103237.1, XP_009110138.1, XP_009145341.1
OG0000920	ESY9_g43434_DN2_SP0_c0.t1	XP_033140082.1, XP_009120646.1, XP_009120752.1, XP_033129707.1, XP_033138612.1
OG0000922	ESY7_g18418_DN3_SP0_c0.t1	XP_009121788.1
OG0000923	ESY11_g53422_DN2_SP0_c0.t1, ESY1_g8875_DN3_SP0_c0.t1	XP_009149857.2, XP_033132775.1, XP_009150212.1
OG0000923	ESY6_g49840_DN3_SP7_c0.t1	XP_009112096.3, XP_033136799.1, XP_009130227.2, XP_009151387.1
OG0000924	ESY7_g17343_DN3_SP6_c0.t1	XP_009139627.1, XP_009103139.1, XP_009121507.1, XP_009131529.1
OG0000925	ESY3_g31785_DN3_SP0_c0.t1, ESY3_g31784_DN3_SP0_c0.t1, ESY6_g50002_DN3_SP0_c0.t1, ESY6_g50001_DN3_SP0_c0.t1	XP_009111649.1, XP_033140466.1, XP_009151025.1, XP_009151026.1
OG0000925	ESY7_g18083_DN3_SP0_c0.t1	XP_009131181.1
OG0000926	ESY4_g24967_DN3_SP6_c0.t1	XP_009108917.1, XP_009126736.2, XP_009125304.2, XP_009131151.2, XP_009122062.2
OG0000927	ESY8_g58737_DN3_SP7_c0.t1	XP_009133842.1
OG0000927	ESY7_g18864_DN3_SP8_c0.t1	XP_009122172.1, XP_009130894.2
OG0000928	ESY8_g58597_DN3_SP0_c0.t1	XP_009141087.1, XP_009132747.1
OG0000928	ESY5_g4631_DN3_SP2_c0.t1	XP_009119033.1
OG0000929	ESY8_g58577_DN3_SP8_c24.t1	XP_009119040.1, XP_009118488.1, XP_009144276.2, XP_009132750.2, XP_009141095.2
OG0000931	ESY1_g8084_DN3_SP8_c0.t1	XP_009120438.1
OG0000931	ESY6_g48702_DN3_SP5_c0.t1	XP_009116231.1
OG0000932	ESY4_g23882_DN3_SP6_c0.t1	XP_009137757.1, XP_009144153.1
OG0000932	ESY5_g2304_DN3_SP3_c0.t1	XP_009145340.1
OG0000933	ESY6_g48466_DN3_SP0_c0.t1	XP_009124333.1
OG0000933	ESY6_g48458_DN2_SP0_c0.t1	XP_009126830.1
OG0000934	ESY13_g56284_DN3_SP0_c0.t1	XP_009139626.1, XP_033148013.1
OG0000934	ESY6_g48413_DN3_SP1_c0.t1	XP_009120250.1
OG0000935	ESY5_g4892_DN2_SP0_c0.t1	XP_009132385.1, XP_009126999.1, XP_033139645.1, XP_009120056.2, XP_009120052.1
OG0000936	ESY4_g26012_DN2_SP0_c0.t1	XP_033133066.1
OG0000938	ESY9_g42638_DN3_SP0_c48.t1	XP_009135382.2, XP_033142332.1, XP_033148694.1, XP_009116903.1
OG0000939	ESY14_g20850_DN2_SP8_c0.t1	XP_009107911.1
OG0000939	ESY2_g35046_DN3_SP0_c0.t1	XP_009106456.1
OG0000940	ESY1_g11203_DN2_SP0_c0.t1, ESY4_g25292_DN3_SP0_c0.t1	XP_009108672.1, XP_009144038.1
OG0000941	ESY12_g52187_DN3_SP3_c0.t1	XP_009109575.1, XP_009102623.1, XP_009135856.1, XP_033147980.1
OG0000942	ESY4_g25066_DN1_SP0_c0.t1	XP_009126364.1, XP_009128813.2, XP_033139973.1, XP_009128824.1
OG0000944	ESY11_g54651_DN3_SP0_c0.t1, ESY11_g54650_DN3_SP0_c0.t1, ESY11_g54652_DN3_SP1_c0.t1	XP_018515359.1
OG0000944	ESY11_g54653_DN3_SP0_c0.t1	XP_009152196.1
OG0000944	ESY1_g9878_DN3_SP6_c0.t1	XP_009115694.1
OG0000946	ESY2_g33410_DN3_SP0_c0.t1	XP_009119545.1
OG0000946	ESY5_g5172_DN3_SP0_c26.t1	XP_009119544.1
OG0000946	ESY1_g12284_DN3_SP0_c37.t1, ESY9_g43240_DN3_SP0_c79.t1	XP_009119045.1, XP_009116811.1
OG0000947	ESY12_g52301_DN3_SP0_c0.t1	XP_033146189.1, XP_009142495.1
OG0000947	ESY1_g12526_DN3_SP0_c0.t1	XP_033135541.1, XP_033131242.1, XP_009138699.1
OG0000948	ESY1_g11720_DN3_SP0_c0.t1, ESY1_g11722_DN3_SP0_c0.t1	XP_009104047.1
OG0000948	ESY1_g11719_DN3_SP0_c0.t1	XP_009116431.1, XP_009117182.2, XP_009116429.1
OG0000949	ESY1_g10768_DN3_SP0_c0.t1	NP_001288915.1
OG0000949	ESY9_g45531_DN3_SP8_c0.t1	XP_009133367.1, XP_009143312.1, XP_009141813.2
OG0000951	ESY4_g26036_DN3_SP8_c8.t1	XP_009150005.2, XP_009109264.2
OG0000951	ESY24_g32821_DN3_SP8_c0.t1	XP_009136177.2, XP_009148490.2
OG0000952	ESY5_g3310_DN3_SP0_c17.t1, ESY5_g3308_DN3_SP0_c10.t1, ESY5_g3309_DN3_SP0_c17.t1	XP_009118318.1
OG0000954	ESY3_g32166_DN3_SP0_c0.t1	XP_033134193.1, XP_009134748.1
OG0000955	ESY5_g2709_DN1_SP0_c0.t1	XP_009148668.1, XP_033128179.1, XP_033134915.1, XP_009118029.1, XP_018510377.2, XP_009117974.1, XP_018510527.2
OG0000956	ESY2_g35513_DN3_SP0_c0.t1	XP_009105689.1
OG0000956	ESY2_g35504_DN1_SP0_c0.t1	XP_009105688.1, XP_009127773.2
OG0000958	ESY2_g33541_DN1_SP0_c0.t1	XP_033133684.1
OG0000960	ESY4_g23106_DN2_SP0_c0.t1	XP_033147084.1
OG0000962	ESY10_g14115_DN3_SP0_c0.t1	XP_009114128.1, XP_009129062.1, XP_009152137.1
OG0000963	ESY11_g53922_DN3_SP0_c20.t1	XP_009131425.1, XP_009121628.1, XP_009136339.1, XP_009121194.1
OG0000964	ESY8_g58421_DN3_SP0_c0.t1, ESY8_g58422_DN2_SP0_c0.t1, ESY8_g58404_DN2_SP0_c0.t1, ESY8_g58425_DN3_SP0_c0.t1	XP_033147681.1, XP_033147658.1, XP_033145498.1, XP_033145503.1, XP_033145501.1, XP_033145622.1
OG0000965	ESY13_g56678_DN3_SP8_c0.t1	XP_009109199.3, XP_009139370.1, XP_009137547.1
OG0000965	ESY2_g35223_DN3_SP0_c0.t1, ESY7_g18440_DN3_SP0_c0.t1, ESY11_g54700_DN3_SP0_c0.t1	XP_033138774.1, XP_009127237.1
OG0000966	ESY1_g9420_DN3_SP8_c0.t1	XP_009151668.1, XP_009149775.1, NP_001288976.1
OG0000966	ESY6_g50127_DN3_SP3_c0.t1	XP_009141778.1
OG0000967	ESY6_g49957_DN3_SP0_c0.t1	XP_009151073.1, XP_009129961.1, XP_018510844.2, XP_033146797.1, XP_009135555.1
OG0000968	ESY6_g48884_DN3_SP0_c0.t1, ESY6_g48875_DN3_SP0_c0.t1	XP_033140224.1
OG0000968	ESY6_g48885_DN3_SP0_c0.t1	XP_018510757.1
OG0000969	ESY7_g18931_DN3_SP0_c21.t1, ESY24_g33148_DN3_SP0_c0.t1, ESY7_g18932_DN3_SP0_c21.t1	XP_009122142.3, XP_009125598.2, XP_009126754.1, XP_009132056.1, XP_009130879.1
OG0000970	ESY21_g55710_DN3_SP0_c0.t1	XP_009129390.1
OG0000971	ESY10_g15213_DN3_SP0_c17.t1, ESY10_g15223_DN3_SP0_c18.t1, ESY10_g15222_DN3_SP0_c15.t1	XP_009128840.1, XP_033136899.1, XP_009114382.2
OG0000971	ESY10_g15225_DN3_SP8_c0.t1	XP_009114384.1
OG0000971	ESY10_g15226_DN3_SP0_c0.t1	XP_009128838.1
OG0000972	ESY2_g37354_DN3_SP0_c0.t1	XP_033133379.1
OG0000974	ESY3_g30756_DN3_SP7_c5.t1	XP_033147832.1, XP_009135023.1
OG0000974	ESY3_g31207_DN3_SP8_c7.t1	XP_033147831.1, XP_009122366.2, XP_033142262.1
OG0000975	ESY1_g11016_DN3_SP0_c0.t1, ESY1_g11014_DN3_SP0_c0.t1	XP_009133215.1, XP_033146942.1, XP_009139278.2, XP_009103887.1, XP_009116086.2
OG0000976	ESY2_g36561_DN3_SP0_c0.t1	XP_009132553.1, XP_009127254.1
OG0000976	ESY6_g48111_DN3_SP0_c0.t1	XP_009114054.1
OG0000978	ESY4_g25567_DN3_SP7_c0.t1	XP_009108713.1, XP_009138316.1, XP_009110285.2, NP_001288829.1, XP_009124201.2, XP_009134791.1
OG0000979	ESY5_g5362_DN3_SP0_c52.t1, ESY5_g5359_DN3_SP0_c0.t1	XP_033148783.1, XP_033148480.1, XP_033148481.1
OG0000980	ESY2_g35115_DN3_SP0_c0.t1	XP_009151767.2
OG0000980	ESY2_g35565_DN3_SP0_c0.t1, ESY2_g35563_DN3_SP0_c0.t1	XP_009104951.1, XP_009105715.2, XP_009105716.1, XP_009105714.1
OG0000982	ESY5_g3733_DN2_SP0_c0.t1, ESY5_g3563_DN1_SP0_c0.t1, ESY5_g3439_DN3_SP0_c0.t1	XP_009116699.2, XP_033135600.1, XP_009116210.1, XP_009110777.1
OG0000983	ESY3_g32473_DN3_SP6_c0.t1	XP_018510531.1, XP_009147338.1, XP_009134685.2
OG0000983	ESY7_g17353_DN3_SP8_c0.t1	XP_009131521.1, XP_033140093.1, XP_009121511.1
OG0000984	ESY3_g32519_DN3_SP4_c0.t1	XP_018512493.2, XP_009121556.2, XP_009131489.2
OG0000985	ESY2_g37323_DN3_SP0_c0.t1	XP_033133370.1, XP_009133914.1, XP_009145591.2, XP_033131295.1, XP_033143641.1
OG0000986	ESY8_g58447_DN3_SP7_c0.t1	XP_018514214.1, XP_009132793.1
OG0000986	ESY5_g4746_DN3_SP0_c10.t1	XP_009111019.1, XP_033138240.1
OG0000987	ESY13_g56616_DN2_SP4_c0.t1	XP_009127248.1, XP_009132530.1, XP_009106793.1, XP_009137539.1, XP_009139339.1, XP_009109200.1
OG0000989	ESY12_g51185_DN3_SP8_c0.t1	XP_018514895.1, XP_009133502.1
OG0000989	ESY3_g31072_DN3_SP8_c0.t1, ESY7_g19145_DN3_SP0_c0.t1	XP_009135103.1
OG0000990	ESY6_g49545_DN1_SP0_c0.t1	XP_033132210.1
OG0000990	ESY6_g49542_DN3_SP0_c0.t1	XP_033131930.1
OG0000992	ESY7_g18448_DN3_SP0_c0.t1	XP_009122299.1
OG0000992	ESY7_g18449_DN2_SP0_c0.t1, ESY7_g18452_DN3_SP0_c0.t1	XP_009125663.1
OG0000993	ESY7_g19496_DN3_SP6_c0.t1	XP_009125444.1
OG0000993	ESY3_g30928_DN3_SP6_c0.t1	XP_018511645.1, XP_009146932.1
OG0000994	ESY2_g36607_DN3_SP1_c0.t1	XP_009106732.1, XP_009128404.2, XP_009104472.1
OG0000995	ESY2_g34481_DN3_SP3_c0.t1	XP_009105372.1
OG0000997	ESY2_g34440_DN3_SP0_c0.t1	XP_033131362.1
OG0000997	ESY5_g1189_DN3_SP8_c0.t1	XP_009115330.1
OG0000998	ESY11_g54116_DN1_SP0_c0.t1, ESY11_g54129_DN3_SP0_c0.t1	XP_033131373.1
OG0000998	ESY4_g26111_DN2_SP0_c0.t1	XP_009138393.1, XP_009109260.1
OG0001000	ESY1_g10411_DN3_SP7_c0.t1	XP_033143083.1, XP_009133066.1, XP_009143611.2, XP_033143084.1, XP_009143610.2, XP_009115957.1
OG0001001	ESY9_g44367_DN3_SP1_c0.t1	XP_009133081.1, XP_009143588.1, XP_033146123.1
OG0001001	ESY1_g10494_DN3_SP4_c0.t1	XP_009115989.2, XP_009125239.2, XP_009148749.1
OG0001002	ESY3_g28661_DN3_SP0_c0.t1	XP_009145244.1, XP_009108423.1
OG0001002	ESY22_g40700_DN3_SP0_c0.t1	XP_033128319.1, XP_018513016.2
OG0001003	ESY8_g61301_DN3_SP0_c0.t1	XP_009139751.1
OG0001003	ESY2_g34326_DN3_SP6_c0.t1	XP_009140165.3, XP_009140164.3
OG0001004	ESY2_g35005_DN3_SP0_c0.t1	XP_009130021.2, XP_033140557.1, XP_009129723.1, XP_009129726.2, XP_009151642.3, XP_033134892.1, XP_009111837.2
OG0001005	ESY10_g14989_DN3_SP0_c0.t1	XP_009114333.1, XP_009101497.1
OG0001005	ESY9_g42521_DN3_SP8_c0.t1	XP_009131146.1, XP_009136883.1, XP_009108346.1
OG0001006	ESY13_g56591_DN2_SP0_c77.t1, ESY6_g46367_DN3_SP0_c0.t1, ESY14_g20178_DN2_SP0_c0.t1, ESY13_g57770_DN2_SP0_c0.t1, ESY13_g57776_DN2_SP0_c0.t1, ESY13_g57782_DN2_SP0_c0.t1, ESY10_g14177_DN1_SP0_c76.t1, ESY9_g42716_DN2_SP0_c0.t1, ESY8_g60624_DN2_SP0_c0.t1, ESY16_g62056_DN3_SP0_c0.t1, ESY8_g61319_DN1_SP0_c0.t1, ESY5_g2231_DN3_SP0_c71.t1, ESY5_g3176_DN3_SP0_c0.t1, ESY3_g29528_DN2_SP0_c44.t1, ESY22_g41117_DN2_SP0_c0.t1, ESY4_g22151_DN1_SP0_c0.t1	XP_033134797.1
OG0001007	ESY9_g43425_DN3_SP8_c0.t1	XP_009137170.1, XP_009108507.1, XP_033138209.1, XP_009134478.1
OG0001007	ESY7_g16512_DN3_SP8_c0.t1	XP_033142081.1, XP_009114487.1
OG0001008	ESY1_g12380_DN3_SP0_c0.t1	XP_033130038.1, NP_001288883.1, NP_001288810.1, XP_009132305.2
OG0001009	ESY9_g45561_DN3_SP0_c16.t1	XP_009103956.2, XP_009139167.2, XP_009116237.2, XP_009143300.1
OG0001010	ESY4_g24341_DN3_SP7_c0.t1	XP_009109044.1, XP_009137845.1, XP_009128846.1
OG0001010	ESY11_g54687_DN3_SP7_c0.t1	XP_009117521.2, XP_009102137.1, XP_009112628.1
OG0001011	ESY10_g15362_DN3_SP0_c0.t1	XP_033129761.1, XP_018512095.1, XP_033136548.1
OG0001011	ESY3_g31628_DN3_SP0_c0.t1, ESY4_g24827_DN3_SP0_c0.t1	XP_033134240.1, XP_033147700.1, XP_033142910.1, XP_033148217.1
OG0001012	ESY16_g62115_DN3_SP0_c0.t1	XP_009143803.1, XP_009137684.1
OG0001012	ESY6_g47563_DN3_SP0_c0.t1	XP_009119949.2, XP_009132452.1
OG0001013	ESY7_g16919_DN3_SP0_c0.t1	XP_009131718.1, XP_009120927.2
OG0001013	ESY3_g31574_DN3_SP8_c0.t1	XP_009129652.1, XP_009134877.1
OG0001014	ESY2_g33865_DN3_SP0_c8.t1	XP_009136688.1, XP_009147404.1, XP_009134370.1
OG0001015	ESY11_g54727_DN3_SP0_c16.t1, ESY11_g54728_DN3_SP0_c15.t1, ESY11_g54726_DN3_SP7_c9.t1	XP_018511278.2, XP_033134716.1
OG0001015	ESY11_g54730_DN3_SP0_c15.t1	XP_033130568.1, XP_033130573.1, XP_009102127.1
OG0001016	ESY5_g3265_DN3_SP6_c0.t1, ESY5_g3266_DN3_SP6_c0.t1	XP_009148172.1, XP_009110842.1
OG0001016	ESY2_g34211_DN3_SP1_c0.t1	XP_009113389.1, XP_009122982.2, XP_033130455.1
OG0001017	ESY2_g35604_DN3_SP2_c0.t1	XP_009115558.1, XP_009103190.1, XP_009105745.1, XP_009127825.1
OG0001018	ESY4_g25465_DN3_SP0_c0.t1	XP_009108624.1
OG0001018	ESY4_g25447_DN2_SP0_c0.t1, ESY4_g25451_DN2_SP0_c0.t1, ESY4_g25468_DN3_SP0_c0.t1, ESY4_g25466_DN3_SP0_c0.t1	XP_033132947.1
OG0001019	ESY11_g54639_DN3_SP0_c0.t1, ESY3_g31770_DN1_SP0_c0.t1	XP_009144072.1
OG0001021	ESY7_g16472_DN3_SP0_c100.t1	XP_033146059.1, XP_009137615.2, XP_009109960.1, XP_009103814.2
OG0001022	ESY3_g30389_DN2_SP0_c0.t1	XP_009126342.1, XP_033141644.1, XP_018515506.1
OG0001023	ESY16_g62514_DN1_SP0_c0.t1, ESY3_g29644_DN1_SP0_c0.t1	XP_033143634.1
OG0001030	ESY19_g41933_DN3_SP0_c0.t1	XP_009124753.3, XP_009113705.2, XP_033141076.1, XP_033131942.1
OG0001031	ESY7_g18232_DN3_SP0_c0.t1	XP_009121653.1, XP_033140944.1
OG0001031	ESY8_g58759_DN3_SP0_c0.t1	XP_033130223.1
OG0001031	ESY7_g17576_DN3_SP0_c0.t1, ESY9_g43119_DN3_SP0_c0.t1	XP_009125989.1
OG0001032	ESY6_g49977_DN2_SP0_c0.t1	XP_009131193.1, XP_009121994.1, XP_033140349.1, XP_018510605.1, XP_033128074.1
OG0001033	ESY8_g58690_DN3_SP0_c19.t1, ESY8_g58688_DN3_SP0_c19.t1	XP_009144324.2
OG0001033	ESY8_g58692_DN3_SP0_c19.t1, ESY8_g58691_DN3_SP0_c20.t1	XP_009132715.2, XP_009144325.3
OG0001034	ESY20_g13341_DN3_SP0_c0.t1	XP_033147675.1, XP_009133158.1
OG0001034	ESY5_g4847_DN3_SP5_c0.t1	XP_009111056.1, XP_009118602.2, XP_009118601.1
OG0001037	ESY8_g59656_DN2_SP0_c0.t1	XP_009140380.1
OG0001037	ESY11_g54982_DN3_SP0_c0.t1	XP_009143694.1
OG0001038	ESY1_g11026_DN3_SP0_c0.t1, ESY1_g11018_DN3_SP0_c0.t1	XP_033140773.1, XP_018511998.2, XP_009111607.2
OG0001038	ESY21_g55249_DN3_SP0_c0.t1	XP_009151843.1
OG0001039	ESY6_g50101_DN3_SP0_c0.t1	XP_009130084.1, XP_009150944.1, XP_009141944.1, XP_009139532.2, XP_009130083.1
OG0001040	ESY8_g59772_DN3_SP0_c0.t1	XP_009127564.1
OG0001041	ESY6_g48218_DN3_SP0_c0.t1	XP_033139824.1
OG0001041	ESY6_g48219_DN3_SP0_c0.t1, ESY2_g33715_DN1_SP0_c37.t1	XP_033144583.1
OG0001042	ESY7_g19325_DN3_SP0_c0.t1	XP_009151567.1, XP_009149790.3
OG0001042	ESY24_g33221_DN3_SP8_c0.t1	XP_009132682.1
OG0001044	ESY3_g31098_DN2_SP0_c0.t1	XP_018514567.1
OG0001044	ESY7_g19094_DN3_SP0_c0.t1	XP_009130819.1, XP_033138098.1, XP_033140883.1
OG0001045	ESY5_g2397_DN3_SP6_c4.t1	XP_009106410.1, XP_009128231.1, XP_009103284.1, XP_009149696.1, XP_009110169.1
OG0001046	ESY5_g2558_DN3_SP0_c0.t1	XP_009103312.1
OG0001046	ESY2_g34717_DN3_SP0_c0.t1	XP_009104665.2, XP_009128186.1
OG0001047	ESY5_g3998_DN3_SP8_c0.t1	XP_009149494.2, XP_009103369.1, XP_033133412.1
OG0001047	ESY2_g36086_DN3_SP8_c0.t1	XP_009106230.1, XP_009104697.1
OG0001048	ESY9_g43288_DN3_SP0_c36.t1, ESY8_g59038_DN3_SP0_c0.t1, ESY8_g59024_DN3_SP0_c0.t1, ESY16_g62520_DN3_SP0_c0.t1, ESY16_g62522_DN3_SP0_c0.t1	XP_033131038.1, XP_033131039.1, XP_033131650.1
OG0001049	ESY2_g36189_DN3_SP0_c16.t1	XP_009123647.1, XP_009147579.1
OG0001049	ESY2_g33518_DN2_SP0_c38.t1	XP_009135375.1
OG0001050	ESY15_g65465_DN3_SP0_c0.t1	XP_018508296.1, XP_033143097.1, XP_009144664.1
OG0001051	ESY2_g35974_DN3_SP0_c0.t1, ESY8_g60048_DN3_SP0_c0.t1, ESY8_g60046_DN3_SP0_c0.t1	XP_009132432.1
