Orthogroup	Euclidium_syriacum	Brassica_oleracea
OG0002018	ESY2_g34244_DN3_SP8_c0.t1	XP_013588871.1
OG0002019	ESY3_g31549_DN2_SP0_c0.t1	XP_013629473.1, XP_013613660.1, XP_013607167.1
OG0002020	ESY3_g29834_DN3_SP0_c0.t1, ESY16_g61968_DN2_SP0_c0.t1	XP_013594862.1, XP_013627849.1
OG0002021	ESY3_g29824_DN3_SP8_c0.t1	XP_013586991.1
OG0002021	ESY2_g38309_DN3_SP8_c0.t1	XP_013591550.1
OG0002022	ESY3_g29801_DN3_SP8_c0.t1	XP_013583295.1, XP_013613837.1
OG0002022	ESY2_g38079_DN3_SP8_c0.t1	XP_013604739.1, XP_013588497.1
OG0002023	ESY2_g34585_DN3_SP2_c0.t1	XP_013597790.1, XP_013609576.1
OG0002023	ESY8_g60854_DN3_SP6_c0.t1	XP_013633864.1
OG0002024	ESY2_g35275_DN3_SP4_c17.t1	XP_013633847.1, XP_013616448.1, XP_013590151.1
OG0002025	ESY3_g28888_DN3_SP1_c0.t1	XP_013586186.1, XP_013607579.1, XP_013601873.1
OG0002026	ESY7_g18791_DN3_SP0_c0.t1	XP_013613681.1, XP_013612768.1
OG0002026	ESY7_g17010_DN3_SP0_c0.t1	XP_013613684.1, XP_013612771.1
OG0002027	ESY20_g13004_DN3_SP2_c0.t1	XP_013612012.1
OG0002027	ESY5_g5497_DN3_SP8_c0.t1	XP_013600347.1, XP_013587354.1
OG0002028	ESY20_g13046_DN3_SP3_c0.t1	XP_013628634.1
OG0002028	ESY5_g5476_DN3_SP6_c0.t1	XP_013583876.1, XP_013583671.1
OG0002029	ESY20_g13047_DN3_SP0_c0.t1, ESY3_g31345_DN3_SP0_c0.t1	XP_013619650.1, XP_013637940.1
OG0002030	ESY5_g5338_DN3_SP0_c0.t1	XP_013602595.1, XP_013583947.1
OG0002030	ESY20_g13195_DN3_SP0_c0.t1	XP_013627155.1
OG0002031	ESY5_g3580_DN3_SP0_c0.t1, ESY8_g60394_DN2_SP0_c0.t1, ESY5_g4808_DN3_SP0_c0.t1	XP_013630798.1
OG0002032	ESY2_g34180_DN3_SP3_c0.t1, ESY2_g34181_DN3_SP4_c0.t1	XP_013609244.1
OG0002032	ESY3_g32467_DN3_SP1_c0.t1, ESY5_g3285_DN3_SP5_c0.t1	XP_013614642.1
OG0002033	ESY5_g3504_DN3_SP0_c0.t1	XP_013586313.1
OG0002033	ESY5_g3505_DN3_SP0_c67.t1	XP_013612591.1
OG0002034	ESY5_g3630_DN3_SP8_c0.t1	XP_013583511.1, XP_013601959.1, XP_013601931.1
OG0002035	ESY5_g3704_DN3_SP6_c0.t1	XP_013600541.1
OG0002035	ESY2_g33784_DN3_SP8_c0.t1	XP_013612607.1, XP_013606509.1
OG0002036	ESY2_g33593_DN3_SP8_c0.t1	XP_013614483.1, XP_013613987.1
OG0002036	ESY5_g3836_DN3_SP8_c0.t1	XP_013637732.1
OG0002037	ESY5_g2581_DN3_SP8_c0.t1, ESY10_g13949_DN2_SP0_c0.t1	XP_013600566.1, XP_013638621.1, XP_013601064.1
OG0002038	ESY5_g2834_DN3_SP0_c0.t1	XP_013599843.1, XP_013638293.1, XP_013600188.1
OG0002039	ESY1_g11171_DN3_SP0_c0.t1	XP_013639242.1
OG0002040	ESY7_g17950_DN2_SP0_c0.t1, ESY7_g17952_DN3_SP0_c0.t1	XP_013639320.1
OG0002040	ESY7_g17951_DN3_SP0_c0.t1, ESY7_g17954_DN3_SP0_c0.t1, ESY7_g17953_DN2_SP0_c0.t1	XP_013639322.1
OG0002041	ESY5_g2105_DN3_SP6_c0.t1	XP_013584611.1
OG0002041	ESY2_g35596_DN3_SP8_c0.t1	XP_013587797.1, XP_013592892.1
OG0002042	ESY8_g60040_DN2_SP7_c0.t1	XP_013634921.1
OG0002042	ESY2_g33307_DN3_SP0_c0.t1	XP_013615359.1, XP_013610223.1, XP_013610100.1
OG0002043	ESY4_g26935_DN3_SP1_c0.t1	XP_013637055.1, XP_013593185.1
OG0002044	ESY4_g25503_DN3_SP8_c0.t1	XP_013598159.1, XP_013622300.1
OG0002045	ESY4_g25994_DN3_SP8_c0.t1	XP_013621736.1, XP_013599108.1
OG0002045	ESY8_g59246_DN3_SP4_c0.t1	XP_013637310.1
OG0002046	ESY2_g38446_DN2_SP0_c0.t1, ESY8_g58374_DN3_SP0_c0.t1, ESY20_g12704_DN3_SP0_c0.t1, ESY8_g58284_DN3_SP0_c0.t1, ESY20_g12700_DN3_SP0_c0.t1, ESY2_g37004_DN3_SP0_c0.t1	XP_013632599.1, XP_013632598.1
OG0002047	ESY1_g9939_DN3_SP0_c0.t1, ESY1_g9938_DN3_SP0_c0.t1	XP_013602779.1, XP_013603523.1
OG0002048	ESY5_g3397_DN3_SP0_c0.t1	XP_013612517.1
OG0002056	ESY6_g48643_DN3_SP5_c0.t1	XP_013625953.1
OG0002056	ESY1_g8352_DN2_SP7_c0.t1	XP_013629260.1
OG0002057	ESY1_g8990_DN3_SP5_c0.t1	XP_013599584.1
OG0002057	ESY6_g49796_DN3_SP1_c0.t1	XP_013629432.1, XP_013590629.1, XP_013618776.1
OG0002058	ESY7_g17072_DN3_SP8_c0.t1	XP_013605964.1
OG0002058	ESY3_g32168_DN3_SP8_c0.t1	XP_013584749.1, XP_013619637.1
OG0002059	ESY7_g17074_DN2_SP0_c0.t1	XP_013622954.1, XP_013615092.1, XP_013620032.1
OG0002060	ESY7_g17080_DN3_SP0_c0.t1	XP_013610026.1, XP_013611359.1
OG0002060	ESY7_g17096_DN3_SP0_c0.t1	XP_013614125.1
OG0002061	ESY3_g32301_DN3_SP0_c0.t1	XP_013584116.1
OG0002061	ESY7_g17160_DN3_SP0_c0.t1	XP_013638749.1, XP_013627773.1
OG0002062	ESY7_g17249_DN3_SP6_c0.t1	XP_013625345.1, XP_013608858.1
OG0002062	ESY3_g32397_DN3_SP0_c0.t1	XP_013584535.1
OG0002063	ESY3_g32444_DN3_SP1_c0.t1	XP_013630421.1, XP_013632804.1
OG0002063	ESY7_g17302_DN3_SP8_c0.t1	XP_013629350.1
OG0002064	ESY7_g17332_DN2_SP0_c0.t1	XP_013612903.1
OG0002064	ESY3_g32466_DN3_SP8_c0.t1	XP_013630756.1, XP_013585166.1
OG0002065	ESY3_g32478_DN3_SP8_c14.t1	XP_013618547.1
OG0002065	ESY7_g17369_DN3_SP8_c13.t1	XP_013612846.1
OG0002066	ESY3_g32488_DN3_SP7_c0.t1	XP_013628318.1
OG0002066	ESY7_g17383_DN3_SP7_c0.t1	XP_013618195.1
OG0002067	ESY7_g17620_DN3_SP8_c0.t1	XP_013618271.1, XP_013613188.1
OG0002067	ESY3_g32652_DN3_SP7_c0.t1	XP_013614033.1
OG0002068	ESY7_g17733_DN3_SP8_c0.t1	XP_013606162.1, XP_013625509.1
OG0002068	ESY3_g30078_DN3_SP5_c0.t1	XP_013625722.1
OG0002069	ESY7_g18404_DN3_SP8_c0.t1	XP_013611768.1, XP_013628826.1, XP_013598053.1
OG0002070	ESY6_g49922_DN3_SP8_c0.t1	XP_013593576.1
OG0002070	ESY7_g18220_DN3_SP8_c0.t1	XP_013628976.1
OG0002071	ESY7_g18031_DN3_SP0_c0.t1	XP_013612399.1
OG0002071	ESY7_g18030_DN3_SP0_c0.t1	XP_013616191.1, XP_013612398.1, XP_013609976.1, XP_013616192.1, XP_013623773.1, XP_013625950.1
OG0002072	ESY7_g17933_DN3_SP8_c0.t1	XP_013616026.1, XP_013630287.1, XP_013606242.1
OG0002073	ESY7_g17864_DN3_SP0_c0.t1	XP_013618577.1, XP_013611505.1, XP_013625025.1
OG0002074	ESY6_g49534_DN3_SP0_c0.t1	XP_013598288.1
OG0002074	ESY7_g18604_DN3_SP0_c9.t1	XP_013612445.1
OG0002075	ESY8_g58332_DN3_SP0_c0.t1	XP_013612308.1
OG0002075	ESY5_g5176_DN3_SP0_c0.t1	XP_013586653.1
OG0002076	ESY8_g58990_DN3_SP5_c0.t1	XP_013625063.1
OG0002076	ESY8_g58989_DN3_SP7_c0.t1	XP_013634922.1
OG0002077	ESY8_g58946_DN3_SP6_c0.t1	XP_013631438.1, XP_013633873.1
OG0002077	ESY5_g4433_DN3_SP5_c0.t1	XP_013638724.1
OG0002078	ESY5_g4810_DN3_SP8_c0.t1	XP_013585177.1
OG0002078	ESY8_g58373_DN3_SP4_c0.t1	XP_013635436.1
OG0002079	ESY5_g4841_DN3_SP0_c0.t1	XP_013586767.1
OG0002079	ESY20_g13334_DN3_SP7_c0.t1	XP_013635156.1
OG0002080	ESY5_g5151_DN3_SP0_c0.t1	XP_013638266.1
OG0002080	ESY8_g58181_DN3_SP0_c0.t1	XP_013612703.1, XP_013616298.1
OG0002081	ESY1_g6299_DN3_SP7_c0.t1	XP_013631230.1
OG0002081	ESY4_g22511_DN3_SP7_c0.t1	XP_013600181.1
OG0002082	ESY5_g2789_DN3_SP8_c0.t1	XP_013587085.1
OG0002082	ESY10_g14345_DN3_SP8_c0.t1	XP_013616232.1
OG0002083	ESY6_g50312_DN3_SP8_c0.t1	XP_013613099.1, XP_013598748.1, XP_013621687.1
OG0002083	ESY11_g54297_DN3_SP8_c0.t1	XP_013627148.1
OG0002084	ESY1_g9821_DN3_SP0_c0.t1	XP_013603556.1
OG0002084	ESY6_g50408_DN3_SP0_c0.t1	XP_013596276.1
OG0002085	ESY6_g50597_DN3_SP0_c0.t1, ESY6_g50595_DN2_SP0_c0.t1, ESY6_g50596_DN2_SP0_c0.t1	XP_013622601.1, XP_013626305.1, XP_013619427.1
OG0002087	ESY1_g9674_DN3_SP8_c0.t1	XP_013600553.1
OG0002087	ESY6_g50037_DN3_SP8_c0.t1	XP_013593945.1
OG0002088	ESY6_g50027_DN3_SP0_c0.t1	XP_013618538.1
OG0002089	ESY1_g7124_DN3_SP2_c0.t1	XP_013628713.1
OG0002089	ESY6_g49195_DN3_SP3_c0.t1	XP_013613307.1, XP_013616110.1
OG0002090	ESY6_g48973_DN3_SP1_c7.t1	XP_013625918.1, XP_013614229.1, XP_013587455.1
OG0002091	ESY1_g8043_DN2_SP0_c29.t1	XP_013602999.1, XP_013628763.1, XP_013611645.1
OG0002092	ESY13_g56248_DN3_SP8_c0.t1	XP_013607316.1, XP_013612064.1
OG0002093	ESY13_g56106_DN3_SP0_c0.t1	XP_013602581.1, XP_013614200.1
OG0002093	ESY6_g48357_DN3_SP8_c0.t1	XP_013606394.1
OG0002094	ESY16_g62562_DN3_SP4_c0.t1	XP_013596691.1, XP_013618879.1
OG0002094	ESY6_g48183_DN3_SP7_c0.t1	XP_013611487.1
OG0002095	ESY16_g62415_DN2_SP7_c0.t1	XP_013600563.1, XP_013598436.1, XP_013602798.1, XP_013618591.1
OG0002096	ESY6_g47958_DN3_SP7_c0.t1	XP_013609438.1, XP_013620835.1
OG0002096	ESY16_g62343_DN3_SP8_c0.t1	XP_013600649.1
OG0002097	ESY20_g13293_DN3_SP3_c0.t1	XP_013619556.1
OG0002097	ESY5_g5240_DN3_SP8_c0.t1	XP_013585209.1
OG0002098	ESY4_g25671_DN3_SP0_c0.t1, ESY4_g25636_DN3_SP0_c0.t1	XP_013638716.1, XP_013589237.1, XP_013595910.1, XP_013620702.1
OG0002099	ESY7_g18859_DN3_SP8_c0.t1	XP_013618074.1, XP_013606631.1, XP_013622866.1
OG0002100	ESY7_g19577_DN2_SP0_c0.t1	XP_013611888.1
OG0002100	ESY3_g30836_DN3_SP0_c0.t1	XP_013586178.1, XP_013585187.1
OG0002101	ESY3_g32357_DN3_SP8_c0.t1	XP_013621811.1
OG0002101	ESY7_g19602_DN3_SP6_c0.t1	XP_013614162.1, XP_013621748.1
OG0002102	ESY10_g13759_DN3_SP8_c0.t1	XP_013592918.1
OG0002102	ESY8_g60170_DN3_SP8_c0.t1	XP_013631743.1
OG0002102	ESY2_g34077_DN3_SP0_c0.t1	XP_013615919.1
OG0002104	ESY6_g48312_DN3_SP0_c0.t1, ESY5_g2958_DN3_SP8_c0.t1	XP_013604857.1, XP_013585649.1
OG0002104	ESY2_g36586_DN3_SP8_c0.t1	XP_013591990.1
OG0002105	ESY5_g3026_DN3_SP6_c0.t1	XP_013604406.1, XP_013583777.1
OG0002105	ESY2_g36664_DN3_SP6_c0.t1	XP_013592546.1
OG0002106	ESY5_g3052_DN3_SP2_c0.t1	XP_013586810.1
OG0002106	ESY2_g36756_DN3_SP5_c0.t1	XP_013618714.1
OG0002107	ESY2_g36765_DN3_SP8_c0.t1, ESY5_g3055_DN3_SP2_c0.t1	XP_013590064.1, XP_013592868.1
OG0002108	ESY2_g36773_DN3_SP1_c0.t1	XP_013589923.1
OG0002108	ESY5_g3058_DN3_SP0_c0.t1	XP_013603217.1, XP_013584585.1
OG0002109	ESY2_g35055_DN3_SP8_c0.t1	XP_013584988.1, XP_013618421.1, XP_013587889.1
OG0002110	ESY2_g34668_DN3_SP8_c1.t1	XP_013588567.1, XP_013588524.1
OG0002110	ESY5_g2463_DN3_SP8_c0.t1	XP_013626491.1, XP_013614612.1
OG0002111	ESY5_g2550_DN3_SP8_c0.t1	XP_013587252.1
OG0002111	ESY2_g34703_DN3_SP8_c0.t1	XP_013588201.1
OG0002112	ESY2_g36335_DN3_SP0_c10.t1	XP_013621744.1
OG0002112	ESY3_g30206_DN3_SP0_c9.t1	XP_013586433.1
OG0002113	ESY2_g36304_DN3_SP6_c0.t1	XP_013592277.1, XP_013625568.1
OG0002113	ESY3_g30210_DN3_SP0_c0.t1	XP_013583763.1
OG0002114	ESY3_g30234_DN3_SP7_c0.t1	XP_013594717.1
OG0002114	ESY2_g36277_DN3_SP0_c0.t1	XP_013588744.1
OG0002115	ESY5_g783_DN3_SP6_c0.t1	XP_013619794.1, XP_013584521.1, XP_013595635.1
OG0002116	ESY27_g13543_DN3_SP0_c0.t1	XP_013615696.1, XP_013615503.1, XP_013615090.1, XP_013594304.1, XP_013602419.1
OG0002117	ESY22_g40464_DN3_SP0_c0.t1	XP_013634913.1
OG0002117	ESY3_g28509_DN3_SP8_c0.t1	XP_013631944.1, XP_013596542.1
OG0002118	ESY22_g40695_DN3_SP8_c0.t1	XP_013605850.1, XP_013602174.1
OG0002118	ESY3_g28636_DN2_SP4_c0.t1	XP_013586337.1, XP_013607239.1
OG0002119	ESY22_g41118_DN3_SP0_c0.t1	XP_013588222.1
OG0002119	ESY3_g28937_DN3_SP0_c0.t1	XP_013583781.1, XP_013615128.1
OG0002120	ESY5_g5130_DN3_SP0_c0.t1, ESY16_g62344_DN3_SP0_c0.t1, ESY5_g5129_DN3_SP0_c0.t1	XP_013600638.1
OG0002122	ESY2_g38753_DN3_SP8_c0.t1	XP_013601643.1, XP_013597785.1
OG0002122	ESY3_g29043_DN3_SP0_c0.t1, ESY3_g29041_DN3_SP3_c0.t1	XP_013622774.1
OG0002123	ESY8_g59810_DN3_SP2_c0.t1	XP_013634246.1, XP_013604789.1
OG0002124	ESY5_g4314_DN3_SP0_c0.t1	XP_013584949.1
OG0002124	ESY2_g35851_DN3_SP0_c0.t1	XP_013616217.1, XP_013590062.1
OG0002125	ESY11_g54706_DN3_SP6_c0.t1	XP_013612765.1, XP_013599044.1
OG0002126	ESY8_g60525_DN3_SP3_c0.t1	XP_013618119.1, XP_013593371.1, XP_013606170.1
OG0002127	ESY10_g13738_DN3_SP7_c0.t1, ESY8_g60199_DN3_SP8_c0.t1	XP_013593500.1, XP_013608665.1, XP_013616046.1
OG0002128	ESY7_g16813_DN3_SP8_c0.t1	XP_013593430.1
OG0002128	ESY9_g42825_DN3_SP7_c0.t1	XP_013622244.1
OG0002129	ESY2_g37259_DN3_SP8_c8.t1	XP_013592032.1
OG0002129	ESY3_g29126_DN3_SP8_c0.t1	XP_013638180.1
OG0002130	ESY3_g30612_DN3_SP0_c0.t1	XP_013636339.1, XP_013585896.1
OG0002131	ESY1_g5655_DN2_SP3_c0.t1	XP_013622513.1
OG0002131	ESY10_g15064_DN3_SP0_c0.t1	XP_013610441.1, XP_013619683.1
OG0002132	ESY2_g36429_DN3_SP0_c0.t1, ESY2_g36428_DN3_SP0_c0.t1, ESY2_g36461_DN2_SP0_c0.t1, ESY2_g36460_DN3_SP0_c0.t1	XP_013628504.1, XP_013584352.1
OG0002133	ESY52_g61418_DN3_SP0_c0.t1, ESY52_g61417_DN3_SP0_c0.t1, ESY23_g169_DN3_SP0_c0.t1, ESY23_g178_DN3_SP0_c0.t1	XP_013596521.1, XP_013621396.1
OG0002134	ESY4_g25631_DN3_SP7_c0.t1	XP_013591584.1
OG0002134	ESY11_g53712_DN3_SP8_c0.t1	XP_013625952.1, XP_013595622.1
OG0002135	ESY11_g53858_DN2_SP0_c0.t1	XP_013611453.1
OG0002135	ESY4_g25543_DN3_SP0_c0.t1	XP_013635655.1
OG0002136	ESY23_g308_DN3_SP8_c0.t1	XP_013599241.1, XP_013593761.1, XP_013609210.1
OG0002137	ESY23_g290_DN3_SP0_c0.t1	XP_013627958.1, XP_013639483.1, XP_013595965.1
OG0002137	ESY18_g63864_DN3_SP0_c0.t1	XP_013619719.1
OG0002138	ESY4_g25217_DN3_SP0_c0.t1	XP_013617713.1
OG0002138	ESY8_g59307_DN3_SP2_c0.t1	XP_013602912.1
OG0002139	ESY10_g15159_DN3_SP0_c0.t1	XP_013595096.1, XP_013595095.1, XP_013597302.1
OG0002140	ESY9_g43212_DN3_SP4_c21.t1	XP_013597662.1, XP_013596166.1, XP_013596826.1, XP_013614143.1, XP_013613758.1, XP_013597761.1
OG0002141	ESY7_g16693_DN3_SP6_c0.t1	XP_013593207.1, XP_013596041.1, XP_013593206.1
OG0002142	ESY7_g16621_DN3_SP0_c0.t1	XP_013598765.1
OG0002142	ESY9_g43286_DN3_SP0_c0.t1	XP_013628647.1, XP_013599133.1, XP_013598147.1
OG0002143	ESY7_g16523_DN3_SP5_c0.t1	XP_013617915.1, XP_013621728.1
OG0002144	ESY19_g41488_DN3_SP8_c0.t1	XP_013630292.1
OG0002144	ESY14_g20839_DN3_SP8_c0.t1	XP_013637771.1
OG0002145	ESY1_g12506_DN3_SP8_c0.t1	XP_013604119.1, XP_013636008.1
OG0002145	ESY8_g58769_DN3_SP0_c0.t1	XP_013590255.1
OG0002146	ESY12_g51702_DN3_SP1_c0.t1	XP_013630919.1
OG0002146	ESY1_g12346_DN3_SP1_c0.t1	XP_013629577.1, XP_013600931.1
OG0002147	ESY1_g12316_DN3_SP8_c0.t1	XP_013592197.1
OG0002147	ESY12_g51739_DN3_SP8_c0.t1	XP_013633640.1
OG0002148	ESY1_g12205_DN3_SP0_c0.t1	XP_013600409.1
OG0002148	ESY11_g52619_DN2_SP0_c0.t1, ESY12_g51886_DN3_SP0_c0.t1	XP_013636956.1
OG0002149	ESY1_g12026_DN3_SP0_c0.t1	XP_013634696.1, XP_013605198.1
OG0002150	ESY16_g62114_DN3_SP1_c0.t1	XP_013622988.1, XP_013635821.1, XP_013635823.1
OG0002151	ESY12_g51040_DN2_SP0_c0.t1	XP_013636116.1
OG0002151	ESY1_g8035_DN1_SP0_c0.t1, ESY1_g11785_DN3_SP0_c0.t1	XP_013604446.1
OG0002152	ESY1_g11800_DN3_SP8_c0.t1	XP_013591790.1, XP_013600322.1
OG0002152	ESY12_g51054_DN3_SP3_c0.t1	XP_013634387.1
OG0002153	ESY1_g10523_DN3_SP7_c0.t1	XP_013601974.1
OG0002153	ESY12_g50987_DN3_SP8_c0.t1	XP_013631485.1
OG0002154	ESY1_g10985_DN3_SP8_c0.t1	XP_013637093.1, XP_013605726.1
OG0002155	ESY1_g11119_DN3_SP1_c0.t1	XP_013590178.1, XP_013613777.1, XP_013613779.1, XP_013600217.1
OG0002156	ESY6_g47450_DN3_SP0_c0.t1	XP_013606686.1
OG0002156	ESY16_g62100_DN3_SP8_c0.t1	XP_013595281.1, XP_013600928.1
OG0002157	ESY3_g29883_DN3_SP0_c0.t1	XP_013609497.1
OG0002157	ESY2_g38418_DN3_SP0_c0.t1	XP_013601574.1
OG0002158	ESY3_g27963_DN3_SP8_c0.t1	XP_013600623.1, XP_013593768.1, XP_013622973.1
OG0002159	ESY9_g42475_DN1_SP0_c8.t1	XP_013607875.1
OG0002160	ESY2_g37855_DN3_SP6_c0.t1	XP_013590883.1, XP_013619548.1
OG0002160	ESY5_g801_DN3_SP8_c0.t1	XP_013628732.1
OG0002161	ESY2_g34512_DN3_SP8_c0.t1	XP_013592445.1, XP_013592310.1, XP_013628095.1, XP_013593854.1, XP_013587312.1
OG0002162	ESY11_g54354_DN3_SP8_c0.t1	XP_013608878.1, XP_013592988.1
OG0002162	ESY4_g24603_DN3_SP7_c0.t1	XP_013616428.1
OG0002163	ESY12_g51090_DN3_SP0_c86.t1	XP_013635016.1
OG0002163	ESY12_g51091_DN3_SP0_c15.t1	XP_013632380.1
OG0002164	ESY7_g16665_DN3_SP0_c0.t1, ESY9_g45665_DN3_SP0_c0.t1, ESY9_g45669_DN3_SP0_c0.t1	XP_013625878.1, XP_013633765.1
OG0002165	ESY2_g34306_DN3_SP0_c0.t1	XP_013630839.1
OG0002165	ESY9_g44834_DN3_SP0_c0.t1	XP_013626485.1
OG0002166	ESY5_g2590_DN1_SP0_c0.t1	XP_013594853.1
OG0002167	ESY8_g59885_DN2_SP0_c0.t1	XP_013633652.1
OG0002167	ESY4_g26860_DN3_SP0_c0.t1	XP_013589721.1, XP_013598019.1
OG0002168	ESY4_g26831_DN3_SP6_c0.t1	XP_013636816.1, XP_013629317.1, XP_013596272.1
OG0002170	ESY8_g59732_DN3_SP0_c0.t1	XP_013602148.1
OG0002170	ESY8_g59788_DN3_SP0_c0.t1	XP_013631353.1
OG0002171	ESY20_g13154_DN2_SP0_c0.t1, ESY2_g37096_DN3_SP0_c0.t1	XP_013623602.1, XP_013607052.1, XP_013610090.1
OG0002172	ESY10_g15688_DN3_SP0_c0.t1	XP_013613269.1, XP_013597362.1
OG0002172	ESY3_g31903_DN1_SP0_c0.t1	XP_013585908.1
OG0002173	ESY6_g50035_DN3_SP0_c0.t1, ESY6_g47997_DN2_SP0_c0.t1, ESY5_g5363_DN3_SP0_c0.t1, ESY1_g12260_DN3_SP0_c0.t1, ESY5_g5464_DN3_SP0_c0.t1, ESY1_g12530_DN3_SP0_c0.t1, ESY6_g47740_DN3_SP0_c0.t1, ESY11_g54615_DN3_SP0_c0.t1	XP_013635537.1, XP_013633672.1, XP_013636034.1, XP_013610824.1, XP_013616825.1
OG0002174	ESY5_g5534_DN3_SP7_c0.t1	XP_013628910.1, XP_013633684.1, XP_013633840.1, XP_013604784.1
OG0002175	ESY3_g32275_DN3_SP0_c0.t1	XP_013605150.1, XP_013603798.1, XP_013603592.1
OG0002176	ESY10_g15409_DN3_SP1_c0.t1	XP_013618237.1, XP_013595422.1
OG0002177	ESY3_g31455_DN3_SP8_c0.t1	XP_013638175.1, XP_013616173.1, XP_013598006.1
OG0002178	ESY15_g64471_DN3_SP0_c0.t1	XP_013607491.1, XP_013595890.1
OG0002178	ESY3_g31414_DN3_SP2_c0.t1	XP_013625675.1, XP_013586895.1
OG0002179	ESY3_g30774_DN2_SP0_c0.t1	XP_013618076.1
OG0002179	ESY3_g30772_DN3_SP0_c0.t1	XP_013615137.1
OG0002180	ESY3_g31341_DN3_SP7_c0.t1	XP_013638649.1
OG0002180	ESY3_g31342_DN1_SP0_c0.t1, ESY7_g18444_DN3_SP0_c0.t1	XP_013596121.1, XP_013628862.1
OG0002181	ESY2_g38078_DN3_SP7_c0.t1	XP_013587145.1, XP_013613842.1
OG0002181	ESY3_g29800_DN3_SP8_c11.t1	XP_013621847.1
OG0002182	ESY3_g29712_DN3_SP0_c0.t1	XP_013625556.1, XP_013635846.1
OG0002182	ESY2_g37960_DN3_SP0_c0.t1	XP_013589826.1
OG0002183	ESY3_g29677_DN2_SP4_c0.t1	XP_013626031.1, XP_013620085.1, XP_013614986.1
OG0002184	ESY3_g29456_DN3_SP0_c0.t1	XP_013638372.1
OG0002184	ESY2_g37612_DN3_SP0_c0.t1	XP_013604256.1, XP_013584099.1
OG0002185	ESY2_g34534_DN3_SP0_c0.t1	XP_013607214.1, XP_013599446.1
OG0002185	ESY8_g60615_DN3_SP0_c0.t1	XP_013631916.1
OG0002186	ESY3_g28798_DN3_SP0_c0.t1	XP_013607476.1, XP_013615649.1, XP_013585993.1, XP_013585995.1
OG0002187	ESY7_g19103_DN3_SP0_c0.t1	XP_013634300.1
OG0002187	ESY2_g34366_DN2_SP0_c0.t1	XP_013618296.1
OG0002188	ESY5_g3219_DN2_SP0_c0.t1	XP_013604827.1
OG0002189	ESY1_g10379_DN3_SP0_c0.t1	XP_013636221.1, XP_013637588.1, XP_013622415.1
OG0002190	ESY12_g50819_DN3_SP4_c0.t1	XP_013637249.1, XP_013627891.1
OG0002190	ESY1_g10247_DN3_SP1_c0.t1	XP_013608806.1
OG0002191	ESY5_g4797_DN3_SP5_c0.t1	XP_013585640.1
OG0002191	ESY8_g58398_DN3_SP0_c0.t1, ESY8_g58397_DN3_SP0_c0.t1, ESY19_g41712_DN3_SP0_c0.t1	XP_013635557.1, XP_013635071.1
OG0002192	ESY5_g3300_DN3_SP0_c0.t1, ESY5_g3450_DN2_SP0_c0.t1	XP_013600542.1
OG0002192	ESY4_g25430_DN3_SP0_c0.t1	XP_013634074.1
OG0002193	ESY2_g34062_DN3_SP0_c0.t1	XP_013612453.1
OG0002193	ESY5_g3468_DN3_SP1_c0.t1	XP_013585681.1
OG0002194	ESY2_g34039_DN3_SP5_c0.t1	XP_013609959.1
OG0002194	ESY5_g3479_DN3_SP2_c0.t1	XP_013600259.1, XP_013585674.1, XP_013600664.1
OG0002195	ESY2_g33926_DN3_SP0_c0.t1	XP_013606665.1
OG0002196	ESY9_g43844_DN2_SP0_c0.t1	XP_013583673.1
OG0002197	ESY5_g2873_DN3_SP0_c0.t1	XP_013637888.1, XP_013599793.1
OG0002197	ESY10_g14648_DN2_SP3_c0.t1	XP_013614059.1
OG0002198	ESY5_g2166_DN3_SP8_c0.t1	XP_013614910.1
OG0002198	ESY2_g35635_DN3_SP1_c0.t1	XP_013590558.1
OG0002199	ESY2_g35632_DN3_SP0_c6.t1	XP_013588277.1
OG0002199	ESY5_g2149_DN3_SP8_c7.t1	XP_013587372.1
OG0002200	ESY2_g35648_DN3_SP1_c0.t1	XP_013599091.1, XP_013592898.1, XP_013590069.1
OG0002201	ESY2_g33657_DN3_SP0_c0.t1	XP_013612296.1
OG0002203	ESY34_g45718_DN3_SP8_c0.t1	XP_013600242.1, XP_013598342.1
OG0002203	ESY11_g54666_DN3_SP7_c0.t1	XP_013599128.1
OG0002205	ESY2_g35295_DN3_SP0_c5.t1	XP_013630392.1, XP_013618880.1
OG0002206	ESY2_g35961_DN3_SP8_c0.t1	XP_013588196.1, XP_013592577.1, XP_013638349.1, XP_013619110.1
OG0002207	ESY4_g26781_DN3_SP7_c0.t1	XP_013629977.1, XP_013599390.1
OG0002208	ESY4_g26524_DN2_SP0_c0.t1	XP_013593704.1, XP_013583391.1, XP_013602438.1
OG0002209	ESY5_g2610_DN3_SP0_c0.t1, ESY3_g28703_DN3_SP0_c0.t1, ESY4_g25773_DN3_SP0_c0.t1, ESY4_g25479_DN3_SP0_c0.t1, ESY4_g25770_DN3_SP0_c0.t1	XP_013627744.1
OG0002210	ESY4_g25710_DN3_SP3_c0.t1	XP_013591315.1
OG0002210	ESY11_g53539_DN2_SP7_c0.t1	XP_013595876.1
OG0002211	ESY15_g64692_DN3_SP8_c0.t1	XP_013632287.1
OG0002211	ESY3_g28175_DN3_SP8_c0.t1	XP_013599430.1, XP_013627189.1
