Orthogroup	Euclidium_syriacum	Arabidopsis_arenosa
OG0001506	ESY3_g30069_DN3_SP7_c0.t1	jg25195
OG0001507	ESY7_g18182_DN3_SP8_c0.t1	jg4974
OG0001507	ESY6_g49958_DN3_SP8_c0.t1	jg6430
OG0001508	ESY7_g18629_DN3_SP1_c0.t1	jg4639
OG0001508	ESY6_g49553_DN3_SP0_c0.t1	jg23055
OG0001510	ESY5_g4108_DN1_SP0_c0.t1	jg31195
OG0001510	ESY2_g34499_DN3_SP0_c0.t1, ESY5_g4107_DN3_SP0_c0.t1	jg2378
OG0001511	ESY8_g58995_DN3_SP7_c0.t1	jg17723
OG0001511	ESY5_g3093_DN3_SP8_c0.t1	jg29182
OG0001512	ESY8_g58905_DN3_SP0_c0.t1	jg29144, jg17830
OG0001513	ESY8_g58894_DN3_SP0_c0.t1	jg17843
OG0001513	ESY5_g4476_DN3_SP0_c0.t1	jg29129
OG0001514	ESY8_g58711_DN3_SP6_c0.t1	jg18040
OG0001515	ESY5_g4646_DN3_SP8_c0.t1	jg29016
OG0001515	ESY8_g58573_DN3_SP6_c0.t1	jg18129
OG0001516	ESY5_g4705_DN3_SP0_c0.t1	jg28967
OG0001516	ESY8_g58537_DN3_SP5_c0.t1	jg18171
OG0001517	ESY5_g4866_DN3_SP8_c0.t1	jg28852
OG0001517	ESY20_g12676_DN3_SP0_c0.t1	jg18312
OG0001518	ESY5_g4998_DN3_SP8_c10.t1	jg28765
OG0001518	ESY20_g12845_DN3_SP8_c10.t1	jg18441
OG0001519	ESY5_g5014_DN3_SP1_c0.t1	jg28759
OG0001519	ESY20_g12856_DN3_SP8_c24.t1	jg20901
OG0001520	ESY5_g5029_DN3_SP0_c0.t1	jg28753
OG0001520	ESY20_g12869_DN2_SP0_c0.t1	jg20875
OG0001521	ESY2_g36663_DN2_SP0_c0.t1	jg3657
OG0001521	ESY5_g3024_DN2_SP0_c0.t1	jg30106
OG0001522	ESY4_g23222_DN3_SP0_c0.t1	jg31460, jg18526
OG0001523	ESY4_g23241_DN3_SP8_c0.t1	jg18529, jg31474
OG0001524	ESY1_g11202_DN3_SP8_c0.t1	jg15998
OG0001524	ESY16_g62039_DN3_SP8_c0.t1	jg31662
OG0001525	ESY16_g61842_DN3_SP5_c0.t1	jg31803
OG0001526	ESY1_g9813_DN3_SP0_c0.t1	jg14851
OG0001526	ESY6_g50441_DN3_SP0_c0.t1	jg23627
OG0001527	ESY6_g50454_DN3_SP8_c0.t1	jg23596
OG0001527	ESY1_g10754_DN3_SP8_c0.t1	jg15480
OG0001528	ESY6_g49676_DN3_SP0_c0.t1	jg23323
OG0001528	ESY4_g25457_DN1_SP0_c70.t1, ESY4_g25456_DN2_SP0_c0.t1	jg8835
OG0001529	ESY6_g50061_DN3_SP8_c0.t1	jg6307
OG0001529	ESY1_g9654_DN3_SP8_c0.t1	jg14777
OG0001530	ESY6_g48342_DN3_SP0_c0.t1, ESY6_g48332_DN3_SP0_c0.t1	jg22576
OG0001531	ESY6_g48319_DN3_SP0_c47.t1	jg6121, jg6119
OG0001534	ESY10_g15132_DN1_SP0_c0.t1	jg20450
OG0001534	ESY9_g42509_DN3_SP0_c0.t1	jg10826
OG0001535	ESY39_g61441_DN3_SP8_c0.t1	jg9827
OG0001535	ESY6_g48282_DN3_SP8_c0.t1	jg22545
OG0001536	ESY8_g60118_DN3_SP0_c9.t1, ESY2_g33497_DN3_SP2_c8.t1	jg528, jg527
OG0001537	ESY20_g13244_DN3_SP0_c0.t1	jg7971
OG0001537	ESY5_g5289_DN3_SP3_c0.t1	jg28600
OG0001538	ESY5_g5245_DN3_SP8_c0.t1	jg28618
OG0001538	ESY20_g13278_DN3_SP8_c0.t1	jg7956
OG0001539	ESY7_g18746_DN3_SP0_c0.t1, ESY7_g18747_DN3_SP0_c0.t1	jg4429
OG0001540	ESY3_g31203_DN3_SP0_c0.t1	jg25055
OG0001540	ESY7_g18902_DN3_SP0_c0.t1	jg4308
OG0001541	ESY7_g19023_DN3_SP0_c0.t1	jg4227
OG0001541	ESY3_g31132_DN1_SP0_c0.t1	jg25001
OG0001542	ESY3_g31005_DN3_SP8_c0.t1	jg4085, jg24914
OG0001543	ESY2_g34672_DN1_SP0_c0.t1	jg3365
OG0001543	ESY5_g2466_DN3_SP0_c0.t1	jg30685
OG0001544	ESY5_g2467_DN3_SP1_c0.t1	jg3364, jg30684
OG0001545	ESY2_g34718_DN3_SP8_c0.t1	jg3320
OG0001545	ESY5_g2559_DN3_SP8_c0.t1	jg30645
OG0001546	ESY2_g35971_DN3_SP0_c0.t1	jg3154
OG0001546	ESY2_g35972_DN3_SP0_c0.t1, ESY5_g4438_DN3_SP0_c0.t1, ESY5_g4436_DN2_SP0_c0.t1	jg3158
OG0001547	ESY11_g54007_DN3_SP0_c0.t1	jg27862, jg8810, jg27861
OG0001548	ESY4_g26043_DN3_SP7_c0.t1	jg8754
OG0001548	ESY11_g54109_DN2_SP8_c0.t1	jg27908
OG0001549	ESY15_g65692_DN2_SP0_c0.t1	jg11464
OG0001549	ESY3_g28090_DN2_SP0_c0.t1	jg26712
OG0001550	ESY2_g34901_DN3_SP4_c0.t1	jg3039
OG0001550	ESY5_g4200_DN3_SP8_c0.t1	jg30369
OG0001552	ESY7_g16824_DN3_SP7_c0.t1	jg20517
OG0001552	ESY9_g42802_DN3_SP3_c0.t1	jg10692
OG0001553	ESY3_g29243_DN3_SP0_c0.t1	jg26186
OG0001553	ESY2_g37428_DN3_SP0_c0.t1	jg33200
OG0001554	ESY2_g37027_DN3_SP7_c0.t1	jg33464
OG0001554	ESY3_g30608_DN3_SP8_c0.t1	jg25611
OG0001555	ESY10_g14880_DN3_SP8_c0.t1	jg20349
OG0001555	ESY9_g42477_DN3_SP8_c0.t1, ESY9_g45565_DN3_SP0_c0.t1	jg10852
OG0001556	ESY10_g14781_DN3_SP8_c0.t1	jg20284, jg10891
OG0001557	ESY6_g50280_DN3_SP8_c0.t1	jg23737
OG0001557	ESY1_g10059_DN3_SP8_c0.t1	jg14957
OG0001558	ESY12_g51413_DN3_SP8_c0.t1	jg20124
OG0001558	ESY1_g12436_DN3_SP8_c0.t1	jg16297
OG0001559	ESY4_g25063_DN3_SP0_c0.t1	jg9192
OG0001559	ESY8_g59356_DN3_SP7_c0.t1	jg17088
OG0001560	ESY12_g52119_DN3_SP3_c0.t1	jg19762
OG0001560	ESY1_g11925_DN3_SP0_c0.t1	jg16048
OG0001561	ESY1_g11548_DN3_SP0_c0.t1	jg15815
OG0001561	ESY1_g11546_DN3_SP0_c0.t1	jg15816
OG0001562	ESY16_g62298_DN3_SP0_c0.t1	jg1692, jg1419
OG0001562	ESY12_g51251_DN2_SP0_c0.t1	jg15767, jg19482
OG0001563	ESY12_g51051_DN3_SP8_c0.t1	jg19390
OG0001563	ESY1_g11799_DN3_SP8_c5.t1	jg15645, jg15715
OG0001564	ESY1_g10678_DN3_SP8_c0.t1	jg15533
OG0001564	ESY9_g45634_DN3_SP8_c0.t1	jg19221
OG0001566	ESY9_g45155_DN2_SP0_c0.t1, ESY1_g10997_DN3_SP0_c0.t1	jg33000
OG0001567	ESY1_g10659_DN3_SP0_c31.t1, ESY1_g10417_DN3_SP0_c0.t1	jg14239
OG0001567	ESY2_g35225_DN3_SP0_c0.t1	jg14237
OG0001568	ESY4_g24478_DN3_SP8_c17.t1	jg9416
OG0001568	ESY11_g54513_DN3_SP8_c17.t1	jg28101
OG0001569	ESY8_g59837_DN3_SP8_c0.t1	jg16568
OG0001569	ESY4_g26815_DN3_SP3_c0.t1	jg8385
OG0001570	ESY2_g35739_DN3_SP8_c0.t1	jg2818
OG0001570	ESY14_g20594_DN3_SP6_c0.t1	jg32123
OG0001571	ESY5_g5197_DN3_SP7_c0.t1	jg28641
OG0001571	ESY7_g16907_DN3_SP8_c0.t1	jg5758
OG0001572	ESY3_g31781_DN3_SP0_c0.t1	jg24430
OG0001572	ESY10_g15570_DN3_SP8_c0.t1	jg6648
OG0001573	ESY10_g15716_DN3_SP0_c0.t1	jg6760
OG0001573	ESY3_g31921_DN3_SP0_c0.t1	jg24374
OG0001574	ESY4_g24014_DN3_SP0_c0.t1	jg9586
OG0001574	ESY11_g54946_DN3_SP8_c5.t1	jg28279
OG0001575	ESY7_g19596_DN3_SP0_c0.t1, ESY7_g17373_DN3_SP0_c0.t1	jg24312, jg24311
OG0001576	ESY10_g15671_DN3_SP6_c0.t1	jg6705
OG0001576	ESY3_g31834_DN3_SP7_c0.t1	jg24402
OG0001577	ESY3_g30675_DN3_SP0_c0.t1	jg21361, jg24717
OG0001580	ESY4_g23389_DN2_SP0_c0.t1, ESY4_g23391_DN2_SP0_c0.t1	jg9868, jg9867, jg11355, jg11354
OG0001581	ESY8_g60818_DN1_SP0_c0.t1	jg12515, jg12516
OG0001582	ESY5_g4851_DN3_SP8_c0.t1	jg18306, jg28858
OG0001583	ESY5_g3575_DN3_SP0_c0.t1	jg29506
OG0001583	ESY2_g33921_DN3_SP0_c0.t1	jg886
OG0001584	ESY5_g2858_DN3_SP8_c0.t1	jg29971
OG0001584	ESY10_g14587_DN3_SP8_c0.t1	jg12968
OG0001585	ESY5_g2272_DN3_SP0_c27.t1	jg30817
OG0001585	ESY5_g2266_DN3_SP1_c0.t1, ESY5_g2793_DN3_SP1_c19.t1	jg30818
OG0001586	ESY10_g14137_DN3_SP0_c0.t1, ESY10_g14142_DN2_SP0_c0.t1, ESY2_g34551_DN1_SP0_c0.t1	jg13179
OG0001587	ESY5_g2096_DN3_SP6_c0.t1	jg30892
OG0001587	ESY2_g35591_DN3_SP6_c0.t1	jg2680
OG0001588	ESY2_g33303_DN3_SP0_c0.t1	jg403
OG0001588	ESY8_g60022_DN2_SP0_c0.t1	jg12823
OG0001589	ESY11_g54184_DN3_SP0_c0.t1	jg13568
OG0001589	ESY11_g54185_DN2_SP0_c0.t1	jg13573
OG0001590	ESY4_g26080_DN2_SP0_c0.t1	jg1475
OG0001591	ESY4_g26649_DN3_SP0_c0.t1	jg8509
OG0001592	ESY4_g25747_DN3_SP0_c0.t1	jg8953, jg8954
OG0001593	ESY10_g14059_DN3_SP5_c0.t1	jg13218, jg29817
OG0001594	ESY11_g53890_DN1_SP0_c0.t1, ESY11_g53575_DN1_SP0_c0.t1, ESY7_g16390_DN1_SP0_c0.t1, ESY6_g49404_DN1_SP0_c0.t1, ESY11_g53576_DN1_SP0_c0.t1, ESY11_g54061_DN1_SP0_c0.t1	jg2103, jg2642, jg1877, jg1882, jg1881, jg1870
OG0001595	ESY2_g35336_DN3_SP0_c0.t1	jg1926, jg1929, jg1923, jg1925
OG0001597	ESY6_g48251_DN3_SP0_c0.t1	jg22524, jg22522, jg22523, jg22521, jg14940, jg22525
OG0001598	ESY7_g18630_DN3_SP0_c0.t1	jg4640
OG0001598	ESY6_g49557_DN3_SP0_c0.t1, ESY6_g49555_DN2_SP0_c0.t1, ESY8_g59142_DN2_SP0_c0.t1	jg23052, jg23053
OG0001599	ESY4_g24196_DN2_SP0_c0.t1	jg9550, jg9551
OG0001603	ESY1_g9190_DN3_SP0_c0.t1	jg14661
OG0001603	ESY6_g49708_DN3_SP0_c0.t1	jg23301
OG0001604	ESY5_g4125_DN1_SP0_c0.t1, ESY5_g4127_DN1_SP0_c0.t1	jg30428
OG0001604	ESY1_g9011_DN2_SP0_c0.t1	jg14625
OG0001605	ESY21_g55814_DN3_SP0_c0.t1	jg12655, jg12644
OG0001606	ESY7_g17209_DN3_SP0_c0.t1	jg5545
OG0001606	ESY3_g32360_DN3_SP0_c0.t1	jg24147
OG0001607	ESY3_g32385_DN2_SP7_c11.t1	jg24133
OG0001607	ESY7_g17239_DN3_SP8_c6.t1	jg5520
OG0001608	ESY3_g29194_DN3_SP0_c18.t1	jg26221, jg26222
OG0001609	ESY7_g17366_DN3_SP8_c0.t1	jg5432
OG0001609	ESY3_g32477_DN3_SP0_c0.t1, ESY28_g55045_DN3_SP0_c0.t1	jg24071
OG0001610	ESY1_g9940_DN2_SP7_c0.t1	jg31260, jg31262
OG0001611	ESY7_g18369_DN3_SP8_c0.t1	jg5092
OG0001611	ESY6_g49880_DN3_SP8_c0.t1	jg5804
OG0001612	ESY6_g49885_DN3_SP5_c0.t1	jg5808
OG0001612	ESY7_g18321_DN3_SP5_c0.t1	jg5064
OG0001613	ESY7_g18234_DN3_SP4_c0.t1	jg5005
OG0001613	ESY6_g49915_DN2_SP0_c48.t1, ESY6_g49913_DN3_SP0_c0.t1	jg6490
OG0001614	ESY7_g17998_DN3_SP8_c0.t1	jg23504, jg4857
OG0001615	ESY7_g17997_DN3_SP7_c0.t1, ESY2_g34853_DN3_SP0_c0.t1	jg4856
OG0001617	ESY7_g17806_DN3_SP8_c0.t1	jg4736
OG0001617	ESY6_g49613_DN3_SP8_c0.t1	jg23370
OG0001618	ESY6_g50205_DN3_SP8_c0.t1	jg6147
OG0001618	ESY7_g18652_DN3_SP8_c0.t1	jg4666
OG0001619	ESY8_g58330_DN3_SP0_c0.t1	jg7901
OG0001619	ESY5_g5170_DN1_SP0_c0.t1	jg28658
OG0001620	ESY8_g58855_DN3_SP6_c12.t1	jg29112, jg17872
OG0001621	ESY8_g58719_DN3_SP7_c0.t1	jg18033
OG0001621	ESY5_g4567_DN3_SP8_c0.t1	jg29072
OG0001622	ESY5_g4581_DN3_SP0_c0.t1	jg29061
OG0001622	ESY8_g58702_DN3_SP0_c0.t1	jg18047
OG0001623	ESY8_g58655_DN3_SP1_c0.t1	jg18087
OG0001623	ESY5_g4615_DN3_SP0_c0.t1	jg29037
OG0001624	ESY8_g58495_DN3_SP0_c0.t1	jg18143
OG0001624	ESY5_g4659_DN3_SP0_c0.t1	jg29005
OG0001625	ESY8_g58418_DN3_SP3_c0.t1	jg18237
OG0001625	ESY5_g4771_DN3_SP0_c0.t1	jg28916
OG0001626	ESY20_g12803_DN3_SP3_c0.t1, ESY5_g4967_DN3_SP6_c0.t1	jg18415, jg28784
OG0001627	ESY5_g4990_DN3_SP8_c0.t1	jg28769
OG0001627	ESY20_g12831_DN3_SP8_c10.t1	jg18432
OG0001628	ESY5_g5077_DN2_SP0_c0.t1	jg28726
OG0001628	ESY8_g58144_DN3_SP0_c0.t1	jg20801
OG0001629	ESY8_g58230_DN3_SP0_c0.t1	jg7838
OG0001629	ESY5_g5123_DN3_SP2_c0.t1	jg28681
OG0001630	ESY13_g56421_DN3_SP2_c0.t1	jg9895, jg21956
OG0001631	ESY1_g5965_DN3_SP0_c0.t1	jg20932
OG0001631	ESY2_g35208_DN3_SP0_c0.t1	jg31295
OG0001632	ESY4_g22928_DN3_SP8_c0.t1	jg18497, jg31384
OG0001633	ESY6_g49460_DN3_SP0_c0.t1	jg23118
OG0001633	ESY6_g49453_DN3_SP0_c0.t1, ESY2_g34122_DN3_SP0_c0.t1	jg23122
OG0001634	ESY6_g49535_DN3_SP8_c0.t1	jg23069
OG0001634	ESY5_g2721_DN3_SP0_c0.t1	jg29860
OG0001635	ESY6_g50147_DN3_SP7_c0.t1	jg6214, jg14703
OG0001636	ESY6_g50042_DN2_SP0_c0.t1	jg14808, jg6328
OG0001638	ESY6_g49266_DN3_SP8_c0.t1, ESY6_g49270_DN3_SP1_c0.t1	jg5863, jg5862
OG0001639	ESY5_g3535_DN3_SP0_c0.t1	jg22563
OG0001640	ESY16_g62465_DN3_SP1_c0.t1	jg9783
OG0001640	ESY6_g48055_DN3_SP8_c0.t1	jg22385
OG0001641	ESY97_g19681_DN3_SP5_c0.t1, ESY6_g47991_DN3_SP3_c0.t1	jg22344
OG0001641	ESY16_g62393_DN3_SP0_c0.t1	jg9767
OG0001642	ESY6_g47978_DN3_SP0_c0.t1	jg22329
OG0001643	ESY16_g62246_DN3_SP0_c0.t1	jg9718
OG0001643	ESY6_g47623_DN3_SP8_c0.t1	jg22215
OG0001644	ESY3_g31324_DN3_SP8_c0.t1	jg25124
OG0001644	ESY1_g10517_DN3_SP0_c0.t1	jg16131
OG0001645	ESY3_g31255_DN3_SP0_c0.t1	jg25096
OG0001645	ESY3_g31253_DN3_SP0_c0.t1	jg4372
OG0001646	ESY3_g31222_DN3_SP8_c0.t1	jg4318, jg25067
OG0001647	ESY1_g11742_DN3_SP2_c0.t1	jg15667
OG0001647	ESY7_g19176_DN3_SP8_c10.t1	jg4149
OG0001648	ESY8_g60226_DN3_SP8_c0.t1	jg12696
OG0001648	ESY10_g13722_DN3_SP0_c0.t1	jg13455
OG0001649	ESY8_g60169_DN3_SP8_c0.t1	jg12709
OG0001649	ESY10_g13762_DN3_SP8_c0.t1	jg13419
OG0001650	ESY8_g60090_DN3_SP6_c0.t1	jg12764
OG0001650	ESY2_g33400_DN3_SP8_c0.t1	jg482
OG0001651	ESY5_g3028_DN3_SP5_c0.t1	jg30111
OG0001651	ESY2_g36675_DN3_SP8_c0.t1	jg3650
OG0001652	ESY2_g36714_DN3_SP6_c0.t1	jg3621
OG0001652	ESY2_g36715_DN3_SP1_c0.t1	jg3620
OG0001653	ESY5_g3054_DN3_SP2_c12.t1	jg30131
OG0001653	ESY2_g36762_DN3_SP6_c15.t1	jg3609
OG0001654	ESY4_g26289_DN3_SP0_c0.t1, ESY26_g42305_DN1_SP0_c0.t1	jg31836
OG0001654	ESY7_g16929_DN2_SP0_c0.t1	jg1434
OG0001655	ESY2_g35340_DN3_SP3_c0.t1	jg1915, jg10518, jg10523, jg10530
OG0001656	ESY2_g34732_DN3_SP7_c0.t1	jg3309
OG0001656	ESY5_g3904_DN3_SP0_c0.t1	jg30633
OG0001657	ESY4_g25376_DN3_SP7_c0.t1	jg8801
OG0001658	ESY11_g54153_DN3_SP0_c0.t1	jg27923
OG0001658	ESY4_g26128_DN3_SP0_c0.t1	jg8732
OG0001659	ESY2_g36435_DN3_SP8_c0.t1	jg33819
OG0001659	ESY3_g30110_DN3_SP1_c0.t1	jg25230
OG0001660	ESY2_g36188_DN3_SP2_c14.t1	jg33611
OG0001660	ESY3_g30386_DN3_SP8_c20.t1	jg25444
OG0001661	ESY3_g30574_DN2_SP0_c0.t1	jg33505, jg25568
OG0001662	ESY1_g10393_DN3_SP0_c0.t1	jg18730, jg15157
OG0001664	ESY1_g10505_DN3_SP0_c0.t1	jg18787, jg15220
OG0001665	ESY1_g10506_DN3_SP8_c0.t1	jg18788, jg15221, jg10973
OG0001666	ESY22_g40825_DN3_SP0_c0.t1	jg11277
OG0001666	ESY3_g28843_DN3_SP0_c0.t1	jg26514
OG0001667	ESY2_g38593_DN3_SP0_c0.t1	jg11107
OG0001667	ESY3_g29928_DN3_SP0_c0.t1	jg25721
OG0001668	ESY3_g29905_DN3_SP0_c0.t1	jg25738
OG0001668	ESY2_g38551_DN3_SP4_c0.t1	jg11091
OG0001669	ESY2_g38519_DN3_SP3_c0.t1	jg11083
OG0001669	ESY2_g38518_DN3_SP0_c0.t1	jg11082
OG0001670	ESY2_g34914_DN3_SP0_c0.t1	jg3047
OG0001670	ESY2_g34915_DN3_SP4_c0.t1	jg3048
OG0001671	ESY21_g55400_DN3_SP0_c0.t1	jg13620
OG0001671	ESY8_g60430_DN3_SP0_c0.t1	jg12607
OG0001672	ESY10_g13833_DN3_SP0_c0.t1	jg13350
OG0001672	ESY5_g3879_DN3_SP0_c0.t1	jg29750
OG0001673	ESY10_g13991_DN3_SP0_c0.t1	jg13276
OG0001673	ESY5_g2640_DN2_SP8_c0.t1	jg29809
OG0001674	ESY3_g29416_DN3_SP8_c0.t1	jg26095
OG0001674	ESY2_g37575_DN3_SP0_c0.t1	jg33111
OG0001675	ESY2_g37481_DN3_SP8_c0.t1	jg33166, jg26143
OG0001676	ESY3_g29134_DN3_SP0_c0.t1	jg26280
OG0001676	ESY2_g37270_DN3_SP0_c0.t1	jg33283
OG0001677	ESY3_g29946_DN3_SP0_c0.t1	jg25703
OG0001677	ESY2_g37155_DN3_SP6_c0.t1	jg33378
OG0001678	ESY1_g10880_DN3_SP0_c0.t1	jg33389, jg33391, jg33390, jg33388, jg33387
OG0001679	ESY2_g37018_DN3_SP7_c0.t1	jg33468
OG0001679	ESY3_g30601_DN3_SP5_c0.t1	jg25605
OG0001680	ESY4_g26095_DN2_SP0_c0.t1	jg12306, jg12307, jg12304
OG0001681	ESY10_g14877_DN3_SP8_c0.t1	jg20341
OG0001682	ESY10_g14874_DN3_SP3_c0.t1	jg20339
OG0001682	ESY9_g42466_DN3_SP2_c0.t1	jg10856
OG0001683	ESY11_g53864_DN3_SP8_c0.t1	jg27755
OG0001683	ESY4_g25511_DN3_SP4_c0.t1	jg8861
OG0001684	ESY11_g53872_DN3_SP0_c0.t1	jg27766
OG0001684	ESY4_g25502_DN3_SP7_c0.t1	jg8855
OG0001685	ESY7_g16177_DN3_SP4_c27.t1	jg7691
OG0001685	ESY9_g43738_DN3_SP8_c0.t1	jg10326
OG0001686	ESY9_g43734_DN3_SP8_c0.t1	jg10328
OG0001686	ESY7_g16202_DN3_SP4_c0.t1	jg7694
OG0001687	ESY9_g43570_DN3_SP8_c0.t1	jg10378
OG0001687	ESY7_g16360_DN3_SP8_c0.t1	jg7738
OG0001688	ESY3_g27541_DN3_SP0_c0.t1	jg26875
OG0001688	ESY2_g33984_DN3_SP0_c0.t1	jg958
OG0001689	ESY14_g20780_DN3_SP8_c0.t1	jg32230
OG0001689	ESY19_g41454_DN3_SP8_c0.t1	jg7258
OG0001690	ESY1_g12536_DN3_SP0_c0.t1	jg16372
OG0001690	ESY12_g52322_DN2_SP0_c0.t1, ESY4_g25427_DN3_SP0_c0.t1	jg20219
OG0001691	ESY1_g12513_DN3_SP8_c13.t1	jg16353
OG0001691	ESY12_g52255_DN3_SP6_c0.t1	jg20177
OG0001692	ESY1_g12494_DN3_SP5_c17.t1	jg16337
OG0001692	ESY10_g14221_DN3_SP6_c14.t1	jg20195
OG0001693	ESY12_g51374_DN3_SP0_c0.t1	jg20104
OG0001693	ESY1_g12415_DN3_SP0_c0.t1	jg16279
OG0001694	ESY1_g12124_DN1_SP0_c0.t1, ESY1_g12122_DN1_SP0_c0.t1, ESY1_g12121_DN1_SP0_c0.t1, ESY1_g12123_DN2_SP0_c0.t1	jg13327, jg12462, jg19201
OG0001695	ESY1_g12020_DN3_SP8_c0.t1	jg16083
OG0001695	ESY12_g52026_DN3_SP8_c0.t1	jg19837
OG0001696	ESY1_g12019_DN3_SP8_c0.t1	jg16082
OG0001696	ESY12_g52040_DN3_SP8_c0.t1	jg19828
OG0001697	ESY12_g51498_DN3_SP8_c0.t1	jg19652
OG0001697	ESY1_g11234_DN3_SP8_c0.t1	jg15980
OG0001698	ESY12_g51567_DN3_SP8_c0.t1	jg19602
OG0001698	ESY1_g11374_DN3_SP8_c0.t1	jg15905
OG0001699	ESY12_g51303_DN3_SP2_c0.t1	jg19531
OG0001699	ESY1_g11567_DN3_SP7_c0.t1	jg15803
OG0001700	ESY1_g11766_DN3_SP1_c13.t1, ESY1_g11767_DN3_SP1_c0.t1	jg15686
OG0001700	ESY1_g11770_DN2_SP0_c0.t1	jg15687
OG0001701	ESY1_g10929_DN3_SP8_c0.t1	jg15389
OG0001702	ESY6_g47500_DN2_SP0_c0.t1	jg4973, jg7212, jg22128
OG0001703	ESY1_g8565_DN1_SP0_c0.t1, ESY2_g33796_DN2_SP0_c0.t1, ESY15_g64739_DN3_SP0_c0.t1, ESY9_g42654_DN2_SP0_c0.t1	jg26968
OG0001704	ESY2_g33475_DN3_SP0_c0.t1	jg27368
OG0001704	ESY2_g33975_DN3_SP0_c0.t1	jg21141
OG0001705	ESY7_g16175_DN3_SP2_c0.t1	jg7688
OG0001705	ESY9_g45649_DN3_SP7_c0.t1	jg19228
OG0001706	ESY4_g26793_DN3_SP0_c0.t1	jg8396, jg16582
OG0001708	ESY25_g62735_DN2_SP8_c0.t1	jg7339
OG0001708	ESY5_g2200_DN3_SP7_c0.t1	jg30845
OG0001709	ESY18_g64121_DN3_SP2_c0.t1, ESY14_g19779_DN3_SP8_c0.t1	jg7389, jg31973
OG0001710	ESY3_g31620_DN3_SP2_c0.t1	jg24517
OG0001710	ESY10_g15299_DN3_SP0_c0.t1	jg6554
OG0001711	ESY10_g15631_DN3_SP0_c0.t1	jg6671
OG0001711	ESY3_g31808_DN3_SP0_c11.t1	jg24409
OG0001712	ESY3_g31828_DN3_SP8_c0.t1	jg24396
OG0001712	ESY10_g15672_DN3_SP8_c0.t1	jg6699
OG0001713	ESY12_g51454_DN3_SP0_c0.t1	jg19689
OG0001713	ESY12_g51458_DN3_SP0_c0.t1	jg2171, jg19687
OG0001714	ESY3_g32588_DN3_SP0_c93.t1	jg23980, jg23979
OG0001715	ESY3_g32349_DN3_SP0_c0.t1	jg24156
OG0001715	ESY3_g32348_DN3_SP0_c0.t1	jg24155
OG0001716	ESY3_g32010_DN3_SP8_c0.t1	jg24330
OG0001717	ESY3_g29909_DN3_SP0_c0.t1	jg25733
OG0001717	ESY3_g31692_DN3_SP1_c0.t1	jg24463
OG0001718	ESY3_g31640_DN3_SP1_c0.t1	jg27441
OG0001718	ESY3_g31643_DN3_SP0_c0.t1	jg24010
OG0001718	ESY3_g31653_DN3_SP0_c0.t1	jg26884, jg24500
OG0001719	ESY7_g16943_DN3_SP8_c0.t1	jg5741
OG0001720	ESY3_g31534_DN3_SP8_c0.t1	jg24575
OG0001720	ESY7_g17011_DN3_SP8_c0.t1	jg5709
OG0001721	ESY3_g31525_DN3_SP0_c0.t1	jg24586, jg24587, jg24588
OG0001723	ESY3_g31468_DN3_SP7_c0.t1	jg24652
OG0001723	ESY15_g64405_DN3_SP7_c0.t1	jg21465
OG0001724	ESY19_g41777_DN3_SP5_c0.t1	jg7097, jg7143
OG0001724	ESY3_g30991_DN3_SP8_c0.t1	jg24907
OG0001725	ESY7_g16295_DN2_SP0_c0.t1	jg25102
OG0001726	ESY3_g29729_DN3_SP8_c0.t1	jg25918
OG0001726	ESY2_g37976_DN3_SP8_c0.t1	jg32940
OG0001727	ESY3_g29690_DN3_SP2_c0.t1	jg25953
OG0001727	ESY2_g37928_DN3_SP0_c0.t1	jg32957
OG0001728	ESY4_g23867_DN3_SP8_c0.t1	jg9640
OG0001728	ESY6_g47126_DN3_SP8_c0.t1	jg21996
OG0001729	ESY1_g10096_DN3_SP0_c0.t1, ESY1_g10154_DN3_SP0_c0.t1	jg15029, jg15031, jg15028, jg15030
OG0001730	ESY5_g5482_DN3_SP0_c0.t1	jg28481
OG0001730	ESY20_g13032_DN3_SP0_c0.t1	jg8122
OG0001731	ESY5_g5479_DN3_SP3_c0.t1	jg8127, jg28489
OG0001732	ESY20_g13164_DN2_SP0_c0.t1	jg8041
OG0001732	ESY5_g5350_DN3_SP0_c0.t1	jg28546
OG0001733	ESY20_g13192_DN3_SP0_c21.t1	jg28579, jg8007
OG0001734	ESY2_g34124_DN3_SP8_c12.t1	jg1206, jg1204
OG0001734	ESY5_g3365_DN3_SP8_c0.t1	jg29351
OG0001735	ESY5_g3574_DN3_SP8_c0.t1	jg29505
OG0001736	ESY2_g33871_DN3_SP8_c0.t1	jg842
OG0001736	ESY5_g3615_DN3_SP8_c0.t1	jg29533
OG0001737	ESY16_g61538_DN3_SP0_c0.t1	jg31581
OG0001737	ESY5_g3741_DN3_SP4_c0.t1	jg29633
OG0001738	ESY5_g3764_DN3_SP0_c0.t1	jg672, jg29652
OG0001739	ESY5_g2588_DN3_SP0_c0.t1	jg29770, jg29768, jg13380
OG0001740	ESY2_g35625_DN3_SP8_c0.t1	jg30869, jg2713
OG0001741	ESY4_g26625_DN3_SP8_c0.t1	jg8538
OG0001741	ESY15_g64992_DN3_SP8_c0.t1	jg6576
OG0001742	ESY2_g35576_DN3_SP7_c0.t1	jg2667
