Orthogroup	Euclidium_syriacum	Raphanus_sativus
OG0001540	ESY7_g18902_DN3_SP0_c0.t1	XP_018446941.1
OG0001541	ESY3_g31132_DN1_SP0_c0.t1	XP_018466330.1, XP_018461908.1, XP_018442556.1, XP_018473043.1, XP_018488910.1
OG0001542	ESY3_g31005_DN3_SP8_c0.t1	XP_018470958.1, XP_018470957.1, XP_018432536.1, XP_018490690.1
OG0001543	ESY2_g34672_DN1_SP0_c0.t1	XP_018443096.1, XP_018444027.1, XP_018442979.1
OG0001543	ESY5_g2466_DN3_SP0_c0.t1	XP_018459931.1
OG0001544	ESY5_g2467_DN3_SP1_c0.t1	XP_018442497.1, XP_018436574.1, XP_018462733.1, XP_018447815.1, XP_018442014.1
OG0001545	ESY2_g34718_DN3_SP8_c0.t1	XP_018442701.1
OG0001545	ESY5_g2559_DN3_SP8_c0.t1	XP_018472412.1, XP_018450323.1
OG0001546	ESY2_g35971_DN3_SP0_c0.t1	XP_018468742.1, XP_018468676.1
OG0001546	ESY2_g35972_DN3_SP0_c0.t1, ESY5_g4438_DN3_SP0_c0.t1, ESY5_g4436_DN2_SP0_c0.t1	XP_018444261.1, XP_018444245.1, XP_018464651.1, XP_018464064.1
OG0001547	ESY11_g54007_DN3_SP0_c0.t1	XP_018462541.1, XP_018471409.1, XP_018492337.1
OG0001548	ESY4_g26043_DN3_SP7_c0.t1	XP_018477379.1
OG0001548	ESY11_g54109_DN2_SP8_c0.t1	XP_018434904.1, XP_018434923.1
OG0001549	ESY15_g65692_DN2_SP0_c0.t1	XP_018447143.1
OG0001549	ESY3_g28090_DN2_SP0_c0.t1	XP_018441978.1, XP_018486911.1, XP_018486894.1
OG0001550	ESY2_g34901_DN3_SP4_c0.t1	XP_018452643.1
OG0001550	ESY5_g4200_DN3_SP8_c0.t1	XP_018435843.1, XP_018451520.1
OG0001551	ESY12_g51420_DN2_SP0_c0.t1, ESY12_g51423_DN1_SP0_c0.t1, ESY9_g44190_DN2_SP0_c0.t1, ESY11_g54100_DN2_SP0_c0.t1	XP_018452602.1, XP_018463203.1
OG0001552	ESY7_g16824_DN3_SP7_c0.t1	XP_018461599.1, XP_018477836.1, XP_018455996.1
OG0001552	ESY9_g42802_DN3_SP3_c0.t1	XP_018482647.1
OG0001553	ESY3_g29243_DN3_SP0_c0.t1	XP_018439949.1, XP_018490777.1
OG0001553	ESY2_g37428_DN3_SP0_c0.t1	XP_018459878.1
OG0001554	ESY2_g37027_DN3_SP7_c0.t1	XP_018486913.1
OG0001554	ESY3_g30608_DN3_SP8_c0.t1	XP_018437098.1, XP_018432974.1
OG0001555	ESY10_g14880_DN3_SP8_c0.t1	XP_018434987.1, XP_018482024.1
OG0001555	ESY9_g42477_DN3_SP8_c0.t1, ESY9_g45565_DN3_SP0_c0.t1	XP_018482980.1
OG0001556	ESY10_g14781_DN3_SP8_c0.t1	XP_018439046.1, XP_018481981.1, XP_018481979.1, XP_018455360.1, XP_018477422.1
OG0001557	ESY6_g50280_DN3_SP8_c0.t1	XP_018433093.1, XP_018457764.1, XP_018433511.1
OG0001557	ESY1_g10059_DN3_SP8_c0.t1	XP_018449029.1
OG0001558	ESY12_g51413_DN3_SP8_c0.t1	XP_018441472.1, XP_018477480.1, XP_018476608.1
OG0001558	ESY1_g12436_DN3_SP8_c0.t1	XP_018485294.1
OG0001559	ESY4_g25063_DN3_SP0_c0.t1	XP_018480238.1, XP_018480242.1, XP_018472156.1
OG0001559	ESY8_g59356_DN3_SP7_c0.t1	XP_018437520.1, XP_018490436.1
OG0001560	ESY12_g52119_DN3_SP3_c0.t1	XP_018475264.1, XP_018461825.1
OG0001560	ESY1_g11925_DN3_SP0_c0.t1	XP_018488040.1, XP_018491110.1
OG0001561	ESY1_g11548_DN3_SP0_c0.t1	XP_018482123.1
OG0001561	ESY1_g11546_DN3_SP0_c0.t1	XP_018491994.1, XP_018463687.1
OG0001562	ESY12_g51251_DN2_SP0_c0.t1	XP_018485832.1, XP_018459501.1, XP_018442717.1, XP_018459949.1
OG0001563	ESY12_g51051_DN3_SP8_c0.t1	XP_018472823.1, XP_018440932.1
OG0001563	ESY1_g11799_DN3_SP8_c5.t1	XP_018465800.1, XP_018461051.1, XP_018483567.1, XP_018477440.1, XP_018479967.1
OG0001564	ESY1_g10678_DN3_SP8_c0.t1	XP_018485162.1, XP_018485885.1, XP_018485859.1
OG0001564	ESY9_g45634_DN3_SP8_c0.t1	XP_018440570.1, XP_018476008.1
OG0001566	ESY9_g45155_DN2_SP0_c0.t1	XP_018433241.1
OG0001566	ESY1_g10997_DN3_SP0_c0.t1	XP_018490645.1
OG0001567	ESY2_g35225_DN3_SP0_c0.t1	XP_018457951.1, XP_018470000.1, XP_018438630.1
OG0001568	ESY4_g24478_DN3_SP8_c17.t1	XP_018470492.1, XP_018470494.1, XP_018483517.1
OG0001568	ESY11_g54513_DN3_SP8_c17.t1	XP_018456660.1, XP_018441778.1
OG0001569	ESY8_g59837_DN3_SP8_c0.t1	XP_018433856.1, XP_018474838.1, XP_018474635.1
OG0001569	ESY4_g26815_DN3_SP3_c0.t1	XP_018471560.1
OG0001570	ESY2_g35739_DN3_SP8_c0.t1	XP_018452212.1, XP_018446226.1
OG0001571	ESY5_g5197_DN3_SP7_c0.t1	XP_018486866.1
OG0001571	ESY7_g16907_DN3_SP8_c0.t1	XP_018474543.1, XP_018445822.1, XP_018445819.1
OG0001572	ESY3_g31781_DN3_SP0_c0.t1	XP_018488323.1, XP_018438556.1
OG0001572	ESY10_g15570_DN3_SP8_c0.t1	XP_018477950.1, XP_018441549.1
OG0001573	ESY10_g15716_DN3_SP0_c0.t1	XP_018461282.1, XP_018452580.1, XP_018477510.1
OG0001573	ESY3_g31921_DN3_SP0_c0.t1	XP_018489660.1, XP_018438051.1
OG0001574	ESY4_g24014_DN3_SP0_c0.t1	XP_018450515.1, XP_018471565.1, XP_018484254.1
OG0001574	ESY11_g54946_DN3_SP8_c5.t1	XP_018441700.1, XP_018441702.1
OG0001575	ESY3_g32543_DN3_SP0_c0.t1	XP_018454003.1
OG0001575	ESY7_g19596_DN3_SP0_c0.t1, ESY7_g17373_DN3_SP0_c0.t1	XP_018455448.1, XP_018455490.1, XP_018455368.1, XP_018465980.1, XP_018454048.1
OG0001576	ESY10_g15671_DN3_SP6_c0.t1	XP_018457788.1, XP_018484082.1
OG0001577	ESY3_g30675_DN3_SP0_c0.t1	XP_018478908.1, XP_018435120.1, XP_018485794.1, XP_018481487.1, XP_018481499.1, XP_018485663.1
OG0001580	ESY4_g23389_DN2_SP0_c0.t1, ESY4_g23391_DN2_SP0_c0.t1	XP_018448407.1, XP_018448409.1, XP_018450015.1, XP_018479513.1
OG0001581	ESY8_g60818_DN1_SP0_c0.t1	XP_018467192.1, XP_018481642.1
OG0001581	ESY7_g18492_DN3_SP0_c0.t1	XP_018477104.1
OG0001582	ESY5_g4851_DN3_SP8_c0.t1	XP_018484754.1, XP_018437853.1, XP_018447753.1, XP_018487097.1
OG0001583	ESY5_g3575_DN3_SP0_c0.t1	XP_018466739.1
OG0001583	ESY5_g3576_DN3_SP0_c0.t1	XP_018435273.1
OG0001583	ESY2_g33921_DN3_SP0_c0.t1	XP_018452576.1, XP_018458645.1, XP_018434204.1
OG0001584	ESY5_g2858_DN3_SP8_c0.t1	XP_018484725.1
OG0001584	ESY10_g14587_DN3_SP8_c0.t1	XP_018477723.1, XP_018434166.1
OG0001585	ESY5_g2272_DN3_SP0_c27.t1	XP_018433322.1
OG0001585	ESY5_g2266_DN3_SP1_c0.t1, ESY5_g2793_DN3_SP1_c19.t1	XP_018451343.1, XP_018447780.1
OG0001586	ESY10_g14137_DN3_SP0_c0.t1, ESY10_g14142_DN2_SP0_c0.t1	XP_018439442.1, XP_018455199.1, XP_018455314.1
OG0001587	ESY5_g2096_DN3_SP6_c0.t1	XP_018450618.1, XP_018450617.1
OG0001587	ESY2_g35591_DN3_SP6_c0.t1	XP_018468423.1, XP_018459397.1
OG0001588	ESY2_g33303_DN3_SP0_c0.t1	XP_018457206.1
OG0001588	ESY8_g60022_DN2_SP0_c0.t1	XP_018445162.1
OG0001589	ESY11_g54184_DN3_SP0_c0.t1	XP_018440923.1, XP_018481777.1, XP_018481782.1
OG0001590	ESY4_g26080_DN2_SP0_c0.t1	XP_018448355.1
OG0001591	ESY8_g59697_DN2_SP0_c0.t1	XP_018436704.1
OG0001591	ESY4_g26649_DN3_SP0_c0.t1	XP_018468125.1, XP_018468123.1
OG0001592	ESY4_g25747_DN3_SP0_c0.t1	XP_018439083.1, XP_018439082.1, XP_018470040.1, XP_018461186.1, XP_018461192.1, XP_018469001.1
OG0001593	ESY5_g2657_DN3_SP7_c0.t1	XP_018435175.1, XP_018433429.1
OG0001593	ESY10_g14059_DN3_SP5_c0.t1	XP_018458391.1, XP_018478567.1
OG0001595	ESY2_g35336_DN3_SP0_c0.t1	XP_018484650.1
OG0001597	ESY6_g48251_DN3_SP0_c0.t1	XP_018474207.1, XP_018453558.1, XP_018447378.1
OG0001598	ESY6_g49561_DN3_SP0_c0.t1	XP_018466703.1, XP_018489313.1
OG0001599	ESY4_g24196_DN2_SP0_c0.t1	XP_018487570.1, XP_018465941.1, XP_018467782.1
OG0001603	ESY1_g9190_DN3_SP0_c0.t1	XP_018469709.1, XP_018441573.1, XP_018458341.1, XP_018458343.1
OG0001603	ESY6_g49708_DN3_SP0_c0.t1	XP_018458208.1, XP_018432865.1
OG0001604	ESY5_g4125_DN1_SP0_c0.t1, ESY5_g4127_DN1_SP0_c0.t1	XP_018455401.1, XP_018438168.1
OG0001604	ESY1_g9011_DN2_SP0_c0.t1	XP_018488682.1
OG0001605	ESY2_g38003_DN3_SP0_c0.t1	XP_018448527.1
OG0001605	ESY21_g55814_DN3_SP0_c0.t1	XP_018479665.1
OG0001606	ESY7_g17209_DN3_SP0_c0.t1	XP_018459306.1
OG0001606	ESY3_g32360_DN3_SP0_c0.t1	XP_018492964.1
OG0001607	ESY3_g32385_DN2_SP7_c11.t1	XP_018436796.1, XP_018436794.1, XP_018490656.1
OG0001607	ESY7_g17239_DN3_SP8_c6.t1	XP_018471571.1, XP_018445140.1
OG0001608	ESY3_g29194_DN3_SP0_c18.t1	XP_018466893.1, XP_018487608.1, XP_018441530.1
OG0001609	ESY3_g32477_DN3_SP0_c0.t1	XP_018485665.1, XP_018476370.1, XP_018446843.1, XP_018446871.1
OG0001610	ESY1_g9940_DN2_SP7_c0.t1	XP_018449250.1, XP_018437376.1, XP_018436105.1
OG0001611	ESY7_g18369_DN3_SP8_c0.t1	XP_018444540.1, XP_018444577.1
OG0001611	ESY6_g49880_DN3_SP8_c0.t1	XP_018443957.1, XP_018464060.1, XP_018471632.1
OG0001612	ESY6_g49885_DN3_SP5_c0.t1	XP_018442261.1
OG0001612	ESY7_g18321_DN3_SP5_c0.t1	XP_018476665.1, XP_018446643.1
OG0001613	ESY7_g18234_DN3_SP4_c0.t1	XP_018473166.1, XP_018444992.1
OG0001613	ESY6_g49915_DN2_SP0_c48.t1, ESY6_g49913_DN3_SP0_c0.t1	XP_018479309.1
OG0001614	ESY7_g17998_DN3_SP8_c0.t1	XP_018441806.1, XP_018465325.1, XP_018467457.1, XP_018439354.1, XP_018446745.1
OG0001615	ESY8_g59710_DN2_SP7_c0.t1	XP_018438180.1, XP_018438868.1
OG0001617	ESY7_g17806_DN3_SP8_c0.t1	XP_018442503.1, XP_018476199.1
OG0001617	ESY6_g49613_DN3_SP8_c0.t1	XP_018436595.1, XP_018490910.1
OG0001618	ESY6_g50205_DN3_SP8_c0.t1	XP_018457260.1, XP_018455118.1
OG0001618	ESY7_g18652_DN3_SP8_c0.t1	XP_018443876.1
OG0001619	ESY8_g58330_DN3_SP0_c0.t1	XP_018452582.1, XP_018452583.1
OG0001619	ESY5_g5170_DN1_SP0_c0.t1	XP_018465936.1, XP_018438622.1, XP_018440100.1
OG0001620	ESY8_g58855_DN3_SP6_c12.t1	XP_018468568.1, XP_018493581.1, XP_018460859.1, XP_018436851.1, XP_018483578.1
OG0001621	ESY8_g58719_DN3_SP7_c0.t1	XP_018473498.1
OG0001621	ESY5_g4567_DN3_SP8_c0.t1	XP_018437399.1, XP_018450632.1
OG0001622	ESY5_g4581_DN3_SP0_c0.t1	XP_018437191.1, XP_018488680.1
OG0001622	ESY8_g58702_DN3_SP0_c0.t1	XP_018476026.1, XP_018482753.1
OG0001623	ESY8_g58655_DN3_SP1_c0.t1	XP_018485195.1
OG0001623	ESY5_g4615_DN3_SP0_c0.t1	XP_018440014.1, XP_018486892.1
OG0001624	ESY8_g58495_DN3_SP0_c0.t1	XP_018480435.1
OG0001624	ESY5_g4659_DN3_SP0_c0.t1	XP_018472757.1
OG0001625	ESY8_g58418_DN3_SP3_c0.t1	XP_018433644.1
OG0001625	ESY5_g4771_DN3_SP0_c0.t1	XP_018451572.1, XP_018451560.1
OG0001626	ESY20_g12803_DN3_SP3_c0.t1, ESY5_g4967_DN3_SP6_c0.t1	XP_018474656.1, XP_018447371.1, XP_018435550.1
OG0001627	ESY5_g4990_DN3_SP8_c0.t1	XP_018447095.1, XP_018449448.1, XP_018476847.1
OG0001627	ESY20_g12831_DN3_SP8_c10.t1	XP_018433484.1, XP_018484565.1
OG0001628	ESY5_g5077_DN2_SP0_c0.t1	XP_018449457.1, XP_018449454.1
OG0001628	ESY8_g58144_DN3_SP0_c0.t1	XP_018434246.1, XP_018453263.1
OG0001629	ESY8_g58230_DN3_SP0_c0.t1	XP_018472965.1, XP_018452712.1, XP_018452722.1
OG0001629	ESY5_g5123_DN3_SP2_c0.t1	XP_018491842.1
OG0001630	ESY13_g56421_DN3_SP2_c0.t1	XP_018458862.1, XP_018458546.1, XP_018462574.1, XP_018478035.1, XP_018478034.1
OG0001631	ESY1_g5965_DN3_SP0_c0.t1	XP_018484718.1, XP_018441584.1
OG0001631	ESY2_g35208_DN3_SP0_c0.t1	XP_018490454.1
OG0001632	ESY4_g22928_DN3_SP8_c0.t1	XP_018475290.1, XP_018438998.1, XP_018485060.1, XP_018451804.1, XP_018432958.1
OG0001633	ESY6_g49460_DN3_SP0_c0.t1	XP_018477563.1
OG0001633	ESY6_g49453_DN3_SP0_c0.t1, ESY2_g34122_DN3_SP0_c0.t1	XP_018481679.1
OG0001634	ESY6_g49535_DN3_SP8_c0.t1	XP_018456468.1
OG0001634	ESY5_g2721_DN3_SP0_c0.t1	XP_018432909.1, XP_018467480.1
OG0001635	ESY6_g50147_DN3_SP7_c0.t1	XP_018493396.1, XP_018471385.1, XP_018492444.1
OG0001636	ESY6_g50042_DN2_SP0_c0.t1	XP_018483449.1, XP_018439025.1, XP_018469926.1, XP_018469903.1, XP_018488716.1
OG0001637	ESY3_g31572_DN3_SP0_c0.t1	XP_018474773.1, XP_018455914.1
OG0001638	ESY6_g49266_DN3_SP8_c0.t1, ESY6_g49270_DN3_SP1_c0.t1	XP_018445979.1, XP_018443027.1, XP_018475607.1, XP_018446150.1
OG0001639	ESY6_g48300_DN2_SP0_c0.t1	XP_018481769.1
OG0001640	ESY16_g62465_DN3_SP1_c0.t1	XP_018448011.1, XP_018448015.1, XP_018450358.1
OG0001640	ESY6_g48055_DN3_SP8_c0.t1	XP_018474762.1, XP_018452892.1
OG0001641	ESY97_g19681_DN3_SP5_c0.t1, ESY6_g47991_DN3_SP3_c0.t1	XP_018470568.1
OG0001641	ESY16_g62393_DN3_SP0_c0.t1	XP_018476532.1, XP_018482651.1
OG0001642	ESY6_g47978_DN3_SP0_c0.t1	XP_018475494.1, XP_018476372.1, XP_018456105.1, XP_018476373.1, XP_018452211.1, XP_018452579.1, XP_018462279.1
OG0001643	ESY16_g62246_DN3_SP0_c0.t1	XP_018454236.1
OG0001643	ESY6_g47623_DN3_SP8_c0.t1	XP_018481876.1, XP_018455298.1, XP_018468654.1
OG0001644	ESY3_g31324_DN3_SP8_c0.t1	XP_018464406.1, XP_018485701.1, XP_018487038.1, XP_018436909.1, XP_018436911.1
OG0001644	ESY1_g10517_DN3_SP0_c0.t1	XP_018446390.1
OG0001645	ESY3_g31255_DN3_SP0_c0.t1	XP_018491635.1, XP_018490217.1
OG0001646	ESY3_g31222_DN3_SP8_c0.t1	XP_018445907.1, XP_018492561.1, XP_018488520.1, XP_018433038.1
OG0001647	ESY1_g11742_DN3_SP2_c0.t1	XP_018445473.1
OG0001647	ESY7_g19176_DN3_SP8_c10.t1	XP_018447329.1, XP_018476286.1, XP_018446336.1
OG0001648	ESY8_g60226_DN3_SP8_c0.t1	XP_018477120.1
OG0001648	ESY10_g13722_DN3_SP0_c0.t1	XP_018485220.1, XP_018452549.1
OG0001649	ESY8_g60169_DN3_SP8_c0.t1	XP_018484621.1
OG0001649	ESY10_g13762_DN3_SP8_c0.t1	XP_018478701.1, XP_018463699.1, XP_018462284.1
OG0001650	ESY8_g60090_DN3_SP6_c0.t1	XP_018479688.1, XP_018481634.1
OG0001650	ESY2_g33400_DN3_SP8_c0.t1	XP_018457421.1
OG0001651	ESY5_g3028_DN3_SP5_c0.t1	XP_018493130.1
OG0001651	ESY2_g36675_DN3_SP8_c0.t1	XP_018470833.1, XP_018452113.1
OG0001652	ESY2_g36714_DN3_SP6_c0.t1	XP_018456516.1, XP_018456518.1
OG0001652	ESY2_g36715_DN3_SP1_c0.t1	XP_018450978.1
OG0001653	ESY5_g3054_DN3_SP2_c12.t1	XP_018452353.1
OG0001653	ESY4_g23325_DN3_SP0_c0.t1	XP_018442684.1, XP_018443797.1
OG0001653	ESY2_g36762_DN3_SP6_c15.t1	XP_018452939.1
OG0001654	ESY4_g26289_DN3_SP0_c0.t1, ESY26_g42305_DN1_SP0_c0.t1	XP_018480181.1
OG0001655	ESY2_g35340_DN3_SP3_c0.t1	XP_018470278.1, XP_018445361.1
OG0001656	ESY2_g34732_DN3_SP7_c0.t1	XP_018446755.1
OG0001656	ESY5_g3904_DN3_SP0_c0.t1	XP_018448147.1, XP_018433387.1, XP_018442173.1
OG0001657	ESY4_g25376_DN3_SP7_c0.t1	XP_018484637.1, XP_018451816.1, XP_018450118.1
OG0001657	ESY11_g54026_DN3_SP6_c0.t1	XP_018493339.1
OG0001658	ESY11_g54153_DN3_SP0_c0.t1	XP_018433873.1
OG0001658	ESY4_g26128_DN3_SP0_c0.t1	XP_018477860.1, XP_018484588.1, XP_018482966.1
OG0001659	ESY2_g36435_DN3_SP8_c0.t1	XP_018450469.1
OG0001659	ESY3_g30110_DN3_SP1_c0.t1	XP_018492549.1, XP_018490886.1, XP_018490889.1
OG0001660	ESY2_g36188_DN3_SP2_c14.t1	XP_018485452.1
OG0001660	ESY3_g30386_DN3_SP8_c20.t1	XP_018461937.1, XP_018492695.1, XP_018433932.1, XP_018440779.1
OG0001661	ESY3_g30574_DN2_SP0_c0.t1	XP_018489655.1, XP_018470268.1, XP_018466752.1, XP_018465935.1, XP_018439755.1
OG0001662	ESY1_g10393_DN3_SP0_c0.t1	XP_018483557.1, XP_018477064.1, XP_018460294.1, XP_018436864.1, XP_018478109.1
OG0001663	ESY9_g44322_DN2_SP0_c0.t1	XP_018481409.1
OG0001663	ESY1_g10460_DN3_SP0_c0.t1	XP_018489856.1
OG0001664	ESY1_g10505_DN3_SP0_c0.t1	XP_018438636.1, XP_018482291.1, XP_018489905.1
OG0001665	ESY1_g10506_DN3_SP8_c0.t1	XP_018489897.1, XP_018472869.1, XP_018441658.1, XP_018484748.1
OG0001666	ESY22_g40825_DN3_SP0_c0.t1	XP_018470222.1
OG0001666	ESY3_g28843_DN3_SP0_c0.t1	XP_018439638.1, XP_018491535.1
OG0001667	ESY2_g38593_DN3_SP0_c0.t1	XP_018478196.1
OG0001667	ESY3_g29928_DN3_SP0_c0.t1	XP_018486964.1, XP_018432642.1
OG0001668	ESY3_g29905_DN3_SP0_c0.t1	XP_018489121.1
OG0001668	ESY2_g38551_DN3_SP4_c0.t1	XP_018484546.1
OG0001669	ESY2_g38519_DN3_SP3_c0.t1	XP_018483687.1
OG0001669	ESY2_g38518_DN3_SP0_c0.t1	XP_018484180.1
OG0001670	ESY2_g34914_DN3_SP0_c0.t1	XP_018444838.1, XP_018468940.1
OG0001670	ESY2_g34915_DN3_SP4_c0.t1	XP_018453084.1
OG0001671	ESY21_g55400_DN3_SP0_c0.t1	XP_018462085.1, XP_018437494.1
OG0001671	ESY8_g60430_DN3_SP0_c0.t1	XP_018477572.1, XP_018481957.1
OG0001672	ESY10_g13833_DN3_SP0_c0.t1	XP_018456836.1
OG0001672	ESY5_g3879_DN3_SP0_c0.t1	XP_018451010.1, XP_018450996.1
OG0001673	ESY10_g13991_DN3_SP0_c0.t1	XP_018441514.1, XP_018441513.1
OG0001673	ESY5_g2640_DN2_SP8_c0.t1	XP_018482120.1, XP_018433351.1
OG0001674	ESY3_g29416_DN3_SP8_c0.t1	XP_018440810.1, XP_018440809.1, XP_018432895.1
OG0001674	ESY2_g37575_DN3_SP0_c0.t1	XP_018451468.1
OG0001675	ESY2_g37481_DN3_SP8_c0.t1	XP_018457189.1, XP_018489066.1, XP_018464498.1, XP_018438313.1
OG0001676	ESY3_g29134_DN3_SP0_c0.t1	XP_018491948.1, XP_018467240.1, XP_018491949.1
OG0001676	ESY2_g37270_DN3_SP0_c0.t1	XP_018448390.1, XP_018449363.1
OG0001677	ESY3_g29946_DN3_SP0_c0.t1	XP_018486454.1, XP_018461303.1
OG0001677	ESY2_g37155_DN3_SP6_c0.t1	XP_018451829.1, XP_018441879.1, XP_018485395.1
OG0001678	ESY1_g10880_DN3_SP0_c0.t1	XP_018491604.1, XP_018491605.1
OG0001679	ESY2_g37018_DN3_SP7_c0.t1	XP_018439615.1, XP_018451647.1, XP_018451645.1, XP_018492848.1
OG0001679	ESY3_g30601_DN3_SP5_c0.t1	XP_018440694.1
OG0001680	ESY4_g25507_DN1_SP0_c0.t1	XP_018484113.1
OG0001680	ESY5_g5489_DN2_SP0_c0.t1, ESY5_g5491_DN3_SP0_c0.t1	XP_018436019.1, XP_018464050.1
OG0001681	ESY9_g42468_DN3_SP8_c0.t1	XP_018471579.1, XP_018482983.1
OG0001681	ESY10_g14877_DN3_SP8_c0.t1	XP_018452836.1, XP_018433871.1
OG0001682	ESY10_g14874_DN3_SP3_c0.t1	XP_018437142.1, XP_018457557.1, XP_018452925.1, XP_018477328.1
OG0001682	ESY9_g42466_DN3_SP2_c0.t1	XP_018482982.1
OG0001683	ESY11_g53864_DN3_SP8_c0.t1	XP_018493328.1, XP_018457645.1
OG0001683	ESY4_g25511_DN3_SP4_c0.t1	XP_018447959.1, XP_018450704.1
OG0001684	ESY11_g53872_DN3_SP0_c0.t1	XP_018489533.1, XP_018437489.1
OG0001684	ESY4_g25502_DN3_SP7_c0.t1	XP_018482252.1, XP_018451563.1, XP_018471416.1
OG0001685	ESY9_g43738_DN3_SP8_c0.t1	XP_018468430.1, XP_018478860.1, XP_018478751.1, XP_018450764.1
OG0001686	ESY9_g43734_DN3_SP8_c0.t1	XP_018466539.1, XP_018468426.1, XP_018468428.1
OG0001686	ESY7_g16202_DN3_SP4_c0.t1	XP_018476038.1
OG0001687	ESY9_g43570_DN3_SP8_c0.t1	XP_018469540.1, XP_018461917.1, XP_018448101.1
OG0001687	ESY7_g16360_DN3_SP8_c0.t1	XP_018452059.1
OG0001688	ESY3_g27541_DN3_SP0_c0.t1	XP_018489697.1
OG0001689	ESY14_g20780_DN3_SP8_c0.t1	XP_018432608.1, XP_018451925.1
OG0001689	ESY19_g41454_DN3_SP8_c0.t1	XP_018476557.1
OG0001690	ESY1_g12536_DN3_SP0_c0.t1	XP_018480551.1, XP_018486616.1
OG0001691	ESY1_g12513_DN3_SP8_c13.t1	XP_018480983.1, XP_018485752.1, XP_018490739.1, XP_018460345.1
OG0001691	ESY12_g52255_DN3_SP6_c0.t1	XP_018485318.1
OG0001692	ESY1_g12494_DN3_SP5_c17.t1	XP_018490534.1
OG0001692	ESY10_g14221_DN3_SP6_c14.t1	XP_018432614.1, XP_018433328.1
OG0001693	ESY12_g51374_DN3_SP0_c0.t1	XP_018436468.1
OG0001693	ESY1_g12415_DN3_SP0_c0.t1	XP_018493597.1, XP_018442860.1
OG0001694	ESY1_g12124_DN1_SP0_c0.t1, ESY1_g12122_DN1_SP0_c0.t1, ESY1_g12121_DN1_SP0_c0.t1, ESY1_g12123_DN2_SP0_c0.t1	XP_018479475.1, XP_018482317.1
OG0001695	ESY1_g12020_DN3_SP8_c0.t1	XP_018492824.1, XP_018442745.1
OG0001695	ESY12_g52026_DN3_SP8_c0.t1	XP_018483422.1
OG0001696	ESY1_g12019_DN3_SP8_c0.t1	XP_018487171.1, XP_018463553.1, XP_018442576.1
OG0001696	ESY12_g52040_DN3_SP8_c0.t1	XP_018433490.1, XP_018473273.1
OG0001697	ESY12_g51498_DN3_SP8_c0.t1	XP_018475902.1, XP_018477830.1
OG0001697	ESY1_g11234_DN3_SP8_c0.t1	XP_018492134.1
OG0001698	ESY12_g51567_DN3_SP8_c0.t1	XP_018483390.1
OG0001698	ESY1_g11374_DN3_SP8_c0.t1	XP_018446598.1
OG0001699	ESY12_g51303_DN3_SP2_c0.t1	XP_018436523.1
OG0001699	ESY1_g11567_DN3_SP7_c0.t1	XP_018432699.1, XP_018462613.1, XP_018482285.1
OG0001700	ESY1_g11770_DN2_SP0_c0.t1	XP_018458572.1
OG0001701	ESY1_g10929_DN3_SP8_c0.t1	XP_018491684.1, XP_018466253.1, XP_018489715.1
OG0001701	ESY9_g45395_DN3_SP7_c0.t1	XP_018472992.1
OG0001702	ESY6_g47500_DN2_SP0_c0.t1	XP_018469813.1
OG0001703	ESY1_g8565_DN1_SP0_c0.t1, ESY2_g33796_DN2_SP0_c0.t1, ESY15_g64739_DN3_SP0_c0.t1, ESY9_g42654_DN2_SP0_c0.t1	XP_018432786.1, XP_018432894.1
OG0001704	ESY2_g33475_DN3_SP0_c0.t1	XP_018486488.1, XP_018466795.1, XP_018449773.1, XP_018448023.1
OG0001705	ESY9_g45649_DN3_SP7_c0.t1	XP_018437046.1, XP_018467070.1, XP_018478161.1
OG0001706	ESY4_g26793_DN3_SP0_c0.t1	XP_018471563.1, XP_018481705.1, XP_018481194.1, XP_018460609.1, XP_018475334.1, XP_018437129.1
OG0001708	ESY25_g62735_DN2_SP8_c0.t1	XP_018476654.1, XP_018476653.1
OG0001708	ESY5_g2200_DN3_SP7_c0.t1	XP_018434291.1, XP_018467066.1
OG0001709	ESY18_g64121_DN3_SP2_c0.t1, ESY14_g19779_DN3_SP8_c0.t1	XP_018471953.1, XP_018488580.1, XP_018447635.1, XP_018447652.1
OG0001710	ESY3_g31620_DN3_SP2_c0.t1	XP_018489422.1
OG0001710	ESY10_g15299_DN3_SP0_c0.t1	XP_018440389.1, XP_018477970.1, XP_018477968.1
OG0001711	ESY10_g15631_DN3_SP0_c0.t1	XP_018477088.1
OG0001711	ESY3_g31808_DN3_SP0_c11.t1	XP_018467494.1, XP_018492849.1
OG0001712	ESY3_g31828_DN3_SP8_c0.t1	XP_018492404.1, XP_018492406.1
OG0001712	ESY10_g15672_DN3_SP8_c0.t1	XP_018440589.1, XP_018457186.1
OG0001713	ESY12_g51454_DN3_SP0_c0.t1	XP_018467170.1, XP_018437801.1
OG0001713	ESY12_g51455_DN3_SP0_c0.t1	XP_018437331.1
OG0001714	ESY3_g32588_DN3_SP0_c93.t1	XP_018489844.1, XP_018489872.1, XP_018438386.1, XP_018490339.1, XP_018438326.1
OG0001715	ESY3_g32349_DN3_SP0_c0.t1	XP_018490248.1, XP_018490307.1
OG0001715	ESY3_g32348_DN3_SP0_c0.t1	XP_018438722.1, XP_018438717.1, XP_018435262.1
