Orthogroup	Euclidium_syriacum	Arabidopsis_thaliana
OG0001591	ESY4_g26649_DN3_SP0_c0.t1	AT4G40042.1
OG0001592	ESY4_g25747_DN3_SP0_c0.t1	AT4G34135.1, AT4G34131.1
OG0001593	ESY5_g2657_DN3_SP7_c0.t1	AT1G13560.1
OG0001593	ESY10_g14059_DN3_SP5_c0.t1	AT3G25585.1
OG0001594	ESY11_g53890_DN1_SP0_c0.t1, ESY11_g53575_DN1_SP0_c0.t1, ESY7_g16390_DN1_SP0_c0.t1, ESY6_g49404_DN1_SP0_c0.t1, ESY11_g53576_DN1_SP0_c0.t1, ESY11_g54061_DN1_SP0_c0.t1	AT1G65330.1, AT1G65300.1
OG0001595	ESY2_g35336_DN3_SP0_c0.t1	AT1G65500.1, AT1G65486.3, AT1G65490.2
OG0001597	ESY6_g48251_DN3_SP0_c0.t1	AT5G56452.1, AT3G50710.1
OG0001598	ESY7_g18630_DN3_SP0_c0.t1	AT5G08005.1
OG0001598	ESY6_g49557_DN3_SP0_c0.t1, ESY6_g49555_DN2_SP0_c0.t1, ESY8_g59142_DN2_SP0_c0.t1	AT5G61100.1, AT5G61110.1
OG0001599	ESY4_g24196_DN2_SP0_c0.t1	AT4G28800.2, AT4G28815.1, AT4G28811.1, AT4G28790.1
OG0001603	ESY1_g9190_DN3_SP0_c0.t1	AT3G48450.1
OG0001603	ESY6_g49708_DN3_SP0_c0.t1	AT5G63270.1
OG0001604	ESY5_g4125_DN1_SP0_c0.t1, ESY5_g4127_DN1_SP0_c0.t1	AT1G19020.1
OG0001604	ESY1_g9011_DN2_SP0_c0.t1	AT3G48180.1
OG0001605	ESY21_g55814_DN3_SP0_c0.t1	AT5G40430.1, AT2G25230.1, AT5G40360.1
OG0001606	ESY7_g17209_DN3_SP0_c0.t1	AT5G17190.1
OG0001606	ESY3_g32360_DN3_SP0_c0.t1	AT3G03160.1
OG0001607	ESY3_g32385_DN2_SP7_c11.t1	AT3G03050.1
OG0001607	ESY7_g17239_DN3_SP8_c6.t1	AT5G16910.1
OG0001608	ESY3_g29194_DN3_SP0_c18.t1	AT3G20620.1
OG0001609	ESY7_g17366_DN3_SP8_c0.t1	AT5G16070.1
OG0001609	ESY3_g32477_DN3_SP0_c0.t1	AT3G02530.1
OG0001610	ESY1_g9940_DN2_SP7_c0.t1	AT1G27350.1, AT1G27330.1
OG0001611	ESY7_g18369_DN3_SP8_c0.t1	AT5G12480.1
OG0001611	ESY6_g49880_DN3_SP8_c0.t1	AT5G19450.1
OG0001612	ESY6_g49885_DN3_SP5_c0.t1	AT5G19480.1
OG0001612	ESY7_g18321_DN3_SP5_c0.t1	AT5G12230.1
OG0001613	ESY7_g18234_DN3_SP4_c0.t1	AT5G11730.1
OG0001613	ESY6_g49915_DN2_SP0_c48.t1, ESY6_g49913_DN3_SP0_c0.t1	AT5G25970.1
OG0001614	ESY7_g17998_DN3_SP8_c0.t1	AT5G64960.1, AT5G10270.1
OG0001615	ESY8_g59710_DN2_SP7_c0.t1	AT2G22290.1
OG0001615	ESY7_g17997_DN3_SP7_c0.t1, ESY2_g34853_DN3_SP0_c0.t1	AT5G10260.1
OG0001617	ESY7_g17806_DN3_SP8_c0.t1	AT5G09220.1
OG0001617	ESY6_g49613_DN3_SP8_c0.t1	AT5G63850.1
OG0001618	ESY6_g50205_DN3_SP8_c0.t1	AT5G23090.1
OG0001618	ESY7_g18652_DN3_SP8_c0.t1	AT5G08190.1
OG0001619	ESY8_g58330_DN3_SP0_c0.t1	AT4G03010.1
OG0001619	ESY5_g5170_DN1_SP0_c0.t1	AT1G03440.1
OG0001620	ESY8_g58855_DN3_SP6_c12.t1	AT1G07570.3, AT2G28930.1
OG0001621	ESY8_g58719_DN3_SP7_c0.t1	AT2G29990.1
OG0001621	ESY5_g4567_DN3_SP8_c0.t1	AT1G07180.1
OG0001622	ESY5_g4581_DN3_SP0_c0.t1	AT1G07090.1
OG0001623	ESY8_g58655_DN3_SP1_c0.t1	AT2G30440.1
OG0001623	ESY5_g4615_DN3_SP0_c0.t1	AT1G06870.1
OG0001624	ESY8_g58495_DN3_SP0_c0.t1	AT2G30930.1
OG0001624	ESY5_g4659_DN3_SP0_c0.t1	AT1G06540.1
OG0001625	ESY8_g58418_DN3_SP3_c0.t1	AT2G31730.1
OG0001625	ESY5_g4771_DN3_SP0_c0.t1	AT1G05710.10
OG0001626	ESY20_g12803_DN3_SP3_c0.t1, ESY5_g4967_DN3_SP6_c0.t1	AT1G04630.1, AT2G33220.2
OG0001627	ESY5_g4990_DN3_SP8_c0.t1	AT1G04510.1
OG0001627	ESY20_g12831_DN3_SP8_c10.t1	AT2G33340.1
OG0001628	ESY5_g5077_DN2_SP0_c0.t1	AT1G04070.1
OG0001628	ESY8_g58144_DN3_SP0_c0.t1	AT5G43970.1
OG0001629	ESY8_g58230_DN3_SP0_c0.t1	AT4G03520.1
OG0001629	ESY5_g5123_DN3_SP2_c0.t1	AT1G03680.1
OG0001630	ESY13_g56421_DN3_SP2_c0.t1	AT4G25700.1, AT5G52570.1
OG0001631	ESY1_g5965_DN3_SP0_c0.t1	AT5G43130.2
OG0001631	ESY2_g35208_DN3_SP0_c0.t1	AT1G27720.1
OG0001632	ESY4_g22928_DN3_SP8_c0.t1	AT2G33870.1, AT1G28550.1
OG0001633	ESY6_g49460_DN3_SP0_c0.t1	AT5G61700.1
OG0001633	ESY6_g49453_DN3_SP0_c0.t1, ESY2_g34122_DN3_SP0_c0.t1	AT5G61740.1
OG0001634	ESY5_g2721_DN3_SP0_c0.t1	AT1G13910.1
OG0001635	ESY6_g50147_DN3_SP7_c0.t1	AT5G23670.1, AT3G48780.1, AT3G48790.1
OG0001636	ESY6_g50042_DN2_SP0_c0.t1	AT3G49550.1, AT5G24610.1
OG0001638	ESY6_g49266_DN3_SP8_c0.t1, ESY6_g49270_DN3_SP1_c0.t1	AT5G20000.1, AT5G19990.1
OG0001640	ESY16_g62465_DN3_SP1_c0.t1	AT4G26670.1
OG0001640	ESY6_g48055_DN3_SP8_c0.t1	AT5G55510.1
OG0001641	ESY97_g19681_DN3_SP5_c0.t1, ESY6_g47991_DN3_SP3_c0.t1	AT5G55180.2
OG0001641	ESY16_g62393_DN3_SP0_c0.t1	AT4G26830.2
OG0001642	ESY6_g47978_DN3_SP0_c0.t1	AT5G55050.1
OG0001643	ESY16_g62246_DN3_SP0_c0.t1	AT4G27350.1
OG0001643	ESY6_g47623_DN3_SP8_c0.t1	AT5G54240.1
OG0001644	ESY3_g31324_DN3_SP8_c0.t1	AT3G11710.1
OG0001645	ESY3_g31255_DN3_SP0_c0.t1	AT3G11450.1
OG0001645	ESY3_g31253_DN3_SP0_c0.t1	AT5G06110.1
OG0001646	ESY3_g31222_DN3_SP8_c0.t1	AT5G05610.1, AT3G11200.1
OG0001647	ESY1_g11742_DN3_SP2_c0.t1	AT3G57140.1
OG0001647	ESY7_g19176_DN3_SP8_c10.t1	AT5G04040.1
OG0001648	ESY8_g60226_DN3_SP8_c0.t1	AT5G40770.1
OG0001648	ESY10_g13722_DN3_SP0_c0.t1	AT3G27280.1
OG0001649	ESY8_g60169_DN3_SP8_c0.t1	AT5G40890.1
OG0001649	ESY10_g13762_DN3_SP8_c0.t1	AT3G27170.1
OG0001650	ESY8_g60090_DN3_SP6_c0.t1	AT5G41390.1
OG0001650	ESY2_g33400_DN3_SP8_c0.t1	AT1G63830.1
OG0001651	ESY5_g3028_DN3_SP5_c0.t1	AT1G16240.1
OG0001651	ESY2_g36675_DN3_SP8_c0.t1	AT1G79590.3
OG0001652	ESY2_g36714_DN3_SP6_c0.t1	AT1G79340.1
OG0001652	ESY2_g36715_DN3_SP1_c0.t1	AT1G79330.1
OG0001653	ESY5_g3054_DN3_SP2_c12.t1	AT1G16460.2
OG0001653	ESY2_g36762_DN3_SP6_c15.t1	AT1G79230.1
OG0001654	ESY7_g16929_DN2_SP0_c0.t1	AT1G56270.1
OG0001655	ESY2_g35340_DN3_SP3_c0.t1	AT1G65480.2, AT4G20370.1
OG0001656	ESY2_g34732_DN3_SP7_c0.t1	AT1G76460.1
OG0001656	ESY5_g3904_DN3_SP0_c0.t1	AT1G20880.1
OG0001657	ESY4_g25376_DN3_SP7_c0.t1	AT4G35460.1
OG0001657	ESY11_g54026_DN3_SP6_c0.t1	AT2G17420.1
OG0001658	ESY11_g54153_DN3_SP0_c0.t1	AT2G17870.1
OG0001658	ESY4_g26128_DN3_SP0_c0.t1	AT4G36020.1
OG0001659	ESY2_g36435_DN3_SP8_c0.t1	AT1G54320.1
OG0001659	ESY3_g30110_DN3_SP1_c0.t1	AT3G12740.1
OG0001660	ESY2_g36188_DN3_SP2_c14.t1	AT1G53830.1
OG0001660	ESY3_g30386_DN3_SP8_c20.t1	AT3G14310.1
OG0001661	ESY3_g30574_DN2_SP0_c0.t1	AT1G53035.2, AT3G15358.1
OG0001662	ESY1_g10393_DN3_SP0_c0.t1	AT2G35970.1, AT4G09590.1, AT2G35960.1, AT3G52470.1
OG0001663	ESY9_g44322_DN2_SP0_c0.t1, ESY1_g10460_DN3_SP0_c0.t1	AT3G52770.1
OG0001664	ESY1_g10505_DN3_SP0_c0.t1	AT2G36500.1, AT3G52950.1
OG0001665	ESY1_g10506_DN3_SP8_c0.t1	AT2G36530.1
OG0001666	ESY22_g40825_DN3_SP0_c0.t1	AT4G14760.1
OG0001666	ESY3_g28843_DN3_SP0_c0.t1	AT3G22790.1
OG0001667	ESY2_g38593_DN3_SP0_c0.t1	AT4G15800.1
OG0001667	ESY3_g29928_DN3_SP0_c0.t1	AT3G16570.1
OG0001668	ESY3_g29905_DN3_SP0_c0.t1	AT3G16690.3
OG0001668	ESY2_g38551_DN3_SP4_c0.t1	AT4G15920.1
OG0001669	ESY2_g38519_DN3_SP3_c0.t1	AT4G15955.3
OG0001669	ESY2_g38518_DN3_SP0_c0.t1	AT4G15960.1
OG0001670	ESY2_g34914_DN3_SP0_c0.t1	AT1G74010.1
OG0001670	ESY2_g34915_DN3_SP4_c0.t1	AT1G74020.1
OG0001671	ESY21_g55400_DN3_SP0_c0.t1	AT3G28500.1
OG0001671	ESY8_g60430_DN3_SP0_c0.t1	AT5G40040.1
OG0001672	ESY10_g13833_DN3_SP0_c0.t1	AT3G26618.1
OG0001672	ESY5_g3879_DN3_SP0_c0.t1	AT1G12920.1
OG0001673	ESY10_g13991_DN3_SP0_c0.t1	AT3G25990.1
OG0001673	ESY5_g2640_DN2_SP8_c0.t1	AT1G13450.1
OG0001674	ESY3_g29416_DN3_SP8_c0.t1	AT3G19540.1
OG0001674	ESY2_g37575_DN3_SP0_c0.t1	AT1G49840.1
OG0001675	ESY2_g37481_DN3_SP8_c0.t1	AT1G50310.1, AT3G19940.1
OG0001676	ESY3_g29134_DN3_SP0_c0.t1	AT3G21055.2
OG0001676	ESY2_g37270_DN3_SP0_c0.t1	AT1G51400.1
OG0001677	ESY3_g29946_DN3_SP0_c0.t1	AT3G16480.1
OG0001677	ESY2_g37155_DN3_SP6_c0.t1	AT1G51980.1
OG0001678	ESY1_g10880_DN3_SP0_c0.t1	AT1G52050.1, AT1G52060.1, AT1G52070.1
OG0001679	ESY2_g37018_DN3_SP7_c0.t1	AT1G52740.1
OG0001680	ESY4_g26095_DN2_SP0_c0.t1	AT5G38090.1
OG0001680	ESY5_g5489_DN2_SP0_c0.t1, ESY5_g5491_DN3_SP0_c0.t1	AT1G45403.1
OG0001681	ESY9_g42468_DN3_SP8_c0.t1	AT4G17615.3
OG0001681	ESY10_g14877_DN3_SP8_c0.t1	AT5G47100.1
OG0001682	ESY10_g14874_DN3_SP3_c0.t1	AT5G47110.1
OG0001682	ESY9_g42466_DN3_SP2_c0.t1	AT4G17600.1
OG0001683	ESY11_g53864_DN3_SP8_c0.t1	AT2G16660.1
OG0001683	ESY4_g25511_DN3_SP4_c0.t1	AT4G34950.1
OG0001684	ESY11_g53872_DN3_SP0_c0.t1	AT2G16730.1
OG0001684	ESY4_g25502_DN3_SP7_c0.t1	AT4G35010.1
OG0001685	ESY9_g43738_DN3_SP8_c0.t1	AT4G22140.1
OG0001686	ESY9_g43734_DN3_SP8_c0.t1	AT4G22120.1
OG0001686	ESY7_g16202_DN3_SP4_c0.t1	AT4G04340.1
OG0001687	ESY9_g43570_DN3_SP8_c0.t1	AT4G21810.1
OG0001687	ESY7_g16360_DN3_SP8_c0.t1	AT4G04860.1
OG0001688	ESY3_g27541_DN3_SP0_c0.t1	AT3G25260.1
OG0001689	ESY14_g20780_DN3_SP8_c0.t1	AT1G35580.1
OG0001689	ESY19_g41454_DN3_SP8_c0.t1	AT4G09510.1
OG0001690	ESY1_g12536_DN3_SP0_c0.t1	AT3G63030.1
OG0001690	ESY12_g52322_DN2_SP0_c0.t1, ESY4_g25427_DN3_SP0_c0.t1	AT4G22745.1
OG0001691	ESY1_g12513_DN3_SP8_c13.t1	AT3G62860.1
OG0001691	ESY12_g52255_DN3_SP6_c0.t1	AT2G47630.1
OG0001692	ESY1_g12494_DN3_SP5_c17.t1	AT3G62700.1
OG0001692	ESY10_g14221_DN3_SP6_c14.t1	AT2G47800.1
OG0001693	ESY12_g51374_DN3_SP0_c0.t1	AT2G46970.1
OG0001693	ESY1_g12415_DN3_SP0_c0.t1	AT3G62090.2
OG0001694	ESY1_g12124_DN1_SP0_c0.t1, ESY1_g12122_DN1_SP0_c0.t1, ESY1_g12121_DN1_SP0_c0.t1, ESY1_g12123_DN2_SP0_c0.t1	AT3G26390.1, AT5G39010.1, AT2G39782.1
OG0001695	ESY1_g12020_DN3_SP8_c0.t1	AT3G60260.1
OG0001695	ESY12_g52026_DN3_SP8_c0.t1	AT2G44770.1
OG0001696	ESY1_g12019_DN3_SP8_c0.t1	AT3G60250.1
OG0001696	ESY12_g52040_DN3_SP8_c0.t1	AT2G44680.1
OG0001697	ESY12_g51498_DN3_SP8_c0.t1	AT2G43240.1
OG0001697	ESY1_g11234_DN3_SP8_c0.t1	AT3G59360.1
OG0001698	ESY12_g51567_DN3_SP8_c0.t1	AT2G42830.2
OG0001698	ESY1_g11374_DN3_SP8_c0.t1	AT3G58780.4
OG0001699	ESY12_g51303_DN3_SP2_c0.t1	AT2G42300.1
OG0001699	ESY1_g11567_DN3_SP7_c0.t1	AT3G57800.1
OG0001700	ESY1_g11766_DN3_SP1_c13.t1, ESY1_g11767_DN3_SP1_c0.t1	AT3G56980.1
OG0001700	ESY1_g11770_DN2_SP0_c0.t1	AT3G56970.1
OG0001701	ESY1_g10929_DN3_SP8_c0.t1	AT3G54560.1
OG0001701	ESY9_g45395_DN3_SP7_c0.t1	AT2G38810.1
OG0001702	ESY6_g47500_DN2_SP0_c0.t1	AT5G53680.1, AT5G11412.1, AT5G53720.1
OG0001703	ESY1_g8565_DN1_SP0_c0.t1, ESY2_g33796_DN2_SP0_c0.t1, ESY15_g64739_DN3_SP0_c0.t1, ESY9_g42654_DN2_SP0_c0.t1	AT5G35680.3
OG0001704	ESY2_g33475_DN3_SP0_c0.t1	AT2G12480.3
OG0001704	ESY2_g33975_DN3_SP0_c0.t1	AT5G42240.1
OG0001705	ESY7_g16175_DN3_SP2_c0.t1	AT4G04200.1
OG0001705	ESY9_g45649_DN3_SP7_c0.t1	AT2G39960.1
OG0001706	ESY4_g26793_DN3_SP0_c0.t1	AT4G39250.1, AT2G21650.1
OG0001708	ESY25_g62735_DN2_SP8_c0.t1	AT4G10040.1
OG0001708	ESY5_g2200_DN3_SP7_c0.t1	AT1G22840.1
OG0001709	ESY18_g64121_DN3_SP2_c0.t1, ESY14_g19779_DN3_SP8_c0.t1	AT4G10430.1, AT1G33230.2
OG0001710	ESY3_g31620_DN3_SP2_c0.t1	AT3G05920.1
OG0001710	ESY10_g15299_DN3_SP0_c0.t1	AT5G26690.1
OG0001711	ESY10_g15631_DN3_SP0_c0.t1	AT5G27330.1
OG0001711	ESY3_g31808_DN3_SP0_c11.t1	AT3G05130.1
OG0001712	ESY3_g31828_DN3_SP8_c0.t1	AT3G05030.1
OG0001712	ESY10_g15672_DN3_SP8_c0.t1	AT5G27150.1
OG0001713	ESY12_g51454_DN3_SP0_c0.t1	AT2G43535.1
OG0001713	ESY12_g51458_DN3_SP0_c0.t1	AT2G43510.1
OG0001714	ESY3_g32588_DN3_SP0_c93.t1	AT3G01230.1, AT3G01240.1
OG0001715	ESY3_g32349_DN3_SP0_c0.t1	AT3G03240.1
OG0001715	ESY3_g32348_DN3_SP0_c0.t1	AT3G03230.1
OG0001716	ESY5_g3162_DN3_SP5_c0.t1	AT1G08630.1
OG0001716	ESY3_g32010_DN3_SP8_c0.t1	AT3G04520.1
OG0001717	ESY3_g29909_DN3_SP0_c0.t1	AT3G16640.1
OG0001717	ESY3_g31692_DN3_SP1_c0.t1	AT3G05540.1
OG0001718	ESY3_g31643_DN3_SP0_c0.t1	AT1G07190.1
OG0001719	ESY3_g31553_DN3_SP8_c0.t1	AT3G06300.1
OG0001719	ESY7_g16943_DN3_SP8_c0.t1	AT5G18900.1
OG0001720	ESY3_g31534_DN3_SP8_c0.t1	AT3G06400.3
OG0001720	ESY7_g17011_DN3_SP8_c0.t1	AT5G18620.2
OG0001721	ESY3_g31525_DN3_SP0_c0.t1	AT3G06460.1, AT3G06470.1
OG0001723	ESY3_g31468_DN3_SP7_c0.t1	AT3G07010.1
OG0001723	ESY15_g64405_DN3_SP7_c0.t1	AT5G48900.1
OG0001724	ESY19_g41777_DN3_SP5_c0.t1	AT4G08520.1
OG0001724	ESY3_g30991_DN3_SP8_c0.t1	AT3G09800.6
OG0001725	ESY7_g16295_DN2_SP0_c0.t1	AT3G11500.1
OG0001726	ESY3_g29729_DN3_SP8_c0.t1	AT3G18000.1
OG0001726	ESY2_g37976_DN3_SP8_c0.t1	AT1G48600.2
OG0001727	ESY3_g29690_DN3_SP2_c0.t1	AT3G18295.1
OG0001727	ESY2_g37928_DN3_SP0_c0.t1	AT1G48770.1
OG0001728	ESY4_g23867_DN3_SP8_c0.t1	AT4G28000.2
OG0001728	ESY6_g47126_DN3_SP8_c0.t1	AT5G52882.1
OG0001729	ESY1_g10096_DN3_SP0_c0.t1, ESY1_g10154_DN3_SP0_c0.t1	AT3G51430.1, AT3G51450.1, AT3G51420.1, AT3G51440.1
OG0001730	ESY5_g5482_DN3_SP0_c0.t1	AT1G01440.1
OG0001730	ESY20_g13032_DN3_SP0_c0.t1	AT4G01090.1
OG0001731	ESY5_g5479_DN3_SP3_c0.t1	AT4G01060.1, AT1G01380.1
OG0001732	ESY20_g13164_DN2_SP0_c0.t1	AT4G01960.1
OG0001732	ESY5_g5350_DN3_SP0_c0.t1	AT1G02380.1
OG0001733	ESY20_g13192_DN3_SP0_c21.t1	AT1G02690.2, AT4G02150.1
OG0001734	ESY2_g34124_DN3_SP8_c12.t1	AT1G58080.1
OG0001734	ESY5_g3365_DN3_SP8_c0.t1	AT1G09795.1
OG0001735	ESY5_g3574_DN3_SP8_c0.t1	AT1G10950.1
OG0001736	ESY2_g33871_DN3_SP8_c0.t1	AT1G61250.1
OG0001736	ESY5_g3615_DN3_SP8_c0.t1	AT1G11180.2
OG0001737	ESY16_g61538_DN3_SP0_c0.t1	AT1G30350.1
OG0001737	ESY5_g3741_DN3_SP4_c0.t1	AT1G11920.1
OG0001738	ESY5_g3764_DN3_SP0_c0.t1	AT1G62510.1, AT1G12090.1
OG0001739	ESY5_g2588_DN3_SP0_c0.t1	AT1G13100.1, AT1G13090.2, AT3G26830.1
OG0001740	ESY2_g35625_DN3_SP8_c0.t1	AT1G23080.1, AT1G70940.1
OG0001741	ESY4_g26625_DN3_SP8_c0.t1	AT4G37930.1
OG0001741	ESY15_g64992_DN3_SP8_c0.t1	AT5G26780.2
OG0001742	ESY2_g35576_DN3_SP7_c0.t1	AT1G70550.1
OG0001742	ESY5_g2077_DN3_SP6_c0.t1	AT1G23340.1
OG0001743	ESY5_g1927_DN3_SP8_c0.t1	AT1G23820.1
OG0001743	ESY2_g35538_DN3_SP6_c0.t1	AT1G70310.1
OG0001745	ESY4_g26717_DN3_SP7_c0.t1	AT4G39770.1
OG0001745	ESY8_g59719_DN3_SP2_c0.t1	AT2G22190.1
OG0001746	ESY8_g59696_DN3_SP2_c0.t1	AT2G22430.1
OG0001746	ESY4_g26644_DN3_SP1_c0.t1	AT4G40060.1
OG0001747	ESY4_g26541_DN3_SP8_c0.t1	AT4G37580.1
OG0001747	ESY8_g59623_DN3_SP6_c0.t1	AT2G23060.1
OG0001748	ESY3_g29315_DN3_SP8_c0.t1	AT3G19960.2
OG0001748	ESY2_g37478_DN3_SP7_c0.t1	AT1G50360.1
OG0001750	ESY4_g24937_DN3_SP0_c0.t1	AT4G31620.1
OG0001751	ESY4_g24783_DN3_SP0_c0.t1	AT4G30990.3
OG0001755	ESY8_g59848_DN3_SP0_c0.t1	AT3G44920.1, AT3G44930.1
OG0001755	ESY10_g14173_DN3_SP0_c0.t1, ESY3_g30332_DN2_SP0_c0.t1	AT3G44910.1
OG0001756	ESY2_g38894_DN3_SP0_c36.t1	AT4G15230.1, AT4G15215.11, AT4G15236.1, AT4G15233.1
OG0001763	ESY7_g17152_DN3_SP6_c0.t1	AT3G03490.1, AT5G17550.1
OG0001764	ESY7_g17259_DN3_SP0_c9.t1	AT5G16730.1, AT3G02930.1
OG0001765	ESY7_g17303_DN3_SP8_c0.t1	AT5G16440.1
OG0001765	ESY3_g32442_DN3_SP8_c0.t1	AT3G02780.1
OG0001766	ESY7_g17317_DN3_SP0_c0.t1	AT5G16360.1
OG0001768	ESY2_g35537_DN3_SP8_c18.t1	AT1G70300.1
OG0001769	ESY3_g32653_DN3_SP0_c0.t1	AT3G01700.1
OG0001769	ESY7_g17621_DN3_SP0_c0.t1	AT5G14380.1
OG0001770	ESY2_g36596_DN3_SP8_c0.t1	AT1G80560.1
OG0001770	ESY7_g17642_DN3_SP8_c0.t1	AT1G31180.2, AT5G14200.1
OG0001771	ESY11_g54759_DN3_SP0_c0.t1, ESY9_g45465_DN3_SP0_c0.t1	AT4G02465.1
OG0001771	ESY16_g61881_DN3_SP0_c0.t1	AT1G31660.1
OG0001772	ESY7_g18057_DN3_SP8_c0.t1	AT5G10540.1
OG0001772	ESY6_g50474_DN3_SP7_c0.t1	AT5G65620.2
OG0001773	ESY6_g50506_DN3_SP0_c0.t1	AT5G65390.1
OG0001774	ESY7_g18632_DN3_SP0_c0.t1	AT5G08020.1
OG0001774	ESY6_g49567_DN3_SP4_c0.t1	AT5G61000.1
OG0001775	ESY7_g18566_DN3_SP0_c0.t1	AT5G07620.1
OG0001775	ESY6_g49481_DN3_SP0_c0.t1	AT5G61570.1
OG0001776	ESY5_g5202_DN3_SP0_c0.t1	AT1G03210.2
OG0001776	ESY8_g58346_DN3_SP0_c0.t1, ESY20_g13322_DN3_SP0_c0.t1	AT4G02860.1
OG0001777	ESY5_g4508_DN3_SP8_c0.t1	AT1G07510.1
OG0001777	ESY8_g58826_DN3_SP8_c0.t1	AT2G29080.1
OG0001778	ESY8_g58791_DN3_SP8_c0.t1	AT2G29390.1
OG0001778	ESY5_g4524_DN3_SP8_c0.t1	AT1G07420.1
OG0001779	ESY8_g58762_DN3_SP6_c0.t1	AT2G29570.1
OG0001779	ESY5_g4539_DN3_SP8_c0.t1	AT1G07370.1
OG0001780	ESY5_g4588_DN3_SP8_c0.t1	AT1G07030.1
OG0001780	ESY8_g58687_DN3_SP8_c0.t1	AT2G30160.1
OG0001781	ESY5_g4706_DN3_SP0_c0.t1	AT1G06170.1
OG0001781	ESY8_g58543_DN3_SP1_c0.t1	AT2G31220.2
OG0001782	ESY20_g12802_DN3_SP6_c0.t1	AT2G33210.1, AT3G23990.1
OG0001783	ESY8_g58172_DN3_SP8_c0.t1	AT5G44110.1
OG0001783	ESY5_g5156_DN3_SP4_c0.t1	AT1G03905.1
OG0001784	ESY13_g56757_DN3_SP8_c0.t1	AT4G25240.1
OG0001784	ESY6_g46333_DN3_SP3_c0.t1	AT5G51480.1
OG0001785	ESY6_g46664_DN3_SP7_c0.t1	AT5G51980.1
OG0001786	ESY11_g54640_DN3_SP0_c0.t1, ESY11_g54795_DN2_SP0_c0.t1	AT4G25490.1, AT4G25470.1, AT4G25480.1
OG0001787	ESY1_g6183_DN3_SP0_c0.t1	AT5G42980.1
OG0001787	ESY4_g25071_DN3_SP0_c0.t1	AT1G45145.1
OG0001788	ESY1_g5960_DN3_SP0_c0.t1	AT5G43110.1, AT5G43090.1, AT4G08560.1
OG0001789	ESY4_g23650_DN3_SP8_c0.t1	AT1G30400.1
OG0001789	ESY1_g5701_DN3_SP8_c0.t1	AT2G34660.1
OG0001792	ESY1_g8981_DN2_SP0_c0.t1	AT3G48050.1, AT3G48060.2
OG0001793	ESY13_g57895_DN3_SP0_c0.t1, ESY13_g57899_DN3_SP0_c0.t1	AT1G24267.2, AT1G24265.3
OG0001794	ESY6_g50052_DN3_SP0_c0.t1	AT5G23960.1
OG0001795	ESY3_g29156_DN2_SP0_c0.t1	AT5G26070.1, AT5G26080.1, AT3G20850.1
OG0001796	ESY12_g51522_DN3_SP0_c0.t1	AT3G44190.1
OG0001796	ESY4_g25310_DN3_SP0_c0.t1, ESY5_g4039_DN3_SP0_c0.t1	AT5G22140.1
OG0001797	ESY6_g49046_DN3_SP0_c0.t1	AT3G44260.1, AT5G22250.1
OG0001798	ESY6_g48919_DN3_SP6_c0.t1	AT5G60410.2
OG0001799	ESY3_g30794_DN3_SP6_c0.t1	AT5G59870.1
OG0001800	ESY6_g48682_DN3_SP8_c0.t1	AT3G46820.1, AT5G59160.1
OG0001801	ESY6_g48272_DN3_SP0_c0.t1	AT5G56560.1, AT5G56570.1
OG0001802	ESY6_g48108_DN3_SP0_c0.t1	AT5G55920.1
OG0001802	ESY16_g62488_DN3_SP2_c0.t1	AT4G26600.5
OG0001803	ESY3_g31314_DN2_SP0_c0.t1	AT3G11770.1
OG0001803	ESY7_g18753_DN2_SP0_c0.t1	AT5G06450.1
OG0001804	ESY7_g18878_DN3_SP8_c0.t1	AT5G05670.1
OG0001804	ESY11_g54359_DN3_SP1_c0.t1	AT2G18770.2
OG0001805	ESY3_g31109_DN3_SP8_c0.t1	AT3G10540.1
OG0001805	ESY7_g19078_DN3_SP8_c0.t1	AT5G04510.1
OG0001806	ESY3_g31066_DN3_SP7_c0.t1	AT3G10300.6
OG0001806	ESY7_g19155_DN3_SP5_c0.t1	AT5G04170.1
OG0001807	ESY7_g19160_DN3_SP0_c0.t1	AT5G04130.1
OG0001807	ESY3_g31060_DN3_SP8_c0.t1	AT3G10270.2
OG0001808	ESY3_g30988_DN3_SP0_c0.t1	AT3G09770.1, AT5G03200.1
OG0001809	ESY10_g13720_DN3_SP8_c18.t1	AT3G27300.4
OG0001809	ESY8_g60227_DN3_SP8_c18.t1	AT5G40760.1
OG0001810	ESY4_g26200_DN3_SP0_c0.t1, ESY4_g26202_DN3_SP0_c0.t1, ESY4_g26199_DN3_SP0_c0.t1, ESY4_g26193_DN3_SP0_c0.t1	AT4G36280.1, AT4G36270.1, AT4G36290.1
OG0001811	ESY5_g4365_DN3_SP0_c0.t1	AT1G17140.1
OG0001811	ESY2_g36101_DN3_SP0_c0.t1	AT1G78430.1
OG0001812	ESY9_g43988_DN3_SP0_c0.t1, ESY1_g5709_DN3_SP0_c0.t1	AT1G76930.1
OG0001812	ESY5_g2486_DN3_SP0_c0.t1	AT1G21310.1
OG0001813	ESY2_g34689_DN3_SP8_c0.t1	AT1G76860.1, AT1G21190.1
OG0001814	ESY2_g34702_DN3_SP5_c0.t1	AT1G76700.1
OG0001814	ESY5_g2551_DN3_SP8_c0.t1	AT1G21080.3
OG0001815	ESY2_g34792_DN3_SP0_c0.t1	AT1G76090.1
