Orthogroup	Euclidium_syriacum	Eutrema_salsugineum
OG0002658	ESY3_g28750_DN3_SP0_c0.t1	XP_006406184.1
OG0002659	ESY3_g28955_DN1_SP0_c94.t1	XP_024015586.1
OG0002659	ESY3_g28954_DN2_SP0_c89.t1	XP_024015633.1
OG0002660	ESY2_g35253_DN3_SP0_c0.t1	XP_006405840.1, XP_024009536.1
OG0002661	ESY10_g15830_DN3_SP7_c0.t1	XP_006395034.1
OG0002661	ESY10_g15834_DN3_SP5_c0.t1	XP_006395035.1, XP_024011786.1
OG0002662	ESY20_g13126_DN3_SP0_c0.t1, ESY20_g13125_DN3_SP6_c0.t1	XP_006396359.1
OG0002662	ESY5_g5384_DN3_SP4_c0.t1	XP_006418355.1
OG0002663	ESY5_g5211_DN3_SP0_c0.t1, ESY5_g5212_DN3_SP0_c0.t1, ESY5_g5209_DN3_SP0_c0.t1, ESY5_g5210_DN3_SP0_c0.t1	XP_006418255.1
OG0002664	ESY5_g4506_DN3_SP0_c0.t1	XP_024008209.1, XP_006392249.1
OG0002665	ESY2_g34147_DN3_SP0_c0.t1	XP_006417551.1, XP_006392379.1
OG0002666	ESY5_g3416_DN3_SP0_c0.t1	XP_006417497.1
OG0002666	ESY2_g34082_DN3_SP8_c0.t1	XP_006392284.1
OG0002667	ESY2_g33938_DN3_SP8_c0.t1	XP_006392112.1
OG0002669	ESY5_g5550_DN3_SP0_c0.t1	XP_006418476.1
OG0002669	ESY5_g3720_DN3_SP0_c0.t1	XP_006417310.1
OG0002670	ESY10_g14202_DN3_SP8_c0.t1	XP_024007445.1
OG0002671	ESY5_g2748_DN3_SP0_c0.t1	XP_024008759.1, XP_006417059.2
OG0002672	ESY10_g14602_DN3_SP0_c0.t1	XP_006395878.1, XP_006416958.1
OG0002673	ESY5_g2887_DN3_SP0_c0.t1	XP_006416938.1
OG0002674	ESY5_g4374_DN3_SP8_c0.t1	XP_006416748.1
OG0002674	ESY2_g36110_DN3_SP5_c0.t1	XP_006389980.1
OG0002675	ESY2_g35810_DN3_SP7_c0.t1	XP_006390658.1
OG0002675	ESY5_g4334_DN3_SP7_c0.t1	XP_006416712.1
OG0002676	ESY2_g33906_DN3_SP0_c0.t1	XP_006407638.1
OG0002677	ESY7_g18998_DN3_SP0_c0.t1	XP_006410701.2
OG0002677	ESY7_g18103_DN3_SP0_c0.t1, ESY4_g25558_DN3_SP0_c0.t1	XP_006411610.1
OG0002678	ESY6_g50662_DN3_SP0_c0.t1	XP_006406344.2
OG0002678	ESY4_g26893_DN3_SP0_c0.t1	XP_006411664.1
OG0002679	ESY4_g26687_DN3_SP8_c19.t1	XP_006411790.1
OG0002679	ESY8_g59707_DN3_SP3_c0.t1	XP_024014332.1
OG0002680	ESY4_g25891_DN2_SP0_c0.t1, ESY8_g59633_DN3_SP6_c0.t1	XP_024014346.1
OG0002680	ESY4_g26551_DN3_SP8_c0.t1	XP_006411862.2
OG0002681	ESY4_g25578_DN3_SP8_c0.t1	XP_024005171.1
OG0002681	ESY11_g53791_DN3_SP8_c0.t1	XP_006409445.1
OG0002682	ESY4_g25622_DN3_SP8_c0.t1	XP_006412224.1
OG0002682	ESY29_g13609_DN3_SP7_c0.t1	XP_006409466.1
OG0002683	ESY4_g25721_DN3_SP0_c0.t1	XP_006412256.2
OG0002683	ESY11_g53641_DN3_SP0_c0.t1	XP_024016150.1
OG0002684	ESY8_g59304_DN3_SP7_c0.t1	XP_006405224.1, XP_024005889.1
OG0002685	ESY8_g59262_DN3_SP7_c0.t1	XP_006408834.1
OG0002685	ESY4_g25110_DN3_SP2_c0.t1	XP_006412409.1
OG0002686	ESY4_g25815_DN3_SP0_c0.t1	XP_024015005.1, XP_006412319.1
OG0002688	ESY8_g59381_DN3_SP5_c0.t1	XP_006405104.1
OG0002688	ESY4_g25021_DN3_SP0_c0.t1	XP_006412543.1
OG0002689	ESY14_g21060_DN3_SP0_c68.t1	XP_024008937.1
OG0002690	ESY13_g57993_DN3_SP0_c0.t1, ESY13_g57991_DN3_SP0_c0.t1	XP_006415790.1, XP_024007741.1
OG0002693	ESY3_g31783_DN3_SP0_c57.t1	XP_024010064.1
OG0002694	ESY11_g54897_DN3_SP0_c0.t1, ESY11_g54904_DN3_SP0_c0.t1	XP_006392236.1
OG0002695	ESY3_g30723_DN3_SP0_c0.t1	XP_006407789.1
OG0002699	ESY6_g46606_DN3_SP1_c0.t1	XP_006401902.1, XP_006401901.1
OG0002700	ESY6_g46718_DN2_SP0_c0.t1	XP_024012588.1, XP_024011842.1
OG0002705	ESY16_g62281_DN2_SP0_c0.t1	XP_006413095.1
OG0002705	ESY6_g47872_DN3_SP0_c0.t1	XP_006401567.1
OG0002706	ESY7_g17128_DN3_SP0_c0.t1	XP_006400317.1
OG0002707	ESY11_g53831_DN3_SP0_c0.t1, ESY11_g53828_DN1_SP0_c0.t1	XP_006409436.1
OG0002708	ESY7_g17530_DN3_SP0_c0.t1	XP_006400017.1
OG0002708	ESY3_g32606_DN3_SP0_c0.t1	XP_006408490.1
OG0002711	ESY7_g17901_DN3_SP7_c0.t1	XP_006399456.1
OG0002711	ESY6_g50656_DN3_SP8_c0.t1	XP_006394133.1
OG0002713	ESY6_g49653_DN3_SP0_c0.t1	XP_006402015.2, XP_006394260.1
OG0002713	ESY7_g17784_DN3_SP8_c0.t1	XP_006399370.1
OG0002714	ESY6_g49501_DN3_SP1_c0.t1	XP_006394503.1
OG0002714	ESY7_g18574_DN3_SP0_c0.t1	XP_006399247.1
OG0002715	ESY8_g59018_DN3_SP8_c0.t1	XP_006409753.1
OG0002715	ESY5_g3107_DN3_SP4_c0.t1	XP_006417711.1
OG0002716	ESY4_g26729_DN3_SP3_c0.t1, ESY8_g59012_DN3_SP6_c0.t1	XP_006392052.1, XP_006409780.1
OG0002717	ESY8_g58430_DN3_SP8_c0.t1	XP_006410298.1
OG0002717	ESY5_g4756_DN3_SP8_c0.t1	XP_006417985.1
OG0002718	ESY5_g4989_DN3_SP7_c0.t1	XP_006418121.1
OG0002718	ESY20_g12830_DN2_SP3_c0.t1	XP_024003789.1
OG0002719	ESY20_g12669_DN3_SP0_c0.t1	XP_024013263.1
OG0002720	ESY13_g56802_DN3_SP3_c0.t1, ESY13_g56804_DN3_SP6_c0.t1	XP_006399357.1, XP_006399362.1
OG0002721	ESY1_g6203_DN3_SP1_c0.t1	XP_024006090.1
OG0002723	ESY11_g53898_DN3_SP8_c0.t1, ESY4_g23545_DN3_SP0_c0.t1	XP_006410606.1, XP_006415510.1
OG0002724	ESY16_g61994_DN3_SP8_c16.t1	XP_006415367.1, XP_006410666.1
OG0002725	ESY1_g12418_DN3_SP8_c0.t1	XP_006402407.1
OG0002726	ESY4_g25251_DN3_SP0_c0.t1	XP_006412484.2
OG0002726	ESY6_g49969_DN3_SP7_c0.t1	XP_006394786.1
OG0002727	ESY2_g33947_DN3_SP0_c0.t1, ESY6_g49164_DN3_SP8_c0.t1	XP_024009455.1, XP_006400648.1
OG0002728	ESY6_g48948_DN3_SP0_c0.t1	XP_006419060.1, XP_006400822.1
OG0002729	ESY6_g48898_DN3_SP0_c0.t1	XP_024009692.1, XP_006400867.2
OG0002730	ESY2_g37979_DN3_SP0_c0.t1	XP_006414664.1, XP_006414662.1
OG0002731	ESY6_g48149_DN3_SP5_c10.t1	XP_006401388.1, XP_006413169.1
OG0002732	ESY2_g36309_DN3_SP0_c0.t1	XP_024013738.1
OG0002732	ESY1_g9568_DN3_SP0_c0.t1, ESY20_g12667_DN3_SP0_c0.t1	XP_006404165.1
OG0002733	ESY7_g18501_DN3_SP8_c17.t1	XP_024012640.1
OG0002733	ESY6_g49384_DN3_SP8_c17.t1	XP_006394418.2
OG0002734	ESY7_g18768_DN3_SP0_c0.t1	XP_006399104.2
OG0002734	ESY3_g31289_DN3_SP0_c0.t1	XP_006407425.1
OG0002735	ESY7_g18907_DN3_SP5_c0.t1	XP_006411285.1
OG0002738	ESY11_g54966_DN3_SP0_c0.t1	XP_006412975.1, XP_006409006.1
OG0002739	ESY7_g19548_DN3_SP0_c0.t1, ESY7_g19549_DN3_SP0_c0.t1	XP_006398660.1, XP_024012429.1, XP_006398659.2
OG0002740	ESY3_g30817_DN3_SP8_c0.t1	XP_006407730.1, XP_006398606.2
OG0002741	ESY2_g36822_DN3_SP8_c0.t1	XP_006389946.1
OG0002742	ESY4_g25380_DN3_SP2_c0.t1	XP_006412108.1
OG0002742	ESY11_g54016_DN3_SP8_c0.t1	XP_006409318.1
OG0002745	ESY2_g36899_DN3_SP0_c0.t1, ESY2_g36891_DN3_SP2_c0.t1, ESY2_g36882_DN3_SP1_c0.t1	XP_006392788.1
OG0002746	ESY3_g30539_DN3_SP2_c0.t1	XP_024015597.1
OG0002746	ESY2_g36948_DN3_SP5_c0.t1	XP_006392821.2
OG0002747	ESY4_g25179_DN3_SP8_c0.t1	XP_006404468.1, XP_006412446.1
OG0002748	ESY13_g57597_DN3_SP3_c0.t1	XP_024005893.1
OG0002749	ESY15_g65979_DN3_SP2_c0.t1	XP_006414857.1
OG0002750	ESY2_g35285_DN3_SP8_c0.t1	XP_006391335.1, XP_006391334.1
OG0002751	ESY2_g38887_DN3_SP0_c0.t1	XP_006414549.1
OG0002752	ESY2_g38874_DN3_SP6_c0.t1	XP_006406248.1, XP_006414514.1
OG0002753	ESY12_g51723_DN3_SP0_c0.t1, ESY12_g51722_DN3_SP0_c0.t1	XP_006391410.1
OG0002754	ESY2_g38580_DN3_SP7_c0.t1	XP_006414431.1
OG0002754	ESY3_g29910_DN3_SP8_c0.t1	XP_006406819.1
OG0002755	ESY2_g34862_DN3_SP8_c0.t1	XP_006416630.1, XP_006390533.1
OG0002757	ESY4_g24190_DN3_SP3_c0.t1	XP_006412912.1
OG0002757	ESY11_g54839_DN3_SP0_c0.t1	XP_006408938.1
OG0002758	ESY4_g24227_DN3_SP4_c0.t1	XP_024005205.1
OG0002759	ESY2_g33381_DN3_SP8_c20.t1	XP_006415229.1, XP_024004392.1
OG0002760	ESY12_g51833_DN3_SP0_c0.t1	XP_006405417.1, XP_006405507.1
OG0002761	ESY2_g35467_DN3_SP7_c0.t1	XP_006390956.1
OG0002761	ESY3_g28806_DN3_SP0_c0.t1	XP_006415991.1
OG0002762	ESY4_g26458_DN3_SP7_c0.t1	XP_024005744.1
OG0002762	ESY8_g59578_DN3_SP8_c0.t1	XP_006404828.1
OG0002763	ESY3_g29122_DN3_SP7_c0.t1	XP_024015361.1
OG0002764	ESY2_g37231_DN3_SP5_c0.t1	XP_006393012.2
OG0002765	ESY5_g3467_DN2_SP0_c0.t1	XP_024006866.1
OG0002766	ESY3_g27567_DN2_SP0_c0.t1	XP_024005398.1, XP_024009557.1
OG0002767	ESY9_g43993_DN2_SP0_c0.t1	XP_024016687.1
OG0002767	ESY16_g61553_DN2_SP0_c0.t1	XP_006414293.2
OG0002768	ESY9_g42614_DN3_SP0_c23.t1	XP_006414134.1
OG0002769	ESY10_g14823_DN3_SP6_c0.t1	XP_006398433.1, XP_006414233.1
OG0002770	ESY10_g14803_DN3_SP4_c0.t1	XP_006398438.1
OG0002770	ESY9_g42430_DN3_SP8_c0.t1	XP_006414242.1
OG0002771	ESY1_g9904_DN2_SP0_c0.t1	XP_006404039.1
OG0002772	ESY1_g10999_DN3_SP0_c14.t1	XP_006410995.1, XP_006403621.1
OG0002773	ESY9_g43804_DN3_SP0_c0.t1	XP_006413638.1
OG0002774	ESY9_g43214_DN3_SP0_c0.t1, ESY5_g2660_DN3_SP0_c0.t1	XP_006413918.1
OG0002775	ESY7_g17570_DN3_SP0_c0.t1	XP_006399983.1
OG0002775	ESY3_g32634_DN3_SP0_c0.t1	XP_006408518.1
OG0002776	ESY12_g52221_DN3_SP5_c0.t1	XP_006397939.1
OG0002776	ESY1_g12468_DN3_SP0_c0.t1	XP_006402368.1
OG0002777	ESY12_g52017_DN3_SP7_c0.t1	XP_006397664.1, XP_006402593.1
OG0002778	ESY12_g51474_DN3_SP0_c0.t1	XP_024010759.1
OG0002779	ESY12_g50957_DN3_SP6_c0.t1	XP_006411334.1
OG0002779	ESY1_g10530_DN3_SP7_c0.t1	XP_024012981.1
OG0002780	ESY1_g10807_DN3_SP1_c0.t1	XP_006403507.1
OG0002780	ESY1_g10806_DN3_SP5_c0.t1	XP_006403506.1
OG0002781	ESY3_g30375_DN3_SP0_c0.t1, ESY3_g30377_DN2_SP0_c0.t1	XP_024015256.1, XP_024015257.1, XP_006407102.2
OG0002782	ESY1_g11116_DN3_SP8_c0.t1	XP_006410895.1, XP_006403695.1
OG0002783	ESY1_g11172_DN3_SP0_c0.t1	XP_024013788.1
OG0002783	ESY1_g11173_DN3_SP0_c0.t1	XP_006403730.1
OG0002784	ESY17_g39527_DN3_SP0_c0.t1	XP_006396165.1, XP_006395934.1
OG0002785	ESY2_g34711_DN3_SP0_c0.t1	XP_006418768.1
OG0002786	ESY11_g54345_DN2_SP0_c0.t1	XP_006409123.1
OG0002787	ESY3_g31064_DN3_SP1_c0.t1, ESY4_g26384_DN3_SP1_c0.t1	XP_024008573.1
OG0002788	ESY13_g57091_DN2_SP0_c0.t1, ESY5_g2839_DN3_SP0_c0.t1	XP_006416982.2
OG0002789	ESY11_g54641_DN2_SP0_c0.t1	XP_006412823.1, XP_006409035.1, XP_006408874.2
OG0002790	ESY9_g45516_DN3_SP5_c0.t1	XP_024004193.1
OG0002791	ESY4_g26806_DN3_SP6_c0.t1, ESY4_g21766_DN2_SP0_c0.t1, ESY6_g48252_DN1_SP0_c0.t1	XP_006411706.1
OG0002791	ESY8_g59856_DN3_SP2_c0.t1	XP_006404590.1
OG0002794	ESY5_g2432_DN3_SP0_c0.t1, ESY5_g3604_DN2_SP0_c0.t1, ESY10_g14339_DN2_SP0_c0.t1, ESY10_g14234_DN2_SP0_c0.t1	XP_024007598.1, XP_024007194.1
OG0002795	ESY3_g31637_DN3_SP2_c0.t1	XP_024005497.1, XP_006408026.1
OG0002796	ESY10_g15690_DN3_SP7_c0.t1	XP_006395006.1
OG0002797	ESY12_g52169_DN3_SP8_c0.t1	XP_006397553.2, XP_006402656.1
OG0002799	ESY10_g14873_DN3_SP8_c0.t1	XP_006398407.1
OG0002800	ESY3_g32082_DN3_SP0_c0.t1	XP_006408215.2
OG0002801	ESY3_g31814_DN3_SP0_c0.t1, ESY3_g31887_DN3_SP0_c0.t1, ESY3_g31847_DN3_SP0_c0.t1, ESY3_g31888_DN3_SP0_c0.t1	XP_006408125.2
OG0002801	ESY3_g31816_DN3_SP0_c0.t1, ESY3_g31810_DN3_SP0_c0.t1, ESY3_g31431_DN3_SP0_c0.t1	XP_024010982.1
OG0002802	ESY10_g15668_DN3_SP0_c0.t1	XP_006394988.1
OG0002802	ESY3_g31826_DN3_SP8_c0.t1	XP_006408120.1
OG0002803	ESY3_g31580_DN3_SP0_c0.t1	XP_006407975.1, XP_006400461.1
OG0002804	ESY3_g31573_DN3_SP0_c0.t1	XP_024015534.1
OG0002805	ESY8_g59452_DN3_SP0_c47.t1	XP_006396402.1
OG0002806	ESY3_g30575_DN3_SP3_c0.t1, ESY5_g4754_DN1_SP0_c0.t1	XP_006406984.1, XP_006391698.1, XP_006415224.1, XP_006415225.1
OG0002807	ESY3_g29876_DN3_SP8_c0.t1	XP_024015542.1
OG0002807	ESY2_g38379_DN3_SP8_c0.t1	XP_024005820.1
OG0002808	ESY3_g29650_DN3_SP1_c0.t1	XP_006406589.1
OG0002809	ESY2_g37393_DN3_SP3_c0.t1	XP_006393099.1
OG0002809	ESY3_g29210_DN3_SP2_c0.t1	XP_006406371.1
OG0002810	ESY3_g28567_DN2_SP0_c0.t1	XP_006406072.1, XP_006414707.2
OG0002811	ESY5_g2599_DN2_SP0_c0.t1	XP_006417150.1
OG0002812	ESY5_g3528_DN3_SP0_c0.t1	XP_006417430.1
OG0002812	ESY2_g33941_DN2_SP0_c0.t1	XP_006392116.1
OG0002813	ESY2_g33818_DN1_SP5_c0.t1	XP_006391977.1
OG0002813	ESY5_g3671_DN3_SP8_c0.t1	XP_006417353.1
OG0002814	ESY5_g3694_DN3_SP7_c0.t1	XP_006417337.1
OG0002814	ESY2_g33801_DN3_SP8_c0.t1	XP_006391961.1
OG0002815	ESY6_g46977_DN1_SP0_c0.t1, ESY2_g33632_DN3_SP7_c0.t1	XP_006391826.1
OG0002815	ESY5_g3789_DN3_SP4_c0.t1	XP_006417250.1
OG0002816	ESY2_g33604_DN3_SP0_c0.t1	XP_006417239.1, XP_024008830.1, XP_006396730.1, XP_024015598.1
OG0002817	ESY5_g4343_DN3_SP0_c0.t1	XP_006416721.2, XP_006390674.2
OG0002819	ESY2_g35627_DN2_SP0_c0.t1	XP_006390820.1, XP_006416129.1
OG0002821	ESY8_g60058_DN3_SP3_c0.t1	XP_024014763.1
OG0002821	ESY2_g33328_DN3_SP8_c0.t1	XP_006391660.1
OG0002822	ESY2_g37728_DN3_SP0_c0.t1	XP_006393269.1
OG0002823	ESY4_g26406_DN3_SP0_c14.t1	XP_024005510.1
OG0002824	ESY10_g14404_DN3_SP0_c30.t1	XP_024007566.1, XP_024007435.1
OG0002825	ESY4_g25307_DN3_SP0_c0.t1, ESY4_g25308_DN3_SP0_c0.t1	XP_006412071.1
OG0002825	ESY4_g25306_DN3_SP0_c0.t1	XP_006412073.1
OG0002826	ESY8_g59323_DN3_SP5_c0.t1	XP_006405185.1
OG0002826	ESY4_g25227_DN3_SP8_c0.t1	XP_006412477.1
OG0002827	ESY4_g25824_DN3_SP8_c15.t1	XP_006412321.1
OG0002827	ESY11_g53375_DN3_SP8_c0.t1	XP_006409657.1
OG0002828	ESY8_g59398_DN3_SP8_c0.t1	XP_006405038.1, XP_006412563.1
OG0002829	ESY20_g13112_DN3_SP0_c0.t1	XP_006396352.1
OG0002833	ESY11_g54835_DN3_SP0_c0.t1	XP_006412766.1, XP_006412765.1, XP_006412768.1
OG0002834	ESY1_g12282_DN1_SP0_c0.t1	XP_024012909.1
OG0002835	ESY21_g55278_DN3_SP0_c0.t1	XP_024006859.1, XP_006395337.1
OG0002836	ESY2_g33807_DN3_SP0_c0.t1	XP_006391965.2, XP_006391964.2
OG0002836	ESY4_g25311_DN3_SP0_c0.t1, ESY4_g25313_DN3_SP0_c0.t1, ESY4_g25314_DN3_SP0_c0.t1	XP_024004396.1
OG0002837	ESY6_g47229_DN3_SP8_c0.t1	XP_006401738.1, XP_006413012.2
OG0002844	ESY1_g10629_DN3_SP0_c0.t1	XP_006405942.2, XP_006395748.2
OG0002845	ESY3_g32294_DN3_SP0_c0.t1	XP_006408300.1
OG0002845	ESY7_g17158_DN3_SP7_c0.t1	XP_006400291.1
OG0002846	ESY3_g32687_DN3_SP6_c0.t1	XP_006408564.1
OG0002846	ESY7_g17666_DN3_SP8_c0.t1	XP_006399912.1
OG0002847	ESY7_g17680_DN2_SP7_c0.t1	XP_006399896.1
OG0002848	ESY16_g61760_DN3_SP0_c0.t1	XP_024005359.1
OG0002849	ESY33_g12630_DN2_SP0_c0.t1, ESY3_g29809_DN3_SP0_c0.t1	XP_024004427.1, XP_006404252.1, XP_006414739.2
OG0002850	ESY7_g18162_DN3_SP0_c0.t1	XP_006399631.1
OG0002851	ESY7_g18146_DN3_SP0_c0.t1	XP_024012176.1, XP_024012382.1
OG0002852	ESY5_g4255_DN3_SP0_c0.t1, ESY10_g15394_DN3_SP4_c0.t1	XP_006394912.1
OG0002853	ESY7_g18674_DN2_SP0_c0.t1	XP_006399324.1
OG0002854	ESY8_g59090_DN3_SP5_c0.t1, ESY8_g59087_DN3_SP3_c0.t1	XP_006408663.1, XP_006408653.1
OG0002855	ESY8_g58999_DN2_SP0_c12.t1	XP_006409793.1
OG0002856	ESY8_g58654_DN3_SP3_c0.t1	XP_006410146.1
OG0002856	ESY5_g4614_DN3_SP8_c0.t1	XP_006417871.1
OG0002857	ESY8_g58484_DN3_SP8_c0.t1	XP_006410267.1
OG0002858	ESY20_g12691_DN3_SP0_c0.t1	XP_006410389.1
OG0002858	ESY5_g4879_DN3_SP0_c0.t1	XP_006418063.2
OG0002859	ESY20_g12680_DN3_SP0_c0.t1	XP_006410378.1
OG0002860	ESY5_g4930_DN3_SP0_c0.t1	XP_006418088.1
OG0002861	ESY20_g12805_DN3_SP0_c0.t1	XP_006410463.1
OG0002861	ESY5_g4970_DN3_SP8_c0.t1	XP_006418109.1
OG0002862	ESY5_g4453_DN3_SP2_c0.t1, ESY4_g26820_DN3_SP0_c0.t1	XP_006417753.1
OG0002863	ESY13_g56695_DN2_SP0_c1.t1, ESY6_g46863_DN2_SP0_c0.t1	XP_006413283.1, XP_006413281.1
OG0002864	ESY8_g58547_DN3_SP0_c10.t1	XP_006415703.1
OG0002865	ESY16_g61840_DN3_SP1_c0.t1	XP_006410720.1, XP_024008798.1
OG0002866	ESY8_g58157_DN3_SP0_c0.t1, ESY16_g61811_DN3_SP1_c0.t1	XP_006415281.1
OG0002867	ESY16_g61778_DN3_SP8_c0.t1	XP_006415261.1, XP_006410715.1
OG0002868	ESY1_g9784_DN3_SP0_c0.t1	XP_006404100.1
OG0002870	ESY6_g49643_DN3_SP8_c0.t1	XP_006394250.1
OG0002871	ESY6_g49699_DN3_SP1_c0.t1	XP_024007626.1
OG0002871	ESY1_g9201_DN3_SP2_c0.t1	XP_006404246.1
OG0002872	ESY6_g49461_DN3_SP4_c0.t1	XP_024004347.1
OG0002872	ESY2_g34123_DN3_SP0_c0.t1	XP_024007520.1
OG0002874	ESY16_g62413_DN3_SP8_c0.t1	XP_006413146.1
OG0002874	ESY6_g48008_DN3_SP4_c0.t1	XP_006401473.1
OG0002875	ESY6_g48011_DN3_SP0_c0.t1	XP_006401470.1
OG0002876	ESY3_g29494_DN3_SP0_c0.t1	XP_006392239.1, XP_006404036.1
OG0002878	ESY7_g19059_DN3_SP0_c0.t1, ESY7_g19067_DN2_SP0_c34.t1	XP_006398920.1, XP_006409474.2
OG0002879	ESY3_g31058_DN3_SP2_c0.t1	XP_006398867.1, XP_006407591.1
OG0002880	ESY8_g60106_DN3_SP8_c0.t1	XP_006405362.1
OG0002882	ESY2_g36602_DN3_SP0_c0.t1, ESY2_g36605_DN3_SP0_c0.t1, ESY2_g36603_DN3_SP0_c0.t1	XP_006397159.1, XP_006405092.1
OG0002883	ESY2_g36113_DN3_SP0_c0.t1	XP_006389977.1
OG0002883	ESY5_g4375_DN3_SP0_c0.t1	XP_024008335.1
OG0002884	ESY6_g50442_DN3_SP0_c0.t1	XP_006393981.1
OG0002884	ESY1_g9758_DN3_SP0_c0.t1	XP_024013655.1
OG0002885	ESY6_g48996_DN2_SP0_c0.t1	XP_024014948.1
OG0002886	ESY1_g11167_DN3_SP7_c0.t1	XP_006410841.1, XP_006391880.2, XP_006403723.1
OG0002887	ESY15_g65237_DN3_SP6_c19.t1	XP_006413440.1, XP_006413438.1
OG0002888	ESY3_g27330_DN3_SP0_c0.t1, ESY3_g27370_DN3_SP0_c0.t1	XP_024005027.1, XP_006415005.1, XP_024004575.1
OG0002889	ESY3_g27834_DN3_SP7_c0.t1	XP_024009523.1
OG0002889	ESY7_g19373_DN3_SP7_c0.t1	XP_024005387.1
OG0002890	ESY3_g28014_DN3_SP1_c0.t1	XP_006414921.1, XP_006418754.1
OG0002891	ESY5_g3897_DN2_SP0_c15.t1	XP_006416348.1
OG0002891	ESY3_g30964_DN3_SP0_c0.t1	XP_024015276.1
OG0002892	ESY2_g34968_DN3_SP4_c15.t1, ESY2_g34967_DN2_SP1_c16.t1	XP_006390428.1
OG0002893	ESY7_g16807_DN3_SP8_c0.t1	XP_006398232.1
OG0002895	ESY3_g30602_DN3_SP7_c0.t1	XP_006406945.1
OG0002895	ESY2_g37019_DN3_SP7_c0.t1	XP_006392876.1
OG0002896	ESY6_g46825_DN3_SP0_c0.t1, ESY6_g46826_DN3_SP0_c0.t1	XP_006413286.2
OG0002898	ESY10_g14870_DN2_SP0_c0.t1, ESY2_g37824_DN2_SP0_c0.t1	XP_006398410.1, XP_006398412.1, XP_006418523.1
OG0002899	ESY4_g25557_DN3_SP0_c0.t1	XP_006412189.1
OG0002899	ESY11_g53837_DN3_SP0_c0.t1	XP_006409423.1
OG0002900	ESY26_g42362_DN3_SP8_c0.t1	XP_006413592.1
OG0002901	ESY7_g16605_DN3_SP8_c0.t1	XP_006413874.1, XP_006398069.1
OG0002902	ESY7_g16337_DN2_SP0_c0.t1	XP_006396671.2
OG0002902	ESY9_g43662_DN3_SP0_c0.t1	XP_006413717.1
OG0002903	ESY1_g10122_DN3_SP0_c0.t1	XP_006403943.1
OG0002903	ESY6_g50239_DN3_SP0_c0.t1	XP_006393834.1
OG0002904	ESY1_g10132_DN3_SP8_c0.t1	XP_006393800.1, XP_006393802.1
OG0002905	ESY1_g10158_DN3_SP8_c4.t1	XP_006403913.1
OG0002906	ESY1_g12441_DN3_SP8_c0.t1	XP_006402386.1
OG0002908	ESY7_g18465_DN2_SP0_c0.t1, ESY1_g12342_DN3_SP1_c0.t1	XP_006397829.1
OG0002909	ESY12_g51716_DN3_SP8_c0.t1	XP_006397819.2
OG0002910	ESY1_g12156_DN3_SP8_c0.t1	XP_024010889.1, XP_006402546.2
OG0002911	ESY1_g11896_DN3_SP8_c0.t1	XP_006402655.1
OG0002912	ESY16_g61667_DN3_SP1_c0.t1	XP_024006222.1, XP_006403443.1
OG0002913	ESY1_g10941_DN1_SP0_c0.t1	XP_024013539.1
OG0002914	ESY6_g47408_DN3_SP8_c0.t1	XP_024011791.1
OG0002914	ESY4_g23857_DN3_SP2_c0.t1	XP_006413014.1
OG0002915	ESY14_g20001_DN2_SP0_c0.t1	XP_024013033.1, XP_006408978.1, XP_006396108.1
OG0002916	ESY4_g26229_DN3_SP3_c0.t1	XP_006411999.1
OG0002917	ESY11_g54425_DN2_SP6_c0.t1	XP_006401212.1, XP_006409098.1
OG0002918	ESY9_g45087_DN3_SP0_c0.t1	XP_024003912.1
OG0002919	ESY7_g16878_DN3_SP0_c0.t1, ESY7_g16879_DN3_SP0_c0.t1	XP_006400481.1
OG0002920	ESY12_g51876_DN3_SP0_c0.t1, ESY12_g51877_DN3_SP0_c0.t1	XP_006397734.1
OG0002921	ESY3_g32347_DN3_SP6_c0.t1	XP_006408324.1
OG0002921	ESY7_g17188_DN3_SP8_c0.t1	XP_024012070.1
OG0002922	ESY3_g31809_DN3_SP7_c0.t1	XP_006394979.1, XP_006408110.1
OG0002923	ESY3_g31661_DN2_SP8_c0.t1	XP_006408038.1
OG0002924	ESY3_g30230_DN3_SP8_c0.t1	XP_006407775.1, XP_006407202.2
OG0002925	ESY7_g19626_DN3_SP0_c0.t1, ESY7_g19616_DN3_SP0_c0.t1	XP_006407729.1, XP_006407731.1
OG0002926	ESY6_g49325_DN3_SP2_c0.t1	XP_006407619.1
OG0002927	ESY3_g30186_DN3_SP0_c0.t1, ESY12_g51957_DN3_SP0_c0.t1, ESY3_g30185_DN3_SP0_c0.t1, ESY3_g30187_DN3_SP0_c0.t1	XP_006407240.1, XP_006407239.1
OG0002928	ESY3_g30512_DN3_SP4_c0.t1	XP_006407023.1
OG0002929	ESY3_g30019_DN2_SP0_c0.t1, ESY16_g61911_DN3_SP0_c0.t1, ESY3_g30616_DN3_SP0_c0.t1	XP_006406926.2
OG0002930	ESY3_g30638_DN3_SP2_c0.t1	XP_006406915.1
OG0002931	ESY3_g29719_DN3_SP7_c0.t1	XP_006406658.1, XP_006406654.1
OG0002932	ESY3_g29708_DN3_SP0_c0.t1, ESY3_g29710_DN3_SP0_c0.t1	XP_006406640.1
OG0002933	ESY3_g29434_DN3_SP2_c0.t1	XP_006406504.1
OG0002935	ESY3_g28979_DN3_SP0_c0.t1	XP_006406237.1
