Orthogroup	Euclidium_syriacum	Arabis_alpina
OG0003872	ESY11_g53077_DN3_SP0_c0.t1, ESY18_g63390_DN3_SP8_c0.t1	Aa_G39310.h1.t1
OG0003873	ESY11_g54922_DN3_SP0_c0.t1	Aa_G194780.h1.t1
OG0003874	ESY12_g51606_DN2_SP0_c0.t1	Aa_G177870.h1.t1
OG0003876	ESY2_g34300_DN3_SP0_c0.t1	Aa_G574100.h1.t1
OG0003878	ESY12_g51156_DN3_SP8_c0.t1	Aa_G188420.h1.t1
OG0003879	ESY7_g17250_DN3_SP4_c0.t1	Aa_G162360.h1.t1
OG0003880	ESY3_g31400_DN3_SP0_c0.t1	Aa_G174780.h1.t1
OG0003881	ESY3_g30717_DN3_SP6_c0.t1	Aa_G174110.h1.t1, Aa_G570100.h1.t1, Aa_G570100.h2.t1
OG0003882	ESY3_g31248_DN3_SP0_c0.t1, ESY3_g31249_DN3_SP3_c15.t1	Aa_G285130.h1.t1
OG0003883	ESY11_g53838_DN3_SP0_c0.t1	Aa_G529360.h1.t1, Aa_G323540.h1.t1
OG0003884	ESY3_g30619_DN3_SP0_c0.t1	Aa_G32150.h1.t1
OG0003885	ESY5_g5409_DN3_SP0_c0.t1, ESY5_g5425_DN2_SP0_c0.t1	Aa_G211760.h1.t1
OG0003886	ESY15_g64295_DN3_SP2_c0.t1	Aa_G457160.h1.t1
OG0003886	ESY10_g15884_DN3_SP1_c0.t1	Aa_G375230.h1.t1
OG0003887	ESY1_g10363_DN3_SP8_c0.t1	Aa_G114540.h1.t1, Aa_G24540.h1.t1
OG0003889	ESY5_g4846_DN3_SP0_c0.t1, ESY5_g4845_DN3_SP0_c0.t1	Aa_G235520.h1.t1
OG0003890	ESY10_g14773_DN3_SP0_c0.t1	Aa_G63590.h1.t1
OG0003892	ESY5_g3237_DN2_SP0_c0.t1	Aa_G19260.h1.t1
OG0003893	ESY5_g3296_DN3_SP0_c26.t1	Aa_G583610.h1.t1, Aa_G193900.h1.t1
OG0003894	ESY5_g3319_DN3_SP7_c0.t1, ESY3_g28812_DN3_SP0_c0.t1	Aa_G516470.h1.t1
OG0003895	ESY5_g3804_DN2_SP0_c0.t1	Aa_G10860.h1.t1, Aa_G487460.h1.t1
OG0003896	ESY5_g4227_DN3_SP0_c0.t1	Aa_G55200.h1.t1
OG0003897	ESY5_g4161_DN3_SP0_c17.t1, ESY11_g54833_DN3_SP0_c19.t1, ESY11_g54831_DN2_SP0_c26.t1	Aa_G214280.h1.t1, Aa_G676960.h1.t1
OG0003899	ESY5_g2673_DN3_SP0_c0.t1	Aa_G407830.h1.t1
OG0003900	ESY20_g13121_DN3_SP0_c0.t1	Aa_G563070.h1.t1, Aa_G347340.h1.t1, Aa_G563080.h1.t1, Aa_G347360.h1.t1
OG0003901	ESY2_g33653_DN3_SP3_c0.t1	Aa_G473810.h1.t1
OG0003902	ESY2_g33890_DN3_SP0_c0.t1	Aa_G342040.h1.t1
OG0003902	ESY2_g33863_DN3_SP0_c0.t1	Aa_G482470.h1.t1
OG0003903	ESY2_g34128_DN3_SP0_c2.t1	Aa_G167240.h1.t1
OG0003903	ESY2_g34126_DN3_SP3_c2.t1	Aa_G167250.h1.t1
OG0003904	ESY5_g3780_DN3_SP0_c0.t1	Aa_G193670.h1.t1
OG0003905	ESY10_g14758_DN3_SP3_c0.t1	Aa_G63390.h1.t1
OG0003906	ESY8_g59937_DN3_SP8_c0.t1	Aa_G36460.h1.t1
OG0003906	ESY4_g26922_DN2_SP5_c0.t1	Aa_G676570.h1.t1
OG0003907	ESY1_g8306_DN3_SP0_c0.t1	Aa_G88980.h1.t1
OG0003907	ESY6_g48651_DN3_SP0_c0.t1	Aa_G246280.h1.t1
OG0003908	ESY4_g26251_DN3_SP0_c0.t1	Aa_G270490.h1.t1, Aa_G467480.h1.t1
OG0003909	ESY4_g25542_DN3_SP0_c0.t1	Aa_G84830.h1.t1, Aa_G84810.h1.t1, Aa_G385170.h1.t1
OG0003910	ESY4_g25670_DN3_SP5_c0.t1	Aa_G258860.h1.t1
OG0003911	ESY4_g24824_DN3_SP8_c0.t1	Aa_G556820.h1.t1
OG0003912	ESY2_g35595_DN3_SP0_c0.t1	Aa_G68630.h1.t1
OG0003913	ESY6_g47367_DN3_SP4_c0.t1	Aa_G134130.h1.t1
OG0003917	ESY14_g20717_DN3_SP0_c0.t1	Aa_G322450.h1.t1
OG0003918	ESY12_g51161_DN3_SP0_c0.t1, ESY12_g51163_DN3_SP0_c0.t1, ESY6_g48022_DN3_SP0_c0.t1	Aa_G633310.h1.t1
OG0003922	ESY2_g35110_DN3_SP0_c0.t1	Aa_G514470.h1.t1
OG0003924	ESY4_g24896_DN3_SP0_c31.t1	Aa_G375720.h1.t1, Aa_G270650.h1.t1
OG0003927	ESY7_g17306_DN3_SP0_c0.t1	Aa_G79140.h1.t1
OG0003929	ESY11_g54787_DN3_SP1_c0.t1	Aa_G97510.h1.t1
OG0003931	ESY6_g46334_DN2_SP3_c0.t1	Aa_G675260.h1.t1
OG0003941	ESY7_g17477_DN3_SP5_c0.t1	Aa_G321000.h1.t1
OG0003942	ESY7_g17636_DN3_SP0_c0.t1	Aa_G72750.h1.t1
OG0003943	ESY7_g17709_DN3_SP8_c0.t1	Aa_G209520.h1.t1, Aa_G556030.h1.t1
OG0003944	ESY7_g18382_DN3_SP0_c0.t1	Aa_G155150.h1.t1
OG0003945	ESY7_g18253_DN3_SP0_c0.t1	Aa_G756410.h1.t1
OG0003946	ESY2_g35444_DN3_SP0_c0.t1	Aa_G133830.h1.t1
OG0003947	ESY7_g18161_DN1_SP0_c0.t1	Aa_G322410.h1.t1, Aa_G158520.h1.t1
OG0003948	ESY6_g49963_DN3_SP0_c0.t1	Aa_G517870.h1.t1
OG0003948	ESY7_g18158_DN3_SP7_c0.t1	Aa_G158550.h1.t1
OG0003949	ESY10_g15573_DN3_SP6_c0.t1	Aa_G146290.h1.t1
OG0003949	ESY7_g19171_DN3_SP0_c0.t1	Aa_G457960.h1.t1
OG0003950	ESY7_g18663_DN3_SP0_c0.t1	Aa_G319230.h1.t1
OG0003950	ESY7_g18662_DN3_SP0_c0.t1	Aa_G319240.h1.t1
OG0003951	ESY6_g50199_DN3_SP7_c0.t1	Aa_G97900.h1.t1
OG0003951	ESY7_g18658_DN3_SP4_c0.t1	Aa_G319280.h1.t1
OG0003952	ESY7_g18648_DN3_SP8_c0.t1	Aa_G239870.h1.t1, Aa_G665910.h1.t1
OG0003953	ESY7_g18572_DN3_SP4_c0.t1	Aa_G471530.h1.t1
OG0003953	ESY6_g49496_DN3_SP8_c0.t1	Aa_G125550.h1.t1, Aa_G590880.h1.t1
OG0003954	ESY10_g14650_DN3_SP0_c11.t1	Aa_G130110.h1.t1
OG0003955	ESY13_g57032_DN3_SP0_c0.t1, ESY1_g11654_DN2_SP0_c0.t1	Aa_G130190.h1.t1, Aa_G95670.h1.t1
OG0003956	ESY8_g59031_DN3_SP0_c0.t1	Aa_G80140.h1.t1
OG0003957	ESY8_g59021_DN3_SP8_c0.t1	Aa_G63210.h1.t1
OG0003958	ESY8_g58703_DN3_SP8_c0.t1	Aa_G597520.h1.t1
OG0003959	ESY20_g12843_DN3_SP8_c0.t1	Aa_G208630.h1.t1
OG0003960	ESY20_g12910_DN3_SP0_c0.t1	Aa_G203760.h1.t1
OG0003961	ESY13_g56821_DN2_SP8_c0.t1	Aa_G353750.h1.t1
OG0003962	ESY4_g23253_DN3_SP0_c0.t1	Aa_G784100.h1.t1, Aa_G108520.h1.t1
OG0003964	ESY9_g45677_DN1_SP1_c0.t1	Aa_G224240.h1.t1
OG0003965	ESY2_g34228_DN2_SP5_c0.t1	Aa_G229990.h1.t1, Aa_G193020.h1.t1
OG0003966	ESY3_g32094_DN3_SP0_c0.t1	Aa_G81450.h1.t1
OG0003967	ESY6_g50723_DN3_SP0_c0.t1, ESY6_g50724_DN3_SP0_c0.t1, ESY4_g24959_DN3_SP0_c0.t1	Aa_G268360.h1.t1
OG0003970	ESY6_g49483_DN3_SP3_c0.t1	Aa_G401190.h1.t1
OG0003972	ESY6_g49547_DN3_SP0_c0.t1	Aa_G95000.h1.t1, Aa_G95010.h1.t1, Aa_G747780.h1.t1, Aa_G796240.h1.t1
OG0003973	ESY6_g49568_DN3_SP8_c0.t1	Aa_G94840.h1.t1
OG0003974	ESY6_g50518_DN3_SP8_c0.t1	Aa_G143260.h1.t1
OG0003975	ESY1_g9313_DN3_SP8_c0.t1	Aa_G106880.h1.t1
OG0003976	ESY6_g49937_DN3_SP8_c0.t1	Aa_G539270.h1.t1
OG0003977	ESY6_g49920_DN3_SP0_c14.t1, ESY6_g49918_DN3_SP0_c10.t1	Aa_G113060.h1.t1
OG0003978	ESY5_g3705_DN3_SP8_c0.t1	Aa_G339060.h1.t1
OG0003979	ESY6_g48911_DN2_SP0_c0.t1	Aa_G231410.h1.t1, Aa_G456950.h1.t1
OG0003980	ESY11_g54681_DN3_SP0_c0.t1, ESY6_g48899_DN3_SP0_c0.t1	Aa_G457010.h1.t1
OG0003983	ESY6_g48642_DN3_SP0_c0.t1	Aa_G148050.h1.t1
OG0003984	ESY6_g48605_DN3_SP1_c0.t1	Aa_G93880.h1.t1
OG0003985	ESY6_g48454_DN3_SP0_c0.t1, ESY6_g48446_DN3_SP8_c0.t1	Aa_G307680.h1.t1
OG0003986	ESY6_g48179_DN3_SP0_c0.t1	Aa_G216600.h1.t1
OG0003987	ESY1_g9366_DN3_SP0_c0.t1	Aa_G106760.h1.t1
OG0003988	ESY6_g47843_DN3_SP4_c0.t1	Aa_G54530.h1.t1
OG0003989	ESY7_g18479_DN2_SP0_c0.t1	Aa_G672340.h1.t1
OG0003990	ESY4_g25667_DN3_SP0_c0.t1	Aa_G206830.h1.t1
OG0003991	ESY17_g39835_DN3_SP0_c29.t1, ESY21_g55358_DN3_SP0_c29.t1, ESY1_g10644_DN3_SP0_c29.t1, ESY7_g19070_DN2_SP0_c29.t1	Aa_G570240.h1.t1, Aa_G170600.h1.t1
OG0003992	ESY7_g18986_DN3_SP8_c0.t1, ESY7_g17272_DN3_SP0_c0.t1	Aa_G303930.h1.t1
OG0003993	ESY7_g19069_DN3_SP6_c0.t1	Aa_G73280.h1.t1
OG0003993	ESY3_g31112_DN3_SP5_c0.t1	Aa_G137200.h1.t1
OG0003994	ESY7_g19326_DN3_SP1_c0.t1	Aa_G170200.h1.t1
OG0003995	ESY7_g19511_DN3_SP0_c0.t1	Aa_G85230.h1.t1
OG0003996	ESY7_g19512_DN3_SP7_c3.t1	Aa_G85220.h1.t1
OG0003998	ESY3_g31077_DN3_SP8_c0.t1	Aa_G338710.h1.t1
OG0003999	ESY2_g33827_DN3_SP0_c0.t1	Aa_G43690.h1.t1, Aa_G246990.h1.t1, Aa_G67790.h1.t1
OG0004000	ESY2_g34738_DN3_SP3_c0.t1	Aa_G111150.h1.t1
OG0004001	ESY2_g34752_DN3_SP0_c14.t1	Aa_G315320.h1.t1
OG0004002	ESY2_g34815_DN3_SP0_c0.t1	Aa_G281670.h1.t1
OG0004003	ESY7_g16584_DN3_SP6_c0.t1	Aa_G103040.h1.t1
OG0004004	ESY2_g36411_DN3_SP3_c0.t1	Aa_G205630.h1.t1
OG0004006	ESY2_g36371_DN3_SP0_c0.t1, ESY2_g36370_DN3_SP0_c0.t1, ESY2_g36363_DN3_SP0_c0.t1	Aa_G378640.h1.t1, Aa_G378650.h1.t1
OG0004007	ESY8_g59239_DN2_SP0_c0.t1, ESY2_g36289_DN2_SP0_c0.t1	Aa_G193300.h1.t1
OG0004009	ESY14_g20918_DN3_SP3_c0.t1	Aa_G523620.h1.t1
OG0004010	ESY2_g36168_DN3_SP8_c0.t1	Aa_G127740.h1.t1
OG0004011	ESY2_g33495_DN3_SP5_c0.t1	Aa_G12250.h1.t1
OG0004012	ESY6_g47190_DN3_SP5_c0.t1	Aa_G636590.h1.t1
OG0004013	ESY22_g40535_DN3_SP0_c0.t1	Aa_G55050.h1.t1
OG0004014	ESY22_g40757_DN3_SP0_c0.t1	Aa_G597130.h1.t1, Aa_G597110.h1.t1
OG0004015	ESY2_g38669_DN3_SP0_c0.t1	Aa_G727560.h1.t1
OG0004016	ESY2_g35934_DN3_SP7_c0.t1	Aa_G303530.h1.t1
OG0004017	ESY2_g34954_DN3_SP0_c0.t1	Aa_G449800.h1.t1, Aa_G619950.h2.t1, Aa_G619950.h1.t1, Aa_G449810.h1.t1, Aa_G619960.h2.t1, Aa_G619960.h1.t1
OG0004020	ESY10_g13739_DN3_SP0_c0.t1	Aa_G424660.h1.t1
OG0004020	ESY8_g60178_DN2_SP0_c0.t1	Aa_G352920.h1.t1
OG0004021	ESY9_g43600_DN3_SP8_c0.t1	Aa_G698390.h1.t1, Aa_G698390.h2.t1
OG0004022	ESY7_g16803_DN2_SP0_c0.t1	Aa_G118090.h1.t1, Aa_G566340.h1.t1, Aa_G386650.h1.t1
OG0004023	ESY3_g29356_DN3_SP8_c0.t1	Aa_G164670.h1.t1
OG0004023	ESY2_g37489_DN3_SP4_c0.t1	Aa_G740060.h1.t1
OG0004024	ESY2_g37488_DN3_SP1_c0.t1	Aa_G740070.h1.t1
OG0004025	ESY6_g48873_DN3_SP0_c0.t1	Aa_G264040.h1.t1
OG0004026	ESY7_g16952_DN3_SP2_c0.t1	Aa_G344520.h1.t1
OG0004027	ESY10_g15087_DN3_SP0_c0.t1	Aa_G208100.h1.t1
OG0004028	ESY5_g2993_DN3_SP0_c0.t1	Aa_G497260.h1.t1
OG0004029	ESY9_g43794_DN3_SP8_c0.t1	Aa_G316470.h1.t1, Aa_G522420.h1.t1
OG0004030	ESY4_g24996_DN3_SP0_c0.t1, ESY4_g24994_DN2_SP0_c0.t1, ESY4_g25407_DN3_SP0_c0.t1	Aa_G226600.h1.t1
OG0004031	ESY2_g33900_DN3_SP0_c0.t1	Aa_G560450.h1.t1
OG0004032	ESY9_g43233_DN3_SP0_c0.t1	Aa_G204020.h1.t1
OG0004033	ESY9_g43271_DN3_SP2_c0.t1	Aa_G123850.h1.t1, Aa_G221300.h1.t1
OG0004034	ESY9_g42677_DN2_SP0_c9.t1	Aa_G472140.h1.t1
OG0004035	ESY9_g43581_DN3_SP0_c0.t1, ESY9_g43580_DN3_SP0_c0.t1	Aa_G298530.h1.t1, Aa_G298540.h1.t1, Aa_G298520.h1.t1
OG0004036	ESY3_g29717_DN3_SP0_c0.t1	Aa_G62980.h1.t1
OG0004037	ESY16_g61472_DN3_SP0_c0.t1	Aa_G49450.h1.t1
OG0004038	ESY16_g61508_DN3_SP0_c0.t1	Aa_G406670.h1.t1
OG0004039	ESY3_g32620_DN3_SP3_c0.t1	Aa_G326960.h1.t1
OG0004040	ESY9_g43413_DN3_SP5_c0.t1, ESY6_g50276_DN3_SP0_c0.t1	Aa_G43750.h1.t1
OG0004041	ESY1_g12504_DN3_SP8_c0.t1	Aa_G236600.h1.t1
OG0004042	ESY1_g12372_DN3_SP2_c0.t1	Aa_G332650.h1.t1, Aa_G2180.h1.t1
OG0004043	ESY8_g59259_DN3_SP1_c0.t1	Aa_G144130.h1.t1, Aa_G496000.h1.t1
OG0004044	ESY1_g12293_DN3_SP8_c0.t1	Aa_G129220.h1.t1, Aa_G81030.h1.t1
OG0004045	ESY1_g12283_DN3_SP0_c0.t1	Aa_G81090.h1.t1
OG0004046	ESY7_g16516_DN3_SP0_c0.t1	Aa_G41950.h1.t1
OG0004047	ESY1_g11689_DN3_SP2_c0.t1	Aa_G461180.h1.t1
OG0004048	ESY10_g14644_DN3_SP0_c0.t1	Aa_G251440.h1.t1
OG0004050	ESY12_g51016_DN3_SP0_c0.t1	Aa_G728380.h1.t1
OG0004050	ESY1_g11832_DN3_SP0_c0.t1	Aa_G608280.h1.t1
OG0004051	ESY1_g10984_DN2_SP0_c0.t1	Aa_G277100.h1.t1
OG0004052	ESY1_g11089_DN3_SP8_c0.t1	Aa_G402320.h1.t1
OG0004053	ESY1_g11100_DN3_SP8_c0.t1	Aa_G69250.h1.t1, Aa_G402240.h1.t1
OG0004054	ESY11_g54533_DN3_SP0_c21.t1, ESY3_g27598_DN3_SP0_c0.t1	Aa_G178800.h1.t1, Aa_G78500.h1.t1
OG0004055	ESY2_g36349_DN3_SP5_c0.t1	Aa_G278660.h1.t1
OG0004055	ESY2_g33792_DN3_SP0_c0.t1	Aa_G585520.h1.t1
OG0004056	ESY2_g35754_DN3_SP0_c0.t1	Aa_G721790.h3.t1, Aa_G721790.h1.t1, Aa_G721790.h2.t1, Aa_G861930.h1.t1
OG0004058	ESY12_g50908_DN1_SP0_c0.t1	Aa_G518430.h1.t1
OG0004060	ESY8_g59431_DN3_SP0_c0.t1	Aa_G309990.h1.t1
OG0004061	ESY13_g57135_DN3_SP3_c0.t1	Aa_G243400.h1.t1, Aa_G92190.h1.t1
OG0004062	ESY2_g37765_DN3_SP0_c0.t1, ESY2_g37758_DN3_SP0_c0.t1	Aa_G133500.h1.t1
OG0004063	ESY14_g20156_DN3_SP1_c0.t1	Aa_G57210.h1.t1
OG0004064	ESY19_g41185_DN3_SP0_c0.t1	Aa_G660750.h1.t1, Aa_G294790.h1.t1
OG0004065	ESY18_g63901_DN3_SP8_c0.t1	Aa_G275320.h1.t1
OG0004066	ESY3_g31603_DN3_SP0_c0.t1	Aa_G205900.h1.t1
OG0004066	ESY2_g35357_DN3_SP0_c0.t1	Aa_G60530.h1.t1
OG0004068	ESY3_g31829_DN3_SP0_c0.t1	Aa_G4820.h1.t1
OG0004069	ESY12_g52216_DN3_SP0_c0.t1	Aa_G226160.h1.t1
OG0004070	ESY12_g51689_DN3_SP0_c0.t1	Aa_G196940.h1.t1
OG0004071	ESY9_g43696_DN3_SP8_c0.t1, ESY33_g12624_DN3_SP0_c0.t1	Aa_G405230.h1.t1
OG0004072	ESY12_g52061_DN3_SP0_c0.t1	Aa_G265140.h1.t1
OG0004073	ESY12_g52190_DN3_SP8_c0.t1	Aa_G284470.h1.t1
OG0004074	ESY5_g4372_DN3_SP0_c0.t1	Aa_G274960.h1.t1
OG0004074	ESY12_g51261_DN2_SP0_c0.t1, ESY12_g51306_DN3_SP0_c0.t1	Aa_G210140.h1.t1
OG0004076	ESY3_g32377_DN3_SP4_c0.t1, ESY2_g37731_DN1_SP0_c0.t1	Aa_G111730.h1.t1
OG0004078	ESY3_g32153_DN3_SP8_c0.t1	Aa_G185650.h1.t1
OG0004079	ESY10_g15835_DN3_SP5_c0.t1	Aa_G90320.h1.t1
OG0004080	ESY3_g31953_DN3_SP4_c0.t1, ESY3_g29758_DN3_SP0_c0.t1	Aa_G4400.h1.t1
OG0004080	ESY3_g31954_DN2_SP5_c0.t1	Aa_G4390.h1.t1
OG0004081	ESY3_g31892_DN3_SP1_c0.t1	Aa_G4670.h1.t1
OG0004082	ESY3_g31827_DN3_SP1_c0.t1	Aa_G4760.h1.t1
OG0004083	ESY3_g31793_DN3_SP0_c0.t1	Aa_G5030.h1.t1
OG0004084	ESY3_g31619_DN3_SP0_c0.t1	Aa_G205790.h1.t1
OG0004085	ESY3_g31593_DN3_SP6_c0.t1	Aa_G163160.h1.t1
OG0004086	ESY3_g31399_DN3_SP0_c0.t1	Aa_G174770.h1.t1
OG0004087	ESY3_g30127_DN3_SP0_c0.t1, ESY3_g30128_DN3_SP0_c0.t1, ESY3_g30126_DN3_SP0_c0.t1	Aa_G39960.h1.t1
OG0004088	ESY2_g36295_DN3_SP0_c0.t1	Aa_G176120.h1.t1
OG0004089	ESY3_g30367_DN3_SP0_c0.t1	Aa_G519430.h1.t1, Aa_G76590.h1.t1
OG0004090	ESY3_g30553_DN3_SP0_c0.t1	Aa_G443910.h1.t1
OG0004091	ESY3_g30653_DN3_SP0_c0.t1	Aa_G242030.h1.t1
OG0004092	ESY3_g29841_DN3_SP0_c0.t1	Aa_G71180.h1.t1
OG0004093	ESY3_g29731_DN3_SP1_c0.t1	Aa_G501320.h1.t1
OG0004094	ESY3_g29373_DN3_SP8_c0.t1	Aa_G164610.h1.t1
OG0004095	ESY16_g62116_DN3_SP3_c0.t1	Aa_G311470.h1.t1
OG0004097	ESY8_g60794_DN3_SP0_c0.t1	Aa_G516740.h1.t1, Aa_G169360.h1.t1
OG0004098	ESY8_g60045_DN3_SP0_c0.t1	Aa_G293400.h1.t1
OG0004099	ESY3_g28444_DN3_SP0_c0.t1	Aa_G71980.h1.t1
OG0004100	ESY3_g28883_DN3_SP8_c0.t1	Aa_G413620.h1.t1
OG0004101	ESY3_g28877_DN3_SP0_c30.t1, ESY3_g32120_DN3_SP0_c26.t1, ESY18_g63063_DN3_SP0_c90.t1, ESY18_g63065_DN3_SP0_c90.t1, ESY18_g63064_DN3_SP0_c90.t1	Aa_G413630.h1.t1
OG0004103	ESY4_g24476_DN3_SP2_c0.t1	Aa_G506650.h1.t1
OG0004104	ESY10_g15887_DN3_SP0_c0.t1, ESY3_g32600_DN3_SP0_c0.t1	Aa_G500500.h1.t1
OG0004105	ESY10_g15836_DN3_SP0_c0.t1	Aa_G90330.h1.t1
OG0004106	ESY20_g12927_DN3_SP0_c0.t1	Aa_G242240.h1.t1
OG0004106	ESY5_g5500_DN3_SP0_c0.t1	Aa_G105730.h1.t1
OG0004107	ESY5_g5478_DN3_SP1_c0.t1	Aa_G105920.h1.t1
OG0004108	ESY5_g5074_DN3_SP0_c0.t1	Aa_G400370.h1.t1
OG0004108	ESY8_g58136_DN3_SP0_c0.t1	Aa_G303920.h1.t1
OG0004109	ESY5_g4690_DN3_SP0_c0.t1	Aa_G281520.h1.t1, Aa_G429020.h1.t1, Aa_G789160.h1.t1, Aa_G34850.h2.t1, Aa_G34850.h1.t1, Aa_G423230.h1.t1, Aa_G22940.h1.t1
OG0004111	ESY2_g34240_DN3_SP1_c3.t1, ESY13_g56982_DN2_SP0_c0.t1	Aa_G19290.h1.t1
OG0004112	ESY7_g16439_DN3_SP1_c0.t1	Aa_G137370.h1.t1
OG0004112	ESY4_g25689_DN3_SP0_c0.t1	Aa_G63560.h1.t1
OG0004113	ESY5_g3592_DN3_SP8_c0.t1	Aa_G457680.h1.t1
OG0004114	ESY2_g33579_DN3_SP0_c0.t1	Aa_G487440.h1.t1, Aa_G10830.h1.t1
OG0004115	ESY5_g2845_DN3_SP0_c0.t1	Aa_G676330.h1.t1, Aa_G606460.h1.t1
OG0004116	ESY5_g4264_DN3_SP0_c0.t1	Aa_G139710.h1.t1, Aa_G535570.h1.t1, Aa_G535590.h1.t1, Aa_G535600.h1.t1
OG0004117	ESY5_g4245_DN3_SP8_c0.t1	Aa_G559160.h1.t1, Aa_G610660.h1.t1
OG0004119	ESY15_g65087_DN3_SP1_c0.t1	Aa_G898440.h1.t1, Aa_G693630.h1.t1, Aa_G1051480.h1.t1
OG0004120	ESY2_g35674_DN2_SP0_c0.t1, ESY2_g35675_DN3_SP0_c0.t1	Aa_G319520.h1.t1
OG0004121	ESY2_g35534_DN3_SP0_c0.t1	Aa_G189600.h1.t1
OG0004122	ESY2_g33561_DN3_SP8_c0.t1	Aa_G433390.h1.t1
OG0004123	ESY8_g59628_DN3_SP0_c0.t1	Aa_G251370.h1.t1
OG0004124	ESY2_g33309_DN3_SP0_c13.t1	Aa_G135650.h1.t1
OG0004125	ESY7_g16522_DN3_SP0_c0.t1	Aa_G42010.h1.t1
OG0004128	ESY7_g16438_DN3_SP7_c0.t1	Aa_G137360.h1.t1
OG0004129	ESY2_g38082_DN3_SP0_c0.t1	Aa_G57620.h1.t1
OG0004130	ESY4_g26526_DN3_SP8_c0.t1	Aa_G153310.h1.t1
OG0004131	ESY4_g26191_DN3_SP0_c0.t1	Aa_G179390.h1.t1
OG0004132	ESY9_g43247_DN2_SP0_c0.t1, ESY4_g26110_DN3_SP0_c8.t1	Aa_G514720.h1.t1
OG0004133	ESY4_g25804_DN3_SP5_c0.t1	Aa_G214590.h1.t1
OG0004134	ESY2_g35268_DN2_SP0_c0.t1, ESY3_g28192_DN3_SP0_c0.t1	Aa_G179080.h1.t1, Aa_G179110.h1.t1
OG0004135	ESY3_g28128_DN3_SP8_c0.t1	Aa_G358550.h1.t1
OG0004136	ESY20_g12964_DN3_SP7_c0.t1	Aa_G237390.h1.t1
OG0004137	ESY6_g47057_DN3_SP7_c0.t1	Aa_G116570.h1.t1
OG0004141	ESY2_g34272_DN3_SP0_c0.t1, ESY2_g34275_DN3_SP0_c0.t1	Aa_G256320.h1.t1, Aa_G256320.h2.t1
OG0004144	ESY7_g18039_DN1_SP0_c0.t1, ESY7_g16433_DN2_SP0_c0.t1, ESY7_g18170_DN2_SP0_c0.t1	Aa_G204490.h1.t1
OG0004145	ESY6_g47787_DN1_SP0_c66.t1	Aa_G71360.h1.t1
OG0004146	ESY8_g58857_DN3_SP0_c0.t1	Aa_G485650.h1.t1
OG0004147	ESY8_g58355_DN2_SP0_c0.t1	Aa_G98200.h1.t1
OG0004148	ESY10_g14645_DN3_SP0_c0.t1	Aa_G251430.h1.t1
OG0004149	ESY21_g55698_DN3_SP3_c0.t1	Aa_G34190.h1.t1
OG0004152	ESY21_g55164_DN3_SP0_c0.t1	Aa_G97440.h1.t1
OG0004153	ESY16_g62254_DN3_SP0_c0.t1	Aa_G107310.h1.t1
OG0004156	ESY3_g31590_DN3_SP0_c0.t1	Aa_G163130.h1.t1
OG0004157	ESY1_g5634_DN3_SP2_c0.t1	Aa_G496490.h1.t1
OG0004158	ESY1_g9092_DN3_SP0_c0.t1	Aa_G442300.h1.t1, Aa_G73730.h1.t1
OG0004158	ESY1_g9093_DN2_SP0_c0.t1	Aa_G300920.h1.t1, Aa_G637500.h1.t1, Aa_G727900.h1.t1, Aa_G949370.h1.t1
OG0004165	ESY4_g24642_DN3_SP5_c0.t1	Aa_G489440.h1.t1
OG0004166	ESY4_g24647_DN3_SP1_c0.t1	Aa_G603250.h1.t1
OG0004167	ESY4_g24663_DN3_SP0_c0.t1	Aa_G607110.h1.t1
OG0004168	ESY6_g49725_DN3_SP5_c0.t1	Aa_G325770.h1.t1
OG0004169	ESY7_g17182_DN3_SP0_c0.t1	Aa_G264810.h1.t1
OG0004170	ESY7_g17245_DN3_SP6_c0.t1	Aa_G162300.h1.t1
OG0004171	ESY7_g17263_DN3_SP0_c0.t1	Aa_G79160.h1.t1, Aa_G447940.h1.t1
OG0004172	ESY6_g49657_DN3_SP0_c0.t1, ESY6_g50730_DN3_SP0_c0.t1, ESY6_g49656_DN3_SP0_c7.t1	Aa_G376320.h1.t1, Aa_G238330.h1.t1
OG0004173	ESY7_g17374_DN3_SP0_c0.t1	Aa_G379120.h1.t1
OG0004174	ESY7_g17484_DN2_SP8_c0.t1	Aa_G240270.h1.t1
OG0004175	ESY7_g17504_DN3_SP6_c0.t1	Aa_G304380.h1.t1
OG0004177	ESY5_g2019_DN3_SP0_c0.t1	Aa_G62250.h1.t1
OG0004178	ESY7_g17669_DN3_SP0_c0.t1	Aa_G354710.h1.t1
OG0004180	ESY7_g18131_DN3_SP0_c0.t1	Aa_G704500.h1.t1
OG0004181	ESY2_g34558_DN3_SP0_c0.t1	Aa_G247580.h1.t1
OG0004182	ESY6_g49999_DN3_SP7_c0.t1	Aa_G398150.h1.t1
OG0004183	ESY7_g17828_DN3_SP0_c0.t1	Aa_G130550.h1.t1
OG0004185	ESY7_g18680_DN3_SP7_c0.t1	Aa_G210620.h1.t1
OG0004186	ESY4_g25025_DN3_SP0_c0.t1, ESY4_g26048_DN3_SP0_c0.t1, ESY4_g26046_DN3_SP0_c0.t1	Aa_G130100.h1.t1
OG0004187	ESY8_g59146_DN3_SP0_c9.t1, ESY8_g59147_DN3_SP0_c8.t1, ESY8_g59145_DN3_SP0_c9.t1	Aa_G535750.h1.t1, Aa_G703860.h1.t1
