Orthogroup	Euclidium_syriacum	Rorippa_islandica
OG0000582	ESY11_g53698_DN2_SP0_c56.t1	Roisl.0051s0051.1.p, Roisl.0210s1906.1.p, Roisl.0027s0016.1.p, Roisl.0027s0019.1.p, Roisl.0027s0018.1.p
OG0000583	ESY2_g36878_DN3_SP8_c0.t1	Roisl.0006s0423.1.p
OG0000583	ESY2_g36118_DN3_SP8_c0.t1	Roisl.0004s0039.1.p
OG0000583	ESY3_g30456_DN3_SP8_c0.t1	Roisl.0074s0487.1.p
OG0000584	ESY4_g21954_DN3_SP8_c82.t1, ESY4_g21945_DN3_SP1_c82.t1	Roisl.0209s0687.1.p, Roisl.0185s0030.1.p, Roisl.0189s0023.1.p
OG0000585	ESY6_g48329_DN3_SP0_c0.t1, ESY6_g48395_DN3_SP0_c0.t1	Roisl.0046s1658.1.p, Roisl.0046s1656.1.p, Roisl.0046s1657.1.p
OG0000587	ESY1_g10705_DN1_SP0_c0.t1	Roisl.0007s0054.1.p
OG0000589	ESY6_g48001_DN3_SP8_c0.t1	Roisl.0080s0813.1.p
OG0000589	ESY10_g14434_DN3_SP0_c17.t1	Roisl.0080s0821.1.p
OG0000589	ESY6_g49265_DN3_SP8_c10.t1	Roisl.0210s1725.1.p, Roisl.0210s1724.1.p
OG0000590	ESY9_g42837_DN2_SP0_c0.t1, ESY9_g42840_DN3_SP0_c0.t1	Roisl.0213s0856.1.p, Roisl.0213s0855.1.p, Roisl.0015s0159.1.p
OG0000591	ESY6_g48038_DN3_SP0_c28.t1	Roisl.0024s0074.1.p, Roisl.0024s0083.1.p, Roisl.0024s0081.1.p, Roisl.0024s0075.1.p, Roisl.0022s0332.1.p, Roisl.0080s0788.1.p
OG0000592	ESY2_g36119_DN3_SP8_c0.t1	Roisl.0004s0038.1.p
OG0000592	ESY5_g4386_DN3_SP0_c0.t1	Roisl.0007s0432.1.p
OG0000592	ESY16_g62166_DN3_SP0_c0.t1	Roisl.0022s0416.1.p
OG0000593	ESY2_g35063_DN3_SP8_c0.t1	Roisl.0004s0101.1.p
OG0000593	ESY3_g29628_DN3_SP7_c0.t1, ESY14_g21111_DN3_SP1_c0.t1	Roisl.0074s0059.1.p
OG0000594	ESY3_g32296_DN2_SP0_c0.t1	Roisl.0044s0091.1.p
OG0000594	ESY20_g12906_DN2_SP0_c0.t1, ESY5_g4059_DN3_SP0_c0.t1	Roisl.0082s0559.1.p
OG0000594	ESY3_g32295_DN3_SP0_c0.t1	Roisl.0070s0006.1.p
OG0000595	ESY2_g34926_DN2_SP0_c0.t1, ESY2_g34925_DN2_SP0_c0.t1	Roisl.0214s0554.1.p, Roisl.0214s0541.1.p, Roisl.0214s0553.1.p, Roisl.0214s0556.1.p
OG0000595	ESY2_g34927_DN3_SP0_c0.t1	Roisl.0004s0494.1.p
OG0000596	ESY11_g54919_DN3_SP0_c0.t1	Roisl.0021s0621.1.p
OG0000596	ESY10_g14021_DN3_SP0_c0.t1	Roisl.0011s0347.1.p
OG0000597	ESY4_g25078_DN3_SP0_c0.t1, ESY4_g25188_DN1_SP0_c0.t1	Roisl.0075s0161.1.p, Roisl.0075s0162.1.p
OG0000597	ESY6_g48287_DN2_SP0_c0.t1, ESY2_g35620_DN3_SP0_c0.t1	Roisl.0075s0160.1.p
OG0000598	ESY5_g5193_DN3_SP0_c18.t1, ESY5_g5040_DN3_SP0_c0.t1, ESY5_g5195_DN2_SP0_c6.t1	Roisl.0001s0122.1.p
OG0000598	ESY1_g9404_DN1_SP0_c0.t1	Roisl.0001s0327.1.p
OG0000599	ESY8_g59823_DN3_SP8_c0.t1	Roisl.0082s0122.1.p, Roisl.0115s0676.1.p
OG0000600	ESY5_g5310_DN3_SP1_c0.t1	Roisl.0210s0211.1.p
OG0000600	ESY10_g15471_DN3_SP3_c0.t1	Roisl.0046s0377.1.p
OG0000601	ESY1_g11652_DN3_SP0_c0.t1	Roisl.0026s0144.1.p
OG0000602	ESY3_g31490_DN1_SP0_c0.t1	Roisl.0079s0058.1.p
OG0000602	ESY4_g25175_DN3_SP0_c0.t1	Roisl.0003s0288.1.p
OG0000603	ESY7_g19170_DN2_SP0_c0.t1	Roisl.0079s0112.1.p
OG0000603	ESY3_g31588_DN3_SP0_c0.t1	Roisl.0022s0074.1.p
OG0000604	ESY8_g60072_DN3_SP7_c0.t1	Roisl.0009s0079.1.p
OG0000604	ESY6_g46872_DN3_SP5_c0.t1	Roisl.0074s0188.1.p
OG0000604	ESY13_g56418_DN3_SP8_c0.t1	Roisl.0022s0225.1.p
OG0000605	ESY20_g13139_DN3_SP0_c16.t1, ESY20_g13138_DN3_SP0_c17.t1	Roisl.0191s0532.1.p
OG0000605	ESY20_g13142_DN3_SP0_c7.t1, ESY20_g13143_DN3_SP0_c18.t1, ESY20_g13140_DN3_SP0_c28.t1	Roisl.0191s0617.1.p, Roisl.0191s0616.1.p
OG0000606	ESY4_g26176_DN3_SP0_c10.t1	Roisl.0001s0240.1.p
OG0000609	ESY11_g53953_DN3_SP0_c0.t1	Roisl.0066s0238.1.p
OG0000609	ESY11_g53949_DN2_SP0_c0.t1	Roisl.0066s0236.1.p
OG0000613	ESY1_g11144_DN3_SP7_c0.t1	Roisl.0046s1299.1.p
OG0000613	ESY3_g30999_DN3_SP8_c0.t1	Roisl.0079s0344.1.p
OG0000613	ESY7_g19341_DN3_SP3_c0.t1	Roisl.0030s0055.1.p
OG0000616	ESY5_g4072_DN2_SP0_c0.t1	Roisl.0003s0126.1.p
OG0000618	ESY3_g31321_DN3_SP8_c35.t1	Roisl.0046s0638.1.p, Roisl.0034s0030.1.p, Roisl.0064s0001.1.p, Roisl.0046s0639.1.p, Roisl.0074s0830.1.p
OG0000619	ESY2_g36420_DN3_SP0_c20.t1, ESY2_g36419_DN3_SP0_c18.t1	Roisl.0007s0793.1.p, Roisl.0007s0790.1.p
OG0000619	ESY7_g18773_DN3_SP0_c24.t1, ESY7_g18774_DN3_SP0_c21.t1	Roisl.0007s0789.1.p
OG0000620	ESY2_g37682_DN3_SP0_c0.t1	Roisl.0058s0005.1.p
OG0000620	ESY1_g6057_DN3_SP0_c0.t1, ESY14_g20528_DN3_SP0_c0.t1, ESY9_g42685_DN2_SP0_c0.t1	Roisl.0012s0322.1.p
OG0000620	ESY1_g6058_DN3_SP0_c0.t1	Roisl.0012s0320.1.p
OG0000621	ESY1_g11829_DN3_SP0_c32.t1	Roisl.0026s0122.1.p, Roisl.0026s0123.1.p, Roisl.0026s0125.1.p, Roisl.0026s0120.1.p
OG0000623	ESY11_g54187_DN3_SP8_c0.t1	Roisl.0066s0116.1.p
OG0000623	ESY1_g10123_DN3_SP3_c0.t1	Roisl.0046s1070.1.p
OG0000623	ESY4_g26148_DN3_SP7_c0.t1	Roisl.0001s0238.1.p
OG0000624	ESY12_g52177_DN1_SP0_c0.t1	Roisl.0028s0219.1.p, Roisl.0028s0221.1.p
OG0000624	ESY12_g52175_DN1_SP0_c0.t1	Roisl.0028s0220.1.p
OG0000625	ESY3_g30194_DN3_SP0_c0.t1	Roisl.0074s0657.1.p
OG0000625	ESY2_g36327_DN3_SP0_c0.t1, ESY2_g36340_DN3_SP0_c0.t1	Roisl.0179s0118.1.p
OG0000626	ESY5_g2586_DN3_SP0_c9.t1	Roisl.0021s0404.1.p, Roisl.0057s0042.1.p
OG0000626	ESY5_g2582_DN3_SP0_c29.t1	Roisl.0021s0403.1.p
OG0000626	ESY4_g24906_DN3_SP1_c0.t1	Roisl.0003s0165.1.p
OG0000627	ESY2_g33977_DN3_SP0_c0.t1	Roisl.0214s0588.1.p, Roisl.0214s0591.1.p, Roisl.0214s0592.1.p, Roisl.0214s0593.1.p
OG0000628	ESY4_g25790_DN3_SP0_c0.t1, ESY4_g25789_DN3_SP0_c0.t1, ESY4_g25791_DN3_SP0_c0.t1	Roisl.0008s0329.1.p
OG0000628	ESY4_g25788_DN3_SP0_c0.t1	Roisl.0008s0330.1.p
OG0000629	ESY5_g4832_DN3_SP0_c0.t1, ESY3_g29739_DN3_SP0_c0.t1, ESY7_g16121_DN3_SP0_c0.t1, ESY2_g33332_DN3_SP0_c0.t1, ESY2_g34510_DN3_SP0_c0.t1, ESY10_g13942_DN3_SP0_c0.t1, ESY3_g28973_DN3_SP0_c0.t1, ESY10_g13688_DN3_SP0_c0.t1	Roisl.0188s0145.1.p, Roisl.0056s0056.1.p, Roisl.0056s0036.1.p
OG0000633	ESY11_g54799_DN3_SP0_c0.t1, ESY11_g54800_DN3_SP0_c0.t1	Roisl.0066s0450.1.p
OG0000634	ESY16_g61729_DN1_SP0_c0.t1, ESY16_g61731_DN3_SP0_c0.t1	Roisl.0066s0402.1.p
OG0000635	ESY6_g48957_DN3_SP8_c0.t1	Roisl.0080s0192.1.p
OG0000636	ESY6_g48833_DN2_SP3_c0.t1	Roisl.0080s0288.1.p
OG0000636	ESY5_g3514_DN2_SP0_c0.t1	Roisl.0075s0076.1.p, Roisl.0021s0126.1.p
OG0000637	ESY1_g8009_DN3_SP8_c0.t1	Roisl.0209s0306.1.p
OG0000637	ESY6_g48831_DN3_SP8_c0.t1	Roisl.0080s0289.1.p
OG0000637	ESY1_g11085_DN3_SP8_c0.t1	Roisl.0046s1339.1.p
OG0000638	ESY6_g48829_DN3_SP0_c0.t1	Roisl.0080s0291.1.p
OG0000638	ESY1_g8010_DN3_SP0_c0.t1	Roisl.0209s0307.1.p, Roisl.0209s0308.1.p
OG0000639	ESY1_g12331_DN3_SP8_c0.t1	Roisl.0018s0283.1.p
OG0000639	ESY12_g51727_DN3_SP8_c0.t1	Roisl.0035s0123.1.p
OG0000641	ESY6_g48275_DN3_SP5_c0.t1	Roisl.0080s0656.1.p
OG0000641	ESY11_g54682_DN3_SP0_c0.t1	Roisl.0214s0379.1.p
OG0000642	ESY12_g51697_DN2_SP0_c0.t1	Roisl.0035s0100.1.p
OG0000642	ESY12_g51701_DN3_SP0_c2.t1	Roisl.0035s0098.1.p, Roisl.0035s0105.1.p
OG0000643	ESY7_g19417_DN3_SP8_c0.t1	Roisl.0030s0014.1.p, Roisl.0079s0323.1.p
OG0000644	ESY7_g18839_DN3_SP0_c0.t1, ESY12_g52049_DN2_SP0_c0.t1, ESY12_g52044_DN2_SP0_c0.t1, ESY12_g52045_DN2_SP0_c0.t1, ESY12_g52047_DN2_SP0_c0.t1	Roisl.0075s0147.1.p, Roisl.0009s0163.1.p, Roisl.0053s0117.1.p, Roisl.0053s0118.1.p
OG0000645	ESY2_g34562_DN2_SP0_c0.t1	Roisl.0091s1055.1.p, Roisl.0091s1053.1.p, Roisl.0179s0017.1.p, Roisl.0198s0024.1.p
OG0000646	ESY1_g11112_DN3_SP1_c0.t1, ESY1_g11113_DN3_SP8_c0.t1	Roisl.0046s1319.1.p
OG0000646	ESY9_g44746_DN3_SP8_c0.t1, ESY9_g44747_DN3_SP0_c0.t1	Roisl.0017s0056.1.p
OG0000647	ESY3_g30709_DN2_SP0_c14.t1, ESY9_g42748_DN2_SP0_c0.t1, ESY9_g42750_DN2_SP0_c7.t1	Roisl.0091s0870.1.p
OG0000647	ESY3_g30742_DN3_SP0_c0.t1, ESY5_g3399_DN3_SP0_c0.t1	Roisl.0019s0720.1.p
OG0000648	ESY8_g58391_DN3_SP0_c0.t1, ESY3_g30856_DN3_SP0_c0.t1, ESY3_g30854_DN3_SP0_c0.t1, ESY3_g30853_DN3_SP0_c0.t1	Roisl.0079s0272.1.p
OG0000648	ESY3_g30868_DN3_SP0_c0.t1	Roisl.0066s0274.1.p
OG0000649	ESY5_g4244_DN3_SP8_c0.t1	Roisl.0007s0328.1.p
OG0000649	ESY2_g37963_DN3_SP8_c0.t1	Roisl.0013s0086.1.p
OG0000650	ESY3_g29541_DN1_SP0_c0.t1	Roisl.0074s0031.1.p
OG0000650	ESY4_g25681_DN3_SP0_c0.t1	Roisl.0008s0350.1.p
OG0000652	ESY3_g32382_DN3_SP0_c0.t1	Roisl.0016s0243.1.p
OG0000652	ESY7_g17229_DN3_SP3_c0.t1, ESY7_g17230_DN3_SP3_c0.t1	Roisl.0210s1401.1.p
OG0000655	ESY1_g5762_DN3_SP8_c0.t1	Roisl.0074s0504.1.p, Roisl.0028s0853.1.p, Roisl.0213s0262.1.p
OG0000656	ESY10_g14284_DN3_SP0_c8.t1	Roisl.0011s0210.1.p
OG0000656	ESY5_g2741_DN3_SP0_c0.t1	Roisl.0007s0752.1.p, Roisl.0007s0753.1.p
OG0000657	ESY5_g5191_DN2_SP0_c0.t1	Roisl.0046s0020.1.p
OG0000660	ESY10_g14440_DN3_SP0_c0.t1	Roisl.0075s0217.1.p
OG0000661	ESY2_g38311_DN2_SP0_c0.t1	Roisl.0067s0061.1.p, Roisl.0210s0207.1.p, Roisl.0082s0449.1.p
OG0000662	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1	Roisl.0191s0326.1.p, Roisl.0191s0325.1.p
OG0000663	ESY5_g4190_DN3_SP5_c0.t1	Roisl.0007s0281.1.p
OG0000663	ESY2_g34919_DN3_SP7_c0.t1, ESY2_g34921_DN3_SP1_c0.t1	Roisl.0004s0499.1.p, Roisl.0004s0497.1.p
OG0000664	ESY2_g33463_DN3_SP0_c0.t1	Roisl.0010s0182.1.p
OG0000664	ESY2_g33452_DN2_SP0_c0.t1, ESY2_g33451_DN3_SP0_c0.t1, ESY2_g33454_DN3_SP0_c12.t1	Roisl.0010s0184.1.p
OG0000665	ESY2_g36484_DN3_SP1_c0.t1	Roisl.0007s0608.1.p
OG0000666	ESY4_g25624_DN3_SP0_c44.t1, ESY4_g25625_DN3_SP0_c44.t1	Roisl.0008s0164.1.p
OG0000666	ESY23_g153_DN3_SP1_c27.t1	Roisl.0008s0165.1.p, Roisl.0008s0166.1.p
OG0000668	ESY1_g11747_DN3_SP0_c0.t1, ESY77_g64220_DN2_SP0_c0.t1	Roisl.0026s0131.1.p
OG0000668	ESY1_g11632_DN2_SP0_c15.t1, ESY6_g50489_DN2_SP0_c16.t1	Roisl.0115s0346.1.p
OG0000668	ESY11_g52864_DN2_SP0_c0.t1	Roisl.0022s0015.1.p, Roisl.0022s0016.1.p
OG0000669	ESY14_g20144_DN3_SP0_c0.t1	Roisl.0193s0016.1.p, Roisl.0053s0028.1.p
OG0000669	ESY10_g14022_DN3_SP8_c0.t1	Roisl.0191s0112.1.p
OG0000671	ESY20_g12883_DN3_SP0_c0.t1, ESY20_g12881_DN3_SP0_c0.t1	Roisl.0209s0219.1.p, Roisl.0209s0220.1.p
OG0000672	ESY9_g43052_DN2_SP0_c0.t1	Roisl.0024s0271.1.p, Roisl.0019s0154.1.p, Roisl.0016s0234.1.p, Roisl.0037s0040.1.p, Roisl.0213s0597.1.p, Roisl.0213s0560.1.p, Roisl.0213s0598.1.p
OG0000673	ESY5_g4850_DN3_SP0_c0.t1	Roisl.0091s0775.1.p
OG0000673	ESY5_g4849_DN3_SP0_c0.t1	Roisl.0091s0776.1.p
OG0000674	ESY3_g31331_DN3_SP0_c0.t1	Roisl.0074s0805.1.p
OG0000678	ESY7_g17788_DN3_SP7_c0.t1	Roisl.0210s0619.1.p
OG0000679	ESY2_g36631_DN3_SP3_c0.t1	Roisl.0074s0713.1.p, Roisl.0115s0129.1.p
OG0000680	ESY1_g5830_DN3_SP8_c0.t1, ESY11_g54591_DN3_SP8_c0.t1	Roisl.0028s0828.1.p
OG0000680	ESY4_g25441_DN3_SP0_c0.t1	Roisl.0001s0135.1.p
OG0000680	ESY2_g36143_DN3_SP2_c0.t1	Roisl.0115s0261.1.p
OG0000680	ESY4_g23196_DN3_SP6_c0.t1	Roisl.0213s0180.1.p
OG0000681	ESY2_g36506_DN3_SP8_c0.t1	Roisl.0115s0036.1.p
OG0000681	ESY2_g37074_DN3_SP8_c0.t1	Roisl.0006s0274.1.p
OG0000682	ESY12_g51307_DN3_SP0_c0.t1, ESY12_g51260_DN3_SP0_c0.t1	Roisl.0028s0384.1.p, Roisl.0028s0425.1.p, Roisl.0028s0424.1.p, Roisl.0213s0726.1.p
OG0000683	ESY2_g34566_DN3_SP8_c17.t1	Roisl.0188s0055.1.p
OG0000683	ESY3_g32566_DN3_SP0_c0.t1, ESY3_g32567_DN3_SP8_c0.t1	Roisl.0016s0114.1.p
OG0000684	ESY12_g51571_DN3_SP0_c0.t1	Roisl.0028s0336.1.p
OG0000684	ESY1_g11386_DN3_SP8_c0.t1	Roisl.0026s0010.1.p
OG0000685	ESY3_g32484_DN3_SP3_c0.t1	Roisl.0016s0178.1.p
OG0000685	ESY8_g60972_DN3_SP7_c0.t1	Roisl.0213s0816.1.p
OG0000685	ESY6_g47509_DN3_SP4_c0.t1	Roisl.0184s0105.1.p
OG0000686	ESY5_g1692_DN3_SP0_c0.t1	Roisl.0191s0298.1.p, Roisl.0191s0297.1.p
OG0000686	ESY12_g51386_DN3_SP0_c0.t1	Roisl.0191s0299.1.p
OG0000686	ESY5_g1656_DN3_SP0_c0.t1	Roisl.0191s0302.1.p
OG0000687	ESY7_g16513_DN3_SP0_c0.t1	Roisl.0179s0090.1.p, Roisl.0179s0094.1.p, Roisl.0179s0093.1.p, Roisl.0179s0098.1.p, Roisl.0082s0297.1.p
OG0000690	ESY4_g25949_DN3_SP7_c0.t1, ESY4_g25953_DN3_SP4_c0.t1	Roisl.0008s0269.1.p
OG0000690	ESY10_g14322_DN3_SP0_c0.t1	Roisl.0210s1668.1.p
OG0000691	ESY7_g17394_DN3_SP0_c0.t1	Roisl.0210s1281.1.p
OG0000691	ESY7_g17392_DN2_SP0_c0.t1	Roisl.0210s1283.1.p
OG0000691	ESY3_g32494_DN3_SP0_c0.t1	Roisl.0016s0165.1.p
OG0000692	ESY7_g19012_DN3_SP0_c32.t1	Roisl.0055s0052.1.p
OG0000693	ESY17_g40319_DN3_SP8_c0.t1, ESY8_g58443_DN3_SP2_c0.t1	Roisl.0210s0038.1.p, Roisl.0017s0498.1.p, Roisl.0017s0503.1.p, Roisl.0015s0182.1.p
OG0000694	ESY20_g12686_DN3_SP1_c0.t1	Roisl.0028s0638.1.p
OG0000695	ESY16_g61485_DN3_SP8_c0.t1	Roisl.0002s0009.1.p
OG0000695	ESY12_g51948_DN3_SP7_c0.t1	Roisl.0028s0067.1.p
OG0000696	ESY6_g50069_DN3_SP7_c0.t1	Roisl.0046s0112.1.p, Roisl.0046s0862.1.p
OG0000696	ESY2_g33249_DN3_SP7_c0.t1	Roisl.0050s0013.1.p
OG0000697	ESY6_g48840_DN3_SP0_c0.t1, ESY6_g48868_DN3_SP0_c0.t1, ESY6_g48869_DN2_SP0_c0.t1	Roisl.0080s0261.1.p, Roisl.0080s0262.1.p
OG0000698	ESY11_g54679_DN3_SP3_c0.t1	Roisl.0080s0650.1.p
OG0000699	ESY8_g59742_DN2_SP0_c0.t1, ESY8_g59744_DN2_SP0_c0.t1	Roisl.0046s0635.1.p, Roisl.0046s0632.1.p, Roisl.0046s0634.1.p
OG0000700	ESY2_g37331_DN3_SP0_c0.t1	Roisl.0006s0172.1.p, Roisl.0006s0127.1.p
OG0000701	ESY3_g31427_DN1_SP0_c0.t1	Roisl.0025s0026.1.p, Roisl.0009s0219.1.p
OG0000702	ESY12_g51224_DN3_SP8_c0.t1	Roisl.0028s0440.1.p
OG0000702	ESY1_g11659_DN3_SP0_c0.t1, ESY1_g11658_DN3_SP0_c0.t1	Roisl.0026s0146.1.p
OG0000702	ESY1_g11661_DN3_SP0_c0.t1, ESY1_g11665_DN3_SP0_c0.t1	Roisl.0026s0149.1.p
OG0000703	ESY9_g45630_DN3_SP8_c0.t1	Roisl.0017s0372.1.p
OG0000703	ESY1_g10680_DN3_SP8_c0.t1	Roisl.0046s1567.1.p
OG0000704	ESY1_g11031_DN3_SP1_c0.t1, ESY1_g12001_DN3_SP2_c0.t1, ESY21_g55873_DN3_SP8_c0.t1	Roisl.0046s1365.1.p, Roisl.0011s0545.1.p, Roisl.0046s0387.1.p
OG0000705	ESY9_g45663_DN3_SP7_c0.t1	Roisl.0017s0389.1.p, Roisl.0017s0387.1.p
OG0000705	ESY3_g31227_DN3_SP7_c0.t1, ESY3_g30875_DN3_SP3_c0.t1	Roisl.0042s0091.1.p
OG0000706	ESY12_g51607_DN3_SP7_c0.t1	Roisl.0035s0053.1.p
OG0000706	ESY20_g13099_DN3_SP8_c0.t1	Roisl.0191s0640.1.p
OG0000706	ESY5_g5435_DN3_SP8_c0.t1	Roisl.0210s0135.1.p
OG0000707	ESY12_g52124_DN3_SP8_c0.t1	Roisl.0028s0178.1.p
OG0000707	ESY10_g14649_DN3_SP7_c0.t1	Roisl.0011s0019.1.p
OG0000708	ESY3_g29960_DN3_SP0_c0.t1	Roisl.0074s0300.1.p
OG0000708	ESY3_g29961_DN3_SP0_c0.t1	Roisl.0074s0301.1.p
OG0000708	ESY3_g29948_DN3_SP0_c14.t1, ESY3_g29953_DN3_SP0_c0.t1	Roisl.0074s0297.1.p
OG0000710	ESY20_g12817_DN3_SP0_c0.t1, ESY20_g12819_DN3_SP0_c0.t1	Roisl.0006s0575.1.p
OG0000714	ESY9_g43408_DN1_SP0_c0.t1	Roisl.0082s0573.1.p, Roisl.0082s0576.1.p
OG0000715	ESY6_g49858_DN3_SP0_c0.t1	Roisl.0046s0119.1.p
OG0000715	ESY6_g50062_DN3_SP0_c0.t1	Roisl.0046s0120.1.p
OG0000716	ESY2_g36293_DN3_SP8_c0.t1	Roisl.0021s0546.1.p
OG0000716	ESY3_g30220_DN3_SP8_c0.t1	Roisl.0074s0643.1.p
OG0000717	ESY5_g2781_DN3_SP7_c0.t1	Roisl.0007s0717.1.p
OG0000717	ESY5_g1618_DN3_SP4_c0.t1	Roisl.0191s0315.1.p
OG0000717	ESY2_g35452_DN3_SP7_c0.t1	Roisl.0019s0562.1.p
OG0000719	ESY6_g46659_DN3_SP3_c0.t1	Roisl.0189s0170.1.p
OG0000719	ESY10_g15165_DN3_SP0_c0.t1	Roisl.0189s0173.1.p
OG0000719	ESY16_g62085_DN3_SP0_c0.t1	Roisl.0189s0172.1.p
OG0000720	ESY1_g12502_DN3_SP0_c0.t1, ESY1_g12500_DN3_SP0_c0.t1	Roisl.0018s0408.1.p, Roisl.0018s0409.1.p
OG0000721	ESY16_g62050_DN2_SP0_c0.t1	Roisl.0063s0036.1.p, Roisl.0045s0032.1.p, Roisl.0045s0033.1.p, Roisl.0021s0142.1.p, Roisl.0021s0147.1.p, Roisl.0021s0149.1.p, Roisl.0021s0146.1.p, Roisl.0021s0148.1.p, Roisl.0028s0479.1.p
OG0000722	ESY3_g32388_DN2_SP0_c0.t1, ESY3_g32575_DN2_SP0_c0.t1, ESY3_g32602_DN1_SP0_c0.t1, ESY3_g32603_DN2_SP0_c0.t1	Roisl.0015s0002.1.p
OG0000722	ESY2_g36107_DN3_SP0_c0.t1	Roisl.0016s0127.1.p, Roisl.0016s0121.1.p, Roisl.0016s0119.1.p
OG0000722	ESY3_g30260_DN3_SP0_c0.t1, ESY3_g32563_DN2_SP0_c1.t1	Roisl.0016s0120.1.p
OG0000723	ESY10_g14412_DN3_SP0_c35.t1	Roisl.0011s0136.1.p
OG0000723	ESY10_g14422_DN3_SP0_c35.t1	Roisl.0011s0135.1.p
OG0000724	ESY10_g14454_DN3_SP0_c0.t1	Roisl.0001s0319.1.p, Roisl.0209s0019.1.p, Roisl.0053s0367.1.p, Roisl.0034s0153.1.p
OG0000725	ESY3_g29404_DN1_SP0_c84.t1	Roisl.0082s0497.1.p
OG0000725	ESY3_g29401_DN2_SP0_c0.t1, ESY3_g29406_DN2_SP0_c0.t1	Roisl.0082s0518.1.p
OG0000726	ESY9_g43698_DN3_SP0_c0.t1, ESY8_g59434_DN1_SP0_c0.t1, ESY8_g59460_DN2_SP0_c0.t1, ESY8_g59495_DN2_SP0_c0.t1, ESY9_g42911_DN1_SP0_c0.t1	Roisl.0091s0574.1.p
OG0000726	ESY9_g43369_DN3_SP0_c0.t1, ESY9_g42599_DN2_SP0_c0.t1, ESY9_g42910_DN1_SP0_c0.t1, ESY8_g59475_DN3_SP0_c0.t1, ESY8_g59454_DN1_SP0_c0.t1, ESY8_g59496_DN2_SP0_c0.t1	Roisl.0019s0632.1.p, Roisl.0008s0021.1.p
OG0000727	ESY14_g20593_DN2_SP0_c0.t1	Roisl.0047s0064.1.p, Roisl.0209s0326.1.p
OG0000728	ESY7_g17156_DN3_SP0_c0.t1	Roisl.0210s1453.1.p
OG0000728	ESY3_g32292_DN3_SP0_c0.t1, ESY3_g32293_DN3_SP0_c0.t1, ESY3_g32288_DN3_SP0_c0.t1	Roisl.0016s0284.1.p
OG0000729	ESY4_g25531_DN3_SP0_c0.t1	Roisl.0204s0076.1.p
OG0000729	ESY4_g25533_DN1_SP0_c0.t1	Roisl.0006s0586.1.p
OG0000730	ESY2_g36629_DN1_SP0_c0.t1	Roisl.0115s0127.1.p
OG0000730	ESY8_g58351_DN3_SP0_c0.t1	Roisl.0017s0440.1.p
OG0000730	ESY5_g2991_DN3_SP0_c0.t1	Roisl.0007s0540.1.p, Roisl.0019s0140.1.p
OG0000731	ESY3_g32428_DN3_SP0_c13.t1	Roisl.0213s0229.1.p, Roisl.0213s0232.1.p, Roisl.0213s0252.1.p, Roisl.0213s0231.1.p, Roisl.0213s0227.1.p, Roisl.0213s0233.1.p
OG0000732	ESY6_g49980_DN3_SP0_c0.t1, ESY6_g49981_DN3_SP8_c0.t1	Roisl.0046s0203.1.p, Roisl.0046s0202.1.p
OG0000732	ESY6_g50601_DN3_SP0_c0.t1, ESY6_g50600_DN3_SP8_c0.t1	Roisl.0024s0376.1.p
OG0000733	ESY7_g19214_DN3_SP0_c0.t1	Roisl.0024s0294.1.p
OG0000733	ESY6_g49307_DN3_SP0_c0.t1	Roisl.0030s0111.1.p, Roisl.0074s1015.1.p
OG0000734	ESY6_g49376_DN3_SP8_c0.t1	Roisl.0209s0440.1.p
OG0000735	ESY2_g36988_DN1_SP0_c0.t1	Roisl.0210s1936.1.p
OG0000735	ESY2_g36989_DN2_SP0_c0.t1	Roisl.0002s0048.1.p
OG0000736	ESY9_g43625_DN2_SP0_c0.t1	Roisl.0080s0351.1.p, Roisl.0080s0352.1.p, Roisl.0080s0350.1.p
OG0000737	ESY20_g13277_DN3_SP8_c0.t1	Roisl.0082s0419.1.p
OG0000737	ESY5_g5263_DN3_SP0_c0.t1	Roisl.0210s0233.1.p
OG0000737	ESY4_g21920_DN2_SP0_c0.t1	Roisl.0115s0169.1.p
OG0000738	ESY1_g10503_DN3_SP8_c0.t1, ESY1_g11933_DN3_SP5_c0.t1	Roisl.0030s0093.1.p, Roisl.0054s0024.1.p, Roisl.0046s1268.1.p
OG0000740	ESY2_g35020_DN3_SP8_c0.t1	Roisl.0004s0064.1.p
OG0000740	ESY14_g20657_DN3_SP8_c0.t1	Roisl.0048s0038.1.p
OG0000741	ESY2_g34953_DN3_SP7_c0.t1	Roisl.0004s0475.1.p
OG0000741	ESY1_g10679_DN3_SP6_c0.t1	Roisl.0046s1568.1.p
OG0000742	ESY2_g37150_DN3_SP0_c0.t1	Roisl.0006s0261.1.p
OG0000743	ESY12_g51900_DN3_SP0_c0.t1	Roisl.0028s0045.1.p
OG0000743	ESY12_g51898_DN3_SP0_c0.t1	Roisl.0028s0044.1.p
OG0000743	ESY11_g54637_DN2_SP0_c0.t1, ESY9_g43026_DN1_SP0_c0.t1, ESY3_g31767_DN3_SP0_c0.t1, ESY11_g54638_DN3_SP0_c0.t1	Roisl.0010s0174.1.p
OG0000744	ESY1_g12266_DN3_SP1_c0.t1, ESY1_g12268_DN3_SP0_c0.t1	Roisl.0018s0246.1.p
OG0000744	ESY12_g51796_DN3_SP0_c0.t1	Roisl.0035s0163.1.p
