Orthogroup	Euclidium_syriacum	Capsella_rubella
OG0001885	ESY5_g2809_DN3_SP8_c0.t1	XP_006305549.1
OG0001886	ESY2_g38579_DN3_SP0_c0.t1, ESY6_g49826_DN3_SP0_c0.t1	XP_006280359.1
OG0001886	ESY5_g2904_DN3_SP8_c0.t1	XP_006307324.1
OG0001888	ESY2_g35800_DN3_SP7_c0.t1	XP_006300438.1
OG0001888	ESY5_g4342_DN3_SP8_c0.t1	XP_006307188.1
OG0001889	ESY9_g42882_DN2_SP0_c0.t1	XP_006304571.1
OG0001889	ESY2_g35836_DN3_SP0_c0.t1	XP_006302969.1
OG0001890	ESY10_g14389_DN3_SP7_c0.t1	XP_023637918.1, XP_023637920.1
OG0001890	ESY10_g14395_DN3_SP0_c0.t1, ESY10_g14398_DN2_SP0_c0.t1	XP_023644296.1, XP_023643642.1
OG0001891	ESY2_g35501_DN3_SP0_c0.t1	XP_006302365.1
OG0001891	ESY5_g1803_DN2_SP0_c0.t1	XP_006304530.1
OG0001892	ESY4_g26618_DN3_SP0_c0.t1	XP_006285086.1
OG0001892	ESY4_g26620_DN3_SP0_c0.t1, ESY4_g26619_DN3_SP1_c0.t1	XP_006284001.1
OG0001893	ESY4_g25224_DN3_SP0_c0.t1	XP_006294433.1, XP_023634230.1
OG0001894	ESY4_g25781_DN3_SP0_c0.t1	XP_006284046.1
OG0001895	ESY4_g24872_DN3_SP0_c0.t1	XP_023635167.1
OG0001895	ESY8_g59432_DN3_SP0_c0.t1	XP_023640985.1
OG0001896	ESY8_g59435_DN3_SP0_c0.t1	XP_023639825.1
OG0001896	ESY4_g24869_DN3_SP1_c0.t1	XP_006283757.1
OG0001897	ESY4_g24757_DN3_SP8_c0.t1	XP_023634709.1
OG0001897	ESY8_g59492_DN3_SP7_c0.t1	XP_023640636.1
OG0001898	ESY9_g44840_DN3_SP0_c48.t1	XP_023640722.1, XP_023642933.1, XP_023634329.1, XP_023638414.1, XP_023641067.1
OG0001900	ESY8_g60558_DN2_SP2_c0.t1	XP_006284840.1
OG0001900	ESY21_g55220_DN3_SP1_c0.t1	XP_006292118.1
OG0001901	ESY9_g42763_DN2_SP0_c0.t1	XP_006286775.1, XP_006290004.2, XP_006282239.1, XP_023633506.1, XP_023633515.1
OG0001902	ESY20_g12938_DN3_SP0_c0.t1	XP_006281564.1, XP_006282238.1
OG0001910	ESY4_g24650_DN3_SP8_c0.t1	XP_006286176.1
OG0001910	ESY8_g59505_DN3_SP8_c11.t1	XP_006293366.1
OG0001911	ESY8_g59478_DN3_SP8_c0.t1	XP_006294676.1
OG0001911	ESY4_g24718_DN3_SP5_c0.t1	XP_006284256.1
OG0001912	ESY7_g17307_DN3_SP2_c0.t1	XP_006286577.1
OG0001912	ESY3_g32448_DN3_SP5_c0.t1	XP_006298548.2
OG0001913	ESY3_g31376_DN2_SP0_c0.t1	XP_023634585.1, XP_023641724.1
OG0001914	ESY3_g32498_DN1_SP0_c0.t1	XP_006297779.1
OG0001914	ESY7_g17399_DN3_SP0_c0.t1	XP_006288146.1
OG0001915	ESY7_g17741_DN3_SP0_c0.t1, ESY3_g30763_DN3_SP8_c0.t1	XP_006287927.1, XP_006297905.1
OG0001916	ESY6_g49877_DN3_SP1_c51.t1	XP_023635823.1
OG0001916	ESY7_g18335_DN3_SP0_c8.t1	XP_006286547.1
OG0001917	ESY7_g18298_DN3_SP2_c0.t1	XP_006286556.2
OG0001917	ESY6_g49890_DN3_SP0_c0.t1	XP_006286382.1
OG0001918	ESY7_g18080_DN3_SP8_c0.t1	XP_006290014.1, XP_006288010.1
OG0001919	ESY6_g50020_DN3_SP0_c0.t1	XP_006290133.1
OG0001919	ESY7_g18065_DN2_SP0_c0.t1	XP_006288922.1
OG0001920	ESY6_g50534_DN3_SP0_c0.t1	XP_006282330.1
OG0001920	ESY7_g17958_DN2_SP0_c0.t1, ESY7_g17959_DN3_SP0_c0.t1	XP_006288962.1
OG0001922	ESY8_g59649_DN3_SP8_c0.t1	XP_023640727.1
OG0001922	ESY7_g17894_DN3_SP8_c0.t1	XP_006298004.1
OG0001923	ESY7_g17845_DN3_SP0_c0.t1	XP_023637163.1
OG0001923	ESY6_g50708_DN3_SP0_c0.t1	XP_006280854.1
OG0001924	ESY7_g18610_DN3_SP0_c0.t1	XP_006286625.1
OG0001924	ESY6_g49540_DN3_SP6_c0.t1	XP_006281801.1
OG0001925	ESY5_g4630_DN3_SP0_c0.t1	XP_006307649.1
OG0001926	ESY8_g58596_DN3_SP8_c0.t1	XP_006295643.1
OG0001926	ESY5_g4632_DN3_SP7_c0.t1	XP_006306104.1
OG0001927	ESY5_g4703_DN3_SP7_c0.t1	XP_006306481.1
OG0001927	ESY8_g58528_DN3_SP6_c0.t1	XP_006295004.1
OG0001929	ESY5_g4956_DN3_SP0_c0.t1	XP_006307517.1
OG0001929	ESY20_g12787_DN3_SP8_c6.t1	XP_006294172.1
OG0001930	ESY8_g58182_DN3_SP0_c0.t1	XP_023637697.1
OG0001930	ESY5_g5148_DN3_SP7_c0.t1	XP_006305483.1
OG0001931	ESY13_g56726_DN3_SP5_c0.t1	XP_006285334.1
OG0001931	ESY6_g46677_DN3_SP8_c0.t1	XP_023639046.1
OG0001933	ESY1_g10712_DN3_SP4_c0.t1	XP_006295034.1, XP_023644888.1
OG0001934	ESY16_g62011_DN3_SP8_c0.t1	XP_006306094.1, XP_006295438.1
OG0001935	ESY16_g61674_DN3_SP8_c0.t1	XP_006304263.1, XP_006296123.2
OG0001936	ESY9_g43883_DN3_SP0_c0.t1	XP_006293770.1
OG0001936	ESY16_g61668_DN3_SP0_c0.t1	XP_006306894.1
OG0001937	ESY6_g50384_DN3_SP0_c0.t1	XP_006292484.1, XP_006279774.1
OG0001938	ESY3_g30520_DN3_SP8_c0.t1	XP_023641550.1
OG0001938	ESY6_g49592_DN3_SP5_c0.t1	XP_006281083.1
OG0001939	ESY6_g50143_DN3_SP0_c0.t1	XP_006287432.1
OG0001939	ESY1_g9311_DN3_SP7_c0.t1	XP_006292226.1
OG0001940	ESY4_g25221_DN3_SP6_c0.t1	XP_006284767.1, XP_006286400.1
OG0001941	ESY6_g49223_DN3_SP5_c0.t1	XP_006286561.1
OG0001942	ESY1_g7387_DN3_SP0_c0.t1	XP_006279127.2, XP_006292712.1
OG0001942	ESY6_g48976_DN3_SP0_c0.t1	XP_006290035.1
OG0001943	ESY6_g48937_DN3_SP5_c0.t1, ESY2_g33932_DN3_SP0_c0.t1	XP_006279632.1, XP_006291252.1
OG0001944	ESY1_g8081_DN3_SP7_c0.t1	XP_023633604.1, XP_023638212.1
OG0001945	ESY2_g33964_DN3_SP0_c0.t1	XP_006283792.1
OG0001945	ESY2_g33937_DN3_SP0_c0.t1	XP_006302444.1
OG0001946	ESY6_g48588_DN3_SP6_c0.t1	XP_006280221.1
OG0001946	ESY7_g18494_DN3_SP2_c0.t1	XP_023636232.1
OG0001947	ESY6_g48456_DN3_SP8_c0.t1	XP_006284247.1, XP_006280918.1
OG0001948	ESY6_g48439_DN3_SP0_c0.t1	XP_006281485.1, XP_006283565.1
OG0001949	ESY11_g53942_DN3_SP0_c0.t1	XP_006299055.1
OG0001949	ESY11_g53944_DN3_SP5_c0.t1	XP_023642637.1
OG0001950	ESY8_g60932_DN3_SP8_c0.t1	XP_006283674.2
OG0001950	ESY2_g35146_DN3_SP8_c0.t1	XP_006290963.2
OG0001951	ESY16_g62531_DN3_SP8_c0.t1	XP_023633674.1
OG0001951	ESY6_g48164_DN3_SP7_c0.t1	XP_006280844.1
OG0001952	ESY6_g47961_DN3_SP0_c0.t1	XP_006280607.1
OG0001952	ESY16_g62345_DN3_SP7_c0.t1	XP_006283830.1
OG0001953	ESY6_g47914_DN3_SP8_c0.t1	XP_006280058.1
OG0001953	ESY16_g62300_DN3_SP8_c0.t1	XP_006285461.1
OG0001955	ESY7_g18739_DN3_SP0_c0.t1	XP_006287513.1
OG0001955	ESY3_g31306_DN3_SP0_c0.t1	XP_006297466.1
OG0001956	ESY3_g31136_DN3_SP8_c0.t1	XP_023641101.1
OG0001956	ESY7_g19017_DN3_SP8_c0.t1	XP_006288573.1
OG0001957	ESY3_g31024_DN3_SP8_c0.t1	XP_006296668.1, XP_006298519.1
OG0001957	ESY7_g19293_DN3_SP6_c0.t1	XP_006288638.1
OG0001958	ESY7_g19353_DN3_SP0_c0.t1	XP_006288086.1
OG0001958	ESY3_g30994_DN3_SP8_c0.t1	XP_006298058.1
OG0001959	ESY4_g25988_DN3_SP8_c0.t1	XP_006283364.1, XP_006286440.1
OG0001960	ESY10_g13679_DN3_SP8_c0.t1	XP_006291631.1
OG0001960	ESY8_g60245_DN3_SP7_c0.t1	XP_006282691.1
OG0001961	ESY5_g2961_DN3_SP0_c0.t1	XP_006306440.1
OG0001961	ESY18_g63340_DN2_SP0_c0.t1	XP_006302861.1
OG0001962	ESY2_g36634_DN3_SP8_c0.t1	XP_006301485.1
OG0001962	ESY5_g2995_DN3_SP8_c0.t1	XP_006307246.1
OG0001963	ESY5_g3002_DN3_SP6_c0.t1	XP_006304371.1
OG0001964	ESY5_g3036_DN3_SP6_c0.t1	XP_006307603.1
OG0001964	ESY2_g36685_DN3_SP7_c13.t1	XP_006302200.2
OG0001965	ESY5_g3888_DN3_SP8_c4.t1	XP_006306984.2
OG0001965	ESY2_g34722_DN3_SP8_c0.t1	XP_006302013.1
OG0001966	ESY4_g25342_DN2_SP0_c0.t1	XP_006285977.1
OG0001966	ESY2_g35578_DN3_SP0_c0.t1	XP_006285117.1
OG0001967	ESY5_g3932_DN3_SP8_c0.t1	XP_006303189.1
OG0001967	ESY2_g34761_DN3_SP5_c0.t1	XP_006302989.1
OG0001968	ESY2_g34818_DN2_SP0_c0.t1	XP_006302332.2
OG0001969	ESY11_g53994_DN3_SP0_c0.t1	XP_006296930.1
OG0001969	ESY4_g25406_DN3_SP0_c0.t1	XP_023634715.1
OG0001970	ESY11_g54059_DN3_SP6_c0.t1	XP_006297706.1
OG0001970	ESY4_g25363_DN3_SP6_c0.t1	XP_006282613.1
OG0001971	ESY11_g54105_DN3_SP8_c0.t1	XP_006298248.1
OG0001971	ESY4_g26035_DN3_SP0_c0.t1, ESY4_g26025_DN2_SP0_c0.t1, ESY5_g1364_DN3_SP0_c0.t1, ESY4_g26024_DN3_SP0_c0.t1, ESY4_g26023_DN3_SP0_c0.t1	XP_006285542.1
OG0001972	ESY11_g54130_DN3_SP1_c0.t1	XP_023641877.1
OG0001972	ESY4_g26113_DN3_SP8_c0.t1	XP_006282626.1
OG0001973	ESY3_g30311_DN3_SP6_c0.t1	XP_006297916.1
OG0001973	ESY2_g36226_DN3_SP0_c0.t1	XP_006305244.1
OG0001974	ESY3_g30509_DN3_SP8_c0.t1	XP_006298046.1
OG0001974	ESY2_g36912_DN3_SP8_c0.t1	XP_006305251.1
OG0001975	ESY1_g11186_DN3_SP8_c0.t1	XP_006290896.1, XP_006294001.1
OG0001977	ESY15_g65763_DN2_SP7_c0.t1	XP_006284882.1
OG0001977	ESY9_g45245_DN3_SP1_c0.t1, ESY10_g14988_DN2_SP3_c0.t1	XP_023641507.1
OG0001978	ESY2_g33580_DN1_SP0_c0.t1	XP_006282641.1, XP_006299517.2
OG0001979	ESY3_g28659_DN3_SP3_c0.t1	XP_006282898.1, XP_006298679.1
OG0001980	ESY22_g40745_DN3_SP8_c0.t1	XP_006283697.1
OG0001980	ESY3_g28742_DN3_SP8_c0.t1	XP_006297606.1
OG0001981	ESY2_g38569_DN3_SP8_c0.t1	XP_006297556.1, XP_006283650.1
OG0001982	ESY1_g10578_DN3_SP8_c0.t1	XP_006291623.2
OG0001982	ESY12_g50853_DN3_SP7_c0.t1	XP_006294701.2
OG0001983	ESY2_g37243_DN3_SP0_c7.t1	XP_023638483.1, XP_023638432.1
OG0001984	ESY10_g13840_DN3_SP3_c0.t1	XP_006292498.1
OG0001984	ESY5_g3875_DN3_SP3_c0.t1	XP_006303346.1
OG0001985	ESY7_g16808_DN3_SP8_c0.t1	XP_006279863.1
OG0001985	ESY9_g42860_DN3_SP8_c0.t1	XP_006285256.1
OG0001986	ESY2_g37620_DN3_SP5_c0.t1	XP_006307260.1
OG0001986	ESY3_g29461_DN3_SP0_c0.t1	XP_006299512.1
OG0001987	ESY2_g37397_DN3_SP0_c0.t1	XP_006307368.1
OG0001987	ESY3_g29208_DN3_SP7_c0.t1	XP_006297547.1
OG0001988	ESY2_g37246_DN3_SP6_c0.t1	XP_006305455.1
OG0001988	ESY3_g29115_DN3_SP1_c0.t1	XP_006299922.1
OG0001989	ESY3_g30003_DN3_SP4_c0.t1	XP_006300248.1
OG0001989	ESY2_g37101_DN3_SP8_c0.t1	XP_006304335.1
OG0001992	ESY9_g42511_DN3_SP0_c0.t1	XP_006283348.1
OG0001992	ESY10_g14977_DN3_SP0_c0.t1	XP_006279855.1
OG0001993	ESY5_g5428_DN3_SP3_c0.t1	XP_023636200.1, XP_006304913.1
OG0001994	ESY26_g42346_DN3_SP7_c0.t1	XP_006284321.1
OG0001995	ESY9_g43752_DN3_SP2_c0.t1	XP_006284335.1
OG0001995	ESY9_g43754_DN3_SP0_c0.t1	XP_006284471.1
OG0001996	ESY12_g52052_DN3_SP0_c0.t1	XP_006282889.1, XP_006282967.1
OG0001997	ESY7_g16473_DN3_SP8_c0.t1	XP_006288420.2
OG0001997	ESY9_g43461_DN3_SP0_c0.t1	XP_006284392.2
OG0001998	ESY1_g12532_DN3_SP0_c0.t1	XP_006292027.1
OG0001998	ESY12_g52309_DN2_SP0_c0.t1	XP_006296337.1
OG0001999	ESY12_g51888_DN3_SP6_c0.t1	XP_006294472.1
OG0001999	ESY1_g12188_DN3_SP8_c0.t1	XP_006290360.1
OG0002000	ESY12_g51970_DN3_SP8_c0.t1	XP_006294970.1
OG0002000	ESY1_g12115_DN1_SP8_c0.t1	XP_006291787.1
OG0002001	ESY1_g12113_DN3_SP0_c0.t1	XP_023638347.1
OG0002002	ESY1_g11971_DN3_SP8_c0.t1	XP_023638151.1
OG0002002	ESY12_g52099_DN3_SP0_c0.t1	XP_006294174.1
OG0002003	ESY5_g3489_DN3_SP6_c0.t1	XP_006303798.1
OG0002003	ESY1_g11550_DN3_SP6_c0.t1	XP_023638823.1
OG0002005	ESY16_g62099_DN3_SP6_c0.t1	XP_006282828.1
OG0002005	ESY6_g47449_DN3_SP8_c0.t1	XP_006280865.1
OG0002007	ESY9_g45404_DN2_SP0_c0.t1	XP_006295810.1, XP_006295369.1, XP_023639590.1
OG0002009	ESY1_g10257_DN3_SP8_c0.t1	XP_023638829.1
OG0002009	ESY9_g45244_DN3_SP6_c0.t1	XP_006294150.1
OG0002010	ESY10_g14764_DN3_SP0_c0.t1	XP_006280956.1
OG0002011	ESY8_g59892_DN3_SP0_c0.t1	XP_006295292.1
OG0002011	ESY4_g26872_DN1_SP0_c0.t1	XP_006282761.1
OG0002012	ESY14_g20155_DN3_SP8_c0.t1	XP_006289686.1, XP_006305240.1
OG0002013	ESY3_g31668_DN3_SP0_c0.t1	XP_023642112.1
OG0002013	ESY10_g15421_DN3_SP4_c0.t1	XP_006286743.1
OG0002014	ESY1_g12511_DN3_SP8_c0.t1	XP_006291142.1
OG0002014	ESY12_g52260_DN3_SP8_c0.t1	XP_006294240.1
OG0002015	ESY12_g52240_DN3_SP0_c0.t1	XP_023641039.1
OG0002015	ESY1_g12493_DN2_SP0_c0.t1	XP_006292630.1
OG0002016	ESY6_g50634_DN2_SP0_c0.t1, ESY3_g29840_DN3_SP0_c0.t1	XP_006296761.1
OG0002017	ESY12_g51275_DN3_SP0_c0.t1	XP_006293503.2
OG0002017	ESY1_g11538_DN3_SP0_c0.t1	XP_023638385.1
OG0002018	ESY3_g31788_DN3_SP3_c0.t1	XP_006298247.1
OG0002018	ESY2_g34244_DN3_SP8_c0.t1	XP_006301375.2
OG0002019	ESY3_g31549_DN2_SP0_c0.t1	XP_023636586.1, XP_023642232.1
OG0002020	ESY3_g29834_DN3_SP0_c0.t1, ESY16_g61968_DN2_SP0_c0.t1	XP_006299184.1, XP_006300175.1
OG0002021	ESY3_g29824_DN3_SP8_c0.t1	XP_023641588.1
OG0002021	ESY2_g38309_DN3_SP8_c0.t1	XP_006307285.1
OG0002022	ESY3_g29801_DN3_SP8_c0.t1	XP_006297917.1
OG0002022	ESY2_g38079_DN3_SP8_c0.t1	XP_006305140.1
OG0002023	ESY2_g34585_DN3_SP2_c0.t1	XP_006290387.1
OG0002023	ESY8_g60854_DN3_SP6_c0.t1	XP_006284674.1
OG0002024	ESY2_g35275_DN3_SP4_c17.t1	XP_006302796.1, XP_006284489.1
OG0002025	ESY3_g28888_DN3_SP1_c0.t1	XP_006297023.1, XP_006283147.1
OG0002026	ESY7_g18791_DN3_SP0_c0.t1	XP_023636478.1
OG0002026	ESY7_g17010_DN3_SP0_c0.t1	XP_006288026.1
OG0002027	ESY20_g13004_DN3_SP2_c0.t1	XP_006287640.1
OG0002027	ESY5_g5497_DN3_SP8_c0.t1	XP_006303639.1
OG0002028	ESY20_g13046_DN3_SP3_c0.t1	XP_006288718.1
OG0002028	ESY5_g5476_DN3_SP6_c0.t1	XP_006305674.1
OG0002029	ESY20_g13047_DN3_SP0_c0.t1, ESY3_g31345_DN3_SP0_c0.t1	XP_006289459.1, XP_006305264.1
OG0002030	ESY5_g5338_DN3_SP0_c0.t1	XP_006305682.1
OG0002030	ESY20_g13195_DN3_SP0_c0.t1	XP_006289329.1
OG0002031	ESY5_g4805_DN3_SP0_c0.t1	XP_006307449.1
OG0002031	ESY5_g3580_DN3_SP0_c0.t1, ESY8_g60394_DN2_SP0_c0.t1, ESY5_g4808_DN3_SP0_c0.t1	XP_006305828.1
OG0002032	ESY2_g34180_DN3_SP3_c0.t1, ESY2_g34181_DN3_SP4_c0.t1	XP_006302453.2
OG0002032	ESY3_g32467_DN3_SP1_c0.t1, ESY5_g3285_DN3_SP5_c0.t1	XP_006305301.1
OG0002033	ESY5_g3504_DN3_SP0_c0.t1	XP_006306032.1
OG0002033	ESY5_g3505_DN3_SP0_c67.t1	XP_023643253.1
OG0002034	ESY5_g3630_DN3_SP8_c0.t1	XP_006305987.1
OG0002035	ESY5_g3704_DN3_SP6_c0.t1	XP_006307297.1
OG0002035	ESY2_g33784_DN3_SP8_c0.t1	XP_006302163.1
OG0002036	ESY2_g33593_DN3_SP8_c0.t1	XP_023644000.1
OG0002036	ESY5_g3836_DN3_SP8_c0.t1	XP_006307436.1
OG0002037	ESY10_g13946_DN3_SP5_c0.t1	XP_006291670.1
OG0002037	ESY5_g2581_DN3_SP8_c0.t1, ESY10_g13949_DN2_SP0_c0.t1	XP_006305519.1
OG0002038	ESY5_g2834_DN3_SP0_c0.t1	XP_006305511.1
OG0002038	ESY10_g14516_DN3_SP0_c0.t1	XP_006291627.1
OG0002039	ESY1_g11171_DN3_SP0_c0.t1	XP_006304828.2, XP_006303291.1, XP_006306287.1, XP_006303825.1, XP_023646022.1, XP_006306252.2
OG0002040	ESY7_g17950_DN2_SP0_c0.t1, ESY7_g17952_DN3_SP0_c0.t1	XP_023633029.1
OG0002040	ESY7_g17951_DN3_SP0_c0.t1, ESY7_g17954_DN3_SP0_c0.t1, ESY7_g17953_DN2_SP0_c0.t1	XP_023632639.1
OG0002041	ESY5_g2105_DN3_SP6_c0.t1	XP_006305871.1
OG0002041	ESY2_g35596_DN3_SP8_c0.t1	XP_006302180.1
OG0002042	ESY8_g60040_DN2_SP7_c0.t1	XP_006283223.1
OG0002042	ESY2_g33307_DN3_SP0_c0.t1	XP_006301064.1
OG0002043	ESY4_g26935_DN3_SP1_c0.t1	XP_006292201.1, XP_006290296.1, XP_006291686.1, XP_006284347.1
OG0002044	ESY4_g25503_DN3_SP8_c0.t1	XP_006284251.1, XP_006298235.1, XP_006300187.1
OG0002045	ESY4_g25994_DN3_SP8_c0.t1	XP_006283628.1
OG0002045	ESY8_g59246_DN3_SP4_c0.t1	XP_006293990.1
OG0002047	ESY1_g9939_DN3_SP0_c0.t1, ESY1_g9938_DN3_SP0_c0.t1	XP_006292442.1, XP_006291841.1
OG0002048	ESY5_g3397_DN3_SP0_c0.t1	XP_006288142.1
OG0002056	ESY6_g48643_DN3_SP5_c0.t1	XP_006280998.1
OG0002056	ESY1_g8352_DN2_SP7_c0.t1	XP_006291754.1
OG0002057	ESY1_g8990_DN3_SP5_c0.t1	XP_006291481.1
OG0002057	ESY6_g49796_DN3_SP1_c0.t1	XP_006280776.1
OG0002058	ESY7_g17072_DN3_SP8_c0.t1	XP_006287858.1
OG0002058	ESY3_g32168_DN3_SP8_c0.t1	XP_006300064.1
OG0002059	ESY7_g17074_DN2_SP0_c0.t1	XP_006286821.1, XP_006289175.1
OG0002060	ESY7_g17080_DN3_SP0_c0.t1	XP_006290043.1
OG0002060	ESY7_g17096_DN3_SP0_c0.t1	XP_006289033.2
OG0002061	ESY3_g32301_DN3_SP0_c0.t1	XP_006299673.1
OG0002061	ESY7_g17160_DN3_SP0_c0.t1	XP_006289791.1
OG0002062	ESY7_g17249_DN3_SP6_c0.t1	XP_023636691.1
OG0002062	ESY3_g32397_DN3_SP0_c0.t1	XP_006296731.1
OG0002063	ESY3_g32444_DN3_SP1_c0.t1	XP_006299334.1
OG0002063	ESY7_g17302_DN3_SP8_c0.t1	XP_006286590.1
OG0002064	ESY7_g17331_DN3_SP6_c0.t1, ESY7_g17332_DN2_SP0_c0.t1	XP_006287888.1
OG0002064	ESY3_g32466_DN3_SP8_c0.t1	XP_006299989.1
OG0002065	ESY3_g32478_DN3_SP8_c14.t1	XP_006297845.1
OG0002065	ESY7_g17369_DN3_SP8_c13.t1	XP_006286629.1
OG0002066	ESY3_g32488_DN3_SP7_c0.t1	XP_023642471.1
OG0002066	ESY7_g17383_DN3_SP7_c0.t1	XP_023635879.1
OG0002067	ESY7_g17620_DN3_SP8_c0.t1	XP_006287987.1
OG0002067	ESY3_g32652_DN3_SP7_c0.t1	XP_006298008.1
OG0002068	ESY7_g17733_DN3_SP8_c0.t1	XP_006287201.1
OG0002068	ESY3_g30078_DN3_SP5_c0.t1	XP_006299100.1
OG0002069	ESY7_g18404_DN3_SP8_c0.t1	XP_006286740.1, XP_006306392.2
OG0002070	ESY6_g49922_DN3_SP8_c0.t1	XP_006287343.1
OG0002070	ESY7_g18220_DN3_SP8_c0.t1	XP_006290164.1
OG0002071	ESY7_g18031_DN3_SP0_c0.t1	XP_006280365.1
OG0002072	ESY7_g17933_DN3_SP8_c0.t1	XP_006286499.1, XP_006280475.2
OG0002073	ESY5_g2998_DN3_SP0_c0.t1	XP_006286571.1
OG0002073	ESY7_g17864_DN3_SP0_c0.t1	XP_006288306.1, XP_006299907.1
OG0002074	ESY6_g49534_DN3_SP0_c0.t1	XP_006281918.1
OG0002074	ESY7_g18604_DN3_SP0_c9.t1	XP_006289223.2
OG0002075	ESY8_g58332_DN3_SP0_c0.t1	XP_023637699.1
OG0002075	ESY5_g5176_DN3_SP0_c0.t1	XP_006306728.2
OG0002076	ESY8_g58990_DN3_SP5_c0.t1	XP_006295329.1
OG0002076	ESY8_g58989_DN3_SP7_c0.t1	XP_006295341.1
OG0002077	ESY8_g58946_DN3_SP6_c0.t1	XP_023639700.1
OG0002077	ESY5_g4433_DN3_SP5_c0.t1	XP_023645017.1
OG0002078	ESY5_g4811_DN2_SP0_c0.t1	XP_006305825.1
OG0002078	ESY8_g58373_DN3_SP4_c0.t1	XP_006296096.1
OG0002079	ESY5_g4841_DN3_SP0_c0.t1	XP_006305175.1
OG0002079	ESY20_g13334_DN3_SP7_c0.t1	XP_006295925.1
OG0002080	ESY5_g5151_DN3_SP0_c0.t1	XP_006304423.1
OG0002080	ESY8_g58181_DN3_SP0_c0.t1	XP_006281682.1
OG0002081	ESY1_g6299_DN3_SP7_c0.t1	XP_023639217.1
OG0002081	ESY4_g22511_DN3_SP7_c0.t1	XP_006303756.1
OG0002082	ESY5_g2789_DN3_SP8_c0.t1	XP_006304598.1
OG0002082	ESY10_g14345_DN3_SP8_c0.t1	XP_023638450.1
OG0002083	ESY6_g50312_DN3_SP8_c0.t1	XP_006280112.2
OG0002083	ESY11_g54297_DN3_SP8_c0.t1	XP_023642156.1
OG0002084	ESY1_g9821_DN3_SP0_c0.t1	XP_006291229.1
OG0002084	ESY6_g50408_DN3_SP0_c0.t1	XP_006279528.1
OG0002085	ESY6_g50597_DN3_SP0_c0.t1, ESY6_g50595_DN2_SP0_c0.t1, ESY6_g50596_DN2_SP0_c0.t1	XP_006281339.1
OG0002085	ESY6_g50598_DN3_SP0_c0.t1	XP_006281346.1
OG0002086	ESY6_g49446_DN3_SP6_c0.t1	XP_023641833.1
OG0002086	ESY7_g18523_DN3_SP6_c0.t1	XP_023636405.1
OG0002087	ESY1_g9674_DN3_SP8_c0.t1	XP_023638017.1
OG0002087	ESY6_g50037_DN3_SP8_c0.t1	XP_006286543.1
OG0002088	ESY6_g50027_DN3_SP0_c0.t1	XP_006288459.1, XP_006288447.1
OG0002089	ESY1_g7124_DN3_SP2_c0.t1	XP_006291731.1
OG0002089	ESY6_g49195_DN3_SP3_c0.t1	XP_006289263.1
OG0002090	ESY6_g48973_DN3_SP1_c7.t1	XP_006288560.1, XP_006291744.1
OG0002091	ESY1_g8043_DN2_SP0_c29.t1	XP_023638595.1, XP_006280010.1
OG0002092	ESY13_g56248_DN3_SP8_c0.t1	XP_006285267.1, XP_023636701.1
OG0002093	ESY13_g56106_DN3_SP0_c0.t1	XP_006283962.1
OG0002093	ESY6_g48357_DN3_SP8_c0.t1	XP_006280644.1
OG0002094	ESY16_g62562_DN3_SP4_c0.t1	XP_006282669.1
OG0002094	ESY6_g48183_DN3_SP7_c0.t1	XP_006279652.1
OG0002095	ESY16_g62415_DN2_SP7_c0.t1	XP_006284741.2, XP_006281421.1
OG0002096	ESY6_g47958_DN3_SP7_c0.t1	XP_006280251.2
OG0002096	ESY16_g62343_DN3_SP8_c0.t1	XP_006283454.2
OG0002097	ESY20_g13293_DN3_SP3_c0.t1	XP_006288281.1
OG0002097	ESY5_g5240_DN3_SP8_c0.t1	XP_006303615.1
OG0002098	ESY4_g25671_DN3_SP0_c0.t1, ESY4_g25636_DN3_SP0_c0.t1	XP_023635063.1
OG0002099	ESY3_g31229_DN3_SP5_c0.t1	XP_006298178.1
OG0002099	ESY7_g18859_DN3_SP8_c0.t1	XP_006288285.1
OG0002100	ESY7_g19577_DN2_SP0_c0.t1	XP_006286398.1
OG0002100	ESY3_g30836_DN3_SP0_c0.t1	XP_006298766.1
OG0002101	ESY3_g32357_DN3_SP8_c0.t1	XP_006298778.1
OG0002101	ESY7_g19602_DN3_SP6_c0.t1	XP_006288866.1
OG0002102	ESY10_g13759_DN3_SP8_c0.t1	XP_006291007.1
OG0002102	ESY8_g60170_DN3_SP8_c0.t1	XP_023634440.1
OG0002104	ESY6_g48312_DN3_SP0_c0.t1, ESY5_g2958_DN3_SP8_c0.t1	XP_023632590.1
OG0002104	ESY2_g36586_DN3_SP8_c0.t1	XP_023642939.1
OG0002105	ESY5_g3026_DN3_SP6_c0.t1	XP_006306209.1
OG0002105	ESY2_g36664_DN3_SP6_c0.t1	XP_023642911.1
OG0002106	ESY5_g3052_DN3_SP2_c0.t1	XP_023632782.1
OG0002106	ESY2_g36756_DN3_SP5_c0.t1	XP_006301875.2
OG0002108	ESY2_g36773_DN3_SP1_c0.t1	XP_006302738.1
OG0002108	ESY5_g3058_DN3_SP0_c0.t1	XP_006303180.1
OG0002109	ESY2_g35055_DN3_SP8_c0.t1	XP_006304513.1, XP_006301018.1
OG0002110	ESY2_g34668_DN3_SP8_c1.t1	XP_006300375.1
