Orthogroup	Euclidium_syriacum	Arabidopsis_lyrata_NCBI
OG0003848	ESY1_g10016_DN3_SP0_c0.t1	XP_020881124.1
OG0003849	ESY23_g194_DN3_SP6_c0.t1	XP_020873276.1
OG0003850	ESY23_g145_DN3_SP8_c0.t1	XP_020873616.1
OG0003851	ESY3_g32691_DN3_SP0_c0.t1	XP_002885302.1, XP_020888074.1
OG0003852	ESY3_g32644_DN3_SP0_c0.t1	XP_002884272.1, XP_002890172.2
OG0003853	ESY1_g12350_DN1_SP0_c0.t1	XP_002878405.1
OG0003853	ESY1_g12352_DN1_SP0_c0.t1, ESY1_g12353_DN1_SP0_c0.t1	XP_002878406.1
OG0003854	ESY12_g51920_DN3_SP8_c0.t1	XP_002894141.1, XP_020882788.1
OG0003855	ESY1_g11242_DN3_SP2_c0.t1	XP_002878264.1
OG0003856	ESY1_g11504_DN3_SP0_c16.t1	XP_020880162.1
OG0003857	ESY1_g11544_DN3_SP0_c0.t1	XP_020879682.1
OG0003858	ESY1_g11545_DN3_SP0_c0.t1	XP_020879681.1
OG0003859	ESY1_g11001_DN3_SP4_c0.t1	XP_020879715.1
OG0003860	ESY10_g14618_DN3_SP0_c0.t1	XP_020880769.1
OG0003861	ESY3_g27278_DN3_SP7_c0.t1	XP_002863315.1, XP_002885749.1
OG0003862	ESY11_g54761_DN2_SP0_c0.t1, ESY11_g52515_DN1_SP0_c0.t1, ESY11_g52529_DN2_SP0_c0.t1, ESY11_g54760_DN2_SP0_c0.t1, ESY20_g13246_DN3_SP0_c0.t1, ESY2_g34346_DN3_SP0_c0.t1, ESY6_g50271_DN3_SP0_c14.t1	XP_002885641.1
OG0003863	ESY2_g34468_DN3_SP7_c0.t1	XP_002888659.1
OG0003865	ESY9_g44790_DN3_SP1_c0.t1, ESY3_g28805_DN2_SP0_c0.t1, ESY1_g5976_DN2_SP0_c0.t1, ESY2_g36478_DN2_SP0_c0.t1	XP_020885182.1
OG0003866	ESY9_g44614_DN3_SP1_c0.t1, ESY2_g37205_DN3_SP0_c0.t1	XP_002881481.1, XP_020885841.1
OG0003867	ESY8_g59690_DN3_SP8_c0.t1	XP_002878619.1
OG0003868	ESY14_g20905_DN3_SP0_c0.t1, ESY1_g12037_DN3_SP0_c0.t1	XP_020890414.1, XP_020870125.1
OG0003869	ESY14_g20318_DN3_SP0_c0.t1	XP_002891059.1
OG0003870	ESY7_g18685_DN3_SP0_c0.t1	XP_020867037.1
OG0003870	ESY7_g18686_DN3_SP0_c0.t1	XP_020876620.1
OG0003871	ESY8_g59950_DN3_SP0_c0.t1	XP_020865860.1
OG0003872	ESY11_g53077_DN3_SP0_c0.t1, ESY18_g63390_DN3_SP8_c0.t1	XP_020876685.1
OG0003873	ESY11_g54922_DN3_SP0_c0.t1	XP_002886284.1, XP_020883708.1
OG0003874	ESY12_g51606_DN2_SP0_c0.t1	XP_020872500.1, XP_020885656.1
OG0003876	ESY2_g34300_DN3_SP0_c0.t1	XP_002891889.1, XP_020890923.1, XP_020884455.1
OG0003877	ESY12_g51341_DN1_SP0_c0.t1, ESY12_g51353_DN3_SP0_c0.t1, ESY7_g16421_DN2_SP0_c0.t1	XP_020885021.1
OG0003878	ESY12_g51156_DN3_SP8_c0.t1	XP_020884022.1, XP_020889389.1
OG0003879	ESY7_g17250_DN3_SP4_c0.t1	XP_002873792.1, XP_002884347.1
OG0003880	ESY3_g31400_DN3_SP0_c0.t1	XP_020886524.1
OG0003881	ESY3_g30717_DN3_SP6_c0.t1	XP_020887201.1
OG0003882	ESY3_g31248_DN3_SP0_c0.t1, ESY3_g31249_DN3_SP3_c15.t1	XP_020888258.1
OG0003883	ESY11_g53838_DN3_SP0_c0.t1	XP_020876429.1, XP_020888011.1
OG0003884	ESY3_g30619_DN3_SP0_c0.t1	XP_020888770.1
OG0003885	ESY5_g5409_DN3_SP0_c0.t1, ESY5_g5425_DN2_SP0_c0.t1	XP_002892089.1
OG0003886	ESY10_g15884_DN3_SP1_c0.t1	XP_020887232.1, XP_002864143.1
OG0003887	ESY1_g10363_DN3_SP8_c0.t1	XP_002876134.1
OG0003889	ESY5_g4844_DN1_SP0_c0.t1	XP_020868037.1
OG0003890	ESY10_g14773_DN3_SP0_c0.t1	XP_002863802.1, XP_002877389.1
OG0003892	ESY5_g3237_DN2_SP0_c0.t1	XP_020867302.1, XP_020870445.1
OG0003893	ESY5_g3296_DN3_SP0_c26.t1	XP_002892503.2
OG0003894	ESY5_g3319_DN3_SP7_c0.t1	XP_002889758.1
OG0003895	ESY5_g3804_DN2_SP0_c0.t1	XP_002892689.1
OG0003896	ESY5_g4227_DN3_SP0_c0.t1	XP_002890266.1
OG0003897	ESY5_g4161_DN3_SP0_c17.t1, ESY11_g54833_DN3_SP0_c19.t1, ESY11_g54831_DN2_SP0_c26.t1	XP_002890295.1
OG0003898	ESY5_g4135_DN2_SP0_c0.t1	XP_020870017.1, XP_020870018.1
OG0003899	ESY5_g2673_DN3_SP0_c0.t1	XP_002893036.1
OG0003900	ESY20_g13121_DN3_SP0_c0.t1	XP_020878958.1
OG0003901	ESY2_g33653_DN3_SP3_c0.t1	XP_002888014.1, XP_020890186.1
OG0003902	ESY2_g33890_DN3_SP0_c0.t1	XP_002886559.2
OG0003903	ESY2_g34128_DN3_SP0_c2.t1	XP_020890380.1
OG0003903	ESY2_g34126_DN3_SP3_c2.t1	XP_002888226.2
OG0003905	ESY10_g14758_DN3_SP3_c0.t1	XP_020884227.1
OG0003906	ESY8_g59937_DN3_SP8_c0.t1, ESY10_g14452_DN3_SP0_c0.t1, ESY4_g26922_DN2_SP5_c0.t1	XP_002880351.1
OG0003907	ESY1_g8306_DN3_SP0_c0.t1	XP_002877540.1
OG0003908	ESY4_g26251_DN3_SP0_c0.t1	XP_002867008.1
OG0003909	ESY4_g25542_DN3_SP0_c0.t1	XP_020874611.1
OG0003910	ESY4_g25670_DN3_SP5_c0.t1	XP_020875144.1
OG0003911	ESY4_g24824_DN3_SP8_c0.t1	XP_020873219.1
OG0003912	ESY5_g2103_DN3_SP5_c0.t1	XP_020866573.1, XP_020870490.1, XP_020870108.1
OG0003913	ESY4_g23825_DN3_SP8_c0.t1	XP_002869535.1
OG0003914	ESY5_g4787_DN3_SP0_c0.t1	XP_020870366.1, XP_020883517.1
OG0003915	ESY146_g32742_DN2_SP0_c0.t1	YP_009357252.1, XP_002886870.2
OG0003917	ESY14_g20717_DN3_SP0_c0.t1	XP_002874563.1, XP_020868985.1
OG0003920	ESY8_g59685_DN3_SP0_c0.t1	XP_002878621.1
OG0003922	ESY2_g35110_DN3_SP0_c0.t1	XP_020882335.1
OG0003924	ESY4_g24896_DN3_SP0_c31.t1	XP_020866392.1
OG0003925	ESY7_g18646_DN2_SP0_c0.t1	XP_020877227.1, XP_020889024.1, XP_020876616.1
OG0003927	ESY7_g17306_DN3_SP0_c0.t1	XP_020879458.1
OG0003929	ESY11_g54787_DN3_SP1_c0.t1	XP_002874553.1, XP_002872414.1, XP_002872413.1
OG0003931	ESY6_g46334_DN2_SP3_c0.t1	XP_002865863.1
OG0003941	ESY7_g17477_DN3_SP5_c0.t1	XP_020879349.1
OG0003942	ESY7_g17636_DN3_SP0_c0.t1	XP_002871609.1
OG0003943	ESY7_g17709_DN3_SP8_c0.t1	XP_020877238.1
OG0003944	ESY7_g18382_DN3_SP0_c0.t1	XP_002871534.2
OG0003945	ESY6_g49907_DN2_SP0_c0.t1	XP_020877874.1
OG0003946	ESY2_g35444_DN3_SP0_c0.t1	XP_002870395.1, XP_002887249.1
OG0003947	ESY7_g18161_DN1_SP0_c0.t1	XP_020872818.1, XP_020879438.1
OG0003948	ESY7_g18158_DN3_SP7_c0.t1	XP_002873502.1
OG0003949	ESY10_g15573_DN3_SP6_c0.t1	XP_002874369.1
OG0003949	ESY7_g19171_DN3_SP0_c0.t1	XP_002874370.1, XP_020868912.1
OG0003951	ESY6_g50199_DN3_SP7_c0.t1	XP_002872039.1
OG0003952	ESY7_g18648_DN3_SP8_c0.t1	XP_020876800.1
OG0003953	ESY6_g49496_DN3_SP8_c0.t1	XP_020885606.1
OG0003954	ESY10_g14650_DN3_SP0_c11.t1	XP_020873291.1, XP_020889411.1
OG0003955	ESY13_g57032_DN3_SP0_c0.t1, ESY1_g11654_DN2_SP0_c0.t1	XP_020873331.1
OG0003956	ESY8_g59031_DN3_SP0_c0.t1	XP_002880924.1
OG0003957	ESY8_g59021_DN3_SP8_c0.t1	XP_002880983.1, XP_002876387.1
OG0003958	ESY8_g58703_DN3_SP8_c0.t1	XP_002881085.1
OG0003959	ESY20_g12843_DN3_SP8_c0.t1	XP_002879449.1
OG0003960	ESY5_g5049_DN3_SP6_c0.t1, ESY20_g12910_DN3_SP0_c0.t1	XP_002889499.2
OG0003961	ESY13_g56821_DN2_SP8_c0.t1	XP_020873774.1
OG0003962	ESY4_g23253_DN3_SP0_c0.t1	XP_020867238.1, XP_002890820.2
OG0003963	ESY23_g205_DN1_SP0_c0.t1	XP_020866190.1, XP_020866265.1
OG0003964	ESY1_g10743_DN3_SP2_c0.t1	XP_020880024.1
OG0003965	ESY2_g34228_DN2_SP5_c0.t1	XP_020868311.1
OG0003966	ESY3_g32094_DN3_SP0_c0.t1	XP_002882332.1, XP_020865759.1, XP_002866679.1
OG0003967	ESY6_g50723_DN3_SP0_c0.t1, ESY6_g50724_DN3_SP0_c0.t1, ESY4_g24959_DN3_SP0_c0.t1	XP_002866596.1
OG0003968	ESY6_g49635_DN2_SP0_c0.t1	XP_002866570.1
OG0003970	ESY6_g49483_DN3_SP3_c0.t1	XP_020879178.1, XP_002862537.1
OG0003972	ESY6_g49547_DN3_SP0_c0.t1	XP_020883445.1
OG0003973	ESY6_g49568_DN3_SP8_c0.t1, ESY1_g11393_DN2_SP0_c0.t1	XP_002866408.1
OG0003974	ESY6_g50518_DN3_SP8_c0.t1	XP_002872061.1, XP_020885205.1
OG0003975	ESY1_g9313_DN3_SP8_c0.t1	XP_020880788.1
OG0003976	ESY6_g49937_DN3_SP8_c0.t1	XP_002874276.2, XP_020877871.1
OG0003977	ESY6_g49920_DN3_SP0_c14.t1, ESY6_g49918_DN3_SP0_c10.t1	XP_020877840.1
OG0003978	ESY5_g3705_DN3_SP8_c0.t1	XP_020868656.1
OG0003979	ESY6_g48911_DN2_SP0_c0.t1	XP_002875729.1
OG0003980	ESY11_g54681_DN3_SP0_c0.t1, ESY6_g48899_DN3_SP0_c0.t1	XP_020871667.1, XP_020871668.1, XP_020882538.1
OG0003981	ESY10_g13834_DN3_SP1_c0.t1	XP_002875328.1
OG0003983	ESY6_g50537_DN3_SP0_c0.t1, ESY6_g48642_DN3_SP0_c0.t1	XP_002866292.2
OG0003984	ESY6_g48605_DN3_SP1_c0.t1	XP_020871465.1
OG0003985	ESY6_g48454_DN3_SP0_c0.t1, ESY6_g48446_DN3_SP8_c0.t1	XP_020880444.1
OG0003986	ESY6_g48179_DN3_SP0_c0.t1	XP_020872419.1, XP_020886093.1
OG0003987	ESY1_g9366_DN3_SP0_c0.t1	XP_002872419.1, XP_002875937.1
OG0003988	ESY6_g47843_DN3_SP4_c0.t1	XP_020870642.1
OG0003989	ESY7_g18479_DN2_SP0_c0.t1	XP_020878319.1
OG0003990	ESY4_g25667_DN3_SP0_c0.t1	XP_020871107.1, XP_002865960.2
OG0003991	ESY17_g39835_DN3_SP0_c29.t1, ESY21_g55358_DN3_SP0_c29.t1, ESY1_g10644_DN3_SP0_c29.t1, ESY7_g19070_DN2_SP0_c29.t1	XP_002873202.1
OG0003992	ESY7_g18986_DN3_SP8_c0.t1, ESY7_g17272_DN3_SP0_c0.t1	XP_002871127.1
OG0003993	ESY7_g19069_DN3_SP6_c0.t1	XP_002871103.1
OG0003994	ESY7_g19326_DN3_SP1_c0.t1	XP_002873089.1
OG0003995	ESY7_g19511_DN3_SP0_c0.t1	XP_020877057.1
OG0003996	ESY7_g19512_DN3_SP7_c3.t1	XP_020877060.1
OG0003998	ESY3_g31077_DN3_SP8_c0.t1	XP_020888128.1, XP_020888767.1
OG0003999	ESY2_g33827_DN3_SP0_c0.t1	XP_020890063.1
OG0004000	ESY2_g34738_DN3_SP3_c0.t1	XP_020890982.1
OG0004001	ESY2_g34752_DN3_SP0_c14.t1	XP_002889076.1
OG0004002	ESY2_g34815_DN3_SP0_c0.t1	XP_020891282.1, XP_020889883.1
OG0004003	ESY7_g16584_DN3_SP6_c0.t1	XP_020871749.1
OG0004004	ESY2_g36411_DN3_SP3_c0.t1	XP_020868679.1, XP_020866227.1
OG0004005	ESY2_g36403_DN3_SP0_c0.t1	XP_002894552.2, XP_002894551.1, XP_020866537.1
OG0004006	ESY2_g36371_DN3_SP0_c0.t1, ESY2_g36370_DN3_SP0_c0.t1, ESY2_g36363_DN3_SP0_c0.t1	XP_002891856.1
OG0004007	ESY2_g38583_DN1_SP0_c0.t1	XP_002891832.1, XP_020870056.1
OG0004008	ESY2_g36269_DN3_SP0_c0.t1	XP_002891824.1, XP_002891823.1
OG0004009	ESY14_g20918_DN3_SP3_c0.t1	XP_020868447.1
OG0004010	ESY2_g36168_DN3_SP8_c0.t1	XP_002894459.1
OG0004011	ESY2_g33495_DN3_SP5_c0.t1	XP_020884095.1, XP_020884568.1
OG0004012	ESY12_g52171_DN3_SP4_c0.t1	XP_002865952.1
OG0004013	ESY22_g40535_DN3_SP0_c0.t1	XP_002868284.1, XP_020872682.1
OG0004014	ESY22_g40757_DN3_SP0_c0.t1	XP_020875725.1, XP_002868257.1
OG0004015	ESY9_g44788_DN3_SP0_c0.t1, ESY2_g38669_DN3_SP0_c0.t1	XP_020875154.1
OG0004016	ESY2_g35934_DN3_SP7_c0.t1	XP_020891415.1, XP_020891420.1
OG0004017	ESY2_g34954_DN3_SP0_c0.t1	XP_002887535.2
OG0004020	ESY10_g13739_DN3_SP0_c0.t1	XP_002875365.1
OG0004020	ESY8_g60178_DN2_SP0_c0.t1	XP_020875472.1, XP_002868633.1
OG0004021	ESY9_g43600_DN3_SP8_c0.t1	XP_002867829.1
OG0004022	ESY7_g16803_DN2_SP0_c0.t1	XP_020871518.1, XP_002865245.1
OG0004023	ESY3_g29356_DN3_SP8_c0.t1, ESY2_g37489_DN3_SP4_c0.t1	XP_002885334.1
OG0004024	ESY3_g29354_DN3_SP3_c0.t1	XP_020887206.1
OG0004024	ESY2_g37488_DN3_SP1_c0.t1	XP_002894239.1
OG0004025	ESY6_g48873_DN3_SP0_c0.t1	XP_002870056.1, XP_020882904.1
OG0004026	ESY7_g16952_DN3_SP2_c0.t1	XP_002881376.1
OG0004027	ESY10_g15087_DN3_SP0_c0.t1	XP_020881103.1, XP_020875054.1
OG0004028	ESY5_g2993_DN3_SP0_c0.t1	XP_020867470.1
OG0004029	ESY9_g43794_DN3_SP8_c0.t1	XP_020873767.1
OG0004030	ESY4_g24996_DN3_SP0_c0.t1, ESY4_g24994_DN2_SP0_c0.t1, ESY4_g25407_DN3_SP0_c0.t1	XP_002888409.1, XP_020868207.1
OG0004031	ESY2_g33900_DN3_SP0_c0.t1	XP_020888428.1
OG0004032	ESY9_g43233_DN3_SP0_c0.t1	XP_020872854.1
OG0004033	ESY9_g43271_DN3_SP2_c0.t1	XP_002869941.1
OG0004034	ESY9_g42677_DN2_SP0_c9.t1	XP_002867835.1
OG0004035	ESY9_g43581_DN3_SP0_c0.t1, ESY9_g43580_DN3_SP0_c0.t1	XP_002869865.1
OG0004036	ESY3_g29717_DN3_SP0_c0.t1	XP_002867927.1, XP_002868515.2, XP_020887106.1
OG0004037	ESY16_g61472_DN3_SP0_c0.t1	XP_002868133.1
OG0004038	ESY16_g61508_DN3_SP0_c0.t1	XP_002870859.1, XP_020874988.1
OG0004039	ESY3_g32620_DN3_SP3_c0.t1	XP_002882184.1
OG0004040	ESY9_g43413_DN3_SP5_c0.t1, ESY6_g50276_DN3_SP0_c0.t1	XP_002865059.1, XP_002880683.1
OG0004041	ESY1_g12504_DN3_SP8_c0.t1	XP_020881151.1
OG0004041	ESY12_g52269_DN3_SP1_c0.t1	XP_002880320.1
OG0004042	ESY1_g12372_DN3_SP2_c0.t1	XP_020880837.1, XP_020882709.1
OG0004043	ESY8_g59259_DN3_SP1_c0.t1	XP_002878917.1, XP_002869231.1
OG0004044	ESY1_g12293_DN3_SP8_c0.t1	XP_020888392.1, XP_020881459.1
OG0004045	ESY1_g12283_DN3_SP0_c0.t1	XP_020881564.1
OG0004046	ESY7_g16516_DN3_SP0_c0.t1	XP_020879718.1
OG0004047	ESY1_g11689_DN3_SP2_c0.t1	XP_020882293.1
OG0004048	ESY10_g14644_DN3_SP0_c0.t1	XP_002876741.1
OG0004050	ESY1_g11832_DN3_SP0_c0.t1	XP_002876375.1, XP_002893825.1
OG0004051	ESY1_g10984_DN2_SP0_c0.t1	XP_020882247.1
OG0004052	ESY1_g11089_DN3_SP8_c0.t1	XP_002876213.1
OG0004053	ESY1_g11100_DN3_SP8_c0.t1	XP_020880622.1
OG0004054	ESY11_g54533_DN3_SP0_c21.t1, ESY3_g27598_DN3_SP0_c0.t1	XP_002883562.1
OG0004055	ESY2_g36349_DN3_SP5_c0.t1	XP_002894525.1
OG0004055	ESY2_g33792_DN3_SP0_c0.t1	XP_020881559.1, XP_020880079.1
OG0004056	ESY2_g35754_DN3_SP0_c0.t1	XP_020891257.1
OG0004057	ESY8_g58337_DN1_SP0_c0.t1	XP_002881776.1
OG0004058	ESY12_g50908_DN1_SP0_c0.t1	XP_002881725.2
OG0004059	ESY3_g29405_DN1_SP0_c0.t1	XP_002885663.1
OG0004060	ESY8_g59431_DN3_SP0_c0.t1	XP_002880584.1
OG0004061	ESY13_g57135_DN3_SP3_c0.t1	XP_020873264.1
OG0004062	ESY2_g37765_DN3_SP0_c0.t1, ESY2_g37758_DN3_SP0_c0.t1	XP_020869952.1
OG0004063	ESY14_g20156_DN3_SP1_c0.t1	XP_020868494.1
OG0004064	ESY19_g41185_DN3_SP0_c0.t1	XP_020878610.1
OG0004065	ESY18_g63901_DN3_SP8_c0.t1	XP_020878619.1
OG0004066	ESY7_g16868_DN3_SP8_c5.t1	XP_020878273.1
OG0004066	ESY3_g31603_DN3_SP0_c0.t1	XP_020888437.1
OG0004068	ESY3_g31829_DN3_SP0_c0.t1	XP_020889409.1
OG0004069	ESY12_g52216_DN3_SP0_c0.t1	XP_002880299.1
OG0004070	ESY12_g51689_DN3_SP0_c0.t1	XP_020885604.1, XP_020885654.1, XP_020885747.1, XP_020885745.1
OG0004071	ESY9_g43696_DN3_SP8_c0.t1, ESY33_g12624_DN3_SP0_c0.t1	XP_002883894.2, XP_002883895.1
OG0004072	ESY12_g52061_DN3_SP0_c0.t1	XP_020885806.1, XP_002881966.1
OG0004073	ESY12_g52190_DN3_SP8_c0.t1	XP_020883638.1
OG0004074	ESY5_g4372_DN3_SP0_c0.t1	XP_020866812.1
OG0004074	ESY12_g51261_DN2_SP0_c0.t1, ESY12_g51306_DN3_SP0_c0.t1	XP_020883266.1
OG0004076	ESY3_g32377_DN3_SP4_c0.t1, ESY2_g37731_DN1_SP0_c0.t1	XP_020888939.1
OG0004077	ESY3_g32303_DN3_SP0_c0.t1	XP_002884378.1
OG0004078	ESY3_g32153_DN3_SP8_c0.t1	XP_002871808.1, XP_020887014.1
OG0004080	ESY3_g31953_DN3_SP4_c0.t1, ESY3_g29758_DN3_SP0_c0.t1	XP_002884463.1
OG0004080	ESY3_g31954_DN2_SP5_c0.t1	XP_002884462.1
OG0004081	ESY3_g31892_DN3_SP1_c0.t1	XP_002882388.1
OG0004082	ESY3_g31827_DN3_SP1_c0.t1	XP_020886365.1
OG0004083	ESY3_g31793_DN3_SP0_c0.t1	XP_020886543.1
OG0004084	ESY3_g31619_DN3_SP0_c0.t1	XP_002882441.1
OG0004085	ESY3_g31593_DN3_SP6_c0.t1	XP_020887653.1
OG0004085	ESY7_g16887_DN2_SP2_c0.t1	XP_002871871.1
OG0004086	ESY3_g31399_DN3_SP0_c0.t1	XP_002884638.1
OG0004087	ESY3_g30127_DN3_SP0_c0.t1, ESY3_g30128_DN3_SP0_c0.t1	XP_002882794.1
OG0004088	ESY2_g36294_DN3_SP0_c0.t1, ESY3_g30219_DN3_SP1_c0.t1, ESY2_g36295_DN3_SP0_c0.t1	XP_020888088.1
OG0004089	ESY3_g30367_DN3_SP0_c0.t1	XP_002882872.1
OG0004090	ESY3_g30553_DN3_SP0_c0.t1	XP_020875628.1, XP_020889272.1
OG0004091	ESY3_g30653_DN3_SP0_c0.t1	XP_020886107.1
OG0004092	ESY3_g29841_DN3_SP0_c0.t1	XP_002885187.1
OG0004093	ESY3_g29731_DN3_SP1_c0.t1	XP_020887874.1
OG0004094	ESY3_g29373_DN3_SP8_c0.t1	XP_002883201.1
OG0004095	ESY16_g62116_DN3_SP3_c0.t1	XP_002863946.1, XP_002863964.1
OG0004096	ESY2_g35101_DN3_SP0_c0.t1	XP_002877179.2, XP_002877187.2
OG0004097	ESY8_g60794_DN3_SP0_c0.t1	XP_020867887.1, XP_020872980.1
OG0004098	ESY8_g60045_DN3_SP0_c0.t1	XP_020886035.1
OG0004099	ESY3_g28444_DN3_SP0_c0.t1	XP_020887664.1
OG0004100	ESY3_g28883_DN3_SP8_c0.t1	XP_020886932.1
OG0004101	ESY3_g32120_DN3_SP0_c26.t1, ESY18_g63063_DN3_SP0_c90.t1, ESY18_g63065_DN3_SP0_c90.t1, ESY18_g63064_DN3_SP0_c90.t1	XP_002885526.1
OG0004103	ESY4_g24476_DN3_SP2_c0.t1	XP_020874301.1, XP_020865666.1
OG0004104	ESY10_g15887_DN3_SP0_c0.t1, ESY3_g32600_DN3_SP0_c0.t1	XP_020866075.1
OG0004105	ESY10_g15836_DN3_SP0_c0.t1	XP_020876659.1
OG0004106	ESY20_g12927_DN3_SP0_c0.t1	XP_020877836.1
OG0004106	ESY5_g5500_DN3_SP0_c0.t1	XP_002892054.1
OG0004107	ESY5_g5478_DN3_SP1_c0.t1	XP_020870189.1, XP_002894314.1
OG0004108	ESY5_g5074_DN3_SP0_c0.t1, ESY8_g58136_DN3_SP0_c0.t1	XP_020867264.1
OG0004109	ESY5_g4690_DN3_SP0_c0.t1	XP_002889599.1
OG0004111	ESY2_g34240_DN3_SP1_c3.t1, ESY13_g56982_DN2_SP0_c0.t1	XP_002891923.1, XP_020867395.1
OG0004112	ESY7_g16439_DN3_SP1_c0.t1	XP_002874828.2
OG0004113	ESY5_g3592_DN3_SP8_c0.t1	XP_020866421.1
OG0004114	ESY2_g33579_DN3_SP0_c0.t1	XP_002886443.1, XP_002892690.2
OG0004115	ESY5_g2845_DN3_SP0_c0.t1	XP_020866037.1
OG0004116	ESY5_g4264_DN3_SP0_c0.t1	XP_002890252.1
OG0004117	ESY5_g4245_DN3_SP8_c0.t1	XP_020869036.1
OG0004119	ESY15_g65087_DN3_SP1_c0.t1	XP_002865755.1, XP_002865754.1
OG0004120	ESY2_g35674_DN2_SP0_c0.t1, ESY2_g35675_DN3_SP0_c0.t1	XP_020891629.1
OG0004121	ESY2_g35534_DN3_SP0_c0.t1	XP_020865976.1, XP_020870280.1
OG0004122	ESY2_g33561_DN3_SP8_c0.t1	XP_020869515.1, XP_020891635.1
OG0004123	ESY8_g59628_DN3_SP0_c0.t1	XP_020882041.1, XP_020881202.1
OG0004124	ESY2_g33309_DN3_SP0_c13.t1	XP_020890826.1
OG0004125	ESY7_g16522_DN3_SP0_c0.t1	XP_002872757.2, XP_020876434.1
OG0004127	ESY5_g2593_DN2_SP0_c0.t1	XP_020881506.1, XP_020881812.1
OG0004128	ESY7_g16438_DN3_SP7_c0.t1	XP_002872730.1
OG0004128	ESY9_g43647_DN3_SP4_c0.t1, ESY6_g47546_DN3_SP0_c0.t1	XP_002867844.2
OG0004129	ESY2_g38082_DN3_SP0_c0.t1	XP_002894100.1, XP_002878342.1
OG0004130	ESY4_g26526_DN3_SP8_c0.t1	XP_002866945.1
OG0004131	ESY4_g26191_DN3_SP0_c0.t1	XP_020874272.1
OG0004132	ESY9_g43247_DN2_SP0_c0.t1, ESY4_g26110_DN3_SP0_c8.t1	XP_002869052.1
OG0004133	ESY4_g25804_DN3_SP5_c0.t1	XP_002867160.1
OG0004134	ESY2_g35268_DN2_SP0_c0.t1, ESY3_g28192_DN3_SP0_c0.t1	XP_002862408.1, XP_002883466.1
OG0004135	ESY3_g28128_DN3_SP8_c0.t1	XP_002883481.2
OG0004136	ESY20_g12964_DN3_SP7_c0.t1	XP_020875898.1
OG0004137	ESY6_g47057_DN3_SP7_c0.t1	XP_020889429.1, XP_020872084.1
OG0004138	ESY2_g34115_DN2_SP0_c0.t1	XP_002890609.1
OG0004138	ESY7_g16148_DN1_SP0_c0.t1	XP_002890608.1
OG0004138	ESY7_g16149_DN1_SP0_c0.t1	XP_020870758.1
OG0004141	ESY2_g34272_DN3_SP0_c0.t1, ESY2_g34275_DN3_SP0_c0.t1	XP_002894596.1, XP_002891904.1
OG0004144	ESY7_g18039_DN1_SP0_c0.t1, ESY7_g16433_DN2_SP0_c0.t1, ESY7_g18170_DN2_SP0_c0.t1	XP_020887756.1, XP_020886266.1
OG0004145	ESY6_g47787_DN1_SP0_c66.t1	XP_020866275.1, XP_020884956.1, XP_020885830.1
OG0004146	ESY8_g58857_DN3_SP0_c0.t1, ESY5_g4501_DN1_SP0_c0.t1	XP_020885049.1
OG0004147	ESY8_g58355_DN2_SP0_c0.t1	XP_002881213.2, XP_002875605.1
OG0004148	ESY10_g14645_DN3_SP0_c0.t1	XP_020881286.1
OG0004149	ESY21_g55698_DN3_SP3_c0.t1	XP_002875411.1
OG0004152	ESY21_g55164_DN3_SP0_c0.t1	XP_002874542.1
OG0004153	ESY16_g62254_DN3_SP0_c0.t1	XP_020873717.1
OG0004154	ESY8_g60713_DN1_SP0_c0.t1	XP_002874105.1, XP_002866362.1
OG0004155	ESY3_g29020_DN2_SP0_c0.t1, ESY7_g16574_DN1_SP0_c0.t1, ESY7_g16596_DN2_SP0_c0.t1	XP_002866543.1, XP_002862246.1, XP_002866544.1, XP_002862245.1
OG0004156	ESY18_g63417_DN1_SP0_c0.t1	XP_020891755.1, XP_002872586.1
OG0004156	ESY3_g31590_DN3_SP0_c0.t1	XP_020885891.1
OG0004157	ESY1_g5634_DN3_SP2_c0.t1	XP_002879514.1
OG0004165	ESY4_g24642_DN3_SP5_c0.t1	XP_002878710.1, XP_002869375.1
OG0004166	ESY4_g24647_DN3_SP1_c0.t1	XP_002869373.1
OG0004167	ESY4_g24663_DN3_SP0_c0.t1	XP_002867338.1
OG0004168	ESY6_g49725_DN3_SP5_c0.t1	XP_020891712.1, XP_020880358.1
OG0004169	ESY7_g17182_DN3_SP0_c0.t1	XP_020879177.1
OG0004170	ESY7_g17245_DN3_SP6_c0.t1	XP_020878112.1
OG0004172	ESY6_g49657_DN3_SP0_c0.t1, ESY6_g50730_DN3_SP0_c0.t1, ESY6_g49656_DN3_SP0_c7.t1	XP_020871503.1
OG0004173	ESY7_g17374_DN3_SP0_c0.t1	XP_020876601.1
OG0004174	ESY7_g17484_DN2_SP8_c0.t1	XP_002873710.1
OG0004175	ESY7_g17504_DN3_SP6_c0.t1	XP_020879202.1
OG0004176	ESY7_g18875_DN3_SP0_c0.t1, ESY7_g18874_DN2_SP0_c0.t1	XP_002871643.1, XP_020878839.1, XP_002886951.1
OG0004177	ESY5_g2019_DN3_SP0_c0.t1	XP_002893289.1
OG0004178	ESY7_g17669_DN3_SP0_c0.t1	XP_002871597.1
OG0004180	ESY7_g18131_DN3_SP0_c0.t1	XP_020878772.1
OG0004181	ESY2_g34558_DN3_SP0_c0.t1	XP_002877154.1
OG0004182	ESY7_g18091_DN3_SP2_c0.t1	XP_020876712.1
