Orthogroup	Noccaea_praecox	Cardamine_amara
OG0002291	Np005G263170	evm.model.RL_2.2821
OG0002291	Np006G362890	evm.model.RL_6.536
OG0002292	Np003G141540	evm.model.RL_4.2167
OG0002292	Np007G424860	evm.model.RL_1.61
OG0002293	Np007G424090	evm.model.RL_1.118, evm.model.RL_1.166
OG0002293	Np003G142380	evm.model.RL_4.2089
OG0002294	Np003G143280	evm.model.RL_4.2015
OG0002294	Np003G187980, Np007G423190	evm.model.RL_1.180
OG0002295	Np003G143500	evm.model.RL_4.1995
OG0002295	Np007G423050	evm.model.RL_1.197
OG0002296	Np007G422840	evm.model.RL_1.217
OG0002297	Np003G143960	evm.model.RL_4.1960
OG0002298	Np003G144880	evm.model.RL_4.1888
OG0002298	Np007G422080	evm.model.RL_1.268
OG0002300	Np001G016550	evm.model.RL_4.911
OG0002301	Np007G416270	evm.model.RL_1.636
OG0002301	Np001G016790	evm.model.RL_4.879.1.687c86d0
OG0002302	Np006G337860	evm.model.RL_6.1806
OG0002302	Np001G056130	evm.model.RL_7.1057
OG0002303	Np002G070950	evm.model.RL_3.2427
OG0002303	Np004G240610	evm.model.RL_5.1424
OG0002304	Np004G239970	evm.model.RL_5.1477
OG0002304	Np002G072080	evm.model.RL_3.2353
OG0002305	Np002G072390	evm.model.RL_3.2329.4.687c84be
OG0002305	Np004G239800, Np004G239830	evm.model.RL_5.1489
OG0002306	Np004G239520	evm.model.RL_5.1509
OG0002306	Np002G072680	evm.model.RL_3.2308
OG0002307	Np004G236980	evm.model.RL_5.1709
OG0002308	Np004G234290	evm.model.RL_5.3635
OG0002308	Np002G076050	evm.model.RL_3.2077
OG0002309	Np004G233300	evm.model.RL_5.3570
OG0002309	Np002G074720	evm.model.RL_3.2163
OG0002310	Np004G232850	evm.model.RL_5.3561
OG0002310	Np002G074500	evm.model.RL_3.2175
OG0002311	Np002G085560	evm.model.RL_3.1423
OG0002312	Np004G228820	evm.model.RL_5.3376
OG0002312	Np002G085720	evm.model.RL_3.1410
OG0002313	Np002G087560	evm.model.RL_3.1297
OG0002314	Np004G209920	evm.model.RL_5.3173
OG0002314	Np002G091280	evm.model.RL_3.1139
OG0002315	Np005G273280	evm.model.RL_2.2557
OG0002316	Np004G250260	evm.model.RL_5.758
OG0002316	Np002G106240	evm.model.RL_3.739
OG0002318	Np004G190360, Np004G190350	evm.model.RL_3.517
OG0002318	Np004G190340	evm.model.RL_5.3983
OG0002319	Np004G257660	evm.model.RL_5.131_evm.model.RL_5.132.1.687c9b49
OG0002320	Np003G188370	evm.model.RL_8.131
OG0002320	Np004G258770	evm.model.RL_5.40
OG0002321	Np007G408920	evm.model.RL_1.1151
OG0002321	Np003G140360	evm.model.RL_4.2270
OG0002322	Np003G130130, Np003G130150, Np003G130140	evm.model.RL_3.1701, evm.model.RL_3.1677
OG0002324	Np002G083980	evm.model.RL_3.1523, evm.model.RL_3.1521_evm.model.RL_3.1522
OG0002325	Np007G407990	evm.model.RL_1.1220
OG0002325	Np004G190530	evm.model.RL_5.3970
OG0002326	Np007G407680	evm.model.RL_1.1246
OG0002326	Np004G190840	evm.model.RL_5.3943
OG0002327	Np004G192510	evm.model.RL_5.3838
OG0002327	Np007G405630	evm.model.RL_1.1365
OG0002328	Np007G402800	evm.model.RL_1.1496.2.687c87ed
OG0002328	Np004G194190	evm.model.RL_5.3728
OG0002329	Np007G394150	evm.model.RL_1.1744
OG0002329	Np004G199000	evm.model.RL_5.2135
OG0002330	Np007G394320	evm.model.RL_1.1752
OG0002331	Np007G380830	evm.model.RL_1.2030
OG0002331	Np004G195560	evm.model.RL_5.1922
OG0002333	Np005G264750	evm.model.RL_2.2966
OG0002333	Np007G378040	evm.model.RL_1.2780
OG0002334	Np007G371750	evm.model.RL_1.3260
OG0002334	Np005G276630	evm.model.RL_2.2340
OG0002335	Np004G194660	evm.model.RL_5.1863
OG0002335	Np007G390360	evm.model.RL_1.1534
OG0002336	Np007G390380	evm.model.RL_1.1536
OG0002337	Np001G054590	evm.model.RL_7.1142
OG0002337	Np006G339750	evm.model.RL_6.1692
OG0002338	Np001G060100	evm.model.RL_7.753
OG0002338	Np006G331840	evm.model.RL_6.2151
OG0002339	Np006G330260	evm.model.RL_6.2267
OG0002339	Np001G061630	evm.model.RL_7.657
OG0002344	Np003G157090	evm.model.RL_8.1756, evm.model.RL_8.1755
OG0002345	Np004G229710	evm.model.RL_5.3395
OG0002345	Np004G229720	evm.model.RL_5.3394
OG0002345	Np004G229730	evm.model.RL_5.3396
OG0002348	Np005G276480	evm.model.RL_2.2356
OG0002349	Np005G276260	evm.model.RL_2.2372.2.687c86e5
OG0002349	Np007G372070	evm.model.RL_1.3220
OG0002350	Np007G372730	evm.model.RL_1.3158
OG0002351	Np006G366410	evm.model.RL_6.292
OG0002352	Np006G365780	evm.model.RL_6.330
OG0002352	Np005G272230	evm.model.RL_2.2631
OG0002353	Np005G266000	evm.model.RL_2.3040
OG0002354	Np004G215910	evm.model.RL_5.2803, evm.model.RL_6.1649
OG0002355	Np002G106320	evm.model.RL_3.736
OG0002355	Np007G419130	evm.model.RL_1.448
OG0002356	Np004G249370	evm.model.RL_5.829
OG0002357	Np001G062730	evm.model.RL_7.561
OG0002357	Np004G248260	evm.model.RL_5.912
OG0002358	Np004G241810	evm.model.RL_5.1318
OG0002359	Np004G242120	evm.model.RL_5.1301
OG0002359	Np001G025890	evm.model.RL_7.2599
OG0002360	Np001G025650	evm.model.RL_7.2593, evm.model.RL_7.2592
OG0002361	Np005G318190	evm.model.RL_2.63
OG0002361	Np001G020930	evm.model.RL_7.2281
OG0002362	Np001G020570	evm.model.RL_7.2255
OG0002362	Np005G317680	evm.model.RL_2.31
OG0002363	Np001G020200	evm.model.RL_7.2221
OG0002364	Np002G097210, Np002G089910	evm.model.RL_3.964
OG0002364	Np002G097280	evm.model.RL_3.963
OG0002365	Np002G099790	evm.model.RL_3.803
OG0002365	Np005G310670	evm.model.RL_2.581
OG0002366	Np004G245070	evm.model.RL_5.1124
OG0002366	Np002G121370	evm.model.RL_3.183
OG0002367	Np003G157490	evm.model.RL_8.1726
OG0002367	Np005G279400	evm.model.RL_2.2150
OG0002368	Np006G330680	evm.model.RL_6.2231
OG0002368	Np001G047730, Np001G061330	evm.model.RL_7.680.1.687c84b5
OG0002369	Np006G331340	evm.model.RL_6.2183
OG0002369	Np006G331330	evm.model.RL_6.2184
OG0002370	Np007G413530	evm.model.RL_1.838
OG0002371	Np003G127820	evm.model.RL_4.3181
OG0002372	Np007G411030	evm.model.RL_1.1010
OG0002372	Np003G130360	evm.model.RL_4.3005
OG0002373	Np007G409320	evm.model.RL_1.1122
OG0002374	Np003G174130	evm.model.RL_8.1086
OG0002375	Np005G283800	evm.model.RL_2.1852
OG0002375	Np003G184490	evm.model.RL_8.1234
OG0002376	Np005G280650	evm.model.RL_2.2066
OG0002376	Np003G166460	evm.model.RL_8.1315
OG0002377	Np005G277980	evm.model.RL_2.2256
OG0002378	Np005G278460	evm.model.RL_2.2225
OG0002378	Np003G163440	evm.model.RL_8.1567.1.687c855c
OG0002379	Np005G279720	evm.model.RL_2.2129
OG0002379	Np003G156760	evm.model.RL_8.1772
OG0002380	Np001G003880	evm.model.RL_8.2569
OG0002380	Np003G136200	evm.model.RL_4.2589
OG0002381	Np001G005620	evm.model.RL_8.2433
OG0002382	Np003G133860	evm.model.RL_4.2768
OG0002382	Np001G009440	evm.model.RL_8.2197
OG0002383	Np005G291540	evm.model.RL_2.1406
OG0002384	Np001G039550	evm.model.RL_4.408
OG0002384	Np005G288370	evm.model.RL_2.1579
OG0002385	Np003G184930	evm.model.RL_8.396
OG0002385	Np005G287430	evm.model.RL_2.1616
OG0002386	Np003G182650, Np003G182640	evm.model.RL_8.526, evm.model.RL_8.527, evm.model.RL_8.528
OG0002387	Np005G268970	evm.model.RL_2.3241
OG0002387	Np006G367470	evm.model.RL_6.229
OG0002388	Np005G269360	evm.model.RL_2.3261
OG0002388	Np006G367760	evm.model.RL_6.215
OG0002389	Np005G292540	evm.model.RL_2.3497
OG0002390	Np006G340690	evm.model.RL_6.1617
OG0002390	Np004G205330	evm.model.RL_5.2706
OG0002391	Np003G178320	evm.model.RL_8.751
OG0002392	Np005G287440	evm.model.RL_2.1617
OG0002392	Np003G184900	evm.model.RL_8.399
OG0002393	Np005G308240	evm.model.RL_2.815.1.687c86e1
OG0002393	Np007G387610	evm.model.RL_1.2386
OG0002394	Np005G308810	evm.model.RL_2.835
OG0002394	Np007G386990	evm.model.RL_1.2340
OG0002395	Np007G386740	evm.model.RL_1.2327
OG0002396	Np007G384490	evm.model.RL_1.2231
OG0002396	Np005G305570	evm.model.RL_2.956
OG0002397	Np005G318020	evm.model.RL_2.51
OG0002397	Np001G020830	evm.model.RL_7.2270
OG0002398	Np006G320370	evm.model.RL_6.2964
OG0002398	Np001G069510	evm.model.RL_7.56
OG0002399	Np006G320970	evm.model.RL_7.86
OG0002400	Np006G322910	evm.model.RL_6.2786
OG0002400	Np001G067680, Np001G067700	evm.model.RL_7.202
OG0002401	Np006G323630	evm.model.RL_6.2727
OG0002401	Np001G067030	evm.model.RL_7.247
OG0002402	Np006G324180	evm.model.RL_6.2688
OG0002402	Np001G066780	evm.model.RL_7.273, evm.model.RL_7.269
OG0002403	Np002G080440	evm.model.RL_3.1776
OG0002403	Np004G237860	evm.model.RL_5.1632
OG0002404	Np006G326940	evm.model.RL_4.1329
OG0002406	Np003G148770	evm.model.RL_4.1600
OG0002406	Np001G043070	evm.model.RL_7.1941
OG0002408	Np001G044940	evm.model.RL_7.1822
OG0002410	Np001G050980	evm.model.RL_7.1408
OG0002410	Np001G002380	evm.model.RL_8.2693
OG0002411	Np002G081870	evm.model.RL_3.1674
OG0002412	Np004G259370	evm.model.RL_8.2883
OG0002413	Np004G259150	evm.model.RL_8.2866
OG0002414	Np004G257040	evm.model.RL_5.200
OG0002414	Np003G185740	evm.model.RL_8.332
OG0002415	Np001G040640	evm.model.RL_4.485
OG0002416	Np001G041240	evm.model.RL_4.532
OG0002417	Np006G357420	evm.model.RL_6.1371
OG0002417	Np004G255260	evm.model.RL_5.346
OG0002418	Np006G355890	evm.model.RL_6.1291
OG0002418	Np004G254360	evm.model.RL_5.416
OG0002419	Np004G252960	evm.model.RL_5.530
OG0002419	Np006G353580, Np006G347200	evm.model.RL_6.1152
OG0002420	Np006G358600	evm.model.RL_6.892, evm.model.RL_6.891
OG0002420	Np006G358610	evm.model.RL_6.893
OG0002421	Np006G358020	evm.model.RL_6.864, evm.model.RL_6.851
OG0002421	Np004G251080	evm.model.RL_5.684
OG0002422	Np003G161230	evm.model.RL_8.1570
OG0002422	Np005G278490	evm.model.RL_2.2222.1.687c86e5
OG0002423	Np007G423800	evm.model.RL_1.128
OG0002423	Np003G142510	evm.model.RL_4.2079
OG0002424	Np003G142790	evm.model.RL_4.2052
OG0002424	Np007G423490	evm.model.RL_1.151
OG0002425	Np007G423420, Np007G423410	evm.model.RL_1.161
OG0002425	Np003G142930	evm.model.RL_7.2331, evm.model.RL_4.2045
OG0002426	Np007G423350	evm.model.RL_1.167
OG0002426	Np003G143040	evm.model.RL_4.2036
OG0002427	Np007G422540	evm.model.RL_1.234
OG0002427	Np003G144260	evm.model.RL_4.1937
OG0002428	Np007G421390	evm.model.RL_1.310
OG0002430	Np007G414380	evm.model.RL_1.772
OG0002430	Np007G414390	evm.model.RL_1.771
OG0002431	Np001G058890	evm.model.RL_7.831
OG0002431	Np006G333700	evm.model.RL_6.2061
OG0002432	Np006G333820	evm.model.RL_6.2052
OG0002432	Np006G333800	evm.model.RL_6.2053
OG0002433	Np004G240420	evm.model.RL_5.1441
OG0002434	Np002G072700	evm.model.RL_3.2306
OG0002435	Np002G080860	evm.model.RL_3.1768
OG0002435	Np004G237650	evm.model.RL_5.1648
OG0002436	Np004G233460	evm.model.RL_5.3578
OG0002436	Np002G074910	evm.model.RL_3.2154
OG0002437	Np004G232620	evm.model.RL_5.3546
OG0002437	Np002G073930	evm.model.RL_3.2201
OG0002438	Np004G232500	evm.model.RL_5.3535
OG0002439	Np002G082820	evm.model.RL_3.1609
OG0002439	Np004G232070	evm.model.RL_5.3512
OG0002440	Np004G189980, Np005G307140	evm.model.RL_7.1834, evm.model.RL_7.2296, evm.model.RL_7.5
OG0002441	Np004G231070	evm.model.RL_5.3460
OG0002442	Np004G230110	evm.model.RL_5.3412
OG0002443	Np004G226380	evm.model.RL_5.3305
OG0002443	Np002G087020	evm.model.RL_3.1332
OG0002444	Np002G088710	evm.model.RL_3.1256.1.687c84bb
OG0002444	Np004G208880	evm.model.RL_5.3254.1.687c88c1
OG0002445	Np003G166990	evm.model.RL_8.1302.1.687c855b
OG0002445	Np005G280670	evm.model.RL_2.2062
OG0002446	Np005G277350	evm.model.RL_2.2286
OG0002446	Np003G163730	evm.model.RL_8.1449
OG0002447	Np005G270010	evm.model.RL_2.2775
OG0002447	Np006G363610	evm.model.RL_6.483
OG0002448	Np001G052080	evm.model.RL_7.1327
OG0002449	Np004G244560	evm.model.RL_5.1150
OG0002450	Np004G251240	evm.model.RL_5.662, evm.model.RL_5.664
OG0002451	Np004G251370	evm.model.RL_5.651
OG0002451	Np006G359060	evm.model.RL_6.932
OG0002452	Np004G252200	evm.model.RL_5.587
OG0002453	Np003G186220	evm.model.RL_8.292
OG0002453	Np004G257330	evm.model.RL_5.166
OG0002454	Np004G257340	evm.model.RL_5.165.1.687c88aa
OG0002454	Np003G186250	evm.model.RL_8.288
OG0002455	Np005G302130, Np003G144230, Np003G144240	evm.model.RL_4.1938, evm.model.RL_4.1940, evm.model.RL_4.1939
OG0002456	Np003G145390	evm.model.RL_4.1842
OG0002456	Np003G145560	evm.model.RL_4.1840
OG0002458	Np001G057960, Np001G057930	evm.model.RL_7.902_evm.model.RL_7.903
OG0002459	Np001G006830, Np001G006740	evm.model.RL_8.2361, evm.model.RL_8.2360
OG0002460	Np003G132870	evm.model.RL_4.2838
OG0002461	Np001G053110	evm.model.RL_7.1249
OG0002462	Np002G076370	evm.model.RL_3.2061
OG0002462	Np004G234520	evm.model.RL_5.3654
OG0002463	Np004G234910	evm.model.RL_5.3679.1.687c88c4
OG0002464	Np002G079350	evm.model.RL_3.1850
OG0002465	Np004G240950	evm.model.RL_5.1391
OG0002466	Np004G191820	evm.model.RL_5.3878
OG0002467	Np004G192320	evm.model.RL_1.1356
OG0002468	Np004G193420	evm.model.RL_8.78, evm.model.RL_5.3778
OG0002469	Np005G301260	evm.model.RL_2.1152
OG0002469	Np007G391620	evm.model.RL_1.1612
OG0002470	Np007G392600	evm.model.RL_1.1666
OG0002470	Np004G199740	evm.model.RL_5.2187
OG0002472	Np007G393040	evm.model.RL_1.1694
OG0002472	Np004G199480	evm.model.RL_5.2169
OG0002473	Np007G393530	evm.model.RL_1.1710
OG0002473	Np004G199260	evm.model.RL_5.2151
OG0002474	Np005G304050	evm.model.RL_2.1015
OG0002474	Np007G383310	evm.model.RL_1.2160
OG0002475	Np005G305090	evm.model.RL_2.969
OG0002475	Np007G384030	evm.model.RL_1.2204
OG0002476	Np009G432640, Np004G224230, Np007G401350, Np002G109880, Np002G110290, Np002G108830, Np007G401400	evm.model.RL_1.2872
OG0002476	Np007G400660, Np002G100950	evm.model.RL_2.689, evm.model.RL_5.2505
OG0002477	Np005G276250	evm.model.RL_2.2373
OG0002478	Np007G404780	evm.model.RL_1.1420
OG0002478	Np004G193300	evm.model.RL_5.3784
OG0002479	Np006G341690	evm.model.RL_6.1561
OG0002480	Np006G331070	evm.model.RL_6.2206
OG0002482	Np001G033140, Np001G033130	evm.model.RL_4.81, evm.model.RL_4.84
OG0002483	Np004G190850	evm.model.RL_1.2727, evm.model.RL_5.3942
OG0002488	Np007G418080, Np007G418070	evm.model.RL_1.509
OG0002490	Np007G376010	evm.model.RL_3.1727, evm.model.RL_6.768
OG0002494	Np007G371610	evm.model.RL_1.3280
OG0002494	Np005G276740	evm.model.RL_2.2331
OG0002495	Np005G275890	evm.model.RL_2.2400, evm.model.RL_2.2402
OG0002496	Np006G370130	evm.model.RL_6.78
OG0002496	Np005G261370	evm.model.RL_2.3403
OG0002497	Np003G156460	evm.model.RL_8.1786
OG0002497	Np005G271710	evm.model.RL_2.2661
OG0002498	Np005G271620	evm.model.RL_2.2670
OG0002498	Np006G365470	evm.model.RL_6.360
OG0002499	Np003G150290	evm.model.RL_4.1493
OG0002499	Np001G043930	evm.model.RL_7.1924
OG0002500	Np005G264460, Np007G378280	evm.model.RL_1.2744
OG0002502	Np006G340770	evm.model.RL_6.1610
OG0002504	Np004G249190	evm.model.RL_5.846
OG0002505	Np004G248490	evm.model.RL_5.896
OG0002505	Np002G114670	evm.model.RL_3.525
OG0002506	Np002G115760, Np003G171450	evm.model.RL_3.478
OG0002507	Np001G025360	evm.model.RL_7.2584
OG0002507	Np004G242250	evm.model.RL_5.1288
OG0002508	Np001G024780	evm.model.RL_7.2536
OG0002508	Np004G242820	evm.model.RL_5.1244
OG0002510	Np004G244580	evm.model.RL_5.1148
OG0002511	Np004G213820	evm.model.RL_7.2139, evm.model.RL_7.2140
OG0002512	Np001G065340	evm.model.RL_7.359
OG0002512	Np004G190810	evm.model.RL_5.3945
OG0002513	Np007G411370	evm.model.RL_1.983
OG0002513	Np003G129710	evm.model.RL_4.3042
OG0002514	Np004G195410	evm.model.RL_4.2988
OG0002515	Np007G410140	evm.model.RL_1.1069
OG0002516	Np005G280310, Np005G280330	evm.model.RL_2.2082_evm.model.RL_2.2084.1.687c99f9
OG0002517	Np005G277310	evm.model.RL_2.2290
OG0002517	Np003G163760	evm.model.RL_8.1446
OG0002518	Np005G278950	evm.model.RL_2.2183
OG0002519	Np005G278960	evm.model.RL_2.2181
OG0002519	Np003G159430	evm.model.RL_8.1640
OG0002520	Np003G158550	evm.model.RL_8.1678
OG0002520	Np005G279050	evm.model.RL_2.2175
OG0002521	Np003G138860	evm.model.RL_4.2383, evm.model.RL_4.2382
OG0002522	Np003G135770	evm.model.RL_4.2627
OG0002522	Np001G004530	evm.model.RL_8.2523
OG0002523	Np005G295390	evm.model.RL_2.1293
OG0002524	Np003G181760	evm.model.RL_8.568
OG0002524	Np005G284710	evm.model.RL_2.1787
OG0002525	Np003G176410	evm.model.RL_8.844
OG0002525	Np004G204340	evm.model.RL_5.2473
OG0002526	Np004G214030	evm.model.RL_5.2877
OG0002526	Np005G281080	evm.model.RL_2.2036
OG0002527	Np006G322150, Np006G341070	evm.model.RL_6.1582
OG0002527	Np004G214800	evm.model.RL_5.2840
OG0002528	Np007G375180	evm.model.RL_1.2974
OG0002528	Np005G267680	evm.model.RL_2.3138
OG0002529	Np005G268930	evm.model.RL_2.3237
OG0002529	Np006G367250	evm.model.RL_6.235
OG0002530	Np006G368020	evm.model.RL_6.202
OG0002530	Np005G269580	evm.model.RL_2.3276
OG0002531	Np005G262240	evm.model.RL_2.3341
OG0002533	Np005G260200	evm.model.RL_7.1770
OG0002534	Np003G176330, Np003G176340	evm.model.RL_8.850
OG0002535	Np003G181440	evm.model.RL_8.599
OG0002535	Np005G284440	evm.model.RL_2.1809
OG0002536	Np003G182710	evm.model.RL_8.522
OG0002537	Np003G182990	evm.model.RL_8.509
OG0002538	Np005G306370	evm.model.RL_2.907
OG0002539	Np005G305330	evm.model.RL_2.964
OG0002539	Np005G305340, Np004G228750	evm.model.RL_2.963
OG0002540	Np005G302750, Np005G302700, Np005G302530, Np005G302710	evm.model.RL_2.1082, evm.model.RL_2.1081
OG0002542	Np006G323160	evm.model.RL_6.2760
OG0002542	Np001G067430	evm.model.RL_7.217.1.687c84b3
OG0002543	Np006G323690	evm.model.RL_6.2723
OG0002543	Np001G066950	evm.model.RL_7.254
OG0002544	Np006G326380	evm.model.RL_6.2509
OG0002544	Np001G065100	evm.model.RL_7.381
OG0002545	Np006G329850	evm.model.RL_6.2292
OG0002546	Np006G329710, Np004G225580	evm.model.RL_5.3246
OG0002547	Np001G061750	evm.model.RL_7.646.1.687c84b5
OG0002547	Np006G330130	evm.model.RL_6.2275
OG0002548	Np006G335400	evm.model.RL_6.1954
OG0002548	Np003G127990	evm.model.RL_4.3174
OG0002549	Np006G332490, Np006G332550, Np001G056730	evm.model.RL_6.2114
OG0002550	Np001G043100	evm.model.RL_4.1596
OG0002551	Np001G046370	evm.model.RL_7.1709
OG0002551	Np003G152850	evm.model.RL_8.2036
OG0002553	Np001G001680	evm.model.RL_8.2743
OG0002553	Np001G051690	evm.model.RL_7.1357
OG0002555	Np003G188190	evm.model.RL_8.149
OG0002555	Np004G258550	evm.model.RL_5.59
OG0002556	Np003G187900	evm.model.RL_8.218
OG0002557	Np004G253800	evm.model.RL_5.452
OG0002557	Np006G355200	evm.model.RL_6.1244
OG0002558	Np005G278570	evm.model.RL_7.1324, evm.model.RL_2.2217, evm.model.RL_2.2146, evm.model.RL_7.1323
OG0002559	Np007G424830	evm.model.RL_1.66
OG0002559	Np003G141610	evm.model.RL_4.2160
OG0002561	Np003G143780	evm.model.RL_4.1976
OG0002561	Np007G422890	evm.model.RL_1.213.2.687c87ea
OG0002562	Np001G015530	evm.model.RL_4.992
OG0002562	Np007G419610	evm.model.RL_1.411
OG0002563	Np007G419490	evm.model.RL_1.417
OG0002565	Np001G054710	evm.model.RL_7.1129, evm.model.RL_6.1701
OG0002566	Np006G337160, Np006G337170	evm.model.RL_6.1836
OG0002567	Np004G239960	evm.model.RL_5.1478
OG0002567	Np002G072090	evm.model.RL_3.2352
OG0002568	Np002G078080	evm.model.RL_3.1951.1.687c84bd
OG0002568	Np004G235860	evm.model.RL_5.3586, evm.model.RL_5.1796.2.687c88b6
OG0002569	Np002G076970	evm.model.RL_3.2022
OG0002570	Np002G076840	evm.model.RL_3.2032
OG0002571	Np002G076320	evm.model.RL_3.2063
OG0002571	Np004G234490	evm.model.RL_5.3651
OG0002572	Np004G233750	evm.model.RL_5.3594
OG0002573	Np002G085750	evm.model.RL_3.1407
OG0002573	Np004G228740	evm.model.RL_5.3370
OG0002574	Np004G208860	evm.model.RL_5.3256
OG0002574	Np002G088720	evm.model.RL_3.1255
OG0002575	Np004G227690	evm.model.RL_5.3357
OG0002577	Np006G364060	evm.model.RL_5.596, evm.model.RL_5.597
OG0002579	Np005G305620, Np004G253660	evm.model.RL_5.467
OG0002580	Np006G355950	evm.model.RL_6.1294
OG0002580	Np004G254430	evm.model.RL_5.412
OG0002581	Np004G258440	evm.model.RL_5.70
OG0002582	Np006G331850	evm.model.RL_1.2557, evm.model.RL_6.2150
OG0002583	Np001G050550	evm.model.RL_7.1441
OG0002583	Np001G011970	evm.model.RL_4.1260
OG0002584	Np001G046950	evm.model.RL_7.1662
OG0002584	Np003G153990	evm.model.RL_8.1962.2.687c855e, evm.model.RL_8.1996
OG0002586	Np002G088920	evm.model.RL_3.1241, evm.model.RL_7.1772, evm.model.RL_7.1771
OG0002587	Np004G235750	evm.model.RL_5.1806
OG0002587	Np002G077950	evm.model.RL_3.1963
OG0002588	Np002G079390	evm.model.RL_3.1845
OG0002588	Np004G237070	evm.model.RL_5.1684
OG0002589	Np004G238490	evm.model.RL_5.1591
OG0002589	Np002G081980	evm.model.RL_3.1667
OG0002590	Np007G406030	evm.model.RL_1.1331
OG0002590	Np004G192020	evm.model.RL_5.3867
OG0002591	Np007G407450	evm.model.RL_1.1260
OG0002591	Np004G191180	evm.model.RL_5.3921
OG0002592	Np004G191920	evm.model.RL_5.3873
OG0002592	Np007G406150	evm.model.RL_1.1323
OG0002593	Np004G193850	evm.model.RL_5.3752
OG0002593	Np007G403660	evm.model.RL_1.1475
OG0002594	Np004G194100	evm.model.RL_5.3734
OG0002595	Np004G194640	evm.model.RL_5.1862
OG0002596	Np007G391410	evm.model.RL_1.1592
OG0002596	Np005G301700	evm.model.RL_2.1132
OG0002597	Np007G392310	evm.model.RL_1.1648
OG0002597	Np004G200050	evm.model.RL_5.2209
OG0002598	Np007G393210	evm.model.RL_1.1701
OG0002600	Np007G423500	evm.model.RL_1.150
OG0002601	Np006G363700	evm.model.RL_6.473
OG0002601	Np005G270200	evm.model.RL_2.2758
OG0002602	Np007G408180	evm.model.RL_1.1208
OG0002603	Np007G380690	evm.model.RL_1.2022
OG0002603	Np004G195680	evm.model.RL_5.1929
OG0002604	Np004G198390	evm.model.RL_5.2094, evm.model.RL_5.2093
OG0002605	Np001G060610	evm.model.RL_7.724
OG0002605	Np006G330990	evm.model.RL_6.2208
OG0002606	Np001G062750	evm.model.RL_7.559
OG0002607	Np001G065560	evm.model.RL_7.351.1.687c84b4
OG0002608	Np007G383920	evm.model.RL_1.2191
OG0002609	Np001G005560	evm.model.RL_8.2438
OG0002609	Np004G229030	evm.model.RL_7.130
OG0002610	Np002G113040	evm.model.RL_2.1337
OG0002610	Np001G035880	evm.model.RL_4.204
OG0002611	Np006G334690, Np006G334670	evm.model.RL_6.2001
OG0002612	Np005G270380	evm.model.RL_2.2742, evm.model.RL_2.2743
OG0002613	Np004G256680, Np004G256710	evm.model.RL_5.227
OG0002614	Np001G021980	evm.model.RL_7.2346
OG0002617	Np005G312830	evm.model.RL_5.2020, evm.model.RL_5.2320
OG0002618	Np001G005410	evm.model.RL_8.2444, evm.model.RL_8.2445
OG0002622	Np005G275950	evm.model.RL_2.2396
OG0002623	Np006G365970	evm.model.RL_6.317
OG0002624	Np005G262860	evm.model.RL_2.2794
OG0002626	Np007G377600	evm.model.RL_1.2804
OG0002626	Np005G264790	evm.model.RL_2.2970
OG0002627	Np005G264910	evm.model.RL_2.2984
OG0002627	Np007G377430, Np007G377420	evm.model.RL_1.2815
OG0002628	Np007G376920	evm.model.RL_1.2845
OG0002628	Np005G265670	evm.model.RL_2.3023
OG0002629	Np006G340950	evm.model.RL_6.1593
OG0002629	Np004G215250	evm.model.RL_5.2825
OG0002630	Np006G340340	evm.model.RL_6.1641
OG0002631	Np006G340110	evm.model.RL_6.1660
OG0002631	Np005G298260	evm.model.RL_2.1236
OG0002632	Np002G108420	evm.model.RL_3.672
OG0002633	Np004G249460	evm.model.RL_5.823
OG0002634	Np002G113880	evm.model.RL_3.553
OG0002635	Np004G246900	evm.model.RL_8.667, evm.model.RL_5.1011.1.687c88b1
OG0002636	Np001G026490	evm.model.RL_7.2636
OG0002637	Np004G242810	evm.model.RL_5.1245
OG0002637	Np001G024790	evm.model.RL_7.2537
OG0002639	Np001G021740	evm.model.RL_7.2332
OG0002639	Np003G127000	evm.model.RL_4.3260
OG0002640	Np001G019520	evm.model.RL_7.2155
OG0002640	Np001G019560	evm.model.RL_7.2160
OG0002641	Np005G315570, Np005G318700	evm.model.RL_2.278
OG0002641	Np001G019100	evm.model.RL_7.2118
OG0002642	Np002G092580	evm.model.RL_3.1099
OG0002642	Np005G313860	evm.model.RL_2.363
OG0002643	Np005G312470	evm.model.RL_2.438
OG0002645	Np003G156320	evm.model.RL_8.1796
OG0002645	Np005G279910	evm.model.RL_2.2115
OG0002646	Np003G128580	evm.model.RL_4.3120, evm.model.RL_4.2980
OG0002647	Np005G282020	evm.model.RL_2.1972, evm.model.RL_2.1975
OG0002648	Np003G164430	evm.model.RL_8.1412
OG0002650	Np003G162680, Np003G162580	evm.model.RL_8.1527
OG0002651	Np003G163320	evm.model.RL_8.1549
OG0002651	Np005G278340	evm.model.RL_2.2238
OG0002653	Np003G137300	evm.model.RL_4.2494
OG0002653	Np001G012430	evm.model.RL_4.1224
OG0002654	Np001G002850	evm.model.RL_8.2650
OG0002654	Np003G136870	evm.model.RL_4.2526
OG0002655	Np003G136310	evm.model.RL_4.2573
OG0002655	Np001G003410	evm.model.RL_8.2602
OG0002656	Np001G004260	evm.model.RL_2.2942, evm.model.RL_8.1129, evm.model.RL_8.2543
