Orthogroup	Noccaea_praecox	Erysimum_linariifolium
OG0001755	Np003G165340	El006G315970
OG0001756	Np003G164750	El007G340320
OG0001756	Np005G277180	El003G156210
OG0001757	Np005G278990	El003G157800
OG0001758	Np003G147410	El001G060870
OG0001758	Np003G139500	El001G068930
OG0001759	Np003G134160	El001G073810
OG0001759	Np001G009600	El007G329790
OG0001760	Np005G294470	El003G169340
OG0001760	Np001G033190	El007G366270
OG0001761	Np001G036280	El007G364130
OG0001761	Np005G291310	El003G167880
OG0001762	Np001G036940	El007G363880
OG0001763	Np005G288850	El003G165920
OG0001763	Np004G202330, Np004G202290	El003G175420, El003G175500
OG0001764	Np003G183210	El001G005660
OG0001764	Np005G285830	El003G163540
OG0001765	Np003G180200, Np003G180190, Np003G180240, Np003G180250	El001G007810, El001G007780, El001G007820, El001G007770, El001G007760, El001G007800
OG0001766	Np003G178390	El001G008940
OG0001767	Np002G083260	El004G223720
OG0001767	Np004G208830	El002G123050
OG0001768	Np006G344920, Np009G432460	El006G298420
OG0001768	Np004G210870	El002G113690
OG0001769	Np007G375260	El005G275440
OG0001769	Np005G267600	El003G146140
OG0001770	Np005G269590	El007G323870
OG0001770	Np001G051030	El001G019980
OG0001771	Np006G368340	El006G319370
OG0001772	Np005G260420	El003G142020
OG0001772	Np002G090250	El004G218570
OG0001773	Np003G165860	El007G341130
OG0001773	Np006G342470	El006G296940
OG0001774	Np004G210480	El007G358320, El007G358310
OG0001775	Np005G286190	El003G163690
OG0001775	Np003G183540	El001G005410
OG0001777	Np003G187250	El001G002220
OG0001777	Np005G317550	El003G191080
OG0001778	Np006G321000	El006G280150
OG0001778	Np001G069230	El001G035120
OG0001779	Np001G069100	El001G034890
OG0001779	Np006G321100	El006G280240
OG0001780	Np006G324820	El006G283390
OG0001780	Np001G066310	El001G032300
OG0001781	Np001G065490	El001G031750
OG0001781	Np006G325770	El006G284390
OG0001782	Np001G064300	El001G030630
OG0001782	Np006G327600	El006G285860
OG0001784	Np001G002190	El007G323780
OG0001784	Np001G051070	El001G020010
OG0001785	Np003G189380	El001G000510
OG0001785	Np004G259160	El002G083170
OG0001786	Np004G258870	El002G083400
OG0001786	Np003G188530	El001G001170
OG0001787	Np003G187300	El001G002210
OG0001787	Np004G258080	El002G084070
OG0001788	Np003G186980	El001G002680
OG0001788	Np004G257760	El002G084350
OG0001790	Np006G355090	El006G301050
OG0001790	Np004G253680	El002G088450
OG0001791	Np006G354120, Np006G348870	El006G301610
OG0001792	Np006G352460	El006G302590
OG0001792	Np004G252600	El002G089480
OG0001793	Np004G252370	El002G089670
OG0001793	Np006G352110	El006G302910
OG0001794	Np004G252130	El002G089960
OG0001794	Np006G360570	El006G303680, El006G303660
OG0001795	Np007G423330	El005G236700
OG0001796	Np007G422580	El005G237440
OG0001796	Np003G144360	El001G063800
OG0001797	Np003G144950	El001G063270
OG0001797	Np007G421990	El005G237880
OG0001798	Np001G013890	El001G051500
OG0001798	Np007G417790	El005G241040
OG0001799	Np001G014900	El001G049640
OG0001799	Np007G417780	El005G241060
OG0001800	Np007G417190	El005G241570
OG0001800	Np003G146440	El001G062020
OG0001801	Np001G017020	El007G346960
OG0001801	Np007G416170	El005G242280
OG0001802	Np002G094350	El004G216120, El004G216130, El004G216110, El004G216100, El004G216150, El004G216160
OG0001803	Np006G339150	El006G294330
OG0001803	Np001G055180	El001G023460
OG0001804	Np002G071700	El004G233300
OG0001804	Np004G240080	El002G100180
OG0001805	Np002G072880	El004G232290
OG0001805	Np004G239360	El002G100830
OG0001806	Np002G082600	El004G224380
OG0001806	Np004G238870	El002G101400
OG0001807	Np006G340010	El006G295230
OG0001807	Np004G236050	El002G103790
OG0001808	Np002G076980	El004G228880
OG0001808	Np004G235180	El002G104630
OG0001809	Np002G085830	El004G221530
OG0001809	Np004G228720	El002G109610
OG0001810	Np004G225970	El002G111250
OG0001810	Np002G087270	El004G220370
OG0001811	Np002G089830	El004G218800
OG0001811	Np004G209420	El002G112320
OG0001812	Np004G209570	El002G112420
OG0001814	Np006G370070	El006G320670
OG0001814	Np005G261330	El003G142730
OG0001815	Np003G146450	El001G062010
OG0001816	Np007G419310	El005G240000
OG0001816	Np001G015210	El001G049220, El002G126610
OG0001817	Np003G130610	El001G076650
OG0001817	Np007G410730, Np007G410690	El005G246660
OG0001818	Np001G050340	El001G019310
OG0001818	Np001G011780	El001G055350
OG0001819	Np001G000730	El007G322530
OG0001819	Np001G052540	El001G021130
OG0001820	Np001G049440	El001G018460
OG0001821	Np004G194440	El002G137170
OG0001821	Np007G390210	El005G252660
OG0001822	Np004G195050	El002G136510
OG0001823	Np007G372170, Np002G121170	El005G278770
OG0001824	Np006G337060	El006G292810
OG0001824	Np001G056550	El001G024360
OG0001825	Np001G059530, Np001G050230	El001G026860
OG0001826	Np001G061240	El001G028130
OG0001826	Np006G330620	El006G288290
OG0001827	Np001G061480	El001G028340
OG0001827	Np001G061470	El001G028330
OG0001828	Np006G325480	El006G284100
OG0001828	Np001G065640	El001G031880
OG0001829	Np002G090230	El001G042460
OG0001829	Np001G020750	El001G042560
OG0001830	Np001G063270	El001G030010, El001G030050, El001G030020, El001G030060, El001G030040
OG0001831	Np003G184110, Np006G322680, Np006G322700, Np006G322690	El007G366750, El007G366760
OG0001832	Np006G340330, Np006G357990	El006G295530, El006G311880
OG0001833	Np005G271580	El003G151290, El007G355170, El007G349780
OG0001833	Np004G204250	El003G151310
OG0001834	Np004G240510	El002G099850
OG0001835	Np004G235360	El002G104460
OG0001835	Np004G235350	El002G104470
OG0001836	Np002G119710	El004G198350
OG0001838	Np005G294830, Np005G294880	El003G169520
OG0001839	Np003G126140	El006G308060
OG0001844	Np005G275330	El003G154430
OG0001844	Np007G372860, Np001G036480	El005G278230
OG0001845	Np005G273290	El003G152640
OG0001846	Np007G376270	El005G274690
OG0001846	Np005G266100	El003G147050
OG0001847	Np005G298220	El003G170500
OG0001847	Np005G298250	El003G170510
OG0001848	Np002G115130	El004G201670
OG0001848	Np004G248290	El002G093440
OG0001849	Np002G117920	El004G199580
OG0001850	Np001G021550, Np001G021450	El001G041770
OG0001851	Np005G318090	El003G191690
OG0001851	Np001G020880	El001G042290
OG0001852	Np005G315730	El003G189520
OG0001853	Np001G021140	El004G216170
OG0001854	Np002G097050	El004G215170
OG0001855	Np002G098370	El004G213220
OG0001855	Np005G288360	El003G165440
OG0001856	Np002G119990	El004G198060
OG0001856	Np004G245860	El002G095480
OG0001857	Np005G279740	El003G158380
OG0001857	Np003G156570	El007G334850
OG0001858	Np003G128660	El001G078440
OG0001858	Np007G412020	El005G245620
OG0001859	Np007G411690	El005G245930
OG0001859	Np003G129150	El001G078010
OG0001860	Np003G130620	El001G076640
OG0001860	Np007G410660	El005G246670
OG0001861	Np007G410540	El005G246770
OG0001861	Np003G130970	El001G076420
OG0001862	Np003G132130	El001G075350
OG0001862	Np007G409780	El005G247630
OG0001863	Np005G281050	El003G159360
OG0001864	Np005G278250	El003G157030
OG0001865	Np003G163370	El007G337710
OG0001865	Np005G278380	El003G157130, El007G323630
OG0001866	Np003G160970	El007G337450
OG0001866	Np005G278560	El003G157320
OG0001867	Np005G280140	El003G158640
OG0001868	Np003G147520	El001G060780
OG0001868	Np003G138960	El001G069410
OG0001869	Np001G002860	El007G324500
OG0001869	Np003G136860	El001G071390
OG0001870	Np001G003110	El007G324750
OG0001870	Np003G136760	El001G071560
OG0001871	Np001G003380	El007G325040
OG0001872	Np001G004040	El007G325640
OG0001872	Np003G136150	El001G072140
OG0001873	Np003G135740	El001G072510
OG0001874	Np003G135240	El001G072930
OG0001875	Np003G134370	El001G073590
OG0001875	Np001G010090	El001G057050
OG0001876	Np001G009710	El007G329880
OG0001876	Np003G134180	El001G073780
OG0001877	Np003G133350	El001G074360, El007G361230
OG0001878	Np005G294730	El003G169500
OG0001878	Np005G303940	El007G366430
OG0001879	Np005G292990, Np005G292970	El003G168880
OG0001879	Np001G034480	El007G365590
OG0001880	Np001G035570	El007G364940
OG0001880	Np005G292190, Np005G292180	El003G168490, El003G168500
OG0001881	Np005G287190, Np005G287230, Np005G287260	El003G165050
OG0001882	Np003G184040	El001G004950
OG0001882	Np005G286870	El003G164470
OG0001883	Np003G183770	El001G005140
OG0001883	Np005G286420	El003G164080
OG0001884	Np004G241190	El002G099270
OG0001884	Np001G054300	El004G201750
OG0001885	Np004G206090	El002G120850
OG0001885	Np003G178400	El001G008930
OG0001886	Np004G204560	El002G123760
OG0001886	Np003G176930, Np003G176850	El001G010120
OG0001887	Np003G175610	El001G010980
OG0001887	Np004G204940	El002G125420
OG0001888	Np004G211960	El002G115000, El006G297620, El006G297650
OG0001889	Np007G374640	El005G276660
OG0001889	Np005G268230	El003G145650
OG0001890	Np005G262640	El003G144020, El003G144080
OG0001891	Np005G279920	El003G158510
OG0001891	Np004G247970	El002G093730
OG0001892	Np001G041790	El007G358360
OG0001892	Np004G210540	El002G113350
OG0001893	Np003G178560	El001G008750
OG0001894	Np006G332750	El006G289800
OG0001894	Np003G183190	El001G005700
OG0001896	Np005G307740	El003G156000
OG0001896	Np007G415460	El005G242720
OG0001897	Np007G385590	El005G265910
OG0001898	Np007G383600	El005G261820
OG0001898	Np005G304280	El003G174350
OG0001899	Np007G389020, Np007G382610	El005G260920
OG0001900	Np005G320000	El003G193280
OG0001901	Np004G199670	El006G280020, El006G314870
OG0001901	Np001G069110	El001G034900
OG0001902	Np001G068300	El001G034370
OG0001902	Np006G322050	El006G280920
OG0001903	Np001G066440	El001G032390
OG0001903	Np006G324720	El006G283290
OG0001904	Np006G324830	El001G032280, El006G283400, El005G276440
OG0001905	Np001G065210	El001G031640
OG0001906	Np001G064630	El001G030910
OG0001906	Np006G327270	El006G285650
OG0001907	Np001G048530	El001G018080
OG0001908	Np001G018920, Np001G018930	El007G327060
OG0001909	Np003G187490	El001G002050
OG0001909	Np004G257870	El002G084210
OG0001910	Np003G185140	El001G004290
OG0001910	Np004G256740	El002G085510
OG0001911	Np001G041330	El007G359030
OG0001911	Np004G255920	El002G086320
OG0001912	Np006G355970	El006G300250
OG0001912	Np004G254460	El002G087680
OG0001913	Np006G355510	El006G300630
OG0001914	Np006G355210	El006G300060, El006G299460, El006G299140
OG0001915	Np006G354800, Np006G348100	El006G301250
OG0001915	Np004G253590	El002G088570
OG0001916	Np004G252190	El002G089870
OG0001916	Np006G350170, Np008G428180	El006G303310
OG0001917	Np006G359760	El006G304830
OG0001917	Np004G251720	El002G090370
OG0001918	Np006G361690, Np006G362350	El006G311260
OG0001918	Np006G362360	El006G311290
OG0001919	Np003G141270	El001G067110
OG0001919	Np007G425030	El005G235310
OG0001920	Np003G143470	El001G064620
OG0001920	Np007G423090	El005G236980
OG0001921	Np003G143490	El001G064590
OG0001921	Np007G423040	El005G237030
OG0001922	Np007G418500	El005G240610
OG0001922	Np001G014570	El001G050590
OG0001923	Np006G334000, Np006G333370	El006G290680
OG0001923	Np001G058620	El001G025950
OG0001924	Np001G056310	El001G024110
OG0001924	Np006G337580	El006G293190
OG0001925	Np006G336310	El006G292300
OG0001926	Np006G335860	El006G292050
OG0001926	Np001G053730	El001G022190
OG0001927	Np004G240660	El002G099720
OG0001928	Np002G073430, Np002G073420	El004G231810
OG0001928	Np004G239030	El002G101220
OG0001929	Np004G238270	El002G101870
OG0001929	Np002G081610	El004G225140
OG0001930	Np004G237030	El002G102880
OG0001930	Np002G079330	El004G226920
OG0001931	Np002G078920	El004G227290
OG0001931	Np004G236770	El002G103090
OG0001932	Np004G236220	El002G103650
OG0001932	Np002G078450	El004G227640
OG0001933	Np004G234220	El002G105540
OG0001933	Np002G075770	El004G229820
OG0001934	Np004G232640	El002G107070
OG0001934	Np002G074190	El004G231250
OG0001935	Np004G230740	El002G108450
OG0001935	Np002G084600, Np002G084590	El004G222450
OG0001936	Np002G085790	El004G221560
OG0001936	Np002G085800	El004G221590, El004G221550
OG0001937	Np004G226860	El002G110660
OG0001937	Np002G086860	El004G220720
OG0001938	Np004G210170	El002G112870
OG0001938	Np004G210160	El002G112880
OG0001939	Np006G370590	El006G321200
OG0001939	Np005G261100	El003G142550
OG0001940	Np001G068720	El001G078890
OG0001942	Np007G406380	El002G120860
OG0001942	Np003G154920	El003G185920, El003G185910, El003G185890
OG0001943	Np007G410020	El005G247400
OG0001944	Np007G410220	El005G247240
OG0001944	Np003G131550	El001G075960
OG0001945	Np001G050520	El001G019460
OG0001946	Np001G049460	El001G018470
OG0001946	Np001G010820	El001G056380
OG0001947	Np001G044620	El001G013740, El001G013760, El001G013730
OG0001947	Np001G044640, Np001G044650	El001G013770
OG0001948	Np001G043890	El001G012570
OG0001949	Np003G148670	El001G059600
OG0001950	Np007G406400	El005G250020
OG0001950	Np004G191680	El002G139900
OG0001951	Np007G404850	El005G251320
OG0001952	Np007G391450	El005G253480
OG0001953	Np007G396060	El005G256760
OG0001953	Np004G197730	El002G133940
OG0001954	Np003G139650	El001G068760
OG0001954	Np007G380500	El005G258760
OG0001955	Np004G195330	El002G136180
OG0001955	Np007G381200	El005G259370
OG0001956	Np007G378180	El005G272900
OG0001956	Np005G264320	El003G148440
OG0001957	Np006G341650	El006G296470
OG0001957	Np004G213910	El002G117120
OG0001958	Np007G379250	El005G272340, El005G272320, El005G272330, El002G122830, El002G122740
OG0001959	Np001G064960	El001G031320
OG0001960	Np004G193680	El002G138030
OG0001962	Np004G252170	El002G089890
OG0001962	Np004G193270	El002G089900
OG0001963	Np003G186160	El001G003370, El001G003360
OG0001971	Np005G275440	El003G154550
OG0001971	Np007G372750	El005G278310
OG0001972	Np005G273410	El003G152730
OG0001972	Np001G028870, Np007G374120	El005G277150
OG0001973	Np005G272490	El003G152000
OG0001973	Np006G366010	El006G317160
OG0001974	Np005G271870	El003G151600
OG0001975	Np007G379580	El005G272050
OG0001975	Np005G263840	El003G149010
OG0001976	Np005G265390	El003G147660
OG0001976	Np007G377140	El005G273780
OG0001977	Np006G340080	El006G295300
OG0001977	Np005G299270	El003G170760
OG0001978	Np002G117800	El004G199690
OG0001978	Np004G247340	El002G094430
OG0001979	Np001G025460	El001G037660
OG0001979	Np004G242210	El002G098500
OG0001980	Np001G025140	El001G037910
OG0001980	Np004G242340	El002G098290
OG0001981	Np004G244430	El002G096620
OG0001981	Np001G022640	El001G040710
OG0001982	Np001G022250	El001G041150
OG0001982	Np004G244600	El002G096460
OG0001983	Np001G021320	El001G041880
OG0001983	Np005G318410, Np003G151780	El003G192010
OG0001984	Np001G021010	El001G042150
OG0001984	Np005G318240	El003G191790
OG0001985	Np004G245570	El002G095790
OG0001985	Np002G120950	El004G197500
OG0001986	Np001G061230	El001G028110
OG0001986	Np006G330610	El006G288280
OG0001987	Np003G128610	El001G078480
OG0001987	Np007G412050	El005G245600
OG0001988	Np007G410580	El005G246730
OG0001988	Np003G130770	El001G076460
OG0001989	Np007G410350	El005G246990
OG0001989	Np003G131390	El001G076110
OG0001990	Np003G162470	El007G338320
OG0001992	Np005G279000	El003G157810
OG0001992	Np003G158660	El007G336220
OG0001993	Np003G158290	El007G336010
OG0001993	Np005G279170	El003G157980
OG0001994	Np005G280170	El003G158670
OG0001995	Np003G147440	El001G060820
OG0001996	Np003G138430	El001G069870
OG0001996	Np001G013580	El001G052040
OG0001997	Np003G135900	El001G072380
OG0001997	Np006G368370	El006G319400
OG0001998	Np003G135630	El001G072630
OG0001998	Np001G004730	El007G326220
OG0001999	Np003G133570	El001G074150
OG0001999	Np001G008940	El007G329230
OG0002000	Np001G008710	El007G329030
OG0002000	Np003G133280	El001G074450
OG0002001	Np001G034300	El007G365710
OG0002001	Np005G293270	El003G168950
OG0002003	Np003G183260	El001G005630
OG0002004	Np003G181640	El001G006790
OG0002004	Np005G302070	El003G162630
OG0002005	Np003G180050	El001G007880
OG0002005	Np005G283240	El003G161210
OG0002006	Np005G283150	El003G161120
OG0002006	Np003G179840	El001G008010
OG0002007	Np003G179830	El001G008050
OG0002007	Np005G283130	El003G161100
OG0002008	Np003G178660	El001G008580
OG0002008	Np004G205760	El002G120350
OG0002009	Np004G200860	El002G130070
OG0002010	Np004G211770	El002G114680
OG0002011	Np004G212400	El002G115310
OG0002012	Np007G375770	El005G274980
OG0002012	Np005G266530	El003G146790
OG0002013	Np007G375680	El005G275130
OG0002013	Np005G267020	El003G146640
OG0002014	Np005G267490	El003G146260
OG0002014	Np007G375400	El005G275310
OG0002015	Np007G374260	El005G277010
OG0002015	Np005G268490	El003G145390
OG0002016	Np006G368080	El006G319230
OG0002016	Np030G439960, Np006G348000, Np006G352680, Np005G269660	El003G144410
OG0002017	Np005G262340	El003G143710
OG0002017	Np006G368950	El006G319840
OG0002018	Np006G370550	El006G321130
OG0002018	Np005G261140	El003G142590
OG0002019	Np006G340200	El006G295400
OG0002020	Np001G045330, Np001G043090, Np003G179160	El002G115220
OG0002021	Np005G283050	El003G161020, El003G161000
OG0002021	Np003G179710	El001G008090
OG0002022	Np004G238460	El002G101690
OG0002022	Np001G035970	El007G364600
OG0002023	Np007G383820	El005G262340
OG0002023	Np005G304510	El003G174550
OG0002024	Np007G382960	El005G261100
OG0002025	Np006G322890	El006G281630
OG0002026	Np006G325250	El006G283860
OG0002026	Np001G065780	El001G032000
OG0002027	Np001G061930	El001G028770
OG0002027	Np006G329980	El006G287780
OG0002028	Np001G045010	El001G014250
OG0002028	Np003G151850	El007G330530
OG0002029	Np003G188380	El001G001250
OG0002030	Np003G186420	El001G003160
OG0002030	Np004G257370	El002G084830
OG0002031	Np006G357850, Np004G255640	El006G298810
OG0002032	Np006G356490	El006G299980
OG0002032	Np004G254720	El002G087510
OG0002033	Np004G252980	El002G089140
OG0002033	Np006G347140, Np006G353660	El006G302020
OG0002034	Np004G251990	El002G090080
OG0002034	Np006G360240	El006G304140
OG0002035	Np003G160310	El007G336940
OG0002035	Np005G278870	El003G157620
OG0002036	Np003G142740	El001G065560
OG0002036	Np007G423570	El005G236480
OG0002037	Np003G142750	El001G065550
OG0002037	Np007G423550	El005G236500
OG0002038	Np007G391400	El005G253410
OG0002038	Np007G418650	El005G240460
OG0002039	Np001G059430, Np001G059440	El001G026790
OG0002039	Np006G333080	El006G290030
OG0002040	Np006G338770	El006G294140
OG0002040	Np001G055330	El001G023560
OG0002041	Np006G337770	El006G293410
OG0002041	Np001G056210	El001G023970
OG0002043	Np004G198750	El002G132700
OG0002044	Np004G240780	El002G099590
OG0002045	Np004G240580	El002G099790
OG0002045	Np002G070980	El004G233900
OG0002046	Np004G240230	El002G100080
OG0002046	Np002G071560	El004G233420
OG0002047	Np004G239690	El002G100480
OG0002047	Np002G072520	El006G318640, El004G232630
OG0002048	Np004G238590	El002G101570
OG0002048	Np002G082190	El004G224720
OG0002049	Np002G081470	El004G225240
OG0002049	Np004G238210	El002G101920
OG0002050	Np004G234560	El002G105240
OG0002050	Np002G076410	El004G229390
OG0002051	Np004G234470	El002G105340
OG0002051	Np004G227090, Np003G173400, Np006G328800	El006G286880
OG0002052	Np004G234280	El002G105480
OG0002052	Np002G075980	El004G229650
OG0002053	Np002G113670	El002G105860
OG0002053	Np002G075500	El004G230010
OG0002054	Np004G231140	El002G108190
OG0002054	Np002G083990	El004G223020
OG0002055	Np004G230630	El002G108520
OG0002055	Np002G084710	El004G222370
OG0002056	Np006G363730	El006G314210
OG0002057	Np005G270990	El003G150830
OG0002057	Np006G364190	El006G315130
OG0002059	Np004G254910	El002G087320
OG0002059	Np006G356710	El006G299810
OG0002060	Np002G085520	El004G221830
OG0002060	Np003G141760	El001G066630
OG0002061	Np001G049960	El001G018870
OG0002061	Np001G011110	El001G055980, El001G056060
OG0002062	Np005G316760, Np005G316750	El007G329810
OG0002063	Np003G132800	El001G074760
OG0002063	Np003G154590	El007G333100
OG0002064	Np001G053210	El001G021680, El001G021690
OG0002065	Np002G082980	El004G214730, El004G214740
OG0002066	Np002G075790	El004G229800
OG0002066	Np004G234240	El002G105520
OG0002067	Np002G077200	El004G228660
OG0002067	Np002G077190	El004G228680
OG0002068	Np002G072410	El004G232710
OG0002068	Np005G304660	El004G233160
OG0002069	Np002G072320	El004G232850
OG0002070	Np004G239980	El002G100290
OG0002070	Np002G072070	El004G233050
OG0002071	Np007G407620	El005G249360
OG0002071	Np004G190950	El002G140580
OG0002072	Np007G407340	El005G249510
OG0002073	Np004G193040, Np004G193080	El002G138200
OG0002073	Np007G404970	El005G251220
OG0002074	Np005G307220, Np005G307210	El003G171430
OG0002075	Np007G372580	El005G278430
OG0002075	Np007G372590	El005G278420
OG0002076	Np004G190110	El002G141500
OG0002076	Np007G408630	El005G248550
OG0002077	Np004G195440	El002G135980
OG0002077	Np007G381050	El005G259250
OG0002078	Np001G059630	El001G026910
OG0002078	Np001G059610	El001G026900
OG0002079	Np005G279620	El003G189980, El003G190010, El003G158210
OG0002080	Np005G302340	El003G172450
OG0002081	Np001G045140	El001G014440, El001G014410, El006G314690
OG0002081	Np006G364000	El006G321190, El006G314720, El006G314680
OG0002084	Np002G070680	El001G007980, El004G234290, El003G187190, El003G187180, El003G187200
OG0002092	Np005G298010	El004G208120
OG0002093	Np007G378490	El005G272590
OG0002093	Np005G264540	El003G148210
OG0002094	Np005G264860	El003G147920
OG0002094	Np007G377480	El005G273560
OG0002095	Np007G376080	El005G274540
OG0002095	Np005G266150	El003G146990
OG0002096	Np002G111330	El004G206830
OG0002096	Np004G249790	El002G092130
OG0002097	Np002G114130	El004G202840
OG0002097	Np004G248720, Np004G248730	El002G093120
OG0002098	Np002G116830	El004G200370
OG0002098	Np002G116370	El004G200750
OG0002099	Np004G247620	El002G094030
OG0002099	Np002G117140	El004G200220
OG0002100	Np004G242990	El002G097520
OG0002100	Np001G024600	El001G038540
OG0002101	Np005G318300	El003G191870
OG0002101	Np001G021130	El001G042000
OG0002102	Np004G227540	El007G355110, El005G242970, El007G355130, El007G353200, El007G352390, El005G242960, El008G369920, El003G182590, El007G353230
OG0002103	Np002G124450	El004G194030
OG0002104	Np002G123250	El004G195460
OG0002104	Np005G319350	El003G192650
OG0002105	Np004G244890	El002G096250
OG0002105	Np002G121470	El004G196800
OG0002106	Np002G119790	El004G198260
OG0002106	Np004G246020	El002G095380
OG0002107	Np001G060920	El001G028010
OG0002107	Np006G330790	El002G094300, El006G288480
OG0002108	Np007G413890	El005G244140
OG0002109	Np007G412910	El001G079700, El005G244980
OG0002110	Np007G412830	El005G245030
OG0002110	Np003G127500	El001G079580
OG0002111	Np003G128640	El001G078450
OG0002113	Np006G347540, Np006G353240	El001G048600, El001G048980, El001G048580, El001G048950, El001G048440, El001G048520, El006G307580
OG0002114	Np005G277340	El003G156360
OG0002114	Np003G163740	El007G339520
OG0002115	Np005G278700	El003G157470
OG0002116	Np003G159560	El007G336630
OG0002116	Np005G278930	El003G157700
OG0002117	Np003G139780	El001G068620
OG0002117	Np004G210200	El002G112830
OG0002118	Np001G013500	El001G052280
OG0002118	Np003G138360	El001G069930
OG0002119	Np003G137110	El001G071180
OG0002119	Np001G012270	El001G054300
OG0002120	Np001G010730	El001G056460
OG0002120	Np003G134880	El001G073230
OG0002121	Np001G008690	El007G328990, El007G329010
OG0002121	Np003G133250	El001G074490
OG0002122	Np005G295520	El003G169760
OG0002123	Np001G037080	El007G363710
OG0002123	Np005G290410	El003G167170
OG0002124	Np001G037310	El007G363370
OG0002124	Np005G290260	El003G167020
OG0002125	Np005G288590	El003G165630
OG0002125	Np001G039270	El007G361500
OG0002126	Np003G184720	El001G004750
OG0002126	Np005G287650	El003G164790
OG0002127	Np003G179920	El001G007950
OG0002127	Np005G283200	El003G161170
OG0002128	Np003G178710	El001G008460
OG0002128	Np004G205710	El002G120320
OG0002129	Np003G177550	El001G009630
OG0002129	Np004G208340	El002G122170
OG0002131	Np003G187010	El001G002660
OG0002131	Np004G257730	El002G084390
OG0002132	Np005G266730	El003G146700
OG0002132	Np007G375720	El005G275040
OG0002133	Np005G267010	El003G146650
OG0002133	Np005G267110, Np005G267160	El003G146550
OG0002134	Np005G267590	El003G146150
OG0002135	Np007G374250	El005G277020
OG0002135	Np005G268500	El003G145380
OG0002136	Np006G370930	El006G321450
OG0002136	Np005G260730	El003G142310
OG0002137	Np005G315580, Np005G318680	El003G189310, El003G189280
OG0002137	Np005G318670, Np005G315620	El003G189320
OG0002138	Np006G342500	El006G296960
OG0002138	Np006G342520	El006G296970
OG0002139	Np004G201960, Np004G201950	El002G128630
OG0002139	Np001G041970	El007G358090
OG0002140	Np003G178130	El001G009130
OG0002140	Np004G206250	El002G121050
OG0002141	Np005G306930	El003G176640
OG0002141	Np007G385620	El005G265930
OG0002142	Np001G069460	El001G035340
OG0002142	Np006G320550	El003G162780
OG0002143	Np006G320660	El006G279840
OG0002144	Np006G328330, Np006G328320	El006G286500, El006G286490
OG0002145	Np006G329010	El006G287090
OG0002145	Np001G062840	El001G029530
OG0002146	Np001G044390	El001G013180
OG0002146	Np003G150740	El001G057700
OG0002147	Np003G152460, Np003G152410	El007G331070, El007G331080
OG0002148	Np003G152760	El007G331440, El001G015630
OG0002149	Np001G006560	El007G327490
OG0002150	Np001G051280	El001G020150
OG0002150	Np001G001910	El007G323530
OG0002151	Np001G001160	El007G322920
OG0002152	Np004G259420, Np004G259430	El002G082860
OG0002153	Np004G259330	El002G083030
OG0002153	Np003G189240	El001G000610
OG0002154	Np001G040330	El007G360140
OG0002154	Np004G256460	El002G085740
OG0002155	Np001G040830	El007G359650
OG0002155	Np004G256060	El002G086120
OG0002156	Np007G386230	El005G267200
OG0002157	Np006G356660	El006G299850
OG0002157	Np004G254860	El002G087390
OG0002158	Np005G277490	El003G156540
OG0002158	Np005G277480	El003G156530
OG0002159	Np007G423200	El005G236860
OG0002160	Np007G422140	El005G237760
OG0002160	Np003G144810	El001G063470
OG0002161	Np001G015750	El005G239230
OG0002162	Np007G384980	El005G265250
OG0002162	Np007G417520	El005G241270
OG0002163	Np007G374170	El005G242000, El005G241990
OG0002164	Np001G016610	El007G346030
OG0002164	Np007G416520	El005G242060
OG0002165	Np003G140300	El001G068190
OG0002165	Np007G414440	El005G243620
OG0002166	Np001G060120	El001G027410
OG0002166	Np006G331720	El006G289200
OG0002167	Np006G333630	El006G290330, El006G290370, El006G290350
OG0002168	Np006G339890	El006G295090
OG0002168	Np001G054420	El001G022720
OG0002169	Np006G335130	El006G291560
OG0002170	Np002G071410	El004G233510
OG0002171	Np004G240060	El002G100200
OG0002171	Np002G071710	El004G233240
OG0002172	Np004G240050	El002G100220
OG0002172	Np002G071730	El004G233220
OG0002173	Np002G072480	El002G100450
OG0002174	Np004G236410	El002G103540
OG0002174	Np002G078630	El004G227500
OG0002175	Np002G076220	El004G229480
OG0002175	Np004G234480	El002G105330
OG0002176	Np004G232030	El002G107680
OG0002176	Np004G232020	El002G107690
OG0002177	Np004G231110	El002G108210
OG0002178	Np002G085210	El004G222120
OG0002178	Np004G230370	El002G108710
OG0002179	Np002G091230	El004G218050, El004G211970
OG0002179	Np004G209900	El002G112740
OG0002181	Np005G264690	El003G148070
OG0002182	Np001G009450	El007G329620
OG0002182	Np004G242950	El002G097780, El002G097610
OG0002183	Np004G243650	El002G097090
OG0002183	Np001G023090	El001G040130
OG0002184	Np005G301870	El002G116610
OG0002185	Np004G246130	El002G095300
OG0002185	Np002G119730	El004G198340
OG0002186	Np002G117070	El004G200250
OG0002186	Np004G247670	El002G093990
OG0002187	Np004G249290	El002G092580
OG0002187	Np007G414430	El005G243640
OG0002188	Np006G351240, Np004G254410	El002G087750
OG0002189	Np007G410470	El005G246920
OG0002190	Np007G411480	El005G246030
OG0002190	Np003G129480	El001G077670
OG0002191	Np007G380550	El005G258840
OG0002191	Np001G013680	El001G051810
OG0002192	Np001G043840	El001G012460
OG0002192	Np003G150160	El001G058390
