Orthogroup	Noccaea_praecox	Aethionema_saxatile
OG0001072	Np003G175030, Np003G175040, Np001G049860	As010G222230
OG0001073	Np002G094200, Np004G191450, Np005G311980, Np002G092340	As011G250190
OG0001074	Np002G091260, Np001G008220	As011G252670
OG0001075	Np007G402880	As012G270490
OG0001084	Np007G371940	As011G267200
OG0001084	Np005G276360	As001G000360
OG0001085	Np007G372960	As011G266420
OG0001085	Np005G275170	As001G001230
OG0001086	Np005G263530	As001G010350
OG0001086	Np007G379730	As006G139850, As011G262030
OG0001087	Np005G265190	As001G014350
OG0001087	Np005G265250, Np005G265220, Np005G265230, Np005G265210, Np005G265200	As001G014360
OG0001088	Np001G020370, Np001G020380	As001G026740
OG0001089	Np001G019550	As001G027320
OG0001090	Np004G230830	As001G027490, As001G027520, As001G027510
OG0001091	Np001G049530	As010G222350
OG0001091	Np003G171060	As002G042730
OG0001091	Np004G242970	As009G207490
OG0001092	Np003G132520, Np003G158760	As002G047560
OG0001092	Np003G132510	As009G210680
OG0001093	Np003G147310	As005G109890
OG0001093	Np003G139020	As002G051090
OG0001094	Np003G136280	As002G053280
OG0001094	Np001G003370	As005G118310
OG0001095	Np005G307600, Np005G307690	As004G093100, As004G093080, As004G093090
OG0001096	Np001G062860	As012G284440
OG0001096	Np006G329100	As005G105060
OG0001098	Np001G050770	As010G221570
OG0001098	Np001G002590	As005G118860
OG0001099	Np004G258850, Np003G188440	As006G122020
OG0001100	Np006G356170	As006G125750
OG0001100	Np004G254600	As008G195360, As008G194940
OG0001101	Np003G141550	As009G200370
OG0001101	Np006G366540	As006G133080
OG0001102	Np007G423700	As006G135240
OG0001102	Np003G142660	As009G201520
OG0001103	Np001G015670	As009G207010
OG0001104	Np007G419620	As006G138120, As009G206960
OG0001105	Np002G071110	As010G243540
OG0001105	Np004G240490	As007G152280
OG0001106	Np004G239310	As007G153300
OG0001106	Np002G072900	As010G242200
OG0001107	Np004G238070	As007G154350
OG0001108	Np004G236790	As007G155300
OG0001109	Np002G074900	As010G235960
OG0001110	Np002G086110	As010G232990
OG0001111	Np002G091900	As010G228810
OG0001111	Np004G210000	As007G162030
OG0001112	Np006G368050	As009G207970
OG0001113	Np003G132570	As009G210730
OG0001114	Np003G132070	As009G211960
OG0001115	Np002G082510, Np004G238840, Np004G238810	As010G241340
OG0001116	Np004G195480	As012G271470
OG0001116	Np007G380900	As011G253270
OG0001117	Np005G302260, Np002G107560	As012G274810, As012G274800
OG0001124	Np005G278470, Np007G373600	As012G276130, As001G000460
OG0001125	Np004G215940	As001G015980
OG0001125	Np006G340220	As002G043210, As004G079080
OG0001126	Np002G113850, Np002G113860	As003G070440, As011G256560, As003G070420, As003G070430, As003G070400, As001G020030
OG0001127	Np004G242060	As008G182820
OG0001127	Np001G026140	As001G023280
OG0001128	Np001G023760	As001G024510
OG0001128	Np004G243380	As008G183850
OG0001129	Np001G019330	As001G027480
OG0001130	Np001G018490	As001G028120
OG0001131	Np005G280030, Np005G280080, Np005G280040	As002G032550
OG0001131	Np003G156230	As002G048950
OG0001132	Np003G127170	As005G107970
OG0001132	Np007G413090, Np007G413180	As002G034660
OG0001133	Np003G160440	As002G047010
OG0001134	Np003G140250	As002G050280, As002G050290
OG0001135	Np001G003870	As005G117880
OG0001135	Np003G136210	As002G053400
OG0001136	Np005G293350	As003G056250
OG0001136	Np001G034270	As004G089250
OG0001137	Np001G037390	As004G087840
OG0001137	Np005G290110	As003G057700
OG0001138	Np005G285730	As003G060280
OG0001139	Np004G210750	As003G067410
OG0001139	Np004G210110	As007G162130
OG0001140	Np005G267640	As003G072340
OG0001140	Np007G375240	As011G264830
OG0001141	Np002G092330, Np001G046410, Np001G046430	As010G224380
OG0001141	Np005G312760, Np005G312750	As004G077490
OG0001142	Np005G304180	As004G095910
OG0001143	Np001G066340	As005G102010
OG0001144	Np001G065540	As012G286050
OG0001146	Np006G329950	As005G105940
OG0001146	Np003G128710, Np007G411980	As005G109260
OG0001147	Np003G147580, Np002G120910, Np002G120930, Np006G333040	As005G110350
OG0001148	Np001G004300	As005G117560
OG0001149	Np001G052900	As010G220420
OG0001149	Np001G000620	As005G120550
OG0001150	Np003G143130	As009G202000
OG0001150	Np007G423290	As006G135560
OG0001151	Np007G416530	As006G140390
OG0001152	Np001G060470	As012G282810
OG0001152	Np006G331460	As006G142300
OG0001153	Np006G339290	As006G144900
OG0001154	Np002G078230	As010G238340
OG0001154	Np004G236100	As007G155790
OG0001155	Np004G235260	As007G156380
OG0001156	Np004G230120	As007G159660
OG0001156	Np002G085370	As010G233350
OG0001157	Np004G246970	As008G186030
OG0001157	Np004G247080	As008G186040
OG0001158	Np002G084620, Np004G230690	As010G233690
OG0001159	Np002G076070, Np002G076080	As010G236770, As010G236800, As010G236780, As010G236790
OG0001160	Np004G190980	As011G245380
OG0001160	Np007G407550, Np002G092680, Np007G407540	As012G268400
OG0001161	Np007G381070	As011G253310
OG0001161	Np004G195400	As012G271410
OG0001162	Np004G198460, Np004G198470	As012G273060
OG0001169	Np005G277370	As012G283970, As001G006050
OG0001169	Np003G162320, Np003G162350	As002G045450, As002G045480
OG0001170	Np007G419030	As022G292050, As022G292140, As048G294600, As012G279330, As012G280590, As009G206290, As001G015180
OG0001171	Np002G117130	As001G021220
OG0001171	Np004G247630	As008G186600
OG0001172	Np001G024560	As001G024140
OG0001172	Np004G243010	As008G183530
OG0001173	Np005G279710, Np005G279730	As002G032750
OG0001174	Np007G410980, Np007G411340	As002G036310
OG0001175	Np003G158260	As002G047920
OG0001176	Np001G003060	As005G118510
OG0001176	Np003G136780	As002G052820
OG0001177	Np003G134110, Np003G134080	As002G054880
OG0001178	Np003G133800	As002G055020
OG0001178	Np001G009390	As009G217930
OG0001179	Np005G291140	As003G057140
OG0001179	Np007G387000	As011G256550
OG0001180	Np005G289600	As003G057900
OG0001180	Np001G038190	As004G087660
OG0001181	Np005G286590	As003G059790
OG0001181	Np003G183860	As004G085930
OG0001182	Np006G342810, Np006G342790, Np006G342920	As004G081230
OG0001182	Np004G211820	As003G069510
OG0001183	Np005G267250	As003G072080
OG0001183	Np007G375540	As011G264670, As010G236540
OG0001184	Np001G067930	As012G287840
OG0001184	Np006G322630	As005G100420
OG0001185	Np001G067530, Np001G065390	As012G287600
OG0001185	Np006G323040	As005G100800
OG0001186	Np001G064620, Np001G064610	As005G104120
OG0001187	Np006G356610	As006G126100
OG0001187	Np004G254760	As008G195000
OG0001188	Np006G351400	As006G128390
OG0001189	Np007G424970	As006G132950
OG0001189	Np003G141310	As009G200010
OG0001190	Np007G421310	As006G137230
OG0001190	Np003G145690	As009G204060
OG0001191	Np001G015020	As009G206340
OG0001191	Np007G419190	As006G138540
OG0001192	Np005G301220	As012G274380
OG0001192	Np007G416570	As006G140360
OG0001193	Np001G059450	As012G282070
OG0001193	Np006G333070	As006G143230
OG0001194	Np001G059880	As012G282360
OG0001194	Np007G414480	As006G143580
OG0001195	Np004G238670	As007G153910
OG0001196	Np002G078490	As010G238520
OG0001196	Np004G236270	As007G155700
OG0001197	Np001G057620	As008G186880
OG0001200	Np004G191330, Np004G191350	As012G268800
OG0001201	Np001G010800	As009G216930
OG0001201	Np001G049370	As010G222450
OG0001202	Np001G051450, Np001G050650	As010G221230
OG0001203	Np001G043980	As010G226280
OG0001205	Np004G193400	As012G269930
OG0001205	Np007G404520	As011G247320
OG0001207	Np005G301230	As012G274390
OG0001207	Np007G391660	As011G249080
OG0001208	Np004G198380	As012G273020
OG0001208	Np007G395070	As011G250940
OG0001209	Np007G395750	As011G251200
OG0001211	Np004G199460	As012G268580
OG0001222	Np005G272270	As001G003410
OG0001222	Np006G365820	As007G178150
OG0001223	Np005G289660	As011G262960
OG0001223	Np005G264170	As001G013780
OG0001224	Np004G249980	As008G188670
OG0001224	Np002G107820, Np002G107830	As001G019000
OG0001225	Np001G021940	As001G025730
OG0001226	Np001G020110, Np001G020100	As001G026900
OG0001227	Np007G413240	As002G034420
OG0001227	Np003G127040	As005G107870
OG0001228	Np001G051150	As002G036800, As010G228140
OG0001229	Np007G423530, Np003G156810, Np003G156820	As002G049770, As002G049710, As002G049750, As002G047650, As002G047640, As002G048550, As002G048440, As002G048410, As002G048430
OG0001230	Np001G008720	As009G218340
OG0001230	Np003G133300	As002G055400
OG0001231	Np001G008550	As009G218430
OG0001231	Np003G133240	As002G055440
OG0001232	Np005G290670, Np005G290660	As003G057340
OG0001233	Np005G284630	As003G060920
OG0001233	Np003G181580	As004G084810
OG0001234	Np002G077970	As010G238140
OG0001234	Np004G202000	As003G065230
OG0001234	Np001G041950	As004G082120
OG0001235	Np007G375960	As010G228510, As011G264390
OG0001235	Np005G266470	As003G071710
OG0001236	Np005G303430	As004G096250
OG0001236	Np006G356550	As006G125660
OG0001237	Np001G067230	As012G287400
OG0001238	Np006G323640	As012G287280
OG0001238	Np001G067010	As005G101270
OG0001239	Np001G065230	As012G285940
OG0001239	Np006G325940	As005G103030
OG0001240	Np006G326590	As005G103570
OG0001241	Np006G326660	As005G103630
OG0001242	Np003G127490	As005G108180
OG0001243	Np002G092160, Np002G092150, Np003G147610	As005G110180
OG0001244	Np003G148650	As005G111140
OG0001245	Np001G052550	As010G220630
OG0001245	Np001G000690	As005G120340
OG0001246	Np004G258270	As008G198180
OG0001246	Np003G187740	As006G122500
OG0001247	Np003G185970	As006G123620
OG0001247	Np007G415250	As006G141330
OG0001248	Np006G360430, Np006G360370	As006G129030, As006G129020, As008G192650
OG0001249	Np006G335450, Np006G335440	As006G130480, As006G148330, As006G148320
OG0001250	Np003G142390	As009G201070
OG0001250	Np007G424080	As006G135030
OG0001251	Np007G423580	As006G135310
OG0001251	Np003G142720	As009G201580
OG0001252	Np007G423220	As009G202070
OG0001252	Np007G423230	As006G135600
OG0001253	Np007G418550	As006G138960
OG0001254	Np004G195630	As012G271900
OG0001254	Np006G339920	As006G148850
OG0001255	Np002G073450	As010G241660
OG0001255	Np004G239010	As007G153580
OG0001256	Np002G081990	As010G241030
OG0001256	Np004G238500	As007G153970
OG0001257	Np002G081390	As010G240510
OG0001257	Np004G238180	As007G154290
OG0001258	Np002G079010	As010G238870
OG0001259	Np004G235940	As007G155870
OG0001259	Np002G078170	As010G238270
OG0001261	Np004G242390, Np001G025080	As008G183080
OG0001262	Np004G242500, Np001G046050, Np004G242490	As008G183230
OG0001263	Np004G245680, Np002G120670	As008G185060
OG0001264	Np007G407670	As011G245280
OG0001264	Np004G190890	As012G268320
OG0001265	Np004G195450	As012G271440
OG0001265	Np007G380950	As011G253290
OG0001274	Np006G365940	As007G178240
OG0001274	Np005G272430	As001G003270
OG0001275	Np004G234870	As007G156730
OG0001275	Np005G265820	As001G014870
OG0001276	Np002G117670, Np002G117640	As001G021540
OG0001276	Np004G247460	As008G186480
OG0001277	Np002G118150	As001G021700
OG0001277	Np002G118140	As006G125870
OG0001279	Np003G141940	As009G200780
OG0001279	Np007G424530	As006G134750
OG0001280	Np001G019140	As001G027620
OG0001280	Np005G315630	As004G078400
OG0001281	Np005G283250, Np002G123900	As003G061850
OG0001281	Np005G319840	As004G098150
OG0001282	Np005G279670	As002G032810
OG0001283	Np001G061460	As012G283460
OG0001283	Np006G330540	As002G033170
OG0001284	Np003G174190	As002G040880
OG0001284	Np001G006820	As009G219310
OG0001285	Np003G162810, Np003G162990	As002G046220
OG0001285	Np005G278140	As006G132440
OG0001286	Np003G160650, Np003G160660, Np003G160670	As002G046840, As002G046830
OG0001287	Np005G278790	As006G134550
OG0001287	Np003G160360	As002G047070
OG0001288	Np003G138030	As002G051870
OG0001289	Np005G294600	As003G055830
OG0001290	Np003G180270	As004G084370
OG0001290	Np005G283430	As003G061690
OG0001291	Np004G205800	As003G062380
OG0001291	Np004G205790	As003G062370
OG0001292	Np006G351750	As006G128480
OG0001292	Np007G424580	As003G068450, As006G132720
OG0001293	Np001G064530	As012G285310, As003G069570
OG0001294	Np006G369040	As007G180370
OG0001294	Np005G262200	As003G074750
OG0001295	Np005G312720	As004G077550, As004G077530, As004G077540, As004G077570
OG0001296	Np001G036630, Np006G368450, Np006G340850	As004G079870
OG0001297	Np003G183660, Np003G183690, Np003G183680	As004G085780
OG0001298	Np007G383450, Np005G304120	As004G095930
OG0001299	Np006G322400, Np005G310550, Np006G322410	As005G100270
OG0001300	Np001G062950	As012G284530
OG0001300	Np006G328670	As005G104930
OG0001301	Np001G062690, Np005G270830	As012G284300
OG0001301	Np006G328840	As005G105210
OG0001302	Np001G002360	As005G119060
OG0001302	Np001G050990	As010G221410
OG0001303	Np003G189790	As006G121100
OG0001303	Np006G324510, Np004G259700	As008G199380
OG0001304	Np004G251480, Np006G359390	As006G129740
OG0001305	Np007G418880	As006G138870
OG0001305	Np001G014870	As009G206160
OG0001306	Np001G014670	As009G205940
OG0001306	Np007G418580	As006G138930
OG0001307	Np001G017690	As009G208950
OG0001309	Np006G336400	As006G147030
OG0001309	Np001G057040	As012G278060
OG0001310	Np004G239340	As007G153270
OG0001310	Np002G072890	As010G242210
OG0001311	Np001G015520	As009G206930
OG0001312	Np001G017290	As009G209520
OG0001313	Np002G089650	As010G229670
OG0001314	Np007G407760	As011G245230
OG0001314	Np004G190770	As012G268220, As012G268230
OG0001315	Np007G389980, Np004G194270, Np004G195430	As011G247950
OG0001316	Np005G261490	As012G280610
OG0001316	Np004G199760	As012G273940
OG0001316	Np007G392550	As011G249510
OG0001317	Np007G397780	As012G272280
OG0001318	Np005G301480, Np005G301460	As012G274540
OG0001328	Np005G271770, Np006G365590	As001G003730
OG0001330	Np007G376050	As011G264300
OG0001330	Np005G266220	As001G015630
OG0001331	Np002G111050, Np002G112870, Np002G112210	As001G019080
OG0001332	Np002G112980	As001G019570
OG0001332	Np004G249260	As008G187940
OG0001333	Np002G117120	As001G021210
OG0001333	Np004G247640	As008G186610
OG0001334	Np004G241520	As008G182480
OG0001334	Np001G027060	As001G022740
OG0001335	Np003G129180	As009G214520
OG0001335	Np007G411680	As002G035960
OG0001336	Np007G410030, Np003G131790, Np003G131900	As002G037540
OG0001337	Np005G318170, Np003G162220	As002G045530
OG0001338	Np005G277580, Np003G162210	As002G045540
OG0001339	Np003G159330	As002G047440
OG0001339	Np005G278970	As006G134360
OG0001340	Np003G137730, Np003G137740	As002G052060, As002G052070, As010G238380
OG0001341	Np001G012350	As009G215560
OG0001341	Np003G137220	As002G052360
OG0001342	Np003G136300	As002G053260
OG0001342	Np001G003390	As005G118290
OG0001343	Np003G134480	As002G054600
OG0001343	Np001G010330	As009G217260
OG0001344	Np005G293740	As003G056040
OG0001344	Np001G033690	As004G089590
OG0001345	Np005G290990	As003G057260
OG0001345	Np001G036790	As004G088210
OG0001347	Np005G283310	As003G061790
OG0001347	Np007G424680	As006G132770
OG0001348	Np007G375510	As011G264720
OG0001348	Np005G267340	As003G072120
OG0001349	Np007G374970	As011G265000
OG0001349	Np005G267850	As003G072460
OG0001350	Np005G262680	As003G074310
OG0001351	Np005G309460, Np006G359680, Np002G095560, Np005G310630, Np006G361960	As004G076770
OG0001352	Np004G204800	As004G080580
OG0001353	Np001G037140	As004G087990
OG0001354	Np001G068960	As012G288470
OG0001354	Np006G321220	As005G099420
OG0001355	Np001G067050	As012G287310
OG0001355	Np006G323620	As005G101250
OG0001356	Np006G328200	As005G104680
OG0001356	Np001G063620	As012G284960
OG0001358	Np006G329520	As005G105450
OG0001358	Np001G062270	As012G284050
OG0001359	Np001G045770	As010G224750
OG0001360	Np006G356310	As006G125720
OG0001361	Np006G357180, Np006G357200, Np006G357210, Np006G357110	As006G125770
OG0001361	Np004G255380	As008G195770
OG0001362	Np007G380430	As011G253020
OG0001362	Np006G361500	As006G130570
OG0001363	Np005G278520, Np005G278540	As006G132630, As006G132640
OG0001364	Np003G141930	As009G200770
OG0001364	Np007G424540	As006G134740
OG0001365	Np007G424450	As006G134810
OG0001365	Np003G142020	As009G201450
OG0001366	Np003G142950	As009G201800
OG0001366	Np007G423400	As006G135460
OG0001367	Np001G016160	As009G207270
OG0001368	Np003G141160	As006G147840
OG0001370	Np004G234370	As007G157050
OG0001370	Np002G076170	As010G236860
OG0001371	Np004G228400	As007G160120, As007G160130
OG0001372	Np007G422530, Np003G144180	As009G202990
OG0001373	Np004G199010	As012G273140
OG0001373	Np007G394130	As011G250390, As010G231610
OG0001374	Np002G078200, Np004G236040	As010G238300
OG0001375	Np002G071970, Np002G071810, Np002G071910	As010G243020
OG0001376	Np007G406330	As011G246000
OG0001376	Np004G191790	As012G269100
OG0001377	Np007G391420	As011G248870
OG0001378	Np004G199470	As012G273750
OG0001378	Np007G393070	As011G249840
OG0001379	Np007G398080	As011G252120
OG0001379	Np004G196740	As012G272210
OG0001380	Np007G398350	As011G252170
OG0001381	Np004G200090	As012G274100
OG0001392	Np005G265680	As001G014820
OG0001392	Np007G376910	As011G263580
OG0001393	Np007G376240	As011G264210
OG0001393	Np005G266110	As001G015550
OG0001396	Np001G017170, Np001G016830	As001G019470, As001G019500
OG0001397	Np004G248370, Np004G248580	As008G187330
OG0001397	Np002G114320	As001G020160
OG0001398	Np001G027380, Np004G241430	As001G022600
OG0001399	Np001G025170, Np004G242320	As001G023670
OG0001400	Np001G023510	As001G024770
OG0001400	Np004G244050	As008G183950
OG0001401	Np005G316040	As001G027400
OG0001401	Np003G142080	As009G201390, As009G201400
OG0001402	Np005G315840	As004G078470
OG0001402	Np001G019250	As001G027550
OG0001403	Np002G121060	As001G031800
OG0001403	Np004G245480	As008G184840
OG0001404	Np002G120220	As001G032050
OG0001404	Np004G245800	As008G185230
OG0001405	Np003G129520	As002G036110
OG0001406	Np005G262690	As003G074300
OG0001406	Np002G083780	As002G039650
OG0001407	Np003G164950	As002G044620
OG0001407	Np005G276970	As007G166220
OG0001409	Np001G005570, Np003G135060	As002G054220
OG0001410	Np001G034370	As004G089220
OG0001410	Np005G293260	As003G056270
OG0001411	Np005G292230	As003G056550
OG0001411	Np005G292250	As003G056560, As003G056570
OG0001412	Np005G289480	As003G057920
OG0001412	Np001G038230	As004G087620
OG0001413	Np005G286310, Np005G286320	As003G059970
OG0001414	Np004G206240	As003G062700, As003G062680, As003G062690
OG0001415	Np006G343270	As004G081370
OG0001415	Np005G266870, Np004G211370	As003G069080
OG0001416	Np004G212630	As003G070070
OG0001417	Np005G268510	As003G073020
OG0001417	Np006G366700	As007G179140
OG0001418	Np005G261230	As003G075660
OG0001418	Np006G369950	As007G180870
OG0001419	Np005G314300, Np004G237950	As007G162430, As007G154420, As004G077990
OG0001420	Np003G183610, Np005G286250, Np004G223960	As004G085760
OG0001421	Np005G304550, Np007G383870	As004G095760
OG0001422	Np007G419410	As006G138250
OG0001422	Np001G015370	As009G206810, As005G098800
OG0001423	Np006G325270	As005G102370
OG0001423	Np001G065750	As012G286180
OG0001425	Np001G043110	As010G227210
OG0001425	Np003G148980	As005G112160
OG0001426	Np002G088000, Np002G088040, Np002G088050	As005G116420
OG0001426	Np002G088020, Np002G087950	As010G231740, As010G231750, As010G231760
OG0001427	Np003G188430	As006G122030
OG0001427	Np004G258790	As008G198950
OG0001428	Np003G186620	As006G123250
OG0001429	Np003G186570	As006G123290
OG0001429	Np001G069130	As012G288690
OG0001430	Np004G255980, Np001G041140	As006G125000
OG0001431	Np004G255360	As008G195730
OG0001432	Np006G355340	As006G127090
OG0001433	Np004G253140	As008G193560
OG0001433	Np006G354080, Np006G348910	As006G127740
OG0001434	Np006G360480	As006G128970
OG0001434	Np002G087580, Np003G131340	As009G212670
OG0001435	Np006G359770	As006G129550
OG0001436	Np003G145050	As009G203670
OG0001436	Np007G421790, Np007G421840	As009G203660, As006G136680
OG0001437	Np003G145300	As009G203910
OG0001437	Np007G421560	As006G136920
OG0001438	Np001G015580	As009G206980
OG0001438	Np007G419980	As006G138070
OG0001439	Np002G080060, Np002G080700, Np002G080710	As010G239570
OG0001439	Np004G237340	As007G154870
OG0001440	Np004G233500	As007G157740
OG0001441	Np002G082840	As010G235030
OG0001441	Np004G232060	As007G158560
OG0001442	Np002G084560, Np002G084570	As007G159300
OG0001443	Np004G227320	As007G160370
OG0001443	Np002G086430	As010G232820
OG0001446	Np003G134150, Np001G009570	As009G217780
OG0001447	Np002G082930, Np002G082940	As010G234960, As010G234970, As010G235010, As010G234990
OG0001448	Np004G191560	As012G268930
OG0001448	Np007G406590	As011G245790
OG0001449	Np001G001980	As011G246410
OG0001449	Np004G192330	As012G269390
OG0001451	Np004G193660	As012G270080
OG0001452	Np004G193890	As012G270190
OG0001452	Np007G403580	As011G247680
OG0001453	Np004G194160	As012G270500
OG0001453	Np007G402870	As011G247830
OG0001454	Np007G390100	As011G248090
OG0001454	Np004G194330	As012G270620
OG0001455	Np007G391430	As011G248920
OG0001455	Np005G301670	As012G274630
OG0001456	Np007G398070	As011G252110
OG0001456	Np004G196750	As012G272220
OG0001457	Np007G399320	As011G252570
OG0001457	Np004G196440	As012G272010
OG0001464	Np005G274610	As001G001740
OG0001465	Np007G373740	As011G265880
OG0001465	Np005G274410	As001G001900
OG0001466	Np005G272000, Np005G273750, Np005G271660	As001G003810
OG0001466	Np006G365560	As007G177820
OG0001468	Np005G264360	As001G014310
OG0001469	Np004G216300	As001G016070
OG0001470	Np006G340100	As004G083140
OG0001471	Np002G117090	As001G021200
OG0001471	Np004G247650	As008G186620
OG0001472	Np004G241600	As008G182540
OG0001472	Np001G026840	As001G022810
OG0001473	Np001G025150, Np004G242330	As001G023680
OG0001475	Np004G245930	As008G185330
OG0001475	Np002G119910	As001G032140
OG0001476	Np003G126720, Np007G413400, Np007G408840	As002G032390
OG0001477	Np002G117170	As002G032720, As002G032730, As002G032710
OG0001478	Np007G413100	As002G034580, As002G034650, As002G034510
OG0001478	Np003G127160	As005G107960
OG0001479	Np006G340830	As004G079850, As009G213750, As002G036770, As005G102490
OG0001480	Np005G281320	As002G042560
OG0001481	Np003G139930, Np003G139940, Np006G361850	As002G050450
OG0001482	Np003G137540	As002G052160
OG0001482	Np001G012570	As009G215450
OG0001483	Np001G012180	As009G215740
OG0001483	Np003G137010	As002G052570
OG0001484	Np003G136980	As002G052590
OG0001485	Np003G135300	As002G054040
OG0001486	Np003G134990	As002G054240
OG0001487	Np001G010170	As002G054670
OG0001488	Np005G294020	As003G055970
OG0001488	Np001G033200	As004G089810
OG0001489	Np003G183010	As004G085500
OG0001489	Np005G285720	As003G060290
OG0001490	Np004G212060	As003G069830
OG0001490	Np006G342730	As004G081110
OG0001491	Np004G213170	As003G070370
OG0001492	Np006G370010	As007G180810
OG0001492	Np007G377450	As003G075630
OG0001493	Np001G041880	As008G195740, As004G082080
OG0001494	Np003G182150, Np003G182160	As004G085100
OG0001495	Np001G031740, Np001G031590	As004G090990
OG0001496	Np007G386170, Np005G307250	As004G094470, As011G256240
OG0001497	Np005G303400, Np005G303410	As004G096260
OG0001498	Np004G256110, Np005G300820	As004G098070
OG0001499	Np006G321010	As012G288560, As005G099220
OG0001500	Np006G321780	As005G099790
OG0001500	Np001G068520	As012G288210
OG0001501	Np006G322320	As005G100230
OG0001502	Np006G325380	As005G102480
OG0001502	Np001G065740	As012G286170
OG0001503	Np001G065290	As012G285910
OG0001503	Np006G326000	As005G103110
OG0001504	Np006G326920	As005G103840
OG0001505	Np001G064700	As012G285480
OG0001505	Np006G327170	As005G103960
OG0001506	Np007G414070	As006G142150
OG0001506	Np003G125280	As005G106410
OG0001507	Np001G046650	As010G224170
OG0001507	Np003G153320	As005G115720
OG0001508	Np001G049020	As010G222610
OG0001508	Np001G005970	As005G116340
OG0001509	Np001G050810	As010G221530
OG0001509	Np001G002570	As005G118870
OG0001510	Np006G355310	As006G127110
OG0001510	Np004G253860	As008G194330
OG0001511	Np004G251510	As008G191800
OG0001511	Np006G359560	As006G129670
OG0001512	Np006G358450	As006G130250
OG0001513	Np007G424480	As006G134800
OG0001514	Np007G421000, Np003G145820	As006G137350
OG0001515	Np007G418200	As006G139150, As006G139160
OG0001516	Np007G416740	As006G140260
OG0001517	Np001G059940	As012G282480
OG0001517	Np006G332140	As006G142810
OG0001518	Np006G332410, Np001G059850	As006G142890
OG0001519	Np002G080090, Np002G080670	As010G239600
OG0001519	Np004G237350	As007G154860
OG0001520	Np001G048120	As010G223010
OG0001520	Np004G236650	As007G155440
OG0001521	Np002G075540	As007G157310
OG0001522	Np004G230980	As007G159210
OG0001522	Np002G084350	As010G233860
OG0001523	Np002G085500	As007G159770, As007G159760
OG0001524	Np004G210240	As007G162280
OG0001524	Np001G008630	As009G218400
OG0001526	Np001G066980	As007G177880, As012G287270
OG0001527	Np002G071020	As010G243610
OG0001530	Np001G016950	As009G208130, As009G208140
OG0001531	Np003G131520	As009G212540
OG0001531	Np007G410240	As009G212530
OG0001534	Np002G072780	As010G242340, As010G242330
OG0001535	Np004G190910	As012G268330
OG0001535	Np007G407660	As011G245290
OG0001536	Np004G191410	As012G268830
OG0001537	Np004G194090	As012G270460
OG0001537	Np007G402960	As011G247790
OG0001538	Np007G391000	As011G248690
OG0001538	Np004G194940	As012G271020
OG0001539	Np007G387840	As011G257640
OG0001540	Np006G341980, Np006G341990	As012G275340
OG0001541	Np001G069090	As012G288500
OG0001549	Np007G371890, Np005G276370	As008G189360, As001G000350
OG0001550	Np005G270510	As001G002750
OG0001551	Np005G272090	As001G003600
OG0001551	Np006G365720	As007G178090
OG0001552	Np005G270950, Np006G364150	As001G004530
OG0001553	Np002G116340	As001G020960
OG0001553	Np004G248070	As008G186960
OG0001554	Np004G246580	As008G185750
OG0001554	Np002G118880	As001G022010
OG0001555	Np004G244120	As008G183910
OG0001555	Np001G023670	As001G024630
OG0001556	Np006G338360	As006G145370
OG0001556	Np001G022470	As001G025430
OG0001557	Np007G413490, Np007G385220	As002G034230
OG0001558	Np003G129000, Np007G411730	As002G035840
OG0001559	Np003G174860	As002G040240
OG0001560	Np003G174380	As002G040690
OG0001560	Np005G282470	As007G162800
OG0001561	Np003G165650	As002G044310
OG0001562	Np003G158370	As002G047830
OG0001562	Np003G129700	As006G134190, As004G089470, As006G134210
OG0001563	Np003G147370, Np003G139200	As002G050910
OG0001564	Np006G337350, Np004G235160	As002G051580
OG0001565	Np003G134020, Np003G133910	As002G054950
OG0001565	Np001G009480	As009G217850
OG0001566	Np001G037260	As004G087940
OG0001566	Np005G290340	As003G057540
OG0001567	Np004G208560, Np004G208550	As003G063270
OG0001568	Np004G211620, Np004G211630, Np004G211610	As003G069320
OG0001569	Np006G342570	As004G081080
OG0001569	Np004G212540	As003G070040
OG0001570	Np001G064740	As012G285530
OG0001570	Np004G214790	As004G078650, As003G071580
OG0001571	Np007G375930	As011G264410
OG0001571	Np005G266480	As003G071720
OG0001572	Np005G262370	As003G074600
OG0001572	Np006G368930	As007G180280
OG0001573	Np005G261980	As003G074940
OG0001573	Np006G369240	As007G180450
OG0001574	Np005G261180	As003G075700
OG0001574	Np006G370500	As007G180920
OG0001575	Np005G260920	As003G075900
OG0001576	Np005G314570	As004G078100
OG0001577	Np005G315490, Np005G315520	As004G078360
OG0001578	Np003G174510	As004G090820
OG0001579	Np001G031810	As004G090830
OG0001580	Np005G319590, Np002G113920	As004G093790
OG0001581	Np001G069250	As012G288550
OG0001581	Np006G321020	As005G099240
OG0001582	Np001G065200	As012G285890
OG0001582	Np006G326020	As005G103130
OG0001583	Np006G328770	As005G105260
OG0001583	Np001G062620	As012G284240
OG0001584	Np001G062310	As012G284070, As005G105400
OG0001585	Np001G061760	As012G283760
OG0001585	Np006G330080	As005G106110
OG0001587	Np005G300570, Np003G151030, Np005G300420, Np005G300430	As005G113630, As005G113750, As005G113720
OG0001588	Np001G046610	As010G223930
OG0001589	Np001G005870	As005G116400
OG0001589	Np001G049270	As010G222490
OG0001590	Np001G059090	As012G281820
