Orthogroup	Alyssum_gmelinii	Erysimum_linariifolium
OG0003827	Ag002G113880, Ag003G282320	El003G147780
OG0003828	Ag007G579420	El002G118350
OG0003829	Ag007G579060	El006G295440, El002G118820
OG0003830	Ag004G364610	El004G210620, El006G309520, El006G309500
OG0003831	Ag004G310960	El002G092930
OG0003832	Ag001G072110	El003G184660
OG0003833	Ag007G592480	El004G203630
OG0003834	Ag004G401240	El002G089010, El004G194060
OG0003835	Ag004G315870	El002G095930
OG0003835	Ag004G381760	El004G197110
OG0003836	Ag006G492760	El001G080990
OG0003837	Ag007G602830, Ag007G602780, Ag007G602820, Ag007G602840	El001G072400
OG0003838	Ag008G679800	El007G342690
OG0003839	Ag008G688920, Ag008G689580	El007G338050
OG0003840	Ag008G695990	El002G136220, El007G336560
OG0003842	Ag007G610170, Ag007G610160	El001G068810
OG0003844	Ag002G112790	El007G364530
OG0003846	Ag006G542110, Ag006G547100	El003G161350
OG0003847	Ag006G542120, Ag006G547110	El003G161320
OG0003848	Ag006G537010, Ag006G539540	El002G121670
OG0003849	Ag006G539410, Ag006G536880	El002G122160
OG0003850	Ag007G584170	El002G129350
OG0003851	Ag007G581520	El002G115880
OG0003852	Ag003G286900	El003G146310
OG0003853	Ag003G291490	El003G144530
OG0003854	Ag007G646040	El003G186110
OG0003855	Ag006G532540	El001G011330
OG0003856	Ag006G532300	El002G127870
OG0003857	Ag004G343150, Ag004G329730, Ag004G305790	El001G014040
OG0003858	Ag002G156300, Ag002G153890	El007G356430, El002G134500
OG0003859	Ag002G145200	El001G007360
OG0003861	Ag002G104160	El002G127060, El007G363460
OG0003862	Ag002G112350	El007G364550
OG0003863	Ag002G123580	El007G366830
OG0003864	Ag001G098070	El001G034980, El004G210450
OG0003865	Ag002G203770	El006G281280
OG0003866	Ag002G201480	El006G283090
OG0003867	Ag006G491870	El001G081450
OG0003867	Ag006G492170	El006G316650
OG0003868	Ag008G712720	El007G330230
OG0003869	Ag008G712270	El007G330440, El007G330450
OG0003870	Ag003G242180, Ag008G711760	El007G330550
OG0003871	Ag008G710590	El007G330920, El003G168030
OG0003872	Ag006G517000	El001G000730, El001G001020, El001G000720
OG0003873	Ag006G514090, Ag001G047370, Ag001G050070, Ag004G337760	El006G305470, El001G001780
OG0003874	Ag006G509560	El001G003320
OG0003875	Ag004G302030	El002G085940
OG0003876	Ag007G590920	El006G300780
OG0003878	Ag005G481750	El005G241520
OG0003879	Ag005G480240	El005G242540
OG0003881	Ag004G324440	El002G100070
OG0003882	Ag004G329660	El002G102400
OG0003883	Ag004G309950, Ag004G309960	El002G092180, El002G092190
OG0003885	Ag007G598600	El003G159770
OG0003886	Ag003G267320	El003G152070
OG0003890	Ag007G591190, Ag004G305070	El006G301020
OG0003891	Ag007G619990	El001G065530
OG0003893	Ag005G486160	El005G238640
OG0003893	Ag007G631400	El001G062410
OG0003894	Ag007G603460, Ag007G637010	El001G049470
OG0003895	Ag003G279770	El001G028530
OG0003896	Ag007G640340	El007G345400
OG0003897	Ag005G411040, Ag003G233160, Ag003G226500, Ag006G501910	El001G076240
OG0003898	Ag005G445340, Ag006G499450	El002G139110, El001G077330
OG0003899	Ag004G348320, Ag004G399370, Ag008G720340, Ag008G720330	El003G189420
OG0003901	Ag001G054560	El001G017330
OG0003901	Ag003G261750, Ag008G727900	El007G328080
OG0003902	Ag003G293420	El001G016490
OG0003903	Ag003G294220	El003G143200
OG0003904	Ag006G554680, Ag003G220070	El004G229440
OG0003905	Ag003G220390	El004G229350
OG0003906	Ag006G574780	El002G108830
OG0003907	Ag003G223270	El004G228720
OG0003908	Ag003G212480	El004G232310
OG0003909	Ag003G211630, Ag003G211620	El004G232910
OG0003910	Ag005G466350	El005G250460, El001G045770, El001G045780, El005G250450, El002G102260
OG0003912	Ag001G006930	El002G138790, El002G138800
OG0003914	Ag005G461840	El005G252840
OG0003915	Ag005G452140	El005G256450
OG0003916	Ag005G448510	El005G244550, El005G257300
OG0003917	Ag005G446550	El005G257960
OG0003918	Ag005G445080	El005G258460
OG0003919	Ag005G440670	El005G260130, El005G260120
OG0003920	Ag005G437100	El005G261980
OG0003921	Ag005G406440	El005G277930
OG0003921	Ag006G495640	El001G010650
OG0003922	Ag001G006190	El002G138830, El002G138820, El002G138150
OG0003923	Ag001G027770	El002G131350, El002G131360
OG0003924	Ag001G066150	El001G022070
OG0003925	Ag001G077400, Ag006G510110	El001G026090, El001G026110
OG0003926	Ag001G093930	El001G033030
OG0003928	Ag004G383160, Ag001G013340, Ag001G013390, Ag001G013350, Ag006G500800, Ag006G500790, Ag006G500870, Ag001G080400	El005G238700
OG0003929	Ag007G611620	El003G173950, El004G214310
OG0003929	Ag004G312210, Ag004G312190, Ag001G025250	El002G132440
OG0003929	Ag007G591150	El002G132420, El002G132450, El002G132480, El002G132470
OG0003930	Ag004G298140	El002G108250
OG0003930	Ag006G519890	El002G083190
OG0003931	Ag004G327710	El002G101730
OG0003932	Ag004G369470	El003G186160
OG0003933	Ag005G447390, Ag005G447380, Ag007G649100	El001G045520, El001G045480
OG0003935	Ag006G507070	El001G074590
OG0003936	Ag007G585980	El003G159100
OG0003948	Ag003G259770	El003G153200
OG0003948	Ag005G407590	El005G277600
OG0003949	Ag004G302760, Ag004G302780, Ag004G302770, Ag004G302750	El003G152380
OG0003950	Ag007G578600	El002G119370
OG0003951	Ag001G102050	El003G171290
OG0003952	Ag008G733540	El004G208810
OG0003953	Ag004G373920	El004G200160
OG0003954	Ag008G659980	El001G037080
OG0003955	Ag008G661450	El001G037990
OG0003956	Ag001G028260, Ag003G290050	El006G281780
OG0003959	Ag002G188040	El006G288760
OG0003960	Ag006G498300	El001G077960
OG0003961	Ag005G474210	El005G246350
OG0003961	Ag006G500300	El001G076980
OG0003962	Ag005G473140	El005G246960
OG0003963	Ag002G147190	El004G196090
OG0003964	Ag002G104130	El007G363500, El007G363420
OG0003964	Ag007G622000	El007G363440
OG0003965	Ag008G675890	El007G343350
OG0003966	Ag003G253180	El003G155980
OG0003967	Ag007G609200	El001G069310
OG0003968	Ag008G720240	El001G052340
OG0003968	Ag007G607740	El001G069960
OG0003969	Ag007G607450	El001G070190
OG0003970	Ag008G721570	El001G054240
OG0003972	Ag007G600000	El003G176150, El001G074140
OG0003973	Ag002G114200, Ag002G121890	El007G366340
OG0003974	Ag001G069240	El001G023050
OG0003974	Ag006G574350	El003G167920
OG0003975	Ag006G562610	El003G165180
OG0003977	Ag001G071610	El005G253780, El001G023710
OG0003980	Ag003G288900	El003G145670
OG0003981	Ag003G289120, Ag003G289090	El003G145570
OG0003982	Ag003G291260	El003G144470, El003G144460
OG0003983	Ag006G522990	El006G319730
OG0003984	Ag002G148260	El001G009100, El001G009120
OG0003985	Ag002G137600, Ag002G138470	El007G360560, El007G360450, El007G360580, El007G360700, El007G360670, El007G360590, El007G360630, El001G005210
OG0003986	Ag002G104920	El007G363850
OG0003986	Ag002G104890	El007G363840
OG0003987	Ag005G472880	El005G268810
OG0003988	Ag001G036810	El003G175110
OG0003989	Ag001G033020	El003G172590
OG0003990	Ag007G655690	El001G042100, El003G192200
OG0003991	Ag001G096820	El001G034490
OG0003991	Ag002G204630	El006G280840
OG0003992	Ag002G204330	El006G281040
OG0003993	Ag001G094440	El007G335230, El001G033280
OG0003994	Ag004G348090, Ag003G238840	El002G110220, El004G221010
OG0003995	Ag002G198630	El006G284750
OG0003996	Ag002G198100	El006G285040
OG0003997	Ag006G491450	El001G081790
OG0003998	Ag006G493010	El001G080800
OG0003999	Ag005G475710	El005G245710
OG0004000	Ag008G711570	El003G188780, El007G330620, El001G014270
OG0004001	Ag008G708770	El007G331770
OG0004002	Ag008G729610	El007G327020
OG0004003	Ag007G596910	El006G306660
OG0004004	Ag006G516080	El001G001100
OG0004005	Ag007G591330	El006G301720
OG0004006	Ag007G596810	El006G306610
OG0004007	Ag005G485020	El005G239460
OG0004008	Ag005G484460	El005G239920
OG0004009	Ag001G026710	El005G242500
OG0004010	Ag005G479120	El005G243340
OG0004011	Ag002G185800	El006G289360
OG0004012	Ag002G184130	El006G289820
OG0004013	Ag001G079690	El001G027010
OG0004014	Ag006G557800	El003G181910, El002G125970
OG0004015	Ag002G180260	El006G290820
OG0004016	Ag002G181440	El006G290520
OG0004017	Ag002G171670	El006G293170
OG0004018	Ag007G603700	El001G072100
OG0004019	Ag002G177640, Ag002G177720	El006G291550
OG0004021	Ag002G176840	El006G291700
OG0004022	Ag001G010330	El006G316040
OG0004024	Ag004G324940	El002G100390
OG0004025	Ag003G241530	El002G108530
OG0004026	Ag007G598560	El003G159820, El007G343860
OG0004027	Ag007G586230	El003G159370, El007G342600
OG0004028	Ag007G585600	El003G158940
OG0004029	Ag008G687110	El007G339350
OG0004030	Ag006G527660	El006G316910
OG0004031	Ag002G164790	El006G295150, El006G295140
OG0004032	Ag006G518300	El006G321730
OG0004033	Ag004G315410	El002G095690, El004G197900
OG0004034	Ag001G009910, Ag001G009870, Ag001G070540	El004G196330
OG0004035	Ag004G307560, Ag004G307380	El002G090300, El002G090470
OG0004036	Ag005G456180, Ag004G334840, Ag008G694810	El007G351360, El001G012000
OG0004037	Ag004G300010	El005G267930, El002G084680, El005G260270
OG0004038	Ag007G620880	El001G065340
OG0004039	Ag007G634690	El001G051280
OG0004043	Ag006G500390, Ag001G053840	El007G346060, El005G269110
OG0004044	Ag006G499970	El001G077130
OG0004045	Ag008G721630	El001G054340
OG0004045	Ag008G721640	El001G054360
OG0004046	Ag008G723630	El001G056370
OG0004047	Ag008G723740	El001G056430, El007G346830
OG0004049	Ag008G726100	El007G329250
OG0004050	Ag008G714000	El001G013670, El001G057470
OG0004051	Ag008G715620	El001G058330
OG0004052	Ag004G343240, Ag004G343140, Ag004G343200, Ag004G343190	El004G223160
OG0004053	Ag003G214680	El004G231590, El001G032980
OG0004055	Ag005G468430	El005G249700, El001G051600
OG0004056	Ag001G031870	El003G172230
OG0004057	Ag005G459110	El005G253990
OG0004058	Ag005G459090	El005G254000
OG0004059	Ag005G456450	El005G254980
OG0004060	Ag005G456130	El005G255240, El006G320300
OG0004061	Ag005G455680	El005G255360
OG0004061	Ag001G024550	El002G132410
OG0004062	Ag005G454690, Ag005G454700	El005G255790
OG0004064	Ag001G013380	El002G134960
OG0004065	Ag005G443970, Ag005G442730, Ag005G442750, Ag005G443980	El005G259070
OG0004066	Ag005G438900	El005G261150
OG0004067	Ag005G430160, Ag005G430720, Ag005G465990	El005G267550, El007G352750
OG0004068	Ag006G515360, Ag002G201760	El007G344800, El005G272860
OG0004069	Ag001G021080	El002G133300
OG0004070	Ag005G464610	El005G251390
OG0004071	Ag001G083040	El001G028270, El002G127220
OG0004072	Ag001G085270	El001G029140, El006G287280
OG0004073	Ag001G090330	El001G030860
OG0004074	Ag007G619090, Ag007G619070, Ag007G655910	El003G192460
OG0004075	Ag002G102550	El007G361990
OG0004077	Ag002G173500, Ag002G173490, Ag002G174870, Ag002G173590, Ag002G142890, Ag002G177250, Ag002G177260, Ag002G177140, Ag002G177240, Ag002G177160, Ag003G229440, Ag002G177200, Ag004G396050, Ag007G630560, Ag002G177170, Ag008G698690	El006G314120, El006G314150
OG0004081	Ag005G475230	El001G004270, El005G245870
OG0004082	Ag006G512850	El001G009760, El001G001990
OG0004084	Ag008G664320	El001G039760, El001G039770
OG0004091	Ag003G266300	El003G152610, El006G318060
OG0004092	Ag003G265100, Ag003G266010	El003G152520
OG0004093	Ag003G272890, Ag003G267000	El003G152150
OG0004094	Ag003G274520	El003G148870
OG0004095	Ag003G274100	El003G148780
OG0004096	Ag003G281420	El003G148160
OG0004097	Ag004G367700	El004G203700, El004G205020
OG0004097	Ag004G376110	El004G204770, El004G203710
OG0004098	Ag004G311240, Ag008G667080	El002G093090
OG0004099	Ag001G083920	El001G036190
OG0004101	Ag002G129470, Ag008G695630, Ag002G172560	El007G336660, El003G162300
OG0004102	Ag007G657580	El003G193490
OG0004105	Ag008G689540, Ag008G688940	El007G338040
OG0004106	Ag008G693740	El007G337600
OG0004107	Ag002G201130	El006G289220
OG0004108	Ag008G698070	El007G335900
OG0004109	Ag008G720700	El001G070410
OG0004110	Ag007G603220	El001G072300
OG0004112	Ag008G726060	El007G329300
OG0004113	Ag006G574430	El003G167970
OG0004114	Ag006G574370	El003G167940
OG0004115	Ag006G573910	El003G167590
OG0004116	Ag006G562240, Ag006G562230, Ag006G562370, Ag006G562350, Ag006G562360	El003G165200
OG0004117	Ag006G564110	El003G164860
OG0004118	Ag004G348130, Ag005G436750, Ag006G566630	El003G164190
OG0004120	Ag006G563680	El003G164950
OG0004121	Ag001G004820, Ag006G532110	El002G127690
OG0004122	Ag006G531690	El002G127270
OG0004123	Ag007G582440	El002G114980
OG0004125	Ag003G289200	El003G145520
OG0004126	Ag002G169590	El007G343820
OG0004127	Ag003G291650, Ag007G603250	El003G144570
OG0004129	Ag004G307330	El002G090270
OG0004131	Ag003G222090, Ag006G527360, Ag005G404370, Ag005G468830	El005G279510
OG0004134	Ag007G585340	El002G130930
OG0004135	Ag002G146830	El001G008070, El003G161040
OG0004136	Ag002G143850, Ag002G144330	El001G006780
OG0004137	Ag002G114980, Ag002G121320	El007G366290
OG0004139	Ag007G655790	El003G192390
OG0004140	Ag002G205790	El006G280440
OG0004141	Ag002G204610	El006G280860
OG0004142	Ag002G198830	El006G284580
OG0004143	Ag002G197750	El006G285180
OG0004144	Ag002G195870	El006G285960
OG0004145	Ag002G195620	El006G286110
OG0004146	Ag001G088080, Ag004G364710	El001G030200
OG0004147	Ag008G716620	El001G059020, El001G011970
OG0004148	Ag008G716060	El001G058480
OG0004149	Ag008G713210, Ag008G713160, Ag008G713130, Ag002G106380, Ag002G106490, Ag002G106420, Ag008G713240	El001G057240
OG0004150	Ag008G711110	El007G330840
OG0004151	Ag008G707070	El007G332360
OG0004152	Ag004G384710, Ag008G730780	El007G326370
OG0004153	Ag004G298190	El002G083210
OG0004154	Ag006G515450, Ag006G515460	El001G001290
OG0004155	Ag006G515250	El001G001340
OG0004156	Ag006G511030	El001G002890
OG0004157	Ag006G510870	El001G002910
OG0004158	Ag007G587400	El001G079980, El007G359360
OG0004159	Ag004G302220	El002G086150
OG0004160	Ag007G590190	El006G300290
OG0004161	Ag007G590440	El006G300450
OG0004162	Ag007G592360	El006G302160
OG0004163	Ag007G592490	El006G302250
OG0004164	Ag004G306090	El002G089360
OG0004164	Ag007G592690	El006G302430
OG0004166	Ag006G527090	El006G312520, El001G012180
OG0004168	Ag007G613610	El001G067270
OG0004168	Ag001G100740	El005G235220, El005G235190
OG0004169	Ag005G488110	El005G237370
OG0004170	Ag005G486310	El005G238530
OG0004171	Ag005G485570	El005G239030
OG0004172	Ag005G484510	El005G239860
OG0004173	Ag005G484630	El005G239770
OG0004174	Ag005G479500	El005G242870
OG0004175	Ag002G187110	El006G289070
OG0004176	Ag002G174040	El006G292490
OG0004177	Ag002G175450	El006G292110
OG0004178	Ag004G324760	El002G100240
OG0004179	Ag004G331540	El002G103210
OG0004181	Ag004G334850	El002G105080
OG0004182	Ag003G240750	El004G223930
OG0004183	Ag006G528720	El003G160130
OG0004184	Ag007G598340	El003G160030
OG0004186	Ag007G580640	El003G189720, El001G010430
OG0004187	Ag007G586380	El003G159490
OG0004188	Ag004G308420, Ag007G649600	El007G341720, El003G183610
OG0004189	Ag004G317020	El002G096490
OG0004190	Ag004G316030	El002G096020
OG0004191	Ag004G308370	El002G091030
OG0004192	Ag004G300370, Ag002G119850	El002G084970, El001G009000
OG0004193	Ag007G621110	El007G341260, El004G198200
OG0004194	Ag007G621800	El001G064990, El001G065000, El001G064830
OG0004195	Ag007G624750	El001G063700, El006G319130
OG0004196	Ag007G636150, Ag005G438290	El001G050270
OG0004197	Ag006G506040	El001G074830
OG0004198	Ag008G720140	El001G052210, El001G052200
OG0004199	Ag003G272140	El003G150900, El003G150910
OG0004201	Ag008G724020	El001G056680
OG0004202	Ag008G725050	El007G329890
OG0004203	Ag008G727790	El003G155590
OG0004204	Ag008G728040	El007G328020
OG0004205	Ag008G706110	El007G332910
OG0004206	Ag008G693080	El001G019500, El001G019490
OG0004208	Ag003G234290, Ag008G711340	El004G226170, El001G010080
OG0004209	Ag004G342800	El004G223310
OG0004210	Ag004G342480	El004G223500
OG0004211	Ag005G407140, Ag003G240720	El006G312050, El004G223940
OG0004212	Ag003G215960, Ag003G215950	El004G230890
OG0004213	Ag003G278860, Ag008G710410, Ag001G094050, Ag002G164830, Ag003G231800	El004G226770
OG0004214	Ag004G331660, Ag003G236990	El004G225390, El004G213830, El004G213810
OG0004216	Ag003G209710	El004G233630
OG0004217	Ag005G470720	El005G248510
OG0004219	Ag005G463350	El005G252170
OG0004220	Ag005G462310	El005G252700
OG0004221	Ag006G569880	El003G166270
OG0004223	Ag005G452400	El005G256410
OG0004224	Ag005G450720	El005G256730
OG0004225	Ag005G449080	El005G257100
OG0004226	Ag005G442370, Ag005G443680	El005G259260
OG0004227	Ag005G440980	El005G260080
OG0004228	Ag005G440860	El005G260090
OG0004229	Ag005G439120	El005G261070
OG0004230	Ag005G438770	El005G261210
OG0004231	Ag005G437060	El005G261990
OG0004232	Ag005G434350, Ag005G433490, Ag005G434360	El005G265210
OG0004233	Ag005G433780, Ag005G432450	El005G265680
OG0004234	Ag005G413170, Ag005G413690	El005G275530
OG0004235	Ag005G408210	El005G277520
OG0004236	Ag003G255860	El003G154940
OG0004238	Ag001G000840	El002G141080
OG0004239	Ag001G001050	El002G140860
OG0004239	Ag001G001040	El002G140880
OG0004240	Ag001G003840	El002G139680
OG0004241	Ag001G004850	El002G139330
OG0004242	Ag001G006260	El002G138180
OG0004243	Ag001G006680	El002G138460
OG0004244	Ag001G011310	El002G135680
OG0004245	Ag001G024660	El001G042710
OG0004246	Ag001G026740, Ag001G026670	El002G131630
OG0004248	Ag005G481170	El005G241930
OG0004249	Ag001G091100, Ag007G608190	El001G051830
OG0004250	Ag003G208980	El003G183310, El004G233960
OG0004251	Ag001G084610	El001G028830
OG0004252	Ag002G193290	El006G287000
OG0004253	Ag001G093530	El001G032600, El004G213190, El003G174290
OG0004254	Ag001G095160	El001G076630, El001G033690
OG0004255	Ag001G097160	El001G034580
OG0004256	Ag001G014590, Ag006G495740, Ag003G279280	El001G079220
OG0004256	Ag006G495760	El001G079210
OG0004258	Ag002G190970, Ag002G187420, Ag002G190900	El006G287900
OG0004259	Ag002G198450, Ag002G198440, Ag002G198420, Ag002G198410	El007G337990
OG0004260	Ag006G517270	El001G000580
OG0004262	Ag004G388020, Ag004G393150	El004G195870
OG0004263	Ag006G523540	El006G318820
OG0004264	Ag008G703060	El006G297090
OG0004275	Ag003G256100	El003G154790
OG0004276	Ag005G409530	El005G277420
OG0004277	Ag003G261350	El003G152910
OG0004278	Ag003G268000	El003G151820
OG0004279	Ag003G268820	El003G151580
OG0004280	Ag003G276710	El003G149460
OG0004281	Ag003G273710, Ag003G273720	El003G148570
OG0004282	Ag003G282210	El003G147830, El004G233250
OG0004283	Ag003G284310	El003G147200
OG0004284	Ag007G579370	El002G118360
OG0004285	Ag007G578390	El002G119560
OG0004286	Ag004G366100	El004G208730, El004G208700
OG0004287	Ag005G452920, Ag006G566270	El001G036220
OG0004288	Ag008G660880	El001G037790
OG0004289	Ag008G663610	El001G039360
OG0004290	Ag008G668950	El001G041970
OG0004291	Ag005G432370, Ag001G054990	El007G366440
OG0004293	Ag001G039690, Ag001G046900	El004G211550
OG0004294	Ag002G194640	El006G286540
OG0004295	Ag002G189910	El006G288200
OG0004296	Ag005G476010	El005G245330
OG0004297	Ag005G473650	El005G246710
OG0004298	Ag005G472140	El005G247610
OG0004299	Ag008G675530	El007G343320
OG0004300	Ag008G676300	El007G342820
OG0004301	Ag006G570710	El007G342750
OG0004302	Ag008G680460	El007G342260
OG0004304	Ag008G705070	El007G333570
OG0004305	Ag008G719740, Ag005G469720, Ag005G446370	El001G051550
OG0004306	Ag007G611760	El001G068260
OG0004307	Ag007G608370	El001G069650
OG0004308	Ag007G605780	El001G071140
OG0004309	Ag007G601380	El001G073320
OG0004310	Ag007G600820	El001G073640
OG0004311	Ag002G116430	El007G365030
OG0004312	Ag006G575250	El003G168320
OG0004313	Ag006G572860	El003G167290
OG0004314	Ag006G559370	El003G165790
OG0004315	Ag006G561370	El003G165390
OG0004316	Ag006G562990, Ag006G563020	El003G165070
OG0004317	Ag006G563670	El003G164960
OG0004318	Ag006G551590, Ag006G551600	El003G162830
OG0004319	Ag006G551220	El003G162690
OG0004320	Ag006G548640, Ag006G545880, Ag006G548130, Ag006G546550	El003G161760
OG0004321	Ag006G543990, Ag006G543600	El003G160780
OG0004324	Ag005G437640	El005G261580
OG0004325	Ag007G656490, Ag001G006700	El007G353050, El007G352990, El007G352940, El002G138480, El007G352960, El007G353020
OG0004326	Ag007G581810	El002G115620
OG0004327	Ag007G580590	El002G117080
OG0004328	Ag007G580420	El002G117220
OG0004329	Ag007G597360	El006G307530, El006G307540
OG0004330	Ag003G286610	El003G146420
OG0004331	Ag003G289550	El003G145310
OG0004332	Ag003G289690	El003G145220
OG0004333	Ag002G148630	El001G009310
OG0004334	Ag002G143780	El001G006840, El001G006860, El001G006810
OG0004335	Ag006G557190, Ag006G557320, Ag006G557450, Ag006G557490	El004G214270, El003G182050
OG0004336	Ag004G372690	El005G271140, El003G182540
OG0004337	Ag005G426480	El005G269380, El003G180010
OG0004338	Ag001G043170	El003G179720, El005G252260
OG0004339	Ag001G036730	El003G175080
OG0004340	Ag001G035810	El003G174490, El003G174470
OG0004341	Ag001G035240	El003G174240, El001G076320
OG0004342	Ag002G113750, Ag002G121490, Ag002G121780, Ag002G114110, Ag001G000310	El002G139310
OG0004343	Ag002G206440, Ag001G098230	El001G035220
OG0004344	Ag002G204620	El006G280850
OG0004345	Ag002G203360	El006G281710
OG0004346	Ag002G202980	El006G281970
OG0004347	Ag002G199090	El004G228970
OG0004348	Ag002G196540	El006G285730
OG0004349	Ag001G086280	El001G029660
OG0004350	Ag008G719100	El001G060350
OG0004351	Ag008G718840, Ag008G662730	El006G289670
OG0004352	Ag002G184820	El006G289680
OG0004353	Ag008G715070	El001G058130
OG0004354	Ag008G708130	El007G331930
OG0004355	Ag008G730150, Ag004G344020	El007G326860
OG0004356	Ag008G692390, Ag004G345130, Ag008G730620	El007G326500
OG0004357	Ag008G733010	El007G324680
OG0004358	Ag008G734660	El007G323320
OG0004359	Ag008G734790	El007G323150
OG0004360	Ag004G297400	El001G068680, El002G082530
OG0004361	Ag006G517020	El001G000690
OG0004362	Ag004G300970	El002G085320
OG0004364	Ag007G588190	El006G298570
OG0004365	Ag004G304990	El002G088320
OG0004366	Ag007G591440	El006G301240
OG0004368	Ag007G592410	El006G302190
OG0004369	Ag007G592580	El006G302330
OG0004370	Ag007G592650	El006G302390
OG0004371	Ag007G593510	El006G302920
OG0004372	Ag001G100200, Ag001G100230, Ag001G100220, Ag001G100210, Ag001G100240	El005G235640, El006G301590
OG0004373	Ag005G488640	El005G237000
OG0004374	Ag005G484160	El005G240110
OG0004375	Ag005G484020	El001G049620, El008G369200, El008G369580
OG0004376	Ag005G483440	El005G240470
OG0004377	Ag005G482420, Ag005G482430	El005G241070
OG0004378	Ag005G482190	El005G241280, El001G026360
OG0004379	Ag005G481540	El005G241580
OG0004380	Ag005G480230	El005G242550
OG0004381	Ag002G165580	El006G294860
OG0004382	Ag002G166100	El006G294670
OG0004383	Ag002G169890, Ag002G169880, Ag002G169910	El006G293590
OG0004384	Ag001G072910	El001G024200
OG0004385	Ag004G324490	El002G100110
OG0004386	Ag004G328140	El002G101860
OG0004387	Ag003G236320	El004G225710, El004G225690
OG0004388	Ag003G233140	El004G226580
OG0004389	Ag004G330500	El002G102900
OG0004390	Ag003G218790	El004G230160
OG0004391	Ag003G240800	El004G223910
OG0004392	Ag002G126470, Ag002G126500, Ag002G126580	El002G108070
OG0004393	Ag003G245170	El002G111260
OG0004394	Ag006G530730	El002G112340
OG0004395	Ag007G598530	El003G159840
OG0004396	Ag005G460070	El006G317130
OG0004397	Ag004G317980	El002G097040
OG0004398	Ag004G316770	El002G096410
OG0004399	Ag004G316460	El002G096290
OG0004400	Ag004G314840	El002G095270
OG0004401	Ag004G313080	El002G094150
OG0004402	Ag004G312290	El002G093660
OG0004403	Ag004G311200	El002G093060
OG0004404	Ag004G309250	El002G091790
OG0004405	Ag004G307860, Ag004G307870, Ag004G307880	El002G090720
OG0004406	Ag004G307650	El002G090540
OG0004407	Ag003G207440, Ag007G617680	El001G066260
OG0004408	Ag007G621700	El001G065060
OG0004409	Ag007G623990	El001G064110
OG0004410	Ag007G630280	El001G062080
OG0004411	Ag004G304390, Ag007G630020	El001G061990
OG0004412	Ag007G634760	El001G051130, El001G051180
OG0004413	Ag007G636600	El001G049720
OG0004414	Ag007G643050	El007G349480
OG0004416	Ag008G720390	El001G052550, El001G052540
OG0004417	Ag008G723060	El006G312360
OG0004417	Ag008G723050	El001G055900
OG0004418	Ag005G416320, Ag008G723820	El001G056500
OG0004419	Ag008G724390, Ag007G600880	El001G056980
OG0004420	Ag008G725750	El007G329490
OG0004421	Ag008G695230	El001G057480, El001G019550
OG0004422	Ag004G353210	El004G219110
OG0004423	Ag003G236690, Ag007G607280, Ag004G348250	El004G220860
OG0004424	Ag004G345850	El004G221780
OG0004425	Ag004G344420	El004G222340
OG0004426	Ag004G341810	El004G223730
OG0004427	Ag003G240580	El004G224030
OG0004428	Ag003G225740	El004G228120
OG0004429	Ag003G230460	El001G045080, El004G227130
OG0004430	Ag003G230480	El004G227100
OG0004430	Ag003G230490	El004G227090
OG0004431	Ag003G238290	El004G224990
OG0004432	Ag003G213490	El004G231970
OG0004433	Ag003G212400	El004G232390
OG0004434	Ag003G211860	El004G232770
OG0004435	Ag003G210990	El004G233170
OG0004436	Ag005G470370	El005G248730
OG0004437	Ag005G467470	El005G250240
OG0004438	Ag005G466410	El005G250380
OG0004439	Ag005G466050	El005G250600
OG0004440	Ag005G464380	El005G251600
OG0004441	Ag005G463880	El005G251900
OG0004442	Ag005G463490	El005G252060
OG0004443	Ag005G461660	El005G252960
OG0004445	Ag005G448380	El005G257370
OG0004445	Ag001G015880	El002G134510
OG0004446	Ag004G371410, Ag004G371300	El005G257740
OG0004447	Ag005G442960, Ag005G444250	El005G258900
OG0004448	Ag005G444210, Ag005G442940	El005G258920
OG0004449	Ag002G202790	El005G259460
OG0004450	Ag005G440420	El002G139630, El005G260290
OG0004451	Ag005G435470	El005G264490
OG0004452	Ag001G095600	El003G149690
OG0004453	Ag005G410520	El005G276890
OG0004454	Ag005G412580	El005G276300
OG0004455	Ag005G408450	El005G277460
OG0004456	Ag005G403630	El006G294790
OG0004457	Ag001G008550	El002G137200, El002G137180, El002G137190
OG0004458	Ag001G010920	El003G190400, El002G135860
OG0004459	Ag001G014550, Ag001G014490, Ag001G014600	El002G134750
OG0004460	Ag001G024700	El002G132310
OG0004461	Ag007G581480	El006G296880, El002G115930
OG0004462	Ag001G065400	El001G022260
OG0004463	Ag001G073790, Ag001G073950	El001G024670
OG0004464	Ag001G077220	El001G026010
OG0004465	Ag001G080890	El001G027490
OG0004466	Ag001G082260	El001G028080
OG0004467	Ag006G500480	El007G339890, El007G339900
OG0004468	Ag001G086140	El001G029580
OG0004469	Ag001G086320	El001G029700
OG0004470	Ag001G088150	El001G030230
OG0004472	Ag001G094770	El002G136490, El001G033450
OG0004474	Ag001G098330	El001G035320
OG0004475	Ag001G021580, Ag006G538750, Ag006G536250, Ag001G021620	El002G133130
OG0004477	Ag006G558390	El007G345080
OG0004478	Ag001G092890	El001G032140
OG0004480	Ag002G171710	El006G297850
OG0004482	Ag004G314010, Ag004G314020, Ag004G314000	El002G109530, El002G109520
