Orthogroup	Alyssum_gmelinii	Cardamine_amara
OG0001815	Ag007G630370	evm.model.RL_4.1787
OG0001816	Ag007G637250	evm.model.RL_4.1026
OG0001817	Ag006G501100	evm.model.RL_4.2985
OG0001817	Ag005G473710	evm.model.RL_1.1025
OG0001818	Ag008G722420	evm.model.RL_4.1280
OG0001819	Ag001G099880	evm.model.RL_8.2809
OG0001819	Ag001G063050	evm.model.RL_7.1291
OG0001820	Ag008G723650, Ag008G690870, Ag008G691000	evm.model.RL_7.1507_evm.model.RL_7.1508
OG0001821	Ag001G008650	evm.model.RL_5.3706
OG0001821	Ag005G462350	evm.model.RL_1.1520
OG0001823	Ag005G403260	evm.model.RL_1.3207
OG0001824	Ag002G172600	evm.model.RL_6.1829
OG0001824	Ag001G073050	evm.model.RL_7.1016
OG0001825	Ag002G183980	evm.model.RL_6.2099
OG0001825	Ag001G079270	evm.model.RL_7.793
OG0001826	Ag001G082390	evm.model.RL_7.690
OG0001826	Ag002G189550	evm.model.RL_6.2237
OG0001828	Ag002G199770	evm.model.RL_6.2586, evm.model.RL_6.2589
OG0001828	Ag001G092410	evm.model.RL_7.345.6.687c84b4
OG0001830	Ag001G087930	evm.model.RL_7.519
OG0001830	Ag001G087790, Ag001G087750	evm.model.RL_7.521
OG0001831	Ag002G174920, Ag002G123490, Ag004G335270	evm.model.RL_4.34, evm.model.RL_5.3836, evm.model.RL_4.29, evm.model.RL_4.32, evm.model.RL_4.30, evm.model.RL_4.33, evm.model.RL_4.130
OG0001832	Ag002G172720, Ag002G172670, Ag002G174240, Ag002G141910, Ag002G141860, Ag002G164000, Ag002G164010	evm.model.RL_7.2294, evm.model.RL_1.2728, evm.model.RL_7.2297, evm.model.RL_7.2293
OG0001833	Ag003G270110	evm.model.RL_2.2674.1.687c86e6
OG0001833	Ag003G270090	evm.model.RL_2.2673
OG0001834	Ag004G323860, Ag004G323810	evm.model.RL_5.1433
OG0001835	Ag004G333740	evm.model.RL_5.1844
OG0001837	Ag006G499540, Ag006G499470, Ag006G499480	evm.model.RL_4.3019
OG0001838	Ag006G577600, Ag006G577590	evm.model.RL_2.1297
OG0001845	Ag003G265620, Ag003G266430	evm.model.RL_2.2556
OG0001846	Ag005G416590	evm.model.RL_1.2890
OG0001846	Ag003G285350	evm.model.RL_2.3050
OG0001847	Ag001G101550	evm.model.RL_2.1238
OG0001848	Ag004G311930	evm.model.RL_5.910
OG0001850	Ag008G668520	evm.model.RL_2.84, evm.model.RL_7.2318
OG0001851	Ag007G654120	evm.model.RL_2.57
OG0001851	Ag008G669260	evm.model.RL_7.2277
OG0001852	Ag007G648730	evm.model.RL_2.270
OG0001855	Ag004G361890	evm.model.RL_3.929
OG0001856	Ag004G379750	evm.model.RL_3.246
OG0001856	Ag004G315210	evm.model.RL_5.1074
OG0001857	Ag008G701620	evm.model.RL_8.1778.1.687c855d
OG0001858	Ag006G497350	evm.model.RL_4.3113
OG0001858	Ag005G475780	evm.model.RL_1.935
OG0001859	Ag005G475220	evm.model.RL_1.962
OG0001859	Ag006G498220	evm.model.RL_4.3080
OG0001860	Ag006G501110	evm.model.RL_4.2984
OG0001861	Ag005G473470	evm.model.RL_1.1036
OG0001861	Ag006G501580	evm.model.RL_4.2962
OG0001862	Ag006G504810	evm.model.RL_4.2888
OG0001862	Ag005G472120	evm.model.RL_1.1096
OG0001863	Ag007G586220	evm.model.RL_2.2038
OG0001864	Ag001G057530	evm.model.RL_2.2241
OG0001865	Ag008G693500	evm.model.RL_8.1553
OG0001865	Ag003G251520	evm.model.RL_2.2233.3.687c86e5
OG0001866	Ag008G694080	evm.model.RL_8.1578
OG0001866	Ag003G251060	evm.model.RL_2.2218
OG0001867	Ag008G702770	evm.model.RL_8.1824, evm.model.RL_2.2099
OG0001868	Ag008G719670	evm.model.RL_4.1700
OG0001869	Ag008G733320	evm.model.RL_8.2649
OG0001869	Ag007G605070	evm.model.RL_4.2527
OG0001870	Ag008G732940	evm.model.RL_8.2625
OG0001870	Ag007G604900	evm.model.RL_4.2537
OG0001871	Ag008G732600	evm.model.RL_8.2605, evm.model.RL_8.2626
OG0001871	Ag007G604060	evm.model.RL_4.2577, evm.model.RL_4.2576
OG0001872	Ag008G731790	evm.model.RL_8.2560
OG0001873	Ag007G602490	evm.model.RL_4.2632
OG0001874	Ag004G382240, Ag004G382180	evm.model.RL_4.2671
OG0001875	Ag007G600850	evm.model.RL_4.2730
OG0001875	Ag008G724460	evm.model.RL_4.1414
OG0001876	Ag007G600620	evm.model.RL_4.2749
OG0001877	Ag006G508270	evm.model.RL_4.2808
OG0001878	Ag002G114470, Ag002G122570	evm.model.RL_4.65
OG0001879	Ag006G576510	evm.model.RL_2.1347
OG0001879	Ag001G072540	evm.model.RL_4.143, evm.model.RL_4.145
OG0001880	Ag006G575460	evm.model.RL_2.1375
OG0001881	Ag006G563000	evm.model.RL_2.1609
OG0001881	Ag006G563050	evm.model.RL_2.1610
OG0001882	Ag002G132320	evm.model.RL_8.429
OG0001882	Ag006G565790	evm.model.RL_2.1659
OG0001883	Ag002G137780, Ag002G138330	evm.model.RL_8.450
OG0001884	Ag004G322710	evm.model.RL_5.1371
OG0001884	Ag003G207810	evm.model.RL_3.503
OG0001885	Ag006G540570	evm.model.RL_5.2644
OG0001885	Ag002G147880	evm.model.RL_8.738
OG0001886	Ag006G535050	evm.model.RL_5.2462
OG0001886	Ag002G153380	evm.model.RL_8.835
OG0001887	Ag006G533600	evm.model.RL_5.2413
OG0001888	Ag007G582420	evm.model.RL_6.1502
OG0001889	Ag005G411070	evm.model.RL_1.3017
OG0001889	Ag003G288930	evm.model.RL_2.3173
OG0001890	Ag003G292510	evm.model.RL_2.3310
OG0001890	Ag003G292500	evm.model.RL_2.3309
OG0001891	Ag003G248320	evm.model.RL_2.2114
OG0001891	Ag004G312380	evm.model.RL_5.933
OG0001892	Ag002G158270	evm.model.RL_4.573
OG0001892	Ag007G584090	evm.model.RL_5.3120
OG0001893	Ag002G147720	evm.model.RL_8.728
OG0001895	Ag002G122580, Ag002G114480, Ag002G114560, Ag002G122700, Ag002G122690	evm.model.RL_4.62, evm.model.RL_4.58, evm.model.RL_4.59, evm.model.RL_4.63
OG0001896	Ag001G043410	evm.model.RL_1.356
OG0001896	Ag005G479660	evm.model.RL_1.686
OG0001897	Ag005G432290	evm.model.RL_1.2287
OG0001897	Ag001G038050	evm.model.RL_2.893
OG0001898	Ag001G035470	evm.model.RL_2.1006
OG0001899	Ag001G034310	evm.model.RL_2.1044
OG0001899	Ag005G439430	evm.model.RL_1.2125, evm.model.RL_1.2120
OG0001900	Ag007G656810	evm.model.RL_2.169
OG0001901	Ag002G206350	evm.model.RL_6.2930
OG0001901	Ag001G097970	evm.model.RL_7.98
OG0001902	Ag002G204540	evm.model.RL_6.2845
OG0001903	Ag001G093330	evm.model.RL_7.302
OG0001903	Ag002G201220	evm.model.RL_6.2650
OG0001904	Ag002G201030	evm.model.RL_6.2641
OG0001905	Ag001G091820	evm.model.RL_7.364
OG0001905	Ag002G198810	evm.model.RL_6.2541
OG0001906	Ag001G090410	evm.model.RL_7.422
OG0001906	Ag002G196670	evm.model.RL_6.2447
OG0001907	Ag001G056180	evm.model.RL_7.1535
OG0001908	Ag008G729570, Ag003G284210, Ag003G284230, Ag003G284260, Ag003G284240	evm.model.RL_7.1643, evm.model.RL_8.2418
OG0001909	Ag004G299530	evm.model.RL_5.107
OG0001910	Ag007G586540	evm.model.RL_8.377
OG0001910	Ag004G301310	evm.model.RL_5.223
OG0001911	Ag007G587880	evm.model.RL_4.536
OG0001911	Ag004G302380	evm.model.RL_5.290
OG0001912	Ag007G590120	evm.model.RL_6.1296
OG0001912	Ag004G304120	evm.model.RL_5.409
OG0001913	Ag004G304580	evm.model.RL_5.428
OG0001915	Ag007G591450	evm.model.RL_6.1217
OG0001915	Ag004G305260	evm.model.RL_5.473
OG0001916	Ag004G306840, Ag007G593820	evm.model.RL_6.1059
OG0001917	Ag007G595270	evm.model.RL_6.973
OG0001917	Ag004G307470	evm.model.RL_5.625
OG0001918	Ag004G343210, Ag004G340590, Ag004G340010, Ag004G340060, Ag004G340130, Ag004G340040, Ag004G339990, Ag004G340030, Ag004G340090, Ag004G340000, Ag004G340050, Ag004G340070, Ag004G340080, Ag004G340110, Ag001G056910, Ag001G056960, Ag001G056940	evm.model.RL_1.2265
OG0001918	Ag004G324990	evm.model.RL_4.785
OG0001919	Ag007G613960	evm.model.RL_4.2187
OG0001919	Ag001G100680	evm.model.RL_1.46
OG0001920	Ag007G622180	evm.model.RL_4.1999
OG0001920	Ag005G488660	evm.model.RL_1.192
OG0001921	Ag007G622330	evm.model.RL_4.1996
OG0001921	Ag005G488600	evm.model.RL_1.198
OG0001922	Ag005G483250	evm.model.RL_1.491
OG0001922	Ag007G635830	evm.model.RL_4.1073
OG0001923	Ag002G180630	evm.model.RL_6.2043
OG0001924	Ag001G072680, Ag001G072670, Ag001G072640	evm.model.RL_7.1040
OG0001924	Ag002G171650, Ag002G171590	evm.model.RL_6.1854
OG0001926	Ag002G175480	evm.model.RL_6.1923
OG0001926	Ag001G065670	evm.model.RL_7.1203
OG0001927	Ag004G323560	evm.model.RL_5.1419
OG0001928	Ag003G214210	evm.model.RL_3.2242
OG0001928	Ag004G326370	evm.model.RL_5.1558
OG0001929	Ag004G328150	evm.model.RL_5.1606
OG0001929	Ag003G237910	evm.model.RL_3.1705
OG0001930	Ag004G330440	evm.model.RL_5.1705
OG0001930	Ag003G231520	evm.model.RL_3.1852
OG0001931	Ag003G229470	evm.model.RL_3.1887.2.687c84bd
OG0001931	Ag004G331130	evm.model.RL_5.1726
OG0001932	Ag004G332080	evm.model.RL_5.1771
OG0001932	Ag003G227620	evm.model.RL_3.1923
OG0001933	Ag004G336300	evm.model.RL_5.3626
OG0001933	Ag003G219480	evm.model.RL_3.2092
OG0001934	Ag004G338630, Ag004G338620	evm.model.RL_5.3548
OG0001934	Ag003G215220	evm.model.RL_3.2197
OG0001935	Ag003G241230	evm.model.RL_5.3449
OG0001935	Ag004G344220	evm.model.RL_3.1480, evm.model.RL_3.1470
OG0001936	Ag004G346240	evm.model.RL_3.1405
OG0001936	Ag004G346250	evm.model.RL_3.1403
OG0001937	Ag003G244590	evm.model.RL_5.3313
OG0001937	Ag004G348740	evm.model.RL_3.1342
OG0001938	Ag004G330340	evm.model.RL_5.3164
OG0001939	Ag006G521240	evm.model.RL_6.47, evm.model.RL_3.2
OG0001939	Ag003G295530	evm.model.RL_2.3424
OG0001940	Ag001G097460	evm.model.RL_5.61, evm.model.RL_5.60
OG0001940	Ag001G097450	evm.model.RL_4.3151_evm.model.RL_4.3152
OG0001942	Ag005G467950	evm.model.RL_1.1314, evm.model.RL_8.726, evm.model.RL_8.725
OG0001943	Ag005G472340	evm.model.RL_1.1082
OG0001943	Ag006G496840, Ag004G381340, Ag006G504480	evm.model.RL_3.680
OG0001944	Ag005G472710	evm.model.RL_1.1063
OG0001944	Ag006G503640, Ag006G503610	evm.model.RL_4.2922
OG0001945	Ag008G722030	evm.model.RL_7.1442
OG0001946	Ag008G691070	evm.model.RL_7.1506
OG0001946	Ag008G723640	evm.model.RL_4.1360
OG0001949	Ag008G717900	evm.model.RL_4.1604
OG0001950	Ag005G467970, Ag004G374770	evm.model.RL_1.1312
OG0001950	Ag001G003500	evm.model.RL_5.3885
OG0001951	Ag005G464770	evm.model.RL_1.1415
OG0001951	Ag001G006490	evm.model.RL_5.3790.1.687c88c5
OG0001952	Ag005G460060	evm.model.RL_1.1599
OG0001953	Ag005G450500	evm.model.RL_1.1837
OG0001953	Ag001G018080	evm.model.RL_5.2056
OG0001954	Ag005G444580	evm.model.RL_1.2002
OG0001955	Ag001G010570	evm.model.RL_5.1904.2.687c88b7
OG0001956	Ag003G273480, Ag005G419280	evm.model.RL_1.2761
OG0001957	Ag007G580550	evm.model.RL_5.2885
OG0001958	Ag008G697480, Ag005G415070	evm.model.RL_1.2688, evm.model.RL_1.2689
OG0001960	Ag001G007090	evm.model.RL_5.3761
OG0001961	Ag005G447430	evm.model.RL_1.1915
OG0001961	Ag001G015290	evm.model.RL_5.2010
OG0001962	Ag004G306860	evm.model.RL_5.590
OG0001963	Ag006G509240	evm.model.RL_8.302
OG0001971	Ag003G256910	evm.model.RL_2.2434
OG0001971	Ag005G404710	evm.model.RL_1.3157
OG0001972	Ag003G261880	evm.model.RL_2.2548
OG0001972	Ag005G409540	evm.model.RL_1.3055
OG0001973	Ag003G267490	evm.model.RL_2.2607
OG0001974	Ag003G268750	evm.model.RL_2.2649
OG0001975	Ag003G275410	evm.model.RL_2.2880
OG0001977	Ag002G164520	evm.model.RL_6.1662
OG0001977	Ag001G101800	evm.model.RL_2.1216
OG0001978	Ag004G313380	evm.model.RL_5.988
OG0001979	Ag004G320840	evm.model.RL_5.1297
OG0001980	Ag008G660990	evm.model.RL_7.2568
OG0001980	Ag004G320560	evm.model.RL_5.1279
OG0001981	Ag004G317220	evm.model.RL_5.1162
OG0001982	Ag008G667170	evm.model.RL_7.2359
OG0001982	Ag004G316950	evm.model.RL_5.1145.1.687c88b2
OG0001983	Ag008G668810	evm.model.RL_7.2309
OG0001983	Ag007G654970	evm.model.RL_2.78
OG0001984	Ag008G669040	evm.model.RL_7.2284.2.687c84bc
OG0001984	Ag007G654360	evm.model.RL_2.66
OG0001985	Ag004G315690	evm.model.RL_2.1772
OG0001986	Ag001G082380	evm.model.RL_7.691
OG0001986	Ag002G189560	evm.model.RL_6.2238
OG0001987	Ag006G497300, Ag006G559990	evm.model.RL_4.3117
OG0001987	Ag005G475800	evm.model.RL_1.933.1.687c87eb
OG0001988	Ag005G473510	evm.model.RL_1.1033
OG0001988	Ag006G501500	evm.model.RL_4.2966
OG0001989	Ag005G473040	evm.model.RL_1.1051
OG0001989	Ag006G502870	evm.model.RL_4.2934
OG0001990	Ag008G688660, Ag008G689820	evm.model.RL_8.1519
OG0001990	Ag003G251440	evm.model.RL_2.2247
OG0001992	Ag008G696670	evm.model.RL_8.1673
OG0001993	Ag008G697710	evm.model.RL_8.1690
OG0001994	Ag008G703370	evm.model.RL_8.1831
OG0001995	Ag008G719620	evm.model.RL_4.1704
OG0001996	Ag007G607970	evm.model.RL_4.2415
OG0001997	Ag006G523580	evm.model.RL_6.184
OG0001998	Ag007G602350	evm.model.RL_4.2643
OG0001998	Ag008G730990	evm.model.RL_8.2505
OG0001999	Ag007G599950	evm.model.RL_4.2785
OG0001999	Ag008G726130	evm.model.RL_8.2233.1.687c8560
OG0002000	Ag008G726570	evm.model.RL_8.2252
OG0002000	Ag006G507840	evm.model.RL_4.2815
OG0002001	Ag002G120060	evm.model.RL_4.135
OG0002001	Ag006G576740	evm.model.RL_2.1339
OG0002002	Ag006G558340, Ag006G558270	evm.model.RL_2.1545
OG0002002	Ag002G123990	evm.model.RL_4.371
OG0002003	Ag006G554290	evm.model.RL_2.1720
OG0002003	Ag002G140410	evm.model.RL_8.484
OG0002004	Ag002G144320, Ag002G143830	evm.model.RL_8.570
OG0002004	Ag006G550990	evm.model.RL_2.1791
OG0002005	Ag006G542540, Ag006G545080	evm.model.RL_2.1888
OG0002006	Ag006G542760, Ag006G544830	evm.model.RL_2.1897
OG0002006	Ag002G146810	evm.model.RL_3.841, evm.model.RL_8.681
OG0002007	Ag006G544780, Ag006G542870	evm.model.RL_2.1899
OG0002008	Ag002G147660	evm.model.RL_8.721
OG0002008	Ag006G541100	evm.model.RL_5.2680
OG0002009	Ag007G584920	evm.model.RL_5.2260
OG0002011	Ag007G582180	evm.model.RL_5.2991
OG0002012	Ag005G415580	evm.model.RL_1.2937
OG0002012	Ag003G285760	evm.model.RL_2.3072
OG0002013	Ag005G413950	evm.model.RL_1.2943
OG0002013	Ag003G285990	evm.model.RL_2.3083
OG0002014	Ag003G286950	evm.model.RL_2.3119
OG0002014	Ag005G414550	evm.model.RL_1.2961
OG0002015	Ag005G410320	evm.model.RL_1.3041
OG0002015	Ag003G289360	evm.model.RL_2.3195
OG0002016	Ag004G314200	evm.model.RL_6.198
OG0002016	Ag003G291890, Ag003G291880	evm.model.RL_2.3281_evm.model.RL_2.3282.1.687c9a00
OG0002017	Ag003G293040	evm.model.RL_1.1371
OG0002018	Ag006G521300	evm.model.RL_6.53
OG0002018	Ag003G295490	evm.model.RL_2.3421
OG0002019	Ag007G579290	evm.model.RL_5.2807
OG0002019	Ag002G164250	evm.model.RL_6.1651
OG0002021	Ag006G543040, Ag006G544570	evm.model.RL_2.1907
OG0002021	Ag006G561660	evm.model.RL_3.849, evm.model.RL_8.689
OG0002022	Ag004G327610	evm.model.RL_5.1594
OG0002022	Ag002G111920, Ag002G108470	evm.model.RL_4.209
OG0002023	Ag005G436950	evm.model.RL_1.2184
OG0002023	Ag001G036120	evm.model.RL_2.992
OG0002024	Ag005G438950	evm.model.RL_1.2137
OG0002026	Ag001G092660	evm.model.RL_7.335
OG0002027	Ag001G084390	evm.model.RL_7.635
OG0002027	Ag002G191140	evm.model.RL_6.2288
OG0002028	Ag008G711780	evm.model.RL_8.2111
OG0002029	Ag004G298460	evm.model.RL_5.39
OG0002029	Ag006G515500	evm.model.RL_8.130
OG0002030	Ag006G510020	evm.model.RL_8.281
OG0002030	Ag004G300160	evm.model.RL_5.162
OG0002031	Ag004G302690, Ag007G588440	evm.model.RL_5.315, evm.model.RL_6.1406
OG0002032	Ag007G589300	evm.model.RL_6.1318
OG0002032	Ag004G303850	evm.model.RL_5.392
OG0002033	Ag004G305860	evm.model.RL_5.528
OG0002033	Ag007G592190	evm.model.RL_6.1156
OG0002034	Ag004G307140	evm.model.RL_5.604
OG0002034	Ag007G594670	evm.model.RL_6.1014
OG0002035	Ag008G695150	evm.model.RL_8.1621
OG0002036	Ag007G619910	evm.model.RL_4.2057
OG0002036	Ag005G489590	evm.model.RL_1.143
OG0002037	Ag007G619920	evm.model.RL_4.2056
OG0002037	Ag005G489560	evm.model.RL_1.145
OG0002038	Ag005G460260	evm.model.RL_1.1591
OG0002039	Ag003G265280, Ag008G660570, Ag001G079110	evm.model.RL_7.800
OG0002039	Ag002G183830	evm.model.RL_6.2090
OG0002040	Ag002G167760	evm.model.RL_6.1752
OG0002040	Ag001G070880	evm.model.RL_7.1089
OG0002041	Ag002G171080	evm.model.RL_6.1871
OG0002041	Ag001G072460	evm.model.RL_7.1052
OG0002042	Ag002G176370	evm.model.RL_6.1945, evm.model.RL_6.1944, evm.model.RL_6.1986
OG0002043	Ag004G322830	evm.model.RL_5.2127
OG0002044	Ag004G323080	evm.model.RL_5.1407, evm.model.RL_5.1406
OG0002045	Ag004G323750	evm.model.RL_5.1425
OG0002045	Ag003G209000	evm.model.RL_3.2424
OG0002046	Ag004G324450	evm.model.RL_5.1454
OG0002046	Ag003G210530	evm.model.RL_3.2382
OG0002047	Ag004G325100	evm.model.RL_5.1496
OG0002047	Ag003G211970	evm.model.RL_3.2320
OG0002048	Ag004G327480	evm.model.RL_5.1583
OG0002049	Ag003G237590	evm.model.RL_3.1715
OG0002049	Ag004G328330, Ag004G328370	evm.model.RL_5.1610
OG0002050	Ag004G335320	evm.model.RL_5.3657
OG0002050	Ag003G220350	evm.model.RL_3.2057
OG0002051	Ag004G335600	evm.model.RL_5.3648
OG0002052	Ag004G336040	evm.model.RL_5.3634
OG0002052	Ag003G219700	evm.model.RL_3.2079
OG0002053	Ag004G336930	evm.model.RL_5.3623, evm.model.RL_5.3610
OG0002053	Ag003G218940	evm.model.RL_3.2109
OG0002054	Ag004G341050	evm.model.RL_5.3466
OG0002054	Ag004G343370	evm.model.RL_3.1520
OG0002055	Ag003G241510	evm.model.RL_5.3443
OG0002055	Ag004G344400	evm.model.RL_3.1464
OG0002057	Ag003G272240	evm.model.RL_2.2714
OG0002058	Ag005G472900	evm.model.RL_6.278, evm.model.RL_1.1056
OG0002059	Ag004G303610	evm.model.RL_5.375
OG0002059	Ag007G589480	evm.model.RL_6.1331
OG0002060	Ag004G345460	evm.model.RL_3.1424
OG0002060	Ag007G616010	evm.model.RL_4.2145.1.687c86d7
OG0002063	Ag006G506230	evm.model.RL_4.2843
OG0002063	Ag008G705790	evm.model.RL_8.1913
OG0002064	Ag001G067120, Ag001G067090	evm.model.RL_7.1240, evm.model.RL_7.1239
OG0002066	Ag003G219490	evm.model.RL_3.2090
OG0002067	Ag003G223440	evm.model.RL_3.1999
OG0002067	Ag003G221900	evm.model.RL_4.1085
OG0002068	Ag003G211900	evm.model.RL_3.2328, evm.model.RL_3.2327
OG0002068	Ag003G211000	evm.model.RL_3.2358, evm.model.RL_3.2359
OG0002069	Ag003G211710	evm.model.RL_3.2336
OG0002070	Ag004G324840	evm.model.RL_5.1476
OG0002070	Ag003G211280	evm.model.RL_3.2354
OG0002071	Ag005G469450	evm.model.RL_1.1250
OG0002071	Ag001G001490	evm.model.RL_5.3934.2.687c88c6
OG0002072	Ag001G002400	evm.model.RL_5.3915
OG0002072	Ag005G468970	evm.model.RL_1.1266
OG0002073	Ag001G006270	evm.model.RL_5.3796.4.687c88c5
OG0002073	Ag005G464920	evm.model.RL_1.1406.2.687c87ed
OG0002074	Ag001G028800	evm.model.RL_2.1172
OG0002074	Ag005G459200, Ag005G459190	evm.model.RL_1.1631
OG0002075	Ag005G402170	evm.model.RL_1.3172
OG0002075	Ag014G741810, Ag005G402110	evm.model.RL_1.3161, evm.model.RL_1.3171
OG0002076	Ag001G000090	evm.model.RL_5.4011
OG0002076	Ag001G030310, Ag005G470660	evm.model.RL_1.1172
OG0002077	Ag001G010700	evm.model.RL_5.1914
OG0002077	Ag005G442380, Ag005G443690	evm.model.RL_1.2037
OG0002078	Ag001G079520, Ag001G079500	evm.model.RL_7.787
OG0002078	Ag001G079370	evm.model.RL_7.788
OG0002079	Ag002G191320, Ag002G191310, Ag001G020430, Ag002G191420	evm.model.RL_4.952, evm.model.RL_3.1619, evm.model.RL_4.964
OG0002080	Ag001G032890	evm.model.RL_2.1101, evm.model.RL_2.1102
OG0002080	Ag007G646510	evm.model.RL_2.1103
OG0002081	Ag005G453180, Ag001G037790	evm.model.RL_6.443
OG0002082	Ag002G178120	evm.model.RL_6.1995
OG0002083	Ag002G190010, Ag002G190020	evm.model.RL_6.2256
OG0002083	Ag002G190190	evm.model.RL_6.2255
OG0002085	Ag005G442340, Ag005G443650	evm.model.RL_4.431, evm.model.RL_4.432
OG0002092	Ag004G370520	evm.model.RL_8.683
OG0002093	Ag003G281210	evm.model.RL_2.2948
OG0002095	Ag005G416290	evm.model.RL_1.2906
OG0002095	Ag003G285280	evm.model.RL_2.3053
OG0002096	Ag004G366830	evm.model.RL_3.655
OG0002096	Ag004G309900	evm.model.RL_5.796
OG0002097	Ag004G369120	evm.model.RL_3.544
OG0002097	Ag004G311270	evm.model.RL_5.876
OG0002098	Ag004G373260	evm.model.RL_3.390
OG0002098	Ag008G707440	evm.model.RL_3.436
OG0002099	Ag004G312960	evm.model.RL_5.962
OG0002099	Ag004G373830	evm.model.RL_3.405
OG0002101	Ag008G668940, Ag008G668930	evm.model.RL_7.2303
OG0002103	Ag004G401400	evm.model.RL_3.26
OG0002104	Ag004G389560, Ag004G394560	evm.model.RL_3.103, evm.model.RL_3.105
OG0002104	Ag007G656140	evm.model.RL_2.140
OG0002105	Ag004G382830	evm.model.RL_3.181
OG0002106	Ag004G379140	evm.model.RL_3.261
OG0002106	Ag004G315090	evm.model.RL_5.1066
OG0002107	Ag001G082070	evm.model.RL_7.704
OG0002107	Ag002G188670	evm.model.RL_6.2220
OG0002108	Ag005G478220	evm.model.RL_1.807
OG0002109	Ag006G494820	evm.model.RL_4.3331
OG0002110	Ag005G476500	evm.model.RL_1.892
OG0002110	Ag006G495170	evm.model.RL_4.3207
OG0002111	Ag006G497330	evm.model.RL_4.3114
OG0002112	Ag006G499360	evm.model.RL_4.3039
OG0002112	Ag005G474680	evm.model.RL_1.984
OG0002114	Ag003G252520	evm.model.RL_2.2287
OG0002114	Ag008G686810	evm.model.RL_8.1448
OG0002115	Ag003G250830	evm.model.RL_2.2203
OG0002116	Ag008G695690	evm.model.RL_8.1635
OG0002117	Ag007G610530	evm.model.RL_4.2313, evm.model.RL_5.3167
OG0002118	Ag008G720200	evm.model.RL_4.1163
OG0002118	Ag007G607860	evm.model.RL_4.2421
OG0002119	Ag007G605630	evm.model.RL_4.2511, evm.model.RL_4.1232
OG0002120	Ag008G723770	evm.model.RL_4.1368
OG0002120	Ag007G601490	evm.model.RL_4.2692
OG0002121	Ag003G215630, Ag008G726580	evm.model.RL_8.2255
OG0002121	Ag006G507800	evm.model.RL_4.2817
OG0002122	Ag002G123230	evm.model.RL_4.49
OG0002122	Ag006G577710	evm.model.RL_2.1287
OG0002123	Ag002G104640	evm.model.RL_4.279.2.687c86cd
OG0002123	Ag006G573470	evm.model.RL_2.1463
OG0002124	Ag002G104060	evm.model.RL_4.292
OG0002125	Ag006G559860	evm.model.RL_2.1566
OG0002125	Ag002G125390	evm.model.RL_4.389
OG0002126	Ag002G130920	evm.model.RL_8.415
OG0002126	Ag006G564450	evm.model.RL_2.1635.1.687c86e3
OG0002127	Ag002G146610	evm.model.RL_8.677
OG0002127	Ag006G544990, Ag006G542620	evm.model.RL_2.1893
OG0002128	Ag002G147530	evm.model.RL_8.718.1.687c8558
OG0002128	Ag006G541190	evm.model.RL_5.2682.1.687c88bc
OG0002129	Ag006G536870, Ag006G539400	evm.model.RL_5.2572
OG0002130	Ag003G269920	evm.model.RL_6.1353
OG0002131	Ag006G512200	evm.model.RL_8.236
OG0002131	Ag004G299710	evm.model.RL_5.124
OG0002132	Ag005G415460	evm.model.RL_1.2940
OG0002133	Ag003G285970	evm.model.RL_2.3081, evm.model.RL_2.3082
OG0002134	Ag003G287760	evm.model.RL_2.3131
OG0002134	Ag005G414720	evm.model.RL_1.2969
OG0002135	Ag005G410310	evm.model.RL_1.3042
OG0002136	Ag006G520650	evm.model.RL_6.31
OG0002136	Ag003G296290	evm.model.RL_2.3444
OG0002137	Ag007G648660	evm.model.RL_2.276_evm.model.RL_2.277
OG0002138	Ag002G160470	evm.model.RL_6.1522, evm.model.RL_1.2915
OG0002138	Ag002G160460	evm.model.RL_6.1521
OG0002139	Ag007G584560, Ag007G584570	evm.model.RL_5.2299
OG0002139	Ag002G157910	evm.model.RL_4.589
OG0002140	Ag006G540260, Ag006G540220, Ag006G540230	evm.model.RL_8.758
OG0002141	Ag005G431960	evm.model.RL_1.2290
OG0002142	Ag001G098360	evm.model.RL_7.63
OG0002143	Ag002G206550	evm.model.RL_6.2946
OG0002145	Ag002G192970	evm.model.RL_6.2332
OG0002146	Ag008G714400	evm.model.RL_4.1457
OG0002149	Ag008G729000	evm.model.RL_8.2388
OG0002150	Ag008G734430	evm.model.RL_7.1384
OG0002151	Ag008G735060	evm.model.RL_8.2781
OG0002151	Ag005G410680	evm.model.RL_1.3025
OG0002152	Ag004G297740	evm.model.RL_8.2888
OG0002153	Ag004G297830	evm.model.RL_8.2879
OG0002153	Ag006G517200, Ag006G517240, Ag006G517210	evm.model.RL_8.67
OG0002154	Ag007G586870	evm.model.RL_4.459
OG0002154	Ag004G301810	evm.model.RL_5.245
OG0002155	Ag007G587350	evm.model.RL_4.500
OG0002155	Ag004G302190	evm.model.RL_5.275
OG0002156	Ag007G588450	evm.model.RL_6.1404, evm.model.RL_6.1405
OG0002157	Ag007G589440	evm.model.RL_6.1327
OG0002158	Ag003G252370	evm.model.RL_2.2274_evm.model.RL_2.2275.2.687c99fb
OG0002159	Ag005G489080	evm.model.RL_1.179
OG0002159	Ag007G621620	evm.model.RL_4.2016
OG0002160	Ag007G625550	evm.model.RL_4.1895
OG0002161	Ag005G485290	evm.model.RL_4.974, evm.model.RL_1.376
