Orthogroup	Alyssum_gmelinii	Arabidopsis_lyrata_Rawat
OG0000980	Ag007G644970	AL7G49940
OG0000980	Ag002G204470	AL4G11560
OG0000981	Ag006G553230	nbis-gene-566
OG0000982	Ag008G687800	AL1G56230
OG0000983	Ag008G715890, Ag008G715860, Ag008G715790, Ag008G715650	AL6G33190, AL6G33130, AL6G33150
OG0000986	Ag004G401100, Ag003G268150	AL7G20890, AL5G34940
OG0000987	Ag004G384140, Ag007G578930	AL1G45810
OG0000988	Ag006G501550	AL6G15700
OG0000989	Ag002G180510	AL8G18530
OG0000990	Ag006G575920, Ag002G116550	AL8G11980
OG0000991	Ag006G540660	AL1G47390
OG0000991	Ag006G540640	AL1G47440, AL1G47400
OG0000992	Ag006G521790	AL4G11020, AL4G11010
OG0000992	Ag003G295070	AL7G11320
OG0000993	Ag005G426760	AL7G50560
OG0000994	Ag007G592850	AL4G24980
OG0000994	Ag007G592860	AL4G24960
OG0000995	Ag007G590980	AL4G26770
OG0000996	Ag004G305800	AL1G16710
OG0000997	Ag005G486060	AL3G14020
OG0000997	Ag004G318150	AL1G25200
OG0000998	Ag002G182950	AL4G37130
OG0000998	Ag001G078690	AL5G36650
OG0000999	Ag003G288430, Ag003G288450, Ag003G288460, Ag003G288440	AL6G42130, AL6G42140, AL6G42210
OG0001000	Ag007G615900, Ag007G615960	AL6G25630
OG0001001	Ag008G720120, Ag004G378400, Ag008G720060, Ag008G720070	AL6G37910, AL6G37900
OG0001002	Ag005G469530, Ag005G469570	AL3G25180, AL3G25200
OG0001003	Ag001G008110	AL1G60880
OG0001004	Ag002G185100	AL8G24310, AL7G49890
OG0001005	Ag007G628220	AL7G28880
OG0001008	Ag003G257270	AL7G23180, AL7G23190
OG0001008	Ag003G257150	AL7G23200
OG0001009	Ag003G272930	AL7G22610, AL7G22600
OG0001009	Ag003G258530	AL7G22620
OG0001010	Ag007G578710	nbis-gene-190
OG0001010	Ag002G164050	AL4G31630
OG0001011	Ag007G578540, Ag007G578530	AL1G46170, AL7G42870
OG0001012	Ag004G367190	AL1G67200
OG0001012	Ag004G310400	AL1G20110
OG0001013	Ag004G334210, Ag004G334230	AL2G20110, AL2G20000, AL2G20090
OG0001015	Ag007G585540, Ag004G399030, Ag004G399130, Ag004G401170	AL7G27460
OG0001016	Ag007G606390	AL6G21720
OG0001017	Ag008G733230, Ag008G733300	AL8G43190
OG0001017	Ag008G733280	AL112U10010
OG0001017	Ag007G605060	AL6G21060
OG0001018	Ag007G601520	AL6G19220, AL6G34920
OG0001019	Ag006G577240	AL7G36950
OG0001020	Ag006G576710	AL7G36620
OG0001020	Ag002G119270	AL8G11640
OG0001021	Ag001G098280	AL5G45740
OG0001021	Ag002G206470	AL4G47460, AL39U10040
OG0001022	Ag002G205560, Ag002G205450	AL4G46820
OG0001022	Ag007G616300, Ag007G616230	AL6G25680
OG0001022	Ag001G097170	AL2G23490, AL5G45070
OG0001023	Ag008G713060	nbis-gene-1551
OG0001024	Ag007G591110	AL4G26690
OG0001024	Ag007G591120	nbis-gene-79, AL4G26680
OG0001025	Ag004G305870	AL1G16770
OG0001026	Ag005G490440	AL3G10970
OG0001026	Ag007G617280	AL6G25930
OG0001027	Ag004G316910, Ag004G316920	AL1G25230
OG0001027	Ag004G317700, Ag004G317680	AL1G22170
OG0001028	Ag002G181060	AL4G36730
OG0001028	Ag001G077340	AL5G36270
OG0001029	Ag004G338100	AL1G35240, AL1G35120
OG0001029	Ag003G216820	AL2G37860
OG0001030	Ag003G225590	AL2G35570
OG0001031	Ag004G333350	AL1G32700
OG0001031	Ag003G224310	AL2G35750
OG0001032	Ag003G219910	AL2G36740
OG0001032	Ag001G065830, Ag004G335930	AL1G34080
OG0001033	Ag001G086010	AL1G40040
OG0001033	Ag004G353890	AL2G27010
OG0001033	Ag002G190700	nbis-gene-1137
OG0001034	Ag003G241620	AL2G30110, AL1G37030
OG0001035	Ag005G485720, Ag005G485730, Ag005G485740	AL3G14320, AL3G14310
OG0001036	Ag003G213340, Ag003G213360	AL2G39070
OG0001037	Ag003G210580	AL2G40450
OG0001037	Ag006G570330, Ag005G477620	AL8G24280, AL1G60500
OG0001039	Ag001G025920	AL1G54940
OG0001039	Ag005G457580	AL3G30650
OG0001040	Ag001G010610	AL1G59570
OG0001040	Ag005G442290, Ag005G443580	AL3G35250
OG0001041	Ag006G563530	AL3G48700
OG0001041	Ag001G053920	AL5G26850
OG0001042	Ag001G009810	AL1G48210, AL4G18130
OG0001042	Ag001G009670, Ag001G009650	AL7G44850
OG0001043	Ag001G010130, Ag001G010170	AL1G59880
OG0001043	Ag001G010100	AL1G59900
OG0001044	Ag001G078590	AL5G36580
OG0001044	Ag002G182360, Ag002G182330	AL4G37050
OG0001045	Ag003G229490, Ag003G227370, Ag003G227510, Ag003G227560	AL5G24890
OG0001046	Ag004G360860	AL3G30210
OG0001048	Ag006G499720, Ag006G499410, Ag006G499420	nbis-gene-1462
OG0001051	Ag005G417440	AL3G49510
OG0001051	Ag003G283300	AL7G16180
OG0001053	Ag004G368540	AL2G18370
OG0001053	Ag004G310950	AL1G20570
OG0001054	Ag001G023070, Ag004G377790	AL2G14270
OG0001056	Ag005G475450	AL3G21860
OG0001057	Ag004G381450	AL7G25010
OG0001057	Ag002G203230	AL8G29300
OG0001058	Ag003G286850	AL7G15210
OG0001059	Ag002G102850	AL8G14140
OG0001059	Ag008G704200, Ag006G569720	AL7G34340
OG0001060	Ag001G037950	AL7G42570
OG0001060	Ag005G432380	AL3G38710
OG0001061	Ag005G436340	AL3G37410
OG0001061	Ag001G036430	AL7G41560
OG0001062	Ag008G734190	AL8G43950
OG0001064	Ag002G170730	AL4G33370
OG0001064	Ag001G072080	AL5G34170
OG0001065	Ag002G171290	AL4G33580
OG0001065	Ag001G072550	AL5G34370
OG0001066	Ag002G171350	AL4G33590
OG0001066	Ag001G072590	AL5G34380
OG0001067	Ag003G212210	AL2G39460
OG0001067	Ag004G325430	AL1G28880
OG0001068	Ag005G484940	AL3G14910, AL4G14760
OG0001068	Ag003G239880	AL2G32050
OG0001069	Ag003G227650	AL2G34970
OG0001069	Ag004G332070	AL1G31940
OG0001070	Ag003G247160	AL1G39820
OG0001070	Ag005G415800	AL3G50370
OG0001071	Ag004G319670	AL1G25990
OG0001071	Ag004G319700	AL1G26000
OG0001072	Ag005G457860, Ag004G381180, Ag002G184210, Ag006G495420, Ag008G723360	AL6G35210
OG0001073	Ag002G121140, Ag002G115220, Ag007G581390	AL2G18730, AL2G18760
OG0001073	Ag005G456010	AL2G23650, AL2G23660
OG0001075	Ag005G462970	AL3G28290
OG0001076	Ag005G475140, Ag001G056780	AL3G28410
OG0001077	Ag003G273100, Ag003G273050, Ag003G273070, Ag003G273110, Ag003G272850, Ag003G272960, Ag003G272800	nbis-gene-1733, nbis-gene-1731
OG0001077	Ag002G105880	AL7G19790
OG0001084	Ag005G403690	AL3G53590
OG0001084	Ag003G254320	AL7G24080
OG0001085	Ag005G405350	AL3G48510
OG0001085	Ag003G257840	AL7G22990
OG0001086	Ag003G276320	AL7G18140
OG0001086	Ag003G276420, Ag003G276350	AL3G45570, AL3G45640
OG0001087	Ag003G282330	AL7G16560
OG0001087	Ag003G282350	AL7G16550
OG0001088	Ag008G671230, Ag001G058180	AL5G17310
OG0001089	Ag008G678430	AL5G18560
OG0001089	Ag008G728030, Ag004G349920	AL5G18530
OG0001090	Ag002G176920	AL3G45730
OG0001090	Ag001G063180	AL3G36160, AL7G52960, AL7G52940
OG0001091	Ag008G691170	AL5G24020, AL5G28380
OG0001091	Ag008G677410	AL8G25110
OG0001092	Ag006G505510, Ag006G504320, Ag006G505500, Ag006G505530, Ag006G505570, Ag006G504330, Ag006G505520	nbis-gene-1481
OG0001093	Ag008G719510	AL6G30850
OG0001093	Ag007G609150	AL6G22960
OG0001094	Ag007G604040	AL6G20480
OG0001094	Ag008G732610	AL8G42750
OG0001095	Ag001G020780, Ag001G020940	AL9U11620, AL9U11640, AL9U11570, AL9U11600
OG0001096	Ag001G086120	AL5G39710
OG0001096	Ag002G192900	AL4G40340
OG0001097	Ag001G023420	AL2G25850
OG0001097	Ag008G707580	AL8G35430
OG0001098	Ag008G733600	AL8G43520
OG0001099	Ag004G298420	AL1G11060, AL1G11030
OG0001099	Ag006G515610	AL6G52290
OG0001101	Ag007G614670	AL6G25400
OG0001101	Ag002G125370, Ag005G476370, Ag008G708680, Ag004G356080	AL6G26240
OG0001102	Ag005G489810	AL3G11520
OG0001102	Ag007G619710	AL6G26580
OG0001103	Ag005G485510	AL3G14520
OG0001104	Ag007G637790, Ag005G484730	AL6G40370
OG0001105	Ag003G209360	AL2G40840
OG0001105	Ag004G323900	AL1G27950
OG0001106	Ag004G325680	AL1G29060
OG0001106	Ag003G212520	AL2G39280
OG0001107	Ag004G328670	AL1G30240
OG0001108	Ag003G229540	AL2G34600
OG0001108	Ag004G331110	AL1G31440
OG0001109	Ag003G217700, Ag003G217610, Ag003G217570	AL2G37710
OG0001109	Ag004G337880	AL1G34950
OG0001110	Ag004G347160, Ag004G347010	AL22U10050
OG0001111	Ag004G355900	AL2G26000
OG0001111	Ag008G726950	AL1G40810
OG0001112	Ag002G130780	AL8G22690
OG0001113	Ag006G505670	AL6G17000
OG0001113	Ag006G505620	AL6G16980
OG0001115	Ag003G239710	AL2G32100
OG0001115	Ag004G327150	AL1G29600
OG0001116	Ag001G010770	AL1G59450
OG0001116	Ag005G442620, Ag005G443770	AL3G35080
OG0001117	Ag001G032650	AL7G39630
OG0001120	Ag003G286910	AL7G15150
OG0001120	Ag005G414500	AL3G50780
OG0001121	Ag008G693860, Ag008G694200	AL8G30260, AL8G30250, AL1G66030, AL5G20200
OG0001124	Ag005G407270, Ag005G403560	AL3G53430
OG0001124	Ag003G251080	AL7G25710
OG0001125	Ag007G579160	AL1G49600
OG0001127	Ag004G321030	AL1G26550
OG0001127	Ag003G225890	AL5G11310
OG0001128	Ag004G318380	AL1G25340
OG0001129	Ag006G514020	AL5G18770, AL5G18730
OG0001130	Ag008G674550	AL5G20100
OG0001130	Ag007G647640	AL7G51620
OG0001131	Ag008G702130	AL8G33210
OG0001132	Ag006G494530	AL6G12330
OG0001132	Ag005G476670	AL3G20930
OG0001133	Ag003G250820, Ag008G694900	AL7G26000, AL8G30690
OG0001134	Ag007G611750, Ag007G611740	AL6G24050, AL6G24060
OG0001135	Ag008G731910	AL8G42330
OG0001135	Ag007G603720	AL6G20380
OG0001136	Ag006G576750	AL7G36660
OG0001136	Ag002G120100	AL8G11550
OG0001137	Ag002G103820	AL8G13460
OG0001137	Ag006G571520	AL7G34850
OG0001138	Ag005G490060, Ag003G279670	AL3G11250
OG0001138	Ag002G140620	AL6G47790
OG0001139	Ag007G583870	AL1G41460
OG0001139	Ag004G374810	AL1G40710
OG0001140	Ag003G287800	AL7G15010, AL3G50920
OG0001141	Ag001G052110	AL5G25610
OG0001142	Ag005G437730	AL3G36920
OG0001142	Ag001G035250	AL7G41070
OG0001143	Ag002G201140	AL4G44210
OG0001143	Ag001G093220	AL5G42890
OG0001144	Ag001G092190	AL5G42340
OG0001144	Ag002G199410	AL4G43450
OG0001145	Ag005G483630	AL3G16060
OG0001145	Ag005G483640, Ag005G483700, Ag005G483680, Ag005G483650, Ag005G483660	AL304U10030
OG0001145	Ag005G483750, Ag005G483770, Ag005G483830	AL3G16040, AL8G28550, AL6G37010, AL1G56010, nbis-gene-666
OG0001146	Ag008G730280, Ag002G191440	AL4G39730
OG0001146	Ag005G475750	AL3G21660
OG0001148	Ag002G105850, Ag007G603010	nbis-gene-1500
OG0001149	Ag001G067640	AL5G31590
OG0001149	Ag001G099510	AL8G45240
OG0001150	Ag007G621120	AL6G26990
OG0001150	Ag005G489140	AL3G11920
OG0001151	Ag005G480860	AL3G17870
OG0001152	Ag001G081200	AL5G37650
OG0001152	Ag002G187340	AL4G38370
OG0001154	Ag003G227190	AL2G35130
OG0001154	Ag004G332220	AL1G32200
OG0001155	Ag003G222900	AL2G36030
OG0001155	Ag004G333860	AL1G33060
OG0001156	Ag003G242280	AL1G37300
OG0001156	Ag004G345210	nbis-gene-584
OG0001157	Ag004G313710, Ag004G313780, Ag004G313850, Ag007G620330, Ag004G313760, Ag004G313840, Ag004G313870, Ag004G313820, Ag004G313830	AL1G22500
OG0001157	Ag004G313630	AL1G22420
OG0001158	Ag003G241390	AL1G36840
OG0001159	Ag003G219730	AL2G36790
OG0001159	Ag003G219740	AL4G37320, AL2G36780
OG0001160	Ag001G001780	AL1G63540
OG0001160	Ag005G469170	AL3G25350
OG0001161	Ag005G443670, Ag005G442360	AL3G35190
OG0001161	Ag001G010660	AL1G59540
OG0001164	Ag008G727950, Ag008G727990, Ag008G728080, Ag006G510130	AL8G39600, AL8G39540, AL8G39570, AL8G39590, AL8G39400
OG0001165	Ag007G607330, Ag007G607360	AL6G22040, AL6G22010
OG0001169	Ag003G290250, Ag008G688460, Ag008G690000	AL8G29310, AL8G29370
OG0001170	Ag005G484070	AL3G15750
OG0001170	Ag007G636930	AL6G39470
OG0001171	Ag004G373820	AL2G15540
OG0001172	Ag008G662530	AL5G13270
OG0001172	Ag004G319120	AL1G25650
OG0001173	Ag007G619670	AL7G26860
OG0001173	Ag004G399590	AL2G10690
OG0001174	Ag005G474660	AL3G22210
OG0001175	Ag008G698260	AL8G31800
OG0001176	Ag008G733000	AL8G43000
OG0001176	Ag007G604920	AL6G20950
OG0001177	Ag007G600560	AL6G18320, AL6G18280, AL6G18310
OG0001178	Ag007G600270	AL6G18140
OG0001178	Ag008G725720, Ag008G725690, Ag008G725670, Ag008G725680	AL8G37950
OG0001179	Ag006G574110	AL7G35590
OG0001179	Ag001G039020	AL9U10340
OG0001180	Ag006G570220	AL7G34460
OG0001180	Ag002G103040	AL8G14010
OG0001181	Ag006G566890	AL7G32180
OG0001181	Ag002G138060, Ag002G134550	AL6G48400
OG0001182	Ag007G582580	AL1G42770
OG0001183	Ag003G286590	AL7G15320
OG0001183	Ag005G414160	AL3G50690
OG0001184	Ag001G095850	AL5G44430
OG0001184	Ag002G203750	AL4G46020
OG0001185	Ag001G095120	AL5G44020
OG0001185	Ag002G203300	AL4G45610
OG0001186	Ag001G090400	AL5G41190
OG0001187	Ag007G589410	AL4G27730
OG0001187	Ag004G303790	AL1G15050
OG0001188	Ag006G504540	AL6G16550
OG0001188	Ag001G003180, Ag007G593130	AL4G24890
OG0001189	Ag001G100580	AL3G10500
OG0001189	Ag007G614050	AL6G25140
OG0001190	Ag005G486330	AL3G13850
OG0001190	Ag007G631480	AL6G29390
OG0001191	Ag007G637060	AL6G39580
OG0001191	Ag005G484150	AL3G15660
OG0001192	Ag001G030940, Ag001G029590	AL7G39010
OG0001192	Ag005G480920	AL3G17830
OG0001193	Ag001G079120	AL5G36820
OG0001193	Ag002G183840	AL4G37340
OG0001194	Ag001G080130	AL5G37220
OG0001194	Ag005G478840	AL3G19490
OG0001195	Ag004G327380	AL1G29660
OG0001195	Ag003G239510	AL2G32180
OG0001196	Ag003G227660	AL2G34950
OG0001196	Ag004G332040	AL1G31920
OG0001197	Ag008G715480, Ag001G075470	AL5G35620
OG0001198	Ag003G225960, Ag003G226030, Ag003G225920, Ag003G226040, Ag007G636000	AL6G39050
OG0001200	Ag001G002520	AL1G63280
OG0001200	Ag001G002590, Ag001G002580	AL1G63270
OG0001201	Ag008G723680	AL5G24320
OG0001201	Ag008G690580	AL5G28220
OG0001202	Ag001G060360	AL5G30340
OG0001203	Ag001G083410	AL5G22450, AL5G22430, AL5G22460
OG0001205	Ag005G464330	AL3G27600
OG0001207	Ag001G029600, Ag001G030950	AL7G39020
OG0001207	Ag005G459790	AL3G29840
OG0001208	Ag001G021110	AL1G56170
OG0001208	Ag005G452970	AL3G32200
OG0001209	Ag001G019490, Ag001G018930	AL1G56950
OG0001209	Ag005G451020	AL939U10010, AL3G32480
OG0001213	Ag001G021790	nbis-gene-1273, AL6G14840
OG0001214	Ag004G367410, Ag001G070190, Ag002G167060, Ag006G526950, Ag003G212920, Ag004G351600	AL433U10020
OG0001216	Ag002G116190, Ag002G116210, Ag002G116130, Ag002G188590, Ag002G188550, Ag002G195510, Ag005G402450, Ag003G283250, Ag002G191210, Ag002G188630	AL4G38880
OG0001217	Ag005G465520	AL7G40220
OG0001218	Ag005G484660	AL3G15300
OG0001218	Ag005G484370	AL3G15490
OG0001219	Ag008G697600	nbis-gene-773, nbis-gene-1368, nbis-gene-1367, nbis-gene-1373, nbis-gene-1374, nbis-gene-1372
OG0001220	Ag008G714370	AL6G33710
OG0001222	Ag003G268120	AL7G20900
OG0001223	Ag003G273790	AL7G17440
OG0001224	Ag004G309570	AL1G19690, AL1G19700
OG0001224	Ag004G366390	AL1G66020
OG0001225	Ag008G667510, Ag004G374180	AL5G15800, AL5G15810, AL5G15770
OG0001227	Ag005G476860	AL3G20820
OG0001227	Ag006G494080	AL6G12110
OG0001228	Ag002G174110, Ag001G081960	AL4G19030
OG0001229	Ag004G384940, Ag004G385000, Ag004G385040, Ag004G384980, Ag004G385090, Ag004G384970	AL8G32760, nbis-gene-2158
OG0001230	Ag008G726560	AL8G38540
OG0001230	Ag006G507850	AL6G17650
OG0001231	Ag008G726750	AL8G38650
OG0001231	Ag006G507570	AL6G17550
OG0001232	Ag006G572620	AL7G35270
OG0001233	Ag006G550770	AL7G30610
OG0001233	Ag003G263830, Ag003G263190, Ag008G694510, Ag002G143510	AL6G46660
OG0001234	Ag003G226160	AL2G35400
OG0001235	Ag005G416000	AL3G50270
OG0001235	Ag003G285490	AL7G15720
OG0001236	Ag001G034230	AL7G40480
OG0001236	Ag007G589320	AL4G27680
OG0001237	Ag002G202710	AL371U10010, AL4G45110
OG0001237	Ag001G094450	AL5G43660, AL1G53600
OG0001238	Ag002G202580	AL4G45010
OG0001238	Ag001G094230	nbis-gene-1405
OG0001239	Ag001G091800	AL5G42150
OG0001239	Ag002G198750	AL4G43040
OG0001240	Ag002G197860	AL462U10020
OG0001240	Ag002G197900	AL4G42530
OG0001241	Ag002G197710	AL4G42440
OG0001241	Ag002G197700, Ag002G197690	AL4G42430
OG0001242	Ag006G495160	AL6G12610
OG0001242	Ag005G476520	AL3G21040
OG0001243	Ag008G719290	AL6G31090
OG0001243	Ag004G356370	AL2G25810
OG0001245	Ag001G063060	AL5G31280
OG0001245	Ag004G353940, Ag001G099840	AL8G45090
OG0001246	Ag004G299200	AL1G11640
OG0001246	Ag006G513920	AL6G51730
OG0001247	Ag007G599530	AL6G50090
OG0001247	Ag005G479440	AL3G18950
OG0001248	Ag007G594610, Ag007G594590	AL4G23700, AL4G23760, AL4G23750, AL41U10040
OG0001249	Ag008G725240, Ag002G176480	AL4G35700
OG0001250	Ag007G618640	AL6G26320
OG0001250	Ag005G490080	AL3G11230
OG0001251	Ag005G489640	AL3G11590
OG0001251	Ag007G619870	AL6G26640
OG0001252	Ag005G489110	AL3G11960
OG0001253	Ag005G483320	AL3G16240
OG0001253	Ag007G636010	AL6G39060
OG0001254	Ag001G011150	AL1G59310
OG0001254	Ag002G164800	AL4G31950
OG0001255	Ag003G214230	AL2G38780
OG0001255	Ag004G326380	AL1G29370
OG0001256	Ag003G238910	AL2G32420
OG0001256	Ag004G327570	AL1G29820
OG0001257	Ag003G237120	AL2G32960
OG0001257	Ag004G328540	AL1G30170
OG0001258	Ag004G331020	AL1G31360
OG0001258	Ag003G229650	AL2G34550
OG0001259	Ag004G332360, Ag004G332350	AL1G32300
OG0001259	Ag003G226980	AL2G35200
OG0001261	Ag004G320170	AL1G26210
OG0001261	Ag008G661310	AL5G12430
OG0001262	Ag004G319930	AL1G26120
OG0001262	Ag004G320000, Ag004G319960, Ag004G319980, Ag004G319970, Ag004G319950	AL1G26130
OG0001263	Ag004G315430	AL1G23520
OG0001263	Ag004G380670	AL2G13190
OG0001264	Ag005G469500	AL3G25240
OG0001264	Ag001G001400	AL1G63620
OG0001265	Ag001G010710	nbis-gene-287
OG0001265	Ag005G442590, Ag004G323700, Ag005G443740	AL3G35110
OG0001267	Ag002G127560, Ag002G127540	AL8G15480
OG0001268	Ag003G244900	AL1G39030
OG0001269	Ag007G582170, Ag007G582150	AL4G30200, AL1G43160
OG0001274	Ag006G524860	AL4G14670
OG0001274	Ag003G267830	AL7G21040
OG0001275	Ag004G334620	AL1G33590
OG0001275	Ag003G283500	AL7G16130
OG0001276	Ag004G374720	AL2G15180
OG0001276	Ag004G313130	AL1G22120
OG0001277	Ag004G376210, Ag004G376220	AL2G14690
OG0001278	Ag008G670840	AL5G17130, AL3G42720
OG0001279	Ag007G617160	AL6G25900
OG0001279	Ag005G490470	AL3G10940
OG0001280	Ag007G605820, Ag001G076190	AL5G18970
OG0001280	Ag005G473800	AL7G50740
OG0001281	Ag004G398000	AL2G10780
OG0001281	Ag005G451920, Ag004G354800, Ag004G322220, Ag007G656770	AL7G47670
OG0001282	Ag008G700450	AL7G26820, AL8G32710
OG0001283	Ag001G083190	AL5G38390
OG0001283	Ag002G189930	AL4G39180
OG0001284	Ag001G040840	AL8G23970, AL7G42960
OG0001284	Ag008G728600	AL8G39900
OG0001285	Ag001G057310	AL8G29800
OG0001286	Ag008G694390	AL8G30530
OG0001287	Ag008G694960	AL8G30780
OG0001288	Ag007G607390	AL6G22080
OG0001288	Ag008G720640	AL6G37250
OG0001289	Ag006G577550	AL7G37150
OG0001289	Ag002G114270, Ag002G121960, Ag002G121970	AL8G10800
OG0001290	Ag002G146290	AL6G45440
OG0001290	Ag006G546920, Ag006G542020	AL7G29740
OG0001291	Ag006G540940	AL1G47200
OG0001292	Ag007G593410	AL4G24820
OG0001292	Ag005G490570	AL3G10870
OG0001293	Ag001G090280	AL5G41140
OG0001294	Ag006G522710	AL4G11820
OG0001294	Ag003G293330	AL7G12200
OG0001295	Ag001G025870	AL7G52990
OG0001295	Ag003G226770	AL7G52810
OG0001296	Ag006G523450	AL4G12270
OG0001296	Ag002G206170, Ag008G733080	AL4G31180
OG0001297	Ag002G138870, Ag002G138840	AL6G48250
OG0001298	Ag001G035220	AL7G41050
OG0001299	Ag002G204170	AL4G46230
OG0001299	Ag002G204150	AL4G46210
OG0001300	Ag001G086290	AL5G39810
OG0001300	Ag002G193700	AL4G40800
OG0001301	Ag001G085710	AL5G39550
OG0001301	Ag002G193350	AL4G40590
OG0001302	Ag001G058740	AL5G29880
OG0001303	Ag006G519040	AL6G53400
OG0001303	Ag004G297490	AL1G10320
OG0001304	Ag004G307690	AL1G18180
OG0001304	Ag007G595610	AL4G22880
OG0001305	Ag005G483870	AL3G15980
OG0001305	Ag007G636670	AL6G39400
OG0001306	Ag007G636130	AL6G39100
OG0001306	Ag005G483370	AL3G16210
OG0001307	Ag005G479630, Ag005G479620	AL3G18790
OG0001308	Ag001G069930	AL5G33550
OG0001308	Ag002G166650	AL4G32430
OG0001309	Ag002G174770	AL4G34890
OG0001309	Ag001G074030	AL5G35020
OG0001310	Ag004G325640	AL1G29030
OG0001310	Ag003G212510	AL2G39290
OG0001311	Ag007G579540	AL6G40340, AL8G22540
OG0001312	Ag007G643960	AL8G21690
OG0001313	Ag003G214010, Ag003G292230, Ag003G292240, Ag003G292260	AL2G27110
OG0001314	Ag005G469610	AL3G25170
OG0001314	Ag001G001240	AL1G63750
OG0001315	Ag005G462720	AL3G28400
OG0001315	Ag001G008290	AL1G60850
OG0001316	Ag001G026620	AL1G54800
OG0001316	Ag005G458010	AL3G30490
OG0001317	Ag001G015320, Ag005G447610	AL3G33510
OG0001318	Ag001G030180	AL7G39230, nbis-gene-1846
OG0001318	Ag001G031440, Ag001G030250	AL7G39240
OG0001319	Ag001G070950	AL5G33850
OG0001320	Ag004G399000, Ag006G503170, Ag006G503570, Ag006G503520, Ag006G503160, Ag006G503130, Ag006G512920, Ag006G505740, Ag006G506760, Ag001G036260, Ag001G054250, Ag007G650490, Ag005G403060, Ag007G650540, Ag007G650520, Ag006G505190, Ag006G503620, Ag006G505220, Ag006G500770, Ag004G316600, Ag004G316630, Ag004G316620	AL4G33910, AL7G29940, AL7G29920
OG0001321	Ag002G120660, Ag002G115790, Ag002G115770, Ag002G120670, Ag002G120680, Ag002G115760, Ag002G120690, Ag002G115750, Ag002G120650	nbis-gene-1981, AL1G65050
OG0001323	Ag008G731160, Ag008G731200	AL8G41770
OG0001328	Ag003G268990	AL7G20620
OG0001328	Ag006G527520	AL4G15070
OG0001329	Ag001G050370	nbis-gene-821, nbis-gene-474, nbis-gene-489
OG0001330	Ag005G416240	AL3G50160
OG0001330	Ag003G284980	AL7G15840
OG0001331	Ag003G259990	AL1G66240
OG0001331	Ag004G366660	AL1G66210
OG0001332	Ag004G367740	AL2G17990, AL2G18010, AL2G17980
OG0001332	Ag004G310650	AL1G20370
OG0001333	Ag004G312940	AL1G21930
OG0001334	Ag004G322000	AL1G26960
OG0001334	Ag008G659210, Ag008G658100	AL5G10690
OG0001335	Ag006G498270	AL6G14190
OG0001335	Ag005G475210	AL3G21970
OG0001336	Ag005G472360	AL3G23260
OG0001336	Ag006G504280	AL6G16480
OG0001337	Ag008G688300, Ag008G690130	AL8G29230
OG0001337	Ag003G252180	AL7G25170
OG0001338	Ag008G690140, Ag008G688290	AL8G29220
OG0001339	Ag008G696250	AL8G31240
OG0001340	Ag007G606800	AL6G21800, AL6G21810
OG0001341	Ag008G721420	AL6G36730
OG0001341	Ag007G605860	AL6G21420
OG0001342	Ag007G604080	AL6G20500
OG0001342	Ag008G732590	AL8G42730
OG0001343	Ag007G601080	AL6G18700
OG0001343	Ag008G724240	AL6G34470
OG0001344	Ag006G577190	AL7G36900
OG0001344	Ag002G115550, Ag002G120810	AL8G11280
OG0001345	Ag006G573830	AL7G35450
OG0001345	Ag002G105840	AL8G12860
OG0001346	Ag006G562080	AL7G33310
OG0001346	Ag006G562050	AL7G33320
OG0001347	Ag001G100170	AL7G29650
OG0001348	Ag005G414310	AL3G50720
OG0001349	Ag005G412880	AL3G51250
OG0001349	Ag003G288330	AL7G14860
OG0001350	Ag006G523310	AL4G12170
OG0001350	Ag003G292450	AL7G12700
OG0001351	Ag008G692420	AL7G43730, AL7G43740
OG0001353	Ag002G104140	AL8G13350
OG0001353	Ag006G572220	AL7G35010
OG0001353	Ag002G104330	AL8G13220
OG0001354	Ag001G097810	AL5G45400
OG0001354	Ag002G205960	AL4G47050
OG0001355	Ag002G192810, Ag004G391720, Ag001G094260	AL5G43530
OG0001355	Ag002G202600	AL4G45030
OG0001356	Ag001G088580	AL5G40440
OG0001357	Ag001G085760	AL5G39580
OG0001357	Ag002G193300	AL4G40550
OG0001358	Ag002G191930	AL4G40190
OG0001358	Ag001G085020	AL5G39110
OG0001359	Ag001G051540	AL5G24870
OG0001359	Ag008G709910	AL8G36320
OG0001360	Ag004G303910	AL1G15120
OG0001360	Ag007G589230	AL4G27610
OG0001361	Ag007G589050	AL4G28130
OG0001361	Ag004G302990	AL1G14520
OG0001362	Ag005G444610	AL3G34690
OG0001362	Ag007G597690	AL4G20610
OG0001363	Ag007G607980	AL7G25800
OG0001364	Ag007G617140	AL6G25890
OG0001364	Ag005G490500, Ag005G490480	AL3G10930
OG0001365	Ag005G490390	AL3G11020
OG0001365	Ag007G617430	AL6G25970
OG0001366	Ag007G620560	AL6G26830
OG0001366	Ag005G489320	AL3G11790
OG0001367	Ag005G481380	AL8G23450, AL3G17520
OG0001368	Ag001G006320, Ag002G161550	AL4G17170
OG0001368	Ag002G164630	AL6G24960
OG0001370	Ag004G335860	AL1G34070
OG0001370	Ag003G219980	AL2G36730
OG0001371	Ag006G511640	AL1G38290, AL1G38270, AL1G38300
OG0001372	Ag005G488090	AL3G12720
OG0001372	Ag007G624210	AL6G28020
OG0001373	Ag001G024310	AL1G55490
