Orthogroup	Cardamine_hirsuta	Odontarrhena_muralis
OG0002702	CARHR166290	Om006G250810
OG0002702	CARHR135480	Om008G329930
OG0002703	CARHR029200	Om002G085030
OG0002704	CARHR131560	Om006G254790
OG0002705	CARHR164170	Om006G253600
OG0002705	CARHR133390	Om008G333280
OG0002706	CARHR073130	Om004G131710
OG0002706	CARHR016820	Om005G197250
OG0002707	CARHR018560	Om005G199470
OG0002708	CARHR068740	Om004G137980
OG0002708	CARHR020180	Om005G201610
OG0002709	CARHR070440	Om004G135410
OG0002710	CARHR023230	Om005G205410
OG0002710	CARHR064650	Om005G206380
OG0002711	CARHR024350	Om004G144560
OG0002712	CARHR061480, CARHR025900	Om005G210530
OG0002713	CARHR061460	Om005G210560
OG0002713	CARHR025940	Om004G146990
OG0002714	CARHR015640	Om005G195780
OG0002715	CARHR144160	Om008G335830, Om006G275190
OG0002715	CARHR015440	Om005G195500
OG0002716	CARHR010500	Om005G188890
OG0002717	CARHR196890	Om007G298470
OG0002718	CARHR195870	Om007G297190
OG0002719	CARHR188750, CARHR188720, CARHR188710	Om006G239420
OG0002720	CARHR184140, CARHR153680	Om006G257880
OG0002721	CARHR158300	Om006G260380
OG0002721	CARHR189010	Om006G239060
OG0002722	CARHR062160	Om005G209590
OG0002723	CARHR071550	Om004G133920
OG0002723	CARHR022560	Om005G204700
OG0002724	CARHR021240	Om005G202940
OG0002724	CARHR069960	Om004G136150
OG0002725	CARHR087690	Om002G057080
OG0002725	CARHR087680	Om002G057070
OG0002726	CARHR090500	Om002G060810
OG0002726	CARHR043160	Om003G093780
OG0002728	CARHR039670	Om003G097960
OG0002728	CARHR094570	Om002G066520
OG0002729	CARHR096300	Om002G068340
OG0002730	CARHR097630	Om002G069810
OG0002731	CARHR098330	Om002G070720
OG0002731	CARHR221520, CARHR221500	Om003G102190
OG0002732	CARHR042200	Om003G095040, Om003G095020
OG0002732	CARHR042190	Om003G095090
OG0002733	CARHR039300	Om003G098420
OG0002734	CARHR128690	Om008G339900
OG0002735	CARHR289330	Om006G254820
OG0002736	CARHR132540	Om008G334650
OG0002737	CARHR135900	Om008G329140
OG0002737	CARHR166560	Om003G119290
OG0002738	CARHR173750, CARHR173720	Om008G362730, Om004G135450, Om008G362740
OG0002739	CARHR159030	Om006G259500
OG0002739	CARHR280180	Om006G230820
OG0002741	CARHR061320	Om005G201440
OG0002741	CARHR026000	Om004G147080
OG0002743	CARHR217610	Om001G031070
OG0002743	CARHR241690	Om001G031110
OG0002745	CARHR012110	Om005G190950, Om005G190960
OG0002746	CARHR014230	Om005G193830
OG0002746	CARHR145830	Om006G273940
OG0002748	CARHR203600	Om004G166360
OG0002748	CARHR278640	Om006G232730
OG0002749	CARHR270040, CARHR270050, CARHR270060	Om003G119030
OG0002750	CARHR059340, CARHR059190, CARHR124310, CARHR059100, CARHR059010, CARHR214460, CARHR214370	Om005G213150
OG0002753	CARHR236020	Om001G022380
OG0002754	CARHR236780	Om001G023760
OG0002754	CARHR110650	Om002G087900
OG0002755	CARHR239620	Om001G028310
OG0002757	CARHR106460, CARHR242760	Om001G032800
OG0002761	CARHR053340, CARHR053280	Om005G225420
OG0002762	CARHR050530	Om005G223750
OG0002762	CARHR011900	Om005G190640
OG0002763	CARHR015460	Om005G195540
OG0002763	CARHR059470	Om006G275280
OG0002764	CARHR014120	Om005G193700
OG0002764	CARHR145980	Om006G273760
OG0002765	CARHR204660	Om004G167630
OG0002766	CARHR215120	Om007G314260
OG0002767	CARHR048320	Om005G225810
OG0002768	CARHR270330	Om006G250360
OG0002769	CARHR083830	Om002G051970, Om002G051980
OG0002770	CARHR257600	Om003G111920
OG0002771	CARHR279010	Om006G232170
OG0002772	CARHR277780	Om006G233690
OG0002772	CARHR204160	Om004G167030
OG0002773	CARHR205670	Om004G168820, Om004G168770
OG0002773	CARHR275440	Om006G236440
OG0002774	CARHR226710	Om001G005210
OG0002774	CARHR177950	Om008G356980
OG0002775	CARHR226800	Om001G005390
OG0002775	CARHR178090	Om008G356880
OG0002776	CARHR228210	Om001G007460
OG0002776	CARHR228200	Om001G007450
OG0002777	CARHR228660, CARHR228670	Om001G008140
OG0002778	CARHR230190	Om001G009340, Om001G009310, Om001G006980
OG0002779	CARHR033530, CARHR033490, CARHR033450	Om001G012920
OG0002779	CARHR033440, CARHR033510	Om001G012910
OG0002780	CARHR034860, CARHR034880	Om001G014540
OG0002781	CARHR246040	Om001G038440
OG0002782	CARHR246790	Om001G039650
OG0002784	CARHR174170	Om008G362160
OG0002785	CARHR217410	Om003G106070
OG0002785	CARHR103940	Om002G077980
OG0002786	CARHR217560	Om001G029450
OG0002787	CARHR216910	Om003G106580
OG0002788	CARHR099110	Om002G071780
OG0002789	CARHR098670	Om002G071170
OG0002789	CARHR221220	Om003G102480
OG0002790	CARHR098210	Om002G070590
OG0002790	CARHR098230	Om002G070610
OG0002791	CARHR222150	Om003G101580
OG0002792	CARHR261840, CARHR261830	Om007G316750
OG0002792	CARHR081050	Om002G054810
OG0002793	CARHR142370	Om008G320090
OG0002793	CARHR172490	Om003G127760
OG0002794	CARHR171140	Om003G125810
OG0002795	CARHR170640	Om003G124940
OG0002796	CARHR138700	Om008G324990
OG0002797	CARHR137350	Om008G326850
OG0002798	CARHR136860, CARHR167370	Om008G327430
OG0002798	CARHR167620	Om003G120540
OG0002799	CARHR211790	Om004G176720
OG0002800	CARHR209690	Om004G174080, Om004G174110
OG0002801	CARHR152600, CARHR152610	Om006G242580
OG0002802	CARHR191780	Om006G242930
OG0002803	CARHR155660	Om006G266300
OG0002803	CARHR272800	Om006G247160
OG0002804	CARHR159800, CARHR280640	Om006G258890
OG0002805	CARHR123010	Om007G282270
OG0002806	CARHR001630	Om005G179090
OG0002806	CARHR250030	Om004G158840
OG0002807	CARHR251500	Om005G180360
OG0002808	CARHR126270	Om007G279420, Om007G279410
OG0002808	CARHR004620	Om005G182400
OG0002809	CARHR124980	Om007G280580
OG0002810	CARHR006350	Om005G184140
OG0002810	CARHR124270	Om007G281200
OG0002812	CARHR120030	Om007G284670
OG0002813	CARHR075230	Om002G042450
OG0002813	CARHR198930	Om007G301390
OG0002814	CARHR197710	Om007G299550
OG0002814	CARHR076170	Om002G043490
OG0002815	CARHR077390	Om002G044830
OG0002815	CARHR195740	Om007G297030
OG0002816	CARHR078340, CARHR078310, CARHR078330, CARHR078320	Om002G045890
OG0002817	CARHR078510	Om002G046040
OG0002817	CARHR194530	Om007G295770
OG0002818	CARHR079330	Om002G046980
OG0002819	CARHR193980	Om007G295120
OG0002819	CARHR080700	Om002G048670
OG0002821	CARHR081440	Om002G049510
OG0002821	CARHR182480	Om007G304040
OG0002822	CARHR060040, CARHR078780	Om002G072690, Om002G072720, Om002G072700
OG0002822	CARHR078790	Om002G046350
OG0002823	CARHR162630	Om006G255600
OG0002823	CARHR130520	Om008G337460
OG0002824	CARHR163820	Om006G254050
OG0002825	CARHR074220	Om004G130210
OG0002826	CARHR073550	Om004G131270
OG0002826	CARHR016520	Om005G196940
OG0002827	CARHR018070	Om005G198760
OG0002827	CARHR065580	Om004G142370
OG0002828	CARHR018100	Om005G198790
OG0002828	CARHR065620	Om004G142330
OG0002829	CARHR018500	Om005G199440, Om005G199430
OG0002829	CARHR066260	Om004G141650
OG0002830	CARHR067840	Om004G139310
OG0002831	CARHR068070, CARHR177860, CARHR177870	Om004G138970
OG0002831	CARHR019560	Om005G200810
OG0002832	CARHR069820	Om004G136520
OG0002833	CARHR021020	Om005G202630
OG0002833	CARHR069830	Om004G136510
OG0002834	CARHR024270	Om004G144470
OG0002834	CARHR063420, CARHR063410	Om005G208000
OG0002835	CARHR062120	Om005G209680
OG0002835	CARHR025570	Om004G146400
OG0002836	CARHR061680, CARHR025890	Om005G210220
OG0002837	CARHR061220	Om005G210950
OG0002838	CARHR216290	Om001G006670, Om002G051050
OG0002840	CARHR247550	Om001G040750
OG0002840	CARHR112480	Om004G155980
OG0002841	CARHR126300	Om007G279460
OG0002841	CARHR004610	Om005G182370
OG0002842	CARHR002340	Om005G180110, Om005G180130
OG0002843	CARHR190000	Om006G238090
OG0002844	CARHR198400, CARHR198390, CARHR198410	Om007G300560, Om007G300550
OG0002845	CARHR194200	Om007G295280
OG0002846	CARHR287960, CARHR050700, CARHR050710	Om007G303550
OG0002847	CARHR045790	Om004G132130, Om002G056780, Om003G089590
OG0002848	CARHR188960	Om006G239100
OG0002849	CARHR189190	Om006G238920
OG0002850	CARHR275500	Om006G236350
OG0002851	CARHR189850	Om006G238240
OG0002851	CARHR157670	Om006G261280
OG0002852	CARHR189970	Om006G238130
OG0002853	CARHR275580	Om004G152780, Om004G152760, Om004G152770, Om006G236240
OG0002854	CARHR272690	Om006G247310
OG0002855	CARHR075570	Om002G042780
OG0002855	CARHR272590	Om006G247440
OG0002856	CARHR155910, CARHR272510	Om006G247470
OG0002857	CARHR159200	Om006G259130
OG0002859	CARHR273320, CARHR154570	Om006G245760
OG0002860	CARHR242910	Om001G032850
OG0002860	CARHR106510	Om002G082200
OG0002861	CARHR001730	Om005G179190
OG0002861	CARHR064270	Om005G206880
OG0002862	CARHR067700	Om004G139540
OG0002863	CARHR073770	Om004G130930
OG0002863	CARHR016390	Om005G196710
OG0002864	CARHR045170	Om003G090410
OG0002864	CARHR088120	Om002G057700
OG0002865	CARHR088500	Om002G058150
OG0002866	CARHR044580	Om003G091270
OG0002867	CARHR088920	Om002G058730
OG0002867	CARHR044460	Om003G091480
OG0002868	CARHR090510	Om002G060820
OG0002869	CARHR040840	Om003G096560
OG0002869	CARHR096270	Om002G068310
OG0002871	CARHR105560	Om007G280550
OG0002872	CARHR228680, CARHR106880, CARHR106870	Om001G008150
OG0002873	CARHR238170	Om001G025790
OG0002873	CARHR109400	Om002G086160
OG0002874	CARHR111630	Om007G275560
OG0002874	CARHR235840	Om001G022110
OG0002875	CARHR096310, CARHR040950, CARHR096330	Om002G068360
OG0002876	CARHR039330	Om003G098370
OG0002877	CARHR165040	Om006G252490
OG0002877	CARHR134030	Om008G332170
OG0002878	CARHR135780	Om008G329300
OG0002879	CARHR167280	Om003G120150
OG0002879	CARHR136440	Om008G328200
OG0002880	CARHR167530	Om003G120450
OG0002880	CARHR207530	Om004G171200
OG0002881	CARHR168010	Om003G120940
OG0002882	CARHR176780	Om008G357970
OG0002885	CARHR092260	Om002G063510
OG0002886	CARHR196980, CARHR196970, CARHR196960	Om007G298510
OG0002887	CARHR194910, CARHR198710	Om007G296100
OG0002890	CARHR111300	Om002G088470
OG0002890	CARHR236110	Om001G022550
OG0002891	CARHR238360	Om001G026250
OG0002892	CARHR116470	Om004G148590
OG0002893	CARHR240030	Om001G028920
OG0002894	CARHR104530	Om006G268780
OG0002894	CARHR240610	Om001G029590
OG0002895	CARHR240950	Om001G030150
OG0002896	CARHR241790	Om001G031370
OG0002897	CARHR243040	Om001G033250, Om001G033240
OG0002898	CARHR091860	Om002G062900
OG0002899	CARHR129690	Om008G338580
OG0002900	CARHR129910	Om008G338290
OG0002900	CARHR223470	Om007G276280
OG0002901	CARHR010850, CARHR113010	Om005G189330
OG0002901	CARHR051820	Om005G221640
OG0002902	CARHR050550	Om005G223730
OG0002903	CARHR015690	Om005G195830, Om005G195820, Om007G305780
OG0002904	CARHR015230	Om005G195160
OG0002904	CARHR144450	Om002G087120
OG0002905	CARHR149810	Om006G269920
OG0002906	CARHR047700, CARHR213020	Om005G226660
OG0002907	CARHR271230, CARHR233300	Om006G249330
OG0002909	CARHR085160	Om002G053690
OG0002909	CARHR208510	Om004G172520
OG0002910	CARHR207070	Om004G170400
OG0002910	CARHR086210	Om002G055210
OG0002911	CARHR086930	Om002G056120
OG0002911	CARHR199570	Om007G302130
OG0002912	CARHR266910	Om003G115360
OG0002912	CARHR025260	Om004G145600
OG0002913	CARHR267770	Om003G116110
OG0002914	CARHR269410, CARHR234120	Om003G118210
OG0002915	CARHR271980, CARHR271860	Om006G248150, Om006G248030
OG0002916	CARHR027020, CARHR026790	Om004G149230, Om004G148230
OG0002917	CARHR201180, CARHR187410	Om004G162910
OG0002918	CARHR190340	Om006G237660
OG0002918	CARHR204870	Om004G167780
OG0002919	CARHR205410	Om004G168370
OG0002920	CARHR275890	Om006G235920
OG0002921	CARHR223970	Om001G000160
OG0002921	CARHR173940	Om008G362540
OG0002922	CARHR224440, CARHR174580	Om001G000680
OG0002924	CARHR254070, CARHR229700	Om008G352030
OG0002925	CARHR229960	Om001G009780
OG0002926	CARHR032370, CARHR032360, CARHR256160	Om001G011850
OG0002927	CARHR033200	Om001G012490
OG0002928	CARHR033720	Om001G013220
OG0002928	CARHR290920	Om005G205910
OG0002929	CARHR034010	Om001G013520
OG0002929	CARHR022680	Om005G204780
OG0002930	CARHR127960	Om008G340690
OG0002931	CARHR243940	Om001G034890, Om001G034900
OG0002932	CARHR245430	Om001G037170
OG0002932	CARHR293130	Om004G152100
OG0002933	CARHR245770	Om001G038130
OG0002934	CARHR246270	Om001G038930
OG0002935	CARHR106830	Om007G298540, Om001G040770, Om004G151950
OG0002935	CARHR112440	Om004G151940
OG0002936	CARHR247660	Om001G040850
OG0002937	CARHR247770	Om001G040980, Om001G040970
OG0002938	CARHR294280	Om001G041510
OG0002939	CARHR254210	Om003G092340
OG0002942	CARHR099720	Om002G072800
OG0002943	CARHR213250, CARHR110430, CARHR213240	Om007G317950
OG0002944	CARHR172820	Om003G128120
OG0002944	CARHR142830	Om008G319440
OG0002945	CARHR016220	Om005G196470, Om002G043780
OG0002946	CARHR141610	Om008G321020
OG0002947	CARHR140140	Om008G322850
OG0002948	CARHR202860	Om008G323360
OG0002949	CARHR139620	Om008G323380
OG0002949	CARHR139630, CARHR150030	Om008G323370
OG0002950	CARHR281740	Om006G229040
OG0002950	CARHR161040	Om006G257270
OG0002951	CARHR139060	Om008G324340
OG0002952	CARHR138810	Om008G324830
OG0002952	CARHR169980	Om003G123910
OG0002953	CARHR138580	Om008G325130
OG0002953	CARHR169960	Om003G123840
OG0002954	CARHR169920	Om003G123800
OG0002954	CARHR138490	Om008G325210
OG0002955	CARHR211830	Om004G176770
OG0002955	CARHR083260	Om002G051350
OG0002956	CARHR118920	Om006G242850
OG0002956	CARHR191720	Om006G243020
OG0002957	CARHR273900	Om006G245190
OG0002958	CARHR190570	Om006G244470, Om006G244440, Om008G341360, Om008G341350, Om006G244450, Om008G358580
OG0002959	CARHR202950	Om004G165630
OG0002960	CARHR280250	Om006G230750
OG0002961	CARHR281180	Om006G229690
OG0002962	CARHR028140	Om004G156990, Om004G156970
OG0002963	CARHR249470	Om008G354200, Om008G354130, Om004G158530
OG0002963	CARHR001300	Om005G178750
OG0002964	CARHR250510	Om004G159700
OG0002965	CARHR179030	Om007G292980
OG0002966	CARHR179170	Om007G292770
OG0002967	CARHR003490	Om005G181180
OG0002968	CARHR003500	Om005G181200
OG0002968	CARHR179530	Om007G277570
OG0002969	CARHR003860	Om005G181620
OG0002969	CARHR127330	Om007G278390
OG0002970	CARHR127240	Om007G278500
OG0002970	CARHR003960	Om005G181510
OG0002971	CARHR003950	Om005G181520
OG0002972	CARHR004630	Om005G182410
OG0002972	CARHR126250	Om007G279400
OG0002973	CARHR005720	Om005G183640
OG0002973	CARHR124750	Om007G280830
OG0002974	CARHR122060	Om007G283160
OG0002974	CARHR007420	Om005G185420
OG0002975	CARHR240820	Om001G029910
OG0002976	CARHR198810	Om007G301250
OG0002976	CARHR075330	Om002G042550
OG0002977	CARHR075410	Om002G042620
OG0002977	CARHR198630	Om007G301010
OG0002978	CARHR272780	Om006G247190
OG0002978	CARHR202240	Om004G164390
OG0002979	CARHR268740	Om003G117430
OG0002980	CARHR079630	Om002G047350
OG0002981	CARHR080670, CARHR193930	Om002G048640
OG0002982	CARHR130570	Om008G337390
OG0002982	CARHR162640	Om006G255590
OG0002983	CARHR130970	Om008G336790
OG0002983	CARHR162970	Om006G255080
OG0002984	CARHR131010	Om008G336730
OG0002984	CARHR131040	Om008G336740
OG0002985	CARHR131670	Om006G254710
OG0002986	CARHR201210	Om008G343030, Om004G162030
OG0002988	CARHR068810	Om004G138030
OG0002988	CARHR034620, CARHR218780, CARHR020230	Om005G201660
OG0002989	CARHR004020, CARHR004010, CARHR181900	Om001G031510, Om001G031520
OG0002990	CARHR026010	Om005G210760
OG0002991	CARHR232920, CARHR232930	Om007G286510, Om007G286520
OG0002992	CARHR011790	Om005G190470
OG0002993	CARHR040170, CARHR189180	Om005G187860, Om003G105910
OG0002994	CARHR055250	Om001G019280
OG0002995	CARHR002580	Om005G180200
OG0002996	CARHR186960	Om007G294450
OG0002997	CARHR185380	Om007G303310
OG0002998	CARHR206240	Om004G169680
OG0002998	CARHR086750	Om002G055840
OG0002999	CARHR207810	Om004G171560
OG0002999	CARHR211680	Om008G333130
OG0003000	CARHR274970, CARHR099960	Om006G236920, Om001G028230, Om002G074790
OG0003001	CARHR276010	Om006G235720
OG0003001	CARHR205970	Om004G169280
OG0003003	CARHR017950	Om005G198510
OG0003003	CARHR065320	Om004G142600
OG0003004	CARHR043670	Om003G092840
OG0003004	CARHR089770	Om002G059900
OG0003005	CARHR290410	Om003G100780
OG0003005	CARHR091880	Om002G062940
OG0003006	CARHR222520	Om003G100310
OG0003006	CARHR092220	Om002G063460
OG0003007	CARHR222650	Om003G100140
OG0003007	CARHR092230	Om002G063480
OG0003008	CARHR038730	Om003G099120
OG0003008	CARHR093630	Om002G065210
OG0003009	CARHR095020	Om002G066940
OG0003009	CARHR039950	Om003G097710
OG0003010	CARHR041150	Om003G096150
OG0003010	CARHR096580	Om002G068630
OG0003011	CARHR099470, CARHR099460, CARHR099450, CARHR099480	Om002G072470, Om006G253400
OG0003012	CARHR100380	Om002G073660
OG0003013	CARHR107030	Om002G082930
OG0003013	CARHR243330	Om001G033660
OG0003014	CARHR108470	Om002G084850
OG0003014	CARHR239630, CARHR286350	Om001G028320
OG0003015	CARHR110170	Om002G087410
OG0003015	CARHR237250	Om001G024430
OG0003016	CARHR103680, CARHR041840	Om003G095590
OG0003016	CARHR097140	Om002G069270
OG0003017	CARHR043630, CARHR168190	Om003G121110
OG0003017	CARHR041720	Om003G095720
OG0003018	CARHR165200	Om006G252250
OG0003018	CARHR134250	Om008G332020
OG0003019	CARHR089960	Om002G060150
OG0003020	CARHR139200	Om008G324040
OG0003020	CARHR170220	Om003G124250
OG0003022	CARHR263470, CARHR134660	Om003G125580, Om003G125590
OG0003025	CARHR233150	Om007G286770, Om007G286750
OG0003028	CARHR114330	Om001G039220, Om002G082330, Om002G082340
OG0003030	CARHR289560, CARHR289640, CARHR175250	Om008G354270
OG0003030	CARHR102310, CARHR223510	Om008G359440
OG0003030	CARHR175160	Om008G360250, Om008G360640, Om008G360770
OG0003030	CARHR036550	Om008G361240, Om008G361340, Om008G361210
OG0003033	CARHR236560	Om001G023390
OG0003033	CARHR110720	Om002G087960
OG0003036	CARHR242570	Om001G032340
OG0003036	CARHR105670	Om002G081370
OG0003037	CARHR004760	Om001G033430
OG0003039	CARHR010570	Om005G188970
OG0003039	CARHR053270	Om005G219900
OG0003040	CARHR053090, CARHR053080	Om005G220050
OG0003041	CARHR010870	Om005G189370
OG0003042	CARHR149390	Om006G270890
OG0003042	CARHR261760	Om007G316840
OG0003043	CARHR056940, CARHR056960	Om005G215230
OG0003044	CARHR012580	Om005G191640, Om008G342460
OG0003044	CARHR049100	Om005G225100
OG0003045	CARHR086470, CARHR086460	Om002G055510
OG0003046	CARHR266550	Om003G114970
OG0003046	CARHR235610	Om001G021680, Om002G075500
OG0003047	CARHR278240	Om006G233180
OG0003047	CARHR203950	Om004G166780
OG0003048	CARHR278210	Om006G233930
OG0003049	CARHR174270	Om008G362020
OG0003050	CARHR254110	Om008G352040
OG0003050	CARHR229710	Om001G009500, Om001G009530
OG0003051	CARHR230050	Om001G009890
OG0003051	CARHR254500	Om008G352820
OG0003052	CARHR260490	Om008G345750
OG0003052	CARHR033880	Om001G013420
OG0003053	CARHR259310	Om008G343180
OG0003053	CARHR124550	Om001G014860
OG0003054	CARHR037070	Om007G287190
OG0003055	CARHR027730	Om007G288550
OG0003056	CARHR127890	Om008G340750
OG0003056	CARHR027780	Om007G288630
OG0003057	CARHR244000	Om001G034980
OG0003057	CARHR107890	Om002G084320
OG0003058	CARHR245350	Om001G037060
OG0003059	CARHR129250	Om008G339200
OG0003060	CARHR252620	Om008G354520
OG0003060	CARHR228460	Om001G007850
OG0003061	CARHR173920	Om008G362560
OG0003061	CARHR223950	Om001G000140
OG0003062	CARHR217400	Om003G106080
OG0003062	CARHR103930	Om002G078030
OG0003063	CARHR101010	Om002G074430
OG0003064	CARHR099290	Om002G072100, Om003G099860
OG0003065	CARHR097840	Om002G070040
OG0003066	CARHR047070	Om005G227050, Om003G128830
OG0003067	CARHR171190	Om003G125870
OG0003068	CARHR138970	Om003G124120, Om008G324510
OG0003070	CARHR191970	Om006G242640
OG0003071	CARHR150750	Om006G244650
OG0003072	CARHR289230, CARHR273950, CARHR273930, CARHR273940	Om006G245150
OG0003073	CARHR080260	Om002G048140
OG0003074	CARHR158830	Om006G259940
OG0003075	CARHR279930	Om006G231150
OG0003075	CARHR158880	Om006G259700
OG0003076	CARHR280790	Om006G230120
OG0003077	CARHR244400	Om001G035610
OG0003078	CARHR281600	Om006G229160
OG0003078	CARHR160840	Om006G257500
OG0003080	CARHR125270	Om007G280260
OG0003080	CARHR005360	Om005G183230
OG0003083	CARHR007020	Om005G184950
OG0003083	CARHR122980	Om007G282310
OG0003084	CARHR120390	Om007G284410
OG0003085	CARHR119810	Om007G284840
OG0003086	CARHR199500	Om007G302030
OG0003087	CARHR077270	Om002G044700
OG0003088	CARHR098460	Om002G070930
OG0003089	CARHR080160, CARHR186560	Om002G047990
OG0003090	CARHR080750	Om002G048750, Om002G048740
OG0003091	CARHR161400	Om006G256870
OG0003092	CARHR111700	Om013G369570
OG0003093	CARHR074210	Om004G130220
OG0003094	CARHR017580	Om005G198160
OG0003095	CARHR257920, CARHR257910	Om005G198400
OG0003096	CARHR023280	Om005G205520
OG0003096	CARHR023260	Om005G205510
OG0003097	CARHR024650	Om004G144880
OG0003097	CARHR063090	Om005G208380
OG0003098	CARHR015360	Om005G195350, Om005G195360, Om005G195320, Om005G195330
OG0003099	CARHR285970, CARHR288020, CARHR159870, CARHR159860, CARHR036770	Om006G258750
OG0003100	CARHR123900	Om007G281570
OG0003100	CARHR006560	Om005G184360
OG0003101	CARHR198450	Om007G300660
OG0003101	CARHR075540	Om002G042750
OG0003102	CARHR107240, CARHR107230, CARHR260670, CARHR199610	Om004G160860, Om001G030780
OG0003103	CARHR275220	Om006G236630
OG0003103	CARHR205510	Om004G168490
OG0003104	CARHR275490	Om006G236360
OG0003105	CARHR156620, CARHR156630	Om006G263790
OG0003106	CARHR281440	Om006G229300
OG0003106	CARHR160770	Om006G257570
OG0003107	CARHR276190	Om006G235560
OG0003108	CARHR192010	Om006G242590
OG0003109	CARHR066270, CARHR066280	Om004G141640, Om004G141630, Om004G141620
OG0003110	CARHR073340	Om004G131470
OG0003110	CARHR046050	Om003G089370
OG0003111	CARHR088020, CARHR045240	Om002G057580
OG0003112	CARHR082720	Om002G050800
OG0003113	CARHR090920, CARHR090910	Om002G061480
OG0003114	CARHR094660	Om002G066610
OG0003115	CARHR097100	Om002G069220
OG0003116	CARHR099420	Om002G072400
OG0003116	CARHR099430	Om002G072450
OG0003117	CARHR218660	Om003G104350
OG0003118	CARHR249630	Om004G159270
OG0003119	CARHR106670	Om002G082520
OG0003120	CARHR243010	Om001G033180
OG0003121	CARHR088710	Om002G058470
OG0003121	CARHR044640	Om003G091120
OG0003122	CARHR128980	Om008G339600
OG0003122	CARHR030140	Om007G291330
OG0003123	CARHR132200	Om008G335750
OG0003123	CARHR163450	Om006G254500
OG0003124	CARHR132510	Om008G334710
OG0003125	CARHR268400, CARHR092390	Om001G021210
OG0003125	CARHR088530, CARHR088540	Om002G063680
OG0003127	CARHR047840, CARHR047830	Om005G226490
OG0003128	CARHR183390, CARHR283720, CARHR053610, CARHR283770, CARHR283990, CARHR284030	Om001G001610
OG0003128	CARHR053510, CARHR284080, CARHR284040, CARHR035560	Om001G001680
OG0003139	CARHR236910	Om001G023960
OG0003139	CARHR237270	Om001G024460
OG0003141	CARHR242400	Om001G032590
OG0003142	CARHR243600	Om001G034300
OG0003142	CARHR293490	Om002G083730
OG0003143	CARHR222880	Om007G275760
OG0003144	CARHR011070	Om005G189600
OG0003144	CARHR052310	Om003G110360, Om005G221180
OG0003145	CARHR011090	Om005G189620
OG0003146	CARHR144880	Om006G274680
OG0003146	CARHR014970	Om005G194740
OG0003147	CARHR148210	Om006G271760
OG0003148	CARHR148540	Om007G317450
OG0003149	CARHR032520	Om006G232950, Om006G232940
OG0003150	CARHR152340	Om006G269440
OG0003151	CARHR056830	Om005G215290, Om005G215260
OG0003152	CARHR046750	Om005G227850
OG0003153	CARHR046740	Om005G227840
OG0003154	CARHR213070	Om007G318090
OG0003154	CARHR047870	Om005G226450
OG0003155	CARHR208320	Om004G172280
OG0003157	CARHR268620	Om003G117100
OG0003157	CARHR234340	Om001G018820
OG0003158	CARHR203150	Om004G165890
OG0003159	CARHR227210	Om001G005960
OG0003160	CARHR181430	Om008G341950
OG0003160	CARHR134160	Om007G287400
OG0003161	CARHR056820, CARHR246440	Om001G039160
OG0003162	CARHR057920	Om007G302920, Om005G214190
OG0003163	CARHR252810	Om008G354220
OG0003163	CARHR228690	Om001G008160
OG0003164	CARHR218930	Om003G104110
OG0003164	CARHR100460	Om002G073860
OG0003165	CARHR072440, CARHR072430	Om004G132510, Om007G303950
OG0003166	CARHR171760	Om003G126500
OG0003167	CARHR140700	Om008G322090
OG0003168	CARHR083280	Om002G051380, Om002G051370
OG0003169	CARHR084000	Om002G052200
OG0003169	CARHR210650	Om004G175320
OG0003170	CARHR280090	Om006G230930
OG0003171	CARHR250220	Om004G158680
OG0003172	CARHR250150, CARHR250120	Om004G158760
OG0003173	CARHR251240, CARHR251230, CARHR251220	Om004G160450
OG0003174	CARHR251770	Om007G302310
OG0003174	CARHR002880	Om005G180450
OG0003175	CARHR004250	Om005G182000
OG0003175	CARHR126680	Om007G278970
OG0003176	CARHR126810	Om007G278840
OG0003177	CARHR122720	Om007G282500
OG0003177	CARHR122710	Om007G282510
OG0003178	CARHR199220	Om007G301720
OG0003179	CARHR074940	Om002G042070
OG0003179	CARHR199300	Om007G301830
OG0003180	CARHR185290	Om007G303250
OG0003180	CARHR078920	Om002G046490
OG0003182	CARHR211890	Om004G176840
OG0003183	CARHR222400, CARHR222410, CARHR133970, CARHR133960	Om008G332320
OG0003184	CARHR130330	Om008G337660
OG0003186	CARHR019120	Om005G200160
OG0003187	CARHR069530	Om004G136860
OG0003187	CARHR020700	Om005G202340
OG0003188	CARHR021130	Om005G202780
OG0003189	CARHR021150, CARHR021160	Om005G202800
OG0003190	CARHR071070	Om004G134590
OG0003191	CARHR070250	Om007G297700
OG0003192	CARHR186700	Om007G294260
OG0003192	CARHR018670	Om005G199490
OG0003193	CARHR060100	Om005G212300
OG0003194	CARHR238930	Om001G027240
OG0003195	CARHR113310	Om004G153620
OG0003195	CARHR112840	Om004G155760
OG0003196	CARHR015510	Om005G195610
OG0003197	CARHR048860	Om005G225370
OG0003197	CARHR012690	Om005G191820
OG0003198	CARHR008840	Om005G186950
OG0003200	CARHR008320, CARHR008310	Om005G186430
OG0003201	CARHR004090	Om005G181850
OG0003202	CARHR003250, CARHR131200, CARHR131270	Om005G180940
OG0003203	CARHR079640	Om002G047360
OG0003204	CARHR208810	Om004G172870
OG0003204	CARHR085020	Om002G053440
OG0003206	CARHR240250	Om001G029130
OG0003206	CARHR188080	Om006G240090
