Orthogroup	Raphanus_sativus	Cardamine_amara
OG0000525	XP_018455904.1	evm.model.RL_3.2252
OG0000525	XP_018474070.1	evm.model.RL_5.1541
OG0000525	XP_018492431.1, XP_018441399.1	evm.model.RL_1.1399
OG0000525	XP_018438284.1, XP_018492076.1	evm.model.RL_5.3805
OG0000526	XP_018436846.1, XP_018459318.1, XP_018441415.1	evm.model.RL_7.1608
OG0000526	XP_018489157.1, XP_018489156.1	evm.model.RL_7.1613
OG0000526	XP_018436159.1	evm.model.RL_7.1612, evm.model.RL_7.1611
OG0000529	XP_018444503.1	evm.model.RL_4.1462
OG0000530	XP_018470952.1	evm.model.RL_4.1935
OG0000533	XP_018438974.1, XP_018481177.1, XP_018484483.1, XP_018450465.1, XP_018448137.1, XP_018471562.1	evm.model.RL_2.3413, evm.model.RL_6.67
OG0000533	XP_018491465.1	evm.model.RL_1.2814
OG0000537	XP_018461512.1, XP_018455191.1	evm.model.RL_8.362
OG0000537	XP_018450067.1, XP_018450066.1	evm.model.RL_2.772
OG0000538	XP_018475100.1	evm.model.RL_6.2482, evm.model.RL_6.2483
OG0000538	XP_018483075.1, XP_018480920.1	evm.model.RL_6.2479
OG0000539	XP_018438934.1	evm.model.RL_3.492
OG0000539	XP_018437742.1	evm.model.RL_6.1158
OG0000540	XP_018437338.1	evm.model.RL_6.1049
OG0000540	XP_018481206.1	evm.model.RL_6.1046
OG0000540	XP_018477377.1, XP_018482773.1	evm.model.RL_6.1045
OG0000540	XP_018465973.1, XP_018477378.1, XP_018478433.1	evm.model.RL_6.1042, evm.model.RL_6.1043, evm.model.RL_6.1044
OG0000542	XP_018473103.1, XP_018462576.1, XP_018448314.1, XP_018445350.1	evm.model.RL_4.2027.1.687c86d7
OG0000542	XP_018440952.1, XP_018441411.1, XP_018493261.1, XP_018486483.1	evm.model.RL_1.173
OG0000543	XP_018481887.1, XP_018479769.1	evm.model.RL_6.338, evm.model.RL_6.344, evm.model.RL_6.339
OG0000544	XP_018479136.1, XP_018490078.1, XP_018490077.1, XP_018487839.1	evm.model.RL_5.382, evm.model.RL_5.384
OG0000545	XP_018464064.1, XP_018464651.1, XP_018444261.1, XP_018444245.1	evm.model.RL_3.1918
OG0000545	XP_018442931.1, XP_018442924.1	evm.model.RL_3.1916_evm.model.RL_3.1917
OG0000546	XP_018435908.1	evm.model.RL_1.2882
OG0000547	XP_018443613.1	evm.model.RL_8.603
OG0000550	XP_018492365.1, XP_018478513.1, XP_018474609.1, XP_018441409.1, XP_018481032.1, XP_018478902.1, XP_018443354.1, XP_018436908.1, XP_018463246.1	evm.model.RL_6.1710
OG0000551	XP_018491235.1, XP_018439726.1, XP_018456336.1	evm.model.RL_8.2558
OG0000551	XP_018476016.1	evm.model.RL_4.2595.1.687c86da
OG0000552	XP_018434570.1	evm.model.RL_5.3425
OG0000552	XP_018478040.1, XP_018446224.1, XP_018473212.1, XP_018464505.1, XP_018486517.1, XP_018446223.1	evm.model.RL_7.139, evm.model.RL_6.1199
OG0000554	XP_018433159.1, XP_018457997.1, XP_018458070.1	evm.model.RL_3.335
OG0000556	XP_018485998.1, XP_018485651.1, XP_018452119.1	evm.model.RL_1.2383
OG0000557	XP_018482041.1, XP_018482036.1, XP_018465370.1, XP_018492825.1	evm.model.RL_7.336, evm.model.RL_7.337
OG0000557	XP_018473368.1, XP_018474395.1	evm.model.RL_6.2607
OG0000558	XP_018437933.1, XP_018436307.1	evm.model.RL_3.443
OG0000559	XP_018442351.1	evm.model.RL_4.3249
OG0000560	XP_018475553.1, XP_018473449.1, XP_018475874.1, XP_018475837.1, XP_018475717.1	evm.model.RL_8.2034, evm.model.RL_8.2035
OG0000561	XP_018439874.1	evm.model.RL_8.2590.1.687c8562
OG0000561	XP_018493416.1, XP_018439875.1, XP_018439876.1	evm.model.RL_8.2591
OG0000562	XP_018487109.1, XP_018432918.1, XP_018491755.1, XP_018441736.1	evm.model.RL_1.516.4.687c87ea
OG0000562	XP_018472774.1, XP_018472628.1	evm.model.RL_4.2164
OG0000562	XP_018483633.1, XP_018456687.1, XP_018471045.1	evm.model.RL_4.1100
OG0000563	XP_018467103.1, XP_018472705.1, XP_018466772.1	evm.model.RL_2.457
OG0000564	XP_018479776.1	evm.model.RL_6.373, evm.model.RL_6.370
OG0000565	XP_018444677.1	evm.model.RL_3.1396
OG0000567	XP_018465603.1, XP_018474314.1, XP_018482484.1, XP_018465157.1	evm.model.RL_4.2379
OG0000569	XP_018479891.1	evm.model.RL_6.1611
OG0000570	XP_018435059.1, XP_018492659.1	evm.model.RL_1.121
OG0000570	XP_018435123.1	evm.model.RL_4.2759
OG0000570	XP_018435125.1, XP_018488647.1	evm.model.RL_8.2186
OG0000571	XP_018444701.1	evm.model.RL_8.2145
OG0000571	XP_018469024.1, XP_018487239.1, XP_018482187.1, XP_018487955.1, XP_018489056.1, XP_018449274.1	evm.model.RL_5.659, evm.model.RL_5.658
OG0000572	XP_018444732.1, XP_018478608.1, XP_018444417.1, XP_018445377.1, XP_018458773.1	evm.model.RL_3.1767
OG0000573	XP_018454198.1	evm.model.RL_3.359.1.687c84ba
OG0000575	XP_018434206.1, XP_018468341.1, XP_018449387.1, XP_018481338.1, XP_018461095.1, XP_018444034.1, XP_018481551.1	evm.model.RL_7.1987
OG0000578	XP_018439009.1, XP_018491722.1	evm.model.RL_5.908
OG0000578	XP_018454408.1	evm.model.RL_3.507
OG0000578	XP_018443990.1	evm.model.RL_3.1392
OG0000578	XP_018454413.1, XP_018454412.1	evm.model.RL_5.3353
OG0000579	XP_018467051.1, XP_018455545.1, XP_018473101.1, XP_018447891.1, XP_018453998.1, XP_018453824.1	evm.model.RL_8.1361, evm.model.RL_8.1365
OG0000579	XP_018478056.1, XP_018443031.1	evm.model.RL_2.2089
OG0000580	XP_018433679.1	evm.model.RL_6.2547
OG0000580	XP_018481245.1, XP_018482132.1, XP_018442034.1	evm.model.RL_6.2550
OG0000581	XP_018440930.1, XP_018441810.1	evm.model.RL_1.834, evm.model.RL_1.833
OG0000582	XP_018474506.1	evm.model.RL_7.1671, evm.model.RL_4.1470
OG0000582	XP_018484055.1, XP_018477951.1, XP_018484054.1	evm.model.RL_5.694.2.687c88ae
OG0000584	XP_018447336.1, XP_018484439.1, XP_018447276.1, XP_018466555.1, XP_018486871.1	evm.model.RL_5.241
OG0000584	XP_018471971.1, XP_018447048.1	evm.model.RL_2.2368
OG0000585	XP_018461418.1, XP_018461417.1, XP_018461419.1, XP_018486243.1, XP_018491166.1, XP_018491167.1, XP_018483126.1, XP_018439700.1, XP_018483127.1	evm.model.RL_1.1384, evm.model.RL_6.1536
OG0000586	XP_018433234.1	evm.model.RL_4.663
OG0000587	XP_018452409.1	evm.model.RL_8.220
OG0000587	XP_018437511.1, XP_018481594.1	evm.model.RL_6.2828
OG0000587	XP_018432605.1	evm.model.RL_5.72
OG0000588	XP_018490687.1	evm.model.RL_1.1413
OG0000588	XP_018483473.1, XP_018436534.1	evm.model.RL_6.2386
OG0000588	XP_018450814.1	evm.model.RL_5.3792
OG0000589	XP_018461614.1, XP_018457895.1, XP_018472831.1, XP_018452654.1	evm.model.RL_8.2060
OG0000589	XP_018436507.1, XP_018465789.1, XP_018489229.1, XP_018490042.1	evm.model.RL_7.1759, evm.model.RL_7.1761
OG0000590	XP_018478525.1	evm.model.RL_4.1063.1.687c86d1
OG0000590	XP_018480465.1, XP_018487163.1	evm.model.RL_5.138
OG0000592	XP_018492088.1	evm.model.RL_5.2146
OG0000592	XP_018439687.1, XP_018433971.1, XP_018489685.1	evm.model.RL_1.1725
OG0000592	XP_018450245.1, XP_018446748.1, XP_018441574.1	evm.model.RL_5.1635
OG0000595	XP_018489091.1	evm.model.RL_7.1900
OG0000595	XP_018474494.1, XP_018472292.1, XP_018444489.1	evm.model.RL_4.1472
OG0000597	XP_018479853.1, XP_018479850.1	evm.model.RL_6.1206
OG0000600	XP_018474802.1, XP_018476206.1, XP_018456813.1	evm.model.RL_8.1733
OG0000601	XP_018459117.1, XP_018463751.1, XP_018459745.1, XP_018463510.1	evm.model.RL_2.297
OG0000602	XP_018491115.1, XP_018490689.1, XP_018440083.1	evm.model.RL_1.894, evm.model.RL_1.895
OG0000604	XP_018473547.1, XP_018476081.1	evm.model.RL_7.79
OG0000604	XP_018471124.1	evm.model.RL_2.2009
OG0000604	XP_018442038.1, XP_018478042.1, XP_018445227.1, XP_018486735.1, XP_018486697.1, XP_018460339.1	evm.model.RL_6.2913
OG0000605	XP_018453084.1	evm.model.RL_3.1817
OG0000605	XP_018469289.1, XP_018464849.1	evm.model.RL_3.1815
OG0000605	XP_018444838.1, XP_018468940.1	evm.model.RL_3.1816
OG0000606	XP_018440843.1, XP_018492767.1	evm.model.RL_1.1521
OG0000606	XP_018446065.1, XP_018446062.1	evm.model.RL_3.2481
OG0000606	XP_018492654.1, XP_018434253.1, XP_018451227.1	evm.model.RL_5.3705.2.687c88c4
OG0000607	XP_018464617.1	evm.model.RL_1.1811
OG0000607	XP_018438143.1, XP_018488161.1	evm.model.RL_1.2784
OG0000607	XP_018447489.1, XP_018450408.1	evm.model.RL_2.2912
OG0000608	XP_018485480.1, XP_018480137.1	evm.model.RL_7.582_evm.model.RL_7.583.1.687c9765, evm.model.RL_7.585
OG0000608	XP_018464978.1	evm.model.RL_7.586
OG0000608	XP_018473380.1	evm.model.RL_7.588
OG0000612	XP_018476102.1, XP_018466769.1	evm.model.RL_8.742
OG0000613	XP_018491252.1	evm.model.RL_1.163
OG0000613	XP_018454893.1	evm.model.RL_8.1471, evm.model.RL_2.347, evm.model.RL_2.354
OG0000614	XP_018476747.1	evm.model.RL_8.733
OG0000614	XP_018443363.1, XP_018446423.1, XP_018476619.1, XP_018471739.1, XP_018471735.1, XP_018471587.1, XP_018471182.1	evm.model.RL_8.730, evm.model.RL_8.731
OG0000615	XP_018433150.1, XP_018487216.1	evm.model.RL_1.2984
OG0000615	XP_018485259.1, XP_018447714.1, XP_018460127.1	evm.model.RL_2.3143
OG0000615	XP_018481676.1	evm.model.RL_7.1268
OG0000616	XP_018442154.1	evm.model.RL_8.2134
OG0000616	XP_018472792.1, XP_018486429.1	evm.model.RL_7.1045
OG0000616	XP_018460327.1, XP_018480204.1	evm.model.RL_6.1865
OG0000617	XP_018449928.1, XP_018451654.1, XP_018455384.1, XP_018474439.1, XP_018438056.1	evm.model.RL_8.191, evm.model.RL_8.199
OG0000617	XP_018474771.1, XP_018476127.1	evm.model.RL_8.110
OG0000618	XP_018455901.1	evm.model.RL_3.2253
OG0000618	XP_018487295.1, XP_018473971.1	evm.model.RL_5.1540
OG0000618	XP_018483709.1	evm.model.RL_2.2268
OG0000619	XP_018442533.1, XP_018493523.1	evm.model.RL_7.1046
OG0000620	XP_018447363.1, XP_018473549.1, XP_018433501.1	evm.model.RL_5.1688
OG0000620	XP_018443048.1, XP_018443041.1, XP_018468147.1	evm.model.RL_3.1824
OG0000621	XP_018452656.1	evm.model.RL_8.514
OG0000622	XP_018438706.1, XP_018435523.1	evm.model.RL_6.110
OG0000627	XP_018470178.1	evm.model.RL_3.1076
OG0000627	XP_018456679.1	evm.model.RL_8.1631
OG0000628	XP_018454471.1, XP_018442174.1	evm.model.RL_3.2192.1.687c84bd
OG0000628	XP_018439825.1, XP_018491756.1, XP_018492689.1, XP_018491766.1	evm.model.RL_1.1784
OG0000630	XP_018482339.1	evm.model.RL_2.412, evm.model.RL_3.980, evm.model.RL_2.406
OG0000632	XP_018483892.1, XP_018441951.1, XP_018474548.1	evm.model.RL_8.20, evm.model.RL_7.287
OG0000633	XP_018463753.1, XP_018459102.1	evm.model.RL_7.2010
OG0000633	XP_018460716.1	evm.model.RL_3.2473
OG0000634	XP_018473397.1, XP_018468713.1	evm.model.RL_8.2014
OG0000634	XP_018474681.1	evm.model.RL_8.2015
OG0000635	XP_018482874.1, XP_018482880.1, XP_018441986.1	evm.model.RL_3.556, evm.model.RL_6.1250, evm.model.RL_6.900
OG0000636	XP_018442912.1	evm.model.RL_4.2957
OG0000636	XP_018475461.1, XP_018475458.1, XP_018444546.1, XP_018445851.1	evm.model.RL_4.1763, evm.model.RL_4.2956, evm.model.RL_4.2955
OG0000638	XP_018457231.1, XP_018457254.1	evm.model.RL_2.2513, evm.model.RL_2.2512, evm.model.RL_2.2437, evm.model.RL_2.2496
OG0000639	XP_018436689.1	evm.model.RL_2.2723
OG0000641	XP_018462098.1, XP_018491557.1	evm.model.RL_1.2106
OG0000642	XP_018459116.1	evm.model.RL_2.298
OG0000645	XP_018481732.1	evm.model.RL_2.940, evm.model.RL_2.939
OG0000645	XP_018481296.1	evm.model.RL_2.938
OG0000646	XP_018439099.1	evm.model.RL_7.2116
OG0000646	XP_018433504.1, XP_018488830.1	evm.model.RL_1.113
OG0000647	XP_018452783.1	evm.model.RL_1.876
OG0000649	XP_018451448.1	evm.model.RL_5.2409
OG0000649	XP_018463717.1	evm.model.RL_5.3692
OG0000650	XP_018434533.1	evm.model.RL_4.223
OG0000650	XP_018456820.1, XP_018455111.1, XP_018464299.1	evm.model.RL_4.222
OG0000652	XP_018481221.1, XP_018484740.1, XP_018484707.1, XP_018454544.1, XP_018456988.1, XP_018480675.1, XP_018434447.1	evm.model.RL_4.1390, evm.model.RL_4.1389, evm.model.RL_4.1391
OG0000653	XP_018443450.1	evm.model.RL_5.1905
OG0000654	XP_018465861.1, XP_018465913.1, XP_018465923.1, XP_018453519.1, XP_018474295.1, XP_018464497.1, XP_018479483.1	evm.model.RL_8.2042, evm.model.RL_8.2010
OG0000658	XP_018464828.1, XP_018486259.1, XP_018481425.1, XP_018458834.1, XP_018446382.1	evm.model.RL_4.1057, evm.model.RL_7.2265, evm.model.RL_7.992
OG0000659	XP_018470110.1	evm.model.RL_8.1740, evm.model.RL_2.2460
OG0000660	XP_018450637.1	evm.model.RL_5.593
OG0000660	XP_018441639.1	evm.model.RL_7.1691
OG0000661	XP_018475759.1, XP_018475758.1, XP_018475757.1, XP_018482877.1, XP_018482876.1, XP_018482875.1	evm.model.RL_6.1256, evm.model.RL_6.1074, evm.model.RL_6.2013, evm.model.RL_6.1251
OG0000662	XP_018445411.1	evm.model.RL_4.2054
OG0000662	XP_018489226.1	evm.model.RL_1.149
OG0000662	XP_018443082.1	evm.model.RL_4.2053
OG0000663	XP_018466233.1, XP_018450603.1	evm.model.RL_5.3202
OG0000663	XP_018447586.1	evm.model.RL_3.1173
OG0000664	XP_018473815.1, XP_018490907.1	evm.model.RL_1.1043
OG0000665	XP_018484849.1, XP_018481244.1	evm.model.RL_7.2342
OG0000669	XP_018441961.1, XP_018461824.1, XP_018477601.1, XP_018463229.1, XP_018473095.1	evm.model.RL_6.2536
OG0000669	XP_018440270.1, XP_018456669.1, XP_018433492.1	evm.model.RL_7.2672
OG0000670	XP_018482621.1, XP_018482619.1, XP_018467740.1, XP_018451679.1, XP_018451677.1, XP_018450048.1	evm.model.RL_2.1876
OG0000672	XP_018459901.1, XP_018441447.1, XP_018477897.1, XP_018476722.1	evm.model.RL_6.1514
OG0000672	XP_018493025.1, XP_018435471.1	evm.model.RL_5.2994
OG0000673	XP_018464020.1, XP_018480919.1, XP_018439349.1	evm.model.RL_7.2439
OG0000674	XP_018450702.1, XP_018492614.1	evm.model.RL_5.134
OG0000674	XP_018478107.1, XP_018433204.1	evm.model.RL_6.2908
OG0000674	XP_018451972.1	evm.model.RL_8.252
OG0000675	XP_018479917.1, XP_018467427.1, XP_018435065.1, XP_018447870.1, XP_018473291.1, XP_018473277.1, XP_018440999.1, XP_018480436.1	evm.model.RL_5.1447
OG0000676	XP_018485166.1	evm.model.RL_7.783
OG0000676	XP_018445085.1, XP_018456568.1, XP_018445112.1	evm.model.RL_3.1843
OG0000677	XP_018437792.1, XP_018434114.1	evm.model.RL_5.3344
OG0000685	XP_018480925.1, XP_018467361.1, XP_018470719.1	evm.model.RL_2.2469
OG0000685	XP_018450361.1, XP_018447084.1, XP_018448371.1	evm.model.RL_2.2139
OG0000686	XP_018479037.1, XP_018448451.1, XP_018448450.1	evm.model.RL_2.2897, evm.model.RL_4.849
OG0000686	XP_018450174.1, XP_018450172.1	evm.model.RL_2.2898
OG0000687	XP_018478174.1, XP_018480612.1, XP_018453706.1	evm.model.RL_2.1206
OG0000687	XP_018464208.1, XP_018444964.1, XP_018476409.1	evm.model.RL_6.2651
OG0000688	XP_018480604.1, XP_018437620.1, XP_018462615.1, XP_018462738.1	evm.model.RL_7.2596
OG0000689	XP_018493577.1, XP_018473027.1, XP_018441333.1, XP_018463905.1, XP_018458870.1, XP_018459682.1	evm.model.RL_5.3488, evm.model.RL_8.807, evm.model.RL_5.2568
OG0000690	XP_018453777.1, XP_018467114.1, XP_018462778.1, XP_018436416.1, XP_018484801.1, XP_018467478.1, XP_018479273.1, XP_018443338.1	evm.model.RL_5.2417
OG0000691	XP_018440474.1	evm.model.RL_7.2071, evm.model.RL_2.1775
OG0000691	XP_018479947.1	evm.model.RL_1.2438
OG0000692	XP_018480159.1, XP_018480161.1, XP_018488031.1	evm.model.RL_7.488, evm.model.RL_7.487
OG0000692	XP_018485396.1	evm.model.RL_7.486
OG0000692	XP_018463536.1	evm.model.RL_6.2405
OG0000693	XP_018478381.1	evm.model.RL_7.784
OG0000693	XP_018475694.1, XP_018440566.1	evm.model.RL_3.868
OG0000693	XP_018477722.1, XP_018433722.1	evm.model.RL_6.2102
OG0000694	XP_018484682.1, XP_018484683.1	evm.model.RL_6.362
OG0000696	XP_018462275.1, XP_018488842.1	evm.model.RL_7.2006, evm.model.RL_1.1530
OG0000697	XP_018485330.1	evm.model.RL_5.1919
OG0000700	XP_018482837.1	evm.model.RL_6.1019
OG0000702	XP_018485084.1	evm.model.RL_7.2260, evm.model.RL_8.1025
OG0000703	XP_018444424.1	evm.model.RL_4.3162
OG0000703	XP_018483482.1	evm.model.RL_6.1743
OG0000703	XP_018493158.1	evm.model.RL_7.1093
OG0000704	XP_018469182.1	evm.model.RL_4.342
OG0000706	XP_018434704.1	evm.model.RL_4.1213, evm.model.RL_4.1214
OG0000707	XP_018436743.1	evm.model.RL_7.1299
OG0000707	XP_018438577.1	evm.model.RL_1.868
OG0000707	XP_018444828.1	evm.model.RL_3.80
OG0000708	XP_018458285.1	evm.model.RL_5.1022
OG0000708	XP_018448221.1, XP_018467734.1, XP_018467735.1	evm.model.RL_5.1024
OG0000709	XP_018467992.1	evm.model.RL_4.1854
OG0000710	XP_018442799.1, XP_018437048.1, XP_018437091.1, XP_018437069.1, XP_018472259.1, XP_018437058.1, XP_018460873.1	evm.model.RL_5.1220
OG0000711	XP_018478397.1	evm.model.RL_5.119
OG0000711	XP_018475372.1, XP_018462272.1	evm.model.RL_6.248
OG0000712	XP_018469382.1	evm.model.RL_2.2781
OG0000714	XP_018483877.1	evm.model.RL_2.390, evm.model.RL_2.404
OG0000714	XP_018445071.1, XP_018442660.1, XP_018445069.1, XP_018464765.1, XP_018454927.1	evm.model.RL_3.1056
OG0000715	XP_018459369.1, XP_018473196.1	evm.model.RL_8.536
OG0000717	XP_018434112.1, XP_018462207.1, XP_018434864.1	evm.model.RL_5.3632
OG0000720	XP_018493079.1	evm.model.RL_7.102
OG0000720	XP_018471830.1	evm.model.RL_8.234
OG0000720	XP_018462079.1, XP_018489918.1	evm.model.RL_5.127
OG0000721	XP_018452458.1	evm.model.RL_8.244, evm.model.RL_1.1604
OG0000722	XP_018445312.1, XP_018447730.1, XP_018467325.1, XP_018434259.1, XP_018447724.1	evm.model.RL_5.1274
OG0000723	XP_018455407.1	evm.model.RL_4.1130
OG0000723	XP_018477709.1, XP_018482921.1	evm.model.RL_4.1122, evm.model.RL_4.1074, evm.model.RL_4.361, evm.model.RL_4.1129
OG0000725	XP_018455126.1, XP_018455103.1	evm.model.RL_2.1973
OG0000728	XP_018472587.1	evm.model.RL_4.1779
OG0000729	XP_018475967.1, XP_018467579.1, XP_018467419.1, XP_018466852.1, XP_018467017.1, XP_018435746.1, XP_018465369.1, XP_018453663.1	evm.model.RL_4.712, evm.model.RL_3.939, evm.model.RL_4.711
OG0000730	XP_018457043.1, XP_018457040.1, XP_018441632.1, XP_018478851.1	evm.model.RL_7.2541
OG0000730	XP_018436306.1, XP_018433534.1	evm.model.RL_5.1248, evm.model.RL_5.1247
OG0000732	XP_018480530.1, XP_018455117.1	evm.model.RL_2.2132
OG0000732	XP_018484029.1	evm.model.RL_7.1103.2.687c84b8
OG0000733	XP_018461805.1	evm.model.RL_5.2452
OG0000734	XP_018472542.1, XP_018472544.1	evm.model.RL_8.2302
OG0000735	XP_018459693.1	evm.model.RL_8.1683
OG0000735	XP_018466487.1	evm.model.RL_2.980
OG0000735	XP_018463195.1, XP_018453569.1	evm.model.RL_8.1684
OG0000735	XP_018466349.1	evm.model.RL_4.70
OG0000736	XP_018446746.1, XP_018474549.1	evm.model.RL_4.2552
OG0000736	XP_018438868.1, XP_018438180.1	evm.model.RL_6.130
OG0000736	XP_018480786.1	evm.model.RL_2.3349
OG0000737	XP_018485048.1	evm.model.RL_2.3388
OG0000738	XP_018433023.1, XP_018433833.1, XP_018475953.1, XP_018474124.1, XP_018433839.1	evm.model.RL_6.1369
OG0000739	XP_018474497.1, XP_018450559.1, XP_018450560.1	evm.model.RL_2.503, evm.model.RL_3.955
OG0000741	XP_018486599.1	evm.model.RL_1.1256
OG0000741	XP_018476220.1	evm.model.RL_8.1724
OG0000744	XP_018476249.1	evm.model.RL_4.1776
OG0000744	XP_018473665.1, XP_018473664.1, XP_018453798.1	evm.model.RL_8.517
OG0000749	XP_018454121.1, XP_018484586.1	evm.model.RL_5.1185
OG0000750	XP_018454004.1	evm.model.RL_2.1099, evm.model.RL_2.1098
OG0000751	XP_018446604.1, XP_018473438.1, XP_018456391.1, XP_018468500.1, XP_018432828.1, XP_018482452.1	evm.model.RL_8.2493, evm.model.RL_1.918
OG0000752	XP_018480744.1	evm.model.RL_4.1230
OG0000752	XP_018472530.1	evm.model.RL_4.2510
OG0000753	XP_018489215.1	evm.model.RL_5.2359
OG0000754	XP_018438064.1	evm.model.RL_5.2373, evm.model.RL_5.2372
OG0000755	XP_018452882.1, XP_018453097.1	evm.model.RL_8.421.1.687c8556
OG0000755	XP_018469322.1	evm.model.RL_8.420
OG0000756	XP_018479027.1	evm.model.RL_2.3091, evm.model.RL_2.3092
OG0000756	XP_018490349.1, XP_018482263.1, XP_018479485.1, XP_018466258.1, XP_018479489.1	evm.model.RL_4.370
OG0000757	XP_018478208.1, XP_018478226.1	evm.model.RL_4.3296, evm.model.RL_4.3292
OG0000757	XP_018443984.1, XP_018488991.1	evm.model.RL_7.1013
OG0000758	XP_018439634.1	evm.model.RL_6.1303
OG0000758	XP_018436659.1	evm.model.RL_5.1446
OG0000759	XP_018476109.1	evm.model.RL_6.1095
OG0000759	XP_018468854.1, XP_018469104.1, XP_018447872.1, XP_018489399.1, XP_018458416.1	evm.model.RL_5.565
OG0000760	XP_018485858.1	evm.model.RL_7.751
OG0000761	XP_018492721.1	evm.model.RL_1.1932
OG0000762	XP_018450903.1, XP_018462726.1, XP_018461385.1, XP_018462725.1, XP_018450902.1	evm.model.RL_1.3166, evm.model.RL_1.3168, evm.model.RL_7.2018
OG0000762	XP_018461406.1, XP_018437238.1	evm.model.RL_1.3167, evm.model.RL_7.2016, evm.model.RL_7.2015, evm.model.RL_1.3163
OG0000763	XP_018447326.1, XP_018489859.1	evm.model.RL_5.3861
OG0000763	XP_018439538.1, XP_018439550.1	evm.model.RL_1.1345
OG0000764	XP_018448838.1, XP_018488108.1, XP_018489248.1	evm.model.RL_5.1955
OG0000765	XP_018479257.1	evm.model.RL_4.817, evm.model.RL_4.647
OG0000766	XP_018478994.1, XP_018479000.1	evm.model.RL_5.3892
OG0000767	XP_018466247.1, XP_018483117.1	evm.model.RL_5.1741, evm.model.RL_5.1740
OG0000768	XP_018435261.1	evm.model.RL_1.223
OG0000772	XP_018462694.1, XP_018462081.1	evm.model.RL_7.2185
OG0000773	XP_018449257.1	evm.model.RL_7.2149
OG0000774	XP_018478674.1, XP_018447082.1, XP_018450364.1, XP_018471922.1, XP_018471993.1	evm.model.RL_2.2148
OG0000775	XP_018492857.1	evm.model.RL_1.954
OG0000775	XP_018439553.1, XP_018439554.1, XP_018439555.1, XP_018432962.1, XP_018432944.1, XP_018492855.1	evm.model.RL_1.956, evm.model.RL_1.955
OG0000776	XP_018476681.1	evm.model.RL_6.2113
OG0000776	XP_018492897.1, XP_018489491.1, XP_018493606.1, XP_018466220.1, XP_018439329.1	evm.model.RL_1.1031, evm.model.RL_1.827, evm.model.RL_4.2968
OG0000777	XP_018447981.1, XP_018450915.1, XP_018472414.1, XP_018480534.1	evm.model.RL_2.2228.3.687c86e5
OG0000777	XP_018447687.1, XP_018488678.1	evm.model.RL_5.3891
OG0000778	XP_018456192.1	evm.model.RL_4.2287, evm.model.RL_4.2288
OG0000778	XP_018470111.1	evm.model.RL_4.2286
OG0000779	XP_018478503.1	evm.model.RL_2.1735
OG0000779	XP_018457354.1	evm.model.RL_8.516
OG0000779	XP_018457356.1	evm.model.RL_8.518
OG0000780	XP_018472123.1	evm.model.RL_2.3359
OG0000780	XP_018484540.1, XP_018438871.1, XP_018438859.1	evm.model.RL_6.126
OG0000780	XP_018446836.1	evm.model.RL_4.2560
OG0000781	XP_018474924.1, XP_018456347.1, XP_018436586.1	evm.model.RL_6.2507, evm.model.RL_6.2506
OG0000781	XP_018434677.1	evm.model.RL_6.2508
OG0000783	XP_018446563.1, XP_018471573.1	evm.model.RL_4.1517
OG0000783	XP_018437689.1, XP_018491633.1, XP_018432653.1	evm.model.RL_7.1993
OG0000784	XP_018464122.1	evm.model.RL_7.1879
OG0000784	XP_018474500.1	evm.model.RL_4.1455
OG0000785	XP_018459255.1, XP_018471053.1	evm.model.RL_2.2843
OG0000785	XP_018445561.1	evm.model.RL_4.3067
OG0000785	XP_018443037.1	evm.model.RL_5.2607_evm.model.RL_5.2609
OG0000786	XP_018435589.1	evm.model.RL_8.2189
OG0000786	XP_018443446.1	evm.model.RL_7.143
OG0000788	XP_018439382.1	evm.model.RL_7.1842
OG0000788	XP_018471876.1, XP_018444593.1	evm.model.RL_8.2146
OG0000789	XP_018447024.1	evm.model.RL_3.2355
OG0000792	XP_018435555.1	evm.model.RL_1.1945
OG0000792	XP_018444563.1	evm.model.RL_7.598
OG0000793	XP_018458964.1, XP_018464290.1	evm.model.RL_5.1940
OG0000794	XP_018487383.1, XP_018464135.1, XP_018479820.1, XP_018479819.1, XP_018473614.1	evm.model.RL_6.924, evm.model.RL_6.923
OG0000795	XP_018467879.1, XP_018467876.1	evm.model.RL_1.2723
OG0000796	XP_018479180.1, XP_018477826.1	evm.model.RL_3.1296, evm.model.RL_2.1713
OG0000799	XP_018438705.1	evm.model.RL_5.3316
OG0000800	XP_018454659.1, XP_018477794.1	evm.model.RL_7.2511
OG0000802	XP_018485118.1	evm.model.RL_4.207
OG0000802	XP_018442153.1	evm.model.RL_5.2945
OG0000802	XP_018472085.1	evm.model.RL_2.1394
OG0000803	XP_018470723.1	evm.model.RL_2.1531.1.687c86e3
OG0000804	XP_018434146.1	evm.model.RL_6.1471
OG0000804	XP_018479661.1, XP_018482457.1	evm.model.RL_6.1472
OG0000805	XP_018485566.1, XP_018459664.1, XP_018489550.1, XP_018452110.1, XP_018450759.1, XP_018492172.1	evm.model.RL_1.2133
OG0000806	XP_018483989.1	evm.model.RL_6.929
OG0000806	XP_018473269.1	evm.model.RL_6.2562
OG0000807	XP_018484479.1	evm.model.RL_6.2553
OG0000807	XP_018486861.1, XP_018487380.1	evm.model.RL_1.29
OG0000808	XP_018434695.1	evm.model.RL_6.982
OG0000808	XP_018476768.1	evm.model.RL_8.2012
