Orthogroup	Raphanus_sativus	Erysimum_linariifolium
OG0002489	XP_018460229.1, XP_018485009.1	El007G341510
OG0002490	XP_018438745.1, XP_018437875.1, XP_018473946.1	El006G320490
OG0002494	XP_018441758.1	El005G279490
OG0002494	XP_018481335.1, XP_018457833.1	El003G155770
OG0002496	XP_018440631.1, XP_018480466.1, XP_018478955.1	El006G320630
OG0002497	XP_018470880.1, XP_018482363.1, XP_018450638.1	El003G151460
OG0002498	XP_018469397.1, XP_018461104.1, XP_018477194.1	El003G151370
OG0002498	XP_018433125.1	El006G316700
OG0002499	XP_018468386.1, XP_018473489.1	El001G058250
OG0002500	XP_018451262.1, XP_018450718.1, XP_018484417.1, XP_018471477.1	El005G272750
OG0002502	XP_018434116.1, XP_018434401.1, XP_018485176.1	El006G295840
OG0002503	XP_018450266.1, XP_018450265.1, XP_018435965.1	El002G091630
OG0002504	XP_018465593.1	El004G205240
OG0002504	XP_018434230.1, XP_018471927.1, XP_018488538.1	El002G092800
OG0002505	XP_018433107.1	El002G093310
OG0002505	XP_018457505.1	El004G202180
OG0002506	XP_018457340.1	El004G201320
OG0002506	XP_018449965.1	El002G093580
OG0002507	XP_018437644.1	El001G037710
OG0002508	XP_018441349.1, XP_018451082.1	El002G097870
OG0002509	XP_018477793.1	El001G038700
OG0002509	XP_018462816.1, XP_018454831.1	El001G038690
OG0002510	XP_018439954.1, XP_018437856.1	El002G096480
OG0002510	XP_018433033.1, XP_018483057.1	El001G041110
OG0002511	XP_018468495.1, XP_018468485.1, XP_018451327.1, XP_018451348.1	El001G044210, El001G044190, El001G044490
OG0002512	XP_018461316.1	El001G031800
OG0002512	XP_018468465.1	El002G140700
OG0002513	XP_018438665.1, XP_018490341.1	El005G246100
OG0002513	XP_018475556.1	El001G077390, El001G077380, El001G077400
OG0002514	XP_018467560.1	El001G076750
OG0002515	XP_018442620.1	El001G075860
OG0002515	XP_018493110.1, XP_018493095.1	El005G247310
OG0002516	XP_018450756.1, XP_018471184.1, XP_018471183.1	El003G158820, El003G158850
OG0002517	XP_018470365.1	El003G156320
OG0002517	XP_018475152.1, XP_018455163.1	El007G339560, El007G339590
OG0002518	XP_018472977.1	El007G336590
OG0002518	XP_018472447.1, XP_018484625.1	El003G157720
OG0002519	XP_018446156.1, XP_018448414.1, XP_018450367.1	El003G157740
OG0002520	XP_018475719.1, XP_018454378.1	El007G336170
OG0002520	XP_018470182.1	El003G157840
OG0002521	XP_018475081.1, XP_018475880.1, XP_018475879.1, XP_018468333.1, XP_018444163.1	El001G069500
OG0002522	XP_018453041.1	El007G326040
OG0002523	XP_018484135.1	El007G366520
OG0002523	XP_018470588.1, XP_018470587.1	El003G169650
OG0002524	XP_018469103.1, XP_018462696.1	El001G006770
OG0002524	XP_018479168.1	El003G162670
OG0002525	XP_018487262.1, XP_018447615.1	El002G123890
OG0002526	XP_018449926.1, XP_018451652.1	El002G117200
OG0002526	XP_018469202.1	El003G159400
OG0002527	XP_018484192.1	El006G296150
OG0002527	XP_018458969.1	El002G117670
OG0002528	XP_018455391.1, XP_018490478.1	El005G275510
OG0002528	XP_018470038.1	El003G146060
OG0002529	XP_018484210.1, XP_018484212.1	El003G144970
OG0002529	XP_018433494.1	El006G318530
OG0002530	XP_018439367.1	El006G319160
OG0002530	XP_018485272.1, XP_018484297.1	El003G144600
OG0002531	XP_018477101.1	El006G319950, El003G143610
OG0002532	XP_018451373.1, XP_018433497.1	El003G142840
OG0002533	XP_018471504.1, XP_018477348.1	El003G141860
OG0002534	XP_018462306.1, XP_018472732.1	El001G010270
OG0002535	XP_018459071.1, XP_018471865.1, XP_018457082.1	El001G007110
OG0002535	XP_018477195.1	El003G162450
OG0002536	XP_018448027.1, XP_018465945.1, XP_018451718.1, XP_018452596.1	El003G163130
OG0002536	XP_018453050.1	El001G005980
OG0002537	XP_018454487.1, XP_018456888.1	El001G005800
OG0002537	XP_018441141.1	El002G087120
OG0002538	XP_018447332.1	El003G175970
OG0002538	XP_018451335.1	El003G175980
OG0002539	XP_018467187.1	El003G175060
OG0002539	XP_018447289.1	El003G175070
OG0002541	XP_018483327.1, XP_018445412.1	El001G035380
OG0002542	XP_018433789.1	El006G281940
OG0002542	XP_018442642.1, XP_018442657.1	El001G033580
OG0002543	XP_018482160.1, XP_018480009.1, XP_018442023.1	El006G282560
OG0002543	XP_018432726.1	El001G033060
OG0002544	XP_018464759.1, XP_018483232.1	El006G284960
OG0002544	XP_018491572.1, XP_018443172.1	El001G031430
OG0002545	XP_018433043.1	El006G287730
OG0002547	XP_018488354.1, XP_018488392.1	El001G028670
OG0002547	XP_018479973.1	El006G287920
OG0002548	XP_018436382.1	El006G291740
OG0002548	XP_018475027.1, XP_018475025.1	El001G079150
OG0002549	XP_018463329.1, XP_018466386.1, XP_018434406.1	El002G128910, El008G369100, El006G289730
OG0002550	XP_018445735.1	El001G059480
OG0002551	XP_018433032.1	El001G015900
OG0002551	XP_018445202.1, XP_018462055.1, XP_018456197.1	El007G331580
OG0002552	XP_018432516.1	El007G327080
OG0002553	XP_018438467.1	El007G323340
OG0002553	XP_018437099.1	El001G020410
OG0002554	XP_018438338.1, XP_018438333.1, XP_018454223.1	El007G362220, El007G322730
OG0002555	XP_018488718.1, XP_018463497.1, XP_018486753.1	El002G083720
OG0002556	XP_018454700.1	El001G001710
OG0002556	XP_018463314.1, XP_018467117.1	El002G083870
OG0002557	XP_018487314.1	El002G088270
OG0002557	XP_018474528.1	El006G300960
OG0002558	XP_018448260.1	El005G264510
OG0002558	XP_018470475.1	El003G157330
OG0002559	XP_018486919.1	El005G235510
OG0002560	XP_018474881.1, XP_018476992.1, XP_018443938.1	El001G066120
OG0002560	XP_018486552.1, XP_018488841.1	El005G236030
OG0002561	XP_018446662.1, XP_018472647.1	El001G064310
OG0002561	XP_018440355.1	El005G237190
OG0002562	XP_018463759.1	El001G048660
OG0002562	XP_018491332.1	El005G239710
OG0002565	XP_018433683.1, XP_018478235.1	El006G294800
OG0002566	XP_018482442.1, XP_018433550.1	El006G292910
OG0002567	XP_018433510.1	El002G100310
OG0002567	XP_018443786.1, XP_018445056.1	El004G233020
OG0002568	XP_018442165.1	El004G227920
OG0002568	XP_018492885.1	El002G103940
OG0002569	XP_018443051.1	El004G228890
OG0002569	XP_018450730.1	El002G104640
OG0002570	XP_018483004.1, XP_018480192.1	El002G104770
OG0002570	XP_018444234.1, XP_018462511.1	El004G229000
OG0002571	XP_018446996.1	El004G229470
OG0002571	XP_018434415.1	El002G105310
OG0002572	XP_018446905.1, XP_018449378.1, XP_018452855.1	El004G230370
OG0002573	XP_018452303.1, XP_018452313.1	El004G221650
OG0002573	XP_018435644.1	El002G109580
OG0002574	XP_018437839.1	El002G111730
OG0002574	XP_018445601.1	El004G219530
OG0002575	XP_018448062.1	El002G109730, El005G267440
OG0002576	XP_018441814.1	El002G096680
OG0002576	XP_018460874.1	El003G179980
OG0002577	XP_018467958.1	El002G089980
OG0002579	XP_018487269.1, XP_018449545.1, XP_018483166.1, XP_018490390.1	El002G088470
OG0002580	XP_018481515.1	El006G300270
OG0002580	XP_018489036.1, XP_018490294.1	El002G087730
OG0002581	XP_018492246.1, XP_018489651.1, XP_018489360.1	El002G083820, El002G094730
OG0002582	XP_018477281.1, XP_018472917.1, XP_018458712.1	El004G200330, El006G289290
OG0002583	XP_018433852.1	El001G019480
OG0002583	XP_018478938.1, XP_018465292.1	El001G055030
OG0002584	XP_018440740.1	El001G016530
OG0002584	XP_018472528.1	El007G332610
OG0002585	XP_018453282.1	El007G331300
OG0002587	XP_018474148.1	El037G374570, El002G104040
OG0002587	XP_018466265.1	El004G228030
OG0002588	XP_018445102.1, XP_018445590.1	El004G226850
OG0002589	XP_018481268.1	El002G101660
OG0002589	XP_018452726.1, XP_018456869.1	El004G224850
OG0002590	XP_018434079.1, XP_018434071.1	El005G250260
OG0002590	XP_018451432.1, XP_018438169.1	El002G139700
OG0002591	XP_018432589.1	El005G249450
OG0002591	XP_018451462.1	El002G140370
OG0002592	XP_018492289.1	El002G139770
OG0002592	XP_018492971.1	El005G250190
OG0002593	XP_018441456.1	El002G137870
OG0002593	XP_018486218.1	El005G252050
OG0002594	XP_018492847.1	El002G137640, El005G252250
OG0002596	XP_018468913.1	El005G253420, El003G163150
OG0002596	XP_018484545.1	El003G172120
OG0002597	XP_018492876.1	El005G254160
OG0002597	XP_018463965.1	El002G131410
OG0002598	XP_018490869.1	El005G254770
OG0002598	XP_018451173.1	El002G132110
OG0002599	XP_018486227.1, XP_018462039.1, XP_018491863.1, XP_018486676.1	El005G260140
OG0002601	XP_018438026.1	El006G314180
OG0002601	XP_018468061.1	El003G150280
OG0002602	XP_018492506.1	El005G248970
OG0002603	XP_018491809.1	El005G258950
OG0002603	XP_018449194.1, XP_018448262.1, XP_018483194.1	El002G135710
OG0002604	XP_018488102.1, XP_018488101.1, XP_018477533.1	El002G133260
OG0002605	XP_018486946.1	El001G027780
OG0002605	XP_018477186.1	El006G288670
OG0002606	XP_018489428.1, XP_018463688.1	El001G029450
OG0002606	XP_018438305.1	El006G286990, El006G286970
OG0002607	XP_018460731.1, XP_018459091.1, XP_018432896.1	El001G015460, El001G031720
OG0002608	XP_018459942.1, XP_018435489.1, XP_018435491.1	El005G262740
OG0002610	XP_018435787.1	El007G364540
OG0002611	XP_018435010.1, XP_018475117.1	El006G291190
OG0002614	XP_018441202.1	El001G041300
OG0002616	XP_018447121.1	El001G013260, El003G174610
OG0002618	XP_018489801.1	El007G326810, El007G358580, El007G326800
OG0002619	XP_018453465.1, XP_018478928.1	El005G267010
OG0002622	XP_018463993.1, XP_018449075.1	El003G155090
OG0002624	XP_018465762.1, XP_018481746.1	El006G313680
OG0002624	XP_018480622.1, XP_018450778.1, XP_018448048.1	El003G149920
OG0002626	XP_018468008.1, XP_018450580.1	El003G147990, El002G127200
OG0002627	XP_018471037.1	El003G147850
OG0002627	XP_018491461.1	El005G273610
OG0002628	XP_018486076.1	El005G273920
OG0002628	XP_018477853.1	El003G147440
OG0002629	XP_018440013.1	El006G296020
OG0002629	XP_018451800.1	El002G118160
OG0002630	XP_018439775.1	El006G295540
OG0002631	XP_018461014.1, XP_018473543.1	El006G295330
OG0002631	XP_018470825.1	El003G170530
OG0002632	XP_018441227.1, XP_018452945.1	El004G207500
OG0002633	XP_018460005.1, XP_018450855.1, XP_018493381.1, XP_018483280.1	El002G092460
OG0002634	XP_018440312.1	El002G093070
OG0002635	XP_018449298.1, XP_018454174.1	El002G094740
OG0002635	XP_018437442.1	El004G199190
OG0002636	XP_018441662.1	El002G098770
OG0002636	XP_018465324.1, XP_018459540.1	El001G036820
OG0002637	XP_018451080.1	El002G097880
OG0002637	XP_018448487.1, XP_018454704.1	El001G038280
OG0002638	XP_018454677.1, XP_018460867.1	El001G039710
OG0002638	XP_018449452.1, XP_018449451.1, XP_018482409.1	El002G096890
OG0002639	XP_018481391.1, XP_018438687.1, XP_018465162.1	El001G041580
OG0002639	XP_018445810.1	El001G080100
OG0002640	XP_018481599.1	El001G044240
OG0002640	XP_018481389.1, XP_018438268.1	El001G044170
OG0002641	XP_018458368.1, XP_018480828.1	El003G189270
OG0002642	XP_018444069.1, XP_018443186.1, XP_018445580.1	El004G217310
OG0002643	XP_018442851.1	El004G215660
OG0002644	XP_018470676.1, XP_018451020.1, XP_018450997.1	El003G156560
OG0002645	XP_018457544.1	El007G334590
OG0002645	XP_018470527.1	El003G158500
OG0002646	XP_018464929.1, XP_018485418.1	El005G245580
OG0002647	XP_018477904.1, XP_018449851.1, XP_018468072.1, XP_018462498.1	El003G160120
OG0002648	XP_018470058.1, XP_018473334.1, XP_018457554.1	El007G340010
OG0002648	XP_018470230.1, XP_018467774.1	El003G156120
OG0002650	XP_018469398.1, XP_018460454.1, XP_018460451.1	El007G338030
OG0002650	XP_018448424.1	El003G156860
OG0002651	XP_018470149.1	El007G337750
OG0002652	XP_018433181.1, XP_018433379.1	El005G277370
OG0002653	XP_018445276.1	El001G070990
OG0002653	XP_018459216.1, XP_018461079.1	El001G053980
OG0002654	XP_018491447.1	El007G324490
OG0002654	XP_018475962.1	El001G071380
OG0002655	XP_018476853.1, XP_018472165.1	El001G071970, El007G325070
OG0002656	XP_018452775.1	El007G325810
OG0002656	XP_018442985.1	El001G072320
OG0002657	XP_018460590.1, XP_018483998.1	El003G168670
OG0002658	XP_018470356.1	El003G165150
OG0002658	XP_018470359.1, XP_018470357.1	El003G165140
OG0002659	XP_018477915.1, XP_018477918.1, XP_018472435.1	El003G163290
OG0002659	XP_018457884.1	El001G005870
OG0002660	XP_018477754.1, XP_018450873.1	El003G162910
OG0002661	XP_018484136.1	El003G161730
OG0002661	XP_018454311.1	El001G007610
OG0002662	XP_018449760.1, XP_018487282.1	El002G123590
OG0002662	XP_018476720.1	El001G010040
OG0002663	XP_018434731.1	El006G298400
OG0002663	XP_018466168.1, XP_018463589.1, XP_018447462.1	El002G113730
OG0002665	XP_018466828.1, XP_018454765.1	El003G146040
OG0002665	XP_018433622.1, XP_018485660.1	El005G275590
OG0002666	XP_018468588.1, XP_018471428.1, XP_018468744.1, XP_018483838.1, XP_018447663.1	El003G145720
OG0002667	XP_018469857.1, XP_018469844.1	El003G145610
OG0002667	XP_018488901.1	El005G276690
OG0002668	XP_018466761.1, XP_018481242.1, XP_018468677.1	El003G145130
OG0002669	XP_018485249.1	El006G319320
OG0002669	XP_018446301.1, XP_018446368.1	El003G144330
OG0002670	XP_018464644.1	El006G320730
OG0002670	XP_018484482.1	El003G142680
OG0002671	XP_018479665.1	El003G191260
OG0002672	XP_018477669.1, XP_018444735.1, XP_018458373.1	El003G189620
OG0002673	XP_018460205.1, XP_018474876.1	El001G010320
OG0002673	XP_018480281.1	El002G098680
OG0002674	XP_018473197.1, XP_018475109.1	El001G006080
OG0002675	XP_018469990.1	El003G164930
OG0002675	XP_018457814.1	El001G006550, El001G004550
OG0002676	XP_018447936.1	El003G179390
OG0002676	XP_018490155.1	El005G268960
OG0002678	XP_018478291.1	El003G176970
OG0002680	XP_018450371.1	El003G174760
OG0002680	XP_018492917.1	El005G262780
OG0002681	XP_018466481.1, XP_018475252.1, XP_018437372.1, XP_018437309.1	El006G281660
OG0002682	XP_018473978.1	El006G285720
OG0002683	XP_018439058.1, XP_018439060.1	El006G287200
OG0002684	XP_018464985.1, XP_018484865.1, XP_018484864.1	El006G287750
OG0002684	XP_018491742.1	El001G028790
OG0002685	XP_018434558.1, XP_018485707.1	El005G244010
OG0002686	XP_018445744.1, XP_018445743.1	El001G078540
OG0002687	XP_018449164.1, XP_018446831.1	El007G330590
OG0002688	XP_018436512.1	El001G014850
OG0002688	XP_018469925.1	El007G330940
OG0002690	XP_018440641.1	El001G015920
OG0002690	XP_018454023.1	El007G331500, El007G362080
OG0002691	XP_018439033.1	El001G018270
OG0002691	XP_018485631.1, XP_018462985.1	El007G327110
OG0002692	XP_018461978.1, XP_018474906.1, XP_018454652.1	El001G000570
OG0002693	XP_018452792.1, XP_018456567.1, XP_018472517.1	El001G003590
OG0002694	XP_018477113.1, XP_018457023.1	El007G360400
OG0002695	XP_018474669.1	El006G300710
OG0002695	XP_018489547.1	El002G088110
OG0002696	XP_018490110.1, XP_018471615.1, XP_018463192.1	El002G090460
OG0002696	XP_018475408.1	El006G304670
OG0002697	XP_018490951.1	El005G243810
OG0002698	XP_018490457.1	El005G237600
OG0002698	XP_018460052.1	El001G063570
OG0002699	XP_018442415.1, XP_018459142.1, XP_018449485.1	El001G063520
OG0002700	XP_018471677.1, XP_018463098.1, XP_018473484.1	El001G062480
OG0002700	XP_018435070.1	El005G238490
OG0002701	XP_018486869.1, XP_018492830.1, XP_018478758.1	El007G347620
OG0002702	XP_018460790.1, XP_018464373.1	El001G027440
OG0002702	XP_018477290.1	El006G289180
OG0002704	XP_018473247.1	El006G293470
OG0002704	XP_018493235.1	El001G023940
OG0002705	XP_018485479.1, XP_018484589.1	El001G024990
OG0002706	XP_018452311.1	El004G232980
OG0002706	XP_018433499.1	El002G100340
OG0002707	XP_018458011.1	El004G225650
OG0002707	XP_018477174.1	El002G102060
OG0002708	XP_018472402.1	El004G227930
OG0002708	XP_018492856.1, XP_018492826.1	El002G103950
OG0002709	XP_018444212.1, XP_018462298.1	El004G229920
OG0002709	XP_018463236.1, XP_018481179.1, XP_018459126.1	El002G105740
OG0002710	XP_018452835.1	El004G223240
OG0002711	XP_018465627.1	El005G266790, El002G109370
OG0002714	XP_018436768.1, XP_018436778.1, XP_018470318.1, XP_018449648.1, XP_018466842.1	El002G099180
OG0002715	XP_018441505.1	El001G036540
OG0002716	XP_018486576.1	El002G093320
OG0002717	XP_018475802.1	El001G064770, El001G064930
OG0002718	XP_018469291.1, XP_018466659.1	El006G314750, El005G273050
OG0002718	XP_018444786.1, XP_018442345.1	El001G063620
OG0002719	XP_018462829.1	El001G054610, El001G054720, El007G358870, El001G054630, El001G054650, El001G054710, El007G358880
OG0002720	XP_018467653.1	El001G021180
OG0002720	XP_018433280.1	El001G021170, El003G175950
OG0002721	XP_018468441.1, XP_018464528.1	El001G019290
OG0002722	XP_018446158.1	El004G220330
OG0002722	XP_018464687.1	El004G220040, El004G220010, El004G219970
OG0002723	XP_018452721.1	El004G231390
OG0002723	XP_018437824.1	El002G107150
OG0002724	XP_018469261.1, XP_018467568.1	El002G105170
OG0002724	XP_018444004.1, XP_018444413.1	El004G229290
OG0002725	XP_018491424.1	El005G249020
OG0002725	XP_018439515.1, XP_018439514.1	El005G249010
OG0002726	XP_018491127.1, XP_018439252.1	El005G252010
OG0002726	XP_018446318.1	El002G137910
OG0002727	XP_018482609.1	El002G136800
OG0002728	XP_018465606.1	El005G256580
OG0002729	XP_018491979.1	El005G258370
OG0002729	XP_018492812.1	El002G135120
OG0002730	XP_018486023.1, XP_018488430.1	El005G260070
OG0002731	XP_018489070.1, XP_018487107.1	El005G261310
OG0002731	XP_018459661.1, XP_018461864.1	El003G174120
OG0002732	XP_018491605.1	El002G136650
OG0002733	XP_018450043.1, XP_018466104.1, XP_018448796.1, XP_018487274.1, XP_018490191.1, XP_018490189.1	El002G133280, El002G133290
OG0002734	XP_018474560.1, XP_018442388.1, XP_018458088.1, XP_018447050.1	El002G116260, El006G296690
OG0002736	XP_018482497.1, XP_018482743.1	El006G292290
OG0002736	XP_018490642.1	El001G024810
OG0002737	XP_018433059.1	El006G288690
OG0002737	XP_018489160.1	El001G027770
OG0002738	XP_018481835.1, XP_018464024.1, XP_018482278.1, XP_018482279.1, XP_018482042.1, XP_018461759.1	El007G366770
OG0002739	XP_018437964.1	El001G020020
OG0002739	XP_018436233.1, XP_018439246.1	El007G323770
OG0002740	XP_018442569.1, XP_018459989.1, XP_018459988.1	El001G030760
OG0002741	XP_018455883.1	El004G219310
OG0002742	XP_018465342.1	El001G044740
OG0002743	XP_018479049.1, XP_018479040.1, XP_018461793.1	El003G149080
OG0002743	XP_018461794.1, XP_018462325.1	El003G149070
OG0002744	XP_018433108.1	El002G093300
OG0002745	XP_018458305.1, XP_018458302.1, XP_018472118.1, XP_018486358.1	El002G095140
OG0002745	XP_018444155.1, XP_018444412.1	El002G082680
OG0002746	XP_018433945.1, XP_018461843.1	El002G097500
OG0002746	XP_018457636.1, XP_018463438.1	El001G038550
OG0002747	XP_018491195.1	El005G252740
OG0002748	XP_018476332.1	El001G072260
OG0002750	XP_018463813.1	El004G216860, El004G216420, El004G216510, El004G216680, El004G216500, El003G186920
OG0002751	XP_018449817.1	El003G176340
OG0002753	XP_018471961.1	El003G155630
OG0002753	XP_018441651.1	El005G279200
OG0002755	XP_018471844.1	El003G151190
OG0002757	XP_018468010.1, XP_018480345.1, XP_018480344.1	El003G147960
OG0002758	XP_018477062.1	El005G274110
OG0002758	XP_018450928.1, XP_018451358.1, XP_018471973.1	El003G147310
OG0002760	XP_018493018.1	El003G159660
OG0002762	XP_018441817.1	El004G199080
OG0002762	XP_018458293.1	El002G094900
OG0002763	XP_018456905.1, XP_018483997.1	El002G098990
OG0002764	XP_018467794.1	El002G097400
OG0002764	XP_018477995.1	El001G038750
OG0002765	XP_018478687.1	El001G041700
OG0002765	XP_018469547.1, XP_018474527.1	El001G073390
OG0002766	XP_018483676.1	El003G186090
OG0002767	XP_018447134.1	El002G096310
OG0002768	XP_018471298.1	El007G335290
OG0002768	XP_018467256.1, XP_018481224.1	El003G158200
OG0002769	XP_018486834.1	El005G244600
OG0002770	XP_018480527.1, XP_018471125.1	El003G159750
OG0002770	XP_018474610.1	El007G343510
OG0002771	XP_018469634.1	El001G071900
OG0002771	XP_018488886.1	El007G325180
OG0002772	XP_018493307.1	El007G326680
OG0002772	XP_018443889.1	El001G072820
OG0002773	XP_018446820.1	El001G074300
OG0002774	XP_018469252.1, XP_018469251.1	El003G165960
OG0002774	XP_018477598.1	El007G361760
OG0002775	XP_018483766.1, XP_018483765.1	El003G165830
OG0002775	XP_018478192.1	El007G361630
OG0002776	XP_018481924.1, XP_018481923.1	El003G164500
OG0002776	XP_018450875.1	El003G164510
OG0002777	XP_018462382.1, XP_018479184.1, XP_018459197.1, XP_018448486.1, XP_018468874.1	El003G163920, El003G163930
OG0002779	XP_018450646.1	El002G122280, El002G122260
OG0002780	XP_018476880.1, XP_018468760.1	El002G125070
OG0002780	XP_018450355.1	El002G125060
OG0002781	XP_018485260.1, XP_018454867.1	El003G144640
OG0002782	XP_018433211.1	El006G320020
OG0002783	XP_018447697.1, XP_018447696.1	El003G142360
OG0002784	XP_018449178.1	El003G169400
OG0002784	XP_018478141.1, XP_018478150.1	El007G366350
OG0002785	XP_018447757.1, XP_018448630.1	El003G182730
OG0002786	XP_018459924.1, XP_018460154.1	El005G271090
OG0002787	XP_018458118.1	El003G183460
OG0002788	XP_018484174.1, XP_018481649.1	El003G175050, El003G175040
OG0002788	XP_018486922.1	El005G264070
OG0002789	XP_018447447.1, XP_018471931.1	El003G174430
OG0002790	XP_018491744.1	El005G261140
OG0002790	XP_018441313.1	El005G261160
OG0002791	XP_018432878.1, XP_018493316.1	El005G260000
OG0002793	XP_018484614.1, XP_018441942.1	El006G280890
OG0002793	XP_018445446.1	El001G034430
OG0002794	XP_018440032.1	El006G283130
OG0002794	XP_018492328.1, XP_018492371.1, XP_018483786.1	El001G032610
OG0002795	XP_018488067.1, XP_018483888.1	El001G032030
OG0002796	XP_018467169.1	El006G285300
OG0002796	XP_018472899.1	El006G285270
OG0002797	XP_018478891.1, XP_018434593.1	El006G286840
OG0002798	XP_018440161.1, XP_018476107.1	El006G287510
OG0002799	XP_018484737.1	El006G292010
OG0002799	XP_018475905.1	El001G081610
OG0002800	XP_018466960.1, XP_018476541.1, XP_018476381.1	El001G079090
OG0002801	XP_018445730.1, XP_018476240.1	El001G011750
OG0002802	XP_018472049.1	El001G012040
OG0002803	XP_018440498.1	El001G016500
OG0002803	XP_018456362.1	El007G332480
OG0002804	XP_018437791.1	El007G323250
OG0002805	XP_018492580.1, XP_018492590.1	El002G089760
OG0002805	XP_018433009.1	El006G303140
OG0002806	XP_018460533.1	El002G084000
OG0002806	XP_018460598.1, XP_018474967.1, XP_018473237.1	El001G001830
OG0002807	XP_018476464.1	El001G003760
OG0002808	XP_018435085.1	El006G299770
OG0002809	XP_018436902.1	El006G301090
OG0002809	XP_018487267.1, XP_018487939.1	El002G088490
OG0002810	XP_018472496.1	El002G089040
OG0002810	XP_018483286.1	El006G301820
OG0002811	XP_018439612.1	El006G303940, El006G303870
OG0002812	XP_018479801.1, XP_018479812.1	El006G307010
OG0002812	XP_018481738.1, XP_018466384.1	El002G091070
OG0002813	XP_018438892.1	El005G235320
OG0002813	XP_018459473.1, XP_018458948.1, XP_018442266.1	El001G067100
OG0002814	XP_018486416.1, XP_018485790.1	El005G236370
OG0002815	XP_018438620.1	El005G237670
OG0002815	XP_018459150.1, XP_018442723.1	El001G063490
OG0002817	XP_018434646.1	El005G238940
OG0002817	XP_018476744.1	El001G062190
OG0002818	XP_018486518.1, XP_018463430.1	El008G369160, El005G239850
OG0002818	XP_018457188.1	El001G049030
OG0002819	XP_018443282.1	El001G061460
OG0002819	XP_018440345.1, XP_018466489.1	El005G241360, El004G208960
OG0002821	XP_018490281.1, XP_018490272.1	El005G242120
OG0002822	XP_018486181.1, XP_018433551.1	El005G239190
OG0002822	XP_018438243.1, XP_018438904.1	El001G051730
OG0002823	XP_018493567.1	El001G023270
OG0002823	XP_018477047.1	El006G294600
OG0002824	XP_018484632.1	El001G024570
OG0002824	XP_018476704.1	El006G292430
OG0002825	XP_018446300.1	El004G234250
OG0002825	XP_018435402.1	El002G099570
OG0002826	XP_018446483.1	El004G233410
OG0002826	XP_018438758.1	El002G100090
OG0002827	XP_018437110.1	El002G101590
OG0002827	XP_018457469.1	El004G224750
OG0002828	XP_018439461.1	El002G101630
OG0002828	XP_018456893.1, XP_018471083.1	El004G224800
OG0002829	XP_018452186.1, XP_018452192.1	El004G225420
OG0002830	XP_018447737.1, XP_018450883.1	El002G102980
OG0002831	XP_018443441.1	El004G227310
OG0002831	XP_018436397.1	El002G103110
OG0002832	XP_018440424.1	El002G104900
OG0002832	XP_018445885.1	El004G229080
OG0002833	XP_018440411.1	El002G104910
OG0002833	XP_018445883.1	El004G229090
OG0002834	XP_018451090.1	El002G109260
OG0002834	XP_018470751.1, XP_018470748.1	El004G221810
OG0002835	XP_018469434.1	El004G220280
OG0002835	XP_018448170.1, XP_018448300.1	El002G111040
OG0002836	XP_018447844.1, XP_018460371.1, XP_018458192.1	El002G111880
OG0002837	XP_018448182.1, XP_018453331.1	El004G219180
OG0002838	XP_018483732.1, XP_018449039.1, XP_018449040.1, XP_018472041.1	El003G160480, El007G344790
OG0002840	XP_018451517.1	El003G142660
OG0002840	XP_018477867.1	El006G321040
OG0002841	XP_018441880.1	El006G299660
OG0002841	XP_018465405.1, XP_018490961.1	El002G087280
OG0002842	XP_018486498.1	El002G085040, El004G210630
OG0002844	XP_018443305.1, XP_018473691.1, XP_018473688.1, XP_018446890.1	El001G066560
OG0002845	XP_018461584.1, XP_018476251.1, XP_018468247.1, XP_018443966.1	El001G061710
OG0002847	XP_018470692.1, XP_018470691.1, XP_018493345.1, XP_018450722.1	El002G141310, El004G232590, El005G248720
OG0002848	XP_018439164.1	El001G055320
OG0002849	XP_018434927.1	El001G019160
OG0002849	XP_018478382.1	El001G055610
OG0002850	XP_018481679.1	El005G265700
OG0002851	XP_018477580.1	El001G056360
OG0002851	XP_018439347.1	El001G018520
OG0002852	XP_018437012.1, XP_018438838.1, XP_018482695.1, XP_018455974.1	El001G056450
OG0002853	XP_018463062.1, XP_018439423.1, XP_018458746.1	El007G328960, El007G329000, El007G328980, El007G328900
OG0002854	XP_018468958.1, XP_018468959.1, XP_018468955.1, XP_018468957.1	El007G332630
OG0002854	XP_018476550.1, XP_018476549.1	El004G207830, El007G332640, El004G207780, El004G207740
OG0002855	XP_018468952.1, XP_018472113.1	El007G332750, El007G335530
OG0002856	XP_018437729.1	El001G016580
OG0002856	XP_018456455.1	El007G332780
OG0002858	XP_018453868.1, XP_018437449.1	El001G019110
OG0002859	XP_018473264.1, XP_018468487.1	El007G331230
OG0002860	XP_018449580.1	El003G147930
OG0002860	XP_018441222.1	El005G273490
OG0002861	XP_018487886.1	El002G084100
OG0002861	XP_018461376.1, XP_018455333.1	El004G222780
OG0002862	XP_018468444.1	El004G226970
OG0002863	XP_018453075.1	El004G233640
OG0002863	XP_018490145.1	El002G099950
OG0002864	XP_018486092.1, XP_018459558.1, XP_018440588.1, XP_018492223.1	El005G249400
OG0002865	XP_018493150.1, XP_018466048.1, XP_018491013.1	El005G249770
OG0002866	XP_018486288.1	El005G250070
OG0002866	XP_018483923.1, XP_018487471.1	El002G139870
