Orthogroup	Arabidopsis_lyrata_Rawat	Alyssum_gmelinii
OG0001129	AL5G18770, AL5G18730	Ag006G514020
OG0001130	AL5G20100	Ag008G674550
OG0001130	AL7G51620	Ag007G647640
OG0001131	AL8G33210	Ag008G702130
OG0001132	AL6G12330	Ag006G494530
OG0001132	AL3G20930	Ag005G476670
OG0001133	AL7G26000, AL8G30690	Ag003G250820, Ag008G694900
OG0001134	AL6G24050, AL6G24060	Ag007G611750, Ag007G611740
OG0001135	AL8G42330	Ag008G731910
OG0001135	AL6G20380	Ag007G603720
OG0001136	AL7G36660	Ag006G576750
OG0001136	AL8G11550	Ag002G120100
OG0001137	AL8G13460	Ag002G103820
OG0001137	AL7G34850	Ag006G571520
OG0001138	AL3G11250	Ag005G490060, Ag003G279670
OG0001138	AL6G47790	Ag002G140620
OG0001139	AL1G41460	Ag007G583870
OG0001139	AL1G40710	Ag004G374810
OG0001140	AL7G15010, AL3G50920	Ag003G287800
OG0001141	AL5G25610	Ag001G052110
OG0001142	AL3G36920	Ag005G437730
OG0001142	AL7G41070	Ag001G035250
OG0001143	AL4G44210	Ag002G201140
OG0001143	AL5G42890	Ag001G093220
OG0001144	AL5G42340	Ag001G092190
OG0001144	AL4G43450	Ag002G199410
OG0001145	AL3G16060	Ag005G483630
OG0001145	AL304U10030	Ag005G483640, Ag005G483700, Ag005G483680, Ag005G483650, Ag005G483660
OG0001145	AL3G16040, AL8G28550, AL6G37010, AL1G56010, nbis-gene-666	Ag005G483750, Ag005G483770, Ag005G483830
OG0001146	AL4G39730	Ag008G730280, Ag002G191440
OG0001146	AL3G21660	Ag005G475750
OG0001148	nbis-gene-1500	Ag002G105850, Ag007G603010
OG0001149	AL5G31590	Ag001G067640
OG0001149	AL8G45240	Ag001G099510
OG0001150	AL6G26990	Ag007G621120
OG0001150	AL3G11920	Ag005G489140
OG0001151	AL3G17870	Ag005G480860
OG0001152	AL5G37650	Ag001G081200
OG0001152	AL4G38370	Ag002G187340
OG0001154	AL2G35130	Ag003G227190
OG0001154	AL1G32200	Ag004G332220
OG0001155	AL2G36030	Ag003G222900
OG0001155	AL1G33060	Ag004G333860
OG0001156	AL1G37300	Ag003G242280
OG0001156	nbis-gene-584	Ag004G345210
OG0001157	AL1G22500	Ag004G313710, Ag004G313780, Ag004G313850, Ag007G620330, Ag004G313760, Ag004G313840, Ag004G313870, Ag004G313820, Ag004G313830
OG0001157	AL1G22420	Ag004G313630
OG0001158	AL1G36840	Ag003G241390
OG0001159	AL2G36790	Ag003G219730
OG0001159	AL4G37320, AL2G36780	Ag003G219740
OG0001160	AL1G63540	Ag001G001780
OG0001160	AL3G25350	Ag005G469170
OG0001161	AL3G35190	Ag005G443670, Ag005G442360
OG0001161	AL1G59540	Ag001G010660
OG0001164	AL8G39600, AL8G39540, AL8G39570, AL8G39590, AL8G39400	Ag008G727950, Ag008G727990, Ag008G728080, Ag006G510130
OG0001165	AL6G22040, AL6G22010	Ag007G607330, Ag007G607360
OG0001169	AL8G29310, AL8G29370	Ag003G290250, Ag008G688460, Ag008G690000
OG0001170	AL3G15750	Ag005G484070
OG0001170	AL6G39470	Ag007G636930
OG0001171	AL2G15540	Ag004G373820
OG0001172	AL5G13270	Ag008G662530
OG0001172	AL1G25650	Ag004G319120
OG0001173	AL7G26860	Ag007G619670
OG0001173	AL2G10690	Ag004G399590
OG0001174	AL3G22210	Ag005G474660
OG0001175	AL8G31800	Ag008G698260
OG0001176	AL8G43000	Ag008G733000
OG0001176	AL6G20950	Ag007G604920
OG0001177	AL6G18320, AL6G18280, AL6G18310	Ag007G600560
OG0001178	AL6G18140	Ag007G600270
OG0001178	AL8G37950	Ag008G725720, Ag008G725690, Ag008G725670, Ag008G725680
OG0001179	AL7G35590	Ag006G574110
OG0001179	AL9U10340	Ag001G039020
OG0001180	AL7G34460	Ag006G570220
OG0001180	AL8G14010	Ag002G103040
OG0001181	AL7G32180	Ag006G566890
OG0001181	AL6G48400	Ag002G138060, Ag002G134550
OG0001182	AL1G42770	Ag007G582580
OG0001183	AL7G15320	Ag003G286590
OG0001183	AL3G50690	Ag005G414160
OG0001184	AL5G44430	Ag001G095850
OG0001184	AL4G46020	Ag002G203750
OG0001185	AL5G44020	Ag001G095120
OG0001185	AL4G45610	Ag002G203300
OG0001186	AL5G41190	Ag001G090400
OG0001187	AL4G27730	Ag007G589410
OG0001187	AL1G15050	Ag004G303790
OG0001188	AL6G16550	Ag006G504540
OG0001188	AL4G24890	Ag001G003180, Ag007G593130
OG0001189	AL3G10500	Ag001G100580
OG0001189	AL6G25140	Ag007G614050
OG0001190	AL3G13850	Ag005G486330
OG0001190	AL6G29390	Ag007G631480
OG0001191	AL6G39580	Ag007G637060
OG0001191	AL3G15660	Ag005G484150
OG0001192	AL7G39010	Ag001G030940, Ag001G029590
OG0001192	AL3G17830	Ag005G480920
OG0001193	AL5G36820	Ag001G079120
OG0001193	AL4G37340	Ag002G183840
OG0001194	AL5G37220	Ag001G080130
OG0001194	AL3G19490	Ag005G478840
OG0001195	AL1G29660	Ag004G327380
OG0001195	AL2G32180	Ag003G239510
OG0001196	AL2G34950	Ag003G227660
OG0001196	AL1G31920	Ag004G332040
OG0001197	AL5G35620	Ag008G715480, Ag001G075470
OG0001198	AL6G39050	Ag003G225960, Ag003G226030, Ag003G225920, Ag003G226040, Ag007G636000
OG0001200	AL1G63280	Ag001G002520
OG0001200	AL1G63270	Ag001G002590, Ag001G002580
OG0001201	AL5G24320	Ag008G723680
OG0001201	AL5G28220	Ag008G690580
OG0001202	AL5G30340	Ag001G060360
OG0001203	AL5G22450, AL5G22430, AL5G22460	Ag001G083410
OG0001205	AL3G27600	Ag005G464330
OG0001207	AL7G39020	Ag001G029600, Ag001G030950
OG0001207	AL3G29840	Ag005G459790
OG0001208	AL1G56170	Ag001G021110
OG0001208	AL3G32200	Ag005G452970
OG0001209	AL1G56950	Ag001G019490, Ag001G018930
OG0001209	AL939U10010, AL3G32480	Ag005G451020
OG0001213	nbis-gene-1273, AL6G14840	Ag001G021790
OG0001214	AL433U10020	Ag004G367410, Ag001G070190, Ag002G167060, Ag006G526950, Ag003G212920, Ag004G351600
OG0001216	AL4G38880	Ag002G116190, Ag002G116210, Ag002G116130, Ag002G188590, Ag002G188550, Ag002G195510, Ag005G402450, Ag003G283250, Ag002G191210, Ag002G188630
OG0001217	AL7G40220	Ag005G465520
OG0001218	AL3G15300	Ag005G484660
OG0001218	AL3G15490	Ag005G484370
OG0001219	nbis-gene-773, nbis-gene-1368, nbis-gene-1367, nbis-gene-1373, nbis-gene-1374, nbis-gene-1372	Ag008G697600
OG0001220	AL6G33710	Ag008G714370
OG0001222	AL7G20900	Ag003G268120
OG0001223	AL7G17440	Ag003G273790
OG0001224	AL1G19690, AL1G19700	Ag004G309570
OG0001224	AL1G66020	Ag004G366390
OG0001225	AL5G15800, AL5G15810, AL5G15770	Ag008G667510, Ag004G374180
OG0001227	AL3G20820	Ag005G476860
OG0001227	AL6G12110	Ag006G494080
OG0001228	AL4G19030	Ag002G174110, Ag001G081960
OG0001229	AL8G32760, nbis-gene-2158	Ag004G384940, Ag004G385000, Ag004G385040, Ag004G384980, Ag004G385090, Ag004G384970
OG0001230	AL8G38540	Ag008G726560
OG0001230	AL6G17650	Ag006G507850
OG0001231	AL8G38650	Ag008G726750
OG0001231	AL6G17550	Ag006G507570
OG0001232	AL7G35270	Ag006G572620
OG0001233	AL7G30610	Ag006G550770
OG0001233	AL6G46660	Ag003G263830, Ag003G263190, Ag008G694510, Ag002G143510
OG0001234	AL2G35400	Ag003G226160
OG0001235	AL3G50270	Ag005G416000
OG0001235	AL7G15720	Ag003G285490
OG0001236	AL7G40480	Ag001G034230
OG0001236	AL4G27680	Ag007G589320
OG0001237	AL371U10010, AL4G45110	Ag002G202710
OG0001237	AL5G43660, AL1G53600	Ag001G094450
OG0001238	AL4G45010	Ag002G202580
OG0001238	nbis-gene-1405	Ag001G094230
OG0001239	AL5G42150	Ag001G091800
OG0001239	AL4G43040	Ag002G198750
OG0001240	AL462U10020	Ag002G197860
OG0001240	AL4G42530	Ag002G197900
OG0001241	AL4G42440	Ag002G197710
OG0001241	AL4G42430	Ag002G197700, Ag002G197690
OG0001242	AL6G12610	Ag006G495160
OG0001242	AL3G21040	Ag005G476520
OG0001243	AL6G31090	Ag008G719290
OG0001243	AL2G25810	Ag004G356370
OG0001245	AL5G31280	Ag001G063060
OG0001245	AL8G45090	Ag004G353940, Ag001G099840
OG0001246	AL1G11640	Ag004G299200
OG0001246	AL6G51730	Ag006G513920
OG0001247	AL6G50090	Ag007G599530
OG0001247	AL3G18950	Ag005G479440
OG0001248	AL4G23700, AL4G23760, AL4G23750, AL41U10040	Ag007G594610, Ag007G594590
OG0001249	AL4G35700	Ag008G725240, Ag002G176480
OG0001250	AL6G26320	Ag007G618640
OG0001250	AL3G11230	Ag005G490080
OG0001251	AL3G11590	Ag005G489640
OG0001251	AL6G26640	Ag007G619870
OG0001252	AL3G11960	Ag005G489110
OG0001253	AL3G16240	Ag005G483320
OG0001253	AL6G39060	Ag007G636010
OG0001254	AL1G59310	Ag001G011150
OG0001254	AL4G31950	Ag002G164800
OG0001255	AL2G38780	Ag003G214230
OG0001255	AL1G29370	Ag004G326380
OG0001256	AL2G32420	Ag003G238910
OG0001256	AL1G29820	Ag004G327570
OG0001257	AL2G32960	Ag003G237120
OG0001257	AL1G30170	Ag004G328540
OG0001258	AL1G31360	Ag004G331020
OG0001258	AL2G34550	Ag003G229650
OG0001259	AL1G32300	Ag004G332360, Ag004G332350
OG0001259	AL2G35200	Ag003G226980
OG0001261	AL1G26210	Ag004G320170
OG0001261	AL5G12430	Ag008G661310
OG0001262	AL1G26120	Ag004G319930
OG0001262	AL1G26130	Ag004G320000, Ag004G319960, Ag004G319980, Ag004G319970, Ag004G319950
OG0001263	AL1G23520	Ag004G315430
OG0001263	AL2G13190	Ag004G380670
OG0001264	AL3G25240	Ag005G469500
OG0001264	AL1G63620	Ag001G001400
OG0001265	nbis-gene-287	Ag001G010710
OG0001265	AL3G35110	Ag005G442590, Ag004G323700, Ag005G443740
OG0001267	AL8G15480	Ag002G127560, Ag002G127540
OG0001268	AL1G39030	Ag003G244900
OG0001269	AL4G30200, AL1G43160	Ag007G582170, Ag007G582150
OG0001274	AL4G14670	Ag006G524860
OG0001274	AL7G21040	Ag003G267830
OG0001275	AL1G33590	Ag004G334620
OG0001275	AL7G16130	Ag003G283500
OG0001276	AL2G15180	Ag004G374720
OG0001276	AL1G22120	Ag004G313130
OG0001277	AL2G14690	Ag004G376210, Ag004G376220
OG0001278	AL5G17130, AL3G42720	Ag008G670840
OG0001279	AL6G25900	Ag007G617160
OG0001279	AL3G10940	Ag005G490470
OG0001280	AL5G18970	Ag007G605820, Ag001G076190
OG0001280	AL7G50740	Ag005G473800
OG0001281	AL2G10780	Ag004G398000
OG0001281	AL7G47670	Ag005G451920, Ag004G354800, Ag004G322220, Ag007G656770
OG0001282	AL7G26820, AL8G32710	Ag008G700450
OG0001283	AL5G38390	Ag001G083190
OG0001283	AL4G39180	Ag002G189930
OG0001284	AL8G23970, AL7G42960	Ag001G040840
OG0001284	AL8G39900	Ag008G728600
OG0001285	AL8G29800	Ag001G057310
OG0001286	AL8G30530	Ag008G694390
OG0001287	AL8G30780	Ag008G694960
OG0001288	AL6G22080	Ag007G607390
OG0001288	AL6G37250	Ag008G720640
OG0001289	AL7G37150	Ag006G577550
OG0001289	AL8G10800	Ag002G114270, Ag002G121960, Ag002G121970
OG0001290	AL6G45440	Ag002G146290
OG0001290	AL7G29740	Ag006G546920, Ag006G542020
OG0001291	AL1G47200	Ag006G540940
OG0001292	AL4G24820	Ag007G593410
OG0001292	AL3G10870	Ag005G490570
OG0001293	AL5G41140	Ag001G090280
OG0001294	AL4G11820	Ag006G522710
OG0001294	AL7G12200	Ag003G293330
OG0001295	AL7G52990	Ag001G025870
OG0001295	AL7G52810	Ag003G226770
OG0001296	AL4G12270	Ag006G523450
OG0001296	AL4G31180	Ag002G206170, Ag008G733080
OG0001297	AL6G48250	Ag002G138870, Ag002G138840
OG0001298	AL7G41050	Ag001G035220
OG0001299	AL4G46230	Ag002G204170
OG0001299	AL4G46210	Ag002G204150
OG0001300	AL5G39810	Ag001G086290
OG0001300	AL4G40800	Ag002G193700
OG0001301	AL5G39550	Ag001G085710
OG0001301	AL4G40590	Ag002G193350
OG0001302	AL5G29880	Ag001G058740
OG0001303	AL6G53400	Ag006G519040
OG0001303	AL1G10320	Ag004G297490
OG0001304	AL1G18180	Ag004G307690
OG0001304	AL4G22880	Ag007G595610
OG0001305	AL3G15980	Ag005G483870
OG0001305	AL6G39400	Ag007G636670
OG0001306	AL6G39100	Ag007G636130
OG0001306	AL3G16210	Ag005G483370
OG0001307	AL3G18790	Ag005G479630, Ag005G479620
OG0001308	AL5G33550	Ag001G069930
OG0001308	AL4G32430	Ag002G166650
OG0001309	AL4G34890	Ag002G174770
OG0001309	AL5G35020	Ag001G074030
OG0001310	AL1G29030	Ag004G325640
OG0001310	AL2G39290	Ag003G212510
OG0001311	AL6G40340, AL8G22540	Ag007G579540
OG0001312	AL8G21690	Ag007G643960
OG0001313	AL2G27110	Ag003G214010, Ag003G292230, Ag003G292240, Ag003G292260
OG0001314	AL3G25170	Ag005G469610
OG0001314	AL1G63750	Ag001G001240
OG0001315	AL3G28400	Ag005G462720
OG0001315	AL1G60850	Ag001G008290
OG0001316	AL1G54800	Ag001G026620
OG0001316	AL3G30490	Ag005G458010
OG0001317	AL3G33510	Ag001G015320, Ag005G447610
OG0001318	AL7G39230, nbis-gene-1846	Ag001G030180
OG0001318	AL7G39240	Ag001G031440, Ag001G030250
OG0001319	AL5G33850	Ag001G070950
OG0001320	AL4G33910, AL7G29940, AL7G29920	Ag004G399000, Ag006G503170, Ag006G503570, Ag006G503520, Ag006G503160, Ag006G503130, Ag006G512920, Ag006G505740, Ag006G506760, Ag001G036260, Ag001G054250, Ag007G650490, Ag005G403060, Ag007G650540, Ag007G650520, Ag006G505190, Ag006G503620, Ag006G505220, Ag006G500770, Ag004G316600, Ag004G316630, Ag004G316620
OG0001321	nbis-gene-1981, AL1G65050	Ag002G120660, Ag002G115790, Ag002G115770, Ag002G120670, Ag002G120680, Ag002G115760, Ag002G120690, Ag002G115750, Ag002G120650
OG0001323	AL8G41770	Ag008G731160, Ag008G731200
OG0001328	AL7G20620	Ag003G268990
OG0001328	AL4G15070	Ag006G527520
OG0001329	nbis-gene-821, nbis-gene-474, nbis-gene-489	Ag001G050370
OG0001330	AL3G50160	Ag005G416240
OG0001330	AL7G15840	Ag003G284980
OG0001331	AL1G66240	Ag003G259990
OG0001331	AL1G66210	Ag004G366660
OG0001332	AL2G17990, AL2G18010, AL2G17980	Ag004G367740
OG0001332	AL1G20370	Ag004G310650
OG0001333	AL1G21930	Ag004G312940
OG0001334	AL1G26960	Ag004G322000
OG0001334	AL5G10690	Ag008G659210, Ag008G658100
OG0001335	AL6G14190	Ag006G498270
OG0001335	AL3G21970	Ag005G475210
OG0001336	AL3G23260	Ag005G472360
OG0001336	AL6G16480	Ag006G504280
OG0001337	AL8G29230	Ag008G688300, Ag008G690130
OG0001337	AL7G25170	Ag003G252180
OG0001338	AL8G29220	Ag008G690140, Ag008G688290
OG0001339	AL8G31240	Ag008G696250
OG0001340	AL6G21800, AL6G21810	Ag007G606800
OG0001341	AL6G36730	Ag008G721420
OG0001341	AL6G21420	Ag007G605860
OG0001342	AL6G20500	Ag007G604080
OG0001342	AL8G42730	Ag008G732590
OG0001343	AL6G18700	Ag007G601080
OG0001343	AL6G34470	Ag008G724240
OG0001344	AL7G36900	Ag006G577190
OG0001344	AL8G11280	Ag002G115550, Ag002G120810
OG0001345	AL7G35450	Ag006G573830
OG0001345	AL8G12860	Ag002G105840
OG0001346	AL7G33310	Ag006G562080
OG0001346	AL7G33320	Ag006G562050
OG0001347	AL7G29650	Ag001G100170
OG0001348	AL3G50720	Ag005G414310
OG0001349	AL3G51250	Ag005G412880
OG0001349	AL7G14860	Ag003G288330
OG0001350	AL4G12170	Ag006G523310
OG0001350	AL7G12700	Ag003G292450
OG0001351	AL7G43730, AL7G43740	Ag008G692420
OG0001353	AL8G13350	Ag002G104140
OG0001353	AL7G35010	Ag006G572220
OG0001353	AL8G13220	Ag002G104330
OG0001354	AL5G45400	Ag001G097810
OG0001354	AL4G47050	Ag002G205960
OG0001355	AL5G43530	Ag002G192810, Ag004G391720, Ag001G094260
OG0001355	AL4G45030	Ag002G202600
OG0001356	AL5G40440	Ag001G088580
OG0001357	AL5G39580	Ag001G085760
OG0001357	AL4G40550	Ag002G193300
OG0001358	AL4G40190	Ag002G191930
OG0001358	AL5G39110	Ag001G085020
OG0001359	AL5G24870	Ag001G051540
OG0001359	AL8G36320	Ag008G709910
OG0001360	AL1G15120	Ag004G303910
OG0001360	AL4G27610	Ag007G589230
OG0001361	AL4G28130	Ag007G589050
OG0001361	AL1G14520	Ag004G302990
OG0001362	AL3G34690	Ag005G444610
OG0001362	AL4G20610	Ag007G597690
OG0001363	AL7G25800	Ag007G607980
OG0001364	AL6G25890	Ag007G617140
OG0001364	AL3G10930	Ag005G490500, Ag005G490480
OG0001365	AL3G11020	Ag005G490390
OG0001365	AL6G25970	Ag007G617430
OG0001366	AL6G26830	Ag007G620560
OG0001366	AL3G11790	Ag005G489320
OG0001367	AL8G23450, AL3G17520	Ag005G481380
OG0001368	AL4G17170	Ag001G006320, Ag002G161550
OG0001368	AL6G24960	Ag002G164630
OG0001370	AL1G34070	Ag004G335860
OG0001370	AL2G36730	Ag003G219980
OG0001371	AL1G38290, AL1G38270, AL1G38300	Ag006G511640
OG0001372	AL3G12720	Ag005G488090
OG0001372	AL6G28020	Ag007G624210
OG0001373	AL1G55490	Ag001G024310
OG0001373	AL3G31540	Ag005G455280
OG0001374	AL2G35170	Ag003G227090
OG0001374	AL1G32260	Ag004G332300
OG0001375	AL1G28360	Ag004G324750
OG0001375	AL2G40260	Ag003G210970
OG0001376	AL3G26180	Ag005G467830
OG0001376	AL1G62910	Ag001G003590
OG0001377	AL3G29580	Ag005G460210, Ag005G460220, Ag005G460140
OG0001377	AL3G29590	Ag005G460240, Ag005G459960
OG0001378	AL1G55070	Ag001G025310, Ag001G024910
OG0001378	AL3G30940	Ag005G457100
OG0001379	AL3G33660	Ag005G433760
OG0001379	AL1G58050	Ag001G015150
OG0001380	AL3G33740	Ag005G446840
OG0001381	nbis-gene-276	Ag004G314930
OG0001382	AL4G12160	Ag006G523210
OG0001382	AL7G12690	Ag001G089840
OG0001384	AL4G13140	Ag004G388230, Ag004G393310, Ag004G388350, Ag004G393370, Ag004G388270
OG0001384	AL4G13150	Ag006G564300, Ag006G564270, Ag006G564200
OG0001391	AL3G23900	Ag005G471520, Ag005G471490, Ag005G471510
OG0001392	AL7G16210	Ag003G283220
OG0001392	AL3G49450	Ag005G417600
OG0001393	AL3G50000	Ag005G416570
OG0001393	AL7G15900	Ag003G285320
OG0001395	AL7G26320, AL8G31530	Ag003G248450
OG0001395	AL8G31570	Ag008G696990
OG0001396	AL4G14410	Ag002G139930, Ag001G089620
OG0001397	AL1G21020	Ag004G311550
OG0001397	AL2G17450	Ag004G369260
OG0001398	AL5G10470	Ag008G659170, Ag008G658030
OG0001398	AL1G27030	Ag004G322320
OG0001399	AL4G15150, AL5G12000	Ag008G660940
OG0001399	AL1G26270	Ag004G320580
OG0001400	AL5G14290	Ag008G664230
OG0001400	AL1G24970	Ag004G317820
OG0001401	AL7G50390	Ag007G649510
OG0001401	AL6G26050	Ag007G617620
OG0001402	AL7G50640	Ag007G648970
OG0001403	AL2G12850	Ag004G381430
OG0001403	AL1G23720	Ag004G315750
OG0001404	AL1G23360	Ag004G315290
OG0001405	AL6G14540	Ag006G499140
OG0001405	AL3G22130	Ag005G474760
OG0001406	AL7G12710	Ag003G292440
OG0001406	AL6G38650	Ag004G343080
OG0001407	AL8G27350	Ag008G684220
OG0001407	AL7G24640	Ag003G253170
OG0001409	AL8G40830	Ag008G729870
OG0001409	AL6G19300	Ag007G601630
OG0001410	AL8G11590	Ag003G262850, Ag002G120020
OG0001410	AL7G36640	Ag006G576730
OG0001411	AL7G36220	Ag006G575480
OG0001412	AL7G34420	Ag006G569940
OG0001412	AL8G14070	Ag002G103010
OG0001413	AL7G31940	Ag006G567740, Ag006G567750
OG0001414	AL1G47760, AL8G14930	Ag006G540270
OG0001415	AL4G29650	Ag002G159660
OG0001415	AL1G42030	Ag007G583150
OG0001416	AL1G43370	Ag007G581940
OG0001417	AL7G14170	Ag003G289380
OG0001418	AL7G11130	Ag003G295250
OG0001418	AL4G10750	Ag006G521500
OG0001419	AL7G51610	Ag007G647650
OG0001419	AL5G37630	Ag001G081170
OG0001420	AL6G48220, AL6G48190	Ag002G138920
OG0001420	AL7G31890	Ag006G555900, Ag006G555880
OG0001422	AL3G15400	Ag005G484500
OG0001422	AL6G40010	Ag007G637440
OG0001423	AL364U10010, AL4G43850	Ag002G200290
OG0001423	AL5G42480	Ag001G092640
OG0001424	AL6G13350, AL6G13360	Ag006G496620
OG0001424	AL6G13340	Ag006G496610
OG0001425	AL5G21120	Ag008G678130
OG0001425	AL6G32250	Ag008G717570
OG0001426	AL2G27930	Ag004G350570
OG0001427	AL1G11070	Ag004G298430
OG0001428	AL1G12290	Ag004G299960
OG0001428	AL6G50610	Ag006G510260
OG0001429	AL6G50540	Ag006G510160
OG0001429	AL5G45470	Ag001G098000
OG0001430	AL1G13900	Ag004G302280
OG0001431	AL1G14530	Ag004G303000
OG0001431	AL4G28170	Ag007G589010
OG0001432	AL1G15800	Ag004G304890
OG0001432	AL5G34840, AL4G26850	Ag007G590910
OG0001433	AL1G16570	Ag004G305660
OG0001433	AL4G25870	Ag007G591900
OG0001434	AL84U10010	Ag006G502530, Ag006G502540, Ag007G594530, Ag007G594550
OG0001434	AL6G16010	Ag006G502770, Ag006G502790
OG0001435	AL1G18030	Ag004G307510
OG0001435	AL4G23220	Ag006G521960, Ag007G595260
OG0001436	AL6G28790	Ag007G626910
OG0001436	AL3G13400	Ag005G487020
OG0001437	AL6G29020	Ag007G628100
OG0001437	AL3G13610	Ag005G486760
OG0001438	AL6G40410	Ag007G637910
OG0001438	AL3G15040	Ag005G484840
OG0001439	AL2G33780	Ag003G233670
OG0001439	AL1G30900	Ag004G329980
OG0001440	AL1G34890	Ag004G337770
OG0001440	AL2G37640	Ag003G218090
OG0001441	AL2G31810	Ag003G240490
OG0001441	AL1G36070	Ag004G339720
OG0001442	AL2G30260	Ag004G344190
OG0001442	AL1G36800	Ag003G226090
OG0001443	AL2G28940	Ag004G348030
OG0001444	AL7G27600, AL7G27630	Ag007G585760, Ag007G585910, Ag007G585900, Ag007G585820, Ag007G585800
OG0001445	AL1G38340	Ag004G312470
OG0001446	AL8G37780	Ag008G725290
OG0001447	AL2G31790	Ag004G377480
OG0001447	AL2G31760	Ag003G240560
OG0001448	AL1G63110	Ag001G002970
OG0001448	AL3G25950	Ag005G468240
OG0001449	AL3G26620	Ag005G466030
OG0001449	AL1G62550	Ag001G004450
OG0001450	AL1G62540	Ag001G004470
OG0001451	AL1G61390	Ag001G007040
OG0001451	AL3G27800	Ag005G463930
OG0001452	AL1G61190	Ag001G007440
OG0001452	AL3G28080	Ag005G463470
OG0001453	AL3G28310	Ag005G462940
OG0001454	AL3G28540	Ag005G462450
OG0001454	AL1G60790	Ag001G008380
OG0001455	AL3G29620	Ag005G460110
OG0001456	AL1G24300, AL3G33650	Ag005G447360
OG0001456	AL1G58040	Ag001G015190
OG0001457	AL3G34030	Ag005G446320
OG0001457	AL1G58310	Ag001G014090
OG0001459	AL1G34370, AL1G34350, AL1G34380	Ag004G336380
OG0001460	AL2G30510	Ag005G485890
OG0001464	AL7G22400	Ag003G259130
OG0001464	AL3G48970	Ag005G407160
OG0001465	AL3G52750	Ag005G408040
OG0001465	AL7G22220	Ag003G260200
OG0001466	AL7G20480	Ag003G269760
OG0001469	AL6G50590	Ag007G611450
OG0001470	AL4G31780	Ag002G164510
OG0001471	AL2G15550	Ag004G373750
OG0001471	AL1G21920	Ag004G312930
OG0001472	AL1G26880	Ag004G321830
OG0001473	AL5G12010	Ag008G660970
OG0001473	AL1G26260	Ag004G320570
OG0001474	AL7G26980, AL7G26970	Ag004G314730, Ag004G314710
OG0001475	AL1G23220	Ag004G315140
OG0001475	AL2G13510	Ag004G379590
OG0001477	AL6G17420	Ag006G506990
OG0001478	AL3G20920	Ag005G476680
OG0001478	AL6G12320	Ag006G494520
OG0001479	AL5G42460, AL3G22490	Ag001G092540
OG0001480	AL7G28160	Ag007G598680
OG0001481	AL6G23820, AL3G40520, AL3G40540, AL3G40550	Ag003G276870, Ag003G263080, Ag002G125790, Ag002G130280, Ag003G227030, Ag007G611190, Ag007G611220, Ag003G263070, Ag007G611060
OG0001482	AL6G21680	Ag007G606260
OG0001482	AL6G36870	Ag008G721150
OG0001483	AL6G36550	Ag008G721680
OG0001483	AL6G21190	Ag007G605530
OG0001484	AL6G21160	Ag007G605450
OG0001484	AL6G36530	Ag008G721760
OG0001485	AL6G19560	Ag007G602040
OG0001485	AL8G41080	Ag008G730290
OG0001486	AL6G19280	Ag007G601610
OG0001487	AL6G34320	Ag008G724400
OG0001487	AL6G18610	Ag007G600860
OG0001488	AL7G36970	Ag006G577270
OG0001488	AL8G10980	Ag002G115010, Ag002G121280
OG0001489	AL6G47760	Ag002G140760
OG0001489	AL7G31390	Ag006G553560
OG0001490	AL1G42950	Ag007G582360
OG0001490	AL4G30060	Ag002G160180
OG0001491	AL5G24300, AL1G43830	Ag007G581350, Ag007G581360
OG0001492	AL7G11190	Ag003G295180
OG0001492	AL4G10800	Ag006G521570
OG0001493	AL1G53290	Ag007G584240
OG0001493	AL8G17690	Ag002G158160
OG0001494	AL6G47160	Ag002G143040
OG0001495	AL8G10490	Ag002G123350
OG0001495	AL8G10500	Ag002G123340
OG0001496	AL3G39360	Ag005G431170
OG0001496	AL7G43010	Ag001G038640
OG0001497	AL7G40420	Ag001G034180
OG0001497	nbis-gene-1854	Ag001G034190
OG0001498	AL1G13770	Ag004G302140
OG0001498	AL3G52110	Ag003G267300, Ag005G416490, Ag001G080440
OG0001500	AL4G46710	Ag002G204820
OG0001500	AL5G45020	Ag001G096910
OG0001501	AL4G46270	Ag002G204270
OG0001502	AL4G43750	Ag002G199890
OG0001502	AL5G42470	Ag001G092630
OG0001503	AL5G42080	Ag001G091690
OG0001503	AL4G42980	Ag002G198680
OG0001504	AL5G41510	Ag001G090880
OG0001504	AL4G42260	Ag002G197180
OG0001505	AL5G41350	Ag001G090690, Ag004G387710
OG0001505	AL4G41970	Ag002G196780
OG0001506	AL3G19880	Ag005G478370
OG0001506	AL6G10440	Ag006G491390
OG0001507	AL8G35630	Ag008G708090
OG0001508	AL8G40510	Ag008G729500
OG0001509	AL5G29670	Ag001G058080
OG0001509	AL8G43530	Ag008G733610
OG0001510	AL762U10020, AL4G26820	Ag007G590940
OG0001510	AL1G15810	Ag004G304900
OG0001511	AL1G18150	Ag004G307620
OG0001511	AL4G23080	Ag007G595470
OG0001512	AL1G18610	Ag004G308200
OG0001512	AL4G22370, AL152U10010	Ag007G596480
OG0001513	AL3G11000	Ag005G490410
OG0001514	AL3G13990	Ag005G486110
OG0001515	AL2G25290, AL3G16510, AL6G46290, AL6G46420	Ag005G482910
OG0001516	AL3G17670	Ag005G481240
OG0001517	AL5G37260	Ag001G080350
OG0001517	AL4G37850	Ag002G185210
OG0001518	AL4G37740	Ag002G184990
OG0001518	AL5G37170	Ag001G080020
OG0001519	AL2G33750	Ag003G233700
OG0001519	AL1G30890	Ag004G329970
