Orthogroup	Arabidopsis_lyrata_Rawat	Erysimum_linariifolium
OG0002051	AL1G33990	El002G105340
OG0002051	AL4G40630	El006G286880
OG0002052	AL1G34130	El002G105480
OG0002052	AL2G36850	El004G229650
OG0002053	AL1G34520	El002G105860
OG0002054	AL1G36550	El002G108190
OG0002054	AL2G30710	El004G223020
OG0002055	AL1G36950	El002G108520
OG0002055	AL2G30140	El004G222370
OG0002056	AL4G17050	El006G314210
OG0002056	AL7G19400	El003G150360
OG0002057	AL7G19860	El003G150830
OG0002058	AL4G13960	El006G317900
OG0002059	AL1G14940	El002G087320
OG0002059	AL4G27800	El006G299810
OG0002060	AL2G29600	El004G221830
OG0002060	AL6G25650	El001G066630
OG0002061	AL5G28620	El001G018870
OG0002062	AL299U10010, AL8G37720	El007G329810
OG0002063	AL6G17240	El001G074760
OG0002063	AL8G34540	El007G333100
OG0002064	AL5G31870	El001G021680
OG0002064	AL5G31890	El001G021690
OG0002065	AL2G31730	El004G214730, El004G214740
OG0002066	AL2G36950	El004G229800
OG0002066	AL1G34220	El002G105520
OG0002067	AL2G35890	El004G228660
OG0002067	AL2G35900	El004G228680
OG0002068	AL2G39720	El004G232710
OG0002069	AL2G39950	El004G232850
OG0002069	AL2G39930	El004G232820
OG0002070	AL1G28420	El002G100290
OG0002070	AL2G40170	El004G233050
OG0002071	AL3G25290	El005G249360
OG0002071	AL1G63560	El002G140580
OG0002072	AL1G63350	El002G140310
OG0002072	AL3G25480	El005G249510
OG0002073	AL1G61870	El002G138200
OG0002073	AL3G27190	El005G251220
OG0002074	AL7G38820	El003G171430
OG0002074	AL3G30030	El005G253920
OG0002075	AL3G48180	El005G278430
OG0002075	AL3G48240	El005G278420
OG0002076	AL1G64540	El002G141500
OG0002076	AL3G24420	El005G248550
OG0002077	AL1G59510	El002G135980
OG0002077	AL3G35170	El005G259250
OG0002078	AL5G36970	El001G026910
OG0002078	AL5G36950	El001G026900
OG0002079	AL6G35060, AL7G26710	El003G189980, El003G190010, El003G158210
OG0002080	AL7G39700	El003G172480, El003G172460
OG0002081	AL4G16800	El006G314720, El006G314680
OG0002082	AL5G35640	El001G025330
OG0002082	AL4G36110	El006G291320
OG0002083	AL4G39260, AL4G39240	El006G288110
OG0002084	AL4G18200, AL2G41290	El001G007980, El004G234290
OG0002094	AL7G16710	El003G147920
OG0002094	AL3G52400	El005G273560
OG0002095	AL3G50120	El005G274540
OG0002095	AL7G15880	El003G146990
OG0002096	AL1G66490	El004G206830
OG0002096	AL1G19860	El002G092130
OG0002097	AL2G17570	El004G202840
OG0002097	AL1G20840	El002G093120
OG0002098	AL2G15670	El004G200370
OG0002098	AL2G15980	El004G200750
OG0002099	AL1G21950	El002G094030
OG0002099	AL2G15530	El004G200220
OG0002100	AL1G25710	El002G097520
OG0002100	AL5G13230	El001G038540
OG0002101	AL7G48910	El003G191870
OG0002102	AL8G19000	El007G353200, El007G352390
OG0002102	AL3G18970	El005G242960
OG0002103	AL2G10250	El004G194030
OG0002103	AL7G47140	El003G193580
OG0002104	AL2G11310	El004G195460
OG0002104	AL7G48030	El003G192650
OG0002105	AL1G24310	El002G096250
OG0002105	AL2G12450	El004G196800
OG0002106	AL2G13590	El004G198260
OG0002106	AL1G23180	El002G095380
OG0002107	AL5G38030	El001G028010
OG0002107	AL4G38920	El006G288480
OG0002108	AL6G10890	El001G081440
OG0002108	AL3G20020	El005G244140
OG0002109	AL6G12480	El001G079700
OG0002109	AL3G21000	El005G244980
OG0002110	AL3G21050	El005G245030
OG0002110	AL1G29620, AL6G12620	El001G079580
OG0002111	AL6G13780	El001G078450
OG0002112	AL6G14680	El001G077370
OG0002114	AL7G24970	El003G156360
OG0002114	AL8G28260	El007G339520
OG0002115	AL7G25990	El003G157470
OG0002115	AL8G30620	El007G337190
OG0002116	AL8G31060	El007G336630
OG0002116	AL7G26210	El003G157700
OG0002117	AL6G23710	El001G068620
OG0002117	AL1G40640	El002G112830
OG0002118	AL6G22390	El001G069930
OG0002119	AL6G21290	El001G071180
OG0002119	AL6G36610	El001G054300
OG0002120	AL6G18970, AL6G19170	El001G073230
OG0002121	AL8G38570	El007G328990, El007G329010
OG0002121	AL6G17570	El001G074490
OG0002122	AL8G10590	El007G366550
OG0002122	AL7G37360	El003G169760
OG0002123	AL8G13110	El007G363710
OG0002123	AL7G35070	El003G167170
OG0002124	AL1G45720	El007G363370
OG0002124	AL7G34960	El003G167020
OG0002125	AL7G33660	El003G165630
OG0002125	AL8G14880	El007G361500
OG0002126	AL6G48780	El001G004750
OG0002126	AL7G32830	El003G164790
OG0002127	AL6G45220	El001G007950
OG0002127	AL7G29550	El003G161170
OG0002128	AL6G44680	El001G008460
OG0002128	AL1G47100	El002G120320
OG0002129	AL6G43620	El001G009630
OG0002129	AL1G48430	El002G122170
OG0002130	AL4G22510, AL4G22500	El004G208500
OG0002131	AL6G51020	El001G002660
OG0002131	AL1G12060	El002G084390
OG0002132	AL7G15590	El003G146700
OG0002132	AL5G19680, AL3G50530	El005G275040
OG0002133	AL7G15540	El003G146650
OG0002133	AL7G15420	El003G146550
OG0002134	AL7G15040	El003G146150
OG0002135	AL3G51970	El005G277020
OG0002135	AL7G14190	El003G145380
OG0002136	AL4G10340	El006G321450
OG0002136	AL7G10740	El003G142310
OG0002137	AL7G50790	El003G189310, El003G189280
OG0002137	AL7G50770	El003G189320
OG0002138	AL4G30310	El006G296960
OG0002138	AL4G30300	El006G296970
OG0002139	AL1G52740	El002G128630
OG0002139	AL8G17790	El007G358090
OG0002140	AL6G44110	El001G009130
OG0002141	AL7G42720	El003G176640
OG0002141	AL3G38840	El005G265930
OG0002142	AL5G45820	El001G035340
OG0002142	AL4G47640, AL7G30840	El003G162780
OG0002143	AL4G47540	El006G279840
OG0002144	AL4G41070	El006G286500
OG0002144	AL4G41090	El006G286490
OG0002145	AL4G40440	El006G287090
OG0002145	AL5G39680	El001G029530
OG0002146	AL5G22920	El001G013180
OG0002146	AL6G33660	El001G057700
OG0002147	AL8G36440	El007G331070
OG0002147	AL8G36430	El007G331080
OG0002148	AL5G25260	El007G331440
OG0002148	AL8G36130	El001G015630
OG0002149	AL8G40170	El007G327490
OG0002150	AL5G30200	El001G020150
OG0002150	AL8G44090	El007G323530
OG0002151	AL8G44700	El007G322920
OG0002151	AL3G51730	El005G276810
OG0002152	AL6G52810	El001G000740
OG0002152	AL1G10550	El002G082860
OG0002153	AL1G10650	El002G083030
OG0002153	AL6G52960	El001G000610
OG0002154	AL8G15930	El007G360140
OG0002155	AL1G13820	El002G086120
OG0002156	AL4G28830	El006G298820
OG0002156	AL3G39390	El005G267200
OG0002157	AL1G15000	El002G087390
OG0002158	AL7G25110	El003G156540
OG0002158	AL7G25100	El003G156530
OG0002159	AL3G12000	El005G236860
OG0002159	AL6G27130	El001G065090
OG0002160	AL3G13100	El005G237760
OG0002160	AL6G28560	El001G063470
OG0002161	AL3G14660	El005G239230
OG0002162	nbis-gene-766	El005G265250
OG0002162	AL3G16960	El005G241270
OG0002163	nbis-gene-670, AL5G26500, AL4G22460	El005G242000
OG0002164	AL8G22850	El007G346030
OG0002164	AL3G17880	El005G242060
OG0002165	AL6G24110	El001G068190
OG0002165	AL3G19540	El005G243620
OG0002166	AL5G37430	El001G027410
OG0002166	AL4G38200	El006G289200
OG0002167	AL4G36950	El006G290320
OG0002167	AL4G36940	El006G290330, El006G290370, El006G290350
OG0002168	AL4G31970	El006G295090
OG0002168	AL5G33020	El001G022720
OG0002169	AL4G35900	El006G291560
OG0002169	AL5G35230	El001G024910
OG0002170	AL2G40560	El004G233510
OG0002171	AL1G28320	El002G100200
OG0002171	AL2G40340	El004G233240
OG0002172	AL1G28340	El002G100220
OG0002172	AL2G40320	El004G233220
OG0002173	AL2G39680	El004G232670
OG0002174	AL1G31840	El002G103540
OG0002175	AL2G36690	El004G229480
OG0002175	AL1G33980	El002G105330
OG0002176	AL1G36090	El002G107680
OG0002176	AL1G36100	El002G107690
OG0002177	AL1G36560	El002G108210
OG0002177	AL2G30620	El004G222920
OG0002178	AL2G29900	El004G222120
OG0002178	AL1G37170	El002G108710
OG0002179	AL2G26310	El004G218050, El004G211970
OG0002179	AL1G40540	El002G112740
OG0002181	AL7G16870	El003G148070
OG0002182	AL8G37900	El007G329620
OG0002182	AL1G25740	El002G097780, El002G097610
OG0002183	AL1G25210	El002G097090
OG0002183	AL5G14650	El001G040130
OG0002184	AL1G44280	El002G116610
OG0002184	AL1G23120	El002G095320
OG0002185	AL1G23090	El002G095300
OG0002185	AL2G13640	El004G198340
OG0002186	AL2G15560	El004G200250
OG0002186	AL1G21910	El002G093990
OG0002187	AL1G20330	El002G092580
OG0002187	AL3G19560	El005G243640
OG0002188	AL1G15380	El002G087750
OG0002188	AL1G15430	El002G087770
OG0002189	AL3G22910	El005G246920
OG0002189	AL6G15940	El001G076220
OG0002190	AL3G22110	El005G246030
OG0002190	AL6G14520	El001G077670
OG0002191	AL3G34790	El005G258840
OG0002191	AL6G38060	El001G051810
OG0002192	AL5G22260	El001G012460
OG0002192	AL6G33120	El001G058390
OG0002193	AL6G31530	El001G060150
OG0002194	AL1G64260	El002G141260
OG0002194	AL3G24660	El005G248840
OG0002195	AL3G25300	El005G249370
OG0002195	AL1G63550	El002G140570
OG0002196	AL7G39330	El003G172030
OG0002196	AL3G29630	El005G253460
OG0002197	AL3G30510	El005G254360
OG0002197	AL1G54820	El002G131660
OG0002198	AL3G31150	El005G255000
OG0002198	AL1G55250	El002G132290
OG0002199	AL3G31330	El005G255290
OG0002199	AL1G55300	El002G132350
OG0002200	AL3G52230, AL3G52220	El005G273420
OG0002201	AL3G49790	El005G274290
OG0002201	AL3G49800	El005G274300
OG0002202	AL3G50060	El005G274610
OG0002202	AL3G50050	El005G274620
OG0002203	AL6G15560	El001G076570
OG0002203	AL3G53170	El005G277210
OG0002205	AL1G57670	El002G134400
OG0002205	AL1G57740, AL1G57690	El002G134410
OG0002206	AL1G57120, AL1G57150	El002G133890
OG0002206	AL3G32680	El005G256700
OG0002207	AL7G39280	El003G172010
OG0002207	AL7G39270	El003G172000
OG0002208	AL5G38480	El001G028410
OG0002209	AL4G44610	El006G282980
OG0002209	AL5G43200	El001G032860
OG0002210	AL7G16970, AL7G17490	El007G357870
OG0002213	nbis-gene-531, nbis-gene-530, AL2G22430	El004G213520, El004G213470
OG0002213	nbis-gene-529	El004G213490, El004G213580, El004G213480
OG0002214	AL1G32780, AL2G32670	El004G210820, El007G350870, El004G229520, El004G204400, El007G354720
OG0002219	AL3G48380	El005G278280
OG0002219	AL7G23260	El003G154520
OG0002220	AL7G22890	El003G153860
OG0002221	AL3G48670	El005G278030
OG0002222	AL7G19340	El003G150310
OG0002222	AL6G37230	El001G052770
OG0002223	AL7G21090	El003G151970
OG0002224	AL4G15170	El006G316730
OG0002224	AL7G20460	El003G151380
OG0002225	AL7G19870	El003G150840
OG0002225	AL4G16560	El006G315160
OG0002226	AL7G17340	El008G370540, El003G148490
OG0002226	AL3G47260	El005G272910
OG0002227	AL7G15830	El003G146960
OG0002227	AL3G50180	El005G274490
OG0002228	AL4G31440	El006G295710
OG0002228	AL1G46580	El002G119770
OG0002229	AL5G10330	El001G036150
OG0002229	AL1G27100	El002G099100
OG0002230	AL5G11150	El001G036960
OG0002231	AL1G25320	El002G097200
OG0002232	AL5G14700	El001G040240
OG0002232	AL1G25220	El002G097100
OG0002233	AL5G18410, AL5G18390	El001G044040
OG0002234	AL7G50540	El003G189650
OG0002234	AL5G18710	El001G044400
OG0002235	AL2G24950, AL247U10010	El004G216260
OG0002236	AL7G46180	El003G185480
OG0002237	AL7G45600	El003G184770
OG0002237	AL2G22800	El004G214050
OG0002238	AL2G10640	El004G194400
OG0002238	AL7G47610	El003G193230
OG0002239	AL2G13460	El004G198120
OG0002239	AL1G23260	El002G095430
OG0002240	AL8G33170	El007G334560
OG0002240	AL7G27060	El003G158530
OG0002241	AL6G10960	El001G081350
OG0002241	AL3G20070	El005G244200
OG0002242	AL3G21540	El005G245530
OG0002242	AL6G13680	El001G078550
OG0002243	AL7G40190	El003G173100
OG0002243	AL2G41470	El004G234460
OG0002244	AL8G40010	El007G327650
OG0002244	AL3G23320	El005G247440
OG0002245	AL7G28000	El003G159480
OG0002245	AL8G25520	El007G342810
OG0002246	AL604U10010, AL8G26170	El007G341840
OG0002246	AL8G26160	El007G341890, El007G341850
OG0002247	AL8G26310	El007G341700
OG0002247	AL7G27650	El003G159070
OG0002248	AL8G29870	El007G337910
OG0002248	AL7G25560	El003G157050
OG0002249	AL8G30570	El007G337230
OG0002249	AL7G25940	El003G157420
OG0002250	AL8G31490	El007G336210
OG0002250	AL7G26300	El003G157820
OG0002251	AL8G31910	El007G335860
OG0002251	AL7G26520	El003G158040
OG0002252	AL8G33610	El007G334040
OG0002252	AL7G27240	El003G158680
OG0002253	AL6G23690	El001G068650
OG0002253	AL1G40650	El002G112860
OG0002254	AL6G30920	El001G060910
OG0002254	AL6G23110	El001G069200
OG0002255	AL6G38140	El001G051670
OG0002255	AL6G22790	El001G069520
OG0002256	AL8G13060	El007G363770
OG0002256	AL7G35140	El003G167250
OG0002257	AL7G31310	El003G163270
OG0002257	AL7G31320	El003G163280
OG0002258	AL1G44980	El002G117560
OG0002258	nbis-gene-1081	El006G296290
OG0002259	AL7G14740	El003G145880
OG0002259	AL7G14760	El003G145890
OG0002260	AL7G30890, AL1G48270, AL1G48290	El001G010470
OG0002261	AL7G13930	El003G145190
OG0002262	AL7G13580	El003G144880
OG0002262	AL4G13180	El006G318710
OG0002263	AL7G11990	El003G143360
OG0002263	AL4G11690	El006G320120
OG0002264	AL4G10150	El006G321640, El006G297160
OG0002264	AL7G10570	El003G142130
OG0002265	AL7G51130	El003G189110
OG0002265	AL5G19430	El001G045450
OG0002266	AL8G18280	El007G357680
OG0002266	AL1G53390	El002G129390
OG0002267	AL7G42910	El003G180880
OG0002267	AL3G39150	El005G266960
OG0002268	AL3G37920	El005G264580
OG0002268	AL7G41850	El003G175120
OG0002269	AL7G41580	El003G174860
OG0002269	AL3G37470	El005G263150
OG0002270	AL3G37250	El005G262350
OG0002270	AL7G41430	El003G174600
OG0002271	AL3G36390	El005G260990
OG0002271	AL7G40640	El003G173930
OG0002272	AL7G39950	El003G172740
OG0002273	AL5G43220	El001G032880
OG0002273	AL4G44640	El006G282950
OG0002274	AL4G43240	El006G284460
OG0002274	AL5G42260	El001G031790
OG0002275	AL4G43030	El006G284670
OG0002276	AL4G43020	El006G284680
OG0002276	AL5G42130	El001G031600
OG0002277	AL5G39520	El001G029360
OG0002277	AL4G40620	El006G286890
OG0002278	AL5G38940	El001G028850
OG0002278	AL4G40050	El006G287540
OG0002279	AL6G10660	El001G081630
OG0002279	AL3G12790	El005G237470
OG0002280	AL5G23360	El001G013710
OG0002280	AL6G34040	El001G057330
OG0002281	AL5G23410	El001G013790
OG0002281	AL6G34070	El001G057290
OG0002282	AL8G36890	El007G330640
OG0002282	AL8G36920	El007G330630
OG0002283	AL8G42950	El007G324760
OG0002284	AL1G10860	El002G083260
OG0002285	AL1G13410, AL1G13160	El002G086190
OG0002286	AL1G13450	El002G085680
OG0002286	AL8G15890	El007G360160
OG0002287	AL1G15470	El002G087810
OG0002287	AL4G27210	El006G300410, El006G300400
OG0002288	AL4G26330	El006G301350
OG0002288	AL1G16180	El002G088600
OG0002289	AL1G17650, AL1G17620	El002G090020, El002G090050
OG0002290	AL4G21120	El006G307480
OG0002290	AL1G18830	El002G091150
OG0002291	AL7G18530	El003G149630
OG0002291	AL4G18660	El006G312770
OG0002292	AL6G25380	El001G066870
OG0002292	AL3G10610	El005G235470
OG0002293	AL3G11220	El005G236150
OG0002293	AL6G26310	El001G065990
OG0002294	AL6G27140	El001G065080
OG0002294	AL3G12010	El005G236870
OG0002295	AL6G27380	El001G064580
OG0002295	AL3G12180	El005G237020
OG0002296	AL6G27740	El001G064230
OG0002296	AL3G12390	El005G237220
OG0002297	AL6G27820	El001G064150
OG0002297	AL3G12440	El005G237270
OG0002298	AL6G28640	El001G063320
OG0002298	AL3G13170	El005G237820
OG0002299	AL6G38920	El001G050710
OG0002299	AL88U10030, AL3G16390	El005G240660
OG0002300	AL3G17850	El005G242040
OG0002300	AL8G22900	El007G345980, El007G345990
OG0002301	AL3G18100	El005G242210
OG0002301	AL8G22390	El007G346550
OG0002302	AL4G33420	El006G293460
OG0002302	AL1G31250, AL1G59070, AL5G34230	El001G023920
OG0002303	AL2G40980	El004G233970
OG0002303	AL1G27860	El002G099780
OG0002304	AL1G28430	El002G100300
OG0002304	AL2G40140	El004G233040
OG0002305	AL2G39850	El004G232750
OG0002305	nbis-gene-93	El002G100420
OG0002306	AL1G28840	El002G100650
OG0002306	AL2G39490	El004G232480
OG0002307	AL1G31190	El002G102920
OG0002308	AL1G34120	El002G105470
OG0002308	AL2G36810	El004G229620
OG0002309	AL1G35070	El002G106340
OG0002309	AL2G37820, AL142U10020	El004G230680
OG0002310	AL1G35380, AL1G35190	El002G106460
OG0002310	AL2G37970	El004G230850
OG0002311	AL1G37630	El002G109270
OG0002311	AL2G29580	El004G221800
OG0002312	AL1G37950	El002G109510
OG0002312	AL2G29450	El004G221700
OG0002313	AL1G39440	El002G110910
OG0002313	AL2G28180	El004G220160
OG0002314	AL1G40570	El002G112760
OG0002314	AL2G26270	El004G217990
OG0002315	AL7G21720	El003G152630
OG0002315	AL4G13830	El006G318080
OG0002316	AL1G19400	El002G091710
OG0002316	AL1G65290	El004G209540
OG0002317	AL7G46960	El002G090590
OG0002318	nbis-gene-316, nbis-gene-315, AL1G64270	El002G141270
OG0002319	AL1G12160	El002G084470
OG0002320	nbis-gene-1675	El001G001260
OG0002320	AL1G11100	El002G083470
OG0002321	AL3G24150	El005G248290
OG0002321	AL6G24160	El001G068110
OG0002322	AL6G15100, AL22U10060	El001G077020, El001G078150
OG0002325	AL3G24900	El005G249080
OG0002325	AL1G64030	El002G141030
OG0002326	AL3G25230	El005G249320
OG0002326	AL1G63680	El002G140680
OG0002327	AL1G62390	El002G139200
OG0002327	AL3G26710	El005G250670
OG0002328	AL3G28350	El005G252340
OG0002328	AL1G60940	El002G137520, El002G137510
OG0002329	AL3G31550	El005G255500
OG0002329	AL1G55500	El002G132570
OG0002330	AL1G56000	El005G255710, El002G133030
OG0002331	AL3G35030	El005G259080
OG0002331	AL1G59390	El002G135840
OG0002333	AL7G16810	El003G148020
OG0002333	AL3G47480	El005G273120
OG0002334	AL3G53790	El005G279220
OG0002334	AL7G24320	El003G155660
OG0002335	AL1G60420	El002G136920
OG0002335	AL3G28800	El005G252850
OG0002336	AL3G28820	El005G252870
OG0002337	AL5G33130	El001G022820
OG0002337	AL4G32070	El006G294940
OG0002338	AL5G37410	El001G027390
OG0002338	AL4G38110	El006G289280
OG0002339	AL4G39400	El006G287990
OG0002339	AL5G38580	El001G028500
OG0002340	AL5G24900	El001G015300
OG0002341	AL6G48040, AL6G48030	El001G005430
OG0002343	AL4G20430, AL5G25940	El001G016220, El001G016230, El006G306060
OG0002343	AL5G26390	El006G306070
OG0002344	AL8G32680	El007G335100
OG0002345	AL1G37580	El002G109230
OG0002346	AL1G59750, AL5G29750, AL5G12740, AL2G22220, AL1G50250, AL9U11440, AL4G20690, AL1G50730	El005G262210, El001G077870, El006G310340
OG0002348	AL3G53710	El005G279150
OG0002348	AL7G24170	El003G155500
OG0002349	AL7G24000	El003G155320
OG0002349	AL3G53420	El005G278880
OG0002350	AL7G23310	El003G154580
OG0002350	AL3G48360	El005G278330
OG0002351	AL4G14110	El006G317660
OG0002352	AL4G14770	El006G317030
OG0002352	AL7G20860	El003G151730
OG0002353	AL7G16050	El003G147220
OG0002353	AL7G16060	El003G147230
OG0002354	AL1G49630	El002G118680
OG0002354	AL4G31690	El006G295420
OG0002355	AL3G15700	El005G240150
OG0002356	AL1G20260	El002G092510
OG0002356	AL2G18190	El004G204590
OG0002357	AL5G39590	El001G029440
OG0002357	AL1G21290, AL3G43770	El002G093460
OG0002358	AL1G26660	El002G098690
OG0002359	AL1G26500	El002G098550
OG0002359	AL5G11460	El001G037270
OG0002361	AL7G49020	El003G191760
OG0002361	AL5G16650	El001G042240
OG0002362	AL5G17050	El001G042600
OG0002362	AL7G49370	El003G191330
OG0002363	AL5G17510	El001G043020
OG0002363	AL7G49660	El003G190900
OG0002364	AL2G23100	El004G214540
OG0002365	AL2G19730	El004G211800
OG0002365	nbis-gene-1894	El003G183930
OG0002366	AL1G23990	El002G096130
OG0002366	AL2G12540	El004G196940
OG0002367	AL8G32280	El007G335420
OG0002367	AL7G26620	El003G158140
OG0002368	AL4G39030	El006G288350
OG0002368	AL5G38250	El001G028210
OG0002369	AL4G38460	El006G288930
OG0002369	AL4G38470	El006G288920
OG0002370	AL6G11320	El001G081010
OG0002370	AL3G20430	El005G244470
OG0002371	AL3G21140	El005G245120
OG0002372	AL3G22520	El005G246400
OG0002372	AL6G15220	El001G076930
OG0002373	AL6G16880	El001G075120
OG0002373	AL3G23760	El005G247940
OG0002374	AL7G28570	El003G160090
OG0002374	AL8G24020	El007G344620
OG0002375	AL7G30120	El003G161880
OG0002375	AL8G25580	El007G342740
OG0002376	AL8G26580	El007G341440
OG0002377	AL7G25330	El003G156770
OG0002377	AL1072U10010, AL8G29420	El007G338380
OG0002378	AL7G25700	El003G157250
OG0002378	AL8G30210	El007G337590
OG0002379	AL7G26870	El003G158370
OG0002379	AL8G32810	El007G334930
OG0002380	AL8G42320	El007G325470
OG0002380	AL6G20350	El001G072110
OG0002381	AL6G19320	El001G073090
OG0002381	AL8G40790	El007G326910
OG0002382	AL6G18170	El001G073990
OG0002382	AL665U10010, AL8G37910	El007G329610
OG0002383	AL8G12600	El007G364250
OG0002383	AL7G35800	El003G168040
OG0002384	AL8G15260, AL66U10020	El007G361090
OG0002385	AL6G49040	El001G004480
OG0002385	AL7G33040	El003G164980
OG0002386	AL7G31160	El003G163110
OG0002387	AL7G13660	El003G144930
OG0002387	AL4G13230	El006G318600
OG0002388	AL7G13340	El003G144440
OG0002388	AL4G12970	El006G318890
OG0002389	nbis-gene-1687	El003G141700
OG0002389	AL4G31490	El006G295660
OG0002389	AL4G31480	El006G295670
OG0002390	AL4G31360	El006G295770
OG0002390	AL1G46780	El002G119960
OG0002391	AL6G44160	El001G009080
OG0002392	AL7G33030	El003G164970
OG0002392	AL6G49010	El001G004530
OG0002393	AL9U11010	El003G178570
OG0002393	AL3G40640	El005G268410
OG0002394	AL9U10320	El003G177800
OG0002394	AL3G39890	El005G267670
OG0002395	AL9U10050	El003G177520
OG0002395	AL397U10010, AL3G39730	El005G267420
OG0002396	AL3G37960	El005G264740
OG0002396	AL7G41880	El003G175150
OG0002397	AL7G49210	El003G191590
OG0002397	AL5G16780	El001G042350
OG0002398	AL4G47740	El006G279660
OG0002398	AL5G45900	El001G035390
OG0002399	AL4G47260	El006G280110
OG0002400	AL4G45720	El006G281650
OG0002400	AL5G44210	El001G033850
OG0002401	AL4G45020	El006G282480
OG0002401	AL5G43510	El001G033130
OG0002402	AL4G44720	El006G282880
OG0002402	AL5G43240	El001G032900
OG0002403	AL2G33490	El004G226070
OG0002403	AL1G30390	El002G102140
OG0002404	AL4G42230	El006G285390
OG0002404	AL6G35420	El001G055880
OG0002406	AL6G32040	El001G059550
OG0002406	AL5G20980	El001G046900
OG0002407	AL6G32310	El001G059270
OG0002407	AL5G21230	El001G011720
OG0002408	AL5G23810	El001G014100
OG0002408	AL8G37140	El007G330400
OG0002409	AL8G35260, AL139U10010	El007G325410, El007G325420
OG0002410	AL5G29860	El001G019790
OG0002410	AL8G43720	El007G323940
OG0002411	AL1G29910	El002G101710
OG0002411	AL2G32520	El004G224930
OG0002412	AL1G10600	El002G082990
OG0002412	AL6G52760	El001G000800
OG0002413	AL6G53070	El001G000490
OG0002413	AL1G10780	El002G083180
OG0002414	AL1G12890	El002G085210
OG0002414	AL6G49930	El001G003680
OG0002415	AL8G16240	El007G359810
OG0002415	AL1G13780	El002G086080
OG0002416	AL349U10010	El007G359070
OG0002416	AL1G13940	El002G086280
OG0002417	AL4G28340	El006G299220
OG0002417	AL1G14650	El002G087020
OG0002418	AL4G27310	El006G300310
OG0002418	AL1G15440	El002G087780
OG0002419	AL1G16780	El002G089160
OG0002419	AL4G25470	El006G302060
OG0002420	AL4G22250	El006G305970
OG0002420	AL4G22230	El006G305960
OG0002421	AL4G22800	El006G306490
OG0002421	AL1G18670	El002G090990
OG0002422	AL8G30240	El007G337560
OG0002422	AL7G25730	El003G157280
OG0002423	AL3G11410	El005G236330
OG0002423	AL6G26430	El001G065800
OG0002424	AL6G26740	El001G065490
OG0002424	AL3G11700	El005G236560
OG0002425	AL3G11770	El005G236610
OG0002425	AL6G26810	El001G065410
OG0002426	AL6G26920	El001G065300
OG0002427	AL3G12730	El005G237400
OG0002427	AL6G28080	El001G063900
OG0002428	AL3G13800	El005G238480
OG0002428	AL6G29370	El001G062490
OG0002429	AL1G17260	El002G089590, El002G089600
OG0002430	AL3G19640	El005G243730
OG0002430	AL3G19620	El005G243680
OG0002431	AL5G36440	El001G026210
OG0002432	AL4G36760	El006G290540
OG0002432	AL4G36780	El006G290530
OG0002433	AL1G28020	El002G099940
OG0002434	AL1G28860	El002G100670
OG0002435	AL2G33400	El004G225960
OG0002435	AL1G30620	El002G102360
OG0002436	AL3G43350, AL1G34940	El002G106230
OG0002436	AL2G37700	El004G230570
OG0002437	AL1G35620	El002G107110, El002G106790
OG0002437	AL2G38340	El004G231310
OG0002438	AL1G35720	El002G107220
OG0002439	AL2G31830	El004G224090
OG0002439	AL1G36060	El002G107610
OG0002441	AL1G36600	El002G108260
OG0002441	AL2G30590	El004G222870
OG0002442	AL2G29810	El004G222020
OG0002442	AL1G37310	El002G108880
OG0002443	AL1G39020	El002G111370
OG0002443	AL2G28570	El004G220580
OG0002444	AL2G27620	El004G219550
OG0002444	AL1G39620	El002G111750
OG0002445	AL8G26390	El007G341620
OG0002445	AL7G27590	El003G159010
OG0002446	AL7G24980	El003G156370
OG0002446	AL8G28270	El007G339510
OG0002447	AL7G19150	El003G150140
OG0002447	AL4G17270	El006G313990
OG0002448	AL5G30730	El001G020660
OG0002448	AL1G52230	El002G127920
OG0002449	AL1G24560	El002G096500
OG0002449	AL5G15450	El001G041040
OG0002450	AL1G56130	El003G188190
OG0002450	AL1G18510	El002G090830
OG0002451	AL1G18380	El002G090710
OG0002451	AL4G21790	El006G305440
OG0002452	AL1G17510	El002G089860
OG0002452	AL4G24300	El006G303300
OG0002453	AL6G50340	El001G003270
OG0002453	AL1G12530	El002G084870
OG0002454	AL1G12520	El002G084860
OG0002454	AL6G50380	El001G003240
OG0002455	AL6G28060, AL3G44980	El001G063910
OG0002456	AL6G29100	El001G062680
OG0002456	AL6G29290	El001G062570
OG0002457	AL6G30800	El001G061050
OG0002458	AL5G35840, AL5G35830	El001G025520
OG0002459	AL5G27390	El001G017590, El001G017580
OG0002460	AL6G17300	El001G074710
OG0002460	AL8G34630	El007G333050
OG0002461	AL5G31780	El001G021600, El001G021590
OG0002462	AL2G36650	El004G229430
OG0002462	AL1G33930	El002G105270
OG0002463	AL2G36390	El004G229130
OG0002463	AL1G33520	El002G104950
OG0002464	AL2G34210	El004G226900
OG0002465	AL1G27480	El002G099440
OG0002465	AL2G41360	El004G234350
OG0002466	AL3G26200	El005G250120
OG0002466	AL1G62900	El002G139820
OG0002467	AL3G26610	El005G250560
OG0002468	AL1G61540	El002G138640
OG0002468	AL3G27620	El005G251690
OG0002469	AL7G39050	El003G171620
OG0002469	AL3G29830	El005G253690
OG0002470	AL3G30520	El005G254370
OG0002470	AL1G54830	El002G131670
OG0002471	AL3G30750	El005G254560
