Orthogroup	Arabidopsis_lyrata_Rawat	Odontarrhena_muralis
OG0001833	nbis-gene-1737	Om001G028080
OG0001834	AL1G27940	Om005G196550, Om008G335310
OG0001835	AL1G32960	Om005G202280
OG0001836	AL2G13650	Om005G224440
OG0001837	AL5G33880, AL6G14830	Om004G172140, Om004G172120, Om004G172110
OG0001838	AL7G37180	Om001G000280, Om001G000290
OG0001839	AL6G35100, AL6G35080	Om004G176150
OG0001844	AL7G23220	Om001G024060
OG0001844	AL3G48450	Om002G087490
OG0001845	AL7G21730	Om001G026200
OG0001846	AL3G49980	Om002G083690
OG0001846	AL7G15910	Om001G034280
OG0001847	AL7G37890	Om007G276170
OG0001847	nbis-gene-1836	Om007G276160
OG0001848	AL1G21260	Om005G189000
OG0001849	nbis-gene-403	Om005G222900
OG0001851	AL7G49090	Om007G317310
OG0001851	AL5G16710	Om006G271240
OG0001852	AL7G50700	Om007G315660
OG0001854	AL2G23720	Om005G214490
OG0001855	AL2G22180	Om005G215030
OG0001856	AL2G13430	Om005G224800
OG0001856	AL1G23280	Om005G191370
OG0001857	AL8G32910	Om006G249860
OG0001858	AL6G13790	Om004G173240
OG0001858	AL3G21630	Om002G053140
OG0001859	AL3G21960	Om002G053510
OG0001859	AL6G14150	Om004G172790
OG0001860	AL6G15500	Om004G171350
OG0001860	AL3G22720	Om002G054540
OG0001861	AL3G22830	Om002G054630
OG0001861	AL6G15720	Om004G171130
OG0001862	AL6G16650	Om004G170140
OG0001862	AL3G23420	Om002G055460
OG0001863	AL7G27900	Om007G286190
OG0001863	AL8G25780	Om003G112570
OG0001864	AL8G29860, AL7G25550	Om003G116120
OG0001865	AL8G30120	Om003G116350
OG0001865	AL7G25620	Om001G020020
OG0001866	AL8G30330	Om003G116580
OG0001866	AL7G25810	Om001G019420
OG0001867	AL8G33430, AL7G27200	Om006G249280
OG0001868	AL6G22890	Om004G162720
OG0001869	AL112U10040	Om006G231560
OG0001869	AL6G21070	Om004G165280
OG0001870	AL8G42960	Om006G231800
OG0001870	AL6G20930	Om004G165450
OG0001871	AL8G42740	Om006G232050
OG0001871	AL6G20490	Om004G166020, Om004G166050
OG0001872	AL8G42220	Om006G232620
OG0001873	AL6G19930	Om004G166720
OG0001873	AL6G19920	Om004G166730
OG0001874	AL6G19480	Om005G225550
OG0001875	AL6G18600	Om004G167850
OG0001875	AL6G34280	Om006G237550
OG0001876	AL8G37660	Om006G237180
OG0001876	AL6G18370	Om004G168040
OG0001877	AL6G17710	Om004G168890
OG0001878	AL8G10740	Om008G362390
OG0001879	AL7G36590	Om001G001080
OG0001879	AL8G11670	Om006G254640
OG0001880	AL7G36190, AL7G36200	Om001G001830
OG0001882	AL6G48580	Om008G354800
OG0001882	AL7G32460	Om001G007480
OG0001883	AL6G48350	Om008G354400
OG0001884	AL1G27290	Om005G195870
OG0001884	AL2G16880	Om004G129530
OG0001885	AL1G47510	Om001G012040
OG0001885	AL6G44390	Om008G347930
OG0001886	AL1G50430	Om001G014110
OG0001886	AL6G43070	Om008G343340
OG0001887	AL6G42320	Om008G344790
OG0001887	AL1G51130	Om001G014790
OG0001888	AL4G30030	Om007G289400
OG0001889	AL3G51600	Om002G085610
OG0001889	AL7G14490	Om001G036380
OG0001890	AL7G12650	Om001G039100
OG0001890	AL7G12670	Om001G039090
OG0001891	AL7G27040	Om001G017880
OG0001891	AL1G21540	Om005G214820, Om005G189340
OG0001892	AL8G17530	Om008G341440
OG0001892	AL1G41250	Om007G287980
OG0001893	AL6G44540	Om008G347990
OG0001894	AL4G37540	Om008G330850
OG0001895	AL5G19360	Om008G362420
OG0001896	AL7G24650	Om003G104810
OG0001896	nbis-gene-674	Om002G050160
OG0001897	AL3G38820	Om002G072930
OG0001897	AL7G42640	Om003G103660
OG0001898	AL3G37110	Om002G071120
OG0001898	AL7G41160	Om003G102430
OG0001900	AL7G47490	Om007G318210
OG0001901	AL4G47380	Om008G318990
OG0001901	AL5G45450	Om003G128330
OG0001902	AL5G44770, AL5G29590, AL5G44870	Om003G127700
OG0001902	AL4G46450	Om008G320130
OG0001903	AL5G42940	Om003G125620
OG0001903	AL4G44270	Om008G322500
OG0001904	AL4G44160	Om008G322650
OG0001905	AL5G42170	Om003G124360
OG0001905	AL4G43130	Om008G323900
OG0001906	AL5G41210	Om003G123560
OG0001906	AL4G41880	Om008G325480
OG0001907	AL5G27860	Om006G262480
OG0001908	AL8G40580, nbis-gene-1714	Om001G033950
OG0001909	AL1G11870, AL1G11860	Om005G179340
OG0001910	AL6G49370	Om007G293120
OG0001910	AL1G13170	Om005G180580
OG0001911	AL8G16930	Om007G278040
OG0001911	AL1G13970	Om005G181450
OG0001912	AL4G27370	Om007G279800
OG0001912	AL1G15320	Om005G182830
OG0001913	AL1G15620	Om005G183110
OG0001913	AL4G26990	Om007G280140
OG0001915	AL4G26440	Om007G280730
OG0001915	AL1G16130	Om005G183620
OG0001916	AL4G24290	Om007G282370
OG0001917	AL1G17950	Om005G185570
OG0001918	AL4G19450	Om005G205290
OG0001918	AL4G19430	Om005G197370
OG0001919	AL6G25090	Om007G301400
OG0001919	AL3G10450	Om002G042440
OG0001920	AL6G27330	Om007G298360
OG0001920	AL3G12140	Om002G044080
OG0001921	AL6G27370	Om007G298300
OG0001921	AL3G12190	Om002G044130
OG0001922	AL3G16290	Om002G047840
OG0001922	AL6G38980	Om007G294100
OG0001923	nbis-gene-1118, AL4G36640	Om006G263060
OG0001923	AL5G36180	Om006G252450
OG0001924	AL5G34400	Om006G254590, Om006G254600
OG0001924	AL4G33660	Om008G335870, Om008G335880
OG0001925	AL1G35910, AL4G34950	Om008G334680
OG0001926	AL4G35190	Om008G334240
OG0001926	AL5G32320	Om006G256730
OG0001927	AL1G27800	Om005G196440
OG0001928	AL2G38800	Om004G133220
OG0001928	AL1G29350	Om005G198220
OG0001929	AL1G30080	Om005G199150
OG0001929	AL2G32780	Om004G141960
OG0001930	AL1G31140	Om005G200480
OG0001930	AL2G34230	Om004G139600
OG0001931	AL2G34630	Om004G138990
OG0001931	AL1G31470	Om005G200760
OG0001932	AL1G31950	Om005G201280
OG0001932	AL2G35000, AL2G35010	Om004G138920
OG0001933	AL1G34240, AL2G36980	Om004G135540
OG0001934	AL1G35590	Om005G204640
OG0001934	AL2G38290	Om004G134040
OG0001935	AL1G36820	Om004G143370
OG0001935	AL2G30230	Om005G207130
OG0001936	AL7G23390	Om001G023770
OG0001937	AL1G38930	Om004G145490
OG0001937	AL2G28670	Om005G209270
OG0001938	AL1G40670	Om005G200410
OG0001939	AL4G10600	Om004G156080
OG0001939	AL7G11010	Om001G040860
OG0001940	AL1G11350	Om007G275580
OG0001940	AL6G13330	Om003G128050
OG0001941	AL6G30510	Om008G361130
OG0001942	AL795U10010	Om002G058520
OG0001943	AL3G23270	Om006G260840, Om002G055280
OG0001943	AL5G43040	Om004G170270
OG0001944	AL3G23120	Om002G055050
OG0001944	AL6G16230	Om004G170530
OG0001945	AL5G29390	Om006G239300
OG0001946	AL6G34950	Om006G238210
OG0001947	AL5G23370	Om008G357080, Om008G357160
OG0001948	AL6G33240	Om006G243640
OG0001949	AL6G31990	Om006G242170, Om008G349600
OG0001950	AL3G26110	Om002G058500
OG0001950	AL1G62950	Om003G091220
OG0001951	AL3G27290	Om002G060120
OG0001951	AL1G61720	Om003G093170
OG0001952	AL7G39260	Om003G100590
OG0001952	AL3G29650	Om002G063070
OG0001953	AL3G32720	Om002G066670
OG0001953	AL1G57200	Om003G097860
OG0001954	AL3G34720	Om002G068670
OG0001955	AL1G59630	Om003G095570
OG0001955	AL3G35300	Om002G069310
OG0001956	AL3G47250	Om001G031980, Om002G081680
OG0001957	AL4G30700	Om008G339760
OG0001957	AL1G44520	Om007G291060
OG0001958	AL3G46140, AL3G46130	Om002G080310
OG0001959	AL5G41770	Om003G123980
OG0001960	AL1G61360, AL1G61370	Om003G093690
OG0001961	AL1G58000	Om003G097180
OG0001962	AL3G12670, AL1G17310, AL1G17540	Om001G016520, Om001G004390, Om001G004380, Om005G185120
OG0001963	nbis-gene-1660	Om004G160330
OG0001964	nbis-gene-1247	Om006G269240, Om007G284900
OG0001971	AL7G23280	Om001G023940
OG0001971	AL3G48370	Om002G087550
OG0001972	AL7G21810	Om001G026000
OG0001972	AL3G52120	Om002G086100
OG0001973	AL7G21100	Om001G027090
OG0001974	AL7G20710	Om001G027730
OG0001975	AL3G45810	Om002G080030
OG0001975	AL7G17850	Om001G031270
OG0001976	AL7G16440	Om001G033290
OG0001977	AL4G31800	Om008G338230
OG0001977	AL7G38160	Om007G275940, Om007G275980
OG0001978	AL1G22270	Om005G190090
OG0001979	AL5G11740	Om006G274640
OG0001979	AL1G26400	Om005G194690
OG0001980	AL5G12020	Om006G274410
OG0001980	AL1G26250	Om005G194480
OG0001981	AL1G24710	Om005G192640
OG0001982	AL5G15530	Om006G272160
OG0001982	AL1G24520	Om005G192430
OG0001983	AL5G16310	Om006G271570
OG0001983	AL7G48700	Om007G317710
OG0001984	AL5G16530	Om006G271340
OG0001984	AL7G48960	Om007G317420
OG0001986	AL5G38110	Om003G119710
OG0001986	AL4G39120	Om008G328610
OG0001987	AL6G13750	Om004G173310
OG0001987	AL3G21600	Om002G053110
OG0001988	nbis-gene-1471	Om004G171170
OG0001989	AL3G22990	Om002G054880
OG0001989	AL6G16060	Om004G170700
OG0001990	AL8G29560	Om003G115910
OG0001991	AL8G30610, AL7G25970	Om003G116940
OG0001992	AL8G31480	Om003G118060
OG0001995	AL6G23020	Om004G162520
OG0001995	AL6G30980	Om006G240960
OG0001996	AL6G22460	Om004G163300
OG0001996	nbis-gene-1577, AL6G37920	Om006G240660
OG0001997	AL6G20090	Om004G166500
OG0001997	AL4G12310	Om004G154290
OG0001998	AL6G19830	Om004G166800
OG0001998	AL8G41610, AL8G41620	Om006G233220
OG0001999	AL6G17930	Om004G168530
OG0001999	AL8G38290	Om006G236530
OG0002000	AL8G38550	Om006G236270
OG0002000	AL6G17610	Om004G169020
OG0002001	AL8G11580	Om008G361450
OG0002001	AL7G36650	Om001G001010
OG0002002	AL7G33940	Om001G005240
OG0002002	AL8G14690	Om008G356940
OG0002003	AL7G31570	Om001G008610
OG0002003	AL6G47880	Om008G353820
OG0002004	AL6G46830	Om008G352250
OG0002004	AL7G30670	Om001G009710
OG0002005	AL7G29600	Om001G011050
OG0002006	AL7G29510	Om001G011140
OG0002006	AL6G45100	Om008G350700
OG0002007	AL7G29490	Om001G011150
OG0002008	AL6G44620	Om008G348100
OG0002008	AL1G47120	Om001G011710
OG0002009	AL1G53640, AL1G53630, AL1G53650	Om007G287260
OG0002010	AL4G29910	Om008G340550
OG0002010	AL1G42720	Om007G289210
OG0002011	AL1G43150	Om007G289690
OG0002012	AL3G50490	Om002G084180
OG0002012	AL7G15670	Om001G034750
OG0002013	AL3G50580	Om002G084270
OG0002013	AL7G15530	Om001G034940
OG0002014	AL7G15120	Om001G035480
OG0002014	AL3G50800	Om002G084500
OG0002015	AL3G51960	Om002G085980
OG0002015	AL7G14200	Om001G036770
OG0002016	AL7G13000	Om001G038580, Om001G038560, Om001G038570
OG0002018	AL4G10660	Om004G156050
OG0002018	AL7G11050	Om001G040820
OG0002020	AL1G21130, AL1G43120, AL1G43110	Om001G034960, Om003G121500
OG0002020	AL1G22560, AL1G22570	Om003G118340
OG0002021	AL7G29400	Om001G011260
OG0002021	AL6G45060	Om008G350590
OG0002022	AL1G29870	Om005G198860
OG0002022	AL8G12320	Om008G359650
OG0002023	AL3G37240	Om002G071280
OG0002023	AL7G41330	Om003G102530
OG0002024	AL7G40840	Om003G102110
OG0002024	AL3G36530	Om002G070550
OG0002025	AL2G13970	Om008G320880
OG0002025	AL4G45750	Om006G262130
OG0002026	AL5G42510	Om003G124910
OG0002027	AL5G38870	Om003G120430
OG0002027	AL4G39660	Om008G327840
OG0002028	AL8G37030	Om006G244960
OG0002029	nbis-gene-1674	Om004G158350
OG0002030	AL6G50460	Om004G160070
OG0002030	AL1G12490	Om005G179880
OG0002031	AL4G28840	Om005G181490
OG0002032	AL1G15100	Om005G182620
OG0002033	AL1G16760	Om005G184230
OG0002033	AL4G25520	Om007G281320
OG0002034	AL1G17690	Om005G185280
OG0002034	AL4G23650	Om007G282940
OG0002035	AL7G26120	Om001G018810
OG0002036	AL6G26670	Om007G299260
OG0002036	AL3G11610	Om002G043630, Om005G194130
OG0002037	AL6G26690	Om007G299250
OG0002037	AL3G11640	Om002G043650
OG0002038	AL3G29560	Om002G062950
OG0002038	AL3G16150	Om002G047680, Om002G047660
OG0002039	AL5G36810	Om006G251670
OG0002039	AL772U10020, AL4G37330	Om008G331050
OG0002040	AL4G32750	Om008G336950
OG0002040	AL5G33800	Om006G255270
OG0002041	AL4G33470	Om008G336080
OG0002041	AL5G34280	Om006G254750
OG0002042	AL4G35610, AL4G35600	Om008G333890, Om008G333900, Om008G333910
OG0002043	AL1G55720, AL1G55710	Om005G196000
OG0002044	AL1G27620	Om005G196230
OG0002044	AL2G41200	Om004G130240
OG0002045	AL1G27880	Om005G196530
OG0002045	AL2G40950	Om004G130530
OG0002046	AL1G28170	Om005G196930
OG0002046	AL4G13710, AL2G40480	Om004G131250
OG0002047	AL1G28660	Om005G197450
OG0002047	AL2G39640	Om004G132100
OG0002048	AL1G29740	Om005G198740
OG0002049	AL2G32880	Om004G141840
OG0002049	AL1G30140	Om005G199260
OG0002050	AL1G33900	Om005G203040
OG0002050	AL2G36600	Om004G136030
OG0002051	AL1G33990	Om005G203120
OG0002051	AL4G40630	Om008G326890
OG0002052	AL1G34130	Om005G203290
OG0002052	AL2G36850	Om004G135680
OG0002053	AL1G34520	Om005G203670
OG0002054	AL1G36550	Om005G205610
OG0002054	AL2G30710	Om005G206670
OG0002055	AL1G36950	Om004G143590
OG0002055	AL2G30140	Om005G207260
OG0002057	AL7G19860	Om001G028770
OG0002058	AL4G13960	Om002G054980
OG0002059	AL1G14940	Om005G182430
OG0002059	AL4G27800	Om007G279370
OG0002060	AL2G29600	Om005G207980
OG0002060	AL6G25650	Om007G300680
OG0002063	AL6G17240	Om004G169430
OG0002063	AL8G34540	Om006G247810
OG0002064	AL5G31880, AL5G31870, AL5G31890	Om006G257280
OG0002066	AL2G36950	Om004G135550
OG0002066	AL4G22620, AL1G34220	Om005G203360
OG0002067	AL2G35890	Om004G137060
OG0002068	AL2G39720	Om004G132010
OG0002069	AL2G39950	Om004G131890
OG0002069	AL2G39930	Om004G131900
OG0002070	AL1G28420	Om005G197200
OG0002070	AL2G40170	Om004G131620
OG0002071	AL3G25290	Om002G057590
OG0002071	AL1G63560	Om003G090250
OG0002072	AL1G63350	Om003G090630
OG0002072	AL3G25480	Om002G057860
OG0002073	AL1G61870	Om003G092900
OG0002073	AL3G27190	Om002G059990
OG0002074	AL7G38820	Om003G100200
OG0002074	AL3G30030	Om002G063560
OG0002075	AL3G48180	Om002G087690
OG0002076	AL1G64540	Om003G089420
OG0002076	AL3G24420	Om002G056580
OG0002077	AL1G59510	Om003G095670
OG0002077	AL3G35170	Om002G069170
OG0002078	AL5G36970	Om006G251490, Om006G251520
OG0002078	AL5G36960, AL5G36950	Om006G251550
OG0002079	AL6G35060, AL7G26710	Om004G166410, Om008G327820
OG0002080	AL7G39690	Om003G101160
OG0002080	AL7G39700	Om003G101230, Om003G101190
OG0002081	AL4G16800	Om002G065870
OG0002082	AL4G36110	Om008G333070
OG0002084	AL4G18200, AL2G41290	Om004G143450, Om004G143460, Om004G143470, Om004G143480, Om004G148160, Om004G130160
OG0002086	AL7G33990	Om001G005140, Om001G005160, Om001G005200
OG0002093	AL3G46800	Om002G081050
OG0002093	AL7G17010	Om001G032460
OG0002094	AL7G16710	Om002G082280
OG0002094	AL3G52400	Om001G012400
OG0002095	AL3G50120	Om002G083810
OG0002095	AL7G15880	Om001G034330
OG0002096	AL1G66490	Om005G218150, Om011G365770
OG0002096	AL1G19860	Om005G187440
OG0002097	AL2G17570	Om005G219500
OG0002097	AL1G20840	Om005G188630
OG0002098	AL2G15670	Om005G221650
OG0002098	AL2G15980	Om006G246890, Om008G322200
OG0002099	AL1G21950	Om005G189760
OG0002099	AL2G15530	Om005G221910
OG0002100	AL1G25710	Om005G193850
OG0002101	AL7G48910	Om007G317520
OG0002103	AL2G10250	Om005G228710
OG0002104	AL2G11310	Om005G226920
OG0002104	AL7G48030	Om007G318160
OG0002105	AL1G24310	Om005G192200
OG0002105	AL2G12450	Om005G225670
OG0002106	AL2G13590	Om005G224520
OG0002106	AL1G23180	Om005G191260
OG0002107	AL5G38030	Om003G119610
OG0002107	AL4G38920	Om008G328900
OG0002108	AL6G10890	Om004G176520
OG0002108	AL3G20020	Om002G051460
OG0002109	AL6G12480	Om004G174680
OG0002110	AL3G21050	Om002G052490
OG0002110	AL1G29620, AL6G12620	Om004G174510
OG0002111	AL3G21610	Om002G053120
OG0002111	AL6G13780	Om004G173250
OG0002112	AL6G14680	Om004G172230
OG0002112	AL3G22190	Om002G053820
OG0002114	AL7G24970	Om001G021230
OG0002114	AL8G28260	Om003G115110
OG0002115	AL7G25990	Om001G019090
OG0002115	AL8G30620	Om003G116960
OG0002116	AL8G31060	Om003G117540
OG0002117	AL6G23710, AL1G40640	Om004G161820
OG0002118	AL6G22390	Om004G163430
OG0002119	AL6G21290, AL6G36610	Om004G164940
OG0002120	AL6G18970, AL6G19170	Om004G167400
OG0002121	AL8G38570	Om006G236250
OG0002121	AL6G17570	Om004G169060
OG0002122	AL8G10590	Om008G362550
OG0002122	AL7G37360	Om001G000150
OG0002123	AL7G35070	Om001G003360
OG0002124	AL1G45720	Om008G358210
OG0002125	AL7G33660	Om001G005590
OG0002125	AL8G14880	Om008G356610
OG0002126	AL6G48780	Om008G355180
OG0002126	AL7G32830	Om001G007020
OG0002127	AL6G45220	Om008G350880
OG0002127	AL7G29550	Om001G011090
OG0002128	AL6G44680	Om008G349780
OG0002128	AL1G47100	Om001G011680
OG0002129	AL1G48430	Om001G012640
OG0002131	AL6G51020	Om004G159440
OG0002131	AL1G12060	Om005G179470
OG0002132	AL7G15590	Om001G034830
OG0002133	AL7G15540	Om006G235890, Om001G034910
OG0002133	AL7G15420	Om001G035040
OG0002134	AL7G15040	Om001G035620
OG0002135	AL3G51970	Om002G085990
OG0002136	AL4G10340	Om004G156300
OG0002136	AL7G10740	Om001G041190
OG0002137	AL7G50790	Om007G315590
OG0002137	AL7G50770	Om007G315600
OG0002138	AL4G30310	Om008G340220
OG0002138	AL4G30300	Om008G340230
OG0002139	AL1G52740	Om007G287540
OG0002139	AL8G17790	Om008G341530
OG0002140	AL6G44110	Om008G347460
OG0002141	AL3G38840	Om002G073010
OG0002142	AL5G45820	Om003G128810
OG0002142	AL4G47640, AL7G30840	Om008G327150
OG0002143	AL5G45770	Om003G128750
OG0002143	AL4G47540	Om008G318810
OG0002144	AL4G41070, AL4G41090	Om008G326450, Om008G326440
OG0002145	AL4G40440	Om008G327060
OG0002145	AL5G39680	Om003G121400, Om003G121340
OG0002146	AL6G33660	Om006G244120
OG0002148	AL5G25260	Om006G245870
OG0002149	AL8G40170	Om006G234620
OG0002150	AL5G30200	Om006G259210
OG0002151	AL8G44700	Om006G229950
OG0002152	AL1G10550	Om005G178170
OG0002153	AL1G10650	Om005G178080
OG0002153	AL6G52960	Om004G157660
OG0002154	AL8G15930	Om007G292790
OG0002155	AL1G13820	Om005G181260
OG0002156	AL3G39390	Om007G278520
OG0002158	AL7G25110	Om001G021010
OG0002158	AL7G25100	Om001G021020
OG0002159	AL3G12000	Om002G043950
OG0002159	AL6G27130	Om007G298660
OG0002160	AL6G28560	Om007G297010
OG0002162	nbis-gene-766	Om002G072610
OG0002163	nbis-gene-670, AL5G26500, AL4G22460	Om002G049390
OG0002164	AL8G22850	Om002G049440
OG0002165	AL6G24110	Om004G161340
OG0002165	AL3G19540	Om002G050970
OG0002166	AL5G37430	Om006G250840
OG0002166	AL4G38200	Om008G330000
OG0002167	AL4G36950	Om008G331770
OG0002167	AL4G36940	Om008G331780
OG0002168	AL4G31970	Om008G338030
OG0002168	AL5G33020	Om006G256110
OG0002169	AL4G35900	Om008G333390, Om008G333380
OG0002170	AL2G40560	Om004G131130
OG0002171	AL1G28320	Om005G197080
OG0002171	AL2G40340	Om004G131420
OG0002172	AL1G28340	Om005G197100
OG0002172	AL2G40320	Om004G131400
OG0002173	AL1G28620	Om004G132040
OG0002174	AL2G34850, AL1G31840	Om004G138720
OG0002175	AL2G36690	Om004G135900
OG0002175	AL1G33980	Om005G203110
OG0002176	AL1G36090	Om005G205080
OG0002177	AL1G36560	Om005G205620
OG0002177	AL2G30620	Om005G206770
OG0002178	AL2G29900	Om005G207570, Om005G207580
OG0002179	AL2G26310	Om005G212170
OG0002179	AL1G40540	Om004G148110
OG0002181	AL7G16870	Om004G160280
OG0002182	AL8G37900	Om006G236900
OG0002183	AL1G25210	Om005G193300
OG0002183	AL5G14650	Om006G272790
OG0002184	AL1G44280	Om005G191190
OG0002184	AL1G23120	Om005G191200
OG0002185	AL1G23090	Om005G191140
OG0002185	AL2G13640	Om005G224450
OG0002186	AL2G15560	Om005G221870
OG0002186	AL1G21910	Om005G189720
OG0002187	AL1G20330	Om005G188060
OG0002187	AL3G19560	Om002G050980
OG0002188	AL1G15380, AL1G15430	Om005G182900, Om005G182910
OG0002189	AL3G22910	Om002G054780
OG0002189	AL6G15940	Om004G170890
OG0002190	AL3G22110	Om002G053730
OG0002190	AL6G14520	Om004G172450
OG0002191	AL3G34790	Om002G068790
OG0002191	AL6G38070, AL6G38060	Om006G240730
OG0002192	AL5G22260, AL6G33120	Om006G243460
OG0002193	AL6G31530, AL6G31520	Om006G241710
OG0002194	AL1G64260	Om003G089680
OG0002194	AL3G24660	Om002G056880
OG0002195	AL3G25300	Om002G057600
OG0002195	AL1G63550	Om003G090280, Om003G090260
OG0002196	AL7G39330	Om003G100670
OG0002196	AL3G29630	Om002G063030
OG0002197	AL3G30510	Om002G064030
OG0002197	AL1G54820	Om003G099750
OG0002198	AL3G31150	Om002G064750
OG0002198	AL1G55250	Om003G099350
OG0002199	AL3G31330	Om002G065030
OG0002199	AL1G55300	Om003G099270
OG0002201	AL3G49790	Om002G083390
OG0002201	AL3G49800	Om002G083400
OG0002202	AL3G50060, AL3G50050	Om001G034310, Om007G306500
OG0002203	AL6G15560	Om004G171270
OG0002205	AL1G57670	Om003G097440
OG0002206	AL1G57120, AL1G57150	Om003G097900
OG0002206	AL3G32680	Om002G066630
OG0002207	AL7G39280	Om003G100650
OG0002207	AL7G39270	Om003G100640
OG0002208	AL5G38480	Om003G120020
OG0002209	AL4G44610	Om008G322160
OG0002209	AL5G43200	Om003G125950
OG0002210	AL7G16970, AL7G17490	Om001G031760
OG0002213	nbis-gene-529	Om005G215000
OG0002215	AL5G30870	Om003G119060
OG0002219	AL3G48380, AL7G23260	Om002G087540
OG0002220	AL7G22890	Om001G024510
OG0002221	AL3G48670	Om002G087230
OG0002222	AL7G19340	Om001G029370
OG0002222	AL6G37230	Om006G240230
OG0002223	AL7G21090	Om001G027170
OG0002223	AL1G41060, AL1G39310, AL1G38530	Om008G342050
OG0002224	AL4G15170	Om004G154800
OG0002224	AL7G20460	Om001G028010
OG0002225	AL7G19870, AL4G16560	Om001G028760
OG0002226	AL7G17340	Om001G031930
OG0002226	AL3G47260	Om002G081740
OG0002227	AL7G15830, AL3G50180	Om002G083870
OG0002228	AL1G46580	Om007G276870
OG0002229	AL1G27100	Om005G195670
OG0002230	AL5G11150	Om006G274890
OG0002231	AL1G25320	Om005G193400
OG0002232	AL5G14700	Om006G272750
OG0002232	AL1G25220	Om005G193310
OG0002233	AL5G18410, AL5G18390	Om006G270620, Om006G270630
OG0002234	AL7G50540	Om007G316300
OG0002235	AL2G24950, AL247U10010	Om005G213350
OG0002235	AL2G19200	Om005G213380
OG0002236	AL2G23680, AL7G46180	Om005G214180
OG0002237	AL7G45600	Om007G313680
OG0002237	AL2G22800	Om005G214670
OG0002238	AL2G10640	Om005G228220
OG0002239	AL2G13460	Om005G224740
OG0002239	AL1G23260	Om005G191340
OG0002240	AL8G33170	Om006G249610
OG0002240	AL7G27060	Om006G256100
OG0002241	AL6G10960	Om004G176460
OG0002241	AL3G20070	Om002G051500
OG0002242	AL3G21540	Om002G053050
OG0002242	AL6G13680	Om004G173380
OG0002243	AL7G40190	Om003G095690, Om005G224750
OG0002243	AL2G41470	Om004G129970
OG0002244	AL8G40010	Om006G234810
OG0002244	AL3G23320, AL3G35860	Om002G055320
OG0002245	AL7G28000	Om007G286030
OG0002246	AL604U10010, AL8G26170	Om003G113060
OG0002247	AL8G26310	Om003G113170
OG0002247	AL7G27650	Om007G286410
OG0002248	AL8G29870	Om003G116130
OG0002249	AL8G30570	Om003G116870
OG0002250	AL8G31490	Om003G118090
OG0002250	AL7G26300	Om004G157570
OG0002251	AL8G31910	Om003G118560, Om003G118570
OG0002252	AL8G33610	Om006G249090
OG0002253	AL6G23690, AL1G40650	Om004G161870
OG0002254	AL6G30920	Om006G241020
OG0002254	AL6G23110	Om004G162410
OG0002255	AL6G38140	Om006G240790
OG0002255	AL6G22790	Om004G162850
OG0002256	AL8G13060	Om008G358550
OG0002256	AL7G35140	Om001G003240
OG0002257	AL7G31310	Om001G008880
OG0002257	AL7G31320	Om001G008870
OG0002258	AL1G44980	Om007G291530
OG0002259	AL7G14740	Om001G036060
OG0002259	AL7G14760, AL7G14750	Om001G036050
OG0002260	AL7G30890, AL1G48270, AL1G48290	Om001G009370, Om001G009400
OG0002261	AL7G13930	Om001G037080, Om001G037120, Om001G037110, Om001G037070
OG0002261	AL7G13920	Om001G037090, Om001G037130
OG0002262	AL7G13580	Om001G037920
OG0002263	AL7G11990	Om001G039810
OG0002264	AL4G10150	Om004G156530
OG0002264	AL7G10570	Om001G041380
OG0002265	AL7G51130	Om007G315430
OG0002266	AL8G18280	Om008G341990
OG0002266	AL1G53390	Om007G287350
OG0002267	AL3G39150	Om002G073200
OG0002268	AL3G37920	Om002G071970
OG0002268	AL7G41850	Om003G102770
OG0002269	AL7G41580	Om003G102640
OG0002269	AL3G37470	Om002G071560
OG0002270	AL3G37250	Om002G071290
OG0002270	AL7G41430	Om003G102540
OG0002271	AL3G36390	Om006G267950
OG0002271	AL7G40640	Om003G101990
OG0002272	AL3G35610	Om002G069570
OG0002272	AL7G39950	Om003G101380
OG0002273	AL5G43220	Om003G125970
OG0002273	AL4G44640	Om008G322130
OG0002274	AL4G43240	Om008G323700
OG0002275	AL4G43030	Om008G323920
OG0002276	AL4G43020	Om008G323930
OG0002276	AL5G42130	Om003G124310
OG0002277	AL5G39520	Om003G121090
OG0002277	AL4G40620	Om008G326900
OG0002278	AL5G38940	Om003G120520
OG0002278	AL4G40050	Om008G327390
OG0002279	AL6G10660	Om004G176750
OG0002279	AL3G12790	Om002G044630
OG0002280	AL5G23360	Om006G269150
OG0002280	AL6G34040	Om006G244380
OG0002281	AL5G23410, AL6G34070	Om006G244410
OG0002282	AL8G36920	Om006G245100
OG0002283	AL8G42950	Om006G231820
OG0002284	AL1G10860	Om005G178350
OG0002285	AL1G13410, AL1G13160	Om005G180560
OG0002286	AL1G13450	Om005G180870
OG0002286	AL8G15890	Om007G292840
OG0002287	AL1G15470	Om005G182950
OG0002288	AL4G26330	Om007G280840
OG0002288	AL1G16180	Om005G183650
OG0002289	AL1G17650, AL1G17620	Om005G185250, Om005G185230
OG0002290	AL4G21120	Om007G284920
OG0002290	AL1G18830	Om005G186400, Om004G159190
OG0002291	AL7G18530	Om001G030300
OG0002292	AL6G25380	Om007G301070, Om004G156820
OG0002292	AL3G10610	Om002G042600
OG0002293	AL3G11220	Om002G043250
OG0002294	AL6G27140	Om007G298650
