Orthogroup	Brassica_oleracea	Arabis_alpina
OG0003053	XP_013591015.1	Aa_G529510.h1.t1
OG0003054	XP_013593541.1	Aa_G572320.h1.t1
OG0003055	XP_013610591.1, XP_013608368.1, XP_013610730.1, XP_013615231.1	Aa_G128890.h1.t1
OG0003056	XP_013624256.1	Aa_G441560.h1.t1, Aa_G205920.h1.t1
OG0003057	XP_013608674.1	Aa_G40980.h1.t1
OG0003057	XP_013619911.1	Aa_G40990.h1.t1
OG0003058	XP_013625657.1, XP_013584003.1	Aa_G4520.h1.t1
OG0003059	XP_013631265.1	Aa_G241220.h1.t1
OG0003060	XP_013634225.1, XP_013632547.1, XP_013615187.1, XP_013615189.1, XP_013615188.1, XP_013634347.1	Aa_G289650.h1.t1
OG0003061	XP_013635299.1	Aa_G831400.h1.t1
OG0003062	XP_013627959.1, XP_013635725.1, XP_013635788.1, XP_013633466.1, XP_013633467.1, XP_013635782.1	Aa_G125490.h1.t1, Aa_G552000.h1.t1, Aa_G323680.h1.t1, Aa_G234090.h1.t1
OG0003063	XP_013635560.1, XP_013635207.1, XP_013635398.1	Aa_G145800.h1.t1, Aa_G145810.h1.t1
OG0003064	XP_013587520.1	Aa_G4990.h1.t1
OG0003064	XP_013607502.1, XP_013598705.1	Aa_G430220.h1.t1
OG0003065	XP_013638234.1, XP_013622264.1, XP_013601534.1	Aa_G45810.h1.t1
OG0003066	XP_013592583.1	Aa_G51190.h1.t1
OG0003066	XP_013594766.1	Aa_G51200.h1.t1
OG0003067	XP_013612496.1	Aa_G47340.h1.t1, Aa_G128250.h1.t1
OG0003068	XP_013622744.1, XP_013584520.1	Aa_G24320.h1.t1
OG0003069	XP_013627295.1, XP_013589918.1	Aa_G136840.h1.t1
OG0003070	XP_013629397.1, XP_013638365.1, XP_013607690.1	Aa_G176060.h1.t1
OG0003071	XP_013633320.1	Aa_G241950.h1.t1
OG0003072	XP_013639597.1, XP_013625560.1	Aa_G176980.h1.t1
OG0003073	XP_013586340.1	Aa_G82140.h1.t1
OG0003077	XP_013583918.1	Aa_G291110.h1.t1
OG0003078	XP_013603379.1, XP_013626895.1, XP_013603099.1, XP_013584471.1	Aa_G6670.h1.t1
OG0003079	XP_013583732.1	Aa_G135030.h1.t1
OG0003080	XP_013636345.1	Aa_G555110.h1.t1
OG0003081	XP_013605799.1	Aa_G222910.h1.t1
OG0003081	XP_013585886.1	Aa_G43340.h1.t1
OG0003082	XP_013593661.1, XP_013619192.1, XP_013609688.1	Aa_G640080.h1.t1
OG0003083	XP_013603290.1, XP_013584180.1, XP_013603047.1	Aa_G661470.h1.t1
OG0003084	XP_013616357.1	Aa_G64460.h1.t1
OG0003084	XP_013585839.1	Aa_G112410.h1.t1
OG0003085	XP_013586515.1	Aa_G132430.h1.t1
OG0003085	XP_013604296.1	Aa_G30600.h1.t1
OG0003087	XP_013595429.1, XP_013604083.1	Aa_G119620.h1.t1
OG0003088	XP_013587710.1	Aa_G119640.h1.t1
OG0003089	XP_013584686.1, XP_013596104.1	Aa_G60780.h1.t1
OG0003090	XP_013596250.1	Aa_G198720.h1.t1
OG0003091	XP_013639118.1	Aa_G293410.h1.t1, Aa_G766400.h1.t1, Aa_G633190.h1.t1, Aa_G491310.h1.t1
OG0003091	XP_013608080.1	Aa_G224460.h1.t1, Aa_G538780.h1.t1, Aa_G331790.h1.t1, Aa_G17460.h1.t1, Aa_G215870.h1.t1, Aa_G277880.h1.t1
OG0003092	XP_013600460.1	Aa_G123870.h1.t1, Aa_G123860.h1.t1
OG0003093	XP_013606732.1, XP_013596958.1, XP_013595764.1, XP_013625071.1	Aa_G179580.h1.t1
OG0003094	XP_013622102.1	Aa_G84860.h1.t1
OG0003094	XP_013627797.1	Aa_G84890.h1.t1
OG0003095	XP_013635607.1	Aa_G84840.h1.t1
OG0003097	XP_013586201.1, XP_013604543.1	Aa_G632470.h1.t1
OG0003098	XP_013621904.1, XP_013619475.1, XP_013590868.1, XP_013585949.1, XP_013621903.1	Aa_G624580.h1.t1
OG0003100	XP_013615413.1, XP_013592780.1	Aa_G131400.h1.t1
OG0003101	XP_013622571.1	Aa_G606710.h1.t1, Aa_G235690.h1.t1
OG0003102	XP_013601295.1	Aa_G129840.h1.t1
OG0003102	XP_013598587.1	Aa_G537790.h1.t1
OG0003104	XP_013632659.1	Aa_G470350.h1.t1
OG0003106	XP_013603716.1	Aa_G14340.h1.t1
OG0003116	XP_013636248.1	Aa_G166890.h1.t1
OG0003116	XP_013597687.1	Aa_G489460.h1.t1
OG0003117	XP_013608592.1, XP_013621754.1	Aa_G474060.h1.t1
OG0003118	XP_013612574.1	Aa_G379160.h1.t1
OG0003118	XP_013622302.1	Aa_G42460.h1.t1
OG0003120	XP_013612478.1	Aa_G159130.h1.t1
OG0003120	XP_013612912.1	Aa_G37290.h1.t1
OG0003121	XP_013631468.1, XP_013634740.1, XP_013621855.1	Aa_G148630.h1.t1
OG0003122	XP_013599156.1, XP_013609353.1	Aa_G335810.h1.t1
OG0003123	XP_013585512.1	Aa_G521310.h1.t1
OG0003124	XP_013621843.1	Aa_G408540.h1.t1
OG0003125	XP_013637678.1	Aa_G299220.h1.t1
OG0003125	XP_013638185.1	Aa_G165490.h1.t1
OG0003126	XP_013594590.1	Aa_G703300.h1.t1
OG0003127	XP_013598692.1	Aa_G147110.h1.t1
OG0003128	XP_013625226.1, XP_013606543.1, XP_013605210.1	Aa_G692840.h1.t1
OG0003129	XP_013612554.1, XP_013630101.1	Aa_G559270.h1.t1, Aa_G168290.h1.t1
OG0003130	XP_013621902.1, XP_013611847.1	Aa_G492230.h1.t1
OG0003130	XP_013611848.1	Aa_G492240.h1.t1
OG0003131	XP_013594198.1	Aa_G583370.h1.t1
OG0003132	XP_013599450.1	Aa_G377450.h1.t1
OG0003134	XP_013627713.1	Aa_G230430.h1.t1, Aa_G230440.h1.t1
OG0003134	XP_013585164.1, XP_013625286.1	Aa_G326780.h1.t1
OG0003136	XP_013608340.1, XP_013620033.1, XP_013619670.1	Aa_G173940.h1.t1
OG0003138	XP_013621015.1	Aa_G396870.h1.t1
OG0003138	XP_013616676.1, XP_013626360.1	Aa_G411500.h1.t1
OG0003139	XP_013613066.1	Aa_G307340.h1.t1
OG0003140	XP_013583982.1, XP_013596529.1	Aa_G272230.h1.t1
OG0003141	XP_013585073.1, XP_013626977.1, XP_013626721.1	Aa_G20370.h1.t1
OG0003142	XP_013616119.1, XP_013610982.1	Aa_G99600.h1.t1, Aa_G6750.h1.t1
OG0003143	XP_013610597.1	Aa_G354900.h1.t1
OG0003144	XP_013623183.1	Aa_G719750.h1.t1
OG0003145	XP_013626839.1, XP_013626036.1	Aa_G727220.h1.t1
OG0003146	XP_013588930.1, XP_013586553.1	Aa_G302810.h1.t1
OG0003146	XP_013608534.1, XP_013592481.1, XP_013611813.1	Aa_G73120.h1.t1
OG0003147	XP_013588799.1, XP_013610563.1	Aa_G424600.h1.t1
OG0003148	XP_013611383.1, XP_013612794.1, XP_013631038.1	Aa_G462390.h1.t1
OG0003150	XP_013621497.1	Aa_G497440.h1.t1
OG0003151	XP_013618902.1, XP_013592571.1	Aa_G145420.h1.t1
OG0003152	XP_013600228.1	Aa_G65530.h1.t1
OG0003153	XP_013603692.1, XP_013588114.1, XP_013589443.1	Aa_G835360.h1.t1
OG0003154	XP_013588299.1	Aa_G164990.h1.t1
OG0003154	XP_013637848.1, XP_013600485.1	Aa_G60810.h1.t1
OG0003155	XP_013592879.1, XP_013620252.1	Aa_G165060.h1.t1
OG0003156	XP_013597351.1, XP_013584395.1	Aa_G257340.h1.t1
OG0003157	XP_013587972.1	Aa_G348850.h1.t1
OG0003157	XP_013637788.1	Aa_G323730.h1.t1
OG0003158	XP_013592216.1	Aa_G1320.h1.t1
OG0003158	XP_013591932.1	Aa_G501480.h1.t1
OG0003159	XP_013634458.1, XP_013627561.1, XP_013635219.1, XP_013635148.1	Aa_G505620.h1.t1
OG0003161	XP_013628717.1	Aa_G557690.h1.t1
OG0003162	XP_013600942.1, XP_013631363.1, XP_013594116.1	Aa_G79780.h1.t1, Aa_G305930.h1.t1
OG0003163	XP_013590267.1, XP_013584581.1	Aa_G754120.h1.t1
OG0003164	XP_013638428.1	Aa_G388580.h1.t1
OG0003164	XP_013601296.1	Aa_G448620.h1.t1
OG0003165	XP_013588343.1, XP_013616529.1	Aa_G524720.h1.t1
OG0003166	XP_013586943.1	Aa_G55170.h1.t1, Aa_G577520.h1.t1
OG0003167	XP_013595347.1, XP_013615808.1, XP_013618483.1, XP_013616401.1	Aa_G34180.h1.t1
OG0003168	XP_013634970.1	Aa_G245530.h1.t1
OG0003168	XP_013592981.1	Aa_G247630.h1.t1
OG0003169	XP_013631931.1	Aa_G612820.h1.t1
OG0003169	XP_013598377.1	Aa_G27410.h1.t1
OG0003170	XP_013616994.1	Aa_G129900.h1.t1
OG0003171	XP_013594187.1, XP_013597565.1, XP_013616068.1	Aa_G366850.h1.t1
OG0003171	XP_013597563.1, XP_013597578.1, XP_013630386.1	Aa_G569820.h1.t1
OG0003171	XP_013617658.1	Aa_G229800.h1.t1
OG0003174	XP_013635273.1	Aa_G396670.h1.t1
OG0003175	XP_013637468.1, XP_013614074.1	Aa_G492540.h1.t1
OG0003176	XP_013597715.1, XP_013638389.1	Aa_G607270.h1.t1
OG0003177	XP_013615869.1, XP_013619601.1	Aa_G84040.h1.t1, Aa_G84030.h1.t1
OG0003178	XP_013623218.1, XP_013637689.1	Aa_G297970.h1.t1
OG0003179	XP_013601448.1	Aa_G49390.h1.t1
OG0003180	XP_013599880.1, XP_013601254.1	Aa_G173150.h1.t1
OG0003181	XP_013596066.1, XP_013604625.1, XP_013587411.1	Aa_G43890.h1.t1, Aa_G476620.h1.t1
OG0003182	XP_013602188.1	Aa_G208930.h1.t1
OG0003183	XP_013636188.1, XP_013592846.1	Aa_G132750.h1.t1, Aa_G551950.h1.t1
OG0003185	XP_013633212.1, XP_013633697.1	Aa_G2380.h1.t1
OG0003186	XP_013601589.1	Aa_G525150.h1.t1
OG0003187	XP_013604525.1, XP_013604523.1	Aa_G287260.h1.t1
OG0003188	XP_013600378.1, XP_013588390.1, XP_013631747.1	Aa_G670250.h1.t1
OG0003189	XP_013599987.1	Aa_G287650.h1.t1
OG0003190	XP_013637052.1	Aa_G304520.h1.t1
OG0003191	XP_013622350.1	Aa_G233460.h1.t1
OG0003192	XP_013629365.1	Aa_G197430.h1.t1
OG0003193	XP_013637505.1	Aa_G174980.h1.t1
OG0003194	XP_013634166.1, XP_013622577.1, XP_013636900.1	Aa_G844080.h1.t1
OG0003195	XP_013635798.1	Aa_G11800.h1.t1
OG0003196	XP_013604482.1	Aa_G321360.h1.t1
OG0003197	XP_013616719.1	Aa_G352500.h1.t1
OG0003198	XP_013599214.1	Aa_G502250.h1.t1
OG0003198	XP_013625240.1	Aa_G5110.h1.t1
OG0003199	XP_013598936.1	Aa_G194680.h1.t1
OG0003199	XP_013584034.1	Aa_G44680.h1.t1
OG0003200	XP_013597464.1, XP_013620153.1	Aa_G414150.h1.t1
OG0003201	XP_013637007.1, XP_013630501.1	Aa_G5100.h1.t1
OG0003202	XP_013629186.1	Aa_G83740.h1.t1
OG0003203	XP_013637974.1, XP_013613345.1	Aa_G78690.h2.t1, Aa_G78690.h1.t1
OG0003206	XP_013626292.1, XP_013589107.1, XP_013584086.1	Aa_G40020.h1.t1
OG0003208	XP_013583243.1, XP_013592561.1, XP_013624242.1	Aa_G104630.h1.t1
OG0003209	XP_013615627.1, XP_013595022.1, XP_013639699.1, XP_013615140.1, XP_013590918.1	Aa_G746520.h1.t1
OG0003210	XP_013588442.1	Aa_G336610.h1.t1
OG0003211	XP_013585969.1, XP_013604927.1	Aa_G477730.h1.t1
OG0003211	XP_013586018.1	Aa_G446430.h1.t1
OG0003212	XP_013614906.1, XP_013601003.1	Aa_G441360.h1.t1, Aa_G441370.h1.t1
OG0003212	XP_013603992.1	Aa_G441380.h1.t1
OG0003213	XP_013600465.1, XP_013605492.1, XP_013584786.1	Aa_G368310.h1.t1
OG0003214	XP_013639274.1	Aa_G238510.h2.t1, Aa_G238510.h1.t1
OG0003215	XP_013601056.1, XP_013584903.1	Aa_G291920.h1.t1, Aa_G291920.h2.t1
OG0003216	XP_013605689.1	Aa_G726120.h1.t1
OG0003218	XP_013600644.1, XP_013638400.1	Aa_G324130.h1.t1
OG0003219	XP_013584191.1, XP_013596119.1	Aa_G589590.h1.t1
OG0003222	XP_013586243.1	Aa_G399790.h1.t1
OG0003225	XP_013596193.1	Aa_G406950.h1.t1
OG0003226	XP_013584912.1, XP_013590751.1	Aa_G418790.h1.t1
OG0003227	XP_013595915.1, XP_013636291.1	Aa_G258830.h1.t1
OG0003229	XP_013604042.1, XP_013584937.1	Aa_G579780.h1.t1, Aa_G579770.h1.t1, Aa_G284650.h1.t1
OG0003230	XP_013621552.1	Aa_G291790.h1.t1
OG0003231	XP_013596305.1, XP_013619343.1	Aa_G560080.h1.t1
OG0003233	XP_013598410.1	Aa_G179440.h1.t1
OG0003239	XP_013629364.1	Aa_G436400.h1.t1
OG0003240	XP_013597467.1, XP_013597438.1	Aa_G122420.h1.t1
OG0003241	XP_013636030.1	Aa_G191830.h1.t1
OG0003247	XP_013628916.1	Aa_G500660.h1.t1
OG0003248	XP_013604989.1	Aa_G213550.h1.t1, Aa_G210260.h1.t1, Aa_G561400.h1.t1
OG0003249	XP_013616098.1	Aa_G160440.h1.t1
OG0003250	XP_013609999.1, XP_013626748.1, XP_013626717.1	Aa_G596020.h1.t1
OG0003251	XP_013606111.1, XP_013612922.1	Aa_G52390.h1.t1
OG0003251	XP_013628017.1	Aa_G354700.h1.t1
OG0003252	XP_013617902.1	Aa_G112910.h1.t1
OG0003254	XP_013621877.1	Aa_G159030.h1.t1
OG0003255	XP_013609933.1	Aa_G159020.h1.t1
OG0003256	XP_013612271.1, XP_013628481.1	pep1hit_1.1
OG0003257	XP_013622892.1, XP_013606296.1	Aa_G516780.h1.t1
OG0003258	XP_013618601.1, XP_013625676.1	Aa_G51590.h1.t1
OG0003259	XP_013636853.1	Aa_G391900.h1.t1
OG0003260	XP_013637083.1, XP_013630190.1	Aa_G552340.h1.t1
OG0003261	XP_013583536.1	Aa_G22420.h1.t1
OG0003261	XP_013631130.1, XP_013631192.1, XP_013631547.1	Aa_G470360.h1.t1
OG0003262	XP_013639047.1, XP_013585303.1	Aa_G79400.h1.t1
OG0003262	XP_013634890.1	Aa_G154670.h1.t1
OG0003263	XP_013639595.1, XP_013594292.1, XP_013590881.1	Aa_G865900.h2.t1, Aa_G865900.h1.t1, Aa_G453620.h1.t1
OG0003264	XP_013625481.1	Aa_G404580.h1.t1, Aa_G404570.h1.t1
OG0003266	XP_013584161.1, XP_013601991.1	Aa_G67310.h1.t1, Aa_G703640.h1.t1
OG0003267	XP_013598069.1	Aa_G389890.h1.t1
OG0003268	XP_013619592.1	Aa_G51380.h1.t1
OG0003269	XP_013628721.1, XP_013618320.1	Aa_G268310.h1.t1
OG0003270	XP_013620443.1, XP_013603998.1, XP_013620012.1, XP_013628049.1	Aa_G620760.h1.t1
OG0003271	XP_013598910.1, XP_013611206.1	Aa_G143250.h1.t1
OG0003273	XP_013619379.1	Aa_G629210.h1.t1
OG0003274	XP_013624808.1	Aa_G342310.h1.t1
OG0003274	XP_013596191.1	Aa_G415530.h1.t1
OG0003275	XP_013629035.1, XP_013629003.1, XP_013611055.1	Aa_G290170.h1.t1, Aa_G290160.h1.t1
OG0003276	XP_013616950.1, XP_013623849.1, XP_013608263.1	Aa_G64140.h1.t1
OG0003279	XP_013629284.1	Aa_G225290.h1.t1, Aa_G81300.h1.t1
OG0003280	XP_013611499.1, XP_013618798.1	Aa_G456280.h1.t1
OG0003281	XP_013606293.1, XP_013620134.1	Aa_G18820.h1.t1
OG0003282	XP_013625686.1	Aa_G92630.h1.t1, Aa_G62560.h1.t1
OG0003283	XP_013609620.1	Aa_G13750.h1.t1
OG0003285	XP_013595287.1, XP_013597144.1	Aa_G69950.h1.t1
OG0003286	XP_013597656.1, XP_013590315.1, XP_013587751.1, XP_013596550.1	Aa_G148240.h1.t1
OG0003287	XP_013588203.1, XP_013588687.1	Aa_G122570.h1.t1, Aa_G485970.h1.t1
OG0003289	XP_013601899.1	Aa_G96510.h1.t1
OG0003289	XP_013599760.1	Aa_G31170.h1.t1
OG0003290	XP_013585579.1	Aa_G538140.h1.t1
OG0003290	XP_013602618.1	Aa_G418480.h1.t1
OG0003294	XP_013590367.1	Aa_G173510.h1.t1
OG0003294	XP_013590010.1	Aa_G424040.h1.t1
OG0003295	XP_013596396.1, XP_013593683.1	Aa_G45850.h1.t1, Aa_G45850.h5.t1, Aa_G45850.h4.t1, Aa_G45850.h3.t1, Aa_G45850.h2.t1, Aa_G45860.h6.t1, Aa_G45860.h2.t1, Aa_G45860.h1.t1, Aa_G45860.h4.t1, Aa_G45860.h7.t1, Aa_G45860.h3.t1, Aa_G45860.h5.t1
OG0003296	XP_013610386.1	Aa_G180550.h1.t1
OG0003298	XP_013597444.1	Aa_G148370.h1.t1
OG0003300	XP_013591583.1	Aa_G63600.h1.t1
OG0003301	XP_013604985.1	Aa_G122660.h1.t1
OG0003303	XP_013637094.1	Aa_G260960.h1.t1
OG0003304	XP_013624053.1, XP_013599271.1	Aa_G316630.h1.t1
OG0003305	XP_013605021.1	Aa_G321550.h1.t1
OG0003306	XP_013599181.1	Aa_G8950.h1.t1, Aa_G10.h1.t1
OG0003307	XP_013588345.1	Aa_G474500.h1.t1, Aa_G56020.h1.t1
OG0003308	XP_013626395.1, XP_013596115.1	Aa_G426540.h2.t1, Aa_G325450.h1.t1, Aa_G325450.h2.t1, Aa_G426540.h1.t1
OG0003310	XP_013587823.1	Aa_G82600.h1.t1
OG0003311	XP_013634888.1, XP_013636455.1, XP_013623399.1, XP_013637098.1	Aa_G249880.h1.t1
OG0003312	XP_013591778.1	Aa_G87800.h1.t1
OG0003313	XP_013617435.1	Aa_G483280.h1.t1
OG0003314	XP_013586242.1, XP_013622822.1	Aa_G4870.h1.t1
OG0003315	XP_013624312.1	Aa_G205850.h1.t1
OG0003316	XP_013612414.1	Aa_G83710.h1.t1
OG0003318	XP_013638705.1, XP_013617790.1	Aa_G234900.h1.t1, Aa_G443940.h1.t1
OG0003319	XP_013586220.1, XP_013609528.1	Aa_G418190.h1.t1
OG0003320	XP_013638364.1	Aa_G342880.h1.t1
OG0003321	XP_013603993.1	Aa_G44520.h1.t1
OG0003322	XP_013635149.1	Aa_G421590.h1.t1
OG0003323	XP_013615501.1	Aa_G538110.h1.t1
OG0003324	XP_013596126.1	Aa_G461030.h1.t1
OG0003325	XP_013612669.1	Aa_G196470.h1.t1
OG0003326	XP_013603048.1, XP_013598609.1	Aa_G236050.h1.t1
OG0003327	XP_013608711.1	Aa_G105780.h1.t1
OG0003328	XP_013629961.1	Aa_G67850.h1.t1
OG0003330	XP_013605553.1, XP_013585960.1	Aa_G275840.h1.t1
OG0003331	XP_013586543.1	Aa_G80790.h1.t1
OG0003332	XP_013602028.1, XP_013594619.1	Aa_G117740.h1.t1
OG0003332	XP_013595615.1	Aa_G146180.h1.t1
OG0003333	XP_013600383.1	Aa_G21620.h1.t1
OG0003333	XP_013601816.1, XP_013583790.1	Aa_G707400.h1.t1
OG0003334	XP_013584344.1, XP_013584274.1, XP_013600307.1, XP_013603207.1	Aa_G407780.h1.t1
OG0003335	XP_013593319.1, XP_013587156.1	Aa_G622600.h1.t1
OG0003336	XP_013592978.1	Aa_G121900.h1.t1
OG0003336	XP_013587762.1	Aa_G297530.h1.t1
OG0003337	XP_013587289.1	Aa_G62630.h1.t1, Aa_G163410.h1.t1
OG0003338	XP_013591291.1, XP_013591580.1	Aa_G281090.h1.t1, Aa_G294990.h1.t1
OG0003339	XP_013609647.1, XP_013609452.1	Aa_G43550.h1.t1
OG0003342	XP_013618506.1	Aa_G686010.h1.t1
OG0003343	XP_013594086.1, XP_013627410.1	Aa_G628350.h1.t1
OG0003345	XP_013636237.1	Aa_G597120.h1.t1, Aa_G165360.h1.t1
OG0003347	XP_013630706.1, XP_013593542.1, XP_013637586.1, XP_013594202.1	Aa_G590220.h1.t1
OG0003349	XP_013598221.1	Aa_G892590.h1.t1
OG0003350	XP_013599173.1, XP_013604699.1, XP_013621886.1	Aa_G724250.h1.t1
OG0003351	XP_013589975.1, XP_013620859.1	Aa_G475210.h1.t1, Aa_G475230.h1.t1
OG0003352	XP_013623337.1	Aa_G105750.h1.t1
OG0003353	XP_013604996.1, XP_013597203.1	Aa_G217470.h1.t1, Aa_G231690.h1.t1
OG0003356	XP_013639410.1, XP_013615700.1, XP_013614712.1	Aa_G568400.h1.t1
OG0003358	XP_013616988.1, XP_013607638.1, XP_013639594.1	Aa_G445870.h1.t1
OG0003360	XP_013627810.1	Aa_G406260.h1.t1
OG0003362	XP_013609366.1	Aa_G550800.h1.t1
OG0003366	XP_013591153.1, XP_013628661.1	Aa_G504510.h1.t1
OG0003366	XP_013627943.1	Aa_G56270.h1.t1
OG0003372	XP_013614512.1	Aa_G420600.h1.t1
OG0003373	XP_013585733.1	Aa_G130700.h1.t1
OG0003374	XP_013584260.1	Aa_G618620.h1.t1
OG0003375	XP_013637877.1, XP_013617073.1	Aa_G164700.h1.t1
OG0003376	XP_013625258.1, XP_013593096.1	Aa_G579500.h1.t1
OG0003377	XP_013616806.1, XP_013615821.1, XP_013628658.1, XP_013628657.1	Aa_G525310.h1.t1, Aa_G530150.h1.t1, Aa_G96760.h1.t1
OG0003378	XP_013606169.1	Aa_G96860.h1.t1
OG0003381	XP_013612647.1, XP_013630806.1	Aa_G256600.h1.t1
OG0003383	XP_013598733.1	Aa_G596550.h1.t1
OG0003384	XP_013629811.1, XP_013592943.1	Aa_G602870.h1.t1
OG0003385	XP_013602446.1, XP_013609416.1	Aa_G665890.h1.t1
OG0003386	XP_013629401.1	Aa_G76400.h1.t1
OG0003388	XP_013616979.1	Aa_G622910.h2.t1, Aa_G622910.h1.t1, Aa_G450900.h1.t1
OG0003389	XP_013604312.1, XP_013585438.1	Aa_G3130.h1.t1
OG0003390	XP_013634405.1, XP_013634327.1	Aa_G35450.h1.t1
OG0003391	XP_013609924.1, XP_013618869.1	Aa_G520330.h1.t1
OG0003392	XP_013620882.1, XP_013596349.1	Aa_G488800.h1.t1, Aa_G89480.h1.t1
OG0003393	XP_013631880.1, XP_013638487.1	Aa_G279700.h1.t1
OG0003394	XP_013638283.1, XP_013625692.1, XP_013631824.1	Aa_G279710.h1.t1
OG0003396	XP_013610910.1	Aa_G309220.h1.t1
OG0003397	XP_013625288.1, XP_013636914.1, XP_013595981.1	Aa_G397120.h1.t1
OG0003397	XP_013629305.1	Aa_G51540.h1.t1
OG0003398	XP_013620013.1	Aa_G320830.h1.t1
OG0003399	XP_013618921.1, XP_013590630.1, XP_013610352.1	Aa_G406290.h1.t1
OG0003400	XP_013608621.1, XP_013625467.1	Aa_G331120.h1.t1
OG0003401	XP_013619754.1	Aa_G377400.h1.t1
OG0003402	XP_013620479.1, XP_013608983.1	Aa_G672080.h1.t1
OG0003402	XP_013607895.1	Aa_G258600.h1.t1
OG0003404	XP_013622712.1	Aa_G93980.h1.t1
OG0003405	XP_013628295.1, XP_013612471.1	Aa_G22070.h1.t1
OG0003406	XP_013597665.1	Aa_G379660.h1.t1
OG0003408	XP_013628260.1, XP_013616351.1, XP_013611032.1	Aa_G303960.h1.t1
OG0003410	XP_013638731.1, XP_013625554.1	Aa_G403690.h1.t1
OG0003411	XP_013617637.1	Aa_G53920.h1.t1
OG0003411	XP_013624161.1, XP_013589307.1	Aa_G24240.h1.t1
OG0003412	XP_013628808.1, XP_013586333.1	Aa_G24270.h1.t1
OG0003413	XP_013633915.1	Aa_G40520.h1.t1, Aa_G3060.h1.t1
OG0003414	XP_013620374.1, XP_013592071.1	Aa_G293060.h1.t1
OG0003415	XP_013593978.1, XP_013614669.1, XP_013622789.1	Aa_G351930.h1.t1
OG0003416	XP_013591903.1, XP_013614461.1	Aa_G111050.h1.t1
OG0003418	XP_013586057.1, XP_013620397.1	Aa_G56210.h1.t1
OG0003419	XP_013613493.1	Aa_G74180.h1.t1, Aa_G74170.h1.t1
OG0003421	XP_013606752.1, XP_013598938.1	Aa_G428240.h1.t1
OG0003422	XP_013600634.1	Aa_G204780.h1.t1
OG0003422	XP_013595810.1	Aa_G402100.h1.t1
OG0003423	XP_013598753.1	Aa_G787950.h1.t1
OG0003424	XP_013608843.1, XP_013593982.1	Aa_G185350.h1.t1
OG0003425	XP_013597600.1	Aa_G579790.h1.t1
OG0003426	XP_013598581.1, XP_013620913.1	Aa_G58270.h1.t1
OG0003427	XP_013592589.1, XP_013588555.1	Aa_G166350.h1.t1
OG0003428	XP_013592882.1	Aa_G166360.h1.t1
OG0003429	XP_013592805.1	Aa_G173450.h1.t1, Aa_G319810.h1.t1
OG0003429	XP_013593461.1	Aa_G440850.h1.t1
OG0003430	XP_013613544.1	Aa_G169300.h1.t1
OG0003431	XP_013624282.1	Aa_G501790.h1.t1, Aa_G507670.h1.t1, Aa_G507660.h1.t1, Aa_G736330.h1.t1, Aa_G736320.h1.t1
OG0003433	XP_013596481.1	Aa_G308970.h1.t1
OG0003434	XP_013607205.1, XP_013622636.1	Aa_G84130.h1.t1
OG0003435	XP_013613914.1, XP_013615015.1	Aa_G83980.h1.t1
OG0003437	XP_013606074.1	Aa_G362980.h1.t1, Aa_G461700.h1.t1
OG0003438	XP_013622370.1, XP_013600913.1, XP_013596195.1	Aa_G245240.h1.t1
OG0003440	XP_013627337.1, XP_013586482.1, XP_013589293.1, XP_013588853.1	Aa_G213420.h1.t1
OG0003442	XP_013634054.1	Aa_G103320.h1.t1
OG0003443	XP_013599889.1, XP_013631297.1, XP_013591648.1	Aa_G114130.h1.t1
OG0003444	XP_013603905.1	Aa_G188490.h1.t1
OG0003445	XP_013614082.1, XP_013614084.1	Aa_G513060.h1.t1, Aa_G513070.h1.t1
OG0003446	XP_013635181.1	Aa_G340420.h1.t1
OG0003447	XP_013626784.1, XP_013594223.1	Aa_G211300.h1.t1
OG0003448	XP_013616644.1, XP_013625697.1, XP_013593497.1	Aa_G26910.h1.t1
OG0003449	XP_013611335.1	Aa_G688010.h1.t1
OG0003449	XP_013629705.1, XP_013622715.1	Aa_G223090.h1.t1
OG0003450	XP_013602018.1, XP_013634568.1	Aa_G407230.h1.t1
OG0003452	XP_013612184.1	Aa_G390470.h1.t1
OG0003453	XP_013635095.1, XP_013635744.1	Aa_G226200.h1.t1, Aa_G191160.h1.t1
OG0003454	XP_013632171.1, XP_013634235.1	Aa_G226130.h1.t1
OG0003455	XP_013627673.1, XP_013637319.1, XP_013634901.1	Aa_G17220.h1.t1
OG0003456	XP_013635007.1, XP_013625667.1	Aa_G252310.h1.t1
OG0003457	XP_013628877.1	Aa_G360590.h1.t1
OG0003457	XP_013633583.1	Aa_G132660.h1.t1
OG0003458	XP_013632410.1	Aa_G360630.h1.t1
OG0003459	XP_013614318.1	Aa_G524350.h1.t1, Aa_G524350.h2.t1, Aa_G83700.h1.t1
OG0003460	XP_013583455.1	Aa_G47720.h1.t1
OG0003461	XP_013623370.1	Aa_G47300.h1.t1
OG0003462	XP_013629775.1, XP_013586893.1	Aa_G24050.h1.t1
OG0003463	XP_013638201.1	Aa_G216130.h1.t1
OG0003464	XP_013611705.1, XP_013587225.1, XP_013630809.1	Aa_G5500.h1.t1
OG0003465	XP_013619976.1, XP_013627979.1, XP_013638036.1, XP_013583374.1	Aa_G534970.h1.t1
OG0003466	XP_013637068.1, XP_013638762.1	Aa_G207860.h1.t1
OG0003467	XP_013584793.1	Aa_G233700.h1.t1
