Orthogroup	Brassica_oleracea	Rorippa_islandica
OG0000219	XP_013601505.1	Roisl.0009s0056.1.p
OG0000221	XP_013614169.1, XP_013594803.1, XP_013639454.1	Roisl.0043s0012.1.p
OG0000221	XP_013617992.1, XP_013601374.1	Roisl.0209s0076.1.p
OG0000222	XP_013632777.1, XP_013628848.1	Roisl.0209s0533.1.p
OG0000225	XP_013589445.1, XP_013614962.1, XP_013601687.1, XP_013614963.1, XP_013589713.1, XP_013589712.1, XP_013589714.1	Roisl.0115s0260.1.p
OG0000226	XP_013632872.1	Roisl.0057s0014.1.p, Roisl.0006s0604.1.p
OG0000227	XP_013623209.1	Roisl.0074s0899.1.p
OG0000227	XP_013632738.1	Roisl.0047s0017.1.p
OG0000229	XP_013603547.1	Roisl.0064s0044.1.p, Roisl.0046s0553.1.p, Roisl.0082s0643.1.p
OG0000229	XP_013600996.1	Roisl.0012s0367.1.p, Roisl.0074s0611.1.p, Roisl.0208s0048.1.p
OG0000229	XP_013617888.1, XP_013635776.1, XP_013614577.1	Roisl.0019s0783.1.p, Roisl.0019s0786.1.p
OG0000230	XP_013604629.1	Roisl.0016s0239.1.p, Roisl.0209s0715.1.p
OG0000233	XP_013619195.1, XP_013616049.1, XP_013627166.1, XP_013626870.1	Roisl.0210s0497.1.p
OG0000233	XP_013616047.1, XP_013610081.1	Roisl.0210s0495.1.p, Roisl.0210s0494.1.p
OG0000233	XP_013609768.1, XP_013603711.1, XP_013619712.1	Roisl.0210s0492.1.p
OG0000234	XP_013590850.1	Roisl.0046s0775.1.p, Roisl.0028s0136.1.p
OG0000234	XP_013601559.1	Roisl.0115s0284.1.p, Roisl.0030s0017.1.p, Roisl.0053s0230.1.p, Roisl.0053s0229.1.p, Roisl.0030s0016.1.p
OG0000236	XP_013592345.1	Roisl.0075s0132.1.p, Roisl.0053s0263.1.p, Roisl.0115s0550.1.p, Roisl.0213s0762.1.p
OG0000237	XP_013619410.1, XP_013624166.1, XP_013628123.1, XP_013627513.1, XP_013583422.1, XP_013638927.1, XP_013592450.1, XP_013595113.1, XP_013592994.1	Roisl.0053s0387.1.p, Roisl.0053s0388.1.p, Roisl.0074s0980.1.p, Roisl.0074s0978.1.p, Roisl.0074s0976.1.p
OG0000237	XP_013627485.1	Roisl.0115s0615.1.p
OG0000238	XP_013592340.1, XP_013620214.1	Roisl.0019s0445.1.p
OG0000238	XP_013620218.1	Roisl.0019s0444.1.p
OG0000238	XP_013603021.1	Roisl.0191s0148.1.p
OG0000239	XP_013588995.1, XP_013615546.1, XP_013617220.1, XP_013624255.1, XP_013632905.1, XP_013617434.1, XP_013594837.1, XP_013632465.1	Roisl.0213s0279.1.p
OG0000241	XP_013593118.1, XP_013611429.1	Roisl.0091s0140.1.p
OG0000241	XP_013607002.1	Roisl.0082s0229.1.p
OG0000241	XP_013626139.1	Roisl.0082s0230.1.p
OG0000242	XP_013610078.1	Roisl.0082s0505.1.p, Roisl.0012s0059.1.p, Roisl.0049s0020.1.p, Roisl.0049s0019.1.p, Roisl.0049s0018.1.p
OG0000242	XP_013597142.1, XP_013619903.1	Roisl.0005s0209.1.p, Roisl.0029s0029.1.p, Roisl.0046s0325.1.p
OG0000243	XP_013584622.1, XP_013626468.1	Roisl.0213s0205.1.p
OG0000244	XP_013610574.1, XP_013627706.1, XP_013610658.1	Roisl.0082s0280.1.p
OG0000244	XP_013607462.1	Roisl.0082s0372.1.p, Roisl.0082s0373.1.p, Roisl.0082s0374.1.p
OG0000245	XP_013594572.1, XP_013616911.1, XP_013589287.1, XP_013632593.1, XP_013594961.1, XP_013624658.1, XP_013591103.1, XP_013583325.1, XP_013633457.1, XP_013626333.1, XP_013628023.1, XP_013617114.1, XP_013634271.1, XP_013589388.1, XP_013632999.1	Roisl.0080s0033.1.p
OG0000246	XP_013602866.1	Roisl.0046s1292.1.p
OG0000246	XP_013623426.1	Roisl.0017s0009.1.p, Roisl.0017s0010.1.p, Roisl.0017s0011.1.p
OG0000246	XP_013636148.1, XP_013636145.1	Roisl.0017s0013.1.p
OG0000246	XP_013634409.1, XP_013632346.1, XP_013634416.1	Roisl.0017s0006.1.p, Roisl.0017s0005.1.p, Roisl.0017s0008.1.p
OG0000247	XP_013639107.1	Roisl.0213s0790.1.p, Roisl.0213s0788.1.p, Roisl.0015s0176.1.p
OG0000248	XP_013589631.1, XP_013589630.1	Roisl.0019s0530.1.p
OG0000248	XP_013617187.1	Roisl.0019s0522.1.p, Roisl.0019s0521.1.p
OG0000248	XP_013620054.1, XP_013597084.1	Roisl.0210s2206.1.p
OG0000248	XP_013589629.1	Roisl.0013s0199.1.p
OG0000249	XP_013619823.1	Roisl.0188s0126.1.p
OG0000250	XP_013608826.1	Roisl.0012s0265.1.p
OG0000250	XP_013628057.1	Roisl.0082s0295.1.p
OG0000250	XP_013611497.1	Roisl.0053s0100.1.p
OG0000251	XP_013618605.1	Roisl.0011s0408.1.p
OG0000251	XP_013614872.1	Roisl.0080s0576.1.p
OG0000251	XP_013612265.1	Roisl.0011s0400.1.p
OG0000252	XP_013610505.1	Roisl.0008s0081.1.p
OG0000252	XP_013590884.1, XP_013609066.1, XP_013613905.1	Roisl.0010s0130.1.p, Roisl.0010s0131.1.p, Roisl.0010s0134.1.p
OG0000252	XP_013615523.1	Roisl.0204s0050.1.p
OG0000252	XP_013616477.1, XP_013618016.1, XP_013593877.1, XP_013593879.1	Roisl.0004s0146.1.p
OG0000253	XP_013586681.1, XP_013628594.1	Roisl.0034s0150.1.p
OG0000253	XP_013628965.1, XP_013611399.1	Roisl.0074s0750.1.p
OG0000253	XP_013616125.1	Roisl.0079s0301.1.p
OG0000254	XP_013602906.1, XP_013603478.1	Roisl.0002s0131.1.p
OG0000256	XP_013589655.1	Roisl.0115s0620.1.p, Roisl.0115s0621.1.p
OG0000257	XP_013619391.1	Roisl.0004s0309.1.p
OG0000258	XP_013601159.1, XP_013632859.1	Roisl.0053s0009.1.p
OG0000259	XP_013632446.1	Roisl.0017s0412.1.p, Roisl.0004s0013.1.p, Roisl.0004s0014.1.p
OG0000260	XP_013639488.1	Roisl.0001s0521.1.p
OG0000261	XP_013601791.1, XP_013589680.1, XP_013632713.1, XP_013632766.1, XP_013617358.1, XP_013632699.1, XP_013607933.1, XP_013630015.1, XP_013589025.1, XP_013594830.1, XP_013632616.1	Roisl.0046s0332.1.p
OG0000261	XP_013624938.1, XP_013616962.1, XP_013639240.1, XP_013626900.1, XP_013607880.1, XP_013608378.1, XP_013589547.1, XP_013607773.1, XP_013623798.1, XP_013588952.1, XP_013589493.1, XP_013639099.1, XP_013601695.1, XP_013617042.1, XP_013594976.1, XP_013617377.1, XP_013625955.1, XP_013617057.1, XP_013617975.1, XP_013634019.1, XP_013601754.1, XP_013632934.1, XP_013624456.1, XP_013583442.1, XP_013601913.1, XP_013617340.1, XP_013617107.1	Roisl.0214s0157.1.p
OG0000262	XP_013610529.1, XP_013610227.1	Roisl.0050s0098.1.p, Roisl.0209s0719.1.p, Roisl.0209s0739.1.p
OG0000262	XP_013610735.1	Roisl.0050s0097.1.p
OG0000263	XP_013624798.1, XP_013624417.1, XP_013624116.1, XP_013595119.1, XP_013624706.1	Roisl.0074s0831.1.p
OG0000265	XP_013639635.1, XP_013632585.1, XP_013639156.1, XP_013614113.1, XP_013594550.1, XP_013594818.1, XP_013639395.1, XP_013629230.1	Roisl.0066s0323.1.p, Roisl.0046s0630.1.p, Roisl.0075s0154.1.p, Roisl.0046s1126.1.p
OG0000266	XP_013594947.1	Roisl.0189s0075.1.p, Roisl.0189s0074.1.p, Roisl.0184s0095.1.p, Roisl.0184s0093.1.p
OG0000266	XP_013610430.1	Roisl.0082s0658.1.p, Roisl.0082s0100.1.p
OG0000266	XP_013627484.1, XP_013627602.1	Roisl.0031s0137.1.p
OG0000267	XP_013584525.1	Roisl.0019s0027.1.p
OG0000269	XP_013625891.1	Roisl.0080s0302.1.p
OG0000269	XP_013629589.1	Roisl.0209s0327.1.p
OG0000269	XP_013634861.1, XP_013637342.1, XP_013637340.1	Roisl.0091s1013.1.p, Roisl.0091s1011.1.p, Roisl.0056s0018.1.p, Roisl.0214s0655.1.p, Roisl.0082s0743.1.p
OG0000270	XP_013623543.1	Roisl.0184s0072.1.p
OG0000270	XP_013608096.1, XP_013601842.1, XP_013604072.1, XP_013625151.1, XP_013615664.1, XP_013633244.1	Roisl.0050s0087.1.p
OG0000270	XP_013624992.1, XP_013611661.1	Roisl.0010s0123.1.p
OG0000273	XP_013610647.1	Roisl.0020s0163.1.p, Roisl.0020s0169.1.p, Roisl.0082s0102.1.p, Roisl.0082s0095.1.p, Roisl.0058s0037.1.p, Roisl.0058s0038.1.p
OG0000273	XP_013619636.1	Roisl.0082s0107.1.p
OG0000273	XP_013639748.1	Roisl.0082s0101.1.p
OG0000275	XP_013607799.1	Roisl.0005s0214.1.p
OG0000275	XP_013627934.1, XP_013608532.1, XP_013608530.1, XP_013608536.1, XP_013627649.1, XP_013624778.1, XP_013593112.1	Roisl.0006s0174.1.p
OG0000278	XP_013631768.1	Roisl.0002s0174.1.p
OG0000278	XP_013628027.1	Roisl.0210s2209.1.p, Roisl.0210s2204.1.p, Roisl.0210s2203.1.p, Roisl.0210s2200.1.p, Roisl.0210s2202.1.p
OG0000279	XP_013594138.1, XP_013593806.1	Roisl.0213s0480.1.p, Roisl.0213s0484.1.p, Roisl.0204s0061.1.p, Roisl.0012s0364.1.p, Roisl.0002s0222.1.p, Roisl.0012s0338.1.p, Roisl.0012s0363.1.p, Roisl.0012s0072.1.p
OG0000284	XP_013633451.1	Roisl.0214s0057.1.p
OG0000285	XP_013598049.1	Roisl.0091s0196.1.p
OG0000285	XP_013598493.1, XP_013604992.1	Roisl.0022s0391.1.p
OG0000286	XP_013597138.1	Roisl.0066s0191.1.p
OG0000289	XP_013635810.1	Roisl.0023s0078.1.p
OG0000292	XP_013624333.1, XP_013639386.1, XP_013632606.1, XP_013639423.1, XP_013639539.1, XP_013594984.1, XP_013589072.1, XP_013594814.1, XP_013601216.1, XP_013625423.1, XP_013601608.1, XP_013624244.1, XP_013608022.1	Roisl.0115s0245.1.p
OG0000294	XP_013610492.1, XP_013610778.1	Roisl.0210s1263.1.p
OG0000294	XP_013607677.1	Roisl.0010s0166.1.p, Roisl.0010s0167.1.p
OG0000295	XP_013613563.1	Roisl.0213s0061.1.p
OG0000295	XP_013628407.1	Roisl.0053s0212.1.p, Roisl.0074s0873.1.p
OG0000296	XP_013609630.1	Roisl.0213s0539.1.p, Roisl.0080s0367.1.p
OG0000296	XP_013620395.1, XP_013620391.1, XP_013618644.1, XP_013620392.1, XP_013620394.1	Roisl.0011s0339.1.p, Roisl.0080s0406.1.p, Roisl.0193s0017.1.p
OG0000296	XP_013608277.1	Roisl.0031s0059.1.p
OG0000298	XP_013584781.1	Roisl.0040s0062.1.p
OG0000298	XP_013592782.1, XP_013592451.1	Roisl.0040s0063.1.p
OG0000301	XP_013602649.1, XP_013603566.1, XP_013602650.1, XP_013635448.1, XP_013635214.1, XP_013610690.1	Roisl.0028s0118.1.p, Roisl.0028s0117.1.p, Roisl.0009s0246.1.p, Roisl.0028s0116.1.p
OG0000304	XP_013632374.1	Roisl.0023s0037.1.p
OG0000304	XP_013633331.1	Roisl.0082s0181.1.p, Roisl.0082s0180.1.p
OG0000304	XP_013627237.1, XP_013626278.1	Roisl.0028s0587.1.p, Roisl.0033s0032.1.p
OG0000304	XP_013636622.1	Roisl.0013s0043.1.p
OG0000305	XP_013596992.1	Roisl.0007s0413.1.p
OG0000307	XP_013624155.1	Roisl.0209s0671.1.p, Roisl.0209s0672.1.p
OG0000307	XP_013607544.1	Roisl.0008s0124.1.p, Roisl.0008s0125.1.p, Roisl.0008s0119.1.p, Roisl.0210s2233.1.p, Roisl.0008s0116.1.p, Roisl.0008s0097.1.p, Roisl.0210s2235.1.p
OG0000308	XP_013595257.1	Roisl.0012s0108.1.p
OG0000308	XP_013619016.1	Roisl.0012s0105.1.p
OG0000308	XP_013609877.1, XP_013607782.1, XP_013594787.1, XP_013595949.1, XP_013619444.1, XP_013617606.1, XP_013609896.1	Roisl.0012s0104.1.p, Roisl.0012s0103.1.p, Roisl.0012s0106.1.p
OG0000309	XP_013611417.1, XP_013604074.1, XP_013620256.1, XP_013636551.1, XP_013628786.1, XP_013620255.1	Roisl.0080s0230.1.p, Roisl.0091s1072.1.p, Roisl.0091s1073.1.p
OG0000309	XP_013586115.1	Roisl.0007s0231.1.p
OG0000312	XP_013632576.1, XP_013585945.1	Roisl.0045s0056.1.p, Roisl.0066s0411.1.p
OG0000313	XP_013588264.1, XP_013616005.1	Roisl.0044s0033.1.p
OG0000318	XP_013588656.1	Roisl.0019s0564.1.p
OG0000318	XP_013584529.1	Roisl.0007s0521.1.p
OG0000320	XP_013616729.1, XP_013601450.1	Roisl.0075s0017.1.p, Roisl.0189s0005.1.p
OG0000320	XP_013601193.1, XP_013614006.1	Roisl.0094s0006.1.p, Roisl.0184s0032.1.p, Roisl.0071s0012.1.p
OG0000321	XP_013628373.1	Roisl.0115s0278.1.p, Roisl.0006s0066.1.p
OG0000321	XP_013621196.1	Roisl.0204s0187.1.p
OG0000322	XP_013624759.1	Roisl.0080s0556.1.p
OG0000323	XP_013601504.1, XP_013601503.1, XP_013605611.1	Roisl.0194s0064.1.p, Roisl.0194s0057.1.p
OG0000323	XP_013633152.1	Roisl.0009s0244.1.p
OG0000323	XP_013587884.1	Roisl.0019s0212.1.p, Roisl.0019s0210.1.p
OG0000323	XP_013592591.1	Roisl.0019s0204.1.p
OG0000325	XP_013636697.1, XP_013622603.1	Roisl.0028s0703.1.p
OG0000326	XP_013610372.1	Roisl.0031s0065.1.p, Roisl.0074s1033.1.p, Roisl.0005s0077.1.p, Roisl.0005s0078.1.p, Roisl.0213s0804.1.p, Roisl.0079s0237.1.p
OG0000328	XP_013591874.1	Roisl.0115s0436.1.p
OG0000329	XP_013605281.1, XP_013605279.1	Roisl.0002s0278.1.p
OG0000330	XP_013590898.1, XP_013590516.1	Roisl.0019s0200.1.p, Roisl.0019s0198.1.p, Roisl.0019s0196.1.p, Roisl.0019s0199.1.p, Roisl.0019s0197.1.p, Roisl.0019s0195.1.p, Roisl.0020s0181.1.p, Roisl.0019s0076.1.p
OG0000330	XP_013588250.1, XP_013589502.1, XP_013590614.1, XP_013590374.1, XP_013590664.1, XP_013618931.1	Roisl.0019s0201.1.p
OG0000331	XP_013629475.1, XP_013611648.1	Roisl.0191s0607.1.p
OG0000331	XP_013629139.1	Roisl.0074s0203.1.p
OG0000331	XP_013630077.1	Roisl.0017s0021.1.p
OG0000331	XP_013637320.1	Roisl.0035s0031.1.p
OG0000332	XP_013607236.1, XP_013606280.1	Roisl.0209s0699.1.p
OG0000332	XP_013606253.1, XP_013607362.1	Roisl.0209s0709.1.p, Roisl.0209s0700.1.p, Roisl.0209s0704.1.p, Roisl.0209s0703.1.p, Roisl.0209s0707.1.p, Roisl.0209s0702.1.p, Roisl.0209s0692.1.p
OG0000334	XP_013633351.1, XP_013594364.1	Roisl.0008s0346.1.p
OG0000334	XP_013589398.1, XP_013601140.1	Roisl.0082s0483.1.p
OG0000335	XP_013588585.1	Roisl.0018s0074.1.p
OG0000336	XP_013608922.1	Roisl.0214s0842.1.p, Roisl.0021s0006.1.p, Roisl.0214s0804.1.p, Roisl.0036s0101.1.p
OG0000338	XP_013601166.1	Roisl.0080s0730.1.p
OG0000341	XP_013619802.1	Roisl.0189s0228.1.p
OG0000341	XP_013590838.1	Roisl.0013s0080.1.p
OG0000342	XP_013630161.1, XP_013630378.1, XP_013624990.1	Roisl.0074s0190.1.p
OG0000342	XP_013624227.1	Roisl.0074s0213.1.p
OG0000343	XP_013624416.1, XP_013632357.1, XP_013628397.1, XP_013594965.1, XP_013607748.1, XP_013632809.1, XP_013617024.1, XP_013632029.1, XP_013594432.1, XP_013601134.1, XP_013624538.1, XP_013589484.1, XP_013615549.1, XP_013607830.1, XP_013601207.1, XP_013608425.1, XP_013624791.1, XP_013624420.1, XP_013624666.1	Roisl.0060s0012.1.p, Roisl.0214s0813.1.p, Roisl.0036s0093.1.p, Roisl.0066s0245.1.p, Roisl.0005s0277.1.p, Roisl.0209s0236.1.p, Roisl.0204s0147.1.p, Roisl.0213s0751.1.p, Roisl.0009s0304.1.p, Roisl.0008s0067.1.p, Roisl.0213s0182.1.p, Roisl.0213s0482.1.p, Roisl.0012s0389.1.p, Roisl.0185s0048.1.p, Roisl.0075s0028.1.p, Roisl.0189s0044.1.p, Roisl.0027s0017.1.p, Roisl.0210s2092.1.p, Roisl.0029s0056.1.p, Roisl.0027s0149.1.p, Roisl.0045s0008.1.p, Roisl.0047s0050.1.p
OG0000344	XP_013615023.1	Roisl.0210s2099.1.p
OG0000344	XP_013601852.1	Roisl.0021s0257.1.p
OG0000345	XP_013625024.1, XP_013619486.1	Roisl.0210s0658.1.p, Roisl.0012s0138.1.p
OG0000345	XP_013619714.1	Roisl.0210s0657.1.p
OG0000345	XP_013587167.1, XP_013602022.1, XP_013600499.1	Roisl.0210s0362.1.p, Roisl.0210s0659.1.p
OG0000346	XP_013590573.1	Roisl.0046s1306.1.p
OG0000346	XP_013613384.1, XP_013598778.1	Roisl.0011s0395.1.p
OG0000346	XP_013596386.1	Roisl.0011s0394.1.p
OG0000347	XP_013600562.1, XP_013587671.1	Roisl.0210s0074.1.p
OG0000347	XP_013612790.1, XP_013630573.1	Roisl.0191s0472.1.p
OG0000348	XP_013594309.1, XP_013610709.1, XP_013635424.1, XP_013620031.1	Roisl.0046s1018.1.p
OG0000349	XP_013618860.1	Roisl.0080s0313.1.p
OG0000349	XP_013620734.1	Roisl.0080s0309.1.p, Roisl.0080s0308.1.p, Roisl.0023s0096.1.p, Roisl.0080s0311.1.p
OG0000350	XP_013626949.1, XP_013584917.1, XP_013584915.1, XP_013584959.1, XP_013584919.1, XP_013584886.1, XP_013584707.1, XP_013589790.1, XP_013591347.1	Roisl.0115s0545.1.p
OG0000352	XP_013624236.1, XP_013635278.1, XP_013632436.1, XP_013608431.1, XP_013633292.1, XP_013601298.1, XP_013616958.1, XP_013619575.1, XP_013589343.1, XP_013590974.1, XP_013624437.1, XP_013624120.1, XP_013617883.1, XP_013594325.1, XP_013617917.1, XP_013624810.1, XP_013617273.1, XP_013617942.1, XP_013607823.1, XP_013594624.1, XP_013613703.1, XP_013624875.1	Roisl.0007s0668.1.p, Roisl.0021s0579.1.p, Roisl.0064s0039.1.p, Roisl.0111s0028.1.p
OG0000355	XP_013610714.1, XP_013619932.1, XP_013621272.1, XP_013619937.1	Roisl.0080s0227.1.p
OG0000355	XP_013639809.1, XP_013632661.1	Roisl.0115s0279.1.p
OG0000355	XP_013635683.1, XP_013635570.1	Roisl.0188s0094.1.p, Roisl.0082s0629.1.p
OG0000356	XP_013603506.1	Roisl.0051s0058.1.p, Roisl.0051s0057.1.p
OG0000356	XP_013604125.1	Roisl.0051s0049.1.p
OG0000357	XP_013635658.1	Roisl.0028s0848.1.p
OG0000358	XP_013584584.1	Roisl.0006s0204.1.p
OG0000359	XP_013614781.1, XP_013619112.1	Roisl.0052s0041.1.p
OG0000359	XP_013602977.1, XP_013596321.1	Roisl.0022s0430.1.p
OG0000359	XP_013603104.1, XP_013596584.1, XP_013597076.1, XP_013600866.1	Roisl.0022s0431.1.p
OG0000364	XP_013617644.1, XP_013613593.1, XP_013613595.1, XP_013632686.1	Roisl.0210s1531.1.p
OG0000365	XP_013584210.1	Roisl.0191s0377.1.p
OG0000365	XP_013614801.1	Roisl.0091s0256.1.p, Roisl.0044s0090.1.p
OG0000365	XP_013638892.1	Roisl.0191s0376.1.p, Roisl.0191s0375.1.p
OG0000367	XP_013597383.1	Roisl.0210s1206.1.p, Roisl.0210s1207.1.p, Roisl.0066s0049.1.p
OG0000368	XP_013622965.1	Roisl.0209s0378.1.p
OG0000369	XP_013601023.1, XP_013601021.1, XP_013588993.1, XP_013588958.1, XP_013588961.1	Roisl.0198s0010.1.p, Roisl.0068s0013.1.p
OG0000369	XP_013594963.1, XP_013596955.1	Roisl.0002s0272.1.p
OG0000370	XP_013593030.1	Roisl.0053s0260.1.p, Roisl.0053s0258.1.p, Roisl.0022s0429.1.p, Roisl.0053s0261.1.p, Roisl.0053s0259.1.p
OG0000371	XP_013633022.1	Roisl.0053s0432.1.p
OG0000374	XP_013608072.1, XP_013617531.1	Roisl.0027s0041.1.p, Roisl.0008s0084.1.p
OG0000374	XP_013632467.1	Roisl.0213s0016.1.p, Roisl.0038s0034.1.p
OG0000376	XP_013609787.1, XP_013620825.1	Roisl.0214s0566.1.p
OG0000376	XP_013610000.1	Roisl.0214s0567.1.p
OG0000377	XP_013598869.1	Roisl.0001s0366.1.p
OG0000377	XP_013605587.1	Roisl.0024s0025.1.p, Roisl.0024s0026.1.p
OG0000377	XP_013593941.1	Roisl.0001s0360.1.p, Roisl.0001s0359.1.p
OG0000379	XP_013597635.1, XP_013607868.1	Roisl.0011s0109.1.p
OG0000379	XP_013637011.1	Roisl.0046s1392.1.p
OG0000379	XP_013618006.1	Roisl.0011s0108.1.p
OG0000379	XP_013613808.1	Roisl.0209s0589.1.p
OG0000380	XP_013610573.1, XP_013612483.1	Roisl.0046s0776.1.p, Roisl.0053s0094.1.p
OG0000380	XP_013613287.1, XP_013628418.1, XP_013610830.1, XP_013616929.1	Roisl.0080s0258.1.p
OG0000381	XP_013635209.1	Roisl.0039s0084.1.p
OG0000382	XP_013619489.1, XP_013627154.1, XP_013610941.1	Roisl.0082s0436.1.p, Roisl.0082s0437.1.p, Roisl.0082s0435.1.p
OG0000382	XP_013636573.1, XP_013630416.1	Roisl.0017s0121.1.p
OG0000383	XP_013600654.1	Roisl.0191s0202.1.p
OG0000383	XP_013633031.1, XP_013635126.1, XP_013636627.1, XP_013601648.1, XP_013587907.1	Roisl.0046s1443.1.p, Roisl.0046s1442.1.p
OG0000384	XP_013620026.1	Roisl.0005s0096.1.p, Roisl.0005s0092.1.p, Roisl.0005s0097.1.p
OG0000384	XP_013616565.1, XP_013619839.1	Roisl.0005s0093.1.p, Roisl.0005s0094.1.p, Roisl.0005s0095.1.p, Roisl.0058s0078.1.p, Roisl.0027s0086.1.p, Roisl.0046s0572.1.p
OG0000388	XP_013639835.1, XP_013593763.1	Roisl.0115s0268.1.p
OG0000389	XP_013619465.1	Roisl.0080s0645.1.p, Roisl.0045s0047.1.p, Roisl.0080s0647.1.p, Roisl.0080s0644.1.p, Roisl.0080s0648.1.p
OG0000390	XP_013593456.1	Roisl.0191s0070.1.p
OG0000390	XP_013600140.1	Roisl.0191s0069.1.p
OG0000390	XP_013638777.1	Roisl.0191s0068.1.p
OG0000390	XP_013598821.1	Roisl.0191s0071.1.p
OG0000391	XP_013591638.1, XP_013591683.1, XP_013591979.1	Roisl.0019s0151.1.p, Roisl.0019s0152.1.p
OG0000391	XP_013587607.1	Roisl.0074s0974.1.p
OG0000392	XP_013602876.1	Roisl.0007s0428.1.p
OG0000392	XP_013604246.1, XP_013585331.1	Roisl.0007s0429.1.p
OG0000392	XP_013593167.1, XP_013593168.1, XP_013599700.1, XP_013599691.1, XP_013599541.1	Roisl.0053s0066.1.p, Roisl.0022s0174.1.p
OG0000393	XP_013635118.1	Roisl.0022s0065.1.p
OG0000393	XP_013590492.1, XP_013590550.1	Roisl.0022s0063.1.p, Roisl.0022s0069.1.p, Roisl.0213s0857.1.p, Roisl.0022s0068.1.p
OG0000394	XP_013617904.1, XP_013633872.1	Roisl.0074s0397.1.p
OG0000394	XP_013584295.1, XP_013585267.1	Roisl.0074s0396.1.p
OG0000395	XP_013603142.1, XP_013600895.1, XP_013584929.1	Roisl.0007s0746.1.p
OG0000397	XP_013638341.1, XP_013623581.1, XP_013627454.1	Roisl.0074s0168.1.p
OG0000398	XP_013607717.1, XP_013589000.1	Roisl.0185s0006.1.p
OG0000399	XP_013606142.1, XP_013622500.1	Roisl.0210s0189.1.p
OG0000399	XP_013613576.1	Roisl.0019s0002.1.p
OG0000399	XP_013605289.1, XP_013587547.1	Roisl.0091s1200.1.p
OG0000402	XP_013611362.1, XP_013621115.1	Roisl.0024s0577.1.p
OG0000402	XP_013611365.1, XP_013607432.1	Roisl.0024s0579.1.p
OG0000402	XP_013597495.1, XP_013597756.1, XP_013597759.1, XP_013597755.1	Roisl.0010s0132.1.p, Roisl.0024s0578.1.p
OG0000403	XP_013614644.1, XP_013607471.1	Roisl.0009s0300.1.p
OG0000403	XP_013626683.1	Roisl.0082s0323.1.p
OG0000404	XP_013615218.1	Roisl.0046s1192.1.p
OG0000404	XP_013638800.1	Roisl.0033s0035.1.p
OG0000404	XP_013633411.1, XP_013601666.1	Roisl.0019s0526.1.p
OG0000405	XP_013627720.1	Roisl.0074s0511.1.p
OG0000405	XP_013607534.1	Roisl.0080s0107.1.p
OG0000406	XP_013602126.1, XP_013616420.1, XP_013625792.1	Roisl.0091s1057.1.p, Roisl.0209s0305.1.p, Roisl.0080s0287.1.p
OG0000407	XP_013634586.1, XP_013583454.1, XP_013639040.1	Roisl.0210s0266.1.p, Roisl.0191s0363.1.p, Roisl.0035s0015.1.p
OG0000407	XP_013603282.1	Roisl.0021s0222.1.p, Roisl.0035s0016.1.p
OG0000409	XP_013598010.1, XP_013638650.1	Roisl.0213s0127.1.p
OG0000410	XP_013624753.1	Roisl.0091s0074.1.p
OG0000410	XP_013619340.1	Roisl.0091s0072.1.p
OG0000410	XP_013626248.1	Roisl.0082s0155.1.p
OG0000411	XP_013601761.1, XP_013633250.1	Roisl.0051s0020.1.p, Roisl.0021s0617.1.p, Roisl.0051s0025.1.p, Roisl.0198s0060.1.p, Roisl.0051s0021.1.p, Roisl.0051s0029.1.p, Roisl.0021s0618.1.p, Roisl.0051s0019.1.p, Roisl.0051s0023.1.p, Roisl.0051s0030.1.p
OG0000412	XP_013606449.1, XP_013614286.1	Roisl.0210s1356.1.p
OG0000412	XP_013637496.1	Roisl.0064s0018.1.p
OG0000412	XP_013621636.1	Roisl.0055s0014.1.p
OG0000412	XP_013636878.1, XP_013587377.1, XP_013622724.1	Roisl.0074s0156.1.p
OG0000413	XP_013583404.1	Roisl.0074s0623.1.p
OG0000413	XP_013589867.1	Roisl.0006s0531.1.p, Roisl.0006s0530.1.p
OG0000413	XP_013591843.1, XP_013591005.1	Roisl.0074s0624.1.p
OG0000414	XP_013613085.1	Roisl.0201s0006.1.p
OG0000415	XP_013629810.1, XP_013627540.1, XP_013634294.1, XP_013584864.1, XP_013620046.1, XP_013608371.1, XP_013601856.1, XP_013608439.1, XP_013617656.1, XP_013608065.1, XP_013601790.1, XP_013595186.1, XP_013615712.1, XP_013600495.1, XP_013609342.1, XP_013630833.1, XP_013610588.1, XP_013584767.1	Roisl.0115s0558.1.p
OG0000415	XP_013615779.1, XP_013608332.1, XP_013613648.1, XP_013624891.1, XP_013590107.1	Roisl.0066s0313.1.p, Roisl.0012s0017.1.p
OG0000416	YP_004927507.1	Roisl.0058s0087.1.p
OG0000419	XP_013631932.1, XP_013635700.1	Roisl.0028s0942.1.p, Roisl.0028s0943.1.p
OG0000419	XP_013624001.1, XP_013625089.1	Roisl.0017s0297.1.p
OG0000420	XP_013635917.1	Roisl.0028s0359.1.p
OG0000421	XP_013611457.1	Roisl.0031s0029.1.p
OG0000421	XP_013625619.1, XP_013625620.1, XP_013628650.1, XP_013621043.1	Roisl.0080s0733.1.p
OG0000424	XP_013611781.1	Roisl.0080s0876.1.p
OG0000424	XP_013613876.1	Roisl.0006s0164.1.p
OG0000424	XP_013583993.1, XP_013625239.1, XP_013611607.1	Roisl.0115s0394.1.p
OG0000425	XP_013624935.1	Roisl.0012s0071.1.p
