Orthogroup	Brassica_oleracea	Euclidium_syriacum
OG0001553	XP_013589873.1, XP_013592122.1	ESY2_g37428_DN3_SP0_c0.t1
OG0001554	XP_013625354.1, XP_013589992.1	ESY2_g37027_DN3_SP7_c0.t1
OG0001554	XP_013618897.1, XP_013638912.1	ESY3_g30608_DN3_SP8_c0.t1
OG0001555	XP_013618285.1, XP_013594241.1	ESY10_g14880_DN3_SP8_c0.t1
OG0001555	XP_013635867.1, XP_013597721.1	ESY9_g42477_DN3_SP8_c0.t1, ESY9_g45565_DN3_SP0_c0.t1
OG0001556	XP_013621619.1, XP_013595447.1, XP_013598861.1	ESY10_g14781_DN3_SP8_c0.t1
OG0001557	XP_013598702.1, XP_013612516.1, XP_013621118.1	ESY6_g50280_DN3_SP8_c0.t1
OG0001557	XP_013605487.1	ESY1_g10059_DN3_SP8_c0.t1
OG0001558	XP_013613926.1, XP_013637420.1, XP_013629973.1	ESY12_g51413_DN3_SP8_c0.t1
OG0001558	XP_013631699.1	ESY1_g12436_DN3_SP8_c0.t1
OG0001559	XP_013593954.1, XP_013603330.1	ESY4_g25063_DN3_SP0_c0.t1
OG0001559	XP_013602885.1	ESY8_g59356_DN3_SP7_c0.t1
OG0001560	XP_013627865.1, XP_013633594.1	ESY12_g52119_DN3_SP3_c0.t1
OG0001560	XP_013601713.1	ESY1_g11925_DN3_SP0_c0.t1
OG0001561	XP_013589359.1, XP_013614179.1	ESY1_g11548_DN3_SP0_c0.t1
OG0001562	XP_013599771.1, XP_013589874.1, XP_013631613.1	ESY12_g51251_DN2_SP0_c0.t1
OG0001563	XP_013622126.1, XP_013637155.1	ESY12_g51051_DN3_SP8_c0.t1
OG0001563	XP_013632242.1, XP_013637036.1	ESY1_g11799_DN3_SP8_c5.t1
OG0001564	XP_013637444.1, XP_013602020.1	ESY1_g10678_DN3_SP8_c0.t1
OG0001564	XP_013631671.1, XP_013628735.1	ESY9_g45634_DN3_SP8_c0.t1
OG0001566	XP_013631570.1	ESY9_g45155_DN2_SP0_c0.t1
OG0001566	XP_013604216.1	ESY1_g10997_DN3_SP0_c0.t1
OG0001567	XP_013602819.1	ESY1_g10659_DN3_SP0_c31.t1, ESY1_g10417_DN3_SP0_c0.t1
OG0001567	XP_013616478.1, XP_013595935.1	ESY2_g35225_DN3_SP0_c0.t1
OG0001568	XP_013602121.1, XP_013598555.1	ESY4_g24478_DN3_SP8_c17.t1
OG0001568	XP_013611593.1	ESY11_g54513_DN3_SP8_c17.t1
OG0001569	XP_013602322.1, XP_013615665.1, XP_013632456.1, XP_013623596.1	ESY8_g59837_DN3_SP8_c0.t1
OG0001569	XP_013597712.1	ESY4_g26815_DN3_SP3_c0.t1
OG0001570	XP_013588542.1, XP_013613630.1	ESY2_g35739_DN3_SP8_c0.t1
OG0001571	XP_013602337.1	ESY5_g5197_DN3_SP7_c0.t1
OG0001571	XP_013625668.1, XP_013628187.1, XP_013609345.1	ESY7_g16907_DN3_SP8_c0.t1
OG0001572	XP_013624128.1	ESY3_g31781_DN3_SP0_c0.t1
OG0001572	XP_013599212.1, XP_013621460.1	ESY10_g15570_DN3_SP8_c0.t1
OG0001573	XP_013606757.1, XP_013595329.1	ESY10_g15716_DN3_SP0_c0.t1
OG0001573	XP_013584778.1, XP_013588737.1	ESY3_g31921_DN3_SP0_c0.t1
OG0001574	XP_013600867.1, XP_013623996.1, XP_013598567.1	ESY4_g24014_DN3_SP0_c0.t1
OG0001574	XP_013598627.1	ESY11_g54946_DN3_SP8_c5.t1
OG0001575	XP_013607650.1, XP_013607646.1, XP_013589646.1	ESY3_g32543_DN3_SP0_c0.t1
OG0001575	XP_013610190.1	ESY7_g19596_DN3_SP0_c0.t1, ESY7_g17373_DN3_SP0_c0.t1
OG0001576	XP_013611174.1, XP_013616261.1, XP_013599427.1	ESY10_g15671_DN3_SP6_c0.t1
OG0001577	XP_013597999.1, XP_013638125.1, XP_013584993.1, XP_013626429.1	ESY3_g30675_DN3_SP0_c0.t1
OG0001580	XP_013601365.1, XP_013594802.1	ESY4_g23389_DN2_SP0_c0.t1, ESY4_g23391_DN2_SP0_c0.t1
OG0001581	XP_013613535.1, XP_013613532.1	ESY8_g60818_DN1_SP0_c0.t1
OG0001581	XP_013613520.1	ESY7_g18492_DN3_SP0_c0.t1
OG0001582	XP_013634882.1, XP_013634261.1, XP_013586641.1, XP_013605632.1	ESY5_g4851_DN3_SP8_c0.t1
OG0001583	XP_013605431.1	ESY5_g3575_DN3_SP0_c0.t1
OG0001583	XP_013585545.1	ESY5_g3576_DN3_SP0_c0.t1
OG0001583	XP_013606320.1, XP_013631681.1, XP_013596817.1	ESY2_g33921_DN3_SP0_c0.t1
OG0001584	XP_013602709.1, XP_013585258.1, XP_013585257.1	ESY5_g2858_DN3_SP8_c0.t1
OG0001584	XP_013593575.1, XP_013614246.1	ESY10_g14587_DN3_SP8_c0.t1
OG0001585	XP_013586103.1, XP_013593686.1	ESY5_g2272_DN3_SP0_c27.t1
OG0001585	XP_013599519.1	ESY5_g2266_DN3_SP1_c0.t1, ESY5_g2793_DN3_SP1_c19.t1
OG0001586	XP_013621328.1, XP_013609459.1, XP_013606782.1	ESY10_g14137_DN3_SP0_c0.t1, ESY10_g14142_DN2_SP0_c0.t1
OG0001587	XP_013583830.1, XP_013600286.1	ESY5_g2096_DN3_SP6_c0.t1
OG0001587	XP_013619267.1	ESY2_g35591_DN3_SP6_c0.t1
OG0001588	XP_013612681.1	ESY2_g33303_DN3_SP0_c0.t1
OG0001588	XP_013591251.1	ESY8_g60022_DN2_SP0_c0.t1
OG0001589	XP_013621507.1, XP_013598108.1	ESY11_g54184_DN3_SP0_c0.t1
OG0001591	XP_013602766.1	ESY8_g59697_DN2_SP0_c0.t1
OG0001591	XP_013617108.1	ESY4_g26649_DN3_SP0_c0.t1
OG0001592	XP_013619784.1, XP_013617858.1, XP_013627701.1, XP_013627700.1, XP_013638666.1	ESY4_g25747_DN3_SP0_c0.t1
OG0001593	XP_013585950.1, XP_013601995.1	ESY5_g2657_DN3_SP7_c0.t1
OG0001593	XP_013593340.1	ESY10_g14059_DN3_SP5_c0.t1
OG0001595	XP_013588416.1	ESY2_g35336_DN3_SP0_c0.t1
OG0001597	XP_013608227.1, XP_013600915.1	ESY6_g48251_DN3_SP0_c0.t1
OG0001598	XP_013611020.1	ESY7_g18630_DN3_SP0_c0.t1
OG0001598	XP_013596545.1	ESY6_g49561_DN3_SP0_c0.t1
OG0001599	XP_013588924.1, XP_013587618.1	ESY4_g24196_DN2_SP0_c0.t1
OG0001600	XP_013601520.1	ESY1_g8342_DN3_SP0_c0.t1
OG0001600	XP_013614068.1, XP_013601500.1	ESY2_g37606_DN2_SP0_c16.t1, ESY13_g58033_DN3_SP0_c27.t1, ESY18_g63551_DN2_SP0_c8.t1, ESY4_g24656_DN1_SP0_c18.t1
OG0001603	XP_013594440.1, XP_013599556.1	ESY1_g9190_DN3_SP0_c0.t1
OG0001603	XP_013628437.1	ESY6_g49708_DN3_SP0_c0.t1
OG0001604	XP_013585061.1, XP_013605134.1	ESY5_g4125_DN1_SP0_c0.t1, ESY5_g4127_DN1_SP0_c0.t1
OG0001604	XP_013627740.1, XP_013590940.1	ESY1_g9011_DN2_SP0_c0.t1
OG0001605	XP_013633163.1, XP_013633164.1	ESY21_g55814_DN3_SP0_c0.t1
OG0001606	XP_013616393.1	ESY7_g17209_DN3_SP0_c0.t1
OG0001607	XP_013631960.1, XP_013586541.1	ESY3_g32385_DN2_SP7_c11.t1
OG0001607	XP_013621488.1, XP_013611089.1	ESY7_g17239_DN3_SP8_c6.t1
OG0001608	XP_013584646.1, XP_013584703.1, XP_013615569.1, XP_013629521.1	ESY3_g29194_DN3_SP0_c18.t1
OG0001609	XP_013614754.1, XP_013629561.1, XP_013613088.1	ESY3_g32477_DN3_SP0_c0.t1
OG0001610	XP_013594650.1, XP_013598874.1, XP_013587154.1, XP_013625419.1, XP_013584202.1	ESY1_g9940_DN2_SP7_c0.t1
OG0001611	XP_013611221.1	ESY7_g18369_DN3_SP8_c0.t1
OG0001611	XP_013611368.1, XP_013621190.1	ESY6_g49880_DN3_SP8_c0.t1
OG0001612	XP_013606966.1	ESY6_g49885_DN3_SP5_c0.t1
OG0001612	XP_013629155.1, XP_013612653.1	ESY7_g18321_DN3_SP5_c0.t1
OG0001613	XP_013628606.1, XP_013611835.1	ESY7_g18234_DN3_SP4_c0.t1
OG0001613	XP_013594999.1	ESY6_g49915_DN2_SP0_c48.t1, ESY6_g49913_DN3_SP0_c0.t1
OG0001614	XP_013629094.1, XP_013602309.1, XP_013620182.1, XP_013612601.1	ESY7_g17998_DN3_SP8_c0.t1
OG0001615	XP_013604018.1	ESY8_g59710_DN2_SP7_c0.t1
OG0001617	XP_013606204.1, XP_013630715.1	ESY7_g17806_DN3_SP8_c0.t1
OG0001617	XP_013616525.1, XP_013623624.1	ESY6_g49613_DN3_SP8_c0.t1
OG0001618	XP_013606047.1	ESY6_g50205_DN3_SP8_c0.t1
OG0001618	XP_013619027.1, XP_013612243.1, XP_013612245.1, XP_013600317.1	ESY7_g18652_DN3_SP8_c0.t1
OG0001619	XP_013606624.1	ESY8_g58330_DN3_SP0_c0.t1
OG0001619	XP_013594812.1, XP_013586956.1	ESY5_g5170_DN1_SP0_c0.t1
OG0001620	XP_013637916.1, XP_013605924.1, XP_013636497.1, XP_013636068.1	ESY8_g58855_DN3_SP6_c12.t1
OG0001621	XP_013622663.1	ESY8_g58719_DN3_SP7_c0.t1
OG0001621	XP_013586505.1, XP_013603982.1	ESY5_g4567_DN3_SP8_c0.t1
OG0001622	XP_013583819.1, XP_013602287.1	ESY5_g4581_DN3_SP0_c0.t1
OG0001622	XP_013632669.1	ESY8_g58702_DN3_SP0_c0.t1
OG0001623	XP_013637300.1	ESY8_g58655_DN3_SP1_c0.t1
OG0001623	XP_013583691.1, XP_013600707.1	ESY5_g4615_DN3_SP0_c0.t1
OG0001624	XP_013632640.1, XP_013634701.1, XP_013633627.1	ESY8_g58495_DN3_SP0_c0.t1
OG0001624	XP_013585790.1	ESY5_g4659_DN3_SP0_c0.t1
OG0001625	XP_013631820.1	ESY8_g58418_DN3_SP3_c0.t1
OG0001625	XP_013605590.1, XP_013638323.1	ESY5_g4771_DN3_SP0_c0.t1
OG0001626	XP_013602136.1, XP_013586138.1	ESY20_g12803_DN3_SP3_c0.t1, ESY5_g4967_DN3_SP6_c0.t1
OG0001627	XP_013638105.1	ESY5_g4990_DN3_SP8_c0.t1
OG0001627	XP_013630998.1, XP_013631116.1	ESY20_g12831_DN3_SP8_c10.t1
OG0001628	XP_013637820.1	ESY5_g5077_DN2_SP0_c0.t1
OG0001628	XP_013619822.1, XP_013595668.1, XP_013595666.1, XP_013609200.1	ESY8_g58144_DN3_SP0_c0.t1
OG0001629	XP_013622503.1, XP_013606271.1	ESY8_g58230_DN3_SP0_c0.t1
OG0001629	XP_013600401.1	ESY5_g5123_DN3_SP2_c0.t1
OG0001630	XP_013617332.1, XP_013594000.1, XP_013618437.1, XP_013609622.1	ESY13_g56421_DN3_SP2_c0.t1
OG0001631	XP_013598908.1, XP_013621033.1	ESY1_g5965_DN3_SP0_c0.t1
OG0001631	XP_013593949.1	ESY2_g35208_DN3_SP0_c0.t1
OG0001632	XP_013627055.1, XP_013584748.1, XP_013625970.1, XP_013598011.1	ESY4_g22928_DN3_SP8_c0.t1
OG0001633	XP_013596657.1	ESY6_g49460_DN3_SP0_c0.t1
OG0001633	XP_013596343.1	ESY6_g49453_DN3_SP0_c0.t1, ESY2_g34122_DN3_SP0_c0.t1
OG0001634	XP_013612917.1	ESY6_g49535_DN3_SP8_c0.t1
OG0001634	XP_013598290.1	ESY5_g2721_DN3_SP0_c0.t1
OG0001635	XP_013630355.1, XP_013606791.1, XP_013623031.1	ESY6_g50147_DN3_SP7_c0.t1
OG0001636	XP_013597977.1, XP_013620823.1, XP_013604158.1, XP_013627012.1	ESY6_g50042_DN2_SP0_c0.t1
OG0001638	XP_013606063.1, XP_013630481.1, XP_013620664.1	ESY6_g49266_DN3_SP8_c0.t1, ESY6_g49270_DN3_SP1_c0.t1
OG0001639	XP_013614647.1	ESY6_g48300_DN2_SP0_c0.t1
OG0001639	XP_013620115.1	ESY5_g3535_DN3_SP0_c0.t1
OG0001640	XP_013619189.1	ESY16_g62465_DN3_SP1_c0.t1
OG0001640	XP_013625958.1, XP_013608956.1, XP_013596751.1	ESY6_g48055_DN3_SP8_c0.t1
OG0001641	XP_013621496.1	ESY97_g19681_DN3_SP5_c0.t1, ESY6_g47991_DN3_SP3_c0.t1
OG0001641	XP_013622624.1, XP_013597509.1	ESY16_g62393_DN3_SP0_c0.t1
OG0001642	XP_013627494.1, XP_013622480.1, XP_013609793.1, XP_013626835.1, XP_013597027.1, XP_013616456.1	ESY6_g47978_DN3_SP0_c0.t1
OG0001643	XP_013639769.1	ESY16_g62246_DN3_SP0_c0.t1
OG0001643	XP_013610499.1	ESY6_g47623_DN3_SP8_c0.t1
OG0001644	XP_013630802.1, XP_013633554.1	ESY3_g31324_DN3_SP8_c0.t1
OG0001645	XP_013585869.1, XP_013627193.1	ESY3_g31255_DN3_SP0_c0.t1
OG0001646	XP_013611098.1, XP_013629005.1, XP_013637968.1, XP_013592337.1	ESY3_g31222_DN3_SP8_c0.t1
OG0001647	XP_013590711.1	ESY1_g11742_DN3_SP2_c0.t1
OG0001647	XP_013620670.1, XP_013614446.1, XP_013611285.1	ESY7_g19176_DN3_SP8_c10.t1
OG0001648	XP_013631148.1, XP_013588136.1	ESY8_g60226_DN3_SP8_c0.t1
OG0001648	XP_013607001.1, XP_013593551.1	ESY10_g13722_DN3_SP0_c0.t1
OG0001649	XP_013592026.1, XP_013637161.1	ESY8_g60169_DN3_SP8_c0.t1
OG0001649	XP_013598232.1	ESY10_g13762_DN3_SP8_c0.t1
OG0001650	XP_013635459.1	ESY8_g60090_DN3_SP6_c0.t1
OG0001650	XP_013608612.1	ESY2_g33400_DN3_SP8_c0.t1
OG0001651	XP_013604407.1, XP_013587620.1	ESY5_g3028_DN3_SP5_c0.t1
OG0001651	XP_013620449.1, XP_013588226.1	ESY2_g36675_DN3_SP8_c0.t1
OG0001652	XP_013591502.1	ESY2_g36714_DN3_SP6_c0.t1
OG0001652	XP_013618281.1	ESY2_g36715_DN3_SP1_c0.t1
OG0001653	XP_013586811.1	ESY5_g3054_DN3_SP2_c12.t1
OG0001653	XP_013588218.1	ESY4_g23325_DN3_SP0_c0.t1
OG0001653	XP_013591489.1	ESY2_g36762_DN3_SP6_c15.t1
OG0001655	XP_013619513.1, XP_013590834.1, XP_013614719.1, XP_013635334.1, XP_013592725.1	ESY2_g35340_DN3_SP3_c0.t1
OG0001656	XP_013592504.1	ESY2_g34732_DN3_SP7_c0.t1
OG0001656	XP_013602367.1, XP_013594120.1, XP_013587614.1	ESY5_g3904_DN3_SP0_c0.t1
OG0001657	XP_013598452.1, XP_013630719.1	ESY4_g25376_DN3_SP7_c0.t1
OG0001657	XP_013613301.1, XP_013630268.1	ESY11_g54026_DN3_SP6_c0.t1
OG0001658	XP_013593384.1	ESY11_g54153_DN3_SP0_c0.t1
OG0001658	XP_013626341.1, XP_013614869.1, XP_013598422.1	ESY4_g26128_DN3_SP0_c0.t1
OG0001659	XP_013625042.1	ESY2_g36435_DN3_SP8_c0.t1
OG0001659	XP_013586855.1, XP_013628744.1	ESY3_g30110_DN3_SP1_c0.t1
OG0001660	XP_013588274.1	ESY2_g36188_DN3_SP2_c14.t1
OG0001660	XP_013622811.1, XP_013585953.1, XP_013610481.1	ESY3_g30386_DN3_SP8_c20.t1
OG0001661	XP_013590273.1, XP_013638027.1, XP_013610149.1	ESY3_g30574_DN2_SP0_c0.t1
OG0001662	XP_013631456.1, XP_013631410.1, XP_013602637.1, XP_013595369.1	ESY1_g10393_DN3_SP0_c0.t1
OG0001663	XP_013627226.1, XP_013635314.1	ESY9_g44322_DN2_SP0_c0.t1
OG0001663	XP_013634746.1	ESY1_g10460_DN3_SP0_c0.t1
OG0001664	XP_013634833.1, XP_013635555.1, XP_013603156.1, XP_013592090.1	ESY1_g10505_DN3_SP0_c0.t1
OG0001665	XP_013603487.1, XP_013630506.1, XP_013630922.1, XP_013637213.1	ESY1_g10506_DN3_SP8_c0.t1
OG0001666	XP_013601946.1	ESY22_g40825_DN3_SP0_c0.t1
OG0001666	XP_013607430.1, XP_013585794.1	ESY3_g28843_DN3_SP0_c0.t1
OG0001667	XP_013598868.1	ESY2_g38593_DN3_SP0_c0.t1
OG0001667	XP_013629111.1, XP_013584350.1	ESY3_g29928_DN3_SP0_c0.t1
OG0001668	XP_013609597.1	ESY3_g29905_DN3_SP0_c0.t1
OG0001668	XP_013596398.1	ESY2_g38551_DN3_SP4_c0.t1
OG0001669	XP_013593519.1	ESY2_g38519_DN3_SP3_c0.t1
OG0001669	XP_013598619.1	ESY2_g38518_DN3_SP0_c0.t1
OG0001670	XP_013590925.1, XP_013619519.1	ESY2_g34914_DN3_SP0_c0.t1
OG0001670	XP_013616425.1	ESY2_g34915_DN3_SP4_c0.t1
OG0001671	XP_013619084.1, XP_013610392.1, XP_013593983.1	ESY21_g55400_DN3_SP0_c0.t1
OG0001672	XP_013612615.1	ESY10_g13833_DN3_SP0_c0.t1
OG0001672	XP_013604463.1	ESY5_g3879_DN3_SP0_c0.t1
OG0001673	XP_013616041.1	ESY10_g13991_DN3_SP0_c0.t1
OG0001673	XP_013638203.1, XP_013599910.1	ESY5_g2640_DN2_SP8_c0.t1
OG0001674	XP_013608402.1, XP_013587548.1	ESY3_g29416_DN3_SP8_c0.t1
OG0001674	XP_013600488.1	ESY2_g37575_DN3_SP0_c0.t1
OG0001675	XP_013591369.1, XP_013638441.1, XP_013592814.1, XP_013592764.1, XP_013592797.1	ESY2_g37481_DN3_SP8_c0.t1
OG0001676	XP_013630582.1, XP_013590733.1	ESY3_g29134_DN3_SP0_c0.t1
OG0001676	XP_013592328.1	ESY2_g37270_DN3_SP0_c0.t1
OG0001677	XP_013638491.1	ESY3_g29946_DN3_SP0_c0.t1
OG0001677	XP_013630668.1, XP_013592757.1, XP_013592900.1	ESY2_g37155_DN3_SP6_c0.t1
OG0001678	XP_013631909.1	ESY1_g10880_DN3_SP0_c0.t1
OG0001679	XP_013591775.1, XP_013592089.1, XP_013622736.1	ESY2_g37018_DN3_SP7_c0.t1
OG0001679	XP_013636704.1	ESY3_g30601_DN3_SP5_c0.t1
OG0001680	XP_013613540.1	ESY4_g25507_DN1_SP0_c0.t1
OG0001681	XP_013621159.1, XP_013597722.1	ESY9_g42468_DN3_SP8_c0.t1
OG0001681	XP_013610862.1, XP_013618395.1	ESY10_g14877_DN3_SP8_c0.t1
OG0001682	XP_013610858.1, XP_013593133.1	ESY10_g14874_DN3_SP3_c0.t1
OG0001682	XP_013595059.1	ESY9_g42466_DN3_SP2_c0.t1
OG0001683	XP_013630754.1, XP_013611605.1	ESY11_g53864_DN3_SP8_c0.t1
OG0001683	XP_013626907.1, XP_013604631.1	ESY4_g25511_DN3_SP4_c0.t1
OG0001684	XP_013626061.1, XP_013595710.1	ESY11_g53872_DN3_SP0_c0.t1
OG0001684	XP_013598156.1, XP_013635521.1	ESY4_g25502_DN3_SP7_c0.t1
OG0001685	XP_013601208.1, XP_013625179.1, XP_013594026.1	ESY9_g43738_DN3_SP8_c0.t1
OG0001686	XP_013630103.1, XP_013625685.1	ESY9_g43734_DN3_SP8_c0.t1
OG0001686	XP_013628966.1	ESY7_g16202_DN3_SP4_c0.t1
OG0001687	XP_013598335.1, XP_013623372.1	ESY9_g43570_DN3_SP8_c0.t1
OG0001687	XP_013612720.1	ESY7_g16360_DN3_SP8_c0.t1
OG0001688	XP_013627028.1	ESY3_g27541_DN3_SP0_c0.t1
OG0001689	XP_013587392.1, XP_013600714.1	ESY14_g20780_DN3_SP8_c0.t1
OG0001689	XP_013630137.1	ESY19_g41454_DN3_SP8_c0.t1
OG0001690	XP_013634510.1, XP_013616744.1, XP_013602084.1	ESY1_g12536_DN3_SP0_c0.t1
OG0001691	XP_013634118.1	ESY1_g12513_DN3_SP8_c13.t1
OG0001691	XP_013632226.1, XP_013629638.1	ESY12_g52255_DN3_SP6_c0.t1
OG0001692	XP_013604107.1	ESY1_g12494_DN3_SP5_c17.t1
OG0001692	XP_013587013.1, XP_013591425.1	ESY10_g14221_DN3_SP6_c14.t1
OG0001693	XP_013634195.1	ESY12_g51374_DN3_SP0_c0.t1
OG0001693	XP_013615363.1, XP_013605863.1, XP_013590173.1	ESY1_g12415_DN3_SP0_c0.t1
OG0001694	XP_013597253.1, XP_013633194.1	ESY1_g12124_DN1_SP0_c0.t1, ESY1_g12122_DN1_SP0_c0.t1, ESY1_g12121_DN1_SP0_c0.t1, ESY1_g12123_DN2_SP0_c0.t1
OG0001695	XP_013605196.1, XP_013590052.1	ESY1_g12020_DN3_SP8_c0.t1
OG0001695	XP_013637145.1	ESY12_g52026_DN3_SP8_c0.t1
OG0001696	XP_013605197.1, XP_013588531.1	ESY1_g12019_DN3_SP8_c0.t1
OG0001696	XP_013635470.1, XP_013622639.1	ESY12_g52040_DN3_SP8_c0.t1
OG0001697	XP_013622261.1, XP_013632104.1	ESY12_g51498_DN3_SP8_c0.t1
OG0001697	XP_013604715.1	ESY1_g11234_DN3_SP8_c0.t1
OG0001698	XP_013632198.1	ESY12_g51567_DN3_SP8_c0.t1
OG0001698	XP_013634034.1, XP_013592413.1, XP_013605337.1	ESY1_g11374_DN3_SP8_c0.t1
OG0001699	XP_013636341.1	ESY12_g51303_DN3_SP2_c0.t1
OG0001699	XP_013605919.1, XP_013633542.1, XP_013588353.1	ESY1_g11567_DN3_SP7_c0.t1
OG0001700	XP_013596868.1	ESY1_g11766_DN3_SP1_c13.t1, ESY1_g11767_DN3_SP1_c0.t1
OG0001700	XP_013634961.1	ESY1_g11770_DN2_SP0_c0.t1
OG0001701	XP_013604403.1	ESY1_g10929_DN3_SP8_c0.t1
OG0001701	XP_013630599.1	ESY9_g45395_DN3_SP7_c0.t1
OG0001702	XP_013633015.1, XP_013616652.1	ESY6_g47500_DN2_SP0_c0.t1
OG0001703	XP_013631214.1	ESY3_g27162_DN3_SP0_c0.t1, ESY17_g39837_DN3_SP0_c0.t1
OG0001703	XP_013593788.1, XP_013625153.1	ESY1_g8565_DN1_SP0_c0.t1, ESY2_g33796_DN2_SP0_c0.t1, ESY15_g64739_DN3_SP0_c0.t1, ESY9_g42654_DN2_SP0_c0.t1
OG0001704	XP_013630687.1, XP_013619372.1, XP_013625626.1	ESY2_g33475_DN3_SP0_c0.t1
OG0001705	XP_013633927.1, XP_013625475.1, XP_013633716.1	ESY9_g45649_DN3_SP7_c0.t1
OG0001706	XP_013607272.1, XP_013634756.1, XP_013624034.1, XP_013603662.1	ESY4_g26793_DN3_SP0_c0.t1
OG0001708	XP_013625828.1, XP_013611007.1	ESY25_g62735_DN2_SP8_c0.t1
OG0001708	XP_013593329.1, XP_013586396.1	ESY5_g2200_DN3_SP7_c0.t1
OG0001709	XP_013614181.1, XP_013588344.1, XP_013600208.1	ESY18_g64121_DN3_SP2_c0.t1, ESY14_g19779_DN3_SP8_c0.t1
OG0001710	XP_013591991.1, XP_013585818.1	ESY3_g31620_DN3_SP2_c0.t1
OG0001710	XP_013619848.1, XP_013593402.1	ESY10_g15299_DN3_SP0_c0.t1
OG0001711	XP_013593318.1	ESY10_g15631_DN3_SP0_c0.t1
OG0001711	XP_013586466.1	ESY3_g31808_DN3_SP0_c11.t1
OG0001712	XP_013587125.1	ESY3_g31828_DN3_SP8_c0.t1
OG0001712	XP_013621287.1, XP_013611175.1	ESY10_g15672_DN3_SP8_c0.t1
OG0001713	XP_013634437.1, XP_013632263.1	ESY12_g51454_DN3_SP0_c0.t1
OG0001713	XP_013634954.1, XP_013634959.1	ESY12_g51455_DN3_SP0_c0.t1
OG0001714	XP_013627632.1, XP_013585134.1, XP_013592913.1, XP_013585179.1, XP_013592752.1	ESY3_g32588_DN3_SP0_c93.t1
OG0001715	XP_013585337.1, XP_013585290.1	ESY3_g32349_DN3_SP0_c0.t1
OG0001715	XP_013592671.1, XP_013592824.1	ESY3_g32348_DN3_SP0_c0.t1
OG0001716	XP_013604965.1, XP_013585611.1, XP_013614164.1	ESY5_g3162_DN3_SP5_c0.t1
OG0001716	XP_013638622.1	ESY3_g32010_DN3_SP8_c0.t1
OG0001717	XP_013629109.1, XP_013586173.1, XP_013585081.1	ESY3_g29909_DN3_SP0_c0.t1
OG0001718	XP_013607510.1, XP_013589019.1	ESY3_g31640_DN3_SP1_c0.t1
OG0001719	XP_013625659.1, XP_013586092.1	ESY3_g31553_DN3_SP8_c0.t1
OG0001719	XP_013606549.1, XP_013613675.1	ESY7_g16943_DN3_SP8_c0.t1
OG0001720	XP_013586508.1, XP_013623184.1	ESY3_g31534_DN3_SP8_c0.t1
OG0001720	XP_013611301.1	ESY7_g17011_DN3_SP8_c0.t1
OG0001721	XP_013592264.1, XP_013627671.1, XP_013593277.1, XP_013587798.1, XP_013639194.1, XP_013583908.1	ESY3_g31525_DN3_SP0_c0.t1
OG0001723	XP_013587525.1	ESY3_g31468_DN3_SP7_c0.t1
OG0001723	XP_013612213.1, XP_013614131.1	ESY15_g64405_DN3_SP7_c0.t1
OG0001724	XP_013606889.1	ESY19_g41777_DN3_SP5_c0.t1
OG0001724	XP_013627991.1, XP_013638320.1	ESY3_g30991_DN3_SP8_c0.t1
OG0001725	XP_013636253.1	ESY8_g59516_DN3_SP8_c0.t1, ESY3_g31263_DN3_SP1_c0.t1
OG0001725	XP_013638038.1, XP_013589046.1	ESY7_g16295_DN2_SP0_c0.t1
OG0001726	XP_013638081.1	ESY3_g29729_DN3_SP8_c0.t1
OG0001726	XP_013588543.1	ESY2_g37976_DN3_SP8_c0.t1
OG0001727	XP_013608732.1, XP_013638995.1	ESY3_g29690_DN3_SP2_c0.t1
OG0001727	XP_013590413.1, XP_013603035.1	ESY2_g37928_DN3_SP0_c0.t1
OG0001728	XP_013596582.1, XP_013601113.1	ESY4_g23867_DN3_SP8_c0.t1
OG0001728	XP_013630240.1, XP_013619543.1	ESY6_g47126_DN3_SP8_c0.t1
OG0001729	XP_013639505.1, XP_013602300.1, XP_013638459.1	ESY1_g10096_DN3_SP0_c0.t1, ESY1_g10154_DN3_SP0_c0.t1
OG0001730	XP_013584478.1	ESY5_g5482_DN3_SP0_c0.t1
OG0001730	XP_013611973.1, XP_013630509.1	ESY20_g13032_DN3_SP0_c0.t1
OG0001731	XP_013610245.1, XP_013619456.1, XP_013628635.1, XP_013627900.1, XP_013603708.1	ESY5_g5479_DN3_SP3_c0.t1
OG0001732	XP_013608733.1	ESY20_g13164_DN2_SP0_c0.t1
OG0001732	XP_013585761.1, XP_013603241.1	ESY5_g5350_DN3_SP0_c0.t1
OG0001733	XP_013584730.1, XP_013621784.1, XP_013620527.1	ESY20_g13192_DN3_SP0_c21.t1
OG0001734	XP_013637560.1, XP_013620408.1	ESY2_g34124_DN3_SP8_c12.t1
OG0001734	XP_013586020.1	ESY5_g3365_DN3_SP8_c0.t1
OG0001735	XP_013610413.1, XP_013637332.1, XP_013612906.1	ESY2_g33922_DN3_SP5_c0.t1
OG0001735	XP_013605724.1, XP_013585540.1	ESY5_g3574_DN3_SP8_c0.t1
OG0001736	XP_013606604.1	ESY2_g33871_DN3_SP8_c0.t1
OG0001736	XP_013583513.1	ESY5_g3615_DN3_SP8_c0.t1
OG0001737	XP_013596767.1	ESY16_g61538_DN3_SP0_c0.t1
OG0001737	XP_013584932.1	ESY5_g3741_DN3_SP4_c0.t1
