Orthogroup	Brassica_oleracea	Cochlearia_excelsa
OG0000316	XP_013588112.1, XP_013587370.1	g12171
OG0000318	XP_013589432.1, XP_013588845.1, XP_013588656.1, XP_013584529.1	g43847
OG0000318	XP_013602632.1	g49471
OG0000320	XP_013601193.1, XP_013614006.1	g21631, g38950, g21782, g34586, g9355, g33680, g15407, g21660, g8315, g8357, g48435, g30183, g38569, g48098, g21770, g22560
OG0000321	XP_013628373.1	g54159
OG0000321	XP_013621196.1	g666
OG0000322	XP_013624759.1	g26081, g26058
OG0000322	XP_013636529.1, XP_013636533.1, XP_013636538.1, XP_013636536.1, XP_013632490.1	g27502, g27505
OG0000323	XP_013592591.1	g44591
OG0000325	XP_013638562.1, XP_013605539.1	g26947
OG0000325	XP_013636697.1, XP_013622603.1	g51329
OG0000327	XP_013624421.1	g26940
OG0000328	XP_013630581.1	g13376
OG0000329	XP_013605281.1, XP_013605279.1	g24516, g24521
OG0000329	XP_013635077.1, XP_013635170.1	g37784, g53311, g37787, g53330, g53326, g53348, g53328
OG0000330	XP_013590898.1, XP_013590516.1	g17997, g17998, g44586
OG0000330	XP_013588250.1, XP_013589502.1, XP_013590614.1, XP_013590374.1, XP_013590664.1, XP_013618931.1	g44587
OG0000330	XP_013585022.1	g31719
OG0000331	XP_013629475.1, XP_013611648.1	g25429, g39522
OG0000331	XP_013629139.1, XP_013613847.1	g6947
OG0000332	XP_013607236.1, XP_013606280.1, XP_013634004.1, XP_013606253.1, XP_013607362.1	g24568, g44176
OG0000334	XP_013633351.1, XP_013594364.1	g43888, g43360
OG0000334	XP_013624887.1, XP_013583336.1, XP_013608346.1, XP_013624321.1, XP_013601519.1, XP_013639093.1, XP_013616941.1, XP_013589256.1	g4402
OG0000335	XP_013588585.1, XP_013603685.1, XP_013602257.1, XP_013604195.1, XP_013615629.1, XP_013601716.1	g1956
OG0000336	XP_013586948.1, XP_013638713.1, XP_013600412.1, XP_013604193.1, XP_013599978.1, XP_013602056.1, XP_013608922.1	g31190, g27091, g27095, g31209
OG0000338	XP_013595355.1	g50433, g35440
OG0000338	XP_013617632.1	g53104, g4369
OG0000338	XP_013601166.1	g3826
OG0000339	XP_013586113.1	g17631
OG0000339	XP_013621481.1	g17712, g53651
OG0000345	XP_013625024.1, XP_013619486.1	g39719
OG0000345	XP_013619714.1	g45514
OG0000345	XP_013587167.1, XP_013602022.1, XP_013600499.1	g26927, g49447, g30863
OG0000346	XP_013590573.1, XP_013603249.1	g2365
OG0000346	XP_013613384.1, XP_013598778.1	g10579
OG0000347	XP_013600562.1, XP_013587671.1	g25359
OG0000348	XP_013594309.1, XP_013610709.1, XP_013635424.1, XP_013620031.1	g50668
OG0000349	XP_013623837.1	g28754
OG0000349	XP_013618276.1	g1282
OG0000349	XP_013618860.1	g1278
OG0000349	XP_013620734.1	g28755, g1676
OG0000350	XP_013626949.1, XP_013584917.1, XP_013584915.1, XP_013584959.1, XP_013584919.1, XP_013584886.1, XP_013584707.1, XP_013589790.1, XP_013591347.1	g13403, g13402
OG0000351	XP_013585077.1	g12309
OG0000356	XP_013622609.1	g51011
OG0000356	XP_013604125.1	g50999
OG0000357	XP_013635659.1, XP_013628557.1	g51445, g37083
OG0000358	XP_013584584.1	g11643
OG0000359	XP_013596204.1	g23616
OG0000362	XP_013615014.1, XP_013604362.1	g43613, g4131, g4234, g3255, g33492, g25276, g43263, g20304, g3787, g16102, g4130, g35341, g25266, g43262, g41821, g36457, g12619, g25261, g25259, g43259, g33494, g3251, g25071, g9678, g35281, g34308, g9679, g35248
OG0000363	XP_013603401.1	g6206
OG0000364	XP_013617644.1, XP_013613593.1, XP_013613595.1, XP_013632686.1	g37360, g37362, g37913, g17870
OG0000365	XP_013584210.1	g27592
OG0000365	XP_013614804.1	g47348
OG0000365	XP_013614801.1	g24049
OG0000365	XP_013638892.1	g50367
OG0000367	XP_013617185.1	g18012
OG0000368	XP_013622965.1	g11422
OG0000369	XP_013601023.1, XP_013601021.1, XP_013588993.1, XP_013588958.1, XP_013588961.1	g4480, g4569, g4675, g4768, g6892, g51876, g6424
OG0000370	XP_013593030.1	g6467
OG0000375	XP_013594547.1	g24614, g4053, g42670, g42662, g25030, g4718, g35252, g22259, g19614, g24704, g25123, g26727, g11473, g34270
OG0000377	XP_013598869.1	g47983
OG0000377	XP_013605587.1	g47982
OG0000377	XP_013599452.1, XP_013590187.1	g22842
OG0000378	XP_013624585.1	g26534, g34215, g35390
OG0000379	XP_013597635.1, XP_013607868.1	g1514
OG0000379	XP_013637011.1	g19165
OG0000380	XP_013610573.1, XP_013612483.1	g19547, g28753
OG0000380	XP_013613287.1, XP_013628418.1, XP_013610830.1, XP_013616929.1	g28797, g28774, g28802
OG0000381	XP_013637242.1, XP_013622576.1, XP_013635209.1	g23603
OG0000382	XP_013636573.1, XP_013630416.1	g37230
OG0000384	XP_013620026.1	g10911
OG0000388	XP_013638305.1	g13288
OG0000388	XP_013639835.1, XP_013593763.1	g6787
OG0000389	XP_013619465.1	g43635, g1338, g1343
OG0000390	XP_013600140.1	g50242
OG0000390	XP_013638777.1	g27516
OG0000391	XP_013591638.1, XP_013591683.1, XP_013591979.1	g46059, g46056
OG0000391	XP_013587607.1	g7432
OG0000392	XP_013593167.1, XP_013593168.1, XP_013599700.1, XP_013599691.1, XP_013599541.1	g47536
OG0000393	XP_013635118.1	g46706
OG0000393	XP_013634654.1	g46707, g53730
OG0000394	XP_013584295.1, XP_013585267.1	g12121
OG0000394	XP_013591595.1	g7070, g7071, g7072
OG0000395	XP_013603142.1, XP_013600895.1, XP_013584929.1	g31494
OG0000395	XP_013596468.1, XP_013610262.1	g6162, g14272
OG0000395	XP_013584474.1	g49902
OG0000396	XP_013589350.1, XP_013590914.1, XP_013624737.1, XP_013632479.1, XP_013617988.1, XP_013601227.1, XP_013608103.1, XP_013594597.1, XP_013632988.1	g16098
OG0000397	XP_013590495.1	g6928
OG0000398	XP_013607717.1, XP_013589000.1	g22154
OG0000398	XP_013614812.1, XP_013639534.1, XP_013632568.1, XP_013632567.1, XP_013617972.1, XP_013624030.1, XP_013594445.1, XP_013601243.1, XP_013628008.1, XP_013635729.1, XP_013628009.1, XP_013604785.1	g43755, g16088, g53768, g22207, g22155, g30226, g30270
OG0000399	XP_013606142.1, XP_013622500.1	g39537, g25452
OG0000399	XP_013613576.1	g41120
OG0000399	XP_013605289.1, XP_013587547.1	g31165
OG0000402	XP_013611362.1	g9658
OG0000402	XP_013611365.1, XP_013607432.1	g9656
OG0000404	XP_013615218.1	g11863
OG0000404	XP_013638800.1	g38491
OG0000405	XP_013607534.1	g45239
OG0000406	XP_013623048.1, XP_013603088.1, XP_013638648.1, XP_013608778.1	g49585, g1291, g2920
OG0000407	XP_013583454.1, XP_013639040.1	g36060, g14938, g43281, g11474, g7650
OG0000409	XP_013598010.1, XP_013638650.1	g50490
OG0000410	XP_013624763.1	g23955
OG0000410	XP_013626248.1	g40411
OG0000411	XP_013601761.1, XP_013633250.1	g38385
OG0000412	XP_013606449.1, XP_013614286.1	g45737
OG0000412	XP_013637496.1	g46788
OG0000412	XP_013621636.1	g45009
OG0000412	XP_013636878.1, XP_013587377.1, XP_013622724.1	g6918, g13293
OG0000413	XP_013583404.1	g12223, g12228
OG0000413	XP_013589867.1	g54333, g27985
OG0000414	XP_013611135.1	g40900
OG0000414	XP_013613085.1	g13659
OG0000414	XP_013602485.1, XP_013616157.1, XP_013614635.1	g47091
OG0000414	XP_013630486.1	g13408
OG0000415	XP_013629810.1, XP_013627540.1, XP_013634294.1, XP_013584864.1, XP_013620046.1, XP_013608371.1, XP_013601856.1, XP_013608439.1, XP_013617656.1, XP_013608065.1, XP_013601790.1, XP_013595186.1, XP_013615712.1	g20406, g21339
OG0000416	YP_004927507.1	g41257, g44674
OG0000421	XP_013611457.1	g39358
OG0000424	XP_013611781.1	g28489
OG0000424	XP_013613876.1	g36484
OG0000424	XP_013583993.1, XP_013625239.1, XP_013611607.1	g11899
OG0000426	XP_013608985.1, XP_013615876.1	g40973, g23602
OG0000427	XP_013617226.1	g26002, g43669
OG0000428	XP_013588979.1, XP_013624625.1, XP_013639392.1, XP_013594405.1, XP_013627267.1	g41816, g34488
OG0000428	XP_013594944.1, XP_013631393.1, XP_013624198.1, XP_013629910.1	g34499
OG0000429	XP_013632955.1, XP_013632958.1	g1975, g1976, g18956
OG0000429	XP_013591323.1, XP_013632957.1	g1977
OG0000429	XP_013601698.1, XP_013600273.1	g2032
OG0000430	XP_013598606.1, XP_013603143.1	g23976, g17311
OG0000432	XP_013590994.1	g555
OG0000432	XP_013597168.1	g24067
OG0000433	XP_013588759.1, XP_013589349.1, XP_013621452.1, XP_013623354.1, XP_013592507.1	g17099, g17097, g17100, g17096
OG0000434	XP_013635801.1, XP_013588020.1	g36218, g36226, g36221
OG0000434	XP_013624926.1, XP_013606745.1	g6231
OG0000436	XP_013625383.1	g19572
OG0000436	XP_013606356.1, XP_013618151.1, XP_013622845.1	g41304
OG0000436	XP_013622251.1	g1293
OG0000437	XP_013603841.1	g39339, g1080, g28563
OG0000439	XP_013609440.1, XP_013623414.1	g29695
OG0000440	XP_013634849.1	g53832
OG0000442	XP_013634403.1, XP_013636234.1, XP_013622298.1	g37725
OG0000443	XP_013604836.1	g23276
OG0000443	XP_013612830.1	g45564, g29450
OG0000443	XP_013596454.1, XP_013619560.1	g598
OG0000444	XP_013633507.1, XP_013625130.1, XP_013636348.1	g51246
OG0000444	XP_013600923.1, XP_013634024.1, XP_013590737.1	g2023
OG0000445	XP_013636844.1, XP_013599526.1	g502, g2678, g19442, g19454, g9989
OG0000446	XP_013623266.1	g21423
OG0000447	XP_013610233.1, XP_013634092.1, XP_013625255.1, XP_013583772.1, XP_013625723.1, XP_013634066.1, XP_013600607.1, XP_013637254.1	g51571
OG0000448	XP_013607480.1, XP_013594250.1	g4323
OG0000448	XP_013616436.1, XP_013598575.1	g10425
OG0000450	XP_013585748.1	g2642
OG0000451	XP_013589501.1, XP_013629014.1	g50836
OG0000454	XP_013617078.1	g38794, g52438, g3440, g42651, g43653, g14994, g33625, g26850, g35387, g21875, g42915, g33232, g33466, g968, g22028, g30360, g8258, g8262, g39215, g48657, g32938, g24687, g21098, g34607, g8661, g42247, g48653, g29995, g48259, g42603, g42615, g3780, g50171, g19950, g48301, g20920, g38791, g20889, g22077, g14995, g4469, g53373, g8162, g51949, g42072, g14369, g51094, g50170, g3022, g21410, g9274, g16395, g18220, g43175, g26392, g4399, g35194, g20921, g21142, g14803, g33448, g39219, g26625, g4446, g8543, g30516, g30530, g48695, g48702, g17666, g30717, g52639, g26394, g3552, g3367, g48208, g14223, g52947, g52420, g52447, g38764, g22496, g10992, g52618, g3661, g9226
OG0000456	XP_013594860.1	g23745, g17060, g13942, g38419, g46073, g27471, g10753, g24541
OG0000457	XP_013602165.1	g7774, g12606, g30872, g12810, g7765
OG0000458	XP_013584803.1	g50497
OG0000458	XP_013586344.1	g50496, g32378
OG0000459	XP_013626062.1	g17375
OG0000459	XP_013615006.1	g54231, g33385
OG0000460	XP_013619540.1, XP_013597959.1, XP_013594456.1, XP_013630406.1, XP_013590426.1, XP_013591592.1	g12238
OG0000462	XP_013614968.1, XP_013614741.1, XP_013594517.1, XP_013627684.1	g24037
OG0000462	XP_013597335.1, XP_013594711.1	g24036
OG0000463	XP_013637737.1	g32899
OG0000463	XP_013628249.1	g2874
OG0000463	XP_013615358.1	g19563, g19561, g19560
OG0000466	XP_013623643.1	g25526, g25938, g25525, g44791, g44879, g17389
OG0000467	XP_013601796.1, XP_013619649.1, XP_013610726.1, XP_013635425.1	g10073, g18559, g18561, g11106, g11105
OG0000470	XP_013615227.1, XP_013618084.1	g17411, g17424
OG0000472	XP_013614699.1, XP_013624110.1, XP_013620220.1	g4134
OG0000473	XP_013601033.1	g30720, g1438
OG0000474	XP_013604808.1, XP_013604640.1, XP_013586099.1	g49450
OG0000474	XP_013594193.1	g39721
OG0000474	XP_013584241.1	g50694
OG0000475	XP_013631626.1, XP_013613261.1	g40945
OG0000476	XP_013588208.1, XP_013589556.1, XP_013605329.1	g37782, g4812, g4800, g4814
OG0000477	XP_013618718.1	g353
OG0000477	XP_013638737.1, XP_013605186.1, XP_013604848.1	g27266
OG0000478	XP_013635435.1	g16066, g16061
OG0000479	XP_013624972.1	g24849, g25499, g2998, g52035, g24976, g16387, g24629, g25212, g47577, g23795, g43423, g14584, g28936, g22990, g31196, g31195, g3319, g45108, g7090, g42161, g42133, g34859, g43936, g25684, g25447, g43540, g26327, g26330, g42151, g50231, g49521, g1895, g36541, g24329, g10347, g42998, g19047, g3572, g16313, g32395, g36363, g26168, g24977, g15524, g2395, g41069, g18829, g24412, g15888, g2738, g52034, g19920, g11627, g45891, g49767, g25497, g15606, g6487, g42065, g32854, g26798, g42185, g53221, g15905, g28876, g43169, g28037, g45464, g25498, g31197, g3320, g23794
OG0000480	XP_013592398.1	g40981
OG0000480	XP_013609349.1	g1517
OG0000481	XP_013585423.1, XP_013635592.1, XP_013610786.1	g44045
OG0000481	XP_013586575.1	g27100
OG0000481	XP_013584815.1, XP_013584691.1, XP_013599620.1, XP_013601938.1, XP_013594035.1, XP_013599619.1	g31232
OG0000483	XP_013602611.1, XP_013603475.1, XP_013612895.1, XP_013620174.1, XP_013603159.1	g10089
OG0000484	XP_013607645.1, XP_013626294.1, XP_013593932.1, XP_013598574.1, XP_013626930.1, XP_013607653.1	g47741, g47742, g23417
OG0000485	XP_013595108.1	g23902
OG0000485	XP_013595107.1, XP_013598896.1, XP_013598837.1	g23904
OG0000485	XP_013597042.1	g24586, g23899, g23901
OG0000491	XP_013591150.1, XP_013587346.1	g19467
OG0000492	XP_013634650.1, XP_013603107.1	g19139, g11288
OG0000492	XP_013631441.1, XP_013636783.1, XP_013636785.1, XP_013615738.1, XP_013634716.1, XP_013627287.1	g37303
OG0000493	XP_013633147.1, XP_013633151.1, XP_013633153.1, XP_013633155.1	g16860
OG0000495	XP_013624651.1	g17535
OG0000495	XP_013590362.1, XP_013591096.1, XP_013587763.1	g53091
OG0000496	XP_013624681.1	g2743
OG0000496	XP_013596092.1	g19502
OG0000496	XP_013618410.1, XP_013630402.1	g2744
OG0000497	XP_013591298.1, XP_013614964.1	g12212
OG0000497	XP_013586404.1, XP_013630126.1, XP_013610739.1, XP_013592309.1, XP_013630650.1, XP_013590584.1	g27989
OG0000499	XP_013637416.1	g6742
OG0000501	XP_013587636.1	g50671, g32646
OG0000501	XP_013587637.1	g50679
OG0000502	XP_013635269.1	g46703, g46704
OG0000502	XP_013635124.1	g37779
OG0000503	XP_013608128.1	g53150, g41815
OG0000503	XP_013594403.1, XP_013594694.1, XP_013589168.1, XP_013594430.1, XP_013615274.1, XP_013624570.1	g53151, g46567, g31147, g33131, g42117
OG0000506	XP_013606318.1, XP_013622449.1, XP_013622723.1, XP_013611586.1, XP_013618171.1	g45471, g28728, g1183, g39280
OG0000507	XP_013616532.1	g52818
OG0000507	XP_013634590.1	g52819
OG0000507	XP_013602442.1	g3111, g27067, g12541, g24850, g36336, g18639, g22861, g13024, g51671, g39956, g22859
OG0000509	XP_013626849.1, XP_013591814.1	g24336
OG0000509	XP_013598638.1, XP_013600231.1	g24334, g24335
OG0000510	XP_013635778.1	g46683, g46681
OG0000510	XP_013596689.1, XP_013633635.1	g18100
OG0000511	XP_013615733.1	g36452
OG0000511	XP_013617030.1, XP_013627605.1, XP_013623884.1	g942, g943
OG0000516	XP_013589587.1	g44889, g42659, g42668, g4054, g53638, g3459, g26813
OG0000517	XP_013600759.1	g29147, g29148, g29150
OG0000518	XP_013618999.1, XP_013608151.1	g28419, g28418, g28417
OG0000518	XP_013627770.1	g5308
OG0000519	XP_013618020.1	g8
OG0000519	XP_013631764.1, XP_013633970.1	g51153, g51147, g51144, g51152, g51149, g51133
OG0000521	XP_013615676.1, XP_013620187.1, XP_013620184.1	g9727
OG0000522	XP_013626542.1	g37317
OG0000522	XP_013583730.1, XP_013583960.1, XP_013625492.1	g12397, g7487
OG0000523	XP_013614261.1	g51022, g51021
OG0000523	XP_013595163.1, XP_013595165.1	g54035
OG0000523	XP_013628248.1	g54031
OG0000524	XP_013608019.1, XP_013591095.1	g45181, g45202
OG0000525	XP_013631964.1, XP_013631846.1	g37492, g37493
OG0000525	XP_013638823.1	g52116
OG0000526	XP_013627110.1, XP_013626796.1, XP_013610815.1, XP_013623824.1	g29070
OG0000529	XP_013635665.1	g51197, g37897
OG0000530	XP_013612820.1, XP_013612819.1, XP_013626535.1, XP_013626440.1, XP_013619438.1, XP_013614293.1, XP_013614290.1, XP_013619681.1, XP_013619755.1	g41237, g890
OG0000533	XP_013597527.1	g14004
OG0000534	XP_013591087.1	g38275
OG0000535	XP_013632962.1	g2040
OG0000536	XP_013637606.1	g46832
OG0000537	XP_013628956.1, XP_013614631.1	g12430
OG0000537	XP_013626396.1, XP_013614628.1, XP_013583265.1, XP_013615750.1	g37940, g37932, g12429
OG0000539	XP_013632126.1, XP_013607186.1	g51136
OG0000540	XP_013635802.1, XP_013616724.1	g39867
OG0000541	XP_013624673.1	g25889, g35773
OG0000541	XP_013601617.1, XP_013624419.1	g34755, g42643, g24439, g35785, g48337, g19953, g20499, g34573, g34035, g33128, g4096, g45112, g4108, g43641, g34576, g35383, g34082, g42718, g34754, g52450, g16276, g16172, g34757, g33354, g42022, g42959, g19927, g33223, g10332, g21454, g48067, g48047, g21520, g30393, g30392, g21535, g48068, g21519, g48069, g15351, g9243, g52982, g52520, g34769, g43642, g52449, g21396, g30248, g22188, g19922, g4068, g35367, g21240, g35795, g3403, g42322, g33585, g42325, g42249, g8828, g34038, g34085, g48070, g24691
OG0000542	XP_013585672.1, XP_013604481.1	g31250
OG0000542	XP_013606668.1	g44098
OG0000542	XP_013615541.1, XP_013591796.1	g49727
OG0000543	XP_013603271.1	g11013
OG0000543	XP_013596568.1	g18472
OG0000544	XP_013614130.1	g36111, g47327
OG0000547	XP_013623530.1	g52123, g37511
OG0000547	XP_013629833.1	g51516
OG0000548	XP_013632076.1	g36985
OG0000549	XP_013631101.1, XP_013627508.1	g51327
OG0000553	XP_013609170.1, XP_013622562.1, XP_013593420.1	g11687
OG0000554	XP_013625485.1, XP_013635893.1, XP_013615836.1, XP_013609782.1	g25607, g25625, g25606, g25632, g25629, g25605, g25619, g25621
OG0000557	XP_013630249.1, XP_013604409.1	g38464
OG0000557	XP_013637045.1, XP_013634984.1	g28220
OG0000561	XP_013636776.1, XP_013613723.1	g16898
OG0000561	XP_013623198.1, XP_013612823.1, XP_013612129.1	g5112, g45694
OG0000562	XP_013631368.1, XP_013631025.1	g40099
OG0000562	XP_013608728.1, XP_013625204.1, XP_013618113.1	g797
OG0000563	XP_013588469.1, XP_013600243.1, XP_013631869.1, XP_013623008.1, XP_013594087.1, XP_013587100.1	g24348, g2664, g37712, g50813
OG0000565	XP_013599747.1	g27159
OG0000566	XP_013612672.1, XP_013612732.1, XP_013607176.1, XP_013612626.1	g44024, g44018
OG0000566	XP_013627904.1	g18132, g16748
OG0000567	XP_013615614.1, XP_013627377.1, XP_013584133.1	g32338
OG0000569	XP_013597541.1	g10717, g18677, g76
OG0000572	XP_013621535.1	g18462
OG0000573	XP_013607314.1	g40463
OG0000573	XP_013607083.1	g25545
OG0000578	XP_013594799.1	g16398
OG0000578	XP_013624076.1, XP_013620942.1, XP_013615061.1, XP_013601332.1, XP_013639174.1, XP_013607563.1	g3247
OG0000578	XP_013619550.1	g16399
OG0000579	XP_013638257.1, XP_013583862.1	g7906
OG0000579	XP_013609181.1	g433
OG0000580	XP_013625138.1, XP_013630432.1, XP_013632625.1, XP_013635800.1, XP_013635787.1, XP_013635732.1	g39847
OG0000581	XP_013610848.1	g720
OG0000582	XP_013626037.1	g19605
OG0000583	XP_013613494.1, XP_013592137.1	g36635
OG0000583	XP_013585326.1	g27359
OG0000583	XP_013591486.1	g46461
OG0000586	XP_013624774.1	g3220
OG0000587	XP_013601595.1, XP_013603907.1, XP_013601596.1	g2580
OG0000588	XP_013634184.1	g51164
OG0000588	XP_013634839.1	g37885
OG0000588	XP_013632129.1	g51163
OG0000589	XP_013616292.1, XP_013606510.1	g39380
OG0000589	XP_013620667.1, XP_013630283.1	g28961
OG0000590	XP_013631306.1, XP_013631572.1, XP_013637551.1	g46709, g22602, g22608, g28292
OG0000591	XP_013600524.1, XP_013593840.1	g23678, g47594
OG0000592	XP_013616329.1	g46462
OG0000592	XP_013584837.1	g49988
OG0000592	XP_013597202.1	g23624
OG0000593	XP_013590582.1, XP_013587874.1	g46398
OG0000593	XP_013584093.1, XP_013608583.1, XP_013625630.1	g13318, g11992
OG0000594	XP_013592775.1, XP_013597429.1	g50705
OG0000595	XP_013610416.1	g41726
OG0000595	XP_013607714.1	g40992, g6247
OG0000595	XP_013590020.1, XP_013588475.1	g17988
OG0000595	XP_013630860.1	g10088
OG0000596	XP_013627887.1, XP_013621933.1	g38393
OG0000597	XP_013631399.1	g17740, g16321
OG0000597	XP_013631400.1	g24549
OG0000598	XP_013624382.1, XP_013595081.1, XP_013595082.1	g27801
OG0000598	XP_013593807.1, XP_013614274.1, XP_013634114.1	g7814
OG0000599	XP_013614562.1, XP_013626196.1, XP_013599590.1, XP_013595941.1	g18305
OG0000600	XP_013584582.1, XP_013603904.1	g12549
OG0000600	XP_013596675.1	g53288, g7700
OG0000602	XP_013637827.1, XP_013638827.1	g12937
OG0000604	XP_013608949.1, XP_013625277.1	g28384, g887, g41228
OG0000604	XP_013595376.1	g23738
OG0000605	XP_013628964.1	g39480
OG0000605	XP_013603247.1, XP_013610077.1, XP_013609900.1, XP_013627721.1	g25435
OG0000607	XP_013587646.1	g50152
OG0000609	XP_013628079.1, XP_013597069.1	g6101
OG0000610	XP_013615644.1, XP_013632077.1	g50998
OG0000613	XP_013588422.1	g19206
OG0000613	XP_013585358.1, XP_013606982.1, XP_013627986.1	g12391, g7465, g13062
OG0000613	XP_013628234.1	g5741
OG0000615	XP_013602939.1	g25928
OG0000615	XP_013633230.1	g13347
OG0000615	XP_013639792.1	g25927
OG0000616	XP_013589824.1, XP_013597498.1, XP_013589040.1	g16963
OG0000616	XP_013603567.1	g31850
OG0000617	XP_013612465.1	g45438
OG0000617	XP_013627276.1, XP_013610243.1	g29704
OG0000618	XP_013622716.1	g5854
OG0000618	XP_013628472.1	g7358
OG0000619	XP_013625027.1	g54384
OG0000620	XP_013610284.1	g11041
OG0000621	XP_013606728.1	g2125
OG0000622	XP_013614757.1, XP_013629665.1, XP_013631840.1	g19196, g37198
OG0000623	XP_013625070.1, XP_013584042.1, XP_013599425.1	g22949, g47953, g18248
OG0000625	XP_013583707.1	g13165, g7245
OG0000625	XP_013591080.1	g54314
OG0000626	XP_013599483.1, XP_013632255.1, XP_013632169.1, XP_013609726.1, XP_013601055.1	g31431
OG0000626	XP_013615378.1, XP_013619874.1, XP_013622074.1	g23320
OG0000627	XP_013610498.1	g44133
OG0000628	XP_013595172.1, XP_013627487.1, XP_013624903.1	g23152
OG0000628	XP_013595170.1	g11460
OG0000628	XP_013627070.1	g47857
OG0000633	XP_013639371.1	g50324
OG0000635	XP_013610235.1	g830
OG0000636	XP_013616421.1, XP_013609658.1, XP_013608779.1, XP_013623049.1	g28768
OG0000636	XP_013585193.1, XP_013603883.1	g49733, g14247
OG0000637	XP_013636165.1, XP_013625281.1	g2921
OG0000637	XP_013613501.1, XP_013600675.1	g19186
OG0000638	XP_013623570.1, XP_013619843.1, XP_013609906.1	g1289
OG0000639	XP_013591912.1	g1837
OG0000639	XP_013637367.1, XP_013630510.1	g52299, g37652
OG0000641	XP_013601362.1	g13897, g23476, g17007
OG0000642	XP_013626707.1, XP_013631017.1	g37665, g37664
OG0000642	XP_013637120.1	g38249
OG0000643	XP_013611300.1, XP_013625636.1, XP_013618202.1, XP_013630172.1	g7477, g12395, g29845
OG0000644	XP_013615028.1, XP_013633171.1, XP_013635746.1	g17492
OG0000645	XP_013615355.1, XP_013603835.1	g31077
OG0000646	XP_013605172.1, XP_013591857.1	g19197, g2358
OG0000646	XP_013622493.1, XP_013637392.1, XP_013636971.1	g38064
OG0000647	XP_013614922.1	g35170
OG0000647	XP_013601090.1	g26908
OG0000648	XP_013583434.1	g7513
OG0000649	XP_013603334.1, XP_013587459.1	g27399, g31749, g50029
OG0000649	XP_013610846.1, XP_013613965.1	g6901
OG0000650	XP_013608503.1, XP_013626493.1	g6843
OG0000650	XP_013619907.1, XP_013628168.1	g23142
OG0000650	XP_013596227.1	g18192
OG0000652	XP_013637989.1	g12661
OG0000652	XP_013626890.1, XP_013612018.1	g5008, g5012
OG0000653	XP_013622417.1, XP_013636544.1, XP_013631341.1, XP_013600167.1, XP_013588341.1	g11148, g37743
OG0000655	XP_013635660.1	g51449, g37082, g7149
OG0000655	XP_013622620.1, XP_013586087.1	g32425
OG0000656	XP_013609762.1, XP_013606332.1, XP_013621174.1, XP_013597726.1	g10673
OG0000656	XP_013587495.1, XP_013599833.1, XP_013599676.1	g31492
OG0000658	XP_013595918.1, XP_013596268.1, XP_013609633.1, XP_013619255.1, XP_013618053.1, XP_013618044.1	g9960
OG0000660	XP_013614459.1	g28538
OG0000660	XP_013591241.1	g28539
OG0000661	XP_013634018.1, XP_013631620.1	g37733, g50833
OG0000661	XP_013600959.1, XP_013583538.1	g30793
OG0000661	XP_013612021.1	g39558
OG0000663	XP_013583607.1, XP_013599959.1, XP_013602047.1	g27410
OG0000663	XP_013616205.1, XP_013588558.1	g46124, g44549
OG0000665	XP_013584117.1, XP_013588023.1	g36560
OG0000667	XP_013633968.1, XP_013633833.1	g1892, g18715, g37597
OG0000669	XP_013586073.1, XP_013606957.1, XP_013592464.1, XP_013630239.1	g32732, g40273
OG0000671	XP_013608025.1, XP_013608024.1, XP_013619890.1, XP_013639153.1, XP_013614823.1	g25667
OG0000672	XP_013589589.1	g19546
OG0000672	XP_013624061.1	g48922
OG0000673	XP_013603902.1, XP_013603296.1, XP_013602869.1, XP_013602871.1	g30919, g30920
OG0000674	XP_013634476.1, XP_013583397.1, XP_013589321.1, XP_013583401.1, XP_013583399.1, XP_013583400.1	g13131
OG0000679	XP_013634402.1	g49954, g31625, g51289
OG0000680	XP_013591006.1	g1753, g13730
OG0000681	XP_013629378.1, XP_013591895.1, XP_013591807.1	g36563, g54263
OG0000682	XP_013632627.1	g37077, g37094, g6394, g45137, g37420
OG0000683	XP_013617826.1	g10368
OG0000683	XP_013635998.1, XP_013586001.1	g12697
OG0000684	XP_013634145.1, XP_013604794.1, XP_013601703.1	g18931
OG0000684	XP_013604793.1, XP_013592766.1	g18930, g1998
OG0000685	XP_013627683.1	g12753
OG0000685	XP_013610419.1	g932
OG0000686	XP_013598210.1	g50338
OG0000687	XP_013588276.1	g53790
OG0000689	XP_013617925.1, XP_013614504.1	g53596, g43317, g586
OG0000689	XP_013608030.1	g48909, g26796
OG0000689	XP_013594721.1	g24797
OG0000690	XP_013617025.1, XP_013594128.1	g18149, g23193
OG0000691	XP_013610154.1	g5081
OG0000691	XP_013635043.1, XP_013625856.1	g7879, g6216
OG0000693	XP_013633560.1, XP_013631591.1, XP_013628156.1, XP_013628155.1, XP_013633509.1, XP_013633510.1	g51261, g51258, g39834
OG0000694	XP_013635833.1, XP_013635832.1	g39803
OG0000695	XP_013602029.1, XP_013636654.1, XP_013598642.1	g17578
OG0000695	XP_013588712.1, XP_013629428.1	g18804
OG0000696	XP_013622778.1	g2629
OG0000696	XP_013601027.1, XP_013601020.1	g47643
OG0000697	XP_013616922.1, XP_013619664.1	g860, g862
