Orthogroup	Brassica_oleracea	Camelina_sativa
OG0002139	XP_013595096.1, XP_013595095.1, XP_013597302.1	XP_019086254.1, XP_010436437.1, XP_019089492.1, XP_010451208.1
OG0002140	XP_013613758.1	XP_019089356.1
OG0002140	XP_013597761.1	XP_010439633.1, XP_010434345.1, XP_010449274.1
OG0002141	XP_013596041.1	XP_010434343.1, XP_019087825.1
OG0002141	XP_013593206.1	XP_010441821.1, XP_010494536.1
OG0002142	XP_013598765.1	XP_010494495.1, XP_010481677.1, XP_010441858.1
OG0002142	XP_013628647.1, XP_013599133.1, XP_013598147.1	XP_010439586.1, XP_010449182.1
OG0002143	XP_013617915.1, XP_013621728.1	XP_010434238.1, XP_010449118.2
OG0002144	XP_013630292.1	XP_010421853.1, XP_010455345.1, XP_010438320.1
OG0002144	XP_013637771.1	XP_010500048.1, XP_010478955.1, XP_010461330.1
OG0002145	XP_013604119.1, XP_013636008.1	XP_010468921.1, XP_010413247.1, XP_010512673.1
OG0002146	XP_013630919.1	XP_010508025.1, XP_010518314.1, XP_010506644.1
OG0002146	XP_013629577.1, XP_013600931.1	XP_010469009.1, XP_010512534.1, XP_010413359.2
OG0002147	XP_013592197.1	XP_010413382.1, XP_010512508.1, XP_010469092.1
OG0002147	XP_013633640.1	XP_010508058.1, XP_010506615.1, XP_010518282.1
OG0002148	XP_013600409.1, XP_013591206.1	XP_010469133.1, XP_010512424.1, XP_019082898.1
OG0002148	XP_013636956.1	XP_010508167.1, XP_010506494.1, XP_010518164.1
OG0002149	XP_013634696.1, XP_013605198.1	XP_010512340.1, XP_010469205.1, XP_010413578.1, XP_010515443.1, XP_010503741.1, XP_010497014.1
OG0002150	XP_013635821.1, XP_013635823.1	XP_010508639.1, XP_010517694.1, XP_010505996.1
OG0002151	XP_013636116.1	XP_010517587.1, XP_010505869.1
OG0002151	XP_013604446.1	XP_010427537.1, XP_019102393.1, XP_010504596.1
OG0002152	XP_013591790.1, XP_013600322.1	XP_010427513.1, XP_010504582.1
OG0002152	XP_013634387.1	XP_010508755.1, XP_010517598.1, XP_010505878.1
OG0002153	XP_013601974.1	XP_010427462.1, XP_010516249.1, XP_010504549.1
OG0002153	XP_013631485.1	XP_010517519.1, XP_010497264.2, XP_010505833.1, XP_010508807.1
OG0002154	XP_013637093.1	XP_010505503.1, XP_010509150.1, XP_010517167.1
OG0002155	XP_013590178.1, XP_013613777.1, XP_013613779.1, XP_013600217.1	XP_010426978.1, XP_010515826.1, XP_010504099.1
OG0002156	XP_013606686.1	XP_010442921.1, XP_010445896.1
OG0002156	XP_013595281.1, XP_013600928.1	XP_010438567.1, XP_010433328.1, XP_010448091.1
OG0002157	XP_013609497.1	XP_010487558.1, XP_010504747.1, XP_010465712.1
OG0002157	XP_013601574.1	XP_010449850.1, XP_010440206.1, XP_010434885.1
OG0002158	XP_013600623.1	XP_010440600.1, XP_010435285.1, XP_019089722.1
OG0002158	XP_013593768.1, XP_013622973.1	XP_010488550.1, XP_010513493.1, XP_010466851.1
OG0002159	XP_013607875.1	XP_019099671.1, XP_010412604.1, XP_010426166.1, XP_010515038.1, XP_019099680.1
OG0002160	XP_013590883.1, XP_013619548.1	XP_010415338.1, XP_010470672.1, XP_010511708.1
OG0002160	XP_013628732.1, XP_013599080.1	XP_010499183.1, XP_010460466.1, XP_010478026.1
OG0002161	XP_013628095.1, XP_013593854.1, XP_013587312.1	XP_019091233.1, XP_010477983.1, XP_010499143.1
OG0002162	XP_013608878.1, XP_013592988.1	XP_010489588.1
OG0002162	XP_013616428.1	XP_019088955.1, XP_010438190.1, XP_010432998.1
OG0002163	XP_013635253.1	XP_010517615.1, XP_019100558.1, XP_010508738.1
OG0002164	XP_013625878.1, XP_013633765.1	XP_010479089.1, XP_010461494.1, XP_019099401.1, XP_010508925.1, XP_019102553.1
OG0002165	XP_013630839.1	XP_019082712.1
OG0002165	XP_013634418.1, XP_013637619.1	XP_010505334.1, XP_010517017.1, XP_010509331.1
OG0002166	XP_013594853.1	XP_010495806.1, XP_010484747.1, XP_019087951.1, XP_010481353.1, XP_019097695.1, XP_019095483.1, XP_010495805.1
OG0002167	XP_013633652.1	XP_010416867.1, XP_010472104.1, XP_010429023.1
OG0002167	XP_013589721.1, XP_013598019.1	XP_010444881.1
OG0002168	XP_013636816.1	XP_010431556.1, XP_010472132.1
OG0002168	XP_013596272.1	XP_010437006.2, XP_010431861.1, XP_010446444.1
OG0002169	XP_013630243.1, XP_013599167.1, XP_013596260.1	XP_010446439.1, XP_010431866.1, XP_010437013.1
OG0002169	XP_013634624.1	XP_019093909.1, XP_019083715.1, XP_010429059.1
OG0002170	XP_013602148.1	XP_010429130.1, XP_010472210.1, XP_010416973.1
OG0002170	XP_013631353.1	XP_019083464.1, XP_010472176.1, XP_010490967.1
OG0002171	XP_013620202.1	XP_010424497.1, XP_010437235.1
OG0002171	XP_013623602.1, XP_013607052.1, XP_013610090.1	XP_010437244.1, XP_010421950.1, XP_010455430.1
OG0002172	XP_013613269.1, XP_013597362.1	XP_010494072.1, XP_010455163.1, XP_010421672.1
OG0002172	XP_013585908.1	XP_010485881.1, XP_010463980.1, XP_010420228.1
OG0002174	XP_013628910.1, XP_013633684.1, XP_013633840.1	XP_010518193.1, XP_010506524.1, XP_019101161.1
OG0002174	XP_013604784.1	XP_010474808.1, XP_010457074.1
OG0002175	XP_013603798.1, XP_013603592.1	XP_010446623.1, XP_010437185.1, XP_010448303.1
OG0002176	XP_013618237.1, XP_013595422.1	XP_010421559.1, XP_010493954.1, XP_010455069.1
OG0002177	XP_013638175.1	XP_010464285.1, XP_010446228.1, XP_010486222.1
OG0002177	XP_013616173.1, XP_013598006.1	XP_010442362.1, XP_010442359.1
OG0002178	XP_013607491.1, XP_013595890.1	XP_010482124.1, XP_010439435.1
OG0002178	XP_013625675.1, XP_013586895.1	XP_010464328.1, XP_010486261.1, XP_010449510.1
OG0002179	XP_013618076.1	XP_010463101.1, XP_010486405.1, XP_010464472.1
OG0002179	XP_013615137.1	XP_019092792.1, XP_010463021.1, XP_010486401.1, XP_019100658.1
OG0002180	XP_013638649.1	XP_010498552.1, XP_010497629.2, XP_010464963.1
OG0002180	XP_013596121.1, XP_013628862.1	XP_010452618.1, XP_010423303.1, XP_010491258.1
OG0002181	XP_013587145.1, XP_013613842.1	XP_010479241.1, XP_010461637.1
OG0002181	XP_013621847.1	XP_010505302.1, XP_010487629.1, XP_010465793.1
OG0002182	XP_013625556.1, XP_013635846.1	XP_010465898.1, XP_010506481.1, XP_010487727.1
OG0002182	XP_013589826.1	XP_010500402.1, XP_010461693.1, XP_010479289.1
OG0002184	XP_013638372.1	XP_010487869.1, XP_010507626.1, XP_010466072.1
OG0002184	XP_013604256.1, XP_013584099.1	XP_010461823.1, XP_010500525.1, XP_010479447.1
OG0002185	XP_013607214.1, XP_013599446.1	XP_010425683.1, XP_010502894.1, XP_010514609.1
OG0002185	XP_013631916.1	XP_010441087.1, XP_010450775.1
OG0002186	XP_013607476.1, XP_013615649.1, XP_013585993.1, XP_013585995.1	XP_010511470.1, XP_010466538.1, XP_010488283.1
OG0002187	XP_013634300.1	XP_010435485.1, XP_010496607.1, XP_019087098.1
OG0002187	XP_013618296.1	XP_010415048.1, XP_010511394.1, XP_019094052.1
OG0002188	XP_013604827.1	XP_010475715.1, XP_010489582.1, XP_010458164.1
OG0002189	XP_013637588.1, XP_013622415.1	XP_010509549.1, XP_010516793.1, XP_010505110.1
OG0002190	XP_013637249.1, XP_013627891.1	XP_010517432.1, XP_010508897.1
OG0002190	XP_013608806.1	XP_010503885.1
OG0002191	XP_013585640.1	XP_010485082.1, XP_010457647.1, XP_010475259.1
OG0002191	XP_013635557.1, XP_013635071.1	XP_019093228.1, XP_010513144.1
OG0002192	XP_013634074.1	XP_010475894.1
OG0002193	XP_013612453.1	XP_019093965.1, XP_019093263.1, XP_010414681.1, XP_010511021.1
OG0002193	XP_013585681.1	XP_010491057.1, XP_010462621.1, XP_019094384.1
OG0002194	XP_013609959.1	XP_010510988.1, XP_010414625.1
OG0002194	XP_013600259.1, XP_013585674.1, XP_013600664.1	XP_010475909.1, XP_010458393.1, XP_010491281.1
OG0002195	XP_013606665.1	XP_019093052.1, XP_010418038.1, XP_019085268.1
OG0002195	XP_013605666.1, XP_013605572.1	XP_010480423.1, XP_010458470.1
OG0002197	XP_013637888.1, XP_013599793.1	XP_010476581.1, XP_010459024.1, XP_010496788.1
OG0002197	XP_013614059.1	XP_010513839.1, XP_010502089.1, XP_010424861.1
OG0002198	XP_013596711.1	XP_010498791.1, XP_010460075.1, XP_010477581.1
OG0002198	XP_013590558.1	XP_010415801.1, XP_010471111.1, XP_010427920.1
OG0002199	XP_013588277.1	XP_010427916.1, XP_010415797.1, XP_010471108.2
OG0002199	XP_013587372.1	XP_019094433.1, XP_010498796.1, XP_010460079.1
OG0002200	XP_013599091.1, XP_013592898.1, XP_013590069.1	XP_010427938.1, XP_010415814.1, XP_010471122.1, XP_010415810.1, XP_010427944.1
OG0002201	XP_013612296.1	XP_010473478.1, XP_010430319.1, XP_010430317.1, XP_010418247.1, XP_010473477.1
OG0002202	XP_013598075.1	XP_010446984.1, XP_010447007.1, XP_010436160.1
OG0002203	XP_013600242.1, XP_013598342.1	XP_010447845.1, XP_010438290.1, XP_010433089.1
OG0002203	XP_013599128.1	XP_010495935.1, XP_010416788.1, XP_010489141.1
OG0002204	XP_013639244.1	XP_010468792.1, XP_010463294.1
OG0002204	XP_013617243.1, XP_013617338.1	XP_010507221.1, XP_010497245.1, XP_010430729.1, XP_010450210.1
OG0002204	XP_013594887.1, XP_013633091.1, XP_013639477.1, XP_013589511.1, XP_013639243.1, XP_013626125.1	XP_019092303.1
OG0002205	XP_013618880.1	XP_019101584.1, XP_010470480.1
OG0002206	XP_013638349.1	XP_010498338.1, XP_010459587.1, XP_010477131.1
OG0002207	XP_013629977.1, XP_013599390.1	XP_010437054.1, XP_010431904.1
OG0002208	XP_013602438.1	XP_010472312.1, XP_010429258.1, XP_010417069.1
OG0002209	XP_013627744.1	XP_010488667.1, XP_010437700.1, XP_010437701.1, XP_019089013.1, XP_010432497.1, XP_010447173.1
OG0002210	XP_013591315.1	XP_010437642.1, XP_010447110.1, XP_010432438.1
OG0002210	XP_013595876.1, XP_013625842.1	XP_010488936.1, XP_010517959.1, XP_010467279.1
OG0002211	XP_013632287.1	XP_019086906.1, XP_010450158.1, XP_010495835.1
OG0002211	XP_013599430.1, XP_013627189.1	XP_010488465.1, XP_010466748.1
OG0002212	XP_013598135.1, XP_013586419.1	XP_010499210.1, XP_010478059.1
OG0002213	XP_013605309.1	XP_010448203.1, XP_010433431.1, XP_010438688.1
OG0002213	XP_013621458.1	XP_010482932.1, XP_010443119.1, XP_010449106.1
OG0002216	XP_013624912.1	XP_010436294.2, XP_010445009.2, XP_010451084.2, XP_019089017.1, XP_019086667.1, XP_010445010.2
OG0002218	XP_013638241.1	XP_010412397.1, XP_010463489.1
OG0002221	XP_013633825.1, XP_013631968.1	XP_010516697.1, XP_010505024.1
OG0002222	XP_013610272.1	XP_010460662.1, XP_010499401.1, XP_010478248.1, XP_010478249.1, XP_010499404.1, XP_019090761.1
OG0002223	XP_013607406.1	XP_010420473.1, XP_010492701.1, XP_010453945.1
OG0002223	XP_013590521.1	XP_010510166.1, XP_010463790.1, XP_010485678.1
OG0002224	XP_013625381.1	XP_010482306.1, XP_010441416.1, XP_010442482.1
OG0002224	XP_013599955.1, XP_013605654.1	XP_010439003.1, XP_010433743.1, XP_010448541.1
OG0002225	XP_013613396.1	XP_010492271.1, XP_010420107.1, XP_019090454.1
OG0002225	XP_013614031.1, XP_013628764.1	XP_010485405.1, XP_010435631.1, XP_010496296.1
OG0002226	XP_013610939.1, XP_013619944.1	XP_010492163.1, XP_010419992.1, XP_010453485.1
OG0002227	XP_013636596.1	XP_010473113.1
OG0002227	XP_013604833.1, XP_013604374.1, XP_013638962.1	XP_010488844.1, XP_019091569.1, XP_010475640.1
OG0002228	XP_013635494.1, XP_013622578.1	XP_010470051.1, XP_010510588.1, XP_010414489.1
OG0002228	XP_013639131.1	XP_010488010.1, XP_010475555.1, XP_010457986.1
OG0002229	XP_013635868.1	XP_010510124.1, XP_010418713.1
OG0002229	XP_013585745.1	XP_010485061.1, XP_010475254.1, XP_019091784.1
OG0002230	XP_013602561.1	XP_010475085.1, XP_010457476.1
OG0002230	XP_013609283.1	XP_010481857.1, XP_010494330.1, XP_010442018.1
OG0002231	XP_013600974.1, XP_013587157.1	XP_010457458.1
OG0002231	XP_013598234.1, XP_013621050.1	XP_010494354.1, XP_010481829.1
OG0002232	XP_013593283.1, XP_013606447.1	XP_019095580.1, XP_019095579.1, XP_010441907.1, XP_010494432.1, XP_010482496.1, XP_010457391.1, XP_010475005.1
OG0002233	XP_013619452.1	XP_019094360.1
OG0002233	XP_013618725.1	XP_010422457.1
OG0002234	XP_013639476.1	XP_010448471.1, XP_010433681.1, XP_010438922.1
OG0002234	XP_013593863.1, XP_013618350.1	XP_010482458.1, XP_010442941.1, XP_019087228.1
OG0002235	XP_013590154.1	XP_010448459.1, XP_010438910.1, XP_019086623.1
OG0002235	XP_013603404.1	XP_010499594.1, XP_010460860.1, XP_010478478.1
OG0002236	XP_013613072.1	XP_010482567.1, XP_010444562.1, XP_010442742.1
OG0002236	XP_013596687.1	XP_010433618.1, XP_010448414.1, XP_010438865.1
OG0002237	XP_013635531.1	XP_010413775.1, XP_010469397.1
OG0002238	XP_013638535.1	XP_010467615.1, XP_010489508.1, XP_010413922.1
OG0002239	XP_013633378.1, XP_013615882.1, XP_013633391.1	XP_010509692.1, XP_019099747.1
OG0002239	XP_013600247.1, XP_013586980.1	XP_010460891.1, XP_010478517.1
OG0002240	XP_013629934.1, XP_013636361.1, XP_013631604.1	XP_010509589.1, XP_010505076.1, XP_010516746.1
OG0002241	XP_013637728.1, XP_013584023.1	XP_010461063.1, XP_010499787.1
OG0002241	XP_013631430.1	XP_010516717.1, XP_010505044.1, XP_010509621.1
OG0002242	XP_013597539.1	XP_010484556.1, XP_010464552.1, XP_010444696.1
OG0002242	XP_013604172.1	XP_010503702.1, XP_010515391.1, XP_010426575.1
OG0002243	XP_013608504.1, XP_013613366.1	XP_010491336.1
OG0002243	XP_013629531.1	XP_010457733.1, XP_010483867.1, XP_010444008.1
OG0002244	XP_013596091.1	XP_010443891.1, XP_010483739.1, XP_010456769.1
OG0002246	XP_013618546.1	XP_010493159.1, XP_010420893.1, XP_010454359.1
OG0002248	XP_013627694.1, XP_013627845.1	XP_019093713.1, XP_010450803.1, XP_010440650.1, XP_010496005.1
OG0002249	XP_013625749.1, XP_013607254.1, XP_013619220.1	XP_010443750.1, XP_019093009.1
OG0002250	XP_013608274.1, XP_013618313.1	XP_019098488.1, XP_010483469.1, XP_010454084.1
OG0002250	XP_013625332.1	XP_010431524.1, XP_010485548.1, XP_010463527.1
OG0002251	XP_013612023.1	XP_010443447.1, XP_010483282.1, XP_010452498.1
OG0002251	XP_013599977.1	XP_010433589.1, XP_010438831.1, XP_010448367.1
OG0002252	XP_013597958.1	XP_010433528.1, XP_010438780.1
OG0002252	XP_013619695.1	XP_010443316.1, XP_010483142.1, XP_010451346.1
OG0002253	XP_013612702.1	XP_010482888.1, XP_010448660.1
OG0002253	XP_013597674.1	XP_010433408.1, XP_010438660.1, XP_010448179.1
OG0002254	XP_013602914.1, XP_013584708.1	XP_010480329.1
OG0002254	XP_013629649.1	XP_010456000.1, XP_019084363.1
OG0002255	XP_013593458.1	XP_010516492.1, XP_010489236.1, XP_010467393.1
OG0002255	XP_013612769.1	XP_010439405.1, XP_010434107.1, XP_010448972.1
OG0002256	XP_013638292.1, XP_013628411.1	XP_010464838.1, XP_010486783.1, XP_010494961.1
OG0002256	XP_013622627.1	XP_010491127.1, XP_010423420.1, XP_010452490.1
OG0002257	XP_013587095.1	XP_010464790.1, XP_010490021.1, XP_010486720.1
OG0002257	XP_013606718.1	XP_010452440.1, XP_010423477.1, XP_010495076.1
OG0002258	XP_013632489.1, XP_013637629.1	XP_010509119.1, XP_010517142.1, XP_010505470.1
OG0002258	XP_013626863.1	XP_010423693.1, XP_010452238.1, XP_010490844.1
OG0002259	XP_013611299.1	XP_010490762.1, XP_010423796.1
OG0002260	XP_013621494.1, XP_013630368.1	XP_010451989.1, XP_010490569.1, XP_010423952.1
OG0002260	XP_013637431.1	XP_010509206.1, XP_010517111.1, XP_010505440.1
OG0002261	XP_013635763.1	XP_010450605.1, XP_010441250.1
OG0002261	XP_013615983.1, XP_013599376.1	XP_010514411.1, XP_010502683.1, XP_010425459.1
OG0002262	XP_013618822.1	XP_010430000.1, XP_010417742.1, XP_010472977.1
OG0002262	XP_013583805.1	XP_010459070.1, XP_010497101.1, XP_010476624.1
OG0002263	XP_013591545.1, XP_013591616.1	XP_010472951.1, XP_010429982.1, XP_010417726.1
OG0002263	XP_013604974.1, XP_013587434.1	XP_010497204.1, XP_010476640.1
OG0002264	XP_013590161.1	XP_010417670.2, XP_010472884.1, XP_010429917.1
OG0002264	XP_013638166.1	XP_010459123.1, XP_010476686.1, XP_010497475.1
OG0002265	XP_013594719.1	XP_010477474.1, XP_010459955.1, XP_010498681.1
OG0002266	XP_013620768.1	XP_010416730.1, XP_010471971.1, XP_019085046.1
OG0002266	XP_013603640.1	XP_010480589.1, XP_010498657.1
OG0002267	XP_013590060.1	XP_010471856.1, XP_010416620.1, XP_010428760.1
OG0002267	XP_013638852.1, XP_013594146.1	XP_010477393.1, XP_010498581.1, XP_010459838.1
OG0002268	XP_013590536.1	XP_010428670.1, XP_010416530.1, XP_010471769.1
OG0002268	XP_013638795.1	XP_010459728.1, XP_010498476.1, XP_010477282.1
OG0002269	XP_013621385.1	XP_010471659.1, XP_010416436.1, XP_010428572.1
OG0002269	XP_013587194.1	XP_010477198.1, XP_010459651.1, XP_010498397.1
OG0002270	XP_013587536.1	XP_010459638.1, XP_010498387.1, XP_010477186.1
OG0002270	XP_013621486.1	XP_019085013.1, XP_010471645.1, XP_010416415.1
OG0002271	XP_013631978.1	XP_010413607.1, XP_010469237.1, XP_010512304.1
OG0002271	XP_013588736.1	XP_010480105.1, XP_010501181.1, XP_010462417.1
OG0002272	XP_013638431.1	XP_010500491.1, XP_010465177.1, XP_010487098.1
OG0002272	XP_013592273.1	XP_010501167.1, XP_010462406.1, XP_010480093.1
OG0002273	XP_013638182.1	XP_010487113.1, XP_010465193.1, XP_010500673.1
OG0002273	XP_013629928.1	XP_010480071.1, XP_019091861.1, XP_010501151.1
OG0002274	XP_013599301.1	XP_010488387.1, XP_010512358.1, XP_010466657.1
OG0002274	XP_013628850.1, XP_013637311.1	XP_010450052.1, XP_010440481.1, XP_010435138.1
OG0002275	XP_013614139.1	XP_010435122.1, XP_010450038.1, XP_010440462.1
OG0002275	XP_013599786.1	XP_010450039.1, XP_010435123.1, XP_010440463.1
OG0002276	XP_013587906.1	XP_010428262.1, XP_010471397.1, XP_010416145.1
OG0002276	XP_013613970.1	XP_010459409.2, XP_010476957.2, XP_010498171.1
OG0002277	XP_013589842.1, XP_013590290.1	XP_010415539.1, XP_010511937.1, XP_010470885.1
OG0002277	XP_013613940.1	XP_010477869.1, XP_010460324.1, XP_010499054.1
OG0002278	XP_013602721.1	XP_010489010.1, XP_010467787.1
OG0002279	XP_013608206.1, XP_013605671.1	XP_010433167.1, XP_010438388.1, XP_010447920.1
OG0002280	XP_013634818.1	XP_010435893.1, XP_010441192.1, XP_010450663.1
OG0002280	XP_013596763.1	XP_010514475.1, XP_010502767.1
OG0002281	XP_013596134.1, XP_013616168.1	XP_010425482.1, XP_010502705.1, XP_010514435.1
OG0002281	XP_013590071.1	XP_010436009.1, XP_010441230.1, XP_010450627.1
OG0002282	XP_013585948.1	XP_010458797.1, XP_010476343.1, XP_010495328.1
OG0002282	XP_013621329.1, XP_013597888.1	XP_010514231.1, XP_010502490.1, XP_010425263.1
OG0002283	XP_013622283.1, XP_013587794.1	XP_010479423.1, XP_010500543.1, XP_010461840.1
OG0002284	XP_013590014.1	XP_010500825.1, XP_010462064.1, XP_010479732.1
OG0002284	XP_013622152.1, XP_013592575.1	XP_010487455.1, XP_010503795.1, XP_010465616.1
OG0002285	XP_013636651.1, XP_013632338.1	XP_010516579.1, XP_010504887.1, XP_010509768.1
OG0002285	XP_013631782.1	XP_010504888.1, XP_010509767.1, XP_010516580.1
OG0002287	XP_013614117.1	XP_010434798.1, XP_010440126.2, XP_010449753.1
OG0002287	XP_013632152.1, XP_013631989.1	XP_010516774.1, XP_010505091.1, XP_010509573.1
OG0002288	XP_013619106.1	XP_010495770.1, XP_010484763.1, XP_010445785.1
OG0002288	XP_013593733.1	XP_010436506.1, XP_010449539.1, XP_010439925.1
OG0002289	XP_013595934.1, XP_013605741.1	XP_010440017.1, XP_010434680.1, XP_010449628.1
OG0002289	XP_013593621.1	XP_010481330.1, XP_010494975.1, XP_010441467.1
OG0002290	XP_013585188.1, XP_013593382.1	XP_010486671.1, XP_010486370.1, XP_010468101.1, XP_010418602.1, XP_010468102.1
OG0002291	XP_013589299.1, XP_013596898.1	XP_010515430.1, XP_010426600.1, XP_010503726.1
OG0002291	XP_013603314.1	XP_010496445.1, XP_010501821.1, XP_010500138.1
OG0002292	XP_013596535.1	XP_010431199.1, XP_010503686.1
OG0002292	XP_013595034.1	XP_010426555.1, XP_010503685.1, XP_019101897.1
OG0002293	XP_013596159.1	XP_010439185.1, XP_010448718.1, XP_010433915.1
OG0002293	XP_013619787.1	XP_010485051.1, XP_010473231.1, XP_010446028.1
OG0002294	XP_013613592.1	XP_010494514.1, XP_010481723.1, XP_010441841.1
OG0002294	XP_013621757.1, XP_013609819.1	XP_010434312.1, XP_010439609.1, XP_010449215.1
OG0002295	XP_013626203.1	XP_010436004.1, XP_010421830.1, XP_010455321.1
OG0002295	XP_013584381.1	XP_010476530.1, XP_010458977.1, XP_010496379.1
OG0002296	XP_013622222.1	XP_019102478.1
OG0002296	XP_013601322.1	XP_010440104.1, XP_010449722.1, XP_010434772.1
OG0002297	XP_013636060.1, XP_013591514.1	XP_019098606.1, XP_010468891.1, XP_010497016.2, XP_010512714.1, XP_019093187.1, XP_010413203.1
OG0002298	XP_013636400.1	XP_010506559.1, XP_010518223.1, XP_010508105.1
OG0002298	XP_013600084.1, XP_013589399.1	XP_010512458.1, XP_010469048.1
OG0002299	XP_013602544.1	XP_010504643.1, XP_010516333.1, XP_010427588.1
OG0002299	XP_013633444.1	XP_010505925.2, XP_010512910.1, XP_019082317.1
OG0002300	XP_013601985.1	XP_010412977.1, XP_010505831.1, XP_010517518.1, XP_010508808.1
OG0002300	XP_013635768.1, XP_013588190.1	XP_019099730.1, XP_019085853.1, XP_010412800.1
OG0002301	XP_013621926.1, XP_013637248.1	XP_010505737.1, XP_010508901.1, XP_010517427.1
OG0002301	XP_013604703.1	XP_010427402.1, XP_010504473.1, XP_010516193.1
OG0002302	XP_013628443.1, XP_013635362.1	XP_019102539.1
OG0002302	XP_013636150.1	XP_010427293.1, XP_010504382.1
OG0002303	XP_013604777.1	XP_010504339.1, XP_010516057.1, XP_010427242.1
OG0002303	XP_013633421.1	XP_019102538.1, XP_010505594.1, XP_010509039.1
OG0002304	XP_013604651.1	XP_010477761.1
OG0002305	XP_013622582.1	XP_010436948.1, XP_010446361.1
OG0002305	XP_013618436.1, XP_013590309.1	XP_010511788.1, XP_010415416.1, XP_010470751.1
OG0002306	XP_013586852.1	XP_019091897.1
OG0002306	XP_013608887.1	XP_010433092.1, XP_010422243.1, XP_010496155.1
OG0002307	XP_013614558.1	XP_010429080.1, XP_010416915.1, XP_010472156.1
OG0002307	XP_013598081.1	XP_010437034.1, XP_010431887.1, XP_010446453.1
OG0002308	XP_013594675.1	XP_010446585.1, XP_010431981.1, XP_010437123.1
OG0002308	XP_013637566.1	XP_010416995.1, XP_010429155.1, XP_010472223.1
OG0002309	XP_013592802.1	XP_019100886.1, XP_019100887.1, XP_010500069.1, XP_010461353.1
OG0002309	XP_013603687.1	XP_010500071.1, XP_019100885.1
OG0002310	XP_013612418.1, XP_013607978.1, XP_013627196.1	XP_010437070.1, XP_010455445.1
OG0002310	XP_013623417.1	XP_010421965.1, XP_010455446.1, XP_010437037.1
OG0002311	XP_013625092.1	XP_019087922.1, XP_010434235.1, XP_019088961.1, XP_010448545.1, XP_010433751.1, XP_019088264.1, XP_010448537.1, XP_010438999.1, XP_010448539.1, XP_019089589.1
OG0002312	XP_013600577.1	XP_010434648.1, XP_010449596.1, XP_010439986.1
OG0002312	XP_013607076.1, XP_013598917.1	XP_010494948.1, XP_010481350.1, XP_010441489.1
OG0002313	XP_013596346.1, XP_013614017.1	XP_010482207.1, XP_010442389.1
OG0002314	XP_013620027.1	XP_010502987.1, XP_010425764.1, XP_010514668.1
OG0002315	XP_013629647.1, XP_013609209.1	XP_010487657.1, XP_010465820.1, XP_010505667.1
OG0002316	XP_013604278.1	XP_010500369.1, XP_010479266.1
OG0002316	XP_013637774.1	XP_010465835.1, XP_010487672.1, XP_010505870.1
OG0002317	XP_013604575.1	XP_010463282.1
OG0002317	XP_013609114.1, XP_013586245.1	XP_010506007.1, XP_010487683.1, XP_010465844.1
OG0002318	XP_013638993.1	XP_010487746.1, XP_019092122.1, XP_019102516.1
OG0002318	XP_013591061.1	XP_010479307.1, XP_010461706.1, XP_010500419.1
OG0002320	XP_013585400.1, XP_013604695.1	XP_010479747.1, XP_010457078.1, XP_010474803.1
OG0002321	XP_013585831.1	XP_010457083.1, XP_019094355.1, XP_019098071.1
OG0002321	XP_013606767.1, XP_013628270.1	XP_010427322.1
OG0002322	XP_013628090.1, XP_013609608.1	XP_010427031.1, XP_010456286.1, XP_010419590.1
OG0002323	XP_013594382.1, XP_013589400.1	XP_010428797.1, XP_019084619.1
OG0002323	XP_013637891.1	XP_010474667.1, XP_010481058.1, XP_010457237.2
OG0002324	XP_013600458.1, XP_013583870.1, XP_013599856.1	XP_019094752.1, XP_019098885.1, XP_019091363.1, XP_019094751.1, XP_010487504.1, XP_019091364.1
OG0002325	XP_013586820.1, XP_013605063.1	XP_010475706.1
OG0002326	XP_013600256.1	XP_010475895.1, XP_010490965.1, XP_010458379.1
OG0002326	XP_013613147.1	XP_010470205.1, XP_010511032.1, XP_010414661.1
OG0002327	XP_013608824.1, XP_013618079.1	XP_010513990.1, XP_010424992.1
OG0002327	XP_013583942.1	XP_010476507.1, XP_010458954.1
OG0002328	XP_013587619.1	XP_010459160.1, XP_010476727.1
OG0002328	XP_013588119.1, XP_013618639.1	XP_010472827.1, XP_019100293.1, XP_010417633.1, XP_010429862.1
OG0002329	XP_013600227.1, XP_013638772.1	XP_010476737.1, XP_010497767.1, XP_019091288.1
OG0002329	XP_013588295.1	XP_019093440.1, XP_010417617.1, XP_010429841.1
OG0002330	XP_013587702.1	XP_010476902.1, XP_010498100.1, XP_019091970.1
OG0002331	XP_013602822.1	XP_019093343.1
OG0002331	XP_013602103.1	XP_010498232.1, XP_010459462.1, XP_010477023.1
OG0002332	XP_013600269.1	XP_010416314.1, XP_010428446.1, XP_010471547.1
OG0002332	XP_013638483.1	XP_010459523.1, XP_010477077.1, XP_010501519.1
OG0002333	XP_013590349.1	XP_010428083.1, XP_010471235.1
OG0002333	XP_013602503.1	XP_010477512.1, XP_010460009.1, XP_010498724.1
OG0002334	XP_013604470.1	XP_010477691.1, XP_010460163.1, XP_010498895.1
OG0002334	XP_013620451.1	XP_010415706.1, XP_010471024.1, XP_010427800.1
OG0002335	XP_013584288.1	XP_010460207.1, XP_010498954.1, XP_010477749.1
OG0002335	XP_013590401.1	XP_010512071.1, XP_010415671.1, XP_010471000.1
