Orthogroup	Brassica_oleracea	Arabidopsis_arenosa
OG0001459	XP_013595917.1, XP_013606374.1	jg28119
OG0001459	XP_013593314.1	jg9434
OG0001460	XP_013606420.1, XP_013593198.1, XP_013604305.1	jg28141, jg28136, jg28139
OG0001460	XP_013603524.1	jg9456
OG0001461	XP_013622053.1, XP_013636412.1, XP_013632473.1, XP_013636413.1, XP_013592839.1	jg14485, jg19121
OG0001462	XP_013625072.1, XP_013631617.1	jg19025
OG0001462	XP_013623960.1, XP_013625073.1, XP_013635553.1	jg19022
OG0001463	XP_013628486.1	jg25152
OG0001464	XP_013621414.1, XP_013630584.1, XP_013611948.1	jg7635
OG0001465	XP_013605173.1, XP_013637138.1	jg16546
OG0001465	XP_013598533.1, XP_013605252.1, XP_013629732.1	jg8365
OG0001466	XP_013632245.1	jg16662
OG0001466	XP_013594670.1, XP_013624785.1, XP_013593623.1	jg8497
OG0001467	XP_013599515.1	jg16822
OG0001468	XP_013617495.1, XP_013596176.1	jg8655
OG0001468	XP_013630898.1, XP_013605249.1	jg16842
OG0001469	XP_013634723.1, XP_013603327.1	jg16909
OG0001469	XP_013621974.1, XP_013593701.1, XP_013602499.1	jg9294
OG0001470	XP_013592194.1, XP_013604293.1, XP_013638988.1	jg32097
OG0001470	XP_013638215.1	jg32096
OG0001472	XP_013627536.1, XP_013583460.1, XP_013619557.1	jg24473
OG0001472	XP_013612253.1, XP_013596197.1	jg6608
OG0001473	XP_013598186.1	jg6611
OG0001473	XP_013584002.1, XP_013589146.1, XP_013630439.1	jg24470
OG0001474	XP_013599090.1, XP_013599089.1	jg28249
OG0001475	XP_013590318.1	jg16040
OG0001475	XP_013623314.1, XP_013634129.1	jg19755
OG0001476	XP_013610174.1, XP_013596167.1	jg13762, jg20312, jg20311
OG0001477	XP_013623662.1, XP_013618837.1, XP_013596410.1	jg21605
OG0001477	XP_013584557.1, XP_013584371.1	jg24593
OG0001478	XP_013628051.1	jg26326
OG0001478	XP_013591131.1	jg33363, jg33365
OG0001479	XP_013605314.1, XP_013586017.1	jg29412
OG0001479	XP_013605170.1	jg1099
OG0001480	XP_013609331.1	jg620
OG0001481	XP_013601813.1	jg30105
OG0001481	XP_013600151.1	jg30101
OG0001482	XP_013614299.1	jg21645
OG0001482	XP_013606904.1, XP_013599158.1	jg10045
OG0001483	XP_013597488.1	jg30602
OG0001483	XP_013598529.1, XP_013629867.1	jg8847
OG0001484	XP_013596384.1, XP_013602704.1	jg30858
OG0001484	XP_013618155.1, XP_013590335.1	jg2734
OG0001485	XP_013606657.1	jg20730
OG0001486	XP_013608055.1, XP_013597446.1, XP_013628166.1	jg9282
OG0001486	XP_013605532.1, XP_013634966.1	jg16917
OG0001487	XP_013633402.1, XP_013584286.1	jg31016, jg31014
OG0001488	XP_013627899.1, XP_013620140.1	jg6233, jg17587, jg6230
OG0001488	XP_013630431.1	jg33539
OG0001489	XP_013603724.1	jg3720, jg1222
OG0001490	XP_013591172.1, XP_013627557.1, XP_013585014.1	jg24501, jg26885, jg7563, jg7566, jg2203, jg7477, jg27440
OG0001491	XP_013596945.1, XP_013632424.1	jg26004
OG0001492	XP_013632527.1, XP_013639806.1	jg26240, jg26233, jg26239, jg26238, jg26232
OG0001493	XP_013618667.1, XP_013631541.1	jg26666, jg26665
OG0001499	XP_013611959.1	jg2169, jg2168, jg2170
OG0001499	XP_013590767.1, XP_013591312.1	jg1737
OG0001500	XP_013598441.1	jg32351, jg32353, jg31529
OG0001500	XP_013586890.1	jg21053, jg31528, jg14209
OG0001501	XP_013638765.1, XP_013594589.1	jg24209
OG0001501	XP_013618709.1, XP_013607022.1	jg5604
OG0001502	XP_013639434.1, XP_013625571.1	jg24200
OG0001502	XP_013629907.1	jg5594
OG0001503	XP_013628691.1	jg5333
OG0001503	XP_013587718.1, XP_013637662.1	jg23973
OG0001504	XP_013607734.1, XP_013588149.1	jg14807, jg33131, jg33130
OG0001505	XP_013584881.1	jg23933
OG0001505	XP_013618941.1, XP_013606897.1, XP_013623327.1	jg5269
OG0001506	XP_013609050.1	jg5196
OG0001506	XP_013586724.1, XP_013629414.1, XP_013635859.1	jg25195
OG0001507	XP_013621393.1, XP_013610131.1	jg4974
OG0001507	XP_013621347.1, XP_013597927.1	jg6430
OG0001508	XP_013608886.1	jg4639
OG0001508	XP_013593913.1, XP_013608965.1, XP_013618206.1	jg23055
OG0001509	XP_013621047.1, XP_013627357.1, XP_013623235.1	jg4628, jg4627
OG0001510	XP_013585052.1	jg31195
OG0001510	XP_013597257.1, XP_013619359.1	jg2378
OG0001511	XP_013631129.1	jg17723
OG0001511	XP_013605833.1, XP_013637700.1, XP_013605890.1	jg29182
OG0001512	XP_013585862.1	jg29144
OG0001512	XP_013626782.1	jg17830
OG0001513	XP_013634754.1, XP_013634931.1	jg17843
OG0001513	XP_013605880.1	jg29129
OG0001514	XP_013622081.1	jg18040
OG0001515	XP_013583533.1, XP_013604705.1, XP_013604955.1	jg29016
OG0001515	XP_013634293.1	jg18129
OG0001516	XP_013583909.1	jg28967
OG0001516	XP_013634924.1, XP_013634894.1	jg18171
OG0001517	XP_013601999.1, XP_013638632.1	jg28852
OG0001517	XP_013630890.1	jg18312
OG0001518	XP_013604064.1, XP_013584325.1	jg28765
OG0001518	XP_013626665.1, XP_013634660.1	jg18441
OG0001519	XP_013599495.1, XP_013584322.1	jg28759
OG0001519	XP_013613225.1	jg20901
OG0001520	XP_013584952.1, XP_013604007.1	jg28753
OG0001520	XP_013610731.1	jg20875
OG0001521	XP_013592654.1	jg3657
OG0001521	XP_013638457.1, XP_013602250.1	jg30106
OG0001522	XP_013587024.1, XP_013629163.1, XP_013599003.1, XP_013636377.1	jg18526
OG0001523	XP_013636502.1	jg18529
OG0001523	XP_013597522.1, XP_013586114.1, XP_013629551.1	jg31474
OG0001524	XP_013613850.1	jg31662
OG0001525	XP_013585792.1	jg31803
OG0001526	XP_013617776.1, XP_013600571.1, XP_013593947.1	jg14851
OG0001527	XP_013628686.1	jg23596
OG0001527	XP_013591646.1, XP_013611588.1	jg15480
OG0001528	XP_013617973.1	jg23323
OG0001529	XP_013595736.1, XP_013606003.1	jg6307
OG0001529	XP_013629640.1, XP_013602692.1	jg14777
OG0001531	XP_013615056.1	jg6119
OG0001532	XP_013609486.1, XP_013616022.1	jg22893, jg22892
OG0001533	XP_013625869.1, XP_013622911.1, XP_013629631.1	jg22887
OG0001534	XP_013617673.1	jg20450
OG0001535	XP_013598833.1	jg9827
OG0001535	XP_013618807.1, XP_013606354.1	jg22545
OG0001536	XP_013631562.1, XP_013607168.1, XP_013609044.1	jg528, jg527
OG0001537	XP_013623153.1, XP_013618096.1, XP_013610988.1	jg7971
OG0001537	XP_013583588.1	jg28600
OG0001538	XP_013587292.1	jg28618
OG0001538	XP_013612197.1, XP_013614535.1	jg7956
OG0001539	XP_013608508.1, XP_013608509.1, XP_013615131.1, XP_013608520.1, XP_013608519.1, XP_013608518.1, XP_013619814.1	jg4429
OG0001540	XP_013638695.1, XP_013621768.1	jg25055
OG0001540	XP_013611631.1	jg4308
OG0001541	XP_013584035.1	jg25001
OG0001542	XP_013620601.1	jg4085
OG0001542	XP_013586027.1, XP_013627988.1	jg24914
OG0001543	XP_013590149.1, XP_013588691.1	jg3365
OG0001543	XP_013584186.1	jg30685
OG0001544	XP_013592639.1	jg3364
OG0001544	XP_013586492.1, XP_013599697.1, XP_013599272.1	jg30684
OG0001545	XP_013589885.1, XP_013590526.1	jg3320
OG0001545	XP_013593783.1, XP_013638192.1, XP_013602571.1	jg30645
OG0001546	XP_013619014.1	jg3154
OG0001546	XP_013591837.1, XP_013588748.1	jg3158
OG0001547	XP_013596524.1	jg27861
OG0001548	XP_013636200.1, XP_013595695.1	jg8754
OG0001548	XP_013595677.1	jg27908
OG0001549	XP_013635352.1, XP_013605909.1	jg11464
OG0001549	XP_013590752.1, XP_013593901.1	jg26712
OG0001550	XP_013588566.1	jg3039
OG0001550	XP_013604298.1, XP_013587212.1, XP_013605446.1	jg30369
OG0001551	XP_013617526.1	jg6229, jg6227
OG0001552	XP_013599112.1, XP_013608879.1	jg20517
OG0001552	XP_013595335.1	jg10692
OG0001553	XP_013622993.1, XP_013608282.1, XP_013638281.1	jg26186
OG0001553	XP_013589873.1, XP_013592122.1	jg33200
OG0001554	XP_013625354.1, XP_013589992.1	jg33464
OG0001554	XP_013618897.1, XP_013638912.1	jg25611
OG0001555	XP_013618285.1, XP_013594241.1	jg20349
OG0001555	XP_013635867.1, XP_013597721.1	jg10852
OG0001556	XP_013595447.1	jg10891
OG0001557	XP_013598702.1, XP_013612516.1, XP_013621118.1	jg23737
OG0001557	XP_013605487.1	jg14957
OG0001558	XP_013613926.1, XP_013637420.1, XP_013629973.1	jg20124
OG0001558	XP_013631699.1	jg16297
OG0001559	XP_013593954.1, XP_013603330.1	jg9192
OG0001559	XP_013602885.1	jg17088
OG0001560	XP_013627865.1, XP_013633594.1	jg19762
OG0001560	XP_013591140.1, XP_013601713.1	jg16048
OG0001561	XP_013589359.1, XP_013614179.1	jg15815
OG0001562	XP_013599771.1, XP_013589874.1	jg15767
OG0001562	XP_013631613.1	jg19482
OG0001563	XP_013622126.1, XP_013637155.1	jg19390
OG0001563	XP_013632242.1, XP_013637036.1	jg15645, jg15715
OG0001564	XP_013637444.1, XP_013602020.1	jg15533
OG0001564	XP_013631671.1, XP_013628735.1	jg19221
OG0001565	XP_013600846.1	jg15521
OG0001566	XP_013632096.1, XP_013631570.1, XP_013623308.1, XP_013604216.1	jg33000
OG0001567	XP_013602819.1	jg14239
OG0001567	XP_013616478.1, XP_013595935.1	jg14237
OG0001568	XP_013602121.1, XP_013598555.1	jg9416
OG0001568	XP_013611593.1	jg28101
OG0001569	XP_013602322.1, XP_013615665.1, XP_013632456.1, XP_013623596.1	jg16568
OG0001569	XP_013597712.1	jg8385
OG0001570	XP_013588542.1, XP_013613630.1	jg2818
OG0001571	XP_013602337.1	jg28641
OG0001571	XP_013625668.1, XP_013628187.1, XP_013609345.1	jg5758
OG0001572	XP_013624128.1	jg24430
OG0001572	XP_013599212.1, XP_013621460.1	jg6648
OG0001573	XP_013606757.1, XP_013595329.1	jg6760
OG0001573	XP_013584778.1, XP_013588737.1	jg24374
OG0001574	XP_013600867.1, XP_013623996.1, XP_013598567.1	jg9586
OG0001574	XP_013598627.1	jg28279
OG0001575	XP_013610190.1	jg24312, jg24311
OG0001576	XP_013611174.1, XP_013616261.1, XP_013599427.1	jg6705
OG0001577	XP_013597999.1	jg21361
OG0001577	XP_013638125.1, XP_013584993.1, XP_013626429.1	jg24717
OG0001578	XP_013613841.1, XP_013637944.1	jg25845
OG0001578	XP_013605246.1	jg32898
OG0001580	XP_013601365.1	jg9867
OG0001580	XP_013594802.1	jg11355, jg11354
OG0001581	XP_013613535.1, XP_013613532.1	jg12515, jg12516
OG0001582	XP_013634882.1, XP_013634261.1	jg18306
OG0001582	XP_013605632.1	jg28858
OG0001583	XP_013605431.1	jg29506
OG0001583	XP_013606320.1, XP_013631681.1, XP_013596817.1	jg886
OG0001584	XP_013602709.1, XP_013585258.1, XP_013585257.1	jg29971
OG0001584	XP_013593575.1, XP_013614246.1	jg12968
OG0001585	XP_013586103.1, XP_013593686.1	jg30817
OG0001585	XP_013599519.1	jg30818
OG0001586	XP_013621328.1, XP_013609459.1, XP_013606782.1	jg13179
OG0001587	XP_013583830.1	jg30892
OG0001587	XP_013619267.1	jg2680
OG0001588	XP_013612681.1	jg403
OG0001588	XP_013591251.1, XP_013635918.1	jg12823
OG0001589	XP_013621507.1, XP_013598108.1	jg13568
OG0001591	XP_013617108.1	jg8509
OG0001592	XP_013617858.1, XP_013627701.1	jg8953
OG0001592	XP_013627700.1, XP_013638666.1	jg8954
OG0001593	XP_013593340.1, XP_013618205.1	jg13218, jg29817
OG0001595	XP_013588416.1	jg1926, jg1929
OG0001596	XP_013620028.1, XP_013629106.1	jg28082, jg11894, jg26764, jg26771, jg16706, jg13812, jg17182, jg11893
OG0001597	XP_013608227.1	jg22523
OG0001597	XP_013600915.1	jg22525
OG0001598	XP_013611020.1	jg4640
OG0001599	XP_013588924.1, XP_013587618.1	jg9550, jg9551
OG0001603	XP_013594440.1, XP_013599556.1	jg14661
OG0001603	XP_013628437.1	jg23301
OG0001604	XP_013585061.1, XP_013605134.1	jg30428
OG0001604	XP_013627740.1, XP_013590940.1	jg14625
OG0001605	XP_013633163.1, XP_013633164.1	jg12655
OG0001606	XP_013616393.1	jg5545
OG0001607	XP_013631960.1, XP_013586541.1	jg24133
OG0001607	XP_013621488.1, XP_013611089.1	jg5520
OG0001608	XP_013584646.1, XP_013584703.1, XP_013615569.1, XP_013629521.1	jg26221, jg26222
OG0001609	XP_013614754.1, XP_013629561.1, XP_013613088.1	jg24071
OG0001610	XP_013594650.1, XP_013598874.1, XP_013587154.1, XP_013625419.1, XP_013584202.1	jg31260, jg31262
OG0001611	XP_013611221.1	jg5092
OG0001611	XP_013611368.1, XP_013621190.1	jg5804
OG0001612	XP_013606966.1	jg5808
OG0001612	XP_013629155.1, XP_013612653.1	jg5064
OG0001613	XP_013628606.1, XP_013611835.1	jg5005
OG0001613	XP_013594999.1	jg6490
OG0001614	XP_013620182.1	jg23504
OG0001614	XP_013612601.1	jg4857
OG0001616	XP_013590345.1, XP_013610028.1, XP_013612593.1	jg4785
OG0001616	XP_013629133.1, XP_013621372.1, XP_013613324.1	jg23461
OG0001617	XP_013606204.1, XP_013630715.1	jg4736
OG0001617	XP_013616525.1, XP_013623624.1	jg23370
OG0001618	XP_013606047.1	jg6147
OG0001618	XP_013619027.1	jg4666
OG0001619	XP_013606624.1	jg7901
OG0001619	XP_013594812.1, XP_013586956.1	jg28658
OG0001620	XP_013637916.1, XP_013605924.1	jg29112
OG0001620	XP_013636497.1	jg17872
OG0001621	XP_013622663.1	jg18033
OG0001621	XP_013586505.1, XP_013603982.1	jg29072
OG0001622	XP_013583819.1, XP_013602287.1	jg29061
OG0001622	XP_013632669.1	jg18047
OG0001623	XP_013637300.1	jg18087
OG0001623	XP_013583691.1, XP_013600707.1	jg29037
OG0001624	XP_013632640.1, XP_013634701.1, XP_013633627.1	jg18143
OG0001624	XP_013585790.1	jg29005
OG0001625	XP_013631820.1	jg18237
OG0001625	XP_013605590.1, XP_013638323.1	jg28916
OG0001626	XP_013602136.1, XP_013586138.1	jg18415, jg28784
OG0001627	XP_013638105.1	jg28769
OG0001627	XP_013630998.1, XP_013631116.1	jg18432
OG0001628	XP_013637820.1	jg28726
OG0001628	XP_013619822.1, XP_013595668.1, XP_013595666.1, XP_013609200.1	jg20801
OG0001629	XP_013622503.1, XP_013606271.1	jg7838
OG0001629	XP_013600401.1	jg28681
OG0001630	XP_013617332.1, XP_013594000.1	jg9895
OG0001630	XP_013618437.1, XP_013609622.1	jg21956
OG0001631	XP_013598908.1, XP_013621033.1	jg20932
OG0001631	XP_013593949.1	jg31295
OG0001632	XP_013627055.1	jg18497
OG0001633	XP_013596657.1	jg23118
OG0001633	XP_013596343.1	jg23122
OG0001634	XP_013612917.1	jg23069
OG0001634	XP_013598290.1	jg29860
OG0001635	XP_013630355.1, XP_013606791.1	jg14703
OG0001636	XP_013597977.1, XP_013620823.1, XP_013604158.1, XP_013627012.1	jg14808
OG0001637	XP_013626592.1, XP_013626616.1, XP_013610293.1, XP_013616878.1, XP_013621340.1	jg5813
OG0001638	XP_013606063.1, XP_013630481.1	jg5863
OG0001638	XP_013620664.1	jg5862
OG0001640	XP_013619189.1	jg9783
OG0001640	XP_013625958.1, XP_013608956.1, XP_013596751.1	jg22385
OG0001641	XP_013621496.1	jg22344
OG0001641	XP_013622624.1, XP_013597509.1	jg9767
OG0001642	XP_013627494.1, XP_013622480.1, XP_013609793.1, XP_013626835.1, XP_013597027.1, XP_013616456.1	jg22329
OG0001643	XP_013639769.1	jg9718
OG0001643	XP_013610499.1	jg22215
OG0001644	XP_013630802.1, XP_013633554.1	jg25124
OG0001645	XP_013585869.1, XP_013627193.1	jg25096
OG0001646	XP_013611098.1	jg4318
OG0001646	XP_013629005.1, XP_013637968.1, XP_013592337.1	jg25067
OG0001647	XP_013590711.1	jg15667
OG0001647	XP_013620670.1, XP_013614446.1, XP_013611285.1	jg4149
OG0001648	XP_013631148.1, XP_013588136.1	jg12696
OG0001648	XP_013607001.1, XP_013593551.1	jg13455
OG0001649	XP_013592026.1, XP_013637161.1	jg12709
OG0001649	XP_013598232.1	jg13419
OG0001650	XP_013635459.1	jg12764
OG0001650	XP_013608612.1	jg482
OG0001651	XP_013604407.1, XP_013587620.1	jg30111
OG0001651	XP_013620449.1, XP_013588226.1	jg3650
OG0001652	XP_013591502.1	jg3621
OG0001652	XP_013618281.1	jg3620
OG0001653	XP_013586811.1	jg30131
OG0001653	XP_013591489.1	jg3609
OG0001654	XP_013639415.1	jg31834, jg31835
OG0001655	XP_013619513.1, XP_013590834.1	jg1915
OG0001656	XP_013592504.1	jg3309
OG0001656	XP_013602367.1, XP_013594120.1, XP_013587614.1	jg30633
OG0001657	XP_013598452.1, XP_013630719.1	jg8801
OG0001658	XP_013593384.1	jg27923
OG0001658	XP_013626341.1, XP_013614869.1, XP_013598422.1	jg8732
OG0001659	XP_013625042.1	jg33819
OG0001659	XP_013586855.1, XP_013628744.1	jg25230
OG0001660	XP_013588274.1	jg33611
OG0001660	XP_013622811.1, XP_013585953.1, XP_013610481.1	jg25444
OG0001661	XP_013638027.1, XP_013610149.1	jg33505, jg25568
OG0001662	XP_013631456.1	jg18730
OG0001662	XP_013631410.1, XP_013602637.1, XP_013595369.1	jg15157
OG0001664	XP_013634833.1, XP_013635555.1	jg18787
OG0001664	XP_013592090.1	jg15220
OG0001665	XP_013630506.1, XP_013630922.1, XP_013637213.1	jg18788
OG0001666	XP_013601946.1	jg11277
OG0001666	XP_013607430.1, XP_013585794.1	jg26514
OG0001667	XP_013598868.1	jg11107
OG0001667	XP_013629111.1, XP_013584350.1	jg25721
OG0001668	XP_013609597.1	jg25738
OG0001668	XP_013596398.1	jg11091
OG0001669	XP_013593519.1	jg11083
OG0001669	XP_013598619.1, XP_013603077.1	jg11082
OG0001670	XP_013590925.1, XP_013619519.1	jg3047
OG0001670	XP_013616425.1	jg3048
OG0001671	XP_013619084.1, XP_013610392.1, XP_013593983.1	jg13620
OG0001672	XP_013612615.1	jg13350
OG0001672	XP_013604463.1	jg29750
OG0001673	XP_013616041.1	jg13276
OG0001673	XP_013638203.1, XP_013599910.1	jg29809
OG0001674	XP_013608402.1, XP_013587548.1	jg26095
OG0001674	XP_013600488.1	jg33111
OG0001675	XP_013592814.1, XP_013592764.1, XP_013592797.1	jg26143
OG0001676	XP_013638406.1, XP_013630582.1, XP_013590733.1	jg26280
OG0001676	XP_013592328.1	jg33283
OG0001677	XP_013638491.1	jg25703
OG0001677	XP_013630668.1, XP_013592757.1, XP_013592900.1	jg33378
OG0001678	XP_013631909.1	jg33390
OG0001679	XP_013591775.1, XP_013592089.1, XP_013622736.1	jg33468
OG0001679	XP_013636704.1	jg25605
OG0001681	XP_013610862.1, XP_013618395.1	jg20341
OG0001682	XP_013610858.1, XP_013593133.1	jg20339
OG0001682	XP_013595059.1	jg10856
OG0001683	XP_013630754.1, XP_013611605.1	jg27755
OG0001683	XP_013626907.1, XP_013604631.1	jg8861
OG0001684	XP_013626061.1, XP_013595710.1	jg27766
OG0001684	XP_013598156.1, XP_013635521.1	jg8855
OG0001685	XP_013601208.1, XP_013625179.1, XP_013594026.1	jg10326
OG0001686	XP_013630103.1, XP_013625685.1	jg10328
OG0001686	XP_013628966.1	jg7694
OG0001687	XP_013598335.1, XP_013623372.1	jg10378
OG0001687	XP_013612720.1	jg7738
OG0001688	XP_013627028.1	jg26875
OG0001688	XP_013632698.1	jg26876
OG0001689	XP_013587392.1, XP_013600714.1	jg32230
OG0001689	XP_013630137.1	jg7258
OG0001690	XP_013634510.1, XP_013616744.1, XP_013602084.1	jg16372
OG0001691	XP_013634118.1	jg16353
OG0001691	XP_013632226.1, XP_013629638.1	jg20177
OG0001692	XP_013604107.1	jg16337
OG0001692	XP_013587013.1, XP_013591425.1	jg20195
OG0001693	XP_013634195.1	jg20104
OG0001693	XP_013615363.1, XP_013605863.1, XP_013590173.1	jg16279
OG0001694	XP_013597253.1, XP_013633194.1	jg13327, jg12462, jg19201
OG0001695	XP_013605196.1, XP_013590052.1	jg16083
OG0001695	XP_013637145.1	jg19837
OG0001696	XP_013605197.1, XP_013588531.1	jg16082
OG0001696	XP_013635470.1, XP_013622639.1	jg19828
OG0001697	XP_013622261.1, XP_013632104.1	jg19652
OG0001697	XP_013604715.1	jg15980
OG0001698	XP_013632198.1	jg19602
OG0001698	XP_013634034.1, XP_013592413.1, XP_013605337.1	jg15905
OG0001699	XP_013636341.1	jg19531
OG0001699	XP_013605919.1, XP_013633542.1, XP_013588353.1	jg15803
OG0001700	XP_013596868.1	jg15686
OG0001700	XP_013634961.1	jg15687
OG0001701	XP_013636626.1, XP_013587908.1, XP_013604403.1	jg15389
OG0001702	XP_013633015.1	jg4973, jg7212
OG0001703	XP_013593788.1, XP_013625153.1	jg26968
OG0001704	XP_013630687.1, XP_013619372.1, XP_013625626.1	jg27368
OG0001705	XP_013633927.1, XP_013625475.1, XP_013633716.1	jg19228
OG0001706	XP_013607272.1	jg8396
OG0001706	XP_013634756.1, XP_013624034.1, XP_013603662.1	jg16582
OG0001707	XP_013628792.1	jg7187
OG0001708	XP_013625828.1, XP_013611007.1	jg7339
OG0001708	XP_013593329.1, XP_013586396.1	jg30845
OG0001709	XP_013614181.1	jg7389
OG0001709	XP_013588344.1, XP_013600208.1	jg31973
OG0001710	XP_013591991.1, XP_013585818.1	jg24517
OG0001710	XP_013619848.1, XP_013593402.1	jg6554
OG0001711	XP_013593318.1	jg6671
OG0001711	XP_013586466.1	jg24409
OG0001712	XP_013587125.1	jg24396
OG0001712	XP_013621287.1, XP_013611175.1	jg6699
OG0001713	XP_013634437.1, XP_013632263.1	jg19689
OG0001714	XP_013585134.1, XP_013592913.1	jg23979
OG0001715	XP_013585337.1, XP_013585290.1	jg24156
OG0001715	XP_013592671.1, XP_013592824.1	jg24155
OG0001716	XP_013638622.1	jg24330
OG0001717	XP_013629109.1, XP_013586173.1, XP_013585081.1	jg25733
OG0001718	XP_013607510.1, XP_013589019.1	jg27441
OG0001719	XP_013606549.1, XP_013613675.1	jg5741
OG0001720	XP_013586508.1, XP_013623184.1	jg24575
OG0001720	XP_013611301.1	jg5709
OG0001721	XP_013592264.1, XP_013627671.1, XP_013593277.1, XP_013587798.1	jg24586, jg24587
OG0001721	XP_013639194.1, XP_013583908.1	jg24588
OG0001722	XP_013584891.1, XP_013585696.1	jg24620
OG0001723	XP_013587525.1	jg24652
OG0001723	XP_013612213.1, XP_013614131.1	jg21465
OG0001724	XP_013606889.1	jg7097, jg7143
OG0001724	XP_013627991.1, XP_013638320.1	jg24907
OG0001725	XP_013636253.1	jg16852
OG0001725	XP_013638038.1, XP_013589046.1	jg25102
OG0001726	XP_013638081.1	jg25918
OG0001727	XP_013608732.1, XP_013638995.1	jg25953
OG0001727	XP_013590413.1, XP_013603035.1	jg32957
OG0001728	XP_013596582.1, XP_013601113.1	jg9640
OG0001728	XP_013630240.1, XP_013619543.1	jg21996
OG0001729	XP_013639505.1, XP_013602300.1, XP_013638459.1	jg15029, jg15031, jg15028, jg15030
OG0001730	XP_013584478.1	jg28481
OG0001730	XP_013611973.1, XP_013630509.1	jg8122
OG0001731	XP_013610245.1, XP_013619456.1, XP_013628635.1	jg8127
OG0001731	XP_013627900.1, XP_013603708.1	jg28489
OG0001732	XP_013608733.1	jg8041
OG0001732	XP_013585761.1, XP_013603241.1	jg28546
OG0001733	XP_013584730.1	jg28579
OG0001733	XP_013621784.1, XP_013620527.1	jg8007
OG0001734	XP_013637560.1, XP_013620408.1	jg1206, jg1204
OG0001734	XP_013586020.1	jg29351
OG0001735	XP_013605724.1, XP_013585540.1	jg29505
OG0001736	XP_013606604.1, XP_013631721.1, XP_013619211.1	jg842
OG0001736	XP_013583513.1	jg29533
OG0001737	XP_013596767.1	jg31581
OG0001737	XP_013584932.1	jg29633
OG0001738	XP_013615459.1, XP_013609437.1	jg672
OG0001738	XP_013600003.1, XP_013638140.1	jg29652
OG0001739	XP_013600701.1	jg29770
OG0001739	XP_013605599.1	jg29768, jg13380
OG0001740	XP_013599383.1, XP_013603596.1	jg30869
OG0001741	XP_013607410.1, XP_013629759.1	jg8538
OG0001741	XP_013592155.1, XP_013592395.1	jg6576
OG0001742	XP_013612847.1, XP_013614122.1	jg2667
OG0001742	XP_013600952.1, XP_013584266.1	jg30906
OG0001743	XP_013587505.1	jg30950
OG0001744	XP_013615155.1, XP_013610453.1, XP_013613879.1	jg799
OG0001745	XP_013596237.1, XP_013638561.1, XP_013626251.1	jg8475
OG0001745	XP_013632188.1	jg16650
OG0001746	XP_013631195.1, XP_013605522.1	jg16670
OG0001746	XP_013623152.1, XP_013609150.1	jg8512
OG0001747	XP_013587508.1, XP_013593873.1, XP_013625835.1	jg8576
OG0001747	XP_013635237.1	jg16752
OG0001748	XP_013586863.1	jg26145
OG0001748	XP_013586605.1, XP_013591615.1, XP_013589004.1	jg33174
OG0001749	XP_013596976.1, XP_013626758.1	jg27748
OG0001749	XP_013585716.1	jg8875
OG0001750	XP_013620599.1	jg9238
OG0001750	XP_013597030.1, XP_013591088.1	jg9237
OG0001751	XP_013597725.1	jg9301
OG0001752	XP_013587504.1	jg30952
OG0001752	XP_013598940.1	jg30951
OG0001754	XP_013598395.1, XP_013596981.1	jg27652, jg27651
OG0001755	XP_013627970.1	jg14245, jg14244
OG0001756	XP_013590183.1	jg11201, jg11202
OG0001756	XP_013595042.1, XP_013614326.1, XP_013614330.1	jg11200
OG0001757	XP_013629244.1, XP_013608472.1, XP_013632731.1	jg12501
OG0001763	XP_013625357.1	jg24191
OG0001763	XP_013608861.1	jg5588
OG0001764	XP_013584978.1	jg24119
OG0001765	XP_013629349.1	jg5468
OG0001765	XP_013630420.1, XP_013632761.1, XP_013587168.1	jg24100
OG0001766	XP_013610843.1, XP_013621212.1	jg5459, jg5461
OG0001766	XP_013628655.1, XP_013628654.1	jg5457
OG0001767	XP_013583488.1	jg29566
OG0001768	XP_013592812.1, XP_013621642.1	jg2640
OG0001768	XP_013620687.1	jg5309
OG0001769	XP_013583563.1	jg23924
OG0001769	XP_013627353.1, XP_013610109.1	jg5257
OG0001770	XP_013620406.1, XP_013591248.1	jg3709
OG0001770	XP_013618232.1	jg32275, jg5235
OG0001771	XP_013593276.1	jg31794
OG0001772	XP_013621525.1, XP_013628577.1	jg4883
OG0001772	XP_013628521.1	jg23575
OG0001773	XP_013618733.1	jg4872
OG0001774	XP_013625590.1	jg4642
OG0001774	XP_013607058.1, XP_013596245.1	jg23044
OG0001775	XP_013609344.1	jg4606
OG0001775	XP_013597617.1	jg23104
OG0001776	XP_013587720.1	jg28636
OG0001776	XP_013615873.1	jg7872
OG0001777	XP_013599708.1	jg29106
OG0001777	XP_013636477.1	jg17904
OG0001778	XP_013630931.1	jg17945
OG0001778	XP_013600463.1, XP_013638844.1, XP_013603165.1	jg29095
OG0001779	XP_013637358.1	jg17975
OG0001779	XP_013602265.1	jg29091
OG0001780	XP_013631883.1, XP_013636422.1	jg18058
OG0001781	XP_013584762.1	jg28966
OG0001781	XP_013634648.1, XP_013633827.1	jg18177
OG0001782	XP_013621828.1, XP_013631117.1	jg18414
OG0001782	XP_013629134.1	jg26716
OG0001783	XP_013595759.1, XP_013607238.1	jg20784
OG0001783	XP_013602057.1	jg28708
OG0001784	XP_013617970.1	jg9945
