Orthogroup	Brassica_oleracea	Capsella_rubella
OG0002805	XP_013622537.1, XP_013606152.1	XP_006287526.1
OG0002805	XP_013611450.1	XP_023641297.1
OG0002806	XP_013610141.1, XP_013591071.1	XP_006281160.1, XP_006298690.1
OG0002807	XP_013622059.1	XP_023641063.1
OG0002807	XP_013584524.1	XP_006283433.1
OG0002808	XP_013585082.1, XP_013625776.1	XP_006298635.1
OG0002809	XP_013587781.1	XP_023632874.1
OG0002809	XP_013638801.1	XP_006298590.2
OG0002811	XP_013584657.1	XP_023632957.1
OG0002812	XP_013615323.1	XP_006304314.1
OG0002812	XP_013607718.1	XP_006301941.2
OG0002813	XP_013591461.1	XP_006301615.1
OG0002813	XP_013584576.1, XP_013602679.1	XP_006303487.1, XP_006292280.1
OG0002814	XP_013600870.1	XP_006307580.2
OG0002814	XP_013616673.1	XP_006302377.1
OG0002815	XP_013612791.1, XP_013610953.1	XP_006302066.1, XP_023645238.1
OG0002816	XP_013584852.1	XP_023645215.1
OG0002817	XP_013591185.1	XP_006304920.2
OG0002818	XP_013620245.1, XP_013591296.1	XP_006300656.1
OG0002818	XP_013604485.1	XP_006303887.1
OG0002819	XP_013590311.1	XP_006300987.1
OG0002819	XP_013584334.1	XP_006303371.1
OG0002821	XP_013610286.1, XP_013611255.1	XP_006303011.1
OG0002822	XP_013603732.1, XP_013614777.1, XP_013585297.1, XP_013597240.1, XP_013590779.1	XP_006304348.1, XP_006306289.1
OG0002823	XP_013586084.1, XP_013596054.1, XP_013585189.1	XP_006285520.1
OG0002825	XP_013628091.1	XP_006285996.1
OG0002825	XP_013587423.1, XP_013597120.1	XP_023635368.1
OG0002826	XP_013595770.1, XP_013597875.1	XP_006285557.1
OG0002827	XP_013604664.1	XP_006283797.1
OG0002827	XP_013622124.1	XP_006297740.1
OG0002828	XP_013607802.1	XP_006284609.1
OG0002829	XP_013614047.1, XP_013607451.1, XP_013589740.1, XP_013605970.1, XP_013606555.1	XP_023637094.1, XP_023637654.1
OG0002831	XP_013584523.1	XP_006295964.1, XP_023640406.1
OG0002832	XP_013615440.1	XP_006281653.2, XP_023633376.1, XP_006299454.1, XP_023644514.1, XP_023644513.1, XP_006306274.2
OG0002835	XP_013596722.1	XP_006292616.1
OG0002835	XP_013594274.1, XP_013619067.1	XP_023638816.1
OG0002836	XP_013596818.1	XP_006286100.1
OG0002837	XP_013607063.1, XP_013622880.1, XP_013618289.1	XP_006279661.2
OG0002845	XP_013611993.1	XP_006287847.2
OG0002846	XP_013616427.1	XP_006300265.2
OG0002846	XP_013628012.1	XP_006286781.1
OG0002848	XP_013603691.1	XP_023634879.1
OG0002850	XP_013608942.1	XP_006287786.1
OG0002850	XP_013609478.1	XP_006287744.1
OG0002851	XP_013591145.1	XP_023642859.1
OG0002852	XP_013606329.1, XP_013599115.1	XP_006289423.1
OG0002853	XP_013630258.1	XP_006286568.1
OG0002854	XP_013636861.1, XP_013637019.1	XP_006293453.1, XP_006293454.1
OG0002855	XP_013599632.1	XP_006306431.1
OG0002855	XP_013630868.1	XP_006295904.1
OG0002856	XP_013638193.1, XP_013634081.1, XP_013600211.1, XP_013600054.1	XP_006305208.1
OG0002857	XP_013600682.1	XP_023645090.1
OG0002857	XP_013625131.1, XP_013632123.1	XP_006294598.1
OG0002858	XP_013637271.1	XP_006295065.1
OG0002858	XP_013586838.1	XP_023645770.1
OG0002859	XP_013586069.1	XP_006304766.1
OG0002860	XP_013634480.1	XP_006293436.1
OG0002860	XP_013605932.1, XP_013604973.1	XP_006306689.1
OG0002861	XP_013635318.1	XP_006295706.1
OG0002861	XP_013603464.1, XP_013584894.1	XP_006303679.1
OG0002863	XP_013594042.1	XP_006284588.1
OG0002864	XP_013613570.1	XP_023644886.1
OG0002864	XP_013621987.1	XP_006292918.1
OG0002865	XP_013584068.1	XP_006303413.2
OG0002867	XP_013638740.1, XP_013599979.1	XP_006304101.1
OG0002868	XP_013612569.1	XP_006279535.1
OG0002868	XP_013604271.1	XP_006292265.1
OG0002869	XP_013628586.1	XP_006279943.1
OG0002869	XP_013597701.1	XP_006290548.1
OG0002870	XP_013618615.1	XP_006281338.1
OG0002870	XP_013628582.1	XP_023637134.1
OG0002871	XP_013628692.1	XP_006290729.1
OG0002872	XP_013596935.1	XP_023633439.1
OG0002872	XP_013596629.1	XP_006279962.1
OG0002873	XP_013608347.1	XP_023637185.1
OG0002873	XP_013616454.1, XP_013610027.1	XP_023637370.1
OG0002874	XP_013598432.1, XP_013600547.1	XP_006284183.1
OG0002875	XP_013620796.1	XP_006279572.1
OG0002875	XP_013605183.1	XP_006282565.2
OG0002876	XP_013601594.1, XP_013619966.1, XP_013629698.1	XP_006290402.2
OG0002878	XP_013608535.1	XP_023644285.1
OG0002879	XP_013591859.1, XP_013638643.1	XP_006298018.1
OG0002880	XP_013636612.1	XP_006286283.1
OG0002881	XP_013617789.1, XP_013617791.1, XP_013590398.1, XP_013589723.1	XP_006295401.1
OG0002882	XP_013619271.1	XP_006301442.1, XP_006301477.1, XP_023644077.1
OG0002883	XP_013585324.1	XP_023632732.1
OG0002884	XP_013585726.1, XP_013602752.1	XP_006291633.1
OG0002885	XP_013632083.1, XP_013639706.1	XP_006299396.2
OG0002886	XP_013633607.1	XP_006293519.1
OG0002886	XP_013636895.1	XP_006292303.1
OG0002887	XP_013599456.1	XP_006285271.1
OG0002888	XP_013628813.1	XP_023634143.1, XP_006286120.1
OG0002889	XP_013594048.1	XP_006297684.1
OG0002889	XP_013636028.1	XP_006285259.2
OG0002890	XP_013637117.1	XP_006285842.1
OG0002890	XP_013623200.1	XP_006297780.1
OG0002891	XP_013585631.1	XP_006306614.1
OG0002892	XP_013619876.1	XP_006302649.1, XP_006298432.1, XP_006285337.1
OG0002893	XP_013608818.1	XP_006281088.1
OG0002894	XP_013596218.1	XP_023642957.1
OG0002894	XP_013630469.1	XP_023639561.1
OG0002895	XP_013591773.1	XP_006298067.1
OG0002895	XP_013592088.1	XP_006305259.1
OG0002896	XP_013604182.1	XP_006283104.1, XP_023634859.1
OG0002897	XP_013600521.1, XP_013599004.1, XP_013627027.1	XP_006296609.1, XP_006297553.1
OG0002898	XP_013616404.1, XP_013619693.1, XP_013595768.1	XP_023634834.1
OG0002899	XP_013596718.1	XP_006283435.1
OG0002899	XP_013599401.1	XP_006299348.1
OG0002900	XP_013619262.1	XP_023635228.1
OG0002900	XP_013610433.1	XP_006287184.1
OG0002901	XP_013609315.1	XP_023642094.1
OG0002902	XP_013610705.1, XP_013627690.1	XP_006289634.2
OG0002902	XP_013593552.1	XP_006285930.1
OG0002903	XP_013605278.1	XP_006290918.1
OG0002903	XP_013598352.1	XP_006279622.1
OG0002904	XP_013599907.1, XP_013593870.1	XP_006291736.1
OG0002905	XP_013612216.1	XP_023641461.1
OG0002905	XP_013599753.1	XP_023637755.1
OG0002906	XP_013604902.1	XP_023639220.1
OG0002907	XP_013613919.1, XP_013631705.1, XP_013637050.1	XP_023640786.1
OG0002909	XP_013630984.1, XP_013626363.1	XP_006295364.1
OG0002910	XP_013633947.1	XP_006293747.1
OG0002910	XP_013615394.1	XP_023636150.1
OG0002910	XP_013636212.1, XP_013604487.1	XP_006290638.1
OG0002911	XP_013637075.1	XP_023639620.1
OG0002912	XP_013603032.1	XP_006298442.1
OG0002914	XP_013608640.1	XP_023643327.1
OG0002914	XP_013595139.1	XP_006283056.1
OG0002915	XP_013605330.1, XP_013605331.1, XP_013598065.1	XP_006299662.1
OG0002916	XP_013613277.1, XP_013593346.1	XP_006297953.1
OG0002917	XP_013593058.1	XP_006280197.1
OG0002919	XP_013619639.1, XP_013616294.1	XP_006286569.1, XP_006288709.1
OG0002920	XP_013631580.1, XP_013625592.1, XP_013623332.1	XP_023639331.1
OG0002921	XP_013637785.1	XP_006297603.1
OG0002921	XP_013629199.1	XP_006287673.1
OG0002923	XP_013637758.1, XP_013636254.1	XP_006298123.1
OG0002924	XP_013628385.1	XP_023642002.1
OG0002924	XP_013628853.1	XP_023641065.1
OG0002925	XP_013585518.1	XP_006299756.1, XP_006296779.2
OG0002926	XP_013583553.1	XP_006298176.1
OG0002927	XP_013583579.1, XP_013583577.1	XP_023642515.1
OG0002928	XP_013587347.1, XP_013630597.1	XP_006297678.2
OG0002930	XP_013587626.1, XP_013622651.1, XP_013589636.1	XP_006299318.1, XP_006298254.1
OG0002931	XP_013619499.1	XP_023641373.1
OG0002931	XP_013609009.1	XP_006297463.1
OG0002932	XP_013587629.1, XP_013638931.1	XP_023642170.1
OG0002933	XP_013584479.1, XP_013610393.1, XP_013587589.1	XP_006297656.1
OG0002936	XP_013621750.1, XP_013587037.1	XP_006297470.1
OG0002938	XP_013620827.1, XP_013611305.1	XP_006287404.1
OG0002938	XP_013604168.1, XP_013587076.1	XP_006303436.2
OG0002939	XP_013584393.1	XP_006303267.1
OG0002939	XP_013609269.1	XP_006286739.1
OG0002940	XP_013586792.1	XP_006303605.1
OG0002941	XP_013604681.1, XP_013605396.1	XP_006303490.1
OG0002942	XP_013638381.1	XP_006305110.1
OG0002942	XP_013604265.1, XP_013638526.1	XP_006305010.1
OG0002943	XP_013634251.1, XP_013609070.1, XP_013612232.1	XP_023642996.1
OG0002946	XP_013604842.1, XP_013629994.1	XP_006293683.1
OG0002947	XP_013613285.1, XP_013622215.1	XP_023637560.1
OG0002948	XP_013589847.1, XP_013596488.1	XP_006285298.1
OG0002949	XP_013596655.1, XP_013598083.1	XP_006283947.1
OG0002950	XP_013622714.1, XP_013595874.1	XP_006283909.1
OG0002951	XP_013598697.1, XP_013610438.1, XP_013627656.1	XP_023635434.1, XP_006299275.1
OG0002952	XP_013618040.1	XP_006285676.1
OG0002952	XP_013604255.1	XP_006293477.1
OG0002953	XP_013626313.1	XP_006295415.1
OG0002953	XP_013596772.1	XP_006285466.1
OG0002954	XP_013602394.1	XP_006294869.2
OG0002954	XP_013638221.1	XP_023634497.1
OG0002955	XP_013602664.1	XP_023633738.1
OG0002955	XP_013633903.1	XP_006294253.1
OG0002956	XP_013627961.1, XP_013619653.1, XP_013591978.1	XP_006300136.2, XP_006289638.1
OG0002957	XP_013614808.1, XP_013614773.1	XP_023633351.1, XP_023634299.1, XP_023634301.1
OG0002958	XP_013593837.1, XP_013602717.1	XP_006296707.1
OG0002958	XP_013616306.1	XP_006283768.1
OG0002961	XP_013634871.1	XP_023641967.1, XP_023644572.1
OG0002962	XP_013622465.1, XP_013624788.1	XP_006283272.1, XP_006301664.2
OG0002963	XP_013594628.1	XP_006299963.2, XP_006298782.2
OG0002963	XP_013601309.1	XP_006299151.1
OG0002964	XP_013604037.1, XP_013604028.1, XP_013610942.1, XP_013610970.1, XP_013610925.1	XP_006295660.1
OG0002971	XP_013615510.1	XP_006290198.1
OG0002972	XP_013636247.1	XP_006294670.1
OG0002972	XP_013593622.1	XP_006282680.1
OG0002973	XP_013587301.1	XP_006296913.1, XP_006296905.1
OG0002975	XP_013637211.1, XP_013605035.1	XP_006287159.1
OG0002976	XP_013630730.1, XP_013611196.1	XP_006287873.1, XP_006297827.1
OG0002977	XP_013608430.1	XP_006287289.2
OG0002978	XP_013612994.1, XP_013629532.1	XP_006287365.1
OG0002979	XP_013620838.1, XP_013606484.1, XP_013623632.1	XP_006287373.1
OG0002980	XP_013628111.1	XP_023633705.1
OG0002981	XP_013613637.1	XP_006288516.2
OG0002982	XP_013613056.1	XP_006288969.1
OG0002982	XP_013610913.1	XP_006281386.1
OG0002983	XP_013588448.1, XP_013596055.1	XP_006286136.1, XP_006285075.1
OG0002984	XP_013627482.1	XP_006289011.1
OG0002984	XP_013620092.1, XP_013618567.1	XP_023637925.1
OG0002985	XP_013585249.1	XP_006306455.1
OG0002985	XP_013635015.1	XP_006295366.1
OG0002987	XP_013600240.1	XP_023645228.1
OG0002987	XP_013611419.1	XP_006281535.1
OG0002988	XP_013593608.1	XP_006305464.1
OG0002989	XP_013631151.1, XP_013628491.1	XP_023640165.1
OG0002990	XP_013638537.1	XP_006305939.1
OG0002990	XP_013595510.1	XP_006304015.1
OG0002992	XP_013597620.1, XP_013618141.1, XP_013615072.1, XP_013612149.1, XP_013606427.1, XP_013612152.1, XP_013607152.1	XP_006280051.1
OG0002994	XP_013628785.1, XP_013606713.1	XP_006280940.1
OG0002994	XP_013595524.1	XP_023638763.1
OG0002995	XP_013596194.1, XP_013594118.1	XP_006282444.2
OG0002996	XP_013611964.1	XP_006289156.2, XP_023636449.1
OG0002997	XP_013620077.1, XP_013607021.1, XP_013608321.1, XP_013628663.1	XP_006280128.1
OG0002998	XP_013616515.1	XP_006279869.2
OG0002999	XP_013615915.1, XP_013611150.1, XP_013626250.1, XP_013621338.1	XP_023635950.1, XP_023635848.1
OG0003000	XP_013629982.1, XP_013629983.1, XP_013611259.1	XP_006281213.1
OG0003001	XP_013603188.1	XP_006304671.1
OG0003002	XP_013628931.1	XP_023643881.1
OG0003002	XP_013603227.1	XP_006284754.1
OG0003003	XP_013617297.1, XP_013597518.1	XP_006285750.1
OG0003004	XP_013604269.1, XP_013586208.1	XP_006306631.1, XP_006306628.2
OG0003005	XP_013606980.1	XP_023637273.1
OG0003005	XP_013609287.1	XP_023637180.1
OG0003006	XP_013612696.1	XP_006288687.1
OG0003007	XP_013638752.1, XP_013635263.1, XP_013610790.1	XP_006300167.2
OG0003008	XP_013634003.1, XP_013605437.1	XP_023637766.1, XP_023645396.1
OG0003009	XP_013610973.1	XP_006288714.1
OG0003009	XP_013624154.1	XP_006299797.1
OG0003010	XP_013587771.1, XP_013634543.1	XP_023635619.1, XP_006283240.1
OG0003011	XP_013585277.1	XP_006304309.1
OG0003011	XP_013591192.1	XP_006302951.2
OG0003012	XP_013627749.1	XP_023644200.1, XP_006301674.1
OG0003013	XP_013590259.1	XP_006303042.2
OG0003013	XP_013586673.1	XP_006305794.1
OG0003014	XP_013630270.1	XP_006285246.1
OG0003014	XP_013606492.1	XP_006299001.1
OG0003015	XP_013623123.1	XP_006298143.1
OG0003017	XP_013625217.1, XP_013595428.1	XP_006284514.1
OG0003018	XP_013610346.1	XP_006299105.2
OG0003018	XP_013636029.1	XP_006285207.1
OG0003019	XP_013633905.1, XP_013636864.1	XP_006282589.1
OG0003020	XP_013636702.1, XP_013605466.1	XP_006285986.1, XP_006285703.1
OG0003021	XP_013591074.1	XP_006301497.1
OG0003022	XP_013586758.1, XP_013590180.1	XP_023645072.1
OG0003022	XP_013590631.1	XP_006301645.1
OG0003023	XP_013595415.1	XP_023634032.1
OG0003023	XP_013623855.1	XP_006282861.1
OG0003024	XP_013620757.1, XP_013591853.1	XP_006303143.1, XP_006301931.1
OG0003025	XP_013621506.1, XP_013593178.1	XP_006291239.1
OG0003026	XP_013620540.1, XP_013606544.1	XP_006292817.2
OG0003026	XP_013634993.1	XP_006282925.1
OG0003027	XP_013615997.1, XP_013620989.1, XP_013615740.1	XP_006280657.1, XP_006281787.2
OG0003028	XP_013636578.1	XP_006298078.1
OG0003028	XP_013622389.1	XP_023645732.1
OG0003029	XP_013584192.1, XP_013629829.1	XP_006298836.1
OG0003030	XP_013591522.1, XP_013585704.1	XP_006306575.1
OG0003031	XP_013607921.1, XP_013627124.1, XP_013629299.1	XP_006303488.1
OG0003032	XP_013609713.1	XP_006298721.1
OG0003032	XP_013590760.1	XP_006304274.1
OG0003033	XP_013625781.1	XP_006294282.1, XP_023640190.1
OG0003034	XP_013608389.1	XP_006279829.1
OG0003034	XP_013602748.1	XP_006292971.2
OG0003036	XP_013594882.1	XP_023637155.1
OG0003037	XP_013613086.1	XP_006287092.1
OG0003039	XP_013602032.1, XP_013633835.1	XP_006291552.1
OG0003040	XP_013630866.1, XP_013589971.1, XP_013630867.1	XP_006291651.2
OG0003041	XP_013602564.1, XP_013634663.1, XP_013591561.1, XP_013599775.1	XP_023639016.1
OG0003043	XP_013632253.1	XP_023640488.1
OG0003043	XP_013590078.1	XP_006292898.2
OG0003044	XP_013605463.1, XP_013592509.1, XP_013613513.1	XP_023638105.1
OG0003045	XP_013591191.1, XP_013619678.1, XP_013584487.1	XP_023642294.1
OG0003047	XP_013592362.1	XP_006301937.2
OG0003048	XP_013628729.1, XP_013597568.1	XP_023645189.1
OG0003049	XP_013587767.1, XP_013618263.1, XP_013592707.1	XP_006302929.1, XP_006302623.1
OG0003050	XP_013620915.1	XP_006300494.1
OG0003050	XP_013592579.1	XP_006283832.1
OG0003051	XP_013596953.1	XP_023633027.1
OG0003051	XP_013599563.1	XP_006285667.1
OG0003052	XP_013600677.1	XP_006295776.2
OG0003052	XP_013593612.1	XP_006284310.1
OG0003053	XP_013591015.1	XP_006306012.2
OG0003054	XP_013593541.1	XP_006284252.1, XP_006286238.2
OG0003055	XP_013610591.1, XP_013608368.1, XP_013610730.1, XP_013615231.1	XP_006286742.2
OG0003056	XP_013624256.1	XP_006299446.1, XP_006286966.1
OG0003057	XP_013608674.1	XP_006286759.2
OG0003058	XP_013625657.1, XP_013584003.1	XP_006298205.1
OG0003059	XP_013636808.1, XP_013632358.1	XP_006296086.1
OG0003061	XP_013635730.1, XP_013633855.1	XP_006295779.1
OG0003061	XP_013635299.1	XP_006295606.1
OG0003062	XP_013627959.1, XP_013635725.1, XP_013635788.1, XP_013633466.1, XP_013633467.1, XP_013635782.1	XP_006296003.1
OG0003063	XP_013635560.1, XP_013635207.1, XP_013635398.1	XP_006288910.1, XP_006288884.2, XP_006295417.2
OG0003064	XP_013587520.1	XP_006300214.1
OG0003064	XP_013598705.1	XP_023637218.1
OG0003065	XP_013638234.1, XP_013622264.1, XP_013601534.1	XP_006299796.1
OG0003066	XP_013592583.1	XP_006298894.1
OG0003066	XP_013594766.1	XP_006298834.2
OG0003067	XP_013612496.1	XP_006297252.1, XP_006279872.1
OG0003068	XP_013622744.1, XP_013584520.1	XP_006296741.1
OG0003069	XP_013627295.1, XP_013589918.1	XP_006296763.1, XP_023642271.1
OG0003070	XP_013629397.1, XP_013638365.1, XP_013607690.1	XP_006303178.1
OG0003071	XP_013633320.1	XP_023643556.1
OG0003072	XP_013639597.1, XP_013625560.1	XP_006298550.1
OG0003073	XP_013586340.1	XP_023642007.1
OG0003074	XP_013590899.1, XP_013613999.1	XP_006300942.1
OG0003075	XP_013613670.1	XP_023637200.1
OG0003075	XP_013612763.1	XP_006287032.1
OG0003076	XP_013609875.1	XP_023636204.1
OG0003076	XP_013585837.1, XP_013600306.1	XP_006304638.1
OG0003077	XP_013583918.1	XP_006303837.1
OG0003078	XP_013603379.1, XP_013626895.1, XP_013603099.1, XP_013584471.1	XP_006303792.1
OG0003079	XP_013583732.1	XP_006305361.1
OG0003080	XP_013636345.1	XP_023639419.1
OG0003081	XP_013605799.1	XP_006301799.2
OG0003081	XP_013585886.1	XP_006305951.1
OG0003082	XP_013619192.1, XP_013609688.1	XP_006291855.1
OG0003083	XP_013603290.1, XP_013584180.1, XP_013603047.1	XP_006305801.1
OG0003084	XP_013616357.1	XP_023643650.1
OG0003084	XP_013585839.1	XP_023645810.1
OG0003085	XP_013586515.1	XP_023645693.1
OG0003085	XP_013604296.1	XP_023643860.1
OG0003086	XP_013591112.1	XP_006301239.1
OG0003086	XP_013603501.1	XP_006303245.1
OG0003087	XP_013595429.1, XP_013604083.1	XP_006304292.1
OG0003088	XP_013597183.1	XP_006306476.1
OG0003088	XP_013587710.1	XP_006305646.1
OG0003089	XP_013584686.1, XP_013596104.1	XP_006291836.2, XP_006291870.1
OG0003090	XP_013590235.1	XP_023643887.1
OG0003091	XP_013639118.1	XP_023634281.1
OG0003092	XP_013600460.1	XP_023640966.1, XP_006282244.2
OG0003093	XP_013606732.1, XP_013596958.1, XP_013595764.1, XP_013625071.1	XP_006284773.1
OG0003094	XP_013622102.1	XP_006284143.1
OG0003095	XP_013635607.1	XP_023635114.1
OG0003096	XP_013596785.1, XP_013594732.1, XP_013623290.1	XP_006285833.1, XP_006284987.1
OG0003097	XP_013586201.1, XP_013604543.1	XP_023644841.1
OG0003098	XP_013621904.1, XP_013619475.1, XP_013590868.1, XP_013585949.1, XP_013621903.1	XP_006288017.1
OG0003101	XP_013622571.1	XP_006299202.2, XP_006297415.2, XP_006282526.2
OG0003102	XP_013601295.1	XP_023634553.1
OG0003102	XP_013598587.1	XP_006293720.2
OG0003103	XP_013634622.1, XP_013634487.1	XP_023640019.1
OG0003106	XP_013632511.1, XP_013633398.1, XP_013628003.1	XP_023640984.1
OG0003106	XP_013603716.1	XP_023639290.1
OG0003116	XP_013597687.1	XP_006284287.1
OG0003117	XP_013608592.1, XP_013621754.1	XP_006287789.1
OG0003118	XP_013612574.1	XP_006287217.1
OG0003118	XP_013622302.1	XP_023642440.1
OG0003119	XP_013625759.1, XP_013628575.1, XP_013606307.1	XP_006289274.2
OG0003120	XP_013612478.1	XP_006290108.1
OG0003120	XP_013612912.1	XP_006281052.1
OG0003122	XP_013599156.1, XP_013609353.1	XP_006283973.1
OG0003123	XP_013585512.1	XP_023633957.1
OG0003124	XP_013621843.1	XP_006307096.2
OG0003125	XP_013637678.1	XP_006303203.1
OG0003125	XP_013638185.1	XP_006305679.1
OG0003128	XP_013625226.1, XP_013606543.1	XP_006289978.1
OG0003129	XP_013612554.1, XP_013630101.1	XP_006279614.1, XP_006291050.1
OG0003130	XP_013621902.1, XP_013611847.1	XP_006281325.1
OG0003130	XP_013611848.1	XP_023637778.1
OG0003131	XP_013610491.1	XP_006288646.1
OG0003131	XP_013594198.1	XP_006279771.1
OG0003132	XP_013599558.1	XP_006292754.1
OG0003132	XP_013599450.1	XP_023637430.1
OG0003133	XP_013606241.1, XP_013611551.1	XP_006301473.1
OG0003134	XP_013585164.1, XP_013625286.1	XP_006298572.1
OG0003136	XP_013608340.1	XP_006279138.1, XP_006289411.1
OG0003136	XP_013620033.1, XP_013619670.1	XP_006286426.1
OG0003138	XP_013616676.1, XP_013626360.1	XP_006281549.1
OG0003139	XP_013613066.1	XP_006282756.1
OG0003140	XP_013583982.1, XP_013596529.1	XP_006303559.1
OG0003141	XP_013585073.1, XP_013626977.1, XP_013626721.1	XP_023641319.1
OG0003142	XP_013616119.1, XP_013610982.1	XP_006288250.1, XP_023644627.1
OG0003143	XP_013610597.1	XP_023636531.1
OG0003143	XP_013618952.1	XP_023636426.1
OG0003145	XP_013626839.1, XP_013626036.1	XP_023637661.1, XP_006287208.2
OG0003146	XP_013608534.1, XP_013592481.1, XP_013611813.1	XP_023636955.1
OG0003147	XP_013588799.1, XP_013610563.1	XP_006292474.2
OG0003148	XP_013611383.1, XP_013612794.1, XP_013631038.1	XP_023642989.1
OG0003150	XP_013621497.1	XP_006300629.1
OG0003152	XP_013600228.1	XP_006307722.2
OG0003153	XP_013588114.1, XP_013589443.1	XP_006301909.1
OG0003154	XP_013637848.1, XP_013600485.1	XP_006307528.1
OG0003155	XP_013592879.1, XP_013620252.1	XP_023644203.1
OG0003156	XP_013597351.1, XP_013584395.1	XP_023638394.1
OG0003157	XP_013587972.1	XP_006300503.1
OG0003157	XP_013637788.1	XP_006305120.1
OG0003158	XP_013591932.1	XP_006307616.1
OG0003159	XP_013634458.1, XP_013627561.1, XP_013635219.1, XP_013635148.1	XP_006295518.1
OG0003160	XP_013626053.1, XP_013636514.1	XP_023640473.1, XP_006300648.1
OG0003161	XP_013628717.1	XP_023638605.1
OG0003162	XP_013594116.1	XP_006297643.1
OG0003163	XP_013590267.1	XP_006284802.1
OG0003164	XP_013638428.1	XP_023642650.1
OG0003164	XP_013601296.1	XP_006286201.1
OG0003165	XP_013588343.1, XP_013616529.1	XP_006302579.1
OG0003166	XP_013586943.1	XP_006306937.1
OG0003167	XP_013595347.1, XP_013615808.1, XP_013618483.1, XP_013616401.1	XP_006291729.1
OG0003168	XP_013592981.1	XP_006290933.1
OG0003169	XP_013631931.1	XP_006284021.1
OG0003169	XP_013598377.1	XP_006291373.1
OG0003171	XP_013628685.1	XP_023641003.1
OG0003171	XP_013594186.1, XP_013597563.1, XP_013597578.1, XP_013630386.1, XP_013617658.1	XP_006279889.1
OG0003172	XP_013615516.1, XP_013615612.1, XP_013633268.1, XP_013636804.1	XP_006301507.1
OG0003173	XP_013590841.1	XP_023632603.1
OG0003175	XP_013637468.1, XP_013614074.1	XP_006281095.1, XP_006303344.2
OG0003176	XP_013597715.1, XP_013638389.1	XP_006282964.1
OG0003177	XP_013615869.1, XP_013619601.1	XP_006279824.1
OG0003178	XP_013623218.1	XP_006282022.1
OG0003178	XP_013637689.1	XP_006303791.2
OG0003179	XP_013601448.1	XP_006282574.1
OG0003180	XP_013599880.1, XP_013601254.1	XP_006283553.1, XP_006294082.1
OG0003181	XP_013596066.1, XP_013604625.1, XP_013587411.1	XP_006281675.2, XP_023638376.1
OG0003182	XP_013602188.1	XP_006291085.1
OG0003182	XP_013592667.1	XP_023638577.1
OG0003183	XP_013636188.1, XP_013592846.1	XP_023637742.1, XP_006295323.1
OG0003185	XP_013633212.1, XP_013633697.1	XP_006292024.1, XP_023638700.1
OG0003187	XP_013604525.1, XP_013604523.1	XP_006292250.1
OG0003188	XP_013631747.1	XP_006294652.2
OG0003189	XP_013599987.1	XP_006290589.1
OG0003190	XP_013637052.1	XP_006293678.1
OG0003191	XP_013591704.1, XP_013618382.1	XP_006302514.1
OG0003192	XP_013629365.1	XP_006297219.1
OG0003193	XP_013637505.1	XP_006292703.1
OG0003194	XP_013634166.1, XP_013622577.1, XP_013636900.1	XP_006285261.2, XP_006293868.1
OG0003195	XP_013635798.1	XP_006296162.1
OG0003195	XP_013594088.1, XP_013587371.1	XP_006285189.1
OG0003196	XP_013604482.1	XP_006296174.1
OG0003196	XP_013591527.1	XP_023635622.1
OG0003198	XP_013599214.1	XP_006288229.1
OG0003198	XP_013625240.1	XP_006298155.1
OG0003199	XP_013598936.1	XP_006297625.1
OG0003199	XP_013584034.1	XP_006283715.1
OG0003200	XP_013597464.1, XP_013620153.1	XP_006289663.1
OG0003201	XP_013637007.1, XP_013630501.1	XP_006298278.1
OG0003202	XP_013629186.1	XP_006286363.1
OG0003203	XP_013637974.1	XP_023642448.1, XP_006298156.1
OG0003204	XP_013628471.1, XP_013614514.1, XP_013627820.1	XP_023635701.1
OG0003206	XP_013626292.1, XP_013589107.1, XP_013584086.1	XP_006298805.1
OG0003207	XP_013617240.1, XP_013614751.1	XP_023641299.1
OG0003208	XP_013583243.1, XP_013592561.1, XP_013624242.1	XP_006299790.2
OG0003209	XP_013615627.1, XP_013595022.1, XP_013639699.1, XP_013615140.1, XP_013590918.1	XP_023634712.1
OG0003210	XP_013588442.1	XP_006291420.1
OG0003211	XP_013585969.1, XP_013604927.1	XP_006306939.1
OG0003211	XP_013586018.1	XP_023633083.1
OG0003212	XP_013591104.1, XP_013614906.1, XP_013601003.1, XP_013603992.1	XP_006305942.1
OG0003213	XP_013600465.1	XP_006306342.1
OG0003214	XP_013639274.1	XP_006300441.1
OG0003215	XP_013601056.1, XP_013584903.1	XP_023633231.1
OG0003216	XP_013605689.1	XP_006306785.2
OG0003217	XP_013595349.1	XP_006292904.2
OG0003218	XP_013600644.1, XP_013638400.1	XP_006305567.1
OG0003219	XP_013584191.1, XP_013596119.1	XP_006300971.1, XP_006301142.1, XP_006301344.1, XP_006301788.1, XP_006284897.2, XP_006306009.2
OG0003220	XP_013590857.1	XP_023644007.1
OG0003220	XP_013587604.1	XP_006307658.2
OG0003221	XP_013585215.1	XP_023645478.1
OG0003222	XP_013586243.1	XP_006305189.1
OG0003223	XP_013591905.1	XP_006301557.1
OG0003224	XP_013607739.1	XP_006301803.2
OG0003224	XP_013611455.1	XP_006302642.2, XP_006279103.2
OG0003225	XP_013596193.1	XP_006284675.2
OG0003226	XP_013584912.1, XP_013590751.1	XP_023646036.1
OG0003228	XP_013596875.1	XP_006286103.1
