Orthogroup	Brassica_oleracea	Arabidopsis_lyrata_NCBI
OG0002202	XP_013598075.1	XP_020874351.1
OG0002203	XP_013600242.1, XP_013598342.1	XP_020873130.1
OG0002203	XP_013599128.1	XP_002883976.1
OG0002204	XP_013617243.1, XP_013617338.1	XP_020886130.1, XP_020885239.1
OG0002205	XP_013618880.1	XP_020889725.1
OG0002207	XP_013629977.1, XP_013599390.1	XP_002866844.1
OG0002208	XP_013602438.1	XP_002878661.1
OG0002209	XP_013627744.1	XP_020874800.1, XP_020873884.1
OG0002210	XP_013591315.1	XP_020872187.1
OG0002210	XP_013595876.1	XP_020889502.1
OG0002211	XP_013632287.1	XP_020874396.1
OG0002211	XP_013599430.1, XP_013627189.1	XP_002883467.1
OG0002212	XP_013598135.1, XP_013586419.1	XP_002890724.1
OG0002213	XP_013605309.1	XP_020873480.1
OG0002213	XP_013621458.1	XP_002862180.1, XP_002864375.1
OG0002216	XP_013624912.1	XP_002869277.2
OG0002216	XP_013623258.1	XP_020872450.1
OG0002218	XP_013638241.1	XP_020886880.1, XP_020867780.1, XP_020887743.1, XP_020883482.1
OG0002221	XP_013633825.1, XP_013631968.1	XP_002862198.1, XP_002881383.1
OG0002222	XP_013610272.1	XP_020869630.1, XP_020866010.1
OG0002223	XP_013607406.1	XP_002873830.1
OG0002223	XP_013590521.1	XP_020871476.1, XP_020888672.1
OG0002224	XP_013625381.1	XP_020871229.1
OG0002224	XP_013599955.1, XP_013605654.1	XP_002869709.1
OG0002225	XP_013613396.1	XP_020878482.1
OG0002225	XP_013614031.1, XP_013628764.1	XP_020886217.1
OG0002226	XP_013610939.1, XP_013619944.1	XP_002873629.1
OG0002227	XP_013636596.1	XP_020884183.1
OG0002227	XP_013604833.1, XP_013604374.1, XP_013638962.1	XP_002889692.1
OG0002228	XP_013635494.1, XP_013622578.1	XP_002879183.2
OG0002228	XP_013639131.1	XP_020869393.1
OG0002229	XP_013635868.1	XP_020882956.1
OG0002229	XP_013585745.1	XP_020869875.1
OG0002230	XP_013602561.1	XP_002892210.1
OG0002230	XP_013609283.1	XP_020871105.1
OG0002231	XP_013600974.1, XP_013587157.1	XP_002892201.1
OG0002231	XP_013598234.1, XP_013621050.1	XP_020871032.1
OG0002232	XP_013593283.1, XP_013606447.1	XP_002863599.1, XP_020869259.1
OG0002233	XP_013619452.1	XP_020869569.1
OG0002233	XP_013614646.1	XP_020876384.1
OG0002233	XP_013618725.1	XP_020866638.1
OG0002234	XP_013639476.1	XP_002867623.1
OG0002234	XP_013593863.1, XP_013618350.1	XP_020882877.1
OG0002235	XP_013590154.1	XP_020873436.1
OG0002235	XP_013603404.1	XP_002890878.1
OG0002236	XP_013613072.1	XP_002865901.1
OG0002237	XP_013635531.1	XP_002881324.1
OG0002239	XP_013633378.1, XP_013615882.1, XP_013633391.1	XP_002881362.1
OG0002239	XP_013600247.1, XP_013586980.1	XP_002893647.1
OG0002240	XP_013629934.1, XP_013636361.1, XP_013631604.1	XP_002881406.1
OG0002241	XP_013637728.1, XP_013584023.1	XP_020869919.1
OG0002241	XP_013631430.1	XP_002881394.1
OG0002242	XP_013597539.1	XP_002866718.1
OG0002242	XP_013604172.1	XP_002877738.1
OG0002243	XP_013608504.1, XP_013613366.1	XP_020878612.1
OG0002243	XP_013629531.1	XP_002866456.1
OG0002244	XP_013596091.1	XP_020888623.1, XP_020871754.1, XP_002883607.1, XP_020886045.1, XP_002862645.1, XP_020871780.1, XP_020889025.1, XP_020872197.1, XP_002866397.1, XP_002862648.1, XP_002862646.1, XP_020871746.1
OG0002248	XP_013627694.1, XP_013627845.1	XP_002863177.1
OG0002249	XP_013625749.1, XP_013607254.1, XP_013619220.1	XP_002866345.1
OG0002250	XP_013608274.1, XP_013618313.1	XP_002866284.1
OG0002250	XP_013625332.1	XP_020886966.1
OG0002251	XP_013612023.1	XP_020868444.1
OG0002251	XP_013599977.1	XP_020873385.1
OG0002252	XP_013597958.1	XP_002869617.1
OG0002252	XP_013619695.1	XP_020880931.1
OG0002253	XP_013612702.1	XP_002866062.1
OG0002253	XP_013597674.1	XP_002869581.1
OG0002254	XP_013602914.1, XP_013584708.1	XP_020869078.1
OG0002254	XP_013629649.1	XP_020877396.1
OG0002255	XP_013593458.1	XP_020888008.1
OG0002255	XP_013612769.1	XP_020873404.1
OG0002256	XP_013638292.1, XP_013628411.1	XP_020888291.1
OG0002256	XP_013622627.1	XP_020876014.1
OG0002257	XP_013587095.1	XP_020887854.1
OG0002257	XP_013606718.1	XP_020875962.1
OG0002258	XP_013632489.1, XP_013637629.1	XP_002879747.1
OG0002258	XP_013626863.1	XP_020876507.1
OG0002259	XP_013611299.1	XP_002870999.1
OG0002260	XP_013637431.1	XP_002879732.1
OG0002261	XP_013635763.1	XP_020872456.1
OG0002261	XP_013615983.1, XP_013599376.1	XP_002877027.1
OG0002262	XP_013618822.1	XP_002889306.1
OG0002262	XP_013583805.1	XP_002890101.1
OG0002263	XP_013591545.1, XP_013591616.1	XP_020891379.1
OG0002263	XP_013604974.1, XP_013587434.1	XP_020867926.1
OG0002264	XP_013590161.1	XP_002889277.1
OG0002264	XP_013638166.1	XP_002890132.1
OG0002265	XP_013594719.1	XP_020869441.1
OG0002266	XP_013620768.1	XP_020891016.1
OG0002266	XP_013603640.1	XP_020867046.1
OG0002267	XP_013590060.1	XP_002889109.1
OG0002267	XP_013638852.1, XP_013594146.1	XP_020869336.1
OG0002268	XP_013614567.1, XP_013618187.1	XP_002890389.1
OG0002268	XP_013590536.1	XP_002887628.1
OG0002269	XP_013621385.1	XP_020891357.1
OG0002269	XP_013587194.1	XP_002890352.1
OG0002270	XP_013587536.1	XP_020867332.1
OG0002270	XP_013621486.1	XP_020891185.1
OG0002271	XP_013631978.1	XP_002878314.1
OG0002271	XP_013588736.1	XP_002894516.1
OG0002272	XP_013638431.1	XP_002882822.2
OG0002272	XP_013592273.1	XP_002894508.1
OG0002273	XP_013638182.1	XP_002882828.1
OG0002273	XP_013629928.1	XP_020868902.1
OG0002274	XP_013599301.1	XP_002883421.1
OG0002274	XP_013628850.1, XP_013637311.1	XP_002868289.1
OG0002275	XP_013614139.1	XP_002868281.1
OG0002275	XP_013599786.1	XP_002868282.1
OG0002276	XP_013587906.1	XP_002888928.1
OG0002276	XP_013613970.1	XP_002892974.1
OG0002277	XP_013589842.1, XP_013590290.1	XP_020865978.1
OG0002277	XP_013613940.1	XP_002890666.1
OG0002278	XP_013602721.1	XP_002886294.1
OG0002279	XP_013608206.1, XP_013605671.1	XP_020872483.1
OG0002280	XP_013634818.1	XP_020874720.1
OG0002280	XP_013596763.1	XP_002877065.1
OG0002281	XP_013596134.1, XP_013616168.1	XP_020881211.1
OG0002281	XP_013590071.1	XP_020874926.1
OG0002282	XP_013585948.1	XP_020867865.1
OG0002282	XP_013621329.1, XP_013597888.1	XP_002875297.1
OG0002283	XP_013613424.1	XP_020887132.1
OG0002283	XP_013622283.1, XP_013587794.1	XP_002891540.1
OG0002284	XP_013590014.1	XP_020868003.1
OG0002284	XP_013622152.1, XP_013592575.1	XP_020888096.1
OG0002285	XP_013636651.1, XP_013632338.1	XP_020883126.1
OG0002285	XP_013631782.1	XP_020885763.1
OG0002286	XP_013635351.1	XP_020884644.1
OG0002287	XP_013614117.1	XP_020872208.1
OG0002287	XP_013632152.1, XP_013631989.1	XP_002881409.1
OG0002288	XP_013619106.1	XP_020871588.1
OG0002288	XP_013593733.1	XP_002868030.1
OG0002289	XP_013595934.1, XP_013605741.1	XP_002870109.1
OG0002289	XP_013593621.1	XP_020889763.1
OG0002290	XP_013585188.1, XP_013593382.1	XP_002884799.1, XP_002872443.2
OG0002291	XP_013589299.1, XP_013596898.1	XP_020879769.1
OG0002291	XP_013603314.1	XP_020866548.1
OG0002292	XP_013596535.1	XP_020879999.1
OG0002292	XP_013595034.1	XP_002877730.1
OG0002293	XP_013596159.1	XP_002867714.1
OG0002293	XP_013619787.1	XP_002865853.1
OG0002294	XP_013613592.1	XP_020891554.1
OG0002294	XP_013621757.1, XP_013609819.1	XP_020874727.1
OG0002295	XP_013626203.1	XP_002872359.1
OG0002295	XP_013584381.1	XP_002890069.1
OG0002296	XP_013622222.1	XP_002879567.1
OG0002296	XP_013601322.1	XP_020873153.1
OG0002297	XP_013636060.1, XP_013591514.1	XP_002876705.1
OG0002298	XP_013636400.1	XP_020883116.1
OG0002298	XP_013600084.1, XP_013589399.1	XP_020881562.1
OG0002299	XP_013602544.1	XP_002876402.2
OG0002299	XP_013633444.1	XP_020883888.1
OG0002300	XP_013601985.1	XP_020882576.1, XP_002881740.2
OG0002301	XP_013621926.1, XP_013637248.1	XP_020883942.1
OG0002301	XP_013604703.1	XP_020880437.1
OG0002302	XP_013628443.1, XP_013635362.1	XP_020883744.1
OG0002302	XP_013636150.1	XP_020880106.1
OG0002303	XP_013604777.1	XP_020880443.1
OG0002304	XP_013604651.1	XP_002885714.1
OG0002305	XP_013622582.1	XP_020875572.1
OG0002305	XP_013618436.1, XP_013590309.1	XP_020890543.1
OG0002306	XP_013586852.1	XP_020870963.1
OG0002306	XP_013608887.1	XP_002872675.1
OG0002307	XP_013614558.1	XP_002878559.1
OG0002307	XP_013598081.1	XP_020872544.1
OG0002308	XP_013594675.1	XP_002866900.1
OG0002308	XP_013637566.1	XP_020883256.1
OG0002309	XP_013592802.1	XP_020868907.1
OG0002309	XP_013603687.1	XP_020868909.1
OG0002310	XP_013612418.1, XP_013607978.1, XP_013627196.1	XP_002888500.2, XP_002872518.1
OG0002310	XP_013623417.1	XP_002872519.1
OG0002311	XP_013625092.1	XP_020872121.1
OG0002312	XP_013600577.1	XP_002870097.1
OG0002312	XP_013607076.1, XP_013598917.1	XP_020868257.1
OG0002313	XP_013596346.1, XP_013614017.1	XP_002865725.2
OG0002314	XP_013620027.1	XP_020882086.1
OG0002315	XP_013629647.1, XP_013609209.1	XP_020889110.1
OG0002316	XP_013604278.1	XP_002894113.1
OG0002316	XP_013637774.1	XP_002885229.1
OG0002317	XP_013609114.1, XP_013586245.1	XP_020889084.1
OG0002318	XP_013638993.1	XP_020888673.1
OG0002318	XP_013591061.1	XP_002891453.1
OG0002319	XP_013627743.1	XP_002877476.2, XP_002877474.1, XP_002877475.1
OG0002320	XP_013585400.1, XP_013604695.1	XP_002892042.1
OG0002321	XP_013585831.1	XP_020870063.1
OG0002321	XP_013606767.1, XP_013628270.1	XP_020878512.1
OG0002322	XP_013628090.1, XP_013609608.1	XP_020878882.1
OG0002323	XP_013594382.1, XP_013589400.1	XP_002872874.1
OG0002323	XP_013637891.1	XP_020868941.1, XP_020868942.1
OG0002324	XP_013600458.1, XP_013583870.1, XP_013599856.1	XP_020870896.1, XP_020870898.1
OG0002325	XP_013586820.1, XP_013605063.1	XP_002892475.1
OG0002326	XP_013600256.1	XP_020867484.1
OG0002326	XP_013613147.1	XP_002888188.1
OG0002327	XP_013608824.1, XP_013618079.1	XP_020881092.1
OG0002327	XP_013583942.1	XP_002892815.1
OG0002328	XP_013587619.1	XP_002890154.1
OG0002328	XP_013588119.1, XP_013618639.1	XP_020891604.1
OG0002329	XP_013600227.1, XP_013638772.1	XP_020869558.1
OG0002329	XP_013588295.1	XP_020891331.1
OG0002330	XP_013587702.1	XP_020867522.1
OG0002332	XP_013600269.1	XP_020891472.1
OG0002332	XP_013638483.1	XP_020870494.1
OG0002333	XP_013590349.1	XP_002887419.1
OG0002333	XP_013602503.1	XP_020869833.1
OG0002334	XP_013604470.1	XP_002890598.1
OG0002334	XP_013620451.1	XP_002888764.1
OG0002335	XP_013584288.1	XP_020885979.1, XP_002890616.1
OG0002335	XP_013590401.1	XP_002888749.1
OG0002336	XP_013634555.1, XP_013610302.1	XP_020889834.1
OG0002336	XP_013610636.1, XP_013635017.1	XP_002886482.1
OG0002337	XP_013608663.1	XP_020890650.1, XP_020891659.1
OG0002340	XP_013628788.1, XP_013598161.1	XP_002867107.1
OG0002341	XP_013595169.1, XP_013624905.1	XP_002867169.1
OG0002341	XP_013624904.1	XP_020872808.1
OG0002342	XP_013597736.1, XP_013612605.1	XP_020887344.1
OG0002343	XP_013603983.1, XP_013599138.1	XP_002867293.1
OG0002343	XP_013600090.1	XP_002880602.1
OG0002344	XP_013597323.1	XP_020874498.1
OG0002344	XP_013599493.1	XP_020885203.1
OG0002346	XP_013623060.1	XP_020871603.1
OG0002346	XP_013599294.1, XP_013614736.1	XP_020873466.1
OG0002352	XP_013626287.1	XP_002869378.2
OG0002353	XP_013606754.1	XP_002871764.1
OG0002353	XP_013585273.1	XP_002882283.1
OG0002354	XP_013606746.1	XP_020878395.1
OG0002355	XP_013620486.1	XP_020877818.1, XP_002873805.1, XP_002873808.1
OG0002356	XP_013611059.1, XP_013628546.1	XP_020878205.1
OG0002356	XP_013621970.1	XP_020886852.1
OG0002357	XP_013616803.1	XP_002871693.2
OG0002357	XP_013612369.1	XP_020878429.1, XP_020884771.1
OG0002358	XP_013586124.1, XP_013628508.1	XP_020886903.1
OG0002358	XP_013620598.1, XP_013611591.1	XP_002871671.1
OG0002359	XP_013626720.1, XP_013610594.1	XP_002871661.1
OG0002359	XP_013626309.1, XP_013584200.1	XP_002882198.1
OG0002360	XP_013584022.1, XP_013626509.1	XP_020870383.1
OG0002361	XP_013596800.1	XP_020878484.1
OG0002361	XP_013610999.1	XP_020876737.1
OG0002362	XP_013620675.1	XP_020871117.1
OG0002362	XP_013606249.1	XP_002873431.1
OG0002363	XP_013629316.1, XP_013613244.1	XP_002871349.1
OG0002363	XP_013625413.1	XP_002866567.1
OG0002364	XP_013611203.1, XP_013597529.1	XP_020876252.1
OG0002364	XP_013606545.1	XP_020878155.1, XP_002871342.1
OG0002365	XP_013620318.1, XP_013618017.1, XP_013636194.1	XP_020877019.1, XP_020877014.1
OG0002366	XP_013627218.1	XP_020878326.1
OG0002367	XP_013614183.1	XP_002862602.1, XP_020885298.1, XP_020884931.1
OG0002368	XP_013583900.1	XP_020868215.1
OG0002368	XP_013631527.1	XP_020883156.1
OG0002369	XP_013606589.1	XP_020871044.1
OG0002369	XP_013604528.1, XP_013584453.1	XP_002892202.1
OG0002370	XP_013608569.1, XP_013597906.1	XP_020871730.1
OG0002370	XP_013602198.1	XP_002889493.1
OG0002371	XP_013639092.1	XP_002892180.1
OG0002371	XP_013619561.1	XP_020867815.1
OG0002372	XP_013599860.1, XP_013600199.1, XP_013599847.1	XP_002869660.1, XP_002869661.1
OG0002373	XP_013595130.1	XP_020890328.1, XP_002888178.2
OG0002375	XP_013616606.1, XP_013607224.1	XP_002875219.1
OG0002377	XP_013615217.1, XP_013618469.1	XP_020881231.1
OG0002378	XP_013626804.1	XP_020881513.1
OG0002378	XP_013618670.1, XP_013625908.1	XP_020876661.1
OG0002379	XP_013630663.1	XP_020881660.1
OG0002379	XP_013616474.1, XP_013606755.1	XP_002866318.1
OG0002380	XP_013597783.1, XP_013628664.1	XP_020874806.1, XP_020877509.1
OG0002381	XP_013630254.1	XP_002866095.1
OG0002381	XP_013605212.1, XP_013610899.1	XP_002869596.1
OG0002382	XP_013615605.1, XP_013609499.1	XP_002866053.1
OG0002382	XP_013638058.1	XP_002869573.1
OG0002383	XP_013600792.1, XP_013598475.1	XP_002869563.1
OG0002383	XP_013610328.1	XP_002862155.2
OG0002385	XP_013609412.1, XP_013637918.1	XP_020876016.1
OG0002386	XP_013638721.1	XP_020888984.1
OG0002386	XP_013625933.1	XP_020877225.1
OG0002387	XP_013612368.1	XP_020878424.1
OG0002387	XP_013638779.1	XP_020886100.1
OG0002388	XP_013636984.1	XP_020874437.1
OG0002388	XP_013611252.1	XP_002886358.1
OG0002389	XP_013585663.1	XP_002889226.1
OG0002390	XP_013591732.1	XP_020872960.1, XP_020890630.1
OG0002390	XP_013603643.1	XP_002890469.1
OG0002391	XP_013616634.1, XP_013592634.1, XP_013588291.1	XP_020890502.1
OG0002392	XP_013592116.1	XP_020890989.1
OG0002392	XP_013637670.1	XP_020868923.1
OG0002393	XP_013598728.1, XP_013639161.1	XP_002867066.1
OG0002393	XP_013595814.1	XP_020887286.1
OG0002394	XP_013594360.1	XP_020874030.1
OG0002394	XP_013627426.1, XP_013609057.1	XP_020887365.1
OG0002395	XP_013611066.1, XP_013628951.1	XP_020889350.1
OG0002396	XP_013630013.1, XP_013585367.1	XP_020887389.1
OG0002397	XP_013584616.1	XP_002885000.2
OG0002397	XP_013590636.1	XP_002891796.1
OG0002398	XP_013587918.1	XP_020888949.1
OG0002399	XP_013627240.1	XP_002884163.2
OG0002399	XP_013627075.1	XP_002869142.1
OG0002400	XP_013596478.1, XP_013590162.1	XP_020866217.1
OG0002400	XP_013588375.1	XP_002894420.2
OG0002401	XP_013637225.1	XP_002881433.1
OG0002401	XP_013604513.1	XP_020881338.1
OG0002402	XP_013631383.1	XP_002863203.2
OG0002402	XP_013596808.1	XP_020888583.1
OG0002403	XP_013636143.1	XP_020875741.1
OG0002403	XP_013597569.1, XP_013628446.1	XP_020886113.1
OG0002404	XP_013603794.1, XP_013635508.1	XP_002870379.1
OG0002404	XP_013597327.1	XP_020886177.1
OG0002405	XP_013603042.1, XP_013636581.1, XP_013605723.1	XP_002868319.1
OG0002405	XP_013636580.1, XP_013605791.1	XP_020872048.1
OG0002406	XP_013614285.1	XP_002868258.1, XP_020875727.1
OG0002407	XP_013637663.1	XP_002868242.1
OG0002407	XP_013583652.1	XP_020886719.1
OG0002408	XP_013613969.1	XP_020866828.1
OG0002408	XP_013587876.1	XP_002888917.1
OG0002409	XP_013603333.1, XP_013602289.1	XP_020869039.1
OG0002410	XP_013592033.1, XP_013591349.1	XP_020865590.1
OG0002411	XP_013602043.1, XP_013600635.1	XP_002893011.1
OG0002412	XP_013605191.1	XP_020866862.1
OG0002412	XP_013592641.1, XP_013589727.1	XP_002888990.1
OG0002413	XP_013591686.1, XP_013620695.1, XP_013592021.1	XP_002888672.1, XP_020881797.1, XP_020880013.1
OG0002415	XP_013587375.1	XP_020870988.1
OG0002416	XP_013591496.1, XP_013591667.1	XP_020890218.1
OG0002416	XP_013598222.1	XP_002893414.1
OG0002417	XP_013613945.1	XP_002890665.1
OG0002417	XP_013619073.1	XP_020865846.1
OG0002418	XP_013616224.1	XP_002887217.1
OG0002418	XP_013621562.1	XP_020890226.1
OG0002419	XP_013609660.1, XP_013593522.1	XP_002869494.1
OG0002420	XP_013634848.1	XP_020874162.1
OG0002420	XP_013612689.1, XP_013612832.1	XP_020890229.1
OG0002421	XP_013633953.1, XP_013608960.1, XP_013636301.1	XP_020868301.1
OG0002422	XP_013596226.1, XP_013610691.1, XP_013618574.1	XP_002875417.1
OG0002422	XP_013633202.1	XP_020874168.1
OG0002423	XP_013613427.1	XP_020881034.1
OG0002424	XP_013631648.1	XP_002892648.2, XP_002884224.2
OG0002425	XP_013620301.1	XP_002865216.1
OG0002425	XP_013599052.1, XP_013596986.1	XP_002867988.1
OG0002426	XP_013612448.1, XP_013620718.1	XP_020867528.1
OG0002426	XP_013598511.1	XP_002867952.1
OG0002427	XP_013624727.1, XP_013626815.1, XP_013599211.1	XP_020867485.1
OG0002428	XP_013596840.1, XP_013597456.1	XP_002863332.1
OG0002429	XP_013602099.1	XP_002870106.1
OG0002429	XP_013608748.1	XP_020885538.1
OG0002430	XP_013611805.1	XP_020877827.1
OG0002430	XP_013598481.1	XP_020873266.1
OG0002431	XP_013598085.1	XP_020872548.1
OG0002431	XP_013584601.1	XP_002884516.1
OG0002432	XP_013586071.1, XP_013595978.1	XP_020873622.1
OG0002434	XP_013595469.1, XP_013616218.1	XP_020873564.1
OG0002435	XP_013608718.1	XP_002874786.1
OG0002435	XP_013600212.1	XP_002869826.1
OG0002436	XP_013606122.1	XP_002872670.1
OG0002436	XP_013593887.1, XP_013598635.1	XP_002867778.1
OG0002437	XP_013593330.1	XP_002863546.1
OG0002437	XP_013599244.1	XP_020872856.1
OG0002438	XP_013586520.1	XP_020872102.1
OG0002438	XP_013598001.1	XP_002867869.1
OG0002439	XP_013588603.1	XP_002864020.1, XP_020873323.1
OG0002440	XP_013613054.1	XP_020876457.1
OG0002440	XP_013637885.1	XP_020873939.1
OG0002441	XP_013621702.1	XP_020873437.1
OG0002441	XP_013593158.1	XP_020873449.1
OG0002442	XP_013599266.1, XP_013593016.1, XP_013605942.1	XP_020873304.1, XP_020873298.1
OG0002443	XP_013592240.1, XP_013614809.1, XP_013614775.1, XP_013620676.1, XP_013591672.1	XP_002875714.1
OG0002444	XP_013609213.1, XP_013597998.1	XP_020878252.1
OG0002445	XP_013610889.1	XP_002888121.2, XP_002886576.1
OG0002446	XP_013599871.1	XP_020881599.1
OG0002446	XP_013637318.1, XP_013631938.1	XP_002880197.1
OG0002447	XP_013632049.1	XP_020883637.1
OG0002447	XP_013605933.1, XP_013615797.1	XP_020882082.1
OG0002448	XP_013590560.1, XP_013602702.1	XP_002891415.1
OG0002449	XP_013591594.1, XP_013633537.1	XP_020882543.1, XP_020869437.1
OG0002450	XP_013637278.1, XP_013628859.1	XP_020883391.1
OG0002451	XP_013631808.1	XP_002879922.1
OG0002451	XP_013600798.1	XP_002876396.1
OG0002453	XP_013637654.1	XP_002877963.1
OG0002453	XP_013602063.1	XP_020883840.1
OG0002454	XP_013632258.1, XP_013625677.1	XP_020883881.1
OG0002455	XP_013603807.1, XP_013590762.1, XP_013627737.1	XP_002877911.1
OG0002456	XP_013614508.1, XP_013600454.1	XP_020883732.1
OG0002456	XP_013633637.1	XP_002877873.1
OG0002457	XP_013622366.1, XP_013593419.1	XP_020887935.1
OG0002458	XP_013627018.1	XP_020886356.1
OG0002458	XP_013588106.1	XP_002867006.1
OG0002459	XP_013593521.1	XP_020888924.1
OG0002459	XP_013596174.1	XP_020873013.1
OG0002461	XP_013610124.1, XP_013595591.1, XP_013627920.1	XP_020874204.1
OG0002461	XP_013593099.1	XP_020888119.1
OG0002462	XP_013634784.1	XP_020883642.1
OG0002462	XP_013635103.1	XP_002881730.1
OG0002463	XP_013634113.1	XP_020884754.1
OG0002464	XP_013593830.1	XP_002869795.1
OG0002464	XP_013621180.1, XP_013611664.1	XP_020876839.1
OG0002465	XP_013595189.1	XP_002869008.1
OG0002465	XP_013636916.1	XP_020884286.1
OG0002466	XP_013599602.1	XP_020868496.1
OG0002466	XP_013590698.1	XP_002891072.1
OG0002467	XP_013620349.1	XP_002872644.1
OG0002467	XP_013617091.1	XP_020873600.1
OG0002468	XP_013596753.1	XP_002872209.1
OG0002468	XP_013628728.1, XP_013624134.1, XP_013587609.1, XP_013584526.1	XP_002884547.1
OG0002470	XP_013632423.1, XP_013636003.1	XP_020884247.1
OG0002470	XP_013634360.1	XP_002880115.1
OG0002471	XP_013635276.1	XP_020885436.1
OG0002472	XP_013635724.1	XP_002880047.1
OG0002472	XP_013610571.1, XP_013597023.1	XP_002874165.1
OG0002473	XP_013628093.1	XP_020887958.1
OG0002474	XP_013610550.1, XP_013596952.1	XP_002884455.1
OG0002475	XP_013622833.1, XP_013638433.1	XP_002884538.1
OG0002475	XP_013624616.1	XP_020887979.1
OG0002476	XP_013585880.1, XP_013617252.1	XP_020888569.1
OG0002476	XP_013585882.1	XP_020888566.1
OG0002477	XP_013617572.1, XP_013623088.1	XP_002884704.1
OG0002478	XP_013587708.1, XP_013611633.1	XP_002873212.1
OG0002479	XP_013593041.1, XP_013587241.1, XP_013635675.1	XP_002884894.1
OG0002480	XP_013596856.1	XP_002882862.1, XP_002862273.1
OG0002481	XP_013591756.1, XP_013622096.1	XP_002894477.1
OG0002483	XP_013602794.1, XP_013587755.1	XP_002883036.1, XP_020873994.1
OG0002484	XP_013626967.1	XP_002868149.1
OG0002484	XP_013585556.1, XP_013619869.1	XP_020889203.1
OG0002485	XP_013634212.1	XP_020872993.1
OG0002485	XP_013636714.1, XP_013591094.1	XP_002870766.1
OG0002486	XP_013590111.1	XP_020890498.1
OG0002487	XP_013618858.1	XP_002888443.1
OG0002487	XP_013591348.1, XP_013635419.1	XP_002870497.1
OG0002488	XP_013635059.1	XP_020891498.1
OG0002489	XP_013607165.1, XP_013613657.1, XP_013626106.1	XP_020876669.1
OG0002490	XP_013594141.1	XP_002877797.1
OG0002491	XP_013601908.1	XP_020869563.1
OG0002491	XP_013590900.1	XP_020865997.1
OG0002492	XP_013612085.1, XP_013605022.1	XP_020890874.1
OG0002492	XP_013638600.1	XP_020868169.1
OG0002493	XP_013599835.1, XP_013587682.1	XP_020868182.1
OG0002494	XP_013600784.1	XP_002892562.1
OG0002494	XP_013586875.1, XP_013586876.1	XP_002892563.1
OG0002495	XP_013604071.1	XP_020869519.1
OG0002496	XP_013613431.1	XP_002875330.1
OG0002496	XP_013587019.1, XP_013601058.1	XP_002892719.1
OG0002497	XP_013602246.1	XP_020866966.1
OG0002498	XP_013609149.1	XP_020881186.1
OG0002498	XP_013638543.1, XP_013600158.1	XP_020868416.1
OG0002499	XP_013620910.1	XP_020881111.1
OG0002500	XP_013602001.1	XP_002892825.1
OG0002500	XP_013597698.1	XP_020879995.1
OG0002501	XP_013585659.1, XP_013602007.1, XP_013604161.1	XP_002890120.1
OG0002502	XP_013603132.1, XP_013621482.1	XP_002865803.1
OG0002503	XP_013584268.1, XP_013594133.1	XP_020869193.1
OG0002503	XP_013590872.1	XP_002889178.1
OG0002504	XP_013600741.1, XP_013638685.1	XP_020870554.1
OG0002504	XP_013619273.1	XP_020889993.1
OG0002505	XP_013595843.1, XP_013586909.1	XP_002890588.1
OG0002505	XP_013592383.1	XP_020891128.1
OG0002506	XP_013589749.1	XP_020865872.1
OG0002506	XP_013638005.1	XP_002890610.1
OG0002507	XP_013607806.1, XP_013630911.1	XP_002888069.1
OG0002508	XP_013623056.1	XP_020884626.1, XP_002868854.1
OG0002509	XP_013635195.1	XP_020884845.1
OG0002509	XP_013625585.1, XP_013623933.1, XP_013638280.1, XP_013593499.1	XP_020875350.1
OG0002510	XP_013624794.1, XP_013597948.1	XP_020872539.1
OG0002510	XP_013604088.1	XP_002878646.1
OG0002511	XP_013619655.1	XP_002868993.1, XP_002886679.1
OG0002511	XP_013603160.1	XP_002880486.1
OG0002512	XP_013599236.1, XP_013637709.1	XP_002866963.1
OG0002512	XP_013633600.1	XP_002878679.1
OG0002513	XP_013623299.1, XP_013622567.1, XP_013594263.1, XP_013595771.1	XP_002867087.1
OG0002513	XP_013600873.1	XP_020874361.1
OG0002514	XP_013607907.1, XP_013599447.1, XP_013625052.1	XP_002883891.1
OG0002515	XP_013626147.1	XP_002869240.1
OG0002515	XP_013609474.1	XP_020885539.1, XP_002880716.1
OG0002516	XP_013602248.1	XP_002880670.1
OG0002516	XP_013636925.1	XP_020874367.1
OG0002517	XP_013587747.1, XP_013623376.1, XP_013598972.1	XP_020872301.1
OG0002518	XP_013618614.1	XP_020889747.1
OG0002518	XP_013585983.1	XP_002890604.1
OG0002519	XP_013600810.1, XP_013604308.1	XP_020874014.1
OG0002520	XP_013615721.1, XP_013615060.1	XP_002887070.1
OG0002521	XP_013626821.1, XP_013628068.1	XP_002864318.1, XP_002864315.1
OG0002522	XP_013617877.1	XP_020882147.1, XP_002877286.2
OG0002523	XP_013622396.1	XP_002872428.1, XP_020878781.1, XP_002872432.1
OG0002525	XP_013610930.1	XP_020868142.1
OG0002530	XP_013625459.1	XP_002867336.1
OG0002530	XP_013602274.1	XP_020884908.1
OG0002531	XP_013622363.1, XP_013629214.1	XP_020872879.1
OG0002532	XP_013630550.1	XP_020880068.1
OG0002533	XP_013600104.1	XP_020880104.1
OG0002533	XP_013622364.1	XP_020882761.1
OG0002534	XP_013615265.1, XP_013624685.1, XP_013630538.1	XP_020881046.1, XP_020881044.1
OG0002535	XP_013597634.1, XP_013621132.1	XP_002876790.1
