Orthogroup	Brassica_oleracea	Eutrema_salsugineum
OG0003595	XP_013591645.1, XP_013620998.1, XP_013608672.1	XP_006394891.1
OG0003596	XP_013598819.1, XP_013607033.1, XP_013607229.1, XP_013607501.1	XP_024007573.1
OG0003597	XP_013612015.1	XP_006408953.1
OG0003597	XP_013585462.1	XP_006418165.1
OG0003598	XP_013585374.1	XP_006404878.1, XP_006404876.1, XP_006404863.2, XP_006404886.2
OG0003599	XP_013609487.1	XP_024012306.1
OG0003601	XP_013638131.1, XP_013607998.1, XP_013635474.1, XP_013624444.1, XP_013622469.1, XP_013597489.1	XP_006407313.1
OG0003602	XP_013624316.1	XP_006403256.2
OG0003602	XP_013633485.1	XP_006406963.1
OG0003603	XP_013603855.1	XP_024015139.1
OG0003603	XP_013592574.1	XP_006392940.1
OG0003604	XP_013631150.1	XP_006404933.1
OG0003605	XP_013626042.1, XP_013583483.1	XP_006406366.1
OG0003606	XP_013611596.1, XP_013583653.1	XP_006406362.1
OG0003607	XP_013629872.1	XP_006414742.2
OG0003608	XP_013597580.1, XP_013630337.1	XP_024004546.1, XP_006406048.1
OG0003609	XP_013610030.1, XP_013618859.1	XP_006395822.1, XP_024016052.1
OG0003611	XP_013635825.1	XP_024003800.1
OG0003612	XP_013598976.1, XP_013637181.1, XP_013602511.1, XP_013604318.1	XP_024013452.1, XP_024013440.1
OG0003613	XP_013604165.1	XP_006418436.1
OG0003614	XP_013584553.1	XP_006418286.1
OG0003615	XP_013585206.1, XP_013614798.1	XP_006418000.1
OG0003616	XP_013602940.1, XP_013600685.1, XP_013584038.1	XP_024008258.1
OG0003617	XP_013586587.1	XP_006417937.1
OG0003617	XP_013586589.1	XP_024008094.1
OG0003618	XP_013601017.1	XP_006417707.1
OG0003619	XP_013615233.1, XP_013607794.1	XP_006398045.1
OG0003620	XP_013605347.1	XP_006392227.1
OG0003621	XP_013604055.1, XP_013585283.1, XP_013601431.1, XP_013603852.1, XP_013585235.1	XP_024009033.1
OG0003622	XP_013589467.1	XP_006392045.1
OG0003622	XP_013584533.1	XP_006417388.1
OG0003624	XP_013584374.1, XP_013600764.1, XP_013600762.1, XP_013603520.1	XP_006416967.1
OG0003625	XP_013604750.1	XP_006416799.1
OG0003626	XP_013615507.1	XP_024008059.1
OG0003627	XP_013587712.1	XP_024007819.1
OG0003628	XP_013613594.1	XP_006398096.1, XP_006398101.1
OG0003629	XP_013625053.1, XP_013598220.1, XP_013603797.1	XP_006412263.1
OG0003631	XP_013622617.1, XP_013596623.1	XP_006419126.1, XP_006412311.1
OG0003632	XP_013614217.1	XP_006412506.1
OG0003633	XP_013587782.1	XP_006390927.1
OG0003633	XP_013585806.1, XP_013593011.1	XP_006416018.1
OG0003634	XP_013612641.1	XP_006396261.1
OG0003635	XP_013635762.1	XP_006410232.1
OG0003636	XP_013634367.1	XP_006409958.1
OG0003636	XP_013603029.1, XP_013584856.1	XP_006417798.1
OG0003637	XP_013596633.1, XP_013596253.1	XP_006416070.2, XP_024010232.1
OG0003641	XP_013639150.1	XP_024011104.1
OG0003642	XP_013624477.1	XP_024013597.1
OG0003646	XP_013591232.1, XP_013623470.1, XP_013619049.1	XP_006401870.1
OG0003648	XP_013623039.1, XP_013623051.1, XP_013623028.1, XP_013603281.1	XP_024005880.1
OG0003656	XP_013604507.1	XP_006404261.1
OG0003657	XP_013601515.1, XP_013623263.1, XP_013626416.1	XP_006404332.1, XP_006394376.1
OG0003658	XP_013602009.1	XP_006414015.1
OG0003659	XP_013635644.1	XP_006408449.1
OG0003661	XP_013609485.1	XP_024012332.1
OG0003662	XP_013607287.1, XP_013618889.1	XP_006399671.2
OG0003663	XP_013585749.1	XP_006416865.1
OG0003664	XP_013618819.1, XP_013611532.1, XP_013611531.1	XP_006399443.1, XP_006399444.1, XP_006399445.1
OG0003665	XP_013614517.1, XP_013594842.1, XP_013585083.1	XP_006407505.1
OG0003666	XP_013631143.1	XP_006410137.1
OG0003668	XP_013617064.1	XP_006401843.1
OG0003668	XP_013593006.1	XP_006413294.1
OG0003670	XP_013621648.1, XP_013617938.1, XP_013608353.1, XP_013620722.1, XP_013597530.1, XP_013611205.1	XP_006394622.1
OG0003671	XP_013619320.1	XP_006394721.1
OG0003672	XP_013620804.1, XP_013620803.1, XP_013616728.1, XP_013611518.1	XP_006394826.1
OG0003673	XP_013622649.1	XP_006400672.1
OG0003674	XP_013625378.1	XP_006404481.1
OG0003675	XP_013611418.1, XP_013619122.1, XP_013628787.1	XP_006400852.1
OG0003677	XP_013635010.1	XP_006410564.2
OG0003678	XP_013629587.1, XP_013611621.1	XP_006401343.1
OG0003679	XP_013626382.1, XP_013591270.1, XP_013616601.1, XP_013609448.1	XP_006401441.1
OG0003680	XP_013594998.1, XP_013603263.1	XP_024013793.1
OG0003681	XP_013621718.1, XP_013586777.1	XP_006404226.1
OG0003682	XP_013607459.1, XP_013621013.1	XP_006396447.1, XP_024012006.1
OG0003683	XP_013630675.1	XP_006404962.1
OG0003684	XP_013609276.1, XP_013595664.1	XP_006395425.1
OG0003686	XP_013592163.1	XP_006405288.1
OG0003689	XP_013591454.1, XP_013635166.1	XP_024011009.1, XP_006398099.1
OG0003690	XP_013591231.1	XP_024016678.1
OG0003693	XP_013590926.1	XP_006392825.1
OG0003694	XP_013610010.1, XP_013618933.1	XP_006402168.1
OG0003695	XP_013595435.1, XP_013600776.1	XP_006414479.1
OG0003696	XP_013609960.1	XP_006412945.1
OG0003697	XP_013599064.1	XP_006412901.1
OG0003698	XP_013593179.1	XP_006395377.1
OG0003699	XP_013606793.1, XP_013585300.1, XP_013618311.1	XP_006396295.1
OG0003700	XP_013612527.1, XP_013621438.1, XP_013599040.1	XP_006398308.1
OG0003701	XP_013637704.1, XP_013639387.1	XP_006406700.1
OG0003702	XP_013627231.1	XP_006397534.1
OG0003702	XP_013626501.1	XP_006397533.1
OG0003703	XP_013613463.1, XP_013621608.1	XP_006398148.1
OG0003704	XP_013586821.1, XP_013624954.1	XP_006393144.2
OG0003706	XP_013586062.1, XP_013604682.1	XP_006416964.1
OG0003707	XP_013628707.1, XP_013588234.1	XP_024006177.1
OG0003708	XP_013589033.1	XP_024006124.1
OG0003709	XP_013634866.1	XP_006410510.1
OG0003710	XP_013631767.1	XP_006410753.1
OG0003711	XP_013588258.1	XP_006403517.1
OG0003712	XP_013606540.1, XP_013606539.1, XP_013598600.1	XP_024006718.1
OG0003713	XP_013636366.1, XP_013604904.1	XP_024012965.1
OG0003714	XP_013636778.1	XP_006397194.1
OG0003715	XP_013639672.1, XP_013605471.1, XP_013636669.1	XP_006402488.1
OG0003716	XP_013588573.1, XP_013600176.1	XP_006402514.1
OG0003718	XP_013589348.1	XP_006402880.1, XP_006402879.2, XP_006394010.2
OG0003718	XP_013603606.1	XP_006403417.2
OG0003719	XP_013637531.1, XP_013630299.1, XP_013636228.1	XP_006411211.1
OG0003720	XP_013619236.1, XP_013590801.1, XP_013610327.1	XP_006400265.1
OG0003721	XP_013628539.1, XP_013597933.1, XP_013586161.1	XP_006415811.1
OG0003722	XP_013595348.1	XP_006409142.1
OG0003723	XP_013637220.1	XP_006412245.1
OG0003724	XP_013627309.1	XP_006409089.1
OG0003725	XP_013629796.1, XP_013615462.1	XP_006409084.2
OG0003726	XP_013629158.1, XP_013596457.1	XP_006412802.1
OG0003727	XP_013596008.1, XP_013613906.1	XP_024015879.1
OG0003728	XP_013603739.1	XP_006396172.1, XP_024014079.1, XP_024014078.1, XP_024014080.1
OG0003729	XP_013608678.1, XP_013614666.1	XP_006394883.1
OG0003730	XP_013595743.1	XP_006394941.1
OG0003731	XP_013622943.1, XP_013637524.1	XP_024010891.1
OG0003732	XP_013619958.1	XP_006403199.1
OG0003732	XP_013627924.1	XP_006397690.1
OG0003733	XP_013623531.1, XP_013623547.1, XP_013633719.1	XP_024010685.1
OG0003734	XP_013634875.1	XP_006397566.2
OG0003734	XP_013634421.1	XP_024010894.1
OG0003735	XP_013633779.1, XP_013625786.1	XP_024010786.1
OG0003736	XP_013624051.1, XP_013638851.1, XP_013629268.1	XP_006407957.1
OG0003737	XP_013628394.1, XP_013586889.1, XP_013594485.1	XP_006407824.1
OG0003738	XP_013585018.1, XP_013628389.1, XP_013628386.1, XP_013638112.1	XP_006407769.1
OG0003739	XP_013610644.1	XP_006407122.1
OG0003740	XP_013627625.1, XP_013584807.1	XP_024015372.1
OG0003741	XP_013585904.1	XP_024008487.1
OG0003742	XP_013613955.1	XP_006406648.1
OG0003743	XP_013639048.1, XP_013584077.1, XP_013627615.1	XP_006406591.1
OG0003744	XP_013584195.1	XP_006406238.1
OG0003745	XP_013595325.1, XP_013617029.1, XP_013604395.1	XP_006403880.1
OG0003746	XP_013604417.1, XP_013605002.1	XP_006418262.1
OG0003747	XP_013614797.1, XP_013586746.1, XP_013614788.1, XP_013614790.1	XP_006417998.2
OG0003748	XP_013608904.1	XP_006391360.2, XP_006391358.1
OG0003748	XP_013638216.1	XP_006417804.1
OG0003749	XP_013590308.1	XP_006416854.1
OG0003750	XP_013584779.1	XP_024014168.1
OG0003751	XP_013601808.1, XP_013599597.1, XP_013587400.1, XP_013600838.1, XP_013600850.1	XP_006416717.1
OG0003752	XP_013590036.1, XP_013591533.1	XP_006390789.1
OG0003753	XP_013590535.1, XP_013590143.1	XP_006390855.1
OG0003754	XP_013625387.1	XP_024014072.1, XP_006403070.1
OG0003755	XP_013608727.1, XP_013615332.1, XP_013608683.1	XP_006391610.1
OG0003756	XP_013612174.1, XP_013598669.1	XP_006403109.1
OG0003757	XP_013599935.1, XP_013590100.1	XP_006393472.1
OG0003758	XP_013615701.1, XP_013588311.1	XP_006390999.1
OG0003759	XP_013603197.1, XP_013590120.1	XP_006393268.1
OG0003760	XP_013597982.1	XP_006411647.1
OG0003761	XP_013634012.1	XP_006405879.1
OG0003762	XP_013590749.1	XP_006391122.1
OG0003762	XP_013627833.1, XP_013596993.1	XP_006411760.1
OG0003763	XP_013634806.1	XP_006411814.1
OG0003763	XP_013600041.1	XP_006404704.1
OG0003764	XP_013595920.1	XP_006411978.1
OG0003765	XP_013584137.1, XP_013600073.1	XP_006413255.2
OG0003765	XP_013600060.1	XP_006413254.1
OG0003767	XP_013606997.1	XP_006396224.1
OG0003768	XP_013600740.1, XP_013584235.1, XP_013598044.1	XP_006412980.1
OG0003770	XP_013623876.1, XP_013622039.1	XP_006401542.1
OG0003772	XP_013637343.1	XP_006405864.1
OG0003773	XP_013605576.1, XP_013605577.1, XP_013590649.1, XP_013583676.1, XP_013636621.1, XP_013633208.1, XP_013595193.1	XP_024004151.1, XP_024004161.1, XP_024004158.1
OG0003774	XP_013585155.1	XP_006416022.1, XP_024008704.1
OG0003774	XP_013638114.1	XP_006395777.1, XP_024009332.1
OG0003776	XP_013591334.1, XP_013600587.1	XP_006414340.1
OG0003778	XP_013635568.1	XP_006410234.1
OG0003780	XP_013627856.1, XP_013603933.1, XP_013627747.1	XP_024004518.1
OG0003790	XP_013627326.1	XP_006400266.1
OG0003791	XP_013612089.1, XP_013621793.1	XP_006400259.1
OG0003792	XP_013619485.1, XP_013610478.1	XP_006400142.1
OG0003793	XP_013610749.1, XP_013610321.1, XP_013619877.1, XP_013616788.1	XP_006399856.1
OG0003794	XP_013630678.1, XP_013613141.1	XP_006399705.1
OG0003795	XP_013611863.1, XP_013622686.1, XP_013620805.1	XP_006399569.1
OG0003796	XP_013609610.1, XP_013610147.1, XP_013629548.1, XP_013613170.1, XP_013612860.1	XP_006399459.1
OG0003797	XP_013610924.1	XP_006399327.1, XP_024006817.1
OG0003798	XP_013593838.1, XP_013600407.1, XP_013605916.1	XP_006413379.1
OG0003799	XP_013610230.1, XP_013627174.1, XP_013635489.1	XP_006409842.1
OG0003800	XP_013625340.1, XP_013637462.1	XP_006410190.2
OG0003801	XP_013634944.1, XP_013634973.1	XP_006410300.2
OG0003802	XP_013634919.1, XP_013635004.1, XP_013627364.1	XP_006410333.1
OG0003803	XP_013632118.1	XP_006410489.1
OG0003804	XP_013593135.1, XP_013605755.1	XP_006401977.2, XP_024005170.1
OG0003805	XP_013626735.1, XP_013608972.1	XP_006397221.1
OG0003806	XP_013634071.1	XP_024016660.1
OG0003806	XP_013604889.1, XP_013587553.1	XP_024009205.1
OG0003807	XP_013584011.1	XP_024008151.1, XP_006415268.1
OG0003808	XP_013593090.1, XP_013609965.1	XP_006393914.1
OG0003809	XP_013612111.1	XP_006394246.2
OG0003810	XP_013626738.1	XP_006404275.1
OG0003810	XP_013602059.1	XP_006394309.2
OG0003812	XP_013618121.1, XP_013622001.1	XP_024006984.1
OG0003813	XP_013621942.1	XP_006394053.1
OG0003814	XP_013618523.1, XP_013613037.1	XP_006394608.1
OG0003815	XP_013630186.1, XP_013621674.1	XP_024012391.1
OG0003815	XP_013599247.1	XP_006394829.1
OG0003816	XP_013615684.1, XP_013615282.1, XP_013621776.1, XP_013606265.1	XP_006400714.1
OG0003817	XP_013612427.1, XP_013611543.1	XP_006400821.1
OG0003818	XP_013625243.1, XP_013608767.1	XP_006401141.1
OG0003819	XP_013606340.1	XP_006401387.1
OG0003819	XP_013600417.1	XP_024005124.1
OG0003820	XP_013626225.1, XP_013612029.1	XP_006401451.1
OG0003821	XP_013621578.1	XP_006401497.1
OG0003822	XP_013623555.1, XP_013609426.1, XP_013612384.1	XP_024011846.1
OG0003823	XP_013610800.1	XP_006399196.1
OG0003824	XP_013623760.1, XP_013614275.1	XP_006399084.1
OG0003825	XP_013630792.1	XP_006391093.2, XP_024009465.1, XP_024015098.1, XP_024016538.1
OG0003826	XP_013593847.1, XP_013618587.1	XP_006395084.1
OG0003827	XP_013623748.1	XP_006398892.1
OG0003827	XP_013608542.1, XP_013608541.1, XP_013608543.1	XP_006398893.1
OG0003829	XP_013610271.1, XP_013588733.1, XP_013637237.1	XP_006405384.1
OG0003830	XP_013592067.1, XP_013592491.1, XP_013621023.1	XP_006389944.1
OG0003831	XP_013590351.1	XP_006389995.2
OG0003831	XP_013590840.1	XP_006389993.2, XP_024008672.1
OG0003832	XP_013620011.1	XP_006395652.1
OG0003833	XP_013629241.1	XP_024006072.1
OG0003834	XP_013629646.1	XP_024006220.1
OG0003835	XP_013625523.1	XP_024009401.1
OG0003836	XP_013627823.1	XP_006419017.1
OG0003837	XP_013627005.1	XP_006418615.1
OG0003837	XP_013631833.1	XP_006415003.1
OG0003838	XP_013596676.1, XP_013594314.1	XP_006414513.1
OG0003839	XP_013601301.1	XP_006414465.1, XP_006414464.1
OG0003841	XP_013616038.1, XP_013591407.1, XP_013591410.1, XP_013588236.1	XP_006391039.1
OG0003842	XP_013619866.1, XP_013592143.1	XP_024012155.1
OG0003843	XP_013588724.1	XP_006393140.1
OG0003845	XP_013604104.1	XP_006405049.1, XP_006403321.1
OG0003846	XP_013613545.1	XP_006405602.2
OG0003846	XP_013610833.1	XP_006395314.1
OG0003848	XP_013611722.1	XP_006393869.1
OG0003849	XP_013595569.1, XP_013595568.1, XP_013625787.1	XP_006413527.1
OG0003850	XP_013607857.1	XP_006413556.1
OG0003851	XP_013614029.1	XP_024015443.1
OG0003852	XP_013629821.1	XP_006404284.1
OG0003853	XP_013601735.1, XP_013601734.1	XP_006402450.1
OG0003854	XP_013630623.1, XP_013637644.1	XP_024010800.1
OG0003855	XP_013599763.1, XP_013632240.1, XP_013590602.1	XP_006402703.1
OG0003856	XP_013591871.1, XP_013605680.1	XP_006408676.1, XP_006408587.1
OG0003857	XP_013614180.1, XP_013599991.1	XP_006402818.1
OG0003859	XP_013634972.1, XP_013590513.1, XP_013603347.1, XP_013634963.1	XP_006403624.2
OG0003860	XP_013595961.1, XP_013620889.1	XP_006398538.2
OG0003861	XP_013597610.1	XP_024009679.1
OG0003862	XP_013599087.1	XP_006418756.1
OG0003863	XP_013618127.1	XP_006391145.1
OG0003865	XP_013631172.1	XP_024003922.1
OG0003866	XP_013615046.1, XP_013633746.1	XP_006410866.1
OG0003867	XP_013599729.1	XP_006404705.1
OG0003867	XP_013627139.1	XP_006411816.1
OG0003868	XP_013605808.1, XP_013637723.1	XP_006393739.1
OG0003869	XP_013591180.1, XP_013585072.1, XP_013603749.1	XP_006415065.1
OG0003870	XP_013591842.1	XP_006415067.1
OG0003871	XP_013612426.1	XP_006397009.1
OG0003872	XP_013608651.1, XP_013629079.1, XP_013620744.1	XP_006396905.1
OG0003873	XP_013608864.1, XP_013593601.1	XP_006408974.1
OG0003874	XP_013631735.1, XP_013623371.1, XP_013631858.1	XP_006397878.1
OG0003875	XP_013635340.1, XP_013633461.1, XP_013635743.1	XP_006397539.1
OG0003876	XP_013636603.1, XP_013637533.1	XP_006411509.2
OG0003877	XP_013635104.1, XP_013632391.1	XP_006411462.2
OG0003878	XP_013631078.1, XP_013631139.1	XP_006398360.1, XP_006411417.1
OG0003879	XP_013583603.1	XP_006408359.1
OG0003880	XP_013638973.1, XP_013620430.1, XP_013618500.1	XP_006395159.1
OG0003881	XP_013628954.1, XP_013587070.1, XP_013618885.1	XP_006407795.1
OG0003882	XP_013623413.1	XP_006407449.1
OG0003884	XP_013627302.1, XP_013638569.1, XP_013583889.1	XP_006406925.2
OG0003885	XP_013586611.1, XP_013639067.1	XP_024008162.1
OG0003886	XP_013618841.1	XP_006401882.1
OG0003887	XP_013602106.1	XP_006403816.1
OG0003887	XP_013595345.1, XP_013631882.1	XP_006410752.1
OG0003889	XP_013601886.1, XP_013602965.1, XP_013639104.1	XP_024008772.1
OG0003890	XP_013618092.1	XP_024014685.1
OG0003891	XP_013583970.1, XP_013602086.1, XP_013604976.1	XP_006417632.1
OG0003892	XP_013639140.1	XP_024008983.1
OG0003893	XP_013603339.1	XP_006416647.2
OG0003893	XP_013600945.1	XP_024008711.1
OG0003894	XP_013602072.1, XP_013585357.1, XP_013604192.1	XP_006417563.1
OG0003895	XP_013605039.1	XP_006417232.1, XP_006391804.1
OG0003896	XP_013584960.1, XP_013603336.1, XP_013615860.1, XP_013603626.1	XP_006416623.1
OG0003897	XP_013602776.1, XP_013602606.1, XP_013601795.1, XP_013584516.1	XP_006416574.1
OG0003898	XP_013603569.1, XP_013638886.1	XP_006416546.1
OG0003899	XP_013585060.1, XP_013603823.1	XP_006416524.1
OG0003900	XP_013614055.1, XP_013596591.1	XP_006392185.1, XP_024010057.1
OG0003901	XP_013612982.1	XP_024004564.1
OG0003902	XP_013606097.1	XP_006392053.1
OG0003903	XP_013612439.1	XP_006392346.1
OG0003905	XP_013611125.1, XP_013620410.1, XP_013595632.1	XP_024010990.1
OG0003906	XP_013603030.1	XP_006404537.1
OG0003906	XP_013597984.1	XP_006411646.1
OG0003907	XP_013623514.1, XP_013629037.1	XP_006404417.1
OG0003908	XP_013613296.1, XP_013625064.1	XP_006411989.1
OG0003910	XP_013625058.1, XP_013595908.1	XP_006412239.2
OG0003911	XP_013623127.1, XP_013637601.1	XP_006412629.1
OG0003912	XP_013600287.1	XP_006416110.1
OG0003913	XP_013600739.1	XP_006413017.1
OG0003914	XP_013601884.1, XP_013603915.1	XP_024008095.1
OG0003916	XP_013594188.1, XP_013639463.1	XP_024007992.1
OG0003917	XP_013629522.1	XP_006397197.1
OG0003917	XP_013590356.1	XP_006397443.1
OG0003919	XP_013583276.1	XP_024011096.1, XP_024013104.1
OG0003919	XP_013623174.1	XP_024013644.1
OG0003920	XP_013636774.1	XP_006404714.1
OG0003921	XP_013613872.1, XP_013594372.1, XP_013588940.1	XP_024011339.1
OG0003922	XP_013608946.1, XP_013619318.1, XP_013593754.1	XP_006395274.1
OG0003925	XP_013610743.1, XP_013617941.1	XP_024007374.1
OG0003927	XP_013614978.1, XP_013615486.1, XP_013619951.1, XP_013594046.1	XP_006400209.1
OG0003929	XP_013625993.1, XP_013606452.1	XP_006397261.1
OG0003930	XP_013596859.1, XP_013597256.1, XP_013603899.1	XP_024011066.1
OG0003931	XP_013619097.1, XP_013610794.1	XP_006401970.1
OG0003931	XP_013610009.1	XP_006401969.2
OG0003941	XP_013628550.1, XP_013614398.1, XP_013618924.1	XP_006402016.1, XP_006400039.1, XP_006398167.1
OG0003942	XP_013611466.1, XP_013626844.1, XP_013621134.1	XP_006399935.1
OG0003943	XP_013620535.1, XP_013622491.1	XP_006399872.1
OG0003944	XP_013618503.1, XP_013610204.1, XP_013609869.1	XP_006399780.1
OG0003945	XP_013610900.1, XP_013597499.1	XP_006394852.1
OG0003946	XP_013590933.1	XP_006390983.1
OG0003948	XP_013620110.1, XP_013609113.1	XP_006394793.1, XP_006399627.1
OG0003949	XP_013612614.1	XP_024007203.1
OG0003950	XP_013622201.1, XP_013612631.1	XP_006399315.2
OG0003951	XP_013595210.1	XP_006394582.1
OG0003951	XP_013610969.1	XP_024012026.1
OG0003952	XP_013612993.1, XP_013625394.1, XP_013615533.1	XP_006399302.1
OG0003953	XP_013618468.1	XP_006399245.1
OG0003953	XP_013593124.1	XP_006394498.1
OG0003954	XP_013599336.1, XP_013610553.1	XP_006413377.1
OG0003955	XP_013604671.1, XP_013597152.1, XP_013599503.1	XP_006413398.1
OG0003956	XP_013623342.1	XP_006409767.1
OG0003957	XP_013627274.1	XP_006409758.1
OG0003959	XP_013630601.1, XP_013631269.1, XP_013630855.1	XP_006410483.1
OG0003960	XP_013583662.1, XP_013602172.1, XP_013600201.1	XP_006418150.1
OG0003961	XP_013590543.1, XP_013596737.1, XP_013605447.1	XP_006413337.1
OG0003962	XP_013584283.1	XP_006415563.1
OG0003964	XP_013634399.1	XP_024003899.1
OG0003965	XP_013608761.1, XP_013628044.1, XP_013620704.1, XP_013626054.1	XP_024010137.1
OG0003966	XP_013629802.1	XP_024006899.1
OG0003967	XP_013626138.1, XP_013618930.1	XP_006394199.1
OG0003968	XP_013625997.1, XP_013619656.1	XP_006394247.1
OG0003970	XP_013596282.1, XP_013610760.1, XP_013610025.1, XP_013619378.1	XP_006394493.2
OG0003972	XP_013597157.1, XP_013606128.1	XP_024007200.1
OG0003973	XP_013595284.1, XP_013612395.1	XP_006394545.1
OG0003974	XP_013609680.1, XP_013596040.1	XP_006394617.1
OG0003975	XP_013603537.1	XP_006394635.2
OG0003975	XP_013587810.1	XP_006404208.1
OG0003976	XP_013616442.1	XP_006394820.2
OG0003977	XP_013597922.1, XP_013597925.1	XP_006394841.1
OG0003978	XP_013604156.1, XP_013622309.1, XP_013614481.1, XP_013586992.1, XP_013601452.1	XP_006417327.1
OG0003979	XP_013619353.1, XP_013610741.1	XP_006400858.1
OG0003980	XP_013611496.1	XP_006400866.1
OG0003981	XP_013597646.1, XP_013625308.1, XP_013613397.1	XP_006401849.1, XP_006395539.1
OG0003982	XP_013612009.1, XP_013630363.1, XP_013620709.1	XP_006401022.1
OG0003983	XP_013619476.1, XP_013610710.1	XP_006401042.1
OG0003984	XP_013628807.1, XP_013628803.1, XP_013606418.1	XP_006401067.1
OG0003985	XP_013630760.1, XP_013618943.1	XP_006401196.1
OG0003986	XP_013620739.1, XP_013629814.1, XP_013611730.1	XP_006401361.1
OG0003987	XP_013630251.1	XP_006404191.1, XP_006403310.1
OG0003988	XP_013622963.1, XP_013613033.1	XP_006401585.1
OG0003989	XP_013609484.1, XP_013618813.1, XP_013626872.1	XP_006399179.2
OG0003990	XP_013623888.1, XP_013617047.1	XP_006401725.1
OG0003991	XP_013619180.1, XP_013609330.1	XP_024012522.1
OG0003992	XP_013625289.1, XP_013612831.1, XP_013621643.1	XP_006398959.1
OG0003993	XP_013629479.1	XP_006407541.1
OG0003994	XP_013628681.1, XP_013621628.1	XP_006398787.1
OG0003995	XP_013609794.1, XP_013614858.1, XP_013628709.1, XP_013620070.1	XP_024011415.1
OG0003996	XP_013630773.1, XP_013609796.1, XP_013620132.1	XP_006398693.1
OG0003997	XP_013635505.1, XP_013590909.1	XP_006405394.1
OG0003998	XP_013594794.1, XP_013585763.1	XP_006407577.1
OG0003999	XP_013583495.1	XP_024008467.1, XP_006417360.1
OG0004000	XP_013590814.1, XP_013589696.1, XP_013589695.1, XP_013616135.1, XP_013590613.1	XP_006390198.1
OG0004001	XP_013588040.1	XP_006390208.1
OG0004002	XP_013634593.1, XP_013619223.1	XP_024010935.1
OG0004003	XP_013609046.1, XP_013595431.1	XP_006398056.1
OG0004004	XP_013625030.1	XP_006392570.1
OG0004005	XP_013590299.1	XP_006392576.2
OG0004006	XP_013592023.1, XP_013629684.1	XP_006392596.1, XP_024006030.1
OG0004009	XP_013590491.1, XP_013605696.1, XP_013586702.1	XP_006393747.1
OG0004010	XP_013592735.1	XP_006392756.1, XP_006409718.1
OG0004011	XP_013633817.1, XP_013633821.1, XP_013633822.1	XP_006410813.1
OG0004012	XP_013609962.1	XP_006409077.1, XP_006401752.1
OG0004013	XP_013602301.1, XP_013637417.1	XP_006414710.1
OG0004014	XP_013602484.1, XP_013618474.1	XP_006414654.1
OG0004015	XP_013601303.1, XP_013628719.1, XP_013627051.1	XP_006414458.1
OG0004020	XP_013612900.1	XP_006395469.1
OG0004021	XP_013632372.1, XP_013598194.1	XP_006413743.1
OG0004022	XP_013595707.1, XP_013620385.1	XP_006398225.1
OG0004023	XP_013586539.1, XP_013608336.1	XP_006406453.1
OG0004024	XP_013586989.1	XP_006406452.1
OG0004025	XP_013636663.1	XP_006410653.1
OG0004026	XP_013630904.1, XP_013625713.1, XP_013634905.1	XP_006410669.1
OG0004027	XP_013597773.1	XP_024010995.1
OG0004028	XP_013603179.1, XP_013604092.1, XP_013639019.1	XP_006416861.1
OG0004029	XP_013627291.1	XP_006413645.1
OG0004030	XP_013592901.1	XP_024006196.1
OG0004031	XP_013613355.1	XP_006396998.1
OG0004031	XP_013614713.1	XP_006415140.1
OG0004032	XP_013627759.1, XP_013597839.1, XP_013595793.1	XP_006413908.1
OG0004033	XP_013628649.1, XP_013598434.1	XP_006413885.1
OG0004034	XP_013630752.1, XP_013605943.1	XP_006413750.1
OG0004035	XP_013595837.1, XP_013621133.1	XP_006413736.1
OG0004036	XP_013613959.1	XP_024015326.1
OG0004037	XP_013598842.1, XP_013639601.1, XP_013624263.1, XP_013618685.1, XP_013602341.1	XP_006414349.1
OG0004038	XP_013604144.1, XP_013596039.1, XP_013636801.1	XP_006414315.1
OG0004039	XP_013586677.1, XP_013638948.1	XP_006408501.1
OG0004040	XP_013609302.1	XP_006393850.1
OG0004041	XP_013637418.1, XP_013604117.1, XP_013588158.1	XP_006402343.1
OG0004042	XP_013636779.1	XP_024010749.1
OG0004043	XP_013602051.1	XP_006408841.1
OG0004044	XP_013604593.1, XP_013632915.1, XP_013631344.1	XP_006402480.1
OG0004046	XP_013632945.1, XP_013599482.1	XP_006402677.1
OG0004047	XP_013634041.1, XP_013602949.1, XP_013590585.1	XP_006402883.2
OG0004048	XP_013618988.1, XP_013596323.1	XP_006398518.1
OG0004049	XP_013634821.1	XP_024003949.1
OG0004049	XP_013602971.1, XP_013603361.1	XP_024012875.1
OG0004050	XP_013599703.1, XP_013592794.1, XP_013592838.1	XP_006402968.1
OG0004051	XP_013602170.1, XP_013589319.1	XP_024013406.1
OG0004052	XP_013633596.1	XP_006410926.1
OG0004052	XP_013588267.1, XP_013601642.1	XP_006403672.1
OG0004053	XP_013634910.1, XP_013605837.1, XP_013613514.1	XP_024013666.1
OG0004054	XP_013595338.1, XP_013622701.1	XP_006418693.1, XP_006418691.1
OG0004055	XP_013613903.1	XP_024006308.1
OG0004056	XP_013589949.1	XP_006390710.1
OG0004057	XP_013627140.1, XP_013615407.1, XP_013630803.1, XP_013609127.1	XP_024015247.1
OG0004058	XP_013634442.1, XP_013625780.1, XP_013632162.1	XP_006411311.1
OG0004060	XP_013602790.1, XP_013631924.1	XP_006404978.1
OG0004061	XP_013597815.1, XP_013602943.1, XP_013606171.1	XP_024005791.1
