Orthogroup	Arabis_alpina	Odontarrhena_muralis
OG0000974	Aa_G236320.h1.t1, Aa_G615890.h1.t1, Aa_G12280.h1.t1, Aa_G49090.h1.t1, Aa_G354390.h1.t1, Aa_G800910.h2.t1, Aa_G800910.h1.t1	Om007G317210, Om008G337260
OG0000975	Aa_G544400.h1.t1, Aa_G544410.h1.t1	Om005G201730
OG0000975	Aa_G526700.h1.t1	Om005G201740
OG0000976	Aa_G320640.h1.t1	Om005G195450
OG0000977	Aa_G88950.h1.t1	Om006G266230
OG0000977	Aa_G88930.h1.t1	Om006G266330
OG0000978	Aa_G207700.h1.t1	Om003G089620
OG0000980	Aa_G12310.h1.t1	Om007G291280, Om007G290430, Om004G166790, Om008G320140, Om001G030210
OG0000981	Aa_G504660.h1.t1	Om001G007310
OG0000983	Aa_G8720.h1.t1	Om006G243470, Om003G120200, Om006G243520, Om006G243580
OG0000986	Aa_G356290.h1.t1	Om001G027480
OG0000987	Aa_G463060.h1.t1	Om007G292380, Om008G336690
OG0000988	Aa_G261350.h1.t1	Om004G171150
OG0000989	Aa_G310380.h1.t1	Om003G113210
OG0000989	Aa_G150620.h1.t1	Om008G332220
OG0000990	Aa_G817170.h1.t1, Aa_G208080.h1.t1	Om008G360190
OG0000991	Aa_G582510.h1.t1	Om001G011970
OG0000991	Aa_G582530.h1.t1	Om001G011990
OG0000992	Aa_G279300.h1.t1, Aa_G279290.h1.t1	Om004G155780
OG0000993	Aa_G174440.h1.t1, Aa_G174450.h1.t1	Om002G050290
OG0000994	Aa_G35560.h1.t1	Om007G281890
OG0000994	Aa_G66430.h1.t1	Om007G281910, Om007G281900, Om007G281920
OG0000995	Aa_G584270.h1.t1	Om007G280340
OG0000996	Aa_G22520.h1.t1	Om005G184170
OG0000997	Aa_G563200.h1.t1	Om002G045840
OG0000998	Aa_G359280.h1.t1	Om008G331510
OG0000998	Aa_G359100.h1.t1, Aa_G359120.h1.t1	Om006G251870
OG0000999	Aa_G602990.h1.t1, Aa_G719740.h1.t1	Om001G036010, Om003G110780, Om001G036000
OG0001000	Aa_G8010.h1.t1	Om007G300700, Om007G300710, Om007G300750
OG0001000	Aa_G655760.h1.t1, Aa_G391150.h1.t1	Om004G131560, Om002G083060
OG0001001	Aa_G553480.h1.t1, Aa_G113030.h1.t1	Om006G240650
OG0001002	Aa_G175990.h1.t1	Om002G057480
OG0001003	Aa_G32110.h1.t1, Aa_G32120.h1.t1	Om002G061360
OG0001008	Aa_G198840.h1.t1	Om001G024130, Om001G024080, Om001G024040
OG0001008	Aa_G512090.h1.t1	Om001G024050
OG0001009	Aa_G177700.h1.t1	Om001G024750, Om001G024770
OG0001009	Aa_G177720.h1.t1	Om001G024740
OG0001010	Aa_G194240.h1.t1	Om007G292680
OG0001010	Aa_G24920.h1.t1	Om008G338500
OG0001011	Aa_G302420.h1.t1, Aa_G302420.h2.t1, Aa_G79860.h1.t1, Aa_G302410.h1.t1, Aa_G79880.h1.t1, Aa_G79870.h1.t1	Om007G277180, Om007G277230, Om007G277190, Om007G277170
OG0001012	Aa_G229610.h1.t1	Om005G217930, Om011G365520
OG0001012	Aa_G516420.h1.t1	Om005G187750
OG0001014	Aa_G153600.h1.t1, Aa_G474050.h1.t1, Aa_G393800.h1.t1	Om003G097630
OG0001015	Aa_G29670.h1.t1	Om005G196870, Om007G286650
OG0001016	Aa_G259180.h1.t1	Om004G164330
OG0001017	Aa_G657750.h1.t1	Om007G290270
OG0001017	Aa_G98280.h1.t1	Om004G165290
OG0001018	Aa_G44900.h1.t1	Om006G238180, Om006G238170
OG0001019	Aa_G520180.h1.t1	Om001G000610
OG0001020	Aa_G152200.h1.t1	Om001G001040
OG0001020	Aa_G26320.h1.t1	Om008G361270
OG0001021	Aa_G163520.h1.t1	Om003G128720
OG0001022	Aa_G249860.h1.t1	Om008G319700
OG0001022	Aa_G108340.h1.t1	Om007G300600
OG0001022	Aa_G167660.h1.t1	Om003G127940
OG0001025	Aa_G22460.h1.t1	Om005G184240
OG0001026	Aa_G14790.h1.t1	Om002G042950
OG0001026	Aa_G304380.h1.t1	Om007G300350
OG0001028	Aa_G661230.h1.t1	Om008G332050
OG0001028	Aa_G507200.h1.t1	Om006G252270
OG0001029	Aa_G329430.h1.t1	Om005G204290
OG0001029	Aa_G314220.h1.t1	Om004G134460
OG0001030	Aa_G329260.h1.t1	Om005G201880
OG0001030	Aa_G64780.h1.t1	Om004G138390
OG0001031	Aa_G266540.h1.t1	Om005G202080
OG0001031	Aa_G618440.h1.t1	Om004G137500
OG0001032	Aa_G110990.h1.t1	Om004G135840
OG0001032	Aa_G60670.h1.t1	Om005G203240
OG0001033	Aa_G233520.h1.t1	Om002G060000, Om006G269020
OG0001033	Aa_G218660.h1.t1	Om005G211300, Om005G211290, Om005G211310
OG0001034	Aa_G62580.h1.t1	Om004G143630
OG0001034	Aa_G438010.h1.t1, Aa_G68560.h1.t1, Aa_G438000.h1.t1	Om005G207300
OG0001035	Aa_G347910.h1.t1, Aa_G449110.h1.t1	Om005G227970, Om005G228070
OG0001036	Aa_G335530.h1.t1	Om004G132900
OG0001036	Aa_G335510.h1.t1	Om004G132850
OG0001036	Aa_G335520.h1.t1	Om004G132880
OG0001037	Aa_G293610.h1.t1	Om004G131290, Om010G364800
OG0001037	Aa_G403640.h1.t1	Om002G051910
OG0001038	Aa_G290260.h1.t1	Om002G057310, Om002G056940, Om002G056930, Om002G056960
OG0001038	Aa_G94890.h1.t1, Aa_G290270.h1.t1	Om002G056970
OG0001039	Aa_G110840.h1.t1	Om003G099660
OG0001039	Aa_G587230.h1.t1	Om002G064180
OG0001040	Aa_G611050.h1.t1	Om003G095600
OG0001040	Aa_G635090.h1.t1	Om002G069240
OG0001041	Aa_G652400.h1.t1	Om006G264620
OG0001042	Aa_G764630.h1.t1, Aa_G364680.h1.t1	Om004G167580
OG0001042	Aa_G679560.h2.t1, Aa_G679560.h1.t1, Aa_G679540.h1.t1, Aa_G602130.h1.t1, Aa_G602140.h1.t1	Om003G094970
OG0001044	Aa_G462020.h1.t1	Om006G251940
OG0001051	Aa_G454770.h1.t1, Aa_G70130.h1.t1	Om002G082920
OG0001051	Aa_G180360.h1.t1	Om001G033650
OG0001052	Aa_G118850.h1.t1	Om001G033850, Om001G034130, Om001G033880
OG0001053	Aa_G348400.h1.t1	Om005G218880
OG0001053	Aa_G689360.h1.t1	Om005G188400
OG0001054	Aa_G300680.h1.t1	Om005G223780
OG0001054	Aa_G218180.h1.t1	Om005G223830
OG0001054	Aa_G784430.h1.t1, Aa_G300700.h1.t1, Aa_G300690.h1.t1	Om005G223800, Om003G098880, Om005G223870
OG0001055	Aa_G560110.h1.t1, Aa_G524360.h1.t1	Om005G206280
OG0001056	Aa_G302880.h1.t1	Om002G053390
OG0001057	Aa_G578700.h1.t1	Om001G021190
OG0001057	Aa_G88080.h1.t1	Om003G115800, Om008G321080
OG0001058	Aa_G96380.h1.t1	Om001G000030
OG0001058	Aa_G514750.h1.t1	Om001G035410
OG0001059	Aa_G98740.h1.t1	Om008G357520
OG0001059	Aa_G148220.h1.t1	Om001G004750
OG0001060	Aa_G206690.h1.t1, Aa_G409560.h1.t1	Om003G103620
OG0001060	Aa_G179020.h1.t1	Om002G072890
OG0001061	Aa_G277270.h1.t1	Om002G071530
OG0001061	Aa_G498440.h1.t1	Om003G102610
OG0001062	Aa_G446210.h1.t1	Om006G259280
OG0001062	Aa_G383050.h1.t1	Om006G230770
OG0001063	Aa_G269350.h1.t1	Om005G212620, Om003G093110
OG0001064	Aa_G570390.h1.t1	Om008G336220
OG0001064	Aa_G14280.h1.t1	Om006G254930
OG0001065	Aa_G527150.h1.t1	Om008G335950
OG0001065	Aa_G14020.h1.t1	Om006G254630
OG0001066	Aa_G527170.h1.t1	Om008G335940
OG0001066	Aa_G13980.h1.t1	Om006G254620
OG0001067	Aa_G444520.h1.t1	Om004G132270
OG0001067	Aa_G103780.h1.t1	Om005G197660
OG0001068	Aa_G4470.h1.t1	Om002G046590
OG0001068	Aa_G199240.h1.t1	Om004G142650
OG0001069	Aa_G259460.h1.t1	Om004G138890
OG0001069	Aa_G407750.h1.t1	Om005G201270
OG0001070	Aa_G442330.h1.t1	Om002G055400
OG0001070	Aa_G199490.h1.t1	Om002G084080
OG0001071	Aa_G704860.h1.t1	Om005G194160, Om001G020980
OG0001071	Aa_G344490.h1.t1	Om005G194150
OG0001072	Aa_G475010.h1.t1	Om006G261020, Om006G238440
OG0001073	Aa_G242290.h1.t1, Aa_G72440.h1.t1	Om007G290400, Om002G064950, Om002G064980
OG0001074	Aa_G703410.h7.t1, Aa_G703410.h1.t1, Aa_G703410.h3.t1, Aa_G703410.h8.t1, Aa_G703410.h5.t1, Aa_G703410.h4.t1, Aa_G703410.h6.t1, Aa_G703410.h2.t1	Om004G138580, Om004G138590, Om002G062590, Om002G062600
OG0001075	Aa_G31990.h1.t1, Aa_G32000.h1.t1	Om002G061260
OG0001076	Aa_G137180.h1.t1	Om002G053600, Om002G053620, Om002G053580, Om001G032530, Om002G053570
OG0001077	Aa_G220180.h1.t1	Om001G028890, Om008G358770
OG0001084	Aa_G194750.h1.t1	Om002G088350
OG0001084	Aa_G644730.h1.t1	Om001G022740
OG0001085	Aa_G726620.h1.t1	Om002G087420
OG0001085	Aa_G507350.h1.t1	Om001G024410
OG0001086	Aa_G609980.h1.t1	Om001G030820
OG0001087	Aa_G483290.h1.t1	Om001G033000
OG0001087	Aa_G483300.h1.t1	Om001G033030
OG0001089	Aa_G142510.h1.t1	Om006G270670
OG0001089	Aa_G142500.h1.t1	Om003G100560
OG0001090	Aa_G621950.h1.t1	Om006G257890
OG0001090	Aa_G367330.h1.t1	Om004G143350
OG0001090	Aa_G203700.h1.t1	Om007G276540, Om007G277750
OG0001091	Aa_G106890.h1.t1	Om006G261270
OG0001091	Aa_G70190.h1.t1	Om003G111530
OG0001092	Aa_G386440.h1.t1	Om006G254090, Om003G117920
OG0001092	Aa_G386430.h1.t1	Om004G169810
OG0001093	Aa_G181350.h1.t1	Om006G241070
OG0001093	Aa_G256570.h1.t1	Om004G162590
OG0001094	Aa_G196010.h1.t1	Om004G166070
OG0001094	Aa_G37220.h1.t1	Om006G232040
OG0001095	Aa_G435520.h1.t1, Aa_G435500.h1.t1, Aa_G435510.h1.t1	Om003G104930, Om003G098310
OG0001096	Aa_G221090.h1.t1	Om003G121440
OG0001096	Aa_G67280.h1.t1	Om008G327170
OG0001097	Aa_G500710.h1.t1	Om003G127180
OG0001097	Aa_G345650.h1.t1	Om006G246790
OG0001097	Aa_G345500.h1.t1	Om006G246780
OG0001098	Aa_G23340.h1.t1	Om006G231290
OG0001099	Aa_G105900.h1.t1	Om005G178490
OG0001099	Aa_G67920.h1.t1	Om004G158290
OG0001100	Aa_G700840.h1.t1	Om007G279170
OG0001100	Aa_G219060.h1.t1	Om005G182670
OG0001101	Aa_G621830.h1.t1	Om007G301060
OG0001101	Aa_G553340.h1.t1	Om008G356620
OG0001102	Aa_G71560.h1.t1	Om002G043570
OG0001102	Aa_G376800.h1.t1	Om007G299380
OG0001103	Aa_G336160.h1.t1	Om007G302690
OG0001104	Aa_G4610.h1.t1, Aa_G554270.h1.t1	Om002G046780, Om007G293310
OG0001105	Aa_G21510.h1.t1	Om004G130780
OG0001106	Aa_G131970.h1.t1	Om005G197880
OG0001107	Aa_G535530.h1.t1	Om005G199420
OG0001107	Aa_G428850.h1.t1	Om004G141690
OG0001108	Aa_G296730.h1.t1, Aa_G497100.h1.t1	Om005G200740
OG0001109	Aa_G129380.h1.t1	Om004G134660
OG0001110	Aa_G144440.h1.t1	Om005G208460
OG0001110	Aa_G126590.h1.t1	Om004G144960
OG0001111	Aa_G335150.h1.t1	Om005G212400
OG0001111	Aa_G61850.h1.t1, Aa_G131130.h1.t1	Om006G235930
OG0001112	Aa_G12970.h1.t1, Aa_G89460.h1.t1	Om005G201500, Om005G201320
OG0001113	Aa_G386490.h1.t1	Om004G169750
OG0001114	Aa_G305530.h1.t1	Om001G014630, Om004G153880
OG0001115	Aa_G199290.h1.t1	Om004G142580
OG0001115	Aa_G495510.h1.t1	Om005G198490
OG0001116	Aa_G435010.h1.t1	Om003G095740
OG0001116	Aa_G162000.h1.t1	Om002G069120
OG0001117	Aa_G727560.h1.t1	Om003G101000, Om003G101110
OG0001118	Aa_G610350.h1.t1, Aa_G300670.h1.t1, Aa_G729770.h1.t1	Om003G091610
OG0001120	Aa_G514710.h1.t1	Om001G035460
OG0001124	Aa_G244870.h1.t1	Om002G086830
OG0001125	Aa_G434710.h1.t1	Om007G292200
OG0001125	Aa_G284890.h1.t1, Aa_G24820.h1.t1	Om008G338370
OG0001127	Aa_G523730.h1.t1	Om005G194820
OG0001127	Aa_G186420.h1.t1	Om006G274830
OG0001128	Aa_G109510.h1.t1	Om005G193420
OG0001129	Aa_G72410.h1.t1, Aa_G234330.h1.t1	Om006G269590
OG0001130	Aa_G263630.h1.t1	Om006G268210
OG0001131	Aa_G69110.h1.t1	Om006G249570
OG0001132	Aa_G456480.h1.t1	Om004G174860
OG0001132	Aa_G34680.h1.t1	Om002G052350
OG0001133	Aa_G86590.h1.t1, Aa_G441990.h1.t1	Om001G018910, Om001G014980, Om003G117020
OG0001134	Aa_G19720.h1.t1, Aa_G19730.h1.t1	Om004G161390
OG0001135	Aa_G20810.h1.t1	Om006G232510
OG0001135	Aa_G195930.h1.t1	Om004G166180
OG0001136	Aa_G152250.h1.t1	Om001G000980
OG0001136	Aa_G295620.h1.t1	Om008G361480
OG0001137	Aa_G290950.h1.t1	Om008G358120
OG0001137	Aa_G357050.h1.t1	Om001G003870
OG0001138	Aa_G517250.h1.t1	Om001G008770, Om005G215100
OG0001138	Aa_G71790.h1.t1	Om002G043320
OG0001138	Aa_G320460.h1.t1	Om008G353710
OG0001139	Aa_G613750.h1.t1	Om007G288230
OG0001140	Aa_G285880.h1.t1, Aa_G249560.h1.t1	Om001G035650
OG0001141	Aa_G656950.h1.t1	Om006G251500, Om006G266990
OG0001141	Aa_G551790.h1.t1	Om007G314500
OG0001142	Aa_G91290.h1.t1	Om002G070970
OG0001142	Aa_G31080.h1.t1	Om003G102330
OG0001143	Aa_G175130.h1.t1	Om008G322550
OG0001143	Aa_G354030.h1.t1	Om003G125560
OG0001145	Aa_G75640.h1.t1	Om002G047570
OG0001146	Aa_G546860.h1.t1	Om008G327790
OG0001147	Aa_G181290.h1.t1	Om006G241130
OG0001147	Aa_G357270.h1.t1	Om005G225200
OG0001148	Aa_G309270.h1.t1	Om004G166470
OG0001149	Aa_G326350.h1.t1	Om006G257580
OG0001149	Aa_G44070.h1.t1	Om006G229310
OG0001150	Aa_G59280.h1.t1	Om007G298860
OG0001150	Aa_G42380.h1.t1	Om002G043860
OG0001151	Aa_G47140.h1.t1	Om002G049430
OG0001152	Aa_G378360.h1.t1	Om006G250520
OG0001152	Aa_G598230.h1.t1	Om008G329540
OG0001153	Aa_G12370.h1.t1	Om008G337320
OG0001154	Aa_G348860.h1.t1	Om004G137780
OG0001154	Aa_G323720.h1.t1	Om005G201420
OG0001155	Aa_G410800.h1.t1	Om004G136870
OG0001155	Aa_G393470.h1.t1	Om005G202350
OG0001156	Aa_G62290.h1.t1	Om004G143890
OG0001156	Aa_G101680.h1.t1	Om005G207750
OG0001157	Aa_G545500.h1.t1, Aa_G194520.h1.t1	Om005G190350, Om005G190370, Om005G190400, Om005G190380
OG0001158	Aa_G163370.h1.t1, Aa_G201120.h1.t1	Om005G207150
OG0001158	Aa_G62650.h1.t1	Om004G143390
OG0001159	Aa_G418950.h1.t1, Aa_G418970.h1.t1	Om004G135720
OG0001160	Aa_G193260.h1.t1	Om003G090340
OG0001160	Aa_G176100.h1.t1	Om002G057670, Om002G057680
OG0001161	Aa_G430380.h1.t1	Om002G069190
OG0001164	Aa_G13600.h1.t1, Aa_G13380.h1.t1	Om006G235230, Om006G235270
OG0001165	Aa_G158400.h1.t1	Om004G163820, Om004G163810
OG0001166	Aa_G279370.h1.t1	Om006G239120
OG0001169	Aa_G578820.h1.t1	Om003G115820
OG0001170	Aa_G25890.h1.t1	Om007G293670
OG0001171	Aa_G72240.h1.t1	Om005G221900
OG0001172	Aa_G480490.h1.t1	Om006G273870
OG0001172	Aa_G437650.h1.t1	Om005G193820
OG0001173	Aa_G43060.h1.t1	Om001G018260
OG0001173	Aa_G135650.h1.t1	Om005G228160
OG0001174	Aa_G137000.h1.t1	Om002G053840
OG0001175	Aa_G216680.h1.t1	Om003G118430
OG0001176	Aa_G292890.h1.t1	Om006G231760
OG0001176	Aa_G98190.h1.t1	Om004G165430
OG0001177	Aa_G587790.h1.t1, Aa_G587750.h1.t1	Om004G168130, Om004G168100
OG0001178	Aa_G76440.h1.t1	Om004G168330
OG0001178	Aa_G448760.h1.t1	Om006G236820, Om006G236830, Om006G236840
OG0001179	Aa_G501800.h1.t1	Om001G002710
OG0001179	Aa_G66780.h1.t1	Om002G074090, Om003G104170
OG0001180	Aa_G460280.h1.t1, Aa_G148390.h1.t1	Om001G004420
OG0001180	Aa_G254530.h1.t1	Om008G357690
OG0001181	Aa_G298510.h1.t1	Om001G007890
OG0001181	Aa_G257080.h1.t1	Om008G354480
OG0001182	Aa_G456660.h1.t1	Om007G289260
OG0001183	Aa_G376360.h1.t1	Om001G035210
OG0001183	Aa_G329660.h1.t1	Om002G084370
OG0001184	Aa_G2170.h1.t1	Om003G127310
OG0001185	Aa_G128060.h1.t1	Om003G126820
OG0001185	Aa_G536080.h1.t1	Om008G321040
OG0001186	Aa_G271350.h1.t1, Aa_G271360.h1.t1	Om003G123550, Om003G123540
OG0001187	Aa_G243700.h1.t1	Om007G279310
OG0001187	Aa_G235510.h1.t1	Om005G182570
OG0001188	Aa_G414670.h1.t1	Om004G170230
OG0001188	Aa_G597520.h1.t1	Om007G281960
OG0001189	Aa_G451680.h1.t1	Om002G042490
OG0001189	Aa_G258140.h1.t1	Om007G301350
OG0001190	Aa_G185630.h1.t1	Om002G045600
OG0001191	Aa_G502190.h1.t1	Om007G293620
OG0001191	Aa_G5040.h1.t1, Aa_G737710.h1.t1	Om002G047290
OG0001192	Aa_G139280.h1.t1	Om003G100360
OG0001192	Aa_G47170.h1.t1	Om002G049400
OG0001193	Aa_G213640.h1.t1	Om006G251660
OG0001193	Aa_G38090.h1.t1	Om008G331060
OG0001194	Aa_G302280.h1.t1	Om006G251130
OG0001194	Aa_G302060.h1.t1	Om002G050930
OG0001195	Aa_G343580.h1.t1	Om005G198660
OG0001196	Aa_G259470.h1.t1	Om004G138870
OG0001196	Aa_G407770.h1.t1	Om005G201250
OG0001197	Aa_G621600.h1.t1	Om006G253160
OG0001197	Aa_G621590.h1.t1	Om005G188180
OG0001198	Aa_G622180.h1.t1	Om007G294050
OG0001200	Aa_G230390.h1.t1	Om006G241520
OG0001201	Aa_G143150.h1.t1	Om006G238190
OG0001201	Aa_G168280.h1.t1	Om006G261620
OG0001202	Aa_G733300.h1.t1, Aa_G344960.h1.t1, Aa_G344950.h1.t1	Om006G260190
OG0001203	Aa_G192370.h1.t1, Aa_G16540.h1.t1	Om003G119970
OG0001204	Aa_G250940.h1.t1, Aa_G91400.h1.t1, Aa_G250920.h1.t1, Aa_G369040.h1.t1, Aa_G369020.h1.t1, Aa_G369030.h1.t1, Aa_G91390.h1.t1	Om008G327040, Om004G135940
OG0001204	Aa_G295230.h1.t1	Om003G101670
OG0001205	Aa_G1080.h1.t1	Om002G060410
OG0001207	Aa_G139270.h1.t1	Om003G100370
OG0001207	Aa_G20520.h1.t1	Om002G063290
OG0001208	Aa_G96000.h1.t1	Om003G098430
OG0001208	Aa_G429470.h1.t1	Om002G065980
OG0001209	Aa_G362440.h1.t1	Om003G098060
OG0001209	Aa_G382260.h1.t1	Om002G066390
OG0001210	Aa_G50610.h1.t1	Om002G067480
OG0001218	Aa_G4660.h1.t1	Om002G046860
OG0001220	Aa_G173850.h1.t1	Om006G244160, Om006G244150
OG0001222	Aa_G33040.h1.t1	Om001G027470
OG0001222	Aa_G310080.h1.t1	Om004G153200, Om018G373910
OG0001223	Aa_G347060.h1.t1, Aa_G347050.h1.t1	Om002G082000
OG0001223	Aa_G857200.h1.t1	Om001G031810
OG0001224	Aa_G19070.h1.t1	Om005G187250
OG0001225	Aa_G541850.h1.t1, Aa_G541860.h1.t1	Om006G271930
OG0001227	Aa_G34770.h1.t1	Om002G052210
OG0001227	Aa_G260790.h1.t1	Om004G175150
OG0001228	Aa_G525150.h1.t1	Om006G259390, Om006G259350, Om006G259430, Om006G259310
OG0001230	Aa_G351300.h1.t1, Aa_G69350.h1.t1, Aa_G435170.h1.t1	Om006G236280
OG0001230	Aa_G275520.h1.t1	Om004G169010
OG0001231	Aa_G504180.h1.t1	Om004G169080
OG0001232	Aa_G203380.h1.t1, Aa_G203370.h1.t1	Om001G003020
OG0001233	Aa_G19960.h1.t1	Om001G009770
OG0001233	Aa_G225580.h1.t1	Om008G352720
OG0001234	Aa_G198490.h1.t1	Om004G138070
OG0001234	Aa_G533070.h1.t1	Om007G287480
OG0001235	Aa_G314500.h1.t1	Om002G083990
OG0001235	Aa_G527860.h1.t1	Om001G034630
OG0001237	Aa_G17080.h1.t1	Om008G321460
OG0001237	Aa_G81100.h1.t1	Om005G208750, Om003G126420
OG0001238	Aa_G17180.h1.t1	Om008G321570
OG0001238	Aa_G57830.h1.t1	Om003G126200
OG0001239	Aa_G349400.h1.t1	Om003G124340
OG0001239	Aa_G100560.h1.t1	Om008G323910
OG0001240	Aa_G284530.h1.t1, Aa_G322940.h1.t1, Aa_G633940.h1.t1	Om008G324700, Om008G324730, Om008G324740, Om008G324750, Om008G324760, Om008G324720, Om008G324610, Om008G324680
OG0001241	Aa_G284450.h1.t1, Aa_G284440.h1.t1	Om008G324870
OG0001241	Aa_G284430.h1.t1	Om008G324900, Om008G324890
OG0001242	Aa_G259870.h1.t1	Om004G174520
OG0001242	Aa_G34530.h1.t1	Om002G052480
OG0001243	Aa_G181190.h1.t1	Om006G241260
OG0001243	Aa_G304770.h1.t1	Om005G212570
OG0001244	Aa_G15670.h1.t1	Om006G242110
OG0001245	Aa_G11500.h1.t1	Om006G258010
OG0001245	Aa_G43840.h1.t1	Om006G229530
OG0001246	Aa_G46850.h1.t1	Om004G158830
OG0001247	Aa_G188930.h1.t1	Om004G160440
OG0001247	Aa_G135160.h1.t1	Om002G050370
OG0001248	Aa_G598470.h1.t1, Aa_G709670.h1.t1, Aa_G598480.h1.t1	Om007G282850, Om007G282830, Om007G282860
OG0001250	Aa_G236910.h1.t1	Om007G299800
OG0001250	Aa_G14550.h1.t1	Om002G043300
OG0001251	Aa_G743960.h1.t1	Om002G043620
OG0001251	Aa_G383480.h1.t1	Om007G299300
OG0001252	Aa_G42340.h1.t1	Om002G043920
OG0001253	Aa_G51040.h1.t1	Om002G047790
OG0001253	Aa_G429030.h1.t1	Om007G294040
OG0001254	Aa_G645080.h1.t1, Aa_G582130.h1.t1	Om003G095910
OG0001254	Aa_G782480.h1.t1	Om008G338050
OG0001255	Aa_G470680.h1.t1	Om004G133240
OG0001255	Aa_G275060.h1.t1	Om005G198260
OG0001256	Aa_G433570.h1.t1	Om004G142260
OG0001256	Aa_G528290.h1.t1	Om005G198820
OG0001257	Aa_G640640.h1.t1	Om004G141760
OG0001258	Aa_G627780.h1.t1	Om005G200690
OG0001258	Aa_G64620.h1.t1	Om004G139120
OG0001259	Aa_G348810.h1.t1	Om004G137860
OG0001260	Aa_G329070.h1.t1	Om003G111460
OG0001261	Aa_G93080.h1.t1, Aa_G93070.h1.t1	Om005G194440
OG0001262	Aa_G613480.h1.t1	Om005G194320
OG0001262	Aa_G92980.h1.t1, Aa_G613490.h1.t1	Om005G194340, Om005G194330
OG0001264	Aa_G176020.h1.t1	Om002G057540
OG0001264	Aa_G193200.h1.t1	Om003G090210
OG0001265	Aa_G225060.h1.t1	Om003G095680
OG0001265	Aa_G162020.h1.t1	Om002G069140
OG0001266	Aa_G54430.h1.t1, Aa_G75170.h1.t1, Aa_G144250.h1.t1, Aa_G520620.h1.t1, Aa_G138950.h1.t1, Aa_G558220.h1.t1	Om004G146350, Om006G264180
OG0001266	Aa_G685010.h1.t1	Om008G344320, Om003G113010
OG0001268	Aa_G74590.h1.t1, Aa_G74600.h1.t1	Om001G028270, Om001G028250
OG0001269	Aa_G142230.h1.t1, Aa_G223740.h1.t1	Om007G289700, Om007G289710
OG0001274	Aa_G670610.h1.t1	Om004G153070, Om018G373760
OG0001274	Aa_G163890.h1.t1	Om001G027260
OG0001275	Aa_G556430.h1.t1	Om005G202690
OG0001275	Aa_G180310.h1.t1	Om001G033720
OG0001276	Aa_G501930.h1.t1	Om005G222670
OG0001276	Aa_G572750.h1.t1	Om005G189920
OG0001278	Aa_G211280.h1.t1	Om002G076590
OG0001279	Aa_G304350.h1.t1	Om007G300380
OG0001279	Aa_G14820.h1.t1	Om002G042920
OG0001280	Aa_G247580.h1.t1	Om006G269500
OG0001280	Aa_G651630.h1.t1	Om002G054490
OG0001281	Aa_G135570.h1.t1	Om007G318310
OG0001282	Aa_G629700.h1.t1	Om006G250090
OG0001283	Aa_G483550.h1.t1	Om003G119930
OG0001283	Aa_G88430.h1.t1	Om008G328480
OG0001284	Aa_G201740.h1.t1	Om003G108870
OG0001284	Aa_G406220.h1.t1	Om006G234900
OG0001285	Aa_G553210.h1.t1	Om003G116080
OG0001285	Aa_G107300.h1.t1	Om001G020050
OG0001286	Aa_G605090.h1.t1	Om003G116830
OG0001287	Aa_G442080.h1.t1	Om003G117080, Om004G145930
OG0001288	Aa_G116760.h1.t1	Om004G163800
OG0001288	Aa_G550320.h1.t1	Om006G240240
OG0001289	Aa_G607250.h1.t1	Om001G000320
OG0001289	Aa_G156660.h1.t1	Om008G362210
OG0001290	Aa_G477190.h1.t1	Om008G351210
OG0001290	Aa_G240850.h1.t1	Om001G010830
OG0001291	Aa_G517740.h1.t1	Om001G011760, Om003G100450
OG0001291	Aa_G796460.h1.t1	Om001G011750
OG0001292	Aa_G85500.h1.t1	Om007G282020
OG0001292	Aa_G14860.h1.t1	Om002G042860
OG0001293	Aa_G271290.h1.t1	Om003G123470
OG0001294	Aa_G407280.h1.t1	Om004G153730
OG0001294	Aa_G486300.h1.t1	Om001G039610
OG0001296	Aa_G224830.h1.t1	Om004G154220
OG0001296	Aa_G226180.h1.t1	Om006G229750
OG0001297	Aa_G784540.h1.t1, Aa_G843530.h1.t1	Om008G354250
OG0001297	Aa_G189360.h1.t1, Aa_G189370.h1.t1	Om008G354230
OG0001298	Aa_G91310.h1.t1, Aa_G31110.h1.t1	Om002G070950
OG0001299	Aa_G462250.h1.t1	Om008G320350
OG0001300	Aa_G98570.h1.t1	Om003G121550
OG0001300	Aa_G210220.h1.t1	Om008G326760
OG0001301	Aa_G345820.h1.t1	Om003G121140
OG0001301	Aa_G230790.h1.t1	Om008G326930
OG0001302	Aa_G23560.h1.t1	Om006G231010
OG0001302	Aa_G52890.h1.t1	Om006G259630
OG0001303	Aa_G136170.h1.t1	Om004G157140
OG0001303	Aa_G106080.h1.t1	Om005G177770
OG0001304	Aa_G345270.h1.t1	Om005G185790
OG0001304	Aa_G158240.h1.t1	Om007G283550
OG0001305	Aa_G75620.h1.t1	Om002G047540
OG0001305	Aa_G25970.h1.t1	Om007G293740
OG0001306	Aa_G120190.h1.t1	Om007G294020
OG0001306	Aa_G51010.h1.t1	Om002G047760
OG0001308	Aa_G100040.h1.t1	Om006G255570
OG0001308	Aa_G282260.h1.t1, Aa_G282260.h2.t1	Om008G337370
OG0001309	Aa_G150910.h1.t1	Om008G334740
OG0001309	Aa_G265930.h1.t1	Om006G253780
