Orthogroup	Arabis_alpina	Brassica_napus
OG0000436	Aa_G38530.h1.t1	XP_013725702.1
OG0000436	Aa_G22060.h1.t1	XP_048606957.1, XP_013677534.1, XP_013695283.1, XP_013667004.1, XP_013741288.1, XP_013682773.1, XP_013732752.1, XP_013729103.1
OG0000436	Aa_G726630.h1.t1	XP_013664454.1, XP_013670896.1, XP_013732460.1, XP_013744434.1, XP_013671718.2
OG0000437	Aa_G260280.h1.t1	XP_048617209.1, XP_048594961.1
OG0000438	Aa_G590600.h1.t1	XP_048596708.1, XP_048594765.1
OG0000439	Aa_G686900.h1.t1, Aa_G340530.h1.t1	XP_048597236.1, XP_013663718.3, XP_013742101.1, XP_022571475.1, XP_013651992.2, XP_013700934.1
OG0000439	Aa_G167480.h1.t1	XP_013744310.2, XP_013675704.1, XP_013734157.1, XP_013742763.2, XP_013748772.2, XP_013677460.1
OG0000441	Aa_G367450.h1.t1, Aa_G417670.h1.t1	NP_001302973.1, XP_013749716.2
OG0000441	Aa_G417660.h1.t1	XP_022553378.1, XP_048632436.1
OG0000446	Aa_G13650.h1.t1	XP_048631137.1, XP_013701465.1, XP_048603325.1
OG0000446	Aa_G146200.h1.t1	XP_048600057.1, XP_013734742.1, XP_013664940.1, XP_013687349.2
OG0000446	Aa_G117750.h1.t1	XP_013676231.1
OG0000447	Aa_G1250.h1.t1	XP_013644775.1, XP_013736292.1, XP_013684849.1
OG0000447	Aa_G305730.h1.t1	XP_013681772.2, XP_013740493.1
OG0000447	Aa_G650850.h1.t1	XP_013681368.1, XP_013656921.1, XP_013687828.1, XP_013651567.2, XP_013718326.1, XP_013696025.1
OG0000449	Aa_G33860.h1.t1	XP_013652944.1, XP_013680997.1, XP_013716009.2, XP_013682128.2
OG0000449	Aa_G33850.h1.t1	XP_013716011.1, XP_048608150.1, XP_013714554.1, XP_048598971.1, XP_048606104.1, XP_013652947.1
OG0000450	Aa_G951240.h2.t1, Aa_G951240.h1.t1	XP_048635117.1, XP_048617633.1
OG0000450	Aa_G293380.h1.t1	XP_048596245.1, XP_048610362.1
OG0000452	Aa_G156090.h1.t1, Aa_G156120.h1.t1	XP_013720367.1, XP_013681580.2
OG0000452	Aa_G156110.h1.t1	XP_013688523.1, XP_013690494.2, XP_048606442.1, XP_013707478.1, XP_013738273.1
OG0000453	Aa_G108500.h1.t1	XP_048602613.1, XP_048602608.1
OG0000453	Aa_G245230.h1.t1	XP_022574352.1
OG0000453	Aa_G162230.h1.t1	XP_048611968.1, XP_048611498.1
OG0000453	Aa_G482900.h1.t1, Aa_G482930.h1.t1	XP_048624042.1, XP_048624933.1
OG0000454	Aa_G263760.h1.t1, Aa_G238120.h1.t1, Aa_G263750.h1.t1, Aa_G263770.h1.t1	XP_013715430.1, XP_013715447.1, XP_013700725.1, XP_048603480.1, XP_013687674.2, XP_013701029.1, XP_048603481.1, XP_013687665.1, XP_013690435.1, XP_013740393.1, XP_013702190.1, XP_048598724.1, XP_013717775.2, XP_013717774.1, XP_048598725.1
OG0000455	Aa_G272210.h1.t1	XP_048596414.1, XP_048629254.1, XP_048599366.1, XP_048632614.1, XP_048632611.1, XP_048607105.1, XP_048612756.1, XP_048612755.1, XP_022543933.1
OG0000457	Aa_G138380.h1.t1	XP_013750260.2, XP_048603866.1, XP_048625758.1
OG0000457	Aa_G151530.h1.t1	XP_048634106.1
OG0000459	Aa_G297810.h1.t1	XP_048626943.1, XP_013670317.2, XP_013741408.2, XP_022569365.2, XP_013669255.2, XP_013682357.1, XP_013647344.2, XP_048601529.1, XP_013647345.2, XP_048601530.1, XP_013704242.1, XP_048607370.1, XP_048594734.1, XP_013682338.2, XP_013654838.1, XP_013723705.2
OG0000460	Aa_G1010670.h1.t1	XP_013685742.2
OG0000460	Aa_G560430.h1.t1, Aa_G12780.h1.t1, Aa_G527160.h1.t1	XP_048608182.1, XP_013732287.2, XP_048608183.1
OG0000461	Aa_G106350.h1.t1	XP_013733419.3, XP_013722199.2
OG0000461	Aa_G272410.h1.t1	XP_048611073.1, XP_013706646.1, XP_048634536.1, XP_013700890.1, XP_048605341.1, XP_013723897.2, XP_013748360.2, XP_013688624.1
OG0000462	Aa_G157070.h1.t1	XP_013701446.1, XP_013747472.2
OG0000463	Aa_G656960.h2.t1, Aa_G656960.h1.t1, Aa_G770910.h1.t1	XP_013711619.2, XP_013670084.2
OG0000467	Aa_G220170.h3.t1, Aa_G587490.h1.t1, Aa_G587490.h3.t1, Aa_G220170.h1.t1, Aa_G220170.h2.t1, Aa_G587490.h2.t1	XP_013652766.1
OG0000468	Aa_G331300.h1.t1	XP_013710742.2, XP_013710710.1, XP_013742503.2, XP_013657906.1
OG0000468	Aa_G216900.h1.t1	XP_048611091.1, XP_048634575.1
OG0000471	Aa_G366260.h1.t1	XP_013695845.1, XP_013659678.1, XP_048596051.1, XP_013731875.1, XP_013651448.2
OG0000471	Aa_G109570.h1.t1	XP_013740909.2, XP_013720014.1
OG0000472	Aa_G568800.h1.t1, Aa_G853130.h1.t1	XP_048633417.1, XP_013651853.2, XP_013701259.1, XP_048633525.1, XP_013651852.2, XP_013700993.1
OG0000472	Aa_G119960.h1.t1, Aa_G119970.h1.t1	XP_013699238.1, XP_013647765.2, XP_013651722.2, XP_013743272.2, XP_022556823.2, XP_013651850.2
OG0000473	Aa_G226140.h1.t1	XP_048608687.1, XP_013690492.1, XP_013734895.1, XP_013749103.2
OG0000473	Aa_G448780.h1.t1	XP_048632665.1, XP_048617985.1
OG0000473	Aa_G495380.h1.t1	XP_013651412.1, XP_013746815.1
OG0000474	Aa_G630820.h1.t1	XP_013745283.1, XP_013733182.1, XP_013642433.2, XP_013732707.1
OG0000475	Aa_G644850.h1.t1	XP_013710620.1, XP_048609759.1
OG0000475	Aa_G8580.h1.t1, Aa_G8570.h1.t1	XP_022546422.2, XP_048629635.1
OG0000478	Aa_G495170.h1.t1	XP_022546402.2, XP_022568222.2, XP_048616918.1, XP_013645019.2, XP_013673774.2, XP_013751458.1, XP_013654534.1, XP_013709281.1, XP_013751457.1
OG0000481	Aa_G366720.h1.t1, Aa_G48980.h1.t1, Aa_G400820.h1.t1, Aa_G150010.h1.t1, Aa_G320050.h1.t1	XP_013716592.1, XP_013687236.1, XP_013644102.1, XP_013686141.2, XP_013672451.2
OG0000481	Aa_G402960.h1.t1	XP_013679516.2, XP_048623661.1, XP_048622559.1, XP_048622611.1, XP_048630453.1, XP_048628334.1, XP_048628333.1, XP_013723127.2
OG0000482	Aa_G253980.h1.t1	XP_013647728.2, XP_022552863.1, XP_048628789.1, XP_013743511.2, XP_013672042.1, XP_048633359.1, XP_013660717.1, XP_013741772.1, XP_013725632.1, XP_048633357.1, XP_048610723.1
OG0000482	Aa_G1117480.h1.t1	XP_013674781.1
OG0000483	Aa_G48300.h1.t1	XP_048607256.1, XP_022551102.1, XP_022573243.1, XP_022568475.1
OG0000483	Aa_G408490.h1.t1, Aa_G48330.h1.t1, Aa_G48310.h1.t1, Aa_G48320.h1.t1	XP_022568511.1, XP_013640681.2, XP_013680813.1, XP_048607245.1, XP_013714578.2, XP_013676188.1, XP_013713942.1, XP_013665787.1, XP_013666940.1, XP_013703398.1, XP_013648809.1
OG0000484	Aa_G270470.h1.t1	XP_022561186.1
OG0000484	Aa_G270430.h1.t1, Aa_G453250.h1.t1, Aa_G453270.h1.t1, Aa_G453270.h2.t1	XP_048607282.1
OG0000484	Aa_G488000.h1.t1, Aa_G636220.h1.t1, Aa_G519310.h1.t1	XP_013734065.1, XP_013714869.1
OG0000484	Aa_G474090.h1.t1	XP_022554446.2
OG0000486	Aa_G710680.h1.t1	XP_013700515.2, XP_048604322.1, XP_048602457.1
OG0000487	Aa_G208690.h2.t1	XP_013725930.1
OG0000487	Aa_G38790.h3.t1	XP_048633228.1, XP_013666482.1, XP_022547249.1, XP_013698785.2
OG0000487	Aa_G208690.h3.t1	XP_013720545.1
OG0000487	Aa_G304940.h3.t1	XP_013640649.1
OG0000487	Aa_G304940.h1.t1	XP_013745055.1
OG0000489	Aa_G714130.h1.t1	XP_013716319.1
OG0000491	Aa_G173830.h1.t1	XP_013712763.2, XP_048602516.1, XP_013682205.2, XP_013715941.1
OG0000492	Aa_G393090.h1.t1	XP_013680877.1, XP_022565321.1, XP_048633686.1, XP_013747052.2
OG0000492	Aa_G750280.h1.t1, Aa_G596710.h1.t1, Aa_G10880.h1.t1, Aa_G270670.h1.t1, Aa_G263370.h1.t1	XP_048604567.1, XP_013708203.2
OG0000496	Aa_G490620.h1.t1	XP_048613293.1, XP_022553337.1
OG0000496	Aa_G510720.h1.t1	XP_048600567.1, XP_048604166.1, XP_048604105.1, XP_048604842.1, XP_022564294.1, XP_048624405.1, XP_048613297.1, XP_048619623.1, XP_048611185.1, XP_013709276.2, XP_048625988.1, XP_013726424.1, XP_048600146.1, XP_013650810.2, XP_048633297.1, XP_048629527.1, XP_013745423.1
OG0000498	Aa_G505380.h1.t1	XP_013666804.2, XP_013714902.1, XP_013682792.1, XP_013733864.1, XP_013686544.2
OG0000498	Aa_G159950.h1.t1	XP_013704049.2, XP_013738206.1, XP_013669958.1, XP_013741523.2
OG0000499	Aa_G155390.h1.t1	XP_048591374.1, XP_048601432.1, XP_013737237.2, XP_013703754.2
OG0000499	Aa_G667610.h1.t1	XP_013719742.1, XP_013714252.1, XP_013644163.2, XP_013736248.1
OG0000500	Aa_G92600.h1.t1, Aa_G649550.h1.t1	XP_048596590.1, XP_013721383.1
OG0000501	Aa_G455060.h1.t1	XP_013749257.1, XP_013702697.1
OG0000501	Aa_G99390.h1.t1	XP_013654626.1
OG0000504	Aa_G260600.h1.t1, Aa_G900860.h1.t1	XP_013666173.2, XP_013685260.1, XP_013720199.1
OG0000504	Aa_G756790.h1.t1	XP_013736039.1, XP_013750370.2, XP_013724051.1, XP_013665237.1, XP_013684591.1, XP_022558069.1
OG0000505	Aa_G398030.h1.t1	XP_013643720.2, XP_013707109.1, XP_013648818.2, XP_013659161.2, XP_013659136.2, XP_048604286.1, XP_013700231.1, XP_013683435.1, XP_013704974.2, XP_048591079.1
OG0000505	Aa_G398020.h1.t1	XP_048620241.1
OG0000505	Aa_G715160.h1.t1, Aa_G743730.h1.t1	XP_013678116.2, XP_013700194.1, XP_048604283.1, XP_013700200.1
OG0000506	Aa_G344060.h1.t1	XP_048623200.1, XP_013715623.1, XP_048624570.1, XP_048619314.1
OG0000507	Aa_G710810.h1.t1	XP_048604255.1
OG0000507	Aa_G278050.h1.t1	XP_013716977.2
OG0000508	Aa_G454760.h1.t1	XP_013686922.1
OG0000509	Aa_G96340.h1.t1, Aa_G49310.h1.t1	XP_013706264.1, XP_013737355.1, XP_013741445.2, XP_013708333.1
OG0000510	Aa_G192980.h1.t1	XP_013642007.3, XP_013747087.1
OG0000511	Aa_G384910.h1.t1	XP_013736789.2, XP_048635226.1
OG0000511	Aa_G482170.h1.t1	XP_013666134.2, XP_048594590.1, XP_013654707.1, XP_013671921.2, XP_013668433.1
OG0000511	Aa_G162430.h1.t1	XP_022571107.1, XP_013644410.1
OG0000512	Aa_G494770.h1.t1	XP_013691568.2, XP_022546989.1
OG0000513	Aa_G402350.h1.t1	XP_048620567.1
OG0000513	Aa_G249360.h1.t1	XP_013737887.2, XP_013742585.1
OG0000513	Aa_G318800.h1.t1	XP_013672837.1, XP_013642694.1, XP_013699014.1
OG0000513	Aa_G33790.h1.t1	XP_013707964.2
OG0000514	Aa_G242880.h1.t1	XP_048632494.1, XP_048626434.1
OG0000514	Aa_G71140.h1.t1	XP_013680906.2, XP_022570977.2
OG0000514	Aa_G242940.h1.t1	XP_022572259.1
OG0000514	Aa_G242890.h1.t1	XP_013681193.1, XP_013720703.2
OG0000515	Aa_G408570.h1.t1, Aa_G205590.h1.t1	XP_048611321.1, XP_048615388.1, XP_048596299.1, XP_048618491.1, XP_048637449.1, XP_048603527.1
OG0000515	Aa_G189630.h1.t1	XP_048607866.1, XP_013676480.1, XP_048592057.1, XP_048617255.1
OG0000520	Aa_G57970.h1.t1	XP_022558587.1, XP_013711253.1, XP_013644257.1, XP_013725847.1, XP_048634780.1, XP_022562032.1, XP_013648428.1, XP_013750203.1
OG0000521	Aa_G368910.h1.t1	XP_013714605.1, XP_013749256.2
OG0000521	Aa_G508910.h1.t1	XP_013676329.1, NP_001302608.1, XP_013650162.1, XP_013649981.1, XP_013714576.1, XP_013693950.1
OG0000522	Aa_G129040.h1.t1	XP_048594975.1, XP_048619834.1
OG0000522	Aa_G129060.h1.t1, Aa_G129050.h1.t1	XP_048604423.1, XP_048614424.1
OG0000524	Aa_G734800.h1.t1	XP_048600798.1, XP_048600799.1, NP_001302495.1, XP_048615432.1, XP_048615338.1, XP_048628865.1, XP_013684631.2, XP_022572012.1
OG0000524	Aa_G734810.h1.t1	XP_022555175.1, XP_022572011.1, XP_048600802.1, XP_048628861.1, XP_013724124.2
OG0000524	Aa_G102310.h1.t1	XP_013647390.2, XP_048591249.1
OG0000525	Aa_G140300.h1.t1	XP_013719762.2, XP_048635800.1, XP_013677241.1, XP_022550949.1, XP_013644676.2
OG0000525	Aa_G74240.h1.t1	XP_013640606.1, XP_013748860.2, XP_048627148.1, XP_048628193.1, XP_048616664.1
OG0000526	Aa_G563850.h1.t1	XP_013708822.1, XP_022560412.1, XP_048638613.1, XP_048606746.1
OG0000526	Aa_G254360.h1.t1, Aa_G788610.h1.t1	XP_013642631.2, XP_048606745.1, XP_013645577.2
OG0000527	Aa_G206570.h1.t1	XP_048610653.1
OG0000527	Aa_G846850.h1.t1, Aa_G828190.h1.t1, Aa_G612110.h1.t1, Aa_G653780.h1.t1, Aa_G206650.h1.t1, Aa_G654020.h1.t1, Aa_G754920.h1.t1, Aa_G653760.h1.t1	XP_022573736.2
OG0000529	Aa_G173930.h1.t1	XP_013724005.1, XP_013665876.2
OG0000530	Aa_G781210.h1.t1	XP_013657449.1, XP_048622313.1, XP_048625048.1
OG0000533	Aa_G546420.h2.t1, Aa_G546420.h1.t1	XP_013660946.2
OG0000533	Aa_G614650.h1.t1	XP_013702066.1, XP_048632620.1
OG0000534	Aa_G222560.h1.t1, Aa_G222580.h1.t1, Aa_G222570.h1.t1, Aa_G222590.h1.t1	XP_013652581.2, XP_022571580.1, XP_013652254.2, XP_022563269.2, XP_048595746.1, XP_013708890.1, XP_013668711.1
OG0000535	Aa_G8600.h1.t1	XP_048592156.1, XP_013718722.1
OG0000535	Aa_G323370.h1.t1	XP_048599798.1, XP_022572233.1, XP_013691870.2
OG0000535	Aa_G323360.h1.t1, Aa_G323350.h1.t1	XP_013713867.1, XP_013690468.1
OG0000537	Aa_G187790.h1.t1	XP_013740806.1, XP_013727770.2, XP_013691213.1, XP_013685763.2
OG0000538	Aa_G162770.h1.t1, Aa_G284400.h1.t1	NP_001302855.1
OG0000538	Aa_G581380.h1.t1	XP_013687998.1, XP_013725442.2
OG0000538	Aa_G11150.h1.t1	XP_013699190.2
OG0000538	Aa_G284390.h1.t1	XP_022574037.1
OG0000539	Aa_G113660.h1.t1	XP_013677212.1, XP_048631507.1, XP_013702162.1
OG0000539	Aa_G374250.h1.t1	XP_048636852.1, XP_013748928.2, XP_048636851.1
OG0000540	Aa_G199700.h1.t1	XP_013748923.2, XP_048636846.1, XP_013751373.2
OG0000540	Aa_G199690.h1.t1	XP_013744218.2, XP_013747163.1
OG0000540	Aa_G199680.h1.t1	XP_013744219.2, XP_013744264.3
OG0000540	Aa_G199670.h1.t1	XP_013744263.1, XP_013744221.2
OG0000541	Aa_G189550.h1.t1, Aa_G500820.h2.t1, Aa_G500820.h1.t1	XP_013667906.1, XP_013744252.1, XP_013744224.2
OG0000542	Aa_G59260.h1.t1	XP_022567500.2, XP_048607939.1, XP_048602357.1, XP_013649854.1, XP_022566171.1, XP_013667605.1
OG0000542	Aa_G42370.h1.t1	XP_013682570.1, XP_048595662.1, XP_013661462.2, XP_048626822.1, XP_048614259.1, XP_013735701.1, XP_048606004.1
OG0000544	Aa_G235440.h1.t1	XP_013679773.1, XP_013665650.2, XP_048613735.1, XP_013716335.2, XP_022548689.2, XP_013665651.2
OG0000544	Aa_G235480.h1.t1	XP_013716354.2, XP_048594297.1, XP_048622009.1, XP_022573300.2, XP_013695938.3
OG0000545	Aa_G259480.h1.t1	XP_013652448.1, XP_013701262.1, XP_013681782.1
OG0000545	Aa_G263360.h1.t1	XP_022568254.1, XP_048613790.1
OG0000545	Aa_G259490.h1.t1	XP_013648888.2
OG0000545	Aa_G259500.h1.t1	XP_013702947.1
OG0000546	Aa_G466380.h1.t1	XP_013724890.1, XP_048619737.1
OG0000547	Aa_G191610.h1.t1	XP_048623781.1
OG0000550	Aa_G138540.h1.t1, Aa_G456300.h1.t1	XP_048616462.1
OG0000551	Aa_G20930.h1.t1	XP_048606620.1, XP_013643123.1, XP_013700891.1, XP_048616675.1, XP_013678371.2, NP_001302956.1, XP_013701472.1
OG0000551	Aa_G553710.h1.t1	XP_013735764.2, NP_001302952.1
OG0000551	Aa_G152760.h1.t1	XP_013680298.1, XP_048607836.1, XP_048625238.1
OG0000552	Aa_G62390.h1.t1	XP_013695282.2
OG0000552	Aa_G2600.h2.t1, Aa_G2600.h1.t1, Aa_G453100.h2.t1, Aa_G453100.h1.t1	XP_048609821.1, XP_013648509.1, XP_013663954.1, XP_013749457.1, XP_022573549.2, XP_013734857.1, XP_013734884.1
OG0000554	Aa_G66960.h1.t1	XP_013713945.2
OG0000557	Aa_G102470.h1.t1	XP_013746361.1, XP_013691341.2, XP_013711862.1, XP_013710619.1
OG0000557	Aa_G252310.h1.t1	XP_048608653.1, XP_013734784.2
OG0000559	Aa_G478910.h1.t1	XP_013668310.2, XP_013707312.1
OG0000560	Aa_G28190.h1.t1	XP_013682319.2, XP_048608162.1, XP_013732561.2
OG0000560	Aa_G341280.h1.t1	XP_013695090.1, XP_013666494.2, XP_013695091.1, XP_013666493.2
OG0000561	Aa_G585310.h1.t1, Aa_G720620.h1.t1, Aa_G585330.h1.t1, Aa_G476870.h1.t1	XP_048630047.1, XP_048603266.1, XP_013678382.1
OG0000561	Aa_G585320.h1.t1	XP_022569533.1, XP_022543287.1
OG0000562	Aa_G269320.h1.t1	XP_013684484.1, XP_022572219.2, XP_048615385.1, XP_013725449.2
OG0000562	Aa_G473480.h1.t1	XP_013727944.1, XP_013714384.1
OG0000562	Aa_G189800.h1.t1	XP_013643968.1, XP_013643800.1, XP_013737444.2, XP_013660836.2
OG0000563	Aa_G102660.h1.t1	XP_048614119.1
OG0000564	Aa_G145130.h1.t1, Aa_G145160.h1.t1	XP_048605912.1
OG0000566	Aa_G225520.h1.t1, Aa_G15500.h1.t1	XP_013667275.3, XP_013706040.1
OG0000569	Aa_G652120.h1.t1	XP_013658317.2, XP_013747302.2, XP_013658316.1
OG0000570	Aa_G71740.h1.t1	XP_048636257.1, XP_013700324.1, XP_048614076.1, XP_013750964.1, XP_048602029.1
OG0000570	Aa_G431460.h1.t1	XP_013735665.1, XP_013684215.1
OG0000571	Aa_G127290.h1.t1	XP_013665864.1, XP_013705620.1
OG0000571	Aa_G286010.h1.t1	XP_013708775.1, XP_013708776.1, XP_013646468.2, XP_013641115.1, XP_013696555.2, XP_013716454.2, XP_013729508.1, XP_013655311.2
OG0000571	Aa_G369460.h1.t1, Aa_G267100.h1.t1	XP_013716233.1, XP_013695009.2
OG0000572	Aa_G887410.h1.t1	XP_022553524.2
OG0000572	Aa_G203210.h1.t1, Aa_G203220.h1.t1	XP_013743943.2, XP_048591759.1, XP_048591760.1, XP_048615996.1, XP_013702265.1, XP_013649650.1
OG0000574	Aa_G44290.h1.t1	XP_048613333.1, XP_022564858.2, XP_013669230.1, XP_013689837.1, XP_022566530.2
OG0000574	Aa_G104100.h1.t1, Aa_G195780.h1.t1	XP_022554007.1
OG0000575	Aa_G17950.h4.t1, Aa_G434200.h2.t1, Aa_G434200.h4.t1, Aa_G434200.h6.t1, Aa_G434200.h7.t1, Aa_G17950.h5.t1, Aa_G17950.h2.t1, Aa_G17950.h6.t1, Aa_G17950.h3.t1, Aa_G17950.h7.t1, Aa_G434200.h1.t1, Aa_G434200.h3.t1, Aa_G409200.h1.t1	XP_013646961.1, XP_022568549.1
OG0000575	Aa_G434200.h5.t1, Aa_G17950.h1.t1	XP_013654860.1, XP_013666285.1, XP_022572767.1, XP_013738414.1, XP_013654863.1
OG0000578	Aa_G226620.h1.t1	XP_013645767.2, XP_013640911.1, XP_013641342.1, XP_013716420.1
OG0000578	Aa_G89900.h1.t1	XP_013714644.1, XP_022569287.1
OG0000578	Aa_G510870.h1.t1	XP_013655445.1, XP_013671147.2, XP_022569198.1
OG0000579	Aa_G586290.h1.t1	XP_013717760.1, XP_048598723.1, XP_013686847.1, XP_013733909.1, XP_013654970.1, XP_013712976.1, XP_013739916.1, XP_022563004.1
OG0000579	Aa_G165220.h1.t1	XP_022570157.1, XP_013647809.1, XP_048633484.1, XP_022573813.1
OG0000581	Aa_G101260.h1.t1, Aa_G101270.h1.t1	XP_048632305.1, XP_048606147.1, XP_048600755.1, XP_013724063.2
OG0000581	Aa_G18680.h1.t1	XP_013675074.1
OG0000582	Aa_G447580.h1.t1	XP_048627936.1, XP_013682217.1
OG0000582	Aa_G368380.h1.t1	XP_013692365.1, XP_013653680.1
OG0000584	Aa_G134570.h1.t1	XP_022564137.1, XP_013697823.1, XP_013693090.2, XP_013666415.1, XP_013664847.2, XP_013734615.1, XP_013696695.2
OG0000585	Aa_G340210.h1.t1, Aa_G340210.h2.t1	XP_048636635.1, XP_013746204.2, XP_048637088.1
OG0000585	Aa_G12160.h1.t1, Aa_G248880.h1.t1	XP_048631229.1, XP_048608436.1, XP_013736254.1, XP_013719774.2, XP_013677253.1, XP_048634423.1, XP_048636649.1, XP_048630450.1, XP_013729102.1, XP_013691999.1
OG0000586	Aa_G600400.h1.t1	XP_013646742.1, XP_048595566.1
OG0000586	Aa_G652010.h1.t1	XP_048603877.1, XP_048614988.1
OG0000587	Aa_G347440.h1.t1	XP_048626711.1, XP_013731710.1, XP_048626291.1, XP_013719426.1
OG0000587	Aa_G177860.h1.t1	XP_013752019.1, XP_013751994.1, XP_013688175.1, XP_013690942.1
OG0000587	Aa_G211800.h1.t1	XP_013671328.2
OG0000588	Aa_G1380.h1.t1	XP_013736282.2, XP_013693851.1, XP_048635793.1
OG0000588	Aa_G415310.h1.t1	XP_048597331.1, XP_048611193.1, XP_013744999.2, XP_013688154.1, XP_048636344.1
OG0000588	Aa_G603630.h1.t1	XP_048616649.1, XP_013655465.2, XP_013672947.2
OG0000589	Aa_G33770.h1.t1	XP_013680960.2, XP_013651461.2, XP_048606164.1, XP_013651462.2, XP_013715806.1, XP_013682120.1, XP_013708530.1, XP_013713019.1
OG0000589	Aa_G318790.h1.t1	XP_048601693.1, XP_048590737.1, XP_048590739.1, XP_022543177.2, XP_048606710.1, XP_013646942.1, XP_013646943.1
OG0000590	Aa_G50980.h1.t1, Aa_G247420.h1.t1, Aa_G517330.h1.t1, Aa_G247420.h2.t1, Aa_G517330.h2.t1	XP_022555137.1, XP_013684502.2, XP_013677645.2, XP_048636092.1, XP_048626180.1, XP_013693195.1
OG0000590	Aa_G6740.h1.t1	XP_013719251.1, XP_013695233.1, XP_013708586.2
OG0000591	Aa_G556860.h1.t1	XP_013669768.2, XP_013667426.2, XP_022559912.2, XP_013667415.3
OG0000591	Aa_G407690.h1.t1, Aa_G407690.h2.t1, Aa_G323670.h1.t1	XP_013692983.2
OG0000591	Aa_G556850.h1.t1	XP_013668658.1
OG0000592	Aa_G255200.h1.t1	XP_013677508.2, XP_048636320.1, XP_022575180.2
OG0000592	Aa_G62960.h1.t1	XP_013642188.1, XP_013684689.1, XP_013685973.2, XP_048635627.1, XP_048626513.1
OG0000592	Aa_G583550.h1.t1	XP_022568363.1, XP_013664597.2, XP_048597594.1, XP_013641806.1, XP_013671145.1
OG0000593	Aa_G343760.h1.t1	XP_048597464.1, XP_048621003.1
OG0000593	Aa_G21280.h1.t1, Aa_G664670.h1.t1, Aa_G664670.h2.t1	XP_048613464.1
OG0000594	Aa_G390170.h1.t1	XP_013710559.1, XP_048601827.1, XP_013710379.2, XP_013670116.1, XP_013708897.2, XP_013672112.1
OG0000594	Aa_G390160.h1.t1	XP_048608820.1, XP_013672149.2
OG0000595	Aa_G115900.h1.t1	XP_013699456.2, XP_013656725.1
OG0000595	Aa_G447600.h1.t1	XP_048608110.1, XP_013716063.2, XP_048623317.1, XP_048599018.1, XP_022567061.2
OG0000596	Aa_G68320.h1.t1	XP_013681991.1, XP_013730852.1, XP_013721974.1
OG0000596	Aa_G126960.h1.t1	XP_013666825.2, XP_013685720.1, XP_022548988.1, XP_013717120.1
OG0000597	Aa_G694430.h1.t1	XP_022557748.2, XP_013730862.3, XP_013730863.2, XP_048609967.1, XP_013730869.2, XP_048609968.1, XP_048609966.1, XP_013730867.2
OG0000600	Aa_G22180.h1.t1	XP_013682766.2, XP_013740304.2, XP_013666995.1, XP_013729132.3
OG0000600	Aa_G331450.h1.t1	XP_022570561.2, XP_048601350.1
OG0000601	Aa_G236890.h1.t1	XP_013662349.1, XP_048602331.1, XP_013720933.1, XP_013667771.1, XP_013728930.1, XP_013728257.1
OG0000601	Aa_G245620.h1.t1	XP_013743061.2, XP_013722723.1, XP_048592879.1, XP_013702101.1
OG0000602	Aa_G259920.h1.t1	XP_022554158.1, XP_013724950.2
OG0000602	Aa_G14360.h1.t1	XP_013750012.1, XP_048592950.1
OG0000602	Aa_G34500.h1.t1	XP_022575563.2, XP_013750400.2, XP_013684600.1, XP_013736031.1, XP_048600726.1, XP_013724119.2
OG0000603	Aa_G75680.h1.t1	XP_022552491.1, XP_022558263.1, XP_048628869.1, XP_013658306.1
OG0000603	Aa_G742460.h2.t1, Aa_G742460.h1.t1, Aa_G75710.h1.t1, Aa_G51140.h1.t1	XP_048620768.1, XP_013661429.2, XP_048595578.1, XP_048619612.1
OG0000604	Aa_G206080.h1.t1, Aa_G206110.h1.t1, Aa_G364330.h1.t1	XP_048631834.1, XP_013734902.2
OG0000605	Aa_G30570.h1.t1	XP_048615982.1
OG0000605	Aa_G30580.h1.t1	XP_013676721.1, XP_013708238.1, XP_048629459.1
OG0000605	Aa_G30550.h1.t1	XP_048629462.1, XP_013674823.1, XP_013674864.2
OG0000605	Aa_G30560.h1.t1	XP_013710706.1, XP_013652380.2, XP_013674865.1, XP_013674824.1, XP_048603614.1, XP_048629461.1
OG0000606	Aa_G238980.h1.t1	XP_013678623.1, XP_013648550.1
OG0000606	Aa_G255990.h1.t1	XP_048630985.1, XP_013742775.1, XP_013721390.1, XP_013701935.2, XP_048606511.1
OG0000607	Aa_G108090.h1.t1	XP_022569674.1, XP_022543058.2, XP_048609138.1, XP_022572172.1
OG0000607	Aa_G81750.h1.t1	XP_022548655.2, XP_013736846.2, XP_048607115.1
OG0000607	Aa_G616710.h1.t1	XP_022572770.2, XP_048619299.1
OG0000608	Aa_G317350.h1.t1	XP_048631958.1, XP_013732042.1
OG0000608	Aa_G317320.h1.t1	XP_022573724.1
OG0000609	Aa_G536890.h1.t1	XP_022571307.2, XP_022571308.2, XP_013720447.1, XP_048633747.1
OG0000612	Aa_G114910.h1.t1	XP_013672274.1, XP_013748812.2, XP_013744965.2, XP_013687834.1, XP_048609614.1, XP_013747801.2, XP_013683751.1, XP_013734456.2
OG0000613	Aa_G42470.h1.t1	XP_022570658.2, XP_013740867.2
OG0000613	Aa_G231680.h1.t1	XP_013675024.2, XP_048604493.1
OG0000614	Aa_G521480.h1.t1	XP_048607832.1, XP_022566651.1
