Orthogroup	Arabis_alpina	Cardamine_amara
OG0003612	Aa_G340030.h1.t1	evm.model.RL_2.1400
OG0003613	Aa_G363160.h1.t1, Aa_G40960.h1.t1, Aa_G66270.h1.t1	evm.model.RL_4.1113
OG0003614	Aa_G130700.h1.t1	evm.model.RL_5.3103
OG0003614	Aa_G245110.h1.t1	evm.model.RL_5.3095
OG0003617	Aa_G390470.h1.t1	evm.model.RL_8.809
OG0003618	Aa_G14270.h1.t1	evm.model.RL_5.3650, evm.model.RL_7.1061.2.687c84b7, evm.model.RL_5.3986
OG0003619	Aa_G136950.h1.t1	evm.model.RL_1.989
OG0003620	Aa_G123870.h1.t1, Aa_G123860.h1.t1	evm.model.RL_4.397
OG0003621	Aa_G123730.h1.t1	evm.model.RL_4.383.1.687c9994
OG0003623	Aa_G70320.h1.t1	evm.model.RL_4.1848, evm.model.RL_3.315
OG0003624	Aa_G162860.h1.t1	evm.model.RL_4.47
OG0003625	Aa_G226130.h1.t1	evm.model.RL_6.2890
OG0003626	Aa_G453060.h1.t1	evm.model.RL_6.2865
OG0003626	Aa_G2610.h1.t1	evm.model.RL_7.138
OG0003628	Aa_G103320.h1.t1	evm.model.RL_7.349
OG0003629	Aa_G218610.h1.t1	evm.model.RL_1.2956
OG0003629	Aa_G479540.h1.t1	evm.model.RL_6.2561
OG0003630	Aa_G360590.h1.t1	evm.model.RL_6.2519
OG0003631	Aa_G672080.h1.t1	evm.model.RL_4.1564
OG0003632	Aa_G115500.h1.t1	evm.model.RL_5.1313
OG0003633	Aa_G147110.h1.t1	evm.model.RL_8.2780
OG0003634	Aa_G147080.h1.t1	evm.model.RL_8.2783
OG0003635	Aa_G122660.h1.t1	evm.model.RL_7.1245
OG0003636	Aa_G105750.h1.t1	evm.model.RL_5.13
OG0003637	Aa_G6750.h1.t1	evm.model.RL_5.141
OG0003638	Aa_G358070.h1.t1	evm.model.RL_5.174
OG0003638	Aa_G188860.h1.t1	evm.model.RL_8.307
OG0003639	Aa_G495980.h1.t1	evm.model.RL_6.529
OG0003640	Aa_G451760.h1.t1	evm.model.RL_1.59
OG0003640	Aa_G524200.h1.t1	evm.model.RL_4.2173
OG0003641	Aa_G643720.h1.t1	evm.model.RL_1.431
OG0003642	Aa_G133720.h1.t1	evm.model.RL_1.479
OG0003643	Aa_G586040.h1.t1	evm.model.RL_6.2087
OG0003644	Aa_G239040.h1.t1, Aa_G239060.h1.t1	evm.model.RL_3.2487, evm.model.RL_3.2488
OG0003645	Aa_G103860.h1.t1	evm.model.RL_5.1504
OG0003646	Aa_G30430.h1.t1	evm.model.RL_3.1802
OG0003647	Aa_G407830.h1.t1	evm.model.RL_5.1760
OG0003648	Aa_G502390.h1.t1	evm.model.RL_5.3524
OG0003649	Aa_G56020.h1.t1	evm.model.RL_3.1157.3.687c84bb
OG0003651	Aa_G726120.h1.t1	evm.model.RL_5.1170
OG0003652	Aa_G22950.h1.t1	evm.model.RL_5.488
OG0003655	Aa_G162250.h1.t1	evm.model.RL_4.1951
OG0003656	Aa_G56670.h1.t1	evm.model.RL_4.1912
OG0003657	Aa_G40210.h1.t1	evm.model.RL_1.1161
OG0003658	Aa_G727220.h1.t1	evm.model.RL_4.3070
OG0003659	Aa_G583370.h1.t1	evm.model.RL_8.2242
OG0003660	Aa_G93760.h1.t1, Aa_G64140.h1.t1	evm.model.RL_8.1920
OG0003662	Aa_G500660.h1.t1	evm.model.RL_7.1702
OG0003663	Aa_G622060.h1.t1	evm.model.RL_3.1353
OG0003663	Aa_G559810.h1.t1	evm.model.RL_5.3325
OG0003664	Aa_G549050.h1.t1, Aa_G549060.h1.t1	evm.model.RL_6.104, evm.model.RL_8.2158
OG0003665	Aa_G324120.h1.t1	evm.model.RL_3.1625
OG0003666	Aa_G410350.h1.t1	evm.model.RL_5.2026, evm.model.RL_3.2429
OG0003667	Aa_G290170.h1.t1, Aa_G290160.h1.t1	evm.model.RL_1.1211, evm.model.RL_1.1212
OG0003668	Aa_G534970.h1.t1	evm.model.RL_1.1270
OG0003669	Aa_G346400.h1.t1, Aa_G184660.h1.t1	evm.model.RL_5.3893
OG0003670	Aa_G458840.h1.t1, Aa_G713570.h1.t1	evm.model.RL_1.1334, evm.model.RL_1.1335
OG0003671	Aa_G234900.h1.t1, Aa_G443940.h1.t1	evm.model.RL_1.1455
OG0003672	Aa_G56930.h1.t1	evm.model.RL_1.1630
OG0003673	Aa_G26910.h1.t1	evm.model.RL_1.2333
OG0003674	Aa_G10.h1.t1	evm.model.RL_1.2445
OG0003675	Aa_G286040.h1.t1	evm.model.RL_5.655
OG0003675	Aa_G242660.h1.t1	evm.model.RL_8.1709
OG0003676	Aa_G78910.h1.t1	evm.model.RL_1.2692
OG0003677	Aa_G173510.h1.t1	evm.model.RL_5.3747
OG0003678	Aa_G531180.h1.t1, Aa_G254110.h1.t1	evm.model.RL_1.1988
OG0003679	Aa_G24540.h1.t1, Aa_G114540.h1.t1	evm.model.RL_7.1155
OG0003680	Aa_G700450.h1.t1, Aa_G311930.h1.t1	evm.model.RL_7.1146
OG0003681	Aa_G394530.h1.t1	evm.model.RL_7.1018
OG0003681	Aa_G304520.h1.t1	evm.model.RL_6.1832
OG0003682	Aa_G287190.h1.t1	evm.model.RL_7.730, evm.model.RL_8.940, evm.model.RL_8.955, evm.model.RL_8.932, evm.model.RL_8.957, evm.model.RL_8.949, evm.model.RL_8.959, evm.model.RL_8.930, evm.model.RL_8.947, evm.model.RL_8.938, evm.model.RL_8.945
OG0003683	Aa_G141200.h1.t1	evm.model.RL_7.1192, evm.model.RL_7.1191
OG0003686	Aa_G447450.h1.t1	evm.model.RL_3.2102
OG0003695	Aa_G44520.h1.t1	evm.model.RL_2.2757, evm.model.RL_2.2349
OG0003696	Aa_G461030.h1.t1	evm.model.RL_2.2534
OG0003697	Aa_G909550.h1.t1	evm.model.RL_2.2936.2.687c86e7
OG0003698	Aa_G84890.h1.t1	evm.model.RL_2.3014
OG0003698	Aa_G84860.h1.t1	evm.model.RL_2.3012
OG0003699	Aa_G357540.h1.t1	evm.model.RL_5.2532
OG0003700	Aa_G49350.h1.t1	evm.model.RL_2.1205
OG0003701	Aa_G448960.h1.t1	evm.model.RL_7.2617
OG0003701	Aa_G186490.h1.t1	evm.model.RL_7.2616
OG0003703	Aa_G454570.h1.t1	evm.model.RL_2.418
OG0003704	Aa_G473810.h1.t1	evm.model.RL_3.234
OG0003705	Aa_G144150.h1.t1	evm.model.RL_6.2216
OG0003707	Aa_G73990.h1.t1	evm.model.RL_8.1119
OG0003708	Aa_G679170.h1.t1	evm.model.RL_8.1647
OG0003709	Aa_G208760.h1.t1	evm.model.RL_8.2877, evm.model.RL_8.1741
OG0003710	Aa_G19570.h1.t1	evm.model.RL_4.2293
OG0003712	Aa_G123850.h1.t1	evm.model.RL_4.396.2.687c86ce
OG0003712	Aa_G221300.h1.t1	evm.model.RL_2.1572
OG0003713	Aa_G103170.h1.t1	evm.model.RL_4.430
OG0003714	Aa_G419770.h1.t1	evm.model.RL_2.1740
OG0003715	Aa_G92770.h1.t1	evm.model.RL_2.1851
OG0003715	Aa_G39310.h1.t1	evm.model.RL_8.639
OG0003716	Aa_G728380.h1.t1, Aa_G608280.h1.t1	evm.model.RL_7.707, evm.model.RL_7.708
OG0003717	Aa_G78430.h1.t1	evm.model.RL_8.98
OG0003718	Aa_G601360.h1.t1	evm.model.RL_1.2716
OG0003719	Aa_G260830.h1.t1	evm.model.RL_4.3250
OG0003720	Aa_G18820.h1.t1	evm.model.RL_4.1849, evm.model.RL_5.1099, evm.model.RL_4.3327
OG0003721	Aa_G39370.h1.t1, Aa_G39380.h1.t1, Aa_G39360.h1.t1	evm.model.RL_8.643
OG0003723	Aa_G87450.h1.t1	evm.model.RL_1.2244
OG0003723	Aa_G249230.h1.t1	evm.model.RL_2.948
OG0003724	Aa_G388580.h1.t1	evm.model.RL_1.2066
OG0003724	Aa_G448620.h1.t1	evm.model.RL_2.1092
OG0003725	Aa_G151380.h1.t1	evm.model.RL_8.1293
OG0003726	Aa_G191160.h1.t1, Aa_G226200.h1.t1	evm.model.RL_6.2896
OG0003727	Aa_G16790.h1.t1	evm.model.RL_6.2761
OG0003728	Aa_G360600.h1.t1, Aa_G360620.h1.t1, Aa_G360610.h1.t1	evm.model.RL_6.2518
OG0003729	Aa_G360630.h1.t1	evm.model.RL_6.2516
OG0003730	Aa_G221020.h1.t1	evm.model.RL_7.555
OG0003731	Aa_G456280.h1.t1	evm.model.RL_5.1997.3.687c88b8, evm.model.RL_4.3217
OG0003732	Aa_G28130.h1.t1, Aa_G28120.h1.t1	evm.model.RL_8.2031
OG0003733	Aa_G203730.h1.t1	evm.model.RL_4.505, evm.model.RL_5.276
OG0003734	Aa_G359980.h1.t1	evm.model.RL_4.526, evm.model.RL_4.522_evm.model.RL_4.519.2.687c9995
OG0003735	Aa_G520330.h1.t1	evm.model.RL_4.541
OG0003736	Aa_G257870.h1.t1	evm.model.RL_6.1361
OG0003738	Aa_G460440.h1.t1	evm.model.RL_6.1264
OG0003739	Aa_G343070.h1.t1	evm.model.RL_6.1227
OG0003740	Aa_G555110.h1.t1	evm.model.RL_6.1188
OG0003740	Aa_G22870.h1.t1	evm.model.RL_5.495
OG0003741	Aa_G144590.h1.t1	evm.model.RL_6.861
OG0003742	Aa_G3130.h1.t1	evm.model.RL_6.1346, evm.model.RL_6.743
OG0003743	Aa_G71730.h1.t1, Aa_G431450.h1.t1	evm.model.RL_1.122
OG0003746	Aa_G83700.h1.t1	evm.model.RL_4.1756
OG0003747	Aa_G78690.h2.t1, Aa_G78690.h1.t1	evm.model.RL_1.666
OG0003748	Aa_G174110.h1.t1, Aa_G570100.h2.t1, Aa_G570100.h1.t1	evm.model.RL_1.733
OG0003749	Aa_G302020.h1.t1	evm.model.RL_1.757
OG0003751	Aa_G211760.h1.t1	evm.model.RL_5.74, evm.model.RL_5.1941, evm.model.RL_5.190
OG0003754	Aa_G281100.h1.t1	evm.model.RL_5.3367
OG0003755	Aa_G284650.h1.t1, Aa_G579780.h1.t1, Aa_G579770.h1.t1	evm.model.RL_5.3308
OG0003756	Aa_G320650.h1.t1, Aa_G320660.h1.t1	evm.model.RL_2.1950
OG0003758	Aa_G407230.h1.t1	evm.model.RL_6.141
OG0003759	Aa_G676330.h1.t1	evm.model.RL_5.1221
OG0003759	Aa_G606460.h1.t1	evm.model.RL_5.1327
OG0003761	Aa_G235520.h1.t1	evm.model.RL_5.387
OG0003763	Aa_G400420.h1.t1	evm.model.RL_5.267
OG0003764	Aa_G325220.h1.t1	evm.model.RL_5.41
OG0003764	Aa_G67850.h1.t1	evm.model.RL_8.132
OG0003765	Aa_G356650.h1.t1	evm.model.RL_4.2051, evm.model.RL_5.1655
OG0003766	Aa_G379090.h1.t1	evm.model.RL_4.2038
OG0003767	Aa_G637260.h1.t1	evm.model.RL_4.1384
OG0003768	Aa_G406290.h1.t1	evm.model.RL_8.2370
OG0003769	Aa_G344240.h1.t1, Aa_G344250.h1.t1, Aa_G209530.h1.t1	evm.model.RL_8.1903
OG0003771	Aa_G93980.h1.t1	evm.model.RL_8.1939
OG0003772	Aa_G214560.h1.t1	evm.model.RL_2.2893, evm.model.RL_7.1902
OG0003773	Aa_G278680.h1.t1	evm.model.RL_3.1307
OG0003776	Aa_G457910.h1.t1	evm.model.RL_5.1535
OG0003777	Aa_G293180.h1.t1, Aa_G293180.h2.t1, Aa_G797250.h1.t1, Aa_G800460.h1.t1	evm.model.RL_3.2303
OG0003778	Aa_G164670.h1.t1, Aa_G740060.h1.t1	evm.model.RL_1.1891
OG0003779	Aa_G250530.h1.t1	evm.model.RL_1.1966
OG0003781	Aa_G616930.h1.t1, Aa_G671840.h1.t1	evm.model.RL_1.2305
OG0003782	Aa_G211300.h1.t1	evm.model.RL_1.2505
OG0003783	Aa_G455170.h2.t1, Aa_G455170.h1.t1	evm.model.RL_3.22.1.687c84b9
OG0003783	Aa_G579500.h1.t1	evm.model.RL_1.2543
OG0003785	Aa_G193300.h1.t1	evm.model.RL_5.3925
OG0003786	Aa_G166350.h1.t1	evm.model.RL_5.1897
OG0003787	Aa_G963130.h1.t1, Aa_G963130.h2.t1	evm.model.RL_5.2054, evm.model.RL_5.2053
OG0003788	Aa_G265950.h1.t1	evm.model.RL_7.977
OG0003789	Aa_G650990.h1.t1	evm.model.RL_7.869, evm.model.RL_8.328, evm.model.RL_3.104, evm.model.RL_7.870
OG0003790	Aa_G467670.h1.t1, Aa_G467650.h1.t1, Aa_G467630.h1.t1	evm.model.RL_7.746
OG0003791	Aa_G174980.h1.t1	evm.model.RL_7.699
OG0003791	Aa_G144260.h1.t1, Aa_G544540.h1.t1	evm.model.RL_6.2222
OG0003792	Aa_G513060.h1.t1, Aa_G513070.h1.t1	evm.model.RL_7.666, evm.model.RL_7.1001
OG0003794	Aa_G396670.h1.t1	evm.model.RL_6.746, evm.model.RL_5.3758
OG0003795	Aa_G311520.h1.t1	evm.model.RL_6.159, evm.model.RL_6.160
OG0003799	Aa_G193440.h1.t1	evm.model.RL_3.1262
OG0003799	Aa_G283440.h1.t1	evm.model.RL_5.3252
OG0003801	Aa_G43550.h1.t1	evm.model.RL_8.2796
OG0003802	Aa_G315900.h1.t1	evm.model.RL_8.2293
OG0003803	Aa_G73370.h1.t1	evm.model.RL_4.2973
OG0003805	Aa_G447940.h1.t1, Aa_G79160.h1.t1	evm.model.RL_4.1972
OG0003807	Aa_G693340.h1.t1	evm.model.RL_8.2156
OG0003810	Aa_G102510.h1.t1	evm.model.RL_7.1462
OG0003823	Aa_G4810.h1.t1, Aa_G4790.h1.t1, Aa_G512420.h1.t1	evm.model.RL_2.2336
OG0003824	Aa_G241480.h1.t1, Aa_G241460.h1.t1	evm.model.RL_2.2672
OG0003827	Aa_G483280.h1.t1	evm.model.RL_2.2990
OG0003827	Aa_G543460.h1.t1	evm.model.RL_1.2823
OG0003828	Aa_G299270.h1.t1	evm.model.RL_5.2813
OG0003829	Aa_G434810.h1.t1	evm.model.RL_5.2790
OG0003830	Aa_G62100.h1.t1	evm.model.RL_3.764
OG0003831	Aa_G671210.h1.t1	evm.model.RL_5.858
OG0003832	Aa_G278080.h1.t1	evm.model.RL_8.1197, evm.model.RL_7.2690
OG0003833	Aa_G257690.h4.t1, Aa_G257690.h1.t1, Aa_G257690.h3.t1, Aa_G257690.h2.t1, Aa_G737950.h3.t1, Aa_G737950.h1.t1, Aa_G737950.h4.t1, Aa_G737950.h2.t1, Aa_G645460.h1.t1	evm.model.RL_6.1135
OG0003834	Aa_G488500.h1.t1	evm.model.RL_3.29
OG0003835	Aa_G10840.h1.t1	evm.model.RL_5.1109
OG0003835	Aa_G487450.h1.t1	evm.model.RL_3.197
OG0003836	Aa_G403690.h1.t1	evm.model.RL_1.840
OG0003838	Aa_G84130.h1.t1	evm.model.RL_8.1237_evm.model.RL_8.1239.2.687c97bf
OG0003839	Aa_G54520.h1.t1	evm.model.RL_8.1525
OG0003840	Aa_G48450.h1.t1	evm.model.RL_8.1639
OG0003841	Aa_G242690.h1.t1	evm.model.RL_8.1711
OG0003842	Aa_G155150.h1.t1	evm.model.RL_4.2327
OG0003843	Aa_G116870.h1.t1	evm.model.RL_4.2437
OG0003844	Aa_G58290.h1.t1, Aa_G155400.h1.t1	evm.model.RL_4.203
OG0003845	Aa_G507690.h1.t1	evm.model.RL_2.1431.2.687c86e3
OG0003846	Aa_G222130.h1.t1	evm.model.RL_2.1882
OG0003847	Aa_G417370.h1.t1	evm.model.RL_2.1883
OG0003848	Aa_G645960.h1.t1	evm.model.RL_5.2603
OG0003849	Aa_G57210.h1.t1	evm.model.RL_5.2573.6.687c88bc
OG0003850	Aa_G171120.h1.t1	evm.model.RL_5.2271, evm.model.RL_5.2273
OG0003851	Aa_G657770.h1.t1	evm.model.RL_5.2915
OG0003852	Aa_G514720.h1.t1	evm.model.RL_2.3115.1.687c86e8
OG0003853	Aa_G153250.h1.t1	evm.model.RL_2.3270_evm.model.RL_2.3271
OG0003854	Aa_G505920.h1.t1	evm.model.RL_2.440
OG0003855	Aa_G82600.h1.t1	evm.model.RL_5.2325
OG0003857	Aa_G63590.h1.t1	evm.model.RL_4.696
OG0003858	Aa_G63600.h1.t1	evm.model.RL_4.698, evm.model.RL_5.2017
OG0003859	Aa_G352500.h1.t1	evm.model.RL_8.614
OG0003860	Aa_G467110.h1.t1	evm.model.RL_6.2720
OG0003861	Aa_G118090.h1.t1	evm.model.RL_4.284.3.687c86cd
OG0003862	Aa_G58270.h1.t1	evm.model.RL_4.205.1.687c86cd, evm.model.RL_2.1393.1.687c99f6
OG0003863	Aa_G63390.h1.t1	evm.model.RL_4.19, evm.model.RL_4.22
OG0003864	Aa_G236600.h1.t1	evm.model.RL_7.88
OG0003865	Aa_G332660.h1.t1	evm.model.RL_6.2806
OG0003866	Aa_G289650.h1.t1	evm.model.RL_6.2664
OG0003867	Aa_G206190.h1.t1, Aa_G206220.h1.t1	evm.model.RL_4.3363, evm.model.RL_4.3367
OG0003868	Aa_G127210.h1.t1	evm.model.RL_8.2137
OG0003869	Aa_G337310.h1.t1, Aa_G337320.h1.t1	evm.model.RL_8.2119
OG0003871	Aa_G699370.h1.t1	evm.model.RL_8.2077, evm.model.RL_3.1947
OG0003872	Aa_G425550.h1.t1	evm.model.RL_8.83
OG0003873	Aa_G347340.h1.t1, Aa_G563070.h1.t1, Aa_G347360.h1.t1, Aa_G563080.h1.t1	evm.model.RL_8.211
OG0003874	Aa_G188780.h1.t1	evm.model.RL_8.297
OG0003875	Aa_G400370.h1.t1	evm.model.RL_5.263
OG0003875	Aa_G303920.h1.t1	evm.model.RL_5.707, evm.model.RL_5.776
OG0003876	Aa_G640490.h1.t1	evm.model.RL_6.2015, evm.model.RL_6.1254
OG0003877	Aa_G316630.h1.t1	evm.model.RL_2.2236
OG0003878	Aa_G47770.h1.t1	evm.model.RL_1.569
OG0003879	Aa_G174780.h1.t1	evm.model.RL_1.670
OG0003880	Aa_G657200.h1.t1	evm.model.RL_2.137
OG0003882	Aa_G55200.h1.t1	evm.model.RL_5.1652.1.687c88b6
OG0003883	Aa_G583610.h1.t1	evm.model.RL_5.1630
OG0003884	Aa_G579790.h1.t1	evm.model.RL_5.3309
OG0003885	Aa_G313100.h1.t1	evm.model.RL_8.1172
OG0003886	Aa_G436990.h1.t1, Aa_G436990.h3.t1, Aa_G436990.h2.t1	evm.model.RL_2.2604
OG0003887	Aa_G284050.h1.t1	evm.model.RL_5.1223, evm.model.RL_5.1337
OG0003889	Aa_G19360.h1.t1	evm.model.RL_5.752
OG0003890	Aa_G167470.h1.t1, Aa_G140060.h1.t1	evm.model.RL_6.1236
OG0003893	Aa_G410980.h1.t1	evm.model.RL_4.1824
OG0003894	Aa_G146290.h1.t1	evm.model.RL_4.1041
OG0003896	Aa_G196470.h1.t1	evm.model.RL_4.928
OG0003897	Aa_G195230.h1.t1	evm.model.RL_4.2945
OG0003898	Aa_G303930.h1.t1	evm.model.RL_8.2460, evm.model.RL_4.3035
OG0003899	Aa_G539310.h1.t1, Aa_G539280.h1.t1	evm.model.RL_4.1174.1.687c86d2, evm.model.RL_4.1173.1.687c86d2
OG0003900	Aa_G81300.h1.t1	evm.model.RL_8.2661
OG0003900	Aa_G225290.h1.t1	evm.model.RL_7.1429
OG0003901	Aa_G377230.h1.t1	evm.model.RL_7.1599, evm.model.RL_3.888
OG0003902	Aa_G246280.h1.t1	evm.model.RL_8.1966
OG0003903	Aa_G423700.h1.t1, Aa_G450630.h1.t1	evm.model.RL_2.3374
OG0003904	Aa_G111050.h1.t1	evm.model.RL_3.2062
OG0003905	Aa_G111150.h1.t1	evm.model.RL_3.2054
OG0003907	Aa_G281670.h1.t1	evm.model.RL_3.2002, evm.model.RL_3.2003
OG0003908	Aa_G370260.h1.t1	evm.model.RL_3.2293
OG0003909	Aa_G145320.h1.t1, Aa_G145330.h1.t1, Aa_G145310.h1.t1	evm.model.RL_3.2342
OG0003912	Aa_G381950.h1.t1	evm.model.RL_5.3773
OG0003913	Aa_G32150.h1.t1	evm.model.RL_1.1498
OG0003914	Aa_G241870.h1.t1	evm.model.RL_1.1533
OG0003915	Aa_G108070.h1.t1	evm.model.RL_1.1812
OG0003916	Aa_G164610.h1.t1	evm.model.RL_1.1885
OG0003917	Aa_G152550.h1.t1	evm.model.RL_1.1938, evm.model.RL_1.1937, evm.model.RL_7.2302
OG0003918	Aa_G138510.h1.t1	evm.model.RL_1.1982
OG0003919	Aa_G399600.h1.t1	evm.model.RL_1.2102
OG0003920	Aa_G413630.h1.t1	evm.model.RL_1.2180
OG0003921	Aa_G143460.h1.t1	evm.model.RL_1.3129
OG0003922	Aa_G74180.h1.t1, Aa_G74170.h1.t1	evm.model.RL_5.3800
OG0003923	Aa_G418790.h1.t1	evm.model.RL_5.2215
OG0003924	Aa_G236080.h1.t1	evm.model.RL_7.1208, evm.model.RL_7.1212
OG0003925	Aa_G719750.h1.t1	evm.model.RL_7.851, evm.model.RL_7.839
OG0003926	Aa_G57920.h1.t1	evm.model.RL_7.258
OG0003926	Aa_G15840.h1.t1	evm.model.RL_6.2722
OG0003930	Aa_G105710.h1.t1	evm.model.RL_5.3461
OG0003935	Aa_G644070.h1.t1	evm.model.RL_4.2827
OG0003937	Aa_G383120.h1.t1, Aa_G383140.h1.t1, Aa_G383160.h1.t1, Aa_G383170.h1.t1, Aa_G383130.h1.t1	evm.model.RL_8.2722
OG0003938	Aa_G615750.h1.t1, Aa_G367320.h1.t1	evm.model.RL_5.3451, evm.model.RL_1.3075, evm.model.RL_5.3410, evm.model.RL_5.3408
OG0003941	Aa_G729640.h1.t1	evm.model.RL_1.2749
OG0003948	Aa_G582400.h1.t1	evm.model.RL_2.2518
OG0003951	Aa_G49530.h1.t1	evm.model.RL_2.1187
OG0003952	Aa_G229990.h1.t1, Aa_G193020.h1.t1	evm.model.RL_5.139, evm.model.RL_3.710
OG0003954	Aa_G186450.h1.t1	evm.model.RL_7.2611
OG0003955	Aa_G146380.h1.t1, Aa_G146370.h1.t1	evm.model.RL_7.2561
OG0003956	Aa_G381010.h1.t1	evm.model.RL_6.2772
OG0003957	Aa_G27450.h1.t1	evm.model.RL_7.2262
OG0003958	Aa_G30840.h1.t1	evm.model.RL_3.994
OG0003959	Aa_G281250.h1.t1	evm.model.RL_6.2198
OG0003960	Aa_G73280.h1.t1	evm.model.RL_4.3074
OG0003961	Aa_G136800.h1.t1	evm.model.RL_1.1005
OG0003961	Aa_G170560.h1.t1	evm.model.RL_4.3009
OG0003962	Aa_G285130.h1.t1	evm.model.RL_1.1048
OG0003963	Aa_G316620.h1.t1, Aa_G107450.h1.t1	evm.model.RL_3.158
OG0003965	Aa_G124280.h1.t1	evm.model.RL_8.1188
OG0003966	Aa_G116570.h1.t1	evm.model.RL_8.1374, evm.model.RL_2.2311
OG0003967	Aa_G256600.h1.t1	evm.model.RL_4.2365
OG0003968	Aa_G539390.h1.t1	evm.model.RL_4.1166.2.687c86d2
OG0003968	Aa_G267470.h1.t1	evm.model.RL_4.2427
OG0003969	Aa_G116810.h1.t1	evm.model.RL_4.2443
OG0003972	Aa_G419530.h1.t1	evm.model.RL_1.936
OG0003972	Aa_G471520.h1.t1	evm.model.RL_4.2784.2.687c86db
OG0003973	Aa_G352380.h1.t1	evm.model.RL_4.76.2.687c86cc
OG0003974	Aa_G153550.h1.t1	evm.model.RL_7.1122
OG0003975	Aa_G580370.h1.t1	evm.model.RL_2.1598
OG0003976	Aa_G475370.h1.t1	evm.model.RL_2.1804
OG0003977	Aa_G211590.h1.t1	evm.model.RL_7.1081
OG0003978	Aa_G456670.h1.t1, Aa_G425240.h1.t1	evm.model.RL_5.3023
OG0003979	Aa_G302530.h1.t1, Aa_G302540.h1.t1, Aa_G302520.h1.t1	evm.model.RL_5.2611
OG0003980	Aa_G467480.h1.t1	evm.model.RL_2.3172
OG0003981	Aa_G681550.h1.t1	evm.model.RL_2.3179
OG0003982	Aa_G153310.h1.t1	evm.model.RL_2.3263
OG0003983	Aa_G161390.h1.t1	evm.model.RL_6.149
OG0003985	Aa_G954650.h1.t1, Aa_G895350.h1.t1	evm.model.RL_1.2920, evm.model.RL_8.456
OG0003986	Aa_G176690.h1.t1, Aa_G176730.h1.t1	evm.model.RL_4.263
OG0003987	Aa_G76740.h1.t1	evm.model.RL_2.793
OG0003988	Aa_G54980.h1.t1	evm.model.RL_2.958
OG0003989	Aa_G720130.h2.t1, Aa_G720130.h1.t1	evm.model.RL_2.1091
OG0003990	Aa_G298340.h1.t1	evm.model.RL_7.716, evm.model.RL_2.103
OG0003991	Aa_G2560.h1.t1	evm.model.RL_7.142
OG0003991	Aa_G593420.h1.t1	evm.model.RL_6.2853
OG0003992	Aa_G177870.h1.t1	evm.model.RL_6.2829
OG0003993	Aa_G81110.h1.t1	evm.model.RL_7.234
OG0003994	Aa_G372890.h1.t1	evm.model.RL_5.3330, evm.model.RL_3.1365, evm.model.RL_3.1367
OG0003995	Aa_G595250.h1.t1	evm.model.RL_6.2531
OG0003996	Aa_G445420.h1.t1	evm.model.RL_6.2502
OG0003998	Aa_G85230.h1.t1	evm.model.RL_4.3306
OG0003999	Aa_G338710.h1.t1	evm.model.RL_1.944
OG0004000	Aa_G231410.h1.t1, Aa_G456950.h1.t1	evm.model.RL_8.2105
OG0004001	Aa_G28040.h1.t1, Aa_G28000.h1.t1, Aa_G27980.h1.t1	evm.model.RL_8.2020
OG0004002	Aa_G75090.h1.t1	evm.model.RL_8.2420
OG0004003	Aa_G80140.h1.t1	evm.model.RL_6.838
OG0004004	Aa_G53370.h1.t1	evm.model.RL_8.116
OG0004006	Aa_G63210.h1.t1	evm.model.RL_6.845
OG0004007	Aa_G4400.h1.t1	evm.model.RL_1.388
OG0004007	Aa_G4390.h1.t1	evm.model.RL_1.387
OG0004008	Aa_G4830.h1.t1	evm.model.RL_1.426_evm.model.RL_1.427.1.687c9a63
OG0004009	Aa_G57590.h1.t1	evm.model.RL_5.2197
OG0004010	Aa_G258570.h1.t1	evm.model.RL_1.742
OG0004011	Aa_G287290.h1.t1	evm.model.RL_7.760
OG0004012	Aa_G38320.h1.t1	evm.model.RL_6.2107
OG0004013	Aa_G386980.h1.t1	evm.model.RL_7.780, evm.model.RL_7.2003
OG0004014	Aa_G226600.h1.t1	evm.model.RL_5.2405
OG0004015	Aa_G202490.h1.t1	evm.model.RL_6.2033
OG0004016	Aa_G357490.h1.t1	evm.model.RL_6.2054
OG0004018	Aa_G195910.h1.t1	evm.model.RL_4.2588
OG0004023	Aa_G406350.h1.t1, Aa_G410410.h1.t1	evm.model.RL_5.1402
OG0004023	Aa_G536360.h1.t1	evm.model.RL_4.66
OG0004024	Aa_G65470.h1.t1, Aa_G226610.h1.t1	evm.model.RL_2.890, evm.model.RL_2.887, evm.model.RL_2.889, evm.model.RL_6.1160, evm.model.RL_2.888, evm.model.RL_5.1491, evm.model.RL_5.1486
OG0004025	Aa_G68630.h1.t1	evm.model.RL_5.3441
OG0004027	Aa_G90850.h1.t1	evm.model.RL_2.2037, evm.model.RL_8.1246
OG0004028	Aa_G29730.h1.t1	evm.model.RL_2.2070
OG0004028	Aa_G566610.h1.t1	evm.model.RL_8.1324
OG0004029	Aa_G513840.h1.t1, Aa_G82410.h1.t1	evm.model.RL_8.1456, evm.model.RL_8.1455
OG0004030	Aa_G309990.h1.t1	evm.model.RL_6.337
OG0004031	Aa_G24530.h1.t1	evm.model.RL_6.1672
OG0004032	Aa_G36460.h1.t1	evm.model.RL_6.8, evm.model.RL_4.82
OG0004033	Aa_G193760.h1.t1	evm.model.RL_5.1086
OG0004035	Aa_G638130.h1.t1	evm.model.RL_5.632
