Orthogroup	Arabis_alpina	Aethionema_saxatile
OG0001587	Aa_G552150.h1.t1, Aa_G552140.h1.t1, Aa_G264060.h1.t1	As005G113630, As005G113750, As005G113720
OG0001588	Aa_G578540.h1.t1	As010G223930
OG0001589	Aa_G75130.h1.t1	As005G116400
OG0001589	Aa_G168330.h1.t1	As010G222490
OG0001590	Aa_G306810.h1.t1	As012G281820
OG0001590	Aa_G500350.h1.t1	As006G143440, As005G118810
OG0001591	Aa_G6840.h1.t1, Aa_G354880.h1.t1	As006G123270
OG0001592	Aa_G135150.h1.t1	As008G197260
OG0001593	Aa_G208610.h1.t1	As006G125280
OG0001593	Aa_G38780.h1.t1	As008G196140
OG0001596	Aa_G144970.h1.t1	As009G204010
OG0001596	Aa_G185520.h1.t1	As006G137150
OG0001597	Aa_G40910.h1.t1, Aa_G648160.h1.t1	As009G205500, As006G139340
OG0001598	Aa_G47700.h1.t1	As006G139870
OG0001598	Aa_G726480.h1.t1	As009G204700
OG0001599	Aa_G174350.h1.t1	As006G141340, As006G141350
OG0001600	Aa_G395690.h1.t1, Aa_G11740.h1.t1	As006G145110
OG0001601	Aa_G80290.h1.t1	As007G154270
OG0001601	Aa_G341860.h1.t1	As010G240560
OG0001602	Aa_G453460.h1.t1, Aa_G104340.h1.t1	As007G157510
OG0001603	Aa_G437990.h1.t1	As010G233600
OG0001603	Aa_G437980.h1.t1	As007G159420
OG0001604	Aa_G17690.h1.t1, Aa_G62490.h1.t1	As007G159450
OG0001605	Aa_G62460.h1.t1	As007G159480
OG0001605	Aa_G17630.h1.t1	As010G233470
OG0001606	Aa_G499190.h1.t1	As007G179370
OG0001606	Aa_G499180.h1.t1	As007G179310, As007G179300, As007G179340, As007G179380
OG0001607	Aa_G319730.h1.t1, Aa_G274800.h1.t1	As008G184640
OG0001608	Aa_G89300.h1.t1	As008G186120, As008G186140
OG0001609	Aa_G120320.h1.t1	As009G204900
OG0001609	Aa_G135130.h1.t1	As008G197240
OG0001610	Aa_G331830.h1.t1	As009G214300
OG0001611	Aa_G348800.h1.t1	As010G238260
OG0001612	Aa_G175960.h1.t1	As011G245190
OG0001613	Aa_G443920.h1.t1	As011G247430
OG0001614	Aa_G582100.h1.t1	As012G271870
OG0001615	Aa_G92460.h1.t1	As011G261220
OG0001616	Aa_G650580.h1.t1, Aa_G426390.h1.t1	As011G264510
OG0001617	Aa_G143510.h1.t1, Aa_G104110.h1.t1	As011G266230
OG0001618	Aa_G205600.h1.t1	As012G267820
OG0001619	Aa_G395700.h1.t1, Aa_G11750.h1.t1	As012G276530
OG0001642	Aa_G269040.h1.t1	As011G262450
OG0001642	Aa_G614960.h1.t1	As001G012500
OG0001643	Aa_G323530.h1.t1	As011G263530
OG0001643	Aa_G775730.h1.t1	As001G014740
OG0001644	Aa_G318330.h1.t1	As001G021040
OG0001644	Aa_G479250.h1.t1	As008G186840
OG0001645	Aa_G408160.h1.t1	As001G024450
OG0001646	Aa_G276810.h1.t1	As001G025330
OG0001646	Aa_G26660.h1.t1	As008G184320
OG0001647	Aa_G229820.h1.t1	As005G112760
OG0001647	Aa_G508060.h1.t1	As001G026040
OG0001648	Aa_G413260.h1.t1	As004G097600
OG0001648	Aa_G263290.h1.t1	As001G026180
OG0001649	Aa_G756290.h1.t1	As004G078610
OG0001649	Aa_G635220.h1.t1	As001G027380
OG0001650	Aa_G263570.h1.t1	As001G028040
OG0001650	Aa_G443200.h1.t1	As004G078090
OG0001651	Aa_G115120.h1.t1	As002G032930
OG0001651	Aa_G22110.h1.t1	As002G048310
OG0001652	Aa_G101320.h1.t1	As002G034080
OG0001652	Aa_G18650.h1.t1	As005G107010
OG0001653	Aa_G34550.h1.t1	As002G034830
OG0001653	Aa_G12660.h1.t1	As004G080660
OG0001654	Aa_G170110.h1.t1	As005G108360
OG0001654	Aa_G34470.h1.t1	As002G034960
OG0001655	Aa_G170350.h1.t1	As009G213200
OG0001655	Aa_G333260.h1.t1	As002G036620
OG0001656	Aa_G40470.h1.t1, Aa_G218370.h1.t1	As002G039040
OG0001657	Aa_G363790.h1.t1	As006G132670
OG0001657	Aa_G149050.h1.t1	As002G046680
OG0001658	Aa_G442010.h1.t1, Aa_G86600.h1.t1	As002G047020
OG0001659	Aa_G275600.h1.t1, Aa_G275590.h1.t1	As002G055320
OG0001660	Aa_G245310.h1.t1	As003G058550
OG0001660	Aa_G636850.h1.t1	As004G086970
OG0001661	Aa_G35110.h1.t1	As004G084980
OG0001661	Aa_G6220.h1.t1	As003G060770
OG0001662	Aa_G19940.h1.t1	As003G060900
OG0001662	Aa_G225600.h1.t1	As004G084850
OG0001663	Aa_G294820.h1.t1	As003G062880, As004G083340
OG0001663	Aa_G121830.h1.t1	As007G158950
OG0001664	Aa_G423410.h1.t1	As012G275120
OG0001664	Aa_G156130.h1.t1, Aa_G389880.h1.t1	As003G070920
OG0001665	Aa_G138840.h1.t1	As012G274990
OG0001666	Aa_G514770.h1.t1	As003G072130
OG0001666	Aa_G261540.h1.t1	As011G264730
OG0001668	Aa_G153230.h1.t1	As003G073870
OG0001668	Aa_G157390.h1.t1	As007G179790
OG0001669	Aa_G91780.h1.t1	As007G180470
OG0001669	Aa_G557570.h1.t1	As003G074980
OG0001670	Aa_G137850.h1.t1	As003G075970
OG0001670	Aa_G314670.h1.t1	As007G181810
OG0001671	Aa_G717490.h1.t1, Aa_G97550.h1.t1	As004G080500
OG0001672	Aa_G130860.h1.t1	As009G214760
OG0001674	Aa_G250800.h1.t1, Aa_G509790.h1.t1, Aa_G509790.h2.t1	As004G095240
OG0001675	Aa_G177990.h1.t1	As005G100000
OG0001676	Aa_G265170.h1.t1	As005G102620
OG0001677	Aa_G568530.h1.t1	As012G285380
OG0001677	Aa_G125560.h1.t1	As005G104070
OG0001678	Aa_G114260.h1.t1	As012G285040
OG0001678	Aa_G199980.h1.t1	As005G104530
OG0001679	Aa_G433190.h1.t1	As012G284790
OG0001679	Aa_G574090.h1.t1	As005G104840
OG0001681	Aa_G43700.h1.t1	As005G120190
OG0001681	Aa_G113230.h1.t1	As010G220710
OG0001682	Aa_G189100.h1.t1	As006G123800
OG0001682	Aa_G134980.h1.t1	As008G197100
OG0001683	Aa_G400360.h1.t1	As008G196540
OG0001683	Aa_G89660.h1.t1	As006G124600
OG0001684	Aa_G520340.h1.t1	As006G125200
OG0001684	Aa_G38720.h1.t1	As008G196190
OG0001685	Aa_G38750.h1.t1	As008G196160
OG0001685	Aa_G520350.h1.t1	As006G125210
OG0001686	Aa_G208720.h1.t1	As006G125380
OG0001686	Aa_G38820.h1.t1	As008G196070
OG0001687	Aa_G183660.h1.t1	As006G125460
OG0001688	Aa_G751980.h1.t1	As008G193980
OG0001688	Aa_G359470.h1.t1	As006G127480
OG0001689	Aa_G22540.h1.t1	As006G127840
OG0001689	Aa_G359800.h1.t1	As008G193490
OG0001690	Aa_G552370.h1.t1	As006G128090
OG0001690	Aa_G22350.h1.t1	As008G193250
OG0001691	Aa_G441430.h1.t1	As008G193060
OG0001692	Aa_G85630.h2.t1, Aa_G435910.h1.t1, Aa_G85630.h1.t1, Aa_G435910.h2.t1	As006G128520
OG0001693	Aa_G257570.h1.t1	As008G192240
OG0001694	Aa_G162220.h1.t1	As009G202860
OG0001694	Aa_G111780.h1.t1	As006G136060
OG0001695	Aa_G442550.h1.t1	As008G190150
OG0001695	Aa_G4180.h1.t1	As006G137700
OG0001696	Aa_G4840.h1.t1, Aa_G719880.h1.t1	As009G206860, As006G138230
OG0001697	Aa_G47240.h1.t1	As006G140340
OG0001697	Aa_G619020.h1.t1	As009G207580
OG0001698	Aa_G38280.h1.t1	As006G143090
OG0001698	Aa_G386970.h1.t1	As012G282250
OG0001699	Aa_G402300.h1.t1	As012G277290
OG0001699	Aa_G249250.h1.t1	As006G146140
OG0001700	Aa_G80480.h1.t1	As010G242590
OG0001701	Aa_G622560.h1.t1	As007G156550
OG0001701	Aa_G87830.h1.t1	As010G237360
OG0001702	Aa_G215520.h1.t1	As010G236450
OG0001702	Aa_G627000.h1.t1	As007G157320
OG0001703	Aa_G329440.h1.t1	As007G157920
OG0001703	Aa_G129500.h1.t1	As010G235780
OG0001704	Aa_G121890.h1.t1	As007G158980
OG0001704	Aa_G319550.h1.t1	As010G234260
OG0001705	Aa_G62610.h1.t1	As007G159350
OG0001706	Aa_G217940.h1.t1, Aa_G96750.h1.t1	As007G162110
OG0001707	Aa_G809410.h1.t1, Aa_G248960.h1.t1	As008G182520
OG0001708	Aa_G40940.h1.t1, Aa_G205780.h1.t1	As009G205470
OG0001709	Aa_G406240.h1.t1	As009G219330
OG0001711	Aa_G269910.h1.t1, Aa_G317060.h1.t1	As011G248830
OG0001711	Aa_G565080.h1.t1	As012G274730
OG0001712	Aa_G362410.h1.t1	As012G272750
OG0001712	Aa_G382290.h1.t1	As011G251230
OG0001713	Aa_G92590.h1.t1	As012G272600
OG0001713	Aa_G521620.h1.t1	As011G251610
OG0001714	Aa_G250670.h1.t1, Aa_G410590.h1.t1	As011G252860
OG0001715	Aa_G400020.h1.t1, Aa_G26940.h1.t1	As011G256690
OG0001730	Aa_G18370.h1.t1	As001G000160
OG0001731	Aa_G172830.h1.t1	As001G002090
OG0001731	Aa_G172860.h1.t1	As001G002080
OG0001732	Aa_G620360.h1.t1, Aa_G190140.h1.t1	As001G002180
OG0001733	Aa_G432050.h1.t1	As001G002610
OG0001733	Aa_G166810.h1.t1	As007G178980
OG0001734	Aa_G190660.h1.t1	As001G003070
OG0001734	Aa_G750950.h1.t1	As001G003060
OG0001735	Aa_G269030.h1.t1	As011G262440
OG0001735	Aa_G614950.h1.t1	As001G012490
OG0001736	Aa_G548460.h1.t1	As001G015660
OG0001737	Aa_G263980.h1.t1	As004G078750
OG0001737	Aa_G468660.h1.t1	As001G015720
OG0001738	Aa_G52060.h1.t1	As001G016990, As004G079600
OG0001739	Aa_G361980.h1.t1	As001G019330
OG0001739	Aa_G161040.h1.t1	As008G188120
OG0001740	Aa_G46420.h1.t1	As001G019770
OG0001740	Aa_G440230.h1.t1	As008G187740
OG0001741	Aa_G318470.h1.t1	As001G020250
OG0001742	Aa_G86440.h1.t1	As011G257950, As011G257920, As011G257860
OG0001743	Aa_G232670.h1.t1	As001G021590
OG0001743	Aa_G735160.h1.t1	As008G186310
OG0001744	Aa_G298380.h1.t1, Aa_G247890.h1.t1	As001G025880
OG0001745	Aa_G27520.h1.t1, Aa_G266730.h1.t1	As004G097440
OG0001746	Aa_G185360.h1.t1	As004G096870, As001G027100, As001G027120
OG0001747	Aa_G999890.h1.t1, Aa_G999890.h2.t1	As001G027980, As001G027730, As008G195410
OG0001747	Aa_G659810.h1.t1	As007G159990, As007G159980
OG0001748	Aa_G417800.h1.t1	As004G077690
OG0001748	Aa_G63770.h1.t1	As001G028450
OG0001749	Aa_G186160.h1.t1	As001G030640
OG0001749	Aa_G185100.h1.t1	As004G098210
OG0001750	Aa_G603500.h1.t1, Aa_G603490.h1.t1	As004G097820
OG0001750	Aa_G462370.h1.t1	As001G031300
OG0001751	Aa_G102900.h1.t1	As002G037600
OG0001751	Aa_G414680.h1.t1	As009G212190
OG0001753	Aa_G40600.h1.t1	As002G038810
OG0001753	Aa_G640340.h1.t1	As009G211390
OG0001754	Aa_G153070.h1.t1, Aa_G353720.h1.t1	As002G042850
OG0001755	Aa_G29590.h1.t1, Aa_G238060.h1.t1	As007G165920, As002G044370
OG0001756	Aa_G308710.h1.t1	As002G045020
OG0001757	Aa_G641230.h1.t1	As002G047660
OG0001757	Aa_G69790.h1.t1	As006G134330
OG0001758	Aa_G181430.h1.t1, Aa_G155010.h1.t1	As002G050810
OG0001759	Aa_G94940.h1.t1	As002G054860
OG0001760	Aa_G213790.h1.t1	As004G089920
OG0001761	Aa_G207220.h1.t1	As004G088340
OG0001762	Aa_G642130.h1.t1, Aa_G244600.h1.t1	As003G057400
OG0001762	Aa_G176650.h1.t1	As004G088150
OG0001763	Aa_G204130.h1.t1	As003G058120
OG0001764	Aa_G320510.h1.t1	As004G085570
OG0001764	Aa_G371050.h1.t1	As003G060240
OG0001766	Aa_G273610.h1.t1	As004G083700
OG0001766	Aa_G107870.h1.t1	As003G062580
OG0001767	Aa_G344050.h1.t1	As010G234740
OG0001767	Aa_G554680.h1.t1	As003G063410
OG0001768	Aa_G567520.h1.t1, Aa_G48030.h1.t1	As004G081770, As003G068330
OG0001769	Aa_G249570.h1.t1	As011G264820
OG0001770	Aa_G23610.h1.t1	As003G073930
OG0001770	Aa_G52930.h1.t1	As010G221370
OG0001771	Aa_G375060.h1.t1	As007G179930
OG0001771	Aa_G615870.h1.t1	As003G074120
OG0001772	Aa_G650410.h1.t1	As003G076250
OG0001773	Aa_G435740.h1.t1, Aa_G12040.h1.t1	As004G081020
OG0001774	Aa_G631120.h1.t1, Aa_G631110.h1.t1	As004G082040
OG0001775	Aa_G117440.h1.t1, Aa_G320680.h1.t1	As004G085690
OG0001776	Aa_G566730.h1.t1, Aa_G651260.h1.t1	As004G087730
OG0001777	Aa_G206210.h1.t1, Aa_G46550.h1.t1, Aa_G184640.h1.t1, Aa_G495360.h1.t1	As004G097230
OG0001778	Aa_G206130.h1.t1, Aa_G364300.h1.t1	As005G099210
OG0001779	Aa_G605810.h1.t1	As012G288510
OG0001779	Aa_G241280.h1.t1	As005G099320
OG0001780	Aa_G175160.h1.t1	As005G102040
OG0001780	Aa_G354050.h1.t1	As012G286670
OG0001781	Aa_G218940.h1.t1	As012G286010
OG0001781	Aa_G479520.h1.t1	As005G102880
OG0001782	Aa_G734120.h1.t1	As005G104290
OG0001783	Aa_G642600.h1.t1, Aa_G36110.h1.t1, Aa_G646180.h1.t1	As010G227360, As005G111610
OG0001784	Aa_G23700.h1.t1	As005G119200
OG0001784	Aa_G53030.h1.t1	As010G221340
OG0001785	Aa_G299890.h1.t1, Aa_G299900.h1.t1	As006G121560
OG0001785	Aa_G291150.h1.t1	As008G198980
OG0001786	Aa_G105880.h1.t1	As008G198930
OG0001786	Aa_G67960.h1.t1	As006G122000
OG0001787	Aa_G46560.h1.t1	As006G122800
OG0001787	Aa_G452100.h1.t1	As008G197950
OG0001788	Aa_G191540.h1.t1, Aa_G6560.h1.t1	As006G123000
OG0001790	Aa_G167500.h1.t1	As006G127300
OG0001791	Aa_G555080.h1.t1	As006G127700
OG0001792	Aa_G35500.h1.t1, Aa_G429780.h1.t1	As006G128330
OG0001792	Aa_G429770.h1.t1	As008G193120
OG0001793	Aa_G164620.h1.t1, Aa_G182240.h1.t1	As008G193020
OG0001793	Aa_G161560.h1.t1, Aa_G161560.h2.t1	As006G128540
OG0001794	Aa_G543890.h1.t1	As008G192750
OG0001795	Aa_G42410.h1.t1, Aa_G59330.h1.t1	As006G135530, As009G201960
OG0001796	Aa_G111660.h1.t1	As006G136170
OG0001796	Aa_G309580.h1.t1	As009G203040
OG0001797	Aa_G387580.h1.t1	As009G203550
OG0001797	Aa_G44850.h1.t1	As006G136600
OG0001798	Aa_G141000.h1.t1	As009G205220
OG0001798	Aa_G205860.h1.t1	As006G139450
OG0001799	Aa_G25930.h1.t1	As009G206190
OG0001799	Aa_G205870.h1.t1	As006G139460
OG0001800	Aa_G49770.h1.t1	As006G140000
OG0001800	Aa_G372450.h1.t1	As009G204500
OG0001801	Aa_G675480.h1.t1	As009G208280
OG0001801	Aa_G49740.h1.t1	As006G140650
OG0001802	Aa_G296230.h1.t1, Aa_G652430.h1.t1	As006G142180
OG0001803	Aa_G426250.h1.t1	As006G145030
OG0001803	Aa_G395730.h1.t1	As012G276500
OG0001804	Aa_G304400.h1.t1, Aa_G265700.h1.t1, Aa_G265720.h1.t1	As010G243090
OG0001805	Aa_G370240.h1.t1	As010G242220
OG0001805	Aa_G131920.h1.t1	As007G153250
OG0001806	Aa_G347840.h1.t1	As010G241430
OG0001806	Aa_G324100.h1.t1	As007G153740
OG0001807	Aa_G24620.h1.t1, Aa_G323760.h1.t1	As007G155820
OG0001808	Aa_G87880.h1.t1	As010G237420
OG0001808	Aa_G436660.h1.t1	As007G156490
OG0001809	Aa_G504900.h1.t1	As010G233120
OG0001809	Aa_G281110.h1.t1	As007G160050
OG0001811	Aa_G218580.h1.t1, Aa_G233470.h1.t1	As007G161490
OG0001812	Aa_G28720.h1.t1	As010G229440
OG0001812	Aa_G431860.h1.t1	As007G161600
OG0001814	Aa_G666760.h1.t1	As007G180770
OG0001816	Aa_G251070.h1.t1	As009G206600
OG0001817	Aa_G464250.h1.t1, Aa_G195570.h1.t1	As009G213110
OG0001818	Aa_G97810.h1.t1	As010G221840
OG0001818	Aa_G45420.h1.t1	As009G216230
OG0001819	Aa_G43800.h1.t1, Aa_G11490.h1.t1	As010G220640
OG0001820	Aa_G426060.h1.t1, Aa_G426050.h1.t1	As010G222410
OG0001821	Aa_G255970.h1.t1	As012G270690
OG0001821	Aa_G242060.h1.t1	As011G248150
OG0001822	Aa_G229390.h1.t1	As011G253570
OG0001822	Aa_G229380.h1.t1	As012G271070
OG0001823	Aa_G422240.h1.t1, Aa_G194460.h1.t1, Aa_G422250.h1.t1	As011G267030
OG0001824	Aa_G197110.h1.t1, Aa_G394510.h1.t1	As012G277520
OG0001825	Aa_G753680.h1.t1	As012G282110
OG0001826	Aa_G174900.h1.t1	As012G283200
OG0001828	Aa_G265120.h1.t1, Aa_G103360.h1.t1	As012G286120
OG0001844	Aa_G512080.h1.t1	As001G001080
OG0001844	Aa_G331510.h1.t1	As011G266470
OG0001846	Aa_G542180.h1.t1	As011G264180
OG0001846	Aa_G379280.h1.t1	As001G015540
OG0001847	Aa_G296060.h1.t1, Aa_G296050.h1.t1	As001G017560
OG0001847	Aa_G1007590.h1.t1	As001G017570
OG0001848	Aa_G226650.h1.t1	As008G187140
OG0001849	Aa_G177240.h1.t1	As001G021660
OG0001850	Aa_G120820.h1.t1	As001G025970
OG0001850	Aa_G792540.h1.t1, Aa_G792540.h2.t1, Aa_G792540.h4.t1, Aa_G792540.h3.t1, Aa_G229730.h1.t1, Aa_G229760.h1.t1	As005G112810
OG0001851	Aa_G553490.h1.t1, Aa_G437780.h1.t1	As001G026330, As004G097510
OG0001852	Aa_G486790.h1.t1	As004G078430, As001G027590
OG0001854	Aa_G663820.h1.t1	As001G029220, As001G029200, As001G029210, As012G276250
OG0001855	Aa_G437270.h1.t1, Aa_G37960.h1.t1, Aa_G590080.h1.t1	As001G029430
OG0001856	Aa_G488340.h1.t1	As001G032090
OG0001856	Aa_G298900.h1.t1	As008G185290
OG0001857	Aa_G43070.h1.t1	As002G032760
OG0001857	Aa_G168130.h1.t1	As002G048690
OG0001858	Aa_G140740.h1.t1	As005G109210
OG0001858	Aa_G419540.h1.t1	As002G035530
OG0001859	Aa_G137230.h1.t1	As002G035950
OG0001859	Aa_G73210.h1.t1	As009G214550
OG0001860	Aa_G464230.h1.t1	As009G213100
OG0001861	Aa_G195430.h1.t1	As002G037140
OG0001861	Aa_G261370.h1.t1	As009G212960
OG0001862	Aa_G694660.h1.t1	As009G211910
OG0001862	Aa_G5550.h1.t1	As002G046460, As002G037820
OG0001863	Aa_G90860.h1.t1	As007G164570
OG0001863	Aa_G675250.h1.t1	As002G043410
OG0001864	Aa_G432970.h1.t1	As002G046260
OG0001865	Aa_G123350.h1.t1	As002G046430
OG0001865	Aa_G129660.h1.t1	As006G132520
OG0001866	Aa_G149070.h1.t1	As002G046650
OG0001866	Aa_G363810.h1.t1	As006G132650
OG0001867	Aa_G307730.h1.t1	As002G049160
OG0001868	Aa_G112810.h1.t1, Aa_G256470.h1.t1	As002G051160, As005G109830
OG0001869	Aa_G81400.h1.t1	As005G118670
OG0001869	Aa_G98290.h1.t1	As002G052660
OG0001870	Aa_G292850.h1.t1	As002G052840
OG0001870	Aa_G98170.h1.t1	As005G118470
OG0001871	Aa_G37210.h1.t1	As005G118300
OG0001871	Aa_G458420.h1.t1	As002G053270
OG0001872	Aa_G152740.h1.t1	As002G053430
OG0001873	Aa_G231030.h1.t1, Aa_G231020.h1.t1	As004G079370, As010G237170, As002G053740
OG0001874	Aa_G473370.h1.t1	As002G054100
OG0001875	Aa_G319310.h1.t1	As002G054680
OG0001875	Aa_G97950.h1.t1	As009G217400
OG0001876	Aa_G94860.h1.t1, Aa_G541410.h1.t1	As002G054840
OG0001877	Aa_G275580.h1.t1	As002G055330
OG0001878	Aa_G607240.h1.t1	As003G055820
OG0001878	Aa_G315600.h1.t1	As004G091220
OG0001879	Aa_G152180.h1.t1	As004G089290, As003G056220
OG0001879	Aa_G41330.h1.t1	As003G056320, As012G271310
OG0001880	Aa_G176410.h1.t1, Aa_G176400.h1.t1	As003G056580, As003G056590
OG0001881	Aa_G665640.h4.t1, Aa_G665640.h1.t1, Aa_G665640.h3.t1, Aa_G665640.h5.t1, Aa_G665640.h2.t1	As010G228130, As003G064030, As003G058940
OG0001882	Aa_G373240.h1.t1	As004G086070
OG0001882	Aa_G398630.h1.t1	As003G059590
OG0001883	Aa_G257130.h1.t1	As004G085890
OG0001884	Aa_G121150.h1.t1	As007G151870
OG0001884	Aa_G239240.h1.t1	As003G060870
OG0001885	Aa_G107860.h1.t1	As003G062560
OG0001885	Aa_G273600.h1.t1	As004G083710
OG0001886	Aa_G211990.h1.t1, Aa_G211990.h2.t1	As003G063880
OG0001886	Aa_G601720.h1.t1	As004G080230
OG0001887	Aa_G12650.h1.t1, Aa_G239560.h1.t1	As003G064240
OG0001888	Aa_G366310.h1.t1	As003G069790, As004G081190
OG0001889	Aa_G415540.h1.t1	As011G265390
OG0001889	Aa_G342330.h1.t1, Aa_G221830.h1.t1	As003G072760, As003G072740
OG0001890	Aa_G294410.h1.t1	As003G074350
OG0001891	Aa_G240610.h1.t1, Aa_G545750.h1.t1	As004G079520
OG0001892	Aa_G32680.h1.t1, Aa_G130870.h1.t1	As004G082000
OG0001893	Aa_G518960.h1.t1	As004G083760, As004G083800
OG0001894	Aa_G38340.h1.t1, Aa_G320490.h1.t1	As006G143010, As004G085550
OG0001895	Aa_G139420.h1.t1, Aa_G132340.h1.t1, Aa_G315590.h1.t1	As004G091210
OG0001896	Aa_G733770.h1.t1	As004G093180
OG0001897	Aa_G179070.h1.t1	As011G255780
OG0001897	Aa_G206610.h1.t1	As004G094870
OG0001898	Aa_G265520.h1.t1	As011G254720
OG0001898	Aa_G31020.h1.t1	As004G095870
OG0001899	Aa_G482180.h1.t1	As004G096220
OG0001899	Aa_G384920.h1.t1	As011G254110
OG0001900	Aa_G185130.h1.t1	As004G098200
OG0001901	Aa_G12870.h1.t1	As005G099020
OG0001901	Aa_G605820.h1.t1	As012G288710
OG0001902	Aa_G2440.h1.t1	As012G288050
OG0001902	Aa_G177970.h1.t1	As005G100030
OG0001903	Aa_G353970.h1.t1	As012G286750
OG0001903	Aa_G443520.h1.t1	As005G101970
OG0001904	Aa_G175170.h1.t1	As005G102050
OG0001905	Aa_G349420.h1.t1	As012G285960
OG0001905	Aa_G100580.h1.t1	As005G103020
OG0001906	Aa_G568520.h1.t1	As012G285370
OG0001906	Aa_G125580.h1.t1	As005G104090
OG0001907	Aa_G768750.h1.t1	As010G222720
OG0001907	Aa_G75390.h1.t1	As005G116190
OG0001908	Aa_G75120.h1.t1	As009G208110, As005G116440, As005G116410, As005G116450
OG0001909	Aa_G46640.h1.t1, Aa_G247560.h1.t1	As006G122730
OG0001909	Aa_G6440.h1.t1	As008G198070
OG0001910	Aa_G132970.h1.t1	As006G124200
OG0001910	Aa_G134770.h1.t1	As008G196870
OG0001911	Aa_G219580.h1.t1	As006G125080
OG0001912	Aa_G154580.h1.t1	As006G126470
OG0001912	Aa_G79330.h1.t1	As008G194820
OG0001913	Aa_G219940.h1.t1	As008G194510
OG0001913	Aa_G445730.h1.t1	As006G127010
OG0001915	Aa_G359430.h1.t1	As006G127440
OG0001915	Aa_G517610.h1.t1	As008G194000
OG0001916	Aa_G142680.h1.t1, Aa_G199780.h1.t1	As006G128760
OG0001917	Aa_G264410.h1.t1	As006G129560
OG0001918	Aa_G663300.h1.t1	As006G131460, As006G131480
OG0001919	Aa_G258180.h1.t1	As009G200030
OG0001920	Aa_G539770.h1.t1, Aa_G250420.h1.t1	As006G135730
OG0001921	Aa_G539750.h1.t1	As009G202390
OG0001921	Aa_G250380.h1.t1	As006G135780
OG0001922	Aa_G51100.h1.t1	As006G139010
OG0001922	Aa_G414020.h1.t1	As009G205870
OG0001923	Aa_G412590.h1.t1	As006G143780
OG0001923	Aa_G501180.h1.t1	As012G281320
OG0001924	Aa_G13930.h1.t1, Aa_G30030.h1.t1	As006G145930
OG0001925	Aa_G150870.h1.t1	As006G147060
OG0001925	Aa_G266030.h1.t1	As012G278170
OG0001926	Aa_G172150.h1.t1	As006G147410
OG0001926	Aa_G235880.h1.t1	As012G278430
OG0001927	Aa_G410340.h1.t1	As010G243720
OG0001927	Aa_G525760.h1.t1	As007G152220
OG0001928	Aa_G470660.h1.t1	As010G241680
OG0001928	Aa_G275030.h1.t1	As007G153570
OG0001929	Aa_G341740.h1.t1	As007G154160, As010G240740
OG0001930	Aa_G119160.h1.t1	As007G155140
OG0001930	Aa_G283730.h1.t1	As010G239150
OG0001931	Aa_G64540.h1.t1	As010G238790
OG0001931	Aa_G497080.h1.t1	As007G155320
OG0001932	Aa_G407740.h1.t1	As007G155730
OG0001932	Aa_G259430.h1.t1	As010G238480
OG0001933	Aa_G60800.h1.t1	As010G236610
OG0001934	Aa_G166070.h1.t1	As007G158150
OG0001934	Aa_G204300.h1.t1	As010G235460
OG0001935	Aa_G837680.h1.t1	As007G159310
OG0001936	Aa_G228560.h1.t1	As007G160030
OG0001937	Aa_G254950.h1.t1	As007G160520
OG0001937	Aa_G786710.h2.t1, Aa_G786710.h1.t1	As010G232650
OG0001939	Aa_G468110.h1.t1, Aa_G74440.h1.t1	As007G180980
OG0001940	Aa_G167770.h1.t1	As009G200550
OG0001941	Aa_G62790.h1.t1	As009G204950, As009G204960
OG0001942	Aa_G237740.h2.t1	As009G211540
OG0001943	Aa_G414730.h1.t1	As009G212210
OG0001944	Aa_G216020.h1.t1	As009G212500
OG0001945	Aa_G45250.h1.t1	As010G221720, As009G215940
OG0001946	Aa_G106950.h1.t1	As010G222400
OG0001947	Aa_G192020.h1.t1	As010G225810
OG0001948	Aa_G403380.h1.t1	As010G226330
OG0001949	Aa_G490450.h1.t1	As010G227300
OG0001950	Aa_G472310.h1.t1	As011G245930
OG0001950	Aa_G118210.h1.t1	As012G269040
OG0001951	Aa_G1360.h1.t1, Aa_G603610.h1.t1	As011G247100
OG0001952	Aa_G394240.h1.t1	As012G274580
OG0001952	Aa_G97080.h1.t1	As011G248940
OG0001953	Aa_G371390.h1.t1	As011G251400
OG0001953	Aa_G687530.h1.t1	As012G272660
OG0001954	Aa_G133250.h1.t1	As011G253050
OG0001955	Aa_G611070.h1.t1	As011G253690
OG0001956	Aa_G274360.h1.t1, Aa_G541710.h1.t1	As011G262750
OG0001957	Aa_G406500.h1.t1	As012G275050
OG0001958	Aa_G739940.h1.t1, Aa_G739930.h1.t1	As012G285290
OG0001959	Aa_G322950.h1.t1	As012G285720
OG0001971	Aa_G343420.h1.t1	As001G001000
OG0001971	Aa_G64120.h1.t1	As011G266510
OG0001972	Aa_G325440.h1.t1	As001G002350
OG0001972	Aa_G426560.h1.t1	As011G265560
OG0001973	Aa_G120660.h1.t1	As001G003210
OG0001973	Aa_G271140.h1.t1	As007G178320
OG0001974	Aa_G310000.h1.t1	As007G178030
OG0001974	Aa_G399000.h1.t1	As001G003630
OG0001975	Aa_G105160.h1.t1	As011G262160
OG0001976	Aa_G557000.h1.t1	As001G014460
OG0001976	Aa_G313570.h1.t1	As011G263480
OG0001977	Aa_G24690.h1.t1	As004G083090
