Orthogroup	Arabidopsis_thaliana	Cochlearia_excelsa
OG0002274	AT4G14350.1	g47045
OG0002275	AT4G14440.1	g47047
OG0002275	AT4G14430.1	g47046
OG0002276	AT1G73390.1	g46062
OG0002276	AT1G17940.1	g31741
OG0002277	AT1G69120.1	g45777
OG0002279	AT4G28750.1	g17024, g23530
OG0002280	AT5G40460.1	g16842
OG0002280	AT3G27630.1	g10468
OG0002281	AT3G27330.1	g10496
OG0002282	AT1G13460.1	g49874
OG0002282	AT3G26020.4	g10592
OG0002283	AT1G49890.1	g36414
OG0002284	AT3G16100.1	g7043
OG0002285	AT2G34355.1	g37085
OG0002287	AT4G16600.1	g17570
OG0002287	AT2G35710.1	g51540
OG0002288	AT5G46680.1	g10926
OG0002289	AT4G17350.1	g24269
OG0002290	AT3G10580.1, AT4G09450.1	g7422
OG0002291	AT3G50580.1	g19359, g2555
OG0002291	AT1G44191.1	g53842
OG0002292	AT3G50140.1, AT3G50190.1	g11366
OG0002293	AT5G51310.1	g28329
OG0002294	AT5G44670.1	g40506
OG0002295	AT4G09060.2, AT1G14680.1	g40246
OG0002296	AT4G16760.1	g17561, g24313
OG0002297	AT3G63070.1	g18757
OG0002298	AT2G45810.1	g52281
OG0002298	AT3G61240.1	g11169
OG0002299	AT3G57200.1	g18994
OG0002299	AT2G41451.1	g51994
OG0002300	AT3G56420.1	g19025
OG0002301	AT2G40140.1	g51865
OG0002301	AT3G55980.2	g2175
OG0002302	AT2G39480.1	g51779
OG0002302	AT3G55320.1	g37319
OG0002303	AT3G55020.1	g2240
OG0002303	AT2G39280.2	g37314
OG0002305	AT4G38570.1	g18347
OG0002305	AT1G68000.1	g41582
OG0002306	AT1G05000.2	g30888
OG0002306	AT4G03960.1	g40422
OG0002307	AT2G21590.1	g22694
OG0002308	AT4G39960.1	g22763
OG0002308	AT2G22360.1	g38497
OG0002309	AT1G36180.1	g35932, g35931
OG0002309	AT1G36160.1	g35930, g53697
OG0002310	AT4G10500.1	g40316
OG0002312	AT4G17560.1, AT5G47190.1	g24251
OG0002313	AT5G49300.1	g10201
OG0002314	AT3G29780.1	g1403, g1404
OG0002315	AT3G17650.1	g12038
OG0002315	AT1G48370.1	g54074
OG0002316	AT3G17770.1	g12032
OG0002317	AT3G17850.1	g13295
OG0002318	AT3G18300.1	g6884
OG0002318	AT1G48780.1	g54097
OG0002319	AT3G46280.1	g2900, g2901
OG0002320	AT1G01790.1	g49301
OG0002321	AT4G00710.1	g25370
OG0002322	AT4G00460.2	g25364
OG0002322	AT1G01700.4	g49305, g49307
OG0002323	AT4G01820.1, AT4G01830.1	g39520
OG0002323	AT1G02520.1, AT1G02530.1	g30775
OG0002324	AT1G07480.3, AT1G07470.1	g31068, g49564
OG0002325	AT1G54690.1, AT1G08880.1	g31144
OG0002326	AT1G59725.1	g44090
OG0002327	AT1G14530.2	g27279
OG0002328	AT1G79630.1	g46536
OG0002329	AT1G16310.1	g31644
OG0002330	AT1G17470.1	g50002
OG0002331	AT1G73910.3	g50043
OG0002331	AT1G18450.1	g27405
OG0002332	AT1G74560.3	g44514
OG0002332	AT1G18800.1	g31809
OG0002333	AT1G72170.1	g45962
OG0002333	AT1G22520.2	g27521
OG0002334	AT1G23870.1	g50304
OG0002334	AT1G70290.1	g32086
OG0002335	AT1G27190.1	g50327
OG0002336	AT1G62262.1	g40927
OG0002336	AT1G62280.1	g44209
OG0002337	AT1G59960.1, AT1G59950.1	g44102
OG0002338	AT5G47550.1	g40709
OG0002339	AT2G17200.1, AT2G17190.1	g14044
OG0002340	AT2G16500.1	g47892
OG0002340	AT4G34710.1	g23061
OG0002341	AT4G33590.1	g23166
OG0002342	AT2G15530.4	g6158
OG0002342	AT4G34040.1	g18193
OG0002343	AT4G31590.1	g23316
OG0002344	AT2G24590.1	g38364
OG0002345	AT4G30996.1	g47763
OG0002346	AT5G55550.10	g39368
OG0002346	AT4G26650.1	g17125, g23682
OG0002352	AT4G30420.2	g47745
OG0002353	AT5G17390.1	g29137
OG0002353	AT3G03290.1	g12649
OG0002354	AT5G17060.1	g45746
OG0002354	AT3G03120.1	g7835
OG0002355	AT5G17040.1, AT5G17030.1, AT5G17050.1	g29152
OG0002356	AT5G16650.2	g5029, g29180
OG0002357	AT5G15940.2	g29212
OG0002357	AT5G04070.1	g5704
OG0002358	AT3G02160.1, AT5G15570.1	g29241
OG0002360	AT5G13090.1, AT1G24270.1	g29376
OG0002361	AT5G25110.1	g10040
OG0002361	AT5G10930.1	g29472
OG0002362	AT5G64840.1	g9741
OG0002362	AT5G09930.1	g202
OG0002363	AT5G08590.1	g29573
OG0002363	AT5G63650.1	g280
OG0002364	AT5G23575.1	g496
OG0002364	AT5G08500.1	g5495
OG0002365	AT5G07980.1, AT5G07940.1	g5527, g5524
OG0002367	AT2G29220.1	g40019
OG0002368	AT1G05160.1	g30911
OG0002368	AT2G32440.1	g51300
OG0002369	AT5G43700.1	g39717
OG0002370	AT5G43900.3	g11089
OG0002370	AT1G04160.1	g30859
OG0002371	AT5G44210.1	g39675, g11063
OG0002372	AT4G25680.1, AT4G25660.1	g23740, g47555
OG0002374	AT4G15970.1	g17611
OG0002375	AT2G03530.4	g16678
OG0002377	AT3G43740.2	g41374
OG0002377	AT5G21090.1	g28905
OG0002378	AT3G44280.1	g28878
OG0002379	AT3G46830.1	g11418, g2820
OG0002379	AT5G59150.1	g39246
OG0002380	AT4G31490.1, AT4G31480.3	g23322
OG0002381	AT5G55400.1	g1013
OG0002381	AT4G26700.1	g17123
OG0002382	AT5G54630.1	g964
OG0002382	AT4G27240.1	g23651
OG0002383	AT4G27440.1	g17087
OG0002385	AT3G11400.2, AT5G06000.1	g12324, g39747
OG0002386	AT3G10570.1	g13101
OG0002386	AT5G04660.1	g29780
OG0002387	AT3G10200.2	g12375
OG0002388	AT1G64190.1	g40823
OG0002390	AT1G77610.1	g46375
OG0002391	AT1G21610.3	g31999
OG0002392	AT1G76270.1	g46265
OG0002392	AT1G20550.1	g31939
OG0002393	AT4G35570.1	g22987
OG0002394	AT4G36080.1	g47952
OG0002394	AT2G17930.1	g13990
OG0002395	AT3G13062.2	g12252
OG0002396	AT3G13772.1	g13195, g12217
OG0002397	AT3G13970.1	g12209
OG0002397	AT1G54210.1	g54340
OG0002399	AT4G34520.1	g23080
OG0002400	AT1G53023.1	g54282, g36598
OG0002401	AT2G36250.1	g37161
OG0002401	AT3G52750.1	g19219
OG0002402	AT3G25420.1	g13523
OG0002403	AT3G24880.1, AT3G24870.1	g11678, g11684
OG0002404	AT4G13560.1	g47004
OG0002405	AT4G14030.1	g47035
OG0002406	AT4G14716.1, AT4G14710.5	g24507, g17719
OG0002407	AT4G14910.2, AT3G22425.2	g13423
OG0002408	AT1G17890.1	g31738
OG0002408	AT1G73250.1	g50020
OG0002409	AT1G73690.1	g44561
OG0002409	AT1G18040.1	g31746
OG0002410	AT1G74310.1	g46134
OG0002411	AT1G18720.1	g31801, g27417
OG0002412	AT1G74770.1	g44504
OG0002413	AT3G45940.1	g18017, g41516
OG0002415	AT1G26150.1	g32184
OG0002416	AT1G68710.3	g44816
OG0002416	AT1G26130.2	g32187
OG0002417	AT1G26360.1	g32164
OG0002417	AT1G69240.1	g45780
OG0002418	AT1G68980.1	g50680
OG0002418	AT1G69290.1	g46930
OG0002419	AT2G20440.1	g13851
OG0002420	AT5G41310.1	g16790, g44966
OG0002420	AT1G63640.3	g40782
OG0002421	AT1G56450.1	g41111
OG0002422	AT3G27970.1	g10444
OG0002424	AT1G11510.1, AT2G20805.1, AT2G20613.1	g25025
OG0002425	AT5G45930.1	g43975
OG0002425	AT4G18480.1	g24183
OG0002426	AT5G45400.1	g10983
OG0002426	AT4G19130.2	g47299
OG0002427	AT2G33840.1	g51401
OG0002428	AT5G47600.1	g10853
OG0002429	AT4G17410.2	g47204
OG0002429	AT5G47430.6	g10869
OG0002430	AT4G11380.2	g40368
OG0002430	AT4G23460.1	g23892
OG0002431	AT4G39235.1, AT3G05570.1	g22696
OG0002432	AT4G22810.1, AT4G12050.1	g40392
OG0002433	AT3G43990.1, AT2G25120.1, AT4G23120.1	g23913
OG0002434	AT4G12430.1	g40405
OG0002434	AT4G22590.1	g47428
OG0002435	AT4G12590.1	g25652
OG0002436	AT4G22290.1	g17304, g47415
OG0002437	AT4G20010.1	g24077
OG0002438	AT4G20920.2	g24039
OG0002438	AT4G20910.1	g24040
OG0002440	AT4G05400.1, AT4G21140.1	g47365
OG0002441	AT4G21540.1	g24004, g47380
OG0002442	AT4G21640.1, AT4G21630.1	g23996
OG0002443	AT3G45140.1	g18712
OG0002444	AT5G03780.1	g12664, g10279
OG0002446	AT3G61180.1	g18688
OG0002447	AT2G43630.1	g38217
OG0002448	AT1G48175.1	g36284, g42124
OG0002449	AT3G57880.1	g18973
OG0002449	AT1G51570.1	g36510
OG0002450	AT2G41770.1	g37407
OG0002453	AT3G54250.1	g2302
OG0002454	AT3G53340.1	g2363
OG0002454	AT2G37060.1	g38055
OG0002455	AT3G53310.1	g19203
OG0002456	AT3G52560.4	g19239, g2411
OG0002457	AT2G17990.3	g6031
OG0002458	AT4G36610.1	g22917
OG0002459	AT4G36810.1	g47976
OG0002460	AT4G30260.2	g23418
OG0002460	AT2G18840.1	g47738
OG0002461	AT4G29190.1	g23494
OG0002461	AT2G19810.1	g13893
OG0002462	AT2G40600.1	g51922
OG0002463	AT2G38390.1, AT2G38380.1	g51717
OG0002464	AT4G11800.1	g40383, g25681
OG0002465	AT4G37100.1	g22880
OG0002466	AT1G34040.1	g32733
OG0002467	AT4G12110.1	g40397
OG0002467	AT4G22756.1	g47436
OG0002468	AT5G26250.1	g10099
OG0002468	AT3G05960.1	g7678
OG0002470	AT2G44470.3	g37551
OG0002470	AT2G44460.1	g37550
OG0002471	AT2G17740.1	g37544, g13749
OG0002471	AT2G44370.1	g38231
OG0002472	AT2G43480.1	g52120
OG0002473	AT3G04600.1	g7751
OG0002474	AT3G04620.1	g12813
OG0002476	AT3G08720.1	g12985
OG0002477	AT5G01390.1	g5828
OG0002477	AT3G08910.1	g7527
OG0002478	AT5G05550.2	g12336
OG0002479	AT3G12240.1, AT3G12230.1	g50558, g7315
OG0002481	AT3G14100.1	g12201
OG0002481	AT1G54080.2	g36682
OG0002482	AT3G30280.1, AT4G15390.1	g17662
OG0002485	AT5G39730.1	g53265
OG0002486	AT1G66400.1	g44986
OG0002487	AT1G65690.1	g26194, g18056
OG0002489	AT3G06310.1	g7654
OG0002489	AT5G18800.1	g41455
OG0002490	AT3G51340.1	g2484
OG0002491	AT1G02405.1	g49366
OG0002491	AT1G70990.1	g44667
OG0002492	AT1G58220.1	g44032
OG0002492	AT1G09710.2	g41055
OG0002493	AT1G09840.1	g31222
OG0002494	AT1G10360.1	g27111
OG0002494	AT1G10370.1	g27116
OG0002495	AT1G63180.1	g40850
OG0002496	AT3G26650.1	g10556
OG0002496	AT1G12900.5	g31414
OG0002497	AT1G13580.2	g49876
OG0002497	AT3G25540.1	g10630
OG0002498	AT1G14020.1	g31490
OG0002499	AT1G14450.2, AT2G02510.1	g49906
OG0002500	AT1G14720.1	g31548
OG0002500	AT2G01850.1	g10747
OG0002501	AT1G15690.1	g31615, g49947
OG0002502	AT1G17270.1, AT5G50420.1	g31691
OG0002503	AT1G22270.1	g32025
OG0002504	AT1G23380.2	g32109
OG0002505	AT1G23550.1	g50300
OG0002506	AT1G70140.1	g45829
OG0002507	AT1G11560.1	g31324
OG0002507	AT1G61790.1	g40940
OG0002508	AT4G38680.1	g18338
OG0002510	AT4G37640.1	g22822
OG0002511	AT4G37390.1, AT1G59500.1	g47985
OG0002511	AT2G23170.1	g38445
OG0002512	AT2G23340.1	g50951
OG0002513	AT4G35160.1	g23023
OG0002515	AT2G25880.3	g16915
OG0002516	AT2G25300.1	g38334
OG0002516	AT4G32120.1	g16934
OG0002517	AT4G31680.1, AT4G31650.2, AT4G31640.1, AT4G31690.1	g23313
OG0002518	AT1G70220.1	g44707
OG0002518	AT1G24050.1	g32082, g50311
OG0002519	AT4G27595.1	g23623
OG0002520	AT1G66720.1	g41876
OG0002522	AT1G48150.1, AT1G50780.1, AT5G27130.1	g28340, g28373
OG0002530	AT2G24020.1	g36887
OG0002531	AT4G38770.1	g18332, g18013, g53656, g22666
OG0002532	AT3G46620.1	g2870
OG0002533	AT3G48590.1	g19424
OG0002533	AT5G63470.1	g296
OG0002534	AT3G47890.1, AT3G47910.2	g2753, g19492
OG0002535	AT2G01970.1, AT1G14670.1	g1509, g1511
OG0002536	AT3G03340.2	g12771
OG0002536	AT5G17440.1	g4991
OG0002537	AT1G17990.1, AT1G18020.1	g44387
OG0002537	AT1G76680.2, AT1G76690.1	g17970
OG0002538	AT5G16370.1	g29196, g29197
OG0002539	AT5G15900.2	g45711
OG0002539	AT5G15890.1	g5077
OG0002540	AT3G02200.2	g7894
OG0002541	AT5G14895.1	g5155
OG0002542	AT5G14500.2	g5184
OG0002542	AT3G01590.1	g7934
OG0002543	AT3G53480.1	g2348
OG0002544	AT5G11950.1	g5336
OG0002545	AT5G64400.2	g234
OG0002545	AT5G09570.1	g5452
OG0002546	AT5G63880.2	g267
OG0002546	AT5G09260.1	g5471
OG0002547	AT4G02930.1	g39624, g25489
OG0002548	AT4G03340.1	g39645
OG0002549	AT1G07630.1	g49575
OG0002549	AT2G28890.1	g51113
OG0002550	AT2G29680.1	g51180
OG0002550	AT1G07270.1	g31053
OG0002551	AT2G30800.1	g51225
OG0002551	AT1G06670.1	g31016
OG0002552	AT2G32430.1	g39798
OG0002552	AT1G05170.2	g30912
OG0002553	AT2G33240.1	g51336
OG0002553	AT1G04600.1	g49459
OG0002554	AT1G04140.2	g30857
OG0002555	AT5G44100.1	g11076
OG0002556	AT2G33530.1, AT1G28110.1	g32316
OG0002557	AT1G28290.1	g32325, g50461
OG0002558	AT1G32210.1	g32594
OG0002559	AT3G50500.2	g2566
OG0002560	AT5G65380.1	g9718
OG0002561	AT5G64667.1, AT5G09805.1	g29545
OG0002562	AT5G63500.1, AT3G48660.1	g19427
OG0002563	AT5G62410.1	g360
OG0002564	AT5G07220.1	g5564
OG0002565	AT5G07470.1	g29627
OG0002566	AT5G24310.1	g534
OG0002566	AT3G49290.1	g19410
OG0002567	AT3G45310.1	g2988
OG0002567	AT5G60360.3	g28816
OG0002568	AT5G60220.1	g28806
OG0002569	AT5G60010.1	g1300
OG0002569	AT3G45810.1	g2913
OG0002570	AT3G47060.1	g2806
OG0002570	AT5G58870.1	g1227
OG0002571	AT5G58340.1	g1161, g44298
OG0002572	AT1G80070.1	g54325, g46597
OG0002573	AT4G14342.2, AT3G23325.1	g6537, g47044
OG0002574	AT5G57440.1	g28642
OG0002574	AT4G25840.1	g17149
OG0002578	AT5G33340.1	g17911, g17918, g17900, g17896
OG0002579	AT4G02300.1	g1474, g25462
OG0002579	AT4G02320.1	g45229
OG0002580	AT5G06910.1	g5581
OG0002581	AT5G05750.1	g29712
OG0002581	AT3G57340.1	g18990
OG0002582	AT3G10600.1	g13104
OG0002582	AT5G04770.1	g5667
OG0002583	AT5G04160.1	g5700
OG0002583	AT3G10290.1	g12374
OG0002584	AT3G08930.1	g13008, g7526
OG0002585	AT3G27020.1	g10526
OG0002586	AT1G15480.1	g27306
OG0002586	AT1G80270.1	g46592
OG0002587	AT1G78820.1, AT1G78830.1	g46480
OG0002588	AT1G76540.1	g44395
OG0002588	AT1G20930.1	g31956, g27479
OG0002589	AT1G76405.2	g46270, g44400
OG0002590	AT1G76260.1	g46264
OG0002590	AT1G20540.1	g31924
OG0002591	AT1G20340.1	g31917
OG0002591	AT1G76100.2	g44413
OG0002592	AT1G20200.1	g50127
OG0002592	AT1G75990.1	g27452
OG0002593	AT5G27880.1	g10125
OG0002594	AT3G62230.1	g11152
OG0002595	AT4G00872.1	g27991
OG0002596	AT1G54130.1	g36685
OG0002596	AT3G14050.1	g7192
OG0002597	AT1G54115.1	g36684
OG0002597	AT3G14070.1	g12202
OG0002598	AT1G54000.1, AT1G54010.1	g54354, g27997, g36680
OG0002600	AT3G52760.1	g51576
OG0002600	AT2G36300.1	g37163
OG0002601	AT3G23730.1	g6510
OG0002602	AT4G14740.1	g47067, g17714
OG0002603	AT4G15550.1	g24438
OG0002604	AT1G74360.1	g46140
OG0002605	AT1G25450.1	g27606
OG0002605	AT1G68530.1	g44836, g41526
OG0002606	AT1G25550.1	g32191
OG0002607	AT4G08350.1	g40213, g25942
OG0002608	AT5G44860.1, AT4G19950.1	g11021, g40519
OG0002609	AT3G19170.1	g11972
OG0002609	AT1G49630.1	g6824
OG0002610	AT1G50090.1	g28061
OG0002611	AT3G20540.2	g11906
OG0002611	AT1G50840.2	g36468
OG0002612	AT3G15480.1	g13237
OG0002612	AT1G52910.1	g54278
OG0002613	AT3G15460.1	g12140, g7079
OG0002614	AT3G15450.1	g7080
OG0002616	AT3G50930.1	g2514, g2515
OG0002617	AT2G14740.1	g13683
OG0002618	AT2G16280.1	g14206
OG0002618	AT4G34510.1	g23081
OG0002619	AT2G16640.1, AT3G16620.1	g14102
OG0002620	AT4G35050.1	g23034
OG0002621	AT4G35100.1	g47904
OG0002622	AT4G22460.1	g25648, g25638
OG0002623	AT4G11310.1, AT4G11320.1	g43177
OG0002624	AT3G63080.1, AT2G48150.1	g18758
OG0002625	AT3G61415.1	g1861
OG0002626	AT3G59830.1	g1959
OG0002626	AT2G43850.1	g52133
OG0002627	AT2G42180.1	g37438
OG0002628	AT3G57785.1	g2126
OG0002628	AT2G42310.1	g37440
OG0002629	AT2G41620.1	g37398
OG0002630	AT3G56140.1	g2167
OG0002630	AT2G40400.1	g51882
OG0002632	AT3G23550.1, AT3G23560.1	g11754
OG0002633	AT2G37840.1	g51674
OG0002633	AT3G53930.2	g2324
OG0002634	AT4G27730.1	g23612
OG0002635	AT2G04795.1	g11650
OG0002635	AT5G35732.2	g46863
OG0002636	AT1G67250.1, AT1G62920.1	g44918
OG0002637	AT4G29430.1	g23470
OG0002637	AT2G19720.1	g13899
OG0002638	AT2G39530.1	g41209
OG0002638	AT2G39518.1	g37321
OG0002639	AT1G25220.2, AT5G57890.1, AT1G25155.1, AT1G25083.1, AT1G24909.1, AT1G24807.1	g32224
OG0002641	AT4G38905.1	g38544
OG0002642	AT4G39180.1	g22693
OG0002642	AT2G21540.1	g50872
OG0002643	AT4G10480.1	g40315
OG0002644	AT2G20900.1	g13833
OG0002644	AT4G28130.1	g23576
OG0002645	AT2G14635.1, AT3G60350.1	g11185, g18831
OG0002647	AT5G18180.1, AT3G03920.1	g7802
OG0002649	AT3G09300.1	g13037, g12404
OG0002650	AT3G09410.1, AT3G09405.1	g13044
OG0002651	AT3G11630.1	g12317, g7368
OG0002652	AT3G13090.1	g7260
OG0002652	AT3G13100.1	g7259
OG0002653	AT1G48590.2	g28101
OG0002653	AT3G17980.1	g12025
OG0002654	AT2G22830.1, AT4G37760.1	g22810
OG0002655	AT3G29100.3	g10370
OG0002657	AT4G14620.1	g47052
OG0002658	AT3G22330.1	g6593
OG0002658	AT3G22310.1	g11822, g13418
OG0002659	AT3G21945.1, AT3G21960.1, AT2G31620.1	g17741, g53751, g17751, g17748, g17753
OG0002660	AT5G37720.1	g18119
OG0002660	AT1G66260.1	g45005
OG0002662	AT4G01630.1	g39513, g25421
OG0002663	AT1G03230.1, AT1G03220.1	g26904
OG0002664	AT1G07550.1	g49570
OG0002665	AT1G09645.1	g31205
OG0002666	AT1G10090.1	g31236
OG0002666	AT1G58520.1	g44057
OG0002667	AT1G60810.1	g41007
OG0002668	AT1G11330.2	g31310
OG0002669	AT1G11770.1	g27169
OG0002670	AT2G03480.1	g10662
OG0002671	AT1G14100.1, AT1G14110.1	g31497
OG0002672	AT1G14920.1	g31563
OG0002673	AT1G15160.1, AT1G15150.1	g27296, g27295
OG0002674	AT1G17050.1	g31681
OG0002674	AT1G78510.1	g46457
OG0002675	AT1G72420.1	g44606
OG0002675	AT1G17350.2	g31698
OG0002677	AT4G38220.2	g18380
OG0002679	AT4G39910.1	g22750, g18302
OG0002680	AT4G37670.2	g22819
OG0002681	AT4G34570.1	g23076
OG0002682	AT4G34450.1	g23085
OG0002683	AT4G34220.1	g23117
OG0002683	AT2G15300.1	g14285
OG0002685	AT2G25940.1	g53184
OG0002685	AT4G32940.1	g23220
OG0002686	AT4G33720.1	g18177, g18178, g18175, g18176, g18169, g18172, g18180, g18171, g18174
OG0002687	AT2G14690.1, AT4G33810.2, AT4G33820.1	g23153
OG0002688	AT2G25080.1	g38343
OG0002688	AT4G31870.1	g23298
OG0002690	AT1G27430.1, AT1G24300.1	g27623
OG0002694	AT1G59722.1, AT1G60040.1, AT1G59810.1	g41048, g44081, g44097, g44083
OG0002695	AT3G14040.1, AT3G07850.1	g7564
OG0002696	AT4G11930.1, AT4G11940.1, AT4G38065.1	g22785
OG0002697	AT3G49270.3, AT3G49305.1, AT3G49300.1	g2630
OG0002699	AT5G51860.1, AT5G51870.3	g1314
OG0002700	AT5G52140.1	g41181, g41197, g11665
OG0002705	AT4G27280.1	g23646
OG0002706	AT5G17730.1	g29006
OG0002706	AT5G17750.1	g4918, g4965
OG0002707	AT2G16430.2	g13706, g14198
OG0002708	AT5G14960.1	g45676
OG0002708	AT3G01330.1	g7925
OG0002710	AT5G12020.1	g29412, g45584
OG0002710	AT5G12030.1	g5332
OG0002711	AT5G64610.1	g216
OG0002712	AT5G38130.1	g11310
OG0002712	AT3G50300.1	g11364
OG0002713	AT5G08640.1	g5485
OG0002714	AT5G61460.1, AT5G07660.1	g18597
OG0002715	AT2G27600.1	g37802
OG0002716	AT2G27710.1	g13631
OG0002717	AT1G05810.2	g30954
OG0002718	AT1G04520.1	g30875
OG0002719	AT5G02940.2, AT5G43745.1	g39714
OG0002720	AT4G25520.1, AT4G25515.1	g23761
OG0002721	AT1G47500.1, AT1G47490.1	g36243
OG0002722	AT1G46984.1, AT1G46912.1, AT1G46840.1	g28133, g28132, g28131, g29183
OG0002723	AT2G34590.1	g51456
OG0002724	AT2G35060.2	g51497
OG0002725	AT3G62120.1	g1775, g1320
OG0002726	AT4G32342.2	g10060
OG0002726	AT5G25360.3	g593, g18563
OG0002727	AT3G43190.1	g738
OG0002727	AT5G20830.1	g28915
OG0002728	AT3G45210.1	g834
OG0002728	AT5G60680.1	g28840
OG0002729	AT5G60230.2	g854
OG0002730	AT4G14690.1	g24508
OG0002731	AT4G26540.1	g23690
OG0002732	AT3G49210.1	g2635
OG0002733	AT5G07180.1	g45475
OG0002733	AT5G62230.1	g370
OG0002734	AT5G05657.1, AT5G06330.1	g7367
OG0002735	AT2G40290.1	g51466
OG0002736	AT5G04960.1	g5653
OG0002736	AT3G10710.1	g12360
OG0002737	AT5G03610.1	g5721, g45364
OG0002738	AT4G28280.2	g23564
OG0002739	AT5G01050.1, AT5G01040.1	g5802
OG0002740	AT3G08940.2, AT5G01530.1	g7525, g13009
OG0002741	AT1G16825.1	g27351
OG0002742	AT2G17380.1	g13734
OG0002743	AT4G27260.1	g23650
OG0002743	AT5G54510.1	g28479
OG0002744	AT3G13900.1	g7203
OG0002744	AT1G54280.1	g27988
OG0002745	AT3G14830.1	g13225
OG0002746	AT3G15220.1	g7108
OG0002746	AT1G53165.3	g36608
OG0002747	AT3G44340.1	g11464
OG0002748	AT4G24590.4	g47515, g23827
OG0002749	AT4G13780.1	g24608
OG0002750	AT1G65980.1	g18055
OG0002751	AT4G15260.1, AT4G15280.2	g47094
OG0002752	AT3G21650.1	g6636
OG0002753	AT1G66660.2	g44975
OG0002754	AT3G16630.1	g7001
OG0002755	AT1G73640.1	g46080
OG0002757	AT4G28770.2	g23528
OG0002757	AT2G20230.1	g5922
OG0002759	AT1G63900.1	g40802
OG0002760	AT5G40880.1, AT5G49200.1	g16812
OG0002761	AT1G69850.1	g44723
OG0002761	AT1G27040.1	g27574
OG0002762	AT4G36940.1	g22866
OG0002762	AT2G23420.1	g38429
OG0002764	AT1G51680.1, AT3G21240.1	g36516
OG0002766	AT4G13100.2	g24796
OG0002766	AT3G25030.1	g11679
OG0002767	AT2G35658.2	g38008
OG0002768	AT4G18220.1, AT4G18210.1	g17487, g24206
OG0002769	AT4G17420.1	g17553
OG0002770	AT5G47450.1	g10867
OG0002772	AT2G37960.1	g51685
OG0002772	AT3G54060.1	g2314
OG0002773	AT4G22640.2	g17288
OG0002774	AT4G19970.1	g24080
OG0002775	AT5G14690.1	g29293
OG0002776	AT2G47440.1	g37730
OG0002776	AT3G62570.1	g1757
OG0002777	AT3G60320.1	g37570
OG0002778	AT2G43410.2	g38212, g37500
OG0002779	AT2G40670.2	g51945
OG0002779	AT3G56380.2	g2148
OG0002780	AT3G55000.1	g11285
OG0002781	AT3G14250.1	g7169
OG0002782	AT2G37160.2	g38063
OG0002782	AT3G53390.1	g19199
OG0002784	AT2G05250.1, AT2G05230.1	g13572
OG0002784	AT5G35753.1	g6356
OG0002785	AT3G24300.1	g6460
OG0002786	AT2G18680.1, AT2G18690.1	g5994
OG0002788	AT2G01890.1	g1508
OG0002790	AT2G39410.2	g38126
OG0002790	AT2G39420.1	g51771
OG0002791	AT4G39090.1, AT2G21430.1	g22683
OG0002792	AT4G09030.1	g25875
OG0002792	AT1G35230.1	g40245
OG0002793	AT1G34210.1	g32748
OG0002793	AT1G71830.1	g44634
OG0002797	AT2G43790.1, AT3G59790.1	g37522, g52132
OG0002798	AT2G43520.1	g37505
OG0002799	AT5G47120.1	g40686
OG0002799	AT5G47130.2	g10898
OG0002802	AT5G27210.1	g7722
OG0002802	AT3G05010.1	g12836
OG0002803	AT3G06150.1, AT5G19060.1	g12923
OG0002804	AT3G06180.1	g12500
OG0002804	AT5G19025.2	g12924
OG0002805	AT4G02050.1	g39535
OG0002807	AT3G16950.2	g6985
OG0002807	AT4G16155.1	g47138
OG0002808	AT1G48940.1	g13311
OG0002808	AT3G18590.1	g11999, g6865
OG0002810	AT4G14450.1	g47048
OG0002811	AT1G13140.1	g49868
OG0002812	AT1G60783.1	g44139
OG0002813	AT1G11475.1	g31317, g27156
OG0002815	AT1G62740.1	g40886
OG0002815	AT1G12270.1	g31374
OG0002816	AT1G12400.3	g49819
OG0002817	AT1G17300.2	g45952
OG0002818	AT1G72700.1	g44599, g46011
OG0002818	AT1G17500.1	g50004
OG0002819	AT1G70985.1	g45889
OG0002820	AT1G35537.1, AT3G27831.1, AT3G27835.1, AT4G29033.1	g13604
OG0002821	AT1G64185.1	g40822
OG0002822	AT1G49310.1	g36385
OG0002823	AT4G37070.2	g22874
OG0002824	AT2G02360.1, AT2G02350.2	g16705
OG0002825	AT4G35710.1	g22979
OG0002826	AT2G25540.1	g51040
OG0002826	AT4G32410.1	g16922, g23274
OG0002827	AT4G33700.1	g23160
OG0002833	AT2G20208.1	g5926
OG0002833	AT4G30067.1, AT2G29045.1, AT4G30064.1	g23441, g47729
OG0002835	AT3G28780.1	g16489
OG0002836	AT5G27530.1	g47929
OG0002837	AT5G53160.2, AT4G27920.1	g28408
OG0002839	AT3G45275.1, AT3G45285.1, AT2G25312.1, AT3G44428.1	g2993
OG0002845	AT5G17510.1	g28985
OG0002846	AT5G14060.1	g29325
OG0002847	AT5G13930.1	g5230
OG0002848	AT3G24280.1	g46257
OG0002849	AT2G39320.1	g10063, g4037
OG0002850	AT5G11300.1	g5379
OG0002851	AT5G11180.2	g29453, g5383
OG0002852	AT5G26830.1	g4815
OG0002853	AT5G23320.2	g482
OG0002853	AT5G08335.1	g5505
OG0002854	AT2G27100.1	g40134, g40132
OG0002855	AT1G08250.1	g49614
OG0002855	AT2G27820.1	g40083
OG0002856	AT2G30460.1	g26992, g31030
OG0002856	AT1G06890.1	g49556
OG0002857	AT1G06130.1	g30978
