Orthogroup	Arabidopsis_thaliana	Camelina_sativa
OG0001592	AT4G34131.1	XP_019089283.1, XP_019088273.1
OG0001593	AT1G13560.1	XP_010495346.1, XP_010476354.1, XP_010458803.1
OG0001593	AT3G25585.1	XP_010514172.1, XP_019084815.1
OG0001594	AT1G65330.1, AT1G65300.1	XP_010474099.1, XP_010474100.1, XP_010418969.1, XP_010513520.1
OG0001595	AT1G65500.1	XP_010415090.1, XP_010497161.1, XP_010415089.1, XP_010511447.1, XP_019101023.1
OG0001595	AT1G65490.2	XP_010415088.1
OG0001597	AT5G56452.1	XP_010451168.1, XP_019095649.1
OG0001598	AT5G08005.1	XP_010495106.2, XP_010452772.1, XP_010423147.1
OG0001598	AT5G61100.1	XP_019086949.1, XP_010483773.1
OG0001599	AT4G28800.2, AT4G28815.1	XP_010497926.1, XP_019089612.1, XP_019089038.1, XP_010438382.1, XP_010436355.2, XP_019086210.1, XP_019087317.1, XP_019089039.1, XP_019086211.1
OG0001603	AT3G48450.1	XP_010426340.1, XP_010515163.1, XP_010503476.1
OG0001603	AT5G63270.1	XP_010444210.1, XP_010484052.1, XP_010460051.1
OG0001604	AT1G19020.1	XP_019094857.1, XP_019097107.1, XP_019091339.1
OG0001604	AT3G48180.1	XP_019100234.1, XP_019102289.1, XP_019084808.1, XP_019084807.1
OG0001605	AT5G40430.1, AT2G25230.1	XP_010435898.2, XP_010450669.1, XP_010441183.1
OG0001605	AT5G40360.1	XP_010496973.1
OG0001606	AT5G17190.1	XP_010492659.1, XP_010453901.1, XP_010420425.1
OG0001606	AT3G03160.1	XP_010463764.1, XP_010485652.1, XP_010507048.1
OG0001607	AT3G03050.1	XP_019092765.1, XP_010485639.1
OG0001607	AT5G16910.1	XP_010420398.1, XP_010492624.1
OG0001608	AT3G20620.1	XP_010509132.1, XP_010488047.1, XP_010466262.1
OG0001609	AT5G16070.1	XP_010492479.1, XP_010453759.1
OG0001609	AT3G02530.1	XP_010498426.1
OG0001610	AT1G27350.1, AT1G27330.1	XP_019095038.1, XP_019099226.1, XP_019099225.1, XP_019091678.1, XP_019094349.1, XP_019091969.1
OG0001611	AT5G12480.1	XP_010453327.1, XP_010419839.1
OG0001611	AT5G19450.1	XP_010493012.1, XP_019083891.1, XP_010454221.1
OG0001612	AT5G19480.1	XP_010454226.1, XP_010420754.1, XP_010493019.1
OG0001612	AT5G12230.1	XP_010419811.1, XP_019098049.1, XP_010453286.1
OG0001613	AT5G11730.1	XP_010419754.1, XP_010453221.1, XP_010491917.1
OG0001613	AT5G25970.1	XP_010493855.1, XP_010421452.1
OG0001614	AT5G64960.1	XP_010484293.1, XP_010444457.1
OG0001614	AT5G10270.1	XP_010491686.1, XP_010422863.1
OG0001615	AT2G22290.1	XP_010472219.1, XP_010429146.1
OG0001615	AT5G10260.1	XP_010422866.1, XP_010491685.1, XP_010453053.1
OG0001616	AT5G09730.1	XP_010422950.1, XP_010491610.1, XP_010452969.1
OG0001616	AT5G64570.1	XP_010461983.1, XP_010444394.1, XP_010484241.1
OG0001617	AT5G09220.1	XP_010491540.1, XP_010452897.1, XP_010423021.1
OG0001617	AT5G63850.1	XP_010461080.1, XP_010444306.1
OG0001618	AT5G23090.1	XP_010454589.1, XP_010493421.1, XP_010421107.1
OG0001618	AT5G08190.1	XP_010423124.1, XP_010452796.1, XP_010491444.1
OG0001619	AT4G03010.1	XP_010422507.1, XP_010430633.1
OG0001619	AT1G03440.1	XP_010457352.1, XP_010474965.1, XP_010482019.1
OG0001620	AT1G07570.3	XP_010457947.1, XP_010487664.1, XP_010475518.1
OG0001620	AT2G28930.1	XP_019101458.1, XP_019093996.1, XP_019083084.1
OG0001621	AT2G29990.1	XP_010469907.1, XP_010510421.1
OG0001621	AT1G07180.1	XP_010487207.1, XP_010457885.1, XP_010475471.1
OG0001622	AT1G07090.1	XP_010457872.1, XP_010475462.1, XP_010487116.1
OG0001623	AT2G30440.1	XP_010414265.1, XP_010469853.1, XP_010491643.1
OG0001623	AT1G06870.1	XP_010457838.1, XP_010475438.1, XP_010486791.1
OG0001624	AT2G30930.1	XP_010414200.1, XP_010510269.1, XP_010469783.1
OG0001624	AT1G06540.1	XP_010475389.1, XP_010486299.1, XP_010457783.1
OG0001625	AT2G31730.1	XP_010469680.1, XP_019098417.1, XP_010510164.1
OG0001625	AT1G05710.10	XP_010475285.1, XP_010457664.1, XP_010485251.1
OG0001626	AT1G04630.1	XP_010457519.1, XP_010457518.1, XP_010475126.1, XP_010484001.1, XP_010497689.2
OG0001626	AT2G33220.2	XP_010509915.1, XP_010413900.1, XP_010469502.1
OG0001627	AT1G04510.1	XP_010483893.1, XP_010457499.1, XP_010475111.1
OG0001627	AT2G33340.1	XP_010509903.1, XP_010413886.1, XP_010469490.2
OG0001628	AT1G04070.1	XP_010483014.1, XP_010457433.1, XP_010475045.1
OG0001628	AT5G43970.1	XP_010481791.1, XP_010441932.1, XP_010494392.1, XP_010481790.1
OG0001629	AT4G03520.1	XP_010455884.1, XP_010431129.1, XP_010422454.1
OG0001629	AT1G03680.1	XP_010482382.1, XP_010474996.1, XP_010457378.1
OG0001630	AT4G25700.1	XP_010433597.1, XP_010438839.1, XP_010448386.1
OG0001630	AT5G52570.1	XP_010445052.1, XP_010442795.1, XP_010482624.1
OG0001631	AT5G43130.2	XP_010495627.1, XP_019095380.1, XP_010442067.1
OG0001631	AT1G27720.1	XP_019094318.1, XP_010497300.1, XP_010460530.1, XP_010499259.1
OG0001632	AT2G33870.1	XP_010509813.1, XP_010413792.1, XP_010469411.1
OG0001632	AT1G28550.1	XP_010460654.1
OG0001633	AT5G61700.1	XP_010443994.1, XP_010496918.1
OG0001633	AT5G61740.1	XP_019087223.1, XP_010457663.1
OG0001634	AT1G13910.1	XP_010476421.1, XP_019090888.1, XP_010495663.1
OG0001635	AT5G23670.1	XP_010454654.1, XP_010493489.1, XP_010421176.1
OG0001635	AT3G48780.1	XP_010503519.1, XP_010515202.1, XP_010426376.1
OG0001636	AT3G49550.1	XP_010515306.1, XP_010503615.1, XP_010426470.1
OG0001636	AT5G24610.1	XP_010493714.1, XP_010454783.1, XP_010454781.1, XP_010421301.1
OG0001637	AT5G19520.1	XP_010454234.1, XP_010493023.1
OG0001638	AT5G19990.1	XP_010420827.1, XP_010493091.1, XP_010454292.1, XP_010454291.1, XP_010493090.1, XP_010420826.1
OG0001640	AT4G26670.1	XP_010448230.1, XP_010433455.1, XP_010438715.1
OG0001640	AT5G55510.1	XP_010443182.1, XP_010449724.1, XP_010482998.1
OG0001641	AT5G55180.2	XP_010482941.1, XP_010443128.1, XP_010449211.1
OG0001641	AT4G26830.2	XP_019089614.1, XP_010438690.1, XP_010433433.1
OG0001642	AT5G55050.1	XP_010482926.1, XP_010443103.1, XP_010448960.1
OG0001643	AT4G27350.1	XP_010448148.1, XP_010433380.1, XP_010438626.1
OG0001643	AT5G54240.1	XP_010446683.1, XP_010443000.1, XP_010482831.1
OG0001644	AT3G11710.1	XP_010464899.1, XP_010498015.1, XP_010486839.1
OG0001645	AT3G11450.1	XP_010486796.1, XP_010486798.1, XP_010486797.1, XP_010464848.1, XP_019096360.1
OG0001645	AT5G06110.1	XP_010423388.1, XP_010452525.1
OG0001646	AT5G05610.1	XP_010423449.1, XP_010452468.1, XP_010491093.1
OG0001646	AT3G11200.1	XP_010464820.1, XP_010486763.1, XP_019101189.1
OG0001647	AT3G57140.1	XP_010516321.1, XP_010504636.1, XP_010427580.1
OG0001647	AT5G04040.1	XP_010490898.2, XP_010452294.1
OG0001648	AT5G40770.1	XP_010436012.1, XP_010441235.1, XP_010450622.1
OG0001648	AT3G27280.1	XP_010425473.1
OG0001649	AT5G40890.1	XP_010450591.1, XP_010441254.1, XP_010436030.1
OG0001649	AT3G27170.1	XP_010502677.1, XP_010425454.1, XP_010514406.1
OG0001650	AT5G41390.1	XP_010436860.1, XP_010447458.1, XP_010445723.1, XP_010445724.1, XP_010436091.1
OG0001650	AT1G63830.1	XP_010473629.1, XP_010418418.1, XP_010430492.1
OG0001651	AT1G16240.1	XP_010459159.1, XP_010476728.1, XP_010497722.1
OG0001651	AT1G79590.3	XP_010472824.1, XP_010429855.1, XP_010417628.1
OG0001652	AT1G79340.1	XP_010429817.1, XP_010417598.1, XP_010472789.1
OG0001652	AT1G79330.1	XP_010417596.1, XP_010472787.1, XP_010429814.1
OG0001653	AT1G16460.2	XP_010497860.1, XP_010476757.1, XP_010459188.1
OG0001653	AT1G79230.1	XP_010472766.1, XP_010429794.1, XP_010417543.1
OG0001654	AT1G56270.1	XP_019087690.1
OG0001655	AT1G65480.2	XP_010470415.1, XP_010415085.1, XP_010511444.1
OG0001655	AT4G20370.1	XP_010439584.1
OG0001656	AT1G76460.1	XP_019083401.1, XP_010474365.1
OG0001656	AT1G20880.1	XP_010459779.1, XP_010477345.1, XP_010498531.1
OG0001657	AT4G35460.1	XP_010446922.1, XP_010437469.1, XP_010432279.1
OG0001657	AT2G17420.1	XP_010489368.1, XP_010515076.2, XP_010467512.1
OG0001658	AT2G17870.1	XP_010489425.1, XP_010413357.1, XP_010467585.1
OG0001658	AT4G36020.1	NP_001306212.1, XP_010432203.1, XP_010437390.1
OG0001659	AT1G54320.1	XP_010501260.1, XP_010462485.1, XP_010480182.1
OG0001659	AT3G12740.1	XP_010499430.1, XP_010487000.1, XP_010465053.1
OG0001660	AT1G53830.1	XP_010462289.1, XP_010501045.1, XP_010479961.1
OG0001660	AT3G14310.1	XP_010465323.1, XP_010501842.1
OG0001661	AT1G53035.2	XP_010462159.1, XP_010500932.1, XP_010479836.1
OG0001661	AT3G15358.1	XP_019096657.1, XP_010465496.1, XP_010502827.1
OG0001662	AT2G35970.1, AT4G09590.1, AT2G35960.1	XP_010509529.1, XP_010516804.1
OG0001662	AT3G52470.1	XP_010515712.1, XP_010426862.1
OG0001663	AT3G52770.1	XP_019102488.1, XP_019101001.1, XP_019099869.1, XP_019082487.1, XP_019085695.1, XP_019099854.1
OG0001664	AT2G36500.1	XP_010505198.1, XP_010516875.1, XP_010509462.1
OG0001664	AT3G52950.1	XP_010515774.1, XP_010426927.1, XP_010504047.1
OG0001665	AT2G36530.1	XP_010509461.1, XP_010505199.1, XP_010516879.1
OG0001666	AT4G14760.1	XP_010449991.1, XP_010440394.1, XP_010435071.1
OG0001666	AT3G22790.1	XP_010488311.1, XP_010511689.1, XP_019098503.1, XP_010466569.1
OG0001667	AT4G15800.1	XP_010434917.1, XP_010440247.1, XP_010449887.1
OG0001667	AT3G16570.1	XP_010487517.1, XP_010487519.1, XP_010465683.1, XP_010504445.1
OG0001668	AT3G16690.3	XP_010487533.1, XP_010504546.1, XP_010465690.1
OG0001668	AT4G15920.1	XP_010449877.1, XP_010440232.1, XP_010434908.1
OG0001669	AT4G15955.3	XP_010449873.1, XP_010440227.1, XP_010434903.1
OG0001669	AT4G15960.1	XP_010449872.1, XP_010434902.1
OG0001670	AT1G74010.1	XP_010428361.1, XP_010428362.1, XP_010471491.1
OG0001670	AT1G74020.1	XP_010416234.1, XP_010471492.1, XP_010428364.1
OG0001671	AT3G28500.1	XP_010514554.1, XP_010425630.1
OG0001671	AT5G40040.1	XP_010450734.1, XP_010441119.1, XP_010435954.1
OG0001672	AT3G26618.1	XP_010514314.1, XP_010502594.1, XP_010425373.1
OG0001672	AT1G12920.1	XP_010476272.1, XP_010494768.1, XP_010458731.1
OG0001673	AT3G25990.1	XP_010514227.1, XP_010502488.1
OG0001673	AT1G13450.1	XP_010495310.1, XP_010458794.1, XP_010476341.1
OG0001674	AT3G19540.1	XP_010507798.1, XP_010466103.1, XP_010487899.1
OG0001674	AT1G49840.1	XP_010500536.1, XP_010479428.1, XP_010461836.1
OG0001675	AT1G50310.1	XP_010479485.1, XP_010500594.1, XP_010461877.1
OG0001675	AT3G19940.1	XP_010508245.1, XP_010489959.1
OG0001676	AT3G21055.2	XP_010466320.1, XP_010509620.1
OG0001676	AT1G51400.1	XP_010500714.1, XP_010461968.1, XP_010479622.1
OG0001677	AT3G16480.1	XP_010487509.1, XP_010465671.1
OG0001677	AT1G51980.1	XP_010479701.1, XP_010462039.1, XP_010500794.1
OG0001678	AT1G52060.1	XP_010479705.1, XP_010500796.1, XP_019090768.1
OG0001678	AT1G52070.1	XP_010479706.1, XP_010462048.1, XP_010500797.1
OG0001679	AT1G52740.1	XP_010462129.1, XP_010500891.1, XP_010479795.1
OG0001680	AT5G38080.1	XP_010448154.1
OG0001681	AT4G17615.3	XP_010449589.1, XP_010434638.1, XP_010439978.1
OG0001681	AT5G47100.1	XP_010494932.1, XP_010441500.1, XP_010481366.1
OG0001682	AT5G47110.1	XP_010441499.1, XP_010481365.1, XP_010494934.1
OG0001682	AT4G17600.1	XP_010449591.1, XP_010434643.1, XP_010439981.1
OG0001683	AT2G16660.1	XP_010467394.1, XP_010516479.1
OG0001683	AT4G34950.1	XP_010447017.1
OG0001684	AT2G16730.1	XP_010516339.1
OG0001684	AT4G35010.1	XP_010432357.1, XP_010447011.1, XP_010437540.1
OG0001685	AT4G22140.1	XP_010439361.1, XP_010434075.1, XP_010448927.1
OG0001686	AT4G22120.1	XP_019087088.1, XP_010434078.1, XP_010448930.1
OG0001686	AT4G04340.1	XP_019084100.1, XP_010496174.1
OG0001687	AT4G21810.1	XP_010449003.1, XP_010439423.1, XP_010434125.1
OG0001687	AT4G04860.1	XP_010455792.1, XP_010422320.1, XP_010432120.1
OG0001689	AT1G35580.1	XP_010478951.1, XP_010500040.1, XP_010461321.1
OG0001689	AT4G09510.1	XP_010438400.1, XP_010496150.1
OG0001690	AT3G63030.1	XP_010512702.1, XP_010413207.1, XP_010468894.1
OG0001690	AT4G22745.1	XP_010439294.1, XP_010434002.1, XP_010448851.1
OG0001691	AT3G62860.1	XP_010413226.1, XP_010468913.1, XP_010512681.1
OG0001691	AT2G47630.1	XP_010506800.1, XP_010518470.1, XP_010507868.1
OG0001692	AT3G62700.1	XP_010468928.1, XP_010413253.1, XP_010512665.1
OG0001692	AT2G47800.1	XP_010506818.1, XP_010518496.1, XP_010507852.1
OG0001693	AT2G46970.1	XP_019082436.1, XP_010506718.1, XP_019100995.1
OG0001693	AT3G62090.2	XP_019093081.1
OG0001694	AT5G39010.1	XP_019098384.1, XP_010450842.1
OG0001695	AT3G60260.1	XP_010512335.1, XP_010469207.1
OG0001695	AT2G44770.1	XP_010518081.1, XP_019101177.1, XP_010506412.1
OG0001696	AT3G60250.1	XP_010413582.1, XP_010512333.1
OG0001696	AT2G44680.1	XP_010508265.1, XP_010506396.1, XP_010518072.1
OG0001697	AT2G43240.1	XP_010506185.1, XP_010508453.1, XP_010517875.1
OG0001697	AT3G59360.1	XP_010469346.1, XP_010512189.1, XP_010413702.1
OG0001698	AT2G42830.2	XP_010506124.1, XP_010517826.1, XP_010508520.1
OG0001698	AT3G58780.4	XP_010516534.1, XP_010504840.1, XP_010427788.1
OG0001699	AT2G42300.1	XP_010506043.1, XP_010517746.1, XP_010508593.1
OG0001699	AT3G57800.1	XP_010427669.1, XP_019102423.1, XP_010504720.1
OG0001700	AT3G56980.1	XP_010504611.1, XP_010516301.1, XP_010427553.1
OG0001700	AT3G56970.1	XP_010504610.1, XP_010412809.1, XP_010431420.1
OG0001701	AT3G54560.1	XP_010515991.1, XP_010504270.1, XP_010427164.1
OG0001701	AT2G38810.1	XP_010505538.1, XP_010517203.1
OG0001702	AT5G11412.1	XP_019097314.1
OG0001702	AT5G53720.1	XP_010442944.1
OG0001703	AT5G35680.3, AT2G04520.1	XP_010467002.1, XP_010488697.1, XP_010488695.1, XP_010435457.1, XP_010440750.1, XP_010514569.1, XP_010450406.1
OG0001704	AT2G12480.3	XP_010468548.2
OG0001704	AT5G42240.1	XP_010493597.1, XP_010482006.1, XP_010442147.1
OG0001705	AT4G04200.1	XP_010422253.1, XP_010432999.1, XP_010496166.1
OG0001705	AT2G39960.1	XP_010517379.1, XP_010505698.1, XP_010508939.1
OG0001706	AT4G39250.1	XP_010431894.1, XP_010446463.1, XP_010437040.1
OG0001706	AT2G21650.1	XP_010472163.1, XP_010497645.1, XP_010429089.1, XP_010416923.1
OG0001707	AT4G08850.1	XP_010421795.1, XP_010436287.1, XP_010455295.1
OG0001707	AT1G35710.1	XP_019094953.1, XP_019096008.1
OG0001708	AT4G10040.1	XP_010437668.1, XP_010421920.1, XP_010455399.1
OG0001708	AT1G22840.1	XP_010498769.1, XP_010460049.1, XP_010477555.1
OG0001709	AT4G10430.1	XP_010421959.1, XP_010437116.1, XP_010455439.1
OG0001709	AT1G33230.2	XP_010461137.1, XP_010480853.1, XP_010499861.1
OG0001710	AT3G05920.1	XP_010464150.1, XP_010486068.1, XP_010433691.1
OG0001710	AT5G26690.1	XP_010493917.1, XP_010455012.1, XP_010421517.1
OG0001711	AT5G27330.1	XP_010455138.2, XP_019085393.1, XP_010421642.1, XP_010494026.1
OG0001711	AT3G05130.1	XP_010464024.1, XP_010423735.1, XP_010485915.1
OG0001712	AT3G05030.1	XP_019099954.1, XP_010485901.1, XP_010464004.1
OG0001712	AT5G27150.1	XP_010455152.1, XP_010421653.1, XP_010494039.1
OG0001713	AT2G43510.1	XP_010508417.1, XP_010505944.1, XP_010506232.1, XP_019101985.1
OG0001714	AT3G01240.1	XP_010514495.1, XP_010463552.1, XP_010485522.1
OG0001715	AT3G03240.1	XP_010485660.1, XP_010507797.1, XP_010463772.1
OG0001715	AT3G03230.1	XP_010507732.1
OG0001716	AT1G08630.1	XP_010458106.1, XP_010489194.1, XP_010475669.1
OG0001716	AT3G04520.1	XP_010485829.1, XP_010415759.1, XP_010463930.1
OG0001717	AT3G16640.1	XP_010487528.1, XP_010504500.1, XP_010465687.1
OG0001717	AT3G05540.1	XP_010486007.1, XP_010428569.1, XP_019092551.1, XP_010497617.1
OG0001719	AT3G06300.1	XP_010437904.1, XP_010486127.1
OG0001719	AT5G18900.1	XP_010420665.1, XP_010454140.1, XP_010492924.1
OG0001720	AT3G06400.3	XP_010486148.1, XP_010439511.1, XP_010464212.1, XP_010468044.1
OG0001720	AT5G18620.2	XP_010492878.1
OG0001721	AT3G06460.1	XP_010440679.1, XP_010486155.1
OG0001721	AT3G06470.1	XP_010486157.1, XP_010440870.1
OG0001722	AT3G06700.1	XP_010443909.1, XP_010464257.1, XP_010486197.1
OG0001722	AT3G06680.1	XP_010464256.1, XP_010486196.1, XP_010443791.1
OG0001723	AT3G07010.1	XP_010464311.1, XP_010447044.1, XP_010486231.1
OG0001723	AT5G48900.1	XP_010442341.1, XP_010482158.1, XP_010439830.1
OG0001724	AT4G08520.1	XP_010421770.1, XP_019089813.1, XP_010455276.1
OG0001724	AT3G09800.6	XP_010477207.1, XP_010486553.1
OG0001725	AT2G23930.1	XP_010417132.1, XP_010472386.1
OG0001725	AT3G11500.1	XP_010464861.1, XP_010486812.1, XP_010496483.1
OG0001726	AT3G18000.1	XP_010465872.1, XP_010487709.1, XP_010506234.1
OG0001726	AT1G48600.2	XP_010461685.1, XP_010461752.1, XP_010461683.1
OG0001727	AT3G18295.1	XP_010487745.1, XP_010506750.1, XP_010465919.1
OG0001727	AT1G48770.1	XP_010500418.1, XP_010479306.1, XP_010461705.1
OG0001728	AT4G28000.2	XP_019088521.1, XP_010433278.1
OG0001728	AT5G52882.1	XP_010442834.1, XP_010482665.1
OG0001729	AT3G51420.1	XP_010503835.1, XP_010426697.1
OG0001729	AT3G51440.1	XP_010503836.1, XP_010426698.1
OG0001730	AT1G01440.1	XP_010457128.1, XP_010474740.1, XP_010480300.1
OG0001730	AT4G01090.1	XP_010427803.1, XP_010456212.1, XP_010422766.1
OG0001731	AT4G01060.1	XP_010456208.1, XP_010422763.1, XP_010427843.1
OG0001731	AT1G01380.1	XP_010474735.1, XP_010457133.1, XP_010480328.1
OG0001732	AT4G01960.1	XP_010422667.1, XP_010456100.1, XP_010428986.1
OG0001732	AT1G02380.1	XP_010474651.1, XP_010457212.1
OG0001733	AT1G02690.2	XP_019094934.1, XP_010501290.1, XP_010474848.1, XP_019094936.1
OG0001733	AT4G02150.1	XP_010424664.1, XP_010456072.1, XP_010429262.1
OG0001734	AT1G58080.1	XP_010414779.1
OG0001734	AT1G09795.1	XP_010475828.1, XP_010490336.1
OG0001735	AT1G10950.1	XP_010492178.1, XP_010458475.1, XP_010475983.1
OG0001736	AT1G61250.1	XP_010473333.1, XP_010430139.1, XP_010418095.1
OG0001736	AT1G11180.2	XP_010476025.1, XP_010492493.1, XP_010458504.1
OG0001737	AT1G30350.1	XP_010460825.1, XP_010499566.1, XP_010478421.1
OG0001737	AT1G11920.1	XP_010458609.1, XP_010493521.1, XP_010476138.1
OG0001738	AT1G62510.1	XP_010430305.1, XP_010473467.1, XP_010418243.1
OG0001738	AT1G12090.1	XP_010493725.1, XP_010476166.1, XP_010458633.1
OG0001739	AT1G13100.1	XP_010501915.1, XP_019091138.1
OG0001739	AT1G13090.2, AT3G26830.1	XP_010481068.2, XP_019091938.1, XP_010500513.1, XP_010494965.1, XP_010476300.1, XP_010458752.1
OG0001740	AT1G23080.1	XP_019091033.1, XP_010498809.1, XP_010477589.1
OG0001740	AT1G70940.1	XP_010427902.1, XP_019094044.1, XP_010415790.1
OG0001741	AT4G37930.1	XP_010437163.1, XP_010432013.1, XP_010446608.1
OG0001741	AT5G26780.2	XP_010421535.1
OG0001742	AT1G70550.1	XP_010427834.1
OG0001742	AT1G23340.1	XP_010460121.1, XP_010498842.1, XP_010477629.1
OG0001743	AT1G23820.1	XP_010477685.1, XP_010460158.2, XP_010498889.1
OG0001743	AT1G70310.1	XP_010415708.1, XP_010471027.1, XP_010427802.1
OG0001745	AT4G39770.1	XP_010431963.1, XP_010446535.1, XP_010437099.1
OG0001745	AT2G22190.1	XP_019093502.1, XP_010429136.1, XP_010416975.1
OG0001746	AT2G22430.1	XP_010429165.1, XP_010472232.1, XP_010417002.1
OG0001746	AT4G40060.1	XP_010437140.1, XP_010431992.1, XP_010446568.1
OG0001747	AT4G37580.1	XP_010451018.1, XP_010432047.1, XP_010437208.1
OG0001747	AT2G23060.1	XP_010429249.1, XP_010417061.1, XP_010472304.1
OG0001748	AT3G19960.2	XP_010487954.1, XP_010508266.1, XP_010466165.1
OG0001748	AT1G50360.1	XP_010500596.1, XP_010463346.1, XP_010479488.1
OG0001749	AT2G16580.1	XP_010516567.1, XP_010497777.1, XP_010467386.1
OG0001749	AT4G34760.1	XP_010437567.1, XP_010432377.1, XP_010447036.1
OG0001750	AT4G31630.1	XP_010432841.1, XP_010447523.1
OG0001751	AT4G30990.3	XP_019086676.1, XP_010445040.1, XP_019089460.1
OG0001752	AT1G23840.1	XP_010498890.1, XP_010477686.1, XP_010460159.1
OG0001752	AT1G23850.1	XP_010477690.2, XP_010460160.1
OG0001752	AT1G23830.1	XP_010460156.1, XP_010498888.1
OG0001753	AT3G04545.1, AT1G32763.1, AT3G04540.1	XP_019083151.1, XP_019093726.1, XP_019101100.1, XP_019099104.1, XP_019096807.1, XP_019092664.1, XP_019101104.1, XP_019096803.1, XP_019096806.1, XP_019096321.1, XP_019093746.1, XP_019092660.1, XP_019092658.1, XP_019092663.1, XP_019092644.1, XP_019092643.1, XP_019092642.1
OG0001754	AT2G16130.1	XP_010472919.1, XP_010472942.1, XP_010495901.1, XP_010435020.1, XP_010484928.1, XP_010516958.1, XP_010468639.1, XP_010442448.1, XP_010445995.1, XP_019088155.1
OG0001755	AT3G44920.1, AT3G44930.1	XP_010507190.2, XP_019101857.1, XP_010430978.1
OG0001755	AT3G44910.1	XP_019102110.1, XP_010507189.1, XP_010430977.1
OG0001756	AT4G15230.1, AT4G15215.11	XP_010440322.1, XP_010435036.1
OG0001756	AT4G15236.1, AT4G15233.1	XP_010449957.1, XP_010435039.1
OG0001763	AT3G03490.1	XP_010511244.1, XP_010485690.1, XP_010463798.1
OG0001763	AT5G17550.1	XP_010420483.1, XP_010453956.1, XP_010492713.1
OG0001764	AT5G16730.1	XP_010420375.1, XP_010492598.1, XP_010453838.1
OG0001764	AT3G02930.1	XP_010485626.1, XP_010503577.1, XP_010463726.1
OG0001765	AT5G16440.1	XP_010492543.1, XP_010453803.1, XP_010420338.1
OG0001765	AT3G02780.1	XP_010501405.1, XP_010463703.1
OG0001766	AT5G16360.1	XP_010492520.1, XP_010420324.1, XP_010453793.1
OG0001767	AT1G11340.1	XP_010476054.1, XP_019091457.1
OG0001767	AT1G11410.4	XP_019094832.1, XP_010458537.1, XP_010492761.1
OG0001768	AT1G70300.1	XP_010427801.1, XP_010415707.1, XP_010471026.1
OG0001768	AT5G14880.1	XP_010453618.1, XP_019083814.1
OG0001769	AT3G01700.1	XP_019096307.1, XP_010485379.1, XP_010496266.1, XP_010496268.1
OG0001769	AT5G14380.1	XP_010456531.1, XP_010420072.1
OG0001770	AT1G80560.1	XP_010472534.1, XP_010429527.1, XP_010417301.1
OG0001770	AT1G31180.2, AT5G14200.1	XP_010420047.1
OG0001771	AT4G02465.1	XP_019085113.1
OG0001771	AT1G31660.1	XP_010478909.1, XP_010460985.1, XP_010499711.1
OG0001772	AT5G10540.1	XP_010422832.1, XP_010491732.1
OG0001772	AT5G65620.2	XP_010484397.1, XP_010463409.1, XP_010444572.1
OG0001773	AT5G65390.1	XP_010463135.1, XP_010444533.1, XP_010484372.1
OG0001773	AT5G10430.1	XP_010453067.1, XP_010491711.1, XP_010422844.1
OG0001774	AT5G08020.1	XP_010452776.1, XP_010423144.1
OG0001774	AT5G61000.1	XP_010456895.1, XP_010483760.1, XP_010443916.1
OG0001775	AT5G07620.1	XP_010452731.1, XP_010423188.1, XP_010491380.1
OG0001775	AT5G61570.1	XP_010483836.1, XP_010457487.1, XP_010443977.1
OG0001776	AT1G03210.2	XP_010474941.1, XP_010474942.1, XP_010457329.1
OG0001776	AT4G02860.1	XP_010422524.1, XP_010455935.1, XP_019089026.1
OG0001777	AT1G07510.1	XP_010475511.1, XP_010487541.1
OG0001777	AT2G29080.1	XP_010414442.1, XP_010469994.1, XP_010510537.1
OG0001778	AT2G29390.1	XP_010510496.1, XP_010414390.1, XP_010469958.1
OG0001778	AT1G07420.1	XP_010501353.1, XP_010475499.1
OG0001779	AT2G29570.1	XP_010469939.1, XP_010510478.1, XP_010414374.1
OG0001779	AT1G07370.1	XP_010487404.1, XP_010475495.1, XP_010457912.1
OG0001780	AT1G07030.1	XP_010487033.1, XP_010457865.1, XP_010475455.1
OG0001780	AT2G30160.1	XP_010414293.1, XP_010469883.1, XP_010510397.1
OG0001781	AT1G06170.1	XP_010475345.1, XP_010457738.1
OG0001781	AT2G31220.2	XP_010469745.1, XP_010414163.1, XP_010510222.1
OG0001782	AT2G33210.1	XP_010509916.1, XP_010469503.1, XP_010413901.1
OG0001782	AT3G23990.1	XP_010513304.1, XP_010488513.1, XP_010466805.1
OG0001783	AT5G44110.1	XP_010481776.1, XP_010494411.1, XP_010441950.1
OG0001783	AT1G03905.1	XP_010482711.1, XP_010457410.1, XP_010475022.1
OG0001784	AT4G25240.1	XP_010433669.1, XP_010448456.1, XP_010438904.1
OG0001784	AT5G51480.1	XP_010442654.1, XP_010482484.1, XP_010443342.1
OG0001785	AT5G51980.1	XP_010444176.1, XP_010482544.1, XP_010442709.1
OG0001785	AT4G25440.1	XP_010438882.1, XP_010448432.1, XP_010433635.1
OG0001786	AT4G25490.1, AT4G25470.1	XP_010438876.1, XP_010433630.1, XP_010448427.1, XP_010438877.1, XP_010433632.1
OG0001786	AT4G25480.1	XP_010448428.1, XP_010433631.1
OG0001787	AT5G42980.1	XP_010481919.1, XP_010442091.1, XP_010494264.1
OG0001787	AT1G45145.1	XP_010461472.1, XP_010500181.1, XP_010479072.1
