Orthogroup	Arabidopsis_thaliana	Eutrema_salsugineum
OG0001716	AT3G04520.1	XP_006408182.1
OG0001717	AT3G16640.1	XP_006406818.1
OG0001717	AT3G05540.1	XP_006408060.2
OG0001719	AT3G06300.1	XP_006407963.1
OG0001719	AT5G18900.1	XP_006400443.1
OG0001720	AT3G06400.3	XP_006407951.1
OG0001720	AT5G18620.2	XP_006400411.1
OG0001721	AT3G06460.1	XP_006407943.1, XP_006407942.1
OG0001722	AT3G06700.1, AT3G06680.1	XP_006407911.1
OG0001723	AT3G07010.1	XP_024015131.1
OG0001723	AT5G48900.1	XP_006395133.2
OG0001724	AT4G08520.1	XP_006397289.1
OG0001724	AT3G09800.6	XP_006407636.1
OG0001725	AT3G11500.1	XP_006407442.1
OG0001726	AT3G18000.1	XP_006406666.1
OG0001726	AT1G48600.2	XP_006393387.2
OG0001727	AT3G18295.1	XP_006406620.1
OG0001727	AT1G48770.1	XP_024006229.1
OG0001728	AT4G28000.2	XP_006413006.1
OG0001728	AT5G52882.1	XP_006401767.1
OG0001729	AT3G51430.1, AT3G51450.1, AT3G51420.1, AT3G51440.1	XP_024013489.1
OG0001730	AT1G01440.1	XP_006418421.1
OG0001730	AT4G01090.1	XP_006396302.1
OG0001731	AT4G01060.1	XP_006396306.1
OG0001731	AT1G01380.1	XP_006418418.1
OG0001732	AT4G01960.1	XP_006396393.1
OG0001732	AT1G02380.1	XP_006418349.1
OG0001733	AT4G02150.1	XP_006396421.1
OG0001734	AT1G58080.1	XP_006392338.1
OG0001734	AT1G09795.1	XP_006417535.1
OG0001735	AT1G10950.1	XP_006417401.1
OG0001736	AT1G61250.1	XP_006392026.1
OG0001736	AT1G11180.2	XP_006417383.1
OG0001737	AT1G30350.1	XP_024005319.1
OG0001737	AT1G11920.1	XP_024008383.1
OG0001738	AT1G62510.1	XP_006391856.1
OG0001738	AT1G12090.1	XP_006417266.1
OG0001739	AT1G13100.1	XP_024008364.1
OG0001739	AT1G13090.2, AT3G26830.1	XP_006417155.1
OG0001740	AT1G23080.1	XP_006416127.1
OG0001741	AT4G37930.1	XP_006411834.1
OG0001741	AT5G26780.2	XP_006390781.1
OG0001742	AT1G70550.1	XP_006390872.2
OG0001742	AT1G23340.1	XP_006416094.2
OG0001745	AT4G39770.1	XP_006411773.1
OG0001745	AT2G22190.1	XP_006404674.2
OG0001746	AT2G22430.1	XP_006404700.1
OG0001746	AT4G40060.1	XP_006411810.1
OG0001747	AT4G37580.1	XP_006411873.1
OG0001747	AT2G23060.1	XP_006404772.1
OG0001748	AT3G19960.2	XP_024015049.1
OG0001748	AT1G50360.1	XP_024006005.1
OG0001749	AT2G16580.1	XP_006409422.1
OG0001750	AT4G31630.1	XP_024004602.1
OG0001751	AT4G30990.3	XP_024005882.1
OG0001752	AT1G23840.1	XP_024007686.1
OG0001752	AT1G23830.1	XP_024008163.1
OG0001754	AT2G16130.1, AT2G16120.1	XP_006409469.1
OG0001755	AT3G44910.1	XP_006419089.1
OG0001756	AT4G15230.1, AT4G15215.11	XP_024005153.1
OG0001756	AT4G15236.1, AT4G15233.1	XP_024005841.1
OG0001763	AT3G03490.1	XP_006400003.2
OG0001763	AT5G17550.1	XP_006400295.1
OG0001764	AT3G02930.1	XP_006408361.1
OG0001765	AT5G16440.1	XP_006400180.2
OG0001765	AT3G02780.1	XP_024014833.1
OG0001766	AT5G16360.1	XP_006400171.1
OG0001767	AT1G11340.1	XP_024007712.1
OG0001767	AT1G11410.4	XP_024007715.1
OG0001768	AT1G70300.1	XP_006390898.1
OG0001768	AT5G14880.1	XP_024011554.1
OG0001769	AT3G01700.1	XP_006408539.1
OG0001769	AT5G14380.1	XP_006399949.1
OG0001770	AT1G80560.1	XP_006389810.1
OG0001770	AT1G31180.2, AT5G14200.1	XP_006399931.1
OG0001771	AT1G31660.1	XP_006415318.1
OG0001772	AT5G10540.1	XP_006399552.1
OG0001772	AT5G65620.2	XP_006394007.1
OG0001773	AT5G65390.1	XP_024007549.1
OG0001773	AT5G10430.1	XP_024012423.1
OG0001774	AT5G08020.1	XP_006399289.1
OG0001774	AT5G61000.1	XP_006394544.1
OG0001775	AT5G07620.1	XP_006399244.1
OG0001775	AT5G61570.1	XP_006394491.1
OG0001776	AT1G03210.2	XP_006418254.1
OG0001776	AT4G02860.1	XP_006396512.1
OG0001777	AT1G07510.1	XP_006417796.1
OG0001777	AT2G29080.1	XP_006409951.1
OG0001778	AT2G29390.1	XP_006409985.1
OG0001778	AT1G07420.1	XP_006417806.1
OG0001779	AT2G29570.1	XP_006410014.1
OG0001779	AT1G07370.1	XP_006417809.1
OG0001780	AT1G07030.1	XP_006417853.2
OG0001780	AT2G30160.1	XP_006410089.1
OG0001781	AT1G06170.1	XP_006417951.2
OG0001781	AT2G31220.2	XP_024003913.1
OG0001782	AT2G33210.1	XP_006410460.1, XP_006410461.1
OG0001783	AT5G44110.1	XP_006403140.1
OG0001783	AT1G03905.1	XP_006418189.1
OG0001784	AT4G25240.1	XP_006413326.1
OG0001784	AT5G51480.1	XP_006401971.1
OG0001785	AT5G51980.1	XP_006401881.1
OG0001785	AT4G25440.1	XP_006413303.1
OG0001786	AT4G25490.1, AT4G25470.1, AT4G25480.1	XP_006413301.1
OG0001787	AT5G42980.1	XP_006403316.1
OG0001787	AT1G45145.1	XP_006393674.1
OG0001788	AT4G08560.1	XP_024008001.1
OG0001789	AT1G30400.1	XP_024008208.1
OG0001789	AT2G34660.1	XP_006410614.2
OG0001790	AT5G63450.2	XP_006394276.1
OG0001790	AT3G48520.1	XP_024013763.1
OG0001791	AT3G21730.1, AT3G11750.1	XP_006407415.1
OG0001792	AT3G48050.1, AT3G48060.2	XP_006404302.1
OG0001793	AT1G24267.2	XP_006415785.1
OG0001793	AT1G24265.3	XP_006415784.1
OG0001794	AT5G23960.1	XP_006393558.2, XP_024006326.1
OG0001795	AT5G26070.1, AT5G26080.1	XP_024007660.1
OG0001795	AT3G20850.1	XP_024014998.1
OG0001796	AT5G22140.1	XP_006400721.1
OG0001797	AT3G44260.1	XP_006404478.1
OG0001797	AT5G22250.1	XP_006400731.1
OG0001798	AT5G60410.2	XP_024011477.1
OG0001799	AT5G59870.1	XP_006400900.1, XP_006400901.1
OG0001800	AT3G46820.1	XP_006418854.1
OG0001800	AT5G59160.1	XP_006400996.1
OG0001801	AT5G56570.1	XP_006401307.2, XP_024005129.1, XP_006401832.1, XP_024011244.1
OG0001802	AT5G55920.1	XP_006401400.1
OG0001802	AT4G26600.5	XP_006413162.1
OG0001803	AT3G11770.1	XP_006407412.1
OG0001803	AT5G06450.1	XP_024011798.1
OG0001804	AT5G05670.1	XP_006399024.1
OG0001804	AT2G18770.2	XP_006409112.1
OG0001805	AT3G10540.1	XP_006407548.1
OG0001805	AT5G04510.1	XP_006398910.1
OG0001806	AT3G10300.6	XP_006407586.1
OG0001806	AT5G04170.1	XP_006398873.1
OG0001807	AT5G04130.1	XP_006398869.1
OG0001807	AT3G10270.2	XP_006407588.1
OG0001808	AT3G09770.1, AT5G03200.1	XP_006407640.1
OG0001809	AT3G27300.4	XP_006395458.1
OG0001809	AT5G40760.1	XP_006405432.1
OG0001810	AT4G36280.1, AT4G36270.1, AT4G36290.1	XP_006412013.1
OG0001811	AT1G17140.1	XP_006416740.1
OG0001811	AT1G78430.1	XP_006389983.2
OG0001812	AT1G76930.1	XP_006390141.2
OG0001813	AT1G76860.1, AT1G21190.1	XP_024010980.1
OG0001814	AT1G76700.1	XP_006390163.2, XP_006390162.1
OG0001814	AT1G21080.3	XP_006416333.1
OG0001815	AT1G76090.1	XP_006390239.1
OG0001815	AT1G20330.1	XP_006416412.1
OG0001816	AT1G72130.1	XP_006390699.1, XP_024012363.1
OG0001818	AT1G19360.1	XP_006416512.1
OG0001818	AT1G75110.1, AT1G75120.1	XP_006390350.2
OG0001819	AT2G17540.1	XP_024016621.1
OG0001819	AT4G35510.1	XP_006412095.1
OG0001820	AT4G36010.1	XP_006412032.1
OG0001820	AT2G17860.1	XP_006409236.1
OG0001821	AT2G36410.1	XP_006410819.1
OG0001821	AT3G52920.1	XP_006403751.1
OG0001822	AT3G26520.1	XP_006395549.1
OG0001822	AT2G36830.1	XP_006410854.1
OG0001823	AT4G15715.1, AT4G15710.1	XP_006414469.2
OG0001824	AT1G73030.1	XP_006390601.1
OG0001824	AT1G17730.1	XP_006416670.1
OG0001825	AT5G54610.1	XP_006401553.1
OG0001826	AT1G74380.1	XP_006390433.1
OG0001826	AT1G18690.1	XP_006416577.1
OG0001827	AT4G29160.1	XP_006412871.1
OG0001827	AT2G19830.2	XP_006408902.1
OG0001828	AT1G26770.2	XP_006415956.1
OG0001828	AT1G69530.3	XP_006391003.1
OG0001829	AT4G18380.1	XP_006414111.1
OG0001829	AT5G46170.1	XP_006398302.1
OG0001830	AT5G45430.1	XP_006398217.1
OG0001830	AT4G19110.2	XP_006414009.1
OG0001832	AT1G51690.5	XP_024006157.1
OG0001833	AT3G16140.1	XP_006406874.1
OG0001833	AT1G52230.1	XP_006392943.2
OG0001834	AT2G34360.1	XP_006410581.1
OG0001834	AT5G52450.1	XP_006401822.1
OG0001835	AT4G17700.1	XP_006416618.2, XP_006416692.2
OG0001836	AT2G29580.1	XP_006410015.1
OG0001837	AT2G15500.1	XP_006409548.1
OG0001837	AT4G34110.1	XP_006412275.1
OG0001838	AT2G17130.1	XP_006409349.1
OG0001838	AT4G35260.1	XP_024005546.1
OG0001839	AT4G23800.1	XP_006413516.1
OG0001839	AT4G11080.1	XP_006396959.1
OG0001840	AT4G22890.1	XP_006413606.1
OG0001840	AT4G11960.1	XP_024009981.1
OG0001842	AT4G20810.1, AT4G20340.1	XP_024005658.1, XP_006392521.1
OG0001843	AT4G05420.1	XP_006396601.1
OG0001843	AT4G21100.1	XP_006413823.1
OG0001844	AT4G05000.1	XP_006396641.1
OG0001844	AT4G21560.1	XP_006413761.1
OG0001845	AT1G08130.1	XP_006417724.1
OG0001845	AT1G49250.1	XP_024014436.1
OG0001846	AT3G57090.1	XP_006402910.1
OG0001847	AT3G62840.1, AT2G47640.1	XP_024012883.1, XP_006397962.1
OG0001848	AT3G62100.1	XP_006402413.1
OG0001848	AT2G46990.1	XP_006397890.1
OG0001849	AT3G60630.1	XP_006402563.1
OG0001849	AT2G45160.1	XP_006397697.1
OG0001850	AT3G60290.1	XP_006402598.1
OG0001851	AT3G60190.1	XP_006402610.1
OG0001851	AT2G44590.3	XP_006397639.1
OG0001852	AT3G60100.2	XP_024012778.1
OG0001852	AT2G44350.2	XP_024010714.1
OG0001853	AT2G44180.1	XP_006397597.1
OG0001853	AT3G59990.1	XP_006402633.1
OG0001854	AT3G59700.1	XP_006402663.1
OG0001855	AT2G40950.1	XP_006411360.1
OG0001855	AT3G56660.1	XP_006402962.1
OG0001856	AT2G39795.1	XP_006411216.1
OG0001856	AT3G55605.1	XP_006403439.1
OG0001857	AT3G54760.1	XP_024013676.1, XP_006403541.1
OG0001858	AT3G53320.1	XP_006403704.1
OG0001858	AT2G37070.1	XP_006410887.1
OG0001859	AT4G36580.1	XP_006411986.1
OG0001859	AT2G18330.1	XP_006409165.1
OG0001860	AT4G36800.1	XP_006411960.1
OG0001860	AT2G18600.1	XP_006409130.1
OG0001861	AT1G65780.1	XP_006391518.1
OG0001861	AT1G65810.1	XP_024009613.1
OG0001862	AT4G12510.1, AT4G12520.1	XP_006396750.1
OG0001863	AT4G04605.1	XP_024010193.1
OG0001863	AT4G04580.1	XP_024014028.1, XP_024009953.1, XP_024010525.1
OG0001864	AT2G22795.1	XP_006404744.1
OG0001864	AT4G37820.1	XP_006411848.1
OG0001865	AT1G36990.1	XP_006396016.1
OG0001865	AT4G08510.1	XP_006397292.1, XP_024010174.1
OG0001866	AT1G09780.1	XP_006417539.1
OG0001866	AT3G08590.1	XP_006407761.1
OG0001867	AT2G42530.1, AT2G42540.2	XP_006411515.1, XP_006411512.1, XP_006411514.1
OG0001869	AT1G20960.1	XP_024008125.1
OG0001869	AT2G42270.1	XP_024003676.1
OG0001871	AT3G02580.1	XP_006408403.1
OG0001871	AT3G02590.1	XP_006408402.1, XP_006393135.1
OG0001872	AT3G06110.2	XP_006407982.1
OG0001872	AT3G23610.3	XP_006406005.2
OG0001873	AT1G14010.1	XP_006417066.1
OG0001873	AT2G03290.1	XP_006395722.1
OG0001874	AT2G25670.1	XP_006405237.1
OG0001874	AT4G32610.1	XP_024005798.1
OG0001875	AT5G39610.1	XP_006414110.2, XP_006405609.1
OG0001875	AT3G29035.1	XP_006395312.1
OG0001876	AT5G39530.1	XP_006405621.1
OG0001876	AT5G39520.1	XP_024014778.1
OG0001877	AT5G38300.1	XP_006405777.1
OG0001877	AT1G67035.2	XP_006391463.1
OG0001878	AT4G00400.1	XP_006396240.1
OG0001878	AT1G01610.1	XP_006418438.1
OG0001879	AT1G10680.1	XP_006417431.1
OG0001879	AT4G25960.1	XP_006413247.1
OG0001880	AT1G10730.1	XP_006417426.1
OG0001880	AT1G60780.1	XP_006392117.1
OG0001881	AT1G12010.1	XP_006417277.1
OG0001881	AT1G62380.1	XP_006391897.1
OG0001882	AT1G12040.1	XP_006417273.1
OG0001882	AT1G62440.1	XP_024004439.1
OG0001883	AT1G63090.1	XP_006391782.1
OG0001883	AT1G12710.2	XP_006417204.1
OG0001884	AT3G25610.1	XP_024007058.1
OG0001884	AT1G13210.1	XP_006417144.1
OG0001885	AT2G02470.1	XP_006395784.1
OG0001885	AT1G14510.1	XP_006417003.1
OG0001886	AT5G49500.1, AT1G15310.1	XP_006416923.2
OG0001886	AT1G48900.1	XP_006393335.1
OG0001888	AT1G72330.3	XP_024006656.1
OG0001888	AT1G17290.1	XP_006416720.1
OG0001889	AT1G17455.1	XP_024008360.1
OG0001889	AT1G72630.1	XP_006390641.1
OG0001890	AT2G02380.1, AT2G02390.3	XP_006395791.1
OG0001891	AT1G70090.1	XP_006390926.2
OG0001891	AT1G24170.1	XP_006416019.1
OG0001892	AT4G37990.1	XP_024005099.1
OG0001892	AT4G37980.1	XP_006411830.1
OG0001893	AT4G32440.2	XP_006412474.1
OG0001894	AT2G14850.1	XP_006409626.1
OG0001894	AT4G33890.1	XP_006412302.1
OG0001895	AT4G31360.1	XP_024005191.1
OG0001895	AT2G24440.1	XP_006404977.1
OG0001896	AT2G24420.1	XP_024014214.1
OG0001896	AT4G31340.1	XP_006412603.1
OG0001897	AT4G30910.2, AT4G30920.1	XP_024005155.1
OG0001897	AT2G24200.1	XP_024014293.1
OG0001900	AT5G39860.1	XP_006405588.1
OG0001900	AT3G28857.1	XP_006395335.1
OG0001901	AT4G18823.1	XP_024004307.1
OG0001901	AT5G19315.1	XP_024012594.1
OG0001902	AT5G51845.1	XP_006418520.1
OG0001910	AT4G30560.1	XP_006412691.1
OG0001910	AT2G23980.2	XP_024014108.1
OG0001911	AT2G24060.1	XP_006404903.1
OG0001912	AT5G16400.1	XP_006400178.1
OG0001912	AT3G02730.1	XP_006408388.1
OG0001913	AT4G27990.1	XP_006414996.1
OG0001913	AT3G07430.1	XP_006407837.1
OG0001914	AT3G02340.1	XP_006408425.1
OG0001914	AT5G15820.1	XP_006400108.1
OG0001915	AT5G13490.1	XP_006399842.1
OG0001915	AT3G08580.1	XP_006407762.1
OG0001916	AT5G19430.4	XP_006400503.1
OG0001916	AT5G12310.1	XP_006399746.1
OG0001917	AT5G19510.1	XP_006400511.1
OG0001918	AT5G24940.1	XP_006394746.1
OG0001918	AT5G10740.1	XP_024012317.1
OG0001919	AT5G24860.2	XP_006394738.1
OG0001919	AT5G10625.1	XP_006399559.1
OG0001920	AT5G65207.1	XP_006394066.1
OG0001920	AT5G10040.1	XP_006399494.1
OG0001922	AT2G22780.1	XP_006404741.1
OG0001922	AT5G09660.4	XP_006399447.1
OG0001923	AT5G09440.1	XP_006399422.1
OG0001923	AT5G64260.1	XP_006394173.1
OG0001924	AT5G07880.1	XP_006399270.1
OG0001924	AT5G61210.1	XP_006394530.1
OG0001925	AT1G06770.1	XP_006417882.1
OG0001926	AT2G30630.2	XP_024016747.1
OG0001926	AT1G06750.2	XP_006417884.2
OG0001927	AT1G06200.2	XP_006417946.1
OG0001927	AT2G31140.1	XP_006410242.1
OG0001928	AT2G15130.1	XP_006409601.2
OG0001928	AT2G15170.1	XP_006409598.1, XP_006409585.1
OG0001929	AT1G04710.1	XP_024008362.1
OG0001929	AT2G33150.1	XP_006410451.1
OG0001930	AT1G03860.1	XP_006418196.1
OG0001931	AT5G52040.2	XP_024011464.1
OG0001932	AT2G46495.1	XP_006397839.1
OG0001933	AT1G28070.1	XP_006415702.1
OG0001934	AT1G31070.2	XP_006415376.1
OG0001934	AT2G35020.1	XP_006410658.1
OG0001935	AT2G35370.1	XP_006410695.1
OG0001935	AT1G32470.1	XP_006415191.1
OG0001936	AT2G35330.1	XP_006403595.1, XP_006410691.1
OG0001936	AT1G32530.1	XP_006415179.1
OG0001937	AT3G50080.1	XP_006404064.1
OG0001937	AT5G67250.1	XP_006394452.1
OG0001938	AT3G15060.1	XP_024015143.1
OG0001938	AT5G60860.1	XP_024007423.1
OG0001939	AT5G23700.3	XP_024006748.1
OG0001939	AT3G48860.2	XP_006404211.1
OG0001940	AT4G32470.1	XP_006412471.1
OG0001940	AT5G25450.1	XP_006394798.1
OG0001942	AT3G44900.1	XP_006419090.1
OG0001942	AT5G22900.1	XP_006400799.2
OG0001943	AT3G45240.1	XP_006419056.1
OG0001944	AT3G46430.1	XP_006418898.1, XP_024012083.1
OG0001945	AT1G60620.1	XP_024004459.1
OG0001945	AT1G60850.1	XP_006392109.1
OG0001946	AT5G58440.1	XP_006401079.1
OG0001946	AT5G07120.1	XP_024005717.1
OG0001947	AT4G25810.1	XP_024005051.1
OG0001948	AT4G25835.1	XP_006413265.1
OG0001949	AT2G17000.1	XP_024016606.1
OG0001949	AT2G17010.1	XP_024016576.1
OG0001950	AT5G38970.1	XP_006405673.1
OG0001950	AT3G30180.1	XP_006395260.1
OG0001951	AT4G26480.1	XP_006413178.1
OG0001951	AT5G56140.1	XP_006401374.1
OG0001952	AT5G54900.1	XP_006401514.1
OG0001952	AT4G27000.1	XP_006413118.1
OG0001953	AT5G54670.1	XP_006401547.1
OG0001953	AT4G27180.1	XP_006413102.1
OG0001954	AT3G12250.4	XP_024014893.1
OG0001954	AT5G06950.1	XP_006399172.1
OG0001955	AT5G06560.1	XP_024012039.1
OG0001955	AT3G11850.1	XP_006407403.1
OG0001956	AT3G10640.1	XP_006407525.1
OG0001956	AT5G04850.2	XP_006398937.1
OG0001957	AT3G09900.1	XP_024015502.1
OG0001957	AT5G03520.1	XP_006398802.1
OG0001958	AT5G03300.1	XP_006398774.1
OG0001958	AT3G09820.1	XP_006407634.1
OG0001960	AT3G27380.1	XP_006395448.1
OG0001960	AT5G40650.1	XP_006405448.1
OG0001961	AT1G15760.1	XP_006416882.1
OG0001961	AT1G80520.1	XP_006389806.1
OG0001962	AT1G80830.1	XP_006389836.1
OG0001962	AT1G15960.1	XP_006416859.1
OG0001963	AT1G16010.1	XP_006416855.1
OG0001963	AT1G80900.1	XP_006389845.1
OG0001964	AT1G16300.1	XP_024008148.1
OG0001964	AT1G79530.1	XP_006389879.1
OG0001965	AT1G20950.1	XP_006416345.1
OG0001965	AT1G76550.1	XP_006390180.1, XP_024008594.1
OG0001966	AT4G35610.1	XP_006412083.1
OG0001966	AT4G35700.1	XP_006409266.2, XP_024016557.1, XP_006412072.2
OG0001967	AT1G20580.1	XP_006416382.1
OG0001967	AT1G76300.1	XP_006390213.1
OG0001968	AT1G75880.1	XP_006390257.1
OG0001968	AT1G75890.3	XP_024009688.1
OG0001969	AT2G17260.1	XP_024016597.1
OG0001969	AT4G35290.1	XP_006412122.1
OG0001970	AT2G17530.1	XP_006409290.1
OG0001970	AT4G35500.2	XP_006412096.1
OG0001971	AT2G17720.1	XP_006409254.1
OG0001972	AT2G17780.1	XP_006409246.2
OG0001972	AT4G35920.1	XP_006412042.1
OG0001973	AT3G14000.1	XP_006407141.1
OG0001974	AT3G14960.1	XP_006407028.1
OG0001974	AT1G53290.1	XP_006392804.1
OG0001975	AT3G52990.1	XP_006403741.2
OG0001975	AT2G36580.1	XP_006410831.1
OG0001977	AT4G13615.1	XP_006414878.1
OG0001977	AT3G24100.1	XP_024009742.1
OG0001978	AT3G02400.1	XP_024015377.1
OG0001979	AT4G14560.1	XP_006414694.1
OG0001979	AT3G23030.2	XP_006406101.1
OG0001980	AT4G14680.2	XP_006414665.1
OG0001980	AT3G22890.1	XP_006406118.1
OG0001982	AT3G56090.1	XP_006403023.1
OG0001982	AT2G40300.1	XP_006411286.1
OG0001983	AT3G46340.1	XP_024009508.1
OG0001984	AT3G26690.1	XP_006395533.2
OG0001984	AT1G12880.1	XP_006417180.2
OG0001985	AT5G45560.1	XP_006398234.1
OG0001985	AT4G19040.2	XP_024005063.1
OG0001986	AT1G49710.1	XP_006393222.1
OG0001987	AT1G50950.2	XP_006393093.1
OG0001987	AT3G20560.1	XP_006406369.1
OG0001988	AT1G51600.1	XP_024006358.1
OG0001988	AT3G21175.1	XP_024015203.1
OG0001989	AT1G52245.1	XP_024006290.1
OG0001991	AT5G26190.1	XP_024014378.1
OG0001992	AT4G17880.1	XP_006414178.1
OG0001992	AT5G46760.1	XP_024010949.1
OG0001993	AT4G01510.5	XP_024010012.1
OG0001993	AT1G01020.1	XP_006418367.1
OG0001994	AT4G11911.1	XP_006396832.1
OG0001994	AT4G22920.1	XP_006413601.1
OG0001995	AT4G22300.1	XP_006413672.1
OG0001996	AT4G21910.2, AT4G21903.2	XP_006413714.1
OG0001997	AT4G05180.1	XP_006396623.1
OG0001997	AT4G21280.2	XP_006413799.1
OG0001998	AT3G62990.1	XP_006402319.1
OG0001998	AT2G47950.2	XP_006397990.1
OG0001999	AT2G45440.1	XP_006397726.1
OG0001999	AT3G60880.2	XP_006402532.1
OG0002000	AT2G45080.1	XP_006397689.1
OG0002000	AT3G60550.1	XP_006402570.1
OG0002001	AT3G60540.1	XP_024012873.1
OG0002001	AT2G45070.1	XP_024010780.1
OG0002002	AT3G60070.1	XP_006402627.1
OG0002002	AT2G44280.1	XP_006397605.1
OG0002003	AT1G10490.1	XP_006417461.1
OG0002003	AT3G57940.1	XP_006402823.1
OG0002004	AT2G41560.1	XP_006411424.1
OG0002004	AT3G57330.1	XP_006402888.1
OG0002005	AT4G27690.1	XP_006413038.1
OG0002005	AT5G53530.1	XP_006401693.1
OG0002007	AT2G38900.2	XP_024003973.1
OG0002008	AT2G38530.1, AT2G15050.1, AT2G38540.1	XP_006411069.1, XP_006411067.1
OG0002009	AT3G51860.2	XP_006403874.1
OG0002009	AT2G38170.3	XP_006411021.1
OG0002011	AT2G21220.1	XP_006404561.1
OG0002011	AT4G38860.1	XP_006411676.1
OG0002012	AT4G09900.1	XP_006397131.1
OG0002013	AT3G05640.1	XP_006408045.1
OG0002013	AT5G27930.1	XP_006394930.1
OG0002014	AT3G62830.1	XP_006402337.1
OG0002014	AT2G47650.2	XP_006397963.1
OG0002015	AT2G47560.1	XP_006397951.1
OG0002015	AT3G62690.1	XP_006402353.1
OG0002016	AT3G17140.1	XP_006406762.2
OG0002017	AT2G42080.1	XP_006411474.1
OG0002017	AT3G58020.1	XP_006402815.1
OG0002018	AT3G05260.1	XP_006408096.1
OG0002018	AT1G54870.2	XP_006392477.1
OG0002020	AT3G17152.1	XP_006406761.1
OG0002020	AT3G17150.1	XP_006406759.1
OG0002021	AT3G17240.1	XP_006406748.1
OG0002021	AT1G48030.1	XP_006393492.1
OG0002022	AT3G17430.1	XP_006406731.1
OG0002022	AT1G48230.1	XP_006393465.1
OG0002023	AT4G04402.1, AT3G29350.1	XP_006395281.1
OG0002023	AT5G39340.2	XP_006405640.1
OG0002024	AT5G37475.1	XP_024014619.1
OG0002025	AT3G22270.1	XP_006406189.1
OG0002025	AT4G14990.1	XP_006414611.1
OG0002026	AT5G18640.2	XP_006400415.1
OG0002026	AT5G18630.1	XP_024012313.1
OG0002027	AT4G01330.2	XP_024009988.1
OG0002027	AT1G01540.2	XP_006418432.1
OG0002028	AT4G01026.1	XP_006396310.1
OG0002028	AT1G01360.1	XP_006418416.1
OG0002029	AT4G01023.2	XP_024009907.1
OG0002029	AT1G01350.1, AT5G06420.1	XP_006418415.2
OG0002030	AT5G38700.1	XP_006418317.1
OG0002030	AT4G02170.1	XP_006396423.1
OG0002031	AT1G05530.1	XP_006415092.1
OG0002032	AT1G56600.1	XP_006392406.1
OG0002032	AT1G09350.1	XP_006417581.1
OG0002033	AT1G10570.1	XP_024007869.1
OG0002033	AT1G60220.1	XP_024016296.1
OG0002034	AT1G11250.1	XP_006417375.1
OG0002034	AT1G61290.1	XP_006392020.1
OG0002035	AT1G11670.1	XP_006417328.1
OG0002035	AT1G61890.1	XP_006391952.1
OG0002036	AT1G63050.1	XP_006391786.1
OG0002036	AT1G12640.1	XP_006417213.1
OG0002037	AT3G26340.1	XP_006395566.1
OG0002037	AT1G13060.2	XP_006417162.1
OG0002038	AT1G14685.1	XP_006416987.1
OG0002038	AT2G01930.1	XP_024007639.1
OG0002039	AT1G15625.1	XP_006416892.1
OG0002041	AT1G23210.1	XP_006416111.1
OG0002041	AT1G70710.1	XP_006390849.1
OG0002042	AT5G41730.1	XP_006405314.1
OG0002042	AT1G64300.1	XP_024015262.1
OG0002043	AT4G38400.1	XP_006411626.1
OG0002045	AT4G33050.5	XP_006412396.1
OG0002045	AT2G26190.1	XP_024016002.1
OG0002047	AT3G50480.1, AT3G50470.1, AT3G50460.1, AT3G50450.1	XP_006404028.1
OG0002048	AT4G09950.1	XP_006397128.1
OG0002048	AT4G09940.2	XP_024011256.1
OG0002056	AT5G58787.1	XP_006401041.1
OG0002056	AT3G47160.2	XP_006404409.1
OG0002057	AT3G48070.2	XP_024013714.1
OG0002057	AT5G62910.1	XP_006394338.1
OG0002058	AT5G18170.1	XP_006400364.1
OG0002058	AT3G03910.1	XP_024015519.1
OG0002059	AT5G18150.1	XP_006400360.1
OG0002059	AT5G14602.1	XP_006399973.1
OG0002060	AT5G18090.1	XP_024011790.1
OG0002060	AT5G18000.1	XP_006400343.1
OG0002061	AT3G03430.1	XP_024015638.1
OG0002061	AT5G17480.1	XP_006400287.1
OG0002062	AT5G16800.3	XP_024011859.1
OG0002063	AT3G02770.1	XP_006408384.1
OG0002063	AT5G16450.1	XP_006400181.1
OG0002064	AT5G16240.1	XP_006400157.1
OG0002064	AT3G02630.1	XP_006408399.1
OG0002065	AT3G02510.1	XP_006408413.1
OG0002065	AT5G16040.1	XP_006400133.1
OG0002066	AT3G02460.1	XP_006408416.1
OG0002066	AT5G15930.1	XP_006400119.1
OG0002067	AT5G14390.1	XP_006399950.1
OG0002067	AT3G01690.1	XP_006408538.2
OG0002068	AT5G13550.1	XP_006399849.1
OG0002068	AT3G12520.1	XP_006407327.1
OG0002069	AT5G13110.1	XP_006399798.1
OG0002069	AT1G24280.1	XP_006415787.1
OG0002070	AT5G25880.1	XP_006394837.1
OG0002070	AT5G11670.1	XP_006399678.1
OG0002072	AT5G09900.3	XP_024012204.1
OG0002072	AT5G64760.1	XP_006394115.1
OG0002073	AT5G09520.1	XP_006399432.1
OG0002073	AT5G09530.1	XP_024011944.1
OG0002074	AT5G61250.1	XP_024006999.1
OG0002074	AT5G07830.1	XP_006399265.1
OG0002075	AT4G03000.1	XP_006396527.1
OG0002075	AT1G03365.1	XP_006418240.1
OG0002076	AT2G27960.1	XP_006409812.1
OG0002076	AT2G27970.1	XP_006409813.2
OG0002077	AT2G28310.1	XP_006409854.1
OG0002077	AT1G08040.1	XP_006417735.1
OG0002078	AT1G05510.1	XP_006418019.1
