Orthogroup	Arabidopsis_thaliana	Raphanus_sativus
OG0001780	AT1G07030.1	XP_018434847.1
OG0001780	AT2G30160.1	XP_018478353.1, XP_018433289.1
OG0001781	AT1G06170.1	XP_018483070.1
OG0001781	AT2G31220.2	XP_018437135.1
OG0001782	AT2G33210.1	XP_018473240.1, XP_018472692.1, XP_018433162.1
OG0001782	AT3G23990.1	XP_018487677.1, XP_018486128.1, XP_018458815.1
OG0001783	AT5G44110.1	XP_018455814.1
OG0001783	AT1G03905.1	XP_018486257.1, XP_018447501.1
OG0001784	AT4G25240.1	XP_018446266.1
OG0001784	AT5G51480.1	XP_018472938.1, XP_018452874.1
OG0001785	AT5G51980.1	XP_018476838.1, XP_018456761.1
OG0001786	AT4G25490.1, AT4G25470.1, AT4G25480.1	XP_018478408.1
OG0001787	AT5G42980.1	XP_018455090.1
OG0001787	AT1G45145.1	XP_018440722.1
OG0001788	AT4G08560.1	XP_018487540.1
OG0001789	AT1G30400.1	XP_018451043.1, XP_018451040.1, XP_018433080.1
OG0001789	AT2G34660.1	XP_018440018.1
OG0001790	AT5G63450.2	XP_018454237.1, XP_018489874.1, XP_018462984.1
OG0001790	AT3G48520.1	XP_018436926.1, XP_018489087.1
OG0001791	AT5G62980.1	XP_018489997.1, XP_018492667.1
OG0001791	AT3G21730.1, AT3G11750.1	XP_018436822.1, XP_018491096.1
OG0001793	AT1G24267.2	XP_018453422.1, XP_018447406.1
OG0001793	AT1G24265.3	XP_018453492.1
OG0001794	AT5G23960.1	XP_018460741.1, XP_018461448.1, XP_018460153.1, XP_018460214.1, XP_018461452.1
OG0001795	AT5G26070.1, AT5G26080.1	XP_018479310.1
OG0001795	AT3G20850.1	XP_018458240.1, XP_018458237.1
OG0001796	AT3G44190.1	XP_018437694.1
OG0001796	AT5G22140.1	XP_018475881.1, XP_018444945.1, XP_018454285.1
OG0001797	AT3G44260.1	XP_018444387.1, XP_018433120.1
OG0001797	AT5G22250.1	XP_018476918.1
OG0001798	AT5G60410.2	XP_018464996.1, XP_018471367.1, XP_018446895.1, XP_018446887.1, XP_018463809.1
OG0001799	AT5G59870.1	XP_018461611.1, XP_018468366.1
OG0001800	AT3G46820.1	XP_018441527.1
OG0001800	AT5G59160.1	XP_018472314.1
OG0001801	AT5G56570.1	XP_018475486.1, XP_018475489.1, XP_018455799.1, XP_018455828.1, XP_018455120.1, XP_018453969.1, XP_018461402.1, XP_018471296.1
OG0001802	AT5G55920.1	XP_018470368.1, XP_018456121.1, XP_018456289.1
OG0001802	AT4G26600.5	XP_018452163.1
OG0001803	AT3G11770.1	XP_018491094.1, XP_018440784.1
OG0001803	AT5G06450.1	XP_018464149.1, XP_018473454.1, XP_018473463.1
OG0001804	AT5G05670.1	XP_018464313.1, XP_018476359.1, XP_018445050.1
OG0001804	AT2G18770.2	XP_018434319.1
OG0001805	AT3G10540.1	XP_018432778.1, XP_018439229.1, XP_018440378.1
OG0001805	AT5G04510.1	XP_018442845.1, XP_018442850.1
OG0001806	AT3G10300.6	XP_018441818.1
OG0001806	AT5G04170.1	XP_018446908.1
OG0001807	AT5G04130.1	XP_018476288.1, XP_018471986.1, XP_018471989.1
OG0001807	AT3G10270.2	XP_018432924.1
OG0001808	AT5G03200.1	XP_018451551.1, XP_018443235.1
OG0001809	AT3G27300.4	XP_018457955.1
OG0001809	AT5G40760.1	XP_018446673.1, XP_018459686.1
OG0001810	AT4G36280.1, AT4G36270.1	XP_018470281.1
OG0001811	AT1G17140.1	XP_018439644.1
OG0001811	AT1G78430.1	XP_018442687.1
OG0001812	AT1G76930.1	XP_018442871.1, XP_018465452.1, XP_018443418.1
OG0001812	AT1G21310.1	XP_018459133.1
OG0001813	AT1G21190.1	XP_018480912.1
OG0001814	AT1G76700.1	XP_018446322.1
OG0001814	AT1G21080.3	XP_018450026.1, XP_018462204.1, XP_018464139.1
OG0001815	AT1G76090.1	XP_018468361.1
OG0001815	AT1G20330.1	XP_018439919.1, XP_018439400.1
OG0001816	AT1G72130.1	XP_018458704.1
OG0001818	AT1G19360.1	XP_018451455.1, XP_018434508.1
OG0001818	AT1G75110.1, AT1G75120.1	XP_018445356.1, XP_018445362.1
OG0001819	AT2G17540.1	XP_018486290.1, XP_018433535.1
OG0001819	AT4G35510.1	XP_018478489.1
OG0001820	AT4G36010.1	XP_018447330.1, XP_018467207.1
OG0001820	AT2G17860.1	XP_018435804.1
OG0001821	AT2G36410.1	XP_018464437.1, XP_018473204.1
OG0001821	AT3G52920.1	XP_018487363.1, XP_018442737.1
OG0001822	AT3G26520.1	XP_018484639.1, XP_018441067.1, XP_018441011.1
OG0001822	AT2G36830.1	XP_018484812.1
OG0001823	AT4G15715.1, AT4G15710.1	XP_018436421.1, XP_018438831.1
OG0001824	AT1G73030.1	XP_018470256.1, XP_018470255.1, XP_018442347.1, XP_018438927.1
OG0001825	AT5G54620.1	XP_018454649.1
OG0001826	AT1G74380.1	XP_018445181.1, XP_018445134.1, XP_018466122.1, XP_018445111.1
OG0001826	AT1G18690.1	XP_018457343.1
OG0001827	AT4G29160.1	XP_018483516.1, XP_018483515.1, XP_018455458.1
OG0001827	AT2G19830.2	XP_018452988.1
OG0001828	AT1G26770.2	XP_018484970.1
OG0001828	AT1G69530.3	XP_018452854.1, XP_018472047.1
OG0001829	AT4G18380.1	XP_018472085.1
OG0001829	AT5G46170.1	XP_018485118.1
OG0001830	AT5G45430.1	XP_018457244.1, XP_018466844.1, XP_018480386.1
OG0001830	AT4G19110.2	XP_018484469.1, XP_018451174.1, XP_018447067.1
OG0001831	AT1G07390.3	XP_018493007.1
OG0001832	AT1G51690.5	XP_018493176.1, XP_018471094.1, XP_018473698.1
OG0001833	AT3G16140.1	XP_018486786.1
OG0001833	AT1G52230.1	XP_018447927.1, XP_018443415.1
OG0001834	AT2G34360.1	XP_018473006.1, XP_018436933.1
OG0001834	AT5G52450.1	XP_018453166.1, XP_018456854.1
OG0001835	AT4G17700.1	XP_018434578.1, XP_018434577.1, XP_018463984.1
OG0001836	AT2G29580.1	XP_018460787.1
OG0001836	AT5G07060.1	XP_018443392.1
OG0001836	AT1G07360.1	XP_018450636.1
OG0001837	AT2G15500.1	XP_018461191.1, XP_018492628.1, XP_018438656.1
OG0001838	AT2G17130.1	XP_018441656.1
OG0001838	AT4G35260.1	XP_018450923.1, XP_018471287.1
OG0001839	AT4G23800.1	XP_018462572.1, XP_018447658.1
OG0001839	AT4G11080.1	XP_018457971.1, XP_018465315.1
OG0001840	AT4G22890.1	XP_018478914.1, XP_018467851.1, XP_018469811.1
OG0001840	AT4G11960.1	XP_018472916.1
OG0001841	AT4G19930.1	XP_018448517.1
OG0001842	AT1G03280.1	XP_018464304.1, XP_018442209.1
OG0001842	AT4G20810.1, AT4G20340.1	XP_018469000.1
OG0001843	AT4G05420.1	XP_018456780.1
OG0001843	AT4G21100.1	XP_018447089.1
OG0001844	AT4G05000.1	XP_018456421.1
OG0001844	AT4G21560.1	XP_018471234.1
OG0001845	AT1G08130.1	XP_018434349.1
OG0001846	AT3G57090.1	XP_018432970.1, XP_018488577.1
OG0001847	AT3G62840.1, AT2G47640.1	XP_018485022.1
OG0001848	AT3G62100.1	XP_018481435.1, XP_018489415.1, XP_018444640.1
OG0001848	AT2G46990.1	XP_018481748.1, XP_018481743.1
OG0001849	AT3G60630.1	XP_018467557.1, XP_018485145.1
OG0001849	AT2G45160.1	XP_018444958.1, XP_018476618.1
OG0001850	AT3G60290.1	XP_018482145.1, XP_018480169.1, XP_018480170.1, XP_018481770.1
OG0001850	AT2G44800.1	XP_018483222.1, XP_018437380.1
OG0001851	AT3G60190.1	XP_018491414.1, XP_018464902.1, XP_018460723.1
OG0001851	AT2G44590.3	XP_018482193.1, XP_018481506.1
OG0001852	AT3G60100.2	XP_018461320.1, XP_018459087.1, XP_018459088.1
OG0001852	AT2G44350.2	XP_018476584.1, XP_018477304.1
OG0001853	AT2G44180.1	XP_018474927.1
OG0001853	AT3G59990.1	XP_018462707.1, XP_018481619.1, XP_018491109.1, XP_018445553.1
OG0001854	AT3G59730.1, AT3G59740.1, AT3G59750.1	XP_018468996.1, XP_018481618.1
OG0001854	AT3G59700.1	XP_018467023.1, XP_018480570.1, XP_018461570.1
OG0001855	AT2G40950.1	XP_018484004.1, XP_018439934.1
OG0001855	AT3G56660.1	XP_018459889.1, XP_018458565.1
OG0001856	AT2G39795.1	XP_018434126.1
OG0001856	AT3G55605.1	XP_018484532.1, XP_018484535.1
OG0001857	AT3G54760.1	XP_018483045.1, XP_018483772.1
OG0001858	AT3G53320.1	XP_018493236.1
OG0001858	AT2G37070.1	XP_018458999.1, XP_018481305.1
OG0001859	AT4G36580.1	XP_018469853.1, XP_018469840.1
OG0001859	AT2G18330.1	XP_018457342.1, XP_018452426.1, XP_018485404.1
OG0001860	AT4G36800.1	XP_018466680.1, XP_018449275.1, XP_018470424.1
OG0001860	AT2G18600.1	XP_018453261.1
OG0001861	AT1G65780.1	XP_018445888.1, XP_018445887.1
OG0001861	AT1G65810.1	XP_018454175.1
OG0001862	AT4G12510.1, AT4G12520.1	XP_018473197.1, XP_018475109.1
OG0001863	AT4G04605.1	XP_018460946.1, XP_018462826.1
OG0001863	AT4G04580.1	XP_018455915.1
OG0001864	AT2G22795.1	XP_018439157.1, XP_018439154.1
OG0001864	AT4G37820.1	XP_018451759.1, XP_018448373.1
OG0001865	AT1G36990.1	XP_018439931.1
OG0001865	AT4G08510.1	XP_018472585.1, XP_018472618.1
OG0001866	AT1G09780.1	XP_018460015.1, XP_018451676.1
OG0001866	AT3G08590.1	XP_018493571.1
OG0001867	AT2G42530.1, AT2G42540.2	XP_018476437.1, XP_018476438.1
OG0001869	AT1G20960.1	XP_018490279.1, XP_018438875.1, XP_018470327.1, XP_018491321.1
OG0001870	AT2G41445.2	XP_018450533.1
OG0001870	AT2G41440.1	XP_018450531.1
OG0001871	AT3G02580.1	XP_018492613.1, XP_018489306.1
OG0001871	AT3G02590.1	XP_018489301.1, XP_018489773.1
OG0001872	AT3G06110.2	XP_018488414.1
OG0001872	AT3G23610.3	XP_018436945.1, XP_018488880.1
OG0001873	AT1G14010.1	XP_018451082.1, XP_018441349.1
OG0001873	AT2G03290.1	XP_018438352.1
OG0001874	AT2G25670.1	XP_018441412.1
OG0001874	AT4G32610.1	XP_018478649.1, XP_018450824.1
OG0001875	AT5G39610.1	XP_018480923.1
OG0001875	AT3G29035.1	XP_018454635.1, XP_018482683.1
OG0001876	AT5G39530.1	XP_018478934.1
OG0001876	AT5G39520.1	XP_018482807.1, XP_018480827.1, XP_018482809.1
OG0001877	AT5G38300.1	XP_018478592.1, XP_018478570.1
OG0001877	AT1G67035.2	XP_018469881.1, XP_018469882.1, XP_018442832.1
OG0001878	AT4G00400.1	XP_018456950.1
OG0001878	AT1G01610.1	XP_018492372.1, XP_018489980.1, XP_018474670.1
OG0001879	AT1G10680.1	XP_018472065.1, XP_018472076.1
OG0001879	AT4G25960.1	XP_018467755.1
OG0001880	AT1G10730.1	XP_018440934.1, XP_018486303.1
OG0001880	AT1G60780.1	XP_018438084.1, XP_018438083.1
OG0001881	AT1G12010.1	XP_018479568.1, XP_018463633.1
OG0001881	AT1G62380.1	XP_018457643.1
OG0001882	AT1G12040.1	XP_018451598.1, XP_018451600.1, XP_018465140.1, XP_018490369.1
OG0001882	AT1G62440.1	XP_018456831.1
OG0001883	AT1G63090.1	XP_018457733.1, XP_018452019.1
OG0001883	AT1G12710.2	XP_018483880.1, XP_018466656.1
OG0001884	AT3G25610.1	XP_018440402.1
OG0001884	AT1G13210.1	XP_018440381.1, XP_018484640.1
OG0001885	AT2G02470.1	XP_018478386.1, XP_018452128.1
OG0001885	AT1G14510.1	XP_018447163.1, XP_018441853.1
OG0001886	AT1G48900.1	XP_018463669.1, XP_018464349.1, XP_018451799.1
OG0001888	AT1G17290.1	XP_018465403.1, XP_018466993.1, XP_018451908.1, XP_018451918.1
OG0001889	AT1G17455.1	XP_018434326.1
OG0001889	AT1G72630.1	XP_018457408.1, XP_018468143.1
OG0001890	AT2G02380.1, AT2G02390.3	XP_018483419.1
OG0001891	AT1G70090.1	XP_018456311.1
OG0001891	AT1G24170.1	XP_018439816.1, XP_018476126.1
OG0001892	AT4G37990.1	XP_018448106.1
OG0001892	AT4G37980.1	XP_018468545.1, XP_018448367.1, XP_018447561.1
OG0001893	AT2G25590.1	XP_018434523.1, XP_018484972.1
OG0001893	AT4G32440.2	XP_018447277.1, XP_018463224.1
OG0001894	AT2G14850.1	XP_018488801.1, XP_018452894.1, XP_018455728.1, XP_018461409.1
OG0001894	AT4G33890.1	XP_018482684.1, XP_018461092.1
OG0001895	AT4G31360.1	XP_018448513.1
OG0001895	AT2G24440.1	XP_018437638.1, XP_018434933.1, XP_018477433.1
OG0001896	AT2G24420.1	XP_018441559.1, XP_018434962.1
OG0001896	AT4G31340.1	XP_018448895.1, XP_018470667.1
OG0001897	AT4G30910.2, AT4G30920.1	XP_018470478.1
OG0001897	AT2G24200.1	XP_018438421.1
OG0001898	AT2G12945.1	XP_018443733.1
OG0001898	AT4G07350.1, AT1G40129.1	XP_018467017.1
OG0001900	AT5G39860.1	XP_018444202.1
OG0001900	AT3G28857.1	XP_018437882.1, XP_018438140.1, XP_018481273.1, XP_018454833.1
OG0001901	AT4G18823.1	XP_018438898.1, XP_018457973.1
OG0001901	AT5G19315.1	XP_018465328.1
OG0001901	AT5G08315.1, AT5G08055.1, AT1G33607.1	XP_018444932.1, XP_018469816.1
OG0001902	AT5G51845.1	XP_018482524.1, XP_018482440.1, XP_018462075.1, XP_018482439.1, XP_018462074.1
OG0001902	AT5G23212.1	XP_018475648.1
OG0001910	AT4G30560.1	XP_018480485.1
OG0001910	AT2G23980.2	XP_018441712.1, XP_018484271.1
OG0001911	AT2G24060.1	XP_018461122.1, XP_018461118.1, XP_018478005.1
OG0001911	AT4G30690.1	XP_018485247.1
OG0001912	AT5G16400.1	XP_018453691.1
OG0001912	AT3G02730.1	XP_018435004.1, XP_018490614.1
OG0001913	AT4G27990.1	XP_018473256.1, XP_018447738.1
OG0001914	AT3G02340.1	XP_018460303.1, XP_018439271.1
OG0001914	AT5G15820.1	XP_018443297.1
OG0001915	AT5G13490.1	XP_018446192.1, XP_018467619.1, XP_018465122.1, XP_018476052.1
OG0001916	AT5G19430.4	XP_018473448.1
OG0001916	AT5G12310.1	XP_018476344.1
OG0001917	AT5G12110.1	XP_018445015.1
OG0001917	AT5G19510.1	XP_018474546.1, XP_018470489.1, XP_018442800.1
OG0001918	AT5G24940.1	XP_018481859.1
OG0001918	AT5G10740.1	XP_018471070.1, XP_018444368.1
OG0001919	AT5G24860.2	XP_018455582.1, XP_018481753.1
OG0001919	AT5G10625.1	XP_018444293.1
OG0001920	AT5G65207.1	XP_018436519.1, XP_018486104.1, XP_018454931.1
OG0001922	AT2G22780.1	XP_018485334.1
OG0001922	AT5G09660.4	XP_018447029.1, XP_018470738.1
OG0001923	AT5G09440.1	XP_018442540.1
OG0001923	AT5G64260.1	XP_018461893.1, XP_018485988.1, XP_018458193.1, XP_018435089.1
OG0001924	AT5G07880.1	XP_018446712.1
OG0001924	AT5G61210.1	XP_018432814.1
OG0001925	AT1G06770.1	XP_018472652.1
OG0001925	AT2G30580.1	XP_018433586.1
OG0001926	AT2G30630.2	XP_018482348.1
OG0001926	AT1G06750.2	XP_018486111.1
OG0001927	AT1G06200.2	XP_018449719.1, XP_018437042.1
OG0001927	AT2G31140.1	XP_018473458.1
OG0001928	AT2G15170.1	XP_018466614.1, XP_018488155.1, XP_018488154.1
OG0001929	AT2G33150.1	XP_018484926.1, XP_018461741.1, XP_018472784.1
OG0001930	AT1G03860.1	XP_018447276.1, XP_018486871.1, XP_018466555.1, XP_018484439.1, XP_018447336.1
OG0001931	AT4G25500.1	XP_018451562.1
OG0001931	AT5G52040.2	XP_018476452.1
OG0001932	AT2G46495.1	XP_018465189.1, XP_018481698.1
OG0001932	AT2G46494.1	XP_018465187.1, XP_018482321.1
OG0001933	AT1G28070.1	XP_018449718.1
OG0001934	AT1G31070.2	XP_018449357.1, XP_018458968.1
OG0001934	AT2G35020.1	XP_018440805.1
OG0001935	AT2G35370.1	XP_018442012.1, XP_018442010.1
OG0001935	AT1G32470.1	XP_018486100.1, XP_018451853.1, XP_018483681.1
OG0001936	AT2G35330.1	XP_018441426.1
OG0001936	AT1G32530.1	XP_018435830.1
OG0001937	AT3G50080.1	XP_018471763.1
OG0001937	AT5G67250.1	XP_018438950.1, XP_018438949.1, XP_018456166.1
OG0001938	AT5G60860.1	XP_018467453.1, XP_018466287.1, XP_018441082.1, XP_018489338.1
OG0001939	AT5G23700.3	XP_018477580.1
OG0001939	AT3G48860.2	XP_018439347.1
OG0001940	AT4G32470.1	XP_018447953.1, XP_018468060.1
OG0001940	AT5G25450.1	XP_018438562.1
OG0001941	AT5G20290.1	XP_018472694.1
OG0001941	AT5G59240.1	XP_018442242.1
OG0001942	AT3G44900.1	XP_018469369.1
OG0001942	AT5G22900.1	XP_018469778.1
OG0001943	AT5G60550.1	XP_018442645.1
OG0001943	AT3G45240.1	XP_018437756.1
OG0001944	AT3G46430.1	XP_018457026.1, XP_018455121.1, XP_018475840.1
OG0001945	AT1G60620.1	XP_018434834.1
OG0001945	AT1G60850.1	XP_018452981.1, XP_018452995.1
OG0001946	AT5G07120.1	XP_018445533.1, XP_018475651.1, XP_018474334.1
OG0001947	AT4G25810.1	XP_018454787.1
OG0001948	AT4G25835.1	XP_018470330.1
OG0001949	AT2G17000.1	XP_018489880.1
OG0001949	AT2G17010.1	XP_018490114.1, XP_018435912.1
OG0001950	AT5G38970.1	XP_018466083.1
OG0001950	AT3G30180.1	XP_018454836.1, XP_018478396.1, XP_018435086.1
OG0001951	AT4G26480.1	XP_018472153.1
OG0001951	AT5G56140.1	XP_018453566.1, XP_018452447.1, XP_018476066.1
OG0001952	AT4G27000.1	XP_018477167.1, XP_018483180.1, XP_018451726.1
OG0001953	AT5G54670.1	XP_018457709.1, XP_018457717.1, XP_018452175.1
OG0001953	AT4G27180.1	XP_018471787.1
OG0001954	AT3G12250.4	XP_018441341.1, XP_018493455.1, XP_018492727.1
OG0001954	AT5G06950.1	XP_018445327.1, XP_018445153.1
OG0001955	AT5G06560.1	XP_018446885.1
OG0001955	AT3G11850.1	XP_018485476.1
OG0001956	AT3G10640.1	XP_018489642.1, XP_018489643.1
OG0001956	AT5G04850.2	XP_018443822.1, XP_018476121.1
OG0001957	AT3G09900.1	XP_018491410.1
OG0001957	AT5G03520.1	XP_018472961.1, XP_018475985.1
OG0001958	AT5G03300.1	XP_018476602.1, XP_018446945.1
OG0001958	AT3G09820.1	XP_018490692.1
OG0001960	AT3G27380.1	XP_018457872.1, XP_018477662.1, XP_018458730.1
OG0001961	AT1G15760.1	XP_018480025.1
OG0001961	AT1G80520.1	XP_018445966.1, XP_018455068.1
OG0001962	AT1G80830.1	XP_018444315.1, XP_018444437.1
OG0001962	AT1G15960.1	XP_018438513.1
OG0001963	AT1G16010.1	XP_018442651.1
OG0001963	AT1G80900.1	XP_018454970.1, XP_018448157.1
OG0001964	AT1G16300.1	XP_018468127.1
OG0001964	AT1G79530.1	XP_018443787.1, XP_018443837.1
OG0001965	AT1G20950.1	XP_018451296.1, XP_018441648.1
OG0001965	AT1G76550.1	XP_018442105.1
OG0001966	AT4G35610.1	XP_018469571.1
OG0001966	AT4G35700.1	XP_018469467.1, XP_018467038.1
OG0001967	AT1G20580.1	XP_018447366.1, XP_018492978.1
OG0001967	AT1G76300.1	XP_018442775.1
OG0001968	AT1G75880.1	XP_018442838.1, XP_018444218.1
OG0001969	AT2G17260.1	XP_018439295.1
OG0001969	AT4G35290.1	XP_018449635.1, XP_018471684.1
OG0001970	AT2G17530.1	XP_018441385.1
OG0001970	AT4G35500.2	XP_018446668.1, XP_018477040.1
OG0001971	AT2G17720.1	XP_018440661.1
OG0001971	AT4G35810.1	XP_018449131.1
OG0001972	AT2G17780.1	XP_018457114.1, XP_018452919.1
OG0001972	AT4G35920.1	XP_018444002.1
OG0001973	AT3G14000.1	XP_018437422.1, XP_018466123.1, XP_018492508.1
OG0001973	AT1G54180.1	XP_018469407.1
OG0001974	AT3G14960.1	XP_018466695.1, XP_018487270.1, XP_018486991.1, XP_018486983.1
OG0001974	AT1G53290.1	XP_018487292.1
OG0001975	AT3G52990.1, AT2G36580.1	XP_018432568.1, XP_018442164.1, XP_018484937.1
OG0001977	AT4G13615.1	XP_018478291.1
OG0001977	AT3G24100.1	XP_018436682.1
OG0001978	AT3G02400.1	XP_018486663.1, XP_018441660.1, XP_018441705.1
OG0001979	AT3G23030.2	XP_018434635.1, XP_018486538.1, XP_018486509.1
OG0001980	AT4G14680.2	XP_018471605.1
OG0001980	AT3G22890.1	XP_018464314.1, XP_018492204.1
OG0001981	AT3G16650.1	XP_018468913.1
OG0001982	AT3G56090.1	XP_018446282.1, XP_018486775.1
OG0001982	AT2G40300.1	XP_018478286.1
OG0001983	AT3G46340.1	XP_018436983.1, XP_018437143.1, XP_018437469.1
OG0001984	AT3G26690.1	XP_018483058.1
OG0001984	AT1G12880.1	XP_018437872.1
OG0001985	AT5G45560.1	XP_018457027.1
OG0001985	AT4G19040.2	XP_018485347.1, XP_018472359.1
OG0001986	AT1G49710.1	XP_018451884.1, XP_018442121.1
OG0001986	AT3G19280.1	XP_018487179.1, XP_018460675.1
OG0001987	AT1G50950.2	XP_018484377.1, XP_018489525.1
OG0001987	AT3G20560.1	XP_018490914.1, XP_018486619.1
OG0001988	AT1G51600.1	XP_018449143.1
OG0001988	AT3G21175.1	XP_018486781.1, XP_018458273.1
OG0001989	AT3G16120.1	XP_018490201.1
OG0001989	AT1G52245.1	XP_018460896.1, XP_018491607.1, XP_018443424.1, XP_018447928.1
OG0001991	AT5G39471.1	XP_018462302.1
OG0001992	AT4G17880.1	XP_018471791.1
OG0001992	AT5G46760.1	XP_018457039.1
OG0001993	AT4G01510.5	XP_018454700.1
OG0001993	AT1G01020.1	XP_018467117.1, XP_018463314.1
OG0001994	AT4G22920.1	XP_018471582.1
OG0001995	AT4G22300.1	XP_018483787.1, XP_018483788.1
OG0001995	AT4G22305.1	XP_018483789.1
OG0001996	AT4G21910.2, AT4G21903.2	XP_018484107.1, XP_018460576.1, XP_018459190.1
OG0001997	AT4G05180.1	XP_018452121.1
OG0001997	AT4G21280.2	XP_018463668.1, XP_018468497.1
OG0001998	AT3G62990.1	XP_018489542.1
OG0001998	AT2G47950.2	XP_018481566.1, XP_018481567.1, XP_018475044.1
OG0001999	AT2G45440.1	XP_018484824.1, XP_018440275.1
OG0001999	AT3G60880.2	XP_018482956.1
OG0002000	AT2G45080.1	XP_018434168.1
OG0002000	AT3G60550.1	XP_018458425.1, XP_018488808.1
OG0002001	AT2G45070.1	XP_018434953.1, XP_018465592.1, XP_018474450.1
OG0002002	AT3G60070.1	XP_018461310.1, XP_018459096.1
OG0002002	AT2G44280.1	XP_018434530.1, XP_018463212.1
OG0002003	AT1G10490.1	XP_018441127.1
OG0002003	AT3G57940.1	XP_018463902.1, XP_018491909.1
OG0002004	AT2G41560.1	XP_018483814.1, XP_018483812.1
OG0002004	AT3G57330.1	XP_018491936.1, XP_018492113.1, XP_018440877.1, XP_018442205.1
OG0002005	AT4G27690.1	XP_018470968.1
OG0002005	AT5G53530.1	XP_018468091.1, XP_018452412.1
OG0002008	AT2G38530.1, AT2G15050.1, AT2G38540.1	XP_018482838.1, XP_018478578.1, XP_018434351.1
OG0002009	AT3G51860.2	XP_018484813.1
OG0002009	AT2G38170.3	XP_018484263.1, XP_018441524.1
OG0002010	AT5G47590.1	XP_018481761.1, XP_018481789.1, XP_018461757.1, XP_018443462.1, XP_018436298.1
OG0002011	AT2G21220.1	XP_018437717.1
OG0002011	AT4G38860.1	XP_018481236.1, XP_018457348.1
OG0002012	AT4G09900.1	XP_018454721.1
OG0002013	AT3G05640.1	XP_018441516.1
OG0002013	AT5G27930.1	XP_018441185.1, XP_018452324.1
OG0002014	AT3G62830.1	XP_018445226.1, XP_018485021.1, XP_018464875.1, XP_018460347.1
OG0002014	AT2G47650.2	XP_018476079.1
OG0002015	AT2G47560.1	XP_018433205.1
OG0002015	AT3G62690.1	XP_018490535.1
OG0002016	AT3G17140.1	XP_018488257.1
OG0002017	AT2G42080.1	XP_018436744.1, XP_018484268.1
OG0002017	AT3G58020.1	XP_018490410.1
OG0002018	AT3G05260.1	XP_018491652.1
OG0002018	AT1G54870.2	XP_018459937.1, XP_018459936.1
OG0002020	AT3G17152.1	XP_018438782.1, XP_018439669.1, XP_018439666.1, XP_018438772.1, XP_018439670.1, XP_018434708.1, XP_018439667.1, XP_018438788.1
OG0002021	AT3G17240.1	XP_018492876.1
OG0002021	AT1G48030.1	XP_018463965.1
OG0002022	AT3G17430.1	XP_018439470.1
OG0002022	AT1G48230.1	XP_018447486.1, XP_018442830.1
OG0002023	AT4G04402.1, AT3G29350.1	XP_018480578.1, XP_018452402.1
OG0002023	AT5G39340.2	XP_018459110.1
OG0002024	AT5G37475.1	XP_018483978.1, XP_018478797.1
OG0002025	AT3G22270.1	XP_018491656.1, XP_018491657.1, XP_018441117.1
OG0002025	AT4G14990.1	XP_018471481.1
OG0002026	AT5G18640.2	XP_018458596.1, XP_018466321.1, XP_018446508.1
OG0002026	AT5G18630.1	XP_018458609.1, XP_018446512.1
OG0002027	AT4G01330.2	XP_018465637.1, XP_018456895.1
OG0002027	AT1G01540.2	XP_018485950.1, XP_018440446.1
OG0002028	AT4G01026.1	XP_018453904.1, XP_018474391.1, XP_018474372.1
OG0002028	AT1G01360.1	XP_018440887.1, XP_018480292.1
OG0002029	AT1G01350.1, AT5G06420.1	XP_018440868.1, XP_018489508.1, XP_018463167.1
OG0002030	AT5G38700.1	XP_018462078.1, XP_018480609.1
OG0002030	AT4G02170.1	XP_018474827.1
OG0002031	AT1G05530.1	XP_018444565.1
OG0002032	AT1G56600.1	XP_018456314.1, XP_018456313.1
OG0002032	AT1G09350.1	XP_018490638.1, XP_018459390.1
OG0002033	AT1G10570.1	XP_018449965.1
OG0002033	AT1G60220.1, AT2G10625.1	XP_018457340.1
OG0002034	AT1G11250.1	XP_018436056.1, XP_018449987.1, XP_018489973.1, XP_018490864.1
OG0002035	AT1G11670.1	XP_018451889.1
OG0002035	AT1G61890.1	XP_018457497.1, XP_018433386.1
OG0002036	AT1G63050.1	XP_018452135.1
OG0002036	AT1G12640.1	XP_018480723.1
OG0002037	AT1G13060.2	XP_018468723.1, XP_018447821.1, XP_018447840.1
OG0002038	AT1G14685.1	XP_018462952.1, XP_018443109.1, XP_018433121.1
OG0002039	AT1G15600.1, AT1G15620.1, AT1G15640.1, AT1G15610.1, AT1G15630.1, AT1G15625.1	XP_018472493.1
OG0002041	AT1G23210.1	XP_018481459.1
OG0002041	AT1G70710.1	XP_018442630.1, XP_018457641.1
OG0002042	AT5G41730.1	XP_018482434.1, XP_018481812.1
OG0002042	AT1G64300.1	XP_018455588.1, XP_018455611.1, XP_018455543.1
OG0002043	AT4G38400.1	XP_018471504.1, XP_018477348.1
OG0002045	AT4G33050.5	XP_018447629.1, XP_018458034.1, XP_018468790.1
OG0002045	AT2G26190.1	XP_018484872.1
OG0002046	AT2G27780.1, AT5G27310.1, AT2G13640.1	XP_018435731.1, XP_018436324.1, XP_018462601.1, XP_018436325.1, XP_018436328.1
OG0002047	AT3G50460.1, AT3G50450.1	XP_018437251.1, XP_018438102.1
OG0002048	AT4G09950.1	XP_018463290.1, XP_018452527.1
OG0002056	AT5G58787.1	XP_018472528.1
OG0002056	AT3G47160.2	XP_018440740.1
OG0002057	AT3G48070.2	XP_018442051.1
