Orthogroup	Arabidopsis_thaliana	Conringia_planisiliqua
OG0003536	AT5G62200.1	CP11_g33179_DN3_SP1_c.t1, CP2_g48084_DN3_SP2_c.t1
OG0003537	AT5G61820.1	CP2_g48120_DN3_SP2_c.t1
OG0003538	AT5G25757.1, AT5G25754.1	CP2_g48476_DN3_SP6_c.t1, CP2_g48475_DN3_SP5_c.t1
OG0003539	AT1G68845.1	CP9_g28474_DN3_SP0_c.t1
OG0003540	AT5G22980.1	CP8_g54105_DN3_SP2_c.t1
OG0003541	AT5G60500.1, AT5G60510.1	CP8_g54072_DN1_SP0_c.t1
OG0003542	AT4G09550.1	CP20_g4042_DN3_SP0_c.t1
OG0003543	AT5G59490.1	CP8_g53960_DN3_SP3_c.t1
OG0003544	AT5G59380.1	CP8_g53949_DN3_SP1_c.t1
OG0003545	AT5G58290.1	CP8_g53830_DN3_SP8_c.t1
OG0003546	AT5G57800.1	CP8_g53775_DN3_SP8_c.t1
OG0003547	AT5G56330.1	CP8_g53622_DN3_SP0_c.t1
OG0003547	AT1G08065.1	CP1_g37086_DN3_SP0_c.t1
OG0003548	AT5G55630.1	CP8_g53548_DN3_SP2_c.t1, CP2_g49419_DN3_SP2_c.t1
OG0003549	AT5G07210.1, AT2G27070.1	CP11_g33176_DN3_SP0_c.t1
OG0003550	AT5G05970.2	CP11_g33306_DN3_SP3_c.t1
OG0003551	AT5G05170.1	CP11_g33377_DN3_SP8_c.t1
OG0003552	AT2G19470.1	CP10_g43580_DN3_SP8_c.t1
OG0003553	AT3G28410.1, AT5G02700.1	CP4_g25955_DN3_SP0_c.t1, CP11_g33603_DN3_SP0_c.t1
OG0003554	AT3G27460.4	CP13_g19257_DN3_SP8_c.t1
OG0003554	AT5G40550.3	CP5_g1359_DN3_SP0_c.t1
OG0003555	AT1G78990.1, AT1G32910.1	CP9_g29539_DN3_SP7_c.t1
OG0003556	AT1G22410.1	CP7_g45547_DN3_SP8_c.t1
OG0003557	AT2G17265.1	CP10_g43822_DN3_SP0_c.t1
OG0003558	AT1G49770.1	CP1_g38126_DN3_SP0_c.t1
OG0003559	AT4G14380.1	CP6_g7507_DN3_SP0_c.t1
OG0003560	AT4G14570.1	CP6_g7487_DN3_SP2_c.t1
OG0003562	AT4G15802.1	CP6_g7296_DN3_SP5_c.t1
OG0003563	AT1G73260.1	CP9_g28960_DN3_SP0_c.t1
OG0003564	AT1G18950.2	CP7_g45860_DN3_SP8_c.t1
OG0003565	AT3G25770.1, AT3G25760.1	CP13_g19436_DN3_SP0_c.t1
OG0003566	AT1G69523.1	CP9_g28553_DN3_SP0_c.t1
OG0003567	AT5G45650.1	CP13_g19952_DN3_SP4_c.t1
OG0003567	AT5G45640.1	CP13_g19953_DN3_SP1_c.t1
OG0003568	AT5G42930.1, AT1G56630.1	CP13_g20457_DN3_SP0_c.t1
OG0003569	AT1G23500.1	CP7_g45434_DN3_SP0_c.t1
OG0003571	AT4G20860.1	CP6_g6771_DN1_SP0_c.t1
OG0003573	AT4G16515.2	CP6_g7191_DN3_SP0_c.t1
OG0003575	AT2G47870.1	CP17_g6273_DN3_SP0_c.t1
OG0003579	AT3G60740.1	CP3_g13319_DN3_SP3_c.t1
OG0003580	AT3G56150.1	CP3_g13733_DN3_SP6_c.t1
OG0003582	AT3G57690.1	CP3_g13582_DN3_SP0_c.t1
OG0003582	AT2G41905.1	CP4_g24528_DN3_SP0_c.t1
OG0003583	AT3G55120.1	CP3_g13836_DN3_SP4_c.t1
OG0003584	AT3G53270.1	CP3_g14032_DN3_SP1_c.t1, CP5_g1426_DN3_SP0_c.t1
OG0003586	AT5G38110.1	CP9_g28213_DN3_SP8_c.t1
OG0003587	AT3G56030.1	CP3_g13747_DN2_SP0_c.t1
OG0003589	AT3G51650.1, AT3G51640.1	CP3_g14206_DN3_SP0_c.t1, CP3_g14203_DN3_SP0_c.t1, CP3_g14205_DN3_SP0_c.t1
OG0003591	AT5G03490.1	CP11_g33544_DN3_SP0_c.t1
OG0003592	AT2G26270.1, AT3G43930.1	CP18_g12165_DN3_SP0_c.t1
OG0003594	AT4G11370.1, AT4G11360.1	CP20_g4337_DN2_SP0_c.t1
OG0003595	AT5G26710.1	CP2_g48537_DN3_SP4_c.t1
OG0003596	AT5G27220.1	CP2_g48624_DN3_SP0_c.t1
OG0003597	AT1G04120.1	CP1_g36666_DN3_SP8_c.t1
OG0003598	AT2G21920.1, AT1G43171.1, AT1G50220.1, AT5G54067.1	CP5_g1952_DN3_SP0_c.t1, CP5_g1954_DN3_SP0_c.t1
OG0003599	AT5G18250.1	CP8_g54509_DN3_SP8_c.t1, CP10_g42403_DN2_SP0_c.t1
OG0003601	AT3G12630.1	CP10_g43220_DN3_SP0_c.t1
OG0003603	AT3G16110.1	CP12_g29962_DN3_SP0_c.t1
OG0003603	AT1G52260.1	CP1_g37897_DN3_SP3_c.t1
OG0003604	AT2G24280.1	CP16_g55095_DN3_SP8_c.t1
OG0003605	AT3G20600.1, AT3G20590.1	CP12_g30420_DN3_SP0_c.t1, CP12_g30417_DN3_SP0_c.t1
OG0003606	AT3G20650.1	CP12_g30423_DN3_SP8_c.t1
OG0003607	AT3G23450.1	CP12_g30710_DN3_SP0_c.t1
OG0003607	AT4G14301.1	CP6_g7526_DN3_SP0_c.t1
OG0003609	AT2G02010.2, AT2G02000.1	CP13_g19608_DN3_SP8_c.t1
OG0003610	AT1G54520.1	CP35_g52004_DN3_SP6_c.t1
OG0003611	AT1G54850.1	CP2_g50308_DN3_SP0_c.t1
OG0003612	AT3G52430.1	CP3_g14127_DN3_SP0_c.t1
OG0003613	AT1G23020.2	CP1_g36457_DN3_SP0_c.t1
OG0003613	AT1G01590.1	CP1_g36458_DN3_SP0_c.t1
OG0003614	AT1G02920.1, AT1G02930.1	CP1_g36775_DN3_SP1_c.t1
OG0003615	AT1G05650.1, AT1G05660.1	CP1_g36857_DN3_SP3_c.t1, CP1_g36858_DN3_SP1_c.t1
OG0003616	AT1G06120.1, AT1G06090.1	CP1_g36899_DN3_SP2_c.t1
OG0003617	AT1G06290.1	CP1_g36919_DN3_SP8_c.t1
OG0003617	AT1G06310.1	CP1_g36920_DN3_SP0_c.t1
OG0003618	AT1G08310.2	CP1_g37112_DN3_SP2_c.t1, CP1_g37111_DN3_SP0_c.t1
OG0003619	AT1G10095.1	CP13_g20161_DN3_SP0_c.t1
OG0003620	AT1G59820.1	CP2_g49349_DN3_SP8_c.t1
OG0003621	AT1G10586.1, AT1G10585.1	CP1_g37353_DN3_SP1_c.t1
OG0003623	AT1G12200.1	CP1_g37523_DN3_SP8_c.t1
OG0003623	AT1G63340.1, AT1G62580.1	CP2_g49024_DN3_SP4_c.t1
OG0003625	AT1G79100.1	CP7_g46084_DN3_SP4_c.t1
OG0003627	AT1G20720.2	CP7_g45695_DN3_SP4_c.t1
OG0003628	AT5G44720.1	CP13_g20115_DN3_SP7_c.t1
OG0003629	AT3G42050.1	CP5_g594_DN3_SP8_c.t1
OG0003630	AT2G26080.1	CP18_g12515_DN3_SP7_c.t1
OG0003632	AT2G25355.1	CP16_g55300_DN3_SP0_c.t1
OG0003633	AT1G24180.1	CP7_g45371_DN3_SP7_c.t1
OG0003634	AT4G00620.1, AT4G00600.1	CP8_g54623_DN3_SP7_c.t1
OG0003635	AT1G06225.1	CP1_g36912_DN3_SP0_c.t1
OG0003635	AT2G31081.1	CP4_g25650_DN2_SP0_c.t1
OG0003639	AT5G50480.1	CP8_g52884_DN3_SP0_c.t1
OG0003641	AT1G32020.1	CP13_g20072_DN1_SP0_c.t1
OG0003641	AT2G27505.1	CP13_g20064_DN3_SP0_c.t1
OG0003644	AT4G10870.1, AT4G10860.1, AT4G10880.1	CP2_g50190_DN3_SP0_c.t1, CP2_g50162_DN3_SP0_c.t1, CP2_g50182_DN3_SP0_c.t1, CP2_g50201_DN2_SP0_c.t1, CP6_g8991_DN3_SP0_c.t1, CP2_g50151_DN2_SP0_c.t1, CP2_g50157_DN3_SP0_c.t1, CP233_g23895_DN3_SP0_c.t1, CP2_g50135_DN3_SP0_c.t1, CP233_g23897_DN3_SP0_c.t1, CP2_g50146_DN3_SP0_c.t1, CP2_g50153_DN3_SP0_c.t1, CP2_g50147_DN3_SP0_c.t1, CP6_g8992_DN3_SP0_c.t1, CP6_g8993_DN3_SP0_c.t1, CP92_g51804_DN3_SP0_c.t1, CP18_g11774_DN3_SP0_c.t1, CP2_g50234_DN1_SP0_c.t1, CP2_g50232_DN1_SP0_c.t1, CP2_g50163_DN2_SP0_c.t1
OG0003647	ATCG00490.1	CP156_g16814_DN3_SP0_c.t1
OG0003656	AT3G48430.1	CP3_g14542_DN3_SP2_c.t1
OG0003660	AT4G22350.2, AT4G22285.1	CP19_g18440_DN3_SP8_c.t1
OG0003661	AT5G11920.1	CP72_g12661_DN3_SP0_c.t1, CP43_g41587_DN3_SP0_c.t1
OG0003662	AT5G11630.1	CP11_g32771_DN3_SP8_c.t1
OG0003664	AT5G09640.1	CP11_g32965_DN3_SP1_c.t1
OG0003665	AT3G10780.1	CP10_g43046_DN3_SP0_c.t1
OG0003670	AT5G23580.1	CP2_g48287_DN3_SP8_c.t1
OG0003671	AT5G24660.1, AT5G24655.1	CP2_g48386_DN3_SP0_c.t1
OG0003672	AT5G25770.3	CP2_g48479_DN3_SP2_c.t1
OG0003673	AT5G21010.1	CP8_g54225_DN3_SP4_c.t1
OG0003674	AT3G44220.1	CP3_g15407_DN3_SP8_c.t1
OG0003675	AT5G60400.3	CP8_g54062_DN2_SP3_c.t1
OG0003676	AT5G60030.1	CP8_g54026_DN3_SP0_c.t1
OG0003678	AT5G56350.1	CP8_g53624_DN3_SP8_c.t1
OG0003679	AT5G55560.1	CP8_g53538_DN3_SP7_c.t1
OG0003680	AT3G49580.1	CP3_g14418_DN3_SP0_c.t1
OG0003680	AT3G49570.1	CP3_g14419_DN2_SP0_c.t1
OG0003681	AT3G48690.1, AT3G48700.1	CP3_g14508_DN3_SP0_c.t1
OG0003682	AT5G08600.2	CP11_g32070_DN3_SP0_c.t1
OG0003683	AT5G01290.1	CP2_g48918_DN3_SP0_c.t1
OG0003684	AT3G27520.1	CP13_g19252_DN3_SP0_c.t1
OG0003686	AT5G41990.1	CP19_g17829_DN3_SP8_c.t1
OG0003688	AT5G51280.1	CP1_g37365_DN2_SP0_c.t1
OG0003688	AT4G33370.1	CP9_g29667_DN3_SP8_c.t1
OG0003689	AT1G80500.1	CP13_g20111_DN3_SP0_c.t1, CP9_g29664_DN1_SP8_c.t1
OG0003690	AT1G77830.1	CP9_g29424_DN3_SP0_c.t1
OG0003691	AT1G75040.1	CP9_g29139_DN3_SP0_c.t1
OG0003693	AT1G53130.1	CP7_g46232_DN1_SP0_c.t1
OG0003694	AT5G50200.1	CP8_g52609_DN2_SP0_c.t1
OG0003695	AT4G15630.1, AT4G15620.1	CP6_g7331_DN2_SP0_c.t1
OG0003696	AT4G28510.1	CP5_g1146_DN3_SP6_c.t1
OG0003696	AT2G20530.1	CP12_g29844_DN3_SP5_c.t1
OG0003697	AT4G28880.1	CP5_g1106_DN3_SP8_c.t1
OG0003697	AT4G28860.1	CP5_g1107_DN3_SP7_c.t1
OG0003698	AT3G28140.1	CP13_g19209_DN2_SP0_c.t1
OG0003698	AT5G40190.1	CP5_g1408_DN2_SP0_c.t1
OG0003699	AT4G01150.1	CP8_g54590_DN3_SP7_c.t1
OG0003700	AT5G46210.1	CP13_g19893_DN3_SP8_c.t1, CP6_g6981_DN3_SP4_c.t1
OG0003701	AT3G17700.1	CP12_g30105_DN3_SP8_c.t1, CP3_g14423_DN3_SP0_c.t1
OG0003703	AT5G44990.1	CP13_g20061_DN3_SP0_c.t1
OG0003703	AT5G45020.1	CP13_g20059_DN3_SP8_c.t1
OG0003704	AT1G50500.2	CP1_g38065_DN3_SP8_c.t1
OG0003707	AT3G21280.1	CP12_g30482_DN3_SP4_c.t1
OG0003707	AT1G51710.1	CP1_g37956_DN3_SP7_c.t1
OG0003708	AT2G14830.1	CP12_g29805_DN3_SP0_c.t1
OG0003709	AT2G33670.1, AT1G42560.1	CP4_g25380_DN3_SP8_c.t1
OG0003710	AT2G35810.1, AT2G35830.2, AT2G35820.2	CP4_g25156_DN3_SP1_c.t1
OG0003711	AT3G54900.1	CP3_g13858_DN3_SP0_c.t1
OG0003712	AT5G66620.1	CP2_g47585_DN3_SP0_c.t1
OG0003713	AT3G62300.2	CP3_g13158_DN3_SP0_c.t1
OG0003714	AT2G46620.1	CP4_g24056_DN3_SP0_c.t1
OG0003715	AT4G07940.1, AT3G61370.1	CP3_g13264_DN3_SP1_c.t1
OG0003716	AT3G61160.2	CP3_g13288_DN3_SP8_c.t1
OG0003718	AT3G55780.1	CP3_g13770_DN2_SP0_c.t1
OG0003719	AT2G39770.1, AT3G55590.1	CP4_g24746_DN3_SP8_c.t1
OG0003720	AT5G17320.1, AT1G34650.1	CP11_g32243_DN3_SP0_c.t1
OG0003721	AT1G24510.1	CP7_g45181_DN3_SP8_c.t1
OG0003722	AT2G18510.1	CP10_g43662_DN3_SP7_c.t1
OG0003724	AT2G19060.1, AT2G19050.1	CP10_g43619_DN3_SP0_c.t1
OG0003725	AT2G19110.1	CP10_g43615_DN3_SP0_c.t1
OG0003726	AT4G29840.1	CP5_g1024_DN3_SP0_c.t1
OG0003727	AT5G37190.1, AT4G00930.1	CP2_g48948_DN3_SP0_c.t1
OG0003729	AT5G58412.1	CP11_g32285_DN3_SP0_c.t1
OG0003731	AT2G40360.1	CP4_g24219_DN3_SP2_c.t1
OG0003732	AT1G65681.1, AT2G45110.1	CP13_g20246_DN3_SP0_c.t1
OG0003733	AT2G44065.1	CP4_g24321_DN3_SP0_c.t1
OG0003734	AT2G43940.1	CP4_g24333_DN3_SP5_c.t1
OG0003735	AT2G43780.4	CP4_g24349_DN1_SP0_c.t1
OG0003736	AT3G06350.1	CP10_g42636_DN3_SP3_c.t1
OG0003737	AT3G07560.1	CP10_g42766_DN3_SP8_c.t1
OG0003738	AT3G08040.1	CP10_g42814_DN3_SP3_c.t1
OG0003741	AT1G15270.1	CP1_g37832_DN3_SP7_c.t1
OG0003741	AT3G16040.1	CP12_g29955_DN3_SP7_c.t1
OG0003742	AT3G18140.1, AT2G22040.1	CP12_g30149_DN3_SP8_c.t1
OG0003744	AT3G21750.1	CP12_g30539_DN3_SP0_c.t1, CP12_g30537_DN3_SP0_c.t1
OG0003745	AT3G51800.2	CP3_g14190_DN3_SP4_c.t1
OG0003746	AT1G54590.1	CP13_g20185_DN3_SP0_c.t1
OG0003747	AT1G05675.1, AT1G05680.1	CP1_g36862_DN3_SP1_c.t1
OG0003749	AT1G16000.1	CP7_g46135_DN3_SP0_c.t1
OG0003750	AT1G16930.1, AT1G16945.1	CP16_g55214_DN2_SP0_c.t1, CP7_g46052_DN3_SP0_c.t1
OG0003751	AT1G17340.1	CP7_g46013_DN3_SP0_c.t1, CP7_g46012_DN3_SP0_c.t1
OG0003752	AT1G71250.1	CP9_g28754_DN3_SP4_c.t1
OG0003753	AT1G70670.1	CP9_g28689_DN3_SP4_c.t1
OG0003754	AT5G35320.1	CP5_g2367_DN3_SP0_c.t1
OG0003755	AT1G64520.1	CP13_g19067_DN3_SP8_c.t1
OG0003755	AT5G42040.1	CP19_g17822_DN3_SP2_c.t1
OG0003756	AT4G20980.1	CP6_g6761_DN2_SP0_c.t1
OG0003756	AT5G44320.1	CP13_g20170_DN3_SP0_c.t1
OG0003757	AT1G48160.1	CP1_g38320_DN3_SP8_c.t1
OG0003758	AT3G27740.1	CP9_g28558_DN3_SP8_c.t1
OG0003759	AT1G49320.1	CP1_g38176_DN3_SP0_c.t1, CP2_g49408_DN2_SP0_c.t1
OG0003760	AT5G05320.1	CP5_g38_DN3_SP4_c.t1
OG0003761	AT4G39630.1	CP5_g1800_DN3_SP0_c.t1, CP5_g142_DN3_SP0_c.t1
OG0003762	AT4G39670.1	CP9_g28440_DN3_SP3_c.t1, CP5_g146_DN3_SP0_c.t1
OG0003764	AT4G36640.1	CP5_g353_DN3_SP1_c.t1
OG0003767	AT4G01390.1, AT4G00780.1	CP8_g54545_DN3_SP0_c.t1, CP8_g54607_DN3_SP0_c.t1
OG0003768	AT4G28240.1	CP5_g1179_DN2_SP0_c.t1
OG0003769	AT1G30550.2	CP7_g44846_DN3_SP0_c.t1
OG0003769	AT1G30545.2	CP7_g44845_DN3_SP2_c.t1
OG0003770	AT5G54720.1, AT3G52830.1, AT5G54710.2	CP8_g53438_DN3_SP0_c.t1
OG0003772	AT1G66180.1	CP9_g28159_DN3_SP0_c.t1
OG0003772	AT5G37540.1	CP5_g1788_DN3_SP0_c.t1
OG0003776	AT4G16500.1	CP6_g7193_DN3_SP0_c.t1
OG0003777	AT4G15755.1	CP6_g7309_DN3_SP0_c.t1
OG0003778	AT2G31083.2, AT2G31085.1	CP4_g25647_DN2_SP0_c.t1
OG0003790	AT5G17330.1	CP11_g32242_DN3_SP8_c.t1
OG0003791	AT5G17270.1, AT5G37130.1	CP11_g32248_DN3_SP4_c.t1
OG0003792	AT5G16100.2	CP11_g32362_DN3_SP0_c.t1
OG0003794	AT3G14390.1, AT5G11880.1	CP11_g32742_DN3_SP8_c.t1
OG0003795	AT5G10720.1	CP11_g32856_DN3_SP6_c.t1
OG0003796	AT5G09760.2	CP11_g32955_DN3_SP6_c.t1
OG0003797	AT5G08360.1	CP11_g33054_DN3_SP0_c.t1
OG0003797	AT5G23380.1	CP2_g48269_DN3_SP0_c.t1
OG0003798	AT4G24820.1	CP19_g18166_DN3_SP7_c.t1
OG0003799	AT2G28210.1	CP4_g25931_DN3_SP0_c.t1
OG0003800	AT2G31300.2, AT2G30910.1	CP4_g25670_DN3_SP8_c.t1
OG0003801	AT1G05780.1	CP4_g25581_DN3_SP6_c.t1
OG0003802	AT2G31980.1	CP4_g25553_DN3_SP1_c.t1
OG0003803	AT2G33450.1	CP4_g25403_DN3_SP7_c.t1
OG0003804	AT5G51450.2	CP19_g18123_DN3_SP8_c.t1
OG0003806	AT1G31650.1	CP7_g44751_DN3_SP6_c.t1
OG0003807	AT1G33540.1	CP7_g44703_DN3_SP0_c.t1
OG0003809	AT5G63700.1	CP9_g28752_DN3_SP0_c.t1, CP2_g47937_DN3_SP0_c.t1
OG0003811	AT5G62620.1	CP2_g48041_DN3_SP8_c.t1
OG0003812	AT4G28360.1, AT1G52370.1	CP2_g48056_DN3_SP4_c.t1
OG0003813	AT4G01710.1, AT5G65274.1	CP2_g47769_DN3_SP8_c.t1
OG0003814	AT5G23420.1	CP2_g48273_DN3_SP0_c.t1
OG0003815	AT5G11530.1	CP11_g32781_DN3_SP0_c.t1, CP2_g48482_DN3_SP0_c.t1
OG0003816	AT5G22090.1	CP8_g54184_DN2_SP0_c.t1
OG0003817	AT5G60690.1	CP8_g54091_DN3_SP8_c.t1
OG0003818	AT5G58003.1	CP8_g53798_DN3_SP2_c.t1
OG0003819	AT4G26510.1	CP19_g17987_DN3_SP8_c.t1
OG0003821	AT5G55070.1	CP8_g53481_DN3_SP8_c.t1
OG0003822	AT5G54300.1	CP8_g53406_DN3_SP0_c.t1
OG0003823	AT5G07160.1	CP11_g33184_DN3_SP0_c.t1
OG0003824	AT5G06160.1	CP161_g50909_DN3_SP0_c.t1, CP11_g33205_DN3_SP0_c.t1, CP161_g50915_DN3_SP2_c.t1
OG0003825	AT3G43590.1, AT3G43490.1	CP3_g15688_DN3_SP0_c.t1
OG0003827	AT5G04347.2	CP5_g1998_DN2_SP0_c.t1
OG0003830	AT1G78900.1	CP9_g29526_DN3_SP8_c.t1
OG0003833	AT1G55800.1	CP7_g46425_DN3_SP0_c.t1
OG0003833	AT1G55790.1	CP7_g46424_DN3_SP0_c.t1
OG0003834	AT1G29580.1, AT1G55080.1	CP7_g46353_DN3_SP2_c.t1
OG0003835	AT3G45750.1, AT3G45760.1	CP3_g14858_DN3_SP0_c.t1
OG0003836	AT3G45650.2	CP3_g14864_DN3_SP5_c.t1
OG0003836	AT3G45660.2	CP3_g14863_DN3_SP0_c.t1
OG0003837	AT4G12790.1	CP6_g9565_DN3_SP8_c.t1
OG0003838	AT4G15417.2	CP6_g7360_DN3_SP0_c.t1
OG0003840	AT1G18510.1	CP7_g45904_DN3_SP1_c.t1
OG0003840	AT1G74045.1	CP9_g29046_DN3_SP1_c.t1
OG0003841	AT1G69250.1	CP9_g28515_DN3_SP0_c.t1, CP7_g46215_DN3_SP0_c.t1
OG0003842	AT1G69750.1, AT1G66590.2	CP9_g28582_DN3_SP5_c.t1
OG0003844	AT1G50700.2	CP1_g38046_DN3_SP5_c.t1
OG0003845	AT2G24840.1	CP16_g55181_DN2_SP0_c.t1, CP16_g55180_DN1_SP0_c.t1, CP16_g55531_DN2_SP0_c.t1
OG0003848	AT3G50670.1	CP3_g14309_DN3_SP3_c.t1
OG0003849	AT4G23700.1	CP19_g18285_DN3_SP7_c.t1
OG0003850	AT4G23430.2	CP19_g18319_DN3_SP7_c.t1
OG0003851	AT3G19250.1, AT3G19330.1	CP10_g42094_DN3_SP2_c.t1
OG0003852	AT3G01610.2	CP10_g42134_DN3_SP1_c.t1
OG0003853	AT2G25410.1	CP3_g13220_DN3_SP0_c.t1
OG0003854	AT1G48860.1, AT2G45300.1	CP4_g24202_DN3_SP8_c.t1
OG0003855	AT3G59280.1	CP3_g13454_DN3_SP3_c.t1
OG0003856	AT2G27340.2, AT3G58130.1	CP3_g13529_DN3_SP1_c.t1
OG0003857	AT3G57990.1	CP3_g13550_DN3_SP0_c.t1
OG0003858	AT3G57980.2	CP3_g13551_DN3_SP0_c.t1
OG0003858	AT2G42150.1	CP4_g24507_DN3_SP0_c.t1
OG0003859	AT3G54040.2	CP3_g13955_DN2_SP6_c.t1
OG0003860	AT5G50650.1, AT5G50550.1, AT2G01470.1	CP13_g19670_DN3_SP0_c.t1
OG0003861	AT2G04280.1	CP12_g31045_DN3_SP0_c.t1
OG0003862	AT3G24340.1	CP12_g30825_DN3_SP0_c.t1
OG0003866	AT5G50440.1	CP4_g25051_DN3_SP6_c.t1
OG0003867	AT2G22480.1	CP16_g54879_DN3_SP8_c.t1
OG0003868	AT1G44170.1	CP46_g6631_DN3_SP3_c.t1
OG0003869	AT1G33760.1	CP7_g44525_DN2_SP0_c.t1
OG0003870	AT1G33680.1	CP7_g44527_DN3_SP1_c.t1
OG0003870	AT4G10070.1	CP20_g4159_DN3_SP0_c.t1
OG0003871	AT1G63310.1	CP20_g4252_DN3_SP0_c.t1, CP2_g48940_DN2_SP0_c.t1
OG0003872	AT4G11420.1	CP20_g4346_DN3_SP8_c.t1
OG0003873	AT2G20510.2, AT2G36070.1	CP12_g29847_DN3_SP1_c.t1
OG0003874	AT2G46870.1	CP4_g24033_DN3_SP0_c.t1
OG0003876	AT2G42510.2	CP4_g24475_DN3_SP0_c.t1
OG0003877	AT2G41930.1	CP4_g24526_DN3_SP0_c.t1
OG0003878	AT2G41500.1, AT2G05720.1	CP4_g24570_DN3_SP8_c.t1
OG0003879	AT3G02950.1	CP10_g42290_DN3_SP7_c.t1
OG0003880	AT3G07270.1	CP2_g48768_DN3_SP2_c.t1, CP10_g42734_DN3_SP4_c.t1
OG0003881	AT3G07810.2	CP10_g42792_DN3_SP8_c.t1
OG0003882	AT3G11420.1	CP10_g43101_DN3_SP5_c.t1
OG0003883	AT2G16530.3, AT1G72590.1	CP10_g43928_DN3_SP0_c.t1, CP10_g43922_DN3_SP0_c.t1
OG0003884	AT3G15720.1	CP12_g29919_DN3_SP3_c.t1
OG0003885	AT1G01010.1	CP1_g36519_DN3_SP0_c.t1
OG0003886	AT5G51960.1	CP8_g53139_DN3_SP7_c.t1
OG0003887	AT3G52300.1	CP3_g14136_DN3_SP8_c.t1
OG0003890	AT3G45180.1	CP7_g44690_DN2_SP0_c.t1
OG0003892	AT1G09040.1, AT1G09050.1	CP1_g37183_DN3_SP0_c.t1
OG0003894	AT1G09560.1	CP1_g37236_DN3_SP6_c.t1
OG0003895	AT1G12440.1	CP1_g37545_DN2_SP0_c.t1, CP2_g48984_DN3_SP0_c.t1
OG0003897	AT1G18710.1	CP7_g45883_DN2_SP0_c.t1
OG0003898	AT1G18980.1, AT1G18970.1	CP7_g45858_DN2_SP0_c.t1, CP7_g45857_DN2_SP0_c.t1
OG0003900	AT4G01590.1, AT4G35685.1	CP8_g54522_DN3_SP0_c.t1
OG0003902	AT1G61130.1	CP2_g49170_DN3_SP5_c.t1
OG0003903	AT1G58060.1	CP2_g49523_DN3_SP6_c.t1
OG0003905	AT5G47650.2	CP13_g19728_DN3_SP1_c.t1
OG0003906	AT2G20930.1	CP16_g54723_DN3_SP8_c.t1
OG0003907	AT3G47070.1	CP3_g14694_DN3_SP0_c.t1
OG0003908	AT4G36550.1	CP5_g362_DN3_SP0_c.t1
OG0003909	AT4G34880.2	CP20_g4170_DN3_SP0_c.t1
OG0003910	AT4G34330.1, AT4G34320.1	CP5_g574_DN3_SP5_c.t1
OG0003911	AT4G31130.1	CP5_g881_DN3_SP6_c.t1
OG0003912	AT1G23220.1	CP7_g45460_DN3_SP6_c.t1
OG0003913	AT4G27880.1	CP5_g1212_DN3_SP8_c.t1
OG0003914	AT1G05615.1	CP13_g19903_DN2_SP0_c.t1, CP18_g12552_DN1_SP0_c.t1
OG0003915	AT2G07698.1	CP24_g47403_DN3_SP0_c.t1
OG0003916	AT1G28630.4	CP7_g45025_DN3_SP0_c.t1
OG0003916	AT1G77960.1	CP9_g29437_DN3_SP0_c.t1
OG0003917	AT4G09170.1	CP20_g4008_DN2_SP0_c.t1
OG0003917	AT1G35430.1	CP75_g34150_DN1_SP0_c.t1
OG0003919	AT2G22440.1	CP3_g15784_DN1_SP0_c.t1
OG0003920	AT2G22520.1	CP16_g54886_DN3_SP0_c.t1
OG0003922	AT3G29575.1	CP13_g19108_DN3_SP2_c.t1
OG0003923	AT3G47350.2	CP3_g14671_DN2_SP0_c.t1
OG0003925	AT5G60830.1	CP2_g48228_DN1_SP0_c.t1
OG0003927	AT5G16700.1	CP11_g32298_DN3_SP1_c.t1
OG0003929	AT4G08770.1, AT4G08780.1	CP29_g22108_DN3_SP8_c.t1
OG0003930	AT5G44830.1, AT5G44840.1	CP13_g20175_DN3_SP0_c.t1, CP13_g20091_DN3_SP0_c.t1, CP12_g29920_DN3_SP0_c.t1, CP13_g20090_DN2_SP0_c.t1
OG0003941	AT2G16930.1, AT5G15220.1	CP10_g43809_DN3_SP8_c.t1
OG0003942	AT5G14250.1	CP11_g32543_DN3_SP2_c.t1
OG0003944	AT5G12940.1	CP11_g32671_DN3_SP0_c.t1
OG0003945	AT5G26050.1	CP2_g48501_DN3_SP0_c.t1
OG0003946	AT1G69680.1	CP10_g44087_DN3_SP1_c.t1
OG0003948	AT5G11260.2	CP11_g32806_DN3_SP7_c.t1
OG0003949	AT5G27470.1	CP2_g48603_DN3_SP8_c.t1
OG0003951	AT5G23140.1	CP2_g48246_DN3_SP7_c.t1
OG0003952	AT5G08160.1	CP11_g33075_DN3_SP8_c.t1
OG0003953	AT5G61500.1	CP2_g48154_DN3_SP8_c.t1
OG0003954	AT4G24840.1	CP19_g18164_DN3_SP3_c.t1
OG0003955	AT4G24690.1	CP19_g18182_DN3_SP0_c.t1
OG0003957	AT2G27550.1	CP4_g26033_DN2_SP8_c.t1
OG0003958	AT2G30110.1	CP4_g25751_DN3_SP8_c.t1
OG0003959	AT2G33410.1	CP4_g25407_DN3_SP8_c.t1
OG0003960	AT1G04250.1	CP1_g36654_DN3_SP8_c.t1
OG0003962	AT1G29590.1, AT1G29550.1	CP7_g44955_DN3_SP0_c.t1
OG0003964	AT1G19080.1, AT3G55490.1	CP4_g24716_DN3_SP3_c.t1
