Orthogroup	Arabidopsis_thaliana	Brassica_rapa
OG0001829	AT5G46170.1	XP_033140789.1, XP_009101540.1
OG0001830	AT5G45430.1	XP_018510416.1, XP_009101598.1
OG0001830	AT4G19110.2	XP_009136988.1, XP_033133291.1
OG0001831	AT1G07390.3	XP_009118443.1
OG0001832	AT1G51690.5	XP_018514902.1, XP_033132398.1, XP_009147743.1
OG0001833	AT3G16140.1	XP_009114947.1, XP_009146167.1
OG0001833	AT1G52230.1	XP_009107145.1, XP_009147700.1
OG0001834	AT2G34360.1	XP_009132984.1, XP_033147652.1
OG0001834	AT5G52450.1	XP_018511212.1, XP_009127238.1
OG0001835	AT4G17700.1	XP_018511900.2, XP_009125981.2
OG0001836	AT2G29580.1	XP_009141010.1
OG0001836	AT5G07060.1	XP_009122567.1
OG0001836	AT1G07360.1	XP_009110952.1
OG0001837	AT2G15500.1	XP_009117148.1, XP_009108756.1, XP_009136272.1, XP_033130559.1
OG0001838	AT2G17130.1	XP_009121160.1
OG0001838	AT4G35260.1	XP_009108618.1, XP_009103898.1
OG0001839	AT4G23800.1	XP_009137390.1
OG0001839	AT4G11080.1	XP_009108200.1
OG0001840	AT4G22890.1	XP_009137291.1, XP_009136287.1
OG0001840	AT4G11960.1	XP_009134250.1
OG0001841	AT4G19940.1	XP_009108446.1
OG0001842	AT1G03280.1	XP_009119564.1
OG0001842	AT4G20810.1, AT4G20340.1	XP_033129253.1
OG0001843	AT4G05420.1	XP_009114481.1
OG0001843	AT4G21100.1	XP_009108514.1
OG0001844	AT4G05000.1	XP_009114518.1
OG0001844	AT4G21560.1	XP_009134899.1, XP_009108494.1
OG0001845	AT1G08130.1	XP_009118391.1, XP_009148073.1
OG0001846	AT3G57090.1	XP_009116419.1
OG0001847	AT3G62840.1, AT2G47640.1	XP_018508246.2, XP_009116945.1
OG0001848	AT3G62100.1	XP_009116888.1, XP_009104363.1
OG0001848	AT2G46990.1	XP_009142462.1
OG0001849	AT3G60630.1	XP_009138823.1
OG0001849	AT2G45160.1	XP_009104096.2, XP_009133708.2
OG0001850	AT3G60290.1	XP_009138848.1
OG0001850	AT2G44800.1	XP_009142283.1, XP_009143068.3
OG0001851	AT3G60190.1	XP_009116696.1, XP_009138865.1
OG0001851	AT2G44590.3	XP_009142272.1
OG0001852	AT3G60100.2	XP_009138874.1
OG0001852	AT2G44350.2	XP_033144394.1, XP_009142257.1
OG0001853	AT2G44180.1	XP_009133662.1
OG0001853	AT3G59990.1	XP_009116678.2, XP_009138888.1, XP_009104239.1
OG0001854	AT3G59730.1, AT3G59740.1, AT3G59750.1	XP_009127573.2
OG0001854	AT3G59700.1	XP_009138901.1
OG0001855	AT2G40950.1	XP_009141952.1
OG0001855	AT3G56660.1	XP_009139087.1
OG0001856	AT2G39795.1	XP_009143285.1
OG0001856	AT3G55605.1	XP_009139150.1
OG0001857	AT3G54760.1	XP_009139214.2, XP_009139211.2
OG0001858	AT3G53320.1	XP_009116026.1
OG0001858	AT2G37070.1	XP_009141627.1
OG0001859	AT4G36580.1	XP_009143525.1
OG0001859	AT2G18330.1	XP_009112486.1
OG0001860	AT4G36800.1	XP_009109342.1, XP_033146460.1, XP_033144470.1
OG0001860	AT2G18600.1	XP_009112549.2
OG0001861	AT1G65780.1	XP_009105164.2
OG0001861	AT1G65810.1	XP_033139428.1
OG0001862	AT4G12510.1, AT4G12520.1	XP_009134274.1, XP_009134275.1
OG0001863	AT4G04605.1	XP_009144511.1
OG0001863	AT4G04580.1	XP_009114560.1
OG0001864	AT2G22795.1	XP_033145363.1, XP_009117324.1
OG0001864	AT4G37820.1	XP_009109394.1
OG0001865	AT4G08510.1	XP_033144721.1, XP_033144725.1, XP_033144726.1
OG0001866	AT1G09780.1	XP_009110801.1
OG0001866	AT3G08590.1	XP_009146999.1
OG0001867	AT2G42530.1, AT2G42540.2	XP_009133542.1, XP_009133541.1
OG0001869	AT1G20960.1	XP_009103314.2, XP_009127091.2, XP_033132908.1
OG0001870	AT2G41445.2	XP_033146066.1
OG0001871	AT3G02580.1	XP_009147340.2, XP_018510486.2, XP_009134686.1
OG0001871	AT3G02590.1	XP_009118383.1, XP_009134687.1
OG0001872	AT3G06110.2	XP_009129642.1
OG0001872	AT3G23610.3	XP_009106619.1, XP_009102598.1
OG0001873	AT1G14010.1	XP_009110567.2, XP_009117947.1
OG0001873	AT2G03290.1	XP_009129097.2
OG0001874	AT2G25670.1	XP_009117043.1
OG0001874	AT4G32610.1	XP_009108865.2
OG0001875	AT5G39610.1	XP_009125108.1, XP_009139909.1
OG0001875	AT3G29035.1	XP_009111778.1, XP_009151811.1
OG0001876	AT5G39530.1	XP_009139902.1
OG0001876	AT5G39520.1	XP_009124504.1
OG0001877	AT5G38300.1	XP_033146671.1
OG0001877	AT1G67035.2	XP_009127514.1, XP_009105249.1
OG0001878	AT4G00400.1	XP_009111488.1
OG0001878	AT1G01610.1	XP_033134756.1, XP_009119711.1
OG0001879	AT1G10680.1	XP_033128851.1
OG0001879	AT4G25960.1	XP_009139729.2, XP_009137566.2
OG0001880	AT1G10730.1	XP_009148415.2, XP_018510513.2
OG0001880	AT1G60780.1	XP_009103973.1
OG0001881	AT1G12010.1	XP_009118157.1, XP_009148622.1
OG0001881	AT1G62380.1	XP_009123393.1, XP_009113083.1
OG0001882	AT1G12040.1	XP_009110677.2, XP_009118117.2
OG0001882	AT1G62440.1	XP_009113077.2
OG0001883	AT1G63090.1	XP_009113024.1, XP_009112979.1
OG0001883	AT1G12710.2	XP_009148572.1
OG0001884	AT3G25610.1	XP_009152127.1, XP_009129042.1
OG0001884	AT1G13210.1	XP_009118015.1, XP_033129156.1
OG0001885	AT2G02470.1	XP_009101256.1, XP_009114196.1
OG0001885	AT1G14510.1	XP_033133805.1, XP_009117896.1
OG0001886	AT5G49500.1, AT1G15310.1	XP_009148918.1
OG0001886	AT1G48900.1	XP_009147933.1, XP_009107330.1
OG0001887	AT1G15790.3	XP_009149003.1
OG0001888	AT1G17290.1	XP_009149177.2, XP_009110415.1, XP_009117710.2
OG0001889	AT1G17455.1	XP_009117659.1
OG0001889	AT1G72630.1	XP_009105922.1, XP_009127943.1
OG0001890	AT2G02380.1, AT2G02390.3	XP_009101261.1
OG0001891	AT1G70090.1	XP_009105687.2
OG0001891	AT1G24170.1	XP_009103133.1, XP_033134496.1
OG0001892	AT4G37990.1	XP_009109413.1
OG0001892	AT4G37980.1	XP_009131731.1, XP_033133063.1, XP_033133065.1
OG0001893	AT2G25590.1	XP_033146661.1, XP_033146668.1
OG0001893	AT4G32440.2	XP_009108874.1, XP_018509214.1
OG0001894	AT2G14850.1	XP_009136258.1, XP_009123222.1
OG0001894	AT4G33890.1	XP_009138219.1
OG0001895	AT4G31360.1	XP_009127051.2
OG0001895	AT2G24440.1	XP_009117126.2, XP_009140555.1
OG0001896	AT2G24420.1	XP_009140551.1, XP_009117132.1
OG0001896	AT4G31340.1	XP_009127076.1
OG0001897	AT4G30910.2, AT4G30920.1	XP_009127424.1
OG0001897	AT2G24200.1	XP_018509992.2, XP_009140523.1
OG0001898	AT4G07350.1, AT1G40129.1	XP_033134295.1
OG0001900	AT5G39860.1	XP_009125118.1
OG0001900	AT3G28857.1	XP_009129354.1, XP_009151837.1, XP_009111609.1
OG0001901	AT5G19315.1	XP_018512138.1
OG0001901	AT5G08315.1, AT5G08055.1, AT1G33607.1	XP_018510746.1, XP_018512105.1, XP_018512122.1
OG0001902	AT5G51845.1	XP_033131507.1, XP_018508615.1
OG0001902	AT5G23212.1	XP_018513086.1, XP_018512582.1
OG0001910	AT4G30560.1	XP_033144457.1
OG0001910	AT2G23980.2	XP_033136659.1, XP_009140510.2
OG0001911	AT2G24060.1	XP_009140519.1
OG0001911	AT4G30690.1	XP_009137960.1
OG0001912	AT5G16400.1	XP_009126111.1
OG0001912	AT3G02730.1	XP_009118514.1, XP_009147326.1
OG0001913	AT4G27990.1	XP_009145744.1
OG0001913	AT3G07430.1	XP_033147423.1
OG0001914	AT3G02340.1	XP_009117930.1
OG0001914	AT5G15820.1	XP_009126069.2, XP_009122871.1
OG0001915	AT5G13490.1	XP_018512209.2, XP_009121762.2, XP_009131345.2
OG0001916	AT5G19430.4	XP_009131737.1
OG0001916	AT5G12310.1	XP_009121860.1, XP_009131278.1
OG0001917	AT5G12110.1	XP_009121880.1
OG0001917	AT5G19510.1	XP_009131738.1, XP_009126366.2, XP_009120880.2
OG0001918	AT5G24940.1	XP_033140419.1, XP_009151021.1
OG0001918	AT5G10740.1	XP_009125281.1, XP_033137628.1
OG0001919	AT5G24860.2	XP_009111644.1, XP_033128868.1
OG0001919	AT5G10625.1	XP_033137631.1
OG0001920	AT5G65207.1	XP_009130498.1, XP_009150600.1, XP_009112172.1
OG0001922	AT2G22780.1	XP_009140390.1
OG0001922	AT5G09660.4	XP_009122532.1, XP_009125355.1
OG0001923	AT5G09440.1	XP_009122517.1
OG0001923	AT5G64260.1	XP_009150498.1, XP_009130446.1
OG0001924	AT5G07880.1	XP_009122403.1, XP_009131020.2
OG0001924	AT5G61210.1	XP_009136443.1
OG0001925	AT2G30580.1	XP_009144288.2
OG0001926	AT2G30630.2	XP_033145612.1
OG0001926	AT1G06750.2	XP_009118483.1
OG0001927	AT1G06200.2	XP_009111004.1, XP_009119082.1
OG0001927	AT2G31140.1	XP_009132772.1
OG0001928	AT2G15170.1	XP_009136267.1
OG0001929	AT1G04710.1	XP_009111084.1
OG0001929	AT2G33150.1	XP_009143894.1, XP_009141289.1, XP_009132912.1
OG0001930	AT1G03860.1	XP_009119355.2, XP_009118686.2, XP_009111138.1
OG0001931	AT4G25500.1	XP_009139275.1, XP_009109205.1
OG0001931	AT5G52040.2	XP_009132562.1
OG0001932	AT2G46495.1	XP_009142419.1
OG0001932	AT2G46494.1	XP_033146350.1
OG0001933	AT1G28070.1	XP_009102938.1, XP_009109759.1
OG0001934	AT1G31070.2	XP_009108141.1, XP_009115017.1
OG0001934	AT2G35020.1	XP_009143714.1
OG0001935	AT1G32470.1	XP_009151432.1, XP_009107967.1, XP_009114880.1
OG0001936	AT2G35330.1	XP_009143682.1
OG0001936	AT1G32530.1	XP_033148550.1, XP_009114874.1
OG0001937	AT3G50080.1	XP_009101674.1
OG0001937	AT5G67250.1	XP_009103439.2, XP_009112366.1
OG0001938	AT5G60860.1	XP_009116501.1, XP_009135424.1
OG0001939	AT5G23700.3	XP_009150900.1
OG0001939	AT3G48860.2	XP_009149792.1
OG0001940	AT4G32470.1	XP_009108873.1, XP_009125952.1
OG0001940	AT5G25450.1	XP_009129963.1
OG0001941	AT5G20290.1	XP_009120819.1, XP_009131790.1
OG0001941	AT5G59240.1	XP_009126438.1
OG0001942	AT3G44900.1	XP_009149771.1
OG0001942	AT5G22900.1	XP_009126575.1
OG0001943	AT5G60550.1	XP_009120587.1
OG0001943	AT3G45240.1	XP_033141470.1
OG0001944	AT3G46430.1	XP_009131984.1, XP_009120475.1, XP_009126685.1
OG0001945	AT1G60620.1	XP_009103857.1
OG0001945	AT1G60850.1	XP_009113181.1
OG0001946	AT5G58440.1	XP_009120351.2
OG0001946	AT5G07120.1	XP_009122369.1, XP_009130978.1
OG0001947	AT4G25810.1	XP_009139558.1, XP_009121735.1
OG0001948	AT4G25835.1	XP_009137558.2, XP_033148011.1
OG0001949	AT2G17000.1	XP_009136348.1
OG0001949	AT2G17010.1	XP_018512561.2, XP_018511053.1
OG0001950	AT5G38970.1	XP_009140176.1
OG0001950	AT3G30180.1	XP_009111802.2, XP_009151760.1, XP_009129671.1
OG0001951	AT4G26480.1	XP_009142357.1, XP_009137598.1
OG0001951	AT5G56140.1	XP_009120126.1, XP_009132341.1
OG0001952	AT5G54900.1	XP_009120017.1
OG0001952	AT4G27000.1	XP_009137630.2, XP_009109155.1, XP_033128009.1
OG0001953	AT5G54670.1	XP_009119997.1, XP_009127074.1
OG0001953	AT4G27180.1	XP_009143182.1
OG0001954	AT3G12250.4	XP_009120759.1, XP_009135220.1, XP_009146627.1
OG0001954	AT5G06950.1	XP_009122312.1
OG0001955	AT5G06560.1	XP_009122266.1
OG0001955	AT3G11850.1	XP_009146676.1
OG0001956	AT3G10640.1	XP_009135120.1
OG0001956	AT5G04850.2	XP_009122561.1, XP_009130841.1
OG0001957	AT3G09900.1	XP_033147904.1
OG0001957	AT5G03520.1	XP_009130762.1
OG0001958	AT5G03300.1	XP_009130719.1, XP_009122716.1
OG0001958	AT3G09820.1	XP_009123173.1
OG0001959	AT4G33070.1	XP_009123548.1
OG0001960	AT3G27380.1	XP_009111569.1, XP_009129421.1, XP_009151968.1
OG0001960	AT5G40650.1	XP_009125153.1
OG0001961	AT1G15760.1	XP_009148966.1
OG0001961	AT1G80520.1	XP_009104468.2, XP_009106738.2
OG0001962	AT1G80830.1	XP_033140937.1, XP_009104491.1
OG0001962	AT1G15960.1	XP_033129244.1
OG0001963	AT1G16010.1	XP_009149042.1
OG0001963	AT1G80900.1	XP_009106708.2, XP_033140663.1
OG0001964	AT1G16300.1	XP_009149063.1
OG0001964	AT1G79530.1	XP_009104524.1
OG0001965	AT1G20950.1	XP_009149574.1
OG0001965	AT1G76550.1	XP_009106323.1
OG0001966	AT4G35610.1	XP_033144792.1
OG0001966	AT4G35700.1	XP_009151053.1
OG0001967	AT1G20580.1	XP_009149535.1
OG0001967	AT1G76300.1	XP_009106286.1
OG0001968	AT1G75880.1	XP_018508790.2, XP_033132107.1
OG0001968	AT1G75890.3	XP_009106246.1
OG0001969	AT2G17260.1	XP_009121142.1
OG0001969	AT4G35290.1	XP_033132910.1, XP_033133280.1
OG0001970	AT2G17530.1	XP_009121107.1
OG0001970	AT4G35500.2	XP_033132554.1, XP_009139882.1, XP_009138365.3
OG0001971	AT2G17720.1	XP_009150770.1, XP_009121088.1
OG0001971	AT4G35810.1	XP_033133087.1, XP_009149485.2
OG0001972	AT2G17780.1	XP_033135030.1
OG0001972	AT4G35920.1	XP_009148721.2
OG0001973	AT3G14000.1	XP_009117268.1, XP_009146422.1
OG0001973	AT1G54180.1	XP_009147534.1
OG0001974	AT3G14960.1	XP_009135415.1, XP_009146301.1
OG0001974	AT1G53290.1	XP_009144780.1
OG0001975	AT3G52990.1, AT2G36580.1	XP_009115997.1, XP_009125246.1, XP_009148757.1
OG0001977	AT4G13615.1	XP_018513670.1
OG0001977	AT3G24100.1	XP_033137785.1, XP_033133915.1
OG0001978	AT3G02400.1	XP_009134668.1, XP_009117990.1, XP_009147355.1
OG0001979	AT4G14560.1	XP_009107784.1
OG0001979	AT3G23030.2	XP_033144236.1, XP_009108345.1, XP_033147298.1
OG0001980	AT4G14680.2	XP_009148417.1
OG0001980	AT3G22890.1	XP_009135833.2, XP_033147281.1
OG0001981	AT3G16650.1	XP_033131286.1, XP_033143199.1
OG0001982	AT3G56090.1	XP_009103978.1, XP_009116307.1
OG0001983	AT3G46340.1	XP_033129346.1
OG0001984	AT3G26690.1	XP_009152031.1
OG0001984	AT1G12880.1	XP_018515006.1, XP_009148558.1
OG0001985	AT5G45560.1	XP_009114402.1
OG0001985	AT4G19040.2	XP_018513203.1, XP_009132490.1
OG0001986	AT1G49710.1	XP_009107281.1, XP_009147885.2
OG0001986	AT3G19280.1	XP_009145809.1
OG0001987	AT1G50950.2	XP_009147793.1, XP_009144932.1
OG0001987	AT3G20560.1	XP_009135698.1, XP_009145612.1
OG0001988	AT1G51600.1	XP_009107175.1
OG0001988	AT3G21175.1	XP_009145512.1, XP_018509736.2
OG0001989	AT3G16120.1	XP_009146168.1
OG0001989	AT1G52245.1	XP_009107143.1, XP_033129271.1
OG0001991	AT5G39471.1	XP_009140193.1
OG0001992	AT4G17880.1	XP_009131125.3
OG0001992	AT5G46760.1	XP_009114329.1, XP_009101493.1
OG0001993	AT4G01510.5	XP_018510102.1
OG0001993	AT1G01020.1	XP_009119660.1
OG0001994	AT4G22920.1	XP_009136321.1
OG0001995	AT4G22305.1	XP_018513469.1
OG0001996	AT4G21910.2, AT4G21903.2	XP_033142745.1, XP_009135444.1, XP_009108539.1
OG0001997	AT4G05180.1	XP_009114497.1
OG0001997	AT4G21280.2	NP_001288977.1
OG0001998	AT3G62990.1	XP_009116968.1
OG0001998	AT2G47950.2	XP_033146188.1, XP_033144136.1
OG0001999	AT2G45440.1	XP_009142338.1, XP_009143142.1
OG0001999	AT3G60880.2	XP_009138806.1
OG0002000	AT2G45080.1	XP_009133697.1, XP_009143100.1
OG0002000	AT3G60550.1	XP_009116735.1
OG0002001	AT2G45070.1	XP_009133694.1
OG0002002	AT3G60070.1	XP_009138879.1
OG0002002	AT2G44280.1	XP_009142254.1, XP_009143012.1
OG0002003	AT1G10490.1	XP_009144437.1
OG0002003	AT3G57940.1	XP_009116490.1
OG0002004	AT2G41560.1	XP_009141999.1
OG0002004	AT3G57330.1	XP_009116436.2, XP_009104052.1
OG0002005	AT4G27690.1	XP_033140116.1
OG0002005	AT5G53530.1	XP_009127156.1, XP_009119901.1
OG0002008	AT2G38530.1, AT2G15050.1, AT2G38540.1	XP_033146791.1, XP_009141745.1, XP_009141746.1, XP_009143379.1
OG0002009	AT3G51860.2	XP_033144772.1
OG0002009	AT2G38170.3	XP_009141725.1, XP_009143416.1
OG0002010	AT5G47590.1	XP_009101403.1
OG0002011	AT2G21220.1	XP_033136493.1
OG0002011	AT4G38860.1	XP_009101924.1, XP_009134559.1
OG0002012	AT4G09900.1	XP_009113578.1
OG0002013	AT3G05640.1	XP_009124867.1
OG0002013	AT5G27930.1	XP_009129890.1, XP_009111736.1
OG0002014	AT3G62830.1	XP_009104397.2, XP_009138714.1, XP_018510485.2
OG0002014	AT2G47650.2	XP_009133822.1
OG0002015	AT2G47560.1	XP_018510515.1, XP_009142520.1
OG0002015	AT3G62690.1	XP_009104393.2, XP_033134518.1
OG0002016	AT3G17140.1	XP_009114400.1
OG0002017	AT2G42080.1	XP_009142801.1, XP_009142034.1
OG0002017	AT3G58020.1	XP_009116499.1
OG0002018	AT3G05260.1	XP_009147260.1
OG0002018	AT1G54870.2	XP_009119565.1
OG0002020	AT3G17152.1	XP_033132301.1, XP_009131474.1
OG0002021	AT3G17240.1	XP_009146028.1
OG0002021	AT1G48030.1	XP_009148003.1
OG0002022	AT3G17430.1	XP_033145039.1
OG0002022	AT1G48230.1	XP_009107368.2, XP_009147986.1
OG0002023	AT4G04402.1, AT3G29350.1	XP_009151777.1, XP_009111788.1
OG0002023	AT5G39340.2	XP_009139832.1
OG0002024	AT5G37475.1	XP_009140151.1
OG0002025	AT3G22270.1	XP_018514767.1, XP_009108983.1
OG0002025	AT4G14990.1	XP_033143223.1
OG0002026	AT5G18640.2	XP_033141909.1, XP_009120953.2
OG0002026	AT5G18630.1	XP_033141912.1, XP_009120955.1
OG0002027	AT4G01330.2	XP_009111449.1
OG0002027	AT1G01540.2	XP_009118815.1, XP_009119704.2
OG0002028	AT4G01026.1	XP_009134503.1
OG0002028	AT1G01360.1	XP_009119689.1
OG0002029	AT4G01023.2	XP_033140673.1
OG0002029	AT1G01350.1, AT5G06420.1	XP_009119687.1
OG0002030	AT5G38700.1	XP_009118751.1, XP_009119618.2
OG0002030	AT4G02170.1	XP_009134442.2
OG0002031	AT1G05530.1	XP_033143632.1, XP_033134278.1
OG0002032	AT1G56600.1	XP_009113368.1
OG0002032	AT1G09350.1	XP_009118321.1
OG0002033	AT1G10570.1	XP_009148385.1
OG0002033	AT1G60220.1, AT2G10625.1	XP_009113217.1
OG0002034	AT1G11250.1	XP_009148453.1, XP_009110738.2, XP_009118197.2
OG0002035	AT1G11670.1	XP_009118179.1, XP_009110708.1
OG0002035	AT1G61890.1	XP_009113112.1, XP_009105791.1
OG0002036	AT1G63050.1	XP_009113025.1
OG0002036	AT1G12640.1	XP_009148576.1
OG0002037	AT1G13060.2	XP_009110603.1, XP_009148547.2, XP_009118034.2
OG0002038	AT1G14685.1	XP_009110521.2, XP_009148851.1, XP_033134715.1
OG0002039	AT1G15600.1, AT1G15620.1, AT1G15640.1, AT1G15610.1, AT1G15630.1, AT1G15625.1	XP_009148955.1
OG0002041	AT1G23210.1	XP_009115552.1
OG0002041	AT1G70710.1	XP_009104944.2, XP_009105740.1
OG0002042	AT5G41730.1	XP_033145632.1
OG0002042	AT1G64300.1	XP_009112819.2, XP_009112888.2
OG0002043	AT4G38400.1	XP_009124092.1, XP_009101947.1
OG0002045	AT4G33050.5	XP_009108816.1, XP_033148858.1
OG0002045	AT2G26190.1	XP_009140729.1
OG0002046	AT2G27780.1, AT5G27310.1, AT2G13640.1	XP_009144175.2, XP_009144168.1, XP_009144176.1, XP_009144167.1
OG0002047	AT3G50460.1, AT3G50450.1	XP_009115717.2, XP_009115720.2, XP_009115718.2, XP_009115719.2
OG0002048	AT4G09950.1	XP_009113586.1
OG0002056	AT5G58787.1	XP_009132028.1
OG0002056	AT3G47160.2	XP_009149926.1
OG0002057	AT3G48070.2	XP_009149847.1
OG0002057	AT5G62910.1	XP_009151415.1
OG0002058	AT5G18170.1	XP_009121005.1
OG0002058	AT3G03910.1	XP_009102088.1
OG0002059	AT5G18150.1	XP_033143060.1, XP_033143061.1, XP_009121007.1, XP_009126241.1
OG0002059	AT5G14602.1	XP_018512179.1
OG0002060	AT5G18090.1	XP_009121019.1
OG0002060	AT5G18000.1	XP_009126227.1
OG0002061	AT3G03430.1	XP_033148202.1
OG0002061	AT5G17480.1	XP_009119248.1, XP_009134727.1
OG0002062	AT5G16800.3	XP_009131561.1, XP_009121446.1
OG0002062	AT3G02980.1	XP_009130325.1
OG0002063	AT3G02770.1	XP_009134698.1, XP_009118572.1
OG0002063	AT5G16450.1	XP_009131541.2
OG0002064	AT5G16240.1	XP_009121502.1
OG0002064	AT3G02630.1	XP_018513314.1, XP_009118393.2
OG0002065	AT3G02510.1	XP_033139350.1, XP_009118297.1
OG0002065	AT5G16040.1	XP_009121524.1
OG0002066	AT3G02460.1	XP_009134670.1
OG0002066	AT5G15930.1	XP_033140089.1
OG0002067	AT5G14390.1	XP_009121669.1
OG0002068	AT5G13550.1	XP_009121755.1, XP_009131348.2
OG0002068	AT3G12520.1	XP_009135233.2
OG0002069	AT5G13110.1	XP_009121798.2, XP_033142458.1
OG0002069	AT1G24280.1	XP_009109830.1, XP_009102999.1
OG0002070	AT5G25880.1	XP_009151107.1
OG0002070	AT5G11670.1	XP_009131215.2
OG0002071	AT5G44050.1	XP_009122057.1
OG0002072	AT5G64760.1	XP_009125339.1, XP_009131131.1, XP_033139669.1, XP_009122112.2
OG0002073	AT5G09530.1	XP_009125365.1, XP_033137485.1, XP_009131114.1
OG0002074	AT5G61250.1	XP_009136456.1
OG0002074	AT5G07830.1	XP_033138442.1
OG0002075	AT4G03000.1	XP_009111241.1
OG0002075	AT1G03365.1	XP_009119548.1
OG0002076	AT2G27960.1	XP_009108744.1
OG0002076	AT2G27970.1	XP_009140836.1
OG0002077	AT2G28310.1	XP_009103671.1, XP_009140892.1
OG0002077	AT1G08040.1	XP_009148057.1
OG0002078	AT2G31985.1	XP_009141204.1
OG0002079	AT1G05300.1	XP_018511271.1
OG0002079	AT2G32270.1	XP_009143963.1
OG0002080	AT1G03870.1	XP_009119354.1
OG0002080	AT5G44130.1	XP_009113940.1
OG0002081	AT5G42790.1	XP_009114036.1, XP_009123698.1
OG0002081	AT1G47250.1	XP_009107431.1
OG0002082	AT1G14360.1	XP_009148724.1
OG0002082	AT2G02810.1	XP_009129118.1
OG0002083	AT5G66760.1	XP_009112332.2, XP_018508778.1
OG0002083	AT2G18450.1	XP_009150830.1
OG0002084	AT3G49950.1	XP_033137031.1
OG0002085	AT5G64900.1	XP_009150567.1
OG0002086	AT5G61790.1	XP_033140395.1, XP_009112002.2, XP_009150122.1
OG0002087	AT3G49560.1	XP_009149730.1
OG0002087	AT5G24650.1	XP_009150989.1
OG0002088	AT5G24780.1, AT5G24770.1	XP_009130001.1
OG0002089	AT3G42790.1	XP_033129004.1
OG0002089	AT5G20510.1	XP_009120801.2, XP_009126446.1
OG0002090	AT5G22930.1	XP_009131898.1, XP_009120621.1
OG0002090	AT3G44940.1	XP_009149780.1
OG0002091	AT5G59700.1	XP_009120484.1
OG0002092	AT4G25970.1	XP_009139758.1
OG0002093	AT4G26110.1	XP_033133062.1, XP_009139905.1
OG0002093	AT5G56950.1	XP_009120208.1
OG0002094	AT4G26430.1	XP_009137595.1, XP_009142263.2
OG0002094	AT5G56280.1	XP_009120144.1
OG0002095	AT5G55290.1	XP_009132396.1
OG0002096	AT5G54870.1	XP_009120015.1, XP_009127046.1
OG0002096	AT4G27020.1	XP_009143005.2
OG0002097	AT4G02690.1	XP_033139729.1
OG0002097	AT1G03070.1	XP_009119572.1
OG0002098	AT4G34400.1	XP_033139725.1
OG0002099	AT5G05780.1	XP_009130901.1, XP_009125615.2, XP_009122175.1
OG0002100	AT5G01225.1	XP_009122841.1
OG0002100	AT3G09032.1	XP_009123490.2, XP_009146956.1
OG0002101	AT3G49420.1, AT5G01430.1	XP_009130652.1
OG0002102	AT3G27190.1	XP_009151986.1
OG0002102	AT5G40870.1	XP_009140049.1
OG0002103	AT1G59870.1	XP_009104417.2
OG0002103	AT1G15210.1	XP_009110502.2, XP_009148904.1, XP_009148905.2
OG0002104	AT1G15750.1	XP_009117812.2, XP_009148962.1
OG0002104	AT1G80490.2	XP_009104466.3
OG0002105	AT1G16190.1	XP_009117771.1, XP_009149056.1
OG0002105	AT1G79650.4	XP_009104513.1
OG0002106	AT1G16440.1	XP_009149077.1
OG0002106	AT1G79250.1	XP_033141638.1
OG0002107	AT1G79210.1, AT1G16470.1	XP_009104544.1, XP_009106644.1
OG0002108	AT1G79160.1	XP_009106636.1
OG0002108	AT1G16500.1	XP_009117762.1, XP_033128779.1
OG0002109	AT1G22150.1	XP_009145372.1
OG0002109	AT1G78000.1	XP_009128268.1
OG0002110	AT1G77000.1	XP_009106367.1, XP_018508755.1
OG0002110	AT1G21410.1	XP_009110186.1
OG0002111	AT1G21070.1	XP_009149586.2
OG0002111	AT1G76670.1	XP_009106334.1
OG0002112	AT1G55610.1	XP_009106844.2
OG0002112	AT3G13380.1	XP_009146526.1
OG0002113	AT1G55535.1	XP_009106869.1
OG0002113	AT3G13420.3	XP_009146496.1
OG0002114	AT3G13570.1	XP_009124747.1
OG0002114	AT1G55310.3	XP_009103733.1, XP_009147513.1
OG0002115	AT1G67640.1	XP_009127569.1
OG0002115	AT1G24400.1	XP_009113791.1, XP_018508336.1
OG0002116	AT4G13850.1	XP_009144682.1, XP_018508933.2
OG0002117	AT4G14368.1	XP_033146584.1
OG0002117	AT3G23270.2	XP_033147997.1, XP_033130322.1
OG0002118	AT4G14500.1	XP_009107776.2
OG0002118	AT3G23080.1	XP_009145238.1, XP_009108264.1
OG0002119	AT3G22110.1	XP_009145430.2, XP_009109216.2
OG0002120	AT4G27010.2	XP_009142988.1
OG0002121	AT4G18050.2	XP_009136898.1
OG0002121	AT5G46540.1	XP_033136812.1
OG0002122	AT4G15560.1	XP_009146913.1, NP_001288863.1
OG0002122	AT3G21500.3	XP_009135754.1
OG0002124	AT1G17530.1	XP_009149207.1
OG0002124	AT1G72750.1	XP_009127950.1, XP_009105942.1
OG0002126	AT3G28715.1	XP_009129362.1, XP_009151855.1
OG0002126	AT3G28710.1	XP_009111605.1
OG0002127	AT3G27240.1, AT5G40810.1	XP_009151981.2, XP_009111559.1, XP_009129436.1
OG0002128	AT5G45620.1	XP_009101582.1
OG0002128	AT4G19006.2	XP_009108403.1
OG0002129	AT1G51500.1	XP_009144898.1
OG0002129	AT3G21090.1	XP_009145524.1
OG0002130	AT3G15690.2	XP_009115305.1, XP_009146209.1
OG0002131	AT2G34690.1	XP_009132997.1
