Orthogroup	Arabidopsis_thaliana	Arabidopsis_lyrata_NCBI
OG0002047	AT3G50480.1, AT3G50470.1	XP_020881881.1
OG0002047	AT3G50460.1	XP_002876033.1
OG0002047	AT3G50450.1	XP_002876032.1
OG0002048	AT4G09950.1	XP_002872480.1
OG0002048	AT4G09940.2	XP_020878897.1
OG0002056	AT5G58787.1	XP_020891578.1
OG0002056	AT3G47160.2	XP_020881716.1
OG0002057	AT3G48070.2	XP_020880374.1
OG0002057	AT5G62910.1	XP_020890289.1
OG0002058	AT5G18170.1	XP_020876694.1
OG0002058	AT3G03910.1	XP_002882318.1
OG0002059	AT5G18150.1	XP_002873874.1
OG0002059	AT5G14602.1	XP_020877563.1
OG0002060	AT5G18090.1	XP_020877797.1
OG0002060	AT5G18000.1	XP_002873865.1
OG0002061	AT3G03430.1	XP_002882293.1
OG0002061	AT5G17480.1	XP_002871768.1
OG0002062	AT5G16800.3	XP_020879327.1
OG0002062	AT3G02980.1	XP_020888992.1
OG0002063	AT3G02770.1	XP_020889332.1
OG0002063	AT5G16450.1	XP_020878349.1
OG0002064	AT5G16240.1	XP_002871710.1
OG0002064	AT3G02630.1	XP_020886676.1
OG0002065	AT5G16040.1	XP_002873752.1
OG0002066	AT3G02460.1	XP_020886908.1
OG0002066	AT5G15930.1	XP_020876597.1
OG0002067	AT5G14390.1	XP_002873663.1
OG0002067	AT3G01690.1	XP_020885951.1
OG0002068	AT5G13550.1	XP_002873617.1
OG0002068	AT3G12520.1	XP_002884908.1
OG0002069	AT5G13110.1	XP_002871547.1
OG0002069	AT1G24280.1	XP_002893458.1
OG0002070	AT5G11670.1	XP_020877554.1
OG0002071	AT5G44050.1	XP_002865386.1
OG0002072	AT5G09900.3	XP_020876647.1
OG0002072	AT5G64760.1	XP_002866633.1
OG0002073	AT5G09520.1	XP_020877764.1
OG0002073	AT5G09530.1	XP_020877761.1
OG0002074	AT5G61250.1	XP_020871206.1
OG0002074	AT5G07830.1	XP_020877566.1
OG0002075	AT4G03000.1	XP_020876365.1
OG0002075	AT1G03365.1	XP_020870310.1
OG0002076	AT2G27960.1	XP_020883831.1
OG0002076	AT2G27970.1	XP_002879124.1
OG0002077	AT2G28310.1	XP_020885557.1
OG0002077	AT1G08040.1	XP_002892430.1
OG0002078	AT1G05510.1	XP_020866809.1
OG0002078	AT2G31985.1	XP_002881209.1
OG0002079	AT1G05300.1	XP_020869721.1
OG0002079	AT2G32270.1	XP_002879377.2
OG0002080	AT1G03870.1	XP_002892185.1
OG0002080	AT5G44130.1	XP_020871949.1
OG0002081	AT5G42790.1	XP_002863736.1
OG0002081	AT1G47250.1	XP_020868232.1
OG0002082	AT1G14360.1	XP_002892801.1
OG0002082	AT2G02810.1	XP_002875146.1
OG0002083	AT5G66760.1	XP_020883788.1
OG0002083	AT2G18450.1	XP_020887642.1
OG0002084	AT3G49950.1	XP_020879863.1
OG0002084	AT5G67411.1	XP_002865003.2
OG0002085	AT5G64890.1	XP_002866300.1, XP_002864928.1
OG0002086	AT5G61790.1	XP_020879849.1
OG0002086	AT5G07340.2	XP_020875825.1
OG0002087	AT3G49560.1	XP_020880299.1
OG0002087	AT5G24650.1	XP_020879175.1
OG0002088	AT5G24780.1	XP_020878661.1
OG0002088	AT5G24770.1	XP_020878662.1
OG0002089	AT3G42790.1	XP_002877256.1
OG0002089	AT5G20510.1	XP_002873999.1
OG0002090	AT5G22930.1	XP_002874104.1
OG0002090	AT3G44940.1	XP_020879685.1
OG0002091	AT3G46290.1	XP_002875777.1
OG0002091	AT5G59700.1	XP_020885428.1
OG0002092	AT4G25970.1	XP_020873374.1
OG0002092	AT5G57190.1	XP_020872759.1, XP_020880675.1
OG0002093	AT4G26110.1	XP_020873580.1
OG0002093	AT5G56950.1	XP_002864489.1
OG0002094	AT4G26430.1	XP_020873623.1
OG0002094	AT5G56280.1	XP_020885990.1
OG0002095	AT4G26710.1	XP_002869594.1
OG0002095	AT5G55290.1	XP_002866085.1
OG0002096	AT5G54870.1	XP_002864361.1
OG0002096	AT4G27020.1	XP_002867528.1
OG0002097	AT4G02690.1	XP_020876277.1
OG0002097	AT1G03070.1	XP_020870643.1
OG0002098	AT4G34400.1	XP_020873147.1
OG0002099	AT3G11270.1	XP_020888290.1
OG0002099	AT5G05780.1	XP_002871180.1
OG0002100	AT5G01225.1	XP_020878565.1
OG0002100	AT3G09032.1	XP_020887082.1
OG0002101	AT3G49420.1, AT5G01430.1	XP_020878966.1
OG0002102	AT3G27190.1	XP_002877025.1
OG0002102	AT5G40870.1	XP_020872140.1
OG0002103	AT1G59870.1	XP_020890274.1
OG0002103	AT1G15210.1	XP_020870060.1
OG0002104	AT1G15750.1	XP_020870647.1
OG0002104	AT1G80490.2	XP_020889875.1
OG0002105	AT1G16190.1	XP_002890153.1
OG0002105	AT1G79650.4	XP_002889262.1
OG0002106	AT1G16440.1	XP_002890166.2
OG0002106	AT1G79250.1	XP_020891697.1
OG0002107	AT1G79210.1	XP_002889236.1
OG0002108	AT1G79160.1	XP_002889235.1
OG0002108	AT1G16500.1	XP_002890169.1
OG0002109	AT1G22150.1	XP_020866041.1
OG0002109	AT1G78000.1	XP_002889173.1
OG0002110	AT1G77000.1	XP_020890166.1
OG0002110	AT1G21410.1	XP_020867682.1
OG0002111	AT1G21070.1	XP_002893149.1
OG0002111	AT1G76670.1	XP_020891042.1
OG0002112	AT1G55610.1	XP_002894514.1
OG0002112	AT3G13380.1	XP_020886844.1
OG0002113	AT1G55535.1	XP_020867877.1
OG0002113	AT3G13420.3	XP_020887159.1
OG0002114	AT3G13570.1	XP_020888589.1
OG0002114	AT1G55310.3	XP_002891828.1
OG0002115	AT1G67640.1	XP_002888613.1
OG0002115	AT1G24400.1	XP_002890710.1
OG0002116	AT4G13850.1	XP_020874691.1
OG0002116	AT3G23830.1	XP_020886452.1
OG0002117	AT4G14368.1	XP_020873062.1
OG0002117	AT3G23270.2	XP_020885931.1
OG0002118	AT4G14500.1	XP_002870309.1
OG0002118	AT3G23080.1	XP_002885543.1
OG0002119	AT3G22110.1	XP_020887502.1
OG0002120	AT1G72270.1	XP_020870347.1, XP_020869808.1
OG0002120	AT4G27010.2	XP_002869583.1
OG0002121	AT4G18050.2	XP_020873126.1
OG0002121	AT5G46540.1	XP_002863399.1
OG0002122	AT4G15560.1	XP_002870230.1
OG0002122	AT3G21500.3	XP_020886041.1
OG0002123	AT4G39280.1	XP_002868898.1
OG0002124	AT1G17530.1	XP_002890232.2
OG0002124	AT1G72750.1	XP_020891522.1
OG0002125	AT2G19860.1	XP_002886018.1
OG0002125	AT4G29130.1	XP_002867423.1
OG0002126	AT3G28710.1	XP_020881413.1, XP_020881398.1
OG0002127	AT3G27240.1	XP_020880323.1
OG0002127	AT5G40810.1	XP_002870676.1
OG0002128	AT5G45620.1	XP_020868556.1
OG0002128	AT4G19006.2	XP_002867964.1
OG0002129	AT1G51500.1	XP_002894320.1
OG0002129	AT3G21090.1	XP_020885851.1
OG0002130	AT3G15690.2	XP_020888689.1
OG0002130	AT1G52670.1	XP_002894393.1
OG0002131	AT2G34690.1	XP_020885164.1
OG0002132	AT3G28820.1, AT3G28810.1	XP_002877133.1
OG0002132	AT3G28980.1	XP_002877148.1
OG0002133	AT4G23670.1	XP_002867695.1
OG0002133	AT4G23680.1	XP_020873791.1
OG0002134	AT4G34420.1	XP_020872151.1
OG0002134	AT2G15730.1	XP_020889421.1
OG0002135	AT2G16600.1	XP_002884009.1
OG0002135	AT4G34870.1	XP_020874612.1
OG0002136	AT4G23920.1	XP_020873591.1
OG0002136	AT4G10960.1	XP_002874660.1
OG0002137	AT4G23870.1	XP_020873823.1
OG0002138	AT4G32500.1	XP_020872657.1
OG0002138	AT2G25600.1	XP_020882664.1
OG0002139	AT4G22700.1	XP_002893786.1, XP_002891065.1, XP_002869811.1
OG0002140	AT4G19960.3	XP_020873111.1
OG0002141	AT4G19975.1	XP_020872209.1
OG0002141	AT5G44820.1	XP_020868622.1
OG0002142	AT4G20360.1	XP_002869935.1
OG0002143	AT4G21090.1	XP_020872174.1
OG0002143	AT4G05450.1	XP_002872758.1
OG0002144	AT4G09570.1	XP_002872452.1
OG0002144	AT1G35670.1	XP_002891197.1
OG0002145	AT2G47690.1	XP_002880319.1
OG0002146	AT2G46420.1	XP_020884624.1
OG0002146	AT3G61700.2	XP_020880822.1
OG0002147	AT3G61560.1	XP_020882533.1
OG0002147	AT2G46170.1	XP_002880222.1
OG0002148	AT3G60900.1	XP_020880420.1
OG0002148	AT2G45470.1	XP_020885589.1
OG0002149	AT3G60280.1	XP_020880884.1
OG0002149	AT3G60270.1	XP_002878326.1
OG0002150	AT3G58050.2	XP_020880173.1
OG0002150	AT2G41960.1	XP_020885170.1
OG0002151	AT2G41060.1	XP_002879905.1
OG0002151	AT3G56860.1	XP_020880084.1
OG0002152	AT3G56750.1	XP_020880238.1
OG0002152	AT2G41150.2	XP_002879912.1
OG0002153	AT3G56430.1	XP_002878085.1
OG0002153	AT2G40800.1	XP_002881741.1
OG0002154	AT2G38630.1	XP_002881605.1
OG0002154	AT3G54190.1	XP_002877961.1
OG0002155	AT2G37120.1	XP_002881490.1
OG0002155	AT3G53370.1	XP_002877914.1
OG0002156	AT5G53540.1	XP_002865978.1
OG0002156	AT4G27680.1	XP_002869548.1
OG0002157	AT3G16860.1	XP_002885173.1
OG0002157	AT4G16120.1	XP_020872617.1
OG0002158	AT4G13345.4	XP_020876339.1
OG0002158	AT3G24460.1	XP_020886497.1
OG0002159	AT3G47150.1	XP_020884350.1, XP_020881850.1, XP_020881715.1
OG0002160	AT1G67600.1	XP_002888611.1
OG0002160	AT1G24350.3	XP_002890712.1
OG0002161	AT1G68060.1	XP_020865969.1
OG0002161	AT1G24764.3	XP_002890697.1
OG0002162	AT2G18730.1	XP_002884154.1
OG0002162	AT4G30340.1	XP_020874569.1
OG0002163	AT2G41260.2	XP_020885015.1
OG0002163	AT2G41280.1	XP_002879918.1
OG0002164	AT2G40020.4	XP_020885734.1
OG0002164	AT1G45248.5	XP_020869076.1
OG0002165	AT2G37460.1	XP_020885556.1
OG0002166	AT5G47160.1	XP_020877952.1
OG0002167	AT2G21240.1	XP_020885000.1
OG0002167	AT4G38910.2	XP_020875421.1
OG0002168	AT2G21410.1	XP_020883982.1
OG0002168	AT4G39080.1	XP_002866830.1
OG0002169	AT4G39110.1	XP_002868885.2
OG0002169	AT2G21480.1	XP_020884193.1
OG0002170	AT2G22140.1	XP_020884291.1
OG0002170	AT2G21800.2	XP_020885608.1
OG0002171	AT4G10310.1	XP_020876773.1
OG0002172	AT5G28040.1	XP_020876929.1
OG0002172	AT3G04930.1	XP_002882384.1
OG0002174	AT2G45740.1	XP_002862253.2, XP_020883902.1
OG0002174	AT1G01820.1	XP_020870071.1
OG0002175	AT4G26250.1	XP_002869619.2
OG0002175	AT5G23790.1	XP_020878905.1
OG0002176	AT3G05700.1	XP_020887210.1, XP_020873809.1
OG0002176	AT5G26990.1	XP_020878698.1
OG0002177	AT3G06930.2	XP_020888782.1
OG0002177	AT5G49020.1	XP_020890474.1
OG0002178	AT5G48680.1	XP_020871929.1
OG0002178	AT3G07170.1	XP_002882515.1
OG0002179	AT3G08640.1	XP_020887356.1
OG0002179	AT3G08630.1	XP_002882576.1
OG0002180	AT3G12130.1	XP_002884884.1
OG0002180	AT5G06770.1	XP_002873278.1
OG0002181	AT1G48240.1	XP_020868386.1
OG0002181	AT3G17440.1	XP_020889207.1
OG0002182	AT3G18160.3	XP_020888849.1
OG0002182	AT1G48635.2	XP_020867041.1
OG0002183	AT3G18410.1, AT1G49140.1	XP_020870612.1
OG0002184	AT3G19320.1	XP_002885307.1
OG0002184	AT1G49750.1	XP_020866711.1
OG0002185	AT3G28920.1	XP_020882234.1
OG0002185	AT5G39760.1	XP_020872961.1
OG0002186	AT3G22530.1	XP_020886727.1, XP_002862235.1, XP_002885301.1
OG0002186	AT4G14830.1	XP_002870278.1
OG0002187	AT5G36100.1	XP_020872210.1
OG0002187	AT1G65090.2	XP_020890942.1
OG0002188	AT1G08970.1	XP_020867883.1
OG0002188	AT1G54830.1	XP_020869486.1
OG0002189	AT3G52370.2	XP_020881688.1
OG0002189	AT2G35860.1	XP_002879581.1
OG0002190	AT2G40170.1	XP_002881700.1
OG0002191	AT1G05580.1	XP_002892302.1
OG0002191	AT2G31910.1	XP_002879349.1
OG0002192	AT1G10340.1	XP_020867794.1
OG0002192	AT2G24600.3	XP_020885199.1
OG0002193	AT1G59660.1	XP_020890279.1
OG0002193	AT1G10390.1	XP_020866468.1
OG0002194	AT1G59940.2	XP_002886648.1
OG0002194	AT1G10470.1	XP_002892573.1
OG0002195	AT1G10930.1	XP_020866950.1
OG0002196	AT1G62820.1	XP_002886451.1
OG0002196	AT1G12310.1	XP_002892683.1
OG0002197	AT1G15030.1	XP_002890085.1
OG0002197	AT2G01260.1	XP_020882522.1, XP_020880633.1
OG0002198	AT1G22990.1	XP_002890547.1
OG0002198	AT1G71050.1	XP_002888817.1
OG0002199	AT1G71020.1	XP_020891382.1
OG0002199	AT1G23030.1	XP_002890550.1
OG0002200	AT1G71140.1	XP_020891143.1
OG0002201	AT1G62570.1	XP_002888017.1
OG0002201	AT1G62560.1	XP_020890536.1
OG0002201	AT1G62540.2	XP_002888019.1
OG0002202	AT5G42020.3	XP_020874351.1
OG0002202	AT5G28540.1	XP_002887878.1
OG0002203	AT4G29510.1	XP_020873130.1
OG0002203	AT2G19670.1	XP_002883976.1
OG0002205	AT1G66120.1	XP_020889725.1
OG0002206	AT1G74960.1	XP_020890805.1
OG0002207	AT2G21790.1	XP_020884877.1
OG0002208	AT4G37450.2	XP_020875302.1
OG0002208	AT2G23130.1	XP_002878661.1
OG0002209	AT4G34300.1	XP_020874800.1
OG0002209	AT4G33930.1	XP_020873884.1
OG0002210	AT4G34265.3	XP_020872187.1
OG0002210	AT2G15000.4	XP_020889502.1
OG0002211	AT4G13800.1	XP_020874396.1
OG0002211	AT3G23870.1	XP_002883467.1
OG0002212	AT1G27370.1	XP_020867903.1
OG0002212	AT1G27360.1	XP_002890724.1
OG0002213	AT4G26850.1	XP_020873480.1
OG0002213	AT5G55120.1	XP_002862180.1, XP_002864375.1
OG0002214	AT1G66940.4	XP_002888560.1
OG0002216	AT4G32380.1	XP_002869277.2
OG0002216	AT4G32375.1	XP_020875445.1
OG0002216	AT4G32370.1	XP_020872450.1
OG0002221	AT1G32580.1	XP_020870595.1
OG0002221	AT2G35240.1	XP_002862198.1, XP_002881383.1
OG0002222	AT1G28710.1	XP_020869630.1
OG0002222	AT1G28700.1	XP_020866010.1
OG0002223	AT3G03341.1	XP_020871476.1
OG0002224	AT5G50020.2	XP_020871229.1
OG0002224	AT4G24630.1	XP_002869709.1
OG0002225	AT5G14610.1	XP_020878482.1
OG0002225	AT3G01540.2	XP_020886217.1
OG0002226	AT5G13825.1	XP_002873629.1
OG0002227	AT2G27210.1	XP_020884183.1
OG0002227	AT1G08420.1	XP_002889692.1
OG0002228	AT2G28725.1	XP_002879183.2
OG0002228	AT1G07795.1	XP_020869393.1
OG0002229	AT2G31960.1	XP_020882956.1
OG0002229	AT1G05570.1	XP_020869875.1
OG0002230	AT1G04340.1	XP_002892210.1
OG0002230	AT5G43460.1	XP_020871105.1
OG0002231	AT1G04220.1	XP_002892201.1
OG0002231	AT5G43760.1	XP_020871032.1
OG0002232	AT5G44280.2	XP_002863599.1
OG0002232	AT1G03770.2	XP_020869259.1
OG0002233	AT1G03670.1	XP_020869569.1
OG0002233	AT4G03460.1	XP_020876384.1
OG0002233	AT4G03500.1	XP_020866638.1
OG0002234	AT4G25150.1	XP_002867623.1
OG0002234	AT5G51260.1	XP_020882877.1
OG0002235	AT4G25220.1	XP_020873436.1
OG0002235	AT1G30560.1	XP_002890878.1
OG0002236	AT5G52200.1	XP_002865901.1
OG0002237	AT1G29160.1	XP_002893549.1
OG0002237	AT2G34140.1	XP_002881324.1
OG0002238	AT2G18110.1	XP_002884115.2
OG0002238	AT1G30230.2	XP_020867225.1
OG0002239	AT2G34880.1	XP_002881362.1
OG0002239	AT1G30810.1	XP_002893647.1
OG0002240	AT1G31420.1	XP_002893845.1
OG0002240	AT2G35620.1	XP_002881406.1
OG0002241	AT1G32380.1	XP_020869919.1
OG0002241	AT2G35390.2	XP_002881394.1
OG0002242	AT5G67080.1	XP_002866718.1
OG0002242	AT3G50310.1	XP_002877738.1
OG0002243	AT5G07320.1	XP_020878612.1
OG0002243	AT5G61810.1	XP_002866456.1
OG0002244	AT5G60840.1	XP_020888623.1, XP_020871754.1, XP_002883607.1, XP_020886045.1, XP_002862645.1, XP_020871780.1, XP_020889025.1, XP_020872197.1, XP_002866397.1, XP_002862648.1, XP_002862646.1, XP_020871746.1
OG0002245	AT5G24550.1, AT5G24540.1	XP_002874205.1
OG0002246	AT5G20570.2	XP_020878286.1
OG0002247	AT5G20790.1	XP_020875879.1
OG0002247	AT3G43110.1	XP_002877267.1
OG0002248	AT4G13090.1	XP_002863177.1
OG0002248	AT4G13080.1	XP_002863180.1
OG0002249	AT5G59740.1	XP_002866345.1
OG0002249	AT3G46180.1	XP_002877458.1
OG0002250	AT5G58680.1	XP_002866284.1
OG0002250	AT3G01400.1	XP_020886966.1
OG0002251	AT5G57580.1	XP_020868444.1
OG0002251	AT4G25800.1	XP_020873385.1
OG0002252	AT4G26260.2	XP_002869617.1
OG0002252	AT5G56640.1	XP_020880931.1
OG0002253	AT5G54810.1	XP_002866062.1
OG0002253	AT4G27070.1	XP_002869581.1
OG0002254	AT1G03060.1	XP_020869078.1
OG0002254	AT4G02660.2	XP_020877396.1
OG0002255	AT2G16650.1	XP_020888008.1
OG0002255	AT4G21900.1	XP_020873404.1
OG0002256	AT3G11320.1	XP_020888291.1
OG0002256	AT5G05820.1	XP_020876014.1
OG0002257	AT3G10980.1	XP_020887854.1
OG0002257	AT5G05350.1	XP_020875962.1
OG0002258	AT2G38460.1	XP_002879747.1
OG0002258	AT5G03570.3	XP_020876507.1
OG0002259	AT5G02910.1	XP_002870999.1
OG0002259	AT5G02920.1	XP_020877579.1
OG0002259	AT5G02930.1	XP_002871001.1
OG0002260	AT2G38230.1	XP_002879732.1
OG0002261	AT5G40860.1	XP_020872456.1
OG0002261	AT3G27210.1	XP_002877027.1
OG0002262	AT1G80160.3	XP_002889306.1
OG0002262	AT1G15380.1	XP_002890101.1
OG0002263	AT1G80300.1	XP_020891379.1
OG0002263	AT1G15500.1	XP_020867926.1
OG0002264	AT1G80720.2	XP_002889277.1
OG0002264	AT1G15870.1	XP_002890132.1
OG0002265	AT1G22170.1	XP_020869441.1
OG0002265	AT1G78050.1	XP_002887715.1
OG0002266	AT1G77740.1	XP_020891016.1
OG0002266	AT1G21980.1	XP_020867046.1
OG0002267	AT1G76940.1	XP_002889109.1
OG0002267	AT1G21320.1	XP_020869336.1
OG0002268	AT1G76185.1	XP_002887628.1
OG0002269	AT1G75460.1	XP_020891357.1
OG0002269	AT1G19740.1	XP_002890352.1
OG0002270	AT1G19660.1	XP_020867332.1
OG0002270	AT1G75380.1	XP_020891185.1
OG0002271	AT3G60050.1	XP_002878314.1
OG0002271	AT1G55630.1	XP_002894516.1
OG0002272	AT3G13430.1	XP_002882822.2
OG0002272	AT1G55530.1	XP_002894508.1
OG0002273	AT3G13510.1	XP_002882828.1
OG0002273	AT1G55360.1	XP_020868902.1
OG0002274	AT3G23310.1	XP_002883421.1
OG0002274	AT4G14350.1	XP_002868289.1
OG0002275	AT4G14440.1	XP_002868281.1
OG0002275	AT4G14430.1	XP_002868282.1
OG0002276	AT1G73390.1	XP_002888928.1
OG0002276	AT1G17940.1	XP_002892974.1
OG0002277	AT1G69120.1	XP_020865978.1
OG0002277	AT1G26310.1	XP_002890666.1
OG0002278	AT4G28400.1	XP_020874883.1
OG0002278	AT2G20630.2	XP_002886294.1
OG0002279	AT4G28750.1	XP_020872483.1
OG0002279	AT2G20260.1	XP_002885991.1
OG0002280	AT5G40460.1	XP_020874720.1
OG0002280	AT3G27630.1	XP_002877065.1
OG0002281	AT3G27330.1	XP_020881211.1
OG0002281	AT5G40720.1	XP_020874926.1
OG0002282	AT1G13460.1	XP_020867865.1
OG0002282	AT3G26020.4	XP_002875297.1
OG0002283	AT3G19570.2	XP_020887132.1
OG0002283	AT1G49890.1	XP_002891540.1
OG0002284	AT1G52280.1	XP_020868003.1
OG0002284	AT3G16100.1	XP_020888096.1
OG0002285	AT2G34350.1	XP_020883126.1
OG0002285	AT2G34355.1	XP_020885763.1
OG0002286	AT2G35555.1	XP_020872265.1
OG0002287	AT4G16600.1	XP_020872208.1
OG0002287	AT2G35710.1	XP_002881409.1
OG0002288	AT5G46680.1	XP_020871588.1
OG0002289	AT4G17350.1	XP_002870109.1
OG0002289	AT5G47440.1	XP_020889763.1
OG0002290	AT3G10580.1	XP_002884799.1
OG0002290	AT4G09450.1	XP_002872443.2
OG0002290	AT3G10585.1	XP_002884800.1
OG0002291	AT3G50580.1	XP_020879769.1
OG0002291	AT1G44191.1	XP_020866548.1
OG0002292	AT3G50140.1, AT3G50190.1	XP_020879999.1
OG0002292	AT3G50130.1	XP_002877730.1
OG0002293	AT4G23340.1	XP_002867714.1
OG0002293	AT5G51310.1	XP_002865853.1
OG0002294	AT5G44670.1	XP_020891554.1
OG0002294	AT4G20170.1	XP_020874727.1
OG0002295	AT4G09060.2	XP_002872359.1
OG0002295	AT1G14680.1	XP_002890069.1
OG0002296	AT2G35690.1	XP_002879567.1
OG0002296	AT4G16760.1	XP_020873153.1
OG0002297	AT2G48160.2	XP_020883654.1
OG0002297	AT3G63070.1	XP_002876705.1
OG0002298	AT2G45810.1	XP_020883116.1
OG0002298	AT3G61240.1	XP_020881562.1
OG0002299	AT3G57200.1	XP_002876402.2
OG0002299	AT2G41451.1	XP_020883888.1
OG0002300	AT2G40790.1	XP_002881740.2
OG0002301	AT2G40140.1	XP_020883942.1
OG0002301	AT3G55980.2	XP_020880437.1
OG0002302	AT2G39480.1	XP_020883744.1
OG0002302	AT3G55320.1	XP_020880106.1
OG0002303	AT3G55020.1	XP_020880443.1
OG0002303	AT2G39280.2	XP_020883274.1
OG0002304	AT1G14610.1	XP_002892818.1
OG0002305	AT4G38570.1	XP_020875572.1
OG0002305	AT1G68000.1	XP_020890543.1
OG0002306	AT1G05000.2	XP_020870963.1
OG0002306	AT4G03960.1	XP_002872675.1
OG0002307	AT2G21590.1	XP_002878559.1
OG0002307	AT4G39210.1	XP_020872544.1
OG0002308	AT4G39960.1	XP_002866900.1
OG0002308	AT2G22360.1	XP_020883256.1
OG0002309	AT1G36180.1	XP_020868907.1
OG0002309	AT1G36160.1	XP_020868909.1
OG0002310	AT4G10490.1	XP_002888500.2, XP_002872518.1
OG0002310	AT4G10500.1	XP_002872519.1
OG0002311	AT4G30760.1	XP_020872121.1
OG0002312	AT4G17560.1	XP_002870097.1
OG0002312	AT5G47190.1	XP_020868257.1
OG0002313	AT3G06740.1	XP_020888043.1
OG0002313	AT5G49300.1	XP_002865725.2
OG0002314	AT3G29780.1	XP_020882086.1
OG0002315	AT3G17650.1	XP_020889110.1
OG0002315	AT1G48370.1	XP_002891428.1
OG0002316	AT1G48430.1	XP_002894113.1
OG0002316	AT3G17770.1	XP_002885229.1
OG0002317	AT1G48490.4	XP_020866277.1
OG0002317	AT3G17850.1	XP_020889084.1
OG0002318	AT3G18300.1	XP_020888673.1
OG0002318	AT1G48780.1	XP_002891453.1
OG0002319	AT3G46270.2	XP_002877474.1
OG0002319	AT3G46260.1	XP_002877475.1
OG0002320	AT1G01790.1	XP_002892042.1
OG0002320	AT4G00630.2	XP_020876326.1
OG0002321	AT1G01740.1	XP_020870063.1
OG0002321	AT4G00710.1	XP_020878512.1
OG0002322	AT4G00460.2	XP_020878882.1
OG0002323	AT4G01820.1, AT4G01830.1	XP_002872874.1
OG0002323	AT1G02530.1	XP_020868941.1, XP_020868942.1
OG0002324	AT1G07480.3	XP_020870896.1
OG0002324	AT1G07470.1	XP_020870898.1
OG0002325	AT1G54690.1	XP_020866298.1, XP_002868724.1
OG0002325	AT1G08880.1	XP_002892475.1
OG0002326	AT1G10350.1	XP_020867484.1
OG0002326	AT1G59725.1	XP_002888188.1
OG0002327	AT2G02180.1	XP_020881092.1
OG0002327	AT1G14530.2	XP_002892815.1
OG0002328	AT1G16220.1	XP_002890154.1
OG0002328	AT1G79630.1	XP_020891604.1
OG0002329	AT1G16310.1	XP_020869558.1
OG0002329	AT1G79520.2	XP_020891331.1
OG0002330	AT1G17470.1	XP_020867522.1
OG0002330	AT1G72660.1	XP_020865950.1
OG0002331	AT1G18450.1	XP_020866333.1
OG0002332	AT1G74560.3	XP_020891472.1
OG0002332	AT1G18800.1	XP_020870494.1
OG0002333	AT1G72170.1	XP_002887419.1
OG0002333	AT1G22520.2	XP_020869833.1
OG0002334	AT1G23870.1	XP_002890598.1
OG0002334	AT1G70290.1	XP_002888764.1
OG0002335	AT1G27190.1	XP_020885979.1, XP_002890616.1
OG0002335	AT1G69990.1	XP_002888749.1
OG0002336	AT1G62262.1	XP_020889834.1
OG0002336	AT1G62280.1	XP_002886482.1
OG0002337	AT1G59960.1	XP_020890650.1
OG0002337	AT1G59950.1	XP_020891659.1
OG0002338	AT5G47550.1	XP_020888818.1
OG0002339	AT2G17200.1	XP_020887615.1
OG0002339	AT2G17190.1	XP_020887616.1
OG0002340	AT2G16500.1	XP_002886234.1
OG0002340	AT4G34710.1	XP_002867107.1
OG0002341	AT4G33590.1	XP_002867169.1
OG0002341	AT4G33600.1	XP_020872808.1
OG0002342	AT2G15530.4	XP_020887344.1
OG0002342	AT4G34040.1	XP_020874463.1
OG0002343	AT4G31590.1	XP_002867293.1
OG0002343	AT2G24630.1	XP_002880602.1
OG0002344	AT2G24590.1	XP_020885203.1
OG0002345	AT2G24290.1	XP_002878743.1
OG0002345	AT4G30996.1	XP_020873046.1
OG0002346	AT5G55550.10	XP_020871603.1
OG0002346	AT4G26650.1	XP_020873466.1
OG0002352	AT4G30420.2	XP_002869378.2
OG0002353	AT5G17390.1	XP_002871764.1
OG0002353	AT3G03290.1	XP_002882283.1
OG0002354	AT5G17060.1	XP_020878395.1
OG0002354	AT3G03120.1	XP_002882275.2
OG0002355	AT5G17040.1	XP_020877818.1
OG0002355	AT5G17030.1	XP_002873805.1
OG0002355	AT5G17050.1	XP_002873808.1
OG0002356	AT5G16650.2	XP_020878205.1
OG0002357	AT5G15940.2	XP_002871693.2
OG0002357	AT5G04070.1	XP_020878429.1, XP_020884771.1
OG0002358	AT3G02160.1	XP_020886903.1
OG0002358	AT5G15570.1	XP_002871671.1
OG0002359	AT5G15320.1	XP_002871661.1
OG0002360	AT5G13090.1	XP_020879300.1
OG0002360	AT1G24270.1	XP_020870383.1
OG0002361	AT5G25110.1	XP_020878484.1
OG0002361	AT5G10930.1	XP_020876737.1
OG0002362	AT5G64840.1	XP_020871117.1
OG0002362	AT5G09930.1	XP_002873431.1
OG0002363	AT5G08590.1	XP_002871349.1
OG0002363	AT5G63650.1	XP_002866567.1
OG0002364	AT5G23575.1	XP_020876252.1
OG0002364	AT5G08500.1	XP_020878155.1, XP_002871342.1
OG0002365	AT5G07980.1	XP_020877019.1
OG0002365	AT5G07940.1	XP_020877014.1
OG0002366	AT4G02850.1	XP_020878326.1
OG0002367	AT2G29250.1	XP_002881037.1
OG0002367	AT2G29220.1	XP_002862602.1, XP_020885298.1, XP_020884931.1
OG0002368	AT1G05160.1	XP_020868215.1
OG0002368	AT2G32440.1	XP_020883156.1
OG0002369	AT5G43700.1	XP_020871044.1
OG0002369	AT1G04240.2	XP_002892202.1
OG0002370	AT5G43900.3	XP_020871730.1
