Orthogroup	Arabidopsis_thaliana	Brassica_oleracea
OG0002048	AT4G09950.1	XP_013612517.1
OG0002056	AT5G58787.1	XP_013625953.1
OG0002056	AT3G47160.2	XP_013629260.1, XP_013608276.1
OG0002057	AT3G48070.2	XP_013599584.1
OG0002057	AT5G62910.1	XP_013629432.1
OG0002058	AT5G18170.1	XP_013605964.1
OG0002058	AT3G03910.1	XP_013584749.1, XP_013619637.1
OG0002059	AT5G18150.1	XP_013622954.1, XP_013615092.1
OG0002059	AT5G14602.1	XP_013620032.1
OG0002060	AT5G18090.1	XP_013610026.1, XP_013611359.1
OG0002060	AT5G18000.1	XP_013614125.1
OG0002061	AT3G03430.1	XP_013584116.1
OG0002061	AT5G17480.1	XP_013638749.1, XP_013627773.1
OG0002062	AT5G16800.3	XP_013625345.1, XP_013608858.1
OG0002062	AT3G02980.1	XP_013584535.1
OG0002063	AT3G02770.1	XP_013630421.1, XP_013632804.1
OG0002063	AT5G16450.1	XP_013629350.1
OG0002064	AT5G16240.1	XP_013612903.1
OG0002064	AT3G02630.1	XP_013630756.1, XP_013585166.1
OG0002065	AT3G02510.1	XP_013618547.1
OG0002065	AT5G16040.1	XP_013612846.1
OG0002066	AT3G02460.1	XP_013628318.1
OG0002066	AT5G15930.1	XP_013618195.1
OG0002067	AT5G14390.1	XP_013618271.1, XP_013613188.1
OG0002067	AT3G01690.1	XP_013614033.1
OG0002068	AT5G13550.1	XP_013606162.1, XP_013625509.1
OG0002068	AT3G12520.1	XP_013625722.1
OG0002069	AT5G13110.1	XP_013611768.1, XP_013628826.1
OG0002069	AT1G24280.1	XP_013598053.1
OG0002070	AT5G25880.1	XP_013593576.1
OG0002070	AT5G11670.1	XP_013628976.1
OG0002071	AT5G44050.1	XP_013612399.1
OG0002072	AT5G64760.1	XP_013616026.1, XP_013630287.1, XP_013606242.1
OG0002073	AT5G09530.1	XP_013618577.1, XP_013611505.1, XP_013625025.1
OG0002074	AT5G61250.1	XP_013598288.1
OG0002074	AT5G07830.1	XP_013612445.1
OG0002075	AT4G03000.1	XP_013612308.1
OG0002075	AT1G03365.1	XP_013586653.1
OG0002076	AT2G27960.1	XP_013625063.1
OG0002076	AT2G27970.1	XP_013634922.1
OG0002077	AT2G28310.1	XP_013631438.1, XP_013633873.1
OG0002077	AT1G08040.1	XP_013638724.1
OG0002078	AT2G31985.1	XP_013635436.1
OG0002079	AT1G05300.1	XP_013586767.1
OG0002079	AT2G32270.1	XP_013635156.1
OG0002080	AT1G03870.1	XP_013638266.1
OG0002080	AT5G44130.1	XP_013612703.1, XP_013616298.1
OG0002081	AT5G42790.1	XP_013606052.1, XP_013631230.1
OG0002081	AT1G47250.1	XP_013600181.1
OG0002082	AT1G14360.1	XP_013587085.1
OG0002082	AT2G02810.1	XP_013616232.1
OG0002083	AT5G66760.1	XP_013613099.1, XP_013598748.1, XP_013621687.1
OG0002083	AT2G18450.1	XP_013627148.1
OG0002084	AT3G49950.1	XP_013603556.1
OG0002084	AT5G67411.1	XP_013596276.1
OG0002085	AT5G64900.1	XP_013622601.1, XP_013626305.1, XP_013619427.1
OG0002086	AT5G61790.1	XP_013620873.1, XP_013612388.1, XP_013629508.1
OG0002087	AT3G49560.1	XP_013600553.1
OG0002087	AT5G24650.1	XP_013593945.1
OG0002088	AT5G24780.1, AT5G24770.1	XP_013618538.1
OG0002089	AT3G42790.1	XP_013628713.1
OG0002089	AT5G20510.1	XP_013613307.1, XP_013616110.1
OG0002090	AT5G22930.1	XP_013625918.1, XP_013614229.1
OG0002090	AT3G44940.1	XP_013587455.1
OG0002091	AT5G59700.1	XP_013611645.1
OG0002092	AT4G25970.1	XP_013607316.1
OG0002093	AT4G26110.1	XP_013602581.1, XP_013614200.1
OG0002093	AT5G56950.1	XP_013606394.1
OG0002094	AT4G26430.1	XP_013596691.1, XP_013618879.1
OG0002094	AT5G56280.1	XP_013611487.1
OG0002096	AT5G54870.1	XP_013609438.1, XP_013620835.1
OG0002096	AT4G27020.1	XP_013600649.1
OG0002097	AT4G02690.1	XP_013619556.1
OG0002097	AT1G03070.1	XP_013585209.1
OG0002098	AT4G34400.1	XP_013620702.1
OG0002099	AT5G05780.1	XP_013618074.1, XP_013606631.1, XP_013622866.1
OG0002100	AT5G01225.1	XP_013611888.1
OG0002100	AT3G09032.1	XP_013586178.1, XP_013585187.1
OG0002101	AT3G49420.1, AT5G01430.1	XP_013614162.1, XP_013621748.1
OG0002102	AT3G27190.1	XP_013592918.1
OG0002102	AT5G40870.1	XP_013631743.1
OG0002103	AT1G59870.1	XP_013590430.1
OG0002103	AT1G15210.1	XP_013605910.1, XP_013585515.1, XP_013585514.1
OG0002104	AT1G15750.1	XP_013604857.1, XP_013585649.1
OG0002104	AT1G80490.2	XP_013591990.1
OG0002105	AT1G16190.1	XP_013604406.1, XP_013583777.1
OG0002105	AT1G79650.4	XP_013592546.1
OG0002106	AT1G16440.1	XP_013586810.1
OG0002106	AT1G79250.1	XP_013618714.1
OG0002107	AT1G79210.1, AT1G16470.1	XP_013590064.1, XP_013592868.1
OG0002108	AT1G79160.1	XP_013589923.1
OG0002108	AT1G16500.1	XP_013603217.1, XP_013584585.1
OG0002109	AT1G22150.1	XP_013584988.1
OG0002109	AT1G78000.1	XP_013618421.1
OG0002110	AT1G77000.1	XP_013588567.1, XP_013588524.1
OG0002110	AT1G21410.1	XP_013626491.1, XP_013614612.1
OG0002111	AT1G21070.1	XP_013587252.1
OG0002111	AT1G76670.1	XP_013588201.1
OG0002112	AT1G55610.1	XP_013621744.1
OG0002112	AT3G13380.1	XP_013586433.1
OG0002113	AT1G55535.1	XP_013592277.1, XP_013625568.1
OG0002113	AT3G13420.3	XP_013583763.1
OG0002114	AT3G13570.1	XP_013594717.1
OG0002114	AT1G55310.3	XP_013588744.1, XP_013588081.1, XP_013588206.1
OG0002115	AT1G67640.1	XP_013619794.1
OG0002115	AT1G24400.1	XP_013584521.1, XP_013595635.1
OG0002116	AT4G13850.1	XP_013615696.1, XP_013615503.1, XP_013615090.1, XP_013594304.1, XP_013602419.1
OG0002117	AT4G14368.1	XP_013634913.1
OG0002117	AT3G23270.2	XP_013631944.1, XP_013596542.1
OG0002118	AT4G14500.1	XP_013605850.1, XP_013602174.1
OG0002118	AT3G23080.1	XP_013586337.1, XP_013607239.1
OG0002119	AT3G22110.1	XP_013583781.1, XP_013615128.1
OG0002120	AT4G27010.2	XP_013600638.1
OG0002121	AT4G18050.2	XP_013592975.1
OG0002121	AT5G46540.1	XP_013606149.1
OG0002122	AT4G15560.1	XP_013601643.1, XP_013597785.1
OG0002122	AT3G21500.3	XP_013622774.1
OG0002124	AT1G17530.1	XP_013584949.1
OG0002124	AT1G72750.1	XP_013616217.1, XP_013590062.1
OG0002126	AT3G28715.1	XP_013618119.1, XP_013593371.1
OG0002126	AT3G28710.1	XP_013606170.1
OG0002127	AT3G27240.1, AT5G40810.1	XP_013593500.1, XP_013608665.1, XP_013616046.1
OG0002128	AT5G45620.1	XP_013593430.1
OG0002128	AT4G19006.2	XP_013622244.1
OG0002129	AT1G51500.1	XP_013592032.1
OG0002129	AT3G21090.1	XP_013638180.1
OG0002130	AT3G15690.2	XP_013636339.1, XP_013585896.1
OG0002131	AT2G34690.1	XP_013622513.1
OG0002132	AT3G28820.1, AT3G28810.1, AT3G28980.1	XP_013628504.1, XP_013584352.1
OG0002133	AT4G23670.1	XP_013596521.1, XP_013621396.1
OG0002134	AT4G34420.1	XP_013591584.1
OG0002134	AT2G15730.1	XP_013625952.1, XP_013595622.1
OG0002135	AT2G16600.1	XP_013611453.1
OG0002135	AT4G34870.1	XP_013635655.1
OG0002136	AT4G10960.1	XP_013609210.1
OG0002137	AT4G23870.1	XP_013627958.1, XP_013639483.1, XP_013595965.1
OG0002137	AT4G11020.1	XP_013619719.1
OG0002138	AT4G32500.1	XP_013617713.1
OG0002138	AT2G25600.1	XP_013602912.1
OG0002139	AT4G22700.1, AT5G35900.1	XP_013595096.1, XP_013595095.1, XP_013597302.1
OG0002140	AT4G19960.3	XP_013597761.1
OG0002141	AT4G19975.1	XP_013596041.1
OG0002141	AT5G44820.1	XP_013593206.1
OG0002142	AT4G20360.1	XP_013628647.1, XP_013599133.1, XP_013598147.1
OG0002143	AT4G21090.1	XP_013617915.1, XP_013621728.1
OG0002144	AT4G09570.1	XP_013630292.1
OG0002144	AT1G35670.1	XP_013637771.1
OG0002145	AT3G62790.1	XP_013604119.1, XP_013636008.1
OG0002146	AT2G46420.1	XP_013630919.1
OG0002146	AT3G61700.2	XP_013629577.1, XP_013600931.1
OG0002147	AT3G61560.1	XP_013592197.1
OG0002147	AT2G46170.1	XP_013633640.1
OG0002148	AT3G60900.1	XP_013600409.1, XP_013591206.1
OG0002148	AT2G45470.1	XP_013636956.1
OG0002149	AT3G60280.1	XP_013634696.1, XP_013605198.1
OG0002150	AT2G41960.1	XP_013635821.1, XP_013635823.1
OG0002151	AT2G41060.1	XP_013636116.1
OG0002151	AT3G56860.1	XP_013604446.1
OG0002152	AT3G56750.1	XP_013591790.1, XP_013600322.1
OG0002152	AT2G41150.2	XP_013634387.1
OG0002153	AT3G56430.1	XP_013601974.1
OG0002153	AT2G40800.1	XP_013631485.1
OG0002154	AT2G38630.1	XP_013637093.1
OG0002155	AT3G53370.1	XP_013590178.1, XP_013613777.1, XP_013613779.1, XP_013600217.1
OG0002156	AT5G53540.1	XP_013606686.1
OG0002156	AT4G27680.1	XP_013595281.1, XP_013600928.1
OG0002157	AT3G16860.1	XP_013609497.1
OG0002157	AT4G16120.1	XP_013601574.1
OG0002158	AT4G13345.4	XP_013600623.1
OG0002158	AT3G24460.1	XP_013593768.1, XP_013622973.1
OG0002159	AT3G47150.1	XP_013607875.1
OG0002160	AT1G67600.1	XP_013590883.1, XP_013619548.1
OG0002160	AT1G24350.3	XP_013628732.1
OG0002161	AT1G24764.3	XP_013628095.1, XP_013593854.1, XP_013587312.1
OG0002162	AT2G18730.1	XP_013608878.1, XP_013592988.1
OG0002162	AT4G30340.1	XP_013616428.1
OG0002164	AT2G40020.4	XP_013625878.1, XP_013633765.1
OG0002165	AT2G37450.2	XP_013630839.1
OG0002165	AT2G37460.1	XP_013634418.1, XP_013637619.1
OG0002166	AT5G47160.1	XP_013594853.1
OG0002167	AT2G21240.1	XP_013633652.1
OG0002167	AT4G38910.2	XP_013589721.1, XP_013598019.1
OG0002168	AT2G21410.1	XP_013636816.1
OG0002168	AT4G39080.1	XP_013596272.1
OG0002169	AT4G39110.1	XP_013630243.1, XP_013599167.1, XP_013596260.1
OG0002169	AT2G21480.1	XP_013634624.1
OG0002170	AT2G22140.1	XP_013602148.1
OG0002170	AT2G21800.2	XP_013631353.1
OG0002171	AT4G10310.1	XP_013623602.1, XP_013607052.1, XP_013610090.1
OG0002172	AT5G28040.1	XP_013613269.1, XP_013597362.1
OG0002172	AT3G04930.1	XP_013585908.1
OG0002174	AT2G45740.1	XP_013628910.1, XP_013633684.1, XP_013633840.1
OG0002174	AT1G01820.1	XP_013604784.1
OG0002175	AT5G30500.1	XP_013605150.1
OG0002175	AT4G26250.1, AT5G23790.1	XP_013603798.1, XP_013603592.1
OG0002176	AT5G26990.1	XP_013618237.1, XP_013595422.1
OG0002177	AT3G06930.2	XP_013638175.1
OG0002177	AT5G49020.1	XP_013616173.1, XP_013598006.1
OG0002178	AT5G48680.1	XP_013607491.1, XP_013595890.1
OG0002178	AT3G07170.1	XP_013625675.1, XP_013586895.1
OG0002179	AT3G08640.1	XP_013618076.1
OG0002179	AT3G08630.1	XP_013615137.1
OG0002180	AT3G12130.1	XP_013638649.1
OG0002180	AT5G06770.1	XP_013596121.1, XP_013628862.1
OG0002181	AT1G48240.1	XP_013587145.1, XP_013613842.1
OG0002181	AT3G17440.1	XP_013621847.1
OG0002182	AT3G18160.3	XP_013625556.1, XP_013635846.1
OG0002182	AT1G48635.2	XP_013589826.1
OG0002184	AT3G19320.1	XP_013638372.1
OG0002184	AT1G49750.1	XP_013604256.1, XP_013584099.1
OG0002185	AT3G28920.1	XP_013607214.1, XP_013599446.1
OG0002185	AT5G39760.1	XP_013631916.1
OG0002186	AT3G22530.1	XP_013607476.1, XP_013615649.1, XP_013585993.1, XP_013585995.1
OG0002187	AT5G36100.1	XP_013634300.1
OG0002187	AT1G65090.2	XP_013618296.1
OG0002188	AT1G08970.1	XP_013604827.1
OG0002189	AT2G35860.1	XP_013637588.1, XP_013622415.1
OG0002190	AT2G40170.1	XP_013637249.1, XP_013627891.1
OG0002190	AT3G51810.1	XP_013608806.1
OG0002191	AT1G05580.1	XP_013585640.1
OG0002191	AT2G31910.1	XP_013635557.1, XP_013635071.1
OG0002192	AT1G10340.1	XP_013603929.1, XP_013600542.1
OG0002193	AT1G59660.1	XP_013612453.1
OG0002193	AT1G10390.1	XP_013585681.1
OG0002194	AT1G59940.2	XP_013609959.1
OG0002194	AT1G10470.1	XP_013600259.1, XP_013585674.1, XP_013600664.1
OG0002195	AT1G10930.1	XP_013605666.1, XP_013605572.1
OG0002196	AT1G12310.1	XP_013613826.1, XP_013602249.1, XP_013583673.1
OG0002197	AT1G15030.1	XP_013637888.1, XP_013599793.1
OG0002197	AT2G01260.1	XP_013614059.1
OG0002198	AT1G22990.1	XP_013596711.1
OG0002198	AT1G71050.1	XP_013590558.1
OG0002199	AT1G71020.1	XP_013588277.1
OG0002199	AT1G23030.1	XP_013587372.1
OG0002200	AT1G71140.1	XP_013599091.1, XP_013592898.1, XP_013590069.1
OG0002201	AT1G62560.1, AT1G62540.2, AT1G65860.1	XP_013612296.1
OG0002202	AT5G42020.3	XP_013598075.1
OG0002202	AT5G28540.1	XP_013588628.1
OG0002203	AT4G29510.1	XP_013600242.1, XP_013598342.1
OG0002203	AT2G19670.1	XP_013599128.1
OG0002205	AT1G66120.1	XP_013618880.1
OG0002208	AT2G23130.1	XP_013602438.1
OG0002209	AT4G34300.1, AT4G33930.1	XP_013627744.1
OG0002210	AT4G34265.3	XP_013591315.1
OG0002210	AT2G15000.4	XP_013595876.1
OG0002211	AT4G13800.1	XP_013632287.1
OG0002211	AT3G23870.1	XP_013599430.1, XP_013627189.1
OG0002212	AT1G27360.1	XP_013598135.1, XP_013586419.1
OG0002213	AT4G26850.1	XP_013605309.1
OG0002213	AT5G55120.1	XP_013621458.1
OG0002216	AT4G32380.1	XP_013624912.1
OG0002216	AT4G32370.1	XP_013623258.1
OG0002221	AT2G35240.1	XP_013633825.1, XP_013631968.1
OG0002222	AT1G28695.1, AT1G28710.1, AT1G28700.1	XP_013610272.1
OG0002223	AT3G03341.1	XP_013590521.1
OG0002224	AT5G50020.2	XP_013625381.1
OG0002224	AT4G24630.1	XP_013599955.1, XP_013605654.1
OG0002225	AT5G14610.1	XP_013613396.1
OG0002225	AT3G01540.2	XP_013614031.1, XP_013628764.1
OG0002226	AT5G13825.1	XP_013610939.1, XP_013619944.1
OG0002227	AT2G27210.1	XP_013636596.1
OG0002227	AT1G08420.1	XP_013604833.1, XP_013604374.1, XP_013638962.1
OG0002228	AT2G28725.1	XP_013635494.1, XP_013622578.1
OG0002228	AT1G07795.1	XP_013639131.1
OG0002229	AT2G31960.1	XP_013635868.1
OG0002229	AT1G05570.1	XP_013585745.1
OG0002230	AT1G04340.1	XP_013602561.1
OG0002230	AT5G43460.1	XP_013609283.1
OG0002231	AT1G04220.1	XP_013600974.1, XP_013587157.1
OG0002231	AT5G43760.1	XP_013598234.1, XP_013621050.1
OG0002232	AT5G44280.2, AT1G03770.2	XP_013593283.1, XP_013606447.1
OG0002233	AT1G03670.1	XP_013619452.1
OG0002233	AT4G03460.1	XP_013614646.1
OG0002233	AT4G03500.1	XP_013618725.1
OG0002234	AT4G25150.1	XP_013639476.1
OG0002234	AT5G51260.1	XP_013593863.1, XP_013618350.1
OG0002235	AT4G25220.1	XP_013590154.1
OG0002235	AT1G30560.1	XP_013603404.1
OG0002236	AT5G52200.1	XP_013613072.1
OG0002237	AT2G34140.1	XP_013635531.1
OG0002239	AT2G34880.1	XP_013633378.1, XP_013615882.1, XP_013633391.1
OG0002239	AT1G30810.1	XP_013600247.1, XP_013586980.1
OG0002240	AT2G35620.1	XP_013629934.1, XP_013636361.1, XP_013631604.1
OG0002241	AT1G32380.1	XP_013637728.1, XP_013584023.1
OG0002241	AT2G35390.2	XP_013631430.1
OG0002242	AT5G67080.1	XP_013597539.1
OG0002242	AT3G50310.1	XP_013604172.1
OG0002243	AT5G07320.1	XP_013608504.1, XP_013613366.1
OG0002243	AT5G61810.1	XP_013629531.1
OG0002244	AT5G60840.1	XP_013596091.1
OG0002248	AT4G13090.1	XP_013627694.1, XP_013627845.1
OG0002249	AT5G59740.1	XP_013625749.1, XP_013607254.1, XP_013619220.1
OG0002250	AT5G58680.1	XP_013608274.1, XP_013618313.1
OG0002250	AT3G01400.1	XP_013625332.1
OG0002251	AT5G57580.1	XP_013612023.1
OG0002251	AT4G25800.1	XP_013599977.1
OG0002252	AT4G26260.2	XP_013597958.1
OG0002252	AT5G56640.1	XP_013619695.1
OG0002253	AT5G54810.1	XP_013612702.1
OG0002253	AT4G27070.1	XP_013597674.1
OG0002254	AT1G03060.1	XP_013602914.1, XP_013584708.1
OG0002254	AT4G02660.2	XP_013629649.1
OG0002255	AT2G16650.1	XP_013593458.1
OG0002255	AT4G21900.1	XP_013612769.1
OG0002256	AT3G11320.1	XP_013638292.1, XP_013628411.1
OG0002256	AT5G05820.1	XP_013622627.1
OG0002257	AT3G10980.1	XP_013587095.1
OG0002257	AT5G05350.1	XP_013606718.1
OG0002258	AT2G38460.1	XP_013632489.1, XP_013637629.1
OG0002258	AT5G03570.3	XP_013626863.1
OG0002259	AT5G02910.1	XP_013611299.1
OG0002260	AT2G38230.1	XP_013637431.1
OG0002261	AT5G40860.1	XP_013635763.1
OG0002261	AT3G27210.1	XP_013615983.1, XP_013599376.1
OG0002262	AT1G80160.3	XP_013618822.1
OG0002262	AT1G15380.1	XP_013583805.1
OG0002263	AT1G80300.1	XP_013591545.1, XP_013591616.1
OG0002263	AT1G15500.1	XP_013604974.1, XP_013587434.1
OG0002264	AT1G80720.2	XP_013590161.1
OG0002264	AT1G15870.1	XP_013638166.1
OG0002265	AT1G22170.1	XP_013594719.1
OG0002266	AT1G77740.1	XP_013620768.1
OG0002266	AT1G21980.1	XP_013603640.1
OG0002267	AT1G76940.1	XP_013590060.1
OG0002267	AT1G21320.1	XP_013638852.1, XP_013594146.1
OG0002268	AT1G76185.1	XP_013590536.1
OG0002269	AT1G75460.1	XP_013621385.1
OG0002269	AT1G19740.1	XP_013587194.1
OG0002270	AT1G19660.1	XP_013587536.1
OG0002270	AT1G75380.1	XP_013621486.1
OG0002271	AT3G60050.1	XP_013631978.1
OG0002271	AT1G55630.1	XP_013588736.1
OG0002272	AT3G13430.1	XP_013638431.1
OG0002272	AT1G55530.1	XP_013592273.1
OG0002273	AT3G13510.1	XP_013638182.1
OG0002273	AT1G55360.1	XP_013629928.1
OG0002274	AT3G23310.1	XP_013599301.1
OG0002274	AT4G14350.1	XP_013628850.1, XP_013637311.1
OG0002275	AT4G14440.1	XP_013614139.1
OG0002275	AT4G14430.1	XP_013599786.1
OG0002276	AT1G73390.1	XP_013587906.1
OG0002276	AT1G17940.1	XP_013613970.1
OG0002277	AT1G69120.1	XP_013589842.1, XP_013590290.1
OG0002277	AT1G26310.1	XP_013613940.1
OG0002278	AT2G20630.2	XP_013602721.1
OG0002279	AT4G28750.1	XP_013608206.1, XP_013605671.1
OG0002280	AT5G40460.1	XP_013634818.1
OG0002280	AT3G27630.1	XP_013596763.1
OG0002281	AT3G27330.1	XP_013596134.1, XP_013616168.1
OG0002281	AT5G40720.1	XP_013590071.1
OG0002282	AT1G13460.1	XP_013585948.1
OG0002282	AT3G26020.4	XP_013621329.1, XP_013597888.1
OG0002283	AT3G19570.2	XP_013613424.1
OG0002283	AT1G49890.1	XP_013622283.1, XP_013587794.1
OG0002284	AT1G52280.1	XP_013590014.1
OG0002284	AT3G16100.1	XP_013622152.1, XP_013592575.1
OG0002285	AT2G34350.1	XP_013636651.1, XP_013632338.1
OG0002285	AT2G34355.1	XP_013631782.1
OG0002287	AT4G16600.1	XP_013614117.1
OG0002287	AT2G35710.1	XP_013632152.1, XP_013631989.1
OG0002288	AT5G46680.1	XP_013619106.1
OG0002289	AT4G17350.1	XP_013595934.1, XP_013605741.1
OG0002289	AT5G47440.1	XP_013593621.1
OG0002290	AT3G10580.1, AT4G09450.1	XP_013585188.1, XP_013593382.1
OG0002291	AT3G50580.1	XP_013589299.1, XP_013596898.1
OG0002291	AT1G44191.1	XP_013603314.1
OG0002292	AT3G50140.1, AT3G50190.1	XP_013596535.1
OG0002292	AT3G50130.1	XP_013595034.1
OG0002293	AT4G23340.1	XP_013596159.1
OG0002293	AT5G51310.1	XP_013619787.1
OG0002294	AT5G44670.1	XP_013613592.1
OG0002294	AT4G20170.1	XP_013621757.1, XP_013609819.1
OG0002295	AT4G09060.2	XP_013626203.1
OG0002295	AT1G14680.1	XP_013584381.1
OG0002296	AT2G35690.1	XP_013622222.1
OG0002296	AT4G16760.1	XP_013601322.1
OG0002297	AT3G63070.1	XP_013636060.1, XP_013591514.1
OG0002298	AT2G45810.1	XP_013636400.1
OG0002298	AT3G61240.1	XP_013600084.1, XP_013589399.1
OG0002299	AT3G57200.1	XP_013602544.1
OG0002299	AT2G41451.1	XP_013633444.1
OG0002300	AT2G40790.1	XP_013601985.1
OG0002300	AT3G56420.1	XP_013635768.1, XP_013588190.1
OG0002301	AT2G40140.1	XP_013621926.1, XP_013637248.1
OG0002301	AT3G55980.2	XP_013604703.1
OG0002302	AT2G39480.1	XP_013628443.1, XP_013635362.1
OG0002302	AT3G55320.1	XP_013636150.1
OG0002303	AT3G55020.1	XP_013604777.1
OG0002305	AT4G38570.1	XP_013622582.1
OG0002305	AT1G68000.1	XP_013618436.1, XP_013590309.1
OG0002306	AT1G05000.2	XP_013586852.1
OG0002306	AT4G03960.1	XP_013608887.1
OG0002307	AT2G21590.1	XP_013614558.1
OG0002307	AT4G39210.1	XP_013598081.1
OG0002308	AT4G39960.1	XP_013594675.1
OG0002308	AT2G22360.1	XP_013637566.1
OG0002309	AT1G36180.1	XP_013592802.1
OG0002309	AT1G36160.1	XP_013603687.1
OG0002310	AT4G10490.1	XP_013612418.1, XP_013607978.1, XP_013627196.1
OG0002310	AT4G10500.1	XP_013623417.1
OG0002311	AT4G30760.1	XP_013625092.1
OG0002312	AT4G17560.1	XP_013600577.1
OG0002312	AT5G47190.1	XP_013607076.1, XP_013598917.1
OG0002313	AT5G49300.1	XP_013596346.1, XP_013614017.1
OG0002314	AT3G29780.1	XP_013620027.1
OG0002315	AT3G17650.1	XP_013629647.1, XP_013609209.1
OG0002316	AT1G48430.1	XP_013604278.1
OG0002316	AT3G17770.1	XP_013637774.1
OG0002317	AT3G17850.1	XP_013609114.1, XP_013586245.1
OG0002318	AT3G18300.1	XP_013638993.1
OG0002318	AT1G48780.1	XP_013591061.1
OG0002319	AT3G46270.2, AT3G46260.1	XP_013627743.1
OG0002320	AT1G01790.1	XP_013585400.1, XP_013604695.1
OG0002321	AT1G01740.1	XP_013585831.1
OG0002321	AT4G00710.1	XP_013606767.1, XP_013628270.1
OG0002322	AT4G00460.2	XP_013628090.1, XP_013609608.1
OG0002323	AT4G01820.1, AT4G01830.1	XP_013594382.1, XP_013589400.1
OG0002323	AT1G02520.1, AT1G02530.1	XP_013637891.1
OG0002324	AT1G07480.3, AT1G07470.1	XP_013600458.1, XP_013583870.1, XP_013599856.1
OG0002325	AT1G08880.1	XP_013586820.1, XP_013605063.1
OG0002326	AT1G10350.1	XP_013600256.1
OG0002326	AT1G59725.1	XP_013613147.1
OG0002327	AT2G02180.1	XP_013608824.1, XP_013618079.1
OG0002327	AT1G14530.2	XP_013583942.1
OG0002328	AT1G16220.1	XP_013587619.1
OG0002328	AT1G79630.1	XP_013588119.1, XP_013618639.1
OG0002329	AT1G16310.1	XP_013600227.1, XP_013638772.1
OG0002329	AT1G79520.2	XP_013588295.1
OG0002330	AT1G17470.1	XP_013587702.1
OG0002331	AT1G73910.3	XP_013602822.1
OG0002332	AT1G74560.3	XP_013600269.1
OG0002332	AT1G18800.1	XP_013638483.1
OG0002333	AT1G72170.1	XP_013590349.1
OG0002333	AT1G22520.2	XP_013602503.1
OG0002334	AT1G23870.1	XP_013604470.1
OG0002334	AT1G70290.1	XP_013620451.1
OG0002335	AT1G27190.1	XP_013584288.1
OG0002335	AT1G69990.1	XP_013590401.1
OG0002336	AT1G62262.1	XP_013634555.1, XP_013610302.1
OG0002336	AT1G62280.1	XP_013610636.1, XP_013635017.1
OG0002337	AT1G59960.1, AT1G59950.1	XP_013608663.1
OG0002340	AT4G34710.1	XP_013628788.1, XP_013598161.1
OG0002341	AT4G33590.1	XP_013595169.1, XP_013624905.1
OG0002341	AT4G33600.1	XP_013624904.1
OG0002342	AT2G15530.4	XP_013597736.1, XP_013612605.1
OG0002343	AT4G31590.1	XP_013603983.1, XP_013599138.1
OG0002343	AT2G24630.1	XP_013600090.1
OG0002344	AT2G24590.1	XP_013599493.1
OG0002346	AT5G55550.10	XP_013623060.1
OG0002346	AT4G26650.1	XP_013599294.1, XP_013614736.1
OG0002352	AT4G30420.2	XP_013626287.1
OG0002353	AT5G17390.1	XP_013633048.1, XP_013606754.1
OG0002353	AT3G03290.1	XP_013585273.1
OG0002354	AT5G17060.1	XP_013606746.1
OG0002355	AT5G17040.1, AT5G17030.1, AT5G17050.1	XP_013620486.1
OG0002356	AT5G16650.2	XP_013611059.1, XP_013628546.1
OG0002357	AT5G15940.2	XP_013616803.1
OG0002357	AT5G04070.1	XP_013612369.1
OG0002358	AT3G02160.1	XP_013586124.1, XP_013628508.1
OG0002358	AT5G15570.1	XP_013620598.1, XP_013611591.1
OG0002359	AT5G15320.1	XP_013626720.1, XP_013610594.1
OG0002360	AT1G24270.1	XP_013584022.1, XP_013626509.1
OG0002361	AT5G25110.1	XP_013596800.1
OG0002361	AT5G10930.1	XP_013610999.1
OG0002362	AT5G64840.1	XP_013620675.1
OG0002362	AT5G09930.1	XP_013606249.1
OG0002363	AT5G08590.1	XP_013629316.1, XP_013613244.1
OG0002363	AT5G63650.1	XP_013625413.1
OG0002364	AT5G23575.1	XP_013611203.1, XP_013597529.1
OG0002364	AT5G08500.1	XP_013606545.1
OG0002365	AT5G07980.1, AT5G07940.1	XP_013620318.1, XP_013618017.1, XP_013636194.1
OG0002366	AT4G02850.1	XP_013627218.1
OG0002367	AT2G29220.1	XP_013614183.1
OG0002368	AT1G05160.1	XP_013583900.1
OG0002368	AT2G32440.1	XP_013631527.1
OG0002369	AT5G43700.1	XP_013606589.1
OG0002369	AT1G04240.2	XP_013604528.1, XP_013584453.1
OG0002370	AT5G43900.3	XP_013608569.1, XP_013597906.1
OG0002370	AT1G04160.1	XP_013602198.1
OG0002371	AT1G03800.1	XP_013639092.1
OG0002371	AT5G44210.1	XP_013619561.1
OG0002372	AT4G25680.1, AT4G25660.1	XP_013599860.1, XP_013600199.1, XP_013599847.1
OG0002373	AT1G59800.1	XP_013595130.1
OG0002375	AT2G03590.1	XP_013616606.1, XP_013607224.1
OG0002377	AT3G43740.2	XP_013615217.1, XP_013618469.1
OG0002378	AT3G44280.1	XP_013626804.1
OG0002379	AT3G46830.1	XP_013630663.1
OG0002379	AT5G59150.1	XP_013616474.1, XP_013606755.1
OG0002380	AT4G31490.1, AT4G31480.3	XP_013597783.1, XP_013628664.1
OG0002381	AT5G55400.1	XP_013630254.1
OG0002381	AT4G26700.1	XP_013605212.1, XP_013610899.1
OG0002382	AT5G54630.1	XP_013615605.1, XP_013609499.1
