Orthogroup	Arabidopsis_thaliana	Noccaea_praecox
OG0001527	AT5G65750.1	Np001G0026400, Np001G0026700
OG0001527	AT3G55410.1	Np001G0590900
OG0001529	AT5G24430.1	Np001G0117800
OG0001529	AT3G49370.1	Np001G0503400
OG0001531	AT5G22860.1	Np003G1510400, Np005G3004300
OG0001532	AT5G59590.1, AT5G59580.1	Np003G1528200, Np003G1528300
OG0001533	AT5G59540.1	Np003G1528900
OG0001534	AT5G46200.1	Np001G0358800
OG0001534	AT4G17860.1	Np002G1130500
OG0001535	AT4G26270.1	Np005G2795000
OG0001535	AT5G56630.1	Np003G1573500
OG0001536	AT1G63470.1, AT1G63480.1	Np005G3190600, Np002G1225900
OG0001537	AT4G02450.1	Np003G1866300
OG0001538	AT1G03040.3	Np004G2573800
OG0001538	AT4G02590.1	Np003G1864300
OG0001539	AT5G06500.1	Np003G1320800
OG0001540	AT3G11070.1	Np007G4109000
OG0001540	AT5G05520.1	Np003G1305400
OG0001542	AT5G03470.1	Np003G1277700
OG0001542	AT3G09880.1	Np007G4127700
OG0001543	AT1G76980.1	Np002G0755300
OG0001543	AT1G21390.1	Np004G2340500
OG0001544	AT1G76970.1	Np002G0760400, Np002G0755400
OG0001544	AT1G21380.1	Np004G2340700
OG0001545	AT1G76590.1	Np002G0761700
OG0001545	AT1G21000.1	Np004G2343800
OG0001546	AT1G75030.1	Np002G0785100
OG0001546	AT1G75050.1	Np002G0785000
OG0001547	AT2G17340.1, AT4G35360.1	Np005G2663300
OG0001548	AT4G35840.2	Np006G3274700, Np005G2673900
OG0001548	AT2G17730.2	Np007G3754900
OG0001549	AT4G13580.1	Np005G3072600
OG0001549	AT3G24020.1	Np007G3861800
OG0001550	AT1G73950.1	Np002G0800600, Np002G0807000, Np002G0807100
OG0001550	AT1G18470.1	Np004G2373500
OG0001551	AT5G23800.2, AT5G23780.1, AT5G23770.2	Np003G1794700
OG0001552	AT5G45670.1	Np001G0369400
OG0001552	AT4G18970.2	Np005G2905300
OG0001553	AT3G20310.1	Np007G3993300
OG0001553	AT1G50640.1	Np004G1964500
OG0001554	AT1G52700.2	Np004G1941700
OG0001554	AT3G15650.2	Np007G4028700
OG0001555	AT5G47080.1	Np001G0332200
OG0001555	AT4G17640.1	Np005G2939200
OG0001556	AT5G47540.1	Np001G0318100
OG0001556	AT4G17270.1	Np005G2957900
OG0001557	AT5G66570.1	Np001G0008400
OG0001557	AT3G50820.1	Np001G0524500
OG0001558	AT2G47160.2	Np006G3217900
OG0001558	AT3G62270.1	Np001G0685200
OG0001559	AT4G32070.1	Np005G2709600
OG0001559	AT2G25290.1	Np006G3641600
OG0001560	AT2G44150.1	Np006G3259600
OG0001560	AT3G59960.1	Np001G0652500
OG0001561	AT3G57960.1	Np001G0627600
OG0001561	AT3G57970.1	Np001G0627700
OG0001562	AT3G57550.2, AT2G41880.5	Np001G0623100
OG0001563	AT2G41140.1	Np006G3306300
OG0001563	AT3G56760.1	Np001G0612400
OG0001564	AT3G55770.7	Np001G0597100
OG0001564	AT2G39900.1	Np006G3328600
OG0001565	AT3G55700.1, AT3G55710.1	Np001G0596100
OG0001567	AT3G44840.1	Np001G0211400
OG0001568	AT4G30020.1	Np005G2744200
OG0001568	AT2G19170.1	Np007G3737500
OG0001569	AT2G21510.2	Np006G3705100
OG0001569	AT4G39150.1	Np005G2611900
OG0001570	AT1G71900.2	Np002G0832600
OG0001570	AT1G34470.1	Np004G2088400
OG0001571	AT1G03260.1	Np004G2571500
OG0001571	AT5G19070.1	Np003G1469500
OG0001572	AT3G05310.1	Np007G4190300
OG0001572	AT5G27540.1	Np001G0175500, Np001G0149400
OG0001573	AT5G28150.1	Np001G0155800
OG0001573	AT3G04860.1	Np007G4199800
OG0001574	AT4G28470.1	Np005G2763800
OG0001574	AT2G20580.1	Np007G3719000
OG0001575	AT3G04330.1, AT3G04320.2	Np006G3586000
OG0001576	AT3G05060.1	Np007G4193800
OG0001577	AT5G48290.3	Np001G0178700
OG0001577	AT3G07600.1	Np007G4152400
OG0001578	AT3G17410.1	Np007G3925600
OG0001578	AT1G48210.1	Np005G2615000
OG0001580	AT4G14260.1	Np001G0399600
OG0001581	AT5G39480.1, AT5G39490.1, AT5G39460.1	Np005G3155300
OG0001581	AT5G39450.1	Np005G3155000
OG0001582	AT2G32370.1	Np006G3566700
OG0001582	AT1G05230.1	Np004G2548700
OG0001583	AT1G10960.1	Np004G2476400
OG0001583	AT1G60950.1	Np002G1171400
OG0001584	AT1G14860.1	Np004G2416100
OG0001584	AT2G01670.1	Np001G0268400
OG0001585	AT1G22550.1	Np004G2320400
OG0001585	AT1G22570.1	Np004G2320300
OG0001586	AT2G03760.1	Np001G0240500
OG0001587	AT1G23260.1	Np004G2305400
OG0001587	AT1G70660.1	Np002G0848300
OG0001588	AT1G64330.1	Np002G1241000
OG0001588	AT5G41790.1	Np005G3200300
OG0001589	AT3G28080.1, AT3G28070.1, AT3G28100.1	Np001G0201100
OG0001589	AT3G28130.2	Np001G0201000
OG0001590	AT5G51465.1	Np005G2617500
OG0001591	AT2G22425.1	Np006G3689600
OG0001591	AT4G40042.1	Np005G2623500
OG0001592	AT4G34135.1	Np005G2643700
OG0001593	AT1G13560.1	Np004G2434400
OG0001593	AT3G25585.1	Np001G0237200
OG0001594	AT1G65330.1, AT1G65300.1	Np001G0141700
OG0001595	AT1G65500.1	Np002G0980400, Np002G0980500
OG0001597	AT5G56452.1	Np002G0913700
OG0001598	AT5G08005.1	Np003G1341700
OG0001598	AT5G61100.1, AT5G61110.1	Np001G0096000
OG0001599	AT4G28800.2, AT4G28815.1, AT4G28811.1	Np005G2759000
OG0001603	AT3G48450.1	Np001G0485300
OG0001603	AT5G63270.1	Np001G0061400
OG0001604	AT1G19020.1	Np004G2366600
OG0001604	AT3G48180.1	Np001G0481200
OG0001606	AT5G17190.1	Np003G1443700
OG0001606	AT3G03160.1	Np007G4225800
OG0001607	AT3G03050.1	Np007G4226500
OG0001607	AT5G16910.1	Np003G1441100
OG0001608	AT3G20620.1	Np007G3802400, Np007G3802300, Np007G3802000
OG0001609	AT3G02530.1	Np007G4233300
OG0001610	AT1G27350.1	Np004G2100900, Np004G2100700
OG0001611	AT5G12480.1	Np003G1395100
OG0001611	AT5G19450.1	Np003G1474200
OG0001612	AT5G19480.1	Np003G1474500
OG0001612	AT5G12230.1	Np003G1390800
OG0001613	AT5G11730.1	Np003G1384400
OG0001613	AT5G25970.1	Np001G0135800
OG0001614	AT5G10270.1	Np003G1365600
OG0001615	AT2G22290.1	Np006G3691200
OG0001615	AT5G10260.1	Np003G1365500, Np004G2192600
OG0001616	AT5G64570.1	Np001G0042900
OG0001617	AT5G09220.1	Np003G1353100
OG0001617	AT5G63850.1	Np001G0053100
OG0001618	AT5G23090.1	Np001G0100900
OG0001618	AT5G08190.1	Np003G1343800
OG0001619	AT4G03010.1	Np003G1857300
OG0001619	AT1G03440.1	Np004G2570100
OG0001620	AT1G07570.3	Np004G2519300
OG0001621	AT2G29990.1	Np006G3521200
OG0001621	AT1G07180.1	Np004G2523800
OG0001622	AT1G07090.1	Np004G2525500
OG0001623	AT2G30440.1	Np006G3476400, Np006G3531700
OG0001623	AT1G06870.1	Np004G2527900
OG0001624	AT2G30930.1	Np006G3489200, Np006G3540900
OG0001624	AT1G06540.1	Np004G2531500
OG0001625	AT2G31730.1	Np006G3555200
OG0001625	AT1G05710.10	Np004G2541800
OG0001626	AT2G33220.2	Np006G3578600, Np004G2556500
OG0001627	AT1G04510.1	Np004G2557800
OG0001628	AT1G04070.1	Np004G2562700
OG0001628	AT5G43970.1	Np001G0405300
OG0001629	AT4G03520.1	Np003G1851500
OG0001629	AT1G03680.1	Np004G2567500
OG0001630	AT4G25700.1	Np005G2802900
OG0001630	AT5G52570.1	Np003G1653500
OG0001631	AT5G43130.2	Np001G0417900
OG0001631	AT1G27720.1	Np004G2105500
OG0001632	AT2G33870.1	Np006G3431700
OG0001632	AT1G28550.1	Np004G2115400
OG0001633	AT5G61700.1	Np001G0088000
OG0001633	AT5G61740.1	Np001G0087500, Np002G1106300, Np002G1102400
OG0001634	AT1G13910.1	Np004G2429600
OG0001635	AT3G48780.1	Np001G0494400
OG0001635	AT3G48790.1	Np001G0494500
OG0001636	AT3G49550.1	Np001G0505200
OG0001636	AT5G24610.1	Np001G0119400
OG0001637	AT5G19520.1	Np003G1475500
OG0001640	AT4G26670.1	Np005G2789400
OG0001640	AT5G55510.1	Np003G1595700
OG0001641	AT5G55180.2	Np003G1604400
OG0001641	AT4G26830.2	Np005G2787300
OG0001642	AT5G55050.1	Np003G1606600, Np003G1606700, Np003G1606800
OG0001643	AT5G54240.1	Np003G1624800
OG0001644	AT3G11710.1	Np007G4100200
OG0001645	AT5G06110.1	Np003G1314000
OG0001646	AT5G05610.1	Np003G1306300
OG0001646	AT3G11200.1	Np007G4106600
OG0001647	AT3G57140.1	Np001G0616800
OG0001647	AT5G04040.1	Np003G1285200
OG0001648	AT5G40770.1	Np005G3182600
OG0001648	AT3G27280.1	Np001G0210300
OG0001649	AT5G40890.1	Np005G3184400
OG0001649	AT3G27170.1	Np001G0213400
OG0001650	AT5G41390.1	Np005G3193600
OG0001650	AT1G63830.1	Np002G1232600
OG0001651	AT1G16240.1	Np004G2400500
OG0001651	AT1G79590.3	Np002G0719700, Np002G0719100, Np002G0718100
OG0001652	AT1G79340.1	Np002G0723200
OG0001653	AT1G16460.2	Np002G1158000, Np004G2397500
OG0001653	AT1G79230.1	Np002G0724300
OG0001655	AT1G65480.2	Np002G0983700
OG0001655	AT4G20370.1	Np005G2883700
OG0001656	AT1G76460.1	Np002G0764100
OG0001656	AT1G20880.1	Np004G2345700
OG0001657	AT4G35460.1	Np005G2664900
OG0001657	AT2G17420.1	Np007G3759400
OG0001658	AT2G17870.1	Np007G3752700
OG0001658	AT4G36020.1	Np005G2676100
OG0001659	AT1G54320.1	Np004G1901200
OG0001659	AT3G12740.1	Np007G4086300
OG0001660	AT3G14310.1	Np007G4057600
OG0001661	AT1G53035.2	Np004G1936700
OG0001661	AT3G15358.1	Np007G4041700
OG0001662	AT2G35970.1, AT4G09590.1, AT2G35960.1	Np006G3397600
OG0001662	AT3G52470.1	Np001G0545900
OG0001663	AT3G52770.1	Np006G3393300, Np001G0550000
OG0001664	AT2G36500.1	Np006G3390600, Np006G3389500
OG0001665	AT2G36530.1	Np006G3389000
OG0001666	AT4G14760.1	Np005G3042900
OG0001666	AT3G22790.1	Np007G3836100
OG0001667	AT4G15800.1	Np005G3020500
OG0001667	AT3G16570.1	Np007G3913100
OG0001668	AT3G16690.3	Np007G3914400
OG0001668	AT4G15920.1	Np005G3016800
OG0001669	AT4G15955.3	Np005G3015900
OG0001669	AT4G15960.1	Np005G3015500
OG0001670	AT1G74010.1	Np002G0798600
OG0001670	AT1G74020.1	Np002G0798500
OG0001671	AT3G28500.1	Np001G0198000
OG0001671	AT5G40040.1	Np005G3165100
OG0001672	AT3G26618.1	Np001G0223600
OG0001672	AT1G12920.1	Np004G2445700
OG0001673	AT3G25990.1	Np001G0230900
OG0001673	AT1G13450.1	Np004G2436600
OG0001674	AT3G19540.1	Np007G3964900
OG0001674	AT1G49840.1	Np004G1973400
OG0001675	AT3G19940.1	Np007G3977900
OG0001676	AT3G21055.2	Np007G3808100
OG0001676	AT1G51400.1	Np004G1956800
OG0001677	AT3G16480.1	Np007G3910100
OG0001677	AT1G51980.1	Np004G1949500
OG0001679	AT1G52740.1	Np004G1941000
OG0001680	AT5G38080.1	Np005G3128600, Np005G3128300
OG0001681	AT4G17615.3	Np005G2940300
OG0001681	AT5G47100.1	Np001G0332000
OG0001682	AT5G47110.1	Np001G0331900
OG0001682	AT4G17600.1	Np005G2944800
OG0001683	AT2G16660.1	Np007G3770300
OG0001683	AT4G34950.1	Np005G2655900
OG0001684	AT2G16730.1	Np007G3769200
OG0001684	AT4G35010.1	Np005G2656900
OG0001685	AT4G22140.1	Np005G2858400
OG0001686	AT4G22120.1	Np005G2858600
OG0001686	AT4G04340.1	Np003G1832700
OG0001687	AT4G21810.1	Np005G2864300
OG0001687	AT4G04860.1	Np003G1837800
OG0001688	AT3G25260.1	Np007G3879700, Np007G3899200
OG0001688	AT3G25280.1	Np007G3880000
OG0001689	AT1G35580.1	Np004G2045700
OG0001689	AT4G09510.1	Np003G1769400, Np003G1768600
OG0001690	AT3G63030.1	Np001G0694600
OG0001690	AT4G22745.1	Np006G3205600
OG0001691	AT3G62860.1	Np001G0692500
OG0001691	AT2G47630.1	Np006G3210300
OG0001692	AT3G62700.1	Np001G0691100
OG0001692	AT2G47800.1	Np004G1996800
OG0001693	AT2G46970.1	Np006G3220600
OG0001693	AT3G62090.2	Np001G0683000
OG0001694	AT3G26390.1, AT5G39010.1, AT2G39782.1	Np005G3146000
OG0001695	AT3G60260.1	Np001G0657500
OG0001696	AT3G60250.1	Np001G0657400
OG0001696	AT2G44680.1	Np006G3253900
OG0001697	AT2G43240.1	Np006G3272600
OG0001697	AT3G59360.1	Np001G0646400
OG0001698	AT2G42830.2	Np006G3279300
OG0001698	AT3G58780.4	Np001G0637300
OG0001699	AT2G42300.1	Np006G3287800
OG0001699	AT3G57800.1	Np001G0626200
OG0001700	AT3G56980.1	Np001G0614800
OG0001700	AT3G56970.1	Np001G0614700
OG0001701	AT3G54560.1	Np001G0576500
OG0001702	AT5G53720.1	Np003G1613600
OG0001703	AT5G35680.3, AT2G04520.1	Np007G3886600
OG0001704	AT2G12480.3	Np007G3800700
OG0001705	AT4G04200.1	Np003G1832000
OG0001705	AT2G39960.1	Np006G3327600
OG0001706	AT4G39250.1	Np005G2613400
OG0001706	AT2G21650.1	Np006G3700800
OG0001707	AT4G08850.1	Np003G1759800
OG0001708	AT4G10040.1	Np003G1779000
OG0001708	AT1G22840.1	Np004G2313400
OG0001709	AT4G10430.1	Np003G1784000
OG0001709	AT1G33230.2	Np004G2061200
OG0001710	AT3G05920.1	Np007G4178900
OG0001710	AT5G26690.1	Np001G0141000
OG0001711	AT5G27330.1	Np001G0152100
OG0001711	AT3G05130.1	Np007G4193100
OG0001712	AT3G05030.1	Np007G4194100
OG0001712	AT5G27150.1	Np001G0153700
OG0001713	AT2G43510.1	Np006G3269100
OG0001714	AT3G01240.1	Np007G4244800
OG0001715	AT3G03240.1	Np007G4224400
OG0001715	AT3G03230.1	Np007G4224700
OG0001716	AT1G08630.1	Np004G2506500
OG0001716	AT3G04520.1	Np007G4205000
OG0001717	AT3G16640.1	Np007G3914100
OG0001717	AT3G05540.1	Np007G4186500
OG0001719	AT3G06300.1	Np007G4173100
OG0001719	AT5G18900.1	Np003G1467400
OG0001720	AT3G06400.3	Np007G4171900
OG0001720	AT5G18620.2	Np003G1464500
OG0001721	AT3G06460.1	Np007G4170000
OG0001721	AT3G06470.1	Np007G4169700
OG0001723	AT3G07010.1	Np007G4161700
OG0001723	AT5G48900.1	Np001G0170200
OG0001724	AT4G08520.1	Np003G1757800
OG0001724	AT3G09800.6	Np007G4128600
OG0001725	AT2G23930.1	Np006G3666000
OG0001725	AT3G11500.1	Np007G4103000
OG0001726	AT3G18000.1	Np007G3935500
OG0001726	AT1G48600.2	Np004G1992600
OG0001727	AT3G18295.1	Np007G3941400
OG0001727	AT1G48770.1	Np004G1990200
OG0001728	AT4G28000.2	Np005G2769800
OG0001728	AT5G52882.1	Np003G1649600
OG0001729	AT3G51430.1, AT3G51450.1, AT3G51420.1, AT3G51440.1	Np001G0532100
OG0001730	AT1G01440.1	Np004G2588800
OG0001730	AT4G01090.1	Np003G1885400
OG0001731	AT4G01060.1	Np003G1884400
OG0001731	AT1G01380.1	Np004G2588000
OG0001732	AT4G01960.1	Np003G1873100
OG0001732	AT1G02380.1	Np004G2580900
OG0001733	AT1G02690.2	Np004G2577400
OG0001733	AT4G02150.1	Np003G1870200
OG0001734	AT1G58080.1	Np002G1129900
OG0001734	AT1G09795.1	Np004G2492700
OG0001735	AT1G10950.1	Np004G2476500
OG0001736	AT1G61250.1	Np002G1177700
OG0001736	AT1G11180.2	Np004G2474100
OG0001737	AT1G30350.1	Np005G3018800
OG0001738	AT1G62510.1	Np002G1202300
OG0001738	AT1G12090.1	Np004G2458100
OG0001739	AT1G13100.1	Np004G2443200, Np004G2443100, Np004G2443400
OG0001739	AT1G13090.2, AT3G26830.1	Np004G2443500, Np004G2306000
OG0001740	AT1G70940.1	Np004G2309900
OG0001741	AT4G37930.1	Np005G2627000
OG0001741	AT5G26780.2	Np002G0837800
OG0001742	AT1G70550.1	Np002G0851700
OG0001742	AT1G23340.1	Np004G2304200, Np004G2304400
OG0001743	AT1G70310.1	Np002G0855000
OG0001744	AT1G61566.1, AT2G22055.1, AT1G61563.1	Np002G1181500
OG0001745	AT4G39770.1	Np005G2619900
OG0001745	AT2G22190.1	Np006G3692500
OG0001746	AT2G22430.1	Np006G3689400
OG0001746	AT4G40060.1	Np005G2623800
OG0001747	AT4G37580.1	Np005G2695200
OG0001747	AT2G23060.1	Np006G3679500
OG0001749	AT2G16580.1	Np007G3771500
OG0001749	AT4G34760.1	Np005G2654000
OG0001750	AT4G31630.1	Np005G2715900
OG0001750	AT4G31615.1	Np004G2042600
OG0001751	AT4G30990.3	Np005G2724900
OG0001752	AT1G23840.1	Np004G2297200
OG0001752	AT1G23850.1	Np004G2297300
OG0001752	AT1G23830.1	Np004G2297400
OG0001754	AT2G16130.1, AT2G16120.1	Np007G3776400, Np003G1624600
OG0001755	AT3G44920.1, AT3G44930.1	Np001G0446500
OG0001755	AT3G44910.1	Np001G0446200
OG0001756	AT4G15230.1, AT4G15215.11	Np005G3034200
OG0001756	AT4G15236.1, AT4G15233.1	Np005G3034100
OG0001763	AT3G03490.1	Np007G4220800
OG0001763	AT5G17550.1	Np003G1448900
OG0001764	AT3G02930.1	Np007G4228400
OG0001765	AT5G16440.1	Np003G1435000
OG0001765	AT3G02780.1	Np007G4230400
OG0001766	AT5G16360.1	Np003G1434100, Np002G0736100
OG0001767	AT1G11340.1	Np004G2470900
OG0001767	AT1G11410.4	Np004G2469800
OG0001768	AT1G70300.1	Np002G0855200
OG0001768	AT5G14880.1	Np003G1417700
OG0001769	AT3G01700.1	Np007G4250300
OG0001769	AT5G14380.1	Np003G1412800
OG0001770	AT1G80560.1	Np002G0710200
OG0001771	AT4G02465.1	Np003G1866100
OG0001771	AT1G31660.1	Np004G2163100
OG0001772	AT5G10540.1	Np003G1368700
OG0001772	AT5G65620.2	Np001G0028600
OG0001773	AT5G65390.1	Np001G0031100
OG0001773	AT5G10430.1	Np003G1367700
OG0001774	AT5G08020.1	Np003G1341900
OG0001774	AT5G61000.1	Np001G0097100
OG0001775	AT5G07620.1	Np003G1335800
OG0001775	AT5G61570.1	Np001G0089400
OG0001776	AT1G03210.2	Np004G2571700
OG0001776	AT4G02860.1	Np003G1859500
OG0001777	AT1G07510.1	Np004G2520000
OG0001777	AT2G29080.1	Np006G3602500
OG0001778	AT2G29390.1	Np006G3605800
OG0001778	AT1G07420.1	Np004G2521400
OG0001779	AT2G29570.1	Np006G3501800, Np008G4281800
OG0001779	AT1G07370.1	Np004G2522000
OG0001780	AT1G07030.1	Np004G2526100
OG0001780	AT2G30160.1	Np006G3524700
OG0001781	AT1G06170.1	Np004G2536000
OG0001781	AT2G31220.2	Np006G3548100, Np006G3481100
OG0001782	AT2G33210.1	Np006G3578500
OG0001782	AT3G23990.1	Np007G3862400
OG0001783	AT5G44110.1	Np001G0403300
OG0001783	AT1G03905.1	Np004G2564700
OG0001784	AT4G25240.1	Np005G2810600
OG0001785	AT5G51980.1	Np003G1670900
OG0001785	AT4G25440.1	Np005G2807400
OG0001786	AT4G25490.1, AT4G25470.1, AT4G25480.1	Np005G2806900, Np005G2807000, Np005G2807200, Np005G2807100
OG0001787	AT5G42980.1	Np001G0419700
OG0001787	AT1G45145.1	Np004G2019700, Np004G2019600
OG0001788	AT4G08560.1	Np004G2104900
OG0001789	AT1G30400.1	Np004G2137700
OG0001789	AT2G34660.1	Np006G3417700
OG0001790	AT5G63450.2	Np001G0059700
OG0001790	AT3G48520.1	Np001G0490200
OG0001791	AT5G62980.1	Np001G0066900
OG0001791	AT3G21730.1, AT3G11750.1	Np007G4099400
OG0001793	AT1G24267.2	Np004G2101800
OG0001793	AT1G24265.3	Np004G2101700
OG0001794	AT5G23960.1	Np001G0111100
OG0001795	AT5G26080.1	Np001G0136800
OG0001795	AT3G20850.1	Np007G3805600
OG0001796	AT3G44190.1	Np001G0438400
OG0001796	AT5G22140.1	Np003G1501700
OG0001797	AT3G44260.1	Np001G0438900
OG0001797	AT5G22250.1	Np003G1502700
OG0001798	AT5G60410.2	Np003G1518600
OG0001799	AT5G59870.1	Np003G1524700, Np003G1524200
OG0001800	AT3G46820.1	Np001G0466100
OG0001800	AT5G59160.1	Np003G1535000
OG0001801	AT5G56560.1	Np003G1574100
OG0001802	AT5G55920.1	Np003G1586700
OG0001802	AT4G26600.5	Np005G2790100
OG0001803	AT3G11770.1	Np007G4099200
OG0001803	AT5G06450.1	Np003G1320200
OG0001804	AT5G05670.1	Np003G1306800
OG0001804	AT2G18770.2	Np007G3741000
OG0001805	AT3G10540.1	Np007G4116900
OG0001805	AT5G04510.1	Np003G1291600
OG0001806	AT3G10300.6	Np007G4120200
OG0001806	AT5G04170.1	Np003G1286700
OG0001807	AT5G04130.1	Np003G1286200
OG0001807	AT3G10270.2	Np007G4120500
OG0001808	AT3G09770.1, AT5G03200.1	Np007G4129100
OG0001809	AT3G27300.4	Np001G0210100
OG0001809	AT5G40760.1	Np005G3182500
OG0001810	AT4G36280.1, AT4G36270.1	Np005G2679600
OG0001810	AT4G36290.1	Np005G2679700
OG0001811	AT1G17140.1	Np004G2390400
OG0001811	AT1G78430.1	Np002G0734200, Np002G0734300
OG0001812	AT1G76930.1	Np002G0756500
OG0001812	AT1G21310.1	Np004G2341800, Np005G3097900
OG0001813	AT1G76860.1	Np002G0757700
OG0001813	AT1G21190.1	Np004G2342300
OG0001814	AT1G76700.1	Np002G0759800
OG0001814	AT1G21080.3	Np004G2342900
OG0001815	AT1G76090.1	Np002G0769800
OG0001815	AT1G20330.1	Np004G2351900
OG0001816	AT1G72130.1	Np002G0829400, Np002G0829300
OG0001817	AT5G38100.1	Np005G3128700
OG0001817	AT5G38780.1	Np005G3141900
OG0001818	AT1G19360.1	Np004G2362300
OG0001818	AT1G75110.1, AT1G75120.1	Np002G0784500
OG0001819	AT2G17540.1	Np007G3757700
OG0001819	AT4G35510.1	Np005G2665600
OG0001820	AT4G36010.1	Np005G2676000
OG0001820	AT2G17860.1	Np007G3752800
OG0001821	AT2G36410.1	Np006G3391600
OG0001821	AT3G52920.1	Np001G0551800
OG0001822	AT3G26520.1	Np001G0224700
OG0001822	AT2G36830.1	Np006G3383700
OG0001823	AT4G15710.1	Np005G3023500, Np007G4174300, Np007G4174400
OG0001824	AT1G73030.1	Np002G0816100
OG0001824	AT1G17730.1	Np004G2382800
OG0001825	AT5G54610.1	Np003G1632500, Np003G1633000
OG0001825	AT5G54620.1	Np002G1169100
OG0001826	AT1G74380.1	Np002G0793300
OG0001826	AT1G18690.1	Np004G2370400
OG0001827	AT4G29160.1	Np005G2754500
OG0001827	AT2G19830.2	Np007G3727600
OG0001828	AT1G26770.2	Np004G2268700
OG0001828	AT1G69530.3	Np002G0868600
OG0001829	AT4G18380.1	Np004G2499600, Np007G4032600, Np005G2918000
OG0001829	AT5G46170.1	Np001G0359300
OG0001830	AT5G45430.1	Np001G0372600
OG0001830	AT4G19110.2	Np005G2903500
OG0001831	AT1G07390.3	Np004G2521800
OG0001832	AT1G51690.5	Np004G1953400
OG0001833	AT3G16140.1	Np007G3903900
OG0001833	AT1G52230.1	Np004G1946900
OG0001834	AT2G34360.1	Np006G3424800
OG0001834	AT5G52450.1	Np003G1658700
OG0001836	AT2G29580.1	Np006G3503700, Np008G4283100
OG0001836	AT1G07360.1	Np004G2522100
OG0001837	AT2G15500.1	Np007G3781900
OG0001837	AT4G34110.1	Np005G2643300
OG0001838	AT2G17130.1	Np007G3762800
OG0001838	AT4G35260.1	Np005G2661100
OG0001839	AT4G23800.1	Np005G2832100
OG0001839	AT4G11080.1	Np003G1799300
OG0001840	AT4G22890.1	Np005G2846600
OG0001840	AT4G11960.1	Np003G1816100
OG0001842	AT4G20810.1, AT4G20340.1	Np005G2884200
OG0001843	AT4G05420.1	Np003G1849100
OG0001843	AT4G21100.1	Np005G2874500
OG0001844	AT4G05000.1	Np003G1840500
OG0001844	AT4G21560.1	Np005G2868800
OG0001845	AT1G08130.1	Np004G2512500
OG0001845	AT1G49250.1	Np001G0409300
OG0001846	AT3G57090.1	Np001G0616300
OG0001847	AT3G62840.1, AT2G47640.1	Np006G3210200
OG0001848	AT3G62100.1	Np001G0683100
OG0001848	AT2G46990.1	Np006G3220400
OG0001849	AT3G60630.1	Np001G0664400
OG0001849	AT2G45160.1	Np006G3247300
OG0001850	AT3G60290.1	Np001G0657800
OG0001850	AT2G44800.1	Np006G3252600
OG0001851	AT3G60190.1	Np001G0656400
OG0001851	AT2G44590.3	Np006G3254900
OG0001852	AT3G60100.2	Np001G0654900
OG0001852	AT2G44350.2	Np006G3257800
OG0001853	AT3G59990.1	Np001G0652100
OG0001854	AT3G59730.1, AT3G59740.1, AT3G59750.1	Np001G0649900, Np001G0650100
OG0001854	AT3G59700.1	Np001G0649600
OG0001855	AT2G40950.1	Np006G3308000
OG0001855	AT3G56660.1	Np001G0609200
OG0001856	AT2G39795.1	Np006G3330900
OG0001856	AT3G55605.1	Np001G0594300, Np001G0594400
OG0001857	AT3G54760.1	Np001G0579600, Np001G0579300
OG0001858	AT3G53320.1	Np001G0561300
OG0001858	AT2G37070.1	Np006G3378700
OG0001859	AT4G36580.1	Np005G2682400
OG0001859	AT2G18330.1	Np007G3746500
OG0001860	AT4G36800.1	Np005G2685000
OG0001860	AT2G18600.1	Np007G3742700
OG0001861	AT1G65780.1	Np002G0972800
OG0001861	AT1G65810.1	Np002G0972100, Np002G0899100
OG0001862	AT4G12510.1, AT4G12520.1	Np003G1826200, Np003G1572400
OG0001864	AT2G22795.1	Np006G3683500
OG0001865	AT1G36990.1	Np004G2049500
OG0001865	AT4G08510.1	Np003G1756200
OG0001866	AT1G09780.1	Np004G2493000
OG0001866	AT3G08590.1	Np007G4144300
OG0001867	AT2G42530.1, AT2G42540.2	Np006G3283400, Np006G3283300
OG0001869	AT1G20960.1	Np004G2344800
OG0001869	AT2G42270.1	Np006G3288100, Np003G1734100, Np004G2271000
OG0001871	AT3G02580.1	Np007G4232300
OG0001871	AT3G02590.1	Np007G4232200
OG0001872	AT3G06110.2	Np007G4175200
OG0001872	AT3G23610.3	Np007G3849900
OG0001873	AT1G14010.1	Np004G2428300
OG0001873	AT2G03290.1	Np001G0247800
OG0001874	AT2G25670.1	Np006G3636200
OG0001874	AT4G32610.1	Np005G2700200
OG0001875	AT5G39610.1	Np005G3157400
OG0001875	AT3G29035.1	Np001G0191700
OG0001876	AT5G39530.1	Np005G3186800, Np005G3156300
OG0001876	AT5G39520.1	Np005G3186900, Np005G3155900
OG0001877	AT5G38300.1	Np005G3133700
OG0001877	AT1G67035.2	Np002G0934700
OG0001878	AT4G00400.1	Np003G1893900
OG0001878	AT1G01610.1	Np004G2591700
OG0001879	AT1G10680.1	Np004G2479800
OG0001879	AT4G25960.1	Np005G2799300
OG0001880	AT1G10730.1	Np004G2479200
OG0001880	AT1G60780.1	Np002G1166100
OG0001881	AT1G12010.1	Np004G2459400
OG0001881	AT1G62380.1	Np002G1199200
OG0001882	AT1G12040.1	Np004G2458700
OG0001882	AT1G62440.1	Np002G1200000
OG0001883	AT1G63090.1	Np002G1214800
