Orthogroup	Alyssum_gmelinii	Rorippa_islandica
OG0000459	Ag001G0065700	Roisl.0006s0240.1.p
OG0000460	Ag014G1968100	Roisl.0074s0637.1.p
OG0000460	Ag004G0713200	Roisl.0080s0662.1.p
OG0000461	Ag007G0907400	Roisl.0056s0012.1.p, Roisl.0005s0081.1.p
OG0000462	Ag033G3596300, Ag033G3512200	Roisl.0091s0230.1.p
OG0000463	Ag015G2260800, Ag011G1171400	Roisl.0048s0033.1.p
OG0000463	Ag033G3560200	Roisl.0209s0346.1.p
OG0000464	Ag034G3666600, Ag034G3665500, Ag034G3665300, Ag034G3666000, Ag034G3665100, Ag034G3666500, Ag034G3665900, Ag034G3666100	Roisl.0210s0144.1.p, Roisl.0210s0149.1.p, Roisl.0012s0032.1.p, Roisl.0210s0145.1.p
OG0000464	Ag034G3665600, Ag034G3665200	Roisl.0091s0864.1.p
OG0000466	Ag014G1841000, Ag014G1841100	Roisl.0039s0101.1.p
OG0000467	Ag004G0543400	Roisl.0007s0306.1.p
OG0000467	Ag004G0555500	Roisl.0080s0232.1.p
OG0000468	Ag003G0378900, Ag003G0382900, Ag003G0373400, Ag003G0373300, Ag003G0372700	Roisl.0017s0388.1.p
OG0000468	Ag003G0365000	Roisl.0028s0280.1.p, Roisl.0028s1053.1.p
OG0000468	Ag039G4255500, Ag078G5395100	Roisl.0017s0305.1.p
OG0000469	Ag050G4765200, Ag006G0816800	Roisl.0005s0262.1.p, Roisl.0091s0439.1.p, Roisl.0026s0016.1.p
OG0000470	Ag050G4757200, Ag050G4757400	Roisl.0091s0370.1.p, Roisl.0091s0369.1.p
OG0000473	Ag034G3650200	Roisl.0210s0003.1.p, Roisl.0021s0238.1.p
OG0000473	Ag034G3650100	Roisl.0210s0001.1.p
OG0000474	Ag034G3696600	Roisl.0210s0365.1.p
OG0000475	Ag002G0198500	Roisl.0209s0658.1.p
OG0000476	Ag021G2625200, Ag044G4502000, Ag055G4923100, Ag078G5326400	Roisl.0046s0363.1.p, Roisl.0046s0342.1.p
OG0000477	Ag004G0482300	Roisl.0024s0121.1.p
OG0000477	Ag062G5052300	Roisl.0011s0165.1.p
OG0000477	Ag034G3862700	Roisl.0007s0708.1.p
OG0000478	Ag024G2881400	Roisl.0050s0060.1.p
OG0000478	Ag016G2335300, Ag031G3219800	Roisl.0210s1894.1.p
OG0000478	Ag024G2891700	Roisl.0214s0676.1.p, Roisl.0016s0337.1.p
OG0000478	Ag004G0460800, Ag004G0461100	Roisl.0050s0044.1.p
OG0000480	Ag002G0218200	Roisl.0011s0125.1.p, Roisl.0209s0759.1.p
OG0000480	Ag039G4281800	Roisl.0011s0123.1.p, Roisl.0011s0122.1.p
OG0000481	Ag002G0253100	Roisl.0214s0733.1.p
OG0000481	Ag034G3780500	Roisl.0021s0049.1.p
OG0000481	Ag034G3780300	Roisl.0191s0249.1.p
OG0000482	Ag024G2895000, Ag024G2895100, Ag024G2894300, Ag024G2894500, Ag024G2894600, Ag024G2894400, Ag024G2895300	Roisl.0019s0273.1.p
OG0000485	Ag033G3494800	Roisl.0008s0137.1.p
OG0000491	Ag055G4921200	Roisl.0046s0751.1.p, Roisl.0046s0750.1.p, Roisl.0046s0749.1.p
OG0000491	Ag055G4921300	Roisl.0046s0753.1.p
OG0000491	Ag013G1374000	Roisl.0046s0748.1.p
OG0000492	Ag031G3364200	Roisl.0046s1455.1.p
OG0000492	Ag013G1669300	Roisl.0028s0671.1.p
OG0000492	Ag039G4261600, Ag039G4261500	Roisl.0017s0263.1.p
OG0000493	Ag004G0607800	Roisl.0024s0426.1.p
OG0000494	Ag004G0643400	Roisl.0046s1201.1.p
OG0000496	Ag049G4737900, Ag098G5474600	Roisl.0046s0682.1.p
OG0000497	Ag018G2435800	Roisl.0019s0222.1.p
OG0000497	Ag014G1976800	Roisl.0074s0585.1.p
OG0000497	Ag032G3445600	Roisl.0006s0506.1.p
OG0000498	Ag014G1932900	Roisl.0074s0872.1.p
OG0000498	Ag050G4779500	Roisl.0066s0182.1.p
OG0000499	Ag001G0040500	Roisl.0115s0360.1.p
OG0000500	Ag061G5032600	Roisl.0046s0003.1.p
OG0000500	Ag067G5179400	Roisl.0024s0094.1.p
OG0000501	Ag052G4853700	Roisl.0209s0135.1.p, Roisl.0209s0134.1.p
OG0000502	Ag061G5025200	Roisl.0022s0079.1.p
OG0000502	Ag061G5025100	Roisl.0022s0080.1.p, Roisl.0022s0081.1.p
OG0000506	Ag022G2669300, Ag004G0666300	Roisl.0066s0207.1.p, Roisl.0017s0191.1.p, Roisl.0210s0444.1.p, Roisl.0080s0453.1.p
OG0000508	Ag032G3456100, Ag032G3444900	Roisl.0006s0512.1.p, Roisl.0006s0510.1.p, Roisl.0006s0511.1.p
OG0000508	Ag032G3457300	Roisl.0006s0457.1.p
OG0000509	Ag007G0888100	Roisl.0082s0087.1.p
OG0000509	Ag031G3140100	Roisl.0002s0005.1.p, Roisl.0082s0088.1.p
OG0000510	Ag071G5245500, Ag001G0018900, Ag001G0018800, Ag003G0405700	Roisl.0009s0229.1.p
OG0000510	Ag071G5245600	Roisl.0009s0230.1.p
OG0000511	Ag020G2559800	Roisl.0052s0064.1.p
OG0000511	Ag020G2559700, Ag001G0006600, Ag083G5408300	Roisl.0052s0057.1.p
OG0000512	Ag011G1216300, Ag033G3527800	Roisl.0008s0334.1.p
OG0000513	Ag034G3786000	Roisl.0021s0084.1.p
OG0000513	Ag034G3778600	Roisl.0002s0067.1.p
OG0000516	Ag078G5397400, Ag072G5256400, Ag078G5397700, Ag072G5256000, Ag072G5255700, Ag078G5397500, Ag072G5256300	Roisl.0004s0412.1.p, Roisl.0050s0069.1.p
OG0000517	Ag013G1370200	Roisl.0082s0161.1.p
OG0000518	Ag013G1557300, Ag001G0089400, Ag011G1049400, Ag011G1048900	Roisl.0031s0111.1.p
OG0000518	Ag013G1485600	Roisl.0210s0966.1.p
OG0000519	Ag031G3167800	Roisl.0214s0641.1.p
OG0000520	Ag034G3828100	Roisl.0021s0354.1.p
OG0000523	Ag032G3475400	Roisl.0214s0048.1.p
OG0000523	Ag011G1243200	Roisl.0003s0184.1.p
OG0000524	Ag011G1073700	Roisl.0213s0545.1.p, Roisl.0213s0546.1.p, Roisl.0213s0544.1.p
OG0000525	Ag003G0366600	Roisl.0028s0285.1.p
OG0000526	Ag060G5003500, Ag060G5004100	Roisl.0210s1587.1.p, Roisl.0210s1584.1.p
OG0000526	Ag060G5004000, Ag060G5003400	Roisl.0210s1585.1.p
OG0000529	Ag013G1631900	Roisl.0033s0038.1.p
OG0000530	Ag073G5261500, Ag002G0113900, Ag002G0113800, Ag002G0114100, Ag002G0114000, Ag002G0114200, Ag063G5076800, Ag063G5076600, Ag063G5077600, Ag001G0015300, Ag004G0459800, Ag004G0460100	Roisl.0031s0035.1.p, Roisl.0031s0036.1.p
OG0000531	Ag004G0538900, Ag004G0539000, Ag004G0538800, Ag004G0539500	Roisl.0046s0196.1.p, Roisl.0046s0191.1.p
OG0000532	Ag078G5393500	Roisl.0004s0116.1.p
OG0000533	Ag033G3508900, Ag050G4764300	Roisl.0072s0002.1.p, Roisl.0025s0098.1.p, Roisl.0025s0096.1.p
OG0000534	Ag001G0007000, Ag049G4731300	Roisl.0111s0016.1.p, Roisl.0049s0033.1.p, Roisl.0040s0094.1.p, Roisl.0214s0167.1.p
OG0000535	Ag034G4031500, Ag034G4031300	Roisl.0191s0126.1.p, Roisl.0191s0125.1.p
OG0000535	Ag031G3282800, Ag031G3282700, Ag031G3283100	Roisl.0026s0078.1.p, Roisl.0026s0080.1.p
OG0000536	Ag011G1124400, Ag021G2607900, Ag034G3939400	Roisl.0210s2227.1.p
OG0000536	Ag088G5433900	Roisl.0082s0169.1.p
OG0000537	Ag014G1877700	Roisl.0079s0183.1.p
OG0000537	Ag014G1878000, Ag014G1877900, Ag014G1877800	Roisl.0079s0184.1.p
OG0000538	Ag011G1081700	Roisl.0184s0240.1.p
OG0000540	Ag016G2294900, Ag013G1643200	Roisl.0033s0164.1.p, Roisl.0033s0128.1.p
OG0000542	Ag034G3788000	Roisl.0021s0107.1.p
OG0000542	Ag002G0247500	Roisl.0214s0658.1.p
OG0000542	Ag057G4950800, Ag034G4073500	Roisl.0191s0287.1.p, Roisl.0019s0537.1.p
OG0000543	Ag016G2390200, Ag006G0841500	Roisl.0012s0382.1.p
OG0000544	Ag033G3634000, Ag033G3634400	Roisl.0091s0317.1.p
OG0000544	Ag033G3633800, Ag033G3634300, Ag033G3633000, Ag033G3634500, Ag033G3633900, Ag033G3634800, Ag033G3634700, Ag033G3634900, Ag033G3548000, Ag002G0211800, Ag033G3547900, Ag033G3577500	Roisl.0091s0318.1.p
OG0000545	Ag051G4836500	Roisl.0075s0138.1.p
OG0000547	Ag003G0359700, Ag003G0359600, Ag003G0359900	Roisl.0028s0243.1.p, Roisl.0028s0242.1.p
OG0000548	Ag016G2348100, Ag016G2348400	Roisl.0058s0081.1.p, Roisl.0006s0570.1.p
OG0000553	Ag014G2138400, Ag029G3101100	Roisl.0053s0180.1.p
OG0000553	Ag014G1865700	Roisl.0079s0098.1.p
OG0000554	Ag066G5128500, Ag066G5128200, Ag030G3137000	Roisl.0019s0014.1.p, Roisl.0209s0248.1.p, Roisl.0209s0247.1.p, Roisl.0209s0249.1.p
OG0000555	Ag027G3073600	Roisl.0002s0229.1.p, Roisl.0034s0057.1.p
OG0000556	Ag002G0189000, Ag002G0188700, Ag002G0188300, Ag002G0188500, Ag002G0189200	Roisl.0209s0587.1.p
OG0000557	Ag011G1097200	Roisl.0046s0528.1.p, Roisl.0046s0527.1.p
OG0000561	Ag061G5025000	Roisl.0022s0082.1.p
OG0000561	Ag013G1413000	Roisl.0210s1249.1.p
OG0000562	Ag013G1595300	Roisl.0204s0059.1.p
OG0000562	Ag034G3755300	Roisl.0091s1117.1.p, Roisl.0210s1908.1.p
OG0000563	Ag031G3188800	Roisl.0033s0139.1.p, Roisl.0018s0354.1.p
OG0000564	Ag003G0317300	Roisl.0041s0005.1.p, Roisl.0018s0222.1.p
OG0000564	Ag003G0317200	Roisl.0035s0179.1.p
OG0000565	Ag034G3816000	Roisl.0021s0239.1.p
OG0000565	Ag034G3808900	Roisl.0021s0237.1.p
OG0000568	Ag003G0347100	Roisl.0028s0167.1.p
OG0000568	Ag003G0346700, Ag003G0346600, Ag013G1354700, Ag003G0345900	Roisl.0028s0165.1.p
OG0000569	Ag004G0423500	Roisl.0024s0542.1.p
OG0000569	Ag011G1258500	Roisl.0003s0146.1.p
OG0000570	Ag004G0655400, Ag004G0639600	Roisl.0080s0358.1.p, Roisl.0080s0384.1.p, Roisl.0080s0393.1.p, Roisl.0080s0317.1.p
OG0000571	Ag022G2645300	Roisl.0008s0268.1.p, Roisl.0058s0074.1.p
OG0000572	Ag026G2981800	Roisl.0075s0032.1.p
OG0000573	Ag016G2387100, Ag016G2385900, Ag016G2387200	Roisl.0082s0271.1.p
OG0000573	Ag016G2387500	Roisl.0082s0272.1.p, Roisl.0082s0269.1.p
OG0000579	Ag014G1776500	Roisl.0016s0129.1.p
OG0000579	Ag004G0502800	Roisl.0210s0534.1.p, Roisl.0080s0143.1.p
OG0000580	Ag013G1646100	Roisl.0091s0880.1.p
OG0000581	Ag004G0571100	Roisl.0210s1781.1.p
OG0000581	Ag004G0567300	Roisl.0210s1761.1.p
OG0000582	Ag004G0595000, Ag004G0594900	Roisl.0051s0051.1.p, Roisl.0210s1906.1.p
OG0000583	Ag032G3467600	Roisl.0006s0423.1.p
OG0000583	Ag034G3911600	Roisl.0007s0430.1.p
OG0000583	Ag048G4606100	Roisl.0004s0039.1.p
OG0000583	Ag014G1999500	Roisl.0074s0487.1.p
OG0000584	Ag039G4328100, Ag002G0203500	Roisl.0209s0687.1.p
OG0000585	Ag031G3318800, Ag031G3320000, Ag031G3319000, Ag031G3318600, Ag031G3318700, Ag031G3318900	Roisl.0046s1658.1.p, Roisl.0046s1656.1.p, Roisl.0046s1657.1.p
OG0000586	Ag026G2980600, Ag068G5232600, Ag024G2873900	Roisl.0065s0020.1.p
OG0000587	Ag034G3988100, Ag034G3988000, Ag034G3988300, Ag034G3988200	Roisl.0007s0054.1.p
OG0000588	Ag013G1620200	Roisl.0082s0742.1.p
OG0000588	Ag013G1619800	Roisl.0082s0735.1.p, Roisl.0082s0736.1.p, Roisl.0082s0739.1.p
OG0000591	Ag002G0177300	Roisl.0080s0788.1.p
OG0000592	Ag048G4606000	Roisl.0004s0038.1.p
OG0000592	Ag034G3913500, Ag034G3911500	Roisl.0007s0432.1.p
OG0000592	Ag034G3911400	Roisl.0007s0431.1.p
OG0000592	Ag010G1012200	Roisl.0022s0416.1.p
OG0000593	Ag048G4622000	Roisl.0004s0101.1.p
OG0000593	Ag015G2253000, Ag014G2093500	Roisl.0074s0059.1.p
OG0000594	Ag006G0832000	Roisl.0044s0091.1.p
OG0000595	Ag078G5369600	Roisl.0004s0494.1.p
OG0000596	Ag019G2523500, Ag019G2523700	Roisl.0021s0621.1.p
OG0000596	Ag012G1334800	Roisl.0011s0347.1.p
OG0000597	Ag034G4050600, Ag034G4050500	Roisl.0075s0161.1.p, Roisl.0075s0162.1.p
OG0000597	Ag031G3364500	Roisl.0075s0160.1.p
OG0000598	Ag042G4409900, Ag066G5131100	Roisl.0001s0122.1.p
OG0000599	Ag011G1043800	Roisl.0082s0122.1.p, Roisl.0115s0676.1.p
OG0000600	Ag034G3673800	Roisl.0210s0211.1.p
OG0000600	Ag038G4167100, Ag014G1838100	Roisl.0046s0377.1.p
OG0000601	Ag003G0403800, Ag034G3781500	Roisl.0214s0635.1.p, Roisl.0214s0700.1.p, Roisl.0028s0434.1.p, Roisl.0026s0144.1.p, Roisl.0021s0055.1.p
OG0000602	Ag014G1859100	Roisl.0079s0051.1.p, Roisl.0079s0058.1.p
OG0000602	Ag011G1181100, Ag011G1181400	Roisl.0003s0288.1.p
OG0000603	Ag034G3727400, Ag034G3722300	Roisl.0022s0075.1.p
OG0000605	Ag002G0259000	Roisl.0191s0532.1.p
OG0000605	Ag019G2498200	Roisl.0191s0617.1.p, Roisl.0191s0616.1.p
OG0000613	Ag031G3397500	Roisl.0046s1299.1.p
OG0000613	Ag014G1903400, Ag039G4230200, Ag047G4547400, Ag046G4535100	Roisl.0079s0344.1.p
OG0000613	Ag004G0577600, Ag022G2756200	Roisl.0030s0055.1.p
OG0000614	Ag013G1623600, Ag014G1815700	Roisl.0019s0388.1.p, Roisl.0019s0387.1.p, Roisl.0019s0386.1.p, Roisl.0019s0433.1.p, Roisl.0019s0392.1.p, Roisl.0019s0389.1.p, Roisl.0019s0429.1.p, Roisl.0019s0430.1.p, Roisl.0019s0432.1.p, Roisl.0019s0431.1.p
OG0000615	Ag034G4041600, Ag013G1707600	Roisl.0214s0171.1.p
OG0000616	Ag011G1261500	Roisl.0003s0126.1.p
OG0000616	Ag034G3934500	Roisl.0007s0340.1.p
OG0000617	Ag022G2705100	Roisl.0042s0080.1.p
OG0000617	Ag022G2705000, Ag022G2704700	Roisl.0042s0078.1.p, Roisl.0042s0079.1.p
OG0000618	Ag022G2792600	Roisl.0034s0030.1.p
OG0000618	Ag014G1939900	Roisl.0074s0830.1.p
OG0000619	Ag032G3420600	Roisl.0007s0793.1.p, Roisl.0007s0790.1.p
OG0000619	Ag027G3016400, Ag002G0237200	Roisl.0007s0789.1.p
OG0000620	Ag033G3575800, Ag016G2346400	Roisl.0012s0322.1.p
OG0000620	Ag037G4138700, Ag016G2316200	Roisl.0012s0320.1.p
OG0000621	Ag031G3290800	Roisl.0026s0122.1.p
OG0000621	Ag031G3291200	Roisl.0026s0123.1.p
OG0000621	Ag031G3290600	Roisl.0026s0125.1.p, Roisl.0026s0120.1.p
OG0000622	Ag039G4319200, Ag039G4319500	Roisl.0017s0057.1.p
OG0000623	Ag086G5420700, Ag042G4378600	Roisl.0066s0116.1.p
OG0000623	Ag011G1106400	Roisl.0001s0238.1.p
OG0000624	Ag003G0354600	Roisl.0028s0219.1.p, Roisl.0028s0221.1.p
OG0000624	Ag003G0354100	Roisl.0028s0220.1.p
OG0000625	Ag014G1964600, Ag014G1964400	Roisl.0074s0657.1.p, Roisl.0179s0118.1.p
OG0000626	Ag034G3836100	Roisl.0021s0404.1.p, Roisl.0057s0042.1.p
OG0000626	Ag034G3835900, Ag034G3836000, Ag034G3835800	Roisl.0021s0403.1.p
OG0000627	Ag002G0234300	Roisl.0214s0591.1.p, Roisl.0214s0592.1.p
OG0000627	Ag002G0234400	Roisl.0214s0593.1.p
OG0000628	Ag011G1214300, Ag011G1215500, Ag011G1215300, Ag011G1214600	Roisl.0008s0329.1.p
OG0000633	Ag013G1462300	Roisl.0066s0450.1.p
OG0000633	Ag039G4258900	Roisl.0191s0273.1.p, Roisl.0191s0272.1.p
OG0000635	Ag004G0610700	Roisl.0080s0192.1.p
OG0000635	Ag034G3751600, Ag034G3751700	Roisl.0091s1091.1.p
OG0000636	Ag004G0632000	Roisl.0080s0288.1.p
OG0000637	Ag089G5448700	Roisl.0209s0306.1.p
OG0000637	Ag004G0632300	Roisl.0080s0289.1.p
OG0000637	Ag039G4311000	Roisl.0046s1339.1.p
OG0000638	Ag004G0632500	Roisl.0080s0291.1.p
OG0000639	Ag031G3204100	Roisl.0018s0283.1.p
OG0000639	Ag004G0700000, Ag024G2867800, Ag024G2867600, Ag024G2867200, Ag019G2522600, Ag019G2522500	Roisl.0191s0536.1.p
OG0000639	Ag003G0308500	Roisl.0035s0123.1.p
OG0000640	Ag004G0701400	Roisl.0044s0081.1.p
OG0000641	Ag004G0712000	Roisl.0080s0656.1.p
OG0000641	Ag065G5118500	Roisl.0044s0088.1.p
OG0000641	Ag042G4429500	Roisl.0214s0379.1.p
OG0000642	Ag003G0306100, Ag022G2698300, Ag003G0306000	Roisl.0035s0099.1.p, Roisl.0035s0103.1.p, Roisl.0035s0104.1.p, Roisl.0213s0783.1.p, Roisl.0035s0100.1.p
OG0000642	Ag003G0306400	Roisl.0035s0098.1.p, Roisl.0035s0105.1.p
OG0000643	Ag014G1900600, Ag022G2765000	Roisl.0030s0014.1.p, Roisl.0079s0323.1.p
OG0000646	Ag031G3391800	Roisl.0046s1319.1.p
OG0000646	Ag039G4319600, Ag039G4319700	Roisl.0017s0056.1.p, Roisl.0017s0055.1.p
OG0000647	Ag066G5139400	Roisl.0091s0870.1.p
OG0000648	Ag014G1890500	Roisl.0079s0272.1.p
OG0000649	Ag034G3938500	Roisl.0007s0328.1.p
OG0000649	Ag014G2072200	Roisl.0013s0086.1.p, Roisl.0074s0125.1.p
OG0000650	Ag014G2104500	Roisl.0074s0031.1.p
OG0000652	Ag014G1795800	Roisl.0016s0243.1.p
OG0000652	Ag013G1373700	Roisl.0210s1401.1.p
OG0000653	Ag003G0283900, Ag013G1579800, Ag031G3176400	Roisl.0022s0139.1.p, Roisl.0018s0422.1.p, Roisl.0067s0056.1.p
OG0000656	Ag062G5059700	Roisl.0011s0210.1.p
OG0000656	Ag034G3852400	Roisl.0007s0752.1.p, Roisl.0007s0753.1.p
OG0000659	Ag004G0697400	Roisl.0036s0067.1.p, Roisl.0005s0255.1.p, Roisl.0003s0207.1.p, Roisl.0006s0155.1.p, Roisl.0214s0268.1.p, Roisl.0027s0053.1.p, Roisl.0046s0193.1.p, Roisl.0017s0480.1.p, Roisl.0019s0597.1.p, Roisl.0074s0151.1.p, Roisl.0022s0027.1.p, Roisl.0080s0337.1.p, Roisl.0066s0395.1.p, Roisl.0064s0019.1.p, Roisl.0213s0191.1.p, Roisl.0011s0356.1.p, Roisl.0065s0013.1.p, Roisl.0213s0701.1.p, Roisl.0013s0149.1.p, Roisl.0006s0600.1.p, Roisl.0011s0318.1.p, Roisl.0191s0332.1.p, Roisl.0019s0814.1.p, Roisl.0080s0525.1.p, Roisl.0204s0117.1.p, Roisl.0008s0367.1.p, Roisl.0213s0028.1.p, Roisl.0044s0059.1.p, Roisl.0007s0261.1.p, Roisl.0033s0140.1.p, Roisl.0209s0211.1.p, Roisl.0189s0111.1.p, Roisl.0179s0041.1.p, Roisl.0191s0622.1.p, Roisl.0012s0134.1.p, Roisl.0047s0011.1.p, Roisl.0015s0129.1.p, Roisl.0206s0035.1.p, Roisl.0185s0007.1.p, Roisl.0074s0866.1.p, Roisl.0058s0012.1.p, Roisl.0210s1835.1.p, Roisl.0046s0997.1.p, Roisl.0038s0022.1.p, Roisl.0019s0305.1.p, Roisl.0191s0335.1.p, Roisl.0033s0017.1.p, Roisl.0006s0168.1.p, Roisl.0078s0006.1.p, Roisl.0025s0038.1.p, Roisl.0082s0259.1.p, Roisl.0209s0502.1.p, Roisl.0021s0475.1.p, Roisl.0198s0044.1.p, Roisl.0213s0609.1.p, Roisl.0007s0070.1.p, Roisl.0213s0436.1.p, Roisl.0011s0396.1.p
OG0000660	Ag004G0727700	Roisl.0080s0723.1.p
OG0000661	Ag003G0284500	Roisl.0067s0061.1.p
OG0000661	Ag034G3673300	Roisl.0210s0207.1.p
OG0000661	Ag022G2630600	Roisl.0082s0449.1.p
OG0000663	Ag034G3946800	Roisl.0007s0281.1.p
OG0000663	Ag078G5368100	Roisl.0004s0499.1.p, Roisl.0004s0497.1.p
OG0000664	Ag063G5068300	Roisl.0010s0182.1.p
OG0000665	Ag014G2026300	Roisl.0007s0608.1.p
OG0000666	Ag077G5318900, Ag033G3489600, Ag077G5318400, Ag033G3489200, Ag050G4791300, Ag033G3488800, Ag077G5317900	Roisl.0008s0164.1.p
OG0000666	Ag033G3488200, Ag077G5317400	Roisl.0008s0165.1.p, Roisl.0008s0166.1.p
OG0000666	Ag077G5317200, Ag033G3488100	Roisl.0008s0167.1.p
OG0000668	Ag031G3292200	Roisl.0026s0131.1.p, Roisl.0115s0346.1.p
OG0000669	Ag002G0094800, Ag052G4865000, Ag031G3406800, Ag015G2269300, Ag034G3901200, Ag034G4028600	Roisl.0193s0016.1.p, Roisl.0053s0028.1.p, Roisl.0191s0112.1.p
OG0000671	Ag034G3785500, Ag030G3132200, Ag030G3131600, Ag030G3132500	Roisl.0209s0219.1.p, Roisl.0209s0220.1.p
OG0000672	Ag021G2621600	Roisl.0024s0271.1.p, Roisl.0019s0154.1.p, Roisl.0016s0234.1.p, Roisl.0037s0040.1.p, Roisl.0213s0597.1.p, Roisl.0213s0560.1.p, Roisl.0213s0598.1.p
OG0000673	Ag034G3710900, Ag034G3710300	Roisl.0091s0775.1.p
OG0000673	Ag034G3710700, Ag034G3710800, Ag034G3710600	Roisl.0091s0776.1.p
OG0000679	Ag034G3895500	Roisl.0017s0441.1.p, Roisl.0007s0539.1.p, Roisl.0074s0713.1.p, Roisl.0115s0129.1.p
OG0000680	Ag023G2816800	Roisl.0028s0828.1.p, Roisl.0001s0135.1.p, Roisl.0115s0261.1.p
OG0000680	Ag013G1729700	Roisl.0213s0180.1.p
OG0000681	Ag048G4554100	Roisl.0115s0036.1.p
OG0000681	Ag014G2023400	Roisl.0074s0349.1.p
OG0000681	Ag001G0078500	Roisl.0006s0274.1.p
OG0000682	Ag054G4882800, Ag054G4882100, Ag054G4883100, Ag023G2847500	Roisl.0028s0384.1.p, Roisl.0028s0425.1.p
OG0000682	Ag002G0182900, Ag003G0392700	Roisl.0028s0424.1.p, Roisl.0213s0726.1.p
OG0000683	Ag009G0973300, Ag041G4363300	Roisl.0188s0055.1.p
OG0000683	Ag014G1774500	Roisl.0016s0114.1.p
OG0000683	Ag061G5024200	Roisl.0070s0014.1.p
OG0000684	Ag003G0376100	Roisl.0028s0336.1.p
OG0000684	Ag031G3260000	Roisl.0026s0012.1.p, Roisl.0026s0011.1.p, Roisl.0026s0010.1.p
OG0000685	Ag014G1784500	Roisl.0016s0178.1.p
OG0000685	Ag061G5028800	Roisl.0213s0816.1.p
OG0000685	Ag020G2563800	Roisl.0184s0105.1.p
OG0000686	Ag039G4239800	Roisl.0191s0299.1.p
OG0000687	Ag016G2363500, Ag016G2363400	Roisl.0179s0090.1.p, Roisl.0179s0094.1.p, Roisl.0179s0093.1.p, Roisl.0179s0098.1.p
OG0000689	Ag074G5268300, Ag035G4079700, Ag066G5160700	Roisl.0045s0035.1.p
OG0000690	Ag013G1361600, Ag011G1195300	Roisl.0008s0269.1.p, Roisl.0027s0095.1.p, Roisl.0210s1668.1.p
OG0000691	Ag013G1404100	Roisl.0210s1281.1.p
OG0000691	Ag013G1404000	Roisl.0210s1283.1.p
OG0000691	Ag014G1781800	Roisl.0016s0165.1.p
OG0000693	Ag013G1649500, Ag013G1650000	Roisl.0015s0182.1.p
OG0000694	Ag013G1661100	Roisl.0028s0638.1.p
OG0000695	Ag031G3139900, Ag062G5063000	Roisl.0002s0009.1.p
OG0000695	Ag003G0326100	Roisl.0028s0067.1.p
OG0000696	Ag004G0528400	Roisl.0046s0112.1.p
OG0000696	Ag024G2897600	Roisl.0050s0013.1.p
OG0000696	Ag010G1014900	Roisl.0022s0442.1.p
OG0000697	Ag004G0627200, Ag004G0625800, Ag004G0626600, Ag004G0626100, Ag004G0626700, Ag004G0627300, Ag004G0627400, Ag004G0595400, Ag004G0628000, Ag004G0628100	Roisl.0080s0261.1.p, Roisl.0080s0262.1.p
OG0000698	Ag004G0711000, Ag065G5119200, Ag042G4428900	Roisl.0080s0650.1.p, Roisl.0044s0093.1.p
OG0000699	Ag039G4275000, Ag019G2500400	Roisl.0046s0635.1.p, Roisl.0046s0632.1.p, Roisl.0046s0634.1.p
OG0000700	Ag001G0053100	Roisl.0006s0172.1.p
OG0000701	Ag039G4217900	Roisl.0025s0026.1.p, Roisl.0009s0219.1.p
OG0000702	Ag003G0402300	Roisl.0028s0440.1.p
OG0000702	Ag031G3295200	Roisl.0026s0146.1.p
OG0000702	Ag031G3295300	Roisl.0026s0149.1.p, Roisl.0026s0148.1.p
OG0000703	Ag039G4225100	Roisl.0017s0372.1.p
OG0000703	Ag031G3336000	Roisl.0046s1567.1.p
OG0000704	Ag031G3384100, Ag002G0194300, Ag025G2909700, Ag038G4168800	Roisl.0046s1365.1.p, Roisl.0011s0545.1.p, Roisl.0046s0387.1.p
OG0000705	Ag039G4220000	Roisl.0017s0389.1.p, Roisl.0017s0387.1.p
OG0000705	Ag014G1891200	Roisl.0079s0276.1.p, Roisl.0074s0882.1.p
OG0000706	Ag003G0299000	Roisl.0035s0053.1.p
OG0000706	Ag019G2508600	Roisl.0191s0640.1.p
OG0000706	Ag034G3664400	Roisl.0210s0135.1.p
OG0000707	Ag003G0348400, Ag003G0348500	Roisl.0028s0178.1.p
OG0000708	Ag014G2031200	Roisl.0074s0300.1.p
OG0000708	Ag014G2031100	Roisl.0074s0301.1.p
OG0000708	Ag014G2031400, Ag014G2031600	Roisl.0074s0297.1.p
OG0000709	Ag036G4099300	Roisl.0189s0016.1.p
OG0000710	Ag065G5125600	Roisl.0044s0128.1.p
OG0000711	Ag019G2528900	Roisl.0032s0088.1.p, Roisl.0213s0023.1.p, Roisl.0012s0321.1.p, Roisl.0111s0035.1.p, Roisl.0046s0529.1.p, Roisl.0021s0024.1.p
OG0000714	Ag013G1603500	Roisl.0082s0573.1.p, Roisl.0082s0576.1.p
OG0000715	Ag004G0528900	Roisl.0046s0119.1.p
OG0000715	Ag004G0529000	Roisl.0046s0866.1.p, Roisl.0046s0817.1.p, Roisl.0046s0120.1.p
OG0000716	Ag032G3434800	Roisl.0021s0546.1.p
OG0000716	Ag014G1967500	Roisl.0074s0643.1.p
OG0000716	Ag004G0714000	Roisl.0080s0666.1.p
OG0000717	Ag034G3859900	Roisl.0007s0717.1.p
OG0000717	Ag057G4958100	Roisl.0019s0562.1.p
