protein	mRNA	gene
XP_010511367.1	XM_010513065.2	LOC104787474
XP_019100912.1	XM_019245367.1	LOC109132903
XP_010511370.1	XM_010513068.2	LOC104787475
XP_010511368.1	XM_010513066.2	LOC104787475
XP_019100913.1	XM_019245368.1	LOC109125133
XP_010511377.1	XM_010513075.2	LOC104787478
XP_010511376.1	XM_010513074.1	LOC104787477
XP_010511374.1	XM_010513072.1	LOC104787477
XP_010511375.1	XM_010513073.2	LOC104787477
XP_010511378.1	XM_010513076.1	LOC104787479
XP_010511379.1	XM_010513077.1	LOC104787480
XP_010511381.1	XM_010513079.1	LOC104787481
XP_010511380.1	XM_010513078.1	LOC104787481
XP_010513503.1	XM_010515201.2	LOC104789514
XP_010511382.1	XM_010513080.1	LOC104787483
XP_010511383.1	XM_010513081.2	LOC104787484
XP_010513504.1	XM_010515202.1	LOC104789515
XP_019101560.1	XM_019246015.1	LOC109133111
XP_019101561.1	XM_019246016.1	LOC104787486
XP_010511386.1	XM_010513084.2	LOC104787487
XP_010511385.1	XM_010513083.1	LOC104787487
XP_010513506.1	XM_010515204.2	LOC104789518
XP_010511387.1	XM_010513085.1	LOC104787489
XP_010511388.1	XM_010513086.1	LOC104787490
XP_019101563.1	XM_019246018.1	LOC109124546
XP_010511389.1	XM_010513087.2	LOC109124546
XP_010511392.1	XM_010513090.2	LOC104787492
XP_010511390.1	XM_010513088.2	LOC104787492
XP_010511393.1	XM_010513091.2	LOC104787493
XP_010511397.1	XM_010513095.2	LOC104787495
XP_010511396.1	XM_010513094.2	LOC104787495
XP_019101565.1	XM_019246020.1	LOC104787495
XP_019101564.1	XM_019246019.1	LOC104787495
XP_010511394.1	XM_010513092.2	LOC104787494
XP_010511395.1	XM_010513093.2	LOC104787494
XP_010511398.1	XM_010513096.2	LOC104787496
XP_010511404.1	XM_010513102.1	LOC104787500
XP_010511399.1	XM_010513097.2	LOC104787499
XP_019101021.1	XM_019245476.1	LOC104789522
XP_010511405.1	XM_010513103.1	LOC104787503
XP_010511407.1	XM_010513105.1	LOC104787503
XP_010511408.1	XM_010513106.1	LOC104787503
XP_010511406.1	XM_010513104.1	LOC104787503
XP_010513510.1	XM_010515208.1	LOC104789524
XP_010513511.1	XM_010515209.1	LOC104789525
XP_010513512.1	XM_010515210.1	LOC104789527
XP_019100914.1	XM_019245369.1	LOC109132905
XP_010511412.1	XM_010513110.2	LOC104787508
XP_010511411.1	XM_010513109.1	LOC104787507
XP_010511410.1	XM_010513108.1	LOC104787506
XP_019100915.1	XM_019245370.1	LOC109132906
XP_010511414.1	XM_010513112.2	LOC104787510
XP_010511415.1	XM_010513113.2	LOC104787511
XP_010511416.1	XM_010513114.2	LOC104787513
XP_010511418.1	XM_010513116.2	LOC104787513
XP_010511417.1	XM_010513115.2	LOC104787513
XP_010511419.1	XM_010513117.1	LOC104787514
XP_010511420.1	XM_010513118.1	LOC104787514
XP_010511421.1	XM_010513119.2	LOC104787516
XP_010511422.1	XM_010513120.1	LOC104787517
XP_010513517.1	XM_010515215.1	LOC104789534
XP_010513520.1	XM_010515218.2	LOC104789537
XP_010511423.1	XM_010513121.2	LOC104787518
XP_019100916.1	XM_019245371.1	LOC109132908
XP_019101117.1	XM_019245572.1	LOC109133041
XP_010513523.1	XM_010515221.1	LOC104789541
XP_010511425.1	XM_010513123.2	LOC104787519
XP_010511426.1	XM_010513124.2	LOC104787520
XP_010511427.1	XM_010513125.2	LOC104787520
XP_010511428.1	XM_010513126.2	LOC104787520
XP_010511429.1	XM_010513127.2	LOC104787520
XP_019101061.1	XM_019245516.1	LOC109132994
XP_010513525.1	XM_010515223.1	LOC104789543
XP_010513527.1	XM_010515225.1	LOC104789544
XP_019101112.1	XM_019245567.1	LOC104787521
XP_019101114.1	XM_019245569.1	LOC109133038
XP_010511430.1	XM_010513128.2	LOC104787523
XP_010511432.1	XM_010513130.2	LOC104787525
XP_010511431.1	XM_010513129.2	LOC104787524
XP_010511435.1	XM_010513133.2	LOC104787526
XP_010511436.1	XM_010513134.2	LOC104787526
XP_010511437.1	XM_010513135.2	LOC104787529
XP_010511439.1	XM_010513137.2	LOC104787530
XP_010511438.1	XM_010513136.2	LOC104787530
XP_010513528.1	XM_010515226.1	LOC104789546
XP_010513529.1	XM_010515227.1	LOC104789547
XP_019101567.1	XM_019246022.1	LOC104787531
XP_019101566.1	XM_019246021.1	LOC104787531
XP_010511441.1	XM_010513139.2	LOC104787531
XP_010511443.1	XM_010513141.2	LOC104787532
XP_010513530.1	XM_010515228.1	LOC104789549
XP_010511444.1	XM_010513142.2	LOC104787534
XP_010513531.1	XM_010515229.1	LOC104789550
XP_010511445.2	XM_010513143.2	LOC104787536
XP_010511447.1	XM_010513145.2	LOC104787539
XP_019101023.1	XM_019245478.1	LOC109132968
XP_019100917.1	XM_019245372.1	LOC109132909
XP_010511448.1	XM_010513146.2	LOC104787541
XP_010511449.1	XM_010513147.2	LOC104787542
XP_010511450.1	XM_010513148.2	LOC104787544
XP_010511451.1	XM_010513149.1	LOC104787547
XP_010511452.1	XM_010513150.1	LOC104787548
XP_010511453.1	XM_010513151.2	LOC104787548
XP_010513534.1	XM_010515232.1	LOC104789553
XP_010513536.1	XM_010515234.1	LOC104789557
XP_010513537.1	XM_010515235.1	LOC104789558
XP_010511455.1	XM_010513153.2	LOC104787550
XP_019101568.1	XM_019246023.1	LOC104787551
XP_010513540.1	XM_010515238.1	LOC104789561
XP_019101569.1	XM_019246024.1	LOC109133113
XP_010513542.1	XM_010515240.1	LOC104789564
XP_010511458.1	XM_010513156.1	LOC104787554
XP_010511460.1	XM_010513158.2	LOC104787555
XP_010511461.1	XM_010513159.1	LOC104787556
XP_019101073.1	XM_019245528.1	LOC104789566
XP_019100918.1	XM_019245373.1	LOC109132910
XP_010513543.1	XM_010515241.1	LOC104789567
XP_010513544.1	XM_010515242.1	LOC104789568
XP_010511463.1	XM_010513161.2	LOC104787560
XP_010513545.1	XM_010515243.2	LOC104789569
XP_010511464.1	XM_010513162.1	LOC104787561
XP_019100919.1	XM_019245374.1	LOC109132911
XP_010511465.1	XM_010513163.2	LOC104787562
XP_010511466.1	XM_010513164.2	LOC104787564
XP_010511467.1	XM_010513165.2	LOC104787564
XP_019101106.1	XM_019245561.1	LOC109133031
XP_010511468.1	XM_010513166.2	LOC104787565
XP_010511471.1	XM_010513169.2	LOC104787566
XP_010511469.1	XM_010513167.2	LOC104787566
XP_010513548.1	XM_010515246.1	LOC104789572
XP_010511472.1	XM_010513170.2	LOC104787567
XP_010513549.1	XM_010515247.1	LOC104789573
XP_010511474.1	XM_010513172.2	LOC104787568
XP_010511475.1	XM_010513173.1	LOC104787568
XP_010511473.1	XM_010513171.1	LOC104787568
XP_010511477.1	XM_010513175.2	LOC104787568
XP_019101570.1	XM_019246025.1	LOC104787568
XP_010511478.1	XM_010513176.2	LOC104787570
XP_010511479.1	XM_010513177.1	LOC104787571
XP_010511482.1	XM_010513180.1	LOC104787573
XP_010511480.1	XM_010513178.2	LOC104787572
XP_010511483.1	XM_010513181.2	LOC104787574
XP_010511484.1	XM_010513182.2	LOC104787575
XP_019101100.1	XM_019245555.1	LOC109133021
XP_010513551.1	XM_010515249.1	LOC104789575
XP_010513552.1	XM_010515250.1	LOC104789576
XP_010511488.1	XM_010513186.1	LOC104787576
XP_010511486.1	XM_010513184.1	LOC104787576
XP_010511487.1	XM_010513185.1	LOC104787576
XP_010513554.1	XM_010515252.2	LOC104789579
XP_019101571.1	XM_019246026.1	LOC104789580
XP_010511490.1	XM_010513188.1	LOC104787580
XP_019101118.1	XM_019245573.1	LOC109133042
XP_019100920.1	XM_019245375.1	LOC109132913
XP_019100921.1	XM_019245376.1	LOC104789583
XP_010511491.1	XM_010513189.2	LOC104787581
XP_010511492.1	XM_010513190.2	LOC104787582
XP_010511493.1	XM_010513191.2	LOC104787583
XP_010511494.1	XM_010513192.2	LOC104787586
XP_010511496.1	XM_010513194.1	LOC104787587
XP_010511495.1	XM_010513193.2	LOC104787587
XP_010511498.1	XM_010513196.2	LOC104787588
XP_010511499.1	XM_010513197.1	LOC104787589
XP_010511501.1	XM_010513199.1	LOC104787591
XP_010511500.1	XM_010513198.1	LOC104787591
XP_010513558.1	XM_010515256.1	LOC104789586
XP_010511502.1	XM_010513200.1	LOC104787592
XP_010511503.1	XM_010513201.1	LOC104787593
XP_019101026.1	XM_019245481.1	LOC104787594
XP_010511505.1	XM_010513203.2	LOC104787596
XP_010511506.1	XM_010513204.2	LOC104787597
XP_010511508.1	XM_010513206.2	LOC104787599
XP_010511509.1	XM_010513207.1	LOC104787600
XP_019100922.1	XM_019245377.1	LOC109132916
XP_010513562.1	XM_010515260.1	LOC104789589
XP_010511510.1	XM_010513208.2	LOC104787601
XP_010511511.1	XM_010513209.2	LOC104787603
XP_010511512.1	XM_010513210.2	LOC104787604
XP_010511514.1	XM_010513212.2	LOC104787605
XP_010511513.1	XM_010513211.2	LOC104787605
XP_019100923.1	XM_019245378.1	LOC104789590
XP_010511515.1	XM_010513213.2	LOC104787607
XP_019100924.1	XM_019245379.1	LOC109132917
XP_010513565.1	XM_010515263.1	LOC104789591
XP_010513566.1	XM_010515264.1	LOC104789592
XP_010511516.1	XM_010513214.2	LOC104787608
XP_010511518.1	XM_010513216.1	LOC104787609
XP_019101583.1	XM_019246038.1	LOC109133117
XP_010511519.1	XM_010513217.2	LOC104787610
XP_010511521.1	XM_010513219.2	LOC104787611
XP_010511524.1	XM_010513222.2	LOC104787612
XP_010511523.1	XM_010513221.2	LOC104787612
XP_010511525.1	XM_010513223.2	LOC104787613
XP_019101582.1	XM_019246037.1	LOC109133116
XP_010513568.1	XM_010515266.1	LOC104789593
XP_010513570.1	XM_010515268.1	LOC104789595
XP_010513571.1	XM_010515269.1	LOC104789596
XP_010513573.1	XM_010515271.1	LOC104789599
XP_010513574.1	XM_010515272.1	LOC104789600
XP_019101577.1	XM_019246032.1	LOC109133115
XP_019100925.1	XM_019245380.1	LOC104789601
XP_010511528.1	XM_010513226.1	LOC104787621
XP_010511529.1	XM_010513227.2	LOC104787622
XP_010511530.1	XM_010513228.2	LOC104787623
XP_010511532.1	XM_010513230.2	LOC104787624
XP_010513578.1	XM_010515276.1	LOC104789603
XP_010511533.1	XM_010513231.1	LOC104787626
XP_019101580.1	XM_019246035.1	LOC104787627
XP_010511535.1	XM_010513233.2	LOC104787628
XP_019101585.1	XM_019246040.1	LOC104787629
XP_019101584.1	XM_019246039.1	LOC104787629
XP_010511537.1	XM_010513235.2	LOC104787630
XP_010511538.1	XM_010513236.2	LOC104787632
XP_010511539.1	XM_010513237.2	LOC104787633
XP_010513579.1	XM_010515277.1	LOC104789604
XP_010511541.1	XM_010513239.2	LOC104787634
XP_010511542.1	XM_010513240.2	LOC104787635
XP_010511543.1	XM_010513241.1	LOC104787636
XP_010511544.1	XM_010513242.1	LOC104787637
XP_010511545.1	XM_010513243.1	LOC104787642
XP_010511546.1	XM_010513244.1	LOC104787643
XP_010511548.1	XM_010513246.2	LOC104787644
XP_010511549.1	XM_010513247.2	LOC104787645
XP_010511551.1	XM_010513249.1	LOC104787647
XP_010511552.1	XM_010513250.2	LOC104787648
XP_010513582.1	XM_010515280.1	LOC104789607
XP_010513583.1	XM_010515281.1	LOC104789608
XP_010513585.1	XM_010515283.1	LOC104789610
XP_019101573.1	XM_019246028.1	LOC104787652
XP_010511554.1	XM_010513252.2	LOC104787652
XP_010511555.1	XM_010513253.2	LOC104787652
XP_010511553.1	XM_010513251.2	LOC104787651
XP_019100926.1	XM_019245381.1	LOC109132922
XP_019100927.1	XM_019245382.1	LOC109132923
XP_019100928.1	XM_019245383.1	LOC109132924
XP_010511557.1	XM_010513255.2	LOC104787654
XP_010511558.1	XM_010513256.2	LOC104787655
XP_010511559.1	XM_010513257.2	LOC104787655
XP_019101575.1	XM_019246030.1	LOC104787655
XP_010511561.1	XM_010513259.2	LOC104787655
XP_010511560.1	XM_010513258.2	LOC104787655
XP_010513587.1	XM_010515285.2	LOC104789612
XP_010513588.1	XM_010515286.1	LOC104789613
XP_010511562.1	XM_010513260.2	LOC104787657
XP_010511563.1	XM_010513261.2	LOC104787659
XP_010513589.1	XM_010515287.2	LOC104789614
XP_010513590.1	XM_010515288.1	LOC104789615
XP_010513591.1	XM_010515289.1	LOC104789616
XP_010513592.1	XM_010515290.1	LOC104789617
XP_010511565.1	XM_010513263.2	LOC104787661
XP_010511566.1	XM_010513264.1	LOC104787662
XP_010511568.1	XM_010513266.2	LOC104787663
XP_010511567.1	XM_010513265.2	LOC104787663
XP_010513593.1	XM_010515291.1	LOC104789620
XP_010513595.1	XM_010515293.2	LOC104789622
XP_010511580.1	XM_010513278.1	LOC104787674
XP_010511581.1	XM_010513279.2	LOC104787674
XP_010511579.1	XM_010513277.2	LOC104787672
XP_019101581.1	XM_019246036.1	LOC104787671
XP_010511576.1	XM_010513274.2	LOC104787669
XP_010511574.1	XM_010513272.2	LOC104787669
XP_010511575.1	XM_010513273.2	LOC104787669
XP_019100929.1	XM_019245384.1	LOC104787667
XP_010511573.1	XM_010513271.2	LOC104787666
XP_010511571.1	XM_010513269.2	LOC104787666
XP_019101574.1	XM_019246029.1	LOC104789623
XP_010511569.1	XM_010513267.1	LOC104787664
XP_019100930.1	XM_019245385.1	LOC109132925
XP_010513597.1	XM_010515295.1	LOC104789625
XP_010513601.1	XM_010515299.1	LOC104789629
XP_010513602.1	XM_010515300.1	LOC104789630
XP_010511583.1	XM_010513281.2	LOC104787676
XP_010511584.1	XM_010513282.2	LOC104787678
XP_010511585.1	XM_010513283.2	LOC104787679
XP_010511587.1	XM_010513285.2	LOC104787680
XP_010511586.1	XM_010513284.2	LOC104787680
XP_010511588.1	XM_010513286.2	LOC104787682
XP_010511589.1	XM_010513287.1	LOC104787683
XP_010511590.1	XM_010513288.1	LOC104787684
XP_010511594.1	XM_010513292.2	LOC104787685
XP_019101572.1	XM_019246027.1	LOC104787685
XP_010511593.1	XM_010513291.2	LOC104787685
XP_010511592.1	XM_010513290.2	LOC104787685
XP_010511591.1	XM_010513289.1	LOC104787685
XP_010511595.1	XM_010513293.2	LOC104787686
XP_010511596.1	XM_010513294.1	LOC104787687
XP_019100931.1	XM_019245386.1	LOC104789634
XP_010511598.1	XM_010513296.2	LOC104787691
XP_010513606.1	XM_010515304.1	LOC104789637
XP_010511600.1	XM_010513298.2	LOC104787693
XP_019101578.1	XM_019246033.1	LOC104787694
XP_010511602.1	XM_010513300.1	LOC104787694
XP_019100692.1	XM_019245147.1	LOC104789640
XP_019100932.1	XM_019245387.1	LOC104789643
XP_010511609.1	XM_010513307.2	LOC104787700
XP_019100933.1	XM_019245388.1	LOC104789644
XP_019100934.1	XM_019245389.1	LOC104789646
XP_010511610.1	XM_010513308.2	LOC104787701
XP_010511611.2	XM_010513309.2	LOC104787702
XP_010513617.1	XM_010515315.1	LOC104789647
XP_010513618.1	XM_010515316.1	LOC104789648
XP_019100935.1	XM_019245390.1	LOC109132926
XP_019100936.1	XM_019245391.1	LOC104789649
XP_019100937.1	XM_019245392.1	LOC104789650
XP_010511612.1	XM_010513310.2	LOC104787703
XP_010511613.1	XM_010513311.2	LOC104787704
XP_010511614.1	XM_010513312.1	LOC104787705
XP_010511615.1	XM_010513313.1	LOC104787705
XP_010513620.1	XM_010515318.1	LOC104789651
XP_019101586.1	XM_019246041.1	LOC104787706
XP_019101587.1	XM_019246042.1	LOC104787706
XP_019101588.1	XM_019246043.1	LOC104787706
XP_010511617.1	XM_010513315.2	LOC104787707
XP_010511619.1	XM_010513317.2	LOC104787708
XP_010511618.1	XM_010513316.2	LOC104787708
XP_010511620.1	XM_010513318.1	LOC104787709
XP_010511621.1	XM_010513319.2	LOC104787710
XP_010511622.1	XM_010513320.1	LOC104787711
XP_010511624.1	XM_010513322.2	LOC104787712
XP_010511625.1	XM_010513323.2	LOC104787713
XP_010513622.1	XM_010515320.1	LOC104789654
XP_010511626.1	XM_010513324.2	LOC104787714
XP_010511627.1	XM_010513325.2	LOC104787715
XP_010511628.1	XM_010513326.1	LOC104787716
XP_010511629.1	XM_010513327.1	LOC104787717
XP_019101589.1	XM_019246044.1	LOC104787717
XP_010511630.1	XM_010513328.2	LOC104787718
XP_010511632.1	XM_010513330.2	LOC104787720
XP_010511631.1	XM_010513329.2	LOC104787720
XP_010513623.1	XM_010515321.1	LOC104789656
XP_010511633.1	XM_010513331.1	LOC104787721
XP_010511634.1	XM_010513332.1	LOC104787721
XP_010511637.1	XM_010513335.2	LOC104787723
XP_010511636.1	XM_010513334.2	LOC104787723
XP_019101590.1	XM_019246045.1	LOC104787723
XP_019100938.1	XM_019245393.1	LOC104789658
XP_010511639.1	XM_010513337.1	LOC104787725
XP_010511638.1	XM_010513336.2	LOC104787724
XP_010511640.1	XM_010513338.2	LOC104787726
XP_019101045.1	XM_019245500.1	LOC104787727
XP_019101027.1	XM_019245482.1	LOC109132970
XP_019100939.1	XM_019245394.1	LOC109132927
XP_010513628.1	XM_010515326.1	LOC104789662
XP_010513629.1	XM_010515327.1	LOC104789663
XP_019100940.1	XM_019245395.1	LOC109132928
XP_010511645.1	XM_010513343.2	LOC104787728
XP_010511646.1	XM_010513344.2	LOC104787729
XP_010511649.1	XM_010513347.2	LOC104787730
XP_010511648.1	XM_010513346.2	LOC104787730
XP_019101591.1	XM_019246046.1	LOC104787730
XP_019100941.1	XM_019245396.1	LOC104789665
XP_010511651.1	XM_010513349.2	LOC104787733
XP_019101593.1	XM_019246048.1	LOC104787731
XP_010511654.1	XM_010513352.2	LOC104787734
XP_010511653.1	XM_010513351.2	LOC104787734
XP_010511652.1	XM_010513350.2	LOC104787734
XP_010511657.1	XM_010513355.2	LOC104787735
XP_010511656.1	XM_010513354.2	LOC104787735
XP_010511658.1	XM_010513356.2	LOC104787736
XP_010511660.1	XM_010513358.2	LOC104787736
XP_010511661.1	XM_010513359.2	LOC104787738
XP_010511662.1	XM_010513360.2	LOC104787739
XP_019101595.1	XM_019246050.1	LOC104787741
XP_010511663.1	XM_010513361.2	LOC104787742
XP_010511665.1	XM_010513363.2	LOC104787743
XP_010511664.1	XM_010513362.2	LOC104787743
XP_010511667.1	XM_010513365.1	LOC104787744
XP_010513633.1	XM_010515331.1	LOC104789670
XP_010513634.1	XM_010515332.1	LOC104789671
XP_010511668.1	XM_010513366.2	LOC104787745
XP_010513636.1	XM_010515334.1	LOC104789672
XP_010511669.1	XM_010513367.2	LOC104787746
XP_010511671.1	XM_010513369.1	LOC104787748
XP_010511670.1	XM_010513368.2	LOC104787747
XP_019101596.1	XM_019246051.1	LOC104787749
XP_010511673.1	XM_010513371.2	LOC104787749
XP_019101597.1	XM_019246052.1	LOC104787751
XP_010511675.1	XM_010513373.2	LOC104787752
XP_019100942.1	XM_019245397.1	LOC104789673
XP_019100943.1	XM_019245398.1	LOC109132929
XP_019101028.1	XM_019245483.1	LOC104787753
XP_010511680.1	XM_010513378.2	LOC104787754
XP_010511677.1	XM_010513375.2	LOC104787754
XP_010511678.1	XM_010513376.2	LOC104787754
XP_010511679.1	XM_010513377.2	LOC104787754
XP_010511681.1	XM_010513379.1	LOC104787756
XP_010511682.1	XM_010513380.2	LOC104787757
XP_010511683.1	XM_010513381.2	LOC104787758
XP_010511684.1	XM_010513382.2	LOC104787759
XP_019101601.1	XM_019246056.1	LOC104787761
XP_019101600.1	XM_019246055.1	LOC104787761
XP_010511693.1	XM_010513391.2	LOC104787761
XP_010511686.1	XM_010513384.2	LOC104787761
XP_019101599.1	XM_019246054.1	LOC104787761
XP_019101602.1	XM_019246057.1	LOC104787761
XP_010511694.1	XM_010513392.2	LOC104787762
XP_010513638.1	XM_010515336.1	LOC104789675
XP_010511695.1	XM_010513393.2	LOC104787763
XP_010511698.1	XM_010513396.1	LOC104787764
XP_010511699.1	XM_010513397.2	LOC104787766
XP_019101104.1	XM_019245559.1	LOC109133029
XP_010511700.1	XM_010513398.2	LOC104787767
XP_010511701.1	XM_010513399.2	LOC104787768
XP_010511702.1	XM_010513400.2	LOC104787770
XP_010511704.1	XM_010513402.2	LOC104787771
XP_010511706.1	XM_010513404.2	LOC104787771
XP_010511707.1	XM_010513405.2	LOC104787773
XP_010511708.1	XM_010513406.2	LOC104787774
XP_010511709.1	XM_010513407.2	LOC104787775
XP_010513639.1	XM_010515337.2	LOC104789676
XP_010511711.1	XM_010513409.2	LOC104787776
XP_010511712.1	XM_010513410.2	LOC104787778
XP_010511713.1	XM_010513411.2	LOC104787779
XP_010513640.1	XM_010515338.1	LOC104789677
XP_010511714.1	XM_010513412.1	LOC104787780
XP_010511715.1	XM_010513413.1	LOC104787780
XP_010511716.1	XM_010513414.2	LOC104787781
XP_010511718.1	XM_010513416.2	LOC104787783
XP_010511719.1	XM_010513417.2	LOC104787784
XP_010511723.1	XM_010513421.2	LOC104787786
XP_010511722.1	XM_010513420.2	LOC104787786
XP_010511720.1	XM_010513418.2	LOC104787785
XP_010511724.1	XM_010513422.2	LOC104787787
XP_010511725.1	XM_010513423.2	LOC104787787
XP_010511727.1	XM_010513425.2	LOC104787789
XP_010511726.1	XM_010513424.2	LOC104787788
XP_010511728.1	XM_010513426.2	LOC104787790
XP_019101603.1	XM_019246058.1	LOC104787791
XP_010511730.1	XM_010513428.2	LOC104787791
XP_010511731.1	XM_010513429.2	LOC104787791
XP_019101604.1	XM_019246059.1	LOC104787791
XP_010511733.1	XM_010513431.2	LOC104787793
XP_010511735.1	XM_010513433.2	LOC104787794
XP_010511736.1	XM_010513434.1	LOC104787795
XP_010511737.1	XM_010513435.2	LOC104787797
XP_019101605.1	XM_019246060.1	LOC104787796
XP_010511741.1	XM_010513439.2	LOC104787799
XP_010511743.1	XM_010513441.2	LOC104787799
XP_010511740.1	XM_010513438.2	LOC104787798
XP_010511739.1	XM_010513437.2	LOC104787798
XP_010511738.1	XM_010513436.2	LOC104787798
XP_010511744.1	XM_010513442.1	LOC104787800
XP_010511745.1	XM_010513443.2	LOC104787801
XP_010511746.1	XM_010513444.2	LOC104787802
XP_010511747.1	XM_010513445.2	LOC104787803
XP_010513642.1	XM_010515340.1	LOC104789680
XP_010511749.1	XM_010513447.2	LOC104787805
XP_010511748.1	XM_010513446.2	LOC104787805
XP_010511751.1	XM_010513449.2	LOC104787807
XP_010511750.1	XM_010513448.2	LOC104787807
XP_010511752.1	XM_010513450.2	LOC104787808
XP_010511754.1	XM_010513452.2	LOC104787809
XP_010511755.1	XM_010513453.2	LOC104787810
XP_010513644.1	XM_010515342.1	LOC104789681
XP_010511756.1	XM_010513454.2	LOC104787811
XP_010511757.1	XM_010513455.2	LOC104787812
XP_010511758.1	XM_010513456.2	LOC104787812
XP_010511759.1	XM_010513457.2	LOC104787813
XP_010513645.1	XM_010515343.1	LOC104789682
XP_019100945.1	XM_019245400.1	LOC109132931
XP_010511763.1	XM_010513461.2	LOC104787814
XP_010511762.1	XM_010513460.2	LOC104787814
XP_019101607.1	XM_019246062.1	LOC104787814
XP_010511761.1	XM_010513459.1	LOC104787814
XP_019101609.1	XM_019246064.1	LOC109133128
XP_010511765.1	XM_010513463.2	LOC104787817
XP_010511766.1	XM_010513464.2	LOC104787818
XP_019101610.1	XM_019246065.1	LOC104787819
XP_019101613.1	XM_019246068.1	LOC104787820
XP_019101612.1	XM_019246067.1	LOC104787820
XP_010511767.1	XM_010513465.2	LOC104787820
XP_019101611.1	XM_019246066.1	LOC104787820
XP_010511769.1	XM_010513467.2	LOC104787821
XP_010511768.1	XM_010513466.1	LOC104787821
XP_010511770.1	XM_010513468.1	LOC104787822
XP_010511773.1	XM_010513471.1	LOC104787824
XP_010511774.1	XM_010513472.2	LOC104787825
XP_019100946.1	XM_019245401.1	LOC104787826
XP_010511777.1	XM_010513475.1	LOC104787827
XP_010511779.1	XM_010513477.2	LOC104787829
XP_019100947.1	XM_019245402.1	LOC109132932
XP_019100948.1	XM_019245403.1	LOC109132933
XP_019100949.1	XM_019245404.1	LOC109132934
XP_019101053.1	XM_019245508.1	LOC109132990
XP_019100950.1	XM_019245405.1	LOC104789686
XP_010513649.1	XM_010515347.1	LOC104789687
XP_019100951.1	XM_019245406.1	LOC104789688
XP_010513650.1	XM_010515348.1	LOC104789691
XP_010511786.1	XM_010513484.2	LOC104787835
XP_019101615.1	XM_019246070.1	LOC104787834
XP_019101614.1	XM_019246069.1	LOC104787834
XP_010511783.1	XM_010513481.2	LOC104787834
XP_019101616.1	XM_019246071.1	LOC104787834
XP_010511784.1	XM_010513482.2	LOC104787834
XP_010511787.1	XM_010513485.2	LOC104787836
XP_010511788.1	XM_010513486.2	LOC104787837
XP_010511789.1	XM_010513487.1	LOC104787838
XP_010511790.1	XM_010513488.2	LOC104787840
XP_010511792.1	XM_010513490.2	LOC104787844
XP_010511793.1	XM_010513491.2	LOC104787844
XP_010511797.2	XM_010513495.2	LOC104787845
XP_019101617.1	XM_019246072.1	LOC104787845
XP_010511796.2	XM_010513494.2	LOC104787845
XP_010511800.1	XM_010513498.2	LOC104787846
XP_019101618.1	XM_019246073.1	LOC104787846
XP_010511798.1	XM_010513496.2	LOC104787846
XP_010511799.1	XM_010513497.2	LOC104787846
XP_010511801.1	XM_010513499.2	LOC104787846
XP_010511802.1	XM_010513500.1	LOC104787847
XP_010511804.1	XM_010513502.1	LOC104787848
XP_010511805.1	XM_010513503.1	LOC104787848
XP_010511806.1	XM_010513504.2	LOC104787850
XP_010511807.1	XM_010513505.2	LOC104787851
XP_010513652.1	XM_010515350.1	LOC104789693
XP_010511809.1	XM_010513507.2	LOC104787853
XP_010511810.1	XM_010513508.2	LOC104787854
XP_010511812.1	XM_010513510.2	LOC104787855
XP_010511813.1	XM_010513511.2	LOC104787857
XP_019100952.1	XM_019245407.1	LOC109132936
XP_010511814.1	XM_010513512.1	LOC104787861
XP_010511816.1	XM_010513514.2	LOC104787862
XP_010513656.1	XM_010515354.1	LOC104789699
XP_010511817.1	XM_010513515.2	LOC104787865
XP_010513657.1	XM_010515355.1	LOC104789700
XP_010511819.1	XM_010513517.2	LOC104787867
XP_010511820.1	XM_010513518.1	LOC104787868
XP_019100953.1	XM_019245408.1	LOC104787869
XP_010511822.1	XM_010513520.2	LOC104787871
XP_010511824.1	XM_010513522.1	LOC104787872
XP_010511825.1	XM_010513523.2	LOC104787873
XP_010511826.1	XM_010513524.1	LOC104787874
XP_019101090.1	XM_019245545.1	LOC104787875
XP_010511828.1	XM_010513526.1	LOC104787877
XP_019100954.1	XM_019245409.1	LOC104789701
XP_019100955.1	XM_019245410.1	LOC109132937
XP_010513659.1	XM_010515357.2	LOC104789703
XP_019101029.1	XM_019245484.1	LOC104789704
XP_010511829.1	XM_010513527.1	LOC104787878
XP_010511832.1	XM_010513530.2	LOC104787879
XP_010511830.1	XM_010513528.2	LOC104787879
XP_010511833.1	XM_010513531.2	LOC104787880
XP_010511834.1	XM_010513532.2	LOC104787881
XP_010511837.1	XM_010513535.2	LOC104787882
XP_010511835.1	XM_010513533.2	LOC104787882
XP_010511836.1	XM_010513534.2	LOC104787882
XP_019101619.1	XM_019246074.1	LOC109133130
XP_010511838.1	XM_010513536.1	LOC104787883
XP_010511840.1	XM_010513538.2	LOC104787884
XP_010511841.1	XM_010513539.2	LOC104787884
XP_010511839.1	XM_010513537.2	LOC104787884
XP_010511842.1	XM_010513540.2	LOC104787886
XP_010511843.1	XM_010513541.1	LOC104787887
XP_010511845.1	XM_010513543.2	LOC104787888
XP_010511846.1	XM_010513544.2	LOC104787889
XP_010513662.2	XM_010515360.2	LOC104789706
XP_010511847.1	XM_010513545.1	LOC104787890
XP_010511848.1	XM_010513546.1	LOC104787891
XP_010511850.1	XM_010513548.2	LOC104787892
XP_010511849.1	XM_010513547.2	LOC104787892
