Orthogroup	Brassica_napus	Noccaea_praecox
OG0000676	XP_013742372.1, XP_013655920.1, XP_013711015.2, XP_013672163.1	Np001G059690
OG0000676	XP_048615976.1, XP_013649750.2, XP_048603623.1, XP_048617386.1, XP_013674869.1, XP_048591751.1	Np002G079460
OG0000677	XP_048623009.1, XP_022561201.2, XP_013729657.2, XP_013747293.1	Np004G227760
OG0000677	XP_048593974.1, XP_048596877.1	Np004G227730
OG0000682	XP_022570252.2, XP_013680074.1, XP_048623528.1, XP_048595053.1, XP_048603173.1, XP_048592895.1, XP_048601905.1, XP_048623682.1, XP_048615676.1, XP_048623801.1, XP_048635043.1, XP_048599643.1, XP_013719215.2, XP_048611641.1, XP_048610277.1, XP_048611654.1, XP_022559806.2, XP_013675060.2, XP_048603822.1, XP_048615060.1, XP_048628938.1, XP_048597322.1, XP_048629685.1, XP_048630975.1, XP_048596259.1, XP_048614529.1, XP_048628189.1, XP_048635233.1, XP_048634004.1, XP_048632736.1, XP_022548334.1, XP_022568791.1, XP_022545391.1, XP_048602635.1, XP_022544938.1, XP_022575053.1, XP_048622662.1, XP_022566353.1, XP_048605863.1	Np004G225340
OG0000685	XP_013681586.1, XP_013661498.1, XP_013693908.1, XP_013667603.1, XP_013665997.2, XP_048591631.1, XP_013681594.2	Np005G275060, Np005G275040
OG0000685	XP_013656534.2, XP_013725663.1, XP_013698418.1, XP_013741271.1	Np005G279610
OG0000686	XP_048633065.1, XP_048620325.1, XP_048593441.1, XP_013729282.2, XP_013654866.1	Np005G264040
OG0000686	XP_048606362.1, XP_048594823.1	Np002G091570, Np005G264050
OG0000687	XP_013737363.1, XP_013688207.1	Np005G299500
OG0000687	XP_013648377.1, XP_013728415.1, XP_013734799.1, XP_013683709.1	Np006G324700
OG0000688	XP_013724728.1	Np001G025680, Np001G025750, Np001G025770, Np001G025740
OG0000688	XP_013687112.1	Np005G267820
OG0000688	XP_022562945.1, XP_013664956.2, XP_048599820.1, XP_013724725.1, XP_022552727.2, XP_013691947.2	Np001G025840
OG0000689	XP_013717473.1, XP_022571867.1, XP_048617710.1, XP_013657209.1, XP_022565946.1, XP_048636312.1, XP_048596822.1, XP_013719778.1	Np004G208380, Np003G177370
OG0000691	XP_022561065.2	Np006G333970
OG0000691	XP_013744859.2, XP_048611099.1	Np006G333980
OG0000692	XP_013692317.2, XP_013663678.1, XP_013724456.1, XP_013648333.2	Np001G063690
OG0000692	XP_013673090.1, XP_013657030.1	Np006G327970
OG0000693	XP_013710482.2, XP_013672165.1, XP_013742366.2	Np001G059680
OG0000693	XP_013734568.2, XP_013716868.1, XP_048636437.1, XP_013748038.1	Np006G332860
OG0000694	XP_048633672.1, XP_048633671.1, XP_013743891.1, XP_048612354.1, XP_022573888.2, XP_048597410.1, XP_013659076.1, XP_013734122.1, XP_013746597.2, XP_022573891.2, XP_048611937.1, XP_048606405.1	Np006G364920
OG0000695	XP_022569842.2, XP_013707952.2, XP_013649689.2	Np002G079710
OG0000695	XP_013701202.2, XP_013672251.1	Np005G312620
OG0000695	XP_013745313.1, XP_013701106.1	Np002G116740
OG0000696	XP_013655520.1	Np007G390340
OG0000696	XP_013749742.1, XP_013693302.1	Np004G194620
OG0000697	XP_048637759.1, XP_048616389.1	Np004G194590
OG0000698	XP_013652530.2, XP_013691686.3	Np007G412940, Np007G413170
OG0000699	XP_013705471.1, XP_013734627.2	Np006G334510
OG0000699	XP_013748951.2, XP_048627309.1, XP_013687456.1	Np005G311360
OG0000700	XP_048633790.1, XP_013721832.2, XP_048633791.1	Np006G360290, Np006G360310
OG0000700	XP_013744174.2, XP_013687288.1, XP_048626806.1, XP_048626807.1, XP_048633788.1, XP_013744172.1, XP_013744173.3, XP_022545808.2, XP_048630390.1, XP_048610805.1	Np006G360270, Np006G360280, Np006G350630
OG0000702	XP_013659613.1, XP_013667682.1, XP_013714887.1, XP_013727891.2, XP_013712807.1	Np003G141400
OG0000702	XP_013644636.2, XP_013707604.2	Np001G020650
OG0000702	XP_013730598.2, XP_048614356.1	Np007G424940
OG0000703	XP_013668363.1, XP_048624324.1	Np003G128130
OG0000703	XP_013687601.2, XP_048612031.1	Np006G339110
OG0000703	XP_048597053.1, XP_048620550.1, XP_013684789.1, XP_013721718.2	Np001G055190
OG0000704	XP_013746931.2, XP_048627597.1, XP_048632079.1, XP_013659142.1, XP_013669107.1, XP_048601479.1, XP_013746930.1, XP_013715956.1	Np007G392710, Np005G289350
OG0000705	XP_048605366.1, XP_022573288.2	Np007G385360
OG0000705	XP_013688764.1, XP_022557912.1, XP_048594548.1, XP_048612722.1, XP_013691946.1	Np001G039450
OG0000705	XP_013725471.2, XP_013691612.2	Np001G039440
OG0000706	XP_048602282.1	Np001G012600, Np001G012640
OG0000707	XP_048600743.1, XP_022545225.2, XP_022575932.2, XP_022559482.1, XP_013652246.2, XP_013731633.1	Np007G413470
OG0000707	XP_013688697.2, XP_022552931.2	Np002G089600
OG0000708	XP_013712580.3, XP_013708411.2	Np004G246770
OG0000708	XP_013655264.1	Np004G246300
OG0000709	XP_013662914.2, XP_048620501.1	Np001G053360
OG0000710	XP_013673589.1, XP_013641365.2, XP_013674760.1, XP_048590921.1, XP_048621242.1, XP_013693652.2, XP_013664663.1, XP_013664664.2, XP_048621251.1, XP_048627255.1, XP_048627119.1, XP_048597714.1, XP_013712107.2, XP_048621249.1, XP_048627257.1, XP_013708896.1, XP_013693719.2	Np004G243100
OG0000711	XP_048633627.1, XP_013687092.2	Np006G367030
OG0000711	XP_013743262.1, XP_013686936.2	Np005G316650
OG0000711	XP_013680898.1	Np006G366930
OG0000711	XP_013681372.1, XP_013681488.1, XP_022556891.2	Np006G366940
OG0000712	XP_013684679.2, XP_022555993.1, XP_013750654.1, XP_022552719.2, XP_048606354.1	Np007G416650
OG0000712	XP_048601165.1, XP_048636011.1	Np005G269940, Np005G269950
OG0000714	XP_022556851.2, XP_022573842.2	Np005G313110
OG0000714	XP_022551747.2, XP_048610962.1	Np002G093780
OG0000715	XP_013713902.1, XP_013699153.2, XP_013735499.1, XP_048606949.1, XP_013678010.2	Np003G182580, Np003G182590
OG0000716	XP_013655370.2, XP_013746583.1, XP_048611855.1, XP_013745566.2, XP_048626815.1, XP_048634065.1, XP_048611852.1, XP_048626811.1, XP_013673404.1, XP_048626814.1, XP_013747495.3, XP_048611853.1, XP_048611856.1, XP_022568704.2, XP_048626816.1, XP_048626812.1, XP_048611854.1, XP_048626819.1	Np005G305680
OG0000717	XP_013653410.1, XP_013671547.2	Np004G234260
OG0000718	XP_013731818.1	Np003G125160
OG0000720	XP_013648518.2, XP_048616268.1, XP_013749433.2, XP_013711819.2	Np001G068980
OG0000720	XP_022570032.1, XP_048632067.1, XP_048626301.1, XP_048612379.1, XP_013676984.1	Np003G187030
OG0000721	XP_048626479.1	Np007G391500
OG0000722	XP_013750525.1, XP_013690926.1, XP_048591841.1, XP_013743731.1, XP_013728862.1	Np002G086450
OG0000722	XP_048597698.1, XP_013677795.1, XP_013657379.1, XP_048638229.1, XP_013693025.1	Np004G242400
OG0000723	XP_013660850.2, XP_013737459.2	Np001G013900
OG0000724	XP_022574511.1, XP_013742334.1, XP_048611332.1	Np001G058880
OG0000727	XP_048610570.1, XP_048636538.1, XP_048631431.1, XP_048610571.1, XP_048591204.1, XP_013644168.2, XP_048618166.1	Np007G388410, Np007G388380, Np007G389000
OG0000727	XP_013655345.1	Np004G248560
OG0000728	XP_013667476.1, XP_013680709.2	Np003G146610
OG0000728	XP_013730298.2, XP_048608899.1	Np003G146570
OG0000728	XP_013740223.2, XP_013740224.2, XP_013681903.1	Np003G146590
OG0000730	XP_048624512.1, XP_048596672.1, XP_048596671.1, XP_048624511.1, XP_048600105.1, XP_022560165.2, XP_022555796.2, XP_013703839.1, XP_013664910.1	Np001G024830
OG0000730	XP_013641353.2, XP_013673140.2, XP_013676233.1, XP_013664680.1	Np004G242780
OG0000731	XP_013644847.2	Np001G022910, Np001G022900
OG0000732	XP_013685127.1, XP_048603074.1	Np003G156910
OG0000732	XP_013703939.1, XP_013738094.1, XP_048600194.1, XP_013741337.2	Np005G279680
OG0000732	XP_048633967.1, XP_013714400.1	Np001G055070
OG0000733	XP_013658792.2	Np001G049150, Np002G120010, Np001G002580
OG0000734	XP_013710145.2, XP_013705262.1, XP_013661115.1	Np001G007420
OG0000734	XP_013640549.1, XP_013720072.1, XP_013675062.1, XP_013701996.1, XP_013683328.1	Np003G168400
OG0000735	XP_048591501.1, XP_048637709.1	Np005G314100
OG0000736	XP_013723249.1, XP_013668159.1, XP_013680282.1, XP_048627693.1	Np003G136540, Np004G219250
OG0000736	XP_013660087.1, XP_013710555.1	Np006G369110
OG0000736	XP_013703890.1, XP_013738561.1	Np005G262120
OG0000737	XP_013647553.1, XP_048619416.1	Np005G261640
OG0000737	XP_013686538.1, XP_013710235.1, XP_013660073.2	Np006G367700
OG0000738	XP_048608412.1, XP_013734199.1	Np006G357660
OG0000739	XP_013697044.1, XP_022564003.2, XP_013666411.1, XP_013696307.2	Np004G256480
OG0000739	XP_013646527.1	Np005G305640
OG0000741	XP_013684767.1, XP_013686960.1	Np007G407510
OG0000741	XP_013734031.1	Np003G157560
OG0000741	XP_013656424.1, XP_048636883.1, XP_013701571.1, XP_048594370.1, XP_013655391.2	Np004G191090
OG0000744	XP_013679130.2, XP_048608901.1	Np003G182790
OG0000744	XP_013661130.2	Np003G182850
OG0000749	XP_048618752.1, XP_048618755.1, XP_048618756.1, XP_013644815.1	Np004G243770
OG0000749	XP_013711782.1, XP_013657128.1	Np004G209100
OG0000750	XP_013745759.2, XP_013739873.1	Np005G319850, Np005G319920, Np005G300140
OG0000750	XP_048595701.1, XP_048625963.1	Np002G123990, Np002G123980
OG0000751	XP_013675485.1, XP_013659213.1, XP_048637901.1, XP_048604454.1	Np003G128310, Np002G120940
OG0000752	XP_013659137.2, XP_048602302.1, XP_013675341.1, XP_048602307.1, XP_048617917.1, XP_013647225.2, XP_013705117.1, XP_013647227.2	Np001G012300
OG0000752	XP_013726417.2, XP_048607850.1	Np003G137130
OG0000753	XP_013703339.2, XP_013711851.2	Np004G202950
OG0000753	XP_013664576.1, XP_013701030.1	Np003G184860
OG0000754	XP_048621678.1, XP_022545522.2	Np004G203100
OG0000754	XP_013736728.2, XP_022555418.2, XP_048595535.1, XP_048594844.1	Np007G380060
OG0000755	XP_013661982.2, XP_013641787.1	Np003G184650
OG0000755	XP_013661981.2, XP_022555718.1	Np003G184660
OG0000756	XP_022563077.1, XP_022547547.1	Np005G267090
OG0000757	XP_013682353.1, XP_013703612.1	Np003G126650
OG0000757	XP_013678306.1	Np006G336960, Np001G056570
OG0000758	XP_013650321.1, XP_013727012.1, XP_013725917.2, XP_013676925.1	Np002G071380
OG0000758	XP_013748705.1, XP_013692825.1	Np006G356060
OG0000758	XP_013646630.1, XP_013688969.2	Np004G240340
OG0000759	XP_013733968.1, XP_022554692.1	Np006G351730
OG0000759	XP_048627882.1, XP_048622541.1, XP_048627890.1, XP_048621596.1, XP_013716444.1, XP_048597877.1, XP_013657533.1	Np004G252480
OG0000760	XP_013670364.1, XP_013663289.1	Np006G331470
OG0000761	XP_013698060.1, XP_048630925.1, XP_013725052.2	Np007G398800
OG0000762	XP_048619842.1, XP_048620373.1, XP_048593093.1	Np007G372630, Np007G372690
OG0000762	XP_013708766.2, XP_048621074.1, XP_048597536.1	Np007G372670
OG0000763	XP_048594386.1, XP_013670370.2	Np004G192120, Np004G192100
OG0000763	XP_048627914.1, XP_048637701.1, XP_013640458.1, NP_001302979.1, XP_013640461.2, XP_013643635.1	Np004G192090
OG0000764	XP_048606490.1, XP_048594443.1, XP_022564918.2, XP_048636968.1, XP_013725276.2, XP_048616384.1, XP_013640770.2	Np004G195960
OG0000764	XP_048637782.1, XP_022560916.1, XP_013701468.3, XP_048637793.1	Np006G358630
OG0000767	XP_013718734.2	Np005G285640, Np005G285670
OG0000768	XP_022545486.1	Np007G377030
OG0000772	XP_048591300.1, XP_048618109.1, XP_048631456.1, XP_013665668.2, XP_013698108.1, XP_013687495.2	Np006G363870, Np001G019790
OG0000773	XP_013674913.2, XP_048621851.1	Np002G086730, Np001G019440
OG0000774	XP_013738098.1, XP_013707550.2, XP_013656535.2, XP_013697632.1, XP_048598326.1	Np005G279450
OG0000774	XP_048620329.1	Np003G125830
OG0000775	XP_013640887.1, XP_048600697.1, XP_013640888.1, NP_001302941.1, XP_013750304.2, XP_013672784.1, XP_013648149.2, XP_013684730.1	Np007G411740
OG0000776	XP_013734555.2	Np006G332580
OG0000776	XP_048612270.1, XP_022575597.1, XP_048600762.1, XP_048606150.1, XP_048615286.1, XP_013736065.1	Np007G410600, Np007G413670
OG0000777	XP_048629872.1, XP_013740478.1, XP_048636903.1, XP_013727885.1	Np004G191610
OG0000778	XP_013728255.2, XP_048593211.1, XP_022548760.1, XP_013666059.1	Np003G140100
OG0000778	XP_013705874.1, XP_013712674.1	Np003G140090
OG0000779	XP_013672059.2, XP_048618979.1, XP_013737566.1	Np005G285590
OG0000779	XP_013661131.2, XP_048629926.1, XP_013674959.1	Np003G182860
OG0000780	XP_048633682.1, NP_001302750.1	Np005G262020
OG0000780	XP_048633567.1, XP_013671397.1, XP_013712562.1, NP_001303082.1	Np006G369190
OG0000781	XP_013734745.2, XP_013683854.2, XP_048631784.1, XP_013683852.1, XP_013690683.1, XP_013744361.1	Np006G326390, Np006G326420
OG0000781	XP_022557928.1, XP_013688467.1	Np006G326400, Np006G326410
OG0000782	XP_013718177.2, XP_022557528.2, XP_048635053.1	Np007G381110
OG0000783	XP_048599027.1, XP_048628527.1, XP_013717635.1, XP_013717661.1, XP_013680187.2	Np003G150010
OG0000784	XP_013670064.1	Np001G044430, Np001G044440
OG0000784	XP_048605802.1, XP_048602515.1, XP_013740337.2, XP_013712787.2, XP_013723979.1, XP_013667176.2, XP_048605799.1, XP_013733325.1, XP_013715809.1, XP_013682206.2	Np003G150760
OG0000785	XP_048606374.1, XP_048594832.1, XP_013664221.1, XP_013735164.2	Np005G263420
OG0000785	XP_022549370.2, XP_013729408.3	Np003G129340
OG0000786	XP_022546470.2, XP_013665729.1	Np005G271720, Np004G214860, Np004G214890
OG0000787	XP_048605264.1, XP_048600625.1	Np002G107730, Np007G408970
OG0000787	XP_048605427.1, XP_048600636.1, XP_013651965.1	Np007G409000
OG0000788	XP_013721238.2, XP_013646893.2, XP_013677304.1, XP_013723968.2	Np001G044750
OG0000788	XP_048602534.1, XP_048605903.1, XP_013665866.1	Np003G151370
OG0000789	XP_013726971.1, XP_048626889.1, XP_013650285.1, XP_048628040.1, XP_013676858.2, XP_013702622.2, XP_048616297.1	Np002G072050
OG0000789	XP_013696540.3, XP_013648233.2, XP_048635890.1, XP_013685642.2, XP_022567020.1, XP_013673186.1	Np007G408550
OG0000790	XP_022545255.2, XP_022562115.2, XP_048592656.1, XP_013706613.1	Np004G192160
OG0000790	XP_022545075.2, XP_048591462.1, XP_022562369.2, XP_048591463.1	Np004G192150
OG0000792	XP_048616839.1	Np004G233400
OG0000793	XP_048611778.1, XP_048604907.1, XP_022551670.2, XP_048603415.1, XP_013739655.1, XP_013705799.2	Np002G071320, Np002G071290
OG0000794	XP_048633759.1, XP_022574399.1, XP_048633760.1, XP_013733667.3, XP_022547455.1, XP_013735366.2	Np006G325110, Np009G432170, Np006G344990, Np001G058610, Np006G358470, Np006G355840, Np001G012630, Np004G204830
OG0000795	XP_048627157.1, XP_022551941.2, XP_048626752.1, XP_022555820.1	Np005G272780
OG0000796	XP_013700155.3, XP_013660335.1, XP_048633224.1, XP_013651546.1, XP_048620287.1	Np006G330380, Np005G286210, Np003G186650
OG0000798	XP_013737344.1, XP_013742011.1, XP_013737322.1, XP_013737210.1	Np005G294720, Np005G298760, Np005G295420
OG0000800	XP_022574881.2, XP_013701961.2, XP_013670118.2, XP_048632811.1	Np001G049280
OG0000801	XP_013729417.1, XP_013729416.2	Np007G411650
OG0000801	XP_013650801.3, XP_013724535.2	Np003G129290
OG0000801	XP_013672779.1, XP_013750224.2	Np007G411640
OG0000802	XP_022543742.2, XP_013733253.1	Np001G035930
OG0000802	XP_013657792.1, XP_048596397.1, XP_013667657.1	Np004G213420
OG0000802	XP_022569639.2, XP_013671098.2	Np007G403260, Np004G249950, Np005G291790
OG0000803	XP_013740527.1	Np005G289290
OG0000803	XP_013660890.2, XP_013734018.1, XP_013660891.1	Np005G289240
OG0000803	XP_048632072.1	Np005G289320, Np005G289310, Np005G289300
OG0000804	XP_048609576.1	Np001G008670
OG0000805	XP_013668450.1, XP_013640101.1, XP_013655700.2, XP_048594588.1, XP_013707519.1, XP_022550842.1, XP_048628135.1, XP_048629996.1, XP_013736584.1, XP_013664786.2, XP_022546044.1, XP_013662081.1, XP_013687633.2	Np005G303760
OG0000806	XP_013680860.1, XP_013734775.1	Np006G325750
OG0000806	XP_013654725.2, XP_048622193.1, XP_048626953.1	Np005G301000
OG0000807	XP_013680861.1, XP_022574268.2, XP_013725415.2	Np006G325830
OG0000807	XP_013657922.1, XP_013724353.1, XP_013658692.2, XP_013646088.1	Np001G017730
OG0000807	XP_013739257.2, XP_013684276.2, XP_022575700.2, XP_048636274.1	Np007G425260
OG0000808	XP_013676424.1, XP_048633780.1, XP_048592839.1	Np006G359850
OG0000808	XP_048601822.1	Np001G046130
OG0000808	XP_013657103.1, XP_022551624.1	Np003G153230
OG0000809	XP_013655625.2, XP_048592664.1, XP_013721784.1, XP_013685285.1, XP_048606753.1, XP_048614603.1	Np004G226080
OG0000809	XP_013649368.1, XP_013703047.1	Np002G087080, Np003G146260
OG0000810	XP_013701613.3	Np004G196310
OG0000812	XP_013653687.1	Np006G360790
OG0000813	XP_013679776.1, XP_048609093.1, XP_013739397.2	Np007G392340
OG0000813	XP_048635673.1, XP_022575356.2, XP_013713442.1	Np007G392330
OG0000814	XP_013645522.1, XP_022563709.2, XP_013645524.1, XP_048606050.1, XP_013709223.3	Np003G152190
OG0000815	XP_048593361.1, XP_048603654.1, XP_048590977.1, XP_013739516.1, XP_048599580.1, XP_048622765.1, XP_048613355.1, XP_048604770.1, XP_013751823.1	Np004G216520
OG0000815	XP_048614932.1, XP_048620457.1	Np003G153780
OG0000818	XP_013718113.1	Np001G011690
OG0000818	XP_013671621.1, XP_013699469.2, XP_013671620.1, XP_013673864.2	Np005G277320
OG0000819	XP_013672778.1, XP_013750227.2	Np007G411620
OG0000819	XP_013651755.1, XP_013718845.1, XP_013740060.1	Np003G129310
OG0000819	XP_013648021.2, XP_013698571.2, XP_013742312.1, XP_013698297.1, XP_013663436.1, XP_013742450.1	Np001G060370
OG0000821	XP_048598705.1, XP_022569216.1, XP_013640566.1, XP_013674757.1, XP_013710533.2	Np003G167140
OG0000821	XP_013640564.1, XP_048610235.1, XP_013674759.1	Np003G167170
OG0000821	XP_048630089.1	Np003G152950
OG0000822	XP_013704804.2, XP_048608305.1, XP_048629600.1, XP_048608304.1	Np003G162030, Np003G162050
OG0000823	XP_013707220.1, XP_013696642.2, XP_013677262.1, XP_013696519.1, XP_048628773.1, XP_013726268.2, XP_013714565.1	Np001G032910
OG0000824	XP_013685760.1, XP_013717489.2	Np004G206080
OG0000824	XP_013687949.1, XP_013677350.1, XP_013695278.1, XP_013685963.1	Np003G178410
OG0000825	XP_013648450.1, XP_048616211.1	Np001G067480
OG0000825	XP_013734842.2, XP_013725852.1, XP_013747886.2	Np006G323070
OG0000826	XP_048608880.1	Np001G049200
OG0000826	XP_013692804.1, XP_013692665.1, XP_048611236.1, XP_048634751.1	Np006G325670
OG0000827	XP_013707553.1, XP_013666722.1	Np003G160770
OG0000827	XP_013720169.2, XP_048630770.1, XP_048624394.1	Np003G125640
OG0000828	XP_013679380.1, XP_013679381.2, XP_048608421.1, XP_013739005.2	Np002G114920
OG0000829	XP_048607977.1	Np003G144870
OG0000830	XP_013706155.1	Np004G235230
OG0000830	XP_013717953.2, XP_013701838.1	Np002G077080
OG0000831	XP_022543040.1, XP_013653429.1	Np004G235010
OG0000831	XP_013653430.1, XP_013706371.2	Np004G235000
OG0000833	XP_013719749.2, XP_048612995.1, XP_048635790.1, XP_013719747.1, XP_022550946.1, XP_013644686.2, XP_048609040.1, XP_013736270.2, XP_048609043.1, XP_013736272.2	Np007G405010
OG0000833	XP_013645059.1, XP_013751356.2	Np004G193010
OG0000834	XP_013676370.3, XP_048636323.1, XP_048627369.1, XP_013727329.1, XP_048629900.1, XP_013677492.2, XP_048637944.1, XP_013709100.1	Np004G198720, Np004G198270
OG0000835	XP_048594083.1, XP_013658340.1, XP_013692174.1, XP_013736454.1, XP_048634897.1, XP_013749341.2, XP_013706636.1	Np007G395770
OG0000835	XP_022572204.2, XP_013714944.1, XP_022569595.1, XP_013720639.1, XP_013749109.2, XP_048636329.1, XP_013721217.1	Np004G198020
OG0000836	XP_013748986.3, XP_048620697.1, XP_048620699.1, XP_048620700.1, XP_048620698.1, XP_013708624.1, XP_013704324.2, XP_048620696.1, XP_022570324.2	Np007G379740
OG0000837	XP_013722259.2, XP_048596981.1, XP_048596473.1, XP_048622899.1, XP_048627671.1, XP_048627669.1, XP_048627670.1, XP_013695410.2, XP_048620487.1, XP_013696194.1, XP_048596979.1	Np001G052330
OG0000837	XP_048621321.1	Np004G246680
OG0000838	XP_048604289.1	Np003G171000
OG0000839	XP_013669581.1, XP_013646124.1, XP_013665375.2, XP_048622646.1, XP_048611573.1, XP_013679613.1, XP_013713318.1, XP_013751819.1, XP_013694331.2, XP_013713618.1, XP_048622644.1, XP_013745444.1, XP_013704188.1, XP_013658588.1, XP_048624116.1, XP_048599850.1, XP_048622609.1, XP_048596406.1, XP_048613418.1, XP_013679154.1, XP_013669100.1, XP_013751556.1, XP_048626753.1, XP_048627172.1, XP_013679949.1, XP_048615586.1, XP_013699888.1, XP_048611529.1, XP_013674175.2, XP_013713721.1, XP_013669490.1, XP_048605659.1, XP_013704377.1, XP_048635045.1	Np005G298450
OG0000841	XP_013640178.1, XP_013654922.1	Np003G179810
OG0000841	XP_013689554.1	Np003G179770, Np001G010590, Np003G179760
OG0000843	XP_013674460.2, XP_013695667.2	Np001G009350
OG0000844	XP_022575577.1, XP_013750381.1, XP_013739339.2, XP_048600737.1, XP_013724130.2	Np007G413220
OG0000844	XP_048598654.1, XP_013747656.2, XP_048624353.1, XP_048607721.1, XP_013725099.2	Np003G127060
OG0000845	XP_013657003.1, XP_013706284.1	Np003G172660, Np005G281480
OG0000845	XP_013727067.1, XP_022571381.1	Np001G049170
OG0000846	NP_001303176.1, XP_013735165.2, XP_022562697.1, XP_013707700.2	Np005G263400
OG0000847	XP_013667291.2, XP_048625794.1, XP_048603256.1, XP_013700922.2, XP_013643130.2, XP_013672892.1	Np001G004290
OG0000848	XP_013735333.2, XP_013732713.1, XP_022569746.1, XP_013722755.2	Np004G258500
OG0000849	XP_013746849.1, XP_048634797.1, XP_013709936.1, XP_013751996.1	Np006G322480
OG0000849	XP_013732716.2, XP_013732715.2	Np003G188230
OG0000849	XP_022563563.1, XP_013660011.1	Np001G068010
OG0000850	XP_048620836.1, XP_048597306.1, XP_048620835.1	Np001G067070
OG0000850	XP_013741936.1, XP_013646094.2	Np001G067080
OG0000851	XP_013747807.2, XP_013691973.1	Np006G329620
OG0000852	XP_013649200.2, XP_013676965.1, XP_013735497.1, XP_013732686.1, XP_013672072.1, XP_013661126.1, XP_013733993.1, XP_013676952.1	Np005G285450
OG0000853	XP_048607005.1, XP_048607004.1, XP_013676552.2, XP_013688552.1, XP_048595206.1, XP_013688553.1, XP_022544981.2	Np003G185670
OG0000854	XP_048633763.1, XP_022556995.1, XP_013647671.3, XP_013692534.1	Np006G359130
OG0000854	XP_013716496.2, XP_013697513.2, XP_048594250.1, XP_013729511.1, XP_013711604.1, XP_013641124.2	Np004G251400
OG0000855	XP_048638604.1, XP_022553540.2, XP_013710285.2, XP_022550736.1, XP_013693304.2, XP_013742223.1	Np001G047900
OG0000855	XP_048603331.1, XP_013664554.2, XP_048629745.1, XP_013661178.2, XP_013707358.2, XP_013642907.2, XP_013721080.1	Np001G007050
OG0000857	XP_013658061.3, XP_013707079.1	Np007G379060
OG0000857	XP_013745226.2, XP_013680432.2	Np001G050010
OG0000858	XP_013669820.2, XP_013730341.2, XP_013724423.1, XP_013730349.2, XP_013751027.2	Np007G385660
OG0000858	XP_013699630.1, XP_013751026.1	Np007G385650
OG0000859	XP_048622953.1, XP_048627097.1, XP_048616249.1, XP_048616248.1	Np001G067360, Np001G067600
OG0000861	XP_048599193.1	Np006G369390
OG0000861	XP_048615672.1, XP_048628136.1, XP_048629605.1, XP_048628245.1, XP_048628132.1, XP_048628251.1, XP_048628134.1, XP_048629611.1, XP_048628145.1, XP_048628252.1, XP_048616714.1, XP_048616713.1, XP_048616715.1, XP_048616716.1, XP_048615673.1	Np005G312050
OG0000863	XP_013660283.2, XP_048630309.1, XP_048630143.1, XP_013666211.1	Np005G303640
OG0000867	XP_013716215.1, XP_048604202.1, XP_013645823.2, XP_022545155.2, XP_013645829.2	Np002G095100, Np002G095090
OG0000868	XP_013715514.1, XP_013670840.2, XP_048607779.1, XP_048624644.1, XP_048602977.1, XP_048602654.1	Np003G132270
OG0000868	XP_013747462.1, XP_048607280.1, XP_013697170.1, XP_013750103.1, XP_013711963.3	Np007G409680
OG0000869	XP_013738324.1, XP_048637952.1, XP_013724498.1, XP_013655953.1	Np001G032920, Np005G294550
OG0000870	XP_013682179.2, XP_013655112.2	Np004G211050
OG0000870	XP_048601876.1, XP_013642150.2, XP_013748509.1	Np006G343600
OG0000871	XP_013750937.2, XP_048636156.1, XP_048606001.1, XP_013735698.1	Np007G423340
OG0000871	XP_048633363.1, XP_048610719.1, XP_048615466.1, XP_022552879.2	Np005G313500
OG0000872	XP_048634359.1, XP_013723843.2, XP_048610912.1, XP_048610909.1, XP_048610913.1	Np006G356960
OG0000873	XP_048630795.1, XP_013683157.2, XP_048625011.1, XP_013745049.1, XP_013735760.2, XP_013681866.1, XP_013640642.1, XP_013660585.1, XP_013742258.2, XP_048614561.1	Np003G145930
OG0000875	XP_048629240.1, XP_048613794.1, XP_013723198.2	Np004G253090
OG0000875	XP_048612613.1	Np005G296410
OG0000875	XP_048596511.1	Np001G067240
OG0000877	XP_048616247.1, XP_048616246.1, XP_048627098.1	Np001G067350
OG0000878	XP_048633609.1, XP_013669375.1, XP_048633626.1	Np006G357950
OG0000878	XP_013650494.2, XP_013735848.1, XP_013665066.2	Np004G203060
OG0000879	XP_048613768.1, XP_013695643.2, XP_013723197.2, XP_013716280.1, XP_022564236.1, XP_013716281.2	Np004G253080
OG0000883	XP_013656172.2, XP_013666767.1, XP_013725001.2, XP_022572798.2, XP_022569992.1, XP_013648593.1	Np005G265270
OG0000883	XP_022570096.1, XP_013729691.1, XP_013750767.2, XP_013723536.1, XP_013684418.1, XP_013735787.2	Np007G419990
OG0000884	XP_048611420.1, XP_013659973.1, XP_013699708.2, XP_013652241.3, XP_048615851.1	Np002G089560
OG0000884	XP_013655160.1, XP_048626648.1, XP_048606778.1, XP_013642123.1, XP_022571531.1, XP_048592645.1, XP_022556418.1	Np004G209260
OG0000885	XP_013748595.1, XP_048612790.1, XP_013730501.2, XP_013722065.1, XP_013653374.2, XP_013666533.2	Np004G232230
OG0000885	XP_013705682.1, XP_013671668.1, XP_013750362.2	Np005G276890
OG0000886	XP_013644990.1, XP_013692216.2, XP_013712226.1, XP_013726672.1, XP_048603511.1	Np001G041930
OG0000887	XP_013734887.2, XP_048608678.1, XP_013692305.1, XP_013664038.1, XP_022553259.1	Np004G203230
OG0000887	XP_048597455.1, XP_013716852.2	Np006G321830
