Orthogroup	Brassica_napus	Capsella_rubella
OG0001847	XP_013737696.1	XP_006284156.1, XP_006286180.1
OG0001847	XP_048626430.1, XP_013737343.1, XP_048618852.1	XP_006285541.1
OG0001848	XP_013713962.1, XP_048626073.1	XP_006301719.1
OG0001848	XP_013657760.1, XP_013750791.1, XP_013716117.2, XP_013641340.1, XP_013645748.1, XP_013645722.1, XP_013640913.1	XP_023645239.1
OG0001849	XP_022565580.2, XP_013717571.2, XP_013691459.2, XP_013750838.1	XP_006301473.1
OG0001849	XP_048626037.1	XP_006301918.2
OG0001850	XP_048602906.1, XP_048628349.1, XP_013720949.1	XP_006291900.1, XP_023638407.1
OG0001850	XP_022548421.2, XP_013716891.1	XP_006284573.1
OG0001851	XP_013651858.2	XP_006282691.1
OG0001851	XP_013644648.3, XP_022543596.2, XP_013725046.2, XP_013695383.2, XP_013697931.1, XP_048628262.1, XP_013724872.2	XP_006291631.1
OG0001852	XP_013647755.2, XP_013699197.1, XP_048610752.1, NP_001302993.1	XP_023634628.1
OG0001852	XP_048595274.1, XP_048625590.1, NP_001302887.1, XP_013644508.1	XP_006291582.1
OG0001854	XP_013722426.1, XP_022545317.2, XP_022557362.2	XP_006301446.1
OG0001855	XP_022571536.1, XP_013699257.1, XP_022560969.1, XP_013722380.2	XP_006300555.1
OG0001856	XP_013644445.1, XP_013660711.2	XP_023644376.1
OG0001856	XP_013675231.2, XP_013655288.2, XP_048597766.1, XP_013708615.2	XP_006304470.1
OG0001857	XP_013741391.1	XP_006286042.1
OG0001857	XP_013685022.2, XP_013673254.1, XP_013732921.1, XP_013712724.1, XP_013667028.2	XP_006282246.1
OG0001858	XP_013668396.1, XP_048624412.1, XP_013724647.2, XP_022554194.1	XP_023636726.1
OG0001858	XP_013676541.2, XP_013640893.2	XP_006298186.1
OG0001859	XP_048600693.1, XP_013730916.1, XP_013640199.2, XP_013640213.1	XP_006297536.1
OG0001859	XP_013668180.1, XP_013729431.1	XP_006287589.1
OG0001860	XP_013715599.3	XP_006288553.1
OG0001860	XP_013729584.1, XP_013750149.1, XP_022575532.1	XP_006298418.1
OG0001861	XP_022575528.1, XP_013648173.1, XP_013736140.1, XP_013750142.1	XP_006298193.1
OG0001861	XP_013724014.1, XP_013678520.1, XP_048626715.1	XP_006288294.1
OG0001862	XP_048598521.1, XP_013670838.1	XP_006287513.1
OG0001862	XP_013646568.2, XP_013711216.1, XP_013750100.1	XP_006297466.1
OG0001863	XP_013740218.1, XP_048600137.1	XP_006283388.1
OG0001863	XP_013681219.1, XP_013640543.1, XP_022571443.2, XP_013710473.2	XP_023640477.1
OG0001864	XP_013733617.1, XP_013640718.1	XP_006281120.1
OG0001865	XP_013675663.1, XP_022544934.2, XP_013686598.1, XP_013666741.1	XP_006280058.1
OG0001865	XP_048598649.1, XP_013742747.1	XP_006285461.1
OG0001866	XP_048624584.1, XP_022548980.1, XP_022544927.2, XP_048627419.1, XP_048627189.1, XP_048603121.1	XP_006280251.2
OG0001866	XP_013742583.2, XP_013741744.2	XP_006283454.2
OG0001867	XP_022566614.1, XP_048628763.1, XP_013741538.1, XP_013706062.2, XP_022572697.2, XP_013641325.1	XP_006283565.1
OG0001868	XP_013727153.2, XP_013720817.1	XP_006286556.2
OG0001869	XP_048590939.1, XP_013643227.2	XP_023643733.1
OG0001869	XP_013678799.1, XP_048626232.1, XP_022554301.1	XP_006287181.1
OG0001870	XP_048626245.1, XP_048626254.1, XP_048602761.1	XP_023636717.1
OG0001871	XP_013723063.1, XP_048616783.1, XP_048603275.1, XP_013675432.1, XP_013710341.1, XP_013741711.1	XP_006282330.1
OG0001872	XP_048602716.1, XP_013678596.2, XP_048627677.1, XP_013680297.1, XP_013726735.2, XP_048607838.1	XP_006280475.2
OG0001873	XP_013680733.1, XP_048603456.1, XP_013680308.1, XP_013680313.2, XP_013737485.1, XP_013715306.2	XP_006299907.1, XP_006288306.1
OG0001874	XP_022569892.1, XP_013715293.2, XP_013691290.2, XP_048603378.1, XP_013668413.2, XP_048637521.1, XP_013668367.2, XP_048606709.1	XP_006290155.1
OG0001875	XP_013718884.3, XP_013730175.1, XP_013715273.2	XP_006288817.1
OG0001875	XP_013655591.1, XP_013661064.1	XP_023635732.1
OG0001876	XP_013661074.2, XP_013677615.2, XP_013705346.2, XP_013736968.1	XP_006280119.2
OG0001876	XP_048624908.1, XP_013680376.1	XP_006287282.1
OG0001877	XP_013718949.1, XP_048603108.1, XP_013746781.1, XP_013715611.2	XP_006289810.1
OG0001877	XP_013693699.3, XP_048632992.1, XP_048632993.1	XP_023633173.1
OG0001878	XP_022562704.2, XP_013737319.1, XP_013677037.2	XP_006284491.1
OG0001878	XP_013697869.2, XP_013707599.1	XP_023633064.1
OG0001879	XP_013737273.2, XP_013703801.1	XP_006283693.1
OG0001879	XP_013718705.2, XP_048616285.1, XP_013732824.2	XP_006282167.1
OG0001880	XP_013688062.1, XP_013719649.1, XP_048594680.1, XP_013655976.2, XP_048622555.1, XP_013731785.1, XP_013655978.2	XP_023635665.1, XP_023635668.1
OG0001881	XP_048605862.1, XP_048626763.1, XP_048601527.1, XP_013741407.1	XP_023633821.1, XP_006292541.1
OG0001882	XP_013671913.1, XP_013659488.2	XP_006288655.1
OG0001882	XP_013671165.1, XP_013737089.1, XP_048594726.1, XP_013730024.1	XP_023635225.1
OG0001883	XP_013662008.1, XP_013712095.1	XP_006288545.1
OG0001883	XP_013656135.1, XP_013685756.2, XP_013642970.1, XP_013664738.1	XP_006284435.1
OG0001884	XP_013677757.2, XP_013661629.2, XP_048638287.1, XP_048614067.1, XP_013749553.2, XP_013641533.2	XP_023645183.1
OG0001884	XP_022567387.1, XP_013648533.2	XP_023642853.1
OG0001885	XP_013715121.2, XP_013707567.1, XP_048616849.1, XP_013662247.1	XP_006306983.1
OG0001885	XP_048624564.1, XP_013691455.2, XP_022552653.1, XP_013695270.2	XP_006286418.1
OG0001886	XP_048614636.1, XP_048636288.1, XP_048594463.1	XP_006304719.1
OG0001886	XP_048631965.1, XP_022554987.2	XP_006287300.2
OG0001887	XP_048631934.1, XP_048631937.1, XP_048631932.1, XP_048631933.1, XP_048606877.1, XP_048606878.1	XP_006287379.1, XP_023638637.1
OG0001888	XP_048634403.1, XP_022556325.1	XP_006295511.1
OG0001889	XP_013680216.2, XP_013695803.2, XP_013652965.1	XP_006297195.1
OG0001889	XP_013739904.2, XP_013747019.1	XP_023634767.1
OG0001890	XP_048627737.1, XP_013656573.1	XP_006285086.1
OG0001890	XP_013732886.1, XP_013669467.2, XP_048608929.1, XP_022555723.1, XP_048627728.1	XP_006284001.1
OG0001891	XP_048619094.1, XP_048619648.1, XP_013671576.2, XP_013741545.1	XP_006282856.2
OG0001891	XP_048613926.1, XP_048590908.1	XP_006303653.1
OG0001892	XP_013644994.1, XP_013653656.2, XP_013667121.1, XP_048615374.1	XP_006280020.1
OG0001892	XP_022568191.1, XP_013653218.2	XP_023633095.1
OG0001893	XP_048631980.1, XP_013684078.2	XP_006288068.1
OG0001894	XP_013686059.1, XP_048609377.1, XP_013716900.2, XP_013734558.2, XP_013687702.1, XP_013744822.1	XP_006295052.1
OG0001895	XP_013705313.3, XP_048637336.1, XP_013714145.1	XP_023641049.1, XP_006280829.1
OG0001896	XP_013732885.2, XP_013675693.2, XP_048628645.1, XP_013667464.1, XP_013685253.1, XP_048621673.1	XP_023634585.1
OG0001897	XP_013680231.1, XP_048631101.1, XP_013687443.2, XP_013686437.1, XP_013651386.1, XP_013695613.1, XP_013695607.1, XP_013653535.1	XP_006284571.2
OG0001898	XP_048593069.1, XP_013641971.2, XP_048635195.1, XP_013696874.2	XP_006300270.2
OG0001898	XP_013668466.1, XP_013658974.2	XP_023635256.1
OG0001899	XP_013749976.1, XP_048636865.1, XP_048629610.1, XP_013707807.1	XP_006284407.1
OG0001899	XP_022553407.2	XP_006298398.1
OG0001900	XP_013743468.1, XP_048612167.1, XP_048616966.1, XP_048592923.1	XP_006283231.1
OG0001901	XP_022558880.2, XP_048635568.1, XP_013655453.2, XP_013649069.2	XP_006293559.1
OG0001901	XP_013710758.1, XP_013716731.2	XP_006292696.1
OG0001902	XP_013648493.1, XP_013712402.1, XP_013663947.2	XP_023638997.1
OG0001902	XP_013751989.1, XP_013690489.2	XP_006294290.1
OG0001903	XP_013707740.2, XP_013688082.1	XP_006290271.1
OG0001903	XP_013734791.2, XP_048631800.1, XP_048593031.1, XP_013728382.1	XP_006295629.1
OG0001904	XP_013666706.2	XP_006295342.1
OG0001905	XP_048616939.1, XP_013648275.2, XP_013663829.2, XP_022563986.2, XP_013742081.3	XP_023638841.1
OG0001905	XP_022554886.1	XP_006294247.1
OG0001906	XP_048620756.1, XP_013663742.1, XP_048591603.1, XP_013733228.1, XP_013742104.1	XP_023638736.1
OG0001906	XP_048609308.1, XP_048611212.1, XP_013690898.2	XP_023640633.1
OG0001907	XP_013724850.1, XP_013727074.1, XP_048633013.1, XP_013669163.1	XP_006290391.1
OG0001907	XP_013711121.1, XP_013711120.1, XP_013722098.2, XP_048631098.1	XP_023643539.1
OG0001909	XP_048613618.1, XP_013666364.2	XP_006303137.2
OG0001910	XP_013642643.1, XP_013731445.1, XP_013735453.2, XP_013673307.1	XP_006286575.1
OG0001910	XP_013664854.2	XP_006305692.1
OG0001911	XP_013659387.1, XP_013740952.1	XP_006282000.1
OG0001911	XP_013695096.2, XP_013665631.2	XP_006305893.1
OG0001912	XP_013698114.1, XP_048634348.1	XP_006293867.1
OG0001912	XP_048594292.1, XP_048621781.1, XP_022559534.1, XP_013666674.1	XP_023633266.1
OG0001913	XP_013660599.1, XP_048594278.1	XP_023645715.1
OG0001913	XP_013726229.1	XP_023640042.1
OG0001914	XP_048624549.1, XP_048596355.1	XP_023640389.1, XP_006296436.2, XP_006295811.2
OG0001915	XP_013747192.2, XP_048609975.1, XP_048610236.1, XP_013748758.2	XP_023640475.1
OG0001915	XP_013665675.2, XP_013696065.1	XP_006307566.2
OG0001916	XP_048597869.1, NP_001303041.1	XP_023645794.1
OG0001917	XP_013674790.2, XP_048633778.1, XP_013701213.2, XP_013651815.1	XP_006296346.2
OG0001918	XP_048608778.1, XP_013681286.2	XP_006291236.1, XP_023640292.1
OG0001919	XP_013740163.1, XP_013714082.1	XP_006289256.1
OG0001919	XP_048636278.1, XP_013729775.2, XP_013684265.1, XP_013735625.2	XP_006299049.1
OG0001920	XP_048626258.1, XP_013719865.2, XP_013649843.2	XP_006286577.1
OG0001920	XP_013682556.2, XP_013661919.2, XP_048614248.1, XP_048614253.1, XP_013750932.2	XP_006298548.2
OG0001921	XP_013729629.2, XP_048626748.1	XP_006288374.1
OG0001921	XP_048606026.1, XP_013735727.1, XP_048614245.1, XP_048636162.1	XP_006299282.2
OG0001922	XP_013677647.2, XP_048631387.1	XP_023642112.1
OG0001922	XP_022552954.1, XP_022558162.1, XP_048629344.1, XP_013660824.2, XP_022569937.1	XP_006286743.1
OG0001923	XP_022554824.2, XP_048636456.1, XP_048609409.1	XP_023640109.1
OG0001923	XP_013686490.2, XP_013647988.2	XP_023638526.1
OG0001924	XP_022560477.1, XP_022544630.2	XP_006290499.1
OG0001924	XP_048609257.1, XP_048636516.1, XP_048636515.1, XP_048634512.1, XP_048611050.1	XP_006293441.1
OG0001925	XP_013744793.1, XP_013698699.1, XP_048636495.1, XP_048610018.1, XP_048631666.1, XP_048608510.1	XP_006295789.1
OG0001925	XP_013710878.1, XP_013711035.1	XP_006292134.1
OG0001926	XP_013702054.1, XP_048634556.1, XP_013725557.1, XP_048628396.1, XP_048636487.1	XP_006294150.1
OG0001926	XP_013737127.2, XP_048632715.1	XP_023638829.1
OG0001927	XP_048617605.1, XP_013727007.2	XP_023642969.1
OG0001927	XP_048614086.1, XP_013641480.1, NP_001302829.1, XP_013710700.2, XP_048621175.1, XP_048621174.1, XP_048594125.1, XP_013699622.1	XP_006306837.1
OG0001928	XP_013652083.2, XP_013674768.2	XP_006302546.1
OG0001928	XP_013712171.1, XP_048597625.1, XP_013744554.1, XP_013641588.1	XP_023645140.1
OG0001929	XP_013702550.1, XP_013649601.1, XP_013676621.1, XP_013695475.1, XP_013701423.1, XP_013701424.2	XP_006302831.1
OG0001930	XP_013723325.1, XP_048638402.1	XP_006307492.1
OG0001930	XP_013649764.1, XP_048617382.1, XP_048617388.1, XP_013702469.1	XP_023642963.1
OG0001931	NP_001303170.1, XP_013700628.1	XP_006302109.1
OG0001931	NP_001302905.1, XP_048627878.1, XP_013664631.1, XP_022553314.2, XP_013715645.2	XP_006307186.1
OG0001932	XP_013737958.2, XP_013746606.1, XP_013696537.1, XP_013641894.1	XP_006305906.1
OG0001932	XP_022568921.1	XP_006301214.2
OG0001933	XP_013646844.1	XP_006303434.2
OG0001933	XP_013648725.1, XP_048617464.1, XP_013650092.1, XP_013648739.1, XP_013672298.1, XP_013693751.1	XP_006300355.2
OG0001934	XP_013752337.2, XP_048612780.1	XP_006304513.1
OG0001934	XP_048615980.1, XP_013699438.2	XP_006301018.1
OG0001935	XP_013738218.1, XP_013697574.2	XP_006305759.1
OG0001935	XP_013743681.1, XP_048591822.1, XP_048617282.1, XP_013702793.1	XP_006301002.1
OG0001936	XP_048593665.1, XP_048593667.1	XP_006283271.1
OG0001936	XP_013654606.1	XP_006301577.1
OG0001937	XP_022546723.1	XP_006305472.2
OG0001937	XP_013731549.1, XP_013731547.1, XP_013690129.2, XP_013649381.1, XP_013702291.1	XP_006302737.1
OG0001938	XP_013657009.1, XP_022545909.1, XP_013662538.1, XP_048615008.1	XP_023645439.1
OG0001938	XP_013695506.2, XP_013659649.1	XP_006305227.1
OG0001939	XP_013743528.1, XP_013717051.2, XP_048597501.1, XP_048621042.1	XP_006293690.1
OG0001939	XP_013746809.1, XP_013735586.1	XP_006286207.1
OG0001940	XP_013672657.2	XP_023646000.1
OG0001940	XP_013660771.2, XP_048625610.1, XP_013644287.3, XP_022561120.1	XP_006287565.2
OG0001941	XP_013727715.2	XP_006289574.1
OG0001942	XP_048618676.1	XP_006300161.1
OG0001943	XP_013648189.1, XP_013644762.1, XP_013646471.1	XP_006297206.1
OG0001944	XP_013648183.1, XP_048608936.1, XP_048635922.1, XP_048615215.1	XP_006299389.1
OG0001944	XP_048602648.1, XP_013718862.2	XP_006289833.2
OG0001945	XP_048632585.1, XP_048600311.1	XP_023638018.1
OG0001946	XP_013744968.2, XP_013744980.1, XP_013727038.2, XP_013642449.2	XP_006291566.1
OG0001946	XP_022561266.1, XP_013643489.2	XP_006289641.1
OG0001947	XP_013741107.1	XP_023638896.1
OG0001948	XP_013642728.1, XP_013721251.2	XP_006292804.1
OG0001948	XP_048605694.1, XP_013723534.1, XP_013667203.2, XP_013734954.1, XP_013715837.2, XP_013682232.1	XP_006286717.1
OG0001949	XP_048599056.1, XP_048623369.1	XP_006286914.1
OG0001949	XP_048622110.1, XP_013655818.2	XP_006281920.1
OG0001950	XP_048635829.1, XP_013745899.1, XP_013686361.2	XP_006299984.1
OG0001950	XP_048616468.1, XP_013640395.1	XP_023645888.1
OG0001951	XP_013684855.1, XP_013736284.1, XP_013719684.1, XP_048635786.1, XP_013693414.1	XP_006298046.1
OG0001951	XP_048628179.1, XP_013749000.2, XP_013732844.2	XP_006305251.1
OG0001952	XP_013655727.1, XP_013721108.2	XP_006285658.2
OG0001952	XP_013751633.2, XP_048612833.1	XP_006298197.1
OG0001952	XP_013653356.1, XP_013736344.2	XP_006302739.1
OG0001953	XP_048635535.1, XP_013724532.2, XP_013714421.1	XP_006297641.1
OG0001953	XP_013749107.2, XP_048635137.1, XP_013735866.2, XP_013715086.1	XP_006307323.1
OG0001954	XP_013728202.2, XP_048607899.1	XP_006288291.1
OG0001954	XP_013731926.1, XP_013678570.1, XP_013697853.1, XP_022575274.1, XP_048630331.1	XP_006298010.2
OG0001955	NP_001303061.1, XP_048636949.1, XP_013726844.2, XP_013655546.1, XP_013723606.2, XP_013702768.1, XP_048637753.1	XP_006307333.1
OG0001957	XP_013744548.2, XP_013729051.1, XP_013692700.2, XP_048636629.1	XP_006293359.1
OG0001957	XP_013707293.1, XP_013662459.1	XP_006306764.1
OG0001958	XP_013736701.1, XP_013733404.1	XP_006299028.1, XP_006298709.1, XP_023642278.1, XP_006298712.1
OG0001959	XP_013701577.1, XP_022568212.1, XP_013742095.1	XP_006290706.1
OG0001959	XP_048611231.1	XP_006293210.1, XP_006292274.1, XP_006292821.1
OG0001960	XP_022561151.1	XP_023642632.1, XP_006299306.2
OG0001960	XP_013698679.1, XP_013640582.1	XP_023645424.1
OG0001961	XP_013684968.1, XP_022555311.2, XP_048628657.1, XP_048635343.1, XP_048612636.1	XP_023641459.1
OG0001961	XP_013702182.1, XP_013676191.1, XP_022563815.2, XP_013702108.1	XP_023645131.1
OG0001962	XP_013716204.2	XP_006306633.2
OG0001963	XP_013684153.2, XP_048632947.1, XP_048607018.1, XP_048607013.1, XP_013735417.2, XP_048607017.1, XP_013722897.2, XP_048595187.1	XP_023636386.1
OG0001967	XP_022546427.1, XP_048601367.1, XP_048637606.1	XP_006285884.2, XP_023644091.1, XP_023642565.1
OG0001967	XP_048607742.1	XP_006282517.1
OG0001971	XP_013685593.1, XP_013661489.1, XP_048637517.1, XP_013670831.1	XP_006284503.1
OG0001971	XP_013742379.1, XP_013744425.1	XP_006298305.2
OG0001972	XP_013688631.1, XP_013684413.3	XP_023634503.1
OG0001972	XP_048595606.1, XP_048625852.1, XP_013675640.1, XP_013652842.1	XP_006297532.1
OG0001973	XP_048601248.1, XP_013677918.2	XP_023634910.1
OG0001973	XP_048633647.1, XP_013747024.2, XP_013708679.2, XP_048597428.1	XP_006294501.1
OG0001974	XP_013745939.2, XP_013743879.2, XP_048597421.1, XP_013659072.1	XP_023640985.1
OG0001974	XP_048594868.1, XP_013650195.2, XP_013670783.1	XP_023635167.1
OG0001975	XP_013735194.1, XP_048601139.1, XP_048619288.1, XP_013738425.1, XP_013701742.2, XP_013656245.2	XP_023634640.1
OG0001976	XP_013718047.2, XP_013665730.2, XP_013665980.2, XP_013669731.2	XP_006284811.1
OG0001976	XP_013740108.1, XP_013741200.2	XP_006299025.1
OG0001977	XP_013660534.3, XP_048634450.1, XP_013686600.2, XP_048630465.1, XP_048630065.1	XP_006294010.1
OG0001977	XP_013671558.2, XP_013691413.1	XP_006282902.1
OG0001978	XP_013655262.1, XP_013752546.1, XP_013696067.1, XP_013676179.1, XP_013710649.1, XP_022563175.2	XP_006305987.1
OG0001979	XP_013660327.2, XP_022561093.1, XP_013714799.1, XP_013687355.1	XP_023637917.1
OG0001979	XP_013657387.1, XP_013677788.1	XP_006305549.1
OG0001980	XP_013734736.1, XP_048626287.1, XP_013692338.2	XP_023638450.1
OG0001980	XP_013696628.1, XP_013641267.2	XP_006304598.1
OG0001981	XP_013692962.1, XP_013707830.1, XP_013641240.2, XP_013693046.1, XP_013657334.1, XP_013677833.2	XP_006305519.1
OG0001982	XP_013647516.2, XP_048618030.1	XP_006292498.1
OG0001982	XP_013696389.1, XP_048638178.1	XP_006303346.1
OG0001983	XP_013644675.1, XP_013672557.1, XP_013698149.1	XP_006291007.1
OG0001983	XP_022570879.2, XP_013687063.1	XP_023634440.1
OG0001984	XP_013708365.1, XP_048595257.1	XP_006290916.1
OG0001984	XP_013647788.2	XP_006282586.1
OG0001985	XP_013671752.1, XP_013742629.2, XP_022563879.1, XP_013677875.2, XP_048597760.1, XP_013708265.2	XP_006304921.1
OG0001986	XP_013742994.2, XP_013698865.1, XP_048620678.1, XP_013663390.2	XP_006291246.1
OG0001986	XP_013752092.2, XP_013690806.1	XP_023640999.1
OG0001987	XP_013721526.1, XP_048624190.1	XP_006287130.2
OG0001987	XP_013750288.2, XP_048615252.1, XP_013672803.1	XP_006297063.1
OG0001988	XP_048626714.1, XP_013678521.2, XP_013719048.1, XP_048629301.1, XP_013715200.2, XP_013728528.1, XP_013724003.1	XP_006288285.1
OG0001989	XP_013750129.3, XP_022559191.2, XP_013651950.2, XP_022555208.1	XP_006297179.1
OG0001990	XP_013730833.2, XP_022548972.2, XP_013714785.1	XP_023643854.1
OG0001990	XP_013742924.1, XP_013671594.1	XP_023634672.1
OG0001991	XP_013717239.1, XP_022563852.1, XP_022566165.1, XP_048598804.1, XP_048629402.1	XP_006281866.1
OG0001991	XP_048598560.1, XP_048600232.1	XP_006282772.1
OG0001992	XP_013724486.1, XP_013741833.2	XP_006283320.1
OG0001992	XP_013745078.1, XP_048598819.1, XP_013685491.1, XP_013676169.1	XP_006279481.1
OG0001993	XP_048598832.1, XP_048623088.1, XP_048629159.1, XP_013682727.2	XP_006280844.1
OG0001993	XP_013705456.1, XP_013741063.1, XP_013742206.1	XP_023633674.1
OG0001994	XP_048598897.1, XP_048598900.1, XP_013667071.1, XP_013696435.1, XP_013725396.2, XP_048606765.1	XP_006280918.1
OG0001994	XP_013739894.2, XP_013641323.1	XP_006284247.1
OG0001995	XP_013668011.2, XP_022565430.1	XP_023636375.1
OG0001995	XP_013663188.1, XP_048599096.1	XP_023636646.1
OG0001996	XP_048598347.1, XP_048625229.1, XP_013740120.2, XP_013653791.2, XP_013726077.2	XP_006286517.1
OG0001996	XP_048617900.1	XP_006286838.1
OG0001997	XP_013737495.1, XP_013715662.2, XP_013678503.1, XP_013680722.2	XP_006298004.1
OG0001997	XP_013688349.1, XP_013743634.2	XP_023640727.1
OG0001998	XP_013737483.1, XP_013715665.2	XP_023637163.1
OG0001998	XP_013643170.1, XP_013722836.1, XP_048616581.1, XP_013643056.2	XP_006280854.1
OG0001999	XP_013715421.2, XP_013746769.1	XP_006289110.1
OG0001999	XP_048632679.1, XP_013706018.1	XP_006280691.1
OG0002000	XP_013678260.1, XP_013727969.1, XP_048627935.1, XP_013718221.2, XP_013642819.2, XP_048595425.1, XP_013749374.1	XP_023641833.1
OG0002001	XP_022572552.2, XP_013706393.2	XP_006279855.1
OG0002001	XP_048638062.1, XP_048601415.1	XP_006283348.1
OG0002002	XP_013737510.1, XP_048629244.1, XP_013717397.2	XP_023633872.1
OG0002003	XP_013656126.2, XP_048607386.1, XP_013662118.2, XP_013734022.2	XP_006283166.1
OG0002003	XP_013735490.2, XP_048606959.1	XP_006287117.1
OG0002004	XP_013713071.2, XP_013662166.2, XP_048632011.1, XP_048606935.1	XP_023636859.1
OG0002004	XP_022572562.2, XP_048618671.1	XP_006282633.1
OG0002005	XP_048606919.1, XP_013740851.1	XP_006288279.1
OG0002005	XP_013738723.2, XP_048597258.1, XP_048619016.1, XP_013735062.2	XP_006284039.1
OG0002006	XP_048597272.1, NP_001302548.1	XP_023635050.1
OG0002006	XP_048604592.1, XP_013694697.2, XP_013718606.2, XP_013669542.1	XP_006290076.1
OG0002007	XP_048604159.1, XP_048612900.1	XP_006289162.1
OG0002007	XP_013670469.1, XP_013669923.2, XP_022550424.2, XP_013740730.1, XP_013705486.1	XP_006285191.1
OG0002008	XP_013684079.2, XP_013735557.2	XP_023636304.1, XP_006286720.1
OG0002008	XP_048594978.1, XP_013671829.1	XP_023633080.1
OG0002009	XP_013639895.2	XP_023632739.1, XP_023632869.1, XP_023632885.1, XP_023632905.1
OG0002011	XP_048593890.1, XP_013656895.2, XP_022562713.2, XP_048614875.1, XP_048596043.1	XP_006306891.1
OG0002011	XP_048634410.1, XP_048610954.1	XP_006296011.1
OG0002012	XP_048593247.1, XP_013686083.1	XP_006297706.1
OG0002012	XP_013640240.2, XP_013645783.1, XP_048619345.1, XP_048622853.1	XP_006282613.1
OG0002013	XP_013697046.1, XP_013659269.2, XP_048607163.1, XP_013643355.2	XP_006297733.1
OG0002013	XP_022561621.1, XP_013748841.2	XP_006283761.1
OG0002014	XP_048628156.1, XP_048601042.1, XP_048634451.1, XP_048619352.1, XP_013748876.1	XP_006282626.1
OG0002014	XP_022561560.2, XP_048595579.1	XP_023641877.1
OG0002015	XP_013738972.1	XP_023642707.1
OG0002015	XP_013685622.2, XP_048607309.1, XP_013738908.1, XP_013656625.2, XP_013706129.2, XP_048601001.1	XP_006284599.1
OG0002016	XP_013712279.2, XP_013666854.1	XP_006294199.1
OG0002017	XP_013732015.1, XP_013736390.2	XP_006284843.1
OG0002017	XP_013709950.1, XP_013718417.1	XP_006295324.1
OG0002018	XP_048612238.1	XP_006295846.1
OG0002018	XP_013702950.1, XP_013656689.2, XP_013703367.1, XP_013644926.3, XP_013664997.2, XP_013735621.3	XP_006285865.1
OG0002020	XP_013714901.1, XP_022547281.1, XP_022559696.1, XP_048615596.1	XP_023643455.1
OG0002021	XP_013703902.2, XP_013741446.1, XP_013712470.2, XP_013738856.1	XP_006284035.1
OG0002021	XP_013718553.1, XP_013736832.1	XP_006288064.1
OG0002022	XP_013744038.2, XP_013698099.2	XP_006304239.1
OG0002022	XP_013692970.1, XP_048596611.1, XP_013662904.1	XP_006281117.2
OG0002023	XP_022572319.2, XP_013736558.3, XP_013749208.2, XP_022568660.1	XP_006297606.1
OG0002023	NP_001303004.1, XP_048601862.1	XP_006283697.1
OG0002024	XP_013668451.1, XP_013664785.2	XP_006283147.1
OG0002024	XP_048629980.1, XP_013647902.2, XP_013714331.3, XP_013751485.1, XP_022550838.2	XP_006297023.1
OG0002025	XP_013744046.2, XP_013698227.1	XP_023640852.1
OG0002026	XP_013666718.2, XP_013688072.2, XP_013752138.2	XP_006295631.1
OG0002026	XP_022574199.2, XP_022568956.2, XP_013742056.1	XP_023638716.1
OG0002027	XP_048616833.1, XP_048593016.1, XP_048620704.1, XP_013748982.1	XP_006290540.1
OG0002027	XP_013687821.3, XP_048634643.1	XP_023639504.1
OG0002028	XP_013641312.2, XP_048590747.1	XP_006292887.1
OG0002028	XP_013667134.2, XP_048623280.1, XP_013681256.2, XP_022551591.2	XP_006279992.1
OG0002029	XP_013693327.1, XP_013693253.1, XP_013666325.1	XP_006305674.1
OG0002029	XP_013684350.1, XP_013735325.2	XP_006288718.1
OG0002030	XP_048607030.1, XP_048632060.1, XP_048595176.1	XP_023637045.1
OG0002030	XP_013719235.2, XP_013697598.1	XP_006305432.1
OG0002031	XP_013666462.1, XP_022547252.1, XP_013720523.1, XP_013660286.1	XP_006295192.1
OG0002032	XP_013674626.1, XP_022575998.2	XP_006295925.1
OG0002032	XP_048613744.1, XP_048599406.1	XP_006305175.1
OG0002033	XP_013716242.1, XP_048621425.1	XP_006306104.1
OG0002033	XP_048633840.1, XP_048609935.1, XP_048636792.1, XP_022557981.1	XP_006295643.1
OG0002034	XP_013716272.2, XP_048621397.1	XP_006306790.1
OG0002034	XP_013744176.2, XP_048609256.1, XP_048610435.1, XP_013647711.2	XP_023640987.1
OG0002035	XP_013697126.1	XP_006281421.1
OG0002036	XP_013667796.2, XP_013720858.1, XP_013728495.1, XP_013729533.1	XP_023637264.1
OG0002036	XP_048601998.1, XP_048633258.1	XP_023642267.1
OG0002037	XP_013658411.2, XP_048617056.1, XP_013720872.1, XP_013665449.1	XP_006288146.1
OG0002037	XP_048633251.1, XP_013700389.2	XP_006297779.1
OG0002038	XP_048602156.1, XP_013686825.1, XP_013653355.1, XP_048632438.1, XP_022576089.1, XP_013696147.2	XP_006298694.1
OG0002039	XP_022556651.1, XP_013742358.1	XP_006291661.2
OG0002039	XP_048636440.1, XP_048609382.1	XP_006295433.1
OG0002040	XP_013698001.1, XP_013684785.1, XP_022553267.2, XP_013750004.1, XP_013663105.1, XP_013663242.1	XP_006290896.1
OG0002041	XP_013647922.1, XP_013640119.1	XP_006292137.1
OG0002043	XP_013673750.1, XP_013641519.2	XP_006280359.1
OG0002043	XP_048616589.1, XP_013733399.2, XP_013719984.2, XP_048621640.1, XP_013655574.2	XP_006307324.1
OG0002044	XP_013701813.1, XP_013682899.2, XP_013749936.2, XP_013641493.2	XP_006307012.1
