Orthogroup	Brassica_napus	Conringia_planisiliqua
OG0000525	XP_013640606.1, XP_013748860.2, XP_048627148.1, XP_048628193.1, XP_048616664.1	CP7_g46271_DN3_SP8_c.t1
OG0000526	XP_013708822.1, XP_022560412.1, XP_048638613.1, XP_048606746.1	CP3_g14619_DN3_SP2_c.t1
OG0000526	XP_013646330.2, XP_013705541.1	CP3_g14625_DN3_SP0_c.t1
OG0000526	XP_013642631.2, XP_048606745.1	CP3_g14624_DN3_SP1_c.t1
OG0000526	XP_013645577.2	CP3_g14620_DN3_SP0_c.t1
OG0000529	XP_013724005.1, XP_013665876.2	CP8_g54145_DN2_SP0_c.t1
OG0000529	XP_013723995.1, XP_013665314.2	CP8_g54144_DN3_SP0_c.t1
OG0000531	XP_048600019.1, XP_048600020.1, XP_013650429.2	CP22_g17445_DN2_SP0_c.t1, CP20_g4059_DN3_SP0_c.t1, CP36_g50954_DN1_SP0_c.t1, CP20_g3940_DN3_SP0_c.t1, CP18_g11583_DN3_SP0_c.t1
OG0000532	XP_048599994.1, XP_048634916.1	CP16_g54799_DN2_SP0_c.t1
OG0000533	XP_013660946.2	CP5_g103_DN3_SP7_c.t1
OG0000533	XP_022570173.1, XP_013743536.1	CP16_g54787_DN3_SP2_c.t1
OG0000533	XP_013702066.1, XP_048632620.1	CP10_g43978_DN3_SP7_c.t1
OG0000534	XP_013652581.2, XP_022571580.1	CP9_g28179_DN3_SP0_c.t1
OG0000534	XP_013652254.2, XP_022563269.2, XP_048595746.1, XP_013708890.1, XP_013668711.1	CP2_g49060_DN3_SP0_c.t1, CP16_g54944_DN3_SP0_c.t1
OG0000535	XP_048592156.1, XP_013718722.1	CP2_g49181_DN3_SP0_c.t1
OG0000535	XP_013713867.1, XP_013690468.1	CP13_g19595_DN2_SP6_c.t1
OG0000536	XP_013679139.2, XP_048609722.1, XP_048596677.1, XP_048622647.1, XP_048628423.1, XP_022565186.1, XP_048613526.1, XP_048591044.1, XP_048613716.1, XP_048632904.1, XP_048634669.1, XP_048628424.1, XP_048635295.1, XP_048597588.1, XP_048593765.1	CP1_g39973_DN3_SP0_c.t1, CP8_g52921_DN2_SP0_c.t1, CP6_g9644_DN3_SP0_c.t1, CP92_g51797_DN3_SP0_c.t1
OG0000537	XP_013740806.1, XP_013727770.2, XP_013691213.1, XP_013685763.2	CP11_g31965_DN3_SP0_c.t1
OG0000537	XP_048593643.1, XP_013710657.2	CP6_g8774_DN3_SP0_c.t1
OG0000538	NP_001302855.1	CP4_g24368_DN3_SP3_c.t1
OG0000538	XP_013687998.1, XP_013725442.2	CP4_g24370_DN3_SP0_c.t1
OG0000538	XP_013699190.2	CP4_g25205_DN3_SP0_c.t1
OG0000539	XP_013677212.1, XP_048631507.1, XP_013702162.1	CP2_g47512_DN3_SP3_c.t1
OG0000539	XP_048633794.1, XP_048609878.1, XP_013744226.2	CP4_g25820_DN3_SP2_c.t1
OG0000539	XP_048636852.1, XP_013748928.2, XP_048636851.1	CP4_g25810_DN3_SP1_c.t1
OG0000542	XP_022567500.2, XP_048607939.1, XP_048602357.1, XP_013649854.1, XP_022566171.1, XP_013667605.1	CP11_g32359_DN3_SP8_c.t1
OG0000542	XP_013682570.1, XP_048595662.1, XP_013661462.2, XP_048626822.1, XP_048614259.1, XP_013735701.1, XP_048606004.1	CP10_g42251_DN3_SP7_c.t1
OG0000543	XP_013658847.2, XP_013657913.1	CP16_g55132_DN2_SP0_c.t1, CP16_g55123_DN2_SP0_c.t1
OG0000544	XP_013679773.1, XP_013665650.2, XP_048613735.1, XP_013716335.2, XP_022548689.2, XP_013665651.2	CP1_g36550_DN3_SP1_c.t1
OG0000544	XP_013716354.2, XP_048594297.1, XP_048622009.1, XP_022573300.2, XP_013695938.3	CP1_g36551_DN3_SP0_c.t1
OG0000545	XP_013652448.1, XP_013701262.1, XP_013681782.1	CP9_g29141_DN3_SP2_c.t1
OG0000545	XP_013648888.2	CP9_g29139_DN3_SP0_c.t1
OG0000545	XP_013702947.1	CP9_g29140_DN3_SP1_c.t1
OG0000546	XP_013675084.2	CP10_g43853_DN3_SP0_c.t1
OG0000546	XP_048593279.1, XP_048619549.1	CP10_g43854_DN3_SP0_c.t1
OG0000546	XP_048607145.1, XP_022573409.1	CP10_g43856_DN3_SP0_c.t1
OG0000546	XP_013724890.1, XP_048619737.1	CP10_g43855_DN3_SP0_c.t1
OG0000550	XP_048616462.1	CP7_g46311_DN2_SP0_c.t1
OG0000551	XP_048606620.1, XP_013643123.1, XP_013700891.1, XP_048616675.1, XP_013678371.2, NP_001302956.1, XP_013701472.1	CP2_g47824_DN3_SP8_c.t1
OG0000551	XP_013735764.2, NP_001302952.1	CP5_g116_DN3_SP8_c.t1
OG0000551	XP_013680298.1, XP_048607836.1, XP_048625238.1	CP11_g32945_DN3_SP8_c.t1
OG0000552	XP_048596913.1, XP_013653335.2, XP_013695282.2	CP7_g45441_DN3_SP0_c.t1
OG0000552	XP_048609821.1, XP_013648509.1, XP_013663954.1, XP_013749457.1, XP_022573549.2	CP3_g13164_DN3_SP0_c.t1
OG0000555	XP_048604706.1, XP_022563394.1, XP_048624282.1, XP_022546451.2	CP20_g4426_DN2_SP0_c.t1
OG0000555	XP_013658347.2	CP20_g4428_DN3_SP0_c.t1
OG0000555	XP_013663797.1	CP1_g37314_DN2_SP0_c.t1
OG0000556	XP_013724398.2, XP_013644342.1, XP_013677961.1, XP_013699541.1, XP_013644184.1, XP_013660748.1	CP2_g48751_DN3_SP8_c.t1
OG0000556	XP_013731140.1, XP_013731705.1	CP12_g30872_DN3_SP8_c.t1
OG0000557	XP_013746361.1, XP_013691341.2, XP_013711862.1, XP_013710619.1	CP3_g13362_DN3_SP0_c.t1
OG0000557	XP_013752140.1, XP_013691234.2	CP4_g24247_DN3_SP0_c.t1
OG0000558	XP_013645706.1, XP_013679339.1, XP_048608363.1, XP_013738942.1, XP_048630434.1	CP4_g25740_DN3_SP0_c.t1, CP18_g12479_DN2_SP0_c.t1, CP6_g6993_DN3_SP0_c.t1
OG0000558	XP_048636777.1, XP_013751305.2, XP_013751312.2	CP4_g25639_DN3_SP0_c.t1, CP4_g26841_DN1_SP0_c.t1
OG0000559	XP_013668310.2, XP_013707312.1	CP11_g33591_DN3_SP1_c.t1
OG0000559	XP_048595878.1, XP_048623406.1, XP_048595876.1	CP2_g49571_DN1_SP0_c.t1, CP13_g19301_DN3_SP0_c.t1, CP2_g49575_DN3_SP0_c.t1
OG0000559	XP_048624185.1	CP11_g33603_DN3_SP0_c.t1
OG0000561	XP_048630047.1, XP_048603266.1, XP_013678382.1	CP2_g47792_DN3_SP0_c.t1
OG0000562	XP_013684484.1, XP_022572219.2, XP_048615385.1, XP_013725449.2	CP10_g42579_DN3_SP8_c.t1
OG0000562	XP_013727944.1, XP_013714384.1	CP11_g32503_DN3_SP8_c.t1
OG0000562	XP_013643968.1, XP_013643800.1, XP_013737444.2, XP_013660836.2	CP2_g48551_DN3_SP8_c.t1
OG0000563	XP_048614119.1	CP6_g7342_DN3_SP0_c.t1
OG0000563	XP_022570888.1, XP_048617661.1, XP_013640728.2, XP_048616397.1, XP_048617662.1, XP_048617652.1, XP_013684791.2, XP_013702787.2, XP_013640872.2, XP_013687381.2	CP5_g1770_DN3_SP0_c.t1, CP5_g1776_DN2_SP0_c.t1, CP5_g1761_DN2_SP0_c.t1
OG0000564	XP_022574381.1, XP_048611943.1	CP16_g55169_DN3_SP0_c.t1
OG0000566	XP_013721942.2, XP_013721892.2, XP_048623374.1, XP_048599059.1	CP8_g54288_DN3_SP0_c.t1, CP8_g54270_DN2_SP0_c.t1
OG0000568	XP_013652093.2, XP_048635132.1, XP_013700698.1, XP_022560612.2, XP_048616158.1, XP_022550066.2	CP1_g39148_DN3_SP0_c.t1, CP6_g8314_DN2_SP0_c.t1
OG0000569	XP_013658317.2, XP_013747302.2, XP_013658316.1	CP4_g25218_DN3_SP0_c.t1
OG0000569	XP_013752204.2, XP_022575974.2, XP_048609455.1	CP4_g24895_DN3_SP0_c.t1
OG0000570	XP_048636257.1, XP_013700324.1, XP_048614076.1, XP_013750964.1, XP_048602029.1	CP10_g42201_DN3_SP8_c.t1
OG0000570	XP_013735665.1, XP_013684215.1	CP11_g32419_DN3_SP6_c.t1
OG0000571	XP_013665864.1, XP_013705620.1	CP8_g54099_DN3_SP8_c.t1
OG0000571	XP_013729508.1, XP_013655311.2	CP1_g37089_DN3_SP8_c.t1, CP1_g37090_DN3_SP2_c.t1
OG0000572	XP_022553524.2	CP3_g14806_DN3_SP0_c.t1, CP3_g15404_DN3_SP0_c.t1
OG0000572	XP_013743943.2, XP_048591759.1, XP_048591760.1, XP_048615996.1	CP6_g6955_DN3_SP0_c.t1
OG0000572	XP_013702265.1, XP_013649650.1	CP9_g28994_DN3_SP0_c.t1
OG0000573	XP_048626048.1, XP_013652392.1	CP2_g49157_DN3_SP1_c.t1
OG0000574	XP_013689837.1, XP_022566530.2	CP14_g23646_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1
OG0000574	XP_013659088.2, XP_013698998.1	CP1_g40827_DN3_SP0_c.t1, CP1_g40831_DN3_SP0_c.t1
OG0000575	XP_013646961.1, XP_022568549.1	CP2_g49287_DN3_SP5_c.t1, CP3_g15566_DN3_SP2_c.t1
OG0000575	XP_013654860.1, XP_013666285.1, XP_022572767.1, XP_013738414.1	CP5_g629_DN3_SP1_c.t1, CP2_g49391_DN2_SP3_c.t1
OG0000578	XP_013645767.2, XP_013640911.1, XP_013641342.1, XP_013716420.1	CP1_g37334_DN3_SP8_c.t1
OG0000578	XP_013714644.1, XP_022569287.1	CP2_g49347_DN3_SP8_c.t1
OG0000578	XP_013671147.2, XP_022569198.1	CP9_g28605_DN3_SP7_c.t1
OG0000579	XP_013654970.1, XP_013712976.1, XP_013739916.1, XP_022563004.1	CP19_g18068_DN3_SP6_c.t1
OG0000579	XP_022570157.1, XP_013647809.1, XP_048633484.1, XP_022573813.1	CP19_g17877_DN3_SP8_c.t1
OG0000581	XP_048632305.1, XP_048606147.1, XP_048600755.1, XP_013724063.2	CP10_g42891_DN3_SP4_c.t1, CP10_g42890_DN3_SP4_c.t1
OG0000582	XP_048627936.1, XP_013682217.1	CP8_g54154_DN3_SP8_c.t1
OG0000582	XP_013692365.1, XP_013653680.1	CP4_g26047_DN3_SP3_c.t1
OG0000583	XP_048608374.1, XP_048630637.1, XP_013746600.1, XP_048636775.1, XP_013675488.1, XP_048610427.1, XP_048610428.1, XP_013751313.2, XP_048609999.1, XP_048634330.1	CP4_g25615_DN1_SP0_c.t1
OG0000583	XP_048613775.1	CP1_g36902_DN2_SP0_c.t1
OG0000583	XP_022557759.1, XP_048634331.1	CP4_g25617_DN2_SP0_c.t1
OG0000584	XP_013664847.2	CP13_g20194_DN2_SP0_c.t1
OG0000584	XP_013734615.1	CP5_g1146_DN3_SP6_c.t1
OG0000585	XP_013655076.2, XP_013671434.1	CP7_g44900_DN3_SP2_c.t1
OG0000585	XP_048631229.1, XP_048608436.1, XP_013736254.1, XP_013719774.2, XP_013677253.1, XP_048634423.1, XP_048636649.1, XP_048630450.1, XP_013729102.1, XP_013691999.1	CP4_g25294_DN3_SP8_c.t1
OG0000586	XP_013646742.1, XP_048595566.1	CP10_g43870_DN2_SP0_c.t1
OG0000586	XP_048603877.1, XP_048614988.1	CP22_g17593_DN2_SP0_c.t1
OG0000587	XP_048626711.1, XP_013731710.1, XP_048626291.1, XP_013719426.1, XP_013666422.1, XP_013722754.1	CP8_g54533_DN3_SP8_c.t1
OG0000587	XP_013752019.1, XP_013751994.1, XP_013688175.1, XP_013690942.1	CP4_g24034_DN3_SP7_c.t1
OG0000587	XP_013673021.2, XP_013677233.1, XP_048613603.1, XP_013671328.2	CP1_g36514_DN3_SP8_c.t1
OG0000588	XP_013736282.2, XP_013693851.1, XP_048635793.1	CP10_g43461_DN3_SP8_c.t1
OG0000588	XP_048611193.1, XP_013744999.2, XP_013688154.1, XP_048636344.1	CP4_g24465_DN3_SP8_c.t1
OG0000588	XP_048616649.1, XP_013655465.2, XP_013672947.2	CP7_g46252_DN3_SP8_c.t1
OG0000589	XP_048601693.1	CP3_g14828_DN3_SP0_c.t1
OG0000589	XP_048590737.1, XP_048590739.1, XP_022543177.2, XP_048606710.1, XP_013646942.1, XP_013646943.1	CP3_g14829_DN3_SP0_c.t1
OG0000590	XP_022555137.1, XP_013684502.2, XP_013677645.2, XP_048636092.1, XP_048626180.1, XP_013693195.1	CP10_g42545_DN3_SP8_c.t1
OG0000590	XP_048591141.1	CP2_g48582_DN3_SP6_c.t1
OG0000591	XP_013667426.2	CP5_g885_DN3_SP0_c.t1
OG0000591	XP_022559912.2, XP_013667415.3	CP5_g884_DN3_SP0_c.t1
OG0000591	XP_013664649.2	CP7_g45816_DN3_SP0_c.t1
OG0000591	XP_013664650.1	CP7_g45815_DN3_SP0_c.t1
OG0000591	XP_013668658.1	CP25_g55814_DN2_SP0_c.t1
OG0000592	XP_013677508.2, XP_048636320.1, XP_022575180.2	CP1_g38258_DN3_SP6_c.t1
OG0000592	XP_022568363.1, XP_013664597.2, XP_048597594.1, XP_013641806.1, XP_013671145.1	CP7_g45946_DN3_SP8_c.t1
OG0000593	XP_048613464.1	CP16_g54938_DN3_SP0_c.t1
OG0000594	XP_013710379.2, XP_013670116.1, XP_013708897.2, XP_013672112.1	CP3_g14555_DN3_SP0_c.t1
OG0000594	XP_048631941.1	CP3_g14558_DN2_SP0_c.t1
OG0000594	XP_048608820.1, XP_013672149.2	CP3_g14556_DN3_SP0_c.t1
OG0000596	XP_013666825.2, XP_013685720.1, XP_022548988.1, XP_013717120.1	CP8_g53495_DN3_SP8_c.t1
OG0000597	XP_048633819.1, XP_048633818.1	CP4_g25743_DN3_SP0_c.t1
OG0000600	XP_013666995.1, XP_013729132.3	CP8_g53653_DN3_SP5_c.t1
OG0000600	XP_013744432.1, XP_013670895.1, XP_013664455.1, XP_013732486.2, XP_048593097.1, XP_013671716.1	CP10_g43555_DN3_SP2_c.t1
OG0000601	XP_013662349.1, XP_048602331.1, XP_013720933.1, XP_013667771.1, XP_013728930.1, XP_013728257.1	CP11_g32422_DN3_SP0_c.t1
OG0000602	XP_022554158.1, XP_013724950.2	CP11_g33559_DN3_SP8_c.t1
OG0000602	XP_013750012.1, XP_048592950.1	CP3_g14037_DN3_SP7_c.t1
OG0000602	XP_022575563.2, XP_013750400.2, XP_013684600.1, XP_013736031.1, XP_048600726.1, XP_013724119.2	CP10_g42946_DN3_SP8_c.t1
OG0000604	XP_013703713.2, XP_013657002.1, XP_013739586.2, XP_013671256.2	CP3_g13116_DN3_SP5_c.t1, CP19_g18152_DN3_SP8_c.t1
OG0000605	XP_013676721.1, XP_013708238.1, XP_048629459.1	CP9_g29043_DN3_SP8_c.t1
OG0000605	XP_048629462.1, XP_013674823.1, XP_013674864.2	CP9_g29041_DN3_SP2_c.t1
OG0000605	XP_013710706.1, XP_013652380.2, XP_013674865.1, XP_013674824.1, XP_048603614.1, XP_048629461.1	CP9_g29042_DN3_SP3_c.t1
OG0000606	XP_048594992.1, XP_048602177.1, XP_013655712.2, XP_013735075.1, XP_048632424.1, XP_048609069.1	CP12_g29947_DN3_SP8_c.t1
OG0000606	XP_013678623.1, XP_013648550.1	CP9_g29723_DN3_SP8_c.t1
OG0000606	XP_048630985.1, XP_013742775.1, XP_013721390.1, XP_013701935.2, XP_048606511.1	CP1_g37884_DN3_SP8_c.t1
OG0000607	XP_048609138.1, XP_022572172.1	CP12_g30241_DN1_SP0_c.t1
OG0000607	XP_022548655.2, XP_013736846.2, XP_048607115.1	CP10_g44023_DN3_SP0_c.t1
OG0000607	XP_013657315.2, XP_048601134.1, XP_013656207.2, XP_013656234.2	CP5_g619_DN1_SP0_c.t1
OG0000608	XP_048631958.1, XP_013732042.1	CP20_g4022_DN3_SP0_c.t1
OG0000609	XP_013749429.1, XP_022562970.2, XP_013724946.1	CP5_g500_DN2_SP0_c.t1
OG0000612	XP_013672274.1, XP_013748812.2	CP2_g49401_DN3_SP8_c.t1
OG0000612	XP_013744965.2, XP_013687834.1, XP_048609614.1, XP_013747801.2, XP_013683751.1, XP_013734456.2	CP3_g13598_DN3_SP2_c.t1, CP4_g24538_DN3_SP8_c.t1
OG0000613	XP_048602010.1, XP_013647478.1, XP_013659460.1, XP_013681702.1, XP_022570658.2, XP_013740867.2	CP10_g42243_DN3_SP2_c.t1
OG0000613	XP_013714062.1, XP_013665733.1	CP8_g53350_DN3_SP3_c.t1, CP5_g1608_DN3_SP6_c.t1
OG0000614	XP_048598431.1, XP_048625381.1, XP_048625380.1, XP_013715562.2, XP_048625119.1, XP_013680324.2, XP_048603362.1, XP_013692107.2, XP_013692114.1, XP_048602692.1	CP11_g33015_DN3_SP2_c.t1
OG0000615	XP_013647217.1, XP_013685198.1, XP_013749070.1	CP10_g43718_DN3_SP7_c.t1
OG0000615	XP_013748999.1, XP_013744356.1, XP_022575259.1, XP_013644763.1, XP_013656450.1, XP_048607287.1, XP_013671854.1	CP5_g396_DN3_SP7_c.t1
OG0000615	XP_013741290.1	CP3_g14246_DN3_SP7_c.t1
OG0000616	XP_022556800.1, XP_013667150.1	CP8_g54088_DN3_SP0_c.t1
OG0000617	XP_013673546.2, XP_013670173.1	CP2_g49373_DN3_SP0_c.t1
OG0000618	XP_022566452.1	CP9_g29495_DN3_SP8_c.t1
OG0000618	XP_013741580.2, XP_013705739.1	CP5_g1252_DN3_SP7_c.t1
OG0000619	XP_013692018.1, XP_013694676.2, XP_013694715.2, XP_013692275.1, XP_013738292.1, NP_001302919.1	CP4_g25024_DN3_SP7_c.t1
OG0000619	XP_013738293.1, XP_048631651.1	CP4_g25023_DN3_SP3_c.t1
OG0000619	XP_013750026.1, NP_001303184.1, XP_013730247.1	CP3_g14018_DN3_SP8_c.t1
OG0000620	XP_013683027.1, XP_013657263.2, XP_013723362.2, XP_013664611.2, XP_048621110.1, XP_013641828.2	CP64_g21061_DN3_SP1_c.t1, CP7_g45901_DN3_SP6_c.t1
OG0000620	XP_013649734.2, XP_013700780.1, XP_013712462.1, XP_048627379.1, XP_048629458.1	CP9_g29047_DN3_SP8_c.t1
OG0000621	XP_048611895.1, XP_048600754.1	CP11_g31802_DN3_SP0_c.t1
OG0000621	XP_048596748.1	CP11_g31803_DN3_SP0_c.t1
OG0000621	XP_048633330.1	CP5_g1834_DN3_SP0_c.t1, CP271_g11212_DN3_SP0_c.t1, CP29_g21948_DN1_SP0_c.t1, CP45_g22368_DN3_SP0_c.t1
OG0000622	XP_013691289.2, XP_048597119.1, XP_048591745.1, XP_048615972.1, XP_048596466.1, XP_013752327.2, XP_048622058.1, XP_048596959.1, XP_013699512.1, XP_013752328.2	CP16_g54835_DN3_SP0_c.t1
OG0000622	XP_048613566.1, XP_048635070.1, XP_048630728.1, XP_013689703.3, XP_048635069.1, XP_013673937.1, XP_013745920.1, XP_048634128.1, XP_013751225.2	CP16_g55106_DN3_SP0_c.t1
OG0000625	XP_048627991.1, XP_013675430.1, XP_048636998.1, XP_048614288.1	CP10_g42213_DN1_SP5_c.t1
OG0000625	XP_013667693.1, XP_013660037.1, XP_013685194.1, XP_013747057.1, XP_013681436.1, XP_013719616.1, XP_013751280.1	CP5_g805_DN2_SP3_c.t1
OG0000626	XP_013691291.1, XP_013721073.1, XP_048611662.1	CP2_g48925_DN3_SP0_c.t1
OG0000628	XP_013648677.1, XP_013720097.1, XP_013652476.1, XP_013648664.1	CP9_g29435_DN3_SP0_c.t1
OG0000628	XP_013670537.1, XP_013686168.1, XP_013684892.1, XP_013744093.1, XP_013641819.1, XP_022575312.1	CP12_g30210_DN3_SP8_c.t1, CP12_g30211_DN3_SP2_c.t1
OG0000629	XP_013695303.2, XP_048608650.1, XP_022555958.1, XP_048607603.1, XP_013718143.2, XP_048614427.1	CP3_g15800_DN1_SP0_c.t1
OG0000630	XP_013655308.1, XP_013655307.1, XP_022570270.1	CP3_g13617_DN2_SP0_c.t1
OG0000631	XP_048603715.1	CP9_g27687_DN3_SP0_c.t1
OG0000632	XP_013708217.1, XP_022574225.1, XP_013708327.1, XP_048626958.1, XP_013648240.1, XP_013750187.1, XP_013741983.1	CP21_g10904_DN3_SP2_c.t1
OG0000632	XP_013748162.1, XP_013688126.1, XP_013686256.1, XP_013666692.1	CP4_g24198_DN3_SP8_c.t1
OG0000633	XP_013709787.1, XP_048596538.1, XP_013661633.1, XP_013675201.2, XP_013749663.1, XP_013641520.2, XP_048637934.1, XP_013698565.1, XP_013745599.2, XP_013722722.1, XP_048609664.1, XP_013742097.1	CP7_g46202_DN3_SP0_c.t1
OG0000635	XP_048634165.1, XP_013714140.1	CP4_g25595_DN3_SP0_c.t1
OG0000636	XP_013715728.2, XP_013728529.2, XP_013728500.1, XP_013715444.2, XP_048623212.1	CP11_g33316_DN3_SP0_c.t1
OG0000636	XP_022554247.1, XP_013728505.1	CP11_g33317_DN3_SP0_c.t1
OG0000637	XP_022551254.1	CP13_g19785_DN2_SP0_c.t1
OG0000638	XP_048606453.1, XP_013733031.1, XP_048607205.1, XP_048593773.1, XP_013709850.2, XP_013677030.1, XP_013656804.2, XP_022545753.2, XP_048606450.1, XP_048593700.1, XP_048621734.1, XP_022545754.2, XP_013714324.2, XP_013685040.1, XP_013714481.2, XP_013667753.3, XP_048601301.1, XP_013667740.1, XP_048637237.1	CP5_g1015_DN2_SP0_c.t1
OG0000639	XP_048634605.1, XP_013690505.2, XP_048611159.1, XP_022574137.2	CP2_g48892_DN1_SP0_c.t1
OG0000640	XP_013710236.2, XP_013727408.1	CP7_g45691_DN3_SP0_c.t1
OG0000640	XP_048620476.1, XP_022565277.2, XP_013674334.1	CP20_g4152_DN3_SP0_c.t1
OG0000640	XP_048596974.1, XP_013674336.1	CP3_g14340_DN2_SP0_c.t1
OG0000641	XP_013731349.1	CP12_g30544_DN3_SP0_c.t1
OG0000642	XP_013746715.2, XP_013722727.2	CP5_g1553_DN3_SP0_c.t1
OG0000642	XP_013691591.2, XP_013752032.2	CP5_g1700_DN3_SP0_c.t1, CP5_g1697_DN3_SP0_c.t1, CP5_g1694_DN3_SP0_c.t1, CP5_g1692_DN3_SP0_c.t1, CP5_g1546_DN3_SP0_c.t1, CP5_g1549_DN3_SP0_c.t1, CP5_g1547_DN3_SP0_c.t1
OG0000645	XP_022556712.1, XP_022559748.1	CP6_g7535_DN3_SP0_c.t1
OG0000645	XP_013691151.2, XP_013742840.2	CP6_g7537_DN3_SP0_c.t1
OG0000646	XP_013707492.2, XP_013644501.2, XP_013666596.1, XP_013666598.1, XP_022552842.2	CP13_g19131_DN3_SP8_c.t1
OG0000646	XP_048602023.1, XP_013700311.2, XP_048636252.1, XP_013750970.2	CP10_g42190_DN3_SP8_c.t1
OG0000646	XP_013722726.2, XP_013746718.2	CP5_g1532_DN3_SP0_c.t1
OG0000647	XP_013745945.1	CP10_g42929_DN3_SP3_c.t1
OG0000648	XP_013716782.2, XP_013711378.1, XP_013671889.2, XP_048634224.1	CP3_g13127_DN3_SP0_c.t1
OG0000648	XP_048635868.1, XP_048615155.1, XP_013711379.1, XP_048597340.1	CP3_g13128_DN3_SP0_c.t1
OG0000649	XP_048594452.1, XP_013667662.2	CP1_g39418_DN3_SP8_c.t1
OG0000650	XP_048603845.1, XP_022572818.2	CP13_g19916_DN3_SP1_c.t1
OG0000650	XP_048616095.1, XP_048596606.1, XP_013729345.2, XP_022552361.1	CP13_g19913_DN3_SP1_c.t1, CP13_g19914_DN3_SP0_c.t1
OG0000650	XP_013703246.1, XP_022558958.1	CP13_g19915_DN3_SP8_c.t1
OG0000651	XP_048596286.1	CP3_g14839_DN2_SP0_c.t1
OG0000653	XP_022559969.1	CP14_g23835_DN2_SP0_c.t1, CP3_g15765_DN1_SP0_c.t1
OG0000653	XP_048606644.1	CP3_g15766_DN1_SP0_c.t1, CP1_g41458_DN1_SP0_c.t1, CP202_g51866_DN2_SP0_c.t1, CP23_g21848_DN3_SP0_c.t1
OG0000653	XP_048620370.1	CP6_g8538_DN2_SP0_c.t1
OG0000654	XP_048624906.1, XP_022548725.2, XP_048624035.1	CP8_g53974_DN2_SP0_c.t1
OG0000655	XP_048619888.1	CP17_g5104_DN2_SP0_c.t1
OG0000658	XP_013674630.1, XP_013742569.1, XP_048597079.1, XP_013707375.1, XP_013678297.1, XP_013651903.1	CP3_g13971_DN3_SP7_c.t1
OG0000658	XP_013675313.1, XP_022547984.2, XP_022565068.1, XP_048629323.1, XP_013643931.1	CP13_g19259_DN3_SP1_c.t1, CP2_g48587_DN3_SP7_c.t1
OG0000659	XP_013747240.1, XP_013714327.1	CP8_g53660_DN3_SP6_c.t1
OG0000659	XP_013669799.1	CP10_g43556_DN3_SP5_c.t1
OG0000659	XP_013667002.1, XP_048619029.1, XP_013732699.1	CP10_g43557_DN3_SP7_c.t1
OG0000660	XP_013671794.1, XP_013642577.1	CP3_g14720_DN3_SP8_c.t1
OG0000660	XP_013713659.2, XP_013714436.1, XP_013716818.1, XP_013729589.1	CP8_g53925_DN3_SP8_c.t1
OG0000661	XP_013734128.1, XP_013742753.2, XP_013734127.2, XP_048636764.1, XP_048636769.1, XP_048608381.1, XP_013744323.1, XP_022557083.1, XP_013687471.1, XP_013744322.2, XP_013692454.1, XP_013714770.1	CP4_g25588_DN3_SP2_c.t1, CP4_g25594_DN3_SP8_c.t1
OG0000662	XP_048625100.1, XP_013720877.1, XP_013666027.2	CP11_g32387_DN3_SP0_c.t1
OG0000662	XP_013644602.2, XP_013647325.2, XP_013740866.3, XP_048605996.1	CP10_g42234_DN3_SP0_c.t1
OG0000662	XP_013686315.1, XP_013659923.2, XP_013720864.1, XP_013667797.2	CP11_g32386_DN3_SP0_c.t1
OG0000663	XP_013710601.1, XP_013654692.2, XP_048622533.1, XP_013698005.1, XP_013657143.1	CP7_g45199_DN3_SP3_c.t1
OG0000663	XP_048617081.1, XP_013700768.2, XP_013676450.1, XP_013688590.1	CP9_g28369_DN3_SP5_c.t1
OG0000666	XP_048637448.1	CP5_g1070_DN2_SP0_c.t1
OG0000666	XP_048607540.1, XP_048607268.1, XP_022546482.2, XP_048607642.1, XP_048607270.1, XP_048594497.1, XP_022554060.1, XP_022546473.2	CP4_g25815_DN2_SP0_c.t1
OG0000669	XP_013692588.1, XP_013691828.1, XP_013725403.2, XP_022574265.1, XP_013734761.2	CP4_g24316_DN3_SP8_c.t1
OG0000669	XP_022543708.1, XP_013644873.1, XP_013677313.2, XP_013684268.1, XP_013728361.1, XP_013733290.1	CP13_g19690_DN3_SP7_c.t1
OG0000671	XP_013743031.2, XP_022556808.2, XP_013722725.2, XP_013743062.2, XP_013692619.1, XP_013747695.2, XP_022559188.1, XP_013747696.2	CP5_g1572_DN3_SP0_c.t1
OG0000672	XP_048591654.1, XP_048616267.1	CP7_g44981_DN3_SP8_c.t1, CP4_g25323_DN3_SP8_c.t1
OG0000673	XP_048618761.1, XP_013644816.1	CP13_g19429_DN3_SP0_c.t1
OG0000673	XP_048618769.1, XP_013644819.1, XP_048626622.1	CP13_g19426_DN3_SP0_c.t1
OG0000673	XP_013711170.1	CP16_g55084_DN3_SP0_c.t1
OG0000673	XP_048606904.1, XP_013740848.2	CP16_g55078_DN3_SP0_c.t1
OG0000675	XP_013686033.1, XP_013641687.1, XP_013708044.1, XP_022546065.2, XP_013662237.2, XP_013698987.1, XP_013683384.1, XP_013734096.1	CP4_g25543_DN3_SP6_c.t1
