Orthogroup	Cardamine_glauca	Conringia_planisiliqua
OG0002273	Cg006G1788100	CP7_g46387_DN3_SP8_c.t1
OG0002274	Cg004G1301700	CP12_g30694_DN3_SP8_c.t1
OG0002274	Cg001G0268500	CP6_g7512_DN3_SP8_c.t1
OG0002275	Cg001G0266400	CP6_g7501_DN2_SP0_c.t1
OG0002275	Cg001G0266500	CP6_g7502_DN3_SP0_c.t1
OG0002276	Cg007G2504000	CP9_g28975_DN3_SP8_c.t1
OG0002276	Cg006G2085700	CP7_g45956_DN3_SP8_c.t1
OG0002277	Cg007G2460700	CP9_g28497_DN3_SP8_c.t1
OG0002277	Cg006G2014300	CP7_g45274_DN3_SP3_c.t1
OG0002278	Cg004G1443400	CP12_g29834_DN3_SP7_c.t1
OG0002279	Cg001G0114000	CP5_g1119_DN3_SP2_c.t1, CP5_g1118_DN3_SP4_c.t1
OG0002279	Cg004G1439700	CP10_g43510_DN1_SP0_c.t1
OG0002280	Cg001G0376400	CP5_g1370_DN2_SP0_c.t1
OG0002281	Cg002G0652400	CP13_g19271_DN2_SP2_c.t1
OG0002281	Cg001G0379700	CP5_g1338_DN3_SP0_c.t1
OG0002282	Cg002G0667600	CP13_g19406_DN3_SP8_c.t1
OG0002283	Cg004G1261600	CP12_g30300_DN3_SP0_c.t1
OG0002283	Cg006G1833400	CP1_g38114_DN3_SP8_c.t1
OG0002284	Cg006G1812400	CP1_g37896_DN3_SP8_c.t1
OG0002284	Cg004G1225300	CP12_g29961_DN3_SP7_c.t1
OG0002285	Cg005G1589700	CP4_g25310_DN3_SP2_c.t1
OG0002285	Cg005G1589600	CP4_g25309_DN3_SP6_c.t1
OG0002287	Cg001G0238600	CP6_g7178_DN3_SP4_c.t1
OG0002287	Cg005G1576200	CP4_g25167_DN3_SP8_c.t1
OG0002288	Cg008G2976000	CP13_g19835_DN3_SP0_c.t1
OG0002288	Cg001G0223000	CP6_g7032_DN2_SP0_c.t1
OG0002289	Cg001G0229600	CP6_g7099_DN3_SP8_c.t1
OG0002291	Cg002G0522600	CP3_g14318_DN2_SP0_c.t1
OG0002292	Cg002G0527100	CP3_g14364_DN3_SP0_c.t1
OG0002293	Cg001G0170400	CP19_g18328_DN3_SP0_c.t1
OG0002293	Cg003G0895200	CP8_g53035_DN3_SP0_c.t1
OG0002294	Cg008G2948900	CP13_g20123_DN3_SP5_c.t1
OG0002294	Cg001G0199700	CP6_g6810_DN3_SP2_c.t1
OG0002295	Cg003G0790700	CP20_g3979_DN3_SP0_c.t1
OG0002295	Cg006G2116800	CP1_g37775_DN3_SP0_c.t1
OG0002296	Cg005G1576400	CP4_g25170_DN3_SP5_c.t1
OG0002296	Cg001G0236500	CP6_g7160_DN3_SP8_c.t1
OG0002297	Cg005G1447900	CP4_g23914_DN3_SP0_c.t1
OG0002298	Cg005G1471000, Cg002G0417700	CP4_g24141_DN3_SP8_c.t1
OG0002299	Cg002G0452100	CP3_g13626_DN3_SP2_c.t1
OG0002299	Cg005G1515700	CP4_g24575_DN3_SP0_c.t1
OG0002300	Cg005G1522200	CP4_g24640_DN3_SP3_c.t1
OG0002301	Cg005G1530000	CP3_g13540_DN2_SP0_c.t1
OG0002301	Cg002G0465000	CP3_g13539_DN2_SP0_c.t1
OG0002302	Cg005G1537300	CP4_g24774_DN3_SP8_c.t1
OG0002302	Cg002G0473200	CP3_g13820_DN3_SP8_c.t1
OG0002303	Cg002G0476100	CP3_g13846_DN3_SP8_c.t1
OG0002305	Cg007G2447200	CP9_g28370_DN3_SP8_c.t1
OG0002306	Cg006G2216200	CP1_g36574_DN3_SP4_c.t1
OG0002306	Cg003G0746400	CP16_g55511_DN3_SP7_c.t1, CP11_g31812_DN3_SP1_c.t1, CP11_g31810_DN1_SP0_c.t1
OG0002307	Cg005G1772800	CP16_g54788_DN3_SP8_c.t1
OG0002307	Cg001G0010500	CP5_g104_DN3_SP8_c.t1
OG0002308	Cg001G0018000	CP5_g183_DN3_SP8_c.t1
OG0002308	Cg005G1766500	CP16_g54864_DN3_SP8_c.t1
OG0002309	Cg006G1905200	CP21_g10997_DN3_SP1_c.t1
OG0002312	Cg001G0227000	CP6_g7076_DN3_SP4_c.t1
OG0002313	Cg008G2844800, Cg008G2844700, Cg008G2844600	CP2_g48703_DN3_SP3_c.t1
OG0002316	Cg006G1848700	CP1_g38287_DN3_SP7_c.t1
OG0002316	Cg004G1242900	CP12_g30111_DN3_SP8_c.t1
OG0002317	Cg004G1243900	CP12_g30120_DN3_SP8_c.t1
OG0002318	Cg004G1249000	CP12_g30169_DN3_SP0_c.t1
OG0002318	Cg006G1845000	CP1_g38234_DN3_SP0_c.t1
OG0002319	Cg002G0567000	CP3_g14795_DN3_SP0_c.t1
OG0002320	Cg006G2252400	CP1_g36436_DN3_SP6_c.t1, CP1_g36435_DN3_SP6_c.t1
OG0002321	Cg006G2252000	CP1_g36439_DN3_SP0_c.t1
OG0002321	Cg014G3050800, Cg003G0704800	CP8_g54618_DN3_SP8_c.t1
OG0002322	Cg014G3053300, Cg003G0702700	CP8_g54638_DN3_SP8_c.t1
OG0002322	Cg006G2251400	CP1_g36445_DN3_SP4_c.t1
OG0002324	Cg006G2189900, Cg006G2189500	CP1_g37027_DN3_SP2_c.t1, CP1_g37029_DN3_SP7_c.t1
OG0002325	Cg006G2175000	CP1_g37169_DN3_SP6_c.t1
OG0002326	Cg006G2160300	CP3_g16256_DN3_SP0_c.t1, CP1_g37323_DN3_SP5_c.t1
OG0002326	Cg007G2311000	CP2_g49367_DN3_SP7_c.t1
OG0002327	Cg002G0685700	CP13_g19588_DN3_SP8_c.t1
OG0002327	Cg006G2118300	CP1_g37761_DN3_SP8_c.t1
OG0002328	Cg007G2567600	CP9_g29601_DN3_SP8_c.t1
OG0002329	Cg006G2101400	CP7_g46111_DN3_SP8_c.t1
OG0002329	Cg007G2566400	CP9_g29588_DN3_SP8_c.t1
OG0002330	Cg006G2089900	CP7_g45999_DN3_SP8_c.t1
OG0002330	Cg004G1354300	CP9_g28905_DN3_SP7_c.t1
OG0002331	Cg007G2509700	CP9_g29028_DN3_SP6_c.t1
OG0002332	Cg007G2516300	CP9_g29095_DN3_SP4_c.t1
OG0002332	Cg006G2077100	CP7_g45875_DN3_SP8_c.t1, CP7_g45877_DN3_SP0_c.t1
OG0002333	Cg007G2491400	CP9_g28849_DN2_SP1_c.t1
OG0002333	Cg006G2041400	CP7_g45532_DN3_SP5_c.t1
OG0002334	Cg006G2027700	CP7_g45398_DN3_SP8_c.t1
OG0002335	Cg006G2024300	CP7_g45367_DN2_SP0_c.t1
OG0002335	Cg007G2470300	CP9_g28608_DN3_SP0_c.t1
OG0002336	Cg007G2281700	CP2_g49056_DN3_SP1_c.t1
OG0002337	Cg007G2308400, Cg007G2308500	CP2_g49333_DN3_SP0_c.t1, CP2_g49330_DN3_SP7_c.t1
OG0002340	Cg004G1399900	CP10_g43931_DN3_SP0_c.t1
OG0002340	Cg001G0053900	CP5_g537_DN3_SP0_c.t1
OG0002341	Cg001G0066000	CP5_g654_DN3_SP0_c.t1
OG0002342	Cg004G1390400, Cg004G1382800	CP10_g44078_DN3_SP0_c.t1
OG0002342	Cg001G0061100	CP5_g613_DN3_SP1_c.t1
OG0002343	Cg001G0087600	CP5_g841_DN3_SP8_c.t1
OG0002343	Cg005G1740900	CP16_g55140_DN3_SP8_c.t1
OG0002344	Cg001G0087700	CP5_g842_DN3_SP8_c.t1
OG0002344	Cg005G1741100	CP16_g55137_DN3_SP8_c.t1
OG0002345	Cg005G1744700	CP16_g55096_DN3_SP2_c.t1
OG0002346	Cg001G0136400	CP19_g17972_DN3_SP8_c.t1
OG0002352	Cg001G0098400	CP5_g956_DN3_SP3_c.t1
OG0002353	Cg008G2737600	CP11_g32233_DN3_SP6_c.t1
OG0002353	Cg004G1094600	CP10_g42326_DN3_SP4_c.t1
OG0002354	Cg008G2734300	CP11_g32262_DN3_SP8_c.t1
OG0002354	Cg004G1092900	CP10_g42306_DN3_SP8_c.t1
OG0002355	Cg008G2734000, Cg008G2734100, Cg008G2734200	CP11_g32263_DN3_SP0_c.t1
OG0002356	Cg008G2730500, Cg004G1090900	CP11_g32303_DN3_SP8_c.t1
OG0002357	Cg008G2612200	CP11_g33486_DN3_SP2_c.t1
OG0002358	Cg004G1083100	CP10_g42210_DN3_SP0_c.t1
OG0002358	Cg008G2720200	CP11_g32412_DN3_SP0_c.t1
OG0002359	Cg008G2718100	CP11_g32437_DN3_SP4_c.t1
OG0002359	Cg004G1080700	CP10_g42187_DN3_SP6_c.t1
OG0002360	Cg006G2002800	CP7_g45159_DN2_SP0_c.t1
OG0002361	Cg008G2806700	CP2_g48420_DN2_SP0_c.t1
OG0002361	Cg008G2676400	CP11_g32837_DN3_SP0_c.t1
OG0002362	Cg003G1040500	CP2_g47812_DN3_SP8_c.t1
OG0002362	Cg008G2666100	CP11_g32938_DN3_SP6_c.t1
OG0002363	Cg003G1027200	CP2_g47942_DN3_SP7_c.t1
OG0002364	Cg008G2792700	CP2_g48286_DN3_SP8_c.t1
OG0002364	Cg008G2657200	CP11_g33037_DN3_SP8_c.t1
OG0002365	Cg008G2651500, Cg008G2651100	CP11_g33099_DN3_SP0_c.t1, CP11_g33095_DN3_SP0_c.t1
OG0002367	Cg005G1641700	CP4_g25827_DN3_SP0_c.t1
OG0002368	Cg006G2214500	CP1_g36559_DN3_SP8_c.t1
OG0002368	Cg005G1608500	CP4_g25519_DN3_SP8_c.t1
OG0002369	Cg008G2933800	CP13_g20249_DN3_SP8_c.t1
OG0002369	Cg006G2224600	CP1_g36655_DN3_SP4_c.t1
OG0002370	Cg008G2936400	CP13_g20226_DN3_SP8_c.t1
OG0002370	Cg006G2225500	CP1_g36662_DN3_SP8_c.t1
OG0002371	Cg006G2229300	CP1_g36697_DN3_SP0_c.t1
OG0002371	Cg008G2941900	CP13_g20187_DN3_SP0_c.t1
OG0002374	Cg001G0245900	CP6_g7272_DN2_SP0_c.t1
OG0002375	Cg002G0676000, Cg002G0676400	CP13_g19493_DN3_SP0_c.t1
OG0002376	Cg003G1001200	CP2_g48205_DN3_SP2_c.t1
OG0002378	Cg008G2780300	CP8_g54171_DN3_SP6_c.t1
OG0002379	Cg002G0559000	CP3_g14720_DN3_SP8_c.t1
OG0002379	Cg003G0981700	CP8_g53925_DN3_SP8_c.t1
OG0002380	Cg001G0088400	CP5_g850_DN3_SP8_c.t1, CP5_g849_DN3_SP1_c.t1
OG0002381	Cg003G0942500	CP8_g53518_DN3_SP8_c.t1
OG0002381	Cg001G0135800	CP19_g17966_DN3_SP7_c.t1, CP5_g1969_DN3_SP0_c.t1
OG0002382	Cg003G0934500	CP8_g53431_DN3_SP8_c.t1
OG0002382	Cg001G0130800	CP5_g1289_DN3_SP2_c.t1
OG0002383	Cg001G0128700	CP5_g1267_DN3_SP7_c.t1
OG0002383	Cg003G0927400	CP8_g53395_DN3_SP7_c.t1
OG0002385	Cg004G1173700	CP11_g33302_DN3_SP0_c.t1, CP10_g43099_DN3_SP5_c.t1
OG0002386	Cg004G1164800	CP10_g43021_DN3_SP0_c.t1
OG0002386	Cg008G2618900	CP11_g33427_DN3_SP0_c.t1
OG0002387	Cg008G2612100	CP11_g33487_DN3_SP8_c.t1
OG0002387	Cg004G1161000	CP10_g42982_DN3_SP0_c.t1
OG0002388	Cg007G2262700	CP13_g19102_DN3_SP0_c.t1
OG0002389	Cg006G2097600	CP7_g46078_DN3_SP7_c.t1
OG0002390	Cg006G2048000	CP7_g45593_DN3_SP4_c.t1
OG0002391	Cg006G2050600	CP7_g45619_DN3_SP0_c.t1
OG0002392	Cg007G2534100	CP9_g29270_DN3_SP8_c.t1
OG0002392	Cg006G2061100	CP7_g45710_DN3_SP8_c.t1, CP23_g21375_DN2_SP0_c.t1
OG0002393	Cg004G1411700	CP10_g43788_DN3_SP5_c.t1
OG0002394	Cg001G0039100	CP5_g401_DN3_SP8_c.t1
OG0002394	Cg004G1415100	CP10_g43727_DN3_SP8_c.t1
OG0002395	Cg004G1190100	CP10_g43263_DN3_SP1_c.t1
OG0002396	Cg004G1198100	CP10_g43339_DN3_SP8_c.t1
OG0002396	Cg006G1790500	CP7_g46358_DN3_SP7_c.t1
OG0002397	Cg004G1200500	CP10_g43364_DN3_SP7_c.t1
OG0002398	Cg004G1211900	CP7_g46244_DN3_SP8_c.t1
OG0002399	Cg001G0055700	CP5_g555_DN3_SP0_c.t1
OG0002400	Cg006G1805200	CP7_g46220_DN3_SP0_c.t1
OG0002401	Cg005G1571100	CP4_g25121_DN3_SP8_c.t1
OG0002401	Cg002G0500800	CP3_g14086_DN3_SP8_c.t1
OG0002402	Cg001G0294800	CP6_g9462_DN3_SP2_c.t1
OG0002402	Cg004G1324000	CP12_g30934_DN3_SP1_c.t1, CP12_g30940_DN3_SP0_c.t1, CP12_g30959_DN3_SP0_c.t1
OG0002403	Cg001G0289100	CP6_g8609_DN3_SP0_c.t1
OG0002404	Cg004G1312400	CP12_g30813_DN3_SP6_c.t1
OG0002405	Cg001G0273200	CP6_g7587_DN3_SP8_c.t1
OG0002405	Cg001G0273100	CP6_g7584_DN3_SP8_c.t1
OG0002407	Cg001G0260100	CP6_g7423_DN3_SP7_c.t1
OG0002407	Cg004G1291300	CP12_g30609_DN3_SP6_c.t1
OG0002408	Cg006G2086000	CP7_g45960_DN2_SP2_c.t1
OG0002408	Cg007G2502700	CP9_g28957_DN2_SP0_c.t1
OG0002409	Cg007G2506800	CP9_g29005_DN3_SP8_c.t1
OG0002409	Cg006G2085000	CP7_g45949_DN3_SP8_c.t1
OG0002410	Cg007G2513400	CP9_g29070_DN3_SP8_c.t1
OG0002411	Cg006G2078100	CP7_g45881_DN3_SP2_c.t1
OG0002412	Cg006G2075900	CP7_g45862_DN3_SP0_c.t1
OG0002412	Cg007G2518400	CP9_g29113_DN3_SP1_c.t1
OG0002413	Cg007G2454600, Cg002G0569900	CP9_g28438_DN3_SP8_c.t1
OG0002414	Cg007G2455600	CP9_g28452_DN3_SP7_c.t1
OG0002414	Cg006G2011000	CP7_g45240_DN3_SP8_c.t1
OG0002415	Cg006G2012600	CP7_g45259_DN3_SP0_c.t1
OG0002416	Cg007G2456300	CP9_g28458_DN3_SP8_c.t1
OG0002416	Cg006G2012400	CP7_g45257_DN3_SP8_c.t1
OG0002417	Cg006G2014700	CP7_g45278_DN3_SP7_c.t1
OG0002417	Cg007G2463600	CP9_g28512_DN3_SP8_c.t1
OG0002418	Cg007G2459300	CP9_g28486_DN3_SP0_c.t1
OG0002418	Cg007G2463100	CP9_g28520_DN3_SP0_c.t1
OG0002419	Cg001G0116200	CP5_g1140_DN3_SP8_c.t1
OG0002419	Cg004G1441700	CP12_g29855_DN3_SP7_c.t1
OG0002420	Cg001G0386000	CP19_g17895_DN3_SP3_c.t1
OG0002420	Cg007G2268200	CP2_g48915_DN3_SP7_c.t1
OG0002422	Cg002G0630900	CP13_g19216_DN3_SP8_c.t1
OG0002424	Cg003G0878000	CP1_g37448_DN3_SP0_c.t1
OG0002424	Cg003G0829900	CP5_g1801_DN3_SP0_c.t1
OG0002425	Cg001G0216700	CP6_g6963_DN3_SP7_c.t1
OG0002426	Cg008G2960900	CP13_g19985_DN3_SP0_c.t1
OG0002429	Cg001G0229100	CP6_g7095_DN3_SP1_c.t1
OG0002429	Cg008G2983200	CP13_g19752_DN3_SP4_c.t1
OG0002430	Cg003G0759500	CP20_g4339_DN3_SP8_c.t1
OG0002431	Cg001G0010900, Cg004G1117600	CP5_g107_DN3_SP4_c.t1
OG0002432	Cg001G0176100	CP19_g18394_DN3_SP0_c.t1
OG0002434	Cg003G0749300	CP20_g4457_DN3_SP7_c.t1
OG0002434	Cg001G0178400	CP19_g18423_DN3_SP7_c.t1
OG0002435	Cg003G0747800	CP11_g31787_DN3_SP8_c.t1
OG0002435	Cg001G0179700	CP19_g18437_DN3_SP6_c.t1
OG0002436	Cg003G0746900	CP11_g31801_DN3_SP2_c.t1
OG0002436	Cg001G0181200	CP19_g18449_DN3_SP8_c.t1
OG0002437	Cg008G2950600	CP13_g20098_DN3_SP0_c.t1
OG0002437	Cg001G0201200	CP6_g6823_DN3_SP0_c.t1
OG0002438	Cg001G0195100	CP6_g6766_DN3_SP0_c.t1
OG0002440	Cg003G0863000, Cg003G0735400	CP11_g31921_DN2_SP0_c.t1
OG0002440	Cg001G0193100	CP6_g6745_DN2_SP0_c.t1
OG0002441	Cg001G0189100	CP6_g6699_DN3_SP0_c.t1
OG0002441	Cg001G0189000	CP6_g6698_DN3_SP5_c.t1
OG0002442	Cg001G0187800, Cg001G0187900	CP6_g6687_DN3_SP0_c.t1, CP19_g18524_DN3_SP0_c.t1
OG0002442	Cg001G0187700	CP19_g18523_DN3_SP0_c.t1
OG0002444	Cg008G2609100	CP2_g48798_DN3_SP0_c.t1
OG0002445	Cg007G2298000, Cg007G2298600	CP2_g49217_DN3_SP0_c.t1
OG0002446	Cg002G0418300	CP3_g13284_DN3_SP3_c.t1
OG0002446	Cg005G1471500	CP4_g24146_DN3_SP4_c.t1
OG0002447	Cg005G1493100	CP4_g24363_DN3_SP0_c.t1
OG0002447	Cg002G0431000	CP3_g13424_DN3_SP0_c.t1
OG0002448	Cg006G1850900	CP1_g38319_DN3_SP0_c.t1, CP1_g38326_DN3_SP7_c.t1
OG0002449	Cg002G0445700, Cg006G1819300	CP3_g13563_DN3_SP0_c.t1
OG0002450	Cg005G1512600	CP4_g24545_DN3_SP8_c.t1
OG0002450	Cg002G0450100	CP3_g13604_DN3_SP7_c.t1
OG0002451	Cg005G1516900	CP4_g24585_DN3_SP1_c.t1
OG0002451	Cg002G0453200	CP3_g13639_DN3_SP0_c.t1
OG0002453	Cg002G0484300	CP3_g13933_DN3_SP8_c.t1
OG0002453	Cg005G1545100	CP4_g24853_DN3_SP7_c.t1
OG0002454	Cg005G1563100	CP4_g25034_DN3_SP8_c.t1
OG0002455	Cg002G0493200	CP3_g14029_DN3_SP0_c.t1
OG0002456	Cg002G0502400	CP3_g14103_DN3_SP8_c.t1
OG0002458	Cg004G1420100	CP10_g43677_DN3_SP2_c.t1
OG0002458	Cg001G0035400	CP5_g357_DN3_SP6_c.t1
OG0002459	Cg004G1422400	CP10_g43651_DN1_SP0_c.t1
OG0002459	Cg001G0033200	CP5_g335_DN3_SP0_c.t1
OG0002460	Cg004G1424200	CP10_g43636_DN3_SP5_c.t1
OG0002460	Cg001G0099900	CP5_g976_DN3_SP8_c.t1
OG0002461	Cg004G1435800	CP10_g43542_DN3_SP0_c.t1
OG0002462	Cg005G1524600	CP4_g24659_DN3_SP2_c.t1
OG0002463	Cg005G1548800	CP4_g24885_DN3_SP0_c.t1
OG0002464	Cg003G0755200	CP20_g4387_DN3_SP7_c.t1
OG0002465	Cg001G0031100	CP5_g310_DN3_SP0_c.t1
OG0002465	Cg005G1754400	CP16_g55005_DN2_SP0_c.t1
OG0002466	Cg006G1926900	CP7_g44493_DN3_SP0_c.t1
OG0002467	Cg003G0752000	CP20_g4421_DN3_SP7_c.t1
OG0002467	Cg001G0176800	CP19_g18401_DN3_SP8_c.t1
OG0002469	Cg001G0116100	CP5_g1139_DN3_SP1_c.t1
OG0002470	Cg002G0573800	CP4_g24282_DN3_SP0_c.t1
OG0002470	Cg005G1485500	CP4_g24283_DN3_SP3_c.t1
OG0002471	Cg004G1413400, Cg004G1413300, Cg005G1486400	CP4_g24293_DN3_SP0_c.t1
OG0002472	Cg005G1495100	CP4_g24381_DN3_SP6_c.t1
OG0002472	Cg008G2796800	CP2_g48324_DN3_SP8_c.t1
OG0002473	Cg004G1106300	CP10_g42446_DN3_SP8_c.t1
OG0002474	Cg004G1106600	CP10_g42450_DN3_SP8_c.t1
OG0002474	Cg008G2835100	CP2_g48656_DN3_SP3_c.t1
OG0002476	Cg004G1147100	CP10_g42835_DN3_SP6_c.t1
OG0002476	Cg004G1147000	CP10_g42834_DN3_SP3_c.t1
OG0002477	Cg008G2588800	CP11_g33712_DN3_SP0_c.t1
OG0002477	Cg004G1148700	CP10_g42854_DN3_SP8_c.t1
OG0002478	Cg008G2627300	CP11_g33346_DN3_SP0_c.t1
OG0002480	Cg004G1200200	CP10_g43361_DN2_SP4_c.t1
OG0002480	Cg003G0771700	CP6_g7771_DN3_SP0_c.t1, CP5_g2091_DN3_SP0_c.t1
OG0002481	Cg004G1203000	CP10_g43378_DN3_SP7_c.t1
OG0002481	Cg006G1793800	CP7_g46325_DN3_SP8_c.t1
OG0002482	Cg001G0253900	CP6_g8309_DN3_SP0_c.t1
OG0002483	Cg004G1234500	CP12_g30039_DN3_SP6_c.t1
OG0002483	Cg001G0242400	CP6_g7222_DN3_SP8_c.t1
OG0002484	Cg001G0242900	CP6_g7226_DN3_SP0_c.t1
OG0002484	Cg004G1235300	CP12_g30047_DN3_SP0_c.t1
OG0002486	Cg007G2426400	CP9_g28185_DN3_SP0_c.t1
OG0002487	Cg001G0325900	CP5_g1854_DN3_SP5_c.t1
OG0002489	Cg008G2752200	CP8_g54463_DN3_SP8_c.t1
OG0002490	Cg002G0515100, Cg002G0515200	CP3_g14232_DN3_SP0_c.t1
OG0002491	Cg006G2241900	CP1_g36544_DN2_SP0_c.t1
OG0002491	Cg007G2480000	CP9_g28725_DN2_SP0_c.t1
OG0002492	Cg007G2317700	CP2_g49488_DN3_SP1_c.t1
OG0002492	Cg006G2167100	CP1_g37252_DN2_SP0_c.t1
OG0002493	Cg007G2323100, Cg007G2323300	CP2_g49548_DN3_SP7_c.t1
OG0002493	Cg006G2165000	CP1_g37269_DN3_SP8_c.t1
OG0002494	Cg006G2160200	CP1_g37324_DN3_SP1_c.t1
OG0002494	Cg006G2160100	CP1_g37325_DN3_SP5_c.t1
OG0002495	Cg006G2136000	CP2_g48954_DN3_SP8_c.t1
OG0002496	Cg006G2134400	CP1_g37592_DN3_SP8_c.t1
OG0002497	Cg006G2128300	CP1_g37655_DN3_SP8_c.t1
OG0002497	Cg002G0672700	CP13_g19458_DN3_SP5_c.t1
OG0002498	Cg002G0679700	CP13_g19518_DN3_SP2_c.t1
OG0002498	Cg006G2123800	CP1_g37704_DN3_SP8_c.t1
OG0002499	Cg002G0684200	CP13_g19564_DN3_SP0_c.t1
OG0002500	Cg006G2116100	CP1_g37782_DN3_SP5_c.t1
OG0002500	Cg002G0689200	CP13_g19626_DN3_SP7_c.t1
OG0002501	Cg006G2107300	CP7_g46165_DN3_SP8_c.t1
OG0002501	Cg007G2574800	CP9_g29669_DN3_SP7_c.t1
OG0002502	Cg003G0881000, Cg003G0832100	CP8_g52875_DN3_SP6_c.t1
OG0002503	Cg006G2043500	CP7_g45559_DN2_SP0_c.t1
OG0002503	Cg007G2552500	CP9_g29462_DN3_SP0_c.t1
OG0002504	Cg007G2475000	CP9_g28665_DN3_SP3_c.t1
OG0002505	Cg006G2030800	CP7_g45425_DN3_SP0_c.t1
OG0002505	Cg007G2474200	CP9_g28656_DN3_SP0_c.t1
OG0002506	Cg007G2471700	CP9_g28625_DN3_SP0_c.t1
OG0002506	Cg006G2025000	CP7_g45374_DN3_SP1_c.t1
OG0002507	Cg006G2147900	CP1_g37452_DN3_SP0_c.t1
OG0002507	Cg007G2286700	CP2_g49093_DN3_SP0_c.t1
OG0002510	Cg001G0025400	CP5_g247_DN3_SP8_c.t1
OG0002510	Cg005G1759600	CP16_g54931_DN3_SP8_c.t1
OG0002513	Cg001G0049500	CP5_g495_DN3_SP5_c.t1
OG0002514	Cg004G1387700, Cg004G1380000	CP5_g590_DN3_SP8_c.t1, CP17_g4847_DN3_SP6_c.t1
OG0002515	Cg001G0073400	CP5_g726_DN3_SP7_c.t1
OG0002515	Cg005G1718300	CP18_g12623_DN3_SP7_c.t1
OG0002516	Cg005G1730200	CP16_g55282_DN3_SP5_c.t1
OG0002516	Cg001G0081500	CP5_g791_DN3_SP8_c.t1
OG0002517	Cg001G0086800, Cg001G0087200	CP5_g835_DN3_SP0_c.t1
OG0002519	Cg007G2388400	CP31_g46775_DN3_SP0_c.t1, CP5_g1248_DN3_SP0_c.t1
OG0002520	Cg007G2430700	CP9_g28205_DN3_SP2_c.t1, CP9_g28204_DN3_SP0_c.t1, CP9_g28203_DN3_SP0_c.t1
OG0002523	Cg003G0789500, Cg003G0790000, Cg003G0790300	CP20_g3998_DN2_SP0_c.t1
OG0002525	Cg008G2957700	CP13_g20014_DN3_SP0_c.t1
OG0002530	Cg005G1749900	CP16_g55053_DN3_SP8_c.t1
OG0002531	Cg001G0006300	CP5_g57_DN3_SP1_c.t1
OG0002532	Cg002G0562900	CP3_g14741_DN3_SP0_c.t1
OG0002533	Cg002G0541700	CP3_g14516_DN1_SP0_c.t1
OG0002533	Cg003G1025200	CP2_g47964_DN2_SP0_c.t1
OG0002534	Cg002G0548200	CP3_g14594_DN3_SP1_c.t1
OG0002535	Cg002G0687900	CP13_g19611_DN3_SP8_c.t1
OG0002535	Cg006G2116900	CP1_g37774_DN3_SP7_c.t1
OG0002536	Cg008G2738100	CP11_g32227_DN3_SP8_c.t1
OG0002538	Cg008G2727900	CP11_g32335_DN3_SP0_c.t1
OG0002539	Cg008G2723400	CP11_g32382_DN3_SP0_c.t1
OG0002540	Cg008G2720500	CP11_g32409_DN3_SP5_c.t1
OG0002540	Cg004G1083600	CP10_g42214_DN3_SP6_c.t1
OG0002541	Cg008G2712900	CP11_g32480_DN2_SP0_c.t1
OG0002541	Cg004G1077600	CP10_g42155_DN2_SP0_c.t1
OG0002542	Cg008G2709000	CP11_g32517_DN3_SP8_c.t1
OG0002542	Cg004G1075400	CP10_g42136_DN3_SP8_c.t1
OG0002544	Cg008G2686600	CP11_g32735_DN3_SP8_c.t1
OG0002544	Cg008G2818000	CP2_g48510_DN3_SP5_c.t1
OG0002545	Cg003G1035500	CP2_g47861_DN3_SP4_c.t1
OG0002546	Cg003G1029400	CP2_g47921_DN3_SP8_c.t1
OG0002546	Cg008G2660000	CP11_g33001_DN3_SP6_c.t1
OG0002547	Cg003G0870100, Cg003G0727800	CP11_g32003_DN3_SP8_c.t1
OG0002548	Cg006G2231600	CP1_g36721_DN3_SP5_c.t1
OG0002548	Cg003G0866400, Cg003G0731900	CP11_g31962_DN3_SP8_c.t1
OG0002549	Cg006G2187700	CP1_g37044_DN3_SP6_c.t1
OG0002549	Cg005G1645600	CP4_g25855_DN3_SP5_c.t1
OG0002550	Cg005G1636600	CP4_g25782_DN3_SP4_c.t1
OG0002551	Cg005G1624800	CP4_g25681_DN3_SP5_c.t1
OG0002551	Cg006G2198900	CP1_g36949_DN3_SP0_c.t1
OG0002552	Cg006G2214400	CP1_g36558_DN3_SP8_c.t1
OG0002553	Cg005G1600800	CP4_g25426_DN3_SP4_c.t1
OG0002553	Cg006G2220700	CP1_g36616_DN3_SP8_c.t1
OG0002554	Cg006G2225600	CP1_g36664_DN3_SP8_c.t1
OG0002556	Cg006G1995100	CP7_g45082_DN3_SP8_c.t1
OG0002558	Cg005G1578000	CP4_g25192_DN3_SP7_c.t1
OG0002559	Cg002G0523500	CP3_g14327_DN3_SP8_c.t1
OG0002559	Cg003G1060400	CP2_g47618_DN3_SP8_c.t1
OG0002560	Cg003G1045900	CP2_g47757_DN3_SP6_c.t1
OG0002561	Cg008G2664500	CP11_g32952_DN2_SP0_c.t1
OG0002563	Cg003G1014800	CP2_g48063_DN3_SP8_c.t1
OG0002563	Cg002G0553700	CP3_g14658_DN3_SP8_c.t1
OG0002564	Cg003G1011800	CP2_g48094_DN3_SP0_c.t1
OG0002564	Cg008G2644300	CP11_g33175_DN3_SP4_c.t1
OG0002565	Cg008G2646800	CP11_g33148_DN3_SP4_c.t1
OG0002565	Cg003G1007200	CP2_g48138_DN3_SP6_c.t1
