Orthogroup	Arabis_alpina	Conringia_planisiliqua
OG0004389	Aa_G19120.h1.t1	CP3_g13769_DN1_SP0_c.t1, CP1_g37195_DN3_SP0_c.t1
OG0004390	Aa_G194070.h1.t1	CP1_g37229_DN3_SP0_c.t1
OG0004391	Aa_G160880.h1.t1	CP1_g37257_DN3_SP8_c.t1
OG0004392	Aa_G77460.h1.t1	CP1_g37489_DN3_SP8_c.t1
OG0004393	Aa_G10760.h1.t1, Aa_G10740.h1.t1, Aa_G10730.h1.t1	CP1_g37554_DN3_SP0_c.t1
OG0004394	Aa_G319730.h1.t1	CP1_g37562_DN3_SP0_c.t1
OG0004395	Aa_G291940.h1.t1, Aa_G291940.h2.t1	CP1_g37574_DN3_SP8_c.t1
OG0004396	Aa_G103890.h1.t1	CP7_g46088_DN3_SP7_c.t1
OG0004397	Aa_G374410.h1.t1	CP7_g45634_DN3_SP8_c.t1
OG0004398	Aa_G166150.h1.t1	CP7_g45576_DN3_SP3_c.t1
OG0004399	Aa_G372750.h1.t1	CP7_g45521_DN3_SP6_c.t1
OG0004400	Aa_G149370.h1.t1	CP9_g28784_DN3_SP7_c.t1
OG0004401	Aa_G189590.h1.t1	CP9_g28637_DN3_SP6_c.t1
OG0004403	Aa_G72420.h1.t1	CP2_g48952_DN3_SP3_c.t1, CP10_g43863_DN3_SP2_c.t1
OG0004404	Aa_G667120.h1.t1, Aa_G230000.h1.t1	CP2_g49987_DN3_SP0_c.t1, CP2_g49983_DN3_SP0_c.t1
OG0004405	Aa_G488460.h1.t1	CP13_g19070_DN3_SP0_c.t1
OG0004406	Aa_G103120.h1.t1	CP13_g20160_DN3_SP0_c.t1
OG0004407	Aa_G647390.h1.t1	CP18_g11848_DN2_SP1_c.t1
OG0004408	Aa_G91680.h1.t1, Aa_G702340.h1.t1	CP5_g176_DN3_SP6_c.t1
OG0004409	Aa_G363180.h1.t1	CP5_g326_DN3_SP0_c.t1
OG0004411	Aa_G288310.h1.t1	CP5_g692_DN3_SP8_c.t1
OG0004412	Aa_G242320.h1.t1	CP8_g54658_DN3_SP0_c.t1
OG0004413	Aa_G258370.h1.t1	CP5_g646_DN3_SP8_c.t1
OG0004414	Aa_G434210.h1.t1	CP5_g630_DN3_SP4_c.t1
OG0004415	Aa_G616700.h1.t1	CP5_g618_DN3_SP0_c.t1
OG0004416	Aa_G324910.h1.t1	CP5_g799_DN3_SP1_c.t1
OG0004417	Aa_G241480.h1.t1, Aa_G241460.h1.t1	CP5_g839_DN3_SP0_c.t1
OG0004419	Aa_G388020.h1.t1	CP12_g30735_DN3_SP1_c.t1
OG0004419	Aa_G388010.h1.t1	CP12_g30736_DN3_SP8_c.t1
OG0004420	Aa_G397300.h1.t1	CP7_g44326_DN2_SP1_c.t1
OG0004421	Aa_G67780.h1.t1	CP8_g54560_DN3_SP5_c.t1
OG0004422	Aa_G67830.h1.t1	CP8_g54569_DN3_SP0_c.t1
OG0004423	Aa_G18400.h1.t1	CP5_g1171_DN2_SP0_c.t1
OG0004424	Aa_G652280.h1.t1	CP7_g45391_DN3_SP1_c.t1
OG0004427	Aa_G728610.h1.t1	CP1_g38248_DN3_SP0_c.t1
OG0004428	Aa_G181030.h1.t1	CP1_g38097_DN3_SP1_c.t1
OG0004434	Aa_G133090.h1.t1, Aa_G571280.h1.t1	CP13_g19253_DN3_SP0_c.t1
OG0004436	Aa_G251060.h1.t1	CP2_g48615_DN3_SP2_c.t1
OG0004440	Aa_G293110.h1.t1	CP9_g29536_DN3_SP8_c.t1
OG0004440	Aa_G293090.h1.t1, Aa_G293100.h1.t1	CP9_g29535_DN3_SP1_c.t1
OG0004451	Aa_G360270.h1.t1	CP19_g18366_DN3_SP1_c.t1
OG0004453	Aa_G216890.h1.t1	CP4_g24826_DN3_SP0_c.t1
OG0004454	Aa_G179030.h1.t1, Aa_G712200.h1.t1	CP12_g30761_DN3_SP4_c.t1, CP5_g1963_DN3_SP3_c.t1
OG0004455	Aa_G323280.h1.t1	CP13_g19589_DN3_SP8_c.t1
OG0004456	Aa_G396220.h1.t1	CP11_g32160_DN2_SP8_c.t1
OG0004457	Aa_G38980.h1.t1	CP1_g36611_DN3_SP0_c.t1
OG0004458	Aa_G162320.h1.t1	CP11_g32282_DN3_SP6_c.t1
OG0004459	Aa_G273100.h1.t1	CP3_g13059_DN2_SP8_c.t1
OG0004460	Aa_G96820.h1.t1	CP11_g32344_DN3_SP0_c.t1
OG0004462	Aa_G304410.h1.t1	CP11_g32458_DN3_SP0_c.t1, CP11_g32457_DN3_SP0_c.t1
OG0004464	Aa_G323500.h1.t1	CP10_g43904_DN3_SP8_c.t1
OG0004465	Aa_G209540.h1.t1	CP11_g32595_DN3_SP8_c.t1
OG0004466	Aa_G19740.h1.t1	CP11_g32624_DN3_SP4_c.t1
OG0004468	Aa_G385360.h1.t1	CP11_g32653_DN3_SP0_c.t1
OG0004469	Aa_G155160.h1.t1	CP11_g32670_DN3_SP3_c.t1
OG0004470	Aa_G138300.h1.t1	CP11_g32693_DN3_SP0_c.t1
OG0004471	Aa_G233090.h1.t1	CP11_g32726_DN3_SP0_c.t1
OG0004472	Aa_G267690.h1.t1	CP11_g32750_DN3_SP0_c.t1
OG0004474	Aa_G45550.h1.t1	CP2_g50746_DN2_SP0_c.t1
OG0004475	Aa_G168670.h1.t1	CP11_g32849_DN3_SP1_c.t1
OG0004476	Aa_G98260.h1.t1	CP11_g32875_DN3_SP8_c.t1
OG0004477	Aa_G195910.h1.t1	CP4_g24995_DN3_SP0_c.t1, CP11_g32937_DN3_SP0_c.t1
OG0004478	Aa_G130400.h1.t1	CP11_g33006_DN3_SP8_c.t1
OG0004479	Aa_G392840.h1.t1	CP11_g33084_DN3_SP8_c.t1
OG0004480	Aa_G187630.h1.t1	CP11_g31982_DN3_SP5_c.t1
OG0004482	Aa_G353720.h1.t1	CP19_g18139_DN3_SP1_c.t1
OG0004483	Aa_G130140.h1.t1	CP8_g52692_DN3_SP0_c.t1
OG0004484	Aa_G633830.h1.t1	CP4_g26079_DN2_SP0_c.t1
OG0004485	Aa_G277900.h1.t1, Aa_G277900.h2.t1	CP4_g25961_DN3_SP8_c.t1
OG0004486	Aa_G422110.h1.t1	CP4_g25940_DN3_SP8_c.t1
OG0004487	Aa_G199790.h1.t1, Aa_G880.h1.t1	CP4_g25789_DN3_SP4_c.t1
OG0004489	Aa_G330010.h1.t1	CP4_g25766_DN3_SP8_c.t1
OG0004490	Aa_G119400.h1.t1	CP4_g25726_DN3_SP3_c.t1
OG0004492	Aa_G552360.h1.t1	CP4_g25711_DN3_SP0_c.t1
OG0004493	Aa_G584280.h1.t1	CP4_g25598_DN3_SP8_c.t1
OG0004494	Aa_G346440.h1.t1	CP4_g25494_DN2_SP0_c.t1
OG0004495	Aa_G257870.h1.t1	CP4_g25482_DN3_SP1_c.t1
OG0004496	Aa_G183760.h1.t1	CP4_g25447_DN3_SP8_c.t1
OG0004497	Aa_G208680.h1.t1	CP4_g25411_DN3_SP2_c.t1
OG0004498	Aa_G208590.h1.t1	CP4_g25404_DN3_SP0_c.t1
OG0004500	Aa_G203790.h1.t1	CP13_g20253_DN3_SP0_c.t1
OG0004502	Aa_G29570.h1.t1	CP19_g18069_DN3_SP3_c.t1
OG0004503	Aa_G128460.h1.t1	CP1_g38593_DN3_SP2_c.t1
OG0004504	Aa_G130680.h1.t1	CP7_g45094_DN3_SP2_c.t1
OG0004507	Aa_G329830.h1.t1	CP7_g45066_DN3_SP0_c.t1
OG0004508	Aa_G498730.h1.t1	CP7_g45038_DN3_SP8_c.t1
OG0004509	Aa_G456680.h1.t1	CP7_g45006_DN3_SP3_c.t1
OG0004510	Aa_G223760.h1.t1	CP7_g44973_DN3_SP1_c.t1
OG0004511	Aa_G108480.h1.t1	CP7_g44949_DN3_SP0_c.t1
OG0004512	Aa_G108320.h1.t1	CP7_g44918_DN1_SP0_c.t1
OG0004514	Aa_G378320.h1.t1	CP5_g1366_DN3_SP5_c.t1
OG0004514	Aa_G245080.h1.t1	CP9_g28610_DN3_SP2_c.t1
OG0004515	Aa_G538660.h1.t1	CP7_g44887_DN3_SP8_c.t1
OG0004516	Aa_G279770.h1.t1	CP7_g44826_DN2_SP1_c.t1
OG0004517	Aa_G299270.h1.t1	CP7_g44776_DN3_SP3_c.t1
OG0004518	Aa_G344880.h1.t1	CP13_g19557_DN3_SP1_c.t1
OG0004519	Aa_G171920.h1.t1	CP13_g19530_DN3_SP8_c.t1
OG0004520	Aa_G281880.h1.t1	CP13_g19486_DN3_SP8_c.t1
OG0004521	Aa_G180810.h1.t1	CP2_g47622_DN3_SP8_c.t1
OG0004522	Aa_G527010.h1.t1	CP2_g47747_DN3_SP4_c.t1
OG0004523	Aa_G21070.h1.t1	CP2_g47838_DN3_SP0_c.t1, CP12_g30901_DN3_SP0_c.t1
OG0004524	Aa_G268340.h1.t1	CP2_g47893_DN3_SP1_c.t1
OG0004525	Aa_G268280.h1.t1	CP2_g47901_DN3_SP7_c.t1
OG0004526	Aa_G102450.h1.t1	CP2_g47935_DN3_SP0_c.t1
OG0004527	Aa_G320880.h1.t1, Aa_G320870.h1.t1	CP2_g47995_DN3_SP0_c.t1, CP2_g47994_DN3_SP0_c.t1
OG0004528	Aa_G207470.h1.t1	CP3_g14657_DN3_SP8_c.t1
OG0004529	Aa_G131030.h1.t1, Aa_G131020.h1.t1	CP2_g48086_DN3_SP0_c.t1
OG0004530	Aa_G606850.h1.t1	CP2_g48162_DN3_SP0_c.t1
OG0004531	Aa_G104890.h1.t1	CP2_g48257_DN3_SP3_c.t1
OG0004532	Aa_G480350.h1.t1	CP13_g19510_DN1_SP0_c.t1
OG0004533	Aa_G517860.h1.t1	CP2_g48450_DN3_SP4_c.t1
OG0004534	Aa_G539240.h1.t1	CP2_g48471_DN3_SP5_c.t1
OG0004535	Aa_G539250.h1.t1	CP2_g48472_DN2_SP8_c.t1
OG0004536	Aa_G112860.h1.t1	CP2_g48517_DN3_SP8_c.t1
OG0004538	Aa_G68140.h1.t1	CP8_g54302_DN3_SP5_c.t1
OG0004540	Aa_G501630.h1.t1	CP8_g54239_DN3_SP0_c.t1
OG0004541	Aa_G672110.h1.t1	CP8_g54237_DN3_SP8_c.t1
OG0004542	Aa_G404800.h1.t1	CP8_g54228_DN3_SP0_c.t1
OG0004543	Aa_G444260.h1.t1	CP8_g54214_DN2_SP0_c.t1
OG0004544	Aa_G8920.h1.t1	CP8_g54195_DN2_SP0_c.t1
OG0004545	Aa_G459190.h1.t1	CP8_g54167_DN3_SP2_c.t1
OG0004546	Aa_G173810.h1.t1	CP8_g54135_DN3_SP7_c.t1
OG0004547	Aa_G234670.h1.t1	CP8_g54036_DN3_SP2_c.t1
OG0004549	Aa_G27940.h1.t1	CP8_g53946_DN3_SP0_c.t1
OG0004550	Aa_G297120.h1.t1	CP8_g53936_DN3_SP0_c.t1
OG0004551	Aa_G147850.h1.t1	CP8_g53869_DN3_SP2_c.t1
OG0004552	Aa_G344290.h1.t1	CP8_g53834_DN3_SP8_c.t1
OG0004553	Aa_G460500.h1.t1, Aa_G160870.h1.t1	CP1_g37258_DN3_SP7_c.t1
OG0004555	Aa_G482040.h1.t1, Aa_G182560.h1.t1	CP8_g53795_DN3_SP0_c.t1
OG0004557	Aa_G629700.h1.t1	CP8_g53675_DN3_SP2_c.t1
OG0004558	Aa_G22090.h1.t1	CP8_g53659_DN3_SP0_c.t1
OG0004560	Aa_G216650.h1.t1	CP8_g53605_DN3_SP0_c.t1
OG0004562	Aa_G439470.h1.t1	CP8_g53441_DN3_SP0_c.t1
OG0004563	Aa_G97800.h1.t1, Aa_G355450.h1.t1, Aa_G102530.h1.t1	CP3_g14433_DN3_SP7_c.t1
OG0004564	Aa_G102550.h1.t1	CP3_g14452_DN3_SP0_c.t1, CP3_g14451_DN2_SP0_c.t1
OG0004565	Aa_G365250.h1.t1, Aa_G564930.h1.t1, Aa_G564940.h1.t1	CP11_g33172_DN3_SP3_c.t1
OG0004566	Aa_G331860.h1.t1	CP11_g33419_DN3_SP5_c.t1
OG0004567	Aa_G73100.h1.t1	CP11_g33448_DN3_SP8_c.t1
OG0004569	Aa_G170090.h1.t1	CP11_g33541_DN3_SP0_c.t1
OG0004570	Aa_G260680.h1.t1	CP11_g33606_DN3_SP3_c.t1
OG0004571	Aa_G24340.h1.t1	CP10_g42836_DN3_SP5_c.t1
OG0004571	Aa_G264540.h1.t1	CP11_g33757_DN3_SP5_c.t1
OG0004572	Aa_G497470.h1.t1, Aa_G161550.h1.t1	CP9_g29691_DN2_SP1_c.t1
OG0004573	Aa_G312100.h1.t1	CP9_g29678_DN3_SP7_c.t1
OG0004574	Aa_G21650.h1.t1	CP9_g29637_DN3_SP0_c.t1
OG0004576	Aa_G236160.h1.t1, Aa_G656420.h1.t1	CP9_g29497_DN3_SP3_c.t1
OG0004578	Aa_G508960.h1.t1	CP9_g29466_DN3_SP4_c.t1
OG0004579	Aa_G526870.h1.t1	CP9_g29425_DN3_SP0_c.t1
OG0004580	Aa_G121580.h1.t1	CP9_g29418_DN3_SP8_c.t1
OG0004581	Aa_G165050.h1.t1	CP9_g29327_DN3_SP0_c.t1
OG0004583	Aa_G533870.h1.t1	CP9_g29193_DN3_SP7_c.t1
OG0004584	Aa_G533880.h1.t1	CP9_g29192_DN3_SP5_c.t1
OG0004585	Aa_G902400.h1.t1, Aa_G902400.h2.t1	CP7_g45254_DN3_SP3_c.t1
OG0004586	Aa_G118280.h1.t1	CP7_g46333_DN3_SP0_c.t1
OG0004587	Aa_G447130.h1.t1	CP5_g2054_DN3_SP4_c.t1
OG0004588	Aa_G501490.h1.t1	CP7_g46246_DN3_SP0_c.t1
OG0004589	Aa_G354180.h1.t1	CP4_g25140_DN3_SP3_c.t1
OG0004592	Aa_G266900.h1.t1	CP14_g22982_DN3_SP5_c.t1
OG0004593	Aa_G695140.h1.t1	CP8_g53240_DN3_SP0_c.t1
OG0004595	Aa_G66630.h1.t1	CP6_g7988_DN3_SP7_c.t1
OG0004597	Aa_G55000.h1.t1	CP6_g7504_DN3_SP5_c.t1
OG0004598	Aa_G594610.h1.t1	CP6_g7413_DN3_SP3_c.t1
OG0004599	Aa_G366490.h1.t1	CP9_g28920_DN3_SP6_c.t1
OG0004600	Aa_G419760.h1.t1	CP19_g18439_DN3_SP5_c.t1
OG0004601	Aa_G547190.h1.t1	CP9_g29089_DN3_SP3_c.t1
OG0004603	Aa_G44510.h1.t1	CP5_g1167_DN3_SP2_c.t1
OG0004604	Aa_G186640.h1.t1	CP5_g1096_DN3_SP0_c.t1
OG0004605	Aa_G151560.h1.t1	CP5_g1459_DN3_SP0_c.t1, CP5_g1461_DN3_SP0_c.t1
OG0004605	Aa_G151540.h1.t1	CP5_g1457_DN1_SP0_c.t1
OG0004606	Aa_G124260.h1.t1	CP8_g52957_DN3_SP8_c.t1
OG0004607	Aa_G257380.h1.t1	CP1_g37640_DN1_SP0_c.t1, CP1_g37641_DN1_SP0_c.t1, CP13_g19414_DN3_SP0_c.t1
OG0004608	Aa_G144550.h1.t1	CP9_g28596_DN3_SP0_c.t1
OG0004610	Aa_G290930.h1.t1	CP13_g19992_DN3_SP5_c.t1
OG0004611	Aa_G254130.h1.t1	CP12_g30421_DN3_SP8_c.t1
OG0004612	Aa_G415010.h1.t1	CP1_g37995_DN3_SP7_c.t1, CP1_g40678_DN3_SP0_c.t1, CP1_g37996_DN3_SP0_c.t1
OG0004613	Aa_G370100.h1.t1	CP1_g37975_DN3_SP2_c.t1
OG0004614	Aa_G225000.h1.t1	CP8_g52763_DN2_SP0_c.t1
OG0004615	Aa_G602120.h1.t1	CP12_g29998_DN2_SP0_c.t1
OG0004615	Aa_G407090.h1.t1	CP1_g37911_DN3_SP0_c.t1
OG0004616	Aa_G669290.h1.t1	CP1_g37882_DN3_SP4_c.t1, CP6_g7481_DN3_SP0_c.t1
OG0004618	Aa_G396660.h1.t1	CP7_g46212_DN3_SP4_c.t1
OG0004619	Aa_G24730.h1.t1	CP4_g25171_DN3_SP8_c.t1
OG0004620	Aa_G507690.h1.t1	CP6_g6938_DN3_SP7_c.t1
OG0004621	Aa_G748360.h1.t1	CP6_g6969_DN3_SP8_c.t1
OG0004622	Aa_G276430.h1.t1	CP6_g7927_DN3_SP0_c.t1
OG0004623	Aa_G155410.h1.t1	CP6_g6982_DN3_SP8_c.t1
OG0004624	Aa_G55810.h1.t1	CP19_g18304_DN3_SP1_c.t1
OG0004625	Aa_G92780.h1.t1	CP19_g18330_DN3_SP2_c.t1
OG0004626	Aa_G543440.h1.t1	CP10_g43945_DN3_SP0_c.t1
OG0004627	Aa_G542130.h1.t1	CP10_g43852_DN3_SP0_c.t1
OG0004628	Aa_G186860.h1.t1	CP19_g18246_DN3_SP4_c.t1
OG0004630	Aa_G124440.h1.t1	CP19_g18268_DN2_SP0_c.t1
OG0004633	Aa_G419800.h1.t1	CP19_g18442_DN3_SP8_c.t1
OG0004636	Aa_G52540.h1.t1	CP2_g48944_DN3_SP6_c.t1, CP16_g55074_DN3_SP4_c.t1
OG0004637	Aa_G163560.h1.t1	CP3_g13102_DN3_SP5_c.t1
OG0004638	Aa_G364390.h1.t1	CP3_g13109_DN2_SP0_c.t1
OG0004639	Aa_G2410.h1.t1	CP3_g13185_DN3_SP0_c.t1
OG0004640	Aa_G33450.h1.t1, Aa_G33470.h1.t1, Aa_G33490.h1.t1	CP3_g13221_DN3_SP0_c.t1
OG0004641	Aa_G128050.h1.t1, Aa_G170450.h1.t1	CP3_g13235_DN3_SP8_c.t1
OG0004642	Aa_G282440.h1.t1, Aa_G77360.h1.t1	CP3_g13353_DN3_SP4_c.t1
OG0004643	Aa_G323000.h1.t1	CP13_g20365_DN3_SP8_c.t1, CP3_g13423_DN3_SP0_c.t1
OG0004644	Aa_G362300.h1.t1	CP19_g18165_DN3_SP8_c.t1
OG0004647	Aa_G401940.h1.t1	CP3_g13602_DN3_SP0_c.t1
OG0004648	Aa_G461160.h1.t1	CP3_g13608_DN3_SP0_c.t1
OG0004650	Aa_G238660.h1.t1	CP3_g13640_DN3_SP0_c.t1
OG0004651	Aa_G562490.h1.t1	CP3_g13674_DN3_SP0_c.t1, CP3_g13673_DN1_SP0_c.t1
OG0004652	Aa_G174940.h1.t1	CP3_g13680_DN3_SP0_c.t1
OG0004653	Aa_G373110.h1.t1	CP3_g13707_DN3_SP0_c.t1
OG0004654	Aa_G268610.h1.t1	CP3_g13730_DN3_SP8_c.t1
OG0004655	Aa_G213650.h1.t1	CP3_g13785_DN3_SP0_c.t1, CP4_g25734_DN3_SP8_c.t1
OG0004656	Aa_G213570.h1.t1	CP3_g13794_DN3_SP0_c.t1
OG0004657	Aa_G266020.h1.t1, Aa_G266010.h1.t1	CP3_g13952_DN3_SP0_c.t1
OG0004659	Aa_G54550.h1.t1	CP8_g53409_DN3_SP8_c.t1
OG0004660	Aa_G231640.h1.t1	CP8_g53358_DN2_SP0_c.t1
OG0004661	Aa_G156860.h1.t1	CP9_g28341_DN3_SP7_c.t1
OG0004662	Aa_G169760.h1.t1	CP9_g28429_DN3_SP3_c.t1
OG0004663	Aa_G426630.h1.t1, Aa_G310030.h1.t1	CP10_g43649_DN2_SP0_c.t1
OG0004664	Aa_G632950.h1.t1	CP10_g43612_DN3_SP8_c.t1
OG0004665	Aa_G143420.h1.t1	CP10_g43584_DN3_SP7_c.t1
OG0004666	Aa_G677920.h1.t1	CP4_g24662_DN3_SP0_c.t1
OG0004667	Aa_G91720.h1.t1	CP16_g54853_DN3_SP8_c.t1
OG0004668	Aa_G482760.h1.t1	CP4_g24697_DN3_SP0_c.t1
OG0004669	Aa_G224250.h1.t1	CP4_g24717_DN3_SP0_c.t1
OG0004670	Aa_G38320.h1.t1	CP4_g24731_DN3_SP8_c.t1
OG0004671	Aa_G451100.h1.t1	CP4_g24754_DN3_SP0_c.t1
OG0004672	Aa_G357530.h1.t1	CP4_g24777_DN3_SP8_c.t1
OG0004673	Aa_G357520.h1.t1	CP4_g24778_DN3_SP5_c.t1
OG0004674	Aa_G444070.h1.t1	CP4_g24813_DN3_SP7_c.t1
OG0004676	Aa_G150880.h1.t1	CP4_g24929_DN1_SP0_c.t1
OG0004677	Aa_G954650.h1.t1, Aa_G895350.h1.t1	CP11_g31871_DN3_SP7_c.t1
OG0004678	Aa_G410070.h1.t1	CP20_g4440_DN2_SP0_c.t1
OG0004679	Aa_G255980.h1.t1, Aa_G64930.h1.t1	CP1_g39056_DN3_SP2_c.t1
OG0004680	Aa_G3250.h1.t1, Aa_G3240.h1.t1	CP20_g4095_DN3_SP8_c.t1
OG0004681	Aa_G289310.h1.t1	CP20_g4317_DN3_SP8_c.t1
OG0004682	Aa_G452400.h1.t1	CP20_g4379_DN3_SP0_c.t1
OG0004683	Aa_G40870.h1.t1	CP2_g48542_DN3_SP4_c.t1
OG0004684	Aa_G251220.h1.t1, Aa_G373250.h1.t1	CP2_g48637_DN3_SP0_c.t1
OG0004685	Aa_G422260.h1.t1	CP12_g29862_DN3_SP8_c.t1
OG0004686	Aa_G637760.h1.t1	CP5_g317_DN3_SP4_c.t1
OG0004687	Aa_G15970.h1.t1	CP4_g24159_DN3_SP8_c.t1
OG0004688	Aa_G175150.h1.t1	CP4_g24221_DN3_SP0_c.t1
OG0004689	Aa_G265100.h1.t1	CP4_g24266_DN3_SP8_c.t1
OG0004690	Aa_G125310.h1.t1	CP4_g24385_DN3_SP8_c.t1
OG0004691	Aa_G476760.h1.t1	CP13_g19788_DN3_SP3_c.t1
OG0004692	Aa_G14800.h1.t1	CP10_g42171_DN3_SP3_c.t1
OG0004693	Aa_G250400.h1.t1	CP10_g42266_DN3_SP7_c.t1
OG0004695	Aa_G185510.h1.t1	CP10_g42382_DN3_SP0_c.t1
OG0004696	Aa_G648120.h1.t1	CP2_g48545_DN3_SP2_c.t1
OG0004698	Aa_G163200.h1.t1, Aa_G276550.h1.t1	CP10_g42606_DN2_SP2_c.t1
OG0004699	Aa_G163090.h1.t1	CP10_g42614_DN3_SP6_c.t1
OG0004700	Aa_G47750.h1.t1	CP10_g42634_DN3_SP2_c.t1
OG0004701	Aa_G49980.h1.t1	CP10_g42657_DN3_SP2_c.t1
OG0004702	Aa_G78890.h1.t1	CP10_g42712_DN3_SP8_c.t1
OG0004703	Aa_G174410.h1.t1	CP10_g42767_DN3_SP8_c.t1
OG0004704	Aa_G174270.h1.t1	CP10_g42780_DN3_SP8_c.t1
OG0004705	Aa_G24360.h1.t1	CP10_g42833_DN3_SP8_c.t1
OG0004706	Aa_G403650.h1.t1	CP8_g52619_DN2_SP0_c.t1, CP10_g42902_DN3_SP0_c.t1
OG0004707	Aa_G5600.h1.t1	CP10_g43146_DN3_SP8_c.t1
OG0004708	Aa_G40570.h1.t1	CP10_g43192_DN3_SP6_c.t1
OG0004709	Aa_G40180.h1.t1	CP10_g43223_DN2_SP0_c.t1, CP10_g43224_DN3_SP0_c.t1
OG0004710	Aa_G40130.h1.t1	CP10_g43228_DN3_SP0_c.t1
OG0004711	Aa_G39930.h1.t1	CP10_g43248_DN3_SP1_c.t1
OG0004712	Aa_G176140.h1.t1	CP10_g43312_DN2_SP0_c.t1
OG0004713	Aa_G237730.h1.t1	CP10_g43362_DN3_SP6_c.t1
OG0004714	Aa_G237690.h1.t1	CP10_g43366_DN3_SP0_c.t1
OG0004715	Aa_G103510.h1.t1, Aa_G168800.h1.t1	CP2_g48830_DN3_SP3_c.t1
OG0004716	Aa_G234990.h1.t1	CP12_g29875_DN3_SP8_c.t1
OG0004717	Aa_G235060.h1.t1	CP12_g29881_DN3_SP8_c.t1
OG0004717	Aa_G396650.h1.t1	CP7_g46210_DN3_SP1_c.t1
OG0004718	Aa_G223550.h1.t1	CP12_g29986_DN3_SP0_c.t1
OG0004719	Aa_G367530.h1.t1, Aa_G367520.h1.t1	CP9_g28130_DN1_SP0_c.t1, CP12_g30005_DN3_SP1_c.t1
OG0004720	Aa_G150560.h1.t1, Aa_G246830.h1.t1	CP5_g157_DN3_SP0_c.t1
OG0004720	Aa_G164470.h1.t1	CP12_g30309_DN3_SP2_c.t1
OG0004721	Aa_G390030.h1.t1	CP12_g30185_DN3_SP0_c.t1
OG0004723	Aa_G136610.h1.t1	CP12_g30448_DN3_SP8_c.t1
OG0004724	Aa_G161930.h1.t1	CP12_g30457_DN3_SP5_c.t1
OG0004725	Aa_G162000.h1.t1	CP12_g30463_DN3_SP8_c.t1
OG0004726	Aa_G635090.h1.t1	CP12_g30472_DN3_SP0_c.t1
OG0004727	Aa_G635100.h1.t1	CP12_g30473_DN3_SP5_c.t1
OG0004728	Aa_G417830.h1.t1	CP5_g1642_DN3_SP5_c.t1
OG0004729	Aa_G312960.h2.t1, Aa_G312960.h1.t1, Aa_G312960.h3.t1	CP12_g30676_DN3_SP0_c.t1
OG0004730	Aa_G95440.h1.t1	CP12_g30627_DN3_SP0_c.t1
OG0004731	Aa_G91330.h1.t1	CP12_g30622_DN2_SP0_c.t1
OG0004732	Aa_G624330.h1.t1	CP5_g981_DN3_SP8_c.t1
OG0004733	Aa_G545370.h1.t1	CP8_g54479_DN2_SP0_c.t1
OG0004734	Aa_G280250.h1.t1	CP8_g54483_DN3_SP0_c.t1
OG0004735	Aa_G276240.h1.t1	CP8_g54498_DN3_SP4_c.t1
OG0004736	Aa_G87950.h1.t1	CP3_g14174_DN3_SP8_c.t1
OG0004737	Aa_G695970.h1.t1	CP3_g14179_DN3_SP1_c.t1
OG0004738	Aa_G261120.h1.t1	CP8_g53128_DN3_SP8_c.t1
OG0004739	Aa_G106200.h1.t1	CP1_g36407_DN3_SP7_c.t1, CP8_g54686_DN3_SP4_c.t1
OG0004740	Aa_G67970.h1.t1	CP8_g54585_DN3_SP8_c.t1
OG0004742	Aa_G248590.h1.t1	CP13_g19740_DN3_SP8_c.t1
OG0004743	Aa_G219990.h1.t1	CP1_g36869_DN3_SP6_c.t1
OG0004744	Aa_G140100.h1.t1	CP1_g36894_DN3_SP7_c.t1
OG0004745	Aa_G22500.h1.t1	CP1_g36957_DN3_SP2_c.t1
OG0004745	Aa_G520160.h1.t1	CP6_g7068_DN3_SP1_c.t1
OG0004746	Aa_G441420.h1.t1	CP1_g36995_DN3_SP8_c.t1
OG0004747	Aa_G751640.h1.t1, Aa_G670000.h1.t1, Aa_G670010.h1.t1	CP1_g37078_DN3_SP8_c.t1
OG0004748	Aa_G286090.h1.t1	CP1_g37079_DN3_SP0_c.t1
OG0004749	Aa_G286050.h1.t1	CP1_g37085_DN3_SP0_c.t1
OG0004750	Aa_G442680.h1.t1	CP1_g37133_DN3_SP8_c.t1
OG0004751	Aa_G19270.h1.t1	CP1_g37181_DN3_SP8_c.t1, CP1_g37146_DN2_SP0_c.t1
OG0004752	Aa_G19240.h1.t1	CP1_g37185_DN3_SP0_c.t1
OG0004753	Aa_G774820.h1.t1, Aa_G438930.h1.t1	CP1_g37279_DN3_SP0_c.t1
OG0004754	Aa_G698280.h1.t1	CP1_g37217_DN3_SP3_c.t1
OG0004755	Aa_G160950.h1.t1	CP1_g37251_DN3_SP2_c.t1
OG0004756	Aa_G440220.h1.t1	CP1_g37284_DN3_SP3_c.t1
OG0004757	Aa_G166180.h1.t1, Aa_G67520.h1.t1	CP12_g30914_DN3_SP2_c.t1
OG0004758	Aa_G171350.h1.t1	CP1_g37292_DN3_SP7_c.t1
OG0004759	Aa_G171360.h1.t1	CP1_g37294_DN3_SP7_c.t1
OG0004761	Aa_G535900.h1.t1	CP1_g37359_DN3_SP1_c.t1
OG0004763	Aa_G261890.h1.t1	CP1_g37521_DN3_SP2_c.t1
OG0004764	Aa_G10660.h1.t1	CP1_g37557_DN3_SP8_c.t1
