Orthogroup	Arabis_alpina	Camelina_sativa
OG0004282	Aa_G186920.h1.t1, Aa_G186870.h1.t1	XP_010448613.1
OG0004283	Aa_G264070.h1.t1	XP_010509685.1, XP_010504982.1, XP_010516662.1
OG0004284	Aa_G292470.h1.t1	XP_019086088.1, XP_010439305.2, XP_010448860.1
OG0004285	Aa_G204040.h1.t1	XP_010434330.1, XP_019087827.1, XP_010449238.1, XP_010445256.1
OG0004286	Aa_G580370.h1.t1	XP_010434262.1, XP_010439554.1, XP_010449145.1
OG0004287	Aa_G586770.h1.t1	XP_010439519.1, XP_010434236.1, XP_010449115.1
OG0004288	Aa_G295960.h1.t1	XP_010449700.1, XP_010434754.1, XP_010440089.1
OG0004289	Aa_G52650.h1.t1	XP_010435664.1, XP_010485362.1, XP_010497430.1
OG0004290	Aa_G272950.h1.t1	XP_010493809.1, XP_010493870.1, XP_010421482.1, XP_010454959.1
OG0004291	Aa_G163570.h1.t1	XP_010413209.1, XP_010468895.1, XP_010512700.1
OG0004292	Aa_G16850.h1.t1	XP_010508062.1, XP_010506611.1
OG0004293	Aa_G57940.h1.t1	XP_010512447.1, XP_010469035.1, XP_010413455.1
OG0004294	Aa_G451460.h1.t1	XP_010469296.1, XP_010413669.1
OG0004295	Aa_G114080.h1.t1	XP_010427764.1, XP_010516509.1, XP_010504816.1
OG0004296	Aa_G677310.h1.t1	XP_010427731.1, XP_010516470.1, XP_010504780.1
OG0004297	Aa_G98500.h1.t1	XP_019102429.1, XP_010463513.1, XP_010447400.2, XP_010504776.1, XP_010495277.1, XP_010427727.1
OG0004298	Aa_G114710.h1.t1	XP_010504701.1
OG0004299	Aa_G483500.h1.t1	XP_010516294.1, XP_010504601.1, XP_010427541.1
OG0004300	Aa_G774480.h1.t1	XP_010504569.1, XP_010427495.1, XP_010516269.1
OG0004301	Aa_G467650.h1.t1, Aa_G467670.h1.t1, Aa_G467630.h1.t1	XP_010431392.1, XP_010431394.1, XP_010412796.1, XP_010507478.1
OG0004302	Aa_G650990.h1.t1	XP_010504336.1, XP_010427240.1, XP_010516055.1
OG0004303	Aa_G505380.h1.t1	XP_010445775.1, XP_019087055.1, XP_010482731.1
OG0004304	Aa_G26850.h1.t1	XP_010466831.1, XP_010488527.1
OG0004305	Aa_G197460.h1.t1	XP_010467591.1, XP_010413277.1, XP_010489436.1
OG0004306	Aa_G606690.h1.t1	XP_010489514.1, XP_010497753.1, XP_010467622.1, XP_010413979.1
OG0004307	Aa_G92110.h1.t1, Aa_G426680.h1.t1	XP_010489562.1, XP_010414446.1, XP_010490444.1, XP_010468740.1
OG0004308	Aa_G143470.h1.t1	XP_010415402.1, XP_010467894.1, XP_010489493.1
OG0004309	Aa_G609690.h1.t1	XP_010513920.1, XP_010502182.1, XP_010424965.1
OG0004310	Aa_G88450.h1.t1	XP_010505884.1, XP_010517607.1, XP_010508748.1
OG0004311	Aa_G144150.h1.t1	XP_010508793.1, XP_010517530.1
OG0004312	Aa_G281250.h1.t1	XP_019101229.1, XP_010505827.1, XP_010517514.1, XP_010512921.1
OG0004313	Aa_G224180.h1.t1	XP_010517422.1, XP_010508911.1, XP_010505719.1
OG0004314	Aa_G202490.h1.t1	XP_010509062.1, XP_010505586.1, XP_010412940.1
OG0004316	Aa_G197180.h1.t1	XP_010517030.1, XP_010509314.1, XP_010505351.1
OG0004317	Aa_G35160.h1.t1	XP_010433838.1, XP_010455636.1, XP_010422172.1
OG0004318	Aa_G11860.h1.t1	XP_010417116.1, XP_010472366.1, XP_010429318.1
OG0004319	Aa_G233450.h1.t1	XP_010499135.1, XP_010460404.1, XP_010477974.1
OG0004320	Aa_G38760.h1.t1	XP_019100955.1, XP_010475102.2, XP_010462555.1, XP_010483803.1
OG0004322	Aa_G40950.h1.t1	XP_010495522.1, XP_010424350.1, XP_010421515.1, XP_010493915.1, XP_010455009.1, XP_010421516.1
OG0004323	Aa_G159560.h1.t1	XP_019097552.1, XP_019084210.1, XP_010455083.1
OG0004324	Aa_G26040.h1.t1	XP_010493981.1, XP_010455092.1, XP_010421582.1
OG0004325	Aa_G26100.h1.t1	XP_010421587.1, XP_010493993.1, XP_010455104.1
OG0004326	Aa_G593430.h1.t1	XP_010506729.1, XP_010507934.1, XP_010518395.1
OG0004327	Aa_G593440.h1.t1	XP_010506728.1
OG0004328	Aa_G196980.h1.t1	XP_019091483.1, XP_010506660.1, XP_010518325.1
OG0004329	Aa_G196810.h1.t1	XP_010506638.1, XP_010518309.1, XP_019101152.1
OG0004330	Aa_G381060.h1.t1	XP_010518290.1, XP_010516695.1, XP_010508053.1
OG0004331	Aa_G434050.h1.t1	XP_010466370.1, XP_010488143.1, XP_010510094.1
OG0004332	Aa_G15930.h1.t1	XP_010413492.1, XP_010512441.1, XP_010518205.1, XP_010508125.1, XP_010506534.1
OG0004334	Aa_G401530.h1.t1	XP_010508466.1, XP_010517868.1, XP_010506173.1
OG0004335	Aa_G401580.h1.t1	XP_010506167.1, XP_010508472.1, XP_010517862.1, XP_010504861.1, XP_010512127.1
OG0004336	Aa_G200010.h1.t1	XP_010508514.1, XP_010517832.1
OG0004337	Aa_G352380.h1.t1	XP_010495811.1, XP_010441491.1, XP_010481352.1
OG0004338	Aa_G712430.h1.t1	XP_010481361.1, XP_010441495.1, XP_010494936.1
OG0004339	Aa_G213930.h1.t1	XP_010494916.1, XP_010481379.1
OG0004340	Aa_G269280.h1.t1	XP_010464133.1, XP_010486055.1, XP_010432199.1
OG0004342	Aa_G47240.h1.t1	XP_010464255.1, XP_010443616.1, XP_010486193.1
OG0004343	Aa_G47130.h1.t1	XP_010464266.1, XP_010444781.1, XP_010486205.1
OG0004344	Aa_G258570.h1.t1	XP_010464432.1, XP_010459013.1, XP_010486363.1
OG0004345	Aa_G569360.h1.t1	XP_010464666.1, XP_010480268.1, XP_010486587.1
OG0004346	Aa_G195530.h1.t1	XP_010487129.1, XP_010486770.1, XP_010464823.1
OG0004347	Aa_G5590.h1.t1	XP_010498165.1, XP_010464915.1, XP_010486852.1
OG0004349	Aa_G40260.h1.t1	XP_010499230.1, XP_010486983.1, XP_010465035.1
OG0004350	Aa_G716800.h1.t1	XP_010500023.1, XP_010465115.1, XP_010487058.1
OG0004351	Aa_G176110.h1.t1	XP_010501164.1, XP_010462401.1, XP_010480084.1
OG0004352	Aa_G614360.h1.t1	XP_010487157.1, XP_010465251.1, XP_019101700.1
OG0004353	Aa_G974250.h1.t1, Aa_G237580.h1.t1	XP_010487194.1, XP_010465290.1, XP_010501611.1
OG0004354	Aa_G483840.h1.t1	XP_010487217.1, XP_010487215.1, XP_010497654.1, XP_010465308.1, XP_010501747.1
OG0004355	Aa_G1490.h1.t1	XP_010487295.1, XP_019095507.1
OG0004356	Aa_G234950.h1.t1	XP_010502851.1, XP_019092582.1, XP_010487359.1
OG0004357	Aa_G235000.h1.t1	XP_010465502.1, XP_010502892.1, XP_010487364.1
OG0004358	Aa_G235040.h1.t1	XP_010417668.1, XP_010465512.1, XP_010502973.1, XP_010487370.1
OG0004359	Aa_G242040.h1.t1	XP_010503650.1, XP_010487443.1
OG0004360	Aa_G627400.h1.t1	XP_010497626.1, XP_010497624.1, XP_010489003.1, XP_010467778.1
OG0004361	Aa_G71170.h1.t1	XP_010465739.1, XP_010487585.1, XP_010505010.1
OG0004362	Aa_G522270.h1.t1	XP_010487791.1, XP_010507076.1, XP_010465978.1
OG0004363	Aa_G108130.h1.t1	XP_010466033.1, XP_010466030.1, XP_019092850.1, XP_019092851.1, XP_010487827.1, XP_010507341.1
OG0004364	Aa_G164420.h1.t1	XP_010487903.1, XP_010507810.1, XP_010466108.1
OG0004365	Aa_G152550.h1.t1	XP_019092427.1, XP_010487991.1, XP_010508646.1
OG0004366	Aa_G250530.h1.t1	XP_010466236.1, XP_010420268.1, XP_010488020.1
OG0004367	Aa_G136640.h1.t1	XP_010509502.1, XP_010488077.1, XP_010466300.1
OG0004368	Aa_G161980.h1.t1	XP_010509687.1, XP_010488096.1, XP_010466332.1
OG0004369	Aa_G497620.h1.t1, Aa_G497630.h1.t1	XP_010468340.1
OG0004370	Aa_G505920.h1.t1	XP_019087903.1, XP_010450531.1, XP_010435613.1
OG0004372	Aa_G287020.h1.t1	XP_010442218.1, XP_010439224.1, XP_010482051.1
OG0004373	Aa_G178970.h1.t1	XP_010466734.1, XP_010488453.1, XP_010512882.1
OG0004374	Aa_G252860.h1.t1	XP_010512224.1, XP_010488375.1, XP_010466641.1
OG0004375	Aa_G326730.h1.t1	XP_019096432.1, XP_019083273.1, XP_019092653.1
OG0004376	Aa_G455800.h1.t1	XP_010510748.1, XP_010488209.1, XP_010466451.1
OG0004377	Aa_G171650.h1.t1	XP_010510513.1, XP_010466428.1, XP_010488191.1
OG0004378	Aa_G171660.h1.t1	XP_010510504.1, XP_010488190.1, XP_010466427.1
OG0004379	Aa_G752440.h1.t1, Aa_G229460.h1.t1	XP_010510226.1, XP_010488159.1, XP_010466387.1
OG0004380	Aa_G474660.h1.t1	XP_010415064.1, XP_010496205.1, XP_010511416.1
OG0004382	Aa_G178610.h1.t1	XP_010515597.1, XP_010503862.1, XP_010426743.1
OG0004383	Aa_G122900.h1.t1	XP_010431249.1
OG0004384	Aa_G325280.h1.t1	XP_010480863.1, XP_010474644.1, XP_010457204.1
OG0004385	Aa_G134930.h1.t1	XP_010482141.1, XP_010474974.1, XP_010457358.1, XP_010455983.1
OG0004387	Aa_G140030.h1.t1	XP_010475319.1, XP_010457707.1, XP_010485557.1
OG0004388	Aa_G481490.h1.t1	XP_010488092.1, XP_019091601.1, XP_019095309.1
OG0004389	Aa_G19120.h1.t1	XP_019085597.1, XP_019101924.1, XP_010504448.1, XP_010501389.2, XP_010489775.1, XP_010458196.1
OG0004390	Aa_G194070.h1.t1	XP_010475785.1, XP_010458233.1, XP_010490060.1
OG0004391	Aa_G160880.h1.t1	XP_010490302.1, XP_010458275.1, XP_010475823.1
OG0004392	Aa_G77460.h1.t1	XP_019098952.1, XP_010458604.1, XP_010476131.1
OG0004393	Aa_G10760.h1.t1, Aa_G10740.h1.t1, Aa_G10730.h1.t1	XP_010476225.1, XP_010494315.1
OG0004394	Aa_G319730.h1.t1	XP_010476231.1, XP_010458688.1, XP_010494384.1, XP_010476230.2
OG0004395	Aa_G291940.h1.t1, Aa_G291940.h2.t1	XP_010458710.1, XP_010476241.1, XP_010494577.1
OG0004396	Aa_G103890.h1.t1	XP_010476769.1, XP_010459200.1, XP_010497975.1
OG0004397	Aa_G374410.h1.t1	XP_010496503.1, XP_010498603.1, XP_010459857.1
OG0004398	Aa_G166150.h1.t1	XP_010498671.1, XP_010477465.1, XP_019090898.1
OG0004399	Aa_G372750.h1.t1	XP_019091212.1, XP_010497801.1, XP_010460023.1, XP_010460022.1, XP_010498742.1, XP_010498744.1, XP_010477522.1
OG0004400	Aa_G149370.h1.t1	XP_010471175.1, XP_010415874.1, XP_010427998.1
OG0004401	Aa_G189590.h1.t1	XP_010471020.1, XP_010512104.1, XP_010415702.1
OG0004403	Aa_G72420.h1.t1	XP_010418347.1, XP_010430413.1, XP_010473560.1
OG0004404	Aa_G667120.h1.t1, Aa_G230000.h1.t1	XP_010511253.1, XP_010480222.1, XP_010511252.1, XP_010480221.1, XP_010414960.1
OG0004405	Aa_G488460.h1.t1	XP_010441387.1, XP_010441388.1, XP_010419510.1, XP_010430585.1, XP_010473716.1
OG0004406	Aa_G103120.h1.t1	XP_010441894.1, XP_010481679.1, XP_010494453.1
OG0004407	Aa_G647390.h1.t1	XP_010504138.1, XP_010515871.1, XP_010427025.1
OG0004408	Aa_G702340.h1.t1	XP_010431971.1, XP_019089640.1
OG0004409	Aa_G363180.h1.t1	XP_010446732.1, XP_010437294.1, XP_010432122.1
OG0004410	Aa_G395530.h1.t1	XP_010437509.1, XP_010432316.1, XP_010446966.1
OG0004411	Aa_G288310.h1.t1	XP_010447269.1, XP_010432597.1, XP_010437789.1
OG0004412	Aa_G242320.h1.t1	XP_010456308.1, XP_010496904.1, XP_010419559.1, XP_010426760.1, XP_010501873.1, XP_010463255.1, XP_010480997.1, XP_010501872.1
OG0004413	Aa_G258370.h1.t1	XP_010437736.1, XP_010447212.1
OG0004414	Aa_G434210.h1.t1	XP_010447183.1, XP_010432503.1, XP_010437708.1
OG0004415	Aa_G616700.h1.t1	XP_010447167.1, XP_010437687.1, XP_010432485.1
OG0004416	Aa_G324910.h1.t1	XP_010451088.2, XP_010437963.1, XP_010432781.1
OG0004417	Aa_G241480.h1.t1, Aa_G241460.h1.t1	XP_010438016.1, XP_010447522.1
OG0004419	Aa_G388020.h1.t1	XP_010421586.1
OG0004419	Aa_G388010.h1.t1	XP_010466713.1
OG0004420	Aa_G397300.h1.t1	XP_010461298.1, XP_010500019.1, XP_010478925.1
OG0004421	Aa_G67780.h1.t1	XP_010456184.1, XP_010428025.1, XP_010422744.1
OG0004422	Aa_G67830.h1.t1	XP_010427969.1, XP_010422752.1, XP_010466797.1
OG0004423	Aa_G18400.h1.t1	XP_010433237.1, XP_010438479.1, XP_010447998.1
OG0004424	Aa_G652280.h1.t1	XP_010460170.1, XP_010498916.1, XP_010498910.1, XP_010477710.1
OG0004427	Aa_G728610.h1.t1	XP_010500410.1, XP_010479294.1, XP_010479196.2, XP_010461698.1, XP_010500411.1, XP_010479297.1
OG0004428	Aa_G181030.h1.t1	XP_010461858.1, XP_010500562.1, XP_010478439.1, XP_010461857.1, XP_010500560.1, XP_010478440.1
OG0004429	Aa_G408690.h1.t1	XP_010462136.2, XP_019095031.1
OG0004434	Aa_G133090.h1.t1, Aa_G571280.h1.t1	XP_010422036.1, XP_010455498.1, XP_010435641.1, XP_010448087.1, XP_019086077.1, XP_010438563.1
OG0004436	Aa_G251060.h1.t1	XP_010494018.1, XP_010421638.1
OG0004438	Aa_G15200.h1.t1	XP_019089161.1
OG0004440	Aa_G293110.h1.t1	XP_010472731.1, XP_019085158.1, XP_010417509.1
OG0004440	Aa_G293090.h1.t1, Aa_G293100.h1.t1	XP_010429761.1
OG0004451	Aa_G360270.h1.t1	XP_010433947.1, XP_010448780.1, XP_010439237.1
OG0004452	Aa_G148070.h1.t1	XP_010454294.1
OG0004453	Aa_G216890.h1.t1	XP_010505547.1, XP_010509095.1
OG0004454	Aa_G179030.h1.t1, Aa_G712200.h1.t1	XP_010441475.1, XP_010481341.1, XP_010494963.1
OG0004455	Aa_G323280.h1.t1	XP_010502232.1, XP_010424994.1, XP_010513984.1, XP_010513982.1
OG0004456	Aa_G396220.h1.t1	XP_010454031.1, XP_010420549.1, XP_010492803.1
OG0004457	Aa_G38980.h1.t1	XP_010484021.1, XP_010492608.1, XP_010453848.1, XP_010475128.1, XP_010457521.1
OG0004458	Aa_G162320.h1.t1	XP_010453858.1, XP_010420385.1, XP_010492615.1
OG0004459	Aa_G273100.h1.t1	XP_010512759.1, XP_010512758.1, XP_010413152.1, XP_010468853.1, XP_010413151.1
OG0004460	Aa_G96820.h1.t1	XP_010420314.1, XP_010453785.1, XP_010492511.1
OG0004462	Aa_G304410.h1.t1	XP_010420166.1, XP_010492336.1, XP_010453639.1
OG0004463	Aa_G7960.h1.t1, Aa_G561670.h1.t1	XP_010453610.1
OG0004464	Aa_G323500.h1.t1	XP_010467399.1, XP_010489239.1, XP_010516390.1
OG0004465	Aa_G209540.h1.t1	XP_010453472.1, XP_010419980.1, XP_010492149.1
OG0004466	Aa_G19740.h1.t1	XP_010453418.1, XP_019097844.1, XP_010419923.1
OG0004467	Aa_G242010.h1.t1, Aa_G458860.h1.t1	XP_010499638.1, XP_010480781.1
OG0004468	Aa_G385360.h1.t1	XP_010453370.2, XP_010492059.1
OG0004469	Aa_G155160.h1.t1	XP_010419855.1, XP_010492033.1
OG0004470	Aa_G138300.h1.t1	XP_010453309.1, XP_010419831.1, XP_010491999.1
OG0004471	Aa_G233090.h1.t1	XP_010495163.1, XP_019090124.1, XP_010419789.1, XP_010453269.1
OG0004472	Aa_G267690.h1.t1	XP_010453237.1, XP_010419762.1, XP_010491931.1
OG0004473	Aa_G70580.h1.t1, Aa_G259200.h1.t1, Aa_G259220.h1.t1	XP_010491806.1, XP_010419666.1
OG0004474	Aa_G45550.h1.t1	XP_019083928.1, XP_019097696.1, XP_010518634.1
OG0004475	Aa_G312630.h1.t1	XP_010424699.1
OG0004476	Aa_G98260.h1.t1	XP_010422835.1, XP_010453080.1, XP_010491724.1
OG0004477	Aa_G195910.h1.t1	XP_010456463.1, XP_010422918.1, XP_019097309.1
OG0004478	Aa_G130400.h1.t1	XP_010491536.1, XP_010423023.1, XP_010452896.1
OG0004479	Aa_G392840.h1.t1	XP_010452781.1, XP_010423138.1, XP_010495111.1
OG0004480	Aa_G187630.h1.t1	XP_010455974.1, XP_010422496.1, XP_010430730.1
OG0004481	Aa_G187730.h1.t1	XP_010422488.1, XP_010430792.1, XP_010456755.1, XP_010507070.1, XP_010455985.1
OG0004482	Aa_G353720.h1.t1	XP_010433689.1, XP_019087349.1, XP_010448480.1
OG0004483	Aa_G130140.h1.t1	XP_010438969.1, XP_010433725.1, XP_010448519.1
OG0004484	Aa_G633830.h1.t1	XP_010473131.1, XP_010417892.1, XP_010510776.1
OG0004485	Aa_G277900.h1.t1, Aa_G277900.h2.t1	XP_010510705.1, XP_019083114.1, XP_010470145.1
OG0004486	Aa_G422110.h1.t1	XP_010510679.1, XP_010470133.1, XP_010414583.1
OG0004487	Aa_G199790.h1.t1, Aa_G880.h1.t1	XP_010414338.1, XP_010418788.1, XP_010510468.1, XP_010510436.1, XP_010470349.1, XP_010414900.1, XP_010510470.1, XP_010510433.1, XP_019085735.1
OG0004488	Aa_G391910.h1.t1	XP_010473969.1, XP_010418780.1, XP_010513240.1
OG0004489	Aa_G330010.h1.t1	XP_010414326.1, XP_010469908.1, XP_010510423.1
OG0004490	Aa_G119400.h1.t1	XP_010469872.1, XP_010414283.1, XP_010510381.1
OG0004491	Aa_G645450.h1.t1	XP_019082551.1, XP_010510362.1, XP_010469855.1
OG0004492	Aa_G552360.h1.t1	XP_010414264.1, XP_010491642.1, XP_010469852.1
OG0004493	Aa_G584280.h1.t1	XP_010510191.1, XP_010414118.1, XP_019094099.1
OG0004494	Aa_G346440.h1.t1	XP_010413970.1, XP_010469564.1, XP_010509991.1
OG0004495	Aa_G257870.h1.t1	XP_010469547.1, XP_010413950.1, XP_010509972.1
OG0004496	Aa_G183760.h1.t1	XP_010413916.1, XP_010509930.1, XP_010469518.1
OG0004497	Aa_G208680.h1.t1	XP_010509897.1, XP_010413875.1, XP_010469483.1, XP_010413880.1
OG0004499	Aa_G519820.h1.t1	XP_010442019.1, XP_010494329.1, XP_010481859.1
OG0004502	Aa_G29570.h1.t1	XP_010438837.1, XP_010448384.1, XP_010433595.1
OG0004503	Aa_G128460.h1.t1	XP_010461484.1, XP_010500197.2
OG0004504	Aa_G130680.h1.t1	XP_010499289.1, XP_010460563.1, XP_010478148.1
OG0004505	Aa_G48110.h1.t1	XP_010478177.1, XP_010460587.1, XP_010499312.1
OG0004507	Aa_G329830.h1.t1	XP_010499335.1, XP_010460605.1, XP_010478194.1
OG0004508	Aa_G498730.h1.t1	XP_010460647.1, XP_010499379.1, XP_010478222.1
OG0004509	Aa_G456680.h1.t1	XP_010499426.1, XP_010478266.1, XP_010460679.1
OG0004510	Aa_G223760.h1.t1	XP_010460718.1, XP_010499454.1, XP_010478300.1, XP_010460717.1, XP_010499453.1, XP_010478299.1
OG0004511	Aa_G108480.h1.t1	XP_010499474.1, XP_010478328.1, XP_010460736.1
OG0004512	Aa_G108320.h1.t1	XP_010478348.1, XP_010499496.1, XP_010462980.1
OG0004513	Aa_G657770.h1.t1	XP_010478360.1, XP_010460761.1, XP_010499500.1, XP_019093653.1, XP_010478941.2, XP_010431504.1, XP_010451186.1
OG0004514	Aa_G378320.h1.t1, Aa_G245080.h1.t1	XP_010518093.1, XP_010508237.1, XP_010506420.1
OG0004515	Aa_G538660.h1.t1	XP_010478383.1, XP_010499526.1
OG0004516	Aa_G279770.h1.t1	XP_010460878.1, XP_010478503.1, XP_010499613.1, XP_010460877.1
OG0004517	Aa_G299270.h1.t1	XP_010499676.1, XP_010460953.1, XP_010478570.1
OG0004518	Aa_G344880.h1.t1	XP_010502279.1, XP_010425041.1, XP_010514040.1
OG0004519	Aa_G171920.h1.t1	XP_010514078.1, XP_010425096.1, XP_010502320.1
OG0004520	Aa_G281880.h1.t1	XP_010425167.1, XP_010514136.1, XP_010502389.1
OG0004521	Aa_G180810.h1.t1	XP_010484570.1, XP_010464737.1, XP_010444713.1
OG0004522	Aa_G527010.h1.t1	XP_010484351.1, XP_010463010.1, XP_010444519.1
OG0004523	Aa_G21070.h1.t1	XP_010484247.1, XP_010444399.1, XP_010462937.1
OG0004524	Aa_G268340.h1.t1	XP_010461398.1, XP_010444339.1, XP_010484181.1
OG0004525	Aa_G268280.h1.t1	XP_010444330.1, XP_010461339.1, XP_010484176.1
OG0004526	Aa_G102450.h1.t1	XP_010485174.1, XP_010444290.1, XP_010484128.1, XP_010460928.1
OG0004527	Aa_G320880.h1.t1, Aa_G320870.h1.t1	XP_010459902.1, XP_010444194.1
OG0004528	Aa_G13500.h1.t1	XP_010515052.1, XP_010503346.1, XP_010426187.1
OG0004529	Aa_G131030.h1.t1, Aa_G131020.h1.t1	XP_010483922.1, XP_010458364.1
OG0004530	Aa_G606850.h1.t1	XP_010443962.1, XP_010483809.1, XP_010457323.1
OG0004531	Aa_G104890.h1.t1	XP_010421124.1, XP_010454607.1, XP_010493443.1, XP_010456657.1
OG0004532	Aa_G480350.h1.t1	XP_010514103.1, XP_010502349.1, XP_010425123.1
OG0004533	Aa_G517860.h1.t1	XP_019090334.1, XP_010424315.1, XP_010490150.1, XP_010468512.1
OG0004534	Aa_G539240.h1.t1	XP_010454906.1, XP_010421423.1, XP_010493823.1
OG0004535	Aa_G539250.h1.t1	XP_010421426.1, XP_010454909.1, XP_010493826.1
OG0004536	Aa_G112860.h1.t1	XP_010493880.1, XP_010454969.1
OG0004537	Aa_G463760.h1.t1, Aa_G463790.h1.t1	XP_010435505.1, XP_010440791.1, XP_010450436.1
OG0004538	Aa_G68140.h1.t1	XP_010493127.1, XP_010420859.1, XP_010454323.1
OG0004539	Aa_G15420.h1.t1	XP_010420906.1, XP_010454370.1, XP_010493168.1
OG0004540	Aa_G501630.h1.t1	XP_010454398.1, XP_010497657.1, XP_010420933.1, XP_010493201.1
OG0004541	Aa_G672110.h1.t1	XP_010454400.1, XP_010420934.1, XP_010493202.1
OG0004542	Aa_G404800.h1.t1	XP_010454412.1, XP_010420947.1, XP_010493214.1
OG0004543	Aa_G444260.h1.t1	XP_010493233.1, XP_010454436.1, XP_010424211.1
OG0004544	Aa_G8920.h1.t1	XP_010496782.1, XP_010454459.1, XP_010420986.1
OG0004545	Aa_G459190.h1.t1	XP_010421017.1, XP_010454494.1, XP_010493306.1
OG0004546	Aa_G173810.h1.t1	XP_010421063.1, XP_010454538.1, XP_010493365.1
OG0004547	Aa_G234670.h1.t1	XP_010443800.1, XP_010483656.1, XP_010455988.1
OG0004548	Aa_G33760.h1.t1	XP_010455547.1, XP_010443761.1, XP_010485244.1
OG0004549	Aa_G27940.h1.t1	XP_019095509.1, XP_010443687.1, XP_010454903.1, XP_010497476.1, XP_010497724.1
OG0004550	Aa_G297120.h1.t1	XP_010443679.1, XP_010483544.1, XP_010454821.1
OG0004551	Aa_G147850.h1.t1	XP_010454035.1, XP_010483466.1, XP_010443610.1
OG0004552	Aa_G344290.h1.t1	XP_010443559.1, XP_010483410.1, XP_010453526.1
OG0004553	Aa_G460500.h1.t1, Aa_G160870.h1.t1	XP_010458276.1, XP_010490310.1
OG0004555	Aa_G482040.h1.t1, Aa_G182560.h1.t1	XP_010443509.1, XP_010453037.1, XP_010483358.1
OG0004557	Aa_G629700.h1.t1	XP_010451548.1, XP_010483172.1, XP_010443344.1
OG0004558	Aa_G22090.h1.t1	XP_010451360.1, XP_010443315.1, XP_010483143.1
OG0004560	Aa_G216650.h1.t1	XP_010483090.1, XP_010443268.1, XP_010450774.1, XP_010476288.1
OG0004561	Aa_G149080.h1.t1	XP_010448182.1, XP_010433416.1, XP_010438665.1
OG0004562	Aa_G439470.h1.t1	XP_019085027.1, XP_010482879.1, XP_010443049.1, XP_019091947.1
OG0004563	Aa_G97800.h1.t1, Aa_G355450.h1.t1, Aa_G102530.h1.t1	XP_010515291.1, XP_010426447.1, XP_010503586.1
OG0004564	Aa_G102550.h1.t1	XP_019084896.1, XP_010503576.1, XP_010515268.2
OG0004565	Aa_G365250.h1.t1, Aa_G564930.h1.t1, Aa_G564940.h1.t1	XP_010423236.1, XP_010452680.1, XP_010491329.1
OG0004566	Aa_G331860.h1.t1	XP_010423540.1, XP_010490996.1, XP_010452376.1
OG0004567	Aa_G73100.h1.t1	XP_010490953.1, XP_019084520.1, XP_019090498.1
OG0004569	Aa_G170090.h1.t1	XP_010424795.1, XP_010423704.1, XP_010452231.1, XP_010490834.1
OG0004570	Aa_G260680.h1.t1	XP_010490738.1, XP_010423831.1, XP_010452122.1
OG0004571	Aa_G24340.h1.t1, Aa_G264540.h1.t1	XP_010464485.1, XP_010486420.1, XP_010464238.1
OG0004572	Aa_G497470.h1.t1, Aa_G161550.h1.t1	XP_010447049.1, XP_019088503.1, XP_010429989.1, XP_010417732.1, XP_010472957.1
OG0004573	Aa_G312100.h1.t1	XP_010429973.1, XP_019094113.1, XP_010417715.1
OG0004574	Aa_G21650.h1.t1	XP_010472886.1, XP_010429919.1, XP_010429920.1, XP_010472887.1
OG0004576	Aa_G236160.h1.t1, Aa_G656420.h1.t1	XP_010417463.1, XP_010472693.1, XP_010429688.1
OG0004578	Aa_G508960.h1.t1	XP_010416801.1, XP_010472034.1, XP_010428946.1
OG0004579	Aa_G526870.h1.t1	XP_010471983.1, XP_010416741.1, XP_010497175.1, XP_010428868.1
OG0004580	Aa_G121580.h1.t1	XP_010471973.1, XP_010416732.1, XP_010428861.1
OG0004581	Aa_G165050.h1.t1	XP_010416603.1, XP_010428749.1, XP_010471839.1
OG0004583	Aa_G533870.h1.t1	XP_010471665.1, XP_010416444.1, XP_010428580.1
OG0004584	Aa_G533880.h1.t1	XP_010428579.2, XP_010416442.1, XP_010471664.1, XP_010493387.1, XP_010454566.1
OG0004585	Aa_G902400.h1.t1, Aa_G902400.h2.t1	XP_010477916.1, XP_010460368.1, XP_010499085.1
OG0004586	Aa_G118280.h1.t1	XP_010501083.1, XP_010482944.1, XP_010446121.1, XP_010463474.1, XP_010480008.1
OG0004587	Aa_G447130.h1.t1, Aa_G194690.h1.t1	XP_010450440.1
OG0004588	Aa_G501490.h1.t1	XP_010500963.1, XP_019094594.1, XP_010479878.1, XP_010462204.1
OG0004589	Aa_G354180.h1.t1	XP_010509522.1, XP_010516811.1, XP_010505130.1
OG0004590	Aa_G467110.h1.t1	XP_010508247.1, XP_010506416.1, XP_010518087.1, XP_019088797.1
OG0004591	Aa_G145090.h1.t1	XP_010477477.1
OG0004593	Aa_G695140.h1.t1	XP_010445387.1, XP_010442840.1, XP_010482671.1
OG0004595	Aa_G66630.h1.t1	XP_010440580.1, XP_010450206.1, XP_010435263.1
OG0004596	Aa_G677790.h1.t1	XP_010450103.1, XP_010435184.1, XP_010440527.1
OG0004597	Aa_G55000.h1.t1	XP_010435125.1, XP_010450041.1, XP_010440465.1
OG0004598	Aa_G594610.h1.t1	XP_019098158.1, XP_019087438.1, XP_019098159.1
OG0004599	Aa_G366490.h1.t1	XP_019083320.1, XP_010428187.1, XP_010471323.1
OG0004600	Aa_G419760.h1.t1	XP_010448900.1, XP_010448893.1, XP_010434052.1, XP_010439338.1
