Orthogroup	Arabis_alpina	Cardamine_hirsuta
OG0001974	Aa_G1360.h1.t1	CARHR089900
OG0001974	Aa_G603610.h1.t1	CARHR043520
OG0001975	Aa_G595080.h1.t1	CARHR130870
OG0001977	Aa_G79970.h1.t1	CARHR219300
OG0001977	Aa_G199080.h1.t1	CARHR100100
OG0001978	Aa_G42550.h1.t1	CARHR076370
OG0001979	Aa_G479690.h1.t1	CARHR220770
OG0001979	Aa_G518850.h1.t1	CARHR098960
OG0001980	Aa_G233310.h1.t1, Aa_G413560.h1.t1	CARHR221060, CARHR098830
OG0001981	Aa_G197420.h1.t1	CARHR091900
OG0001981	Aa_G327160.h1.t1	CARHR290440
OG0001982	Aa_G287200.h1.t1	CARHR166170
OG0001982	Aa_G431200.h1.t1	CARHR135380
OG0001984	Aa_G25600.h1.t1	CARHR147710
OG0001984	Aa_G26520.h1.t1	CARHR013210
OG0001985	Aa_G118040.h1.t1	CARHR176460
OG0001985	Aa_G78030.h1.t1	CARHR225940
OG0001986	Aa_G599970.h1.t1	CARHR039740
OG0001986	Aa_G371350.h1.t1	CARHR094680
OG0001987	Aa_G410590.h1.t1	CARHR040990
OG0001987	Aa_G250670.h1.t1	CARHR096350
OG0001988	Aa_G225070.h1.t1	CARHR041750
OG0001988	Aa_G430360.h1.t1	CARHR097040
OG0001989	Aa_G568080.h1.t1	CARHR042380
OG0001992	Aa_G152240.h1.t1	CARHR224600
OG0001992	Aa_G324640.h1.t1	CARHR174740
OG0001993	Aa_G347420.h1.t1	CARHR250170
OG0001993	Aa_G211770.h1.t1	CARHR001490
OG0001994	Aa_G225570.h1.t1	CARHR254360
OG0001994	Aa_G19970.h1.t1	CARHR229960
OG0001995	Aa_G517320.h1.t1	CARHR229200
OG0001996	Aa_G558920.h1.t1	CARHR228700
OG0001997	Aa_G41830.h1.t1	CARHR252370
OG0001997	Aa_G37720.h1.t1, Aa_G37690.h1.t1	CARHR227860
OG0001998	Aa_G13020.h1.t1	CARHR143340
OG0001999	Aa_G16230.h1.t1	CARHR140630
OG0001999	Aa_G48780.h1.t1	CARHR171280
OG0002000	Aa_G175160.h1.t1	CARHR140330
OG0002000	Aa_G354050.h1.t1	CARHR170950
OG0002001	Aa_G175170.h1.t1	CARHR140320
OG0002002	Aa_G349490.h1.t1, Aa_G349480.h1.t1	CARHR170380
OG0002002	Aa_G100670.h1.t1	CARHR139460
OG0002003	Aa_G563970.h1.t1	CARHR010630
OG0002003	Aa_G345860.h1.t1	CARHR168240
OG0002004	Aa_G188360.h1.t1	CARHR136690
OG0002004	Aa_G369790.h1.t1	CARHR167520, CARHR051780
OG0002005	Aa_G244680.h1.t1, Aa_G133110.h1.t1	CARHR235420
OG0002005	Aa_G372280.h1.t1	CARHR266670
OG0002007	Aa_G269550.h1.t1, Aa_G269540.h1.t1	CARHR133600
OG0002007	Aa_G350710.h1.t1	CARHR133590
OG0002009	Aa_G235880.h1.t1	CARHR161490
OG0002009	Aa_G172150.h1.t1	CARHR132770
OG0002011	Aa_G10000.h1.t1	CARHR112090
OG0002011	Aa_G137890.h1.t1	CARHR247880
OG0002012	Aa_G555230.h1.t1	CARHR033370
OG0002013	Aa_G51100.h1.t1	CARHR080090
OG0002013	Aa_G414020.h1.t1	CARHR186500
OG0002014	Aa_G364300.h1.t1	CARHR173100
OG0002014	Aa_G206130.h1.t1	CARHR143050
OG0002015	Aa_G241280.h1.t1	CARHR142970
OG0002015	Aa_G605810.h1.t1	CARHR172960
OG0002016	Aa_G71190.h1.t1	CARHR268400
OG0002017	Aa_G67350.h1.t1	CARHR137160
OG0002017	Aa_G221060.h1.t1	CARHR168340
OG0002018	Aa_G5080.h1.t1	CARHR079600
OG0002018	Aa_G316160.h1.t1	CARHR056040
OG0002019	Aa_G257360.h2.t1, Aa_G47740.h2.t1, Aa_G47740.h1.t1, Aa_G257360.h1.t1	CARHR080840
OG0002020	Aa_G71200.h1.t1	CARHR092420, CARHR092410
OG0002021	Aa_G107730.h1.t1	CARHR092510
OG0002021	Aa_G57510.h1.t1	CARHR037670
OG0002022	Aa_G53570.h1.t1	CARHR092750
OG0002022	Aa_G57640.h1.t1	CARHR037860
OG0002023	Aa_G247750.h1.t1	CARHR154050
OG0002023	Aa_G245600.h1.t1	CARHR263060
OG0002024	Aa_G387740.h1.t1	CARHR058010, CARHR215550
OG0002025	Aa_G198870.h1.t1	CARHR098170
OG0002025	Aa_G594620.h1.t1	CARHR221680
OG0002026	Aa_G372440.h1.t1, Aa_G446920.h1.t1, Aa_G372430.h1.t1	CARHR194390, CARHR194370
OG0002027	Aa_G53230.h1.t1	CARHR248990
OG0002028	Aa_G67870.h1.t1	CARHR249310
OG0002029	Aa_G67860.h1.t1	CARHR249320
OG0002029	Aa_G325230.h1.t1	CARHR001090
OG0002030	Aa_G6560.h1.t1	CARHR001970
OG0002030	Aa_G191540.h1.t1	CARHR250350
OG0002031	Aa_G79380.h1.t1	CARHR005030
OG0002032	Aa_G7680.h1.t1	CARHR054910
OG0002032	Aa_G394720.h1.t1	CARHR009320
OG0002033	Aa_G427980.h1.t1	CARHR010730
OG0002033	Aa_G182590.h1.t1	CARHR052740
OG0002034	Aa_G804100.h1.t1	CARHR011480
OG0002034	Aa_G177300.h1.t1	CARHR051320
OG0002035	Aa_G307220.h1.t1	CARHR011980
OG0002035	Aa_G328610.h1.t1	CARHR050420
OG0002036	Aa_G327980.h1.t1	CARHR048570
OG0002036	Aa_G319790.h1.t1	CARHR012930
OG0002037	Aa_G276760.h1.t1	CARHR147350
OG0002037	Aa_G26720.h1.t1	CARHR013390
OG0002038	Aa_G115580.h1.t1, Aa_G117670.h1.t1	CARHR015190
OG0002041	Aa_G62600.h1.t1	CARHR023670
OG0002041	Aa_G68650.h1.t1	CARHR063970
OG0002042	Aa_G185170.h1.t1	CARHR272940
OG0002043	Aa_G219330.h1.t1	CARHR154330
OG0002045	Aa_G58460.h1.t1	CARHR241060
OG0002045	Aa_G290470.h1.t1	CARHR114990
OG0002048	Aa_G661720.h1.t1	CARHR260920
OG0002048	Aa_G555240.h1.t1	CARHR260900
OG0002056	Aa_G148060.h1.t1	CARHR272730
OG0002056	Aa_G89070.h1.t1	CARHR155850
OG0002057	Aa_G406240.h1.t1	CARHR276720
OG0002058	Aa_G411070.h1.t1	CARHR194890
OG0002058	Aa_G185580.h1.t1	CARHR078030
OG0002059	Aa_G145010.h1.t1	CARHR194910
OG0002059	Aa_G569220.h1.t1	CARHR198710
OG0002060	Aa_G253660.h1.t1	CARHR194980
OG0002060	Aa_G85820.h1.t1	CARHR195070
OG0002061	Aa_G47630.h1.t1	CARHR077450
OG0002061	Aa_G192730.h1.t1	CARHR195720
OG0002062	Aa_G162350.h1.t1	CARHR196360
OG0002063	Aa_G200370.h1.t1	CARHR076780
OG0002063	Aa_G539740.h1.t1	CARHR196810
OG0002064	Aa_G96850.h1.t1	CARHR197070
OG0002064	Aa_G42310.h1.t1	CARHR076630
OG0002065	Aa_G42430.h1.t1	CARHR076510
OG0002065	Aa_G59360.h1.t1	CARHR197270
OG0002066	Aa_G42500.h1.t1	CARHR076430
OG0002066	Aa_G305510.h1.t1	CARHR197380
OG0002067	Aa_G258170.h1.t1	CARHR198930
OG0002067	Aa_G52700.h1.t1	CARHR075230
OG0002068	Aa_G40360.h1.t1	CARHR087010
OG0002069	Aa_G385340.h1.t1	CARHR200360, CARHR026800
OG0002070	Aa_G574360.h1.t1	CARHR187550
OG0002070	Aa_G267520.h1.t1	CARHR201550
OG0002072	Aa_G20910.h1.t1	CARHR278750
OG0002073	Aa_G231030.h1.t1	CARHR203860
OG0002074	Aa_G620790.h1.t1	CARHR275000
OG0002074	Aa_G76470.h1.t1	CARHR205350
OG0002075	Aa_G189090.h1.t1	CARHR251390
OG0002075	Aa_G135020.h1.t1	CARHR002740
OG0002076	Aa_G504360.h1.t1	CARHR120680
OG0002077	Aa_G286070.h1.t1	CARHR007820
OG0002078	Aa_G79360.h1.t1	CARHR004990
OG0002078	Aa_G154600.h1.t1	CARHR125760
OG0002079	Aa_G219010.h1.t1	CARHR004790
OG0002079	Aa_G424780.h1.t1	CARHR126070
OG0002080	Aa_G134560.h1.t1	CARHR003200
OG0002080	Aa_G89470.h1.t1	CARHR179140
OG0002081	Aa_G150410.h1.t1	CARHR181760
OG0002081	Aa_G438550.h1.t1	CARHR036800
OG0002082	Aa_G117800.h1.t1	CARHR014800
OG0002082	Aa_G146240.h1.t1	CARHR145250
OG0002083	Aa_G147100.h1.t1	CARHR280940
OG0002083	Aa_G325980.h1.t1	CARHR109040
OG0002084	Aa_G529900.h1.t1	CARHR159030
OG0002084	Aa_G383000.h1.t1	CARHR280180
OG0002085	Aa_G20765.h1.t1, Aa_G20770.h1.t1	CARHR278930
OG0002086	Aa_G275500.h1.t1	CARHR205810
OG0002087	Aa_G122860.h1.t1	CARHR158570
OG0002087	Aa_G168520.h1.t1, Aa_G45220.h1.t1	CARHR188810
OG0002088	Aa_G719360.h1.t1	CARHR188710, CARHR188720, CARHR188750
OG0002089	Aa_G490460.h1.t1	CARHR153750
OG0002089	Aa_G15550.h1.t1	CARHR192300
OG0002090	Aa_G191980.h1.t1	CARHR151020
OG0002091	Aa_G448330.h1.t1	CARHR154760
OG0002091	Aa_G550770.h1.t1	CARHR273270
OG0002092	Aa_G146830.h1.t1	CARHR233480
OG0002092	Aa_G69060.h1.t1	CARHR270980
OG0002093	Aa_G197820.h1.t1	CARHR270690
OG0002094	Aa_G387270.h1.t1	CARHR233990
OG0002094	Aa_G216560.h1.t1	CARHR269680
OG0002095	Aa_G86680.h1.t1	CARHR234330
OG0002095	Aa_G480150.h1.t1	CARHR268660
OG0002096	Aa_G149070.h1.t1	CARHR268210
OG0002096	Aa_G363810.h1.t1	CARHR234680
OG0002097	Aa_G188730.h1.t1	CARHR250990
OG0002097	Aa_G228360.h1.t1	CARHR002420
OG0002098	Aa_G188800.h1.t1	CARHR242370
OG0002099	Aa_G195480.h1.t1	CARHR085830
OG0002100	Aa_G24060.h1.t1	CARHR083380
OG0002101	Aa_G111640.h1.t1	CARHR077200
OG0002102	Aa_G508040.h1.t1	CARHR148390
OG0002102	Aa_G229840.h1.t1	CARHR213630
OG0002103	Aa_G239240.h1.t1	CARHR053210
OG0002103	Aa_G121150.h1.t1	CARHR015730
OG0002104	Aa_G410370.h1.t1	CARHR074010
OG0002105	Aa_G265730.h1.t1	CARHR073380
OG0002106	Aa_G377620.h1.t1	CARHR016910
OG0002106	Aa_G336910.h1.t1	CARHR072920
OG0002107	Aa_G80450.h1.t1	CARHR016940
OG0002108	Aa_G80400.h1.t1	CARHR072810, CARHR016970
OG0002109	Aa_G166070.h1.t1	CARHR022500
OG0002109	Aa_G204300.h1.t1	CARHR071460
OG0002110	Aa_G215540.h1.t1	CARHR070540
OG0002110	Aa_G374450.h1.t1	CARHR021800
OG0002111	Aa_G60720.h1.t1	CARHR021520
OG0002111	Aa_G418930.h1.t1	CARHR070230
OG0002112	Aa_G682100.h1.t1	CARHR045310
OG0002112	Aa_G176010.h1.t1	CARHR087990
OG0002113	Aa_G193240.h1.t1	CARHR045220
OG0002114	Aa_G606970.h1.t1	CARHR088240
OG0002114	Aa_G231480.h1.t1	CARHR088250
OG0002115	Aa_G184440.h1.t1	CARHR060250
OG0002115	Aa_G61760.h1.t1	CARHR026730
OG0002116	Aa_G206610.h1.t1	CARHR219760
OG0002116	Aa_G179070.h1.t1	CARHR099830
OG0002117	Aa_G523920.h1.t1	CARHR220590
OG0002118	Aa_G362600.h1.t1	CARHR220720
OG0002118	Aa_G391630.h1.t1	CARHR098990
OG0002119	Aa_G482180.h1.t1	CARHR221900
OG0002119	Aa_G384920.h1.t1	CARHR097990, CARHR097970
OG0002120	Aa_G219700.h1.t1	CARHR234640, CARHR229800
OG0002120	Aa_G363800.h1.t1	CARHR234630, CARHR233850, CARHR229820
OG0002121	Aa_G817610.h1.t1	CARHR224820
OG0002121	Aa_G295180.h1.t1	CARHR222130
OG0002122	Aa_G551460.h1.t1	CARHR289970
OG0002123	Aa_G352070.h1.t1	CARHR247410
OG0002124	Aa_G528280.h1.t1	CARHR018130
OG0002124	Aa_G433580.h1.t1	CARHR065670
OG0002125	Aa_G64130.h1.t1	CARHR110290
OG0002125	Aa_G2790.h1.t1	CARHR236860
OG0002126	Aa_G142410.h1.t1	CARHR151620, CARHR040070
OG0002127	Aa_G424650.h1.t1	CARHR148500
OG0002128	Aa_G117980.h1.t1	CARHR176400
OG0002128	Aa_G244660.h1.t1	CARHR225910
OG0002129	Aa_G370090.h1.t1	CARHR041660
OG0002129	Aa_G161960.h1.t1	CARHR096920
OG0002130	Aa_G32070.h1.t1	CARHR090780
OG0002130	Aa_G465510.h1.t1	CARHR042790, CARHR054610
OG0002131	Aa_G465870.h1.t1	CARHR059410, CARHR128820
OG0002132	Aa_G138660.h1.t1	CARHR152080
OG0002134	Aa_G144810.h1.t1	CARHR242330
OG0002134	Aa_G384650.h1.t1	CARHR106080
OG0002135	Aa_G313530.h1.t1	CARHR106810
OG0002135	Aa_G385150.h1.t1	CARHR243160
OG0002136	Aa_G275300.h1.t1	CARHR255640
OG0002137	Aa_G124460.h1.t1	CARHR231250
OG0002138	Aa_G9760.h1.t1	CARHR240420
OG0002138	Aa_G35870.h1.t1	CARHR115720
OG0002140	Aa_G204130.h1.t1	CARHR226720
OG0002141	Aa_G204110.h1.t1	CARHR226740
OG0002142	Aa_G245310.h1.t1	CARHR227180, CARHR034930, CARHR034920
OG0002143	Aa_G586800.h1.t1	CARHR227670
OG0002143	Aa_G42020.h1.t1	CARHR252120
OG0002144	Aa_G537500.h1.t1	CARHR260440
OG0002144	Aa_G260090.h1.t1	CARHR034460
OG0002145	Aa_G236610.h1.t1	CARHR173060
OG0002145	Aa_G206160.h1.t1	CARHR143080
OG0002146	Aa_G196860.h1.t1	CARHR141700
OG0002146	Aa_G33440.h1.t1	CARHR172010
OG0002147	Aa_G572570.h1.t1	CARHR171880
OG0002147	Aa_G16810.h1.t1	CARHR141450
OG0002148	Aa_G16200.h1.t1	CARHR140660
OG0002149	Aa_G102470.h1.t1	CARHR170600
OG0002150	Aa_G221100.h1.t1	CARHR168370
OG0002150	Aa_G67260.h1.t1	CARHR137060
OG0002151	Aa_G723440.h1.t1	CARHR136170
OG0002151	Aa_G562570.h1.t1	CARHR167010
OG0002152	Aa_G88490.h1.t1	CARHR136240
OG0002153	Aa_G373080.h1.t1	CARHR166560
OG0002153	Aa_G281310.h1.t1	CARHR135900
OG0002154	Aa_G696730.h1.t1	CARHR133300
OG0002155	Aa_G14150.h1.t1	CARHR163250
OG0002156	Aa_G372290.h1.t1	CARHR266680
OG0002156	Aa_G578670.h1.t1	CARHR235410
OG0002157	Aa_G16800.h1.t1, Aa_G20530.h1.t1	CARHR092130
OG0002157	Aa_G468260.h1.t1	CARHR290750
OG0002158	Aa_G66740.h1.t1	CARHR218890
OG0002158	Aa_G284270.h1.t1	CARHR100550
OG0002160	Aa_G7120.h1.t1	CARHR060180
OG0002160	Aa_G61780.h1.t1	CARHR026750
OG0002161	Aa_G431860.h1.t1	CARHR026370
OG0002162	Aa_G426560.h1.t1	CARHR109320
OG0002162	Aa_G325440.h1.t1	CARHR238240
OG0002163	Aa_G88350.h1.t1, Aa_G123990.h1.t1, Aa_G88340.h1.t1	CARHR136360
OG0002164	Aa_G693850.h1.t1, Aa_G224300.h1.t1, Aa_G693860.h1.t1, Aa_G666020.h1.t1	CARHR134980
OG0002165	Aa_G249340.h1.t1	CARHR132140
OG0002167	Aa_G314670.h1.t1	CARHR112110
OG0002167	Aa_G137850.h1.t1	CARHR247850
OG0002168	Aa_G74440.h1.t1	CARHR112320
OG0002168	Aa_G468110.h1.t1	CARHR247670
OG0002169	Aa_G351890.h1.t1	CARHR247640
OG0002169	Aa_G50380.h1.t1	CARHR112400
OG0002170	Aa_G100190.h1.t1	CARHR113310
OG0002170	Aa_G279360.h1.t1	CARHR112840, CARHR113290
OG0002171	Aa_G88690.h1.t1	CARHR256360
OG0002172	Aa_G598360.h1.t1	CARHR184980
OG0002172	Aa_G4620.h1.t1	CARHR079210
OG0002174	Aa_G15870.h1.t1	CARHR140990
OG0002175	Aa_G188340.h1.t1, Aa_G326930.h1.t1, Aa_G48830.h1.t1	CARHR185540, CARHR285620
OG0002176	Aa_G51150.h1.t1	CARHR080150
OG0002176	Aa_G146590.h1.t1	CARHR186550
OG0002177	Aa_G47880.h1.t1	CARHR081540
OG0002177	Aa_G382460.h1.t1	CARHR286220
OG0002178	Aa_G78760.h1.t1	CARHR081810
OG0002179	Aa_G500840.h1.t1	CARHR082940
OG0002179	Aa_G500850.h1.t1	CARHR082930
OG0002180	Aa_G5270.h1.t1	CARHR086690
OG0002180	Aa_G386380.h1.t1	CARHR206410
OG0002181	Aa_G57650.h1.t1	CARHR037870
OG0002181	Aa_G53560.h1.t1	CARHR092760
OG0002182	Aa_G181840.h1.t1	CARHR093480
OG0002182	Aa_G255180.h1.t1	CARHR038280
OG0002183	Aa_G808400.h3.t1, Aa_G808400.h2.t1, Aa_G808400.h1.t1, Aa_G133540.h1.t1	CARHR039120
OG0002184	Aa_G371390.h1.t1	CARHR094720
OG0002184	Aa_G687530.h1.t1	CARHR039800
OG0002185	Aa_G234300.h1.t1	CARHR151960
OG0002185	Aa_G308820.h1.t1	CARHR262460
OG0002186	Aa_G212380.h1.t1	CARHR098420
OG0002187	Aa_G280740.h1.t1	CARHR216660
OG0002187	Aa_G321720.h1.t1	CARHR056580
OG0002188	Aa_G316200.h1.t1	CARHR056010
OG0002189	Aa_G286470.h1.t1	CARHR130120
OG0002190	Aa_G494610.h1.t1	CARHR135200
OG0002190	Aa_G236110.h1.t1	CARHR112240
OG0002191	Aa_G79420.h1.t1	CARHR005080
OG0002191	Aa_G154710.h1.t1	CARHR125620
OG0002193	Aa_G318470.h1.t1	CARHR010530
OG0002194	Aa_G226650.h1.t1	CARHR010610
OG0002195	Aa_G72220.h1.t1	CARHR051950
OG0002195	Aa_G457520.h1.t1	CARHR011150
OG0002196	Aa_G246060.h1.t1	CARHR229630, CARHR012610
OG0002197	Aa_G394390.h1.t1	CARHR015570
OG0002197	Aa_G251400.h1.t1	CARHR143790
OG0002198	Aa_G653370.h1.t1	CARHR023370
OG0002198	Aa_G232120.h1.t1	CARHR064340
OG0002199	Aa_G214080.h1.t1	CARHR064310
OG0002199	Aa_G367150.h1.t1	CARHR023410
OG0002200	Aa_G428110.h1.t1	CARHR063030, CARHR064440, CARHR064430
OG0002201	Aa_G321870.h1.t1	CARHR057740
OG0002202	Aa_G488530.h1.t1	CARHR046400
OG0002203	Aa_G628380.h1.t1	CARHR237340
OG0002203	Aa_G230240.h1.t1, Aa_G30860.h1.t1	CARHR110120
OG0002205	Aa_G663820.h1.t1	CARHR057750
OG0002206	Aa_G476990.h1.t1	CARHR068280, CARHR019860
OG0002207	Aa_G279320.h1.t1	CARHR112810
OG0002208	Aa_G288610.h1.t1	CARHR114380
OG0002209	Aa_G144820.h1.t1	CARHR242030
OG0002210	Aa_G258800.h1.t1	CARHR242520
OG0002210	Aa_G269130.h1.t1	CARHR105430
OG0002211	Aa_G206560.h1.t1	CARHR219690
OG0002211	Aa_G658390.h1.t1	CARHR099870
OG0002212	Aa_G61880.h1.t1	CARHR026950
OG0002212	Aa_G61890.h1.t1	CARHR026940
OG0002213	Aa_G86580.h1.t1, Aa_G641500.h1.t1	CARHR268460
OG0002218	Aa_G137590.h1.t1, Aa_G326360.h1.t1	CARHR114920
OG0002221	Aa_G16510.h1.t1, Aa_G652130.h1.t1	CARHR129390
OG0002223	Aa_G192770.h1.t1	CARHR195740
OG0002223	Aa_G746170.h1.t1	CARHR077390
OG0002224	Aa_G161780.h1.t1	CARHR258640
OG0002225	Aa_G621820.h1.t1	CARHR198700
OG0002225	Aa_G553330.h1.t1	CARHR075380
OG0002227	Aa_G368320.h1.t1	CARHR008300
OG0002228	Aa_G69260.h1.t1	CARHR121860
OG0002228	Aa_G638120.h1.t1	CARHR007610
OG0002229	Aa_G154650.h1.t1	CARHR125700
OG0002229	Aa_G79390.h1.t1	CARHR005040
OG0002230	Aa_G341270.h1.t1	CARHR003660
OG0002230	Aa_G519830.h1.t1	CARHR180130
OG0002231	Aa_G423560.h1.t1	CARHR003550
OG0002231	Aa_G316900.h1.t1	CARHR179720
OG0002232	Aa_G95890.h1.t1	CARHR178920
OG0002232	Aa_G134660.h1.t1	CARHR003100
OG0002234	Aa_G83990.h1.t1	CARHR256770, CARHR232540
OG0002235	Aa_G90830.h1.t1	CARHR232620
OG0002235	Aa_G138810.h1.t1	CARHR030010
OG0002236	Aa_G247190.h1.t1	CARHR265120
OG0002236	Aa_G29760.h1.t1	CARHR232950
OG0002237	Aa_G366310.h1.t1	CARHR128230
OG0002238	Aa_G417030.h1.t1	CARHR029200
OG0002239	Aa_G15180.h1.t1	CARHR129030
OG0002239	Aa_G216370.h1.t1	CARHR030280
OG0002240	Aa_G434690.h1.t1	CARHR030910
OG0002240	Aa_G24810.h1.t1	CARHR129840
OG0002241	Aa_G109310.h1.t1	CARHR031800
OG0002241	Aa_G11140.h1.t1	CARHR129550
OG0002242	Aa_G482340.h1.t1	CARHR280570
OG0002242	Aa_G379450.h1.t1	CARHR159780
OG0002243	Aa_G504190.h1.t1	CARHR205830
OG0002243	Aa_G435140.h1.t1	CARHR275570
OG0002244	Aa_G165590.h1.t1	CARHR274520
OG0002245	Aa_G1015950.h1.t1	CARHR139640, CARHR202860
OG0002246	Aa_G15480.h1.t1	CARHR192230
OG0002247	Aa_G252700.h1.t1	CARHR152530
OG0002249	Aa_G620110.h1.t1	CARHR273320
OG0002249	Aa_G99290.h1.t1	CARHR154570
OG0002250	Aa_G147910.h1.t1	CARHR272590
OG0002250	Aa_G326920.h1.t1	CARHR075570
OG0002251	Aa_G729530.h1.t1	CARHR271350
OG0002252	Aa_G115130.h1.t1	CARHR233810
OG0002252	Aa_G22100.h1.t1	CARHR270330
OG0002253	Aa_G149180.h1.t1	CARHR268150
OG0002254	Aa_G228370.h1.t1	CARHR002410
OG0002254	Aa_G180060.h1.t1	CARHR250960
OG0002255	Aa_G323550.h1.t1	CARHR106870, CARHR106880
OG0002255	Aa_G213430.h1.t1	CARHR228680
OG0002256	Aa_G195430.h1.t1	CARHR085860
OG0002257	Aa_G743040.h1.t1	CARHR085560
OG0002257	Aa_G170510.h1.t1	CARHR207900
OG0002258	Aa_G509380.h1.t1	CARHR209750
OG0002259	Aa_G478910.h1.t1	CARHR210420
OG0002260	Aa_G54070.h1.t1	CARHR035460
OG0002261	Aa_G229850.h1.t1	CARHR213660
OG0002262	Aa_G385720.h1.t1	CARHR074320
OG0002262	Aa_G121360.h1.t1	CARHR015910
OG0002264	Aa_G497210.h1.t1	CARHR073770
OG0002265	Aa_G479810.h1.t1	CARHR071500
OG0002266	Aa_G121550.h1.t1	CARHR071250
OG0002266	Aa_G272190.h1.t1	CARHR022340
OG0002267	Aa_G447420.h1.t1	CARHR070440
OG0002269	Aa_G198520.h1.t1	CARHR068870
OG0002269	Aa_G544390.h1.t1	CARHR020270
OG0002270	Aa_G628500.h1.t1	CARHR020180
OG0002270	Aa_G348680.h1.t1	CARHR068740
OG0002271	Aa_G349470.h1.t1	CARHR170360
OG0002272	Aa_G176070.h1.t1	CARHR088040
OG0002272	Aa_G193250.h1.t1	CARHR045210
OG0002273	Aa_G463600.h1.t1	CARHR088180
OG0002273	Aa_G231420.h1.t1	CARHR045020
OG0002274	Aa_G543620.h1.t1	CARHR099280
OG0002274	Aa_G291470.h1.t1	CARHR220560
OG0002275	Aa_G670970.h1.t1	CARHR220650
OG0002275	Aa_G55060.h1.t1	CARHR220640
OG0002276	Aa_G557400.h1.t1	CARHR018560
OG0002277	Aa_G283230.h1.t1	CARHR062020, CARHR025610
OG0002278	Aa_G194670.h1.t1	CARHR111280
OG0002279	Aa_G182760.h1.t1	CARHR236540
OG0002279	Aa_G166520.h1.t1	CARHR110760
OG0002280	Aa_G495300.h1.t1	CARHR261560
OG0002280	Aa_G27350.h1.t1	CARHR149050
OG0002281	Aa_G437830.h1.t1	CARHR148650
OG0002281	Aa_G733530.h1.t1	CARHR213790
OG0002282	Aa_G398290.h1.t1	CARHR013810
OG0002282	Aa_G83380.h1.t1	CARHR147010
OG0002283	Aa_G164410.h1.t1	CARHR095020
OG0002283	Aa_G92550.h1.t1	CARHR039950
OG0002284	Aa_G256080.h1.t1	CARHR091260
OG0002285	Aa_G484430.h1.t1	CARHR128430
OG0002286	Aa_G24940.h1.t1, Aa_G24940.h2.t1	CARHR129740, CARHR129750, CARHR129760
OG0002287	Aa_G24690.h1.t1	CARHR129950
OG0002288	Aa_G41330.h1.t1	CARHR174820
OG0002288	Aa_G152180.h1.t1	CARHR224650
OG0002289	Aa_G96190.h1.t1	CARHR223960
OG0002289	Aa_G162880.h1.t1	CARHR173930
OG0002290	Aa_G398070.h1.t1	CARHR085150, CARHR085130
OG0002290	Aa_G137150.h1.t1	CARHR085140
OG0002293	Aa_G494740.h1.t1	CARHR230690
OG0002293	Aa_G84100.h1.t1	CARHR264070
OG0002294	Aa_G123780.h1.t1	CARHR178220, CARHR227000
OG0002295	Aa_G61160.h1.t1	CARHR260110
OG0002295	Aa_G115570.h1.t1	CARHR015180
OG0002296	Aa_G24720.h1.t1	CARHR129930
OG0002297	Aa_G163630.h1.t1	CARHR173370
OG0002298	Aa_G17170.h1.t1	CARHR141080
OG0002298	Aa_G57820.h1.t1	CARHR171540
OG0002299	Aa_G188460.h1.t1	CARHR136570
OG0002300	Aa_G281300.h1.t1	CARHR135890
OG0002301	Aa_G677190.h1.t1	CARHR135150
OG0002301	Aa_G287340.h1.t1	CARHR166060
OG0002302	Aa_G357580.h1.t1	CARHR134350
OG0002302	Aa_G99100.h1.t1	CARHR165300
OG0002303	Aa_G650980.h1.t1	CARHR165040
OG0002303	Aa_G509550.h1.t1, Aa_G417520.h1.t1, Aa_G479110.h1.t1	CARHR134030
OG0002305	Aa_G650410.h1.t1	CARHR294300
OG0002305	Aa_G545260.h2.t1, Aa_G545260.h1.t1	CARHR060640
OG0002306	Aa_G493480.h1.t1	CARHR004420
OG0002306	Aa_G561140.h1.t1	CARHR253440
OG0002307	Aa_G537380.h1.t1	CARHR112540
OG0002307	Aa_G351990.h1.t1	CARHR247510
OG0002308	Aa_G486260.h1.t1	CARHR246720
OG0002308	Aa_G407270.h1.t1	CARHR113570
OG0002309	Aa_G514200.h1.t1	CARHR034880, CARHR034860
OG0002310	Aa_G518960.h1.t1	CARHR256140
OG0002310	Aa_G480730.h1.t1	CARHR256130
OG0002312	Aa_G601600.h1.t1, Aa_G542460.h1.t1, Aa_G352370.h1.t1	CARHR174170
OG0002313	Aa_G47150.h1.t1	CARHR081350, CARHR182300
OG0002315	Aa_G682970.h1.t1	CARHR092980
OG0002315	Aa_G110810.h1.t1	CARHR037510
OG0002316	Aa_G110760.h1.t1	CARHR038050
OG0002316	Aa_G498870.h1.t1	CARHR093110
OG0002317	Aa_G110690.h1.t1	CARHR038120
OG0002317	Aa_G310250.h1.t1	CARHR093200
OG0002318	Aa_G82100.h1.t1	CARHR093670
OG0002320	Aa_G94430.h1.t1	CARHR000530
OG0002320	Aa_G94440.h1.t1	CARHR248780
OG0002321	Aa_G94390.h1.t1	CARHR000580
OG0002321	Aa_G425510.h1.t1	CARHR248880
OG0002322	Aa_G299850.h2.t1, Aa_G299850.h1.t1	CARHR248560
OG0002322	Aa_G745780.h1.t1	CARHR000650
OG0002323	Aa_G6440.h1.t1	CARHR001850
OG0002324	Aa_G310570.h1.t1, Aa_G310590.h1.t1	CARHR007250, CARHR007220
