Orthogroup	Arabis_alpina	Eutrema_salsugineum
OG0001208	Aa_G221090.h1.t1	XP_006402813.1
OG0001209	Aa_G345850.h1.t1	XP_006402824.1
OG0001209	Aa_G230750.h1.t1	XP_006411479.1
OG0001210	Aa_G527150.h1.t1	XP_006410901.1
OG0001210	Aa_G14020.h1.t1	XP_024013659.1
OG0001211	Aa_G507350.h1.t1	XP_006412842.1
OG0001211	Aa_G726620.h1.t1	XP_024016016.1
OG0001213	Aa_G75700.h1.t1	XP_024015295.1
OG0001213	Aa_G75640.h1.t1	XP_006408076.1
OG0001214	Aa_G47140.h1.t1	XP_006407906.1
OG0001215	Aa_G403660.h1.t1	XP_024015086.1, XP_006392930.1
OG0001216	Aa_G96000.h1.t1	XP_024006306.1
OG0001217	Aa_G1020790.h1.t1	XP_006413242.2
OG0001218	Aa_G124940.h1.t1	XP_006415104.1, XP_006415102.1
OG0001219	Aa_G473370.h1.t1	XP_006399385.1, XP_006399384.1
OG0001220	Aa_G426570.h1.t1	XP_006412618.2, XP_006401257.1, XP_024016582.1
OG0001221	Aa_G162830.h1.t1	XP_024010987.1, XP_006404527.1
OG0001222	Aa_G249560.h1.t1	XP_006409224.1
OG0001222	Aa_G285880.h1.t1	XP_024004591.1
OG0001225	Aa_G804220.h2.t1, Aa_G804220.h3.t1, Aa_G804220.h1.t1, Aa_G1035090.h2.t1, Aa_G1035090.h1.t1, Aa_G591030.h1.t1, Aa_G660310.h1.t1, Aa_G660310.h2.t1	XP_006413732.1, XP_006413655.1, XP_006413652.2
OG0001231	Aa_G49820.h1.t1, Aa_G49850.h1.t1, Aa_G111710.h1.t1	XP_006408341.1
OG0001231	Aa_G499360.h1.t1	XP_006400241.1
OG0001232	Aa_G64960.h1.t1, Aa_G618430.h1.t1	XP_006390276.1
OG0001233	Aa_G740980.h1.t1	XP_006413115.1
OG0001233	Aa_G330180.h1.t1	XP_006413114.1
OG0001233	Aa_G330170.h1.t1	XP_006413113.1
OG0001234	Aa_G398110.h1.t1	XP_006394756.1
OG0001234	Aa_G168770.h1.t1	XP_006399581.1
OG0001235	Aa_G210870.h1.t1	XP_006399365.1
OG0001235	Aa_G75990.h1.t1	XP_006394248.1
OG0001236	Aa_G135160.h1.t1	XP_006407819.2, XP_006395201.1
OG0001236	Aa_G188930.h1.t1	XP_006396509.1
OG0001237	Aa_G49080.h1.t1	XP_006409970.1
OG0001237	Aa_G195300.h1.t1	XP_006399065.1
OG0001238	Aa_G253940.h1.t1, Aa_G253950.h1.t1, Aa_G739460.h1.t1, Aa_G448970.h1.t1, Aa_G478970.h1.t1	XP_006419167.2
OG0001239	Aa_G363500.h1.t1	XP_024016669.1
OG0001239	Aa_G299620.h1.t1	XP_024016417.1
OG0001240	Aa_G217690.h1.t1	XP_024008194.1
OG0001240	Aa_G709170.h1.t1	XP_024003938.1
OG0001241	Aa_G217740.h1.t1	XP_006418092.1
OG0001241	Aa_G257840.h1.t1	XP_006410401.1
OG0001242	Aa_G408520.h1.t1	XP_006415620.1
OG0001243	Aa_G598340.h1.t1	XP_006395002.2, XP_006395003.1
OG0001244	Aa_G23560.h1.t1	XP_006393963.1
OG0001244	Aa_G52890.h1.t1	XP_006404094.1
OG0001246	Aa_G335150.h1.t1	XP_006391280.1
OG0001246	Aa_G61850.h1.t1	XP_006415766.1
OG0001246	Aa_G131130.h1.t1	XP_006394435.2
OG0001247	Aa_G351300.h1.t1, Aa_G69350.h1.t1, Aa_G435170.h1.t1	XP_006394473.1
OG0001247	Aa_G275520.h1.t1	XP_006399219.1
OG0001248	Aa_G8830.h1.t1	XP_006400711.1
OG0001249	Aa_G344350.h1.t1	XP_006401088.1
OG0001249	Aa_G244380.h1.t1	XP_006399186.1, XP_006399191.1
OG0001250	Aa_G57060.h1.t1	XP_006392385.2
OG0001251	Aa_G88140.h1.t1	XP_024012430.1
OG0001252	Aa_G354880.h1.t1, Aa_G680380.h1.t1	XP_006396457.1
OG0001252	Aa_G6840.h1.t1	XP_006418291.1
OG0001253	Aa_G188830.h1.t1	XP_006396496.1
OG0001254	Aa_G34680.h1.t1	XP_006407647.1
OG0001254	Aa_G456480.h1.t1	XP_006398754.1
OG0001255	Aa_G260790.h1.t1	XP_006398741.2
OG0001255	Aa_G34770.h1.t1	XP_006407660.1
OG0001256	Aa_G370230.h1.t1	XP_006389948.1
OG0001256	Aa_G131940.h1.t1	XP_006416769.1
OG0001257	Aa_G165040.h1.t1	XP_006390153.1
OG0001258	Aa_G348800.h1.t1	XP_006390323.1
OG0001259	Aa_G348860.h1.t1	XP_024012053.1
OG0001259	Aa_G323720.h1.t1	XP_006416503.1
OG0001260	Aa_G314500.h1.t1	XP_024016425.1
OG0001260	Aa_G527860.h1.t1	XP_006412102.1
OG0001261	Aa_G376360.h1.t1	XP_006412062.1
OG0001261	Aa_G329660.h1.t1	XP_006409260.2
OG0001262	Aa_G193200.h1.t1	XP_006392621.1
OG0001262	Aa_G176020.h1.t1	XP_006407228.1
OG0001263	Aa_G12370.h1.t1	XP_006410805.1
OG0001265	Aa_G31080.h1.t1	XP_006414639.1
OG0001266	Aa_G627780.h1.t1	XP_006416562.1
OG0001266	Aa_G64620.h1.t1	XP_006390403.1
OG0001267	Aa_G177700.h1.t1	XP_006412817.1
OG0001267	Aa_G177720.h1.t1	XP_006412818.1
OG0001270	Aa_G50610.h1.t1	XP_024006176.1
OG0001271	Aa_G334870.h1.t1	XP_006393156.1
OG0001271	Aa_G50590.h1.t1	XP_006406429.1
OG0001272	Aa_G334880.h1.t1	XP_006393155.1
OG0001272	Aa_G550480.h1.t1	XP_006406428.2
OG0001273	Aa_G477190.h1.t1	XP_006396933.1
OG0001273	Aa_G240850.h1.t1	XP_006413535.1
OG0001274	Aa_G400480.h1.t1	XP_006418158.1, XP_006404607.1
OG0001276	Aa_G189390.h1.t1	XP_006396672.1
OG0001277	Aa_G257080.h1.t1	XP_024009884.1
OG0001277	Aa_G298510.h1.t1	XP_006413738.1
OG0001278	Aa_G17080.h1.t1	XP_024010690.1
OG0001278	Aa_G81100.h1.t1	XP_006402487.1
OG0001279	Aa_G132590.h1.t1	XP_006402639.1
OG0001279	Aa_G100500.h1.t1	XP_006397585.1
OG0001280	Aa_G574090.h1.t1	XP_006411510.1
OG0001280	Aa_G433190.h1.t1	XP_006402779.1
OG0001282	Aa_G345820.h1.t1	XP_006402830.1
OG0001283	Aa_G302060.h1.t1	XP_006407765.1
OG0001283	Aa_G302280.h1.t1	XP_006403400.2
OG0001284	Aa_G213640.h1.t1	XP_006403442.1
OG0001284	Aa_G38090.h1.t1	XP_006411212.1
OG0001285	Aa_G656250.h1.t1	XP_006401746.1
OG0001286	Aa_G570390.h1.t1	XP_006410883.1
OG0001286	Aa_G14280.h1.t1	XP_006403711.1
OG0001287	Aa_G235630.h1.t1	XP_006409200.1
OG0001287	Aa_G453340.h1.t1, Aa_G453330.h1.t1	XP_006412019.1
OG0001288	Aa_G59740.h1.t1	XP_006412590.1
OG0001289	Aa_G265170.h1.t1	XP_006413937.2, XP_006397635.1, XP_006397636.1
OG0001290	Aa_G174570.h1.t1, Aa_G174560.h1.t1	XP_006395180.1, XP_006407835.1
OG0001291	Aa_G137180.h1.t1	XP_006396860.1
OG0001292	Aa_G617190.h1.t1	XP_006406816.1
OG0001293	Aa_G658650.h1.t1	XP_006418211.1
OG0001295	Aa_G528290.h1.t1	XP_024008305.1
OG0001295	Aa_G433570.h1.t1	XP_024008795.1
OG0001296	Aa_G551820.h1.t1	XP_006405795.1, XP_006405796.1, XP_006404280.1, XP_006405794.1, XP_006405797.2
OG0001297	Aa_G72410.h1.t1	XP_006395321.1
OG0001298	Aa_G431790.h1.t1	XP_024008942.1
OG0001298	Aa_G285640.h1.t1	XP_006391204.1
OG0001299	Aa_G12170.h1.t1	XP_006410595.1, XP_006410596.1
OG0001300	Aa_G506850.h1.t1, Aa_G506850.h2.t1	XP_024012534.1
OG0001300	Aa_G40280.h1.t1	XP_006407318.2
OG0001303	Aa_G99280.h1.t1, Aa_G318740.h1.t1, Aa_G207630.h1.t1	XP_006409716.2
OG0001305	Aa_G375680.h1.t1	XP_006416959.2
OG0001305	Aa_G640090.h1.t1	XP_006395874.1
OG0001306	Aa_G14550.h1.t1	XP_006408454.1
OG0001306	Aa_G236910.h1.t1	XP_006400067.1
OG0001307	Aa_G14830.h1.t1	XP_006408483.1
OG0001307	Aa_G304340.h1.t1	XP_024012291.1
OG0001308	Aa_G396480.h1.t1, Aa_G396480.h2.t1	XP_006409182.1, XP_006399618.1
OG0001309	Aa_G319300.h1.t1	XP_006399307.1
OG0001309	Aa_G97910.h1.t1	XP_006394581.1
OG0001310	Aa_G345270.h1.t1	XP_006417754.1
OG0001310	Aa_G158240.h1.t1	XP_006409877.1
OG0001311	Aa_G220640.h1.t1	XP_024008319.1
OG0001311	Aa_G640470.h1.t1	XP_006410289.1
OG0001312	Aa_G339570.h1.t1	XP_006410558.1
OG0001312	Aa_G688980.h1.t1	XP_006415602.1
OG0001314	Aa_G117770.h1.t1	XP_024008579.1
OG0001314	Aa_G146220.h1.t1	XP_024006797.1
OG0001315	Aa_G437650.h1.t1	XP_006417084.1
OG0001315	Aa_G480490.h1.t1	XP_006395698.1
OG0001316	Aa_G61550.h1.t1, Aa_G815830.h1.t1	XP_006394463.1
OG0001316	Aa_G807280.h1.t1, Aa_G807280.h2.t1, Aa_G845300.h1.t1, Aa_G845300.h2.t1	XP_006415761.1
OG0001317	Aa_G578270.h1.t1	XP_006394631.1
OG0001317	Aa_G106950.h1.t1	XP_006404216.1
OG0001319	Aa_G448450.h1.t1	XP_006400918.1
OG0001319	Aa_G318750.h1.t1	XP_024009717.1
OG0001321	Aa_G418050.h1.t1	XP_024011439.1
OG0001322	Aa_G94450.h1.t1	XP_006418460.1
OG0001322	Aa_G57840.h1.t1	XP_006402505.1
OG0001323	Aa_G5640.h1.t1	XP_006407411.1
OG0001324	Aa_G216020.h1.t1	XP_006407433.2
OG0001325	Aa_G209830.h1.t1	XP_024012106.1
OG0001325	Aa_G216040.h1.t1	XP_006407435.1
OG0001326	Aa_G304060.h1.t1	XP_006398940.1
OG0001326	Aa_G137080.h1.t1	XP_006407522.1
OG0001327	Aa_G135570.h1.t1	XP_006405320.1
OG0001328	Aa_G293120.h1.t1	XP_024010827.1
OG0001328	Aa_G100000.h1.t1	XP_006409184.1
OG0001329	Aa_G129280.h1.t1	XP_006390090.1
OG0001329	Aa_G454160.h1.t1	XP_006416271.1
OG0001330	Aa_G453460.h1.t1	XP_006416291.1, XP_024008890.1
OG0001330	Aa_G104340.h1.t1	XP_006390110.1
OG0001331	Aa_G600250.h1.t1	XP_006392612.1, XP_006407233.1
OG0001332	Aa_G118250.h1.t1	XP_006392704.1
OG0001332	Aa_G237700.h1.t1	XP_006407142.1
OG0001334	Aa_G509790.h2.t1, Aa_G509790.h1.t1	XP_006414761.1
OG0001334	Aa_G250800.h1.t1	XP_006414763.1
OG0001335	Aa_G51910.h1.t1	XP_006406114.1
OG0001336	Aa_G413550.h1.t1	XP_006414666.1, XP_024015072.1
OG0001337	Aa_G31110.h1.t1	XP_024005914.1
OG0001337	Aa_G91310.h1.t1	XP_006406145.1
OG0001338	Aa_G341860.h1.t1	XP_006390589.1
OG0001338	Aa_G80290.h1.t1	XP_024009142.1
OG0001339	Aa_G164300.h1.t1	XP_006417140.1
OG0001339	Aa_G409770.h1.t1	XP_006395630.1
OG0001340	Aa_G419960.h1.t1	XP_006398268.2
OG0001340	Aa_G501810.h1.t1	XP_006414072.1
OG0001341	Aa_G78110.h1.t1	XP_024005178.1
OG0001342	Aa_G290950.h1.t1	XP_006398206.1
OG0001342	Aa_G357050.h1.t1	XP_024005917.1
OG0001343	Aa_G254550.h1.t1, Aa_G148390.h1.t1	XP_006413953.1
OG0001343	Aa_G254530.h1.t1	XP_006398172.1
OG0001344	Aa_G645080.h1.t1, Aa_G782480.h1.t1	XP_024003863.1
OG0001345	Aa_G465590.h1.t1	XP_006392903.1
OG0001345	Aa_G32190.h1.t1	XP_006406923.1
OG0001346	Aa_G173490.h1.t1	XP_006392856.2
OG0001346	Aa_G424000.h1.t1	XP_006406961.1
OG0001347	Aa_G203380.h1.t1	XP_006414042.1
OG0001348	Aa_G11500.h1.t1	XP_006403983.1
OG0001348	Aa_G43840.h1.t1	XP_006393837.1
OG0001349	Aa_G289320.h1.t1	XP_006396951.1
OG0001349	Aa_G417280.h1.t1	XP_006413521.1
OG0001350	Aa_G6220.h1.t1	XP_006413622.1
OG0001350	Aa_G35110.h1.t1	XP_006396798.1
OG0001351	Aa_G369910.h1.t1	XP_006413851.1
OG0001351	Aa_G369920.h1.t1	XP_006413852.1
OG0001352	Aa_G86320.h1.t1	XP_024009691.1, XP_006418654.1
OG0001353	Aa_G609020.h1.t1	XP_006402360.1
OG0001353	Aa_G731310.h1.t1	XP_006397943.1
OG0001355	Aa_G103430.h1.t1	XP_006402603.1
OG0001355	Aa_G170540.h1.t1	XP_006407486.1
OG0001356	Aa_G218960.h1.t1	XP_006402622.2
OG0001357	Aa_G374660.h1.t1	XP_006411538.1
OG0001358	Aa_G483550.h1.t1	XP_024012992.1
OG0001358	Aa_G88430.h1.t1	XP_006411387.1
OG0001360	Aa_G282170.h1.t1	XP_006405696.1
OG0001361	Aa_G263100.h1.t1, Aa_G221690.h1.t1, Aa_G314510.h1.t1, Aa_G397780.h1.t1, Aa_G801460.h1.t1, Aa_G438740.h1.t1	XP_024003645.1, XP_024015831.1, XP_024006638.1
OG0001361	Aa_G33890.h1.t1	XP_006400897.1
OG0001362	Aa_G627270.h1.t1	XP_006395150.1
OG0001362	Aa_G78720.h1.t1	XP_006407858.1
OG0001364	Aa_G507070.h1.t1	XP_006397422.1
OG0001364	Aa_G292660.h1.t1	XP_006416211.1
OG0001365	Aa_G376020.h1.t1	XP_006415146.1
OG0001365	Aa_G129070.h1.t1	XP_006397041.1
OG0001366	Aa_G75620.h1.t1	XP_006408080.1
OG0001366	Aa_G25970.h1.t1	XP_006394953.1
OG0001368	Aa_G638270.h1.t1	XP_006397871.1
OG0001370	Aa_G67080.h1.t1, Aa_G162450.h1.t1	XP_006411457.2
OG0001371	Aa_G553060.h1.t1	XP_006408225.1
OG0001372	Aa_G336160.h1.t1	XP_006395017.1
OG0001373	Aa_G303870.h1.t1	XP_006398960.2
OG0001373	Aa_G137000.h1.t1	XP_006407511.1
OG0001374	Aa_G443210.h1.t1	XP_006405671.1
OG0001375	Aa_G1500.h1.t1	XP_024015689.1
OG0001376	Aa_G1080.h1.t1	XP_006407000.1
OG0001376	Aa_G382000.h1.t1	XP_006392820.1
OG0001377	Aa_G110750.h1.t1	XP_006393407.1
OG0001377	Aa_G498880.h1.t1	XP_006406692.1
OG0001378	Aa_G155180.h1.t1	XP_006399783.1
OG0001378	Aa_G133250.h1.t1	XP_006406348.1
OG0001379	Aa_G582070.h1.t1	XP_006393061.1
OG0001379	Aa_G92460.h1.t1	XP_006418845.1, XP_006395416.2
OG0001380	Aa_G416160.h1.t1	XP_006400381.2
OG0001381	Aa_G457530.h1.t1	XP_006417402.1
OG0001382	Aa_G117640.h1.t1	XP_024008067.1
OG0001384	Aa_G17680.h1.t1, Aa_G17690.h1.t1	XP_024012663.1
OG0001384	Aa_G62490.h1.t1	XP_006416100.1
OG0001385	Aa_G214210.h1.t1	XP_006411942.1
OG0001387	Aa_G614960.h1.t1	XP_006412301.1
OG0001387	Aa_G269040.h1.t1	XP_006409625.1, XP_006409624.1
OG0001389	Aa_G400990.h1.t1	XP_006406838.1
OG0001391	Aa_G235050.h1.t1	XP_006393025.1
OG0001392	Aa_G62790.h1.t1	XP_006400466.1
OG0001396	Aa_G432970.h1.t1	XP_006401566.1
OG0001397	Aa_G107300.h1.t1	XP_006413090.1
OG0001397	Aa_G553210.h1.t1	XP_006401570.1
OG0001398	Aa_G46550.h1.t1, Aa_G206210.h1.t1	XP_006396395.1
OG0001398	Aa_G495360.h1.t1	XP_006405499.1
OG0001399	Aa_G438140.h1.t1	XP_024015641.1
OG0001399	Aa_G70380.h1.t1	XP_006400336.1
OG0001400	Aa_G582890.h1.t1	XP_006405589.1
OG0001401	Aa_G138210.h1.t1	XP_006399751.1
OG0001401	Aa_G181390.h1.t1	XP_006400502.1
OG0001402	Aa_G765980.h1.t1	XP_006399606.1
OG0001402	Aa_G267330.h1.t1	XP_006394770.1
OG0001403	Aa_G152760.h1.t1	XP_006399471.1
OG0001404	Aa_G319180.h1.t1	XP_006399319.1
OG0001404	Aa_G746010.h1.t1	XP_024006868.1
OG0001405	Aa_G682710.h1.t1	XP_006409901.1
OG0001405	Aa_G558420.h1.t1	XP_006417776.1
OG0001406	Aa_G435910.h1.t1	XP_006417830.1
OG0001406	Aa_G85630.h1.t1, Aa_G435910.h2.t1	XP_024003870.1
OG0001407	Aa_G85500.h1.t1	XP_024003929.1
OG0001407	Aa_G14860.h1.t1	XP_006408491.1
OG0001409	Aa_G555080.h1.t1	XP_006410196.1
OG0001409	Aa_G22830.h1.t1	XP_024008264.1
OG0001411	Aa_G171140.h1.t1	XP_006393620.1
OG0001411	Aa_G584440.h1.t1	XP_006403303.1
OG0001412	Aa_G142200.h1.t1	XP_006410574.1
OG0001412	Aa_G465120.h1.t1	XP_006415565.1
OG0001413	Aa_G302420.h1.t1, Aa_G302420.h2.t1	XP_006415253.1, XP_006415251.1
OG0001413	Aa_G79880.h1.t1, Aa_G79870.h1.t1	XP_024005694.1
OG0001414	Aa_G52880.h1.t1	XP_024013637.1
OG0001414	Aa_G23540.h1.t1	XP_006393965.1
OG0001415	Aa_G23350.h1.t1	XP_006393983.1
OG0001415	Aa_G342170.h1.t1, Aa_G282850.h1.t1	XP_006404109.1
OG0001416	Aa_G75130.h1.t1	XP_006394269.1
OG0001416	Aa_G168330.h1.t1	XP_006404227.1
OG0001417	Aa_G500710.h1.t1	XP_006401010.1, XP_006401007.1
OG0001418	Aa_G739930.h1.t1	XP_006409651.2
OG0001419	Aa_G441200.h1.t1	XP_006401393.1
OG0001419	Aa_G69760.h1.t1	XP_006413165.1
OG0001420	Aa_G354910.h1.t1	XP_006396463.1
OG0001421	Aa_G303850.h1.t1, Aa_G303830.h1.t1	XP_024012012.1, XP_024015248.1
OG0001422	Aa_G53880.h1.t1	XP_006398601.1
OG0001422	Aa_G24230.h1.t1	XP_006407736.1
OG0001423	Aa_G27520.h1.t1, Aa_G266730.h1.t1	XP_006395442.1, XP_024014571.1
OG0001424	Aa_G95680.h1.t1, Aa_G639850.h1.t1, Aa_G412930.h1.t1	XP_024006146.1
OG0001425	Aa_G293840.h1.t1	XP_024004417.1
OG0001425	Aa_G383800.h1.t1	XP_024016164.1
OG0001426	Aa_G175960.h1.t1	XP_006407236.1
OG0001427	Aa_G193210.h1.t1	XP_006392622.1
OG0001427	Aa_G176040.h1.t1	XP_006407227.1
OG0001428	Aa_G212770.h1.t1	XP_006403736.1
OG0001428	Aa_G402650.h1.t1	XP_006410833.1
OG0001429	Aa_G308710.h1.t1	XP_006401758.1
OG0001430	Aa_G82770.h1.t1	XP_006402246.1
OG0001431	Aa_G87290.h1.t1	XP_006405210.1
OG0001432	Aa_G391780.h1.t1	XP_006390975.1
OG0001433	Aa_G150210.h1.t1	XP_006414055.1
OG0001433	Aa_G220210.h1.t1	XP_006398258.1
OG0001434	Aa_G148360.h1.t1	XP_006413950.1
OG0001434	Aa_G98820.h1.t1	XP_006398162.1
OG0001435	Aa_G178310.h1.t1	XP_024006357.1
OG0001436	Aa_G386130.h1.t1	XP_006392910.1
OG0001436	Aa_G233740.h1.t1	XP_006406905.1
OG0001437	Aa_G41270.h1.t1	XP_006398394.1
OG0001438	Aa_G607240.h1.t1	XP_024004766.1
OG0001438	Aa_G315600.h1.t1	XP_006398424.1
OG0001440	Aa_G379290.h1.t1	XP_006412126.1
OG0001440	Aa_G542160.h1.t1	XP_006409346.1
OG0001441	Aa_G912520.h1.t1	XP_006396722.1
OG0001441	Aa_G517260.h1.t1	XP_006413678.1
OG0001442	Aa_G320680.h1.t1	XP_006396681.1
OG0001442	Aa_G117440.h1.t1	XP_006413699.1
OG0001443	Aa_G665640.h3.t1, Aa_G665640.h5.t1, Aa_G665640.h1.t1, Aa_G665640.h4.t1, Aa_G665640.h2.t1	XP_006413835.1, XP_006391784.1
OG0001444	Aa_G417340.h1.t1	XP_006413525.1
OG0001445	Aa_G956300.h1.t1, Aa_G717830.h1.t1, Aa_G453300.h1.t1	XP_006405152.1, XP_006405149.1
OG0001447	Aa_G451490.h1.t1	XP_006402676.1
OG0001447	Aa_G125270.h1.t1	XP_006397520.1
OG0001448	Aa_G311550.h1.t1	XP_006404724.2
OG0001450	Aa_G422510.h1.t1	XP_006411456.1
OG0001450	Aa_G114870.h1.t1	XP_006402868.1
OG0001451	Aa_G188430.h1.t1	XP_006411415.1
OG0001451	Aa_G614520.h1.t1	XP_006396061.1, XP_006402897.1
OG0001452	Aa_G753680.h1.t1	XP_006403432.1
OG0001452	Aa_G38220.h1.t1	XP_006411225.2
OG0001453	Aa_G91780.h1.t1	XP_006404670.1, XP_006404666.1, XP_006404669.1, XP_006404667.1, XP_006404672.1
OG0001453	Aa_G557570.h1.t1	XP_024005879.1
OG0001454	Aa_G150910.h1.t1	XP_006410993.1
OG0001454	Aa_G265930.h1.t1	XP_006403627.1
OG0001455	Aa_G197110.h1.t1	XP_006410942.1
OG0001456	Aa_G139270.h1.t1	XP_006414388.1
OG0001458	Aa_G244800.h1.t1	XP_006409078.1
OG0001459	Aa_G244920.h1.t1	XP_006409063.1
OG0001459	Aa_G301260.h1.t1	XP_006412800.1
OG0001460	Aa_G104110.h1.t1	XP_006412815.1
OG0001461	Aa_G412600.h1.t1, Aa_G412610.h1.t1	XP_006411159.1
OG0001463	Aa_G5430.h1.t1	XP_006407382.2, XP_024009272.1
OG0001464	Aa_G410080.h1.t1	XP_006396780.1, XP_006396779.1, XP_006396778.1
OG0001464	Aa_G410090.h1.t1, Aa_G410100.h1.t1, Aa_G35000.h1.t1	XP_006396781.1
OG0001465	Aa_G137780.h1.t1	XP_006411692.1
OG0001466	Aa_G407280.h1.t1	XP_006404690.1
OG0001466	Aa_G486300.h1.t1	XP_006411796.1
OG0001467	Aa_G499190.h1.t1	XP_006404850.2
OG0001467	Aa_G499180.h1.t1	XP_006404849.2
OG0001468	Aa_G223230.h1.t1	XP_006411958.2
OG0001468	Aa_G531970.h1.t1	XP_006404862.1
OG0001469	Aa_G670610.h1.t1	XP_006404955.1
OG0001469	Aa_G163890.h1.t1	XP_006412638.1
OG0001470	Aa_G377040.h1.t1	XP_006396080.1
OG0001470	Aa_G377050.h1.t1	XP_006415017.1
OG0001471	Aa_G269270.h1.t1	XP_024015292.1
OG0001472	Aa_G51040.h1.t1	XP_006408050.1
OG0001472	Aa_G429030.h1.t1	XP_006394934.1
OG0001473	Aa_G120190.h1.t1	XP_006394936.1
OG0001473	Aa_G51010.h1.t1	XP_006408054.1
OG0001474	Aa_G422240.h1.t1, Aa_G194460.h1.t1, Aa_G422250.h1.t1	XP_006404072.2, XP_006408952.1
OG0001475	Aa_G132620.h1.t1	XP_006402641.1
OG0001475	Aa_G100480.h1.t1	XP_006397584.1
OG0001476	Aa_G315590.h1.t1	XP_006398427.1
OG0001477	Aa_G49930.h1.t1	XP_006407939.1
OG0001478	Aa_G229390.h1.t1	XP_006406278.1
OG0001478	Aa_G229380.h1.t1	XP_006392982.1
OG0001479	Aa_G446410.h1.t1	XP_006417482.1
OG0001479	Aa_G307870.h1.t1	XP_006392273.1
OG0001480	Aa_G357200.h1.t1	XP_006391810.1
OG0001480	Aa_G270610.h1.t1	XP_006417240.2
OG0001482	Aa_G201680.h1.t1	XP_006402205.1
OG0001482	Aa_G92220.h1.t1	XP_024004391.1
OG0001483	Aa_G556430.h1.t1	XP_006416378.1
OG0001483	Aa_G180310.h1.t1	XP_006412154.1
OG0001484	Aa_G399850.h1.t1, Aa_G399850.h2.t1	XP_006416134.1
OG0001484	Aa_G232210.h1.t1	XP_006390800.1
OG0001485	Aa_G103100.h1.t1	XP_006398053.1
OG0001486	Aa_G33040.h1.t1	XP_006412620.2
OG0001486	Aa_G310080.h1.t1	XP_024009758.1, XP_006404963.1
OG0001487	Aa_G352690.h1.t1, Aa_G215820.h1.t1, Aa_G352670.h1.t1	XP_006391686.1
OG0001488	Aa_G36950.h1.t1, Aa_G18750.h1.t1	XP_006398665.1
OG0001488	Aa_G18740.h1.t1, Aa_G128510.h1.t1	XP_006397207.1
OG0001490	Aa_G51240.h1.t1	XP_006403382.2, XP_006408986.2
OG0001499	Aa_G173030.h1.t1	XP_006391434.1, XP_006391431.2
OG0001501	Aa_G44950.h1.t1	XP_006408285.1
OG0001501	Aa_G493690.h1.t1	XP_006400312.1
OG0001502	Aa_G44850.h1.t1	XP_006408292.1
OG0001502	Aa_G387580.h1.t1	XP_024011427.1
OG0001503	Aa_G304350.h1.t1	XP_006400026.1
OG0001503	Aa_G14820.h1.t1	XP_024015666.1
OG0001504	Aa_G46120.h1.t1	XP_006393194.1
OG0001505	Aa_G451700.h1.t1	XP_006408529.1
OG0001505	Aa_G258070.h1.t1	XP_006399960.1
OG0001506	Aa_G218370.h1.t1, Aa_G40470.h1.t1	XP_006407336.1
OG0001507	Aa_G116760.h1.t1	XP_006399646.1
OG0001507	Aa_G550320.h1.t1	XP_006394799.1
OG0001508	Aa_G541380.h1.t1	XP_006399286.1
OG0001508	Aa_G94960.h1.t1	XP_006394538.1
OG0001509	Aa_G728240.h1.t1, Aa_G728250.h1.t1	XP_024012461.1, XP_006399268.1
OG0001509	Aa_G611190.h1.t1, Aa_G611180.h1.t1	XP_006399267.2
OG0001510	Aa_G233470.h1.t1	XP_024008745.1
OG0001510	Aa_G218580.h1.t1	XP_006391177.2
OG0001511	Aa_G151840.h1.t1	XP_006417716.1
OG0001512	Aa_G60060.h1.t1	XP_006409888.1
OG0001513	Aa_G264410.h1.t1	XP_006409900.1
OG0001513	Aa_G558380.h1.t1	XP_006417771.1
OG0001514	Aa_G599100.h1.t1	XP_006417838.1
OG0001515	Aa_G22540.h1.t1	XP_006417894.1
OG0001515	Aa_G359800.h1.t1	XP_006410179.1
OG0001516	Aa_G751980.h1.t1	XP_006417949.1
OG0001516	Aa_G359470.h1.t1	XP_006410249.1
OG0001517	Aa_G235380.h1.t1	XP_006418055.1
OG0001517	Aa_G243640.h1.t1	XP_006410373.2
OG0001518	Aa_G38780.h1.t1	XP_006418125.1
OG0001518	Aa_G208610.h1.t1	XP_006410484.2
OG0001519	Aa_G520340.h1.t1	XP_006403261.1, XP_006403260.1
OG0001520	Aa_G219580.h1.t1	XP_006403243.1
OG0001521	Aa_G304400.h1.t1, Aa_G265700.h1.t1, Aa_G265720.h1.t1	XP_006389861.1
OG0001522	Aa_G223730.h1.t1, Aa_G142250.h1.t1	XP_006415583.2
OG0001523	Aa_G142210.h1.t1	XP_006410572.1
OG0001523	Aa_G465000.h1.t1	XP_006415572.1
OG0001524	Aa_G686880.h1.t1	XP_006402683.1
OG0001524	Aa_G476200.h1.t1	XP_006415396.1
OG0001526	Aa_G52930.h1.t1	XP_024013654.1
OG0001526	Aa_G23610.h1.t1	XP_006411865.1
OG0001527	Aa_G500350.h1.t1	XP_006393990.1
OG0001527	Aa_G306810.h1.t1	XP_024013413.1
OG0001528	Aa_G75120.h1.t1	XP_006395293.1
OG0001529	Aa_G45420.h1.t1	XP_006394699.1, XP_024016575.1, XP_024006179.1
OG0001529	Aa_G97810.h1.t1	XP_006404152.1
OG0001530	Aa_G355090.h1.t1	XP_024012474.1
OG0001531	Aa_G552150.h1.t1, Aa_G552140.h1.t1	XP_006408695.1, XP_006408697.2
