Orthogroup	Arabis_alpina	Arabidopsis_thaliana
OG0002881	Aa_G497490.h1.t1	AT1G80220.1, AT2G26050.1
OG0002882	Aa_G21480.h1.t1	AT1G80590.1, AT1G66550.1, AT1G66560.1, AT1G66600.1
OG0002883	Aa_G343730.h1.t1	AT1G78540.2
OG0002884	Aa_G23370.h1.t1	AT5G65830.1
OG0002884	Aa_G462730.h1.t1	AT3G49750.1
OG0002885	Aa_G51850.h1.t1	AT3G22961.1
OG0002886	Aa_G758490.h1.t1	AT2G36680.1
OG0002886	Aa_G211600.h1.t1	AT3G53120.1
OG0002887	Aa_G201720.h1.t1	AT5G49980.1, AT4G24390.1
OG0002888	Aa_G283120.h1.t1	AT4G12770.1, AT4G12780.1
OG0002889	Aa_G284690.h1.t1	AT3G24670.1
OG0002889	Aa_G183900.h1.t1	AT4G13210.2
OG0002890	Aa_G66720.h1.t1	AT4G13360.1
OG0002890	Aa_G26920.h1.t1	AT3G24360.1
OG0002891	Aa_G483310.h1.t1	AT3G09620.2
OG0002892	Aa_G824370.h1.t1	AT1G74430.1
OG0002893	Aa_G118050.h1.t1	AT5G45550.1
OG0002893	Aa_G78040.h1.t1	AT4G19045.1
OG0002893	Aa_G15610.h1.t1	AT5G20440.1
OG0002895	Aa_G507800.h1.t1	AT3G15610.1
OG0002895	Aa_G173630.h1.t1	AT1G52730.1
OG0002896	Aa_G239370.h1.t1, Aa_G151900.h1.t1	AT5G52530.1
OG0002897	Aa_G405270.h1.t1	AT2G15480.2, AT2G15490.1
OG0002898	Aa_G136410.h1.t1	AT5G47150.1
OG0002899	Aa_G238280.h1.t1	AT4G34740.1
OG0002899	Aa_G313580.h1.t1	AT2G16570.1
OG0002900	Aa_G20070.h1.t1	AT4G22990.2
OG0002900	Aa_G475360.h1.t1	AT4G11810.1
OG0002901	Aa_G479970.h1.t1	AT5G44560.1
OG0002902	Aa_G189380.h1.t1	AT4G04745.1
OG0002903	Aa_G326370.h1.t1	AT3G51180.1
OG0002903	Aa_G44080.h1.t1	AT5G66270.1
OG0002904	Aa_G113880.h1.t1	AT5G66140.1
OG0002904	Aa_G122470.h1.t1	AT3G51260.1
OG0002905	Aa_G113750.h1.t1	AT5G66020.1
OG0002905	Aa_G122720.h1.t1	AT3G51460.1
OG0002906	Aa_G249860.h1.t1	AT2G47250.1
OG0002906	Aa_G167660.h1.t1	AT3G62310.1
OG0002907	Aa_G2510.h1.t1	AT3G62150.1
OG0002907	Aa_G178000.h1.t1	AT2G47000.1
OG0002908	Aa_G196850.h1.t1	AT2G46410.1
OG0002909	Aa_G536060.h1.t1	AT2G46330.1
OG0002909	Aa_G128080.h1.t1	AT3G61640.1
OG0002910	Aa_G289700.h1.t1	AT2G45290.1
OG0002910	Aa_G48650.h1.t1	AT3G60750.1
OG0002911	Aa_G445440.h1.t1	AT2G43795.2
OG0002912	Aa_G213620.h1.t1	AT1G54110.2, AT3G55600.1
OG0002913	Aa_G591930.h1.t1	AT3G54530.1
OG0002914	Aa_G198240.h1.t1	AT5G53430.1
OG0002915	Aa_G611590.h1.t1, Aa_G116390.h1.t1	AT2G06520.1
OG0002916	Aa_G179540.h1.t1	AT4G36450.1
OG0002916	Aa_G606700.h1.t1	AT2G18170.1
OG0002917	Aa_G307410.h1.t1	AT5G57360.2
OG0002920	Aa_G16150.h1.t1	AT2G45510.1, AT2G44890.1
OG0002921	Aa_G267910.h1.t1	AT3G03250.2
OG0002921	Aa_G56660.h1.t1	AT5G17310.2
OG0002922	Aa_G251080.h1.t1	AT5G27320.1
OG0002922	Aa_G4890.h1.t1	AT3G05120.1
OG0002923	Aa_G51160.h1.t1	AT3G05710.2
OG0002924	Aa_G258670.h1.t1	AT3G07980.1
OG0002924	Aa_G463620.h1.t1	AT3G13530.1
OG0002925	Aa_G24170.h1.t1, Aa_G24160.h1.t1	AT3G08943.1
OG0002925	Aa_G53970.h1.t1	AT3G08947.1
OG0002926	Aa_G324410.h1.t1	AT3G09960.1
OG0002926	Aa_G324400.h1.t1	AT3G09970.1
OG0002927	Aa_G595510.h1.t1, Aa_G595500.h1.t1	AT3G13300.1, AT3G13290.1
OG0002928	Aa_G1330.h1.t1	AT3G15000.1
OG0002930	Aa_G233660.h1.t1	AT3G15830.1, AT3G15820.1
OG0002931	Aa_G63000.h1.t1	AT3G18070.1
OG0002931	Aa_G62990.h1.t1	AT3G18080.1
OG0002932	Aa_G549530.h1.t1, Aa_G181800.h1.t1	AT3G18180.1
OG0002932	Aa_G181810.h1.t1	AT3G18170.2
OG0002933	Aa_G441970.h1.t1, Aa_G611840.h1.t1	AT3G19400.1
OG0002933	Aa_G611830.h1.t1	AT3G19390.1
OG0002935	Aa_G235770.h1.t1, Aa_G235720.h1.t1, Aa_G399610.h1.t1	AT3G21760.1
OG0002936	Aa_G171680.h1.t1	AT3G21690.1
OG0002937	Aa_G474670.h1.t1	AT1G65290.1
OG0002938	Aa_G299920.h1.t1	AT4G00360.1
OG0002939	Aa_G46780.h1.t1	AT4G01700.1
OG0002940	Aa_G751990.h1.t1	AT1G06190.5
OG0002941	Aa_G121060.h1.t1	AT1G15120.2
OG0002942	Aa_G544410.h1.t1, Aa_G544400.h1.t1	AT1G19770.1
OG0002943	Aa_G747900.h1.t1	AT1G63540.1, AT1G63530.3
OG0002944	Aa_G482480.h1.t1	AT1G61120.1
OG0002945	Aa_G56990.h1.t1	AT1G57980.1, AT1G57990.1, AT1G57943.1
OG0002946	Aa_G204820.h1.t1	AT2G23200.1
OG0002947	Aa_G257060.h1.t1	AT4G04910.1
OG0002949	Aa_G352030.h1.t1	AT3G27910.1
OG0002950	Aa_G237360.h1.t1	AT4G37880.1
OG0002950	Aa_G224800.h1.t1	AT2G22690.1
OG0002952	Aa_G9890.h1.t1	AT4G32400.1
OG0002953	Aa_G647380.h1.t1	AT2G26450.1
OG0002953	Aa_G288260.h1.t1	AT4G33230.1
OG0002954	Aa_G314990.h1.t1	AT4G32130.1
OG0002955	Aa_G324930.h1.t1	AT4G32000.3
OG0002955	Aa_G373630.h1.t1	AT2G25220.2
OG0002956	Aa_G671840.h1.t1	AT5G18990.1
OG0002957	Aa_G191470.h1.t1	AT4G01985.1
OG0002958	Aa_G627440.h1.t1	AT2G20680.1
OG0002958	Aa_G18410.h1.t1	AT4G28320.1
OG0002959	Aa_G513300.h1.t1	AT5G46320.1, AT1G47760.1
OG0002961	Aa_G657200.h1.t1	AT4G00920.1, AT2G02770.1, AT1G30060.1, AT2G01800.1, AT4G00580.1, AT1G56100.1
OG0002962	Aa_G294450.h1.t1, Aa_G294460.h1.t1	AT4G38030.1
OG0002971	Aa_G170420.h1.t1	AT5G05450.1
OG0002972	Aa_G166900.h1.t1	AT2G23910.1
OG0002972	Aa_G678150.h1.t1	AT4G30470.1
OG0002973	Aa_G658010.h1.t1, Aa_G174340.h1.t1, Aa_G52030.h1.t1	AT3G07610.3
OG0002975	Aa_G155610.h1.t1	AT5G25780.1, AT5G27640.2
OG0002976	Aa_G162260.h1.t1	AT5G16880.1
OG0002977	Aa_G379090.h1.t1	AT5G16020.1
OG0002978	Aa_G72880.h1.t1	AT5G14120.1
OG0002979	Aa_G19570.h1.t1	AT5G13320.2
OG0002981	Aa_G159120.h1.t1	AT5G10350.1
OG0002982	Aa_G152860.h1.t1	AT5G09830.1
OG0002983	Aa_G55820.h1.t1	AT3G42153.1, AT4G09740.1, AT4G23560.1
OG0002984	Aa_G210630.h1.t1	AT5G08391.1
OG0002985	Aa_G435900.h1.t1	AT1G07175.1
OG0002987	Aa_G655380.h1.t1	AT1G03960.1
OG0002988	Aa_G326520.h1.t1	AT1G27650.1
OG0002989	Aa_G138840.h1.t1	AT2G34750.1, AT1G30590.2
OG0002990	Aa_G216270.h1.t1	AT1G30730.1
OG0002991	Aa_G52080.h1.t1	AT2G35340.1
OG0002992	Aa_G383070.h1.t1	AT5G67360.1
OG0002993	Aa_G383020.h1.t1	AT5G67400.1, AT3G49960.1
OG0002994	Aa_G23620.h1.t1	AT5G67500.1
OG0002995	Aa_G549050.h1.t1, Aa_G549060.h1.t1	AT5G60900.1
OG0002996	Aa_G173770.h1.t1	AT5G22780.1, AT5G22770.1
OG0002997	Aa_G456980.h1.t1, Aa_G457000.h1.t1, Aa_G456990.h1.t1	AT5G60270.1
OG0002998	Aa_G148030.h1.t1, Aa_G148040.h1.t1	AT5G58782.2
OG0002999	Aa_G31480.h1.t1, Aa_G31600.h1.t1	AT5G58050.1, AT5G58170.1
OG0003000	Aa_G216680.h1.t1	AT5G56170.1
OG0003002	Aa_G542680.h1.t1	AT5G54970.1
OG0003002	Aa_G363750.h1.t1	AT4G26960.1
OG0003003	Aa_G542620.h1.t1	AT5G54920.2
OG0003004	Aa_G516390.h1.t1	AT1G09620.1
OG0003005	Aa_G386330.h1.t1, Aa_G386330.h2.t1	AT5G06730.1
OG0003005	Aa_G386310.h1.t1	AT5G06720.1
OG0003006	Aa_G358070.h1.t1	AT1G03130.1
OG0003006	Aa_G188860.h1.t1	AT4G02770.1
OG0003008	Aa_G461230.h1.t1	AT3G02370.2
OG0003010	Aa_G298310.h1.t1	AT5G41130.3, AT5G41120.3
OG0003011	Aa_G272130.h1.t1	AT1G22050.1
OG0003011	Aa_G526830.h1.t1	AT1G77870.1
OG0003012	Aa_G68880.h1.t1, Aa_G58980.h1.t1, Aa_G676710.h1.t1, Aa_G244790.h1.t1	AT4G10457.1
OG0003014	Aa_G157110.h1.t1	AT4G35630.1
OG0003014	Aa_G580090.h1.t1	AT2G17630.1
OG0003015	Aa_G157100.h1.t1	AT4G35640.1
OG0003015	Aa_G580100.h1.t1	AT2G17640.1
OG0003016	Aa_G12630.h1.t1	AT4G08500.1
OG0003018	Aa_G311170.h1.t1	AT3G24790.2, AT4G13190.1
OG0003020	Aa_G206680.h1.t1	AT4G13890.1, AT4G13930.1
OG0003021	Aa_G30420.h1.t1	AT1G73890.1
OG0003022	Aa_G193440.h1.t1	AT1G68750.1
OG0003023	Aa_G343430.h1.t1	AT4G29180.2
OG0003023	Aa_G332430.h1.t1	AT4G29450.1
OG0003024	Aa_G165010.h1.t1	AT1G21170.2, AT1G76850.1
OG0003025	Aa_G34350.h1.t1	AT3G28150.1
OG0003026	Aa_G768640.h1.t1	AT3G28200.1, AT5G40150.1
OG0003027	Aa_G239420.h1.t1, Aa_G386610.h1.t1	AT5G45440.1
OG0003028	Aa_G92530.h1.t1	AT1G49910.1
OG0003029	Aa_G250590.h1.t1	AT3G20510.1
OG0003030	Aa_G95950.h1.t1	AT1G49340.1
OG0003032	Aa_G568120.h1.t1	AT3G16175.1, AT1G52191.1
OG0003033	Aa_G979100.h1.t1	AT2G38195.1, AT2G38220.1
OG0003034	Aa_G43730.h1.t1	AT5G49560.1
OG0003037	Aa_G41850.h1.t1, Aa_G41840.h1.t1	AT4G05190.1
OG0003039	Aa_G48700.h1.t1	AT3G60800.1
OG0003040	Aa_G77290.h1.t1	AT3G60415.1
OG0003041	Aa_G103290.h1.t1, Aa_G218970.h1.t1, Aa_G218980.h1.t1	AT3G60130.1
OG0003042	Aa_G401520.h1.t1	AT2G43150.1
OG0003043	Aa_G98590.h1.t1	AT3G58100.2
OG0003044	Aa_G402260.h1.t1	AT3G53540.2
OG0003045	Aa_G267900.h1.t1	AT3G03260.1
OG0003047	Aa_G335170.h1.t1, Aa_G604840.h1.t1	AT1G67460.1
OG0003047	Aa_G335160.h1.t1	AT1G67440.2
OG0003048	Aa_G7230.h1.t1	AT1G67530.1, AT1G24330.1
OG0003050	Aa_G748140.h2.t1, Aa_G748140.h1.t1	AT1G65220.1
OG0003051	Aa_G61700.h1.t1	AT1G24480.1
OG0003052	Aa_G137950.h1.t1	AT4G38790.1
OG0003053	Aa_G529510.h1.t1	AT1G35730.2, AT1G35750.1
OG0003054	Aa_G572320.h1.t1	AT4G20330.1, AT4G21010.1
OG0003055	Aa_G128890.h1.t1	AT5G19110.2
OG0003056	Aa_G441560.h1.t1	AT5G19310.1
OG0003057	Aa_G40980.h1.t1	AT5G26730.1
OG0003058	Aa_G4520.h1.t1	AT3G04830.1
OG0003058	Aa_G378520.h1.t1	AT5G28220.1
OG0003059	Aa_G241230.h1.t1, Aa_G714150.h1.t1	AT5G50950.1
OG0003060	Aa_G289650.h1.t1	AT2G45330.1, AT5G23600.1
OG0003061	Aa_G831400.h1.t1	AT2G43880.1
OG0003062	Aa_G125490.h1.t1, Aa_G552000.h1.t1, Aa_G323680.h1.t1, Aa_G234090.h1.t1	AT2G43860.1
OG0003063	Aa_G145800.h1.t1, Aa_G145810.h1.t1	AT5G24640.1, AT2G41730.1
OG0003064	Aa_G4990.h1.t1	AT3G05190.1
OG0003065	Aa_G50940.h1.t1	AT1G09100.1
OG0003065	Aa_G45810.h1.t1	AT3G05530.1
OG0003066	Aa_G51190.h1.t1	AT3G05727.1
OG0003066	Aa_G51200.h1.t1	AT3G05730.1
OG0003067	Aa_G128250.h1.t1	AT5G49460.1
OG0003068	Aa_G24320.h1.t1	AT3G08770.2
OG0003068	Aa_G264580.h1.t1	AT5G01870.1
OG0003069	Aa_G136840.h1.t1	AT3G30540.1, AT3G10900.1, AT3G10890.1
OG0003070	Aa_G176060.h1.t1	AT3G13410.1
OG0003071	Aa_G241950.h1.t1	AT1G67520.6
OG0003072	Aa_G176980.h1.t1	AT3G18030.1
OG0003073	Aa_G161190.h1.t1	AT1G48760.1
OG0003074	Aa_G288090.h1.t1	AT5G37800.1
OG0003077	Aa_G291110.h1.t1	AT1G01640.1
OG0003078	Aa_G6670.h1.t1	AT1G02790.1
OG0003079	Aa_G135030.h1.t1	AT1G03360.1
OG0003080	Aa_G22870.h1.t1	AT1G06390.1
OG0003080	Aa_G555110.h1.t1	AT2G30980.1
OG0003081	Aa_G222910.h1.t1	AT1G60630.1
OG0003081	Aa_G43340.h1.t1	AT1G10850.1
OG0003082	Aa_G640080.h1.t1	AT1G14900.1
OG0003083	Aa_G661470.h1.t1	AT1G14980.1
OG0003084	Aa_G64460.h1.t1	AT1G74810.1
OG0003084	Aa_G112410.h1.t1	AT1G15460.1
OG0003085	Aa_G132430.h1.t1	AT1G18500.1
OG0003085	Aa_G30600.h1.t1	AT1G74040.1
OG0003087	Aa_G119620.h1.t1	AT1G20693.1
OG0003088	Aa_G119640.h1.t1	AT1G20700.1
OG0003089	Aa_G60780.h1.t1	AT1G21140.1, AT3G43630.1, AT3G43660.1
OG0003092	Aa_G123870.h1.t1, Aa_G123860.h1.t1	AT5G44590.1
OG0003093	Aa_G179580.h1.t1	AT4G36500.1
OG0003094	Aa_G84860.h1.t1	AT4G34920.1
OG0003094	Aa_G84890.h1.t1	AT4G34930.1
OG0003095	Aa_G84840.h1.t1	AT4G34890.1
OG0003097	Aa_G632470.h1.t1	AT1G26830.1
OG0003098	Aa_G624580.h1.t1	AT4G01450.2
OG0003101	Aa_G606710.h1.t1, Aa_G235690.h1.t1	AT2G18190.1, AT2G18193.1
OG0003102	Aa_G537790.h1.t1	AT2G24050.1
OG0003104	Aa_G470350.h1.t1	AT5G61412.1
OG0003106	Aa_G14340.h1.t1	AT3G53232.1
OG0003116	Aa_G489460.h1.t1	AT4G30480.2
OG0003117	Aa_G474060.h1.t1	AT4G08580.1, AT5G17900.1
OG0003118	Aa_G379160.h1.t1	AT5G15980.1
OG0003118	Aa_G42460.h1.t1	AT3G02490.1
OG0003120	Aa_G37290.h1.t1	AT5G65270.1
OG0003121	Aa_G148630.h1.t1	AT2G32870.1, AT2G32880.1
OG0003122	Aa_G335810.h1.t1	AT4G00130.1
OG0003123	Aa_G332850.h1.t1	AT1G47578.1
OG0003123	Aa_G521310.h1.t1	AT4G31050.1
OG0003124	Aa_G408540.h1.t1	AT3G19515.2, AT1G29030.1
OG0003125	Aa_G299220.h1.t1	AT1G31200.1
OG0003125	Aa_G165490.h1.t1	AT1G10155.1
OG0003126	Aa_G703300.h1.t1	AT1G31670.1, AT1G31690.1
OG0003126	Aa_G463090.h1.t1	AT1G31710.1
OG0003127	Aa_G147110.h1.t1	AT5G66770.1
OG0003128	Aa_G692840.h1.t1	AT5G22480.1, AT5G37340.2
OG0003129	Aa_G559270.h1.t1	AT5G63570.1
OG0003129	Aa_G168290.h1.t1	AT3G48730.1
OG0003130	Aa_G492230.h1.t1	AT5G63030.1
OG0003131	Aa_G583370.h1.t1	AT5G61650.1
OG0003132	Aa_G377450.h1.t1	AT5G24060.2
OG0003134	Aa_G326780.h1.t1	AT3G22320.1
OG0003136	Aa_G173940.h1.t1	AT5G22520.1, AT5G22530.1, AT5G22545.1
OG0003138	Aa_G411500.h1.t1	AT5G52300.1
OG0003140	Aa_G272230.h1.t1	AT1G21970.1
OG0003141	Aa_G20370.h1.t1	AT3G17010.1
OG0003142	Aa_G6750.h1.t1	AT1G02840.1
OG0003143	Aa_G354900.h1.t1	AT4G02510.1
OG0003144	Aa_G719750.h1.t1	AT3G55220.1, AT3G55200.1
OG0003145	Aa_G727220.h1.t1	AT5G04680.1, AT5G04700.1
OG0003146	Aa_G73120.h1.t1	AT5G04460.1
OG0003148	Aa_G603480.h1.t1	AT5G41260.1
OG0003148	Aa_G462390.h1.t1	AT1G63500.1
OG0003149	Aa_G239060.h1.t1, Aa_G239040.h1.t1	AT1G79920.1, AT1G79930.1
OG0003150	Aa_G497440.h1.t1	AT1G80280.1
OG0003152	Aa_G145380.h1.t1	AT1G79450.1
OG0003152	Aa_G65530.h1.t1	AT1G16360.2
OG0003153	Aa_G835360.h1.t1	AT1G78860.1, AT1G78850.1
OG0003154	Aa_G164990.h1.t1	AT1G76870.1
OG0003154	Aa_G60810.h1.t1	AT1G21200.1
OG0003155	Aa_G165060.h1.t1	AT1G76770.1
OG0003156	Aa_G257340.h1.t1	AT3G25940.1
OG0003157	Aa_G348850.h1.t1	AT1G75230.2
OG0003157	Aa_G323730.h1.t1	AT1G19480.1
OG0003158	Aa_G1320.h1.t1	AT3G15010.1
OG0003159	Aa_G505620.h1.t1	AT2G36100.1
OG0003161	Aa_G557690.h1.t1	AT5G07640.1
OG0003162	Aa_G79780.h1.t1, Aa_G305930.h1.t1	AT4G13710.1, AT3G24230.1
OG0003163	Aa_G754120.h1.t1	AT4G14723.1, AT3G22820.1
OG0003164	Aa_G388580.h1.t1	AT3G21465.2
OG0003164	Aa_G448620.h1.t1	AT4G15640.1
OG0003165	Aa_G524720.h1.t1	AT1G73500.1
OG0003166	Aa_G55170.h1.t1, Aa_G577520.h1.t1	AT1G18260.1
OG0003167	Aa_G34180.h1.t1	AT3G27880.1
OG0003168	Aa_G245530.h1.t1	AT5G39430.1
OG0003168	Aa_G247630.h1.t1	AT3G29180.1
OG0003169	Aa_G612820.h1.t1	AT5G40540.1
OG0003169	Aa_G27410.h1.t1	AT3G27560.1
OG0003173	Aa_G124030.h1.t1	AT3G45800.1, AT2G11620.1, AT2G29850.1, AT2G29605.1, AT2G11623.1
OG0003175	Aa_G492540.h1.t1	AT5G42960.1
OG0003176	Aa_G607270.h1.t1	AT4G17510.1
OG0003177	Aa_G84040.h1.t1, Aa_G84030.h1.t1	AT5G51270.1
OG0003178	Aa_G297970.h1.t1	AT5G49700.1, AT1G14490.2
OG0003179	Aa_G49390.h1.t1	AT4G16480.1
OG0003180	Aa_G173150.h1.t1	AT4G17080.1, AT2G35170.1
OG0003181	Aa_G476620.h1.t1	AT3G50960.1
OG0003182	Aa_G208930.h1.t1	AT3G60500.1
OG0003183	Aa_G551950.h1.t1	AT2G43810.1
OG0003185	Aa_G2380.h1.t1	AT3G62050.1
OG0003186	Aa_G525150.h1.t1	AT3G45220.1
OG0003186	Aa_G371770.h1.t1	AT2G25240.1
OG0003187	Aa_G287250.h1.t1	AT3G56060.1
OG0003189	Aa_G509520.h1.t1	AT2G39230.1
OG0003189	Aa_G287650.h1.t1	AT3G54980.1
OG0003190	Aa_G394530.h1.t1	AT3G53680.2
OG0003190	Aa_G304520.h1.t1	AT2G37520.1
OG0003192	Aa_G197430.h1.t1	AT2G17980.1
OG0003193	Aa_G174980.h1.t1	AT3G56680.1
OG0003193	Aa_G144260.h1.t1, Aa_G544540.h1.t1	AT2G40960.1
OG0003194	Aa_G844080.h1.t1	AT2G39210.1
OG0003195	Aa_G11800.h1.t1	AT2G23630.2
OG0003196	Aa_G321360.h1.t1	AT2G25170.3
OG0003197	Aa_G352500.h1.t1	AT4G11650.1
OG0003198	Aa_G502250.h1.t1	AT5G27520.1
OG0003198	Aa_G5110.h1.t1	AT3G05290.1
OG0003199	Aa_G194680.h1.t1	AT2G20610.1
OG0003199	Aa_G44680.h1.t1	AT4G28420.2
OG0003200	Aa_G4360.h1.t1	AT3G04690.1
OG0003200	Aa_G414150.h1.t1	AT5G28680.1
OG0003201	Aa_G5100.h1.t1	AT3G05280.1
OG0003202	Aa_G83740.h1.t1	AT5G18960.1
OG0003202	Aa_G524390.h1.t1	AT3G06250.1
OG0003203	Aa_G78690.h2.t1, Aa_G78690.h1.t1	AT3G07220.1
OG0003206	Aa_G40020.h1.t1	AT3G12830.1
OG0003208	Aa_G104630.h1.t1	AT3G18650.1
OG0003210	Aa_G336610.h1.t1	AT5G37930.1
OG0003211	Aa_G477730.h1.t1	AT1G50920.1
OG0003211	Aa_G446430.h1.t1	AT1G10300.1
OG0003212	Aa_G441360.h1.t1, Aa_G441370.h1.t1	AT1G07135.1
OG0003213	Aa_G368310.h1.t1	AT1G08440.1, AT1G08430.1
OG0003214	Aa_G238510.h2.t1, Aa_G238510.h1.t1	AT1G60030.1
OG0003214	Aa_G427950.h1.t1	AT1G10540.1
OG0003215	Aa_G291920.h1.t1, Aa_G291920.h2.t1	AT1G12740.2
OG0003216	Aa_G726120.h1.t1	AT1G13160.1
OG0003218	Aa_G535270.h1.t1	AT5G50430.1
OG0003218	Aa_G324130.h1.t1	AT1G17280.4
OG0003219	Aa_G589590.h1.t1	AT1G22590.2
OG0003221	Aa_G843640.h1.t1	AT1G22890.1
OG0003221	Aa_G518700.h1.t1	AT5G44568.1
OG0003222	Aa_G170740.h1.t1	AT1G71230.1
OG0003222	Aa_G399790.h1.t1	AT1G22920.1
OG0003225	Aa_G406950.h1.t1	AT4G15990.1
OG0003226	Aa_G418790.h1.t1	AT1G47980.1
OG0003229	Aa_G579780.h1.t1, Aa_G579770.h1.t1, Aa_G284650.h1.t1	AT1G26730.1, AT1G35350.1
OG0003231	Aa_G560080.h1.t1	AT2G03850.1, AT2G03740.1
OG0003233	Aa_G179440.h1.t1	AT4G36350.1, AT1G56360.1
OG0003237	Aa_G282150.h1.t1	AT5G38800.1
OG0003239	Aa_G436400.h1.t1	AT3G45410.1
OG0003240	Aa_G122420.h1.t1	AT4G17718.1, AT2G06166.1
OG0003247	Aa_G500660.h1.t1	AT3G46740.1
OG0003248	Aa_G213550.h1.t1, Aa_G210260.h1.t1, Aa_G561400.h1.t1	AT3G48090.1, AT3G48080.1
OG0003249	Aa_G160440.h1.t1	AT5G46550.1
OG0003250	Aa_G596020.h1.t1	AT5G15140.1, AT3G01260.1
OG0003251	Aa_G354700.h1.t1	AT5G14040.1
OG0003252	Aa_G215900.h1.t1	AT5G12000.1
OG0003252	Aa_G112910.h1.t1	AT5G26150.2
OG0003253	Aa_G340030.h1.t1	AT4G18440.1, AT1G36280.1
OG0003254	Aa_G20670.h1.t1	AT5G65010.2
OG0003254	Aa_G159030.h1.t1	AT5G10240.1
OG0003255	Aa_G159020.h1.t1	AT5G10220.1
OG0003256	pep1hit_1.1	AT5G10140.1
OG0003257	Aa_G516780.h1.t1	AT5G09650.1
OG0003258	Aa_G51590.h1.t1	AT5G64310.1
OG0003259	Aa_G391900.h1.t1	AT2G29700.1
OG0003260	Aa_G552340.h1.t1	AT2G30490.1
OG0003261	Aa_G470360.h1.t1	AT2G30570.1
OG0003262	Aa_G79400.h1.t1	AT1G05575.1
OG0003262	Aa_G154670.h1.t1	AT2G31945.1
OG0003263	Aa_G865900.h2.t1, Aa_G865900.h1.t1, Aa_G453620.h1.t1	AT1G49290.1
OG0003266	Aa_G67310.h1.t1, Aa_G703640.h1.t1	AT1G27000.1
OG0003267	Aa_G389890.h1.t1	AT1G30410.1
OG0003269	Aa_G268310.h1.t1	AT5G64070.1
OG0003270	Aa_G620760.h1.t1	AT5G61220.1
OG0003271	Aa_G6820.h1.t1	AT5G27607.1
OG0003273	Aa_G629210.h1.t1	AT3G45000.1
OG0003274	Aa_G342310.h1.t1	AT4G36600.2
OG0003274	Aa_G415530.h1.t1	AT2G18340.1
OG0003276	Aa_G93760.h1.t1, Aa_G64140.h1.t1	AT5G58460.1, AT5G37060.1
OG0003277	Aa_G755850.h1.t1	AT5G56020.1
OG0003280	Aa_G456280.h1.t1	AT5G03500.6, AT5G03220.1
OG0003281	Aa_G18820.h1.t1	AT1G12350.1
OG0003282	Aa_G92630.h1.t1, Aa_G62560.h1.t1	AT1G23280.1
OG0003283	Aa_G13750.h1.t1	AT1G37150.9
OG0003284	Aa_G312110.h1.t1	AT1G80370.1
OG0003285	Aa_G203390.h1.t1	AT4G19030.1
OG0003285	Aa_G69950.h1.t1	AT4G18910.1
OG0003286	Aa_G148240.h1.t1	AT4G19690.2
OG0003287	Aa_G122570.h1.t1, Aa_G485970.h1.t1	AT1G22260.1, AT1G22275.1
OG0003289	Aa_G31170.h1.t1	AT4G14880.1
OG0003290	Aa_G538140.h1.t1	AT3G22220.1
OG0003290	Aa_G418480.h1.t1	AT4G15020.1
OG0003294	Aa_G424040.h1.t1	AT3G15534.1
OG0003295	Aa_G45850.h1.t1, Aa_G45850.h5.t1, Aa_G45850.h4.t1, Aa_G45850.h3.t1, Aa_G45850.h2.t1, Aa_G45860.h6.t1, Aa_G45860.h2.t1, Aa_G45860.h1.t1, Aa_G45860.h4.t1, Aa_G45860.h7.t1, Aa_G45860.h3.t1, Aa_G45860.h5.t1	AT4G18372.1
OG0003298	Aa_G73370.h1.t1	AT5G08695.1
OG0003298	Aa_G148370.h1.t1	AT4G19610.1
OG0003300	Aa_G63600.h1.t1	AT5G42270.1, AT1G50250.1
OG0003301	Aa_G122660.h1.t1	AT3G51370.1
OG0003302	Aa_G16790.h1.t1	AT2G46180.1
OG0003303	Aa_G260960.h1.t1	AT3G54180.1
OG0003304	Aa_G316630.h1.t1	AT4G27190.1, AT4G27220.2
OG0003307	Aa_G56020.h1.t1	AT1G67800.2
OG0003308	Aa_G426540.h2.t1, Aa_G325450.h1.t1, Aa_G325450.h2.t1, Aa_G426540.h1.t1	AT2G18740.1, AT4G30330.1
OG0003309	Aa_G546590.h1.t1	AT3G13674.1
OG0003310	Aa_G82600.h1.t1	AT1G44780.1
OG0003311	Aa_G249880.h1.t1	AT2G47240.1
OG0003312	Aa_G87800.h1.t1	AT1G76170.7
OG0003313	Aa_G543460.h1.t1	AT5G48420.1
OG0003313	Aa_G483280.h1.t1	AT4G34630.1
OG0003314	Aa_G643720.h1.t1, Aa_G4870.h1.t1	AT3G05100.1
OG0003316	Aa_G83710.h1.t1	AT5G18980.1
OG0003317	Aa_G78740.h1.t1	AT3G07190.1
OG0003318	Aa_G234900.h1.t1, Aa_G443940.h1.t1	AT3G16530.1, AT3G15356.1
OG0003319	Aa_G418190.h1.t1	AT3G16830.1
OG0003320	Aa_G342880.h1.t1	AT3G18880.1
OG0003321	Aa_G44520.h1.t1	AT4G32490.1
OG0003322	Aa_G421590.h1.t1	AT5G38790.1
OG0003323	Aa_G538110.h1.t1	AT3G22240.1
OG0003324	Aa_G461030.h1.t1	AT4G30170.1
OG0003325	Aa_G196470.h1.t1	AT5G49470.2
OG0003326	Aa_G236050.h1.t1	AT3G51770.2
OG0003327	Aa_G105780.h1.t1	AT1G01520.1, AT4G01280.2
OG0003328	Aa_G67850.h1.t1	AT4G01010.1
