Orthogroup	Arabis_alpina	Arabidopsis_arenosa
OG0000747	Aa_G96230.h1.t1, Aa_G6630.h1.t1	jg25749, jg7994
OG0000748	Aa_G564650.h1.t1	jg991, jg972, jg971, jg973, jg974
OG0000749	Aa_G89460.h1.t1, Aa_G12970.h1.t1	jg21536, jg11386, jg11583, jg11459, jg11374
OG0000751	Aa_G374820.h1.t1, Aa_G283110.h1.t1	jg809
OG0000751	Aa_G206230.h1.t1	jg8429
OG0000761	Aa_G395370.h1.t1	jg13905
OG0000761	Aa_G84350.h1.t1	jg6675
OG0000762	Aa_G40670.h1.t1, Aa_G58580.h1.t1, Aa_G594730.h1.t1	jg32381
OG0000762	Aa_G192740.h1.t1, Aa_G105270.h1.t1, Aa_G584880.h1.t1	jg24181
OG0000764	Aa_G91730.h1.t1	jg16653
OG0000764	Aa_G356460.h1.t1	jg4847
OG0000764	Aa_G381690.h1.t1	jg8480
OG0000765	Aa_G180860.h1.t1, Aa_G678930.h1.t1, Aa_G678930.h2.t1	jg31052
OG0000765	Aa_G572080.h1.t1, Aa_G136980.h1.t1	jg25018
OG0000766	Aa_G173860.h1.t1	jg6087
OG0000766	Aa_G241070.h1.t1	jg14210
OG0000767	Aa_G530800.h1.t1, Aa_G719990.h1.t1, Aa_G720010.h1.t1	jg4512
OG0000769	Aa_G706650.h1.t1	jg3768
OG0000769	Aa_G490390.h1.t1	jg13948
OG0000770	Aa_G410770.h1.t1	jg3257
OG0000770	Aa_G219220.h1.t1	jg8314
OG0000771	Aa_G147030.h1.t1	jg23719
OG0000772	Aa_G63730.h1.t1	jg2184
OG0000772	Aa_G439640.h1.t1	jg12325
OG0000774	Aa_G327390.h1.t1	jg25376
OG0000774	Aa_G115110.h1.t1	jg2117, jg27373
OG0000774	Aa_G377750.h1.t1	jg9824
OG0000775	Aa_G148830.h1.t1	jg30587
OG0000775	Aa_G622650.h1.t1, Aa_G622640.h1.t1	jg30585
OG0000782	Aa_G369080.h1.t1	jg11370
OG0000782	Aa_G428220.h1.t1	jg26624
OG0000782	Aa_G79370.h1.t1	jg28889
OG0000783	Aa_G148560.h1.t1, Aa_G183730.h1.t1, Aa_G183720.h1.t1	jg21117, jg18394, jg6099, jg18362
OG0000784	Aa_G113510.h1.t1	jg18476
OG0000784	Aa_G329800.h1.t1	jg31345
OG0000785	Aa_G98020.h1.t1	jg6136
OG0000787	Aa_G355130.h1.t1	jg22572
OG0000787	Aa_G111440.h1.t1	jg15206
OG0000788	Aa_G681770.h1.t1, Aa_G719500.h1.t1	jg32421
OG0000788	Aa_G376650.h1.t1	jg9051
OG0000789	Aa_G197190.h1.t1	jg18918, jg15310
OG0000793	Aa_G1380.h1.t1	jg25511
OG0000793	Aa_G415310.h1.t1	jg19576
OG0000794	Aa_G270280.h1.t1, Aa_G270270.h1.t1, Aa_G185390.h1.t1, Aa_G270290.h1.t1	jg13630
OG0000795	Aa_G559830.h1.t1	jg31059
OG0000796	Aa_G207080.h1.t1	jg13243
OG0000796	Aa_G164240.h1.t1	jg29796, jg29795
OG0000796	Aa_G684760.h1.t1	jg31164
OG0000797	Aa_G88930.h1.t1	jg14496
OG0000797	Aa_G88950.h1.t1	jg14502
OG0000797	Aa_G88940.h1.t1	jg14497
OG0000800	Aa_G342530.h1.t1	jg26950, jg11720
OG0000801	Aa_G609030.h1.t1	jg16333
OG0000801	Aa_G191500.h1.t1	jg8009
OG0000802	Aa_G331460.h1.t1	jg657, jg661, jg15467, jg15468
OG0000803	Aa_G551960.h1.t1, Aa_G551970.h1.t1, Aa_G237910.h1.t1	jg19730
OG0000803	Aa_G551980.h1.t1	jg19731
OG0000804	Aa_G101270.h1.t1, Aa_G101260.h1.t1	jg24849
OG0000804	Aa_G101300.h1.t1, Aa_G101290.h1.t1, Aa_G101280.h1.t1	jg2071, jg2077, jg2075
OG0000805	Aa_G40430.h1.t1	jg28310, jg25199, jg25200
OG0000805	Aa_G40450.h1.t1	jg25197
OG0000812	Aa_G130070.h1.t1, Aa_G550610.h1.t1, Aa_G130070.h2.t1, Aa_G550610.h2.t1, Aa_G523010.h1.t1	jg21716, jg14675
OG0000813	Aa_G242290.h1.t1, Aa_G72440.h1.t1	jg2042, jg2041
OG0000816	Aa_G184650.h1.t1	jg33661
OG0000817	Aa_G261350.h1.t1	jg4336
OG0000817	Aa_G195440.h1.t1	jg28110, jg28109, jg25078, jg25077, jg25076
OG0000818	Aa_G53940.h1.t1, Aa_G53950.h1.t1	jg3860
OG0000818	Aa_G53960.h1.t1	jg3861
OG0000819	Aa_G800910.h2.t1, Aa_G800910.h1.t1	jg18768
OG0000819	Aa_G236320.h1.t1, Aa_G354390.h1.t1, Aa_G49090.h1.t1, Aa_G12280.h1.t1, Aa_G615890.h1.t1	jg12775, jg14174
OG0000820	Aa_G636070.h1.t1	jg13314
OG0000822	Aa_G406630.h1.t1	jg10881
OG0000822	Aa_G96150.h1.t1	jg10949, jg18704
OG0000824	Aa_G556710.h1.t1	jg26167
OG0000824	Aa_G323910.h1.t1	jg33073
OG0000826	Aa_G22580.h1.t1, Aa_G22570.h1.t1, Aa_G22610.h1.t1, Aa_G22590.h1.t1, Aa_G22600.h1.t1	jg29013
OG0000827	Aa_G348400.h1.t1	jg1163
OG0000827	Aa_G689360.h1.t1	jg29371
OG0000827	Aa_G331080.h1.t1	jg18184
OG0000828	Aa_G553980.h1.t1	jg2524
OG0000831	Aa_G313740.h1.t1	jg10305
OG0000831	Aa_G175850.h1.t1	jg15919
OG0000831	Aa_G526690.h1.t1, Aa_G313730.h1.t1	jg30432
OG0000832	Aa_G445560.h1.t1	jg14426
OG0000832	Aa_G698640.h1.t1	jg22860
OG0000834	Aa_G53140.h1.t1	jg8095
OG0000834	Aa_G211840.h1.t1	jg28521
OG0000836	Aa_G553480.h1.t1, Aa_G113030.h1.t1	jg6084, jg6489, jg6488
OG0000839	Aa_G34760.h1.t1, Aa_G260810.h1.t1	jg4020, jg16983, jg32176, jg24889
OG0000840	Aa_G306830.h1.t1, Aa_G306820.h1.t1	jg33627
OG0000841	Aa_G82810.h1.t1	jg21623
OG0000841	Aa_G26360.h1.t1	jg21625
OG0000842	Aa_G362360.h1.t1	jg33086
OG0000842	Aa_G362350.h1.t1, Aa_G362340.h1.t1	jg33087
OG0000843	Aa_G469420.h1.t1	jg20075
OG0000843	Aa_G67730.h1.t1	jg8149
OG0000844	Aa_G378340.h1.t1	jg15605
OG0000844	Aa_G705680.h1.t1	jg19315, jg19323
OG0000845	Aa_G273590.h1.t1	jg7391
OG0000845	Aa_G537630.h1.t1	jg12014, jg31966, jg31967
OG0000846	Aa_G140960.h1.t1, Aa_G112640.h1.t1	jg6538, jg6537
OG0000847	Aa_G213030.h1.t1	jg12609
OG0000847	Aa_G12310.h1.t1	jg6472, jg18485
OG0000848	Aa_G32170.h1.t1	jg1228
OG0000851	Aa_G288660.h1.t1	jg16766
OG0000851	Aa_G205190.h1.t1	jg8415
OG0000852	Aa_G126180.h1.t1	jg7670
OG0000858	Aa_G198460.h1.t1, Aa_G198470.h1.t1	jg3200
OG0000858	Aa_G326570.h1.t1	jg32661
OG0000858	Aa_G492500.h1.t1	jg20963
OG0000859	Aa_G15670.h1.t1	jg5919, jg5905
OG0000861	Aa_G127300.h1.t1	jg23019
OG0000861	Aa_G208440.h1.t1	jg14268
OG0000862	Aa_G84510.h1.t1, Aa_G10890.h1.t1, Aa_G2210.h1.t1	jg10150, jg10149
OG0000863	Aa_G457380.h1.t1	jg3643
OG0000863	Aa_G40060.h1.t1	jg33815, jg25235
OG0000864	Aa_G369020.h1.t1, Aa_G369030.h1.t1, Aa_G91390.h1.t1, Aa_G250920.h1.t1, Aa_G250940.h1.t1, Aa_G369040.h1.t1	jg11190
OG0000865	Aa_G207700.h1.t1	jg14343, jg14340
OG0000866	Aa_G341060.h1.t1	jg17233
OG0000866	Aa_G240990.h1.t1	jg7185, jg33590
OG0000866	Aa_G679560.h1.t1, Aa_G679560.h2.t1, Aa_G679540.h1.t1, Aa_G602130.h1.t1, Aa_G602140.h1.t1	jg12011, jg12008, jg12013, jg12006
OG0000867	Aa_G352340.h1.t1	jg20328
OG0000867	Aa_G607280.h1.t1	jg10866
OG0000868	Aa_G124700.h1.t1	jg14879
OG0000868	Aa_G658150.h1.t1	jg14884
OG0000870	Aa_G224870.h1.t1	jg15594
OG0000870	Aa_G137160.h1.t1	jg2066
OG0000871	Aa_G249400.h1.t1	jg18903, jg18906
OG0000871	Aa_G394550.h1.t1	jg15302
OG0000872	Aa_G588210.h1.t1	jg20671, jg17154, jg17149
OG0000872	Aa_G288450.h1.t1	jg19800
OG0000873	Aa_G47730.h1.t1	jg24562
OG0000874	Aa_G398320.h1.t1	jg29813, jg29812
OG0000875	Aa_G726750.h1.t1	jg31962
OG0000875	Aa_G582510.h1.t1	jg31960
OG0000882	Aa_G24790.h1.t1, Aa_G1860.h1.t1	jg29640
OG0000882	Aa_G414380.h1.t1	jg31753, jg18695
OG0000883	Aa_G204580.h1.t1, Aa_G368070.h1.t1, Aa_G368080.h1.t1	jg26910, jg26909, jg26908, jg26907
OG0000885	Aa_G700820.h1.t1	jg11239, jg26446, jg18292
OG0000886	Aa_G453090.h1.t1, Aa_G453080.h1.t1	jg20122, jg13747
OG0000889	Aa_G398570.h1.t1	jg10403
OG0000890	Aa_G217270.h1.t1	jg24300
OG0000890	Aa_G416100.h1.t1	jg5682
OG0000893	Aa_G158400.h1.t1	jg4972
OG0000893	Aa_G26990.h1.t1	jg4967, jg4971
OG0000894	Aa_G418310.h1.t1	jg16754
OG0000894	Aa_G383050.h1.t1	jg23642
OG0000894	Aa_G446210.h1.t1	jg14863
OG0000895	Aa_G76980.h1.t1, Aa_G753570.h1.t1	jg5886, jg5952
OG0000895	Aa_G80980.h1.t1, Aa_G710220.h1.t1, Aa_G886640.h1.t1	jg1701
OG0000897	Aa_G494020.h1.t1	jg4451, jg4440
OG0000897	Aa_G5520.h1.t1	jg25143
OG0000898	Aa_G353350.h2.t1, Aa_G170480.h1.t1, Aa_G170480.h2.t1, Aa_G353350.h1.t1	jg4293
OG0000898	Aa_G136890.h1.t1	jg25029
OG0000899	Aa_G335530.h1.t1	jg3547
OG0000899	Aa_G335510.h1.t1	jg3549
OG0000899	Aa_G335520.h1.t1	jg3548
OG0000900	Aa_G151550.h1.t1	jg12578, jg12576
OG0000901	Aa_G618770.h1.t1, Aa_G188500.h1.t1, Aa_G367700.h1.t1	jg15536, jg15518
OG0000902	Aa_G233520.h1.t1	jg31189
OG0000903	Aa_G198840.h1.t1	jg9507, jg9508
OG0000903	Aa_G512090.h1.t1	jg9509
OG0000904	Aa_G382280.h1.t1	jg26050
OG0000904	Aa_G362420.h1.t1	jg33079
OG0000906	Aa_G522030.h1.t1, Aa_G538900.h1.t1	jg10087, jg10089
OG0000906	Aa_G522020.h1.t1, Aa_G10950.h1.t1	jg10086
OG0000907	Aa_G52520.h1.t1	jg23902
OG0000908	Aa_G433180.h1.t1	jg15877
OG0000908	Aa_G399270.h1.t1	jg19566
OG0000911	Aa_G279290.h1.t1	jg16590
OG0000912	Aa_G142640.h1.t1, Aa_G51020.h1.t1	jg24471
OG0000913	Aa_G59350.h1.t1	jg5430
OG0000913	Aa_G42420.h1.t1	jg24070
OG0000914	Aa_G67920.h1.t1	jg8126
OG0000914	Aa_G105900.h1.t1	jg28485, jg28488
OG0000917	Aa_G198660.h1.t1	jg30806
OG0000917	Aa_G198650.h1.t1	jg30805
OG0000920	Aa_G283780.h1.t1, Aa_G418960.h1.t1	jg13278
OG0000923	Aa_G491990.h1.t1	jg14598
OG0000923	Aa_G409520.h1.t1, Aa_G409530.h1.t1	jg23222
OG0000924	Aa_G274020.h1.t1	jg11516
OG0000924	Aa_G412330.h1.t1, Aa_G412320.h1.t1	jg5442
OG0000925	Aa_G754700.h1.t1, Aa_G367230.h1.t1, Aa_G367240.h1.t1, Aa_G754680.h1.t1, Aa_G754690.h1.t1	jg6373
OG0000925	Aa_G168650.h1.t1	jg4905
OG0000926	Aa_G159140.h1.t1	jg4867, jg11616
OG0000927	Aa_G391890.h1.t1	jg17992
OG0000927	Aa_G663080.h1.t1	jg15542
OG0000927	Aa_G261290.h1.t1	jg4331
OG0000928	Aa_G374190.h1.t1	jg18107
OG0000928	Aa_G22460.h1.t1	jg29024
OG0000929	Aa_G22520.h1.t1	jg29018
OG0000929	Aa_G310930.h1.t1	jg18122
OG0000930	Aa_G241050.h1.t1, Aa_G241040.h1.t1	jg6089, jg14215
OG0000930	Aa_G173850.h1.t1	jg6088, jg6092, jg7080
OG0000931	Aa_G99420.h1.t1	jg14428
OG0000931	Aa_G306770.h1.t1	jg15476
OG0000932	Aa_G31820.h1.t1	jg22684
OG0000933	Aa_G575450.h1.t1	jg12264, jg12275, jg31435
OG0000933	Aa_G575460.h1.t1	jg23682, jg22659
OG0000934	Aa_G770.h1.t1	jg9875, jg9874
OG0000934	Aa_G69110.h1.t1	jg22621
OG0000935	Aa_G48320.h1.t1	jg22372, jg12274, jg22376, jg12263
OG0000937	Aa_G878470.h1.t1, Aa_G984600.h1.t1, Aa_G247390.h1.t1, Aa_G632700.h1.t1, Aa_G846960.h1.t1, Aa_G601850.h1.t1, Aa_G923300.h1.t1, Aa_G196160.h1.t1, Aa_G617440.h1.t1, Aa_G870980.h1.t1, Aa_G597400.h1.t1, Aa_G155070.h1.t1, Aa_G523500.h1.t1, Aa_G235230.h1.t1, Aa_G158700.h1.t1, Aa_G872530.h1.t1, Aa_G109480.h1.t1, Aa_G436540.h1.t1, Aa_G576500.h1.t1, Aa_G143940.h1.t1, Aa_G314630.h1.t1, Aa_G907130.h1.t1, Aa_G885200.h1.t1, Aa_G850040.h1.t1, Aa_G575340.h1.t1, Aa_G155770.h1.t1, Aa_G870100.h1.t1, Aa_G504670.h1.t1, Aa_G615630.h1.t1, Aa_G888400.h1.t1, Aa_G540150.h1.t1, Aa_G747090.h1.t1, Aa_G747080.h1.t1, Aa_G101620.h1.t1, Aa_G262490.h1.t1, Aa_G857420.h1.t1, Aa_G31210.h1.t1, Aa_G390770.h1.t1, Aa_G99410.h1.t1, Aa_G8220.h1.t1, Aa_G12520.h1.t1, Aa_G155950.h1.t1, Aa_G708920.h1.t1, Aa_G152050.h1.t1, Aa_G388450.h1.t1, Aa_G560720.h1.t1, Aa_G61100.h1.t1, Aa_G443680.h1.t1	jg7117
OG0000938	Aa_G470700.h1.t1	jg3514
OG0000939	Aa_G225730.h1.t1	jg32270
OG0000939	Aa_G479850.h1.t1	jg30781
OG0000940	Aa_G159950.h1.t1	jg9651
OG0000944	Aa_G344960.h1.t1, Aa_G344950.h1.t1	jg14819
OG0000944	Aa_G733300.h1.t1	jg14820
OG0000947	Aa_G12930.h1.t1	jg20203
OG0000947	Aa_G163520.h1.t1	jg16365
OG0000948	Aa_G721450.h1.t1	jg15726, jg15655
OG0000948	Aa_G718820.h1.t1	jg15729, jg15652
OG0000949	Aa_G357560.h1.t1	jg19166
OG0000951	Aa_G376290.h2.t1, Aa_G376290.h1.t1	jg8755
OG0000951	Aa_G380300.h1.t1	jg27085, jg11955
OG0000952	Aa_G73530.h1.t1, Aa_G73570.h1.t1	jg29314
OG0000954	Aa_G185610.h1.t1	jg24255
OG0000955	Aa_G320300.h1.t1, Aa_G750840.h1.t1, Aa_G206360.h1.t1, Aa_G320320.h1.t1	jg29845, jg6616, jg6617
OG0000956	Aa_G221860.h1.t1	jg2623
OG0000956	Aa_G228560.h1.t1	jg9527
OG0000956	Aa_G221840.h1.t1, Aa_G221850.h1.t1	jg2619
OG0000957	Aa_G450600.h1.t1	jg8434
OG0000957	Aa_G450610.h1.t1	jg8435
OG0000958	Aa_G719740.h1.t1, Aa_G602990.h1.t1	jg7073, jg7069, jg7075, jg7071, jg7162
OG0000962	Aa_G408150.h1.t1, Aa_G408160.h1.t1	jg13195
OG0000963	Aa_G8010.h1.t1	jg5307
OG0000963	Aa_G391150.h1.t1, Aa_G655760.h1.t1	jg27785, jg27786
OG0000964	Aa_G445760.h1.t1, Aa_G637640.h1.t1, Aa_G481870.h1.t1, Aa_G460430.h1.t1, Aa_G154770.h1.t1, Aa_G445750.h1.t1	jg18250, jg18234
OG0000965	Aa_G29670.h1.t1	jg9904
OG0000965	Aa_G435730.h1.t1	jg21942
OG0000966	Aa_G475010.h1.t1	jg6239
OG0000967	Aa_G648620.h1.t1, Aa_G550330.h1.t1, Aa_G550350.h1.t1, Aa_G550340.h1.t1	jg6431, jg6432
OG0000968	Aa_G234680.h1.t1	jg22954
OG0000969	Aa_G344360.h1.t1	jg22750
OG0000969	Aa_G170520.h1.t1	jg4288
OG0000970	Aa_G34140.h1.t1, Aa_G308240.h1.t1	jg13542, jg13539
OG0000971	Aa_G105000.h1.t1	jg20467
OG0000973	Aa_G607290.h1.t1	jg10865
OG0000973	Aa_G352350.h1.t1	jg20329
OG0000974	Aa_G302070.h1.t1, Aa_G287320.h1.t1	jg24768
OG0000974	Aa_G333190.h1.t1	jg25061
OG0000975	Aa_G115240.h1.t1	jg18954
OG0000975	Aa_G361810.h1.t1	jg15332
OG0000976	Aa_G118610.h1.t1, Aa_G310380.h1.t1	jg21892
OG0000976	Aa_G150620.h1.t1	jg21043
OG0000978	Aa_G4530.h1.t1	jg24372
OG0000978	Aa_G483330.h1.t1	jg8883
OG0000979	Aa_G134920.h1.t1, Aa_G134450.h1.t1	jg28664
OG0000980	Aa_G514480.h1.t1, Aa_G105030.h1.t1, Aa_G531570.h1.t1	jg13817, jg13821
OG0000983	Aa_G42370.h1.t1	jg24075
OG0000984	Aa_G71580.h1.t1	jg24028
OG0000985	Aa_G90580.h1.t1	jg17572
OG0000985	Aa_G133280.h1.t1	jg26246
OG0000986	Aa_G584270.h1.t1	jg18215
OG0000986	Aa_G220590.h1.t1	jg28938
OG0000987	Aa_G29710.h1.t1, Aa_G194020.h1.t1	jg21929
OG0000989	Aa_G546860.h1.t1	jg19447
OG0000990	Aa_G230150.h1.t1, Aa_G143560.h1.t1	jg31667, jg31666
OG0000992	Aa_G386430.h1.t1	jg4502
OG0000992	Aa_G386440.h1.t1	jg4503
OG0000993	Aa_G403610.h1.t1	jg24865, jg3972
OG0000994	Aa_G21510.h1.t1	jg3703
OG0000995	Aa_G397280.h1.t1, Aa_G976570.h1.t1	jg32184
OG0000995	Aa_G397270.h1.t1	jg32188
OG0000997	Aa_G423760.h1.t1	jg2432
OG0000997	Aa_G199490.h1.t1	jg27873
OG0000997	Aa_G442330.h1.t1	jg31165
OG0000998	Aa_G459700.h1.t1	jg27913
OG0000998	Aa_G514710.h1.t1	jg8744
OG0000999	Aa_G357550.h1.t1	jg16757
OG0001001	Aa_G12210.h1.t1	jg18775
OG0001001	Aa_G668300.h1.t1	jg15216
OG0001002	Aa_G277270.h1.t1	jg26538
OG0001002	Aa_G498440.h1.t1	jg11306
OG0001003	Aa_G336560.h1.t1	jg12251
OG0001004	Aa_G474050.h1.t1, Aa_G153600.h1.t1, Aa_G393800.h1.t1	jg21377, jg21378, jg13531
OG0001005	Aa_G26320.h1.t1	jg20391
OG0001007	Aa_G37600.h1.t1	jg10452, jg7875
OG0001007	Aa_G41890.h1.t1	jg7798
OG0001009	Aa_G462020.h1.t1	jg15482
OG0001010	Aa_G141940.h1.t1	jg9502
OG0001010	Aa_G331470.h1.t1	jg28171
OG0001011	Aa_G40800.h1.t1	jg6567
OG0001011	Aa_G269340.h1.t1	jg24510
OG0001012	Aa_G578700.h1.t1	jg9678
OG0001012	Aa_G88080.h1.t1	jg22194
OG0001013	Aa_G83680.h1.t1	jg5751
OG0001013	Aa_G524340.h1.t1, Aa_G524340.h2.t1	jg24551
OG0001014	Aa_G327240.h1.t1, Aa_G295210.h1.t1	jg1974, jg11180, jg11181
OG0001014	Aa_G520880.h1.t1	jg13858
OG0001015	Aa_G64240.h1.t1	jg28192, jg28191
OG0001015	Aa_G64250.h1.t1, Aa_G64260.h1.t1	jg28193
OG0001016	Aa_G19070.h1.t1	jg29281, jg29280
OG0001016	Aa_G123210.h1.t1	jg1418
OG0001017	Aa_G62650.h1.t1	jg30879
OG0001017	Aa_G201120.h1.t1	jg355
OG0001018	Aa_G118850.h1.t1	jg8829, jg8830
OG0001019	Aa_G575990.h1.t1	jg18018, jg33400
OG0001031	Aa_G621830.h1.t1	jg5285
OG0001031	Aa_G553340.h1.t1, Aa_G94820.h1.t1	jg5363
OG0001032	Aa_G259180.h1.t1	jg4939
OG0001032	Aa_G70560.h1.t1	jg6401
OG0001033	Aa_G66440.h1.t1, Aa_G482050.h1.t1	jg18055, jg18056
OG0001033	Aa_G482060.h1.t1, Aa_G66430.h1.t1	jg18054
OG0001034	Aa_G243700.h1.t1	jg18303
OG0001034	Aa_G235510.h1.t1	jg28862
OG0001037	Aa_G224830.h1.t1	jg16701
OG0001037	Aa_G226180.h1.t1	jg18635
OG0001038	Aa_G142500.h1.t1	jg13660
OG0001038	Aa_G142510.h1.t1	jg13663
OG0001040	Aa_G279370.h1.t1	jg16597, jg16601, jg16600, jg22483, jg16642, jg16599
OG0001041	Aa_G379640.h1.t1, Aa_G379670.h1.t1	jg22496, jg22502, jg22503
OG0001042	Aa_G106890.h1.t1	jg14312, jg14711
OG0001042	Aa_G70190.h1.t1	jg21750
OG0001044	Aa_G302880.h1.t1	jg24985
OG0001044	Aa_G73060.h1.t1	jg4189
OG0001045	Aa_G129380.h1.t1	jg3419
OG0001046	Aa_G60670.h1.t1	jg30646
OG0001046	Aa_G110990.h1.t1	jg3321
OG0001047	Aa_G266540.h1.t1	jg30524
OG0001047	Aa_G618440.h1.t1	jg3232
OG0001048	Aa_G119080.h1.t1	jg19588
OG0001049	Aa_G127790.h1.t1	jg33612
OG0001049	Aa_G146980.h1.t1, Aa_G146970.h1.t1, Aa_G85190.h1.t1	jg26701
OG0001050	Aa_G72720.h1.t1	jg5244, jg17156
OG0001051	Aa_G891380.h1.t1	jg21659
OG0001052	Aa_G207250.h1.t1	jg20491
OG0001052	Aa_G345130.h1.t1	jg10729
OG0001053	Aa_G31990.h1.t1, Aa_G32000.h1.t1	jg25610
OG0001054	Aa_G70130.h1.t1	jg27773
OG0001054	Aa_G454770.h1.t1	jg27732, jg27737, jg27726, jg27719
OG0001054	Aa_G180360.h1.t1	jg8852
OG0001055	Aa_G818050.h1.t1	jg31767, jg31756, jg31765, jg31762, jg31766, jg31768, jg31758, jg31763, jg31760, jg31761, jg31764, jg31757, jg31759
OG0001056	Aa_G359120.h1.t1, Aa_G359100.h1.t1	jg15488
OG0001056	Aa_G359280.h1.t1	jg19189
OG0001059	Aa_G30020.h1.t1	jg18876
OG0001060	Aa_G4470.h1.t1	jg24364
OG0001060	Aa_G199240.h1.t1	jg2872
OG0001061	Aa_G269350.h1.t1	jg17849
OG0001062	Aa_G527530.h1.t1	jg25824
OG0001062	Aa_G107750.h1.t1	jg25821, jg25823
OG0001063	Aa_G455840.h1.t1	jg26382, jg26384
OG0001064	Aa_G691680.h1.t1	jg2094, jg1355, jg2095
OG0001065	Aa_G136170.h1.t1	jg8235
OG0001065	Aa_G289680.h1.t1	jg19924
OG0001065	Aa_G106080.h1.t1	jg28421
OG0001066	Aa_G592540.h1.t1, Aa_G344490.h1.t1	jg3187, jg29885
OG0001066	Aa_G704860.h1.t1	jg29884
OG0001067	Aa_G17740.h1.t1	jg2676
OG0001067	Aa_G62540.h1.t1	jg30900
OG0001069	Aa_G218180.h1.t1	jg764
OG0001070	Aa_G474230.h1.t1	jg20692
OG0001070	Aa_G636860.h1.t1	jg20688
OG0001071	Aa_G133480.h1.t1	jg33018
OG0001076	Aa_G604970.h1.t1	jg5656
OG0001078	Aa_G189160.h1.t1, Aa_G189180.h1.t1, Aa_G189170.h1.t1, Aa_G189150.h1.t1	jg27529, jg7904
OG0001079	Aa_G621600.h1.t1	jg15387
OG0001079	Aa_G621590.h1.t1	jg5445
OG0001080	Aa_G37910.h1.t1, Aa_G37940.h1.t1	jg11161
OG0001080	Aa_G37950.h1.t1	jg11162, jg11163
OG0001081	Aa_G64780.h1.t1	jg3216
OG0001082	Aa_G363930.h1.t1	jg14557
OG0001082	Aa_G652400.h1.t1	jg14560
OG0001083	Aa_G300670.h1.t1, Aa_G610350.h1.t1	jg33633
OG0001083	Aa_G997470.h2.t1, Aa_G997470.h1.t1	jg33634
OG0001084	Aa_G654670.h1.t1	jg6928
OG0001085	Aa_G501800.h1.t1	jg10720
OG0001085	Aa_G66780.h1.t1	jg11529
OG0001086	Aa_G409560.h1.t1	jg11413
OG0001086	Aa_G179020.h1.t1	jg26647
OG0001087	Aa_G394240.h1.t1	jg11077
OG0001087	Aa_G97080.h1.t1	jg25742
OG0001088	Aa_G204800.h1.t1	jg16782
OG0001089	Aa_G151500.h1.t1	jg12592
OG0001089	Aa_G270240.h1.t1	jg13635
OG0001090	Aa_G541860.h1.t1, Aa_G541850.h1.t1	jg13382, jg13381, jg13379
OG0001091	Aa_G126590.h1.t1	jg31021
OG0001091	Aa_G144440.h1.t1	jg2593
OG0001092	Aa_G574970.h1.t1, Aa_G508630.h1.t1	jg20588
OG0001092	Aa_G714270.h1.t1, Aa_G285780.h1.t1, Aa_G508640.h1.t1, Aa_G871640.h1.t1	jg20583
OG0001093	Aa_G288970.h1.t1	jg12886
OG0001093	Aa_G184140.h1.t1	jg17399, jg28331, jg12882, jg28334, jg12879, jg33852, jg12885, jg12888
OG0001094	Aa_G465560.h1.t1	jg33452
OG0001095	Aa_G176380.h1.t1	jg10787, jg10786
OG0001096	Aa_G161040.h1.t1	jg29333
OG0001096	Aa_G361980.h1.t1	jg1293
OG0001097	Aa_G271360.h1.t1, Aa_G271350.h1.t1	jg15977, jg15976
OG0001097	Aa_G271390.h1.t1	jg15978
OG0001098	Aa_G527170.h1.t1	jg18870
OG0001098	Aa_G13980.h1.t1	jg15278
OG0001099	Aa_G400040.h1.t1	jg26775
OG0001099	Aa_G26940.h1.t1	jg26747
OG0001099	Aa_G400020.h1.t1	jg26777
OG0001100	Aa_G790060.h1.t1, Aa_G602620.h1.t1	jg6759
OG0001100	Aa_G932980.h1.t1, Aa_G475950.h1.t1	jg1592, jg9936, jg17176
OG0001101	Aa_G144190.h1.t1	jg19360, jg19364
OG0001102	Aa_G784540.h1.t1	jg7730
OG0001102	Aa_G189360.h1.t1, Aa_G189370.h1.t1	jg7729
OG0001103	Aa_G189800.h1.t1	jg6572
OG0001103	Aa_G269320.h1.t1	jg24508
OG0001104	Aa_G4880.h1.t1	jg24407, jg24406
OG0001104	Aa_G4660.h1.t1	jg24387
OG0001105	Aa_G47360.h1.t1	jg24608
OG0001105	Aa_G47350.h1.t1	jg24610, jg24609
OG0001106	Aa_G302860.h1.t1, Aa_G143200.h1.t1, Aa_G302870.h1.t1	jg24987, jg24986
OG0001107	Aa_G273780.h1.t1	jg32976
OG0001107	Aa_G104670.h1.t1	jg25992
OG0001111	Aa_G110840.h1.t1	jg32909
OG0001111	Aa_G587230.h1.t1	jg25860
OG0001112	Aa_G96380.h1.t1	jg10903
OG0001112	Aa_G514750.h1.t1	jg8752
OG0001113	Aa_G45050.h1.t1	jg26462
OG0001120	Aa_G424820.h1.t1	jg18294
OG0001121	Aa_G19720.h1.t1, Aa_G19730.h1.t1	jg5157, jg5156
OG0001122	Aa_G141170.h1.t1	jg22184
OG0001122	Aa_G98280.h1.t1	jg4882
OG0001123	Aa_G98190.h1.t1	jg4874
OG0001123	Aa_G292890.h1.t1	jg23556
OG0001124	Aa_G598470.h1.t1, Aa_G709670.h1.t1	jg17915
OG0001125	Aa_G647140.h1.t1, Aa_G699750.h1.t1, Aa_G874400.h1.t1	jg18383
OG0001125	Aa_G647150.h1.t1	jg12220
