Orthogroup	Arabis_alpina	Raphanus_sativus
OG0001175	Aa_G383480.h1.t1	XP_018474864.1, XP_018475126.1, XP_018442177.1
OG0001175	Aa_G743960.h1.t1	XP_018437242.1, XP_018460307.1, XP_018460304.1, XP_018490821.1
OG0001176	Aa_G71560.h1.t1	XP_018489743.1, XP_018441361.1, XP_018493378.1
OG0001176	Aa_G376800.h1.t1	XP_018446813.1, XP_018476865.1
OG0001177	Aa_G256570.h1.t1	XP_018445830.1, XP_018470895.1, XP_018474742.1
OG0001177	Aa_G181350.h1.t1	XP_018442459.1, XP_018447814.1
OG0001178	Aa_G195930.h1.t1	XP_018446855.1, XP_018468596.1
OG0001178	Aa_G20810.h1.t1	XP_018439358.1, XP_018458200.1, XP_018491643.1, XP_018491637.1
OG0001179	Aa_G21130.h1.t1	XP_018486330.1, XP_018486336.1, XP_018452445.1, XP_018437533.1
OG0001179	Aa_G309270.h1.t1	XP_018468451.1
OG0001181	Aa_G621950.h1.t1	XP_018436673.1
OG0001182	Aa_G533070.h1.t1	XP_018486206.1
OG0001182	Aa_G198490.h1.t1	XP_018446199.1
OG0001183	Aa_G223740.h1.t1	XP_018451330.1, XP_018451299.1, XP_018436174.1
OG0001184	Aa_G24920.h1.t1	XP_018482911.1, XP_018439777.1
OG0001184	Aa_G194240.h1.t1	XP_018488855.1, XP_018479159.1
OG0001185	Aa_G23340.h1.t1	XP_018489764.1, XP_018491200.1, XP_018489766.1, XP_018437909.1, XP_018457011.1, XP_018455239.1
OG0001186	Aa_G143150.h1.t1	XP_018482064.1, XP_018462961.1, XP_018478164.1, XP_018454761.1, XP_018454750.1
OG0001186	Aa_G168280.h1.t1	XP_018434134.1, XP_018493448.1
OG0001189	Aa_G181190.h1.t1	XP_018465831.1
OG0001189	Aa_G304770.h1.t1	XP_018461640.1, XP_018445339.1
OG0001190	Aa_G141600.h1.t1	XP_018444052.1
OG0001190	Aa_G88130.h1.t1	XP_018468112.1, XP_018465018.1, XP_018448092.1, XP_018473294.1
OG0001191	Aa_G578820.h1.t1	XP_018476575.1
OG0001192	Aa_G87810.h1.t1	XP_018470683.1, XP_018445322.1
OG0001192	Aa_G622580.h1.t1	XP_018463717.1
OG0001193	Aa_G205600.h1.t1	XP_018451855.1, XP_018440054.1
OG0001193	Aa_G40000.h1.t1	XP_018487273.1, XP_018486296.1, XP_018487338.1
OG0001194	Aa_G296730.h1.t1, Aa_G497100.h1.t1	XP_018447868.1, XP_018447660.1
OG0001195	Aa_G211280.h1.t1	XP_018491374.1
OG0001195	Aa_G264260.h1.t1, Aa_G264270.h1.t1, Aa_G264280.h1.t1, Aa_G264280.h2.t1	XP_018433776.1
OG0001196	Aa_G120820.h1.t1	XP_018436954.1
OG0001196	Aa_G229760.h1.t1, Aa_G229730.h1.t1, Aa_G792540.h4.t1, Aa_G792540.h2.t1, Aa_G792540.h1.t1, Aa_G792540.h3.t1	XP_018478365.1, XP_018480847.1
OG0001197	Aa_G290260.h1.t1	XP_018438278.1, XP_018491542.1
OG0001197	Aa_G94890.h1.t1	XP_018463084.1, XP_018438827.1, XP_018485877.1, XP_018489865.1
OG0001198	Aa_G642350.h3.t1, Aa_G642350.h1.t1, Aa_G642350.h2.t1, Aa_G629580.h1.t1	XP_018454393.1, XP_018446248.1
OG0001199	Aa_G152250.h1.t1	XP_018447495.1, XP_018468897.1, XP_018483857.1
OG0001199	Aa_G295620.h1.t1	XP_018478656.1, XP_018452254.1
OG0001200	Aa_G697090.h1.t1	XP_018468370.1, XP_018459246.1, XP_018468291.1
OG0001201	Aa_G517250.h1.t1	XP_018450871.1, XP_018463146.1, XP_018450766.1
OG0001202	Aa_G296070.h1.t1	XP_018449094.1
OG0001202	Aa_G296050.h1.t1, Aa_G296060.h1.t1	XP_018470827.1, XP_018468403.1
OG0001203	Aa_G326350.h1.t1	XP_018450578.1, XP_018480373.1, XP_018440173.1, XP_018485038.1
OG0001203	Aa_G44070.h1.t1	XP_018441256.1, XP_018437504.1
OG0001204	Aa_G57800.h1.t1	XP_018491599.1, XP_018491670.1
OG0001205	Aa_G100560.h1.t1	XP_018482865.1, XP_018461829.1
OG0001205	Aa_G349400.h1.t1	XP_018491108.1, XP_018491107.1, XP_018445552.1
OG0001207	Aa_G98570.h1.t1	XP_018485834.1, XP_018477358.1, XP_018445261.1, XP_018445167.1
OG0001207	Aa_G210220.h1.t1	XP_018474718.1, XP_018475040.1, XP_018435209.1
OG0001208	Aa_G67280.h1.t1	XP_018472926.1
OG0001208	Aa_G221090.h1.t1	XP_018443004.1, XP_018444960.1, XP_018477873.1, XP_018444961.1, XP_018486062.1
OG0001209	Aa_G345850.h1.t1	XP_018445717.1, XP_018491914.1, XP_018491911.1, XP_018477049.1
OG0001209	Aa_G230750.h1.t1	XP_018478660.1, XP_018482622.1
OG0001210	Aa_G527150.h1.t1	XP_018439646.1, XP_018437500.1, XP_018474976.1
OG0001210	Aa_G14020.h1.t1	XP_018464954.1
OG0001211	Aa_G507350.h1.t1	XP_018480592.1, XP_018448083.1, XP_018472445.1, XP_018470108.1, XP_018468571.1
OG0001211	Aa_G726620.h1.t1	XP_018433632.1, XP_018433617.1, XP_018466787.1, XP_018467197.1, XP_018434332.1
OG0001213	Aa_G75640.h1.t1	XP_018487418.1, XP_018492643.1
OG0001214	Aa_G47140.h1.t1	XP_018492484.1, XP_018493554.1
OG0001215	Aa_G403660.h1.t1	XP_018493365.1, XP_018437201.1, XP_018437390.1, XP_018481231.1
OG0001216	Aa_G429470.h1.t1	XP_018434145.1, XP_018491136.1
OG0001216	Aa_G96000.h1.t1	XP_018447239.1, XP_018459861.1
OG0001217	Aa_G1020790.h1.t1	XP_018469187.1
OG0001217	Aa_G5760.h1.t1	XP_018481475.1, XP_018479090.1
OG0001218	Aa_G124940.h1.t1	XP_018489696.1, XP_018489618.1, XP_018464669.1
OG0001218	Aa_G154300.h1.t1	XP_018439618.1
OG0001219	Aa_G473370.h1.t1	XP_018436145.1, XP_018436142.1, XP_018446276.1, XP_018468567.1, XP_018468581.1
OG0001220	Aa_G356290.h1.t1, Aa_G74670.h1.t1	XP_018492224.1
OG0001220	Aa_G426570.h1.t1	XP_018477486.1, XP_018470702.1
OG0001221	Aa_G162820.h1.t1	XP_018483546.1
OG0001221	Aa_G162830.h1.t1	XP_018455951.1, XP_018457008.1, XP_018455946.1
OG0001222	Aa_G249560.h1.t1	XP_018490047.1, XP_018453378.1
OG0001222	Aa_G285880.h1.t1	XP_018448120.1, XP_018459445.1, XP_018454959.1, XP_018480787.1
OG0001223	Aa_G469150.h1.t1	XP_018442036.1
OG0001223	Aa_G74590.h1.t1, Aa_G74600.h1.t1	XP_018450651.1, XP_018450655.1
OG0001225	Aa_G660310.h1.t1, Aa_G660310.h2.t1	XP_018456316.1
OG0001231	Aa_G49820.h1.t1, Aa_G49850.h1.t1, Aa_G111710.h1.t1	XP_018441770.1
OG0001231	Aa_G499360.h1.t1	XP_018471108.1, XP_018471084.1, XP_018446328.1, XP_018458863.1
OG0001232	Aa_G644340.h1.t1, Aa_G684650.h1.t1	XP_018456849.1
OG0001232	Aa_G64960.h1.t1, Aa_G618430.h1.t1	XP_018463659.1, XP_018469596.1, XP_018469564.1, XP_018444378.1
OG0001233	Aa_G740980.h1.t1	XP_018483181.1, XP_018481626.1
OG0001233	Aa_G330170.h1.t1	XP_018449515.1, XP_018450911.1, XP_018455290.1
OG0001234	Aa_G168770.h1.t1	XP_018474464.1, XP_018474465.1, XP_018492900.1, XP_018440165.1, XP_018472603.1, XP_018474463.1, XP_018470766.1
OG0001235	Aa_G210870.h1.t1	XP_018476389.1, XP_018462547.1
OG0001235	Aa_G75990.h1.t1	XP_018457299.1, XP_018492974.1, XP_018492975.1
OG0001236	Aa_G135160.h1.t1	XP_018487093.1, XP_018487091.1
OG0001236	Aa_G188930.h1.t1	XP_018475699.1
OG0001237	Aa_G49080.h1.t1	XP_018478828.1
OG0001237	Aa_G195300.h1.t1	XP_018471103.1
OG0001238	Aa_G253940.h1.t1, Aa_G253950.h1.t1, Aa_G739460.h1.t1, Aa_G448970.h1.t1, Aa_G478970.h1.t1	XP_018472397.1, XP_018462710.1, XP_018437944.1
OG0001239	Aa_G363500.h1.t1	XP_018479877.1
OG0001240	Aa_G217690.h1.t1	XP_018436042.1, XP_018465449.1
OG0001240	Aa_G709170.h1.t1	XP_018482277.1
OG0001241	Aa_G257840.h1.t1	XP_018475852.1, XP_018462020.1, XP_018483706.1, XP_018439703.1
OG0001242	Aa_G408520.h1.t1	XP_018470515.1
OG0001242	Aa_G408530.h1.t1, Aa_G146020.h1.t1	XP_018479883.1, XP_018479882.1, XP_018484357.1
OG0001243	Aa_G598340.h1.t1	XP_018456641.1
OG0001243	Aa_G251230.h1.t1	XP_018437970.1, XP_018463757.1, XP_018452245.1
OG0001244	Aa_G23560.h1.t1	XP_018488958.1
OG0001244	Aa_G52890.h1.t1	XP_018481072.1, XP_018481057.1
OG0001245	Aa_G76020.h1.t1	XP_018486960.1
OG0001245	Aa_G76030.h1.t1	XP_018435216.1, XP_018489801.1
OG0001246	Aa_G335150.h1.t1	XP_018446783.1, XP_018442884.1, XP_018461681.1
OG0001246	Aa_G61850.h1.t1	XP_018450554.1
OG0001246	Aa_G131130.h1.t1	XP_018487232.1
OG0001247	Aa_G351300.h1.t1, Aa_G69350.h1.t1, Aa_G435170.h1.t1	XP_018439421.1, XP_018492573.1
OG0001247	Aa_G275520.h1.t1	XP_018470706.1, XP_018476180.1
OG0001248	Aa_G8830.h1.t1	XP_018471573.1, XP_018446563.1
OG0001248	Aa_G542930.h1.t1	XP_018476224.1
OG0001249	Aa_G344350.h1.t1	XP_018456743.1
OG0001249	Aa_G244380.h1.t1	XP_018446818.1
OG0001251	Aa_G624930.h1.t1	XP_018483712.1, XP_018444062.1
OG0001251	Aa_G88140.h1.t1	XP_018469271.1
OG0001252	Aa_G354880.h1.t1, Aa_G680380.h1.t1	XP_018461885.1, XP_018476355.1, XP_018456767.1
OG0001252	Aa_G6840.h1.t1	XP_018437202.1
OG0001253	Aa_G188830.h1.t1	XP_018473282.1, XP_018466094.1, XP_018473280.1, XP_018456961.1
OG0001254	Aa_G34680.h1.t1	XP_018488308.1, XP_018435331.1
OG0001254	Aa_G456480.h1.t1	XP_018472949.1, XP_018470609.1
OG0001255	Aa_G260790.h1.t1	XP_018445525.1
OG0001255	Aa_G34770.h1.t1	XP_018434911.1, XP_018487453.1, XP_018487083.1
OG0001256	Aa_G370230.h1.t1	XP_018462967.1, XP_018448577.1, XP_018456181.1
OG0001256	Aa_G131940.h1.t1	XP_018435911.1, XP_018465499.1, XP_018464069.1
OG0001257	Aa_G165040.h1.t1	XP_018482960.1
OG0001258	Aa_G348790.h1.t1	XP_018444090.1
OG0001258	Aa_G348800.h1.t1	XP_018442333.1
OG0001259	Aa_G348860.h1.t1	XP_018442373.1, XP_018448305.1, XP_018442873.1
OG0001259	Aa_G323720.h1.t1	XP_018440214.1, XP_018432666.1
OG0001260	Aa_G314500.h1.t1	XP_018441930.1
OG0001260	Aa_G527860.h1.t1	XP_018444337.1
OG0001261	Aa_G376360.h1.t1	XP_018450393.1, XP_018450394.1
OG0001261	Aa_G329660.h1.t1	XP_018441113.1, XP_018466323.1, XP_018457101.1, XP_018452146.1, XP_018485426.1
OG0001262	Aa_G193200.h1.t1	XP_018449829.1, XP_018448976.1
OG0001262	Aa_G176020.h1.t1	XP_018488493.1, XP_018492552.1, XP_018437678.1
OG0001263	Aa_G111490.h1.t1	XP_018484175.1, XP_018432681.1
OG0001263	Aa_G12370.h1.t1	XP_018467309.1, XP_018473140.1, XP_018433993.1
OG0001265	Aa_G91290.h1.t1	XP_018486237.1, XP_018459666.1
OG0001265	Aa_G31080.h1.t1	XP_018449306.1, XP_018463472.1
OG0001266	Aa_G627780.h1.t1	XP_018483910.1, XP_018438286.1
OG0001266	Aa_G64620.h1.t1	XP_018443000.1
OG0001267	Aa_G177700.h1.t1	XP_018447810.1, XP_018449870.1, XP_018467867.1
OG0001267	Aa_G177720.h1.t1	XP_018468810.1
OG0001270	Aa_G50610.h1.t1	XP_018477279.1
OG0001271	Aa_G334870.h1.t1, Aa_G50590.h1.t1	XP_018487594.1, XP_018485424.1, XP_018437038.1, XP_018437034.1, XP_018461644.1, XP_018488236.1, XP_018488970.1
OG0001272	Aa_G334880.h1.t1	XP_018477811.1, XP_018486040.1
OG0001272	Aa_G550480.h1.t1	XP_018488242.1, XP_018493435.1
OG0001273	Aa_G477190.h1.t1	XP_018473155.1, XP_018476814.1
OG0001273	Aa_G240850.h1.t1	XP_018478296.1, XP_018447140.1, XP_018444788.1
OG0001274	Aa_G400480.h1.t1	XP_018447438.1, XP_018447450.1, XP_018441733.1, XP_018432673.1
OG0001276	Aa_G189390.h1.t1	XP_018471842.1
OG0001277	Aa_G257080.h1.t1	XP_018472664.1, XP_018452346.1
OG0001277	Aa_G298510.h1.t1	XP_018480642.1, XP_018477464.1
OG0001278	Aa_G17080.h1.t1	XP_018480207.1, XP_018479129.1, XP_018436605.1
OG0001278	Aa_G81100.h1.t1	XP_018492410.1, XP_018492399.1, XP_018477180.1
OG0001279	Aa_G132590.h1.t1	XP_018447000.1
OG0001279	Aa_G100500.h1.t1	XP_018461823.1, XP_018441960.1
OG0001280	Aa_G574090.h1.t1	XP_018482776.1, XP_018483636.1
OG0001280	Aa_G433190.h1.t1	XP_018465393.1, XP_018491523.1
OG0001282	Aa_G345820.h1.t1	XP_018445713.1, XP_018446182.1, XP_018485191.1, XP_018491910.1, XP_018486574.1
OG0001283	Aa_G302060.h1.t1	XP_018440503.1, XP_018493113.1
OG0001283	Aa_G302280.h1.t1	XP_018490672.1, XP_018467611.1
OG0001284	Aa_G213640.h1.t1	XP_018484534.1, XP_018484531.1, XP_018493159.1
OG0001284	Aa_G38090.h1.t1	XP_018472629.1
OG0001285	Aa_G656250.h1.t1	XP_018462465.1
OG0001286	Aa_G570390.h1.t1	XP_018440140.1, XP_018484284.1, XP_018459001.1
OG0001286	Aa_G14280.h1.t1	XP_018484019.1, XP_018492187.1
OG0001287	Aa_G235630.h1.t1	XP_018455556.1
OG0001287	Aa_G453340.h1.t1, Aa_G453330.h1.t1	XP_018477994.1, XP_018470474.1
OG0001288	Aa_G59740.h1.t1	XP_018458653.1, XP_018485316.1, XP_018482367.1, XP_018451543.1
OG0001289	Aa_G265150.h1.t1	XP_018473421.1
OG0001289	Aa_G265170.h1.t1	XP_018455347.1, XP_018438288.1, XP_018438329.1
OG0001290	Aa_G174570.h1.t1, Aa_G174560.h1.t1	XP_018457168.1, XP_018433376.1, XP_018437759.1, XP_018438910.1, XP_018462745.1, XP_018491121.1, XP_018486036.1, XP_018491153.1
OG0001291	Aa_G137180.h1.t1	XP_018461839.1, XP_018468722.1, XP_018461840.1, XP_018465667.1, XP_018462597.1
OG0001292	Aa_G617190.h1.t1	XP_018439152.1
OG0001293	Aa_G134740.h1.t1	XP_018470976.1, XP_018449902.1, XP_018449903.1, XP_018448189.1, XP_018449490.1, XP_018449483.1, XP_018491149.1, XP_018448188.1
OG0001294	Aa_G678400.h1.t1	XP_018488655.1
OG0001295	Aa_G528290.h1.t1	XP_018450895.1, XP_018444933.1, XP_018439463.1, XP_018436764.1
OG0001295	Aa_G433570.h1.t1	XP_018456867.1, XP_018453047.1
OG0001296	Aa_G551820.h1.t1	XP_018482339.1
OG0001297	Aa_G72410.h1.t1	XP_018435189.1, XP_018482954.1
OG0001298	Aa_G431790.h1.t1	XP_018449883.1, XP_018442967.1, XP_018469207.1
OG0001298	Aa_G285640.h1.t1	XP_018446061.1, XP_018445993.1, XP_018468898.1, XP_018446377.1
OG0001299	Aa_G12170.h1.t1	XP_018481794.1, XP_018435008.1, XP_018462169.1
OG0001300	Aa_G506850.h1.t1, Aa_G506850.h2.t1	XP_018474736.1, XP_018444258.1, XP_018444179.1
OG0001300	Aa_G40280.h1.t1	XP_018437317.1, XP_018489122.1, XP_018465314.1
OG0001303	Aa_G99280.h1.t1, Aa_G318740.h1.t1, Aa_G207630.h1.t1	XP_018438133.1
OG0001305	Aa_G375680.h1.t1	XP_018491011.1
OG0001305	Aa_G640090.h1.t1	XP_018441504.1, XP_018483872.1, XP_018457921.1
OG0001306	Aa_G14550.h1.t1	XP_018492657.1, XP_018493426.1
OG0001306	Aa_G236910.h1.t1	XP_018476624.1, XP_018446583.1
OG0001307	Aa_G14830.h1.t1	XP_018446507.1
OG0001307	Aa_G304340.h1.t1	XP_018476925.1, XP_018473399.1, XP_018444846.1
OG0001309	Aa_G319300.h1.t1	XP_018472651.1, XP_018456073.1, XP_018445259.1
OG0001309	Aa_G97910.h1.t1	XP_018483776.1
OG0001310	Aa_G345270.h1.t1	XP_018480879.1, XP_018489520.1
OG0001310	Aa_G158240.h1.t1	XP_018434197.1, XP_018478657.1
OG0001311	Aa_G220640.h1.t1	XP_018489085.1, XP_018489693.1
OG0001311	Aa_G640470.h1.t1	XP_018475760.1, XP_018482878.1
OG0001312	Aa_G339570.h1.t1	XP_018436829.1
OG0001312	Aa_G688980.h1.t1	XP_018489118.1, XP_018483735.1, XP_018481028.1, XP_018450381.1, XP_018450380.1
OG0001313	Aa_G241060.h1.t1	XP_018447121.1
OG0001314	Aa_G117770.h1.t1	XP_018433795.1
OG0001314	Aa_G146220.h1.t1	XP_018441119.1, XP_018452329.1, XP_018463001.1
OG0001315	Aa_G437650.h1.t1	XP_018460557.1, XP_018449917.1, XP_018460552.1, XP_018442003.1, XP_018483111.1
OG0001315	Aa_G480490.h1.t1	XP_018480905.1
OG0001316	Aa_G61550.h1.t1, Aa_G815830.h1.t1	XP_018493050.1
OG0001316	Aa_G807280.h1.t1, Aa_G807280.h2.t1, Aa_G845300.h1.t1, Aa_G845300.h2.t1	XP_018493452.1, XP_018450549.1, XP_018449173.1
OG0001317	Aa_G106950.h1.t1	XP_018471386.1, XP_018492451.1, XP_018492452.1
OG0001319	Aa_G448450.h1.t1	XP_018468534.1
OG0001319	Aa_G318750.h1.t1	XP_018436504.1
OG0001320	Aa_G54540.h1.t1	XP_018474211.1, XP_018464904.1, XP_018474210.1
OG0001321	Aa_G418050.h1.t1	XP_018466599.1, XP_018471537.1
OG0001322	Aa_G94450.h1.t1	XP_018487749.1
OG0001322	Aa_G57840.h1.t1	XP_018491592.1, XP_018491664.1, XP_018478613.1, XP_018478630.1
OG0001323	Aa_G5640.h1.t1	XP_018489798.1, XP_018491325.1
OG0001324	Aa_G216020.h1.t1	XP_018488625.1, XP_018492780.1
OG0001325	Aa_G216040.h1.t1	XP_018490054.1, XP_018466197.1, XP_018438170.1, XP_018489895.1
OG0001326	Aa_G304060.h1.t1	XP_018476120.1, XP_018446206.1
OG0001327	Aa_G135570.h1.t1	XP_018443184.1
OG0001327	Aa_G417290.h1.t1	XP_018453179.1, XP_018453080.1
OG0001328	Aa_G293160.h1.t1, Aa_G293140.h1.t1	XP_018442903.1, XP_018456238.1
OG0001329	Aa_G454160.h1.t1	XP_018433947.1
OG0001330	Aa_G453460.h1.t1	XP_018439866.1
OG0001330	Aa_G104340.h1.t1	XP_018456001.1, XP_018471707.1, XP_018471708.1
OG0001331	Aa_G600250.h1.t1	XP_018450673.1, XP_018432518.1, XP_018434941.1, XP_018450767.1, XP_018488497.1, XP_018488439.1
OG0001332	Aa_G118250.h1.t1	XP_018450021.1, XP_018465269.1, XP_018450917.1
OG0001332	Aa_G237700.h1.t1	XP_018434251.1, XP_018486458.1
OG0001334	Aa_G509790.h2.t1, Aa_G509790.h1.t1	XP_018485263.1
OG0001334	Aa_G250800.h1.t1	XP_018450681.1
OG0001335	Aa_G51910.h1.t1	XP_018435022.1
OG0001336	Aa_G413550.h1.t1	XP_018468065.1, XP_018447798.1, XP_018440961.1
OG0001337	Aa_G31110.h1.t1	XP_018449316.1
OG0001337	Aa_G91310.h1.t1	XP_018459670.1, XP_018486732.1, XP_018493016.1
OG0001338	Aa_G341860.h1.t1	XP_018443519.1, XP_018471624.1
OG0001338	Aa_G80290.h1.t1	XP_018473038.1
OG0001339	Aa_G164300.h1.t1	XP_018442582.1, XP_018442711.1, XP_018433948.1, XP_018433957.1
OG0001339	Aa_G409770.h1.t1	XP_018482500.1, XP_018483034.1, XP_018434660.1
OG0001340	Aa_G419960.h1.t1	XP_018455576.1, XP_018482218.1
OG0001340	Aa_G501810.h1.t1	XP_018469268.1
OG0001341	Aa_G386600.h1.t1, Aa_G770240.h1.t1, Aa_G751760.h1.t1, Aa_G566330.h1.t1, Aa_G78110.h1.t1, Aa_G78090.h1.t1	XP_018441029.1
OG0001342	Aa_G290950.h1.t1	XP_018442067.1, XP_018452096.1
OG0001342	Aa_G357050.h1.t1	XP_018468493.1, XP_018480585.1
OG0001343	Aa_G254550.h1.t1, Aa_G148390.h1.t1	XP_018451251.1, XP_018470207.1, XP_018472406.1
OG0001343	Aa_G254530.h1.t1	XP_018433185.1, XP_018483781.1
OG0001344	Aa_G582130.h1.t1	XP_018489356.1
OG0001344	Aa_G645080.h1.t1, Aa_G782480.h1.t1	XP_018478696.1, XP_018482918.1, XP_018476036.1
OG0001345	Aa_G465590.h1.t1	XP_018449622.1, XP_018491187.1
OG0001345	Aa_G32190.h1.t1	XP_018488587.1, XP_018439621.1, XP_018439533.1
OG0001346	Aa_G173490.h1.t1	XP_018469627.1
OG0001346	Aa_G424000.h1.t1	XP_018490713.1, XP_018459446.1, XP_018434054.1, XP_018434020.1, XP_018490926.1
OG0001347	Aa_G203380.h1.t1	XP_018450003.1, XP_018450916.1
OG0001348	Aa_G11500.h1.t1	XP_018484494.1
OG0001348	Aa_G43840.h1.t1	XP_018441873.1
OG0001349	Aa_G289320.h1.t1	XP_018474731.1
OG0001349	Aa_G417280.h1.t1	XP_018468552.1, XP_018482617.1
OG0001350	Aa_G6220.h1.t1	XP_018478142.1
OG0001350	Aa_G35110.h1.t1	XP_018452758.1
OG0001351	Aa_G369910.h1.t1	XP_018483973.1
OG0001351	Aa_G369920.h1.t1	XP_018450302.1, XP_018471131.1, XP_018447264.1, XP_018483974.1
OG0001352	Aa_G86320.h1.t1	XP_018490403.1
OG0001353	Aa_G609020.h1.t1	XP_018488926.1, XP_018480700.1, XP_018467305.1
OG0001353	Aa_G731310.h1.t1	XP_018437213.1, XP_018481711.1, XP_018462815.1
OG0001355	Aa_G103430.h1.t1	XP_018482415.1
OG0001356	Aa_G218960.h1.t1	XP_018486958.1, XP_018459089.1
OG0001357	Aa_G374660.h1.t1	XP_018474594.1
OG0001357	Aa_G114150.h1.t1	XP_018441591.1, XP_018465611.1
OG0001358	Aa_G483550.h1.t1	XP_018458570.1, XP_018465396.1, XP_018489537.1
OG0001358	Aa_G88430.h1.t1	XP_018439601.1, XP_018438067.1, XP_018475281.1
OG0001360	Aa_G238620.h1.t1	XP_018449706.1
OG0001360	Aa_G282170.h1.t1	XP_018484722.1
OG0001361	Aa_G263100.h1.t1, Aa_G221690.h1.t1, Aa_G314510.h1.t1, Aa_G397780.h1.t1, Aa_G801460.h1.t1, Aa_G438740.h1.t1	XP_018448836.1, XP_018458438.1, XP_018487672.1
OG0001362	Aa_G627270.h1.t1	XP_018482890.1
OG0001362	Aa_G78720.h1.t1	XP_018434961.1, XP_018461636.1, XP_018435313.1, XP_018485402.1
OG0001364	Aa_G292660.h1.t1	XP_018440778.1
OG0001365	Aa_G376020.h1.t1	XP_018492840.1, XP_018434167.1
OG0001365	Aa_G129070.h1.t1	XP_018452390.1, XP_018476383.1
OG0001366	Aa_G75620.h1.t1	XP_018490581.1, XP_018493486.1, XP_018433398.1, XP_018439571.1
OG0001366	Aa_G25970.h1.t1	XP_018440235.1, XP_018435094.1
OG0001368	Aa_G638270.h1.t1	XP_018484952.1, XP_018483149.1, XP_018484941.1, XP_018440551.1
OG0001369	Aa_G633940.h1.t1, Aa_G284530.h1.t1, Aa_G322910.h1.t1, Aa_G322940.h1.t1	XP_018484217.1
OG0001370	Aa_G67150.h1.t1, Aa_G67110.h1.t1	XP_018435686.1, XP_018435685.1
OG0001371	Aa_G553060.h1.t1	XP_018485492.1, XP_018440913.1
OG0001372	Aa_G4170.h1.t1	XP_018488769.1, XP_018491434.1, XP_018439235.1
OG0001373	Aa_G137000.h1.t1	XP_018432714.1, XP_018461712.1, XP_018434691.1
OG0001374	Aa_G443210.h1.t1	XP_018459744.1, XP_018459840.1, XP_018483060.1, XP_018484666.1
OG0001374	Aa_G1015840.h1.t1, Aa_G508120.h1.t1	XP_018483023.1, XP_018482718.1
OG0001375	Aa_G1500.h1.t1	XP_018492244.1, XP_018440629.1, XP_018486106.1, XP_018466455.1
OG0001376	Aa_G1080.h1.t1	XP_018466262.1, XP_018459439.1, XP_018434754.1
OG0001376	Aa_G382000.h1.t1	XP_018447839.1, XP_018469523.1
OG0001377	Aa_G110750.h1.t1	XP_018451488.1, XP_018448138.1
OG0001377	Aa_G498880.h1.t1	XP_018492854.1, XP_018485930.1, XP_018440208.1, XP_018489290.1, XP_018489289.1
OG0001378	Aa_G155180.h1.t1	XP_018474309.1, XP_018476766.1, XP_018445499.1
OG0001378	Aa_G133250.h1.t1	XP_018490671.1
OG0001379	Aa_G582070.h1.t1	XP_018448084.1, XP_018490190.1
OG0001379	Aa_G92460.h1.t1	XP_018440040.1
OG0001380	Aa_G416160.h1.t1	XP_018444426.1, XP_018444636.1
OG0001381	Aa_G457530.h1.t1	XP_018491713.1, XP_018483562.1
OG0001382	Aa_G117650.h1.t1	XP_018455841.1, XP_018461773.1, XP_018489131.1
OG0001382	Aa_G117640.h1.t1	XP_018441849.1, XP_018441852.1
OG0001384	Aa_G17680.h1.t1, Aa_G17690.h1.t1	XP_018454673.1
OG0001384	Aa_G62490.h1.t1	XP_018450623.1, XP_018450621.1, XP_018436204.1
OG0001385	Aa_G604730.h1.t1	XP_018465915.1
OG0001385	Aa_G604720.h1.t1	XP_018481276.1
OG0001385	Aa_G214210.h1.t1	XP_018444192.1, XP_018444624.1
OG0001387	Aa_G614960.h1.t1	XP_018461093.1, XP_018482685.1
OG0001387	Aa_G269040.h1.t1	XP_018438219.1, XP_018453934.1, XP_018453937.1, XP_018452895.1, XP_018461410.1
OG0001389	Aa_G400990.h1.t1	XP_018490892.1, XP_018453912.1, XP_018440472.1
OG0001391	Aa_G235050.h1.t1	XP_018453770.1, XP_018482435.1
OG0001392	Aa_G62790.h1.t1	XP_018469674.1
OG0001396	Aa_G432970.h1.t1	XP_018476000.1
OG0001397	Aa_G107300.h1.t1	XP_018472306.1
OG0001397	Aa_G553210.h1.t1	XP_018470416.1
OG0001398	Aa_G46550.h1.t1, Aa_G206210.h1.t1	XP_018455570.1
OG0001398	Aa_G495360.h1.t1	XP_018483924.1
OG0001399	Aa_G438140.h1.t1	XP_018492951.1
OG0001399	Aa_G70380.h1.t1	XP_018467995.1, XP_018445793.1, XP_018476134.1
OG0001400	Aa_G582890.h1.t1	XP_018484061.1
OG0001400	Aa_G320980.h1.t1	XP_018472764.1, XP_018442437.1, XP_018474994.1, XP_018445389.1
OG0001401	Aa_G138210.h1.t1	XP_018446706.1, XP_018446699.1, XP_018471437.1
OG0001401	Aa_G181390.h1.t1	XP_018476275.1
OG0001402	Aa_G765980.h1.t1	XP_018473362.1, XP_018474468.1, XP_018452419.1
OG0001402	Aa_G267330.h1.t1	XP_018459220.1
OG0001403	Aa_G152760.h1.t1	XP_018476016.1
OG0001404	Aa_G319180.h1.t1	XP_018471570.1
OG0001404	Aa_G746010.h1.t1	XP_018477894.1, XP_018477901.1
OG0001405	Aa_G682710.h1.t1	XP_018481329.1, XP_018437421.1
OG0001405	Aa_G558420.h1.t1	XP_018489332.1, XP_018449554.1, XP_018442498.1
