Orthogroup	Arabis_alpina	Cochlearia_excelsa
OG0003895	Aa_G487460.h1.t1	g31385
OG0003896	Aa_G55200.h1.t1	g50037
OG0003897	Aa_G214280.h1.t1, Aa_G676960.h1.t1	g50051
OG0003899	Aa_G407830.h1.t1	g31831
OG0003900	Aa_G563070.h1.t1, Aa_G347340.h1.t1, Aa_G563080.h1.t1, Aa_G347360.h1.t1	g39510, g5079
OG0003901	Aa_G473810.h1.t1	g40891
OG0003902	Aa_G342040.h1.t1	g36835, g40978
OG0003903	Aa_G167250.h1.t1	g41075
OG0003905	Aa_G63390.h1.t1	g40718, g10846
OG0003906	Aa_G676570.h1.t1	g18352
OG0003907	Aa_G88980.h1.t1, Aa_G246280.h1.t1	g2805
OG0003908	Aa_G270490.h1.t1, Aa_G467480.h1.t1	g47969, g22919
OG0003909	Aa_G84810.h1.t1, Aa_G385170.h1.t1	g47896
OG0003910	Aa_G258860.h1.t1	g23103, g47876
OG0003911	Aa_G556820.h1.t1	g47768, g16962
OG0003912	Aa_G68630.h1.t1	g50280
OG0003913	Aa_G159960.h1.t1, Aa_G134130.h1.t1	g41283
OG0003922	Aa_G514470.h1.t1	g10349
OG0003923	Aa_G493360.h1.t1	g11406
OG0003931	Aa_G675260.h1.t1	g41166
OG0003941	Aa_G321000.h1.t1	g5129
OG0003942	Aa_G72750.h1.t1	g45655
OG0003943	Aa_G556030.h1.t1	g5249
OG0003944	Aa_G155150.h1.t1	g5297, g29387
OG0003945	Aa_G756410.h1.t1	g5346, g45579
OG0003946	Aa_G133830.h1.t1	g45811
OG0003947	Aa_G322410.h1.t1	g41629
OG0003948	Aa_G517870.h1.t1, Aa_G158550.h1.t1	g29448
OG0003949	Aa_G146290.h1.t1	g10145
OG0003950	Aa_G319230.h1.t1	g29594
OG0003951	Aa_G97900.h1.t1	g464
OG0003952	Aa_G665910.h1.t1	g5513, g29598
OG0003953	Aa_G471530.h1.t1	g29617
OG0003953	Aa_G125550.h1.t1, Aa_G590880.h1.t1	g9897
OG0003954	Aa_G130110.h1.t1	g13728, g13731
OG0003955	Aa_G130190.h1.t1, Aa_G95670.h1.t1	g23823
OG0003957	Aa_G63210.h1.t1	g40098
OG0003958	Aa_G597520.h1.t1	g5559, g37894, g39949
OG0003959	Aa_G208630.h1.t1	g51358, g39743
OG0003961	Aa_G353750.h1.t1	g23790, g17181
OG0003962	Aa_G784100.h1.t1, Aa_G108520.h1.t1	g32402
OG0003964	Aa_G224240.h1.t1	g51847
OG0003965	Aa_G229990.h1.t1, Aa_G193020.h1.t1	g25482
OG0003966	Aa_G81450.h1.t1	g18666
OG0003967	Aa_G268360.h1.t1	g251, g9785
OG0003970	Aa_G401190.h1.t1	g416
OG0003972	Aa_G95010.h1.t1, Aa_G747780.h1.t1, Aa_G796240.h1.t1	g41603, g18592
OG0003973	Aa_G94840.h1.t1	g441
OG0003974	Aa_G143260.h1.t1	g494, g9971
OG0003975	Aa_G106880.h1.t1	g19440, g19452
OG0003976	Aa_G539270.h1.t1	g10072
OG0003977	Aa_G113060.h1.t1	g14920, g18550, g18549, g10087
OG0003978	Aa_G339060.h1.t1	g31329
OG0003979	Aa_G231410.h1.t1, Aa_G456950.h1.t1	g850
OG0003980	Aa_G457010.h1.t1	g853
OG0003982	Aa_G345660.h1.t1	g39259, g1234
OG0003983	Aa_G148050.h1.t1	g1222
OG0003984	Aa_G93880.h1.t1	g1198
OG0003986	Aa_G216600.h1.t1	g28551, g1058
OG0003987	Aa_G106760.h1.t1	g2653
OG0003988	Aa_G54530.h1.t1	g39426, g954
OG0003989	Aa_G672340.h1.t1	g5570, g5574, g2956
OG0003990	Aa_G206830.h1.t1	g912
OG0003992	Aa_G303930.h1.t1	g29756, g5649
OG0003993	Aa_G137200.h1.t1	g7424, g12367
OG0003994	Aa_G170200.h1.t1	g45352, g5737
OG0003995	Aa_G85230.h1.t1	g45313
OG0003996	Aa_G85220.h1.t1	g29857
OG0003997	Aa_G298340.h1.t1	g16803
OG0003998	Aa_G338710.h1.t1	g13083
OG0004001	Aa_G315320.h1.t1	g44404
OG0004002	Aa_G281670.h1.t1	g17974
OG0004003	Aa_G103040.h1.t1	g11053
OG0004004	Aa_G205630.h1.t1	g54379, g54375
OG0004006	Aa_G378640.h1.t1, Aa_G378650.h1.t1	g36737
OG0004007	Aa_G193300.h1.t1	g36713
OG0004009	Aa_G523620.h1.t1	g35943, g53793
OG0004011	Aa_G12250.h1.t1	g51579
OG0004012	Aa_G636590.h1.t1	g28398, g900
OG0004013	Aa_G55050.h1.t1	g17720, g24529, g41858, g1827
OG0004014	Aa_G597130.h1.t1, Aa_G597110.h1.t1	g17716
OG0004015	Aa_G727560.h1.t1	g24426
OG0004016	Aa_G303530.h1.t1	g44568
OG0004020	Aa_G424660.h1.t1	g10507
OG0004022	Aa_G118090.h1.t1, Aa_G566340.h1.t1, Aa_G386650.h1.t1	g18398
OG0004023	Aa_G164670.h1.t1	g11949
OG0004023	Aa_G740060.h1.t1	g6775
OG0004025	Aa_G264040.h1.t1	g51487
OG0004026	Aa_G344520.h1.t1	g51500
OG0004027	Aa_G208100.h1.t1	g40629
OG0004028	Aa_G497260.h1.t1	g31626
OG0004029	Aa_G522420.h1.t1	g17289
OG0004030	Aa_G226600.h1.t1	g6473
OG0004031	Aa_G560450.h1.t1	g25771
OG0004032	Aa_G204020.h1.t1	g24074
OG0004033	Aa_G123850.h1.t1	g40500
OG0004034	Aa_G472140.h1.t1	g47388, g23992
OG0004035	Aa_G298530.h1.t1, Aa_G298540.h1.t1, Aa_G298520.h1.t1	g23987
OG0004036	Aa_G62980.h1.t1	g6903
OG0004037	Aa_G49450.h1.t1	g17585, g47159
OG0004038	Aa_G406670.h1.t1	g24324, g17564
OG0004039	Aa_G326960.h1.t1	g19669, g54387
OG0004040	Aa_G43750.h1.t1	g31
OG0004041	Aa_G236600.h1.t1	g18728
OG0004042	Aa_G332650.h1.t1	g37676
OG0004043	Aa_G144130.h1.t1, Aa_G496000.h1.t1	g38303
OG0004044	Aa_G129220.h1.t1, Aa_G81030.h1.t1	g1859
OG0004045	Aa_G81090.h1.t1	g1863
OG0004046	Aa_G41950.h1.t1	g2027, g18883
OG0004047	Aa_G461180.h1.t1	g11242, g18988, g2091
OG0004048	Aa_G251440.h1.t1	g10808
OG0004051	Aa_G277100.h1.t1	g19163, g2305
OG0004053	Aa_G69250.h1.t1	g19192, g18737
OG0004054	Aa_G178800.h1.t1, Aa_G78500.h1.t1	g11695, g13520
OG0004055	Aa_G278660.h1.t1, Aa_G585520.h1.t1	g44769
OG0004056	Aa_G721790.h3.t1, Aa_G721790.h1.t1, Aa_G721790.h2.t1, Aa_G861930.h1.t1	g19479
OG0004058	Aa_G518430.h1.t1	g51907
OG0004060	Aa_G309990.h1.t1	g50992
OG0004061	Aa_G243400.h1.t1, Aa_G92190.h1.t1	g23828, g17205
OG0004062	Aa_G133500.h1.t1	g54119
OG0004063	Aa_G57210.h1.t1	g27805, g32722
OG0004064	Aa_G660750.h1.t1, Aa_G294790.h1.t1	g40289
OG0004065	Aa_G275320.h1.t1	g23863
OG0004066	Aa_G95660.h1.t1, Aa_G205900.h1.t1, Aa_G60530.h1.t1	g41428
OG0004068	Aa_G4820.h1.t1	g18504
OG0004069	Aa_G226160.h1.t1	g37727
OG0004070	Aa_G196940.h1.t1	g50780, g37669
OG0004071	Aa_G405230.h1.t1	g13689
OG0004072	Aa_G265140.h1.t1	g52172
OG0004073	Aa_G284470.h1.t1	g38218, g52124
OG0004074	Aa_G274960.h1.t1, Aa_G210140.h1.t1	g49989
OG0004075	Aa_G71780.h1.t1	g49227, g20816, g20819, g49230, g20813, g30205
OG0004076	Aa_G111730.h1.t1	g12660
OG0004078	Aa_G185650.h1.t1	g12615, g7800
OG0004079	Aa_G90320.h1.t1	g10180
OG0004080	Aa_G4390.h1.t1	g12816
OG0004081	Aa_G4670.h1.t1	g7726
OG0004082	Aa_G4760.h1.t1	g12837
OG0004083	Aa_G5030.h1.t1	g7713, g12853
OG0004084	Aa_G205790.h1.t1	g7683, g12905, g12516
OG0004085	Aa_G163160.h1.t1	g12508
OG0004086	Aa_G174770.h1.t1	g12446, g7602
OG0004087	Aa_G39960.h1.t1	g7273
OG0004088	Aa_G176120.h1.t1	g13177, g7235
OG0004089	Aa_G519430.h1.t1, Aa_G76590.h1.t1	g7175
OG0004090	Aa_G443910.h1.t1	g13233, g12143
OG0004091	Aa_G242030.h1.t1	g7045
OG0004092	Aa_G71180.h1.t1	g6968
OG0004093	Aa_G501320.h1.t1	g12026
OG0004094	Aa_G164610.h1.t1	g13345, g11953
OG0004095	Aa_G311470.h1.t1	g10234
OG0004097	Aa_G516740.h1.t1	g47917
OG0004098	Aa_G293400.h1.t1	g11753
OG0004099	Aa_G71980.h1.t1	g13464, g6535, g11759
OG0004100	Aa_G413620.h1.t1	g13441, g11787
OG0004101	Aa_G413630.h1.t1	g11788, g25753, g6567
OG0004102	Aa_G388630.h1.t1	g11866
OG0004103	Aa_G506650.h1.t1	g47723
OG0004104	Aa_G500500.h1.t1	g1354, g46810, g4672
OG0004105	Aa_G90330.h1.t1	g10181
OG0004106	Aa_G242240.h1.t1, Aa_G105730.h1.t1	g25350
OG0004107	Aa_G105920.h1.t1	g3709, g30745, g44113, g36008, g35172, g49327
OG0004108	Aa_G303920.h1.t1	g26924, g30850, g49444
OG0004109	Aa_G22940.h1.t1	g49542
OG0004110	Aa_G638130.h1.t1	g31074
OG0004111	Aa_G19290.h1.t1	g31153
OG0004112	Aa_G63560.h1.t1	g10832, g40729
OG0004113	Aa_G457680.h1.t1	g49762
OG0004114	Aa_G487440.h1.t1, Aa_G10830.h1.t1	g44241
OG0004115	Aa_G606460.h1.t1	g49920
OG0004116	Aa_G139710.h1.t1, Aa_G535570.h1.t1, Aa_G535590.h1.t1, Aa_G535600.h1.t1	g27397
OG0004117	Aa_G610660.h1.t1	g50028
OG0004119	Aa_G898440.h1.t1, Aa_G693630.h1.t1, Aa_G1051480.h1.t1	g26658
OG0004120	Aa_G319520.h1.t1	g45927
OG0004122	Aa_G433390.h1.t1	g40854
OG0004123	Aa_G251370.h1.t1	g10813
OG0004125	Aa_G42010.h1.t1	g36283
OG0004126	Aa_G655010.h1.t1	g18418
OG0004128	Aa_G137360.h1.t1	g25549
OG0004129	Aa_G57620.h1.t1	g54052
OG0004130	Aa_G153310.h1.t1	g22830
OG0004131	Aa_G179390.h1.t1	g22939
OG0004132	Aa_G514720.h1.t1	g47942
OG0004133	Aa_G214590.h1.t1	g23156, g18182
OG0004134	Aa_G179080.h1.t1, Aa_G179110.h1.t1	g13477
OG0004135	Aa_G358550.h1.t1	g6484
OG0004136	Aa_G237390.h1.t1	g38232
OG0004137	Aa_G116570.h1.t1	g28393
OG0004141	Aa_G256320.h1.t1, Aa_G256320.h2.t1	g43881
OG0004144	Aa_G204490.h1.t1	g6369
OG0004146	Aa_G485650.h1.t1	g51115
OG0004147	Aa_G98200.h1.t1	g4830, g3959, g6639
OG0004148	Aa_G251430.h1.t1	g10809
OG0004149	Aa_G34190.h1.t1	g10452
OG0004152	Aa_G97440.h1.t1	g25932, g40227
OG0004153	Aa_G107310.h1.t1	g50103, g31546, g25051, g24456, g23643
OG0004156	Aa_G163130.h1.t1	g12506
OG0004157	Aa_G496490.h1.t1	g51470
OG0004158	Aa_G442300.h1.t1, Aa_G73730.h1.t1	g18610
OG0004158	Aa_G300920.h1.t1, Aa_G637500.h1.t1, Aa_G727900.h1.t1, Aa_G949370.h1.t1	g18425, g43859, g25868, g28986, g16310
OG0004165	Aa_G489440.h1.t1	g23392
OG0004166	Aa_G603250.h1.t1	g47750, g16984
OG0004167	Aa_G607110.h1.t1	g23386, g16982
OG0004168	Aa_G325770.h1.t1	g9821
OG0004169	Aa_G264810.h1.t1	g45752, g29140
OG0004170	Aa_G162300.h1.t1	g5016, g29159
OG0004172	Aa_G376320.h1.t1, Aa_G238330.h1.t1	g285
OG0004174	Aa_G240270.h1.t1	g29272, g5132
OG0004175	Aa_G304380.h1.t1	g45683, g29274
OG0004177	Aa_G62250.h1.t1	g32095
OG0004178	Aa_G354710.h1.t1	g5221, g29327
OG0004180	Aa_G704500.h1.t1	g29462
OG0004181	Aa_G247580.h1.t1	g10372
OG0004182	Aa_G398150.h1.t1	g579
OG0004183	Aa_G130550.h1.t1	g5465
OG0004184	Aa_G210700.h1.t1	g29585
OG0004185	Aa_G210620.h1.t1	g5503
OG0004187	Aa_G535750.h1.t1, Aa_G703860.h1.t1	g40174
OG0004188	Aa_G90680.h1.t1, Aa_G512720.h1.t1	g40144
OG0004189	Aa_G272250.h1.t1, Aa_G180170.h1.t1	g36766
OG0004190	Aa_G455030.h1.t1	g40105
OG0004191	Aa_G1029590.h2.t1, Aa_G1029590.h1.t1, Aa_G988780.h1.t1, Aa_G988780.h2.t1	g40031
OG0004192	Aa_G648850.h1.t1	g39924, g51204
OG0004193	Aa_G120490.h1.t1	g39915
OG0004194	Aa_G159310.h1.t1	g39911
OG0004195	Aa_G343130.h1.t1	g51237, g39856
OG0004196	Aa_G94180.h1.t1, Aa_G353550.h1.t1	g54094
OG0004197	Aa_G637630.h1.t1, Aa_G154760.h1.t1	g51270
OG0004198	Aa_G700840.h1.t1	g37922
OG0004199	Aa_G39620.h1.t1, Aa_G29470.h1.t1	g36266
OG0004201	Aa_G171120.h1.t1	g53941, g28124
OG0004202	Aa_G329810.h1.t1	g27652
OG0004203	Aa_G366290.h1.t1	g50498
OG0004204	Aa_G108460.h1.t1	g27687
OG0004206	Aa_G416990.h1.t1	g32455, g50528
OG0004207	Aa_G138700.h1.t1	g27702, g32469
OG0004208	Aa_G138830.h1.t1	g32475, g50546
OG0004209	Aa_G476250.h1.t1, Aa_G791510.h1.t1	g32497, g27719
OG0004210	Aa_G302490.h1.t1	g27766, g32553, g50621
OG0004211	Aa_G146370.h1.t1, Aa_G146380.h1.t1	g16695, g10685
OG0004214	Aa_G482360.h1.t1	g63
OG0004215	Aa_G23490.h1.t1	g9686
OG0004217	Aa_G75090.h1.t1	g18642, g9813
OG0004218	Aa_G406180.h1.t1	g332
OG0004220	Aa_G448790.h1.t1	g9907
OG0004221	Aa_G693340.h1.t1	g447
OG0004222	Aa_G49230.h1.t1	g24328
OG0004223	Aa_G219560.h1.t1	g11111
OG0004225	Aa_G168990.h1.t1	g570
OG0004226	Aa_G478040.h1.t1	g41418
OG0004227	Aa_G15380.h1.t1	g730, g28923
OG0004228	Aa_G8660.h1.t1	g786, g28879
OG0004229	Aa_G297090.h1.t1	g1255
OG0004230	Aa_G814940.h1.t1, Aa_G814940.h2.t1, Aa_G814940.h3.t1, Aa_G345600.h1.t1	g1237
OG0004232	Aa_G21990.h1.t1	g120, g28565
OG0004233	Aa_G20050.h1.t1	g23923
OG0004234	Aa_G470070.h1.t1, Aa_G571580.h1.t1	g39362
OG0004236	Aa_G439450.h1.t1	g39400, g973
OG0004237	Aa_G99690.h1.t1	g39583
OG0004238	Aa_G188780.h1.t1	g39604
OG0004239	Aa_G414790.h1.t1	g6454, g11172, g5598
OG0004241	Aa_G140790.h1.t1	g29803, g45387, g24741, g17943, g16343, g16338, g16335
OG0004242	Aa_G260830.h1.t1	g5765, g45343
OG0004243	Aa_G170940.h1.t1, Aa_G626130.h1.t1	g45285
OG0004246	Aa_G21670.h1.t1	g46556
OG0004247	Aa_G145330.h1.t1, Aa_G145310.h1.t1	g46516
OG0004248	Aa_G457910.h1.t1	g46478
OG0004249	Aa_G121510.h1.t1	g13613
OG0004252	Aa_G636970.h1.t1	g50387
OG0004253	Aa_G675000.h1.t1	g36614
OG0004254	Aa_G66620.h1.t1, Aa_G326530.h1.t1	g24676, g24622, g24617, g24670
OG0004255	Aa_G265090.h1.t1	g37562
OG0004256	Aa_G10220.h1.t1	g44588
OG0004257	Aa_G314040.h1.t1, Aa_G274030.h1.t1	g50313
OG0004258	Aa_G8810.h1.t1, Aa_G501040.h1.t1	g49866
OG0004260	Aa_G124280.h1.t1	g22599, g28295, g1366
OG0004261	Aa_G264240.h1.t1	g10461
OG0004262	Aa_G83340.h1.t1	g1584
OG0004263	Aa_G632480.h1.t1	g32138
OG0004264	Aa_G468530.h1.t1, Aa_G553990.h1.t1	g44764, g45796
OG0004265	Aa_G58310.h1.t1	g40608
OG0004266	Aa_G590350.h1.t1	g10959, g40596
OG0004267	Aa_G247550.h1.t1, Aa_G386630.h1.t1	g16723
OG0004268	Aa_G366870.h1.t1	g6261
OG0004269	Aa_G768420.h1.t1, Aa_G428290.h1.t1, Aa_G234340.h1.t1	g38266
OG0004270	Aa_G319550.h1.t1	g44653, g42087
OG0004271	Aa_G582060.h1.t1	g36493
OG0004272	Aa_G166380.h1.t1	g28028
OG0004273	Aa_G256040.h1.t1	g54258
OG0004274	Aa_G345160.h1.t1	g24177
OG0004275	Aa_G339950.h1.t1	g24178, g47275
OG0004277	Aa_G697070.h1.t1	g17539, g24265
OG0004278	Aa_G326310.h1.t1	g19330
OG0004279	Aa_G222130.h1.t1	g47469, g23879
OG0004280	Aa_G537930.h1.t1	g23890, g47457
OG0004281	Aa_G101920.h1.t1	g41171
OG0004283	Aa_G264070.h1.t1	g37114
OG0004284	Aa_G292470.h1.t1	g17284, g23947
OG0004285	Aa_G204040.h1.t1	g24076
OG0004286	Aa_G580370.h1.t1	g24043
OG0004287	Aa_G586770.h1.t1	g47363, g17394
OG0004288	Aa_G295960.h1.t1	g47189
OG0004289	Aa_G52650.h1.t1	g18346
OG0004290	Aa_G272950.h1.t1	g18775
OG0004291	Aa_G163570.h1.t1	g18753
OG0004292	Aa_G16850.h1.t1	g1843
OG0004293	Aa_G57940.h1.t1	g11175, g1877
OG0004294	Aa_G451460.h1.t1	g2028
OG0004295	Aa_G114080.h1.t1	g1987, g18944
OG0004296	Aa_G677310.h1.t1	g18959, g11214
OG0004297	Aa_G98490.h1.t1, Aa_G98500.h1.t1	g2034
OG0004299	Aa_G483500.h1.t1	g2063, g19005
OG0004300	Aa_G774480.h1.t1	g2137
OG0004302	Aa_G650990.h1.t1	g11284
OG0004303	Aa_G505380.h1.t1	g28420, g918
OG0004304	Aa_G26850.h1.t1	g6459
OG0004305	Aa_G197460.h1.t1	g6035
OG0004306	Aa_G606690.h1.t1	g13979, g6025
OG0004307	Aa_G92110.h1.t1, Aa_G426680.h1.t1	g5999
OG0004308	Aa_G143470.h1.t1	g5956
OG0004309	Aa_G609690.h1.t1	g16060, g1507
OG0004310	Aa_G88450.h1.t1	g37381
OG0004311	Aa_G144150.h1.t1	g37370, g51961
OG0004312	Aa_G281250.h1.t1	g37365
OG0004313	Aa_G224180.h1.t1	g38139, g51861
OG0004314	Aa_G202490.h1.t1	g51758
OG0004316	Aa_G197180.h1.t1	g51651
OG0004317	Aa_G35160.h1.t1	g25671
OG0004318	Aa_G11860.h1.t1	g38423
OG0004319	Aa_G233450.h1.t1	g27615, g32221
OG0004320	Aa_G38760.h1.t1	g49453, g26936
OG0004322	Aa_G40950.h1.t1	g10108
OG0004323	Aa_G159560.h1.t1	g10128, g51931, g51929, g51936, g4791
OG0004324	Aa_G26040.h1.t1	g10132
OG0004325	Aa_G26100.h1.t1	g10135, g4787
OG0004326	Aa_G593430.h1.t1	g50812, g37709, g38255
OG0004327	Aa_G593440.h1.t1	g50810
OG0004328	Aa_G196980.h1.t1	g50784
OG0004329	Aa_G196810.h1.t1	g37658, g50778
OG0004330	Aa_G381060.h1.t1	g6695
OG0004331	Aa_G434050.h1.t1	g6676
OG0004332	Aa_G15930.h1.t1	g52270
OG0004334	Aa_G401530.h1.t1	g52108, g37487, g37488
OG0004335	Aa_G401580.h1.t1	g37485, g38204
OG0004336	Aa_G200010.h1.t1	g52088, g37468
OG0004337	Aa_G352380.h1.t1	g40689, g10895
OG0004338	Aa_G712430.h1.t1	g10897, g40687
OG0004339	Aa_G213930.h1.t1	g10902, g40679
OG0004340	Aa_G269280.h1.t1	g7687, g12527
OG0004341	Aa_G277090.h1.t1	g12512
OG0004342	Aa_G47240.h1.t1	g12479
OG0004343	Aa_G47130.h1.t1	g12943
OG0004345	Aa_G569360.h1.t1	g7448
OG0004346	Aa_G195530.h1.t1	g7390, g12329
OG0004347	Aa_G5590.h1.t1	g12307
OG0004348	Aa_G5370.h1.t1	g7337
OG0004349	Aa_G40260.h1.t1	g7301, g12275
OG0004350	Aa_G716800.h1.t1	g12250, g13154
OG0004351	Aa_G176110.h1.t1	g36716
OG0004352	Aa_G614360.h1.t1	g7208
OG0004353	Aa_G237580.h1.t1	g13209
OG0004354	Aa_G483840.h1.t1	g7182
OG0004355	Aa_G1490.h1.t1	g7140
OG0004356	Aa_G234950.h1.t1	g7089, g13234
OG0004357	Aa_G235000.h1.t1	g7084
OG0004358	Aa_G235040.h1.t1	g13236
OG0004359	Aa_G242040.h1.t1	g7046
OG0004360	Aa_G627400.h1.t1	g13828
OG0004361	Aa_G71170.h1.t1	g6973
OG0004362	Aa_G522270.h1.t1	g11994, g13316
OG0004363	Aa_G108130.h1.t1	g13327
OG0004364	Aa_G164420.h1.t1	g11956, g6789
OG0004365	Aa_G152550.h1.t1	g13362, g13361, g6752
OG0004366	Aa_G250530.h1.t1	g6720
OG0004367	Aa_G136640.h1.t1	g11886
OG0004368	Aa_G161980.h1.t1	g13378
OG0004370	Aa_G505920.h1.t1	g46779
OG0004371	Aa_G359620.h1.t1	g46833
OG0004372	Aa_G287020.h1.t1	g10295
OG0004373	Aa_G178970.h1.t1	g6505, g13475
OG0004374	Aa_G252860.h1.t1	g13460, g6541
OG0004375	Aa_G326730.h1.t1	g13422, g4678, g6590
OG0004376	Aa_G455800.h1.t1	g11855
OG0004377	Aa_G171650.h1.t1	g13396, g6629
OG0004378	Aa_G171660.h1.t1	g11858, g6630
OG0004380	Aa_G65080.h1.t1	g25098
OG0004381	Aa_G446940.h1.t1	g29066
OG0004382	Aa_G178610.h1.t1	g2463
OG0004383	Aa_G122900.h1.t1	g19305, g2467
OG0004384	Aa_G325280.h1.t1	g26886
OG0004385	Aa_G134930.h1.t1	g30827
OG0004387	Aa_G140030.h1.t1	g49525
OG0004388	Aa_G481490.h1.t1	g27016, g31087
OG0004390	Aa_G194070.h1.t1	g27081
OG0004391	Aa_G160880.h1.t1	g49700
OG0004392	Aa_G77460.h1.t1	g49787, g31344
OG0004393	Aa_G10760.h1.t1, Aa_G10740.h1.t1, Aa_G10730.h1.t1	g31390
OG0004394	Aa_G319730.h1.t1	g27192, g31396
OG0004395	Aa_G291940.h1.t1, Aa_G291940.h2.t1	g31402
OG0004396	Aa_G103890.h1.t1	g31656
OG0004397	Aa_G374410.h1.t1	g50193
OG0004399	Aa_G372750.h1.t1	g27524
OG0004400	Aa_G149370.h1.t1	g44642, g45934
OG0004401	Aa_G189590.h1.t1	g45843
OG0004403	Aa_G72420.h1.t1	g40848
OG0004404	Aa_G667120.h1.t1, Aa_G230000.h1.t1	g41123
OG0004405	Aa_G488460.h1.t1	g40761
OG0004406	Aa_G103120.h1.t1	g40489
OG0004407	Aa_G647390.h1.t1	g38277
OG0004408	Aa_G91680.h1.t1, Aa_G702340.h1.t1	g22749
OG0004409	Aa_G363180.h1.t1	g18260
OG0004411	Aa_G288310.h1.t1	g47839, g23198
OG0004412	Aa_G242320.h1.t1	g25349
OG0004413	Aa_G258370.h1.t1	g23162
OG0004414	Aa_G434210.h1.t1	g47859, g23150, g18183
OG0004415	Aa_G616700.h1.t1	g23141, g47860
OG0004416	Aa_G324910.h1.t1	g47802, g23291
OG0004417	Aa_G241480.h1.t1, Aa_G241460.h1.t1	g23314
OG0004419	Aa_G388010.h1.t1	g13472
OG0004420	Aa_G397300.h1.t1	g27904, g3186, g27886
OG0004421	Aa_G67780.h1.t1	g25404
OG0004422	Aa_G67830.h1.t1	g25402, g45262
OG0004423	Aa_G18400.h1.t1	g24087, g23559
OG0004424	Aa_G652280.h1.t1	g50309
OG0004427	Aa_G728610.h1.t1	g54096
OG0004428	Aa_G181030.h1.t1	g36429
OG0004429	Aa_G408690.h1.t1	g47056
OG0004434	Aa_G133090.h1.t1, Aa_G571280.h1.t1	g1622, g18681
OG0004436	Aa_G251060.h1.t1	g4683, g10152
OG0004438	Aa_G15200.h1.t1	g47028
OG0004440	Aa_G293110.h1.t1	g46493
OG0004451	Aa_G360270.h1.t1	g47451, g23918
OG0004453	Aa_G216890.h1.t1	g37304
OG0004454	Aa_G179030.h1.t1, Aa_G712200.h1.t1	g6500
OG0004455	Aa_G323280.h1.t1	g10726
OG0004456	Aa_G396220.h1.t1	g41490, g29030
OG0004457	Aa_G38980.h1.t1	g30883
OG0004458	Aa_G162320.h1.t1	g5017
OG0004459	Aa_G273100.h1.t1	g18693, g18694
OG0004460	Aa_G96820.h1.t1	g45724
OG0004462	Aa_G304410.h1.t1	g5135
OG0004463	Aa_G561670.h1.t1	g41470, g27881
OG0004464	Aa_G323500.h1.t1	g14086
OG0004465	Aa_G209540.h1.t1	g5248, g28125, g29338
OG0004466	Aa_G19740.h1.t1	g5270, g29354
OG0004468	Aa_G385360.h1.t1	g29379
OG0004469	Aa_G155160.h1.t1	g45603, g29386
OG0004470	Aa_G138300.h1.t1	g5310
OG0004471	Aa_G233090.h1.t1	g29410
OG0004472	Aa_G267690.h1.t1	g5348
OG0004473	Aa_G70580.h1.t1	g10055
OG0004473	Aa_G259200.h1.t1, Aa_G259220.h1.t1	g29458
OG0004474	Aa_G45550.h1.t1	g50176, g50175
OG0004475	Aa_G168670.h1.t1	g29480
OG0004476	Aa_G98260.h1.t1	g29494, g5408, g45543
OG0004478	Aa_G130400.h1.t1	g45508, g29569
OG0004479	Aa_G392840.h1.t1	g29601, g5518
OG0004480	Aa_G187630.h1.t1	g25502
OG0004481	Aa_G187730.h1.t1	g39638
OG0004482	Aa_G353720.h1.t1	g23797
OG0004483	Aa_G130140.h1.t1	g47522, g23820
OG0004484	Aa_G633830.h1.t1	g40109
OG0004485	Aa_G277900.h1.t1, Aa_G277900.h2.t1	g53438, g40075
OG0004486	Aa_G422110.h1.t1	g40064
OG0004487	Aa_G199790.h1.t1, Aa_G880.h1.t1	g37877
OG0004488	Aa_G391910.h1.t1	g37881
OG0004489	Aa_G330010.h1.t1	g39958, g51182
OG0004490	Aa_G119400.h1.t1	g51195, g39926
OG0004491	Aa_G645450.h1.t1	g51208
OG0004492	Aa_G552360.h1.t1	g39913
OG0004493	Aa_G584280.h1.t1	g37906, g51254
OG0004494	Aa_G346440.h1.t1	g51307
OG0004495	Aa_G257870.h1.t1	g37937
OG0004496	Aa_G183760.h1.t1	g51325, g37953
OG0004497	Aa_G208680.h1.t1	g51350
OG0004498	Aa_G208590.h1.t1	g51359
OG0004499	Aa_G519820.h1.t1	g38309, g39725
OG0004502	Aa_G29570.h1.t1	g17155, g45193
OG0004503	Aa_G128460.h1.t1	g53976
OG0004504	Aa_G130680.h1.t1	g27643, g50447, g50444
OG0004505	Aa_G48110.h1.t1	g32318
OG0004507	Aa_G329830.h1.t1	g50457
OG0004508	Aa_G498730.h1.t1	g50484, g32354
OG0004509	Aa_G456680.h1.t1	g32377
OG0004510	Aa_G223760.h1.t1	g50507
OG0004511	Aa_G108480.h1.t1	g32405
OG0004512	Aa_G108320.h1.t1	g32413
OG0004513	Aa_G657770.h1.t1	g24483, g32417
OG0004514	Aa_G245080.h1.t1	g16841
OG0004515	Aa_G538660.h1.t1	g50526, g32445
OG0004516	Aa_G279770.h1.t1	g32482
OG0004517	Aa_G299270.h1.t1, Aa_G299260.h1.t1	g32520
OG0004518	Aa_G344880.h1.t1	g10702, g1523
OG0004519	Aa_G171920.h1.t1	g1528, g10676
OG0004520	Aa_G281880.h1.t1	g10657
