Orthogroup	Arabis_alpina	Arabidopsis_lyrata_Rawat
OG0001780	Aa_G35500.h1.t1	AL4G24990
OG0001781	Aa_G517610.h1.t1	AL1G16130
OG0001781	Aa_G359430.h1.t1	AL4G26440
OG0001782	Aa_G363620.h1.t1, Aa_G363610.h1.t1	AL3G39390
OG0001783	Aa_G89490.h1.t1	AL8G15930
OG0001783	Aa_G134510.h1.t1	AL1G13490, AL1G41750
OG0001784	Aa_G90860.h1.t1	AL7G27900
OG0001784	Aa_G675250.h1.t1	AL8G25780
OG0001785	Aa_G375210.h1.t1	AL8G26310
OG0001785	Aa_G29850.h1.t1	AL7G27650
OG0001786	Aa_G29820.h1.t1, Aa_G29810.h1.t1, Aa_G29830.h1.t1	AL7G27600, AL7G27630
OG0001787	Aa_G492520.h1.t1	AL8G17790
OG0001788	Aa_G631110.h1.t1, Aa_G631120.h1.t1	AL6G42380
OG0001789	Aa_G156130.h1.t1, Aa_G389880.h1.t1	AL1G44330
OG0001789	Aa_G423410.h1.t1	AL4G30650
OG0001790	Aa_G75210.h1.t1	AL8G40510
OG0001790	Aa_G744770.h1.t1	AL5G27970
OG0001791	Aa_G406310.h1.t1	AL8G40010
OG0001791	Aa_G102870.h1.t1	AL3G35860, AL3G23320
OG0001792	Aa_G406210.h1.t1	AL8G39890
OG0001792	Aa_G331130.h1.t1	AL5G27390
OG0001793	Aa_G415670.h1.t1	AL1G40660
OG0001793	Aa_G415660.h1.t1	AL1G40670
OG0001795	Aa_G112940.h1.t1, Aa_G112950.h1.t1	AL6G38070, AL6G38060
OG0001796	Aa_G403320.h1.t1	AL5G22260
OG0001796	Aa_G8740.h1.t1	AL6G33120
OG0001797	Aa_G403380.h1.t1	AL5G22380
OG0001797	Aa_G8680.h1.t1	AL6G33240
OG0001798	Aa_G436380.h1.t1	AL5G23910
OG0001798	Aa_G362110.h1.t1	AL8G37030
OG0001800	Aa_G578540.h1.t1	AL5G25830
OG0001802	Aa_G641220.h1.t1	AL8G31480, AL7G26290
OG0001803	Aa_G102900.h1.t1	AL3G23340
OG0001803	Aa_G414680.h1.t1	AL6G16540
OG0001804	Aa_G526570.h1.t1	AL6G15560
OG0001805	Aa_G137230.h1.t1	AL3G21960
OG0001805	Aa_G73210.h1.t1	AL6G14150
OG0001806	Aa_G419540.h1.t1	AL3G21630
OG0001806	Aa_G140740.h1.t1	AL6G13790
OG0001807	Aa_G140780.h1.t1	AL6G13750
OG0001807	Aa_G419560.h1.t1	AL3G21600
OG0001808	Aa_G34600.h1.t1	AL3G21000
OG0001809	Aa_G263330.h1.t1	AL5G16530
OG0001809	Aa_G413270.h1.t1	AL7G48960
OG0001810	Aa_G179430.h1.t1	AL7G14750, AL7G14760, AL7G14740
OG0001811	Aa_G275030.h1.t1	AL1G29350
OG0001811	Aa_G470660.h1.t1	AL2G38800
OG0001813	Aa_G60800.h1.t1	AL1G34240
OG0001814	Aa_G418920.h1.t1	AL2G36850
OG0001814	Aa_G60730.h1.t1	AL1G34130
OG0001815	Aa_G87880.h1.t1	AL2G36130
OG0001815	Aa_G436660.h1.t1	AL1G33160
OG0001818	Aa_G407740.h1.t1	AL1G31950
OG0001818	Aa_G259430.h1.t1	AL2G35000, AL2G35010
OG0001819	Aa_G650580.h1.t1	AL3G50510
OG0001819	Aa_G426390.h1.t1	AL7G15660
OG0001820	Aa_G514600.h1.t1	AL7G15040
OG0001821	Aa_G426250.h1.t1	AL4G32590
OG0001821	Aa_G395730.h1.t1	AL5G33710
OG0001822	Aa_G25750.h1.t1	AL5G15290
OG0001822	Aa_G25330.h1.t1	AL4G33020
OG0001823	Aa_G428420.h1.t1	AL7G39700, AL7G39710
OG0001823	Aa_G753100.h1.t1	AL7G39690
OG0001824	Aa_G341740.h1.t1	AL2G32780
OG0001824	Aa_G454440.h1.t1	AL1G30080
OG0001826	Aa_G283730.h1.t1	AL2G34230
OG0001826	Aa_G119160.h1.t1	AL1G31140
OG0001827	Aa_G343420.h1.t1	AL7G23280
OG0001827	Aa_G64120.h1.t1	AL3G48370
OG0001828	Aa_G254950.h1.t1	AL1G38930
OG0001829	Aa_G423050.h1.t1	AL7G35980
OG0001829	Aa_G58250.h1.t1	AL8G12300
OG0001830	Aa_G78130.h1.t1	AL7G34980
OG0001831	Aa_G435880.h1.t1	AL1G17540
OG0001831	Aa_G275730.h1.t1	AL1G17550
OG0001832	Aa_G611070.h1.t1	AL1G59630
OG0001833	Aa_G241840.h1.t1	AL3G28820
OG0001833	Aa_G568100.h1.t1	AL1G60400
OG0001834	Aa_G12040.h1.t1	AL4G30330
OG0001834	Aa_G435740.h1.t1	AL8G26880
OG0001835	Aa_G165030.h1.t1	AL7G36490, AL7G36510, AL7G36480
OG0001836	Aa_G275770.h1.t1	AL1G17510
OG0001837	Aa_G541710.h1.t1	AL3G47250
OG0001837	Aa_G274360.h1.t1	AL7G17280
OG0001838	Aa_G542180.h1.t1	AL3G49980
OG0001838	Aa_G379280.h1.t1	AL7G15910
OG0001839	Aa_G686370.h1.t1	AL6G45220
OG0001840	Aa_G19940.h1.t1	AL7G30630
OG0001840	Aa_G225600.h1.t1	AL6G46730
OG0001842	Aa_G245360.h1.t1, Aa_G245350.h1.t1	AL7G33550
OG0001843	Aa_G41990.h1.t1	AL6G49010
OG0001843	Aa_G416730.h1.t1, Aa_G586790.h1.t1	AL7G33030
OG0001844	Aa_G373240.h1.t1	AL6G48580
OG0001844	Aa_G398630.h1.t1	AL7G32460
OG0001845	Aa_G369430.h1.t1	AL1G18510
OG0001845	Aa_G521280.h1.t1	AL1G56130
OG0001846	Aa_G238630.h1.t1, Aa_G124080.h1.t1	AL4G39400
OG0001847	Aa_G364310.h1.t1, Aa_G364310.h2.t1	AL4G47220
OG0001848	Aa_G2450.h1.t1	AL5G44860
OG0001848	Aa_G177990.h1.t1	AL4G46470
OG0001849	Aa_G353970.h1.t1	AL5G42940
OG0001849	Aa_G443520.h1.t1	AL4G44270
OG0001850	Aa_G102460.h1.t1	AL5G42510
OG0001851	Aa_G103360.h1.t1	AL5G42400
OG0001851	Aa_G265120.h1.t1	AL4G43630
OG0001852	Aa_G218940.h1.t1	AL5G42300
OG0001852	Aa_G479520.h1.t1	AL4G43330
OG0001853	Aa_G100580.h1.t1	AL4G43130
OG0001853	Aa_G349420.h1.t1	AL5G42170
OG0001854	Aa_G322920.h1.t1	AL5G41790
OG0001854	Aa_G322950.h1.t1	AL5G41770
OG0001855	Aa_G144230.h1.t1	AL4G38920
OG0001855	Aa_G174990.h1.t1	AL5G38030
OG0001856	Aa_G38080.h1.t1, Aa_G699510.h1.t1	AL772U10020, AL4G37330
OG0001856	Aa_G213630.h1.t1	AL5G36810
OG0001857	Aa_G349640.h1.t1, Aa_G381230.h1.t1	AL5G35840, AL5G35830
OG0001858	Aa_G14200.h1.t1	AL5G34230
OG0001858	Aa_G531170.h1.t1	AL4G33420
OG0001859	Aa_G342330.h1.t1	AL7G14490
OG0001859	Aa_G221830.h1.t1, Aa_G415540.h1.t1	AL3G51600
OG0001860	Aa_G223210.h1.t1	AL7G14200
OG0001860	Aa_G426660.h1.t1	AL3G51960
OG0001861	Aa_G686000.h1.t1	AL2G23100
OG0001862	Aa_G93580.h1.t1	AL6G47460, AL6G47450
OG0001863	Aa_G455650.h1.t1	AL6G48040, AL6G48030
OG0001864	Aa_G375060.h1.t1	AL4G12330
OG0001864	Aa_G615870.h1.t1	AL7G12850
OG0001865	Aa_G239560.h1.t1	AL1G51130
OG0001865	Aa_G12650.h1.t1	AL6G42320
OG0001866	Aa_G160860.h1.t1	AL1G20330
OG0001866	Aa_G500900.h1.t1	AL3G19560
OG0001867	Aa_G574050.h1.t1, Aa_G574060.h1.t1	AL4G41070, AL4G41090
OG0001869	Aa_G33330.h1.t1	AL1G33990
OG0001870	Aa_G586630.h1.t1, Aa_G586600.h1.t1	AL4G39690
OG0001871	Aa_G42350.h1.t1	AL3G11950
OG0001871	Aa_G42340.h1.t1	AL3G11960
OG0001872	Aa_G293430.h1.t1	nbis-gene-766
OG0001873	Aa_G585790.h1.t1	AL1G25850
OG0001874	Aa_G35800.h1.t1	AL4G17270
OG0001874	Aa_G153890.h1.t1	AL7G19150
OG0001875	Aa_G486790.h1.t1	nbis-gene-1252
OG0001876	Aa_G752880.h1.t1	AL7G50770
OG0001876	Aa_G245480.h1.t1	AL7G50790
OG0001877	Aa_G417800.h1.t1	AL7G52500
OG0001877	Aa_G63770.h1.t1	AL2G25370
OG0001878	Aa_G299900.h1.t1, Aa_G299890.h1.t1	AL6G53050
OG0001878	Aa_G291150.h1.t1	AL1G10770
OG0001879	Aa_G545750.h1.t1	AL1G21540
OG0001879	Aa_G240610.h1.t1	AL7G27040
OG0001880	Aa_G530670.h1.t1	AL1G21650
OG0001880	Aa_G318330.h1.t1	AL2G15800
OG0001881	Aa_G298930.h1.t1	AL1G23220
OG0001881	Aa_G739680.h1.t1	AL2G13510
OG0001882	Aa_G298900.h1.t1	AL1G23280
OG0001882	Aa_G488340.h1.t1	AL2G13430
OG0001883	Aa_G433420.h1.t1	AL2G12450
OG0001883	Aa_G328360.h1.t1	AL1G24310
OG0001884	Aa_G329000.h1.t1	AL5G14130
OG0001884	Aa_G584870.h1.t1	AL1G24900
OG0001885	Aa_G435360.h1.t1	AL5G11740
OG0001885	Aa_G117630.h1.t1	AL1G26400
OG0001886	Aa_G13540.h1.t1	AL1G27400
OG0001886	Aa_G121270.h1.t1	AL1G55720, AL1G55710
OG0001888	Aa_G347840.h1.t1	AL2G32010
OG0001888	Aa_G324100.h1.t1	AL1G29550
OG0001889	Aa_G188660.h1.t1	AL1G29740
OG0001889	Aa_G187210.h1.t1	AL2G32300
OG0001890	Aa_G323150.h1.t1	AL5G11610
OG0001891	Aa_G504900.h1.t1	AL2G29340
OG0001891	Aa_G281110.h1.t1	AL1G38000
OG0001892	Aa_G294410.h1.t1	AL7G12650
OG0001892	Aa_G294520.h1.t1	AL7G12670
OG0001894	Aa_G269030.h1.t1	AL3G46630
OG0001894	Aa_G614950.h1.t1	AL7G17540
OG0001895	Aa_G399000.h1.t1	AL7G20710
OG0001895	Aa_G310000.h1.t1	AL4G14870
OG0001896	Aa_G310020.h1.t1	AL4G14850
OG0001896	Aa_G420450.h1.t1	AL7G20740
OG0001897	Aa_G190660.h1.t1	AL7G21180, AL7G21170
OG0001897	Aa_G750950.h1.t1	AL4G14400
OG0001900	Aa_G756290.h1.t1	AL7G50380
OG0001900	Aa_G635220.h1.t1	AL5G18620
OG0001910	Aa_G432050.h1.t1	AL7G21580
OG0001910	Aa_G166810.h1.t1	AL4G14010
OG0001911	Aa_G537780.h1.t1	AL4G14110
OG0001911	Aa_G456130.h1.t1	AL7G21430
OG0001912	Aa_G539770.h1.t1	AL6G27330
OG0001912	Aa_G250420.h1.t1	AL3G12140
OG0001913	Aa_G733770.h1.t1	AL7G24650
OG0001914	Aa_G42590.h1.t1	AL3G11640
OG0001914	Aa_G383450.h1.t1	AL6G26690
OG0001915	Aa_G731180.h1.t1	AL6G24110
OG0001915	Aa_G302090.h1.t1	AL3G19540
OG0001916	Aa_G181400.h1.t1	AL6G30920
OG0001916	Aa_G623420.h1.t1	AL6G23110
OG0001917	Aa_G256470.h1.t1	AL6G22890
OG0001917	Aa_G112810.h1.t1	AL6G31020
OG0001918	Aa_G596570.h1.t1	AL6G36610
OG0001919	Aa_G169040.h1.t1	AL6G36530
OG0001920	Aa_G37210.h1.t1	AL8G42740
OG0001920	Aa_G458420.h1.t1	AL6G20490
OG0001921	Aa_G195990.h1.t1	AL6G20450
OG0001921	Aa_G149030.h1.t1	AL8G30730, AL5G16350
OG0001922	Aa_G165190.h1.t1	AL4G12310
OG0001922	Aa_G516760.h1.t1	AL6G20090
OG0001923	Aa_G637990.h1.t1	AL6G19830
OG0001923	Aa_G51650.h1.t1	AL8G41610, AL8G41620
OG0001924	Aa_G611200.h1.t1, Aa_G499300.h1.t1	AL6G18210
OG0001924	Aa_G620750.h1.t1	AL8G37870
OG0001925	Aa_G22450.h1.t1	AL1G16780
OG0001925	Aa_G470380.h1.t1	AL4G25470
OG0001926	Aa_G374200.h1.t1	AL4G25520
OG0001926	Aa_G22470.h1.t1	AL1G16760
OG0001927	Aa_G469730.h1.t1	AL1G16180
OG0001927	Aa_G359510.h1.t1	AL4G26330
OG0001928	Aa_G675130.h1.t1	AL3G46920
OG0001929	Aa_G477740.h1.t1	AL1G14430
OG0001929	Aa_G183660.h1.t1	AL4G28710
OG0001930	Aa_G134570.h1.t1	AL1G13440
OG0001931	Aa_G29800.h1.t1	AL7G27590
OG0001931	Aa_G620240.h1.t1	AL8G26390
OG0001934	Aa_G468660.h1.t1	AL1G45460
OG0001934	Aa_G263980.h1.t1	AL4G31040
OG0001935	Aa_G52060.h1.t1	AL4G31420
OG0001936	Aa_G52090.h1.t1	AL4G31360
OG0001936	Aa_G16470.h1.t1	AL1G46780
OG0001937	Aa_G124640.h1.t1	AL5G30200
OG0001937	Aa_G165800.h1.t1	AL8G44090
OG0001938	Aa_G1250.h1.t1	AL3G27410
OG0001938	Aa_G165620.h1.t1	AL8G37480
OG0001939	Aa_G578250.h1.t1	AL6G34970
OG0001939	Aa_G106900.h1.t1	AL5G28370
OG0001940	Aa_G9770.h1.t1	AL7G19340
OG0001942	Aa_G192030.h1.t1	AL5G23360
OG0001942	Aa_G552190.h1.t1	AL6G34040
OG0001943	Aa_G206050.h1.t1	AL5G23810
OG0001944	Aa_G877590.h1.t1, Aa_G877590.h5.t1, Aa_G445570.h1.t1, Aa_G445570.h4.t1, Aa_G877590.h3.t1, Aa_G28280.h3.t1, Aa_G877590.h2.t1, Aa_G445570.h2.t1, Aa_G877590.h4.t1, Aa_G28280.h1.t1, Aa_G28280.h5.t1, Aa_G28280.h4.t1, Aa_G28280.h2.t1, Aa_G445570.h5.t1, Aa_G445570.h3.t1	AL5G25260
OG0001945	Aa_G592870.h1.t1	AL2G15980
OG0001945	Aa_G392490.h1.t1	AL2G15670
OG0001946	Aa_G93730.h1.t1	AL8G34630
OG0001946	Aa_G244320.h1.t1	AL6G17300
OG0001947	Aa_G575480.h1.t1, Aa_G575490.h1.t1	AL7G27230, AL8G33540
OG0001948	Aa_G307730.h1.t1	AL8G33430, AL7G27200
OG0001949	Aa_G548880.h1.t1	AL3G49790
OG0001949	Aa_G548890.h1.t1	AL3G49800
OG0001950	Aa_G443200.h1.t1	AL7G51450
OG0001950	Aa_G263570.h1.t1	AL5G19860
OG0001951	Aa_G227930.h1.t1	AL7G26460
OG0001952	Aa_G149050.h1.t1	AL8G30360
OG0001952	Aa_G363790.h1.t1	AL7G25830
OG0001953	Aa_G123350.h1.t1	AL8G30120
OG0001953	Aa_G129660.h1.t1	AL7G25620
OG0001954	Aa_G40600.h1.t1	AL3G23910
OG0001954	Aa_G640340.h1.t1	AL6G17100
OG0001955	Aa_G694660.h1.t1	AL6G16650
OG0001955	Aa_G5550.h1.t1	AL3G23420
OG0001956	Aa_G137100.h1.t1	AL3G22110
OG0001956	Aa_G304080.h1.t1	AL6G14520
OG0001957	Aa_G324500.h1.t1	AL3G21140
OG0001957	Aa_G170080.h1.t1	AL6G12960
OG0001958	Aa_G259880.h1.t1	AL6G12620, AL1G29620
OG0001958	Aa_G34520.h1.t1	AL3G21050
OG0001960	Aa_G437780.h1.t1	AL5G16710
OG0001960	Aa_G553490.h1.t1	AL7G49090
OG0001961	Aa_G25250.h1.t1	AL1G27880
OG0001961	Aa_G410400.h1.t1	AL2G40950
OG0001962	Aa_G462520.h1.t1	AL2G40560
OG0001963	Aa_G293580.h1.t1	AL2G40480
OG0001964	Aa_G410230.h1.t1, Aa_G457360.h1.t1	AL2G40170
OG0001965	Aa_G33340.h1.t1	AL1G33980
OG0001965	Aa_G111030.h1.t1	AL2G36690
OG0001966	Aa_G781090.h1.t1	AL7G15540
OG0001966	Aa_G157050.h1.t1	AL7G15420
OG0001967	Aa_G148910.h1.t1	AL1G33520
OG0001967	Aa_G315360.h1.t1	AL2G36390
OG0001968	Aa_G281700.h1.t1	AL2G35890
OG0001968	Aa_G281690.h1.t1	AL2G35900
OG0001969	Aa_G383830.h1.t1	AL3G50120
OG0001969	Aa_G293880.h1.t1	AL7G15880
OG0001970	Aa_G650560.h1.t1	AL3G50490
OG0001970	Aa_G426380.h1.t1	AL7G15670
OG0001971	Aa_G261520.h1.t1	AL3G50720
OG0001971	Aa_G376310.h1.t1	AL7G15260
OG0001972	Aa_G514690.h1.t1	AL7G15120
OG0001973	Aa_G237680.h1.t1	AL3G26200
OG0001974	Aa_G1360.h1.t1	AL3G27290
OG0001974	Aa_G603610.h1.t1	AL1G61720
OG0001975	Aa_G595080.h1.t1	AL4G32750
OG0001977	Aa_G79970.h1.t1	AL8G12500, AL7G42970
OG0001977	Aa_G199080.h1.t1	AL3G39170
OG0001978	Aa_G362610.h1.t1	AL7G41650
OG0001978	Aa_G42550.h1.t1	AL3G11690
OG0001979	Aa_G479690.h1.t1	AL7G41580
OG0001979	Aa_G518850.h1.t1	AL3G37470
OG0001980	Aa_G233310.h1.t1, Aa_G413560.h1.t1	AL7G41330, AL3G37240
OG0001981	Aa_G197420.h1.t1	AL3G29570
OG0001981	Aa_G327160.h1.t1	AL7G39370
OG0001982	Aa_G287200.h1.t1	AL5G37410
OG0001982	Aa_G431200.h1.t1	AL4G38110
OG0001984	Aa_G25600.h1.t1	AL5G15530
OG0001984	Aa_G26520.h1.t1	AL1G24520
OG0001985	Aa_G118040.h1.t1	AL8G13110
OG0001985	Aa_G78030.h1.t1	AL7G35070
OG0001986	Aa_G599970.h1.t1	AL1G57120, AL1G57150
OG0001986	Aa_G371350.h1.t1	AL3G32680
OG0001987	Aa_G410590.h1.t1	AL1G58680
OG0001987	Aa_G250670.h1.t1	AL3G34420
OG0001988	Aa_G225070.h1.t1	AL1G59510
OG0001988	Aa_G430360.h1.t1	AL3G35170
OG0001989	Aa_G568080.h1.t1	AL1G60420
OG0001992	Aa_G152240.h1.t1	AL7G36650
OG0001992	Aa_G324640.h1.t1	AL8G11580
OG0001993	Aa_G347420.h1.t1	AL6G51830
OG0001993	Aa_G211770.h1.t1	AL1G11510
OG0001994	Aa_G225570.h1.t1	AL6G46650
OG0001994	Aa_G19970.h1.t1	AL7G30600
OG0001995	Aa_G517320.h1.t1	AL7G31320, AL8G44690
OG0001996	Aa_G558920.h1.t1	AL7G31930, AL7G31940
OG0001997	Aa_G41830.h1.t1	AL6G48780
OG0001997	Aa_G37720.h1.t1, Aa_G37690.h1.t1	AL7G32830
OG0001998	Aa_G13020.h1.t1	AL4G47540
OG0001999	Aa_G16230.h1.t1	AL4G44610
OG0001999	Aa_G48780.h1.t1	AL5G43200
OG0002000	Aa_G175160.h1.t1	AL4G44170
OG0002000	Aa_G354050.h1.t1	AL5G42870
OG0002001	Aa_G175170.h1.t1	AL4G44160
OG0002002	Aa_G349490.h1.t1, Aa_G349480.h1.t1	AL5G42260
OG0002002	Aa_G100670.h1.t1	AL4G43240
OG0002003	Aa_G563970.h1.t1	AL1G21290, AL3G43770
OG0002003	Aa_G345860.h1.t1	AL5G39590
OG0002004	Aa_G188360.h1.t1	AL4G39660
OG0002004	Aa_G369790.h1.t1	AL5G38870
OG0002005	Aa_G244680.h1.t1, Aa_G133110.h1.t1	AL7G24970
OG0002005	Aa_G372280.h1.t1	AL8G28260
OG0002007	Aa_G269550.h1.t1	AL4G36170
OG0002007	Aa_G350710.h1.t1	AL4G36210
OG0002009	Aa_G235880.h1.t1	AL5G32320
OG0002009	Aa_G172150.h1.t1	AL4G35190
OG0002011	Aa_G10000.h1.t1	AL4G10340
OG0002011	Aa_G137890.h1.t1	AL7G10740
OG0002012	Aa_G555230.h1.t1	AL1G48430
OG0002013	Aa_G51100.h1.t1	AL3G16290
OG0002013	Aa_G414020.h1.t1	AL6G38980
OG0002014	Aa_G364300.h1.t1	AL5G45610
OG0002014	Aa_G206130.h1.t1	AL4G47230
OG0002015	Aa_G241280.h1.t1	AL4G47140
OG0002015	Aa_G605810.h1.t1	AL5G45440
OG0002016	Aa_G71190.h1.t1	AL3G30120
OG0002017	Aa_G67350.h1.t1	AL4G40440
OG0002017	Aa_G221060.h1.t1	AL5G39680
OG0002018	Aa_G5080.h1.t1	AL3G15700
OG0002018	Aa_G316160.h1.t1	AL1G65330
OG0002019	Aa_G257360.h2.t1, Aa_G47740.h2.t1, Aa_G47740.h1.t1, Aa_G257360.h1.t1	AL6G30140, AL3G17250
OG0002020	Aa_G71200.h1.t1	AL3G30140
OG0002021	Aa_G107730.h1.t1	AL3G30280
OG0002021	Aa_G57510.h1.t1	AL1G54550
OG0002022	Aa_G53570.h1.t1	AL3G30510
OG0002022	Aa_G57640.h1.t1	AL1G54820
OG0002023	Aa_G247750.h1.t1	AL5G19430
OG0002023	Aa_G245600.h1.t1	AL7G51130
OG0002024	Aa_G387740.h1.t1	AL2G23680, AL7G46180
OG0002025	Aa_G198870.h1.t1	AL3G36530
OG0002025	Aa_G594620.h1.t1	AL7G40840
OG0002026	Aa_G372440.h1.t1, Aa_G446920.h1.t1, Aa_G372430.h1.t1	AL6G29910
OG0002027	Aa_G105770.h1.t1	AL1G10860
OG0002028	Aa_G67870.h1.t1	nbis-gene-1674
OG0002029	Aa_G67860.h1.t1	nbis-gene-1675
OG0002029	Aa_G325230.h1.t1	AL1G11100
OG0002030	Aa_G6560.h1.t1	AL1G12020
OG0002030	Aa_G191540.h1.t1	AL6G50980
OG0002031	Aa_G79380.h1.t1	AL1G15430
OG0002032	Aa_G7680.h1.t1	AL1G66490
OG0002032	Aa_G394720.h1.t1	AL1G19860
OG0002033	Aa_G427980.h1.t1	AL1G21390
OG0002033	Aa_G182590.h1.t1	AL2G16440
OG0002034	Aa_G804100.h1.t1	AL1G22270
OG0002034	Aa_G177300.h1.t1	AL2G15020
OG0002035	Aa_G307220.h1.t1	AL1G22810
OG0002035	Aa_G328610.h1.t1	AL2G14160
OG0002036	Aa_G327980.h1.t1	AL2G12540
OG0002036	Aa_G319790.h1.t1	AL1G23990, AL1G24100
OG0002037	Aa_G276760.h1.t1	AL5G15110
OG0002037	Aa_G26720.h1.t1	AL1G24710
OG0002038	Aa_G115580.h1.t1, Aa_G117670.h1.t1	AL1G26660
OG0002041	Aa_G62600.h1.t1	AL1G36950
OG0002041	Aa_G68650.h1.t1	AL2G30140
OG0002042	Aa_G185170.h1.t1	AL7G47610
OG0002043	Aa_G219330.h1.t1	AL5G24660, AL5G24680, AL7G10270
OG0002044	Aa_G70180.h1.t1	AL3G49430
OG0002045	Aa_G58460.h1.t1	AL7G18530
OG0002045	Aa_G290470.h1.t1	AL4G18660
OG0002048	Aa_G661720.h1.t1	AL6G43640
OG0002048	Aa_G555240.h1.t1	AL6G43630
OG0002056	Aa_G148060.h1.t1	AL8G35080
OG0002056	Aa_G89070.h1.t1	AL5G26420
OG0002057	Aa_G406240.h1.t1	AL8G39930
OG0002058	Aa_G411070.h1.t1	AL6G29370
OG0002058	Aa_G185580.h1.t1	AL3G13800
OG0002059	Aa_G145010.h1.t1	AL6G29350
OG0002059	Aa_G569220.h1.t1	AL6G25370
OG0002060	Aa_G253660.h1.t1	AL6G29290
OG0002060	Aa_G85820.h1.t1	AL6G29100
OG0002061	Aa_G47630.h1.t1	AL3G13100
OG0002061	Aa_G192730.h1.t1	AL6G28560
OG0002062	Aa_G162350.h1.t1	AL6G27820
OG0002062	Aa_G111880.h1.t1	AL3G12440
OG0002063	Aa_G200370.h1.t1	AL3G12180
OG0002063	Aa_G539740.h1.t1	AL6G27380
OG0002064	Aa_G96850.h1.t1	AL6G27130
OG0002064	Aa_G42310.h1.t1	AL3G12000
OG0002065	Aa_G42430.h1.t1	AL3G11870
OG0002065	Aa_G59360.h1.t1	AL6G26920
OG0002066	Aa_G42500.h1.t1	AL3G11770
OG0002066	Aa_G305510.h1.t1	AL6G26810
OG0002067	Aa_G258170.h1.t1	AL6G25100
OG0002067	Aa_G52700.h1.t1	AL3G10460
OG0002068	Aa_G388290.h1.t1	AL6G24160
OG0002068	Aa_G40360.h1.t1	AL3G24150
OG0002069	Aa_G385340.h1.t1	AL6G23710, AL1G40640
OG0002070	Aa_G267520.h1.t1	AL6G22390
OG0002072	Aa_G20910.h1.t1	AL8G42220
OG0002073	Aa_G231020.h1.t1	AL6G19920
OG0002073	Aa_G231030.h1.t1	AL6G19930
OG0002074	Aa_G620790.h1.t1	AL8G37910, AL665U10010
OG0002074	Aa_G76470.h1.t1	AL6G18170
OG0002075	Aa_G189090.h1.t1	AL6G49930
OG0002075	Aa_G135020.h1.t1	AL1G12890
OG0002076	Aa_G504360.h1.t1	AL4G22230
OG0002077	Aa_G286070.h1.t1	AL1G18380
OG0002078	Aa_G79360.h1.t1	AL1G15350
OG0002078	Aa_G154600.h1.t1	AL4G27350
OG0002079	Aa_G219010.h1.t1	AL1G15100
OG0002080	Aa_G134560.h1.t1	AL1G13450
OG0002080	Aa_G89470.h1.t1	AL8G15890
OG0002081	Aa_G150410.h1.t1	AL8G18280
OG0002081	Aa_G438550.h1.t1	AL1G53390
OG0002082	Aa_G117800.h1.t1	AL1G26250
OG0002082	Aa_G146240.h1.t1	AL5G12020
OG0002083	Aa_G147100.h1.t1	AL8G44700
OG0002083	Aa_G325980.h1.t1	AL3G51730
OG0002084	Aa_G529900.h1.t1	AL5G29980
OG0002084	Aa_G383000.h1.t1	AL8G43900
OG0002086	Aa_G275500.h1.t1	AL6G17610
OG0002087	Aa_G122860.h1.t1	AL5G29400
OG0002087	Aa_G168520.h1.t1, Aa_G45220.h1.t1	AL6G36250
OG0002088	Aa_G719360.h1.t1	AL6G36370, AL6G36360, AL6G36400
OG0002089	Aa_G490460.h1.t1	AL5G20980
OG0002089	Aa_G15550.h1.t1	AL6G32040
OG0002090	Aa_G191980.h1.t1	AL5G23410
OG0002091	Aa_G448330.h1.t1	AL5G25190
OG0002091	Aa_G550770.h1.t1	AL8G36220
OG0002092	Aa_G146830.h1.t1	AL7G27030
OG0002092	Aa_G69060.h1.t1	AL161U10010, nbis-gene-2164, AL8G33120
OG0002093	Aa_G197820.h1.t1	AL8G32810
OG0002094	Aa_G387270.h1.t1	AL7G26520
OG0002094	Aa_G216560.h1.t1	AL8G31910
OG0002095	Aa_G86680.h1.t1	AL7G26120
OG0002096	Aa_G149070.h1.t1	AL8G30330
OG0002096	Aa_G363810.h1.t1	AL7G25810
OG0002097	Aa_G188730.h1.t1	AL6G50340
OG0002097	Aa_G228360.h1.t1	AL1G12530
OG0002098	Aa_G188800.h1.t1	AL7G16870
OG0002100	Aa_G24060.h1.t1	AL3G20070
OG0002101	Aa_G111640.h1.t1	AL3G12790
OG0002102	Aa_G508040.h1.t1	AL5G16310
OG0002102	Aa_G229840.h1.t1	AL7G48700
OG0002103	Aa_G239240.h1.t1	AL2G16880
OG0002103	Aa_G121150.h1.t1	AL1G27290
OG0002104	Aa_G606320.h1.t1	AL1G27860
OG0002104	Aa_G410370.h1.t1	AL2G40980
OG0002105	Aa_G265730.h1.t1	AL2G40340
OG0002106	Aa_G377620.h1.t1	nbis-gene-93
OG0002106	Aa_G336910.h1.t1	AL2G39850
OG0002107	Aa_G80450.h1.t1	AL2G39680, AL1G28620
OG0002108	Aa_G80400.h1.t1	AL2G39640, AL1G28660
OG0002109	Aa_G166070.h1.t1	AL1G35590
OG0002109	Aa_G204300.h1.t1	AL2G38290
OG0002110	Aa_G374450.h1.t1	AL1G34520
OG0002111	Aa_G60720.h1.t1	AL1G34120
OG0002111	Aa_G418930.h1.t1	AL2G36810
OG0002112	Aa_G682100.h1.t1	AL1G63680
OG0002112	Aa_G176010.h1.t1	AL3G25230
