Orthogroup	Arabis_alpina	Rorippa_islandica
OG0004440	Aa_G293090.h1.t1, Aa_G293100.h1.t1	Roisl.0115s0231.1.p
OG0004451	Aa_G360270.h1.t1	Roisl.0091s0008.1.p
OG0004453	Aa_G216890.h1.t1	Roisl.0017s0267.1.p
OG0004454	Aa_G179030.h1.t1, Aa_G712200.h1.t1	Roisl.0005s0047.1.p
OG0004455	Aa_G323280.h1.t1	Roisl.0011s0131.1.p
OG0004456	Aa_G396220.h1.t1	Roisl.0210s1518.1.p, Roisl.0210s1516.1.p
OG0004457	Aa_G38980.h1.t1	Roisl.0091s0705.1.p
OG0004458	Aa_G162320.h1.t1	Roisl.0210s1387.1.p
OG0004459	Aa_G273100.h1.t1	Roisl.0018s0482.1.p
OG0004460	Aa_G96820.h1.t1	Roisl.0210s1325.1.p
OG0004462	Aa_G304410.h1.t1	Roisl.0210s1214.1.p
OG0004463	Aa_G7960.h1.t1, Aa_G561670.h1.t1	Roisl.0210s1181.1.p
OG0004464	Aa_G323500.h1.t1	Roisl.0066s0309.1.p
OG0004465	Aa_G209540.h1.t1	Roisl.0210s1071.1.p
OG0004466	Aa_G19740.h1.t1	Roisl.0210s1039.1.p
OG0004468	Aa_G385360.h1.t1	Roisl.0210s1001.1.p
OG0004469	Aa_G155160.h1.t1	Roisl.0210s0985.1.p
OG0004470	Aa_G138300.h1.t1	Roisl.0210s0964.1.p
OG0004471	Aa_G233090.h1.t1	Roisl.0210s0930.1.p
OG0004472	Aa_G267690.h1.t1	Roisl.0210s0906.1.p
OG0004473	Aa_G70580.h1.t1, Aa_G259200.h1.t1, Aa_G259220.h1.t1	Roisl.0210s0829.1.p
OG0004475	Aa_G312630.h1.t1, Aa_G168670.h1.t1	Roisl.0210s0793.1.p
OG0004476	Aa_G98260.h1.t1	Roisl.0210s0769.1.p
OG0004477	Aa_G195910.h1.t1	Roisl.0210s0706.1.p
OG0004478	Aa_G130400.h1.t1	Roisl.0210s0633.1.p
OG0004479	Aa_G392840.h1.t1	Roisl.0210s0550.1.p
OG0004480	Aa_G187630.h1.t1	Roisl.0082s0355.1.p
OG0004482	Aa_G353720.h1.t1	Roisl.0022s0151.1.p
OG0004483	Aa_G130140.h1.t1	Roisl.0022s0121.1.p
OG0004484	Aa_G633830.h1.t1	Roisl.0204s0075.1.p
OG0004485	Aa_G277900.h1.t1, Aa_G277900.h2.t1	Roisl.0082s0545.1.p
OG0004486	Aa_G422110.h1.t1	Roisl.0082s0564.1.p
OG0004487	Aa_G199790.h1.t1, Aa_G880.h1.t1	Roisl.0082s0752.1.p
OG0004488	Aa_G391910.h1.t1	Roisl.0082s0764.1.p, Roisl.0082s0765.1.p
OG0004489	Aa_G330010.h1.t1	Roisl.0033s0011.1.p
OG0004490	Aa_G119400.h1.t1	Roisl.0033s0045.1.p
OG0004491	Aa_G645450.h1.t1	Roisl.0033s0061.1.p
OG0004492	Aa_G552360.h1.t1	Roisl.0033s0065.1.p
OG0004493	Aa_G584280.h1.t1	Roisl.0017s0507.1.p
OG0004494	Aa_G346440.h1.t1	Roisl.0028s0647.1.p
OG0004495	Aa_G257870.h1.t1	Roisl.0028s0661.1.p
OG0004496	Aa_G183760.h1.t1	Roisl.0028s0696.1.p
OG0004497	Aa_G208680.h1.t1	Roisl.0028s0735.1.p
OG0004498	Aa_G208590.h1.t1	Roisl.0028s0742.1.p
OG0004499	Aa_G519820.h1.t1	Roisl.0012s0117.1.p, Roisl.0012s0119.1.p, Roisl.0012s0120.1.p, Roisl.0012s0118.1.p
OG0004500	Aa_G203790.h1.t1	Roisl.0012s0140.1.p
OG0004502	Aa_G29570.h1.t1	Roisl.0022s0224.1.p
OG0004503	Aa_G128460.h1.t1	Roisl.0066s0381.1.p, Roisl.0066s0379.1.p
OG0004504	Aa_G130680.h1.t1	Roisl.0213s0053.1.p
OG0004505	Aa_G48110.h1.t1	Roisl.0213s0072.1.p
OG0004507	Aa_G329830.h1.t1	Roisl.0213s0086.1.p
OG0004508	Aa_G498730.h1.t1	Roisl.0213s0112.1.p
OG0004509	Aa_G456680.h1.t1	Roisl.0213s0151.1.p
OG0004510	Aa_G223760.h1.t1	Roisl.0213s0189.1.p
OG0004511	Aa_G108480.h1.t1	Roisl.0213s0217.1.p
OG0004512	Aa_G108320.h1.t1	Roisl.0213s0237.1.p
OG0004513	Aa_G657770.h1.t1	Roisl.0213s0246.1.p
OG0004514	Aa_G378320.h1.t1, Aa_G245080.h1.t1	Roisl.0028s0097.1.p
OG0004515	Aa_G538660.h1.t1	Roisl.0213s0274.1.p
OG0004516	Aa_G279770.h1.t1	Roisl.0213s0332.1.p, Roisl.0213s0351.1.p
OG0004517	Aa_G299270.h1.t1	Roisl.0213s0407.1.p
OG0004518	Aa_G344880.h1.t1	Roisl.0011s0161.1.p
OG0004519	Aa_G171920.h1.t1	Roisl.0011s0199.1.p
OG0004520	Aa_G281880.h1.t1	Roisl.0011s0271.1.p
OG0004521	Aa_G180810.h1.t1	Roisl.0024s0576.1.p
OG0004522	Aa_G527010.h1.t1	Roisl.0024s0442.1.p
OG0004523	Aa_G21070.h1.t1	Roisl.0024s0344.1.p, Roisl.0024s0346.1.p, Roisl.0024s0345.1.p
OG0004524	Aa_G268340.h1.t1	Roisl.0024s0109.1.p
OG0004525	Aa_G268280.h1.t1	Roisl.0024s0284.1.p
OG0004526	Aa_G102450.h1.t1	Roisl.0024s0252.1.p
OG0004527	Aa_G320880.h1.t1, Aa_G320870.h1.t1	Roisl.0024s0190.1.p
OG0004528	Aa_G13500.h1.t1	Roisl.0080s0003.1.p
OG0004529	Aa_G131030.h1.t1, Aa_G131020.h1.t1	Roisl.0080s0029.1.p
OG0004530	Aa_G606850.h1.t1	Roisl.0080s0112.1.p
OG0004531	Aa_G104890.h1.t1	Roisl.0210s1990.1.p
OG0004532	Aa_G480350.h1.t1	Roisl.0011s0243.1.p
OG0004533	Aa_G517860.h1.t1	Roisl.0046s0221.1.p
OG0004534	Aa_G539240.h1.t1	Roisl.0046s0244.1.p
OG0004535	Aa_G539250.h1.t1	Roisl.0046s0245.1.p
OG0004536	Aa_G112860.h1.t1	Roisl.0046s0297.1.p
OG0004537	Aa_G463760.h1.t1, Aa_G463790.h1.t1	Roisl.0053s0130.1.p
OG0004538	Aa_G68140.h1.t1	Roisl.0210s1747.1.p
OG0004539	Aa_G15420.h1.t1	Roisl.0210s1789.1.p
OG0004540	Aa_G501630.h1.t1	Roisl.0210s1812.1.p
OG0004541	Aa_G672110.h1.t1	Roisl.0210s1813.1.p
OG0004542	Aa_G404800.h1.t1	Roisl.0210s1822.1.p
OG0004543	Aa_G444260.h1.t1	Roisl.0210s1840.1.p
OG0004544	Aa_G8920.h1.t1	Roisl.0210s1858.1.p
OG0004545	Aa_G459190.h1.t1	Roisl.0210s1891.1.p
OG0004546	Aa_G173810.h1.t1	Roisl.0210s1930.1.p
OG0004547	Aa_G234670.h1.t1	Roisl.0080s0257.1.p
OG0004548	Aa_G33760.h1.t1	Roisl.0080s0292.1.p
OG0004549	Aa_G27940.h1.t1	Roisl.0080s0348.1.p
OG0004550	Aa_G297120.h1.t1	Roisl.0080s0359.1.p
OG0004551	Aa_G147850.h1.t1	Roisl.0080s0424.1.p, Roisl.0080s0425.1.p
OG0004552	Aa_G344290.h1.t1	Roisl.0080s0462.1.p
OG0004553	Aa_G460500.h1.t1, Aa_G160870.h1.t1	Roisl.0021s0017.1.p
OG0004554	Aa_G31590.h1.t1	Roisl.0080s0488.1.p
OG0004555	Aa_G482040.h1.t1, Aa_G182560.h1.t1	Roisl.0080s0497.1.p
OG0004556	Aa_G148220.h1.t1	Roisl.0091s0328.1.p
OG0004557	Aa_G629700.h1.t1	Roisl.0080s0623.1.p
OG0004558	Aa_G22090.h1.t1	Roisl.0080s0651.1.p
OG0004559	Aa_G235390.h1.t1	Roisl.0091s0770.1.p
OG0004560	Aa_G216650.h1.t1	Roisl.0080s0707.1.p
OG0004561	Aa_G149080.h1.t1	Roisl.0080s0851.1.p
OG0004562	Aa_G439470.h1.t1	Roisl.0080s0866.1.p
OG0004563	Aa_G97800.h1.t1, Aa_G355450.h1.t1, Aa_G102530.h1.t1	Roisl.0046s0869.1.p
OG0004564	Aa_G102550.h1.t1	Roisl.0046s0854.1.p
OG0004565	Aa_G365250.h1.t1, Aa_G564930.h1.t1, Aa_G564940.h1.t1	Roisl.0210s0462.1.p
OG0004566	Aa_G331860.h1.t1	Roisl.0030s0201.1.p
OG0004567	Aa_G73100.h1.t1	Roisl.0030s0172.1.p
OG0004569	Aa_G170090.h1.t1	Roisl.0030s0072.1.p
OG0004570	Aa_G260680.h1.t1	Roisl.0034s0171.1.p
OG0004571	Aa_G24340.h1.t1, Aa_G264540.h1.t1	Roisl.0079s0230.1.p
OG0004572	Aa_G497470.h1.t1, Aa_G161550.h1.t1	Roisl.0115s0062.1.p
OG0004573	Aa_G312100.h1.t1	Roisl.0115s0074.1.p
OG0004574	Aa_G21650.h1.t1	Roisl.0115s0117.1.p, Roisl.0115s0116.1.p
OG0004576	Aa_G236160.h1.t1, Aa_G656420.h1.t1	Roisl.0004s0036.1.p
OG0004578	Aa_G508960.h1.t1	Roisl.0004s0073.1.p
OG0004579	Aa_G526870.h1.t1	Roisl.0004s0111.1.p
OG0004580	Aa_G121580.h1.t1	Roisl.0004s0122.1.p
OG0004581	Aa_G165050.h1.t1	Roisl.0004s0211.1.p, Roisl.0004s0212.1.p
OG0004583	Aa_G533870.h1.t1	Roisl.0004s0342.1.p
OG0004584	Aa_G533880.h1.t1	Roisl.0004s0343.1.p
OG0004585	Aa_G902400.h1.t1, Aa_G902400.h2.t1	Roisl.0191s0404.1.p
OG0004586	Aa_G118280.h1.t1	Roisl.0006s0493.1.p
OG0004587	Aa_G194690.h1.t1	Roisl.0214s0482.1.p
OG0004588	Aa_G501490.h1.t1	Roisl.0006s0397.1.p
OG0004589	Aa_G354180.h1.t1	Roisl.0028s1030.1.p
OG0004590	Aa_G467110.h1.t1	Roisl.0028s0103.1.p
OG0004591	Aa_G145080.h1.t1, Aa_G145050.h1.t1, Aa_G145090.h1.t1	Roisl.0003s0179.1.p, Roisl.0003s0180.1.p
OG0004593	Aa_G695140.h1.t1	Roisl.0031s0052.1.p
OG0004594	Aa_G134310.h1.t1	Roisl.0019s0029.1.p, Roisl.0019s0051.1.p, Roisl.0019s0053.1.p, Roisl.0044s0118.1.p
OG0004595	Aa_G66630.h1.t1	Roisl.0058s0042.1.p
OG0004596	Aa_G677790.h1.t1	Roisl.0082s0085.1.p, Roisl.0075s0178.1.p, Roisl.0075s0139.1.p
OG0004597	Aa_G55000.h1.t1	Roisl.0075s0187.1.p
OG0004599	Aa_G366490.h1.t1	Roisl.0019s0213.1.p
OG0004600	Aa_G419760.h1.t1	Roisl.0091s0083.1.p
OG0004601	Aa_G547190.h1.t1	Roisl.0004s0450.1.p
OG0004602	Aa_G446000.h1.t1	Roisl.0019s0611.1.p
OG0004603	Aa_G44510.h1.t1	Roisl.0003s0266.1.p
OG0004604	Aa_G186640.h1.t1	Roisl.0044s0048.1.p
OG0004605	Aa_G151560.h1.t1	Roisl.0009s0267.1.p, Roisl.0009s0266.1.p
OG0004606	Aa_G124260.h1.t1	Roisl.0012s0034.1.p
OG0004607	Aa_G257380.h1.t1	Roisl.0011s0362.1.p
OG0004608	Aa_G144550.h1.t1	Roisl.0019s0546.1.p
OG0004610	Aa_G290930.h1.t1	Roisl.0005s0316.1.p
OG0004611	Aa_G254130.h1.t1	Roisl.0115s0390.1.p
OG0004612	Aa_G415010.h1.t1	Roisl.0006s0188.1.p
OG0004613	Aa_G370100.h1.t1	Roisl.0006s0207.1.p
OG0004614	Aa_G225000.h1.t1	Roisl.0053s0270.1.p
OG0004615	Aa_G407090.h1.t1	Roisl.0006s0300.1.p
OG0004616	Aa_G669290.h1.t1	Roisl.0006s0270.1.p
OG0004618	Aa_G396660.h1.t1	Roisl.0006s0367.1.p
OG0004619	Aa_G24730.h1.t1	Roisl.0028s0992.1.p
OG0004620	Aa_G507690.h1.t1	Roisl.0091s0440.1.p
OG0004621	Aa_G748360.h1.t1	Roisl.0091s0473.1.p
OG0004622	Aa_G276430.h1.t1	Roisl.0075s0051.1.p
OG0004623	Aa_G155410.h1.t1	Roisl.0091s0487.1.p
OG0004624	Aa_G55810.h1.t1	Roisl.0008s0159.1.p
OG0004625	Aa_G92780.h1.t1	Roisl.0008s0133.1.p, Roisl.0213s0631.1.p
OG0004626	Aa_G543440.h1.t1	Roisl.0012s0007.1.p
OG0004627	Aa_G542130.h1.t1	Roisl.0066s0235.1.p
OG0004628	Aa_G186860.h1.t1	Roisl.0008s0216.1.p
OG0004629	Aa_G556310.h2.t1, Aa_G556310.h1.t1	Roisl.0008s0213.1.p
OG0004630	Aa_G124440.h1.t1	Roisl.0008s0196.1.p
OG0004631	Aa_G503910.h1.t1	Roisl.0008s0186.1.p, Roisl.0017s0218.1.p
OG0004633	Aa_G419800.h1.t1	Roisl.0091s0087.1.p
OG0004636	Aa_G52540.h1.t1	Roisl.0010s0152.1.p, Roisl.0016s0028.1.p
OG0004637	Aa_G163560.h1.t1	Roisl.0018s0438.1.p
OG0004638	Aa_G364390.h1.t1	Roisl.0018s0431.1.p
OG0004639	Aa_G2410.h1.t1	Roisl.0018s0334.1.p
OG0004640	Aa_G33450.h1.t1, Aa_G33470.h1.t1, Aa_G33490.h1.t1, Aa_G14120.h1.t1	Roisl.0115s0408.1.p, Roisl.0018s0299.1.p
OG0004641	Aa_G128050.h1.t1, Aa_G170450.h1.t1	Roisl.0018s0285.1.p
OG0004642	Aa_G282440.h1.t1, Aa_G77360.h1.t1	Roisl.0018s0150.1.p
OG0004643	Aa_G323000.h1.t1	Roisl.0018s0075.1.p
OG0004644	Aa_G362300.h1.t1	Roisl.0022s0127.1.p
OG0004646	Aa_G345800.h1.t1	Roisl.0026s0102.1.p
OG0004647	Aa_G401940.h1.t1	Roisl.0026s0152.1.p
OG0004648	Aa_G461160.h1.t1	Roisl.0026s0156.1.p
OG0004649	Aa_G520470.h1.t1	Roisl.0026s0179.1.p
OG0004650	Aa_G238660.h1.t1	Roisl.0026s0188.1.p
OG0004651	Aa_G562490.h1.t1	Roisl.0026s0218.1.p
OG0004653	Aa_G373110.h1.t1	Roisl.0046s1643.1.p
OG0004654	Aa_G268610.h1.t1	Roisl.0046s1621.1.p
OG0004655	Aa_G213650.h1.t1	Roisl.0046s1553.1.p
OG0004656	Aa_G213570.h1.t1	Roisl.0046s1547.1.p
OG0004657	Aa_G266000.h1.t1	Roisl.0046s1384.1.p
OG0004659	Aa_G54550.h1.t1	Roisl.0052s0015.1.p
OG0004660	Aa_G231640.h1.t1	Roisl.0184s0110.1.p
OG0004661	Aa_G156860.h1.t1	Roisl.0019s0790.1.p
OG0004662	Aa_G169760.h1.t1	Roisl.0019s0707.1.p
OG0004664	Aa_G632950.h1.t1	Roisl.0206s0031.1.p
OG0004665	Aa_G143420.h1.t1	Roisl.0206s0008.1.p
OG0004666	Aa_G677920.h1.t1	Roisl.0028s0578.1.p
OG0004667	Aa_G91720.h1.t1	Roisl.0046s0612.1.p
OG0004668	Aa_G482760.h1.t1	Roisl.0017s0416.1.p
OG0004669	Aa_G224250.h1.t1	Roisl.0017s0395.1.p
OG0004670	Aa_G38320.h1.t1	Roisl.0017s0377.1.p
OG0004671	Aa_G451100.h1.t1	Roisl.0017s0345.1.p
OG0004672	Aa_G357530.h1.t1	Roisl.0017s0321.1.p
OG0004673	Aa_G357520.h1.t1	Roisl.0017s0320.1.p
OG0004674	Aa_G444070.h1.t1	Roisl.0017s0280.1.p
OG0004676	Aa_G150880.h1.t1	Roisl.0017s0154.1.p
OG0004677	Aa_G954650.h1.t1, Aa_G895350.h1.t1	Roisl.0082s0226.1.p, Roisl.0066s0206.1.p
OG0004678	Aa_G410070.h1.t1	Roisl.0209s0230.1.p
OG0004679	Aa_G255980.h1.t1	Roisl.0179s0040.1.p
OG0004680	Aa_G3250.h1.t1, Aa_G3240.h1.t1	Roisl.0184s0152.1.p
OG0004681	Aa_G289310.h1.t1	Roisl.0213s0618.1.p
OG0004682	Aa_G452400.h1.t1	Roisl.0062s0030.1.p
OG0004683	Aa_G40870.h1.t1	Roisl.0046s0323.1.p
OG0004684	Aa_G251220.h1.t1, Aa_G373250.h1.t1	Roisl.0046s0448.1.p
OG0004685	Aa_G422260.h1.t1	Roisl.0214s0439.1.p
OG0004686	Aa_G637760.h1.t1	Roisl.0001s0313.1.p
OG0004687	Aa_G15970.h1.t1	Roisl.0035s0188.1.p
OG0004688	Aa_G175150.h1.t1	Roisl.0028s0076.1.p
OG0004689	Aa_G265100.h1.t1	Roisl.0028s0126.1.p
OG0004690	Aa_G125310.h1.t1	Roisl.0028s0264.1.p
OG0004691	Aa_G476760.h1.t1	Roisl.0005s0082.1.p
OG0004692	Aa_G14800.h1.t1	Roisl.0074s0712.1.p, Roisl.0016s0094.1.p
OG0004693	Aa_G250400.h1.t1	Roisl.0016s0206.1.p
OG0004694	Aa_G47530.h1.t1	Roisl.0016s0289.1.p
OG0004695	Aa_G185510.h1.t1	Roisl.0016s0325.1.p
OG0004698	Aa_G163200.h1.t1, Aa_G276550.h1.t1	Roisl.0039s0144.1.p
OG0004699	Aa_G163090.h1.t1	Roisl.0039s0159.1.p
OG0004700	Aa_G47750.h1.t1	Roisl.0079s0010.1.p
OG0004701	Aa_G49980.h1.t1	Roisl.0079s0036.1.p
OG0004702	Aa_G78890.h1.t1	Roisl.0079s0091.1.p
OG0004703	Aa_G174410.h1.t1	Roisl.0079s0153.1.p
OG0004704	Aa_G174270.h1.t1	Roisl.0079s0167.1.p
OG0004705	Aa_G24360.h1.t1	Roisl.0079s0227.1.p
OG0004706	Aa_G403650.h1.t1	Roisl.0079s0294.1.p
OG0004707	Aa_G5600.h1.t1	Roisl.0074s0820.1.p
OG0004708	Aa_G40570.h1.t1	Roisl.0074s0776.1.p
OG0004709	Aa_G40180.h1.t1	Roisl.0074s0741.1.p
OG0004710	Aa_G40130.h1.t1	Roisl.0074s0736.1.p
OG0004711	Aa_G39930.h1.t1	Roisl.0074s0714.1.p
OG0004712	Aa_G176140.h1.t1	Roisl.0074s0642.1.p
OG0004713	Aa_G237730.h1.t1	Roisl.0074s0581.1.p
OG0004714	Aa_G237690.h1.t1	Roisl.0074s0577.1.p, Roisl.0006s0497.1.p
OG0004715	Aa_G103510.h1.t1, Aa_G168800.h1.t1	Roisl.0206s0005.1.p
OG0004716	Aa_G234990.h1.t1	Roisl.0074s0419.1.p
OG0004717	Aa_G396650.h1.t1	Roisl.0006s0362.1.p
OG0004718	Aa_G223550.h1.t1	Roisl.0074s0312.1.p
OG0004719	Aa_G367530.h1.t1, Aa_G367520.h1.t1	Roisl.0074s0291.1.p
OG0004720	Aa_G150560.h1.t1, Aa_G246830.h1.t1	Roisl.0115s0273.1.p
OG0004721	Aa_G390030.h1.t1	Roisl.0074s0083.1.p
OG0004722	Aa_G104680.h1.t1	Roisl.0074s0072.1.p
OG0004723	Aa_G136610.h1.t1	Roisl.0115s0427.1.p
OG0004724	Aa_G161930.h1.t1	Roisl.0115s0441.1.p
OG0004725	Aa_G162000.h1.t1	Roisl.0115s0451.1.p
OG0004726	Aa_G635090.h1.t1	Roisl.0115s0464.1.p
OG0004727	Aa_G635100.h1.t1	Roisl.0115s0465.1.p
OG0004728	Aa_G417830.h1.t1	Roisl.0046s0011.1.p
OG0004729	Aa_G312960.h2.t1, Aa_G312960.h1.t1, Aa_G312960.h3.t1	Roisl.0053s0375.1.p
OG0004730	Aa_G95440.h1.t1	Roisl.0115s0614.1.p, Roisl.0115s0612.1.p
OG0004731	Aa_G91330.h1.t1	Roisl.0115s0607.1.p
OG0004732	Aa_G624330.h1.t1	Roisl.0003s0030.1.p
OG0004733	Aa_G545370.h1.t1	Roisl.0210s1569.1.p
OG0004734	Aa_G280250.h1.t1	Roisl.0210s1565.1.p
OG0004735	Aa_G276240.h1.t1	Roisl.0210s1548.1.p
OG0004736	Aa_G87950.h1.t1	Roisl.0046s1157.1.p
OG0004737	Aa_G695970.h1.t1	Roisl.0046s1153.1.p
OG0004738	Aa_G261120.h1.t1	Roisl.0189s0178.1.p
OG0004739	Aa_G106200.h1.t1	Roisl.0210s0016.1.p
OG0004740	Aa_G67970.h1.t1	Roisl.0191s0542.1.p
OG0004741	Aa_G6900.h1.t1	Roisl.0210s0226.1.p
OG0004742	Aa_G248590.h1.t1	Roisl.0005s0029.1.p
OG0004743	Aa_G219990.h1.t1	Roisl.0091s0835.1.p
OG0004744	Aa_G140100.h1.t1	Roisl.0091s0872.1.p
OG0004745	Aa_G22500.h1.t1, Aa_G520160.h1.t1	Roisl.0091s0937.1.p
OG0004746	Aa_G441420.h1.t1	Roisl.0091s0977.1.p
OG0004747	Aa_G751640.h1.t1, Aa_G670000.h1.t1, Aa_G670010.h1.t1	Roisl.0091s1079.1.p
OG0004748	Aa_G286090.h1.t1	Roisl.0091s1080.1.p
OG0004749	Aa_G286050.h1.t1	Roisl.0091s1086.1.p
OG0004750	Aa_G442680.h1.t1	Roisl.0091s1138.1.p
OG0004751	Aa_G19270.h1.t1	Roisl.0091s1184.1.p
OG0004752	Aa_G19240.h1.t1	Roisl.0091s1189.1.p
OG0004753	Aa_G774820.h1.t1, Aa_G438930.h1.t1, Aa_G438900.h1.t1	Roisl.0021s0041.1.p
OG0004754	Aa_G698280.h1.t1	Roisl.0091s1220.1.p
OG0004755	Aa_G160950.h1.t1	Roisl.0021s0007.1.p
OG0004756	Aa_G440220.h1.t1	Roisl.0021s0046.1.p
OG0004757	Aa_G166180.h1.t1, Aa_G67520.h1.t1	Roisl.0007s0384.1.p
OG0004758	Aa_G171350.h1.t1	Roisl.0021s0054.1.p
OG0004759	Aa_G171360.h1.t1	Roisl.0191s0240.1.p, Roisl.0021s0056.1.p
OG0004761	Aa_G535900.h1.t1	Roisl.0021s0130.1.p
OG0004762	Aa_G9850.h1.t1	Roisl.0191s0260.1.p
OG0004763	Aa_G261890.h1.t1	Roisl.0021s0309.1.p
OG0004764	Aa_G10660.h1.t1	Roisl.0021s0345.1.p
OG0004765	Aa_G97500.h1.t1	Roisl.0032s0036.1.p
OG0004767	Aa_G563230.h1.t1	Roisl.0021s0437.1.p
OG0004768	Aa_G437560.h1.t1, Aa_G118650.h1.t1	Roisl.0021s0479.1.p
OG0004769	Aa_G121320.h1.t1	Roisl.0007s0598.1.p
OG0004770	Aa_G163820.h1.t1	Roisl.0007s0586.1.p
OG0004772	Aa_G103780.h1.t1	Roisl.0007s0464.1.p
OG0004773	Aa_G528260.h1.t1	Roisl.0007s0373.1.p
OG0004774	Aa_G454450.h1.t1	Roisl.0007s0358.1.p
OG0004775	Aa_G301650.h1.t1, Aa_G301660.h1.t1, Aa_G301680.h1.t1	Roisl.0209s0120.1.p, Roisl.0091s0003.1.p
OG0004776	Aa_G132470.h1.t1	Roisl.0007s0283.1.p
OG0004777	Aa_G119070.h1.t1	Roisl.0007s0271.1.p
OG0004779	Aa_G121520.h2.t1, Aa_G121520.h1.t1	Roisl.0004s0127.1.p
OG0004780	Aa_G344040.h1.t1	Roisl.0019s0325.1.p
OG0004781	Aa_G319440.h1.t1	Roisl.0019s0360.1.p
OG0004782	Aa_G163360.h1.t1	Roisl.0019s0450.1.p
OG0004783	Aa_G163400.h1.t1	Roisl.0019s0454.1.p, Roisl.0030s0032.1.p
OG0004784	Aa_G98870.h1.t1, Aa_G98880.h1.t1	Roisl.0004s0490.1.p
OG0004785	Aa_G229610.h1.t1	Roisl.0214s0852.1.p
OG0004786	Aa_G110590.h1.t1, Aa_G110580.h1.t1	Roisl.0013s0088.1.p
OG0004787	Aa_G110570.h1.t1	Roisl.0013s0087.1.p
OG0004788	Aa_G407250.h1.t1	Roisl.0046s0600.1.p
OG0004788	Aa_G486230.h1.t1	Roisl.0001s0462.1.p
OG0004789	Aa_G493140.h1.t1	Roisl.0001s0287.1.p
OG0004790	Aa_G179550.h1.t1	Roisl.0001s0266.1.p, Roisl.0066s0093.1.p
OG0004792	Aa_G426430.h1.t1	Roisl.0001s0173.1.p
OG0004793	Aa_G144750.h1.t1	Roisl.0001s0036.1.p
OG0004794	Aa_G960710.h1.t1, Aa_G960710.h2.t1	Roisl.0003s0320.1.p, Roisl.0003s0321.1.p
OG0004795	Aa_G58540.h1.t1	Roisl.0003s0335.1.p
OG0004796	Aa_G432620.h1.t1	Roisl.0003s0352.1.p
OG0004797	Aa_G214740.h1.t1	Roisl.0040s0008.1.p, Roisl.0008s0313.1.p
OG0004798	Aa_G74800.h1.t1	Roisl.0003s0195.1.p
OG0004799	Aa_G358510.h1.t1	Roisl.0053s0279.1.p
OG0004800	Aa_G199070.h1.t1	Roisl.0053s0271.1.p
OG0004801	Aa_G199290.h1.t1	Roisl.0019s0255.1.p
OG0004803	Aa_G252200.h1.t1	Roisl.0019s0287.1.p
OG0004804	Aa_G259610.h1.t1, Aa_G697930.h1.t1	Roisl.0019s0312.1.p
OG0004805	Aa_G62300.h1.t1	Roisl.0191s0192.1.p
OG0004806	Aa_G185000.h1.t1	Roisl.0009s0017.1.p
OG0004807	Aa_G617610.h1.t1	Roisl.0191s0356.1.p
OG0004808	Aa_G160670.h1.t1	Roisl.0008s0232.1.p
OG0004809	Aa_G350730.h1.t1	Roisl.0022s0466.1.p
OG0004810	Aa_G445250.h1.t1	Roisl.0022s0500.1.p
OG0004812	Aa_G22750.h1.t1	Roisl.0091s0918.1.p
OG0004818	Aa_G402990.h1.t1, Aa_G174200.h1.t1	Roisl.0079s0174.1.p
OG0004819	Aa_G186450.h1.t1	Roisl.0011s0111.1.p
OG0004820	Aa_G234280.h1.t1	Roisl.0188s0093.1.p
OG0004826	Aa_G43090.h1.t1	Roisl.0022s0266.1.p
OG0004828	Aa_G49300.h1.t1	Roisl.0082s0089.1.p, Roisl.0002s0004.1.p
OG0004829	Aa_G573920.h1.t1	Roisl.0002s0154.1.p
OG0004830	Aa_G338560.h1.t1, Aa_G338560.h2.t1	Roisl.0031s0048.1.p
OG0004847	Aa_G88880.h1.t1	Roisl.0209s0401.1.p
OG0004848	Aa_G41600.h1.t1	Roisl.0209s0438.1.p
OG0004849	Aa_G531300.h1.t1, Aa_G52290.h1.t1	Roisl.0052s0004.1.p
OG0004850	Aa_G509940.h1.t1	Roisl.0011s0050.1.p
OG0004851	Aa_G323240.h1.t1	Roisl.0011s0134.1.p
OG0004852	Aa_G106500.h1.t1	Roisl.0210s1480.1.p
OG0004853	Aa_G106550.h1.t1	Roisl.0210s1477.1.p
OG0004854	Aa_G255820.h1.t1	Roisl.0210s1451.1.p
OG0004855	Aa_G523390.h1.t1	Roisl.0210s1427.1.p
OG0004856	Aa_G334650.h1.t1	Roisl.0210s1420.1.p
OG0004857	Aa_G158080.h1.t1	Roisl.0210s1353.1.p
OG0004859	Aa_G96790.h1.t1	Roisl.0210s1328.1.p
OG0004860	Aa_G209610.h1.t1	Roisl.0210s1074.1.p
OG0004861	Aa_G431390.h1.t1	Roisl.0210s1255.1.p
OG0004862	Aa_G240280.h1.t1	Roisl.0210s1218.1.p
OG0004863	Aa_G304360.h1.t1	Roisl.0210s1211.1.p
OG0004866	Aa_G249380.h1.t1, Aa_G524180.h1.t1	Roisl.0210s1169.1.p
OG0004867	Aa_G258140.h1.t1	Roisl.0210s1143.1.p
OG0004868	Aa_G72870.h1.t1	Roisl.0210s1114.1.p
OG0004869	Aa_G354740.h1.t1	Roisl.0210s1099.1.p
OG0004870	Aa_G290010.h1.t1	Roisl.0210s1089.1.p
OG0004871	Aa_G382470.h1.t1	Roisl.0036s0061.1.p
