Orthogroup	Capsella_rubella	Aethionema_saxatile
OG0001652	XP_006297548.2	As002G034080
OG0001652	XP_006289577.1	As005G107010
OG0001653	XP_023641152.1	As002G034830
OG0001653	XP_006286389.2	As004G080660
OG0001654	XP_006287591.1	As005G108360
OG0001654	XP_023642237.1, XP_006297503.1	As002G034960
OG0001655	XP_006287509.1	As009G213200
OG0001655	XP_006297404.2	As002G036620
OG0001656	XP_006298580.1	As002G039040
OG0001657	XP_006283830.1	As006G132670
OG0001657	XP_006280607.1	As002G046680
OG0001658	XP_006280442.1, XP_023635146.1	As002G047020
OG0001659	XP_006289803.1, XP_006286828.1	As002G055320
OG0001660	XP_006285192.1	As003G058550
OG0001660	XP_006280400.1	As004G086970
OG0001661	XP_006288038.1	As004G084980
OG0001661	XP_006284090.1	As003G060770
OG0001662	XP_006284133.1	As003G060900
OG0001662	XP_006290008.2	As004G084850
OG0001663	XP_006288926.1	As003G062880, As004G083340
OG0001663	XP_006305741.2	As007G158950
OG0001664	XP_006296411.1	As012G275120
OG0001664	XP_023646025.1	As003G070920
OG0001665	XP_006307098.1, XP_023640808.1, XP_023640165.1	As012G274990
OG0001666	XP_023634733.1	As003G072130
OG0001666	XP_006298413.1	As011G264730
OG0001667	XP_006295331.1	As007G179670
OG0001667	XP_006285964.2	As003G073520
OG0001668	XP_006283849.1	As003G073870
OG0001668	XP_006295487.1	As007G179790
OG0001669	XP_006295067.1	As007G180470
OG0001669	XP_006284584.2	As003G074980
OG0001670	XP_006294544.1	As007G181810
OG0001671	XP_023633172.1, XP_006306657.1, XP_023640371.1, XP_023633171.1, XP_006286977.1	As004G080500
OG0001672	XP_006305558.1	As009G214760
OG0001673	XP_023634838.1	As004G092150, As011G259110
OG0001674	XP_006283660.1, XP_006283605.1	As004G095240
OG0001675	XP_006295081.1	As005G100000
OG0001676	XP_023642488.1	As005G102620
OG0001677	XP_006290307.1	As012G285380
OG0001677	XP_006294325.1	As005G104070
OG0001678	XP_023637931.1	As012G285040
OG0001678	XP_006295872.1	As005G104530
OG0001679	XP_023636817.1, XP_006292641.1	As012G284790
OG0001679	XP_006293841.1	As005G104840
OG0001681	XP_006280785.1	As005G120190
OG0001681	XP_006291313.2	As010G220710
OG0001682	XP_006290096.1	As006G123800
OG0001682	XP_006305009.1	As008G197100
OG0001683	XP_006306368.1	As008G196540
OG0001683	XP_006281990.1	As006G124600
OG0001684	XP_006280788.1	As006G125200
OG0001684	XP_023645479.1	As008G196190
OG0001685	XP_006303777.1	As008G196160
OG0001685	XP_023638596.1	As006G125210
OG0001686	XP_006294009.1	As006G125380
OG0001686	XP_006307243.1	As008G196070
OG0001687	XP_006294172.1	As006G125460
OG0001688	XP_006303456.2	As008G193980
OG0001688	XP_006294854.1	As006G127480
OG0001689	XP_006303580.1	As006G127840
OG0001689	XP_006296023.1	As008G193490
OG0001690	XP_006294509.1	As006G128090
OG0001690	XP_006305147.1	As008G193250
OG0001691	XP_006303356.1	As008G193060
OG0001691	XP_006295008.1	As006G128380
OG0001692	XP_006295277.1, XP_006305795.1	As006G128520
OG0001693	XP_006307675.1	As008G192240
OG0001694	XP_006286350.1	As009G202860
OG0001694	XP_006296860.1	As006G136060
OG0001695	XP_006305180.1	As008G190150
OG0001695	XP_006298023.1	As006G137700
OG0001696	XP_006290092.2, XP_006287421.2, XP_023642433.1	As009G206860, As006G138230
OG0001697	XP_023641501.1	As006G140340
OG0001697	XP_023642529.1	As009G207580
OG0001698	XP_006295906.1	As006G143090
OG0001698	XP_023638094.1	As012G282250
OG0001699	XP_006292273.1	As012G277290
OG0001699	XP_023639901.1	As006G146140
OG0001700	XP_023643156.1	As010G242590
OG0001700	XP_023645760.1	As007G152930
OG0001701	XP_006303918.1	As007G156550
OG0001701	XP_006301553.1	As010G237360
OG0001702	XP_006302726.1	As010G236450
OG0001702	XP_006305527.2	As007G157320
OG0001703	XP_006303331.1	As007G157920
OG0001703	XP_006302670.1	As010G235780
OG0001704	XP_006306722.1	As007G158980
OG0001704	XP_006300351.1	As010G234260
OG0001705	XP_006306219.1, XP_006301230.1	As007G159350
OG0001706	XP_023645055.1, XP_006303492.1	As010G227390
OG0001707	XP_006283325.1, XP_006297101.1, XP_023645172.1	As008G182520
OG0001708	XP_006289501.1, XP_006298830.2	As009G205470
OG0001709	XP_006280776.1	As009G219330
OG0001709	XP_006291481.1	As010G223090
OG0001711	XP_006299574.1	As011G248830
OG0001711	XP_006285957.1	As012G274730
OG0001712	XP_006305579.2	As012G272750
OG0001712	XP_006298564.1	As011G251230
OG0001713	XP_006307361.1	As012G272600
OG0001713	XP_006297544.1	As011G251610
OG0001714	XP_006297547.1, XP_006307368.1	As011G252860
OG0001715	XP_006297170.1, XP_006299531.1	As011G256690
OG0001730	XP_023634021.1, XP_006284867.1	As001G000160
OG0001731	XP_006303912.1	As001G002090
OG0001731	XP_006283080.1	As001G002080
OG0001732	XP_006284662.1, XP_006298682.1	As001G002180
OG0001733	XP_006286176.1	As001G002610
OG0001733	XP_006293366.1	As007G178980
OG0001734	XP_023634709.1	As001G003070
OG0001734	XP_023640636.1	As001G003060
OG0001735	XP_006284046.1	As001G012490
OG0001736	XP_006283971.1	As001G015660
OG0001736	XP_006299544.1, XP_006299401.1	As011G264330
OG0001737	XP_006295438.1	As004G078750
OG0001737	XP_006306094.1	As001G015720
OG0001738	XP_006296123.2	As001G016990, As004G079600
OG0001739	XP_006302321.1	As001G019330
OG0001739	XP_006307657.1	As008G188120
OG0001740	XP_023644018.1	As001G019770
OG0001740	XP_006306176.1	As008G187740
OG0001741	XP_023644701.1, XP_023642866.1	As001G020250
OG0001742	XP_023644202.1	As001G020840
OG0001742	XP_006299071.1	As011G257950, As011G257920, As011G257860
OG0001743	XP_006305476.1	As001G021590
OG0001743	XP_006302611.1	As008G186310
OG0001744	XP_006282744.1, XP_006291933.1	As001G025880
OG0001745	XP_006291663.1	As001G026390
OG0001745	XP_006284302.1	As004G097440
OG0001746	XP_006292070.1	As004G096870, As001G027100, As001G027120
OG0001747	XP_006292974.1	As001G027980, As001G027730, As008G195410
OG0001748	XP_006291554.1	As004G077690
OG0001748	XP_006300548.1	As001G028450
OG0001749	XP_023643653.1	As001G030640
OG0001749	XP_006282431.1	As004G098210
OG0001750	XP_006302676.2, XP_006302401.1	As001G031300
OG0001751	XP_006300109.1	As002G037600
OG0001751	XP_006288674.1	As009G212190
OG0001752	XP_023638904.1	As002G038710
OG0001753	XP_023642254.1	As002G038810
OG0001753	XP_006288172.1	As009G211390
OG0001754	XP_006282261.1, XP_006283129.1, XP_023634042.1	As002G042850
OG0001755	XP_006284181.1, XP_006280857.1	As007G165920, As002G044370
OG0001756	XP_006280943.1, XP_023634164.1	As002G045020
OG0001757	XP_006283574.1	As006G134330
OG0001758	XP_006287466.1, XP_006289217.1	As002G050810
OG0001759	XP_023637517.1, XP_006281754.1	As002G054860
OG0001760	XP_006284364.1	As003G055950
OG0001760	XP_006280965.1	As004G089920
OG0001762	XP_023634086.1	As003G057400
OG0001762	XP_006280692.1	As004G088150
OG0001763	XP_023633869.1	As003G058120
OG0001764	XP_006288602.1	As004G085570
OG0001764	XP_006282894.2	As003G060240
OG0001765	XP_006286574.1, XP_006289266.1	As003G061750
OG0001766	XP_006289036.1	As004G083700
OG0001767	XP_006302494.1	As010G234740
OG0001768	XP_006295034.1, XP_023644888.1	As004G081770, As003G068330
OG0001769	XP_006299191.1	As011G264820
OG0001769	XP_006284948.1	As003G072320
OG0001770	XP_006281275.1	As003G073930
OG0001770	XP_006291932.2	As010G221370
OG0001771	XP_006295418.1	As007G179930
OG0001771	XP_006282579.1	As003G074120
OG0001772	XP_023633975.1	As003G076250
OG0001773	XP_006280376.1, XP_006293347.2	As004G081020
OG0001774	XP_006282039.2	As004G082040
OG0001775	XP_023633998.1, XP_006287678.1	As004G085690
OG0001776	XP_023635558.1, XP_006282220.2, XP_023637102.1	As004G087730
OG0001777	XP_006287033.2, XP_006283152.1	As004G097230
OG0001778	XP_006294240.1, XP_006291142.1	As005G099210
OG0001779	XP_006292630.1	As012G288510
OG0001779	XP_023641039.1	As005G099320
OG0001780	XP_006294970.1	As005G102040
OG0001780	XP_006291787.1	As012G286670
OG0001781	XP_006293076.1	As012G286010
OG0001781	XP_023639862.1	As005G102880
OG0001782	XP_006294098.1	As005G104290
OG0001784	XP_006281433.1	As005G119200
OG0001784	XP_006291765.1	As010G221340
OG0001785	XP_006287569.1	As006G121560
OG0001785	XP_006307308.1	As008G198980
OG0001786	XP_006303927.1	As008G198930
OG0001786	XP_023636465.1	As006G122000
OG0001787	XP_006288569.1	As006G122800
OG0001787	XP_006304164.1	As008G197950
OG0001788	XP_006289329.1, XP_006305682.1	As006G123000
OG0001789	XP_006288647.1	As006G123310
OG0001790	XP_006294347.1	As006G127300
OG0001791	XP_006293369.1	As006G127700
OG0001792	XP_006296469.1	As006G128330
OG0001792	XP_006306138.1	As008G193120
OG0001793	XP_006307292.1	As008G193020
OG0001793	XP_006294046.1	As006G128540
OG0001794	XP_006304049.2	As008G192750
OG0001794	XP_006294781.2	As006G128910
OG0001795	XP_006297400.1, XP_006279213.2, XP_023637071.1	As006G135530, As009G201960
OG0001796	XP_006298811.1	As006G136170
OG0001796	XP_006286604.1	As009G203040
OG0001797	XP_006287967.1	As009G203550
OG0001797	XP_006299622.1	As006G136600
OG0001798	XP_006290071.1	As009G205220
OG0001799	XP_006290161.1	As009G206190
OG0001799	XP_023642229.1	As006G139460
OG0001800	XP_023642731.1	As006G140000
OG0001800	XP_023637379.1	As009G204500
OG0001801	XP_006280540.1	As009G208280
OG0001801	XP_006297767.1	As006G140650
OG0001802	XP_006301445.1, XP_006301323.1, XP_006301665.1	As006G142180
OG0001803	XP_006295031.1	As006G145030
OG0001803	XP_006291949.1	As012G276500
OG0001804	XP_006300906.1	As010G243090
OG0001804	XP_006305808.1	As007G152670
OG0001805	XP_006302937.1	As010G242220
OG0001805	XP_006303354.2	As007G153250
OG0001806	XP_006300438.1	As010G241430
OG0001806	XP_006307188.1	As007G153740
OG0001807	XP_006295494.2, XP_023633026.1	As007G155820
OG0001808	XP_006300921.1	As010G237420
OG0001808	XP_006306122.1	As007G156490
OG0001809	XP_006302365.1	As010G233120
OG0001809	XP_006304530.1	As007G160050
OG0001810	XP_006304248.1	As007G160680
OG0001811	XP_006301709.2, XP_006306551.1	As007G161490
OG0001812	XP_006301058.1	As010G229440
OG0001812	XP_006306974.1	As007G161600
OG0001814	XP_006295299.1	As007G180770
OG0001815	XP_006288026.1	As009G204510
OG0001816	XP_006287284.1	As009G206600
OG0001817	XP_006287961.1, XP_006300190.2	As009G213110
OG0001818	XP_006290782.1	As010G221840
OG0001818	XP_006286479.1	As009G216230
OG0001819	XP_006280513.1, XP_006291031.1	As010G220640
OG0001820	XP_006290987.1	As010G222410
OG0001821	XP_006307544.1	As012G270690
OG0001821	XP_006297687.1	As011G248150
OG0001822	XP_006300159.1	As011G253570
OG0001823	XP_023642162.1, XP_006299006.2, XP_006299702.2	As011G267030
OG0001824	XP_006294028.2, XP_023639299.1	As012G277520
OG0001825	XP_006291993.1	As012G282110
OG0001826	XP_023638756.1	As012G283200
OG0001827	XP_006292870.1	As012G283480, As012G283450
OG0001828	XP_006296120.1, XP_006293166.1	As012G286120
OG0001844	XP_006283831.1	As001G001080
OG0001844	XP_006299675.1	As011G266470
OG0001846	XP_006297944.1	As011G264180
OG0001846	XP_006283968.1	As001G015540
OG0001847	XP_006284156.1, XP_006286180.1	As001G017560
OG0001847	XP_006285541.1	As001G017570
OG0001848	XP_006301719.1	As001G020410
OG0001848	XP_023645239.1	As008G187140
OG0001849	XP_006301473.1, XP_006301918.2	As001G021660
OG0001850	XP_006291900.1, XP_023638407.1	As001G025970
OG0001850	XP_006284573.1	As005G112810
OG0001851	XP_006282691.1, XP_006291631.1	As001G026330, As004G097510
OG0001852	XP_023634628.1	As004G078430
OG0001852	XP_006291582.1	As001G027590
OG0001854	XP_006301446.1	As001G029220, As001G029200, As001G029210, As012G276250
OG0001855	XP_006300555.1, XP_006285929.1	As001G029430
OG0001856	XP_023644376.1	As001G032090
OG0001856	XP_006304470.1	As008G185290
OG0001857	XP_006286042.1	As002G032760
OG0001857	XP_006282246.1	As002G048690
OG0001858	XP_023636726.1	As005G109210
OG0001858	XP_006298186.1	As002G035530
OG0001859	XP_006297536.1	As002G035950
OG0001859	XP_006287589.1	As009G214550
OG0001860	XP_006288553.1	As009G213100
OG0001861	XP_006298193.1	As002G037140
OG0001861	XP_006288294.1	As009G212960
OG0001862	XP_006287513.1	As009G211910
OG0001862	XP_006297466.1	As002G046460, As002G037820
OG0001863	XP_006283388.1	As007G164570
OG0001863	XP_023640477.1	As002G043410
OG0001864	XP_006281120.1, XP_006284522.2	As002G046260
OG0001865	XP_006280058.1	As002G046430
OG0001865	XP_006285461.1	As006G132520
OG0001866	XP_006280251.2	As002G046650
OG0001866	XP_006283454.2	As006G132650
OG0001867	XP_006281485.1, XP_006283565.1	As002G049160
OG0001868	XP_006286382.1, XP_006286556.2	As002G051160, As005G109830
OG0001869	XP_023643733.1	As005G118670
OG0001869	XP_006287181.1	As002G052660
OG0001870	XP_006281320.1	As002G052840
OG0001870	XP_023636717.1	As005G118470
OG0001871	XP_006282330.1	As005G118300
OG0001871	XP_006288962.1	As002G053270
OG0001872	XP_006286499.1	As002G053430
OG0001873	XP_006299907.1, XP_006288306.1, XP_006286571.1	As004G079370, As010G237170, As002G053740
OG0001874	XP_006290155.1	As002G054100
OG0001875	XP_006288817.1	As002G054680
OG0001875	XP_023635732.1	As009G217400
OG0001876	XP_006280119.2, XP_006287282.1	As002G054840
OG0001877	XP_006289810.1	As002G055330
OG0001878	XP_006284491.1	As003G055820
OG0001878	XP_023633064.1	As004G091220
OG0001879	XP_006283693.1	As004G089290, As003G056220
OG0001879	XP_006282167.1	As003G056320, As012G271310
OG0001880	XP_023635665.1, XP_023635668.1	As003G056580, As003G056590
OG0001881	XP_023633820.1, XP_023644262.1, XP_023633821.1, XP_006292541.1	As010G228130, As003G064030, As003G058940
OG0001882	XP_006288655.1	As004G086070
OG0001882	XP_023635225.1	As003G059590
OG0001883	XP_006288545.1	As004G085890
OG0001883	XP_006284435.1	As003G059860
OG0001884	XP_023645183.1	As007G151870
OG0001884	XP_023642853.1	As003G060870
OG0001885	XP_006306983.1	As003G062560
OG0001885	XP_006286418.1	As004G083710
OG0001886	XP_006304719.1	As003G063880
OG0001886	XP_006287300.2	As004G080230
OG0001887	XP_006287379.1, XP_023638637.1	As003G064240
OG0001888	XP_006295511.1	As003G069790, As004G081190
OG0001889	XP_006297195.1	As011G265390
OG0001889	XP_023634767.1	As003G072760, As003G072740
OG0001890	XP_006285086.1	As003G074350
OG0001891	XP_006282856.2, XP_006303653.1	As004G079520
OG0001892	XP_006280020.1, XP_023633095.1	As004G082000
OG0001893	XP_023636965.1	As004G083780, As004G083830
OG0001894	XP_006295052.1, XP_023636505.1	As006G143010, As004G085550
OG0001895	XP_023641049.1, XP_006280829.1	As004G091210
OG0001896	XP_023634585.1	As004G093180
OG0001896	XP_023641724.1	As006G141160
OG0001897	XP_006298696.2	As011G255780
OG0001897	XP_006284571.2	As004G094870
OG0001898	XP_006300270.2	As011G254720
OG0001898	XP_023635256.1	As004G095870
OG0001899	XP_006284407.1	As004G096220
OG0001899	XP_006298398.1	As011G254110
OG0001900	XP_006283231.1	As004G098200
OG0001901	XP_006293559.1	As005G099020
OG0001901	XP_006292696.1	As012G288710
OG0001902	XP_023638997.1	As012G288050
OG0001902	XP_006294290.1	As005G100030
OG0001903	XP_006290271.1	As012G286750
OG0001903	XP_006295629.1	As005G101970
OG0001904	XP_006295342.1	As005G102050
OG0001905	XP_023638841.1	As012G285960
OG0001905	XP_006294247.1	As005G103020
OG0001906	XP_023638736.1	As012G285370
OG0001906	XP_023640633.1	As005G104090
OG0001907	XP_006290391.1	As010G222720
OG0001907	XP_023643539.1	As005G116190
OG0001909	XP_006303137.2	As008G198070
OG0001910	XP_006286575.1	As006G124200
OG0001910	XP_006305692.1	As008G196870
OG0001911	XP_006282000.1	As006G125080
OG0001911	XP_006305893.1	As008G196240
OG0001912	XP_006293867.1	As006G126470
OG0001912	XP_023633266.1	As008G194820
OG0001913	XP_023645715.1	As008G194510
OG0001913	XP_023640042.1	As006G127010
OG0001915	XP_023640475.1	As006G127440
OG0001915	XP_006307566.2	As008G194000
OG0001916	XP_006294810.1	As006G128760
OG0001917	XP_006296346.2	As006G129560
OG0001918	XP_006291236.1, XP_023640292.1	As006G131460, As006G131480
OG0001919	XP_006289256.1	As009G200030
OG0001920	XP_006286577.1, XP_006298548.2	As006G135730
OG0001921	XP_006288374.1	As009G202390
OG0001921	XP_006299282.2	As006G135780
OG0001922	XP_023642112.1	As006G139010
OG0001922	XP_006286743.1	As009G205870
OG0001923	XP_023640109.1	As006G143780
OG0001923	XP_023638526.1	As012G281320
OG0001924	XP_006290499.1, XP_006293441.1	As006G145930
OG0001925	XP_006295789.1	As006G147060
OG0001925	XP_006292134.1	As012G278170
OG0001926	XP_006294150.1	As006G147410
OG0001926	XP_023638829.1	As012G278430
OG0001927	XP_023642969.1	As010G243720
OG0001927	XP_006306837.1	As007G152220
OG0001928	XP_006302546.1	As010G241680
OG0001928	XP_023645140.1	As007G153570
OG0001929	XP_006302831.1	As007G154160, As010G240740
OG0001930	XP_006307492.1	As007G155140
OG0001930	XP_023642963.1	As010G239150
OG0001931	XP_006302109.1	As010G238790
OG0001931	XP_006307186.1	As007G155320
OG0001932	XP_006305906.1	As007G155730
OG0001932	XP_006301214.2, XP_006300418.1, XP_006300502.1	As010G238480
OG0001933	XP_006303434.2	As007G157160
OG0001934	XP_006304513.1	As007G158150
OG0001934	XP_006301018.1	As010G235460
OG0001935	XP_006305759.1	As007G159310
OG0001936	XP_006283271.1	As007G160030
OG0001937	XP_006305472.2	As007G160520
OG0001937	XP_006302737.1	As010G232650
OG0001939	XP_006293690.1	As007G180980
OG0001940	XP_006287565.2	As009G200550
OG0001941	XP_006289574.1	As009G204950, As009G204960
OG0001942	XP_023633777.1	As009G211540
OG0001942	XP_006282909.1, XP_006286348.2, XP_006300161.1	As012G269080, As012G281590, As012G269060
OG0001944	XP_006299389.1, XP_006289833.2	As009G212500
OG0001945	XP_023638018.1	As010G221720
OG0001946	XP_006291566.1	As010G222400
OG0001947	XP_006292286.1, XP_023638896.1	As010G225810
OG0001948	XP_006292804.1	As010G226330
OG0001949	XP_006281920.1	As010G227300
OG0001950	XP_006299984.1	As011G245930
OG0001950	XP_023645888.1	As012G269040
OG0001951	XP_006298046.1, XP_006305251.1	As011G247100
OG0001952	XP_006285658.2	As012G274580
OG0001952	XP_006298197.1, XP_006302739.1	As011G248940
OG0001953	XP_006297641.1	As011G251400
OG0001953	XP_006307323.1	As012G272660
OG0001954	XP_006298010.2	As011G253050
OG0001955	XP_006307333.1, XP_023642324.1	As011G253690
OG0001957	XP_006293359.1	As012G275050
OG0001958	XP_006299028.1, XP_006298709.1, XP_023642278.1, XP_006298712.1	As012G285290
OG0001959	XP_006290706.1	As012G285720
OG0001971	XP_006284503.1	As001G001000
OG0001971	XP_006298305.2	As011G266510
OG0001972	XP_023634503.1	As001G002350
OG0001972	XP_006297532.1	As011G265560
OG0001973	XP_023634910.1	As001G003210
OG0001973	XP_006294501.1	As007G178320
OG0001974	XP_023640985.1	As007G178030
OG0001974	XP_023635167.1	As001G003630
OG0001975	XP_006297027.1	As011G262160
OG0001976	XP_006284811.1	As001G014460
OG0001976	XP_006299025.1	As011G263480
OG0001977	XP_006294010.1	As004G083090
OG0001977	XP_006282902.1	As001G017810
OG0001978	XP_006305987.1	As008G186230
OG0001979	XP_023637917.1	As001G023520
OG0001979	XP_006305549.1	As008G182890
OG0001980	XP_023638450.1	As001G023690
OG0001980	XP_006304598.1	As008G183040
OG0001981	XP_006305519.1	As008G184280
OG0001981	XP_006291670.1	As001G025280
OG0001982	XP_006292498.1	As001G025560
OG0001982	XP_006303346.1	As008G184440
OG0001983	XP_006291007.1	As001G026070
OG0001983	XP_023634440.1	As005G112750
OG0001984	XP_006290916.1	As001G026200
OG0001984	XP_006282586.1	As004G097590
OG0001985	XP_006304921.1	As003G060640, As001G031850
OG0001986	XP_006291246.1	As012G283190
OG0001986	XP_023640999.1	As002G033250
OG0001987	XP_006287130.2	As005G109150
OG0001987	XP_006297063.1	As002G035510
OG0001988	XP_006298178.1	As002G037170, As012G276490
OG0001989	XP_006297179.1, XP_006287223.1	As002G037240, As002G037260
OG0001990	XP_023643854.1	As002G046030
OG0001990	XP_023634672.1	As006G132420
OG0001991	XP_006282772.1	As002G046910
OG0001992	XP_006283320.1	As002G047670, As006G134320
OG0001993	XP_006280844.1	As002G047890
OG0001993	XP_023633674.1	As006G134180
OG0001994	XP_006280918.1, XP_006284247.1	As002G049230
OG0001995	XP_023636375.1, XP_023636646.1	As002G051030
OG0001996	XP_006286517.1, XP_006286838.1	As002G051550
OG0001997	XP_006298004.1	As002G053610
OG0001997	XP_023640727.1	As007G179950
OG0001998	XP_023637163.1	As002G053810
OG0001998	XP_006280854.1	As005G117250
OG0001999	XP_006289110.1	As002G055150
OG0002000	XP_023641833.1	As009G218350
OG0002000	XP_023636405.1	As002G055410
OG0002001	XP_006279855.1	As004G089230
OG0002001	XP_006283348.1	As003G056260
OG0002002	XP_023633872.1	As004G087210
OG0002003	XP_006283166.1	As003G060220
OG0002003	XP_006287117.1	As004G085600
OG0002004	XP_023636859.1	As004G084930
OG0002004	XP_006282633.1	As003G060850
OG0002005	XP_006288279.1	As004G084290
OG0002005	XP_006284039.1	As003G061860
OG0002006	XP_023635050.1	As003G061930
OG0002006	XP_006290076.1	As004G084140
OG0002007	XP_006289162.1	As004G084150
OG0002007	XP_006285191.1	As003G061950
OG0002008	XP_023636304.1, XP_006286720.1	As004G083850
OG0002008	XP_023633080.1	As003G062340
OG0002009	XP_023632739.1, XP_023632869.1, XP_023632885.1, XP_023632905.1	As003G065730
OG0002011	XP_006306891.1, XP_006296011.1	As003G069960
OG0002012	XP_006297706.1	As011G264500
OG0002012	XP_006282613.1	As003G071790
OG0002013	XP_006297733.1	As011G264560
OG0002013	XP_006283761.1	As003G071910
OG0002014	XP_006282626.1, XP_023641877.1	As003G072220
OG0002015	XP_023642707.1, XP_006284599.1	As003G073000
OG0002016	XP_006294199.1	As007G179840
OG0002017	XP_006298877.1	As003G074630
OG0002017	XP_006295324.1	As007G180300
OG0002018	XP_006295846.1	As007G180950
OG0002018	XP_006285865.1	As003G075740
OG0002019	XP_006295164.1	As004G079010, As004G079040
OG0002020	XP_023643455.1	As004G084030
OG0002021	XP_006284035.1, XP_006288064.1	As004G084130
OG0002022	XP_006304239.1, XP_006281117.2	As004G088650
OG0002023	XP_006297606.1	As011G254830
OG0002023	XP_006283697.1	As004G095790
OG0002024	XP_006283147.1	As004G096090
OG0002024	XP_006297023.1	As011G254270
OG0002026	XP_006295631.1	As005G102350
OG0002026	XP_023638716.1	As012G286200
OG0002027	XP_006290540.1	As012G283860
OG0002027	XP_023639504.1	As005G105970
OG0002028	XP_006292887.1	As006G129780, As005G114290
OG0002029	XP_006305674.1	As008G198670
OG0002029	XP_006288718.1	As006G122080
OG0002030	XP_023637045.1	As006G123400
OG0002030	XP_006305432.1	As008G197470
OG0002031	XP_006295192.1, XP_006304294.1	As008G195950, As006G125520
OG0002032	XP_006295925.1	As006G125680
OG0002032	XP_006305175.1	As008G194980
OG0002033	XP_006306104.1	As008G193380
OG0002033	XP_006295643.1	As006G127930
OG0002034	XP_006306790.1, XP_023640987.1	As006G129090
OG0002035	XP_006281421.1	As006G134600
OG0002036	XP_023637264.1	As009G201600
OG0002036	XP_023642267.1	As006G135320
OG0002037	XP_006288146.1	As009G201610
OG0002037	XP_006297779.1	As006G135340
OG0002038	XP_006298694.1	As011G248890
OG0002038	XP_006300231.1	As006G138750
OG0002039	XP_006291661.2	As012G282060
OG0002039	XP_006295433.1	As006G143240
OG0002040	XP_006294001.1	As006G145140
OG0002040	XP_006290896.1	As012G276560
OG0002041	XP_006296264.1	As006G145740
OG0002041	XP_006292137.1	As012G277090
OG0002042	XP_006295915.1	As006G148500
OG0002043	XP_006307324.1	As007G151940
OG0002044	XP_006307012.1	As007G152130
OG0002044	XP_023643158.1	As010G243920
OG0002045	XP_006306440.1	As007G152270
OG0002045	XP_006302861.1	As010G243670
OG0002046	XP_006304371.1	As007G152480
OG0002047	XP_006303180.1	As007G152970
OG0002047	XP_006302738.1	As010G242530
OG0002048	XP_006304571.1	As007G153870
OG0002048	XP_006302969.1	As010G241130, As010G241120
OG0002049	XP_006300862.1	As010G240580
OG0002049	XP_006306265.1	As007G154260
OG0002050	XP_006305520.1	As007G156920
OG0002050	XP_006302646.1	As010G237010
OG0002051	XP_006306573.1, XP_006299104.2, XP_006295588.1	As007G157010
OG0002052	XP_006305020.1	As007G157110
OG0002052	XP_006302354.1	As010G236740
OG0002053	XP_006305163.1	As007G157350
OG0002053	XP_006300375.1	As010G236420
OG0002054	XP_006304240.1	As007G159150
OG0002054	XP_006300566.1	As010G234050
OG0002055	XP_006305871.1	As007G159360
OG0002055	XP_006302180.1	As010G233640
OG0002056	XP_006294433.1	As007G166910
OG0002059	XP_006307127.2	As008G195200
OG0002060	XP_006300761.1	As010G233260
OG0002060	XP_023636484.1	As009G200610
OG0002061	XP_023638689.1, XP_006292580.1	As009G216670
OG0002062	XP_023633606.1, XP_023633609.1	As009G217750
OG0002063	XP_006289352.2, XP_006279537.1	As009G220000
OG0002064	XP_006292426.1, XP_006291226.2, XP_006293238.1	As010G220250
OG0002065	XP_006302205.1, XP_023643889.1, XP_006302204.1	As010G234940, As010G234930
OG0002066	XP_006300652.1	As010G236630
OG0002067	XP_006302332.2	As010G237600
OG0002068	XP_006300730.1	As010G242610
OG0002069	XP_006302314.1	As010G242720
OG0002069	XP_006301048.1	As010G242710
OG0002070	XP_006307603.1, XP_006302200.2	As010G242940
OG0002071	XP_006298344.1	As011G245310
OG0002071	XP_006306527.2	As012G268370
OG0002072	XP_023644795.1	As012G268720
OG0002072	XP_006298347.1	As011G245540
OG0002073	XP_006307485.1	As012G269780
OG0002073	XP_006297627.1	As011G247000
OG0002074	XP_023633865.1	As012G274260
OG0002074	XP_023636073.1	As011G249220
OG0002075	XP_006299459.2	As011G266590
OG0002075	XP_006299779.1	As011G266600, As011G266610
OG0002076	XP_023645061.1	As012G267730
OG0002077	XP_006305455.1, XP_006299922.1	As012G271430
OG0002078	XP_006291099.1, XP_006293139.1, XP_006293164.1, XP_006291044.2	As012G282170
OG0002079	XP_006285293.1, XP_006285132.1	As012G289110
OG0002092	XP_023634227.1	As001G011000
OG0002093	XP_006298846.2	As011G262560
OG0002093	XP_023633765.1	As001G012790
OG0002094	XP_006286187.1	As001G014220
OG0002094	XP_006299542.1	As011G263260, As011G263270, As011G263250
OG0002095	XP_006296930.1	As011G264280
OG0002095	XP_023634715.1	As001G015590
OG0002096	XP_006302453.2	As001G019160
OG0002096	XP_006305301.1	As008G188390
OG0002097	XP_023643544.1	As001G020040
OG0002097	XP_006307646.1	As008G187890
OG0002098	XP_006302444.1, XP_006283792.1	As001G021050, As001G020990
OG0002099	XP_006307666.1	As008G186590
OG0002099	XP_006302304.1	As001G021230
OG0002100	XP_006307639.1	As008G183510
OG0002100	XP_006292862.1	As001G024090
OG0002101	XP_006282682.1	As004G097680
OG0002101	XP_023637866.1	As001G026130
OG0002102	XP_006296913.1, XP_006296905.1	As008G193520
OG0002103	XP_006286341.2, XP_006286332.2	As001G030420
OG0002104	XP_006302755.1	As001G031080
OG0002104	XP_023635388.1	As004G097980
OG0002105	XP_006303254.1	As008G184590
