Orthogroup	Capsella_rubella	Erysimum_linariifolium
OG0003650	XP_006292893.1	El001G029850
OG0003651	XP_006306785.2	El002G096770
OG0003652	XP_006306351.1	El002G088680
OG0003653	XP_006307470.1	El002G087930
OG0003654	XP_006306433.1, XP_006304501.1	El002G087890
OG0003655	XP_006289380.1	El001G064060
OG0003656	XP_006286655.1	El001G063650
OG0003656	XP_006303739.1	El002G123290
OG0003657	XP_006298707.1	El005G248430
OG0003658	XP_023637661.1, XP_006287208.2	El001G077840
OG0003659	XP_006279771.1	El007G329110
OG0003660	XP_006281504.1	El003G184940
OG0003660	XP_006282808.1	El007G333020
OG0003661	XP_006292560.1	El001G021280
OG0003661	XP_023633450.1	El007G322410
OG0003662	XP_006290594.2	El001G016040
OG0003662	XP_006281878.1	El007G331900
OG0003663	XP_006302713.1	El004G220850
OG0003664	XP_006282444.2	El007G343910, El007G330030
OG0003665	XP_006304920.2	El004G224360
OG0003666	XP_006302054.1	El004G233990, El001G041640
OG0003666	XP_006281491.1	El003G152080, El006G316600
OG0003667	XP_006296826.1	El005G249000
OG0003668	XP_006299806.1	El005G249540
OG0003669	XP_006305564.2	El002G139990
OG0003670	XP_006299043.1	El005G250290
OG0003671	XP_006299904.1, XP_006303507.1	El005G251830
OG0003672	XP_006296857.1	El005G253910
OG0003672	XP_006283034.1	El003G171420
OG0003673	XP_006298053.1	El005G267570
OG0003674	XP_006280308.1	El007G349420
OG0003675	XP_006304810.2	El002G090740
OG0003675	XP_023632940.1	El007G335800, El007G335780
OG0003676	XP_023642167.1	El005G272290
OG0003676	XP_006285785.1	El003G148940
OG0003677	XP_006304362.1, XP_006298925.1	El002G137820
OG0003678	XP_006297940.1	El005G258550
OG0003679	XP_006295113.1	El006G295160
OG0003679	XP_006291950.1	El001G022670
OG0003680	XP_006290861.1, XP_006290857.1	El001G022770
OG0003681	XP_006293244.1	El001G024330
OG0003681	XP_006293678.1	El006G292840
OG0003682	XP_006290618.1	El001G027400
OG0003683	XP_006292828.1	El001G022320
OG0003685	XP_006292587.2	El001G025300
OG0003685	XP_006292675.1	El001G025290
OG0003686	XP_023644328.1	El004G229970
OG0003687	XP_006279103.2, XP_006302642.2	El004G202260, El004G202220
OG0003687	XP_006301803.2	El004G202300
OG0003690	XP_006291279.1	El001G043270, El001G043290, El001G043280, El001G043330, El001G043360, El001G043320, El001G041090, El001G043300, El001G043340, El001G043370
OG0003690	XP_006291317.1	El006G312980
OG0003691	XP_006285552.1, XP_006284982.1	El003G169190
OG0003695	XP_006286223.1	El003G150290
OG0003695	XP_006285806.1	El003G155560
OG0003696	XP_006284105.1	El003G152960
OG0003697	XP_006283723.1	El003G148350
OG0003698	XP_006284143.1	El003G147520
OG0003699	XP_006303289.2, XP_006284570.1	El002G123130
OG0003700	XP_006285288.1	El003G171100
OG0003701	XP_006290959.2	El001G037000
OG0003702	XP_006292728.1	El001G041120
OG0003703	XP_006302847.1	El004G216220
OG0003703	XP_023638655.1	El003G186760
OG0003704	XP_023642972.1	El004G197870
OG0003705	XP_006294048.1	El006G288580
OG0003707	XP_006281099.1	El007G344380
OG0003708	XP_006280688.1	El007G336480
OG0003709	XP_006280241.1	El007G335260
OG0003710	XP_006306116.1	El002G108460
OG0003710	XP_006287373.1	El001G068380
OG0003711	XP_023634239.1	El003G169450
OG0003711	XP_006282964.1	El003G169460
OG0003712	XP_006284024.1	El003G165530
OG0003713	XP_006283383.1	El003G165060
OG0003714	XP_006283486.1	El003G163210, El001G057100
OG0003715	XP_006286857.1	El001G007570
OG0003716	XP_006290956.1	El001G027980
OG0003718	XP_023644544.1	El002G136480
OG0003719	XP_006288039.1	El001G080010
OG0003720	XP_023645574.1	El002G095820
OG0003721	XP_006290137.1	El001G007620
OG0003722	XP_006284809.1	El003G178290
OG0003723	XP_023642178.1	El005G264980
OG0003723	XP_023635638.1	El003G175230, El003G175250
OG0003724	XP_023642650.1	El005G259690
OG0003724	XP_006286201.1	El003G172570
OG0003726	XP_006293429.1	El006G312590, El006G280400
OG0003727	XP_023639488.1	El006G281930
OG0003728	XP_006295709.2	El006G284870
OG0003729	XP_006294880.1	El006G284900
OG0003729	XP_023640711.1	El006G284890
OG0003730	XP_006296564.1	El006G287010
OG0003730	XP_006290358.1	El001G029490
OG0003731	XP_006288612.2	El001G079670
OG0003731	XP_023637020.1	El002G128310
OG0003732	XP_006281852.1	El007G331650
OG0003732	XP_006281623.1	El007G331660
OG0003733	XP_006304378.2	El002G086130
OG0003734	XP_006281417.1	El007G359210
OG0003735	XP_006281582.1	El007G358890, El001G010570
OG0003736	XP_006295274.1	El006G299330
OG0003737	XP_006294710.1	El006G299060
OG0003738	XP_006295291.1	El006G300670
OG0003739	XP_023640194.1	El004G227960
OG0003739	XP_023643837.1	El006G301140
OG0003740	XP_023639419.1	El006G301570
OG0003740	XP_006307671.1	El002G088760
OG0003741	XP_023639902.1	El006G306400
OG0003741	XP_023639889.1	El006G306420
OG0003742	XP_006294453.1	El006G299580
OG0003742	XP_006296486.1	El006G309290
OG0003743	XP_023636221.1, XP_023641514.1	El005G236230
OG0003744	XP_006283168.1, XP_023634036.1	El003G192560, El003G192530
OG0003745	XP_006287408.1	El001G051440
OG0003746	XP_006298269.1	El005G241380
OG0003746	XP_006289567.1	El001G061500
OG0003747	XP_023642448.1, XP_006298156.1	El005G242510
OG0003748	XP_023641602.1	El005G243270
OG0003749	XP_006299121.1	El005G243510
OG0003750	XP_006298442.1	El001G026760, El007G340930, El007G346650
OG0003751	XP_006307425.1	El002G083880
OG0003752	XP_006306075.1	El002G101430
OG0003753	XP_006302951.2	El004G231040
OG0003753	XP_006304309.1	El002G106520
OG0003754	XP_006307526.2	El002G109620
OG0003755	XP_023632920.1	El002G111400
OG0003755	XP_006305850.1	El002G124110
OG0003756	XP_006286102.1	El003G160390
OG0003756	XP_006286134.2	El003G160400
OG0003758	XP_006285054.1	El003G143660
OG0003759	XP_006304397.1	El002G098800
OG0003760	XP_006306226.1	El002G132800
OG0003761	XP_023633290.1	El002G087460
OG0003762	XP_006282048.1, XP_006296136.1	El006G298920
OG0003763	XP_006296825.1	El005G278790
OG0003763	XP_006306584.1	El002G085980
OG0003764	XP_006306882.1	El002G083510
OG0003764	XP_006287167.1	El001G001270
OG0003765	XP_006287120.1	El001G065470
OG0003765	XP_006303166.2	El002G102440
OG0003766	XP_006287289.2	El001G065320
OG0003767	XP_006288568.1	El001G056620, El001G056630, El001G056640
OG0003768	XP_023644146.1, XP_006295190.1	El007G327670
OG0003769	XP_006279634.1	El007G333250
OG0003771	XP_006281061.1	El007G332790
OG0003772	XP_006283617.1	El003G148850
OG0003772	XP_006290474.2, XP_023633860.1	El001G012730
OG0003773	XP_023643702.1	El004G220290
OG0003774	XP_023643280.1	El004G220700
OG0003775	XP_006302765.2	El004G231870
OG0003776	XP_006302860.1	El004G232230
OG0003777	XP_006301720.1	El004G232430
OG0003778	XP_006297345.1	El005G257350
OG0003779	XP_006297579.1	El005G258280
OG0003780	XP_023641160.1	El005G259400
OG0003780	XP_006307372.1	El002G136210, El002G138590
OG0003781	XP_006289638.1	El004G229710
OG0003781	XP_006300136.2	El001G015180
OG0003782	XP_006293001.1	El001G023550
OG0003782	XP_023642208.1	El005G270090
OG0003783	XP_006282775.1	El003G183120
OG0003784	XP_006306215.1	El002G140750
OG0003785	XP_006307680.1	El002G140430, El002G140440, El002G140410
OG0003786	XP_023645116.1	El002G136320
OG0003787	XP_006304908.2	El002G133960
OG0003788	XP_006291916.1	El001G024740
OG0003789	XP_006292931.1	El001G025900
OG0003790	XP_023637962.1	El001G027590
OG0003791	XP_006292703.1	El001G028020
OG0003791	XP_006294497.1	El006G288470
OG0003792	XP_006291314.1, XP_006291310.1	El001G028380
OG0003794	XP_006305920.2, XP_006303569.2	El002G137930
OG0003795	XP_006294142.1	El006G319620
OG0003795	XP_006292848.1, XP_006292348.2	El005G267060, El002G128130, El002G128140, El002G128170
OG0003796	XP_023636970.1, XP_006287818.1, XP_023636115.1	El001G006690, El001G006680, El001G006700
OG0003797	XP_006305858.1	El002G109660
OG0003798	XP_006304111.1	El002G104740
OG0003798	XP_006304113.1	El002G104730
OG0003799	XP_006301645.1	El004G219600
OG0003799	XP_023645072.1	El002G111780
OG0003800	XP_023638907.1	El003G192490
OG0003801	XP_023641587.1	El007G322750
OG0003802	XP_006281076.2	El007G328490
OG0003803	XP_006283107.1	El003G166310
OG0003804	XP_023640739.1	El006G305550
OG0003804	XP_006294831.2	El006G305560, El006G305570
OG0003806	XP_006279138.1, XP_006289411.1	El001G057960
OG0003807	XP_006281446.1	El007G330040
OG0003810	XP_006292769.1	El001G019190
OG0003811	XP_023637733.1	El001G064270
OG0003812	XP_006284311.2	El003G193330
OG0003813	XP_023635411.1	El003G192090
OG0003823	XP_006284850.1	El003G155710
OG0003824	XP_023634984.1	El003G151330
OG0003826	XP_023638102.1	El005G260720
OG0003827	XP_006284527.1	El003G147780
OG0003827	XP_006299480.1	El005G273690
OG0003828	XP_006306526.1	El002G118350
OG0003829	XP_006307150.1	El002G118820
OG0003830	XP_006302378.1	El004G210620
OG0003830	XP_006301606.1, XP_023644213.1, XP_023644212.1	El006G309520, El006G309500
OG0003831	XP_006303181.1	El002G092930
OG0003833	XP_006295266.1	El004G203630, El006G302240
OG0003834	XP_006302691.1, XP_023643621.1, XP_023634459.1	El002G089010, El004G194060
OG0003835	XP_006303147.1	El002G095930
OG0003835	XP_006300607.1	El004G197110
OG0003836	XP_006288935.1	El001G080990
OG0003837	XP_006290031.1, XP_023641604.1	El001G072400
OG0003838	XP_006281528.1	El007G342680
OG0003838	XP_006280448.1	El007G342690
OG0003839	XP_006281642.1	El007G338050
OG0003840	XP_006279654.1	El002G136220, El007G336560
OG0003841	XP_006286182.1	El003G158090
OG0003842	XP_006289832.1	El001G068810
OG0003843	XP_006286946.1	El001G070120
OG0003844	XP_006281916.1	El007G364530
OG0003846	XP_006284582.1	El003G161350
OG0003847	XP_006283122.1	El003G161320
OG0003848	XP_006306164.1, XP_006303802.1	El002G121670
OG0003849	XP_023646067.1	El002G122160
OG0003850	XP_006305132.1	El002G129350
OG0003851	XP_006305778.1	El002G115880
OG0003852	XP_006283537.1	El003G146310
OG0003854	XP_006282746.1	El003G186110
OG0003855	XP_023646060.1, XP_023636419.1	El001G011330
OG0003856	XP_006304446.1	El002G127870
OG0003857	XP_006281412.1	El007G356450
OG0003858	XP_006279579.1	El007G356430
OG0003858	XP_006306893.1	El002G134500
OG0003859	XP_006288543.1	El001G007350
OG0003860	XP_006295032.1	El006G283830, El003G177510, El006G284360
OG0003861	XP_006282397.2	El007G363630, El007G363540
OG0003862	XP_023640015.1	El007G364550
OG0003863	XP_023643063.1	El007G366830
OG0003864	XP_006291167.1	El001G034980, El004G210450
OG0003865	XP_006294099.1	El006G281280
OG0003866	XP_006294730.1	El006G283090
OG0003867	XP_006286466.1	El001G081450
OG0003867	XP_023637159.1	El006G316650
OG0003868	XP_006280004.1	El007G330230
OG0003869	XP_006281674.1	El007G330440
OG0003870	XP_006281387.1	El007G330550
OG0003871	XP_006281086.1	El007G330920, El003G168030
OG0003872	XP_006288019.1	El001G000730
OG0003872	XP_006289805.2	El001G001020
OG0003872	XP_006288063.1, XP_006288073.1	El001G000720
OG0003873	XP_006299712.1, XP_023637184.1	El006G305470, El001G001780
OG0003874	XP_006287802.1	El001G003320
OG0003875	XP_006304405.1	El002G085940
OG0003876	XP_023640266.1	El006G300780
OG0003877	XP_006285228.1	El003G157100
OG0003879	XP_023641741.1	El005G242540
OG0003881	XP_006303475.1	El002G100070
OG0003882	XP_006303831.1	El002G102400
OG0003883	XP_023645992.1	El002G092180, El002G092190
OG0003884	XP_006305767.1	El002G111410
OG0003885	XP_006284118.1	El003G159770
OG0003885	XP_006280825.1	El007G343550
OG0003886	XP_006295476.1	El006G317220
OG0003886	XP_006285656.1	El003G152070
OG0003887	XP_006306449.1	El002G098900
OG0003888	XP_006286438.2	El001G048940, El001G048480, El001G048390, El001G048500, El001G007510
OG0003889	XP_006304417.1	El002G091670
OG0003890	XP_006293642.1	El006G301020
OG0003891	XP_006288751.1	El001G065530
OG0003893	XP_023636976.1	El001G062410
OG0003894	XP_006306305.1	El001G049460
OG0003894	XP_006287727.1	El001G049470
OG0003895	XP_006301821.1	El001G028530, El001G028520
OG0003896	XP_006280141.2	El007G345400
OG0003896	XP_006300621.1	El004G218410
OG0003897	XP_023635953.1	El001G076240
OG0003898	XP_006282178.2	El002G139110
OG0003898	XP_006289495.1	El001G077330
OG0003899	XP_006287441.2, XP_023637548.1	El003G189420
OG0003900	XP_006279650.1	El007G324380
OG0003901	XP_006292106.1	El001G017330
OG0003901	XP_023636288.1	El007G328080
OG0003902	XP_006292995.1	El001G016490
OG0003903	XP_006284443.1	El003G143200
OG0003904	XP_023642884.1	El004G229440
OG0003905	XP_006301898.1	El004G229350
OG0003906	XP_006301586.1	El004G225950
OG0003907	XP_006301120.1	El004G228710
OG0003908	XP_006300883.1	El004G232310
OG0003909	XP_006301621.1	El004G232910
OG0003910	XP_006297871.1	El005G250460, El001G045770, El001G045780, El005G250450
OG0003911	XP_006300178.1, XP_006298002.1	El002G121650, El005G250850
OG0003912	XP_006299155.1	El005G251770
OG0003912	XP_006304799.1	El002G138790, El002G138800
OG0003913	XP_006296610.2	El005G252380
OG0003914	XP_006303957.1	El002G136930
OG0003914	XP_006297318.2	El005G252840
OG0003915	XP_023642136.1	El005G256450
OG0003916	XP_006297804.1	El005G257300
OG0003917	XP_006296792.1	El005G257960
OG0003918	XP_006298521.1	El005G258460
OG0003919	XP_006300264.2, XP_023641593.1	El005G260130, El005G260120
OG0003920	XP_006298609.1	El005G261980
OG0003921	XP_006296706.1	El005G277930
OG0003921	XP_006286829.2	El001G010650
OG0003922	XP_006304589.1, XP_006306238.1	El002G138830
OG0003922	XP_023645013.1	El002G138820, El002G138150
OG0003923	XP_023646036.1	El002G131350
OG0003924	XP_023639003.1	El001G022070
OG0003925	XP_006293329.2, XP_006293305.2	El001G026090, El001G026110
OG0003926	XP_006293032.1	El001G033030
OG0003928	XP_006300167.2	El005G238700
OG0003930	XP_006306803.2	El002G108250
OG0003931	XP_023635161.1, XP_023635162.1	El003G190630
OG0003932	XP_023634281.1	El003G186160
OG0003933	XP_006292993.2	El001G045520, El001G045480
OG0003935	XP_006289816.1, XP_023634973.1, XP_023634260.1	El001G074590
OG0003936	XP_023633792.1	El003G159100
OG0003938	XP_006305730.1, XP_006305731.1	El002G108410
OG0003941	XP_023642751.1	El005G273140, El005G273150
OG0003948	XP_006283119.1	El003G153200
OG0003948	XP_023641889.1	El005G277600
OG0003949	XP_006286007.1	El003G152370
OG0003950	XP_006304993.1	El002G119370
OG0003951	XP_006284371.1	El003G171290
OG0003952	XP_023643785.1	El004G208810
OG0003953	XP_006301557.1	El004G200170
OG0003953	XP_006301215.1	El004G200160
OG0003954	XP_006291399.2	El001G037080
OG0003955	XP_006292978.1	El001G037990
OG0003956	XP_006294579.1	El006G281780
OG0003957	XP_006292662.1	El001G042480
OG0003958	XP_006283756.1	El003G185620
OG0003958	XP_006300488.1	El004G215320
OG0003959	XP_023640590.1	El006G288760
OG0003960	XP_006287211.2	El001G077960
OG0003961	XP_006298864.1	El005G246350
OG0003961	XP_006289707.1	El001G076980
OG0003962	XP_006297467.1	El005G246960
OG0003963	XP_006302890.2	El004G196090
OG0003964	XP_006281933.1	El007G363420
OG0003965	XP_006281532.2	El007G343350
OG0003966	XP_006281211.1	El007G340700, El003G155980
OG0003967	XP_023636286.1	El001G069310
OG0003968	XP_006286859.1	El001G069960
OG0003969	XP_023637151.1	El001G070190
OG0003970	XP_023636804.1	El001G071170
OG0003970	XP_006289020.1	El001G054240
OG0003971	XP_023638584.1	El001G073170
OG0003972	XP_006297450.1	El003G176150
OG0003972	XP_006289219.1	El001G074140
OG0003973	XP_006281073.1	El007G366340
OG0003974	XP_006292088.1	El001G023050
OG0003974	XP_006282475.2	El003G167920
OG0003975	XP_006283784.1	El003G165180
OG0003977	XP_006290971.1	El005G253780, El001G023710
OG0003977	XP_006302178.1, XP_023644292.1	El004G219920
OG0003978	XP_006303406.1	El002G114880
OG0003979	XP_023645356.1	El002G121410
OG0003980	XP_023634411.1	El003G145670
OG0003981	XP_006285783.1	El003G145570
OG0003982	XP_006284314.1	El003G144470, El003G144460
OG0003983	XP_006293956.1	El006G319730
OG0003984	XP_006286584.2	El001G009100
OG0003985	XP_006287351.2	El001G005210
OG0003986	XP_023633530.1	El007G363850
OG0003986	XP_023633496.1	El007G363840
OG0003987	XP_006297748.1	El005G268810
OG0003987	XP_006282654.1	El003G179200
OG0003988	XP_006284497.1	El003G175110
OG0003989	XP_006285126.1	El003G172590
OG0003989	XP_006284585.1	El003G172580
OG0003990	XP_006284403.1	El003G192200
OG0003991	XP_006291206.2	El001G034490
OG0003991	XP_006294329.2	El006G280840
OG0003992	XP_006294618.1	El006G281040
OG0003993	XP_006291973.1	El007G335230, El001G033280
OG0003994	XP_023643442.1	El004G221010
OG0003995	XP_006291835.1, XP_006294885.2	El006G284750
OG0003996	XP_006295375.1	El006G285040
OG0003997	XP_023637643.1	El001G081790
OG0003997	XP_023642056.1	El005G243960
OG0003998	XP_006286879.1	El001G080800
OG0003999	XP_006299836.1	El005G245710
OG0004000	XP_006282302.1	El003G188780, El007G330620
OG0004000	XP_006292826.1	El001G014270
OG0004001	XP_006280964.2	El007G331770
OG0004002	XP_006280683.2	El007G327020
OG0004003	XP_006295165.1	El006G306660
OG0004004	XP_006288808.1	El001G001100
OG0004005	XP_006294421.1	El006G301720
OG0004006	XP_006293432.1	El006G306610
OG0004008	XP_023641788.1	El005G239920
OG0004009	XP_006303468.1	El002G131510, El005G242500
OG0004010	XP_023641541.1	El005G243340
OG0004011	XP_006294563.1	El006G289360
OG0004011	XP_006292480.1	El001G027300
OG0004012	XP_023640995.1	El006G289820
OG0004013	XP_006292531.2	El001G027010
OG0004014	XP_006306801.1	El002G125970
OG0004015	XP_006293900.1	El006G290820
OG0004016	XP_006296385.1	El006G290520
OG0004018	XP_006289537.1	El001G072100
OG0004019	XP_006295029.1	El006G291550
OG0004021	XP_006293687.1	El006G291700
OG0004022	XP_006295790.1	El006G316040
OG0004024	XP_006305874.2, XP_006304976.2	El002G100390
OG0004025	XP_006303428.1	El002G108530
OG0004026	XP_006283344.1	El003G159820
OG0004026	XP_023637000.1	El007G343860
OG0004027	XP_006283408.1	El003G159370
OG0004027	XP_006280230.1	El007G342600
OG0004028	XP_006284451.1	El003G158940
OG0004028	XP_006279689.1	El007G341360
OG0004029	XP_023642120.1	El007G339130
OG0004029	XP_023645118.1	El007G339350
OG0004030	XP_006296192.1	El006G316910
OG0004031	XP_006295047.1	El006G295140
OG0004032	XP_006295202.1	El006G321730
OG0004033	XP_006307442.1	El002G095690
OG0004033	XP_006300477.1	El004G197900
OG0004035	XP_006306624.2	El002G090300, El002G090470
OG0004036	XP_006279398.2	El007G351360
OG0004037	XP_006305617.1, XP_006306479.1, XP_006304809.1	El005G267930, El002G084680, El005G260270
OG0004038	XP_023636418.1	El001G065340
OG0004039	XP_006289325.1	El001G051280
OG0004040	XP_006287646.1	El001G049260
OG0004040	XP_006289782.2	El001G049320
OG0004042	XP_023637304.1	El001G047880, El001G047840, El001G047860
OG0004043	XP_006281146.1	El007G346060, El005G269110
OG0004044	XP_006289427.1	El001G077130
OG0004045	XP_006287484.1	El001G054340
OG0004045	XP_023637369.1	El001G054350, El001G054370
OG0004046	XP_006287492.1	El001G056370
OG0004046	XP_006290905.1	El001G018500
OG0004047	XP_023637176.1	El001G056430
OG0004048	XP_006281849.2	El007G330100
OG0004049	XP_006281721.1	El007G329250
OG0004050	XP_006290849.1	El001G013670
OG0004051	XP_006291857.1	El001G012510
OG0004051	XP_006288666.1	El001G058330
OG0004052	XP_006300432.2	El004G223160
OG0004053	XP_006300626.1	El004G231590
OG0004054	XP_006300271.2	El005G248690
OG0004055	XP_006300164.1	El005G249700
OG0004055	XP_006299764.1	El001G051600
OG0004056	XP_006284858.1	El003G172230
OG0004057	XP_006298533.1	El005G253990
OG0004058	XP_006299434.1	El005G254000
OG0004059	XP_006297201.2	El005G254980
OG0004060	XP_006298201.1	El005G255240
OG0004060	XP_023640623.1	El006G320300
OG0004061	XP_006299289.1	El005G255360
OG0004062	XP_006298983.1	El005G255790
OG0004063	XP_006299156.1	El005G256000
OG0004064	XP_006297378.1	El005G258200
OG0004064	XP_006303970.1	El002G134960
OG0004065	XP_006297412.1	El005G259070
OG0004066	XP_006298572.1	El005G261150
OG0004067	XP_006296863.1	El005G267550, El007G352750
OG0004068	XP_006298158.1	El007G344800, El005G272860
OG0004069	XP_006304086.1	El002G133300
OG0004070	XP_023642140.1	El005G251390
OG0004071	XP_006291996.1	El001G028270, El002G127220
OG0004073	XP_006292066.1	El001G030860
OG0004074	XP_023635510.1, XP_006285910.1	El003G192460
OG0004075	XP_023638905.1	El007G362030
OG0004075	XP_023645635.1	El007G361990
OG0004077	XP_023639581.1, XP_006295656.2, XP_006295419.2, XP_023639580.1	El006G314120, El006G314150
OG0004081	XP_023641255.1	El001G004270, El005G245870
OG0004082	XP_006290037.2	El001G009760, El001G001990
OG0004084	XP_006291745.1, XP_006291721.1	El001G039760, El001G039770
OG0004087	XP_006293098.1, XP_006292882.2	El001G011860
OG0004088	XP_006295660.1	El006G293950
OG0004091	XP_023634953.1	El003G152610
OG0004091	XP_006295296.1	El006G318060
OG0004092	XP_006284418.1	El003G152520
OG0004093	XP_023634629.1	El003G152150
OG0004093	XP_023634947.1	El003G189690
OG0004094	XP_006283878.1	El003G148870
OG0004095	XP_006282823.1	El003G148780
OG0004096	XP_006285511.1	El003G148160
OG0004097	XP_006300903.1	El004G203700, El004G205020
OG0004097	XP_023643296.1	El004G204770, El004G203710
OG0004098	XP_023645253.1	El002G093090
OG0004099	XP_006293133.1	El001G036190
OG0004101	XP_006280213.1	El007G336660, El003G162300
OG0004102	XP_006283423.1	El003G193490
OG0004104	XP_006280325.1	El007G341600
OG0004105	XP_006279536.1	El007G338040
OG0004106	XP_006280726.1	El007G337600
OG0004107	XP_006293723.2	El006G289220
OG0004108	XP_023635695.1	El007G335900
OG0004109	XP_006289904.2	El001G052860, El001G070410
OG0004110	XP_006287364.1	El001G072300
OG0004111	XP_006287630.1	El001G073540
OG0004112	XP_006282346.1	El007G329300
OG0004113	XP_006283920.1	El003G167970
OG0004114	XP_006284914.1	El003G167940
OG0004115	XP_006285344.1	El003G167590
OG0004116	XP_006286230.2	El003G165200
OG0004118	XP_006285577.1	El003G164190
OG0004120	XP_006284681.1	El003G164950
OG0004121	XP_006307383.1	El002G127690
OG0004122	XP_006307198.2	El002G127270
OG0004123	XP_006304746.1	El002G114980
OG0004124	XP_006306300.1, XP_006289817.1	El002G117550
OG0004125	XP_006285274.1	El003G145520
OG0004126	XP_006294951.1	El006G293630
OG0004126	XP_006279697.1	El007G343820
OG0004127	XP_006284847.1	El003G144570
OG0004128	XP_023633972.1	El003G141990
OG0004129	XP_023645211.1	El002G090270
OG0004130	XP_006292843.1	El001G044530
OG0004132	XP_006296403.1	El006G298280
OG0004132	XP_006303812.1	El002G126120
OG0004133	XP_006279618.1	El007G358030
OG0004134	XP_006305760.1	El002G130930
OG0004135	XP_006288481.2	El001G008070
OG0004135	XP_006284448.1	El003G161040
OG0004136	XP_006288770.1	El001G006780
OG0004137	XP_023634821.1	El007G366290
OG0004138	XP_006285247.1	El003G174850
OG0004139	XP_006296297.1	El005G267710, El001G022880
OG0004139	XP_023633986.1	El003G192390
OG0004140	XP_006295238.1	El006G280440
OG0004141	XP_006296394.1, XP_006295414.1	El006G280860
OG0004142	XP_006293377.1	El006G284570
OG0004142	XP_006295769.2	El006G284580
OG0004143	XP_006295114.1	El006G285180
OG0004144	XP_006295752.1	El006G285960
OG0004145	XP_006295260.1	El006G286110
OG0004146	XP_006290781.1	El001G030200
OG0004147	XP_006287859.1	El001G059020
OG0004147	XP_006293225.1, XP_006293345.2	El001G011970
OG0004148	XP_006287687.1	El001G058480
OG0004149	XP_006289997.1	El001G057210
OG0004150	XP_006280364.1	El007G330840
OG0004151	XP_006280285.1	El007G332360
OG0004152	XP_006280805.1	El007G326370
OG0004153	XP_023636366.1	El001G000370
OG0004154	XP_023637413.1	El001G001290
OG0004155	XP_006290127.1	El001G001340
OG0004156	XP_006288964.1	El001G002890
OG0004157	XP_006287064.1	El001G002910
OG0004158	XP_006286360.1	El001G079980
OG0004158	XP_023639089.1	El007G359360
OG0004159	XP_006304183.1	El002G086150
OG0004160	XP_006296241.1	El006G300290
OG0004161	XP_006296239.1	El006G300450
OG0004162	XP_006294038.1	El006G302160
OG0004163	XP_006294613.1	El006G302250
OG0004164	XP_006303336.1	El002G089360
OG0004164	XP_006296407.1	El006G302430
OG0004165	XP_006296474.1	El006G304070
OG0004165	XP_006303622.1	El002G090060
OG0004166	XP_006294007.1	El006G312520
OG0004166	XP_006292330.1	El001G012180
OG0004167	XP_006284438.1	El003G156990
OG0004168	XP_023636004.1	El001G067270
OG0004168	XP_023642095.1	El005G235220, El005G235190
OG0004169	XP_023641743.1	El005G237370
OG0004170	XP_006299962.1	El005G238530
OG0004171	XP_023642799.1	El005G239030
OG0004172	XP_006299536.2	El005G239860
OG0004173	XP_006297808.2	El005G239770
OG0004174	XP_006298214.1	El005G242870
OG0004175	XP_006296245.1	El006G289070
OG0004176	XP_006294573.2	El006G292490
OG0004177	XP_006296115.2, XP_006299026.2	El006G292110
OG0004178	XP_006305067.1	El002G100240
OG0004179	XP_006304683.1	El002G103210
OG0004180	XP_023638394.1	El001G040090
OG0004181	XP_006306601.1	El002G105080
OG0004182	XP_006302060.1	El004G223930
OG0004183	XP_023633803.1	El003G160130
OG0004184	XP_023633785.1	El003G160030
OG0004186	XP_006284842.1	El003G189720
OG0004186	XP_006288965.1	El001G010430
OG0004187	XP_006285813.1	El003G159490
OG0004188	XP_023635284.1	El007G341720, El003G183610
OG0004189	XP_006304591.1	El002G096490
OG0004189	XP_006291421.1	El001G041100
OG0004190	XP_006305294.2	El002G096020
OG0004191	XP_006303511.1	El002G091030
OG0004192	XP_006306008.1	El002G084970
OG0004193	XP_006279212.2, XP_006301848.2, XP_006290056.2, XP_006281616.2	El007G341260
OG0004194	XP_006286354.1	El001G064990, El001G065000, El001G064830
OG0004195	XP_006287034.1	El001G063700, El006G319130
OG0004196	XP_006286599.2	El001G050270
OG0004197	XP_006289894.1	El001G074830
OG0004198	XP_006286985.1	El001G052210, El001G052200
OG0004199	XP_023633741.1	El003G150900, El003G150910
OG0004200	XP_006286349.1	El001G055650
OG0004200	XP_023635760.1	El001G055660
OG0004201	XP_006288018.2	El001G056680
OG0004201	XP_023637471.1	El004G199650
OG0004203	XP_006284315.1, XP_006304438.1	El003G155590
OG0004204	XP_006280123.1	El007G328020
OG0004205	XP_023639249.1, XP_006280848.1	El007G332910
OG0004206	XP_006292116.1	El001G019500
OG0004206	XP_006292108.1	El001G019490
OG0004208	XP_006300893.1	El004G226170
OG0004208	XP_006289010.1	El001G010080
OG0004209	XP_006301876.1	El004G223310
OG0004210	XP_023643453.1	El004G223500
OG0004211	XP_006301795.1	El006G312050, El004G223940
OG0004212	XP_006300688.2	El004G230890
OG0004213	XP_006301032.1	El004G226770
OG0004214	XP_006301012.1	El004G225390, El004G213830, El004G213810
OG0004216	XP_006302787.1	El004G233630
OG0004217	XP_006297668.2	El005G248510
OG0004218	XP_023632713.1, XP_023642596.1	El005G251790
OG0004219	XP_006298605.1	El005G252170
OG0004220	XP_006297165.1	El005G252700
OG0004221	XP_023635186.1	El003G166270
OG0004221	XP_006296998.1	El005G255210
