Orthogroup	Capsella_rubella	Odontarrhena_muralis
OG0000930	XP_006299812.1	Om002G087470
OG0000930	XP_006284736.1	Om001G024260
OG0000931	XP_023642709.1, XP_006306581.1	Om006G251030, Om002G050950
OG0000931	XP_006299090.1	Om002G054470
OG0000932	XP_006294898.2	Om008G335890
OG0000932	XP_006298557.1	Om002G055520
OG0000933	XP_006281622.1	Om003G113540
OG0000933	XP_006285474.1	Om007G286610
OG0000934	XP_023634110.1	Om001G004220
OG0000935	XP_006289871.1	Om008G355400
OG0000935	XP_006284072.1	Om001G006870
OG0000936	XP_023635044.1	Om001G007510
OG0000937	XP_006283170.1	Om001G011310
OG0000937	XP_006283205.1	Om001G011380, Om001G011360
OG0000938	XP_006285909.1	Om001G038920
OG0000938	XP_006283415.1	Om001G040050
OG0000939	XP_006293578.1	Om004G156100, Om004G156110
OG0000940	XP_006296904.1	Om002G077500
OG0000940	XP_006285963.1	Om001G035380
OG0000941	XP_006283156.1	Om003G103370
OG0000941	XP_006303716.1	Om005G182890
OG0000943	XP_006298640.1	Om004G134220, Om002G047770
OG0000944	XP_006295372.1, XP_006292105.2	Om008G325180
OG0000946	XP_006287188.1	Om004G176870
OG0000946	XP_006287180.2	Om004G176860
OG0000947	XP_006298006.1	Om002G043520
OG0000950	XP_006286818.2	Om007G294240
OG0000950	XP_006296924.1	Om002G048110
OG0000951	XP_006282307.2, XP_006282240.1	Om008G361670
OG0000952	XP_023640213.1, XP_023640212.1	Om008G324790
OG0000953	XP_006290339.1	Om006G259150
OG0000953	XP_006293039.1	Om006G259180, Om006G259170, Om006G259120, Om008G347940
OG0000954	XP_006297656.1	Om002G066730, Om002G066720, Om002G066750
OG0000954	XP_006297986.1, XP_006291187.2	Om002G066760
OG0000955	XP_023644428.1, XP_023644431.1	Om003G092760, Om003G092750
OG0000959	XP_006306249.1, XP_023640368.1, XP_006285625.2, XP_023640378.1, XP_006296312.1, XP_006296286.1, XP_006296342.1, XP_006295988.1, XP_006303281.1, XP_006304569.1, XP_006281980.1, XP_023633310.1, XP_023639536.1, XP_006295583.1	Om005G201330, Om006G251530, Om005G202740
OG0000961	XP_023644077.1, XP_006301477.1, XP_006301442.1	Om004G130710, Om004G130670, Om004G130660, Om004G130650, Om004G130750, Om005G215760
OG0000962	XP_006285394.1	Om007G316390, Om004G164950, Om006G241490
OG0000962	XP_006292778.2	Om006G241480
OG0000963	XP_006298898.1	Om002G051940
OG0000964	XP_006279961.1, XP_023639014.1, XP_023633583.1, XP_023642310.1, XP_023641938.1, XP_006282275.2, XP_023645803.1	Om004G140590
OG0000965	XP_023642724.1, XP_006299795.1	Om002G074180
OG0000965	XP_006286029.1	Om001G003760
OG0000966	XP_023634111.1	Om001G004110
OG0000967	XP_006305051.1	Om001G014390
OG0000967	XP_006305055.1	Om005G204690
OG0000968	XP_006286127.2	Om005G222930
OG0000969	XP_006281374.2	Om008G356400, Om008G356410
OG0000969	XP_006281373.1	Om008G356290
OG0000969	XP_006281355.2	Om008G356430, Om008G356390
OG0000970	XP_006282161.1	Om006G230550
OG0000970	XP_023639144.1, XP_006291526.2	Om006G259200
OG0000971	XP_023639188.1	Om001G007710
OG0000971	XP_006299321.1	Om002G045750
OG0000972	XP_006289570.1	Om007G294350
OG0000972	XP_006299234.1	Om002G048190
OG0000973	XP_006297810.1	Om002G048680
OG0000974	XP_023635445.1, XP_006294504.1, XP_006284283.1	Om007G317210, Om008G337260
OG0000975	XP_006305010.1	Om005G201730
OG0000975	XP_006305110.1	Om005G201740
OG0000976	XP_006304281.1, XP_006291991.1	Om005G195400, Om005G195420
OG0000977	XP_006293189.1	Om006G266230
OG0000977	XP_006290760.1	Om006G266330
OG0000978	XP_006292405.1, XP_006292911.1	Om003G089620
OG0000978	XP_006290946.2	Om008G332310, Om008G332280
OG0000979	XP_006305983.2, XP_006282844.1, XP_023635227.1, XP_006285022.1	Om003G111780, Om003G100970
OG0000980	XP_006294165.1	Om007G291280, Om007G290430, Om004G166790, Om008G320140, Om001G030210
OG0000980	XP_023635290.1	Om003G109190
OG0000981	XP_006284924.2	Om001G007310
OG0000983	XP_023635727.1, XP_023635736.1, XP_023635726.1, XP_006289515.1, XP_023635735.1, XP_023637551.1, XP_023635705.1	Om006G243470, Om003G120200, Om006G243520, Om006G243580
OG0000986	XP_006283471.1, XP_006290941.1	Om001G027480
OG0000987	XP_023645966.1	Om002G075170
OG0000988	XP_006287730.1	Om004G171150
OG0000989	XP_006280947.1	Om003G113210
OG0000989	XP_023640224.1	Om008G332220
OG0000990	XP_006281294.2	Om001G001440, Om008G360190
OG0000991	XP_006307307.1, XP_006307336.1, XP_023645573.1	Om001G011990
OG0000992	XP_006295928.1	Om004G155780
OG0000992	XP_006286179.1	Om001G040490
OG0000993	XP_006296719.1	Om002G075390
OG0000994	XP_006294181.1	Om007G281890
OG0000994	XP_006294185.1	Om007G281910, Om007G281900, Om007G281920
OG0000995	XP_023639670.1	Om007G280340
OG0000996	XP_006305151.1	Om005G184170
OG0000997	XP_023641458.1	Om002G045840
OG0000997	XP_006305287.1	Om005G193290
OG0000998	XP_006294843.1	Om008G331510
OG0000998	XP_006291698.1	Om006G251870
OG0000999	XP_006300288.2	Om001G036010, Om003G110780, Om001G036000
OG0001000	XP_006289485.2	Om007G300700, Om007G300710, Om007G300750
OG0001001	XP_023637103.1, XP_023636612.1, XP_006289252.2, XP_023635916.1, XP_023635915.1, XP_023635778.1	Om006G240650
OG0001002	XP_006298063.2, XP_023644511.1, XP_006301562.1, XP_006305841.2	Om002G057480
OG0001003	XP_006298659.1	Om002G061360
OG0001003	XP_006305690.1	Om003G094290
OG0001008	XP_006284235.2	Om001G024080, Om001G024040
OG0001008	XP_006284398.1	Om001G024050
OG0001009	XP_006283709.1	Om001G024750, Om001G024770
OG0001009	XP_006283725.1	Om001G024740
OG0001010	XP_006305269.1	Om007G292680
OG0001010	XP_006294716.2	Om008G338500
OG0001011	XP_006305386.1, XP_006305387.1, XP_006285396.1	Om007G277180, Om007G277230, Om007G277190, Om007G277170
OG0001012	XP_006302815.1	Om005G217930, Om011G365520
OG0001012	XP_006305565.2	Om005G187750
OG0001013	XP_006302633.1, XP_023642897.1, XP_023642888.1, XP_023642896.1, XP_006301529.2, XP_023644270.1	Om005G202510
OG0001015	XP_006284136.1	Om005G196870, Om007G286650
OG0001016	XP_006288623.1	Om004G164330
OG0001017	XP_006281940.2	Om006G231580
OG0001017	XP_006289807.1	Om004G165290
OG0001018	XP_006289672.1, XP_006281581.1	Om006G238180, Om006G238170
OG0001019	XP_006284309.1	Om001G000610
OG0001020	XP_006284352.2	Om001G001040
OG0001020	XP_006281036.1	Om008G361270
OG0001021	XP_006292102.1	Om003G128720
OG0001022	XP_023637724.1	Om007G300600
OG0001022	XP_023639220.1	Om003G127940
OG0001023	XP_006289316.1	Om008G329680, Om008G329690, Om006G244550, Om004G175290
OG0001024	XP_006295649.1	Om007G280450
OG0001025	XP_006305508.1	Om005G184240
OG0001025	XP_023639350.1	Om007G281330
OG0001026	XP_006299938.1	Om002G042950
OG0001026	XP_006286712.1	Om007G300350
OG0001027	XP_006306134.1	Om005G192420
OG0001028	XP_023640564.1	Om008G332050
OG0001028	XP_006293038.1	Om006G252270
OG0001029	XP_006307595.1	Om005G204290
OG0001029	XP_023643591.1	Om004G134460
OG0001030	XP_006302946.1	Om004G138390
OG0001031	XP_006304096.1	Om005G202080
OG0001031	XP_006302678.1	Om004G137500
OG0001032	XP_023643472.1	Om004G135840
OG0001032	XP_023645685.1	Om005G203240
OG0001033	XP_023632884.1, XP_006304617.1	Om002G060000, Om006G269020
OG0001034	XP_006303774.2	Om004G143630
OG0001035	XP_006298574.1	Om002G046030, Om002G046020, Om002G046010, Om002G046000
OG0001036	XP_006302531.2	Om004G132870, Om004G132900
OG0001036	XP_006301184.2	Om004G132850
OG0001036	XP_023644335.1	Om004G132860
OG0001037	XP_006282342.2, XP_006292310.2	Om002G051910
OG0001038	XP_023641970.1	Om002G057310, Om002G056940, Om002G056930, Om002G056960
OG0001038	XP_006297473.1, XP_006299218.1	Om002G056970
OG0001039	XP_006303709.1	Om003G099660
OG0001039	XP_006298905.1	Om002G064180
OG0001040	XP_006304800.1	Om003G095600
OG0001040	XP_006299444.1	Om002G069240
OG0001041	XP_023642032.1	Om005G224060
OG0001041	XP_006291527.1	Om006G264620
OG0001042	XP_006284918.1	Om003G094970
OG0001043	XP_006306715.1	Om003G095340
OG0001044	XP_006291113.1	Om006G251940
OG0001047	XP_006299933.2	Om002G043290
OG0001047	XP_006300340.1	Om008G340350, Om002G043190
OG0001048	XP_006289954.2	Om004G171750
OG0001051	XP_006298365.1	Om002G082920
OG0001051	XP_006284366.1	Om001G033650
OG0001052	XP_006286010.1, XP_006285097.1, XP_006285687.1	Om001G034140, Om001G033870
OG0001053	XP_006300439.1	Om005G218880
OG0001053	XP_006307214.1	Om005G188400
OG0001054	XP_006302139.1	Om005G223780
OG0001054	XP_006301036.1	Om005G223880
OG0001054	XP_006300409.1	Om003G098880, Om005G223870
OG0001056	XP_006299831.1	Om002G053390
OG0001057	XP_006282851.1	Om001G021190
OG0001057	XP_023635667.1	Om003G115800, Om008G321080
OG0001058	XP_006284528.1	Om001G000030
OG0001058	XP_006284526.1	Om001G035410
OG0001059	XP_006280793.2	Om008G357520
OG0001059	XP_006282459.1	Om001G004750
OG0001060	XP_006283635.1	Om003G103620
OG0001060	XP_006297468.2	Om002G072890
OG0001061	XP_006297743.1	Om002G071530
OG0001061	XP_006286054.2	Om003G102610
OG0001062	XP_023638091.1	Om006G259280
OG0001062	XP_006282262.1	Om006G230770
OG0001063	XP_006296568.2, XP_006296573.2, XP_006295398.1	Om005G212620, Om003G093110
OG0001064	XP_006293761.1	Om008G336220
OG0001064	XP_006290660.1	Om006G254930
OG0001065	XP_006293523.1	Om008G335950
OG0001065	XP_006292903.1	Om006G254630
OG0001066	XP_006294745.1	Om008G335940
OG0001066	XP_006291486.1	Om006G254620
OG0001067	XP_006301292.1	Om004G132270
OG0001067	XP_006306582.1	Om005G197660
OG0001068	XP_006298231.1	Om002G046590
OG0001068	XP_006302619.1	Om004G142650
OG0001069	XP_006302529.1	Om004G138890
OG0001069	XP_006305153.2	Om005G201270
OG0001070	XP_006307134.1	Om002G055400
OG0001070	XP_006297373.2	Om002G084080
OG0001071	XP_023645921.1	Om005G194160, Om001G020980
OG0001071	XP_006304041.1	Om005G194150
OG0001072	XP_006288673.1	Om006G261020, Om006G238440
OG0001073	XP_006300837.1, XP_006301009.1	Om007G290400
OG0001074	XP_023644319.1	Om002G062590, Om002G062600
OG0001075	XP_006298673.1	Om002G061260
OG0001076	XP_006298488.1	Om002G053600, Om002G053620, Om002G053580
OG0001077	XP_006285276.1	Om001G028890
OG0001084	XP_006298073.1	Om002G088350
OG0001084	XP_006284041.1	Om001G022740
OG0001085	XP_023641161.1	Om002G087420
OG0001085	XP_006284715.1	Om001G024410
OG0001086	XP_006285500.1	Om001G030820
OG0001087	XP_006283828.1	Om001G033000
OG0001087	XP_006285747.1	Om001G033030
OG0001088	XP_023638813.1	Om006G270910, Om006G270920
OG0001089	XP_006292798.1	Om006G270670
OG0001089	XP_023638846.1	Om003G100560
OG0001090	XP_006299253.2	Om006G257890
OG0001091	XP_006290259.2	Om006G261270
OG0001091	XP_006279971.1	Om003G111530
OG0001092	XP_023636635.1	Om006G254090
OG0001092	XP_023636634.1	Om004G169810
OG0001093	XP_006289743.1	Om006G241070
OG0001093	XP_006289327.1	Om004G162590
OG0001094	XP_023637284.1	Om004G166070
OG0001094	XP_006280664.1	Om006G232040
OG0001095	XP_006286071.1, XP_006282782.1, XP_006284931.1, XP_023634827.1	Om003G104930, Om003G098310
OG0001096	XP_006291542.1	Om003G121440
OG0001096	XP_006294671.1	Om008G327170
OG0001097	XP_006281559.1	Om006G246790
OG0001098	XP_006293030.1	Om006G260010
OG0001098	XP_006280412.1	Om006G231290
OG0001099	XP_023632569.1	Om005G178490
OG0001099	XP_006290216.1	Om004G158290
OG0001100	XP_006295278.2	Om007G279170
OG0001101	XP_006287272.1	Om007G301060
OG0001101	XP_006287274.1	Om008G356620
OG0001102	XP_006297456.1	Om002G043570
OG0001102	XP_023636384.1	Om007G299380
OG0001104	XP_006298797.1	Om002G046780, Om007G293310
OG0001105	XP_006302834.1	Om004G130780
OG0001105	XP_006304205.1	Om005G196580
OG0001106	XP_006303394.1	Om005G197880
OG0001106	XP_006302954.1	Om006G270430
OG0001107	XP_006304270.1	Om005G199420
OG0001108	XP_006302076.1	Om004G139030, Om004G139050, Om004G139020
OG0001108	XP_006307129.1	Om005G200740
OG0001109	XP_006302119.2	Om004G134660
OG0001109	XP_006307302.1	Om005G204170
OG0001111	XP_006302876.2	Om005G212400
OG0001111	XP_023644968.1	Om006G235930
OG0001112	XP_006279892.1	Om005G201500, Om005G201320
OG0001113	XP_023635741.1, XP_006288159.1	Om004G169750
OG0001114	XP_023644501.1, XP_023636118.1, XP_006289339.2, XP_023637685.1	Om001G014630, Om004G153880
OG0001115	XP_006301311.1	Om004G142580
OG0001115	XP_006305861.1	Om005G198490
OG0001116	XP_006305022.1	Om003G095740
OG0001116	XP_006296586.2	Om002G069120
OG0001117	XP_023635657.1	Om003G101050
OG0001119	XP_023644568.1, XP_023644569.1, XP_023644555.1, XP_023644554.1	Om003G092090
OG0001120	XP_023635352.1	Om001G035460
OG0001121	XP_023639257.1	Om003G116500
OG0001122	XP_006304534.1, XP_006279780.2	Om001G029970, Om005G199250
OG0001124	XP_023642062.1	Om002G086830
OG0001124	XP_006281303.1, XP_006284740.1	Om001G019470
OG0001125	XP_006303624.1	Om007G292200
OG0001125	XP_006295691.1	Om008G338370
OG0001126	XP_023640842.1, XP_006301957.1, XP_006301689.1, XP_023643270.1	Om001G006460
OG0001127	XP_006307394.2	Om005G194820
OG0001127	XP_006290880.1	Om006G274830
OG0001128	XP_006303717.1	Om005G193420
OG0001129	XP_006291941.1	Om006G269590
OG0001130	XP_006292775.1	Om006G268210
OG0001131	XP_006281423.1	Om006G249570
OG0001132	XP_006287710.1	Om004G174860
OG0001132	XP_006297659.1	Om002G052350
OG0001133	XP_006284825.1, XP_006281365.1	Om001G018910, Om001G014980, Om003G117020
OG0001134	XP_006288427.1, XP_006288428.1	Om004G161390
OG0001135	XP_006281334.1	Om006G232510
OG0001135	XP_006288924.1	Om004G166180
OG0001136	XP_006285152.1	Om001G000980
OG0001136	XP_006281043.1	Om008G361480
OG0001137	XP_006280421.1	Om008G358120
OG0001137	XP_006283694.1	Om001G003870
OG0001138	XP_006284645.1	Om001G008770, Om005G215100
OG0001138	XP_006296630.2	Om002G043320
OG0001139	XP_006305779.1	Om007G288230
OG0001140	XP_006284661.1, XP_006299674.1	Om001G035650
OG0001141	XP_006291120.1, XP_023639151.1	Om006G251500, Om006G266990
OG0001141	XP_023638799.1	Om007G314500
OG0001142	XP_006298575.1	Om002G070970
OG0001142	XP_006282717.1	Om003G102330
OG0001143	XP_006294533.1	Om008G322550
OG0001143	XP_006291511.1	Om003G125560
OG0001145	XP_023642338.1	Om002G047570
OG0001146	XP_006294641.1	Om008G327790
OG0001146	XP_006298175.1	Om002G053170
OG0001147	XP_006302336.1	Om005G225200
OG0001148	XP_023640745.1	Om004G166470
OG0001149	XP_006293081.1	Om006G257580
OG0001149	XP_006282371.1	Om006G229310
OG0001150	XP_006290174.2	Om007G298860
OG0001150	XP_006298650.1	Om002G043860
OG0001151	XP_006298735.1	Om002G049430
OG0001151	XP_006281220.1	Om007G303840
OG0001152	XP_006292679.1	Om006G250520
OG0001152	XP_006293844.1	Om008G329540
OG0001153	XP_006291925.1	Om006G255540
OG0001154	XP_006302187.1	Om004G137780
OG0001154	XP_006304733.1	Om005G201420
OG0001155	XP_006302577.1	Om004G136870
OG0001155	XP_023645353.1	Om005G202350
OG0001156	XP_006306890.1	Om004G143890
OG0001156	XP_006300899.1	Om005G207750
OG0001157	XP_006306761.2	Om005G190350, Om005G190370, Om005G190400, Om005G190380
OG0001157	XP_023645613.1	Om005G190210
OG0001158	XP_023640625.1	Om005G207150
OG0001158	XP_006306980.2	Om004G143390
OG0001159	XP_006301690.1	Om004G135720
OG0001159	XP_006301226.1	Om004G135760, Om004G135740
OG0001160	XP_023645939.1	Om003G090340
OG0001160	XP_006298592.1	Om002G057670
OG0001161	XP_006297757.1	Om002G069190
OG0001161	XP_006307609.1	Om003G095640
OG0001164	XP_006280579.2, XP_006280529.2, XP_006282210.2, XP_006280508.2, XP_006281449.1, XP_006279864.1	Om006G235230, Om006G235270
OG0001169	XP_006280681.1	Om003G115820
OG0001170	XP_006298991.2	Om002G047380, Om002G047370
OG0001170	XP_023636813.1	Om007G293670
OG0001171	XP_006302971.1	Om005G221900
OG0001172	XP_023638647.1	Om006G273870
OG0001172	XP_006303839.1	Om005G193820
OG0001173	XP_006283373.1	Om001G018260
OG0001173	XP_006302049.1	Om005G228160
OG0001174	XP_006299590.1	Om002G053840
OG0001175	XP_006281213.1	Om003G118430
OG0001176	XP_006280992.1	Om006G231760
OG0001176	XP_006288536.1	Om004G165430
OG0001177	XP_006289277.1, XP_023637352.1	Om004G168130, Om004G168100
OG0001178	XP_006287698.1	Om004G168330
OG0001178	XP_006280431.1	Om006G236820, Om006G236830, Om006G236840
OG0001179	XP_006285388.1	Om001G002710
OG0001179	XP_006300268.2	Om002G074090
OG0001179	XP_006282938.2	Om003G104170
OG0001180	XP_006283480.1	Om001G004420
OG0001180	XP_006280231.1	Om008G357690
OG0001181	XP_006285476.1	Om001G007890
OG0001181	XP_023636874.1	Om008G354480
OG0001182	XP_006294394.1	Om008G340520
OG0001182	XP_006305057.1	Om007G289260
OG0001183	XP_023634197.1	Om001G035210
OG0001183	XP_006297376.1	Om002G084370
OG0001184	XP_023638081.1	Om003G127310
OG0001184	XP_006294447.1	Om008G320610
OG0001185	XP_006291551.1	Om003G126820
OG0001185	XP_006294723.1	Om008G321040
OG0001186	XP_023639263.1, XP_023639267.1	Om003G123550, Om003G123540
OG0001187	XP_023640447.1	Om007G279310
OG0001187	XP_006304851.1	Om005G182570
OG0001188	XP_006286939.1	Om004G170230
OG0001188	XP_006293588.2	Om007G281960
OG0001189	XP_023641075.1	Om002G042490
OG0001189	XP_006287684.1	Om007G301350
OG0001190	XP_006297091.1	Om002G045600
OG0001191	XP_006288797.1	Om007G293620
OG0001191	XP_006296629.1	Om002G047290
OG0001192	XP_006285325.1	Om003G100360
OG0001192	XP_006297392.1	Om002G049400
OG0001193	XP_006290649.1	Om006G251660
OG0001193	XP_006293364.2	Om008G331060
OG0001194	XP_006290813.1	Om006G251130
OG0001194	XP_006297293.1	Om002G050930
OG0001195	XP_006305422.2	Om005G198660
OG0001196	XP_006302679.1	Om004G138870
OG0001196	XP_006303306.1	Om005G201250
OG0001197	XP_006290657.1	Om006G253160
OG0001197	XP_006286531.1	Om005G188180
OG0001198	XP_006289398.1	Om007G294050
OG0001200	XP_006289968.1	Om006G241520
OG0001201	XP_006288378.1	Om006G238190
OG0001201	XP_006291603.1	Om006G261620
OG0001202	XP_023638263.1	Om006G259060
OG0001202	XP_006292765.1	Om006G260190
OG0001203	XP_006291436.1, XP_006284056.1, XP_006291365.1	Om003G119970
OG0001205	XP_006298478.1	Om002G060410
OG0001207	XP_006284629.1	Om003G100370
OG0001207	XP_023642276.1	Om002G063290
OG0001208	XP_023645213.1	Om003G098430
OG0001208	XP_006298561.1	Om002G065980
OG0001209	XP_006303933.1	Om003G098060
OG0001209	XP_006299075.1	Om002G066390
OG0001218	XP_023642694.1	Om002G046860
OG0001219	XP_006292471.1, XP_006292814.1	Om003G118330
OG0001220	XP_023636254.1, XP_006289160.2	Om006G244160, Om006G244150
OG0001222	XP_006285418.1	Om001G027470
OG0001222	XP_006294309.1	Om004G153200, Om018G373910
OG0001223	XP_006298926.2	Om002G082000
OG0001223	XP_023634395.1	Om001G031810
OG0001224	XP_023633143.1, XP_023633142.1	Om005G187250
OG0001225	XP_023637777.1, XP_006290672.1, XP_006290677.1	Om006G271930
OG0001226	XP_023638614.1, XP_023639202.1, XP_006291278.2	Om006G269860
OG0001227	XP_023641438.1	Om002G052210
OG0001227	XP_006288343.1	Om004G175150
OG0001228	XP_006294378.1	Om006G259390, Om006G259350, Om006G259430, Om006G259310
OG0001229	XP_023645176.1	Om006G249980
OG0001230	XP_006282301.1	Om006G236280
OG0001230	XP_006286992.1	Om004G169010
OG0001231	XP_006279688.1	Om006G236150
OG0001231	XP_006289257.1	Om004G169080
OG0001232	XP_006282896.1	Om001G003010
OG0001232	XP_006283578.1	Om001G003020
OG0001233	XP_006286135.1	Om001G009770
OG0001233	XP_006287663.1	Om008G352720
OG0001234	XP_006302934.1	Om004G138070
OG0001235	XP_006297928.2	Om002G083990
OG0001235	XP_006284044.1	Om001G034630
OG0001237	XP_023640459.1	Om008G321460
OG0001237	XP_006290645.1	Om005G208750, Om003G126420
OG0001238	XP_006296425.1	Om008G321570
OG0001238	XP_006292212.1	Om003G126200
OG0001239	XP_006290798.1	Om003G124340
OG0001239	XP_006293880.1	Om008G323910
OG0001240	XP_023640207.1	Om008G324750, Om008G324760
OG0001241	XP_006294749.1	Om008G324870
OG0001241	XP_006296125.1	Om008G324900, Om008G324890
OG0001242	XP_023636164.1	Om004G174520
OG0001242	XP_023641150.1	Om002G052480
OG0001243	XP_006287335.1	Om006G241260
OG0001243	XP_023645967.1, XP_006301879.1	Om005G212570
OG0001245	XP_006291804.1	Om006G258010
OG0001245	XP_023640090.1	Om006G229530
OG0001246	XP_006305170.1	Om005G179070
OG0001246	XP_023637179.1	Om004G158830
OG0001247	XP_006288913.1	Om004G160440
OG0001247	XP_006298847.1	Om002G050370
OG0001248	XP_006293626.1, XP_023639500.1, XP_006295787.1, XP_023636994.1	Om007G282850, Om007G282830, Om007G282860
OG0001249	XP_023640924.1	Om008G333840
OG0001250	XP_023636865.1	Om007G299800
OG0001250	XP_023642185.1	Om002G043300
OG0001251	XP_006298399.1	Om002G043620
OG0001251	XP_006288512.1	Om007G299300
OG0001252	XP_023641061.1	Om002G043920
OG0001253	XP_006299753.1	Om002G047790
OG0001253	XP_006290150.1	Om007G294040
OG0001254	XP_006307613.1	Om003G095910
OG0001254	XP_023640683.1	Om008G338050
OG0001255	XP_006303023.1	Om004G133240
OG0001255	XP_006304326.1	Om005G198260
OG0001256	XP_006302536.2	Om004G142260
OG0001256	XP_006304061.1	Om005G198820
OG0001257	XP_006301877.1	Om004G141760
OG0001257	XP_006303840.1	Om005G199300
OG0001258	XP_023632825.1	Om005G200690
OG0001258	XP_006303044.1	Om004G139120
OG0001259	XP_006305608.1	Om005G201530
OG0001259	XP_006302820.1	Om004G137860
OG0001261	XP_006307508.1	Om005G194440
OG0001262	XP_006307338.1	Om005G194320
OG0001262	XP_006307363.1	Om005G194340, Om005G194330
OG0001263	XP_023645485.1	Om005G191580
OG0001264	XP_006299300.1	Om002G057540
OG0001264	XP_006306349.1	Om003G090210
OG0001265	XP_006307147.1	Om003G095680
OG0001265	XP_006297313.1	Om002G069140
OG0001268	XP_023634055.1	Om001G028270, Om001G028250
OG0001269	XP_023644761.1	Om007G289700, Om007G289710
OG0001274	XP_006296025.1	Om004G153070, Om018G373760
OG0001274	XP_006282685.1	Om001G027260
OG0001275	XP_023645467.1	Om005G202690
OG0001275	XP_006283612.1	Om001G033720
OG0001276	XP_006300932.1	Om005G222670
OG0001276	XP_006305525.1	Om005G189920
OG0001277	XP_006301932.1, XP_006301401.1	Om005G222970
OG0001278	XP_006296728.1	Om002G076590
OG0001279	XP_006286494.1	Om007G300380
OG0001279	XP_006297525.1	Om002G042920
OG0001280	XP_023638413.1	Om006G269500
OG0001280	XP_006283825.1	Om002G054490
OG0001281	XP_006303083.1	Om005G227890
OG0001281	XP_006285359.1	Om007G318310
OG0001282	XP_006283991.1, XP_006280600.1	Om006G250090
OG0001283	XP_023638231.1	Om003G119930
OG0001283	XP_006295648.1	Om008G328480
OG0001284	XP_006280300.1	Om003G108870
OG0001284	XP_023633586.1	Om006G234900
OG0001285	XP_006281006.1	Om003G116080
OG0001285	XP_023634521.1	Om001G020050
OG0001286	XP_006280637.1	Om003G116830
OG0001287	XP_006283406.1	Om001G018860
OG0001287	XP_006280225.1	Om003G117080, Om004G145930
OG0001288	XP_006287989.1	Om004G163800
OG0001288	XP_006287976.1	Om006G240240
OG0001289	XP_006282678.1	Om001G000320
OG0001289	XP_006282206.1	Om008G362210
OG0001290	XP_006288443.1	Om008G351210
OG0001290	XP_023634587.1	Om001G010830
OG0001291	XP_006304352.1	Om001G011760, Om003G100450
OG0001291	XP_006303476.1	Om001G011750
OG0001292	XP_006294683.1	Om007G282020
OG0001292	XP_006298213.1	Om002G042860
OG0001293	XP_006290454.1	Om003G123470
OG0001294	XP_006296223.1	Om004G153730
OG0001294	XP_006283476.1	Om001G039610
OG0001296	XP_006293363.1	Om004G154220
OG0001296	XP_006293777.1	Om006G229750
OG0001297	XP_023635922.1	Om008G354250
OG0001298	XP_023634244.1	Om002G070950
OG0001299	XP_006293869.1	Om008G320350
OG0001300	XP_006291482.1	Om003G121550
OG0001300	XP_006294608.1	Om008G326760
OG0001301	XP_006290821.1	Om003G121140
OG0001301	XP_023639545.1	Om008G326930
OG0001302	XP_023635129.1	Om006G231010
OG0001302	XP_006291909.1	Om006G259630
OG0001303	XP_006287814.1	Om004G157140
OG0001304	XP_006305673.1	Om005G185790
OG0001304	XP_006294934.1	Om007G283550
OG0001305	XP_023641989.1	Om002G047540
OG0001305	XP_006289311.1	Om007G293740
OG0001306	XP_006298162.1	Om002G047760
OG0001307	XP_006298680.1	Om002G050190, Om002G050200
OG0001308	XP_006292114.2	Om006G255570
OG0001308	XP_023639506.1	Om008G337370
OG0001309	XP_006294669.1	Om008G334740
OG0001309	XP_006292744.1	Om006G253780
OG0001310	XP_006307407.1	Om005G197840
OG0001310	XP_006302220.1	Om004G132480
OG0001311	XP_023636558.1	Om007G293340
OG0001312	XP_006298644.1	Om002G049930
OG0001312	XP_006279695.1	Om007G306710, Om009G363690
OG0001313	XP_006302859.1	Om001G038820, Om001G038860, Om001G038840, Om001G038810
OG0001314	XP_006297676.1	Om002G057470
OG0001314	XP_006307505.1	Om003G090100
OG0001315	XP_006297003.1	Om002G061400
OG0001315	XP_006306783.2	Om003G094330
OG0001316	XP_006303597.2, XP_006303675.1	Om003G099760
OG0001316	XP_006297985.1	Om002G064010
OG0001317	XP_006300082.1	Om003G097220, Om002G067410
OG0001318	XP_006284675.2	Om003G100520, Om003G100530, Om003G100570, Om003G100550
OG0001319	XP_006291962.1	Om006G255230
OG0001320	XP_006284860.2	Om005G228140, Om004G165840, Om001G021540, Om001G034720, Om001G035350, Om001G036310
OG0001321	XP_006281526.1, XP_006281589.1	Om008G361800, Om008G361810
OG0001321	XP_006281663.1, XP_006301874.2	Om008G361760, Om008G361770, Om008G361790, Om008G361780, Om008G361750
OG0001323	XP_006286005.1	Om006G233070
OG0001328	XP_006286014.1	Om001G027840
OG0001328	XP_006294291.1	Om004G154830
OG0001330	XP_006297360.1	Om002G083840
OG0001330	XP_006283444.1	Om001G035780, Om001G034460
OG0001331	XP_023643321.1	Om005G183170, Om011G365940, Om005G218380
OG0001331	XP_023643298.1	Om011G365640, Om020G374530
OG0001332	XP_023643602.1	Om011G364990, Om020G374420
OG0001332	XP_006306171.1	Om005G188110
OG0001333	XP_006304923.1	Om005G189740
OG0001334	XP_006306843.1	Om005G195510
OG0001334	XP_006292297.1	Om006G275200
OG0001335	XP_023636388.1	Om004G172750
OG0001335	XP_023641398.1	Om002G053520
OG0001336	XP_006297639.1	Om002G055270
OG0001336	XP_023636555.1	Om004G170320
